SO2	longitude	O3	NH3	CO	TEMP	Pb	CFCs	warning	CH4	PRES	PAHs	NOx	latitude	C2H3NO5	PM10	PM2.5	H2CO
7.34255	83.36889	8.02442	8.15697	10.38036	1.68500	49.09423	21.87008	1.00000	6.83088	1134.51352	5.81243	9.09046	26.76628	0.06350	6.99761	8.41767	75.88085
7.76576	150.99292	6.81158	6.63669	7.58638	20.90194	50.23780	45.03939	0.00000	5.75258	1117.72119	7.55407	8.61028	-33.75881	0.23325	9.12709	7.96617	42.28700
9.63068	4.47124	7.44442	8.00343	7.81593	25.01321	23.58726	47.36789	1.00000	10.41877	1086.86785	11.05301	4.84574	51.95838	0.35018	9.56346	7.31315	49.66385
4.39824	59.6	7.40661	8.23511	9.56855	-7.04228	61.30866	59.11828	0.00000	9.47399	1123.20752	8.17145	11.22340	47.83333	0.37142	9.63188	8.09031	19.70763
7.36328	-42.98194	8.11213	7.61220	9.30562	4.67331	71.28422	57.24970	1.00000	8.24173	1140.39237	6.19594	6.66491	-22.53722	0.08283	7.17200	8.63039	76.57383
4.55676	24.04142	7.37335	8.68251	5.95097	15.21196	63.06668	45.26425	0.00000	7.60552	1069.02655	4.36282	6.00590	54.39635	0.20893	8.94863	7.79873	55.52135
7.42037	6.51352	6.12627	8.21983	10.22839	20.72930	50.52883	48.80920	1.00000	9.13013	1067.41966	5.53795	5.89802	51.19139	0.12214	8.29075	7.68127	40.03905
7.40185	-79.00453	6.47492	6.32695	7.61486	22.00700	60.08938	52.62887	1.00000	9.17477	1140.39099	8.80623	6.87387	-2.90055	0.14062	8.58528	6.68769	21.32883
6.99533	-69.08333	7.42462	6.70656	6.18830	13.89670	44.67909	62.56817	0.00000	5.13667	1145.28977	5.73989	5.04943	-16.25	5.46584	12.41444	5.47255	34.10940
6.31059	31.3237	6.52284	8.10113	9.44732	15.45600	47.12347	52.62887	1.00000	9.26980	1152.66853	5.22770	7.64339	52.4089	0.03549	6.19390	6.11552	55.28262
6.59152	5.22778		6.75982	8.90505	16.63209	55.79952	42.73863	1.00000	8.50610	1115.48039	6.44500	7.54513	51.955	0.05384	6.27060	7.85438	53.53608
7.00000	38.28402	8.28948	7.94822	7.93275	12.86808	50.93095	67.59257	1.00000	9.36081	1125.33285	5.52034	7.20645	34.5624	0.07399	7.77506	5.63415	68.08978
7.25172	-69.08333	7.27579	8.03838	8.55181	8.13671	41.91056	66.00474	1.00000	7.70921	1058.70961	6.09837	6.07565	-16.25	0.04893	6.97125	8.09983	53.24934
3.39401	79.41727	7.37603	8.85678	4.16388	28.65531	50.10657	37.63752	0.00000	9.86429	1089.55340	6.30628	5.93379	12.25282	0.03147	5.12176	5.93983	65.86695
6.84981	-0.76667	9.09702	8.54501	8.24143	27.77085	67.22086	62.57073	1.00000	10.37743	1066.86136	5.67289	6.65000	53.38333	0.06124	7.54724	6.49080	73.89402
5.14076	-76.43941	8.62207	9.88550	8.56078	13.77437	54.79108	68.31701	0.00000	8.34983	1163.19989	9.66206	7.75199	39.33427	0.12725	8.22724	8.29244	69.20279
6.90920	-117.29198	7.98425	8.23516	9.50752	42.05291	43.69034	34.83691	1.00000	8.86424	1077.86944	6.74205	7.34921	33.03699	0.07277	7.62271	7.29728	78.99225
5.60334	123.89071	7.95224	7.08495	8.60564	14.45809	61.93866	58.65657	1.00000	7.82849	1064.51214	5.05371	9.52948	10.31672	0.04246	4.41117	6.03270	39.70975
7.44420	-116.97725	7.43174	5.98157	9.76318	17.35531	22.58465	71.39391	0.00000	9.26220	1196.89929	8.43238	9.43999	33.92946	0.17816	8.81740	7.46963	69.62257
6.97174	-81.23621	8.47686	5.74257	7.40166	5.38615	57.31870	67.42868	0.00000	5.37338	1055.10538	7.68293	7.67660	33.98154	5.99942	12.50780	7.81119	28.78615
4.87058	35.59642	7.17208	7.22651	6.27629	16.23528	62.97707	52.30747	0.00000	6.69818	1117.00679	5.28631	6.76080	3.11988	0.53940	10.04815	8.32889	47.87231
9.62451	-61.4867	6.85941	6.06903	8.11224	12.53709	61.08051	39.91689	1.00000	8.84380	1050.17072	8.58766	4.92393	-31.25033	0.10608	8.04721	7.22993	66.64646
7.45586	15.87735	7.54249	7.80220	8.19837	27.81529	28.86843	42.48209	1.00000	10.46404	1078.60352	9.36648	4.95563	4.94273	0.15051	8.59311	7.51918	65.80035
7.52206	-35.71667	8.50871	7.73483	8.92284	0.81532	51.99309	68.81641	1.00000	8.67456	1194.03577	8.23404	7.46913	-8.66667	0.06037	7.35340	7.31363	55.32730
7.66774	-75.87877	7.35932	5.75617	6.33281	17.47555	53.61513	44.49411	0.00000	4.02301	1196.25796	7.32648	5.94160	5.6561	0.55324	10.08413	7.25266	38.78592
3.46811	16.4	8.45498	7.24336	6.27667	39.64191	43.60642	48.29008	0.00000	10.88723	1052.43209	5.92535	9.64121	48.25	0.04338	6.37983	6.42741	49.44538
11.52978	79.41727	7.48661	6.92322	7.58718	-0.14881	46.11566	27.26089	1.00000	9.50265	1090.32061	11.47684	5.13966	12.25282	0.58902	10.09177	7.39094	53.06053
4.40006	6.51352	7.90085	7.56954	8.49314	6.46191	43.15034	63.29765	0.00000	9.99087	1104.27217	9.43499	8.01861	51.19139	0.09818	7.92410	6.39757	38.64852
5.97733	-0.29825	8.69569	6.25293	10.02086	-20.05376	28.07077	41.64247	1.00000	10.08410	1138.74390	7.67108	7.82002	51.39148	0.08602	7.64064	7.67781	63.28532
5.30126	2.29026	8.98254	7.65150	9.59187	9.51363	60.00982	69.35344	1.00000	10.50291	1142.35018	8.03783	10.16121	48.77644	0.08352	7.81739	8.69875	59.52051
8.44028	123.89071	8.50733	7.55017	8.17289	22.16676	50.57582	51.29230	1.00000	6.13387	1089.79253	6.38196	8.52495	10.31672	0.02308	5.85847	7.59345	51.74733
9.96713	-101.2591	7.06316	7.25045	10.19569	41.35666	47.49900	55.40582	1.00000	7.62656	1182.01545	9.09903	5.95456	21.01858	0.08425	7.64060	8.00619	51.41676
7.18718	89.20083	7.02689	7.45669	8.83811	16.12540	40.20614	51.50451	1.00000	7.64728	1082.59083	7.81734	8.91064	55.54028	0.05503	6.26623	5.59631	13.93896
6.78284	140.72287	8.04656	5.35112	7.37910	10.19563	69.68356	69.30188	1.00000	9.82034	1142.10299	3.85627	6.81123	53.14657	0.05709	6.90950	6.73255	52.92820
4.15665	33.2525	8.20868	6.93256	7.27923	8.78138	45.06132	82.71708	1.00000	10.85687	1086.30126	6.09310	10.67866	57.97472	0.04254	4.84446	6.07912	59.02460
4.44085	114.51667	7.75471	8.24773	6.01581	20.13379	43.65568	73.79704	0.00000	7.15086	1124.64796	5.19440	6.73911	33.78333	0.11659	8.46877	8.60478	33.13828
5.09513	84.63445	5.59617	8.19599	8.81230	6.27419	48.71879	40.91662	1.00000	11.78791	1170.02982	7.58600	8.10834	24.81757	0.05725	6.65736	9.84733	59.63242
8.02042	-115.98391	6.66660	7.32333	8.61196	6.27345	61.95751	50.11936	1.00000	9.78414	1062.94059	8.96574	6.25568	36.20829	0.37966	9.60253	7.68518	50.06238
5.27617	74.3092	7.56598	7.07697	6.24768	24.91226	38.47224	59.17991	0.00000	7.21485	1068.02190	4.74701	7.40397	33.37526	0.31772	9.52692	8.83647	68.62695
6.94780	-100.44843	6.00232	6.30801	9.19800	23.58475	38.15586	0.00000	1.00000	10.31668	1194.39550	8.72453	7.61428	20.74122	0.10434	8.24627	9.05203	61.09606
6.65227	34.37389	8.31062	6.19489	9.28033	25.63078	62.12743	50.92113	1.00000	8.93572	1142.54631	5.69281	7.73693	40.1675	0.06836	7.34707	8.13046	38.37116
5.04238	-113.3187	6.68882	8.10436	7.27816	30.29165	56.90172	56.94175	1.00000	9.68226	1083.07140	4.99594	11.12055	53.51684	0.03588	5.86719	9.15363	49.79195
7.54668	-47.1725	5.57916	5.30058	6.37604	7.92433	56.80756	45.78618	0.00000	4.68823	1147.44399	5.65780	5.71728	-22.57306	1.66888	11.21557	9.01633	68.04876
9.49242	2.2469	8.98729	7.13848	7.50553	8.52072	32.57276	54.43914	1.00000	9.51699	1151.09326	9.57241	5.45544	48.90472	0.35438	9.61829	9.23052	67.26433
7.75531	-116.21677	7.57461	7.57677	8.82499	25.69607	30.23727	57.80163	1.00000	8.06986	1063.36038	5.86756	5.41470	33.7207	0.09288	7.77007	7.43648	49.04758
8.81137	39.8302	7.77547	7.43585	8.34878	14.26827	68.57513	58.28337	1.00000		1079.09098	9.56034	5.90027	64.5635	0.17216	8.79274	8.12251	58.77262
3.23220	27.06365	7.45517	7.47067	5.53801	-6.80571	35.58455	42.77391	0.00000	8.42024	1061.78725	6.10609	6.40385	50.18545	0.03331	5.42762	7.97646	49.51130
3.14443	-87.45476	5.08953		3.94967	-1.33592	56.77597	51.33009	0.00000	10.19205	1106.04474	6.39072	5.57495	41.47892	0.01468	3.22288	9.21930	69.44890
6.50522	120.74792	7.84979	7.33217	6.27273	16.50433	67.30543		0.00000	5.58081	1086.82046	6.94749	6.93313	41.09822	0.25571	9.17556	7.65246	34.73376
5.50850	99.96667	8.03568	7.68929	8.45969	23.42680	55.65581	57.67469	1.00000	10.88114	1186.37420	7.29574	8.72712	8.43333	0.05145	6.25237	9.39653	52.51947
6.43140	-81.77285	7.27433	6.87696	9.81880	28.05386	59.73482	53.15222	0.00000	8.90667	1104.29928	9.28079	9.35739	28.54944	0.22776	9.18164	8.25653	47.86775
7.88488	29.65806	7.60474	8.97345	9.28680	27.75103	64.33419	53.88700	1.00000	6.93243	1116.11385	6.78885	8.88378	-4.83	0.05353	7.23392	5.94174	68.53668
8.58256	77.5609	6.09329	7.09192	10.78027	17.58297	62.93813	47.59978	1.00000	8.54943	1072.71864	9.35854	5.92637	11.00599	0.04873	7.39594	6.45825	34.04230
7.34764	9.00472	6.94654	9.63433	8.66630	32.87268	34.35517	67.24891	1.00000	8.35766	1051.42163	8.94004	7.10638	4.2475	0.04626	6.99056	8.59165	46.68255
8.39072	-73.89875	5.66667	7.92251	6.40655	12.07644	23.58371	49.73209	0.00000	4.65671	1067.05565	8.99126	5.94062	40.93121	0.86204	10.53341	9.27587	38.61883
6.72439	110.8405	6.84136	7.56171	8.47925	19.74554	38.89748	67.87822	1.00000	10.32428	1094.35991	6.43996	7.49242	-6.8048	0.03841	6.64098	6.77938	73.71231
6.95935	-1.86343	8.20098	6.68354	10.14928	34.38424	54.24345	55.21925	1.00000	7.37788	1074.83452	7.63535	8.59578	38.10558	0.06159	6.88151	8.18869	54.32962
9.02971	-65.61427	8.62777	7.80811	8.08711	31.17095	77.10792	60.55278	1.00000	8.30552	1130.75623	7.86306	5.67820	-27.4338	0.13784	8.59332	8.05540	40.43729
6.78726	-37.03861	7.83588	5.97134	9.71536	17.85199	42.54713	49.46068	0.00000	7.90148	1086.13812	9.86377	9.41345	-10.90889	1.48176	11.09407	7.61141	65.38138
9.57344	15.00835	8.30809	7.60370	10.83274	18.23908	53.09969	41.68654	1.00000	8.26117	1135.08944	9.69049	7.20211	51.14942	0.22648	9.09025	9.33525	33.69568
4.84495	101.02083	8.52580	7.72766	8.66492	18.96586	49.46050	64.44888	1.00000	8.78138	1140.31404	5.13965	9.14047	4.02219	0.04437	4.94226	9.34851	46.43428
6.84843	-2.09814	8.43962		9.14664	24.86455	55.65294	62.16781	1.00000	8.21180	1122.73079	7.90336	9.29283	57.14369	0.05192	6.96758	6.38209	64.85044
7.59829	-0.29825	7.30299	8.55698	7.61131	19.85924	59.25517	57.62909	1.00000	6.72365	1076.68999	6.98109	9.15662	51.39148	0.05330	7.08622	9.10361	51.66880
7.21507	24.75	8.71202	8.13998	7.01748	11.08135	44.54935	52.49898	1.00000	5.54519	1141.90060	4.32644	8.71858	55.25	0.05564	4.98693	8.28610	43.47909
5.63464	75.96976	6.79958	7.12774	10.40067	18.76089	52.79507	72.29028	0.00000	10.58148	1106.39384	8.55934	10.30661	15.73628	0.15597	8.59693	8.39408	57.80198
7.49453	38.2739	8.45840	6.99433	8.37266	10.77413	67.89582	34.83537	1.00000	7.40807	1098.67755	8.13582	9.07749	46.7055	0.09034	7.80542	7.79215	55.99017
3.91758	77.40858	5.80440	8.08617	5.42511	21.85476	53.36843	73.17924	0.00000	8.04898	1190.87007	6.64460	6.61442	24.05979	0.05278	7.47022	7.81319	50.23853
8.04043	-60.47389	7.61111	7.49880	9.90060	27.10233	55.02125	53.15235	1.00000	6.85475	1072.57708	5.72467	7.45604	-34.64167	0.16671	8.71379	6.40905	47.79988
4.53832	56.36091	7.70185	7.96538	7.15722	12.35506	38.79738	69.70652	0.00000	8.84591	1087.47079	9.77181	5.38364	51.78771	0.04824	6.51174	7.48249	56.43046
6.12550	119.58627	7.72580	7.25612	8.50140	11.41316	82.42922	53.09929	1.00000	7.15870	1073.66258	4.53207	9.64508	23.5654	0.03287	5.67057	8.29879	53.66287
8.87762	78.14797	7.90980	9.54975	11.69565	18.55306	57.45144	58.15752	1.00000	9.09522	1061.72802	6.97658	6.16532	15.45144	1.29495	10.94896	8.46223	33.99964
6.75583	73.7553	6.35165	8.05464	5.70495	7.18869	66.33820	50.89915	0.00000	5.87679	1118.34498	6.70735	5.35971	15.5439	1.30762	10.97596	8.41136	50.92384
4.90984	77.5609	8.46605	8.52479	7.42310	27.58421	47.78236	36.02227	0.00000	11.04270	1125.51155	6.95164	9.52281	11.00599	0.06467	7.44005	5.86956	63.12344
4.08637	117.55417	5.27743	7.68490	5.21342	28.69725	59.91121	58.17776	0.00000	7.42348	1078.76081	6.00227	6.26607	34.86472	0.17142	8.69738	6.09055	31.50050
5.94638	30.4347	8.16529	8.78004	6.71293	26.25074	58.73418	56.35051	1.00000	7.86047	1103.06432	6.16244	8.66653	-1.9487	0.04022	4.59746	7.64424	45.58963
7.29097	110.8405	7.66377	6.75769	9.19017	15.44166	56.72435	54.71617	1.00000	8.52609	1086.54444	8.51604	9.03391	-6.8048	0.05920	7.55120	8.05402	66.84417
2.98672	25.34244	8.16016	7.55752	5.47095	0.95397	40.75432	39.95581	0.00000	7.32196	1067.99933	7.80601	6.91184	50.75932	0.08962	7.72647	7.27068	52.10533
8.15839	-58.44417	8.65714	7.29088	9.79643	6.11820	20.35836	65.71099	1.00000	7.74990	1120.87480	7.11229	6.42107	-3.14306	0.12059	8.12108	8.26341	46.98839
10.18432	122.08333	8.34671	7.90012	12.20061	14.92879	52.52093	34.13159	1.00000	6.61409	1178.08370	7.98321	7.36418	46.08333	0.11338	8.21013	7.70417	42.90037
7.35591	4.86667	7.39709	7.12479	7.28424	28.09673	46.61060	81.30880	1.00000	9.80851	1072.39026	8.74861	6.82327	45.51667	0.36049	9.66902	6.88832	55.45366
6.21449	114.68333	6.84327	7.99679	9.84441	12.33185	66.60780	62.96444	1.00000	10.19540	1194.39992	7.48058	7.95745	23.73333	0.04737	7.16937	8.27604	61.04838
6.36796	101.18445	7.54772	6.60221	6.27604	3.90471	45.64252	48.05352	0.00000	6.71691	1155.26868	4.19866	7.32625	13.44581	1.35116	10.99828	8.07321	67.70128
9.57161	-122.23484	8.39867	9.00098	10.62778	15.65208	30.04183	65.86310	1.00000	6.37807	1156.52272	6.49224	7.06105	47.38093	0.10648	8.13876	6.27517	74.52016
5.67340	-117.23991	7.92935	7.27493	7.76117	14.05635	66.76540	52.16052	1.00000	11.88451	1138.58203	5.88911	7.68697	47.64995	0.03488	6.74855	6.89130	50.37748
4.36088	24.04142	6.82296	9.46145	10.54915	23.12612	49.15052	65.56937	1.00000	7.25934	1188.21474	3.96651	8.37898	54.39635	0.06844	7.50566	5.94594	39.59796
6.16166	6.61944	8.62068	6.31185	11.00353	27.91935	36.14971	36.30667	1.00000	9.81858	1071.70986	6.66426	7.29412	52.57583	0.10530	7.94156	6.26597	67.25189
5.49798	29.41824	6.09100	8.57832	10.43518	16.26713	43.55501	38.70369	1.00000	12.00678	1144.48396	8.57280	8.01988	45.99194	0.13294	8.36419	9.25551	78.84877
7.14445	-79.00453	5.93994	6.89847	10.51948	8.56468	55.99446	44.73042	1.00000	6.24262	1072.99223	6.94659	10.18194	-2.90055	0.05460	7.06780	6.72766	58.79797
10.64671	77.54372	7.89318	9.04941	8.63486	11.68826	53.10886	31.77103	1.00000	7.88135	1159.27485	8.86401	5.95350	10.12268	0.24513	9.20531	6.34570	51.13794
8.47698	-0.91979	7.57198	7.42227	8.39841	7.64433	53.10328	47.53611	1.00000	8.80195	1111.71942	8.61582	6.93697	51.42708	0.26907	9.34718	8.18463	36.71560
9.61693	36.73307		9.55782	9.63129	12.59040	76.26381	36.72883	0.00000	6.77747	1178.10407	7.31150	9.42220	55.38752	0.17617	8.78000	6.93019	74.16695
8.27088	26.97253	7.28463	8.83912	7.61386	17.13007	51.48377	62.18948	1.00000	9.41713	1169.27610	7.52331	3.90395	49.65186	0.08075	7.81461	8.17482	51.47131
11.56784	3.47717	7.27664	8.80688	9.53807	10.85457	64.23083	65.03630	1.00000	9.29886	1145.67908	10.03527	5.24995	36.76639	0.81498	10.48172	5.78163	75.37844
8.67399	24.43973	8.11125	8.27989	4.64843	13.99288	41.61440	48.07421	1.00000	11.21763	1088.88459	10.86267	5.13002	0.76755	1.25443	10.92385	9.06831	67.42487
7.47304	26.97253	6.60896	7.12676	10.72042	14.94825	36.40752	52.18816	0.00000	8.84996	1119.99199	7.41354	10.13481	49.65186	0.06656	7.15713	7.70103	79.55735
3.39066	-74.01042	7.29626	7.11701	6.56814	26.19060	70.37282	61.19536	0.00000	7.73949	1102.65779	9.86840	6.12474	41.50343	0.06822	7.53319	6.69049	53.11436
5.63590	28.28489	6.99396	6.99206	9.89922	3.83518	52.77602	43.28395	0.00000	8.62010	1133.16362	8.25861	10.82514	48.15659	0.35426	9.58197	8.29758	33.80522
4.46525	41.77921	8.08381	7.64869	6.34003	39.27577	45.83974	42.62844	1.00000	9.40303	1076.81245	4.51804	10.38671	41.82143	0.03561	3.42971	6.72601	59.78962
7.84078	1.6	7.75272	9.37149	9.51620	8.74434	59.11880	53.45337	0.00000	7.33538	1071.80038	9.89824	7.74680	43.11667	0.23582	9.15862	7.26094	44.34122
8.41148	51.3452	8.02886	8.46365	8.35804	20.01565	29.57194	51.57439	1.00000	9.55573	1134.22565	8.37103	5.14365	53.37596	0.25173	9.14731	5.56715	43.61849
7.20271	-0.32247	7.03275	8.07335	9.03706	23.96334	42.28091	24.16236	1.00000	8.02800	1117.44838	8.30209	9.45401	50.82882	0.07305	7.42127	7.50480	71.21131
6.67760	8.62118	6.52709	7.49253	6.20111	9.02239	45.08661	43.08718	0.00000	5.24405	1145.28173	4.96564	6.06003	45.44694	0.05483	7.54911	9.06645	54.74979
10.02946	71.67164	7.31619	5.63084	9.08791	29.85635	29.82167	52.18926	1.00000	8.61788	1137.67674	9.09737	5.85919	30.29184	0.28160	9.29877	4.15495	69.78432
7.89298	73.06784	7.93654	5.79282	9.91509	12.40582	47.37849	53.51219	0.00000	7.97229	1110.82528	9.85818	8.44205	25.13915	0.33310	9.52320	8.28561	67.49369
9.44344	-0.32247	6.47035	6.57330	6.13973	13.14425	39.30494	73.23671	1.00000	11.66598	1063.23479	12.79233	5.42257	50.82882	1.18605	10.85497	6.69714	56.93947
6.92861	24.6522	7.44750	6.93187	8.42744	37.29542	45.56395	60.14486	1.00000	10.95624	1186.70656	6.85632	7.22545	60.2052	0.13876	8.50184	7.98979	30.82568
8.37007	-102.36764	5.87457	7.76227	8.93730	29.02794	53.31151	41.49651	1.00000	10.41005	1137.40072	10.72211	6.86740	31.84568	0.69912	10.31594	7.10122	54.63758
9.31001	85.94001	8.42934	4.85567	10.16110	8.06923	55.42268	28.32518	1.00000	9.11269	1085.60557	10.42826	5.72109	25.49043	0.08337	7.60471	6.36559	76.64885
8.83608	-82.42491	7.72095	7.74940	10.50298	29.13127	35.47419	43.02061	1.00000	7.57933	1120.18257	7.72496	7.13553	42.97086	0.14753	8.60627	8.06103	40.94059
8.82485	59.80222	9.69633	6.09671	7.00531	24.69654	63.31661	32.13448	0.00000	3.12083	1139.87052	6.32771	5.55182	58.63667	0.81718	10.48218	6.49705	63.80777
5.16023	19.27498	6.46420	6.81157	9.07417	8.14486	48.38250	57.73105	0.00000	10.67427	1177.61641	8.15810	9.35066	50.20528	0.07369	7.67275	6.22269	65.40218
6.82029	-1.86343	7.14563	9.16467	8.31237	24.06838	51.02762	52.85593	1.00000	9.67795	1110.62429	6.58748	6.84790	38.10558	0.06114	7.05095	7.29115	50.67005
5.86529	114.33333	8.59075	6.79230	7.33016	16.25319	36.17482	74.09065	1.00000	8.20490	1103.90253	4.69995	9.10933	-8.43333	0.04429	5.04223	6.43213	63.22344
11.05694	137.4	7.43380	8.36173	9.63651	3.18789	25.04359	80.84674	1.00000	8.43535	1116.38473	10.48888	5.65937	34.81667	0.12978	8.37029	7.26735	56.29291
6.84377	37.92792		6.16284	6.58266	34.77195	60.78854	34.59796	1.00000	10.39055	1136.55866	9.84600	5.53429	53.93361	0.10204	8.10320	8.66650	34.36639
5.16217	-60.93173	7.83954	7.00259	6.13492	17.46766	52.57419	34.70878	0.00000	6.52064	1178.20579	6.34415	6.27187	-31.4488	0.31413	9.47293	7.80314	66.11944
10.01466	6.51352	8.31110	7.13439	9.28017	11.12193	60.48240	42.92844	1.00000	9.61926	1151.78346	8.55707	4.69797	51.19139	0.94017	10.62434	6.87576	52.99246
	-48.67028	4.86898	6.94551	10.74525	16.52759	27.46050	48.26164	0.00000	8.91711	1074.32811	7.26698	11.16469	-28.24	0.43000	9.78908	6.74332	65.62300
10.23564	-88.81395	6.43908	8.40038	7.59546	19.13980	73.53776	65.77524	0.00000	9.71922	1136.79580	12.28312	6.69263	35.61452	0.32128	9.51365	5.26319	51.91217
2.37696	139.07204	7.50252	7.89236	9.11238	8.52496	41.51583	56.86487	0.00000	11.12454	1067.24361	7.51155	11.18271	36.24624	0.08026	7.87817	6.60659	70.25825
7.07833	3.47717	7.72708	7.18259	8.14155	6.83692	57.77439	61.66674	1.00000	9.92572	1143.54547	8.77832	5.41829	36.76639	0.08332	8.00321	7.40662	44.37873
4.66623	1.00288	6.91649	9.49789	7.53237	24.85387	35.61748	43.24473	1.00000	11.22786	1128.11819	5.48023	8.49471	49.28669	0.06653	5.43707	7.55803	59.26090
9.70944	71.57737	7.68288	8.69458	7.54029	24.04697	46.76394	63.53854	0.00000	9.18995	1079.72369	10.85795	6.34579	21.53889	0.17642	8.65408	5.12579	62.75654
8.87136	-0.76773	8.83316	7.80954	6.08271	16.43149	43.78937	72.75665	0.00000	4.91029	1161.86764	8.08820	5.02617	38.38479	0.15454	8.49220	7.65919	72.38879
4.16560	103.6032	6.09989	7.22458	8.11832	11.79337	62.27983	56.99202	0.00000	9.60782	1197.87836	9.55843	8.37956	1.6561	0.17822	8.63444	7.38847	30.14216
6.22217	140.11667	8.18754	7.49318	8.76411	-2.44971	40.09669	56.02422	0.00000	8.56097	1101.83824	10.47497	4.99518	37.56667	0.04402	6.53760	5.84650	44.92498
8.01679	23.225	7.67741	7.00544	10.13618	24.09900	50.69290	42.86117	1.00000	5.74126	1135.31246	5.06109	8.49606	43.4125	0.03885	6.38040	8.11545	48.15848
6.33071	51.49621	8.17679	6.86258	6.61116	8.18055	41.49861	60.77180	0.00000	6.72948	1075.42720	6.81235	5.91043	36.64852	0.14671	8.52746	7.13044	79.16630
9.22345	31.3237	7.92817	7.40955	8.54055	26.19022	68.80178	55.26871	0.00000	9.73454	1130.56747	9.77724	5.84279	52.4089	0.42216	9.80054	8.65397	47.00651
10.19376	-50.19556	6.22653	5.87053	8.15149	11.99145	60.91140	90.28633	1.00000	8.99608	1165.31569	8.86473	4.89171	-19.72806	0.46855	9.90122	7.55453	59.57031
9.55182	-87.65644	7.81320	5.95801	8.71641	7.53192	50.07418	70.58925	1.00000	9.63866	1050.17270	9.82016	6.08154	41.80753	0.39014	9.72138	9.55516	70.17939
9.00917	-120.43572	6.77756	6.63207	9.42752	7.01040	42.16104	49.98321	0.00000	7.30745	1174.91207	11.14307	6.69424	34.95303	0.90991	10.60485	8.04392	37.13876
4.60400	3.39467	7.83231	7.47135	5.89522	28.28950	50.63435	57.17122	0.00000	9.68650	1170.04098	9.89290	7.15835	6.45407	0.75352	10.42451	8.93586	55.91773
10.03509	77.0202	7.07314	6.20159	9.21536	1.42965	59.06778	42.39761	1.00000	7.51161	1147.67714	8.46840	6.38894	43.41949	0.14133	8.45178	9.11200	52.54904
7.96870	-122.24092	7.77537	6.96313	7.75853	20.91317	63.85221	64.76962	1.00000	9.75192	1196.60064	8.71919	5.50741	47.4943	0.18053	8.80011	8.97403	53.93625
6.96856	60.70278	8.54603	7.75292	5.48891	1.99488	54.42894	27.12666	1.00000	9.73750	1143.00413	9.28398	6.57141	55.75556	0.14228	8.56318	7.42503	46.00101
8.22013	-37.07167	7.31506	6.36106	8.72388	3.11308	52.87934	38.13618	1.00000	9.56669	1080.27218	9.06736	5.58053	-10.91111	0.25080	9.21935	6.22651	50.09888
6.90215	21.32778	6.99593	8.23870	9.61470	30.13948	27.78970	47.48495	1.00000	8.65977	1190.39141	7.50601	7.10831	42	0.13864	8.41862	8.57494	61.17984
