QoS	revision	latitude	location	longitude	station
building	22 Sep 2019	25.95533	Asia/Karachi	68.88871	Jhol
maintenance	2020-04-18	33.78333	Asia/Shanghai	114.51667	Wacheng
excellent	2019/12/19	17.94979	America/Mexico_City	-94.91386	Acayucan
building	2016/10/06	43.61062	America/New_York	-72.97261	Rutland
excellent	03/29/2013, 00:00:00	50.75932	Europe/Kiev	25.34244	Lutsk
accep	11 Feb 2017	39.33427	America/New_York	-76.43941	Middle River
excellent	2022-06-03	33.78333	Asia/Shanghai	114.51667	Wacheng
maintenance	2018/03/24	52.53048	Europe/Berlin	13.29371	Charlottenburg-Nord
excellent	2021/08/25	55.63711	Europe/Moscow	37.38115	Solntsevo
good	04 Feb 2017	51.84819	Europe/London	1.26738	Walton-on-the-Naze
excellent	2021-04-23	37.05944	Europe/Istanbul	37.3825	Gaziantep
average	2014-12-16	-23.44361	America/Sao_Paulo	-51.87389	Sarandi
excellent	2016-11-20	40.85158	Asia/Shanghai	122.74754	Haicheng
excellent	2015/12/19	61.72744	Europe/Stockholm	17.10558	Hudiksvall
excellent	2017-11-25	21.53889	Asia/Kolkata	71.57737	Gariadhar
accep	22 Dec 2018	-31.25033	America/Argentina/Cordoba	-61.4867	Rafaela
average	2013-10-11	53.78333	Europe/London	-1.06667	Selby
excellent	2020/05/08	-7.81667	Asia/Jakarta	112.01667	Kediri
excellent	2022/02/18	6.46346	Africa/Accra	-2.31938	Bibiani
excellent	2015-06-13	51.47805	Europe/Berlin	6.8625	Oberhausen
good	2015/02/22	53.38333	Europe/London	-0.76667	Gainsborough
maintenance	2018/07/02	30.76468	Asia/Karachi	74.12286	Kanganpur
maintenance	2013-08-02	17.30858	Asia/Yangon	97.01124	Kyaikto
average	08/27/2022, 00:00:00	39.00622	America/New_York	-77.4286	Sterling
maintenance	2018/05/08	43.82634	Asia/Tokyo	144.09638	Motomachi
average	10/13/2016, 00:00:00	-26.93366	Africa/Johannesburg	29.24152	Standerton
good	2018-01-13	2.2139	Asia/Kuala_Lumpur	102.3278	Kampung Ayer Molek
maintenance	11/24/2018, 00:00:00	42.8139	Europe/Madrid	-1.64295	Segundo Ensanche
good	18 Jan 2014	36.81667	Asia/Shanghai	117.81667	Zhoucun
average	2013/10/19	40.92298	Europe/Rome	14.30935	Afragola
accep	2016-01-22	8.48714	Africa/Freetown	-13.2356	Freetown
accep	2017-12-23	-6.48167	Asia/Jakarta	106.85417	Cibinong
average	09/07/2019, 00:00:00	29.21399	Asia/Kolkata	78.95693	Kashipur
average	04 Sep 2014	37.65181	Asia/Shanghai	120.33063	Longgang
good	03 Jan 2021	1.6	Asia/Kuala_Lumpur	103.81667	Ulu Tiram
good	26 Nov 2021	51.65	Europe/London	-0.2	Barnet
average	2014/12/29	61.72744	Europe/Stockholm	17.10558	Hudiksvall
average	2013/01/08	35.95664	Asia/Damascus	36.7138	Binnish
average	2017/02/20	21.46527	Asia/Kolkata	83.97573	Sambalpur
good	2018-01-17	-25.54073	Australia/Brisbane	152.70493	Maryborough
excellent	01/19/2015, 00:00:00	55.38752	Europe/Moscow	36.73307	Naro-Fominsk
accep	2017/05/21	39.71734	America/New_York	-74.96933	Sicklerville
accep	11/19/2012, 00:00:00	11.12018	Asia/Kolkata	76.11996	Manjeri
excellent	2020/09/05	42.97086	America/Detroit	-82.42491	Port Huron
accep	2018-03-18	25.75728	Asia/Kolkata	75.37991	Deoli
average	04 Aug 2020	55.64776	Europe/Moscow	38.02486	Malakhovka
average	12/30/2020, 00:00:00	-8.66667	America/Recife	-35.71667	Catende
accep	2013/04/15	22.10194	Asia/Kolkata	85.37752	Barbil
good	2014/08/03	-14.66463	America/Cuiaba	-52.35558	Nova Xavantina
building	2016-07-01	53.78333	Europe/London	-1.06667	Selby
good	18 Feb 2019	40.49748	Asia/Yerevan	44.7662	Hrazdan
accep	2015/05/04	34.61667	Asia/Tokyo	135.6	Yao
good	2019/10/20	5.30383	Africa/Accra	-1.98956	Tarkwa
good	2013/07/14	34.86472	Asia/Shanghai	117.55417	Zaozhuang
maintenance	28 Feb 2017	41.20485	Europe/Lisbon	-8.33147	Paredes
accep	2022/06/12	-7.60361	Africa/Dar_es_Salaam	37.00438	Kidodi
average	22 Apr 2015	45.75279	Asia/Shanghai	130.57211	Boli
accep	2013/03/03	-1.9487	Africa/Kigali	30.4347	Rwamagana
building	2013/03/05	53.00974	Europe/London	-3.05814	Rhosllanerchrugog
average	2017/11/29	55.82737	Europe/London	-4.0573	Viewpark
average	2021-05-19	41.9001	America/New_York	-71.08977	Taunton
good	09/08/2020, 00:00:00	7.50251	Africa/Lagos	5.06258	Igbara-Odo
accep	2015-07-31	46.18396	Europe/Zurich	6.10237	Onex
accep	2019-01-24	41.50343	America/New_York	-74.01042	Newburgh
excellent	29 Mar 2014	34.61667	Asia/Tokyo	135.6	Yao
excellent	01/16/2018, 00:00:00	5.30383	Africa/Accra	-1.98956	Tarkwa
good	2017-11-28	0.76755	Africa/Lubumbashi	24.43973	Yangambi
building	2015/03/31	52.48173	Europe/London	-2.12139	Brierley Hill
average	21 Dec 2012	51.47805	Europe/Berlin	6.8625	Oberhausen
average	02/06/2022, 00:00:00	30.21121	Asia/Kolkata	74.4818	Malaut
accep	22 Jul 2014	41.55947	Europe/Rome	14.66737	Campobasso
average	06/27/2013, 00:00:00	37.08819	Europe/Lisbon	-8.2503	Albufeira
building	2020/06/09	27.85	Asia/Shanghai	112.9	Xiangtan
good	2020-06-02	25.6439	Asia/Kolkata	77.9129	Narwar
maintenance	2018-03-30	9.535	Africa/Conakry	-13.68778	Camayenne
excellent	2016/04/30	26.2173	America/New_York	-80.22588	North Lauderdale
accep	2017-06-05	41.47892	America/Chicago	-87.45476	Schererville
building	2015/09/02	29.38242	Asia/Karachi	70.91106	Alipur
good	2013/02/01	47.46657	Asia/Almaty	84.87144	Zaysan
excellent	2021-12-13	26.91756	America/New_York	-82.07842	Punta Gorda Isles
excellent	2019/06/09	47.48444	Europe/Zaporozhye	36.25361	Polohy
maintenance	30 Jul 2014	51.40944	Europe/Saratov	46.04833	Privolzhskiy
good	2016-04-08	51.78771	Asia/Yekaterinburg	56.36091	Saraktash
accep	2018/04/08	22.10194	Asia/Kolkata	85.37752	Barbil
excellent	03/29/2016, 00:00:00	50.82882	Europe/London	-0.32247	Lancing
excellent	10 Aug 2019	40.37528	Europe/Istanbul	28.88222	Mudanya
maintenance	10/12/2012, 00:00:00	55.75556	Asia/Yekaterinburg	60.70278	Ozersk
average	11/23/2019, 00:00:00	41.09246	Asia/Baku	45.36561	Qazax
average	2014/06/22	46.7055	Europe/Moscow	38.2739	Yeysk
average	02 Sep 2021	37.13548	Europe/Madrid	-3.67029	Las Gabias
average	01/25/2022, 00:00:00	40.57788	America/New_York	-73.95958	Brighton Beach
average	02/08/2018, 00:00:00	26.9423	Asia/Karachi	68.11759	Tharu Shah
good	2017/07/02	10.63504	America/Costa_Rica	-85.43772	Liberia
accep	02 Jan 2022	-37.32167	America/Argentina/Buenos_Aires	-59.13316	Tandil
building	20 Feb 2018	53.94313	Europe/Berlin	10.30215	Bad Segeberg
good	31 Dec 2020	40.24537	America/New_York	-75.64963	Pottstown
good	2019/07/03	17.54907	Asia/Kolkata	82.85749	Elamanchili
average	02 Feb 2013	-36.9256	America/Santiago	-73.02841	Chiguayante
good	06/19/2016, 00:00:00	37.16911	Africa/Tunis	10.03478	El Alia
building	2015-06-30	38.96372	America/New_York	-76.99081	Chillum
good	2019-03-26	53.53395	Europe/Moscow	33.72798	Zhukovka
accep	2019-01-06	-25.42944	America/Sao_Paulo	-50.00639	Palmeira
excellent	09 Mar 2016	53.43333	Europe/Dublin	-7.95	Athlone
excellent	04/19/2019, 00:00:00	40.78206	Asia/Tashkent	72.34424	Andijon
average	10 Nov 2014	37.56667	Asia/Tokyo	140.11667	Inawashiro
building	2015-07-18	37.16911	Africa/Tunis	10.03478	El Alia
building	2017-11-07	45.40008	America/Toronto	-73.58248	Sainte-Catherine
good	2017/09/06	32.54044	America/New_York	-82.90375	Dublin
excellent	11/18/2014, 00:00:00	35.06667	Asia/Tokyo	135.21667	Sasayama
accep	2015-10-03	3.27833	Africa/Kampala	32.88667	Kitgum
excellent	2017/09/10	24.41288	Asia/Kolkata	76.56719	Aklera
excellent	14 Dec 2012	43.31667	Europe/Madrid	-2.68333	Gernika-Lumo
good	06/30/2022, 00:00:00	28.71271	Asia/Kolkata	77.656	Pilkhua
good	2014/01/30	41.50343	America/New_York	-74.01042	Newburgh
building	14 Aug 2021	53.16167	Europe/Amsterdam	6.76111	Hoogezand
average	2014-11-05	17.06542	America/Mexico_City	-96.72365	Oaxaca
good	2018-04-07	25.87498	Asia/Kolkata	86.59611	Saharsa
maintenance	2014/02/03	52.48173	Europe/London	-2.12139	Brierley Hill
average	08/10/2016, 00:00:00	52.66277	Europe/London	-2.01111	Great Wyrley
average	07/06/2020, 00:00:00	41.75338	America/Indiana/Indianapolis	-86.11084	Granger
maintenance	2016-05-18	38.70734	America/New_York	-77.02303	Fort Washington
excellent	06/16/2016, 00:00:00	45.43341	America/Toronto	-73.86586	Beaconsfield
good	10/12/2018, 00:00:00	48.90472	Europe/Paris	2.2469	La Garenne-Colombes
good	2012-11-19	48.35693	Europe/Berlin	10.98461	Friedberg
average	04/09/2019, 00:00:00	51.88333	Europe/Berlin	8.51667	Verl
accep	16 Dec 2021	59.37722	Europe/Tallinn	28.19028	Narva
accep	2014-03-01	14.8361	Asia/Manila	120.97844	Guyong
accep	2013/05/04	19.21667	Asia/Kolkata	73.08333	Dombivli
good	29 Jan 2018	32.54278	Asia/Shanghai	111.50861	Danjiangkou
accep	07/06/2021, 00:00:00	51.4781	Asia/Yekaterinburg	57.3552	Kuvandyk
average	2019-12-18	52.48173	Europe/London	-2.12139	Brierley Hill
accep	08/03/2015, 00:00:00	40.87329	Europe/Rome	14.43865	Somma Vesuviana
average	2015-11-25	41.57439	Europe/Sofia	24.71204	Smolyan
excellent	26 Sep 2018	35.6803	Asia/Tehran	51.0193	Shahre Jadide Andisheh
maintenance	2014-06-10	-10.91722	America/Maceio	-37.65	Lagarto
maintenance	08/10/2019, 00:00:00	53.69786	Europe/London	-2.68758	Leyland
accep	2021/08/20	58.1908	Europe/Moscow	40.17171	Danilov
average	08 Apr 2017	49.97704	Europe/Berlin	9.15214	Aschaffenburg
good	30 May 2017	50.75	Europe/Paris	2.25	Saint-Omer
average	10 Jul 2021	35.95664	Asia/Damascus	36.7138	Binnish
accep	2014/09/03	14.46693	Asia/Kolkata	75.92694	Davangere
average	2020-09-26	53.59337	Europe/Berlin	9.47629	Stade
excellent	2013-10-25	10.13361	Asia/Manila	124.84472	Maasin
good	14 Sep 2014	42.58342	America/New_York	-71.8023	Fitchburg
accep	2016/10/22	40.70995	Europe/Madrid	0.57856	Amposta
good	02/24/2017, 00:00:00	-25.42944	America/Sao_Paulo	-50.00639	Palmeira
average	01 Mar 2016	34.08565	Asia/Kolkata	74.80555	Srinagar
average	2017-01-08	34.65918	Asia/Shanghai	109.22921	Yanliang
good	2018/12/31	30.24706	Asia/Shanghai	115.04814	Huangshi
excellent	04/30/2022, 00:00:00	-19.72806	America/Sao_Paulo	-50.19556	Iturama
average	2021/05/26	14.66	Asia/Manila	120.56528	Pilar
maintenance	2021/09/29	50.5107	Europe/Warsaw	18.30056	Strzelce Opolskie
accep	19 Jan 2016	40.24537	America/New_York	-75.64963	Pottstown
good	2012-11-22	20.21322	America/Mexico_City	-100.88023	Salvatierra
accep	24 Feb 2016	42.7	Europe/Sofia	27.25	Aytos
good	2018-11-14	55.82737	Europe/London	-4.0573	Viewpark
accep	02/09/2019, 00:00:00	57.14369	Europe/London	-2.09814	Aberdeen
average	2021-10-11	50.09019	Europe/Berlin	8.4493	Hofheim am Taunus
accep	01/25/2020, 00:00:00	51.78967	Europe/London	1.15597	Clacton-on-Sea
good	09 Oct 2016	48.28259	Europe/Berlin	9.72749	Ehingen
average	2019/07/24	-23.44361	America/Sao_Paulo	-51.87389	Sarandi
maintenance	2019-03-28	32.61603	Asia/Baghdad	44.02488	Karbala
excellent	03/21/2016, 00:00:00	44.80477	Europe/Paris	-0.59543	Talence
average	04/20/2018, 00:00:00	41.8542	America/Chicago	-87.66561	Lower West Side
good	2018-03-08	35.74788	America/Chicago	-95.36969	Muskogee
excellent	14 Sep 2018	-30.60106	America/Santiago	-71.19901	Ovalle
accep	04/08/2013, 00:00:00	20.22816	America/Mexico_City	-103.5687	Zacoalco de Torres
accep	08 Aug 2017	53.14657	Asia/Vladivostok	140.72287	Nikolayevsk-on-Amure
good	2022/09/17	31.20176	Africa/Cairo	29.91582	Alexandria
good	08/09/2013, 00:00:00	31.92923	Asia/Jerusalem	34.86563	Ramla
building	2018/02/17	-7.01833	Asia/Jakarta	107.60389	Pameungpeuk
excellent	2018-05-05	-29.2975	America/Sao_Paulo	-51.50361	Carlos Barbosa
accep	10/31/2019, 00:00:00	9.92787	America/Costa_Rica	-84.13722	San Rafael
good	2013-06-15	2.2139	Asia/Kuala_Lumpur	102.3278	Kampung Ayer Molek
maintenance	2017/09/24	35.85	Asia/Shanghai	117.7	Dongdu
excellent	09/02/2015, 00:00:00	-54.8	America/Argentina/Ushuaia	-68.3	Ushuaia
maintenance	23 Mar 2017	39.22493	Europe/Istanbul	42.85693	Patnos
accep	2014-12-04	50.80904	Europe/Berlin	8.77069	Marburg an der Lahn
excellent	2018/04/06	14.0823	Asia/Yangon	98.19151	Dawei
accep	2017-01-31	-4.42472	America/Fortaleza	-41.45861	Pedro II
accep	17 Jun 2022	-14.66463	America/Cuiaba	-52.35558	Nova Xavantina
average	2022/06/11	2.2139	Asia/Kuala_Lumpur	102.3278	Kampung Ayer Molek
excellent	06/09/2022, 00:00:00	30.75545	Africa/Tripoli	20.22625	Ajdabiya
good	2014/02/17	34.4833	Asia/Tokyo	136.84186	Toba
excellent	08 May 2014	13.44581	Asia/Bangkok	101.18445	Phanat Nikhom
average	16 Oct 2018	25.87972	America/Matamoros	-97.50417	Heroica Matamoros
good	2021/06/14	46.1351	America/Glace_Bay	-60.1831	Sydney
excellent	09 May 2016	41.75338	America/Indiana/Indianapolis	-86.11084	Granger
good	04 Mar 2013	9.6531	Asia/Manila	124.3697	Jagna
average	2017/03/15	32.54278	Asia/Shanghai	111.50861	Danjiangkou
accep	30 Jun 2013	53.53041	Europe/Moscow	43.67663	Nizhniy Lomov
excellent	2021/06/02	55.1904	Europe/Minsk	30.2049	Vitebsk
accep	2018/09/02	47.48444	Europe/Zaporozhye	36.25361	Polohy
maintenance	2014-08-15	45.16024	America/Chicago	-93.08883	Lino Lakes
excellent	2022/04/12	-25.42944	America/Sao_Paulo	-50.00639	Palmeira
excellent	08/14/2018, 00:00:00	33.50921	America/Phoenix	-111.89903	Scottsdale
accep	2021/04/20	18.65297	America/Port-au-Prince	-72.09391	Thomazeau
excellent	2015/12/18	34.25807	America/Chicago	-88.70464	Tupelo
building	05/31/2016, 00:00:00	20.88098	Asia/Kolkata	75.11937	Parola
accep	2017/02/28	42.30865	America/Detroit	-83.48216	Canton
good	2022-02-02	39.09112	America/Chicago	-94.41551	Independence
accep	07/27/2021, 00:00:00	18.00747	America/Jamaica	-76.78319	New Kingston
accep	15 Feb 2013	50.7236	Europe/London	-3.52751	Exeter
maintenance	2019-02-01	33.45122	America/Chicago	-86.99666	Hueytown
building	2018-02-20	14.46693	Asia/Kolkata	75.92694	Davangere
average	2015-05-09	29.98869	Asia/Shanghai	122.20488	Zhoushan
good	2019/10/06	-4.06667	Africa/Dar_es_Salaam	37.73333	Same
average	2014/12/20	40.53123	Europe/Rome	17.58522	Francavilla Fontana
average	02/26/2016, 00:00:00	-1.26753	Asia/Makassar	116.82887	Balikpapan
good	22 Jan 2017	9.91861	America/Caracas	-68.30472	Tinaquillo
excellent	04 Jul 2021	46.23899	America/Halifax	-63.13414	Charlottetown
accep	2017-10-06	33.08014	America/New_York	-83.2321	Milledgeville
good	2019-02-11	41.50343	America/New_York	-74.01042	Newburgh
maintenance	09/27/2018, 00:00:00	-7.73379	Asia/Jakarta	113.69785	Besuki
good	2022-06-07	10.12268	Asia/Kolkata	77.54372	Periyakulam
good	18 Jul 2014	40.72586	Europe/Rome	8.55552	Sassari
accep	2016/06/29	30.16688	America/Chicago	-96.39774	Brenham
average	08/30/2014, 00:00:00	9.3337	Asia/Manila	122.8637	Santa Catalina
accep	2013-09-02	41.57439	Europe/Sofia	24.71204	Smolyan
accep	2013-12-14	-6.91806	Asia/Jakarta	106.92667	Sukabumi
good	04/03/2016, 00:00:00	5.90702	Asia/Kuching	116.10146	Donggongon
maintenance	11/27/2015, 00:00:00	25.6439	Asia/Kolkata	77.9129	Narwar
average	08 Aug 2019	-1.63333	Africa/Libreville	13.58357	Franceville
accep	2020/10/07	43.78956	Europe/Rome	7.60872	Ventimiglia
excellent	2020/02/20	34.65918	Asia/Shanghai	109.22921	Yanliang
average	2022/08/02	40.63316	America/New_York	-74.13653	Port Richmond
average	25 Nov 2018	44.35056	Asia/Tokyo	142.45778	Nayoro
maintenance	15 Feb 2018	-1.63333	Africa/Libreville	13.58357	Franceville
good	2015/03/16	51.955	Europe/Amsterdam	5.22778	Culemborg
building	23 Oct 2019	38.54491	America/Los_Angeles	-121.74052	Davis
accep	2017-02-19	52.21099	Europe/Berlin	7.02238	Gronau
average	2017-06-04	43.91452	America/New_York	-69.96533	Brunswick
maintenance	2013-09-21	55.85	Europe/Moscow	37.56667	Likhobory
maintenance	02/10/2020, 00:00:00	48.8222	Europe/Paris	2.12213	Le Chesnay
excellent	24 Jan 2020	41.91738	Europe/Madrid	3.1631	Palafrugell
average	2021-12-14	51.84819	Europe/London	1.26738	Walton-on-the-Naze
average	2020/12/09	48.78232	Europe/Berlin	9.17702	Stuttgart
accep	2016/02/29	-11.48472	America/Bahia	-37.93278	Rio Real
good	10/30/2013, 00:00:00	34.81667	Asia/Tokyo	137.4	Toyokawa
maintenance	05/29/2016, 00:00:00	33.78333	Asia/Shanghai	114.51667	Wacheng
accep	08/12/2013, 00:00:00	45.9836	Europe/Rome	12.70038	Cordenons
average	2020/08/22	-3.20333	America/Santarem	-52.20639	Altamira
accep	12/04/2014, 00:00:00	56.03361	Europe/Moscow	35.96944	Volokolamsk
good	30 Jul 2018	31.78336	Asia/Hebron	35.23388	East Jerusalem
accep	2022-04-30	50.09019	Europe/Berlin	8.4493	Hofheim am Taunus
excellent	13 Jan 2017	31.84568	America/Chicago	-102.36764	Odessa
good	05 May 2017	36.02506	America/Chicago	-86.77917	Brentwood Estates
building	2017/06/25	53.69786	Europe/London	-2.68758	Leyland
accep	22 Sep 2018	12.97389	Asia/Manila	123.99333	Sorsogon
excellent	2020/11/02	32.55531	Asia/Kolkata	76.12647	Chamba
building	2019-12-08	42.35843	America/New_York	-71.05977	Boston
average	15 Sep 2014	51.64316	Europe/London	-0.36053	Bushey
maintenance	2018-07-24	-33.75881	Australia/Sydney	150.99292	Baulkham Hills
good	04 Jun 2013	51.67822	Europe/Kiev	33.9162	Hlukhiv
excellent	2016/06/24	43.50891	Europe/Zagreb	16.43915	Split
maintenance	2015-02-06	-10.91111	America/Maceio	-37.07167	Aracaju
average	06/13/2016, 00:00:00	36.65	Asia/Tokyo	138.31667	Suzaka
good	2020/02/01	14.62072	Asia/Kolkata	74.83554	Sirsi
average	02/05/2014, 00:00:00	26.91756	America/New_York	-82.07842	Punta Gorda Isles
accep	2013-08-13	38.40917	Asia/Shanghai	112.73333	Xinzhou
good	2015/06/09	-31.4488	America/Argentina/Cordoba	-60.93173	Esperanza
average	10/04/2021, 00:00:00	8.88649	Africa/Porto-Novo	2.59753	Tchaourou
accep	2020-11-11	52.66277	Europe/London	-2.01111	Great Wyrley
good	14 Apr 2015	40.67705	America/New_York	-73.89125	Cypress Hills
building	2018-06-28	43.11667	Europe/Paris	1.6	Pamiers
average	2017-10-04	53.59782	Europe/Moscow	34.33825	Dyat’kovo
excellent	2019-09-25	50.79205	Europe/London	-1.08593	Southsea
average	05 Aug 2020	38.70734	America/New_York	-77.02303	Fort Washington
maintenance	08/16/2020, 00:00:00	12.95629	Asia/Kolkata	78.27539	Robertsonpet
average	2022/01/23	44.73941	America/Chicago	-93.12577	Rosemount
average	2013-03-09	8.62261	America/Caracas	-70.20749	Barinas
average	03 Jul 2022	49.5099	Europe/Berlin	6.74549	Losheim
good	2021-12-01	43.4125	Europe/Sofia	23.225	Montana
average	2016/12/22	37.16911	Africa/Tunis	10.03478	El Alia
good	2022/03/07	37.08819	Europe/Lisbon	-8.2503	Albufeira
accep	2018-01-20	44.92934	Europe/Moscow	37.99117	Krymsk
good	02/29/2020, 00:00:00	15.79408	Asia/Bangkok	104.1451	Yasothon
accep	2016/03/10	38.06084	America/Chicago	-97.92977	Hutchinson
average	06/30/2020, 00:00:00	38.17492	America/Los_Angeles	-122.2608	American Canyon
accep	09/30/2019, 00:00:00	6.95194	Asia/Manila	121.96361	Recodo
building	2019/12/18	68.79833	Europe/Oslo	16.54165	Harstad
maintenance	2013-08-04	-17.73648	Pacific/Efate	168.31366	Port-Vila
accep	10 Jan 2016	0.46005	Africa/Nairobi	34.11169	Busia
excellent	2018-01-30	31.12406	America/Chicago	-97.90308	Copperas Cove
excellent	25 Nov 2020	-7.54972	Asia/Jakarta	110.71639	Ngemplak
good	2021/06/01	6.46838	America/Bogota	-73.26022	Socorro
excellent	24 Aug 2019	53.53333	Europe/Dublin	-7.35	An Muileann gCearr
average	10 Nov 2017	39.72943	America/Denver	-104.83192	Aurora
good	2022/01/25	5.27247	Africa/Abidjan	-3.59625	Bonoua
excellent	01 Oct 2019	40.2737	America/New_York	-76.88442	Harrisburg
accep	29 Oct 2014	65.93381	Asia/Yakutsk	111.4834	Aykhal
maintenance	06 Mar 2020	51.12794	Europe/Brussels	4.21372	Temse
average	04/12/2014, 00:00:00	3.3285	Asia/Jakarta	99.1625	Tebingtinggi
maintenance	2019-12-27	11.50526	Asia/Kolkata	77.23826	Sathyamangalam
building	16 Dec 2015	47.30997	Europe/Zurich	8.52462	Adliswil
excellent	08/02/2017, 00:00:00	33.35283	America/Phoenix	-111.78903	Gilbert
excellent	16 Nov 2012	-11.78333	Africa/Luanda	19.91667	Luena
building	03/12/2020, 00:00:00	35.89972	Europe/Malta	14.51472	Valletta
accep	11/07/2017, 00:00:00	11.12018	Asia/Kolkata	76.11996	Manjeri
good	03/27/2015, 00:00:00	34.06635	America/New_York	-84.67837	Acworth
good	2021/07/10	13.44581	Asia/Bangkok	101.18445	Phanat Nikhom
good	04/11/2013, 00:00:00	52.86147	Europe/Berlin	9.5926	Walsrode
good	05/27/2016, 00:00:00	53.38333	Europe/London	-0.76667	Gainsborough
maintenance	2013-09-09	33.45122	America/Chicago	-86.99666	Hueytown
excellent	2021/05/17	37.30553	Asia/Shanghai	120.82747	Zhuangyuan
excellent	02/04/2014, 00:00:00	59.33333	Europe/Stockholm	18.28333	Boo
good	2022/02/18	52.71083	Europe/Amsterdam	5.74861	Emmeloord
accep	05 Jul 2022	40.24537	America/New_York	-75.64963	Pottstown
excellent	08/20/2018, 00:00:00	47.64995	America/Los_Angeles	-117.23991	Opportunity
excellent	2022-03-12	-4.26613	Africa/Brazzaville	15.28318	Brazzaville
average	11/20/2018, 00:00:00	38.07789	Europe/Rome	13.44275	Villabate
maintenance	25 Feb 2020	6.25947	Asia/Bangkok	102.05461	Tak Bai
maintenance	2015-10-24	51.955	Europe/Amsterdam	5.22778	Culemborg
average	2019/07/03	37.19723	Asia/Shanghai	122.05228	Tianfu
maintenance	2022/08/12	55.54028	Asia/Krasnoyarsk	89.20083	Sharypovo
average	2014-02-22	40.87363	Europe/Rome	14.34085	Volla
accep	12/17/2017, 00:00:00	-10.95817	America/Bahia	-38.79084	Tucano
excellent	2016-09-08	59.33333	Europe/Stockholm	18.28333	Boo
maintenance	05 Apr 2017	32.54044	America/New_York	-82.90375	Dublin
building	06/11/2021, 00:00:00	50.74497	Europe/Brussels	3.20639	Mouscron
accep	08 May 2017	37.1759	Asia/Seoul	128.9889	T’aebaek
average	05/05/2020, 00:00:00	7.6	Africa/Lagos	4.18333	Olupona
good	2018-08-30	39.72943	America/Denver	-104.83192	Aurora
good	2022/01/30	52.2	Europe/Berlin	8.63333	Kirchlengern
excellent	08 Apr 2019	3.8801	America/Bogota	-77.03116	Buenaventura
excellent	27 Dec 2020	53.14657	Asia/Vladivostok	140.72287	Nikolayevsk-on-Amure
accep	2016/04/26	45.0408	America/Chicago	-93.263	Columbia Heights
accep	10 Oct 2013	-13.7804	Africa/Blantyre	34.4587	Salima
average	12/18/2020, 00:00:00	18.00747	America/Jamaica	-76.78319	New Kingston
accep	10/30/2015, 00:00:00	53.19146	Europe/London	-2.52398	Winsford
average	2022/08/19	61.78491	Europe/Moscow	34.34691	Petrozavodsk
building	2021/11/23	40.53123	Europe/Rome	17.58522	Francavilla Fontana
good	06/28/2022, 00:00:00	29.53885	America/Chicago	-95.44744	Fresno
maintenance	2020-05-20	25.92493	Asia/Kolkata	73.66633	Sojat
excellent	23 Feb 2016	36.61954	Africa/Algiers	4.08282	Beni Douala
average	06 Jan 2013	13.70727	Africa/Niamey	9.15013	Mirriah
good	06/23/2013, 00:00:00	53.78333	Europe/London	-1.06667	Selby
accep	20 Apr 2015	49.65186	Europe/Kiev	26.97253	Krasyliv
average	2013/11/12	43.67681	Europe/Paris	4.63031	Arles
accep	2013/03/07	33.54428	America/New_York	-84.23381	Stockbridge
excellent	19 Oct 2017	-1.26424	Asia/Jakarta	104.09701	Simpang
