PM2.5	latitude	H2CO	PAHs	NH3	Pb	O3	PM10	PRES	CO	C2H3NO5	warning	NOx	TEMP	SO2	longitude	CH4	CFCs
8.89811	34.86472	41.73772	7.21391	7.81002	42.95117	9.60913	11.44318	1158.08000	12.89170	2.04598	0.00000	8.16541	22.53083	8.13395	117.55417	7.09487	36.93009
11.43760	-33.75881	31.28715	7.44145	8.16351	25.38730	5.18240	8.61671	1139.24412	7.13774	0.15803	0.00000	7.63360	2.46929	10.18044	150.99292	7.87400	38.29152
9.87734	-22.57306	49.67627	10.90386	8.51574	48.95035	8.31124	10.65228	1195.16322	11.66516	0.94566	1.00000	9.61297	12.05507	7.68987	-47.1725	8.77621	39.66919
5.56269	45.79377	56.53685	8.30821	7.91712	48.90341	5.40255	8.93876	1120.87523	8.27719	0.22165	0.00000	8.41076	14.99496	10.64443	8.88104	6.69926	43.71119
11.31090	9.91861	65.30914	5.79407	6.73763	53.81136	7.85419	8.11125	1114.85915	6.95064	0.09293	1.00000	10.34723	12.51522	10.93459	-68.30472	8.88891	28.77917
5.46670	50.09019	60.72804	9.97472	10.28194	51.71869	7.56827	7.75545	1085.76328	9.37498	0.09346	0.00000	8.54155	15.52195	9.64360	8.4493	8.05538	47.54760
7.79603	36.76639	46.30428	10.51419	8.59286	66.81512	8.20320	10.54777	1193.52919	10.95786	0.86212	0.00000	7.35813	2.08652	8.40379	3.47717	9.33838	53.37595
11.62675	49.65186	68.50927	4.96623	9.48209	59.08722	6.78832	7.22996	1135.94178	8.00369	0.07161	1.00000	6.49011	17.42055	10.39775	26.97253	7.13134	60.32097
8.61001	23.1959	41.99150	10.72222	8.60824	43.70979	8.38693	10.62298	1060.90946	11.37240	0.93089	1.00000	8.45255	11.25479	10.67864	86.51499	7.47247	33.17234
10.21447	42.06166	53.51061	5.91700	9.21201	52.02470	6.97669	7.86210	1156.29043	8.20801	0.08374	1.00000	7.86104	14.64531	10.10756	-1.60452	8.12959	66.27700
12.29743	51.35084	37.47914	7.65930	8.12784	58.23375	5.51229	12.09352	1158.53687	11.87156	3.93797	1.00000	6.20867	5.80662	7.55218	-1.99421	8.33915	36.26164
4.99427	0.76755	45.47863	9.63298	7.01740	63.73535	6.48490	9.12600	1110.47393	10.94262	0.24776	0.00000	8.13447	27.50610	11.09518	24.43973	7.81436	51.07962
8.76204	-6.25	47.04455	6.92352	6.85896	49.42132	7.06985	8.62800	1193.51316	10.00775	0.15066	0.00000	9.33133	21.73894	9.55385	38.66667	6.22063	34.95840
9.62757	35.61452	32.30768	9.56082	5.40973	61.19612	8.94385	9.16791	1179.71602	9.17705	0.24627	1.00000	8.78447	17.29062	9.25230	-88.81395	9.63913	48.13989
9.40044	53.38333	53.39397	10.53337	7.84686	19.70948	9.74391	9.68428	1124.52225	8.44527	0.38570	1.00000	7.26599	15.12289	10.04870	-0.76667	7.60608	30.36122
6.53079	27.92333	51.84054	11.44002	7.70437	39.02549	8.80971	8.97193	1097.04391	9.15540	0.22392	0.00000	6.71935	15.47331	10.50830	118.53333	6.91041	20.84244
4.98992	7.6	42.19903	6.69155	7.57808	50.41454	4.09318	9.67703	1063.39046	8.52278		0.00000	8.16276	2.94889	10.42482	4.18333	8.39889	45.37958
10.08334	40.68066	31.22986	7.53684	8.35994	46.51184	7.62027	8.18444	1108.64022	7.41426	0.11837	1.00000	9.23210	15.57433	10.54881	-73.47429	9.02275	59.53419
11.71986	31.84568	50.63455	2.12855	8.03161	42.67930	4.76974	6.79774	1177.71203	10.77490	0.05545	1.00000	6.36534	29.46411	10.63717	-102.36764	6.46019	18.51509
6.93466	46.51872	49.60539	4.49730	10.72800	87.48992	7.71999	7.76509	1135.67959	10.53778	0.09429	0.00000	7.70348	-0.89124	9.12922	86.00214	7.61820	35.57552
9.47357	51.35084	61.53229	12.15342	7.69107	42.86069	9.38296	10.37961	1087.79521	8.83216	0.73332	1.00000	8.01487	8.71351	10.56525	-1.99421	7.56149	25.29014
9.82087	5.30383	52.75485	7.18258	7.75815	74.73826	9.78903	8.17792	1171.24646	8.55102	0.12545	1.00000	8.46955	20.14316	8.14586	-1.98956	8.05961	48.98123
8.64137	-4.06667	60.00684	7.52554	5.50490	48.28873	6.86858	11.93058	1108.73307	10.27709	3.35115	0.00000	9.66928	12.63664	9.38499	37.73333	5.91459	52.23411
9.51051	50.82882	46.20026	7.74827	7.95718	53.71034	9.71090	8.36053	1084.13693	7.78785	0.12440	1.00000	9.14523	20.22695	10.71506	-0.32247	7.57434	30.92477
9.94624	15.46063	37.04433	10.06599	7.90606	53.45728	9.18245	9.98137	1179.95202	8.39888	0.49197	1.00000	7.43933	9.47370	9.38304	99.89166	8.57530	63.88200
11.02424	23.73333	39.13090	8.51033	8.42570	49.47714	10.39499	6.67551	1189.41761	11.39335	0.06018	0.00000	6.69483	7.90579	4.71037	114.68333	6.90048	25.45088
9.44089	5.30383	45.42835	4.56627	8.66771	52.33718	4.52247	6.62129	1136.99120	12.23070	0.05966	1.00000	7.61989	18.26725	8.75085	-1.98956	7.19658	41.88031
9.78450	1.6	62.22975	7.89861	8.57401	60.03784	6.59836	9.49303	1152.05904	8.36006	0.31960	0.00000	7.01487	6.15032	7.18219	103.81667	8.66240	59.98332
7.45755	-4.42472	55.55422	6.77488	7.79989	55.60669	6.80610	10.44480	1136.27131	9.99394	0.80239	0.00000	8.43341	30.51859	8.83348	-41.45861	8.07168	35.55547
9.81854	48.77644	62.95559	8.04220	8.13926	36.27703	8.96137	9.35555	1083.73570	9.62582	0.28920	1.00000	9.28665	4.61456	9.06411	2.29026	8.05884	35.96059
7.81168	23.18	65.99150	7.52955	7.27565	51.31522	6.07025	10.53166	1152.76037	10.11157	0.84604	0.00000	9.97096	9.10730	11.01706	88.58	8.66176	51.85941
9.80361	11.12018	43.85609	4.05206	7.86927	57.03969	5.77747	7.02976	1133.82865	10.33318	0.05245	1.00000	7.76490	12.06918	10.01373	76.11996	8.95439	73.79593
8.31029	11.50526	76.44053	7.66788	8.47521	61.91454	10.78837	7.62375	1052.66218	5.90774	0.09585	1.00000	7.94143	8.33968	11.59986	77.23826	7.37075	56.28610
11.26863	40.55851	73.39306	11.06845	10.53284	41.20619	6.50449	12.81372	1142.70387	9.93158	8.04020	1.00000	7.72289	21.87814	9.35096	17.80774	7.16183	26.58719
8.36961	39.71734	51.89474	9.97404	8.51723	58.38369	10.12881	8.81119	1159.22697	10.56545	0.19853	1.00000	7.04419	11.40780	8.77140	-74.96933	7.13571	80.01262
11.13572	3.8801	30.21001	5.94044	9.36817	68.47675	7.48117	7.69972	1179.58182	7.45000	0.07517	1.00000	7.75587	-11.97535	10.67954	-77.03116	8.30215	39.71785
8.81973	36.75965	56.97947	3.76551	7.98264	40.25428	8.65975	7.26561	1151.04347	10.20934	0.08626	0.00000	6.67020	11.15624	7.89639	137.36215	7.90892	40.62812
8.98304	-11.78333	36.41130	8.63397	9.96459	45.24123	9.48177	8.58518	1089.15429	9.76199	0.15814	1.00000	7.91901	9.77531	9.80048	19.91667	9.40881	52.84147
8.96798	14.0823	41.55392	7.14324	6.90238	58.32704	5.88242	11.52738	1162.24408	8.96563	2.26335	0.00000	8.10426	20.16244	9.80601	98.19151	8.33635	49.70831
6.69981	14.66	23.12393	12.11350	7.94892	61.16210	13.09585	8.07759	1108.05320	6.18991	0.08644	1.00000	7.21964	28.13059	11.08281	120.56528	7.03577	40.10784
9.55240	50.71229	48.88945	8.92266	7.62652	39.82533	6.81926	5.02253	1116.20966	9.42979	0.03285	1.00000	8.88804	1.79244	8.55386	4.52529	9.09503	44.54900
9.91510	40.87329	45.22052	8.64344	7.84146	44.96150	10.86638	7.62131	1113.17406	5.62254	0.08682	0.00000	7.70324	-3.22422	10.50263	14.43865	8.99570	59.60473
9.93743	53.83333	64.60914	4.28552	8.85315	58.03766	4.81577	7.34151	1100.39081	11.18528	0.07465	1.00000	8.84842	28.00151	10.47066	-2.98333	8.31819	40.98608
11.33072	56.03361	47.67640	8.75608	9.28573	61.08387	5.81338	8.64931	1170.18501	8.04193	0.15316	0.00000	8.05575	15.80273	9.59805	35.96944	8.42603	42.54400
2.86329	41.27621	57.64442	7.42105	7.34928	56.04767	4.79943	8.81001	1143.43772	9.87424	0.17616	0.00000	7.58932	18.80912	11.60431	-72.86843	8.87970	72.98098
8.26828	51.82721	52.76806	6.61641	6.83741	50.87480	9.52231	8.25198	1067.90790	12.12227	0.12728	0.00000	9.52710	-4.42959	7.43298	107.60627	9.36757	52.73177
8.06517	37.1759	58.65882	6.78577	9.55722	57.73729	8.76059	11.05461	1076.13767	11.98400	1.42472	0.00000	7.46527	3.01210	8.13913	128.9889	7.50302	49.47943
5.74480	41.20485	46.76536	8.70207	8.26283	54.29360	5.86779	8.64111	1092.57550	8.56018	0.15207	0.00000	8.53737	20.84085	10.35676	-8.33147	7.53791	61.00754
	47.05	51.91056		7.48514	50.97815	4.11846	11.55360	1165.63865	8.03410	2.30766	0.00000	7.71474	13.42416	13.13313	15.46667	9.31143	61.70195
8.58224	41.55947	57.91844	6.84485	10.20808	63.93034	5.33964	6.34697	1144.74670	11.38349	0.04275	1.00000	6.67785	9.26942	9.18365	14.66737	8.67619	51.86892
10.43410	-4.42472	53.33143	10.58040	7.93383	49.31101	7.75559	11.09204	1110.04582	11.29667	1.46328	1.00000	8.15979	16.02841	9.32182	-41.45861	8.33811	78.70785
9.55390	41.92361	37.11447	9.72129	8.63874	43.82379	8.58265	5.88992	1069.55881	7.23973	0.03453	1.00000	8.68228	7.75839	10.59200	20.91361	7.31513	36.25705
8.52333	56.03361	35.61534	6.38364	5.88739	57.69361	7.45783	8.37635	1127.45280	9.05734	0.11734	0.00000	7.23113	8.33468	6.45850	35.96944	7.23768	44.54764
7.60871	-1.26753	42.46670	7.75435	6.96032	63.99250	5.91314	9.57690	1175.27585	9.85318		0.00000	8.20450	13.86622		116.82887	8.34732	37.70964
10.21456	41.57439	41.46299	8.69438	8.78732	44.37335	8.08337	10.36279	1107.47527	10.43250	0.72578	1.00000	8.33404	15.68635	9.20155	24.71204	8.97623	39.32714
8.73057	18.87813	75.34597	9.53770	7.95362	52.38907	7.44831	10.55427	1061.45646	10.74552	0.87379	0.00000	8.19997	22.95385	6.89076	72.93924	7.42879	44.86737
9.71050	40.37528	70.26010	4.75733	6.33292	34.23618	6.45990	6.69327	1072.81491	10.15914	0.04253	1.00000	9.23474	13.33037	9.33516	28.88222	7.33787	49.27553
7.88207	12.74409	59.31310	10.18481	9.04185	45.32382	8.51261	12.44379	1109.23800	11.81681	5.58835	0.00000	8.31187	1.22585	8.20436	-8.07257	7.54144	36.52043
4.04883	54.52156	53.32721	6.29141	6.40020	34.54011	3.51200	7.11665	1118.59017	9.83565	0.04988	0.00000	6.31880	21.47567	9.24497	9.5586	9.31198	49.69842
6.11995	-14.66463	71.03755	9.72949	6.68095	51.14069	7.24453	8.29079	1168.03749	8.56695	0.11817	0.00000	10.67502	-0.07304	9.75784	-52.35558	7.96637	18.79705
9.25554	37.16911	26.09675	6.72597	9.10879	45.34675	6.24945	4.33840	1065.93618	11.11672	0.04571	1.00000	8.70545	12.10070	8.48317	10.03478	5.21233	65.82361
8.04351	22.19303	49.64823	6.83903	9.23657	45.70806	6.79865	6.23884	1104.48629	10.27439	0.05688	1.00000	10.14947	25.33199	8.71448	88.18466	8.07638	41.12975
11.53815	34.21639	16.61273	5.98404	7.27802	43.36160	8.54781	7.69816	1163.46515	10.50003	0.08105	0.00000	9.20549	23.92918	9.57078	-119.0376	6.58748	53.31027
7.55545	40.24537	67.37297	5.40788	8.55223	55.83058	7.84511	11.49220	1135.87337	11.07912	2.18690	0.00000	7.18958	19.79994	9.07967	-75.64963	6.99554	67.95466
9.08814	36.46917	41.42838	9.56133	9.87569	28.16748	9.63166	9.24473	1133.82981	9.51333	0.25712	1.00000	6.85194	28.04340	8.71229	10.78222	8.25668	39.22799
9.57341	27.34089	50.61950	6.08872	8.48687	55.53592	6.51727	6.03676	1184.35353	9.94171	0.05649	1.00000	8.45387	18.25389	9.30452	117.4831	7.69684	36.88628
8.22559	35.815	40.80003	10.07281	8.75605	33.40363	9.58654	10.03114	1191.64902	9.81890	0.54471	1.00000	7.49029	14.78980	9.91166	139.6853	7.15448	34.81399
11.04399	7.6	43.82911	9.54094	8.34974	36.97228	7.30284	10.84103	1073.86466	9.31913	1.15420	1.00000	7.47928	-2.84970	10.55947	4.18333	8.86540	58.08566
6.85215	-26.93366	64.97403	10.56987	7.26092	23.04476	7.45477	7.21522	1091.50092	7.31334	0.04693	0.00000	8.19574	17.47012	10.20220	29.24152	8.07717	28.89822
6.53343	33.95015	48.68299	9.67386	7.56564	72.54003	6.11680	9.20791	1075.49018	9.02500	0.23732	0.00000	7.89140	5.33025	11.10128	-118.03917	9.25067	44.25436
7.39595	-1.26753	44.65503	9.96814	8.06996	34.85821	11.95240	7.41451	1183.25831	10.09631	0.07279	1.00000	8.58212	12.42889	6.51647	116.82887	8.29676	24.25813
7.78890	6.9909	52.83976	10.59176	6.48915	57.09284	9.32338	6.78708	1091.51879	6.74526	0.04723	1.00000	8.39555	15.19198	9.56814	79.883	7.04144	65.69066
9.21573	-27.76952	27.92974	8.60848	8.29138	35.88598	8.52338	9.83072	1139.83970	10.10610	0.45657	1.00000	7.96264	25.79353	8.80499	30.79165	7.79307	47.51367
9.11837	51.65	47.22397	9.88829	7.73871	48.81717	10.22250	9.62363	1069.97075	6.64246	0.35552	1.00000	8.46304	24.92499	12.17637	-0.2	8.82883	59.44120
9.46699	-7.01833	76.15618	4.98047	7.86096	58.56687	5.54830	6.80418	1167.12598	10.75462	0.06470	1.00000	8.51654	11.34853	9.54208	107.60389	7.62837	42.92067
7.46902	36.20389	72.82694	7.88173	8.61425	52.89202	6.50482	6.06271	1137.58126	11.10100	0.04794	1.00000	9.04602	17.85353	8.17962	127.08472	6.43004	57.62731
10.46262	33.54428	59.01669	7.76581	6.63253	74.89020	7.94629	9.47388	1111.74618	10.67788	0.32566	1.00000	9.34453	15.51988	9.27354	-84.23381	8.10593	53.44734
7.47794	13.44581	63.65133	7.90182	6.83320	56.25408	5.06869	10.02651	1111.71575	9.57118	0.54620	0.00000	6.68880	34.44208		101.18445	8.65184	36.23078
10.22304	42.35843	49.98604	3.87510	7.99674	20.89608	5.63792	8.62635	1189.08436	9.65503	0.14514	1.00000	8.10053	-2.43503	11.12673	-71.05977	5.49276	50.14133
10.54445	45.43341	60.55058	7.14901	8.47088	37.02986	5.89932	10.78455	1143.21500	8.46793	1.06603	0.00000	8.45654	20.24549	10.09043	-73.86586	7.86265	46.89758
5.61965	8.88649	38.75245	6.91830	8.70777	50.10229	3.54579	10.34025	1072.65219	8.37314	0.73350	0.00000	6.93267	23.60523	11.36762	2.59753	8.57160	39.63097
7.07357	12.74482	42.38661	10.69662	8.64672	53.92947	7.52818	8.43617	1153.53537	11.31682	0.14897	0.00000	7.22030	18.44488	9.07666	4.52514	10.04302	41.94182
9.38201	40.72816	58.36647	7.61650	9.29109	55.34158	9.53775	9.02513	1094.72949	8.55560	0.22895	1.00000	8.08511	32.48694	9.86030	-74.07764	7.22319	75.46244
