O3	latitude	PM2.5	CFCs	warning	NH3	longitude	CO	CH4	SO2	PRES	H2CO	TEMP	PAHs	C2H3NO5	Pb	PM10	NOx
10.67556	51.64316	11.67876	36.33833	1.00000	8.38811	-0.36053	8.72372	7.76579	7.49457	1092.15005	50.93485	18.66231	10.56191	14.50850	49.67079	11.01928	
8.30753	48	10.90533	35.35385	0.00000	9.37805	-4.1	7.59947	10.48086	7.33677	1061.33421	69.16603	19.78401	8.29812	1.03055	46.60814	8.09607	9.45902
11.08000	55.64776	9.88322	40.86219	0.00000	9.72646	38.02486	10.05010	7.18302	6.17236	1149.14237	41.71071	14.17730	8.76354	1.13573	33.38823	8.23539	10.73477
10.96879	30.76468	10.70495	54.92119	0.00000	9.94528	74.12286	8.68817	6.42999	8.91087	1138.36433	58.09252	7.44153	10.55150	4.77346	41.81440	9.87347	11.14283
9.16632	43.32393	10.31205	48.90937	0.00000	9.35093	5.4584	11.96497	6.88398	7.23579	1158.87261	57.02541	12.28848	8.76215	3.75580	60.64686	9.62322	8.78997
12.52078	25.92127	9.01509	70.77302	1.00000	10.92436	86.79271	6.58881	6.11736	8.55347	1129.93206	61.27482	20.29825	9.56838	0.21600	47.99391	6.08873	12.22417
5.32812	53.6052	12.98052	61.68150	0.00000	9.73486	10.03988	9.04906	10.60847	4.16064	1135.63632	33.12222	6.30345	8.70130	0.82542	40.95064	8.02408	9.86288
9.81776	19.8173	8.64308	37.79464	1.00000	10.33013	-97.35992	8.71203	5.57532	13.47262	1079.26231	72.92472	24.02664	8.36545	1.74455	39.52306	8.81182	10.23001
12.80229	40.98894	12.44037	44.25470	0.00000	9.97461	28.67582	12.16777	6.08719	8.14573	1060.20164	32.99806	10.91032	9.80450	1.33082	56.91942	8.59320	11.53775
5.27360	39.78504	10.21219	78.95918	1.00000	9.87586	-85.76942	8.80310	8.22856	10.70978	1056.21104	46.83210	30.60691	7.76452	6.21373	39.24773	10.18152	5.07319
8.41883	50.72043	9.78656	42.57817	1.00000	8.33937	11.34046	6.18795	9.72306	8.84846	1131.71871	55.48574	21.91716	7.96555	0.75401	51.45563	7.53809	8.10373
9.86503	51.65333	10.93099	31.53537	0.00000	9.08193	5.2875	11.71820	8.09236	9.29471	1065.17819	64.62492	34.64142	8.31088	1.85545	60.03155	8.80351	9.69062
10.22100	49.97704	9.33090	48.45760	1.00000	8.59769	9.15214	5.84284	5.21019	9.56015	1183.08025	47.89933	33.66780	9.22216	1.61565	52.19246	8.83971	11.34492
8.33501	55.62047	9.67952	42.01498	1.00000	8.67318	37.49338	9.47390	8.08413	12.22396	1083.59271	48.73657	11.23832	10.25312	0.67949	64.58037	7.70639	8.17676
8.42637	51.47805	12.02468	78.43455	1.00000	9.40377	6.8625	9.57408	9.26662	5.88858	1089.93273	76.50724	1.65339	9.91258	3.74000	54.05114	9.69949	8.92936
8.33210	-28.44917	9.71088	45.55767	1.00000	8.19408	-52.2	7.96190	5.98716	11.93724	1105.50062	24.60816	-3.55624	9.09694	1.42728	51.67420	8.57431	9.65511
7.30840	42.67164	11.20543	75.92508	1.00000	9.77919	14.01481	7.23716	8.85948	8.18934	1180.46202	35.18644	16.57043	8.98040	34.31556	62.05577	11.88148	6.19658
7.87616	0.46005	8.74432	45.66737	1.00000	8.89831	34.11169	8.45140	8.10913	11.33717	1187.32183	35.13965	31.10973	9.03759	1.35539	25.10100	8.68541	8.09080
9.65427	39.57582	10.99808	59.17171	1.00000	7.95773	-105.11221	9.41921	10.40297	5.94387	1136.95059	45.56328	22.93397	9.71259	2.81239	47.29961	9.38982	9.26965
11.16085	53.46506	8.31477	53.93217	1.00000	8.66136	-1.47217	4.00389	3.41172	11.01721	1144.87160	58.63557	17.64643	8.90259	3.12930	36.01773	9.42273	11.70063
11.45278	45.16024	10.60361	60.83654	1.00000	9.95189	-93.08883	8.64410	8.50039	8.54784	1134.17888	71.44117	22.37053	9.78478	1.90743	47.57284	9.01746	10.66540
8.66746	41.24255	10.35344	40.20127	1.00000	9.25191	-82.61573	7.24927	8.98530	9.51612	1067.85785	44.54286	8.36325	8.35422	3.27353	66.37956	9.50962	8.25520
4.92544	52.57583	11.96557	57.06897	1.00000	9.60364	6.61944	7.52216	8.77375	8.10066	1156.07691	47.68792	24.07466	7.12575	3.55501	25.52618	9.55799	3.94167
8.83106	51.21187	8.40227	43.26978	1.00000	10.14935	4.25633	6.08706	7.92432	8.23504	1134.01133	60.98791	3.03921	10.34040	5.23438	63.48675	10.01106	10.32767
9.19748	43.82634	9.40527	67.09082	0.00000	9.88755	144.09638	9.03908	8.25047	7.39868	1131.69364	43.75662	12.42811	9.59936	1.05481	48.62491	7.92428	9.56559
12.87813	56.11281	11.21684	61.74720	0.00000	9.87269	69.49015	9.10306	5.80099	7.53788	1087.70779	64.16598	-2.73668	8.48977	2.25140	47.98341	9.08641	12.21745
10.57347	50.23271	9.65057	45.56433	1.00000	8.65882	12.87117	7.01527	5.20364	8.24121	1087.42517	63.51078	15.78980	7.81293	1.30845	50.25153	8.65222	12.40249
13.00344	21.28306	11.37292	61.79217	0.00000	10.29024	-89.66123	5.92195	5.91937	11.08736	1098.54120	61.61458	10.99681	9.12301	2.56558	45.59720	9.23617	8.39419
6.73125	22.49396	9.21092	29.04238	1.00000	9.24429	-105.36369	5.31946	10.02821	8.88717	1168.16272	38.71705	17.37170	7.23304	3.51057	42.99555	9.57487	7.13956
8.18854	39.59611	11.05490	57.19915	1.00000	8.70636	27.02444	7.99855	8.84721	6.51106	1111.11742	51.12258	14.89772	9.71987	4.23263	64.89362	9.73363	9.29980
8.44663	50.76306	10.43308	30.73859	0.00000	9.10213	-1.29772	6.79055	9.77198	8.88292	1061.66616	23.92146	36.76037	8.56520	1.18827	59.23126	8.56691	6.92936
6.74075	36.6009	9.80468	43.41274	1.00000	10.05602	126.665	11.75476	8.89232	11.91909	1144.26047	54.53564	3.51806	9.66135	0.63431	46.09393	7.93811	5.00008
11.31183	23.29549	9.77442	38.61652	1.00000	9.47986	113.82465	7.43518	8.63311		1157.65774	82.25813	10.47811	8.47749	2.53929	49.53135	9.17311	10.43932
7.92025	50.76306	9.90713	49.70373	1.00000	9.23257	-1.29772	9.47265	5.86948	12.07723	1085.53561	48.08415	7.85151	9.29710	8.87841	37.74290	10.53144	7.58670
8.56170	48.98333	10.44985	51.56905	1.00000	9.14561	2.61667	6.82913	7.41152	10.27490	1192.99279	48.60510	30.23350	9.48702	8.20529	39.78972	10.43164	8.98691
7.84856	50.79205	11.02888	37.20499	1.00000	9.02083	-1.08593	9.98565	5.08283	12.48037	1109.42922	67.19887	18.81799	9.40236	1.54645	29.39081	8.70244	8.13891
9.51775	25.13915	11.86784	48.32520	1.00000	9.15921	73.06784	8.67196	8.33754	6.91376	1147.66018	56.13024	5.37295	9.86496	2.73906	54.37819	9.39616	8.69723
6.38207	23.73333	10.23080	53.07466	0.00000	9.39307	114.68333	9.08734	11.42475	5.49294	1138.46825	60.82786	5.28330	7.62273	1.90632	52.88303	8.97131	10.70974
6.83535	53.69786	10.86645	47.47118	1.00000	9.05159	-2.68758	7.89657	7.15523	10.49190	1184.19491	47.40214	24.84233	8.58534	8.35773	45.74306	10.47514	7.36173
8.99499	50.50301	10.42203	60.83402	0.00000	9.15983	13.63617	10.74449	8.98926	8.24378	1063.45667	54.45602	8.99899		0.52505	61.92832	7.34880	10.04723
11.63321	6.8485	9.94979	59.14652	1.00000	8.15541	3.64633	5.64330	4.61112	9.41252	1066.65401	49.35860	40.91334	8.53322	6.29724	45.96982	10.19170	11.05318
9.88205	33.92866	10.48008	23.88984	1.00000	9.96199	-6.90656	7.38566	6.62090	8.06094	1073.18223	39.82253	16.19646	7.02695	2.08122	53.14820	8.98086	10.47526
9.17901	24.05979	8.80532	57.41446	0.00000	10.47308	77.40858	8.87114	6.43537	6.20368	1089.87262	56.28025	15.31948	7.39226	6.15776	53.19514	10.15146	9.25001
10.24302	-15.21194	10.09516	39.47928	1.00000	10.04241	-75.11028	4.97528	8.97400	7.96874	1169.20035	54.99876	9.13419	8.72455	4.53549	61.87464	9.83364	9.85589
7.11621	-29.2975	11.31590	33.35163	1.00000	8.96527	-51.50361	9.91481	6.78885	11.74454	1180.24045	57.74503		8.61776	3.82407	35.21164	9.62928	6.46004
13.25743	41.57439	10.98971	60.87242	0.00000	11.53964	24.71204	12.79244	4.64748	6.58241	1090.77071	64.32700	18.70229	9.17797	2.40207	63.96264	9.18384	10.24481
7.12441	52.71083	10.96048	28.63954	1.00000	8.64010	5.74861	8.18112	6.72275	11.48986	1144.46444	34.35786	15.36806	7.57838	1.17580	39.77043	8.40866	7.93871
8.64472	10.7375	8.40736	60.64210	1.00000	9.98498	122.9666	8.75341	7.56438	12.34976	1171.75897	55.47977	13.47355	8.99635	0.86736	32.40104	7.99459	8.70726
9.58393	35	10.77260	66.01142	0.00000	7.61698	136.51667	12.12979	9.69767	10.28730	1197.42194	42.21637	10.06289	7.12009	1.17937	59.27937	8.24448	9.99171
11.95575	-38.16604	11.55736	33.98744	0.00000	11.10536	145.13643	10.41120	6.45883	8.81519	1196.96457	50.42685	19.15119	9.97523	1.24087	77.78552	8.44876	11.38279
10.10159	39.08367	11.62293	52.99431	0.00000	11.01195	-84.50855	8.79449	7.37736	9.69871	1141.08259	43.31279	8.78393	8.96171	1.12583	64.47489	8.47690	11.35281
7.80255	17.94979	10.80044	50.74690	1.00000	8.66699	-94.91386	7.21284	6.53423	10.77876	1058.65728	52.55283	16.03312	9.42994	1.27568	61.29615	8.42855	8.52317
4.39057	-23.7975	10.28349	50.75538	1.00000	8.88366	-48.59278	5.85803	8.52368	9.08463	1077.60144	37.09946	13.80784	8.77148	5.51703	54.67271	10.05893	6.07949
	53.0233	8.20101	35.09966	0.00000	8.37146	-1.48119	9.83870		8.32003	1192.78895	42.89184	18.07577	9.36094	2.13817	23.44138	9.05605	8.74839
6.29637	59.37722	9.15652	47.12412	1.00000	8.08275	28.19028	4.06316	9.94528	7.26511	1111.79326	36.19293	17.74218	7.48695	8.59709	33.56230	10.46273	6.79278
11.33141	48.90982	9.83269	36.52271	0.00000	11.11697	2.45012	11.91197	6.75163	6.90375	1184.31894	66.51449	7.27531	10.64488	3.45157	53.90250	9.63615	9.81952
8.42146	-28.81833	10.86746	45.44004	0.00000	8.40442	-52.51028	7.40021	10.48886	5.63415	1198.54745	49.91361	5.75256	7.87054	7.89442	64.54080	10.44195	6.96455
6.54229	36.53333	9.74647	56.81560	1.00000	7.37381	136.61667	7.48665	10.16861	9.24766	1106.78578	53.32413	18.88275	7.98752	1.61491	37.03632	8.70972	
10.71868	26.32293	8.60660	46.10975	1.00000	8.05239	91.00632	5.88534	5.83532	9.51814	1158.07767	52.79769	-0.40609	6.18159	3.18074	50.84176	9.52855	11.77068
8.77995	29.84576	11.63570	29.41162	1.00000	7.48887	-90.10674	9.91580	10.46651	5.33090	1123.00433	47.41700	20.73173	10.02287	4.01345	48.70810	9.72773	8.54409
8.73650	50.76306	11.16960	55.72132	1.00000	10.04266	-1.29772	7.06732	6.74289	10.23954	1105.84605	57.20836	6.37844	8.80338	3.66477	54.85341	9.66866	8.88215
11.87444	7.50251	9.63423	26.73249	1.00000	9.77328	5.06258	6.51747	6.27729	8.82181	1140.65600	61.08127	10.11107	9.13452	1.00909	51.25728	8.37217	11.06100
6.45977	28.88162	8.91441	63.49140	1.00000	9.27590	120.03308	6.87556	6.95934	11.53744	1170.63533	53.36102	34.69478	8.70384	2.11774	28.76954	9.05222	8.00616
13.26510	32.54278	11.29714	76.91132	1.00000	9.38088	111.50861	8.21015	6.91749	10.14231	1071.73303	31.30977	20.04153	8.49678	0.35451	43.75833	7.05966	10.17597
9.04960	42.58342	9.74546	56.59323	0.00000	8.63135	-71.8023	12.81343	9.73502	5.56799	1051.26028	67.33008	22.31544	9.40340	1.35612	50.44287	8.51467	9.16490
10.99396	25.13915	11.44951	52.46710	1.00000	9.91614	73.06784	8.31863	8.44596	8.54829	1053.50743	45.43914	6.56216	10.25176	0.89523	66.41837	8.00622	9.17784
7.99547	39.09112	9.08321	28.85158	0.00000	9.61645	-94.41551	8.69916	12.02772	6.94557	1141.61552	66.86832	13.71886	10.63461	5.49026	47.39803	10.03889	8.97016
8.07227	51.78967	9.94463	32.64445	0.00000	8.22347	1.15597	10.60507	9.04018	7.83371	1050.77034	35.00058	5.78473	8.54815	0.76307	22.68525	7.81915	9.00682
8.57101	-17.73648	10.87194	43.88689	1.00000	8.33282	168.31366	7.33757	8.64991	7.55539	1083.63346	42.82062	25.59887	8.64054	0.72861	43.53330	7.55460	8.27209
10.12056	35.74788	9.65573	44.21807	0.00000	7.91545	-95.36969	7.37548	6.00556	7.93409	1158.80509	76.83136	11.96072	8.23923	2.16529	43.96730	9.00410	10.50346
6.86759	43.35071	10.66632	28.16596	1.00000	10.12938	46.10925	6.12401	8.09735	9.20605	1085.22453	55.65902	-7.99102	9.58965	1.21325	45.17359	8.50634	7.12587
7.10043	-13.7804	12.19620	42.38649	0.00000	9.19130	34.4587	8.07889	9.81702	8.71737	1063.36054	40.37646	7.97858	9.80105	0.84001	73.04228	7.70768	8.40781
10.42592	54.39635	11.23487	44.27366	1.00000	10.10274	24.04142	9.33106	10.01913	5.58951	1085.98508	54.01538	6.80091	8.64188	3.63370	46.32210	9.48581	9.07887
10.75372	34.86472	12.44015	33.41219	1.00000	8.28413	117.55417	6.87880	5.74090	9.55189	1070.09342	89.19708	28.73409	9.49068	4.23658	39.24789	9.75286	7.97337
7.72136	50.75767	9.70714	52.61695	1.00000	6.78189	-1.5443	7.68218	8.79234	9.52015	1124.59242	69.56739	6.62616	8.40922	0.91815	52.24448	8.02413	7.37589
9.09333	44.22639	9.27366	64.01107	0.00000	9.87926	22.53083	9.81762	11.47466	8.89622	1149.71447	57.34562	6.67956	9.30743	1.40610	43.40202	8.63185	10.28319
9.00519	51.64316	9.96800	46.84937	1.00000	9.62013	-0.36053	8.96994	6.52532	11.85660	1054.31422	46.17861	5.00411	10.97781	4.66029	55.62317	9.87027	8.92654
10.12918	0.51667	9.23437	64.77750	0.00000	8.20160	101.44167	8.65188	5.61125	5.61976	1055.82775	41.20002	10.08163	7.89459	2.44985	66.64144	9.21145	9.92363
9.57504	52.53048	11.71543	31.63000	0.00000	9.06710	13.29371	7.15712	11.05802	9.11536	1116.77322	25.27317	18.97281	8.32572	1.33574	34.99394	8.53539	7.98177
8.21068	12.95629	8.24208	47.09383	1.00000	8.83128	78.27539	8.94992	8.27730	12.11662	1065.59841	75.18117	3.69382	9.22030	1.25393	56.49495	8.32289	7.66390
7.26910	39.46667	11.05447	39.20260	1.00000	9.53504	141.95	7.84975	7.93156	10.46616	1133.54983	61.37515	-2.77214	9.76144	20.34027	38.53966	11.35722	7.85844
9.45361	17.54907	7.66457	59.01447	0.00000	10.05908	82.85749	10.24589	8.65457	6.81189	1107.16512	65.37128	16.85829	9.81614	2.53194	62.53261	9.25321	8.54382
8.22118	60.18427	10.09602	43.91009	0.00000	6.90799	24.95034	11.09340	8.41211	7.51326	1155.55056	38.96575	7.04032	9.40039	6.09604	49.16374	10.16406	8.90230
10.93952	-0.35817	10.54041	44.61498	0.00000	9.87078	42.54536	10.92315	7.20292	6.73646	1120.52884	90.29005	-0.71099	9.54630	4.58501	45.74127	9.82916	10.44855
8.28969	35.64889	9.57988	36.87108	1.00000	7.90344	117.27583	8.06258	8.87441	10.08579	1138.46768	45.88714	-9.35413	8.59817	0.31512	53.16424	6.96430	7.84298
10.31107	53.94313	7.89541	44.93158	1.00000	10.44953	10.30215	5.06338	10.73429	8.35819	1186.17788	61.09309	4.66840	8.78839	1.13619	41.01899	8.50029	
7.01183	48.98693	10.09706	55.10359	0.00000	8.78487	2.44892	10.25135	9.98407	4.57128	1160.40447	45.93196	4.87453	9.17876	3.67117	54.40662	9.52792	8.94172
11.08510	11.84962	10.78207	59.15276	0.00000	9.54972	-86.19903	10.50134	6.80892	7.41116	1128.90612	56.39689	18.95900	9.68174	0.70484	45.62698	7.62732	10.47486
6.54308	52.57583	10.93063	51.83282	1.00000	10.39348	6.61944	8.51276	9.31034	9.79988	1153.30998	70.71312	12.48023	8.42657	3.87300	45.65681	9.60426	6.08554
10.04780	48.35149	12.88542	36.73232	0.00000	9.79649	8.96317	11.11219	8.11105	9.59302	1185.76432	62.46939	15.93214	8.24584	1.73637	57.07229	8.81455	11.53918
8.26152	42.64685	10.14144	55.79730	0.00000	9.86303	-5.55835	8.61264	7.42123	6.57887	1191.27056	43.17443	5.38801	8.80866	1.13922	68.13503	8.46834	10.02377
10.89221	39.72943	10.63501	65.89217	0.00000	9.08318	-104.83192	13.52906	6.86030	4.26607	1056.43105	49.63952	-5.74558	8.04933	1.98576	41.96953	8.96048	9.22917
8.22980	41.9001	7.41559	47.24580	1.00000	7.87279	-71.08977	7.48242	7.78810	11.55623	1055.82085	47.04460	19.93866	8.61267	6.55453	46.55202	10.19633	8.92045
10.24690	39.09112	9.95380	39.30539	0.00000	8.37848	-94.41551	6.79838	8.25081	8.52562	1053.08452	45.02820	14.39924	9.71576	1.09886	33.67339	8.38509	4.81690
9.38494	11.50526	11.00620	49.58347	0.00000	9.88224	77.23826	10.14393	6.60118	5.43753	1107.04963	45.07345	18.98400	10.03091	4.72868	75.08791	9.86955	10.13830
10.49410	41.63976	9.49784	48.30861	1.00000	10.03334	2.35739	6.14720	5.69413	7.99477	1136.71125	49.98319	18.33026	8.59193	3.69106	64.66748	9.60187	11.13216
11.37858	6.95194	9.15663	41.13154	0.00000	9.06202	121.96361	10.90347	6.01309	4.11823	1078.95488	48.06282	0.53796	8.18273	5.35234	37.88179	10.02528	9.70690
7.47142	25.75728	10.12833	40.57890	0.00000	9.36447	75.37991	9.30993	10.27841	4.89807	1176.73041	49.22602	1.32173	9.36085	1.24848	56.34503	8.14410	8.09900
6.74174	34.25628	9.37631	46.87763	0.00000	8.80815	-78.04471	7.40116	12.12354	9.45359	1114.40333	42.83317	-4.49860	8.89174	0.94219	52.38361	8.07707	9.43302
7.03607	5.6561	11.79797	52.17248	1.00000	10.12288	-75.87877	6.57456	8.87429	8.36357	1051.51976	32.42764	9.32183	10.27009	2.74286	50.21296	9.36973	6.51360
10.12143	37.60876	9.94677	29.26907	1.00000	8.05742	-77.37331	7.01924	6.82914	8.72326	1106.33678	56.76797	7.20676	8.67712	0.37218	61.93521	7.38470	10.95597
7.57526	23.73333	10.26309	54.80085	1.00000	8.16513	114.68333	9.72809	7.11186	11.55427	1173.67180	37.71250	4.24107	7.31414	1.28685	48.78597	8.74111	7.00972
10.18747	36.76775	11.56024	58.92873	1.00000	9.22154	2.95924	7.43284	7.41640	8.95731	1062.22515	34.76305	23.29034	7.48184	2.25603	58.61848	9.14853	8.35967
7.97905	52.59319	9.12145	38.82173	1.00000	8.01208	13.32127		10.57440	8.57686	1143.24490	22.16279	17.17652	8.98396	1.32839	44.26205	8.50190	7.29965
10.63471	43.16547	10.52184	49.10952	0.00000	8.79723	-77.70066	12.77054	8.20437	6.14663	1155.61148	53.42107	20.35198	9.24135	3.48001	50.77025	9.51766	9.64767
6.95297	33.45122	11.40516	44.93147	1.00000	9.87182	-86.99666	5.85048	9.43206	8.35953	1093.84354	61.33956	26.27929	9.36001	1.16695	63.71081	8.44170	7.13301
11.99872	34.61667	9.12048	46.22541	1.00000	9.36465	135.6	7.59979	7.59920	8.17949	1067.29734	34.42377	17.86085	10.81566	0.87306	67.64473	8.08653	11.86687
6.41517	52.71083	9.68463	39.94937	0.00000	8.08355	5.74861	8.16909	9.75576	10.29356	1155.04520	45.90460	12.27539	9.69896	1.31408	70.11786	8.34004	8.14608
6.10520	22.37066	9.82819	55.94610	0.00000	10.00034	114.10479	6.76246	10.75595	8.28872	1126.99522	81.35232	4.52243	8.90177	1.39402	40.84369	8.53397	6.85916
