QoS	location	code	latitude	revision	longitude
building	America/Sao_Paulo	BR	-21.42917	2014/04/15	-45.94722
average	Europe/Bratislava	SK	48.43174	05/28/2019, 00:00:00	17.8031
average	Australia/Sydney	AU	-33.88096	11/24/2017, 00:00:00	151.07986
excellent	Europe/London	GB	50.79205	2016-11-13	-1.08593
average	Asia/Jakarta	ID	0.51667	09 Mar 2020	101.44167
good	Africa/Monrovia	LR	7.57944	2017/09/05	-8.53778
good	America/New_York	US	43.16547	29 Mar 2013	-77.70066
building	Europe/Istanbul	TR	39.22493	2015-01-28	42.85693
excellent	America/New_York	US	28.15112	19 Nov 2013	-82.46148
excellent	Australia/Perth	AU	-32.05251	06/17/2017, 00:00:00	115.88782
accep	Europe/London	GB	51.42708	08 Mar 2022	-0.91979
good	America/Lima	PE	-16.25	04/12/2020, 00:00:00	-69.08333
good	America/New_York	US	42.58342	09/01/2017, 00:00:00	-71.8023
accep	Asia/Yangon	MM	14.0823	2013-09-09	98.19151
excellent	Asia/Yekaterinburg	RU	54.48147	02 Jun 2013	53.47103
accep	Asia/Kolkata	IN	28.92694	11/02/2013, 00:00:00	78.23456
good	America/Bogota	CO	10.98778	2013-07-12	-74.95472
maintenance	America/Lima	PE	-16.25	04/19/2016, 00:00:00	-69.08333
average	Asia/Kolkata	IN	15.45144	04 May 2014	78.14797
accep	Africa/Windhoek	NA	-21.98333	2022-01-05	16.91667
accep	Asia/Jakarta	ID	-7.0981	2019/09/08	109.3243
accep	Europe/Berlin	DE	49.68369	2017/10/01	8.61839
maintenance	Asia/Shanghai	CN	35.64889	2018/12/19	117.27583
accep	America/Managua	NI	11.84962	10/29/2017, 00:00:00	-86.19903
average	Africa/Algiers	DZ	36.76639	2016/12/07	3.47717
good	Africa/Algiers	DZ	34.15429	21 Jun 2015	3.50309
accep	America/Los_Angeles	US	47.4943	04/19/2020, 00:00:00	-122.24092
good	Asia/Tokyo	JP	36.53333	11/14/2012, 00:00:00	136.61667
good	Europe/Tallinn	EE	59.37722	12/13/2012, 00:00:00	28.19028
good	Europe/London	GB	50.76306	2014/10/11	-1.29772
accep	Asia/Kolkata	IN	12.1277	2015-04-27	78.15794
accep	Africa/Addis_Ababa	ET	6.03333	09/09/2022, 00:00:00	37.55
accep	Africa/Douala	CM	4.2475	06/23/2022, 00:00:00	9.00472
maintenance	Europe/Zaporozhye	UA	49.41029	2021/09/17	38.15035
accep	Europe/Berlin	DE	53.59337	06 May 2013	9.47629
maintenance	Australia/Melbourne	AU	-37.88333	2021-03-07	145.06667
building	Africa/Abidjan	CI	5.27247	2014-07-26	-3.59625
excellent	America/New_York	US	41.55838	2019/01/27	-81.56929
accep	Asia/Makassar	ID	-1.26753	2020-05-28	116.82887
accep	Asia/Karachi	PK	32.57756	05 Apr 2021	71.52847
building	America/Argentina/Buenos_Aires	AR	-34.64167	2018/03/16	-60.47389
accep	America/Santiago	CL	-33.59217	2014-02-17	-70.6996
excellent	America/New_York	US	33.08014	05/11/2017, 00:00:00	-83.2321
maintenance	America/Mexico_City	MX	19.32889	16 May 2013	-99.32556
accep	Asia/Shanghai	CN	40.85158	19 Oct 2013	122.74754
good	Europe/Berlin	DE	48.07667	01 Nov 2014	8.64409
accep	America/Havana	CU	23.04419	12 Mar 2013	-82.00919
excellent	America/Fortaleza	BR	-4.24444	07/25/2021, 00:00:00	-42.29444
average	America/New_York	US	26.91756	2013/11/12	-82.07842
accep	Europe/Belgrade	RS	44.22639	06/16/2016, 00:00:00	22.53083
good	Europe/Berlin	DE	50.72043	2022/02/22	11.34046
good	Europe/Paris	FR	44.92801	04/27/2020, 00:00:00	4.8951
average	Asia/Kolkata	IN	20.88197	2018-07-27	85.83334
excellent	Africa/Tunis	TN	36.46917	2018-06-09	10.78222
good	America/New_York	US	42.35843	06/29/2018, 00:00:00	-71.05977
good	Europe/Moscow	RU	55.64776	04 Apr 2016	38.02486
good	Europe/Brussels	BE	51.03427	2017/05/10	5.37429
maintenance	America/Bahia	BR	-10.95817	01/30/2013, 00:00:00	-38.79084
excellent	Asia/Manila	PH	15.72892	2012/11/07	120.57224
accep	Africa/Lagos	NG	4.92675	2018-04-14	6.26764
good	America/New_York	US	40.65538	09 Dec 2017	-74.38987
accep	Africa/Libreville	GA	-1.63333	04 Jan 2021	13.58357
good	Asia/Shanghai	CN	34.86472	2013/04/19	117.55417
average	Europe/Berlin	DE	48.52961	08/27/2018, 00:00:00	12.16179
accep	Australia/Sydney	AU	-33.79176	30 Apr 2020	151.08057
average	Europe/Rome	IT	45.44694	2022/07/20	8.62118
average	America/New_York	US	40.67705	2020/07/30	-73.89125
accep	America/Los_Angeles	US	34.09668	05 Feb 2021	-117.71978
average	Europe/Brussels	BE	51.24197	2021/02/18	4.82313
excellent	Europe/Sofia	BG	42.7	2014-05-21	27.25
average	America/Denver	US	39.57582	2022/01/20	-105.11221
good	Europe/Amsterdam	NL	52.71083	2017/11/16	5.74861
average	America/Jamaica	JM	18.00747	2013-04-01	-76.78319
accep	Asia/Kolkata	IN	31.28092	21 Nov 2015	74.85849
excellent	Europe/Brussels	BE	50.56149	13 Jan 2019	4.69889
building	Europe/Rome	IT	37.49223	08/21/2021, 00:00:00	15.07041
accep	Africa/Brazzaville	CG	-4.26613	15 Oct 2016	15.28318
average	America/New_York	US	40.2737	09 Nov 2015	-76.88442
accep	Asia/Shanghai	CN	29.98869	03 May 2021	122.20488
good	Europe/Berlin	DE	51.04962	2017-06-25	12.1369
good	America/Havana	CU	23.0072	2012/11/02	-82.4017
average	Asia/Shanghai	CN	30.24706	05 Aug 2017	115.04814
accep	Asia/Manila	PH	6.95194	01 Jul 2019	121.96361
excellent	America/Chicago	US	38.06084	03/31/2016, 00:00:00	-97.92977
good	Europe/Berlin	DE	48.28259	03/30/2020, 00:00:00	9.72749
good	Europe/Paris	FR	46.32313	2015-04-19	-0.45877
accep	Asia/Bangkok	TH	16.0567	08 Jun 2016	103.65309
maintenance	Europe/Berlin	DE	52.2	2020-08-29	8.63333
maintenance	America/Los_Angeles	US	47.64995	01 Nov 2014	-117.23991
average	Asia/Shanghai	CN	37.73222	31 Jan 2020	115.70111
average	Asia/Karachi	PK	32.17629	06/03/2014, 00:00:00	75.06583
maintenance	America/New_York	US	43.1009	15 May 2022	-75.23266
excellent	Europe/Moscow	RU	59.80917	25 Sep 2013	30.38167
good	America/Chicago	US	45.16024	2020/05/06	-93.08883
average	Europe/Berlin	DE	49.97704	26 Jun 2021	9.15214
excellent	America/Toronto	CA	42.8334	2021-03-16	-80.38297
average	Europe/London	GB	57.47908	2014-03-23	-4.22398
excellent	America/Boise	US	43.54072	13 Jan 2021	-116.56346
excellent	Asia/Karachi	PK	25.95533	2022-08-28	68.88871
building	Africa/Douala	CM	4.96667	2022/04/27	10.7
accep	Europe/Paris	FR	45.73333	2021-09-19	4.91667
average	Asia/Shanghai	CN	23.73333	06/26/2022, 00:00:00	114.68333
accep	Africa/Dar_es_Salaam	TZ	-2.68333	01 Mar 2018	33
excellent	Europe/Amsterdam	NL	51.955	2016/06/24	5.22778
building	Europe/Bratislava	SK	48.8449	2017-01-27	17.22635
average	America/New_York	US	33.98154	06/16/2022, 00:00:00	-81.23621
accep	Europe/Moscow	RU	42.819	12 Mar 2015	47.1192
maintenance	Europe/Istanbul	TR	39.22493	2018-10-24	42.85693
average	Atlantic/Azores	PT	37.74615	2016-09-29	-25.66689
good	Asia/Manila	PH	10.7375	08/04/2013, 00:00:00	122.9666
building	Europe/Madrid	ES	43.32686	22 Nov 2012	-2.98884
good	Europe/London	GB	53.0233	28 Jul 2019	-1.48119
accep	Europe/Moscow	RU	55.64776	29 May 2017	38.02486
building	Africa/Lagos	NG	6.15038	2019/02/12	6.83042
good	Africa/Banjul	GM	13.56667	03/31/2018, 00:00:00	-15.6
excellent	America/Argentina/Buenos_Aires	AR	-34.64167	2016/11/03	-60.47389
building	Africa/Abidjan	CI	5.84752	25 Dec 2020	-5.682
maintenance	Asia/Shanghai	CN	34.86472	2017/07/07	117.55417
accep	America/New_York	US	38.96372	2012-12-14	-76.99081
excellent	America/Chicago	US	35.25064	2021/01/24	-91.73625
average	Asia/Kolkata	IN	26.32293	30 Sep 2020	91.00632
excellent	Africa/Dar_es_Salaam	TZ	-6.8	25 Sep 2019	39.25
excellent	America/Sao_Paulo	BR	-21.41222	2015/11/30	-42.19667
average	Asia/Karachi	PK	27.55898	26 Sep 2013	68.21204
average	Asia/Kolkata	IN	9.57046	2021-12-25	76.32756
accep	Australia/Melbourne	AU	-37.9	2019/12/16	145.18333
excellent	Asia/Hong_Kong	HK	22.37066	12 Sep 2019	114.10479
good	Asia/Kolkata	IN	28.92694	11 May 2015	78.23456
good	Asia/Kolkata	IN	23.1959	01/23/2022, 00:00:00	86.51499
excellent	Europe/London	GB	50.76306	2017/12/18	-1.29772
accep	America/Costa_Rica	CR	10.63504	2013-03-15	-85.43772
excellent	Europe/Belgrade	RS	44.22639	16 Nov 2014	22.53083
average	Europe/London	GB	51.62907	24 Oct 2017	-0.74934
accep	Asia/Kolkata	IN	24.05979	24 Dec 2013	77.40858
excellent	America/New_York	US	39.32288	25 Aug 2022	-76.72803
good	Asia/Kolkata	IN	12.95629	03 Jan 2020	78.27539
building	America/New_York	US	43.91452	2017/04/13	-69.96533
excellent	Europe/Rome	IT	43.1122	2022/02/22	12.38878
good	Europe/Madrid	ES	41.15612	2012-12-13	1.10687
accep	Asia/Shanghai	CN	30.24706	05/27/2018, 00:00:00	115.04814
excellent	Europe/London	GB	51.26	2019-07-14	-2.1875
building	America/Sao_Paulo	BR	-19.32556	27 Nov 2021	-41.25528
building	Europe/Bucharest	RO	44.43579	24 Dec 2018	26.01649
good	Asia/Jakarta	ID	-7.01833	2016/04/13	107.60389
building	Asia/Kolkata	IN	26.11527	11/14/2021, 00:00:00	86.59509
building	Asia/Kolkata	IN	23.07492	2018/06/15	88.28637
good	Europe/Rome	IT	40.53123	05/04/2021, 00:00:00	17.58522
excellent	America/Los_Angeles	US	38.17492	2019/03/13	-122.2608
accep	Asia/Jakarta	ID	-6.48167	01/16/2015, 00:00:00	106.85417
average	America/Chicago	US	39.09112	2020-03-26	-94.41551
average	America/Los_Angeles	US	36.20829	24 Mar 2018	-115.98391
average	Europe/Belgrade	RS	44.22639	24 Jun 2014	22.53083
excellent	Africa/Addis_Ababa	ET	6.03333	2019-12-02	37.55
accep	Asia/Qyzylorda	KZ	44.85278	2020-10-28	65.50917
good	America/Detroit	US	42.97086	2013-12-03	-82.42491
excellent	Europe/London	GB	56.56317	09/28/2019, 00:00:00	-2.58736
maintenance	Europe/Istanbul	TR	39.12074	2017/06/27	27.18052
building	America/New_York	US	41.9001	2021-01-05	-71.08977
average	America/Argentina/Buenos_Aires	AR	-34.74785	06/18/2015, 00:00:00	-58.70072
average	Asia/Seoul	KR	37.1759	2015-11-29	128.9889
average	Europe/Berlin	DE	53.94313	31 Jan 2016	10.30215
accep	Europe/Andorra	AD	42.50729	2015-07-29	1.53414
excellent	Europe/Rome	IT	37.49223	2021-01-23	15.07041
excellent	Asia/Kolkata	IN	18.87813	07 Mar 2014	72.93924
excellent	Africa/Tunis	TN	36.46917	05 Oct 2014	10.78222
good	Europe/Madrid	ES	37.49073	04/09/2021, 00:00:00	-2.77259
accep	Asia/Yekaterinburg	RU	56.11281	2013-05-28	69.49015
good	Asia/Kolkata	IN	24.81757	2018/11/26	84.63445
accep	Europe/Madrid	ES	42.64685	2012/10/18	-5.55835
average	Europe/Berlin	DE	53.94313	2019/01/14	10.30215
accep	America/New_York	US	41.55838	01/05/2014, 00:00:00	-81.56929
good	Asia/Tokyo	JP	35.06667	2018-08-13	135.21667
building	Asia/Kuala_Lumpur	MY	5.4709	15 Oct 2016	100.24529
excellent	America/Chicago	US	26.18924	2016-01-23	-98.15529
accep	America/New_York	US	41.27621	21 Jan 2018	-72.86843
good	Europe/Paris	FR	48.90982	02/17/2017, 00:00:00	2.45012
excellent	Europe/Stockholm	SE	61.72744	11/12/2014, 00:00:00	17.10558
good	Africa/Algiers	DZ	36.76775	01/03/2014, 00:00:00	2.95924
accep	America/New_York	US	40.5576	2017-06-25	-74.28459
accep	Asia/Manila	PH	6.33444	2017-04-22	124.95278
accep	Asia/Bangkok	TH	13.51825	2012/11/16	99.95469
good	Asia/Kolkata	IN	30.21121	31 Aug 2016	74.4818
maintenance	America/Chicago	US	45.0408	2021-09-26	-93.263
average	Africa/Tunis	TN	36.08497	08/06/2013, 00:00:00	9.37082
accep	Europe/Brussels	BE	50.88506	2021/05/23	4.07601
good	America/Cuiaba	BR	-14.66463	2018/02/26	-52.35558
accep	Asia/Karachi	PK	25.80565	01/15/2013, 00:00:00	68.49143
maintenance	America/Santiago	CL	-32.45242	10 Nov 2017	-71.23106
excellent	America/Chicago	US	32.5007	02/06/2022, 00:00:00	-94.74049
average	America/Vancouver	CA	50.26729	06/12/2014, 00:00:00	-119.27337
good	America/Sao_Paulo	BR	-28.44917	27 Sep 2014	-52.2
good	Asia/Colombo	LK	6.84019	2020-02-27	79.87116
excellent	America/Bahia	BR	-12.91667	2015-05-24	-39.25
accep	Europe/Helsinki	FI	60.18427	2019-12-31	24.95034
maintenance	America/Chicago	US	33.41012	04/04/2018, 00:00:00	-91.06177
maintenance	Europe/Kiev	UA	50.75932	06 Sep 2015	25.34244
excellent	Europe/Berlin	DE	49.97704	2015/02/25	9.15214
excellent	Europe/Rome	IT	45.39402	09/12/2019, 00:00:00	9.29109
building	Europe/Istanbul	TR	38.37255	2020/06/28	34.02537
average	America/Sao_Paulo	BR	-23.44361	2014/02/06	-51.87389
accep	America/Fortaleza	BR	-4.42472	2017/01/13	-41.45861
good	Europe/Sofia	BG	41.57439	12/19/2014, 00:00:00	24.71204
excellent	Indian/Antananarivo	MG	-22.9	2015/09/27	44.53333
excellent	America/Cuiaba	BR	-14.66463	2022-08-11	-52.35558
average	Asia/Bangkok	TH	13.8196	01/11/2015, 00:00:00	100.04427
good	Africa/Algiers	DZ	36.72544	2019/08/19	3.55665
average	America/Puerto_Rico	PR	18.03496	2020-06-21	-66.8499
building	Asia/Tokyo	JP	36.33011	07/23/2014, 00:00:00	138.89585
average	Asia/Jerusalem	IL	32.05971	2014/06/24	34.8732
good	Europe/Paris	FR	48.98693	28 Jun 2014	2.44892
accep	Europe/Rome	IT	45.79377	2018-02-27	8.88104
accep	Pacific/Auckland	NZ	-44.39672	2021-04-06	171.25364
maintenance	Europe/Chisinau	MD	48.15659	2018/10/31	28.28489
excellent	Asia/Tokyo	JP	35.8	15 Aug 2021	137.23333
average	Asia/Jakarta	ID	3.3285	2014-04-24	99.1625
accep	Africa/Algiers	DZ	36.76639	05/13/2014, 00:00:00	3.47717
maintenance	America/New_York	US	39.08367	2020/08/02	-84.50855
building	Asia/Yekaterinburg	RU	51.4781	2018-09-14	57.3552
excellent	Europe/Rome	IT	45.79377	02/03/2016, 00:00:00	8.88104
good	America/Mexico_City	MX	20.74122	2014-11-08	-100.44843
building	Asia/Shanghai	CN	30.24706	13 Feb 2020	115.04814
good	Europe/Paris	FR	48.8222	2022/02/22	2.12213
maintenance	Europe/Moscow	RU	43.35071	2019-05-20	46.10925
good	Europe/London	GB	51.35084	08/25/2017, 00:00:00	-1.99421
accep	America/Chicago	US	30.16688	10/18/2012, 00:00:00	-96.39774
excellent	Asia/Karachi	PK	29.69221	2015-04-18	72.54566
accep	Asia/Seoul	KR	36.82167	06 May 2014	128.63083
average	America/Chicago	US	36.02506	10 Jan 2017	-86.77917
accep	Asia/Bangkok	TH	8.43333	10/09/2020, 00:00:00	99.96667
excellent	America/Fortaleza	BR	-4.42472	2020/07/30	-41.45861
average	Europe/Istanbul	TR	40.98894	2021/02/17	28.67582
excellent	Europe/Paris	FR	48.77275	03 Jan 2016	5.16108
average	Europe/Rome	IT	40.55851	2014/11/30	17.80774
excellent	America/New_York	US	37.52487	2020-02-27	-77.55777
excellent	Asia/Tokyo	JP	39.46667	04/16/2018, 00:00:00	141.95
excellent	Asia/Manila	PH	9.6531	03/11/2013, 00:00:00	124.3697
good	Europe/Rome	IT	44.31771	2012-10-11	9.32241
excellent	America/Detroit	US	42.30865	2022-03-19	-83.48216
good	Europe/Paris	FR	43.32393	2018-03-05	5.4584
accep	Asia/Kolkata	IN	25.75728	2013/02/17	75.37991
building	Europe/Moscow	RU	55.39485	2022/08/08	43.83992
excellent	America/Fortaleza	BR	-4.24444	06 Aug 2020	-42.29444
excellent	Europe/London	GB	52.41667	18 Apr 2016	0.75
excellent	Asia/Damascus	SY	34.5624	10 Aug 2021	38.28402
average	Asia/Kuala_Lumpur	MY	4.02219	2017-04-16	101.02083
good	Asia/Kolkata	IN	12.25282	2013-11-17	79.41727
accep	Europe/Paris	FR	43.71032	28 Jan 2017	-1.05366
accep	America/Argentina/Cordoba	AR	-31.25033	07/24/2016, 00:00:00	-61.4867
building	Europe/London	GB	51.78967	08/22/2017, 00:00:00	1.15597
maintenance	America/Managua	NI	11.84962	14 Nov 2020	-86.19903
accep	Asia/Karachi	PK	31.96258	2019/10/06	73.97117
building	Pacific/Auckland	NZ	-44.39672	02/05/2019, 00:00:00	171.25364
excellent	Europe/Sofia	BG	41.57439	11/03/2021, 00:00:00	24.71204
average	America/Puerto_Rico	PR	18.03496	2021-05-03	-66.8499
good	Europe/Skopje	MK	41.92361	22 Dec 2014	20.91361
excellent	Europe/Moscow	RU	61.78491	09/26/2014, 00:00:00	34.34691
maintenance	America/Chicago	US	41.8542	2019-07-22	-87.66561
average	America/New_York	US	41.48199	31 Oct 2016	-81.79819
building	Europe/Paris	FR	48.77644	13 May 2021	2.29026
average	Europe/Rome	IT	45.50369	29 Oct 2017	11.412
excellent	America/Chicago	US	29.84576	09/10/2014, 00:00:00	-90.10674
average	Asia/Kolkata	IN	23.18	2018-04-15	88.58
average	Asia/Seoul	KR	37.65639	01/03/2014, 00:00:00	126.835
accep	Europe/Paris	FR	48	2014/05/23	-4.1
building	America/Mexico_City	MX	19.8173	2018/08/08	-97.35992
building	America/Menominee	US	46.09273	01 Aug 2015	-88.64235
average	Asia/Yakutsk	RU	65.93381	05/11/2022, 00:00:00	111.4834
excellent	America/La_Paz	BO	-21.44345	2016/07/29	-65.71875
accep	Asia/Shanghai	CN	35.85	2022-03-30	117.7
building	America/Los_Angeles	US	45.49428	15 Feb 2022	-122.86705
average	America/Fortaleza	BR	-4.42472	2021/05/30	-41.45861
accep	Europe/Oslo	NO	68.79833	2019/12/27	16.54165
accep	America/New_York	US	39.32011	2020/07/25	-76.51552
average	America/New_York	US	41.54566	01/15/2019, 00:00:00	-71.29144
excellent	Europe/Berlin	DE	52.2	07 Jan 2014	8.63333
average	Africa/Lagos	NG	7.6	23 Feb 2019	4.18333
good	Africa/Kampala	UG	2.41669	2021-07-17	30.98551
building	Asia/Kolkata	IN	9.82564	2016/01/30	78.25795
maintenance	America/Recife	BR	-8.66667	19 Apr 2014	-35.71667
good	Europe/Rome	IT	44.59445	2020-04-27	11.04979
maintenance	Asia/Baku	AZ	41.09246	09/12/2015, 00:00:00	45.36561
good	Africa/Dar_es_Salaam	TZ	-5.41667	08/31/2021, 00:00:00	38.01667
average	Asia/Kolkata	IN	23.49668	12/01/2017, 00:00:00	86.68363
good	Europe/London	GB	51.38673	07 Jan 2017	0.30367
average	America/Edmonton	CA	53.51684	2019/02/04	-113.3187
building	America/Chicago	US	34.25807	2021/05/23	-88.70464
accep	Asia/Manila	PH	6.95194	2013/10/18	121.96361
good	Europe/Paris	FR	43.71032	2021/09/14	-1.05366
excellent	America/Los_Angeles	US	34.63915	01/01/2017, 00:00:00	-120.45794
excellent	Asia/Shanghai	CN	46.08333	2018-04-23	122.08333
average	Asia/Makassar	ID	3.31332	01/23/2020, 00:00:00	117.59152
maintenance	Africa/Accra	GH	5.30383	2019/02/22	-1.98956
accep	Europe/Amsterdam	NL	52.57583	18 Oct 2019	6.61944
average	Europe/Podgorica	ME	42.28639	2021-05-27	18.84
accep	Asia/Shanghai	CN	45.75279	25 Nov 2013	130.57211
good	Australia/Sydney	AU	-33.88096	14 Dec 2018	151.07986
accep	Europe/Warsaw	PL	54.58048	2021/11/13	16.86194
good	America/New_York	US	41.55815	2021-08-09	-73.0515
accep	Europe/Paris	FR	46.67535	2022/04/28	5.55575
excellent	Europe/Zurich	CH	46.18396	2021/01/22	6.10237
average	Europe/Moscow	RU	54.8421	2018/02/02	46.5813
maintenance	Europe/London	GB	53.69786	2020/02/25	-2.68758
building	Europe/London	GB	53.46506	2019-09-02	-1.47217
accep	Europe/Vienna	AT	48.25	08/26/2021, 00:00:00	16.4
maintenance	Asia/Tokyo	JP	34.4833	2016-12-09	136.84186
excellent	Asia/Tokyo	JP	34.81667	2015/02/28	137.4
excellent	Europe/Berlin	DE	52.4581	2014/05/26	13.28702
excellent	America/Chicago	US	40.56754	2015-09-06	-89.64066
good	Asia/Kolkata	IN	25.92493	2018-11-24	73.66633
average	Europe/Paris	FR	48.90982	22 Dec 2020	2.45012
average	America/Toronto	CA	45.40008	2018-11-01	-73.58248
average	Asia/Hong_Kong	HK	22.37066	22 Jan 2021	114.10479
average	Asia/Samarkand	UZ	40.11583	2019-12-01	67.84222
average	Africa/Tunis	TN	37.16911	2018-05-08	10.03478
average	Europe/Madrid	ES	42.64685	05/20/2013, 00:00:00	-5.55835
excellent	America/New_York	US	40.72371	22 Feb 2020	-73.95097
excellent	America/Los_Angeles	US	33.72255	2015/06/30	-116.37697
excellent	Europe/Moscow	RU	55.85	16 Oct 2015	37.56667
accep	America/New_York	US	41.24255	07/05/2015, 00:00:00	-82.61573
excellent	Africa/Dar_es_Salaam	TZ	-10.33333	2021/02/16	39.28333
good	Asia/Kolkata	IN	26.32293	30 Oct 2015	91.00632
good	Asia/Dhaka	BD	22.83957	2017/02/03	91.84128
average	Europe/Moscow	RU	54.8421	12/27/2018, 00:00:00	46.5813
excellent	Asia/Shanghai	CN	41.94175	2015/06/06	123.50266
excellent	Asia/Kolkata	IN	26.2649	05/28/2022, 00:00:00	81.54855
excellent	America/Denver	US	39.57582	11 Sep 2013	-105.11221
excellent	Africa/Khartoum	SD	11.8659	11 Nov 2021	34.3869
accep	Europe/Brussels	BE	50.74497	02 Mar 2013	3.20639
excellent	Europe/Madrid	ES	38.96667	08/14/2016, 00:00:00	-0.18333
average	Asia/Kolkata	IN	29.22254	2013/05/08	79.5286
good	Europe/Paris	FR	44.80477	04 Jan 2015	-0.59543
average	America/New_York	US	27.71809	2018/01/15	-82.35176
good	Europe/Istanbul	TR	38.13708	2017-03-25	41.00817
accep	America/Los_Angeles	US	37.73604	12/22/2013, 00:00:00	-120.93549
average	Europe/Paris	FR	43.61058	2022/05/14	1.33467
building	Europe/Paris	FR	48.98994	2015-11-22	2.1699
good	Europe/Brussels	BE	51.21187	2013-12-30	4.25633
accep	America/Denver	US	40.34912	01/26/2021, 00:00:00	-111.90466
accep	Asia/Seoul	KR	36.6009	2016/03/15	126.665
excellent	Asia/Yekaterinburg	RU	58.63667	2020/04/28	59.80222
building	Europe/Paris	FR	48	2021-12-25	-4.1
