H2CO	CH4	PM2.5	C2H3NO5	Pb	NH3	longitude	SO2	latitude	PAHs	CO	TEMP	O3	PRES	PM10	warning	CFCs	NOx
40.23818	9.13856	8.58733	0.52020	52.96702	6.00988	104.1451	8.80581	15.79408	9.72476	6.94386	17.31304	9.64069	1141.62353	8.51314	0.00000	56.93542	9.54875
61.58633	9.42216	10.70145	0.22373	41.71222	7.26857	36.73307	7.64075	55.38752	9.29840	6.87898	2.53536	8.14217	1072.97670	6.26563	0.00000	68.22917	9.48890
43.87045	5.34821	9.12123	0.19411	50.69018	10.18755	123.50266	8.10223	41.94175	10.32754	6.71709	16.51601	6.66405	1105.81303	6.84361	0.00000	53.02629	7.18226
43.08804	10.94099	12.25284	0.54392	50.71365	6.86100	137.5	9.09369	34.9	12.45621	4.32003	38.01721	8.16123	1085.40553	8.46838	0.00000	56.58602	8.10517
41.50548	7.85601	10.82830	0.21893	60.28150	9.50040	13.44275	9.26574	38.07789	9.53789	7.17057	19.03469	8.62625	1051.41706	6.92793	0.00000	57.21142	7.92244
51.27499	8.34511	11.72129	0.21816	70.90236	9.51600	35.90057	9.89245	56.85836	9.82137	9.63322	-2.74288	7.27236	1131.24140	5.79821	0.00000	44.55288	9.25832
52.03106	8.81441	9.63778	0.57184	58.42614	9.63903	-117.23991	9.02351	47.64995	5.39007	7.63098	3.08216	6.92449	1083.46516	8.50863	1.00000	60.92324	6.42367
62.97952	10.45200	7.54066	0.29704	57.94483	8.02561	3.16667	7.41387	50.8	10.43526	9.36857	24.16777	6.57598	1060.44934	7.04423	0.00000	71.29742	10.20052
59.42559	5.30525	7.72364	0.31482	20.28349	10.75261	68.11759	8.10875	26.9423	9.54439	7.02673	3.94534	8.32855	1129.42949	7.87836	0.00000	48.29477	9.57334
35.30945	9.41101	14.58588	1.15951	71.43136	4.84250	39.85331	8.09416	57.30185	10.19506	1.59409	5.72449	9.52244	1187.37982	9.41744	0.00000	56.04300	8.33193
55.77702	5.82595	7.57426	0.21877	63.99551	11.25955	-6.03731	5.73110	37.35813	10.62095	6.94156	10.89547	7.72872	1180.56725	6.99917	0.00000	53.18631	8.62630
39.09286	11.31737	7.96786	0.24729	39.29948	8.33389	-48.67028	9.12116	-28.24	11.04269	9.19548	7.70258	6.32288	1197.84397	7.31723	0.00000	58.77736	9.68616
38.84264	9.45321	11.15134	0.23729	39.32232	5.28594	34.86563	8.31975	31.92923	7.10807	9.47070	12.36897	9.31721	1196.38214	6.75381	1.00000	50.92521	9.37242
62.95464	12.03987	10.55668	0.22258	56.78296	7.06517	29.41824	8.36039	45.99194	6.74929	10.20848	12.02734	7.23298	1151.46659	4.00727	1.00000	48.26281	10.77737
46.48202	14.03614	9.37661	0.14542	63.85298	8.21022	140.73667	9.88853	41.77583	9.09793	11.63491	11.26042	7.68250	1091.75428	5.21161	1.00000	29.03933	7.28504
61.56860	10.92656	8.76646	0.76043	66.10950	8.00860	73.38333	7.62321	31.71667	9.33276	10.70246	5.09491	8.90290	1068.98069	8.76183	1.00000	35.32216	7.84686
56.50628	7.31862	12.37479	0.20199	62.85269	7.93827	24.14662	10.16292	65.84811	7.91996	4.63556	11.97132	9.42449	1182.61772	5.46644	1.00000	50.29795	9.45397
76.99561	9.02533	12.27635	0.16657	64.43606	7.68425	-85.76942	6.87187	39.78504	8.93474	6.47789	14.62592	9.01167	1178.00399	6.37704	0.00000	38.94608	10.95117
49.14019	10.73653	8.17661	0.25922	52.78914	4.64076	110.71639	8.89911	-7.54972	8.42081	6.70431	8.51968	8.22500	1182.94297	7.54041	1.00000	63.27532	8.82615
	8.15701	11.34038	0.34302	50.08970	11.35618	74.4818	7.48322	30.21121	6.92750	9.46613	30.14562	7.18070	1050.53659	7.78290	1.00000	48.78146	11.30219
63.30846	8.88185	12.74821	1.18833	48.94214	5.36914	79.41727	9.57216	12.25282	8.70022	3.47276	21.33455	7.93483	1125.46381	9.40448	0.00000	44.05236	7.91713
68.85616	6.71461	9.84689	1.64054	57.23083	9.46560	120.5875	8.27197	16.455	5.00106	11.96497	6.38849	10.05892	1193.73977	9.80976	1.00000	54.56548	7.69839
52.03480	10.78679	9.71773	0.26527	49.89074	8.21399	75.92694	10.08297	14.46693	10.98200	7.94428	18.75627	6.96658	1185.52360	6.80466	0.00000	26.41673	9.10952
39.88204	11.11177	9.26977	0.17884	46.58142	5.10091	-119.27337	10.33530	50.26729	6.27141	8.17469	14.14972	9.05036	1098.29531	5.51932	1.00000	58.64708	7.94630
55.43544	6.15794	9.84087	0.13752	59.87010	10.21687	33.2525	8.59427	57.97472	8.13850	4.98424	-3.87481	6.98339	1152.20059	5.73661	1.00000	32.50919	8.64599
50.06403	9.85628		0.17901	60.99829	5.31138	-76.78319	6.70947	18.00747	4.59163	8.24691	25.52071	8.07802	1116.52668	5.38729	1.00000	55.10319	8.07885
24.25112	8.44227	10.37450	0.22113	67.65663	9.83981	30.4347	10.10468	-1.9487	10.81785	7.57635	15.69402	8.66454	1183.27775	6.61020	0.00000	63.26123	8.15678
29.04524	8.25887	8.88322	14.46505	61.17065	6.92716	17.22635	7.48654	48.8449	9.23427	10.74683	10.33466	7.84043	1135.70840	12.06940	1.00000	65.41102	8.73781
54.12472	6.92449	11.41454	0.57553	41.62996	6.72563	4.74161	7.81747	7.62789	6.42046	10.09977	22.62388	8.30784	1121.75044	8.55732	1.00000	49.26325	8.57143
25.63008	7.00134	10.96351	0.20765	37.94885	12.45408	83.62389	8.24464	53.30972	7.42682	7.36017	27.53666	8.92151	1122.51020	6.84651	1.00000	86.62012	8.91004
47.33559	2.90490	5.06785	3.57485	68.00556	11.55215	-87.70172	8.92005	41.72059	10.28589	7.22783	22.72970	9.15730	1120.11368	10.62899	0.00000	50.22208	8.04408
57.67976	8.38585	9.01986	0.41203	58.12432	5.45349	120.5875	9.69692	16.455	8.03602	6.66592	17.38192	9.11558	1096.18919	7.95198	0.00000	40.62447	8.68632
52.14001	8.76801	8.21123	0.23243	63.93063	7.16663	5.55575	7.38824	46.67535	7.98552	8.87376	21.14366	8.12101	1108.01060	6.41388	0.00000	50.76829	8.44654
65.25802	8.98992	10.84661	0.17920	40.34587	7.34889	24.14662	8.90710	65.84811	4.61239	10.44969	5.30461	8.56957	1181.49055	5.88131	1.00000	54.52438	9.96330
56.12203	10.14703	9.59497	1.56958	26.50114	5.83466	-77.37331	8.14734	37.60876	9.34287	10.58370	21.55745	8.66951	1167.80528	9.78308	1.00000	65.22959	9.18085
33.54266	10.22107	9.12953	0.37387	41.47321	7.11973	85.83334	10.24249	20.88197	10.60913	7.34816	12.31601	9.76243	1118.73329	7.87429	0.00000	69.13931	8.54942
56.14797	7.30980	10.33712	0.23495	43.44014	9.92517	12.84052	9.27848	45.78071	7.36010	6.78039	44.57646	9.57198	1140.80219	6.31585	1.00000	57.61223	8.54861
39.26244	11.08595	8.12604	0.18497	49.79455	7.00554	14.66737	8.58863	41.55947	5.76151	8.04442	26.92332	8.54774	1117.67788	5.42028	1.00000	79.62950	7.47631
67.95271		8.40343	0.29943	48.41884	8.82006	24.95034	8.81157	60.18427	7.52907	9.70500	11.26191	8.25296	1149.07695	7.61940	1.00000	56.71102	8.71601
46.16742	11.34890	9.15192	1.05492	59.08529	6.81191	10.03478	7.03757	37.16911	11.46651	6.95721	11.72154	9.11560	1124.01226	9.24487	0.00000	39.70789	8.97170
47.09435	7.18450	11.21857	0.13592	84.19619	9.94078	74.3092	6.99549	33.37526	7.77292	6.46171	18.67957	9.35918	1074.48287	5.60587	1.00000	34.56912	7.88480
45.51079	10.12861	11.45285	0.15245	56.37662	7.48947	10.98461	6.66190	48.35693	9.83587	6.45210	20.92843	8.63213	1068.63782	6.97192	0.00000	77.34214	7.15952
38.59193	10.49596	9.94487	0.43275	65.31582	8.85534	-77.03116	8.55597	3.8801	9.53754	11.42106	26.86613	9.97107	1165.91744	8.19840	1.00000	50.12158	10.02054
69.30866	6.00768	10.48549	0.21220	32.21730	9.23665	71.57737	8.10975	21.53889	8.40995	7.04872	-1.73806	9.46958	1139.09432	4.88512	1.00000	60.04790	7.22562
39.22978	7.67507	10.57351	1.36221	45.28557	6.44402	15.00913	8.92461	37.51803	7.84887	9.98463	-8.93751	8.80245	1087.48895	9.61485	1.00000	61.86320	11.77007
57.60363	8.58851	11.81730	0.57147	61.40334	8.67805	128.63083	8.24456	36.82167	9.11842	6.01360	16.92929	9.08196	1068.36344	8.59291	0.00000	34.45833	9.22323
82.18185	6.30946	8.33113	0.16057	53.79805	7.96394	46.10925	7.46440	43.35071	7.82871	3.32144	0.32946	9.57613	1133.41083	5.04135	1.00000	56.78497	7.28454
44.89084	10.81591	8.94886	1.27600	62.91095	7.31605	-0.59543	9.14324	44.80477	12.23153	6.46860	14.73795	9.10983	1076.05767	9.51344	0.00000	49.82695	9.02708
37.17620	9.01577	9.62652	0.47468	59.15478	6.43302	-85.76942	9.18175	39.78504	10.00606	6.00113	35.10599	8.08230	1127.44253	8.01475	0.00000	45.96279	8.77873
49.18347	8.77936	9.56929	0.36015	54.34388	5.49590	30.28491	8.18331	60.02427	6.26877	8.23529	16.34576	7.70468	1082.78785	7.64540	1.00000	53.41876	8.85579
77.79196	10.22322	6.65152	1.13362	40.77759	5.25731	5.37429	7.85052	51.03427	8.00432	7.00018	8.25222	8.67343	1143.19621	9.37346	1.00000	57.96363	7.98516
42.11702	7.99662	10.82717	0.75115	24.17820	6.09576	-73.75335	8.80848	45.4473	5.70615	8.29694	2.51594	7.52408	1150.62451	8.77501	1.00000	47.74655	9.55939
29.92297	8.00779	11.92838	0.38871	49.38348	10.82509	4.63031	7.06701	43.67681	5.94471	6.33758	13.36663	9.83034	1074.59459	7.85103	1.00000	66.83629	9.25676
45.17277	10.51970	12.76361	0.12299	66.72773	9.26418	15.46667	8.72882	47.05	9.79388	7.98498	20.67377	7.57022	1068.13673	2.40590	0.00000	71.13421	8.81946
39.55626	13.17047	9.11727	0.21132	25.90730	6.49166	11.34046		50.72043	7.91127	9.37487	6.91978	9.41475	1198.55132	4.70907	1.00000	56.47287	8.53901
53.96359	9.72229	9.50328	0.31722	73.22329	4.62271	-87.70172	8.39389	41.72059	6.52140	6.95160	17.59176	10.00873	1151.35398	6.21520	1.00000	51.71591	9.51701
64.15046	6.79810	8.52521	0.31997	31.85489	11.30611	34.3869	7.15533	11.8659	6.78487	6.03435	27.15885	8.40701	1066.71186	7.43114	1.00000	18.06611	7.48941
43.28687	11.03955	13.10006	0.28777	48.30489	8.78359	139.55722	6.42592	36	11.56793	5.81642	21.75124	9.23425	1172.89776		0.00000	56.77286	7.30564
52.59795	7.31919	12.81572	0.15280	64.05894	6.30157	29.00974	8.69005	-24.19436	3.71819	10.11085	39.48553	7.32927	1092.11699	5.25260	1.00000	63.41191	6.69649
29.04480	10.82272	11.33181	0.18469	65.04788	6.38108	111.50861	9.35111	32.54278	8.79160	9.57399	15.93214	7.50242	1072.32962	5.59375	1.00000	54.42232	9.32489
42.73888	9.63763	10.51033	1.03682	64.93519	6.01459	79.883	7.96644	6.9909	10.43159	5.25202	30.78993	7.96619	1172.47892	9.26007	0.00000	60.84322	10.51582
43.17274	7.03930	6.98048	0.50161	48.37705	9.95816	-86.19903	10.78582	11.84962	6.64450	10.10839	-0.53597	8.52047	1131.71519	8.37513	0.00000	50.99172	8.11959
60.94907	11.34842	9.44089	0.39849	62.98938	7.04748	112.19028	8.79554	30.35028	12.19927	6.98821	17.62526	9.59164	1072.97843	7.75822	0.00000	85.24056	9.61657
36.01535	5.84015	11.58034	0.21764	55.23128	12.65135	136.84186	8.46902	34.4833	8.43339	5.65010	24.59464	7.98530	1194.62883	4.36065	1.00000	21.05882	8.87067
46.60781	9.78032	10.63488	0.27892	53.77485	9.40482	2.18247	8.19597	41.41204	7.28860	11.55145	9.78100	7.73217	1166.89390	6.59790	1.00000	48.32461	7.41345
28.66414	10.75760	9.43479	0.20037	56.57852	7.40160	-1.32471	8.54637	51.40148	10.63153	7.95696	12.15742	9.24173	1066.43081	6.73083	0.00000	55.77332	8.72180
54.55071	5.58285	8.56634	0.15482	53.66885	7.03959	-76.72803	7.75727	39.32288	8.61188	2.86621	31.51936	8.90816	1057.33223	4.48070	1.00000	50.86284	9.45422
52.99728	5.45867	7.59644	0.21673	60.49123	9.17319	124.95278	9.03991	6.33444	8.41860	6.95967	24.20315	6.88350	1068.07325	5.54128	1.00000	56.67617	8.94586
53.21604	8.07677	12.89469	0.32296	48.73103	6.79006	-103.5687	7.71106	20.22816	7.55600	4.71475	-1.95852	8.46112	1160.38926	6.99379	0.00000	34.12140	9.03838
49.32150	7.32140	8.16482	6.43920	33.63639	6.73210	-73.47429	9.24740	40.68066	6.49590	9.37543	17.19243	7.74952	1124.11236	11.25619	1.00000	28.79278	8.71187
49.09230	8.05679	12.08059	0.24574	42.08647	6.91096	-122.24064	9.49365	47.80527	6.32996	8.03690	15.30289	7.84830	1121.16020	6.88502	1.00000	47.69879	7.81006
56.81523	8.77610	12.23080	0.18245	42.59867	8.09289	145.18333	6.79085	-37.9	6.42121	7.30590	23.68275	6.65759	1075.43781	5.10980	0.00000	60.82435	8.09588
40.81718	8.68566	8.81609	1.36031	68.51507	6.96425	-94.91386	8.73294	17.94979	7.28762	9.76625	15.56862	7.74505	1163.02481	9.65353	1.00000	60.57144	8.65507
54.91364	10.55457	8.00411	0.23430	38.21765	7.66444	127.08472	5.42373	36.20389	10.76505	8.90445	17.28617	8.53333	1161.01334	6.98932	0.00000	50.58320	8.63911
35.72125	9.11046	12.55489	0.23830	49.89776	8.47331	122.20488	8.50254	29.98869	9.41905	8.43814	23.14288	8.90545	1078.93262	6.01212	0.00000	61.91454	7.92726
26.74073	9.93022	10.26438	0.84706	40.73586	5.94329	4.52514	7.08916	12.74482	11.09730	5.36798	18.17439	7.85228	1180.66606	9.04925	0.00000	53.14918	9.50047
33.41377	6.63410	9.41073	0.24469	37.34489	10.21133	121.12251	7.36311	14.62578	10.74224	5.11418	14.44337	8.20600	1151.37916	6.23371	1.00000	63.12698	6.10925
39.53045	7.04505	11.51067	0.16657	64.91589	10.68352	4.62744		36.06386	8.56587	5.04280	10.93613	9.96964	1112.80052	6.06319	1.00000	44.93190	10.11219
71.52752	9.86198	10.66475	0.08468	45.33184	7.16739	79.82979	7.98244	11.93381	9.15816	7.41667	17.46036	10.10144	1142.03475	6.02040	0.00000	46.95958	9.72078
68.77921	12.81482	9.49729	0.19014	35.90197	8.43907	38.15035	8.59610	49.41029	7.81842	9.72430	23.29963	8.18035	1141.02393	3.83672	1.00000	54.92158	8.79095
59.38314	11.08081	10.74640	0.20460	52.91528	8.25988	4.92235	11.02711	7.65649	10.84982	7.56726	12.44596	9.78213	1073.33841	6.43211	0.00000	65.27570	9.33734
52.84641	7.47206	10.44984	0.40503	51.62978	7.39745	5.4384	9.08957	43.2907	5.20012	9.83286	15.33427	9.33079	1099.46206	7.76157	1.00000	58.97982	8.90570
63.71393	5.18396	8.54465	0.81232	58.08441	9.86596	-104.22884	7.24326	32.42067	9.56695	7.19265	17.25280	9.11117	1059.43413	8.99174	0.00000	56.73567	8.27418
42.74337	8.30352	11.17817	0.57669	48.72519	12.16678	4.08282	8.99363	36.61954	6.95235	9.69114	31.03290	8.46596	1162.80461	8.56106	1.00000	66.86616	7.72160
45.99988	4.63734	7.69609	2.26301	47.59541	10.56529	13.63617	7.33659	50.50301	9.16128	4.80141	23.96574	9.09662	1190.59716	10.16432	0.00000	63.44115	8.55653
56.24636	10.80278	9.99848	0.29615	47.08673	8.36270	-71.05977	9.34236	42.35843	11.12347	7.74062	17.33316	8.18851	1113.07815	6.18439	0.00000	58.15951	7.25953
52.88053	10.89485	8.58263	0.66094	8.53784	7.55598	20.89389	9.70868	42.62833	9.84868	9.60976	18.97979	8.73028	1162.82999	8.66358	1.00000	77.47336	7.69919
34.89569	8.93850	13.04684	0.14748	61.45729	6.32139	-117.14392	9.28858	32.9156	5.18916	10.02193	21.44974	8.93916	1143.44053	3.99267	1.00000	50.67529	10.19633
67.86525	10.06713	8.77024	0.17819	72.36383	6.93305	-75.87877	8.57624	5.6561	10.64254	7.88635	7.30293	8.27576	1060.78638	6.77073	0.00000	52.61708	9.16884
46.73132	11.81659	8.72088	0.13661	25.15420	9.80119	69.67639	8.49116	41.29444	4.73982	9.42418	5.19646	9.62562	1067.82822	2.91167	1.00000	25.07077	7.76769
40.75476	10.28700	9.45729	0.17879	47.92425	7.57779	117.55417	7.67314	34.86472	10.41024	7.75625	10.92321	8.40708	1050.35394	6.62402	0.00000	56.07204	8.05285
68.17441	8.02936	12.45856	0.21228	28.80726	8.79763	-102.04897	8.00385	19.64745	12.91980	5.93014	10.73363	10.30740	1142.61375	4.47645	0.00000	50.26837	9.24090
50.99863	11.10377	7.91801	0.41347	77.41864	5.57809	39.28333	8.32219	-10.33333	9.29974	7.78322	6.53808	8.53980	1082.63349	8.27899	1.00000	58.32545	8.33834
45.65494	4.97571	10.23448	0.09175	48.63982	12.88356	67.84222	7.89262	40.11583	9.58878	5.21224	26.35919	8.97163	1119.95896	5.17127	1.00000	56.17937	10.57600
43.27975	10.87288	8.85568	0.14290	50.84266	8.82473	-79.00453	8.29551	-2.90055	5.60732	9.90761	40.15146	7.30310	1172.66753	5.36182	1.00000	53.51100	9.53438
42.44433	6.68829	11.47306	0.16544	61.65914	11.23795	-1.5443	8.57918	50.75767		6.73405	9.54477	8.05553	1050.44330	4.81716	1.00000	30.64324	9.84199
40.61062	6.23280	10.42575		50.04371	12.55573	1.26738	7.34703	51.84819	8.74246	8.66368	14.81159	9.50434	1140.52254	6.54848	1.00000	52.22439	9.36038
58.89129	7.91480	12.20137	0.29722	61.03521	8.09634	-1.5443	8.61080	50.75767	9.95743	4.83296	37.94793	8.87315	1193.36659	6.96560	0.00000	58.26578	9.91228
41.81001	10.67020	6.53910	0.23829	37.08358	7.69819	-77.37331	9.40880	37.60876	10.43260	10.17077	24.12806	8.06139	1156.12989	7.13508	0.00000	56.56708	8.17045
53.97879	8.77560	7.39543	0.37782	27.51384	6.19806	-6.90656	9.24821	33.92866	8.59301	8.14782	17.54698	7.88839	1072.84645	7.93230	0.00000	38.26365	10.23165
46.43719	10.71252	9.20800	0.17520	34.65840	7.35657	16.54165	8.62159	68.79833	5.37150	10.23953	26.15887	9.05694	1076.22527	5.99692	1.00000	59.91399	7.18329
61.13872	10.21119	9.29289	3.03474	25.36644	4.91519	10.5511	9.59738	52.47774	10.19134	9.88373	4.92710	8.49784	1164.33778	10.45377	1.00000	45.73866	9.12402
52.33802	7.52486	9.57698	0.47345	44.20281	9.95608	-86.58208	7.33265	13.48082	9.74203	7.74168	2.04675	8.73264	1067.62672	8.25145	0.00000	43.09938	7.94908
46.09642	6.01160	11.28580	0.11844	60.35048	9.37404	123.62494	9.33008	12.37169	9.03566	6.46847	24.03713	8.47855	1196.80180	3.85381	1.00000	74.55931	9.22231
64.30174	6.13702	7.67883	0.12855	55.31990	9.97363	44.02488	10.60055	32.61603	7.98773	5.66136	12.21460	8.82601	1114.86739	4.66251	1.00000	38.94327	7.81735
33.12416	7.80434	9.23952	0.19971	61.06709	8.33934	-67.15407	9.71785	18.42745	6.39552	6.31494	-0.55615	10.00808	1114.07121	6.41703	1.00000	54.37070	6.55049
33.44644	7.58638	10.79696	0.18571	61.95223	9.78983	-84.67837	6.75373	34.06635	10.89748	5.51275	34.28294	7.69275	1135.87884	5.35398	0.00000	57.20949	8.64280
50.87241	10.71214	9.45641	0.21354	73.04172	4.95224	136.84186	8.09882	34.4833	6.95756	6.93143	10.74986	7.25795	1125.14787	5.27091	1.00000	63.71855	8.36381
47.38738	7.98685	10.16322	0.18542	66.45171	9.47169	-119.27337	8.48942	50.26729	9.83157		23.78680	10.41697	1089.13904	5.77699	0.00000	63.07333	8.63317
62.69008	7.43290	8.27011	0.63129	54.49638	8.03893	-78.04471	8.26819	34.25628	7.25438	7.50075	14.61886	8.41549	1187.57302	8.65113	1.00000	37.76330	8.93480
49.59602	8.09619	11.90994	0.19034	48.01041	6.77326	46.5813	7.27792	54.8421	6.34815	9.90531	15.13717	8.49995	1081.62369	6.53673	1.00000	63.18274	9.30198
40.06881	10.46093	10.05790	0.10931	49.60920	8.40201	117.59152	9.30265	3.31332	10.19189	8.20858	-0.46924	9.03532	1161.90580	5.68536	0.00000	36.16664	10.17114
41.98594	8.38577	10.10512	0.85355	54.80938	6.63344	38.2739	8.92754	46.7055	5.83927	11.09096	-7.49192	10.17843	1068.96405	8.94559	1.00000	58.25670	8.91586
62.77981	6.74358	7.98087	0.49458	60.88763	7.26322	-121.74052	8.13208	38.54491	6.65116	7.18808	17.81741	7.94656	1156.66497	8.25612	1.00000	72.51303	8.14233
65.58721	7.08963	9.91623	0.33412	36.62368	9.51021	-7.32097	6.42924	41.1053	10.21820	6.25820	30.17311	8.31339	1071.44344	7.49510	0.00000	41.66356	8.69441
58.84008	7.36409	12.39721	0.20779	36.33698	10.65195	101.96857	8.04644	4.88441	3.83253	12.58483	7.53537	7.53092	1161.89845	5.40139	1.00000	60.98064	10.87315
53.57391	8.93472	12.04525	0.57374	67.61259	8.87781	-83.2321	9.00754	33.08014	5.03250	8.69585	12.54465	7.86067	1107.61116	8.40861	1.00000	61.48018	9.30790
70.44551	9.65995	9.19913	2.38295	55.94929	5.90550	-87.66561	8.11653	41.8542	8.85306	10.39450	26.08558	8.46815	1107.81394	10.20997	1.00000	45.54403	8.36649
44.70558	7.67425	11.73661	0.33553	58.01239	10.35814	71.57737	10.40582	21.53889	6.95473	5.49395	-19.04993	8.42042	1075.72349	7.15565	1.00000	52.20519	8.04026
44.92800	10.82085	12.03975	0.28422	66.77026	7.71319	-74.28459	6.91317	40.5576	11.63477	5.42532	3.78744	10.46440	1155.85841	7.42956	0.00000	18.95471	7.65005
61.97093	7.47741	6.55840	1.41087	58.61801	8.24147	10.78222	6.97897	36.46917	6.18777	8.84729	19.47586	8.54186	1058.07467	9.65930	1.00000	56.31456	7.78708
64.42558	5.18710	7.44394	1.59847	35.91622	10.42092	59.6	6.78762	47.83333	8.04273	7.62741	10.03725	8.70850	1057.21746	9.78669	0.00000	50.85090	6.78914
82.89903	9.73033	11.82008	0.92432	47.41940	9.37449	46.04833	10.35916	51.40944	5.63647	5.55428	38.23203	8.31117	1088.71607	9.18734	1.00000	55.91768	7.62768
49.70163	8.09733	9.24513	0.12367	43.85021	11.37881	-73.75335	9.10619	45.4473	10.05043	7.04949	-3.79886	6.78593	1161.95778	6.10963	0.00000	49.30697	8.71259
46.80389	10.82950	10.56559	0.60346	50.80756	6.10006	85.37752	8.34555	22.10194	9.84649	11.04807	23.47644	6.90997	1081.00484	8.43703	1.00000	41.11470	8.11468
41.33032	7.13210	10.81906	0.19001	32.93191	8.10305	-79.59415	8.34019	-2.13404	7.50178	5.88318	9.28673	7.83675	1081.97863	5.03406	1.00000	42.45698	9.60889
24.11563	8.75480	8.45668	0.33227	30.24736	7.71803	16.50104	8.87458	41.24264	4.55242	9.71617	1.34183	7.16654	1051.38954	7.82352	0.00000	34.09557	9.82569
45.25432	9.40242	7.02513	0.26733	41.70601	7.78680	-73.26022	9.16866	6.46838	9.64661	9.44281		8.92471	1101.85685	7.21540	0.00000	66.97828	8.90940
47.53462	6.51659	8.87704	0.57491	35.26678	12.10731	3.39467	8.48788	6.45407	7.42503	8.51461	17.68254	6.78369	1168.99868	8.48690	1.00000	47.21595	7.60196
34.26873	11.00363	8.06536	0.24317	65.65891	6.60003	29.41824	8.92837	45.99194	6.97451	8.64657	13.50123	10.40904	1061.38850	7.03817	1.00000	43.25616	8.06988
64.97786	6.67781	9.51493	0.24269	70.10251	9.51984	84.87144	9.55013	47.46657	10.92005		16.60155	7.24475	1163.54846	6.48022	0.00000	59.21374	8.95472
49.46688	11.54872	8.58222	0.28498	50.01052	7.00053	38.12408	8.12217	53.77166	8.00998	9.47513	2.02021	8.26362	1196.12091	6.97398	1.00000	39.76780	7.51260
43.64306	9.92245	14.21514	0.16457	23.74539	8.50311	-0.45877	9.80182	46.32313	9.27449	6.05920	29.61216	8.35229	1094.17530	4.61767	0.00000	60.78824	7.10683
56.74834	9.56756	9.40052	0.17075	52.43177	4.61636	-7.32097	8.66745	41.1053	5.02310	7.15167	-8.73803	8.23560	1115.61169	5.68794	1.00000	57.93728	8.80795
41.59281	7.72449	9.13855	1.29047	49.46635	3.80407	-35.03333	8.24074	-8.28333	7.03639	7.04774	12.09004	6.91414	1154.16833	9.61027	0.00000	53.79518	8.51787
47.02703	6.10152	7.84324	0.14132	71.41564	11.34986	86.51499	8.48196	23.1959	9.56895	7.20430	24.50096	7.42138	1198.73774	5.55321	0.00000	32.03757	10.11655
63.76522	9.61435	12.59790		31.63515	8.55183	38.15035	9.08265	49.41029	10.42971	8.98017	21.58318	7.55723	1097.88519	4.68629	0.00000	37.52904	9.83622
42.05507	9.21449	11.07731	0.33505	24.52306	7.71548	-82.46148	7.88144	28.15112	7.67363	11.52356	14.95994	9.21338	1078.39784	7.90438	1.00000	45.51885	10.45844
47.48720	7.34473	9.54713	0.20579	49.92167	9.68891	112.19028	9.10853	30.35028	9.35385	7.18612		9.97106	1195.18622	6.72845	0.00000	54.00615	10.08196
42.03955	6.78029	10.58336	0.15215	46.90581	6.86053	0.75	7.72928	52.41667	8.08888	5.26213	5.56318	8.93152	1157.72716	4.53068	1.00000	61.85738	7.57975
46.51154	8.93562	12.84394	0.49937	37.90291	10.31528	30.2049	7.51613	55.1904	6.61558	6.50112	-3.18227	7.00492	1097.02486	8.40399	1.00000	70.93260	7.80942
