location	revision	code	QoS	latitude	longitude
Africa/Tunis	09/11/2018, 00:00:00	TN	average	37.16911	10.03478
Europe/Lisbon	04/04/2016, 00:00:00	PT	building	41.1053	-7.32097
Asia/Baghdad	03 Jan 2018	IQ	good	32.61603	44.02488
Asia/Shanghai	2021-02-12	CN	good	41.94175	123.50266
Africa/Libreville	2020/10/04	GA	good	-1.63333	13.58357
Asia/Kolkata	2012-10-27	IN	good	33.37526	74.3092
America/Los_Angeles	2021/12/11	US	accep	47.80527	-122.24064
Asia/Karachi	11/25/2017, 00:00:00	PK	maintenance	32.87533	71.57118
Europe/Paris	2014-02-22	FR	excellent	50.75	2.25
Asia/Kolkata	19 Apr 2022	IN	average	25.92493	73.66633
America/Chicago	06/16/2021, 00:00:00	US	accep	41.8542	-87.66561
Australia/Perth	07 Dec 2013	AU	excellent	-31.95224	115.8614
Asia/Manila	2019/11/01	PH	maitennce	14.8361	120.97844
Europe/Rome	2013/04/19	IT	excellent	38.07789	13.44275
America/Santiago	31 May 2013	CL	excellent	-33.59217	-70.6996
America/Costa_Rica	2016/05/04	CR	average	10.63504	-85.43772
America/Mexico_City	07/09/2014, 00:00:00	MX	average	19.32932	-98.1664
Europe/Sofia	05/04/2017, 00:00:00	BG	excellent	41.57439	24.71204
Asia/Seoul	2015/07/06	KR	good	36.6009	126.665
America/Puerto_Rico	25 Dec 2016	PR	good	18.03496	-66.8499
America/Guayaquil	18 Dec 2016	EC	good	-2.13404	-79.59415
Europe/Moscow	2017/04/25	RU	good	46.7055	38.2739
Africa/Algiers	12/24/2019, 00:00:00	DZ	excellent	36.72544	3.55665
Europe/Madrid	05 Dec 2017	ES	building	43.31667	-2.68333
Asia/Tokyo	2015/01/03	JP	excellent	34.9	137.5
Asia/Dhaka	08/29/2013, 00:00:00	BD	excellent	22.83957	91.84128
Asia/Yekaterinburg	02/05/2020, 00:00:00	RU	excellent	56.9083	60.8019
America/Toronto	02/08/2016, 00:00:00	CA	average	42.8334	-80.38297
Europe/Moscow	28 May 2018	RU	good	57.97472	33.2525
Europe/Helsinki	2019-08-31	FI	maintenance	60.18427	24.95034
Europe/Rome	2017-04-03	IT	accep	40.72586	8.55552
Europe/London	2013/04/12	GB	excellent	53.0233	-1.48119
Europe/Kiev	2015/03/31	UA	maintenance	46.65581	32.6178
America/Chicago	05 Aug 2014	US	accep	33.41012	-91.06177
Asia/Dili	2015-01-25	TL	excellent	-8.99167	125.21972
Europe/Rome	01/30/2021, 00:00:00	IT	excellent	38.07789	13.44275
America/Mexico_City	12/10/2015, 00:00:00	MX	accep	20.22816	-103.5687
Asia/Yekaterinburg	2018-03-26	RU	accep	56.11281	69.49015
Europe/Moscow	09/09/2020, 00:00:00	RU	good	54.03876	43.91385
Africa/Dar_es_Salaam	16 Jan 2015	TZ	excellent	-4.83	29.65806
Europe/Moscow	2014-09-30	RU	good	55.62047	37.49338
Africa/Lubumbashi	2014/01/30	CD	good	0.49113	29.47306
Asia/Manila	2019-05-24	PH	accep	12.97389	123.99333
Asia/Kuala_Lumpur	12/18/2014, 00:00:00	MY	good	2.2139	102.3278
Europe/Moscow	2015-06-05	RU	accep	44.98901	38.94324
Europe/Paris	01/21/2022, 00:00:00	FR	average	43.67681	4.63031
Europe/Rome	12/17/2014, 00:00:00	IT	excellent	45.44694	8.62118
America/New_York	2015-10-19	US	average	40.64621	-73.97069
America/Managua	04/29/2017, 00:00:00	NI	excellent	13.48082	-86.58208
America/New_York	2020/03/15	US	average	38.91817	-78.19444
Asia/Karachi	2015/11/25	PK	building	30.29184	71.67164
Europe/Kiev	2014/11/24	UA	building	47.56494	31.33078
Africa/Lagos	2018/10/13	NG	accep	6.15038	6.83042
Asia/Tehran	21 Dec 2020	IR	accep	35.6803	51.0193
America/Sao_Paulo	2012/10/02	BR	building	-19.7625	-44.31389
Europe/Paris	04/21/2014, 00:00:00	FR	good	46.67535	5.55575
Asia/Kolkata	20 Jul 2022	IN	accep	11.93381	79.82979
Asia/Phnom_Penh	05/15/2015, 00:00:00	KH	good	13.65805	102.56365
Europe/Bratislava	2016/06/28	SK	average	48.43174	17.8031
America/Bogota	15 Sep 2021	CO	accep	10.15031	-73.9614
Europe/Berlin	11/05/2012, 00:00:00	DE	accep	48.35693	10.98461
Europe/London	23 Apr 2021	GB	excellent	51.40148	-1.32471
Asia/Colombo	01/25/2020, 00:00:00	LK	building	6.9909	79.883
America/Vancouver	2014/07/02	CA	excellent	50.26729	-119.27337
Europe/Moscow	2014-01-17	RU	accep	61.78491	34.34691
Europe/Madrid	04/20/2021, 00:00:00	ES	good	41.15612	1.10687
America/New_York	07 Aug 2013	US	average	32.54044	-82.90375
Europe/Chisinau	2022/04/07	MD	excellent	48.15659	28.28489
Asia/Tokyo	08/03/2019, 00:00:00	JP	excellent	35.82756	137.95378
Africa/Algiers	03 Jan 2020	DZ	excellent	35.21222	2.31889
America/Los_Angeles	06/13/2016, 00:00:00	US	excellent	47.4943	-122.24092
Europe/Rome	2013/05/31	IT	excellent	38.07789	13.44275
Europe/Rome	2020/07/04	IT	building	38.07789	13.44275
Europe/Paris	2016-12-04	FR	accep	45.69558	4.7934
Australia/Melbourne	2021-02-27	AU	good	-38.16604	145.13643
Europe/Istanbul	12/26/2021, 00:00:00	TR	average	40.98894	28.67582
America/Recife	2014-06-14	BR	excellent	-8.05389	-34.88111
Asia/Kolkata	2013-10-16	IN	average	22.10194	85.37752
America/Mexico_City	2015/01/02	MX	accep	19.64745	-102.04897
America/New_York	31 Mar 2021	US	accep	39.33427	-76.43941
Europe/Amsterdam	07/02/2022, 00:00:00	NL	building	51.44889	5.51978
Asia/Shanghai	2020/02/23	CN	building	41.27194	123.17306
Asia/Jakarta	04 Oct 2014	ID	average	-7.81667	112.01667
Africa/Algiers	2022-07-17	DZ	excellent	36.61954	4.08282
Asia/Qyzylorda	11/14/2021, 00:00:00	KZ	good	44.85278	65.50917
Asia/Tokyo	10/19/2012, 00:00:00	JP	maintenance	34.4833	136.84186
Asia/Jerusalem	09/17/2013, 00:00:00	IL	accep	31.92923	34.86563
Europe/Samara	2017/03/25	RU	good	53.37596	51.3452
Asia/Seoul	2014-03-10	KR	good	37.1759	128.9889
America/Chicago	2020/10/12	US	good	32.5007	-94.74049
Europe/Paris	04/06/2021, 00:00:00	FR	acceptable	43.83125	5.03586
Europe/Istanbul	2019-04-16	TR	excellent	38.37255	34.02537
Asia/Tokyo	2021-01-31	JP	maintenance	34.81667	137.4
America/Sao_Paulo	2019/07/24	BR	accep	-22.53722	-42.98194
America/Chicago	2018/03/11	US	good	36.61033	-88.31476
America/Martinique	2014/08/12	MQ	accep	14.67751	-60.94228
America/Chicago	2021/09/14	US	excellent	31.76212	-95.63079
Asia/Baku	2015-10-05	AZ	good	38.45598	48.87498
Indian/Antananarivo	2013/03/26	MG	accep	-22.9	44.53333
America/New_York	06 May 2014	US	excellent	37.60876	-77.37331
America/Chicago	05/15/2015, 00:00:00	US	accep	33.41012	-91.06177
Asia/Shanghai	01 Feb 2020	CN	maintenance	34.56861	105.89333
Asia/Makassar	19 Jan 2015	ID	building	3.31332	117.59152
Europe/Minsk	11/10/2021, 00:00:00	BY	good	52.4089	31.3237
America/Managua	09 Sep 2021	NI	accep	13.48082	-86.58208
Asia/Ho_Chi_Minh	11/28/2020, 00:00:00	VN	excellent	10.29085	105.75635
Europe/Zurich	29 Mar 2022	CH	maintenance	46.18396	6.10237
Europe/Kiev	22 Feb 2019	UA	maintenance	50.18545	27.06365
Africa/Dar_es_Salaam	09 Jun 2013	TZ	excellent	-10.33333	39.28333
Indian/Antananarivo	2021/07/09	MG	good	-17.83333	48.41667
Asia/Tokyo	11/02/2017, 00:00:00	JP	accep	34.75856	136.13108
Africa/Algiers	2017-03-31	DZ	excellent	34.15429	3.50309
Europe/Berlin	2019-09-28	DE	good	50.72043	11.34046
Europe/London	2022-06-12	GB	accep	53.81667	-3.05
Asia/Kolkata	07/19/2021, 00:00:00	IN	average	26.32293	91.00632
America/New_York	2013/05/03	US	accep	42.58342	-71.8023
Asia/Dushanbe	04/05/2016, 00:00:00	TJ	excellent	38.55632	69.01354
Asia/Manila	2015/11/05	PH	good	10.13361	124.84472
Europe/Brussels	10/25/2021, 00:00:00	BE	accep	50.71229	4.52529
Asia/Bangkok	07/30/2017, 00:00:00	TH	accep	15.79408	104.1451
Europe/Rome	2019/09/10	IT	good	45.53069	9.40531
Asia/Taipei	2012-12-15	TW	average	23.5654	119.58627
Asia/Jakarta	03/31/2015, 00:00:00	ID	average	-7.54972	110.71639
Asia/Shanghai	2017-12-24	CN	good	45.35	126.28333
America/Port-au-Prince	2013/03/30	HT	maintenance	18.65297	-72.09391
America/New_York	01/27/2022, 00:00:00	US	accep	26.68451	-80.66756
Africa/Cairo	01/28/2020, 00:00:00	EG	accep	31.20176	29.91582
Europe/Zaporozhye	02/02/2019, 00:00:00	UA	building	49.41029	38.15035
Asia/Tashkent	03/13/2018, 00:00:00	UZ	accep	41.29444	69.67639
Europe/Rome	04/19/2022, 00:00:00	IT	maintenance	41.55947	14.66737
Europe/Berlin	2020/07/25	DE	maintenance	48.78232	9.17702
Asia/Tokyo	08/04/2021, 00:00:00	JP	average	44.35056	142.45778
America/New_York	2013-10-17	US	good	43.61062	-72.97261
Europe/Brussels	2017/01/28	BE	maintenance	50.8	3.16667
Europe/Brussels	2014-10-24	BE	accep	51.03427	5.37429
America/New_York	2014-11-10	US	building	41.24255	-82.61573
America/Mexico_City	2016/10/04	MX	accep	19.64745	-102.04897
Europe/Moscow	11/15/2021, 00:00:00	RU	good	55.85	37.56667
America/New_York	06 Dec 2019	US	maintenance	28.15112	-82.46148
America/Sao_Paulo	24 Jun 2015	BR	average	-28.24	-48.67028
Europe/Rome	2012/11/15	IT	good	43.1122	12.38878
America/Toronto	02/14/2016, 00:00:00	CA	excellent	42.8334	-80.38297
Europe/Brussels	01 Oct 2021	BE	average	51.03427	5.37429
America/Los_Angeles	06/14/2013, 00:00:00	US	maintenance	34.14251	-118.25508
Europe/Warsaw	2018-08-22	PL	building	50.20528	19.27498
Europe/Amsterdam	2019/02/17	NL	building	51.44889	5.51978
Europe/Rome	2014-02-04	IT	excellent	37.49223	15.07041
Africa/Addis_Ababa	2019/03/14	ET	average	6.03333	37.55
Asia/Barnaul	07/22/2021, 00:00:00	RU	average	53.30972	83.62389
Asia/Kolkata	2018-03-26	IN	excellent	25.6439	77.9129
Europe/Paris	2015-11-15	FR	maintenance	48.77644	2.29026
Asia/Kolkata	2018/12/23	IN	average	26.11527	86.59509
Europe/Brussels	2022-03-10	BE	average	51.21187	4.25633
Europe/Brussels	2013/04/28	BE	excellent	50.88506	4.07601
Africa/Kampala	2019-01-20	UG	building	2.41669	30.98551
America/New_York	2020/05/21	US	accep	40.64621	-73.97069
America/Indiana/Indianapolis	12/08/2016, 00:00:00	US	good	41.75338	-86.11084
Europe/Kiev	2013/01/28	UA	maintenance	46.65581	32.6178
Africa/Accra	2018/10/15	GH	good	5.30383	-1.98956
Europe/Paris	03/29/2019, 00:00:00	FR	average	43.67681	4.63031
Asia/Kolkata	2018/10/12	IN	average	24.05979	77.40858
America/Maceio	28 Jun 2016	BR	maintenance	-10.90889	-37.03861
Asia/Shanghai	29 Jul 2021	CN	excellent	36.81667	117.81667
Asia/Kolkata	08/14/2020, 00:00:00	IN	maintenance	21.53889	71.57737
Asia/Jakarta	2017/01/22	ID	accep	-6.91806	106.92667
Europe/Rome	11/14/2017, 00:00:00	IT	good	37.51803	15.00913
America/Mexico_City	2013-08-23	MX	accep	19.32889	-99.32556
Europe/London	04/30/2014, 00:00:00	GB	good	53.81667	-3.05
Asia/Manila	2014-08-02	PH	excellent	12.37169	123.62494
Europe/Rome	2016/06/05	IT	accep	45.9836	12.70038
America/Sao_Paulo	2014-04-25	BR	good	-20.25333	-43.80139
Europe/Berlin	22 Oct 2017	DE	accep	52.53048	13.29371
Asia/Tehran	2015/01/04	IR	average	35.6803	51.0193
Asia/Kolkata	2016-08-01	IN	good	22.10194	85.37752
Asia/Shanghai	2017/03/13	CN	good	35.64889	117.27583
Asia/Kolkata	11/11/2014, 00:00:00	IN	accep	23.49668	86.68363
America/Chicago	2016/01/26	US	accep	40.56754	-89.64066
Europe/London	19 Apr 2016	GB	average	50.11861	-5.53715
Asia/Karachi	31 Jan 2019	PK	average	30.76468	74.12286
Asia/Dhaka	09/13/2017, 00:00:00	BD	building	23.9028	89.11943
Europe/Skopje	2018-12-03	MK	maintenance	42	21.32778
America/Sao_Paulo	2022-03-18	BR	good	-20.25333	-43.80139
America/Los_Angeles	2020-11-06	US	maintenance	40.58654	-122.39168
Asia/Jakarta	03/23/2014, 00:00:00	ID	building	-7.01833	107.60389
Asia/Shanghai	2016-05-16	CN	building	35.20889	111.73861
Asia/Vladivostok	2013/05/09	RU	good	53.14657	140.72287
Asia/Manila	08 Apr 2021	PH	good	14.14989	121.3152
Asia/Shanghai	17 Jun 2015	CN	accep	23.29549	113.82465
America/New_York	2018-04-20	US	maintenance	41.24255	-82.61573
Australia/Melbourne	08/18/2014, 00:00:00	AU	accep	-37.9	145.18333
Asia/Kolkata	2019/04/22	IN	good	23.1959	86.51499
Africa/Algiers	07/27/2022, 00:00:00	DZ	good	35.21222	2.31889
America/New_York	2017-01-10	US	building	34.06635	-84.67837
Europe/London	2021-04-16	GB	excellent	53.38333	-0.76667
Asia/Yakutsk	2021-10-25	RU	average	65.93381	111.4834
Asia/Tehran	27 Sep 2015	IR	average	33.86419	48.26258
Africa/Casablanca	15 Oct 2015	MA	maintenance	33.43443	-5.22126
Africa/Lubumbashi	2020/02/25	CD	excellent	0.76755	24.43973
America/Toronto	2019/10/03	CA	maintenance	45.40008	-73.58248
Asia/Kuala_Lumpur	01/06/2022, 00:00:00	MY	excellent	4.88441	101.96857
Africa/Mogadishu	2019-04-25	SO	good	9.89206	43.38531
Pacific/Auckland	2014-08-17	NZ	excellent	-44.39672	171.25364
Europe/Moscow	16 Mar 2019	RU	good	44.92934	37.99117
Europe/Kiev	02/24/2020, 00:00:00	UA	excellent	45.99194	29.41824
Asia/Seoul	02/03/2013, 00:00:00	KR	average	36.20389	127.08472
America/Los_Angeles	2017/02/21	US	good	33.7207	-116.21677
Asia/Kolkata	2017-01-15	IN	good	11.93381	79.82979
Atlantic/Azores	10/16/2015, 00:00:00	PT	excellent	37.74615	-25.66689
America/Vancouver	2014/12/27	CA	accep	50.26729	-119.27337
Asia/Karachi	2018-06-30	PK	accep	25.80565	68.49143
Europe/Madrid	29 Jul 2020	ES	average	38.38479	-0.76773
Asia/Kolkata	2017/12/22	IN	accep	28.98002	77.70636
America/Denver	2018-03-11	US	accep	39.72943	-104.83192
Asia/Tokyo	2020-12-22	JP	excellent	35	136.51667
Europe/Madrid	12/27/2017, 00:00:00	ES	average	38.47917	-1.325
America/Los_Angeles	2020/09/28	US	building	47.64995	-117.23991
Asia/Jakarta	09 Jul 2017	ID	good	0.51667	101.44167
Asia/Kolkata	14 May 2021	IN	accep	25.92127	86.79271
America/New_York	08/21/2016, 00:00:00	US	excellent	41.55838	-81.56929
America/Bogota	2016/03/26	CO	good	3.8801	-77.03116
Asia/Yekaterinburg	05/19/2017, 00:00:00	RU	excellent	56.11281	69.49015
America/Recife	2013-06-23	BR	average	-8.28333	-35.03333
Asia/Makassar	2020/02/27	ID	excellent	3.31332	117.59152
Africa/Lubumbashi	2015/09/12	CD	good	0.49113	29.47306
Asia/Tashkent	27 Nov 2015	UZ	good	40.78206	72.34424
Europe/Paris	19 Oct 2016	FR	average	44.92801	4.8951
Asia/Tokyo	05/19/2018, 00:00:00	JP	excellent	34.61667	135.6
Asia/Karachi	2022-08-04	PK	excellent	32.57756	71.52847
Pacific/Auckland	23 Nov 2014	NZ	good	-38.65333	178.00417
America/Chicago	12 Apr 2015	US	accep	45.0408	-93.263
Europe/London	28 May 2016	GB	excellent	53.00974	-3.05814
Europe/Berlin	03/30/2021, 00:00:00	DE	average	52.61131	13.31783
Asia/Tokyo	2014-10-12	JP	accep	34.9	137.5
Europe/Moscow	09 Jun 2017	RU	average	54.90083	38.07083
Europe/Berlin	2015-04-10	DE	average	52.2	8.63333
America/New_York	2013/12/14	US	average	40.24537	-75.64963
Asia/Barnaul	11 Mar 2018	RU	average	53.30972	83.62389
Asia/Bangkok	11/05/2017, 00:00:00	TH	good	14.64056	104.64992
America/New_York	2017-11-25	US	maintenance	39.00622	-77.4286
America/Mexico_City	2022/09/17	MX	accep	19.8173	-97.35992
America/Sao_Paulo	2013-03-19	BR	accep	-26.22861	-52.67056
Asia/Kolkata	2016/07/03	IN	accep	14.46693	75.92694
America/Chicago	2018/04/24	US	good	41.72059	-87.70172
Asia/Karachi	2020-09-04	PK	good	30.76468	74.12286
Asia/Tokyo	2015/08/18	JP	building	33.3213	130.94098
Asia/Dhaka	2021/05/03	BD	excellent	22.83957	91.84128
Asia/Kolkata	2017-02-16	IN	accep	23.1959	86.51499
America/Bogota	2019/04/07	CO	accep	3.8801	-77.03116
Africa/Maputo	2017/10/16	MZ	good	-23.85972	35.34722
America/Lima	2015-03-13	PE	average	-16.25	-69.08333
Asia/Karachi	2021/06/23	PK	maintenance	27.55898	68.21204
Asia/Kolkata	02/06/2018, 00:00:00	IN	excellent	11.93381	79.82979
Asia/Baku	23 Oct 2021	AZ	average	38.45598	48.87498
Australia/Brisbane	2014/07/10	AU	good	-25.54073	152.70493
Europe/Moscow	04/07/2013, 00:00:00	RU	accep	55.85	37.56667
America/Los_Angeles	07 Jun 2022	US	maintenance	47.64995	-117.23991
America/Los_Angeles	2013/08/29	US	excellent	38.17492	-122.2608
America/Recife	2018-09-15	BR	maintenance	-8.28333	-35.03333
Africa/Dar_es_Salaam	11 Jul 2015	TZ	average	-7.60361	37.00438
Asia/Tokyo	06 Aug 2022	JP	average	36	139.55722
America/New_York	2020-04-15	US	accep	37.60876	-77.37331
Africa/Casablanca	2017/10/25	MA	maintenance	33.92866	-6.90656
Asia/Tokyo	05/06/2022, 00:00:00	JP	accep	37.56667	140.11667
Europe/Paris	2020-05-25	FR	building	48.79325	2.29275
Asia/Jakarta	2020-06-24	ID	maintenance	-7.01833	107.60389
Europe/Paris	2019-03-11	FR	accep	48.8765	2.18967
Asia/Tashkent	05/12/2020, 00:00:00	UZ	building	41.29444	69.67639
Asia/Tokyo	2014/08/04	JP	good	44.35056	142.45778
Europe/Kiev	13 Oct 2020	UA	average	46.75451	33.34864
Asia/Tokyo	06/06/2015, 00:00:00	JP	accep	33.3213	130.94098
Europe/Bratislava	13 Jun 2016	SK	excellent	48.8449	17.22635
Asia/Bangkok	2014-02-22	TH	good	15.58552	102.42587
America/New_York	29 Nov 2016	US	good	39.96097	-75.60804
Europe/London	02/23/2017, 00:00:00	GB	maintenance	50.79205	-1.08593
Asia/Bangkok	09/17/2017, 00:00:00	TH	excellent	13.44581	101.18445
Europe/Zaporozhye	23 Sep 2015	UA	average	49.41029	38.15035
America/Los_Angeles	2019-12-09	US	good	47.76232	-122.2054
Europe/Skopje	28 Dec 2013	MK	building	42	21.32778
America/Recife	08 Nov 2015	BR	good	-8.05389	-34.88111
America/Argentina/Buenos_Aires	08 Oct 2018	AR	building	-34.64966	-58.38341
America/Bogota	01 Jul 2016	CO	excellent	6.46838	-73.26022
Asia/Tokyo	10/29/2018, 00:00:00	JP	accep	35.06667	135.21667
Europe/Paris	2014-04-16	FR	good	46.32313	-0.45877
America/Toronto	2018/12/18	CA	good	42.8334	-80.38297
America/Sao_Paulo	02/03/2014, 00:00:00	BR	good	-28.24	-48.67028
Europe/Brussels	11/15/2021, 00:00:00	BE	excellent	50.74497	3.20639
America/Denver	08/25/2019, 00:00:00	US	excellent	32.42067	-104.22884
Asia/Shanghai	2017-08-29	CN	excellent	35.20889	111.73861
Europe/Moscow	2022/07/24	RU	building	55.38752	36.73307
America/Jamaica	25 May 2018	JM	accep	18.00747	-76.78319
Asia/Bangkok	2021/12/17	TH	excellent	14.64056	104.64992
Europe/London	2017/10/17	GB	average	57.14369	-2.09814
Asia/Tokyo	25 Apr 2016	JP	average	37.56667	140.11667
Asia/Baku	26 Mar 2022	AZ	average	38.45598	48.87498
Europe/Madrid	2020-10-09	ES	accep	38.38479	-0.76773
Europe/Berlin	07/06/2019, 00:00:00	DE	accep	51.20219	7.36027
Europe/Paris	10/09/2016, 00:00:00	FR	building	43.11667	1.6
Europe/Paris	12/12/2017, 00:00:00	FR	accep	48.79325	2.29275
Europe/Chisinau	07/08/2021, 00:00:00	MD	maintenance	48.15659	28.28489
Europe/Prague	08/03/2019, 00:00:00	CZ	excellent	50.50301	13.63617
Asia/Shanghai	2022/06/26	CN	accep	30.35028	112.19028
Asia/Kolkata	12 Aug 2019	IN	accep	18.51957	73.85535
Europe/Moscow	2017-01-29	RU	maintenance	55.62047	37.49338
America/Puerto_Rico	01 Mar 2018	PR	accep	18.03496	-66.8499
Asia/Karachi	06/05/2021, 00:00:00	PK	building	29.69221	72.54566
Asia/Seoul	2015/11/23	KR	good	37.65639	126.835
America/Los_Angeles	2022/09/18	US	accep	33.52253	-117.70755
Europe/Stockholm	2016/12/17	SE	excellent	59.33333	18.28333
Asia/Tokyo	01 Aug 2021	JP	average	33.3213	130.94098
Europe/London	2019-04-28	GB	accep	53.19146	-2.52398
Europe/Volgograd	12/29/2012, 00:00:00	RU	excellent	50.06	43.2379
Asia/Tokyo	2022-07-05	JP	maintenance	36	139.55722
Asia/Kolkata	05/05/2016, 00:00:00	IN	excellent	18.87813	72.93924
Asia/Shanghai	2019-02-08	CN	good	41.09822	120.74792
Asia/Manila	2021/12/23	PH	excellent	8.56697	123.33471
Europe/London	06/01/2016, 00:00:00	GB	accep	53.46506	-1.47217
America/Chicago	19 May 2017	US	average	44.73941	-93.12577
America/Los_Angeles	2017-01-02	US	average	47.38093	-122.23484
Europe/Rome	2016/07/18	IT	average	45.50369	11.412
Europe/Sofia	13 Jan 2019	BG	average	41.57439	24.71204
Asia/Shanghai	03/06/2015, 00:00:00	CN	good	29.98869	122.20488
Europe/Paris	20 Jul 2018	FR	accep	48.98333	2.61667
Asia/Bangkok	2013-04-20	TH	average	8.43333	99.96667
Asia/Kuala_Lumpur	25 Jun 2022	MY	maintenance	4.88441	101.96857
Europe/Zurich	06/20/2022, 00:00:00	CH	average	47.30997	8.52462
Asia/Kolkata	06/18/2020, 00:00:00	IN	accep	27.9247	78.40102
Europe/Tallinn	05/08/2013, 00:00:00	EE	good	59.37722	28.19028
Asia/Tokyo	2016/08/09	JP	average	36.65	138.31667
America/New_York	2020-05-10	US	accep	40.57788	-73.95958
Europe/Moscow	2020/12/30	RU	accep	53.95278	32.86389
Europe/London	2021/09/07	GB	excellent	53.0233	-1.48119
America/Managua	2017-03-20	NI	average	11.84962	-86.19903
Africa/Lubumbashi	31 Jul 2014	CD	excellent	0.49113	29.47306
Europe/London	2017/02/01	GB	excellent	53.7446	-0.33525
Africa/Algiers	2015/08/24	DZ	building	36.06386	4.62744
Europe/Rome	06 Feb 2018	IT	average	45.50369	11.412
Africa/Tripoli	2017/10/08	LY	excellent	30.75545	20.22625
Africa/Algiers	09 Sep 2021	DZ	building	36.76775	2.95924
Africa/Kigali	2021-09-15	RW	maintenance	-1.9487	30.4347
Europe/Podgorica	2018-02-13	ME	excellent	42.28639	18.84
Asia/Shanghai	2017/05/25	CN	good	34.86472	117.55417
Africa/Abidjan	05 Feb 2022	CI	accep	5.84752	-5.682
America/New_York	2015-07-12	US	good	40.5576	-74.28459
Asia/Tokyo	2014/04/09	JP	excellent	33.3213	130.94098
Asia/Jakarta	2021-05-17	ID	maintenance	3.3285	99.1625
Europe/Madrid	2014/08/15	ES	building	43.32686	-2.98884
America/Chicago	2014-03-20	US	good	41.80753	-87.65644
America/Boise	2016-10-18	US	building	43.54072	-116.56346
Europe/Zurich	04/09/2021, 00:00:00	CH	excellent	46.18396	6.10237
Europe/Brussels	01/24/2015, 00:00:00	BE	accep	50.8	3.16667
Asia/Ho_Chi_Minh	2019-01-06	VN	good	10.29085	105.75635
Asia/Karachi	12/26/2017, 00:00:00	PK	excellent	26.9423	68.11759
America/Chicago	2018/10/09	US	excellent	35.25064	-91.73625
Europe/Berlin	2014-09-03	DE	average	48.35149	8.96317
