C2H3NO5	PM2.5	CFCs	CH4	TEMP	PAHs	PM10	Pb	longitude	latitude	SO2	warning	PRES	O3	CO	NOx	H2CO	NH3
5.41474	11.96328	58.97893	7.24864	1.81858	8.33772	9.33109	58.82060	-115.98391	36.20829	9.77050	1.00000	1083.39111	8.08161	11.22417	8.84381	62.89388	9.63893
7.95341	8.87007	41.01943	6.75310	23.08296	10.00454	9.75564	58.77561	24.95034	60.18427	11.54993	0.00000	1148.87854	10.88428	7.66009	8.45060	59.76209	7.70568
0.66780	11.56203	57.56728	7.91139	31.21466	7.56711	6.92777	57.13850	-105.11221	39.57582	9.55968	1.00000	1095.89379	8.33402	11.52185	9.03986	50.47633	8.65408
3.80734	9.51691	64.36450	7.14962	26.57246	9.79338	8.85739	43.94697	7.11393	51.08468	11.00328	1.00000	1080.73476	8.14704	9.89841	6.42323	42.06880	8.48817
7.14475	10.60938	51.49984	7.86362	21.25320	6.77678		49.95247	-103.42897	20.28527	7.52254	1.00000	1156.00039	10.20861	10.58567	9.15746	24.08391	7.44969
3.69098	7.51849	68.01081	7.44995	15.75406	11.52424	8.97221	56.59572	-60.93173	-31.4488	10.76732	0.00000	1093.08171	9.96731	6.77479	7.51344	44.63043	8.91957
23.39131	6.78165	45.01921	8.06687	22.08553	3.68069	10.91862	38.50507	-34.88111	-8.05389	10.57273	0.00000	1173.33452	8.91631	6.34942	7.03378	36.44830	8.29875
7.92907	10.05551	43.11598	8.05725	15.41389	11.44020	9.83715	77.85950	-70.6996	-33.59217	10.33119	1.00000	1120.95949	7.73759	10.28701	8.68828	39.60888	8.84383
1.40821	11.57158	48.51263	6.60146	22.36672	9.46538	7.47813	28.62715	-98.11889	19.04222	10.00416	1.00000	1090.80680	7.24210	10.44707	7.36123	52.87701	9.36083
3.81187	10.46356	47.11103	8.55419	1.32140	6.24196	8.97348	34.30951	10.18003	24.96334	7.34131	1.00000	1140.39581	9.03332	10.16338	8.68535	52.91691	8.70490
3.20900	9.47077	50.87817	6.78638	11.43245	5.24231	8.86668	57.88447	135.31667	34.25	9.25657	0.00000	1126.17188	6.77046	4.82397	8.43301	63.51497	8.45383
3.23195	9.86880	23.03983	5.58300	9.00466	8.99782	8.79764	73.50824	-15.6	13.56667	8.58577	1.00000	1063.95966	10.12547	11.16406	9.01743	35.49062	7.82089
4.79240	7.77736	37.00008	7.31975	24.51139	12.05913	9.29481	66.89768	53.47103	54.48147	10.21415	0.00000	1099.33517	11.91752	5.91261	7.21451	41.09411	8.94704
4.89760	7.97758	62.61734	8.16129	15.55823	8.81487	9.21151	48.27971	-48.52333	-0.71667	10.06466	0.00000	1072.55062	12.09985	3.66711	9.47201	55.99106	8.02555
5.79190	6.48592	59.21925	8.49696	12.20424	5.93789	9.42179	61.71113	-122.38731	45.53929	7.92249	0.00000	1128.90097	10.31648	6.15691	7.24723	46.31752	8.21404
5.68349	11.00586	63.61100	9.51178	12.95630	10.05919	9.46180	53.67634	21.32778	42	7.82399	1.00000	1123.98461	6.18086	11.30089	9.01055	54.61053	10.08117
3.37853	8.18663	27.02307	8.11326	1.61388	8.65850	8.79601	47.03823	-89.10944	13.70167	8.29756	0.00000	1089.72066	6.66350	8.45410	8.90071	51.25169	8.54269
3.15696	10.64327	45.69117	5.16195	-5.52056	13.44517	8.79694	82.31426	76.11996	11.12018	13.06307	0.00000	1128.43041	12.14291	6.12444	7.81174	54.01848	7.55153
4.66966	7.87859	35.62995	5.14086	4.16293	9.43955	9.27472	58.04272	43.63417	43.96222	9.40253	1.00000	1137.16625	9.84315	9.93821	8.44411	52.49341	10.13324
3.40526	8.31838	39.15360	4.93347	21.59329	10.07957	8.91244	68.36377	37.49338	55.62047	10.11222	0.00000	1141.37471	10.03753	6.46263	8.97483	50.72237	8.03026
2.86705	10.64390	50.25829	7.27076	20.33280	5.79190	8.72886	50.50964	78.40102	27.9247	6.16629	1.00000	1162.23212	9.33331	10.67643	9.26553	46.70395	8.04434
3.49702	6.34126	28.88279	8.79066	3.93742	8.50541	8.73394	36.15792	13.58357	-1.63333	11.52803	0.00000	1155.83933	7.79448	9.24487	9.91927	33.28914	9.21324
2.41694	10.03899	50.51209	8.80634	29.42786	5.58474	8.42399	32.30482	-1.4001	7.06273	7.38869	1.00000	1076.81099	9.08553	9.84532	9.24471	69.83952	8.08809
2.67387	9.10935	74.95835	9.44191	12.67022	10.21677	8.55016	66.01031	-0.76667	53.38333	9.02754	1.00000	1091.88763	6.73928	10.50231	9.30338	28.16632	9.59077
7.34059	8.93284	49.15745	7.75499	16.98316	9.53597	9.70376	40.51366	72.68533	22.75218	9.24577	1.00000	1102.50503	6.71227	9.20889	8.81813	44.47197	8.55494
3.94991	8.67779	44.06205	6.38543	9.21212	8.52270	8.99313	51.78386	65.27258	58.04254	11.65744	1.00000	1072.10777	10.09367	11.46179	9.58750	39.83995	11.18678
1.08130	9.58778	38.43930	4.70744	5.92406	8.07688	7.49424	32.95492	24.14662	65.84811	4.41709	1.00000	1120.68789	7.47187	9.34971	8.75079	38.28174	10.48980
5.58807	11.04043	40.26370	10.39002	15.30912	6.99462	9.40774	51.13524	13.32127	52.59319	7.87805	1.00000	1187.33376	12.49351	9.55701	10.05796	26.95572	10.62682
4.21819	9.35077	44.96663	5.43010	21.07210	6.63369	9.14188	49.26950	79.883	6.9909	6.51663	1.00000	1169.82845	7.63909	10.44703	9.04964	47.99522	8.93165
5.36753	8.19106	52.58998	6.29288	15.18510	10.34177	9.42726	42.45455	65.50917	44.85278	11.37678	0.00000	1165.84985	7.53612	10.23094	7.36714	39.65051	8.41458
2.73852	7.61428	71.21226	7.93464	21.83447	8.23730	8.55403	49.82267	5.74861	52.71083	8.95264	0.00000	1124.00691	7.97918	7.80777	9.00246	48.11513	7.70123
1.45772	11.66350	47.32191	7.92387	17.61228	5.97733	7.88861	51.34304	8.51667	51.88333	6.57853	1.00000	1180.62648	9.22213	11.26852	9.12070	29.93032	9.24157
3.65362		82.25799	8.13965	9.41314	6.58197	8.84084	58.15716	33	-2.68333	9.23394	0.00000	1083.77153	6.95527	7.17960	9.09002	56.37067	10.49069
3.71765	7.59088	40.96401	6.38646	26.25011	7.14703	9.00506	65.44117	77.9129	25.6439	9.00780	0.00000	1051.28507	9.15159	5.92349	9.38132	35.34049	7.99993
1.74908	9.42437	19.00542	8.11145	16.06123	9.24782	7.98625	28.44383	-0.32247	50.82882	12.25450	1.00000	1183.93605	10.35918	11.10417	8.68716	62.46211	8.94344
1.51026	8.43091	46.99829	5.40128	26.51313	11.11848	7.88176	53.04057	65.50917	44.85278	11.92548	1.00000	1171.60413	9.04661	7.84657	9.62631	24.84245	8.96490
0.73753	9.67128	49.42623	5.18977	20.75450	5.31568	7.34363	39.53051	-100.88023	20.21322	5.65441	1.00000	1068.30504	9.17318	11.10780	8.68099	69.70764	7.43608
1.62223	7.23155	46.89412	8.92984	29.30484	13.29780	8.01081	48.95699	-82.90375	32.54044	10.47480	0.00000	1077.80255	12.15614	6.91809	8.19021	44.21644	10.15573
0.25480	9.37202	29.79651	8.14105	29.26873	9.62273	6.18624	43.38132	-121.74052	38.54491	10.39182	1.00000	1133.31718	7.81100	10.39766	9.34448	50.25614	7.86760
31.82605	6.24319	58.09912	7.37604	5.39714	6.36155	11.23186	60.46127	-111.99633	40.65995	9.49926	0.00000	1133.47400	7.01452	6.68412	8.39040	55.57769	8.76143
0.64347	7.17013	65.71208	7.29162	13.27555	7.76133	6.46585	45.93975	-73.49484	41.14676	9.51157	0.00000	1069.02973	8.26026	7.57514	8.35582	71.52936	8.11183
2.64506	6.92278	41.60061	8.54390	17.04025	10.91299	8.47205	50.62864	34.11169	0.46005	10.74183	0.00000	1134.35136	10.00218	7.90422	8.66991	56.07616	8.64935
2.60691	9.38010	30.87389	7.19665	-1.56210	8.19782	8.56933	52.27847	-71.06616	42.4251	6.05372	1.00000	1178.19012	7.68316	8.41224	9.87865	59.41086	9.26338
10.98689	7.01239	41.16667	6.79985	13.75899	9.08451	10.12906	14.70777	-65.61427	-27.4338	9.39133	0.00000	1087.26898	8.61626	7.85168	8.52914	56.65354	8.51046
0.84645	6.98790	57.13158	6.54753	16.68000	10.12002	6.85545	40.12613	123.33471	8.56697	10.87504	1.00000	1126.83990	6.85979	7.56420	8.89492	61.52676	8.84152
1.12255	10.91312	50.97037	6.00242	17.36310	7.55506	7.62175	50.46080	150.99292	-33.75881	7.22737	1.00000	1143.15657	8.25966	11.58600	7.11345	40.00782	8.30907
3.30736	10.57308	66.02529	8.29166	35.36317	9.04711	8.91697	55.57301	27.25	42.7	9.03753	1.00000	1155.19202	6.22241	10.84156	8.44770	30.65980	6.86776
1.09799	7.29349	65.34389	6.67037	11.49190	9.02879	7.32893	72.92090	27.46153	-21.44236	12.40109	0.00000	1073.68649	6.75790	7.11027	7.71356	23.06944	10.45196
5.51842	6.32953	70.67132	9.79848	26.46553	7.58732	9.39062	61.79070	27.18052	39.12074	9.16445	0.00000	1165.01920	9.54952	8.52817	8.93988	38.00333	8.80104
2.29495	9.71565	47.24727	7.53350	6.42139	10.70390	8.58796	64.90385	-52.35558	-14.66463	9.35318	1.00000	1198.05604	6.85357	9.35146	8.41202	68.69074	8.38419
5.68026	8.63868	46.92872	5.11511	1.29492	9.66735	9.40676	81.54003	-50.00639	-25.42944	11.54769	1.00000	1085.61772	8.48951	7.81339	8.63314	59.88614	9.41322
0.99490	5.54585	71.94859	6.95421	16.97269	9.78880	7.43094	54.24732	-111.99633	40.65995	8.04956	0.00000	1059.62620	7.46977	8.37939	8.64017	47.54628	
3.24593	7.41146	48.38525	7.26508	8.30127	9.18003	8.69611	39.99537	-37.07167	-10.91111	9.61562	0.00000	1056.77829	10.93017	6.30250	7.26953	49.13081	9.93516
1.56984	8.27327	46.06646	7.80923	23.17463	8.50860	7.75486	46.70425	71.52847	32.57756	10.09833	0.00000	1156.70220	9.99591	7.88649	7.93070	22.80362	7.90928
6.12180	9.65073	72.44208	7.17153	35.98106	8.69181	9.54756	45.21204	-46.99583	-22.97056	8.93650	1.00000	1079.61445	10.68719	10.19779	9.44634	63.23240	9.26513
1.75030	7.70291	46.10403	4.68371	-1.81267	10.83427	8.04417	51.09163	-74.15987	40.82232	12.26782	1.00000	1184.80008	8.46146	6.92248	8.00343	39.85763	8.70571
0.95455	4.66223	53.31204	7.85164	3.21061	7.24992	6.82110	46.91195	8.91229	49.13645	9.84637	0.00000	1160.86500	7.75333	7.39128	8.46254	52.47061	8.55764
3.44226	8.27851	0.00000	6.36137	48.48954	10.08260	8.91025	59.45457	-48.59278	-23.7975	10.31066	0.00000	1130.37028	9.99959	8.87904	8.35320	41.70413	6.43875
2.66722	10.15346	49.38870	7.83771	12.46764	7.40355	8.64323	51.07274	-116.37697	33.72255	8.34537	1.00000	1110.08646	10.54712	10.48033	9.83219	43.61846	10.26572
27.38033	12.30685	49.57843	6.41060	1.60432	7.64949	11.07467	62.47669	111.4834	65.93381	4.27724	1.00000	1097.78412	9.66152	10.71751	8.71946	62.44732	7.85990
1.57194	9.08548	63.03334	7.23678	8.91673	6.34072	7.66668	49.53825	124.3697	9.6531	7.84409	1.00000	1125.05426	10.34359	10.08167	9.13539	65.96160	8.21222
1.36955	8.34050	44.54746	9.22646	18.43812	11.41216	7.61520	94.32120	-74.15987	40.82232	9.36501	1.00000	1125.10122	6.94247	9.74066	10.80010	43.81269	5.55386
7.46187	10.71031	55.26279	5.38687	23.87614	8.23185	9.69227	51.66783	85.83334	20.88197	11.58428	1.00000	1090.57126	8.69578	9.76683	7.57780	52.39341	9.61012
1.76679	7.52180	43.46063	6.26127	22.51199	8.87469	8.17860	54.93144	34.11169	0.46005	9.15892	0.00000	1061.84387	10.31788	6.58356	6.71387	64.84644	9.09717
5.86493	7.40003	46.86757	8.43186	9.44162	8.50511	9.50240	43.76167	10.03988	53.6052	10.10626	0.00000	1171.98818	10.32938	6.58889	8.35467	62.43678	9.02857
30.77257	8.23873	43.68925	8.97765	9.56812	8.85261	11.19474	36.16766	-93.263	45.0408	7.89249	0.00000	1095.85499	5.86187		7.77504	49.90106	8.73852
2.70621	9.41697	48.87334	7.89042	15.02889	6.89391	8.61550	29.34264	-73.95958	40.57788	6.92223	1.00000	1056.38608	8.66706	9.03628	8.37895	47.29079	7.32061
2.08879	11.77690	55.51336	6.09030	30.44166	10.77165	8.06612	63.76330	130.57211	45.75279	13.98070	1.00000	1173.36648	13.47734	6.64390	6.97179	31.60362	9.91527
2.60153	4.65805	62.65695	9.33233	37.02700	9.02567	8.60272	49.15435	6.92917	52.31333	6.73968	0.00000	1158.84642	11.08520	6.35927	8.63512	47.34950	7.84099
1.00039	9.41948	72.40997	9.39447	17.38687	12.08552	7.71777	60.45699	79.883	6.9909	9.56864	1.00000	1140.38423	6.11797	10.81435	8.44071	42.05386	11.15897
1.19331	6.87092	36.72780	7.06674	19.91887	7.25286	7.64066	24.51924	1.04945	35.06544	8.56011		1185.03152	9.01230	8.30324	7.94823	42.47272	7.90628
2.54528	10.09356	21.05956	7.02843	18.03810	9.48049	8.51423	65.08603	12.53463	55.67938	10.59853	1.00000	1197.13538	7.59951	10.11693	8.68825	59.00567	9.34093
3.52901	5.60039	62.08506	7.20063	19.40015	7.97890	8.89998	78.97885	4.91667	45.73333	11.76516	0.00000	1058.91444	10.83950	7.56074	8.95492	34.69293	7.01469
6.91992	12.60702	46.32566	6.52455	15.12087	10.29629	9.68759	52.24982	17.58522	40.53123	10.23183	1.00000	1142.52542	7.54702	10.91561	9.13014	45.23728	9.13801
7.89528	10.27896	69.75606	9.25756	10.68935	6.86197	9.78011	61.56307	18.69303	12.18441	10.25432	1.00000	1163.39200	11.84727		7.09019	35.93610	9.28569
6.04349	6.42333	37.41275	5.80222	12.88893	1.58228	9.45838	62.57058	-116.21677	33.7207	10.79436	0.00000	1112.84017	8.08002	2.72811	8.94744	38.14717	7.95539
	8.93100	31.19937	8.85075	6.84059	9.14160	8.83790	51.47862	-60.47389	-34.64167	10.28863	0.00000	1196.72418	6.55994	9.00210	8.61619	40.89044	9.73976
6.14149	10.61140	58.18794	7.33269	26.04564	8.14676	9.50701	66.70809	6.76111	53.16167	7.87491	1.00000	1190.75785	10.05392	10.54764	7.37911	47.38374	7.22517
1.97377	11.15621	54.02691	7.68761	19.03020	5.91145	8.30722	42.80341	-52.20639	-3.20333	6.17129	1.00000	1188.26518	11.09585	10.87844	8.64164	48.58470	8.60488
2.02165	10.01627	46.55320	7.80207	30.02617	8.90416		37.85633	-73.20483	41.16704	10.51255	1.00000	1184.42163	8.13020	10.70368	8.13993	49.28822	7.36256
1.34346	9.91696	56.20304	8.18092	14.21860	10.65688	7.48514	60.30479	38.94324	44.98901	9.94454	1.00000	1179.52395	7.45414	10.32289	10.02173	41.82307	9.00496
5.51443	8.47311	22.64111	6.66814	24.53741	9.64852	9.45150	48.33005	-78.87836	35.05266	10.19765	1.00000	1189.42432	6.82180	8.44488	7.34795	45.34145	10.23313
6.65604	6.06138	47.34262	6.79142	15.30356	5.67197	9.55939	61.46301	-87.88754	41.15376	13.45686	0.00000	1194.45739	10.09865	5.58461	10.74291	46.89299	10.43861
2.94861	8.26488	39.07840	5.21914	13.37407	10.61399	8.76957	41.92960	45.36561	41.09246	11.99785	1.00000	1157.02439	8.37395	7.76454	7.81208	59.52621	8.91842
1.54143	10.44452	55.17084	8.50783	16.69633	9.25899	7.74359	41.74101	-87.88754	41.15376	8.66326	1.00000	1134.61455	6.40821	10.64054	10.73805	43.78761	8.93275
12.51326	9.16095	33.00788	7.09276	16.41139	10.74611	10.27220	53.04301	17.8031	48.43174	9.55216	0.00000	1194.64637	9.87682	8.72803	8.34173	42.74671	8.83876
2.73529	8.41709	55.43053	6.85618	15.57733	6.05629	8.72759	34.20432	16.4	48.25	8.11029	0.00000	1058.73980	8.76614	6.52734	9.23450	48.41135	9.13004
27.40874	7.65723	61.39071	8.39246	16.67226	7.65053	11.08494	60.58781	5.03586	43.83125	11.66801	0.00000	1191.86378	7.44825	7.76468	9.03983	49.00212	9.19433
0.94895	8.55884	47.97160	6.63334	32.19067	8.01574	6.67782	63.66675	-6.90656	33.92866	7.35907	0.00000	1158.53707	9.23201	7.65475	9.77566	51.81787	9.09207
5.85250	6.75923	68.98463	7.94957	8.38590	10.21861	9.45126	34.30517	116.10146	5.90702	10.09182	0.00000	1194.94223	8.41197	8.20559	9.52459	76.71570	9.33945
0.64780	10.10165	40.57401		22.95673	11.30255	6.91215	45.41004	51.3452	53.37596	9.23675	1.00000	1127.21834	8.09403	10.94325	8.61068	38.29953	9.32326
3.52904	10.78180	28.19606		11.67164	10.18409	8.89171	48.93119	-86.11084	41.75338	11.93530	1.00000	1145.12420	9.47660	10.27131	8.82627	45.18252	7.99834
10.92087	9.34030	52.73616	8.64437	18.00708	7.28291	10.16617	71.82940	-76.72803	39.32288	8.38896	1.00000	1102.75376	11.40247	9.37090	9.59883	45.02435	8.46157
3.02629	7.65679	57.46920	7.27141	4.82871	8.46306	8.65013	36.45203	8.52462	47.30997	10.39011	0.00000	1145.29223	9.58768	7.84105	7.93729	44.01757	9.64192
5.59570	6.48237	53.31744	6.49486	18.33168	7.82932	9.40756	60.29489	17.8031	48.43174	11.06694	0.00000	1083.22923	6.23410	6.16456	11.31665	73.09785	7.73838
0.73895	9.47284	46.45174	6.93449	13.18447	8.50814	6.07059	54.08321	-79.62603	8.88988	9.63070	0.00000	1156.32339	7.44847	6.35136	9.66808	67.20527	10.02180
4.27235	9.00199	64.96681	6.91782	34.32171	7.74805	9.10029	45.83167	137.23333	35.8	9.33154	1.00000	1184.62326	11.22659	10.58544	10.74509	49.54815	9.54689
6.85909	7.52444	52.10768	8.36418	14.76823	13.11077	9.67753	64.94832	36.73307	55.38752	10.23661	1.00000	1149.58165	6.72655	8.65528	8.99931	59.85388	8.95214
3.04432	7.09661	57.07167	8.21267	-0.49187	11.12938	8.66929	39.07131	33.2525	57.97472	10.54292	0.00000	1112.86851	8.99512	8.67873	10.21921	71.33288	9.47839
2.32990	11.19883	40.10681	5.91955	13.68667	8.35880	8.43494	65.23508	13.44275	38.07789	6.27050	1.00000	1124.14310	10.52657	11.03181	10.02092	41.26843	10.73670
5.28743	10.31907	46.02398	6.21915	7.03091	6.94189	9.36238	49.16633	-73.25383	-3.74912	11.53933	1.00000	1110.24489	8.85069	10.34511	8.61891	45.50350	8.51870
1.30962	9.29071	54.64393	5.09290	8.44068	5.69391	7.44376	40.98286	114.51667	33.78333	6.55114	0.00000	1171.70762	7.92558	4.91010	8.00601	42.95078	8.48449
2.34385	8.42906	46.34285	7.50327	5.63252	7.71603	8.29078	57.94362	33.72798	53.53395	6.54589	1.00000	1116.62771	8.97511	7.98027	8.79096	52.78232	9.67890
1.81327	11.10695	35.07210	6.04600	17.71544	10.33038	7.99825	58.76524	-73.25383	-3.74912	11.23836	1.00000	1182.43198	8.30498	10.02077	10.04801	40.48150	9.29434
3.02164	9.50543	60.18637	8.50344	11.93463	8.11427	8.82133	61.23856	-73.95958	40.57788	10.07519	1.00000	1068.89641	9.72958	10.17767	10.18244	43.22460	10.09282
7.78569	8.95136	62.12069	9.22105	8.32218	9.26966	9.79286	50.87513	-111.78903	33.35283	9.10534	1.00000	1114.72767	6.75275	10.49671	7.32897	47.13337	9.72665
4.13624	10.37272	84.65953	6.71666	9.35412	8.95840	9.12536	59.30581	33.9162	51.67822	6.30615	1.00000	1142.58138	11.18791	9.65930	8.95949	59.04348	8.97509
0.96888	6.57090	77.02192	8.27747	20.99120	9.80976	7.75662	41.96055	-91.58045	41.6764	8.77782	0.00000	1154.43629	10.49061	6.50610	9.07048	43.90940	8.83980
4.94407	8.89573	66.24870	5.81297	-0.58150	10.89585	9.30623	59.03463	27.25	42.7	12.16204	1.00000	1057.45311	8.69744	8.63629	7.40948	59.51621	9.96210
4.25354	10.21264	56.80056	10.90985		11.34816	9.21048	52.32139	-2.77259	37.49073	7.26539	1.00000	1077.81936	5.74303	11.51141	10.51454	38.91300	7.72974
4.56955	5.86292	52.49131	8.56689	11.58020	7.15173	9.19028	42.46616	36.36339	0.03813	10.14695	0.00000	1194.38116	6.60613	7.63388	9.52698	29.53706	8.63969
4.07459	11.92384	46.56582	6.86602	21.61216	6.29397	9.03468	49.45996	78.23456	28.92694	5.46244	1.00000	1062.02894	9.56601	11.24885	7.76785	32.68399	8.80020
7.85444	10.39960	57.64321	5.60924	21.39356	11.58798	9.76352	71.22613	138.89585	36.33011	12.24186	0.00000	1088.59302	11.84046	5.86120	8.85612	45.90967	8.84345
36.02533	11.09327	53.07963	3.94098	4.42551	9.92627	11.35318	48.46571	113.13148	23.02677	12.37324	1.00000	1186.88576	9.46774	8.62582	8.64086	47.67818	10.76257
6.74090	6.12849	74.14612	3.19187	2.81705	9.60199	9.61455	60.27368	110.8405	-6.8048	10.51972	1.00000	1198.03672	9.79844	10.22578	7.79766	53.78383	9.00035
3.70951	8.46037	31.36508	7.54656	3.57471	5.36848	8.94159	40.83924	136.13108	34.75856	9.32862	0.00000	1090.78712	6.61352	6.13556	8.29127	33.00783	10.69879
5.69511	10.31897	23.40367	3.26550	12.02044	12.99140	9.37213	15.59902	-75.69947	8.79577	12.25215	0.00000	1164.95556	10.18597	6.87894	8.43091	62.53440	9.56287
9.64631	7.32826	64.10703	8.88141	20.72502	4.93316	9.97619	45.85721	-1.08593	50.79205	8.69198	0.00000	1138.77964	6.34683	7.91814	8.28596	52.63414	9.08358
1.10334	8.18586	65.87533	6.69750	13.53629	6.99744	7.59574	35.75025	4.52529	50.71229	9.80717	0.00000	1055.32791	7.21561	5.90550	8.75732	36.71594	8.71539
19.92268	7.40215	66.44886	8.20180	27.03597	9.22677	10.75705	71.84628	-3.52751	50.7236	10.26011	0.00000	1198.12165	7.80152	9.48479	8.11614	28.20422	8.49819
5.41780	10.46539	45.36216	8.54814	18.71044	8.53874	9.44018	40.83871	17.8031	48.43174	8.64014	1.00000	1168.95449	6.64492	10.84500	8.28907	61.92892	8.67917
4.25561	10.25840	48.37974	8.29132	8.02278	7.79934	9.08641	61.51506	13.57661	37.31065	7.40639	1.00000	1052.78311	9.09902	9.46355	9.71426	41.44307	8.85131
5.21102	10.27550	58.84790	5.00071	5.28021	7.31803	9.39763	47.45345	-93.75018	32.52515	5.30269	1.00000	1086.57093	7.63907	10.37929	8.26016	29.39150	9.56623
6.77283	9.49645	20.83663	7.19017	9.10738	11.36195	9.65733	56.60134	4.86667	45.51667	10.40469	1.00000	1176.60932	7.38869	9.38643	9.82282	64.47008	9.55166
9.18846	11.27878	41.24922	6.17215	16.24829	9.70541	9.96310	44.29777	-65.61427	-27.4338	10.77119	1.00000	1120.54796	8.25794	10.09126	9.92623	39.86637	8.14745
5.65377	10.87470	42.82343	8.98103	18.61614	11.25978	9.48042	56.38201	10.78222	36.46917	8.05084	1.00000	1084.50198		10.62375	8.10815	41.41116	7.52230
3.16101	10.92858	42.25341	6.18950	31.40972	9.09049	8.87904	37.21371	-52.51028	-28.81833	10.52148	1.00000	1074.63731	7.84161	9.90489	8.81338	70.13955	10.09706
0.94440	10.81494	57.95346	6.85661	5.11019	9.54804	6.86815	44.91807	-1.60452	42.06166	9.43032	1.00000	1066.46823	7.07912	9.79700	9.11864	40.94576	7.88788
17.50097	10.20425	42.92595	8.60703	7.15334	10.79420	10.61528	46.94733	99.89166	15.46063	8.76184	1.00000	1180.74014	7.09853	10.22826	8.39483	51.97410	7.63146
0.57768	9.46841	64.27140	7.57337	-2.18653	9.77710	6.84977	55.15856	-48.52333	-0.71667	10.70505	1.00000	1070.36687	8.62479	9.94989	6.92756	21.62974	9.14785
7.21545	3.89932	53.16931	11.60891	18.06694	8.20178	9.67713	27.52544	-38.79084	-10.95817	7.28928	0.00000	1105.76379	9.20265	7.75813	7.91119	46.88033	9.49115
2.89206	7.44296	47.71637	6.85484	8.01989	8.41494	8.79885	34.91499	112.9	27.85	9.08909	0.00000	1091.74125	8.67717	6.65069	8.30335	25.25323	10.29054
5.80725	11.20848	45.75230	9.14693	7.43534	9.33159	9.44547	38.38299	47.31667	-19.65	7.24324	1.00000	1108.38716	10.29076	9.11468	9.39013	42.63840	8.57438
1.89497	10.90109	46.11471	5.90422	14.13605	8.88850	7.97489	53.37976	10.7	4.96667	11.44973	1.00000	1177.82491	8.42186	10.11567	9.00589	51.31726	7.86999
2.41895	8.75838	43.07271	7.18187	25.53015	8.56832	8.41894	52.24406	-86.78777	33.44872	9.66644	1.00000	1199.39537	6.56174	9.10594	9.85911	44.62656	9.22010
4.94145	6.05581	49.08117	8.52513	21.01222	7.00286	9.28432	27.52237	-69.96533	43.91452	14.13832	0.00000	1074.18113	7.68117	6.98158	9.93464	47.81849	8.66785
3.21263	9.20427	37.59856	7.65148	9.93919	8.21357	8.75622	40.08013	-105.11221	39.57582	7.59495	1.00000	1085.71491	10.22544	8.97691	8.52367	47.48982	9.51516
2.80892	7.71345	62.47414	9.84185	33.19414	7.61999	8.71238	46.64178	-15.6	13.56667	10.73263	0.00000	1113.70152	10.09469	9.71846	7.95600	32.46141	8.86052
