revision	latitude	longitude	QoS	station	code
2017-03-16	20.28527	-103.42897	average	Jocotepec	MX
2014-09-20	43.54072	-116.56346	average	Nampa	US
07/16/2018, 00:00:00	34.08565	74.80555	excellent	Srinagar	IN
09 Oct 2015	33.78333	114.51667	building	Wacheng	CN
05 Mar 2022	23.29549	113.82465	maintenance	Licheng	CN
2018/04/15	-12.91667	-39.25	maintenance	Muritiba	BR
2014-12-05	37.74615	-25.66689	accep	Ponta Delgada	PT
09/27/2019, 00:00:00	8.62261	-70.20749	accep	Barinas	VE
06/30/2017, 00:00:00	-3.20333	-52.20639	maintenance	Altamira	BR
2019-02-11	32.54044	-82.90375	excellent	Dublin	US
2013-02-21	48.98994	2.1699	excellent	Herblay	FR
2016-08-06	48.79325	2.29275	good	Fontenay-aux-Roses	FR
10/02/2016, 00:00:00	36.76639	3.47717	good	Boumerdas	DZ
05/23/2020, 00:00:00	-3.5403	118.9707	excellent	Majene	ID
2021/11/25	26.68451	-80.66756	excellent	Belle Glade	US
2013-12-02	50.72043	11.34046	accep	Rudolstadt	DE
01/10/2019, 00:00:00	21.28306	-89.66123	building	Progreso	MX
2012/12/16	25.87972	-97.50417	building	Heroica Matamoros	MX
2016-07-21	36	139.55722	maintenance	Okegawa	JP
31 Aug 2016	-1.63333	13.58357	good	Franceville	GA
2014/07/05	11.00599	77.5609	building	Kangayam	IN
2022/09/02	-0.71667	-48.52333	building	Soure	BR
2020-08-10	15.73628	75.96976	excellent	Gajendragarh	IN
2021-01-17	39.12074	27.18052	excellent	Bergama	TR
2021/10/09	53.53333	-7.35	average	An Muileann gCearr	IE
02/07/2020, 00:00:00	6.9909	79.883	maitennce	Hendala	LK
2019-02-21	54.48147	53.47103	excellent	Oktyabr’skiy	RU
2017/12/31	-28.81833	-52.51028	average	Soledade	BR
2013/04/05	37.08819	-8.2503	average	Albufeira	PT
09/28/2016, 00:00:00	-4.16694	-40.7475	average	Guaraciaba do Norte	BR
04 May 2015	22.49396	-105.36369	good	Acaponeta	MX
2016/06/12	40.58654	-122.39168	good	Redding	US
11/12/2012, 00:00:00	38.47917	-1.325	maintenance	Jumilla	ES
2018/09/30	16.06213	76.0586	maintenance	Hungund	IN
09/21/2020, 00:00:00	-6.8048	110.8405	maintenance	Kudus	ID
20 Oct 2018	47.48444	36.25361	accep	Polohy	UA
11 Jan 2015	36.33011	138.89585	accep	Annaka	JP
2019/05/11	52.68333	0.93333	accep	East Dereham	GB
2017/01/15	48.78232	9.17702	maintenance	Stuttgart	DE
23 Feb 2019	53.37596	51.3452	maintenance	Otradnyy	RU
2018/04/27	40.78206	72.34424	maintenance	Andijon	UZ
11 Oct 2012	20.28527	-103.42897	accep	Jocotepec	MX
04 Jun 2015	48.8449	17.22635	good	Skalica	SK
2019/09/13	-8.05389	-34.88111	average	Recife	BR
11/07/2012, 00:00:00	10.12268	77.54372	average	Periyakulam	IN
2013-07-12	38.45598	48.87498	building	Astara	AZ
15 May 2018	57.47908	-4.22398	accep	Inverness	GB
2017-08-09	47.76232	-122.2054	accep	Bothell	US
2022/01/27	26.91756	-82.07842	maintenance	Punta Gorda Isles	US
2018/04/21	37.95143	-91.77127	good	Rolla	US
03/26/2019, 00:00:00	40.72816	-74.07764	accep	Jersey City	US
2012-11-05	-7.60361	37.00438	good	Kidodi	TZ
09/27/2017, 00:00:00	54.58048	16.86194	accep	Ustka	PL
2019-02-01	30.24706	115.04814	good	Huangshi	CN
2013-05-25	34.63915	-120.45794	maintenance	Lompoc	US
2017-01-15	39.57582	-105.11221	good	Ken Caryl	US
2016/05/12	27.52948	68.75915	maintenance	Khairpur Mir’s	PK
2013/03/30	43.82634	144.09638	excellent	Motomachi	JP
2015-03-30	-3.20333	-52.20639	accep	Altamira	BR
10/13/2015, 00:00:00	16.0438	120.4861	excellent	Manaoag	PH
19 Apr 2022	51.42708	-0.91979	maintenance	Lower Earley	GB
12/06/2014, 00:00:00	37.13548	-3.67029	accep	Las Gabias	ES
10/15/2018, 00:00:00	44.80477	-0.59543	average	Talence	FR
2021-01-20	65.93381	111.4834	good	Aykhal	RU
08/19/2021, 00:00:00	47.4943	-122.24092	accep	Bryn Mawr-Skyway	US
09/03/2015, 00:00:00	34.61667	135.6	maintenance	Yao	JP
2017/06/29	50.71229	4.52529	maintenance	Rixensart	BE
03/01/2022, 00:00:00	40.24537	-75.64963	average	Pottstown	US
12 Aug 2015	60.18427	24.95034	average	Kallio	FI
2013-03-11	51.04962	12.1369	maintenance	Zeitz	DE
19 Nov 2017	22.75218	72.68533	excellent	Kheda	IN
2022/08/23	7.6	4.18333	accep	Olupona	NG
2022-05-04	36.08497	9.37082	good	Siliana	TN
2017/03/15	20.21322	-100.88023	excellent	Salvatierra	MX
2021/08/03	43.35071	46.10925	average	Gudermes	RU
03/07/2013, 00:00:00	49.28669	1.00288	maintenance	Elbeuf	FR
25 Dec 2020	6.46346	-2.31938	average	Bibiani	GH
2013/02/02	9.92787	-84.13722	accep	San Rafael	CR
26 Feb 2015	40.60538	-73.75513	excellent	Far Rockaway	US
2014/06/18	51.42708	-0.91979	building	Lower Earley	GB
2013/07/10	40.70995	0.57856	excellent	Amposta	ES
05/01/2022, 00:00:00	20.22816	-103.5687	accep	Zacoalco de Torres	MX
2017/03/16	51.88333	8.51667	average	Verl	DE
04/29/2013, 00:00:00	51.78771	56.36091	excellent	Saraktash	RU
2017/10/06	-34.88422	150.60036	good	Nowra	AU
14 Oct 2013	18.42745	-67.15407	accep	Aguadilla	PR
20 Mar 2018	41.72059	-87.70172	accep	Evergreen Park	US
2018-10-01	35.85	117.7	accep	Dongdu	CN
2013/07/04	14.14989	121.3152	good	Calauan	PH
17 May 2018	8.35122	-62.64102	building	Ciudad Guayana	VE
2017-02-05	-21.44236	27.46153	accep	Tonota	BW
22 Oct 2015	59.80917	30.38167	excellent	Shushary	RU
09 Dec 2020	35.21222	2.31889	good	Ksar Chellala	DZ
06/16/2014, 00:00:00	51.20219	7.36027	maintenance	Radevormwald	DE
2019-12-04	43.35071	46.10925	excellent	Gudermes	RU
04/25/2018, 00:00:00	-22.57306	-47.1725	accep	Artur Nogueira	BR
2018/10/09	-1.9487	30.4347	building	Rwamagana	RW
2014/03/31	35.21222	2.31889	average	Ksar Chellala	DZ
09/25/2017, 00:00:00	48.25	16.4	accep	Floridsdorf	AT
2016-05-23	35.85	117.7	excellent	Dongdu	CN
30 Jul 2015	20.14298	-77.43532	accep	Media Luna	CU
2020/10/17	-23.7975	-48.59278	accep	Buri	BR
22 Sep 2017	44.59445	11.04979	maintenance	Castelfranco Emilia	IT
29 Nov 2021	34.09611	-118.10583	good	San Gabriel	US
11 Jan 2019	34.81667	137.4	good	Toyokawa	JP
2019/05/04	37.56667	140.11667	excellent	Inawashiro	JP
05/10/2022, 00:00:00	33.93113	-117.54866	excellent	Norco	US
16 Nov 2013	19.32889	-99.32556	excellent	San Lorenzo Acopilco	MX
2020/11/07	33.45122	-86.99666	maintenance	Hueytown	US
2012-12-07	42.52787	-70.92866	accep	Peabody	US
01/04/2018, 00:00:00	50.23019	8.77155	excellent	Karben	DE
2022-07-06	50.23805	8.86704	excellent	Nidderau	DE
03/03/2013, 00:00:00	-22.53722	-42.98194	accep	Guapimirim	BR
10/18/2015, 00:00:00	-22.97056	-46.99583	excellent	Valinhos	BR
06/13/2013, 00:00:00	28.15112	-82.46148	average	Lutz	US
2014-06-18	40.34912	-111.90466	building	Saratoga Springs	US
2015-09-15	30.24706	115.04814	maintenance	Huangshi	CN
2019-08-13	48.73218	11.18709	accep	Neuburg an der Donau	DE
28 Sep 2014	-7.81667	112.01667	building	Kediri	ID
2020-03-15	49.07866	30.96755	accep	Zvenihorodka	UA
2014-03-19	40.65538	-74.38987	maintenance	Scotch Plains	US
02/29/2016, 00:00:00	33.14447	47.3799	excellent	Darreh Shahr	IR
30 Jul 2015	-36.9256	-73.02841	building	Chiguayante	CL
11/17/2017, 00:00:00	11.85	38.01667	accep	Debre Tabor	ET
2022/08/24	64.5635	39.8302	average	Severodvinsk	RU
01 Jun 2015	45.40008	-73.58248	average	Sainte-Catherine	CA
2012-11-25	5.84752	-5.682	maintenance	Lakota	CI
2021-05-29	28.15112	-82.46148	good	Lutz	US
2019/09/29	48.28259	9.72749	accep	Ehingen	DE
22 Sep 2016	40.42386	-3.53261	accep	San Fernando de Henares	ES
24 Oct 2018	7.06273	-1.4001	excellent	Mampong	GH
09/16/2019, 00:00:00	45.4473	-73.75335	average	Dorval	CA
2017-09-12	39.71734	-74.96933	building	Sicklerville	US
03/06/2013, 00:00:00	43.16547	-77.70066	accep	Gates-North Gates	US
2020-04-22	35.89972	14.51472	accep	Valletta	MT
02 Jul 2020	36.6009	126.665	excellent	Hongseong	KR
29 May 2020	38.47917	-1.325	accep	Jumilla	ES
2020-04-11	28.98002	77.70636	excellent	Meerut	IN
18 Sep 2014	19.04222	-98.11889	good	Casa Blanca	MX
2014-10-31	65.93381	111.4834	average	Aykhal	RU
2021-10-23	37.65181	120.33063	average	Longgang	CN
02/27/2020, 00:00:00	38.13708	41.00817	average	Silvan	TR
2019/12/06	21.59983	71.21169	good	Amreli	IN
02/09/2018, 00:00:00	30.17746	-81.38758	good	Palm Valley	US
2015/08/05	40.1675	34.37389	excellent	Sungurlu	TR
2018/02/08	49.07866	30.96755	excellent	Zvenihorodka	UA
07/22/2017, 00:00:00	41.75338	-86.11084	excellent	Granger	US
2017/05/05	19.30157	72.85107	average	Bhayandar	IN
16 Jun 2021	-6.91806	106.92667	average	Sukabumi	ID
07/16/2013, 00:00:00	50.20528	19.27498	excellent	Jaworzno	PL
2019/03/01	25.6439	77.9129	good	Narwar	IN
2014-07-07	31.76212	-95.63079	good	Palestine	US
2016/03/13	53.81667	-3.05	good	Blackpool	GB
2021/11/21	23.04419	-82.00919	accep	Jaruco	CU
03/11/2017, 00:00:00	41.24264	16.50104	accep	Bisceglie	IT
2020-02-25	12.74409	-8.07257	good	Kati	ML
18 Sep 2014	37.30553	120.82747	accep	Zhuangyuan	CN
23 Mar 2022	57.97472	33.2525	building	Valday	RU
2020/01/16	-3.20333	-52.20639	accep	Altamira	BR
24 Jan 2017	2.2139	102.3278	excellent	Kampung Ayer Molek	MY
2021-10-28	32.57756	71.52847	average	Mianwali	PK
2013/03/01	51.40944	46.04833	good	Privolzhskiy	RU
2018/09/11	40.72816	-74.07764	accep	Jersey City	US
2017/02/18	-28.81833	-52.51028	building	Soledade	BR
2015-11-10	6.84019	79.87116	good	Dehiwala-Mount Lavinia	LK
23 May 2015	45.79377	8.88104	good	Malnate	IT
2020/07/08	44.89784	8.86374	average	Tortona	IT
12/07/2013, 00:00:00	38.58894	-89.99038	maintenance	Fairview Heights	US
2015/03/18	40.93333	73	accep	Jalal-Abad	KG
2015/08/28	33.95015	-118.03917	accep	South Whittier	US
04/11/2016, 00:00:00	12.18441	18.69303	excellent	Mongo	TD
2015-12-01	42	21.32778	maintenance	Saraj	MK
2013/01/22	52.59319	13.32127	average	Wittenau	DE
01/12/2020, 00:00:00	20.74122	-100.44843	good	Santa Rosa Jauregui	MX
01/29/2014, 00:00:00	36.72544	3.55665	accep	Thenia	DZ
2016/01/06	-33.75881	150.99292	building	Baulkham Hills	AU
2020-06-17	24.41288	76.56719	excellent	Aklera	IN
18 Jan 2019	43.91452	-69.96533	good	Brunswick	US
2022/09/21	30.21121	74.4818	building	Malaut	IN
28 Jul 2017	55.38752	36.73307	excellent	Naro-Fominsk	RU
28 Mar 2016	46.67535	5.55575	building	Lons-le-Saunier	FR
07/09/2019, 00:00:00	6.8485	3.64633	good	Shagamu	NG
2016/08/12	34.08565	74.80555	good	Srinagar	IN
03/10/2019, 00:00:00	50.20528	19.27498	good	Jaworzno	PL
09/18/2016, 00:00:00	33.44872	-86.78777	maintenance	Vestavia Hills	US
2022-01-28	-11.94306	-76.70944	good	Chosica	PE
2019/09/21	26.91756	-82.07842	building	Punta Gorda Isles	US
2018/10/26	34.06635	-84.67837	good	Acworth	US
04/03/2017, 00:00:00	20.21322	-100.88023	good	Salvatierra	MX
2015/01/20	42.30865	-83.48216	average	Canton	US
2021/06/27	50.86079	17.4674	good	Brzeg	PL
2022-06-30	36.64852	51.49621	building	Nowshahr	IR
2021-07-21	53.93361	37.92792	accep	Kireyevsk	RU
28 Feb 2019	60.97944	76.92421	average	Izluchinsk	RU
10/28/2017, 00:00:00	49.97704	9.15214	accep	Aschaffenburg	DE
08/29/2014, 00:00:00	36.82167	128.63083	accep	Eisen	KR
07/28/2016, 00:00:00	-19.72806	-50.19556	excellent	Iturama	BR
2014-11-26	54.48147	53.47103	average	Oktyabr’skiy	RU
10/28/2016, 00:00:00	35.82756	137.95378	average	Ina	JP
2014/11/23	53.6052	10.03988	average	Barmbek-Nord	DE
2018/12/16	16.68911	98.50893	average	Myawadi	MM
2019/01/06	51.30001	13.10984	maintenance	Oschatz	DE
2020/07/02	17.94979	-94.91386	average	Acayucan	MX
2022-09-12	10.15031	-73.9614	accep	El Copey	CO
05/08/2019, 00:00:00	33.52253	-117.70755	building	Laguna Niguel	US
01/07/2022, 00:00:00	36.75965	137.36215	good	Namerikawa	JP
09 Apr 2019	35.25064	-91.73625	maintenance	Searcy	US
18 Jan 2022	53.63333	9.85	good	Halstenbek	DE
22 Apr 2019	-23.7975	-48.59278	average	Buri	BR
2016-09-17	30.17746	-81.38758	average	Palm Valley	US
2013/03/02	1.6	103.81667	average	Ulu Tiram	MY
10/27/2015, 00:00:00	39.45621	-77.96389	good	Martinsburg	US
15 Feb 2014	41.15376	-87.88754	excellent	Bourbonnais	US
22 Jun 2022	9.15093	-79.62098	excellent	Chilibre	PA
11 Apr 2013	33.98154	-81.23621	maintenance	Lexington	US
2014-07-19	55.67938	12.53463	excellent	Frederiksberg	DK
2015/12/04	51.40944	46.04833	excellent	Privolzhskiy	RU
05 Jul 2018	41.55838	-81.56929	average	Collinwood	US
2021/09/15	40.82232	-74.15987	accep	Nutley	US
06 Apr 2018	-12.91667	-39.25	excellent	Muritiba	BR
2016/09/25	33.41012	-91.06177	good	Greenville	US
22 Aug 2021	37.71715	-122.40433	accep	Visitacion Valley	US
22 Feb 2019	43.1122	12.38878	accep	Perugia	IT
2021-05-23	-33.75881	150.99292	excellent	Baulkham Hills	AU
2019/01/05	32.17629	75.06583	average	Fazilpur	PK
2014-10-27	42.62833	20.89389	excellent	Glogovac	XK
01/19/2017, 00:00:00	43.11667	1.6	good	Pamiers	FR
21 Jan 2020	53.37596	51.3452	building	Otradnyy	RU
2019/09/24	42.67164	14.01481	building	Roseto degli Abruzzi	IT
12/30/2021, 00:00:00	18.87813	72.93924	maintenance	Uran	IN
2018-06-27	41.09246	45.36561	accep	Qazax	AZ
11/12/2012, 00:00:00	-21.44236	27.46153	good	Tonota	BW
02/06/2020, 00:00:00	35.06544	1.04945	accep	Frenda	DZ
03/08/2020, 00:00:00	48.78232	9.17702	building	Stuttgart	DE
2016-03-07	-17.83333	48.41667	accep	Ambatondrazaka	MG
02/22/2021, 00:00:00	23.73333	114.68333	average	Heyuan	CN
02/18/2016, 00:00:00	22.49396	-105.36369	average	Acaponeta	MX
05/21/2015, 00:00:00	41.0051	-73.78458	average	Scarsdale	US
2016/10/13	-4.5833	15.16554	maintenance	Kasangulu	CD
12 Mar 2018	-11.48472	-37.93278	maintenance	Rio Real	BR
22 Apr 2022	15.5439	73.7553	maintenance	Calangute	IN
06/20/2013, 00:00:00	30.29184	71.67164	average	Qadirpur Ran	PK
03/14/2019, 00:00:00	45.4473	-73.75335	average	Dorval	CA
2021-04-13	45.51667	4.86667	good	Vienne	FR
04 Jun 2021	46.1351	-60.1831	excellent	Sydney	CA
05/24/2017, 00:00:00	36.20829	-115.98391	excellent	Pahrump	US
13 Dec 2013	36	139.55722	good	Okegawa	JP
12/31/2021, 00:00:00	39.32011	-76.51552	average	Rosedale	US
24 Oct 2012	28.88162	120.03308	average	Guli	CN
09/07/2020, 00:00:00	-8.76194	-63.90389	excellent	Porto Velho	BR
2019-09-27	34.8825	128.62667	excellent	Sinhyeon	KR
2018-04-19	-4.83	29.65806	excellent	Mwandiga	TZ
2018-02-15	50.72043	11.34046	good	Rudolstadt	DE
22 Oct 2019	30.75545	20.22625	accep	Ajdabiya	LY
08/16/2015, 00:00:00	44.98901	38.94324	average	Yablonovskiy	RU
10/09/2014, 00:00:00	28.92694	78.23456	good	Bachhraon	IN
2019/07/09	39.32288	-76.72803	maintenance	Woodlawn	US
03/22/2016, 00:00:00	45.39402	9.29109	good	San Giuliano Milanese	IT
2019-05-20	59.37722	28.19028	accep	Narva	EE
2021-09-11	52.2	8.63333	accep	Kirchlengern	DE
2015/02/05	51.12794	4.21372	excellent	Temse	BE
2022/08/04	32.50611	120.14278	average	Jiangyan	CN
18 Oct 2014	27.9247	78.40102	accep	Chharra	IN
2016-09-11	53.93361	37.92792	building	Kireyevsk	RU
2012-09-30	37.30553	120.82747	good	Zhuangyuan	CN
07/12/2021, 00:00:00	28.90054	-81.26367	accep	Deltona	US
2016-11-17	19.21667	73.08333	good	Dombivli	IN
28 Sep 2019	37.73222	115.70111	excellent	Hengshui	CN
2021/09/02	35.85	117.7	excellent	Dongdu	CN
11/23/2016, 00:00:00	53.49389	-1.29243	average	Mexborough	GB
2018/09/13	-20.25333	-43.80139	average	Itabirito	BR
2015-08-15	48.35693	10.98461	accep	Friedberg	DE
2020/03/27	50.5107	18.30056	excellent	Strzelce Opolskie	PL
2016/02/28	34.25	135.31667	average	Iwade	JP
2016-10-24	20.22816	-103.5687	building	Zacoalco de Torres	MX
08 Jul 2016	50.5107	18.30056	excellent	Strzelce Opolskie	PL
04/21/2022, 00:00:00	-27.4338	-65.61427	excellent	Aguilares	AR
2015/09/23	25.80565	68.49143	good	Bhit Shah	PK
2013/07/08	-33.59217	-70.6996	maintenance	San Bernardo	CL
2014-12-17	53.0233	-1.48119	excellent	Belper	GB
2018/03/07	-3.74912	-73.25383	accep	Iquitos	PE
2020-11-25	51.95838	4.47124	average	Schiebroek	NL
2013/01/10	15.72892	120.57224	accep	Burgos	PH
2015/04/22	41.84364	-87.71255	excellent	South Lawndale	US
11/03/2019, 00:00:00	35.61452	-88.81395	good	Jackson	US
02 Jun 2022	21.53889	71.57737	good	Gariadhar	IN
11/19/2017, 00:00:00	34.86472	117.55417	building	Zaozhuang	CN
09/14/2014, 00:00:00	45.44694	8.62118	good	Novara	IT
2016/04/02	28.88162	120.03308	average	Guli	CN
2013-11-15	40.93333	73	accep	Jalal-Abad	KG
2013-03-25	33.52253	-117.70755	average	Laguna Niguel	US
2019-07-27	36.20829	-115.98391	accep	Pahrump	US
2020/07/15	0.03813	36.36339	maintenance	Nyahururu	KE
11/24/2013, 00:00:00	45.35	126.28333	excellent	Shuangcheng	CN
2015-12-15	26.11527	86.59509	good	Supaul	IN
2016-12-10	21.46527	83.97573	accep	Sambalpur	IN
11/12/2020, 00:00:00	44.31771	9.32241	building	Chiavari	IT
05/17/2013, 00:00:00	45.35	126.28333	excellent	Shuangcheng	CN
25 Jul 2018	-14.66463	-52.35558	good	Nova Xavantina	BR
2022/04/24	53.38333	-0.76667	excellent	Gainsborough	GB
01/25/2017, 00:00:00	34.14251	-118.25508	building	Glendale	US
01/22/2018, 00:00:00	53.46506	-1.47217	maintenance	Chapletown	GB
2012/11/19	37.65181	120.33063	accep	Longgang	CN
03 Aug 2019	-21.44345	-65.71875	maintenance	Tupiza	BO
21 Feb 2017	44.22639	22.53083	accep	Negotin	RS
2021-06-21	-7.57897	112.23109	excellent	Diwek	ID
2014-06-05	-22.57306	-47.1725	average	Artur Nogueira	BR
10/02/2012, 00:00:00	42.50729	1.53414	good	les Escaldes	AD
2020-04-15	35.21222	2.31889	maintenance	Ksar Chellala	DZ
24 Nov 2013	-28.44917	-52.2	building	Marau	BR
2019-07-25	44.85278	65.50917	good	Kyzylorda	KZ
2016-11-24	23.73333	114.68333	excellent	Heyuan	CN
01/31/2020, 00:00:00	40.82232	-74.15987	accep	Nutley	US
2016/02/22	50.75767	-1.5443	average	Lymington	GB
2018-03-24	51.168	7.973	building	Finnentrop	DE
27 Jun 2016	16.0567	103.65309	average	Roi Et	TH
03/21/2019, 00:00:00	49.88307	-119.48568	building	Kelowna	CA
2018/03/22	37.31065	13.57661	excellent	Agrigento	IT
03/23/2020, 00:00:00	33.45122	-86.99666	excellent	Hueytown	US
2013/06/08	35.06544	1.04945	accep	Frenda	DZ
17 Feb 2014	40.65538	-74.38987	maintenance	Scotch Plains	US
05/05/2019, 00:00:00	8.88649	2.59753	excellent	Tchaourou	BJ
2013-03-03	41.91886	8.73812	good	Ajaccio	FR
03/11/2021, 00:00:00	22.98212	-80.58556	average	Corralillo	CU
2021-03-04	59.80917	30.38167	average	Shushary	RU
19 Oct 2012	53.49389	-1.29243	excellent	Mexborough	GB
15 Jul 2021	52.41667	0.75	accep	Thetford	GB
2017-09-02	53.30972	83.62389	building	Novosilikatnyy	RU
17 Jan 2014	15.48131	-86.57415	average	Olanchito	HN
2022/01/21	52.71083	5.74861	accep	Emmeloord	NL
2013/01/11	50.56149	4.69889	average	Gembloux	BE
2013-04-16	44.98901	38.94324	maintenance	Yablonovskiy	RU
2018/04/12	49.13645	8.91229	good	Eppingen	DE
12/28/2020, 00:00:00	43.4125	23.225	average	Montana	BG
04 Jun 2021	10.10649	76.35484	good	Alwaye	IN
15 Jun 2022	58.04254	65.27258	maitennce	Tavda	RU
24 Dec 2013	50.79205	-1.08593	excellent	Southsea	GB
2016-08-13	45.78071	12.84052	accep	Portogruaro	IT
2016-10-22	52.4581	13.28702	excellent	Dahlem	DE
15 Dec 2015	33.44872	-86.78777	excellent	Vestavia Hills	US
17 Jul 2017	38.10558	-1.86343	good	Caravaca	ES
01/13/2020, 00:00:00	30.76468	74.12286	building	Kanganpur	PK
2014-06-21	51.38673	0.30367	excellent	Hartley	GB
