PAHs	PM10	O3	warning	NOx	latitude	PRES	longitude	TEMP	C2H3NO5	CFCs	H2CO	PM2.5	Pb	SO2	CH4	NH3	CO
5.26919	6.63431	7.33459	0.00000	5.44298	55.67938	1157.66996	12.53463	10.90032	1.84840	37.84268	49.06354	6.45789	46.45881	9.57189	7.42036	6.86866	6.62946
6.12015	7.12533	6.60221	0.00000	8.41174	-8.76194	1196.63795	-63.90389	12.65751	2.21158	74.13306	49.86373	6.99075	60.14399	8.10741	6.24206	8.99567	5.63872
9.22735	7.03382	6.41356	1.00000	8.68841	31.82539	1177.28390	72.54064	19.73223	2.41233	42.37446	25.78443	7.99064	65.35246	5.12117	9.90097	8.03893	6.95404
7.15886	7.55771	7.53863	0.00000	9.24832	-31.25033	1065.81155	-61.4867	0.28387	2.96118	36.49225	58.34678	7.75273	51.25730	7.46124	6.09906	7.44212	5.30635
4.08045	6.79431	6.27020	0.00000	8.16737	51.67822	1174.75806	33.9162	3.76415	1.42943	59.41391	37.82489	7.42121	72.53613	10.53599	6.70782	10.81128	7.43066
7.89167	7.75070	6.24628	0.00000	9.04867	7.57944	1190.74250	-8.53778	12.84436	3.57123	64.36895	50.72117	7.26989	45.67468	7.21789	4.10836	11.83622	5.55110
5.67719	6.75883	6.26032	0.00000	9.53473	10.22677	1079.97395	-67.33122	25.27179	2.88878	37.53362	43.18638	6.52937		9.15366	5.72347	8.04128	7.69364
5.08969	8.53563	7.36632	1.00000	8.83974	14.95472	1160.35257	120.89694	13.74895	5.95838	64.17287	39.12434	8.42580	23.13832	5.58052	9.67792	5.22515	8.52174
9.51363	8.74026	6.49996	1.00000	7.13248	41.55815	1077.11689	-73.0515	34.25674	5.99620	57.36513	20.45909	6.64438	62.08119	6.68820	5.45361	7.29774	5.20731
7.72085	8.11373	8.38965	0.00000	10.51044	-22.45667	1193.24265	-47.53028	11.08027	4.25232	65.26924	50.08256	7.92878	74.22974	9.94078	8.99044	8.76354	6.11308
9.92767	7.49774	7.43530	1.00000	8.53130	55.82885	1110.85100	-4.21376	9.61130	2.98345	48.68423	27.40680	7.94058	37.83708	6.03953	6.77597	9.20347	6.38559
7.71745	7.57751	8.41520	1.00000	8.69552	4.92675	1063.23481	6.26764	11.54407	2.93912	44.27070	57.95642	7.91041	67.99243	6.88088	4.38949	7.33959	7.70752
5.30787	6.02342	8.31669	0.00000	7.59647	9.82564	1078.72061	78.25795	11.29183	1.96137	62.17403	65.64519	8.02035	80.86688	9.60225	5.46161	8.49893	5.87575
7.08058	10.16465	8.22190	0.00000	9.98592	33.43443	1199.52884	-5.22126	21.71308	23.15398	37.14047	47.75518	9.27095	60.60901	11.62868	6.02229	9.51931	5.86837
3.46451	8.73102	7.48005	0.00000	10.52916	44.85278	1114.14457	65.50917	-4.55780	6.48637	70.72589	27.28483	9.94279	43.27321	10.39788	9.31557	8.45310	8.15307
6.74376	7.31110	6.74145	0.00000	9.83770	40.66482	1151.27970	122.22833	16.56330	2.03638	42.13349	42.46573	7.94924	64.29484	10.65125	5.43808	10.67742	7.11305
8.39091	9.21553	7.01730	1.00000	7.33572	48.21644	1053.60852	9.02596	15.47377	9.89392	42.00657	62.59694	7.56169	43.51844	6.15120	6.41507	7.47755	5.84423
7.74716	7.14009	6.48291	1.00000	8.01114	41.47892	1194.13908	-87.45476	20.43303	2.55163	49.01706	38.01082	8.09099	36.86038	5.49245	4.58443	7.66681	5.39907
10.05046	8.43764	8.19356	1.00000	6.69099	3.8801	1078.73572	-77.03116	9.41101	5.26439	64.95284	63.76029	8.23033	68.73207	5.92601	6.37374	7.01688	6.20884
10.15651	6.33932	6.11098	1.00000	6.67242	31.84568	1078.51250	-102.36764	13.74718	1.97280	64.74007	56.49690	6.16416	59.80658	6.91190	6.79152	6.72420	7.23364
7.32881	6.13751	5.71364	1.00000	8.32781	51.40944	1106.79993	46.04833	11.31245	1.37447	52.95972	54.44917	9.84521	61.36370	7.45092	7.52774	7.25838	11.08532
7.12729	5.75655	8.69694	0.00000	7.53732	-6.8	1152.50873	39.25	15.57451	1.34015	65.95948	52.35020	6.49958	53.76163	8.66373	5.04675	4.15915	6.78666
7.67206	7.27152	7.45266	1.00000	8.84949	13.51825	1107.55063	99.95469	24.23685	2.26958	73.76940	48.75789	6.93011	53.86668	4.75236	6.30888	9.75333	5.94966
6.12746	7.60410	5.66812	1.00000	6.01092	14.62072	1142.31114	74.83554	-0.73491	2.90790	62.97048	28.55426	7.87274	34.17649	4.68376	13.07176	5.30510	5.00913
7.63264	6.92479	7.64458	0.00000	6.84732	26.9423	1159.10468	68.11759	17.80185	2.24762	62.20022	23.83560	8.16074	75.77379	8.47752	5.49761	3.85435	6.71514
7.41634	8.28042	7.91226	1.00000	7.78888	8.35122	1141.98093	-62.64102	9.40685	5.05554	80.20730	28.81067	5.97649	55.28759	6.86063	6.25535	7.93513	5.86673
4.72306	6.84975	10.28883	1.00000	7.76047	16.68911	1066.24247	98.50893	13.49396	2.24709	66.49936	47.69731	8.96443	70.91766	4.60767	8.08083	3.24420	11.67337
8.31681	7.35414	8.88412	1.00000	6.80013	26.9423	1061.56911	68.11759	45.58726	2.30193	55.26357	56.04316	8.99128	35.62399	7.36626	10.09854	7.05185	8.18488
9.34390	6.51971	7.80446	1.00000	8.73826	58.7002	1057.64892	59.4839	15.73565	1.60799	51.48262	60.29488	8.18344	60.04808	7.82708	9.19770	9.35882	8.01416
6.20040	9.49807	9.43993	1.00000	6.26363	-21.98333	1191.72173	16.91667	20.26884	13.02460	56.33543	57.12997	8.12762	51.18224	5.84412	10.10429	5.67125	9.86948
9.59389	6.80374	7.79112	1.00000	8.86521	-22.53722	1133.95224	-42.98194	20.54939	1.68377	81.12124	7.28161	6.74570	71.74904	7.27025	8.67310	8.54163	7.62665
7.84051	8.05775	8.63421	0.00000	9.71486	33.86419	1193.70859	48.26258	-4.02301	3.95655	38.42937	47.87482	7.49337	33.37606	4.33340	5.72234	7.15891	4.35063
4.16828	6.73967	5.97450	0.00000	8.11644	-19.7625	1137.01969	-44.31389	15.33092	1.89587	40.23844	54.17900	8.01777	55.87357	8.91586	7.49127	10.16661	8.37481
6.28532	7.40267	7.28141	1.00000	9.00344	36.06523	1125.77150	-119.01677	10.65695	2.26735	32.22335	47.18418	7.07940	45.64640	4.45023	9.94887	6.53417	7.87746
4.39545	7.46531	5.71387	1.00000	11.37999	41.55838	1191.49677	-81.56929	24.87435	2.70650	51.61261	35.94672	7.44105	66.40816	5.13218	7.17412	6.32401	10.16412
6.56998	7.50474	4.77971	0.00000	5.18448	30.76468	1180.24942	74.12286	10.51665	3.36578	32.79847	26.50286	9.11971	47.07772	7.19062	8.55956	6.16691	6.26288
6.57745	7.12637	8.23443	0.00000	7.64782	57.47908	1070.16605	-4.22398	-1.44156	2.07674	59.41025	47.40100	6.54609	39.91926	9.64780	4.35410	5.51909	6.42862
6.09514	6.37370	6.52429	0.00000	7.13573	18.03496	1194.03777	-66.8499	11.37141	2.09356	78.61739	41.37921	6.83893	52.03782	8.55591	5.85132	10.69563	6.31461
6.54728	7.82399	8.54247	0.00000	6.73160	13.44581	1151.62347	101.18445	-6.03953	3.74388	64.27757	47.94980	6.21120	36.03521	9.91926	5.24797	6.60580	6.32985
7.29742	8.17477	9.23251	1.00000	10.19720	48.21644	1194.64657	9.02596	17.26440	4.87012	56.15108	39.76996	7.62005	31.60383	7.82501	6.31155	5.00993	9.42765
7.58889	7.23922	8.78606		5.64738	51.39148	1112.90876	-0.29825	-6.90213	1.94801	59.92952	67.83135	7.61244	57.53113	7.07605	5.97463	4.28285	5.48228
7.26353	5.92434	7.55110	1.00000	5.94573	31.76212	1172.65127	-95.63079	12.65514	1.32518	43.07177	40.01889	7.64364	76.77272	5.98452	6.77612	5.38970	6.29399
6.54427	6.82051	7.45272	1.00000	9.24325	51.19139	1167.11459	6.51352	15.71403	2.50702	40.28691	35.66489	8.30998		7.19869	8.65013	6.04801	8.14908
6.47009	6.67456	6.71913	0.00000	7.10504	0.76755	1114.22969	24.43973	11.06172	2.34202	59.08269	40.46203	7.51008	52.50462	10.61242	5.94520	5.17878	7.95648
5.53315	7.58254	7.89879	1.00000	9.53840	33.76446	1181.30927	-117.79394	15.65131	2.74153	50.71233	26.00127	7.55129	63.27900	6.00729	10.67519	7.99576	7.81635
10.21994	6.82996	8.26627	1.00000	4.85750	51.39148	1138.39206	-0.29825	38.13930	1.81274	51.74971	31.71453	8.32693	33.39812	4.27283	6.76310	6.37769	5.85222
7.35737	8.10814	7.39344	0.00000	5.16042	-22.45667	1061.03218	-47.53028	4.32382	4.00641	84.88626	20.83956	8.93894	43.10527	7.29203	6.46509	8.65877	4.66480
7.12513	7.12254	7.68375	0.00000	7.55723	43.11667	1178.79227	1.6	32.05852	2.10793	51.41043	31.07703	6.64623	81.07685	8.83401	5.85323	6.55877	6.80591
8.86244	6.87253	7.88177	1.00000	3.08449	25.80565	1063.20720	68.49143	18.97517	1.83752	68.65252	57.91067	7.29583	65.00202	6.14942	5.73280	3.04097	3.89319
6.89831	8.49275	6.13341	0.00000	11.27265	49.28669	1161.16704	1.00288	13.14822	5.69308	50.68009	17.41018	8.68077	58.63655	6.00607	8.81896	5.25053	4.53235
6.72147	8.28394	6.39517	0.00000	11.01169	-26.93366	1161.95551	29.24152	3.16870	5.43634	43.52304	40.88430	6.63363	58.39753	5.99503	6.64624	5.87785	6.28185
8.65512	8.93291	6.52054	1.00000	4.91137	26.9423	1087.26783	68.11759	1.57654	7.89982	58.49518	43.72473	8.69076	40.00359	6.54008	6.13085	4.76423	6.17579
5.98268	9.36925	7.96331	1.00000	7.29110	9.89206	1186.73907	43.38531	1.05092	11.41016	43.19414	49.23953	9.75619	47.61369	7.75555	9.42143	5.32627	9.63563
7.98055	7.85890	7.80778	1.00000	10.32838	-7.51611	1131.18305	109.05389	27.57142	2.78735	54.91011	43.66348	7.15565	64.73624	6.10746	7.76024	8.51248	8.55390
7.85765	7.81875	5.81950	1.00000	10.09421	33.45122	1067.76351	-86.99666	23.50748	3.20498	40.47779	74.48959	9.41060	61.52804	5.57539	8.43497	10.07680	9.57345
7.63467	7.11255	7.89751	0.00000	9.50071	34.14251	1167.69239	-118.25508	13.12751	1.84202	49.86577	17.36300	9.04400	47.64007	6.38695	6.98610	8.70339	5.77307
4.49029	8.15723	6.77890	0.00000	8.09407	2.41669	1142.32251	30.98551	8.46739	3.98581	63.08200	43.17434	8.10143	63.26017	11.57310	6.46375	6.39991	8.51919
7.53942	7.37069	6.67993	1.00000	7.69385	42.28639	1150.93523	18.84	7.77654	2.33059	72.80409	39.53251	7.12945	75.88922	6.21316	9.95604	8.27688	8.65239
9.82198	7.42849	8.02910	1.00000	4.50048	55.85	1098.57373	37.56667	-1.94049	2.54871	49.12659	36.48725	8.78221	52.04709	8.12453	3.45910	5.34466	5.65775
9.03629	6.35522	6.31786	1.00000	8.36776	47.30997	1083.78844	8.52462	14.43312	1.39106	47.09664	44.17495	8.00787	39.83240	5.74836	6.72669	9.44798	7.03076
6.96159	6.64723	7.87491	1.00000	9.27732	-17.73648	1158.75909	168.31366	7.54317	1.88702	32.30308	63.10181	8.58104	62.45246	7.17850	8.43590	6.27205	8.12612
7.41187	5.24686	7.80183	1.00000	10.33502	39.32288	1143.25753	-76.72803	16.10703	1.53953	66.63319	53.34273	8.17222	43.93909	6.24201	10.78016	10.88108	6.72308
6.65752	7.19221	7.63114	1.00000	9.46440	57.47908	1129.90739	-4.22398	12.06199	2.54300	57.31834	39.07534	8.31296	53.71190	6.51908	9.15061	6.84164	8.28927
4.78122	7.55461	7.43333	0.00000	8.00240	43.83125	1142.23614	5.03586	30.72736	2.83782	58.41538	61.58427	7.51598	71.99850	11.80364	6.51387	3.77016	9.47934
11.08059	6.98335	7.20626	1.00000	4.89941	59.33333	1198.14642	18.28333	11.08239	2.43831	63.45146	27.77687	8.45209	58.44200	5.98620	5.24488	5.42144	4.32598
9.00475	8.89789	9.53280	1.00000	9.36599	17.94979	1083.73353	-94.91386	13.56757	7.42051	42.13735	35.93951	5.98230	37.95156	4.15943	8.61851	8.24208	9.50231
7.06322	7.20009	6.06463	0.00000	6.48459	8.79577	1075.24640	-75.69947	24.10276	2.37209	57.16917	31.88599	7.62289	14.60394	9.01018	6.41067	6.31074	6.47672
6.56351	7.29280	7.49170	1.00000	9.75785	9.58126	1078.00005	8.2926	22.49688	3.34343	65.25375	52.85930	9.68255	63.82542	6.11817	7.78127	6.82048	10.08081
8.21576	6.99052	10.51523	0.00000	5.93203	8.43333	1073.68299	99.96667	28.95664	1.90087	47.20739	43.44255	6.93461	35.95589	7.22139	4.80304	6.75369	4.33432
11.24633	7.81513	6.97322		7.70252	17.94979	1141.40025	-94.91386	-10.88320	3.26193	50.80912	30.40497	8.24054	63.13585	4.40995	9.63939	10.37720	7.34160
5.36399	5.94280	8.34583	0.00000	7.21584	33.35283	1193.90060	-111.78903	20.29659	2.04992	56.63891	52.39119	5.15794	18.37311	10.47423	7.09140		8.57692
7.88872	9.60850	8.02214	1.00000	10.37658	40.37528	1109.16823	28.88222	39.86823	14.26070	55.28515	20.64941	8.17878	43.64253	6.98256	7.90400	6.75470	7.89557
10.58834	7.38793	9.35710	1.00000	6.63515	27.85	1159.55766	112.9	25.03069	2.99813	58.21418	22.24848	10.12695	56.57364	5.01131	7.75295	8.22338	7.27261
7.75954	5.95344	8.37452	1.00000	7.71819	52.31333	1130.76274	6.92917	8.77901	2.43152	46.88937	41.22659	7.82637	62.92873	6.80644	7.86931	5.92607	7.58714
5.83713	6.89933	8.25803	0.00000	6.35061	40.87329	1085.46833	14.43865	14.00929	2.13402	45.26980	48.15906	7.22493	50.72767	9.28700	7.55839	7.49467	7.18297
5.63480	6.82435	8.19668	1.00000	8.30541	51.40944	1067.05774	46.04833	27.20701	2.43387	55.43219	42.37759	7.61514	48.67505	7.20331	10.75029	6.55286	6.83062
7.40741	7.13454	7.41638	0.00000	5.95496	6.25947	1139.62295	102.05461	21.46345	2.15318	41.89135	45.55967	7.35368	18.13815	7.89772	5.96170	6.93618	5.56253
5.66048	5.45961	8.96881	0.00000	10.01463	35.88264	1185.53752	-80.08199	26.07538	0.77634	62.64798	53.65253	8.33077	37.48533	7.31207	6.77853	6.63140	7.66916
5.27800	7.67583	7.29665	1.00000	8.64675	45.99194	1096.23099	29.41824	14.01197	3.49437	71.78306	44.77657	6.96858	36.81445	7.08268	7.63274	5.95128	11.93761
7.49331	6.05747	6.17605	0.00000	5.67339	5.90702	1098.29023	116.10146	39.65132	1.45694	50.34919	33.18380	7.25237	50.14867	7.02885	4.92354	6.25723	4.08162
6.99130	7.16397	7.95676	1.00000	9.68505	34.31	1139.07261	-2.16	19.59561	3.13616	63.25086	36.08664	6.93752	35.81868	4.30191	8.77914	5.81694	7.49949
6.62152	7.82385	6.34927	1.00000	9.39223	40.57788	1172.73335	-73.95958	7.05213	3.85226	33.51058	54.26838	6.85885	60.02343	5.54367	9.29591	6.38239	8.20232
6.56677	7.98338	7.43502	1.00000	9.71595	11.85	1157.83105	38.01667	10.31806	3.91206	62.90703	40.02960	6.88037	46.66040	6.98076	7.73054	5.49998	9.17441
4.64710	6.82926	7.83929	0.00000	8.45457	34.56861	1138.15396	105.89333	24.68841	2.42056	53.90997	40.20310	7.35615	48.43859	7.83221	5.41535	8.81987	6.50109
6.94856	5.57966	8.33392	1.00000	8.96778	27.52948	1059.35840	68.75915	1.06783	1.89760	74.75302	52.60904	7.67073	50.45686	8.42959	8.39997	6.80906	8.81843
8.06354	7.72068	7.29469	1.00000	9.35274	41.54566	1086.62022	-71.29144	3.27030	2.54553	66.27545	58.05349	6.47413	57.21896	4.21594	8.62594	7.81131	9.59686
5.68237	8.76564	8.25347	1.00000	10.50859	-19.7625	1098.29305	-44.31389	27.45730	6.28364	54.47048	41.37849	7.55344	36.09183	3.01138	6.65249	5.43872	10.35892
8.62549	8.25351	8.06923	1.00000	7.47182	10.58806	1066.86754	77.24779	25.05569	4.72170	56.17728	33.16435	7.48550	56.64756	5.96048	8.67818	5.56611	8.18488
7.95656		6.02287	0.00000	6.38425	48.79325	1157.69043	2.29275	4.19427	0.76263	57.13127	42.35394	5.63602	45.29608	8.14610	5.40680	6.57306	5.52880
5.27299	8.53188	7.81144	1.00000	6.67747	41.16704	1109.44876	-73.20483	-1.86652	6.09537	35.50100	50.68119	8.89369	59.43834	10.05736	5.57445	7.40238	6.35481
8.05455	7.47506	9.33249	1.00000	5.98669	24.41288	1077.91201	76.56719	-0.24550	2.60602	64.03323	48.47968	7.72433	58.72241	5.83263	8.17289	6.49118	5.79071
6.09685	7.21696	8.70718	0.00000	5.77996	52.66277	1077.42191	-2.01111	19.02623	2.30641	61.91698	43.14926	7.18627	56.39714	8.29023	6.30917	7.11570	5.75903
6.98973	7.03054	8.33087	0.00000	7.85087	38.06084	1128.84297	-97.92977	9.98214	2.27013	49.94329	49.58425	6.73933	57.06284	10.41706	5.29398	6.55914	7.29250
7.77055	6.51051	6.92679	1.00000	4.09958	-4.06667	1051.73763	37.73333	35.02725	2.17620	60.91801	66.01660	6.97415	83.24062	7.82236	4.79320	4.92595	5.46439
10.66501	7.77410	6.98801	1.00000	5.39827	53.51684	1143.27907	-113.3187	-2.79731	2.78664	56.24357	39.50043	8.18678	38.50288	6.60465	8.81907	7.93690	7.54665
5.93456	9.97204	7.30914	1.00000	9.52407	40.87329	1082.88766	14.43865	18.01832	19.09923	34.89721	38.59131	6.43765	44.99911		6.28791	4.36037	11.88752
6.92664	6.42656	7.74720	0.00000	8.75924	55.39485	1165.55847	43.83992	17.69176	1.34579	54.47462	67.94499	7.17091	46.82107	7.64406	7.07259	7.28909	6.69420
7.08933	7.26778	8.11621	0.00000	9.15454	28.88162	1096.63409	120.03308	24.92234	2.83317	53.01012	45.55962	5.59591	43.61786	7.37757	6.74759	8.29292	5.25309
5.08238	9.92457	7.55355	1.00000	8.53869	54.60528	1180.85484	18.34717	14.37889	17.80683	36.92206	23.01989	8.00659	58.01272	6.04855	10.73441	5.96014	6.94533
6.51910	9.05099	7.91533	1.00000	11.19012	50.7236	1088.63743	-3.52751	27.64363	8.71882	58.79710	38.06762	6.50920	56.48915	8.27441	7.07752	6.60458	7.85159
5.54595	9.20473	6.24912	1.00000	7.04903	-21.98333	1079.91112	16.91667	-3.26228	9.91079	75.98470	39.75012	6.11246	58.56103	6.66137	9.40310	4.93652	9.74708
11.46686	7.50915	5.44943	1.00000	7.12407	30.17746	1068.09073	-81.38758	7.21558	2.89043	35.59869	30.21757	6.89922	37.21065	4.64951	8.69073	7.44256	5.83698
5.70745	7.93936	6.32495	0.00000	9.22720	43.11667	1174.97334	1.6	16.72497	3.68600	11.24784	46.36667	7.78146	40.67863	7.32584	4.96702	7.98445	5.43835
7.01226	5.72108	7.54002	0.00000	7.59024	50.75	1088.52891	2.25	26.51946	1.93637	43.09235	53.80212	7.64731	37.62277	9.81714	5.40978	6.02043	7.08746
8.73184	7.10685	7.72930	1.00000	5.69723	48.98333	1180.88120	2.61667	8.06959	1.82224	45.21298	56.02945	8.31481	50.36271	7.58246	8.44712	6.60076	8.34950
7.09299	7.73448	7.72803	0.00000	8.47521	60.02427	1150.43896	30.28491	24.40615	2.98970	67.80087	32.26283	8.21614	55.75968	10.32551	4.02033	9.17628	7.12334
6.43682	7.80578	8.25419	0.00000	8.09336	65.84811	1105.96631	24.14662	21.13480	3.99654	53.33733	19.93826	8.08951	42.65825	13.39064	5.61182	12.15674	6.84878
5.88992	8.48742	6.92299	0.00000	7.36644	41.09246	1131.44680	45.36561	28.28141	5.83555	35.04306	42.49504	7.59891	50.42369	10.38478	3.39347	11.52121	6.73104
6.76897	7.51698	7.09291	0.00000	9.43494	52.66277	1196.77399	-2.01111	24.22560	2.55051	78.60588	34.28792	8.08069	47.00726	6.18943	7.16787	8.11961	5.12963
8.26229	8.43048	8.31126	1.00000	7.38185	40.65538	1081.06596	-74.38987	3.25868	5.60449	54.94235	45.82822	8.75981	75.33797	7.69721	4.72955	7.87339	7.13517
7.88442	7.60473	8.14016	1.00000	6.70484	14.95472	1127.34737	120.89694	7.29587	2.61424	49.24291	44.59909	6.42561	52.47658	6.70402	6.41906	5.58173	6.81240
6.75711	7.80080	7.36920	0.00000	9.71578	42.30865	1077.19609	-83.48216	14.69828	3.67667	57.54960	52.94246	8.04529	89.57903	5.88240	6.94378	7.37265	5.38188
6.31654	6.52353	8.11051	1.00000	10.74567	23.18	1079.19434	88.58	17.60915	2.35657	44.99821	19.02071	7.39111	48.65761	8.07286	4.47150	5.97901	13.17689
10.73772	8.91192	8.46294	1.00000	4.79215	39.32288	1157.73921	-76.72803	-6.81568	7.31033	51.62021	34.27450	8.94511	31.86274	4.70312	7.67594	6.53705	5.13679
7.29064	6.86205	8.24088	1.00000	7.03029	50.71229	1057.88619	4.52529	13.06439	2.03705	74.81184	42.93924	7.69579	41.79870	6.27922	6.83937	7.31959	6.01921
6.70403	7.14121	7.59181	0.00000	5.00151	-5.41667	1116.78354	38.01667	20.70384	2.25838	60.21150	42.14110	6.21217	81.11985	6.29461	6.27666	8.13970	3.66710
7.72875	7.63843	8.33187	0.00000	6.48831	18.87813	1194.37496	72.93924	11.89679	2.63647	40.15027	29.25111	6.69376	40.48343	8.33935	4.46483	5.16874	5.08831
8.23370	7.97701	7.55800	1.00000	5.23507	22.98212	1155.93623	-80.58556	-0.07326	4.00881	69.74231	45.54414	6.93916	60.02327	7.11728	4.18851	5.45960	5.21158
7.69348	7.34884	6.34080	1.00000	3.86266	35.48199	1079.18583	137.02166	3.48946	3.32976	62.45941	39.30985	8.12433	49.32981	5.22645	5.55699	3.14828	3.70302
10.73679	6.84214	6.90379	1.00000	6.83305	-10.33333	1145.87276	39.28333	17.45152	1.90035	34.18817	38.49746	6.75986	67.90777	6.13536	3.87595	7.34083	6.63514
6.77550	9.67784	7.37133	1.00000	9.86551	3.8801	1183.17261	-77.03116	9.29023	14.40179	67.27776	36.81046	8.00177	58.58707	6.65615	7.85128	7.19212	8.92174
9.74120	6.04642	8.01912	1.00000	4.80093	55.8736	1123.65172	85.4265	-2.00642	2.05089	42.10927	42.33055	8.45094	64.54946	5.08440	5.50184	5.52033	3.85092
5.55606	8.61793	7.00366	0.00000	3.07623	60.02427	1058.64605	30.28491	-12.11976	6.01175	42.75189	29.69761	9.15682	40.36800	6.51180	8.91444	6.06998	5.49948
12.28744	6.82987	7.04103	1.00000	5.51351	37.58105	1167.78344	29.26639	32.43116	2.44222	49.96866	32.76441	8.24529	38.58598	6.02943	5.66886	7.36685	6.19738
8.02300	7.13340	8.46393	1.00000	6.19072	23.15678	1145.49341	-81.24441	10.15287	1.68972	67.39384	36.40066	8.78457	51.14850	8.38652	5.23743	5.10137	7.10034
7.10723	8.75354	8.50067	1.00000	5.89016	43.35071	1137.48735	46.10925	5.33089	6.15079	33.14226	50.53683	8.71875	88.89102	7.21220	5.66924	5.68703	5.66867
7.92481	6.77899	7.11998	0.00000	7.50516	6.9909	1158.07454	79.883	24.72089	1.46223	71.55104		8.41332	65.29534	8.98237	4.77505	6.45719	5.96808
9.32801	7.47852	7.38064	1.00000	4.27552	56.9083	1060.86059	60.8019	9.67326	2.78087	50.74802	45.03895	7.67742	40.96465	5.38395	6.98130	3.45517	5.07671
9.42456	6.93029		1.00000	5.30079	60.2052	1060.88945	24.6522	26.04874	2.13953	65.92692	34.38426	6.47589	48.78273	5.21963	8.91318	5.22075	5.91006
