latitude	revision	code	longitude	location	QoS
-0.35817	01/01/2015, 00:00:00	SO	42.54536	Africa/Mogadishu	accep
48.46458	15 Jan 2019	DE	9.22796	Europe/Berlin	good
40.57788	19 Sep 2020	US	-73.95958	America/New_York	good
46.7055	2015-05-26	RU	38.2739	Europe/Moscow	good
43.71032	09 Oct 2014	FR	-1.05366	Europe/Paris	average
38.96372	14 May 2019	US	-76.99081	America/New_York	good
41.14676	26 Apr 2015	US	-73.49484	America/New_York	excellent
-21.44236	12/11/2020, 00:00:00	BW	27.46153	Africa/Gaborone	building
48.98333	10/29/2018, 00:00:00	FR	2.61667	Europe/Paris	building
41.8542	2013-01-24	US	-87.66561	America/Chicago	average
14.93333	07 Feb 2013	GT	-91.11667	America/Guatemala	maintenance
11.86064	2018/12/01	NG	9.0027	Africa/Lagos	good
42.55308	2019/12/05	US	-87.93341	America/Chicago	excellent
22.83957	2022/06/18	BD	91.84128	Asia/Dhaka	good
23.07492	31 Dec 2015	IN	88.28637	Asia/Kolkata	excellent
43.54072	01/09/2015, 00:00:00	US	-116.56346	America/Boise	excellent
34.56861	20 Nov 2019	CN	105.89333	Asia/Shanghai	building
18.00747	2018-10-21	JM	-76.78319	America/Jamaica	excellent
21.59983	2017/08/09	IN	71.21169	Asia/Kolkata	maintenance
-26.22861	17 Aug 2019	BR	-52.67056	America/Sao_Paulo	maintenance
11.85	2016/10/03	ET	38.01667	Africa/Addis_Ababa	average
10.20898	2013/09/02	PH	123.758	Asia/Manila	average
18.20854	03/16/2018, 00:00:00	DO	-71.10077	America/Santo_Domingo	good
6.9909	02 Sep 2020	LK	79.883	Asia/Colombo	average
55.54028	2014-08-27	RU	89.20083	Asia/Krasnoyarsk	excellent
14.0823	2020-06-15	MM	98.19151	Asia/Yangon	average
14.53767	2018/11/02	YE	46.83187	Asia/Aden	average
32.87533	06/14/2020, 00:00:00	PK	71.57118	Asia/Karachi	average
57.47908	01/01/2022, 00:00:00	GB	-4.22398	Europe/London	accep
34.06635	07 Oct 2013	US	-84.67837	America/New_York	average
48.8449	2022/04/23	SK	17.22635	Europe/Bratislava	building
45.0408	2019-07-11	US	-93.263	America/Chicago	good
-4.5833	31 Jan 2016	CD	15.16554	Africa/Kinshasa	building
14.8361	19 Oct 2021	PH	120.97844	Asia/Manila	average
13.65805	08/19/2013, 00:00:00	KH	102.56365	Asia/Phnom_Penh	average
45.39402	04/16/2021, 00:00:00	IT	9.29109	Europe/Rome	average
34.4833	02/11/2019, 00:00:00	JP	136.84186	Asia/Tokyo	good
25.75728	2016-06-01	IN	75.37991	Asia/Kolkata	maintenance
45.79377	2014/06/16	IT	8.88104	Europe/Rome	good
-13.7804	2016-04-01	MW	34.4587	Africa/Blantyre	accep
54.60528	06/16/2013, 00:00:00	PL	18.34717	Europe/Warsaw	excellent
22.75218	2017-11-24	IN	72.68533	Asia/Kolkata	maintenance
42.93369	2019-03-06	US	-72.27814	America/New_York	accep
-4.06667	08 Aug 2020	TZ	37.73333	Africa/Dar_es_Salaam	average
-2.68333	06 Nov 2012	TZ	33	Africa/Dar_es_Salaam	accep
32.54278	2019/03/23	CN	111.50861	Asia/Shanghai	average
41.29444	2020-11-01	UZ	69.67639	Asia/Tashkent	excellent
25.13915	2013/03/16	IN	73.06784	Asia/Kolkata	accep
23.02677	2019-05-27	CN	113.13148	Asia/Shanghai	excellent
40.60538	2017/04/18	US	-73.75513	America/New_York	good
-31.25033	2021-05-31	AR	-61.4867	America/Argentina/Cordoba	accep
35.06667	09/10/2014, 00:00:00	JP	135.21667	Asia/Tokyo	average
-2.90055	27 Jun 2018	EC	-79.00453	America/Guayaquil	good
-19.7625	2018-01-23	BR	-44.31389	America/Sao_Paulo	good
48.21644	20 Apr 2019	DE	9.02596	Europe/Berlin	accep
51.64316	14 Jul 2017	GB	-0.36053	Europe/London	average
11.50526	25 Jun 2017	IN	77.23826	Asia/Kolkata	building
33.45122	2015-08-07	US	-86.99666	America/Chicago	accep
0.76755	2020-11-06	CD	24.43973	Africa/Lubumbashi	excellent
40.78206	05 Oct 2013	UZ	72.34424	Asia/Tashkent	good
21.59983	2018/06/16	IN	71.21169	Asia/Kolkata	accep
41.91738	2022/06/16	ES	3.1631	Europe/Madrid	accep
29.21399	2018/06/14	IN	78.95693	Asia/Kolkata	average
14.95472	2013/01/26	PH	120.89694	Asia/Manila	good
53.53041	2021-09-08	RU	43.67663	Europe/Moscow	building
-10.95817	2019/04/23	BR	-38.79084	America/Bahia	good
47.56494	2015/08/01	UA	31.33078	Europe/Kiev	excellent
58.23583	2021-12-22	RU	92.48278	Asia/Krasnoyarsk	excellent
30.17746	2021/12/19	US	-81.38758	America/New_York	excellent
-7.81667	12/11/2020, 00:00:00	ID	112.01667	Asia/Jakarta	average
13.44581	01/01/2020, 00:00:00	TH	101.18445	Asia/Bangkok	accep
8.88988	2014-10-18	PA	-79.62603	America/Panama	maintenance
40.65538	31 Oct 2016	US	-74.38987	America/New_York	average
-26.93366	2015/04/18	ZA	29.24152	Africa/Johannesburg	average
47.64995	23 Jun 2021	US	-117.23991	America/Los_Angeles	accep
33.43443	11/18/2015, 00:00:00	MA	-5.22126	Africa/Casablanca	average
-21.205	08/30/2017, 00:00:00	BR	-41.88778	America/Sao_Paulo	excellent
60.97944	02/26/2017, 00:00:00	RU	76.92421	Asia/Yekaterinburg	excellent
48.21644	2019/01/19	DE	9.02596	Europe/Berlin	accep
1.6	2022/02/16	MY	103.81667	Asia/Kuala_Lumpur	good
16.455	2017-08-12	PH	120.5875	Asia/Manila	good
50.74497	10/22/2019, 00:00:00	BE	3.20639	Europe/Brussels	good
53.69786	23 Jun 2016	GB	-2.68758	Europe/London	excellent
17.30858	01 Feb 2016	MM	97.01124	Asia/Yangon	good
11.50526	2015-11-16	IN	77.23826	Asia/Kolkata	accep
38.58894	2017/02/06	US	-89.99038	America/Chicago	average
30.81383	2014/11/27	IN	75.16878	Asia/Kolkata	building
34.21639	2018/07/13	US	-119.0376	America/Los_Angeles	maintenance
52.21099	2013-01-16	DE	7.02238	Europe/Berlin	excellent
51.38673	09/28/2019, 00:00:00	GB	0.30367	Europe/London	average
18.42745	08/12/2013, 00:00:00	PR	-67.15407	America/Puerto_Rico	accep
43.50891	2018/05/09	HR	16.43915	Europe/Zagreb	accep
32.42067	12/03/2019, 00:00:00	US	-104.22884	America/Denver	good
42.93369	2019/12/27	US	-72.27814	America/New_York	accep
8.35122	05 Dec 2013	VE	-62.64102	America/Caracas	good
34.86472	2018/12/25	CN	117.55417	Asia/Shanghai	excellent
30.75545	2015/01/10	LY	20.22625	Africa/Tripoli	accep
54.48147	2020-08-04	RU	53.47103	Asia/Yekaterinburg	building
18.51957	02/12/2014, 00:00:00	IN	73.85535	Asia/Kolkata	good
-7.01833	2013-07-16	ID	107.60389	Asia/Jakarta	excellent
51.40944	16 Oct 2014	RU	46.04833	Europe/Saratov	accep
53.6052	05/08/2016, 00:00:00	DE	10.03988	Europe/Berlin	maintenance
-31.25033	2017/06/21	AR	-61.4867	America/Argentina/Cordoba	excellent
55.82737	2021/02/18	GB	-4.0573	Europe/London	building
18.51957	11/10/2020, 00:00:00	IN	73.85535	Asia/Kolkata	average
14.0823	2013/05/20	MM	98.19151	Asia/Yangon	good
-44.39672	2013/04/30	NZ	171.25364	Pacific/Auckland	good
9.89206	10/17/2016, 00:00:00	SO	43.38531	Africa/Mogadishu	maintenance
37.30553	03/21/2019, 00:00:00	CN	120.82747	Asia/Shanghai	excellent
33.41012	2015/12/16	US	-91.06177	America/Chicago	average
57.30185	04 Feb 2016	RU	39.85331	Europe/Moscow	average
42.30865	26 May 2013	US	-83.48216	America/Detroit	good
35.06544	2017/09/23	DZ	1.04945	Africa/Algiers	excellent
22.4711	26 Sep 2020	IN	88.1453	Asia/Kolkata	maitennce
13.8196	2018/02/01	TH	100.04427	Asia/Bangkok	good
2.2139	09 Apr 2019	MY	102.3278	Asia/Kuala_Lumpur	average
42.16808	26 Apr 2015	US	-88.42814	America/Chicago	average
22.98212	02/27/2019, 00:00:00	CU	-80.58556	America/Havana	excellent
50.80019	2013/02/11	DE	7.20769	Europe/Berlin	building
-5.41667	2020/01/11	TZ	38.01667	Africa/Dar_es_Salaam	maintenance
35.61452	09 Nov 2019	US	-88.81395	America/Chicago	good
56.85836	07 Jan 2013	RU	35.90057	Europe/Moscow	good
8.43333	07/04/2019, 00:00:00	TH	99.96667	Asia/Bangkok	good
43.83125	08/15/2016, 00:00:00	FR	5.03586	Europe/Paris	good
36.61033	05/11/2014, 00:00:00	US	-88.31476	America/Chicago	accep
45.69558	02/26/2015, 00:00:00	FR	4.7934	Europe/Paris	accep
33.03699	2014-05-18	US	-117.29198	America/Los_Angeles	average
31.28092	04/26/2017, 00:00:00	IN	74.85849	Asia/Kolkata	building
31.64615	2021/01/07	CN	120.74221	Asia/Shanghai	excellent
26.9423	01/14/2018, 00:00:00	PK	68.11759	Asia/Karachi	building
18.65297	30 Apr 2014	HT	-72.09391	America/Port-au-Prince	accep
51.95838	2014-01-09	NL	4.47124	Europe/Amsterdam	maintenance
43.35071	11 Mar 2019	RU	46.10925	Europe/Moscow	building
36.06523	2016-08-07	US	-119.01677	America/Los_Angeles	good
4.2475	14 May 2018	CM	9.00472	Africa/Douala	excellent
20.74122	2019-12-08	MX	-100.44843	America/Mexico_City	accep
-5.41667	2020-05-26	TZ	38.01667	Africa/Dar_es_Salaam	acceptable
52.26083	2022-05-22	NL	7.00417	Europe/Amsterdam	building
35.95664	2016/04/02	SY	36.7138	Asia/Damascus	good
45.99194	2017-11-24	UA	29.41824	Europe/Kiev	accep
8.56697	2015/01/14	PH	123.33471	Asia/Manila	building
38.38479	26 Nov 2015	ES	-0.76773	Europe/Madrid	accep
51.39148	2015/02/27	GB	-0.29825	Europe/London	average
29.69221	2015/07/08	PK	72.54566	Asia/Karachi	excellent
58.1908	2020/11/16	RU	40.17171	Europe/Moscow	good
42.62833	2015-10-14	XK	20.89389	Europe/Belgrade	excellent
41.9001	04/14/2015, 00:00:00	US	-71.08977	America/New_York	excellent
14.8361	12/13/2020, 00:00:00	PH	120.97844	Asia/Manila	average
23.02677	11/11/2020, 00:00:00	CN	113.13148	Asia/Shanghai	maintenance
50.18545	2017/04/22	UA	27.06365	Europe/Kiev	good
-21.44236	05/17/2021, 00:00:00	BW	27.46153	Africa/Gaborone	excellent
46.51872	07 Jun 2020	CN	86.00214	Asia/Urumqi	accep
51.08468	2018/03/24	DE	7.11393	Europe/Berlin	excellent
45.75279	12/20/2013, 00:00:00	CN	130.57211	Asia/Shanghai	excellent
22.75218	2019/12/03	IN	72.68533	Asia/Kolkata	good
36.53333	06/18/2017, 00:00:00	JP	136.61667	Asia/Tokyo	good
10.22677	2019/03/03	VE	-67.33122	America/Caracas	average
44.73941	24 Apr 2017	US	-93.12577	America/Chicago	average
-21.98333	2022/09/01	NA	16.91667	Africa/Windhoek	average
-2.90055	01 Jun 2020	EC	-79.00453	America/Guayaquil	good
27.55898	19 Apr 2021	PK	68.21204	Asia/Karachi	accep
60.18427	21 Nov 2017	FI	24.95034	Europe/Helsinki	average
25.80565	2015-04-04	PK	68.49143	Asia/Karachi	accep
11.12018	01/18/2015, 00:00:00	IN	76.11996	Asia/Kolkata	average
31.84568	21 Sep 2020	US	-102.36764	America/Chicago	excellent
36.06386	02/15/2013, 00:00:00	DZ	4.62744	Africa/Algiers	good
41.47892	2019-10-21	US	-87.45476	America/Chicago	accep
53.7446	05 Feb 2021	GB	-0.33525	Europe/London	excellent
45.44868	07/18/2019, 00:00:00	CA	-73.81669	America/Toronto	average
39.12074	2021-07-20	TR	27.18052	Europe/Istanbul	average
49.28669	2013-06-05	FR	1.00288	Europe/Paris	excellent
36.82167	02/18/2014, 00:00:00	KR	128.63083	Asia/Seoul	maitennce
35.25064	11 Jan 2016	US	-91.73625	America/Chicago	accep
50.06	13 Jan 2016	RU	43.2379	Europe/Volgograd	excellent
51.65	11/06/2021, 00:00:00	GB	-0.2	Europe/London	average
-4.06667	2017-05-03	TZ	37.73333	Africa/Dar_es_Salaam	average
6.95194	24 Dec 2016	PH	121.96361	Asia/Manila	accep
33.35283	2022-04-20	US	-111.78903	America/Phoenix	building
29.21399	03/04/2017, 00:00:00	IN	78.95693	Asia/Kolkata	excellent
39.57582	08/11/2018, 00:00:00	US	-105.11221	America/Denver	excellent
37.58105	07/28/2018, 00:00:00	TR	29.26639	Europe/Istanbul	average
37.71715	14 May 2017	US	-122.40433	America/Los_Angeles	excellent
42.4251	2016/02/26	US	-71.06616	America/New_York	excellent
23.9028	07/24/2015, 00:00:00	BD	89.11943	Asia/Dhaka	excellent
26.9423	2017/01/07	PK	68.11759	Asia/Karachi	average
26.44931	2015/08/14	IN	91.61356	Asia/Kolkata	maintenance
32.55531	2015-11-08	IN	76.12647	Asia/Kolkata	average
31.82539	01/21/2015, 00:00:00	PK	72.54064	Asia/Karachi	building
48.79325	2016/05/14	FR	2.29275	Europe/Paris	maintenance
9.91861	2013/08/04	VE	-68.30472	America/Caracas	accep
12.37169	25 Feb 2015	PH	123.62494	Asia/Manila	maitennce
24.41288	08/20/2020, 00:00:00	IN	76.56719	Asia/Kolkata	excellent
-27.50578	2014-04-11	AU	153.10236	Australia/Brisbane	good
14.62072	03/13/2016, 00:00:00	IN	74.83554	Asia/Kolkata	good
31.12406	04 Mar 2020	US	-97.90308	America/Chicago	building
50.75767	2013/09/20	GB	-1.5443	Europe/London	good
-54.8	2021-12-20	AR	-68.3	America/Argentina/Ushuaia	accep
-0.35817	2013/12/05	SO	42.54536	Africa/Mogadishu	excellent
41.9001	30 Apr 2021	US	-71.08977	America/New_York	building
4.02219	28 Mar 2017	MY	101.02083	Asia/Kuala_Lumpur	accep
18.03496	06 May 2018	PR	-66.8499	America/Puerto_Rico	accep
54.58048	21 May 2013	PL	16.86194	Europe/Warsaw	building
64.5635	2021-05-09	RU	39.8302	Europe/Moscow	accep
38.40917	01/03/2020, 00:00:00	CN	112.73333	Asia/Shanghai	average
10.58806	2013-02-09	IN	77.24779	Asia/Kolkata	maintenance
28.71271	05/14/2022, 00:00:00	IN	77.656	Asia/Kolkata	average
11.8659	2018-02-20	SD	34.3869	Africa/Khartoum	accep
40.66482	04/01/2022, 00:00:00	CN	122.22833	Asia/Shanghai	accep
18.18158	19 May 2018	IN	76.03889	Asia/Kolkata	average
43.54072	23 Apr 2019	US	-116.56346	America/Boise	good
56.85836	2014/02/26	RU	35.90057	Europe/Moscow	building
36.76775	2021/12/15	DZ	2.95924	Africa/Algiers	average
52.47774	20 May 2018	DE	10.5511	Europe/Berlin	average
43.96222	2017/07/11	RU	43.63417	Europe/Moscow	good
37.65639	2015-03-23	KR	126.835	Asia/Seoul	excellent
35.89972	21 Feb 2019	MT	14.51472	Europe/Malta	accep
-10.90889	2020-09-11	BR	-37.03861	America/Maceio	excellent
24.05979	12/12/2012, 00:00:00	IN	77.40858	Asia/Kolkata	maintenance
16.455	22 Jun 2017	PH	120.5875	Asia/Manila	maintenance
6.25947	16 Nov 2020	TH	102.05461	Asia/Bangkok	average
41.24255	28 Feb 2021	US	-82.61573	America/New_York	good
59.80917	08/13/2019, 00:00:00	RU	30.38167	Europe/Moscow	average
44.35056	26 Jun 2020	JP	142.45778	Asia/Tokyo	good
33.98154	18 Aug 2016	US	-81.23621	America/New_York	excellent
11.93381	2016/02/11	IN	79.82979	Asia/Kolkata	excellent
47.38093	30 Aug 2021	US	-122.23484	America/Los_Angeles	maitennce
-1.26753	2013-08-22	ID	116.82887	Asia/Makassar	maintenance
44.85278	2015/01/06	KZ	65.50917	Asia/Qyzylorda	accep
19.04222	02/23/2016, 00:00:00	MX	-98.11889	America/Mexico_City	average
43.96222	22 Mar 2018	RU	43.63417	Europe/Moscow	building
39.78504	14 Apr 2016	US	-85.76942	America/Indiana/Indianapolis	accep
-7.76667	03/18/2013, 00:00:00	TZ	35.7	Africa/Dar_es_Salaam	good
38.91817	09/13/2018, 00:00:00	US	-78.19444	America/New_York	good
47.83333	2022-02-24	KZ	59.6	Asia/Aqtobe	building
50.7236	2013/06/26	GB	-3.52751	Europe/London	building
56.03361	22 Oct 2013	RU	35.96944	Europe/Moscow	average
40.72816	2014-11-15	US	-74.07764	America/New_York	maintenance
42.67164	2015/12/12	IT	14.01481	Europe/Rome	good
33.35283	2020/08/27	US	-111.78903	America/Phoenix	excellent
-22.45667	2014-09-23	BR	-47.53028	America/Sao_Paulo	building
35.6803	2015/08/19	IR	51.0193	Asia/Tehran	accep
48.06919	17 Mar 2013	DE	11.37703	Europe/Berlin	accep
42.8334	05/12/2022, 00:00:00	CA	-80.38297	America/Toronto	maintenance
48.35693	12/14/2012, 00:00:00	DE	10.98461	Europe/Berlin	building
41.72059	2014/10/22	US	-87.70172	America/Chicago	building
21.53889	04/11/2022, 00:00:00	IN	71.57737	Asia/Kolkata	accep
33.86419	29 Mar 2020	IR	48.26258	Asia/Tehran	excellent
41.85059	05/25/2014, 00:00:00	US	-87.882	America/Chicago	excellent
23.0072	2013-07-09	CU	-82.4017	America/Havana	maitennce
3.8801	2016-09-30	CO	-77.03116	America/Bogota	good
22.49396	08 May 2016	MX	-105.36369	America/Mazatlan	excellent
10.66668	19 Jan 2015	TT	-61.51889	America/Port_of_Spain	excellent
51.04962	01/13/2014, 00:00:00	DE	12.1369	Europe/Berlin	accep
50.71229	23 Mar 2022	BE	4.52529	Europe/Brussels	accep
37.71715	2019/05/24	US	-122.40433	America/Los_Angeles	building
42.50729	2015-02-14	AD	1.53414	Europe/Andorra	accep
32.35126	06 Sep 2013	US	-95.30106	America/Chicago	excellent
39.22493	12/13/2020, 00:00:00	TR	42.85693	Europe/Istanbul	average
42.93369	07/20/2016, 00:00:00	US	-72.27814	America/New_York	good
40.66482	2020/02/03	CN	122.22833	Asia/Shanghai	good
53.94313	2018/01/07	DE	10.30215	Europe/Berlin	excellent
43.54072	31 Mar 2020	US	-116.56346	America/Boise	good
42.06166	22 Jan 2020	ES	-1.60452	Europe/Madrid	good
11.86064	10/21/2016, 00:00:00	NG	9.0027	Africa/Lagos	average
37.35813	2020/09/20	ES	-6.03731	Europe/Madrid	average
43.32686	2020/11/23	ES	-2.98884	Europe/Madrid	accep
48.35693	2017-09-06	DE	10.98461	Europe/Berlin	excellent
33.43443	12 Mar 2014	MA	-5.22126	Africa/Casablanca	good
20.88098	2022-02-06	IN	75.11937	Asia/Kolkata	maintenance
38.07789	29 Aug 2020	IT	13.44275	Europe/Rome	excellent
14.62578	2016-04-15	PH	121.12251	Asia/Manila	average
23.49668	22 Oct 2020	IN	86.68363	Asia/Kolkata	accep
43.83125	2022-03-21	FR	5.03586	Europe/Paris	accep
33.54428	2012/11/13	US	-84.23381	America/New_York	accep
55.25	2016-01-15	LT	24.75	Europe/Vilnius	building
48.98693	2018/10/07	FR	2.44892	Europe/Paris	average
40.60538	2022/09/27	US	-73.75513	America/New_York	excellent
12.18441	2018-03-17	TD	18.69303	Africa/Ndjamena	good
41.63976	06/05/2017, 00:00:00	ES	2.35739	Europe/Madrid	good
47.4943	07 Aug 2021	US	-122.24092	America/Los_Angeles	average
37.65181	03 Jun 2018	CN	120.33063	Asia/Shanghai	building
55.8736	09/25/2016, 00:00:00	RU	85.4265	Asia/Novokuznetsk	excellent
48.79325	11/26/2020, 00:00:00	FR	2.29275	Europe/Paris	building
49.07866	2017/03/27	UA	30.96755	Europe/Kiev	average
46.08333	2020/05/05	CN	122.08333	Asia/Shanghai	maitennce
10.20898	02/08/2018, 00:00:00	PH	123.758	Asia/Manila	building
38.13708	2015/03/15	TR	41.00817	Europe/Istanbul	building
31.82539	07/19/2021, 00:00:00	PK	72.54064	Asia/Karachi	average
25.87972	04/05/2015, 00:00:00	MX	-97.50417	America/Matamoros	average
-22.45667	07/08/2013, 00:00:00	BR	-47.53028	America/Sao_Paulo	good
51.38673	2019-09-07	GB	0.30367	Europe/London	excellent
40.87329	06/10/2015, 00:00:00	IT	14.43865	Europe/Rome	average
-19.65	02 Jan 2020	MG	47.31667	Indian/Antananarivo	maintenance
33.98154	2018-07-13	US	-81.23621	America/New_York	building
43.35071	2017/08/25	RU	46.10925	Europe/Moscow	maintenance
34.21639	2019/02/07	US	-119.0376	America/Los_Angeles	accep
0.49113	19 Jul 2014	CD	29.47306	Africa/Lubumbashi	accep
41.09246	2013/11/17	AZ	45.36561	Asia/Baku	accep
5.20856	2018-07-10	CO	-74.73584	America/Bogota	accep
40.65995	13 Mar 2019	US	-111.99633	America/Denver	good
26.91756	2018/09/12	US	-82.07842	America/New_York	accep
5.4709	2015-04-15	MY	100.24529	Asia/Kuala_Lumpur	average
22.75218	2021/02/06	IN	72.68533	Asia/Kolkata	accep
10.20898	2020/03/02	PH	123.758	Asia/Manila	excellent
20.88953	15 Nov 2014	US	-156.47432	Pacific/Honolulu	excellent
-7.73379	12/20/2020, 00:00:00	ID	113.69785	Asia/Jakarta	average
-1.6	01 Sep 2013	ID	103.61667	Asia/Jakarta	excellent
15.46063	2020-07-29	TH	99.89166	Asia/Bangkok	good
50.23805	10 Jul 2021	DE	8.86704	Europe/Berlin	building
18.87813	2018-02-24	IN	72.93924	Asia/Kolkata	average
47.30997	2018-08-17	CH	8.52462	Europe/Zurich	excellent
-23.44361	17 Apr 2013	BR	-51.87389	America/Sao_Paulo	excellent
44.97639	2019-01-10	RS	19.61222	Europe/Belgrade	excellent
40.98894	2020-07-27	TR	28.67582	Europe/Istanbul	excellent
18.65297	22 Mar 2019	HT	-72.09391	America/Port-au-Prince	good
19.04222	01 Feb 2022	MX	-98.11889	America/Mexico_City	building
31.96258	2021/08/25	PK	73.97117	Asia/Karachi	accep
50.82882	11/06/2020, 00:00:00	GB	-0.32247	Europe/London	average
-10.33333	2022/03/12	TZ	39.28333	Africa/Dar_es_Salaam	accep
22.98212	04/21/2016, 00:00:00	CU	-80.58556	America/Havana	accep
23.18	2021/07/10	IN	88.58	Asia/Kolkata	accep
12.25282	2017-07-23	IN	79.41727	Asia/Kolkata	good
33.86419	19 Jun 2016	IR	48.26258	Asia/Tehran	building
40.70995	11/02/2015, 00:00:00	ES	0.57856	Europe/Madrid	building
58.1908	04/13/2017, 00:00:00	RU	40.17171	Europe/Moscow	average
17.94979	11/01/2016, 00:00:00	MX	-94.91386	America/Mexico_City	good
34.61667	2018/02/11	JP	135.6	Asia/Tokyo	average
2.41669	2014-08-06	UG	30.98551	Africa/Kampala	average
48.49144	09/02/2016, 00:00:00	DE	9.20427	Europe/Berlin	good
3.8801	02/24/2017, 00:00:00	CO	-77.03116	America/Bogota	excellent
-7.51611	2021/07/26	ID	109.05389	Asia/Jakarta	maintenance
41.77583	2021-04-30	JP	140.73667	Asia/Tokyo	maintenance
-34.64167	2014-12-24	AR	-60.47389	America/Argentina/Buenos_Aires	maintenance
41.85059	06/05/2021, 00:00:00	US	-87.882	America/Chicago	average
42.819	23 Jul 2021	RU	47.1192	Europe/Moscow	good
-4.42472	25 Oct 2016	BR	-41.45861	America/Fortaleza	good
23.02677	2020/01/09	CN	113.13148	Asia/Shanghai	average
3.8801	2013-07-12	CO	-77.03116	America/Bogota	building
51.168	2020-12-09	DE	7.973	Europe/Berlin	excellent
52.31333	07/21/2013, 00:00:00	NL	6.92917	Europe/Amsterdam	good
6.84019	11 Dec 2021	LK	79.87116	Asia/Colombo	excellent
30.75545	2020-12-10	LY	20.22625	Africa/Tripoli	accep
-22.45667	08 Apr 2021	BR	-47.53028	America/Sao_Paulo	good
48.98333	10/31/2018, 00:00:00	FR	2.61667	Europe/Paris	good
33.76446	2022-09-17	US	-117.79394	America/Los_Angeles	excellent
60.2052	26 Feb 2021	FI	24.6522	Europe/Helsinki	average
23.15678	10/23/2013, 00:00:00	CU	-81.24441	America/Havana	good
36.72544	2015-12-20	DZ	3.55665	Africa/Algiers	building
-31.4488	2022/04/02	AR	-60.93173	America/Argentina/Cordoba	good
18.03496	21 May 2015	PR	-66.8499	America/Puerto_Rico	good
40.56754	05 Apr 2013	US	-89.64066	America/Chicago	average
13.65805	08 Jan 2022	KH	102.56365	Asia/Phnom_Penh	average
53.53395	2016/07/01	RU	33.72798	Europe/Moscow	maintenance
41.20485	27 May 2015	PT	-8.33147	Europe/Lisbon	average
34.25628	04/15/2013, 00:00:00	US	-78.04471	America/New_York	excellent
23.1959	08/07/2015, 00:00:00	IN	86.51499	Asia/Kolkata	excellent
57.97472	2018-10-24	RU	33.2525	Europe/Moscow	building
39.96097	08/23/2014, 00:00:00	US	-75.60804	America/New_York	average
23.9028	2017-08-28	BD	89.11943	Asia/Dhaka	good
53.83333	23 Nov 2018	GB	-2.98333	Europe/London	average
48.15659	04/01/2014, 00:00:00	MD	28.28489	Europe/Chisinau	good
43.11667	2021-07-18	FR	1.6	Europe/Paris	average
46.32313	09 Mar 2013	FR	-0.45877	Europe/Paris	good
23.02677	01 Oct 2015	CN	113.13148	Asia/Shanghai	excellent
42.64685	2016-03-21	ES	-5.55835	Europe/Madrid	good
