CFCs	H2CO	warning	TEMP	PM2.5	C2H3NO5	CH4	PRES	SO2	O3	latitude	PM10	PAHs	Pb	NOx	CO	longitude	NH3
61.74030	38.03440	1.00000	17.21861	7.23265	0.12958	6.64291	1081.82526	5.88784	5.57940	40.81	8.92836	9.00088	63.19780	5.51915	8.23916	-73.9625	10.89041
78.43326	89.40628	1.00000	34.54626	7.22217	0.09760	7.66513	1195.42776	3.84031	8.68934	28.54944	8.72248	7.45051	73.70887	7.67094	8.21029	-81.77285	12.52857
86.27916	53.54059	1.00000	16.98911	4.84924	0.04208	8.78746	1075.07907	8.06586	8.67046	42.28639	7.59594	8.91120	51.98815	4.94052	3.94390	18.84	4.74367
70.55331	26.75592	1.00000	16.08343	5.08539	3.52637	8.00461	1075.40659	6.64404	8.15426	36.24624	12.50734	8.68359	59.21253	7.29568	9.02276	139.07204	11.31902
66.85952	57.61825	0.00000	12.10214	7.98230	0.05215	6.86341	1078.53495	9.94167	8.74511	41.14676	7.96833	8.20789	52.35879	13.26597	6.81766	-73.49484	8.93120
87.03067	36.56366	0.00000	17.18458	12.53418	0.01555	9.78545	1069.79130	10.92688	7.61173	50.64336	4.77219	7.88756	85.11202	6.66278	9.02555	7.2278	6.42227
71.95640	50.42953	0.00000	8.77816	7.49115	0.09166	9.02856	1117.79621	8.44741	8.02750	45.4473	8.69444	10.44998	33.11942	9.33605	8.21034	-73.75335	10.66014
79.03831	60.73077	1.00000	2.76377	8.54574	0.04295	7.64563	1065.29082	8.67599	8.77422	23.15678	6.74515	8.71745	26.86758	8.49643	5.81749	-81.24441	8.34546
62.40405	72.79569	1.00000	5.59291	4.75789	0.39696	8.11741	1064.80255	7.82666	7.93658	35.815	10.30457	9.66112	59.12256	6.17086	6.58524	139.6853	7.51457
61.78130	36.74572	0.00000	14.03457	10.07513	0.03090	9.20605	1101.76386	9.69230	8.98354	15.46063	5.82648	8.92018	35.06274	7.52019	6.36263	99.89166	6.65381
88.91226	54.77163	1.00000	10.25465	6.38662	0.28267	7.19467	1140.82134	9.82812	7.85145	45.0408	9.88633	9.43619	47.64815	9.98912	8.56372	-93.263	9.53143
62.22603	37.02996	1.00000	10.24549	3.84395	0.15116	8.51226	1178.15058	6.66706	8.11923	-20.87306	9.21838	7.61225	35.27820	9.75691	10.36149	-48.29694	11.33706
89.93611	33.34466	0.00000	8.08770	9.75030	0.06264	8.43891	1099.91146	10.07305	8.92183	26.11527	8.17988	6.68496	62.34865	10.40769	8.02497	86.59509	7.72712
72.73668	52.90382	0.00000	18.02284	10.27917	0.03747	9.44839	1060.84240	9.02399	8.08367	23.5654	7.01476	6.48759	55.01834	7.29307	4.57449	119.58627	7.65409
74.96755	45.92329	0.00000	7.15454	4.75677	0.02104	7.92006	1083.51339	10.90267	8.53884	53.63333	5.65870	6.56120	45.79167	8.96694	5.43770	9.85	10.88854
82.31646	45.75866	0.00000	38.96061	7.40854	0.04985	7.22710	1078.57544	9.85428	8.78692	45.99194	7.56769	7.71024	47.72059	10.34405	7.99965	29.41824	10.04910
76.84835	46.07725	1.00000	28.64137	8.82344	0.49507	8.36092	1078.27870	11.13466	8.12206	10.58806	10.49884	10.04308	49.05536	10.06122	9.96782	77.24779	10.88170
79.57440	47.35201	1.00000	21.01463	7.39561	0.03944	9.17074	1088.36976	6.27608	10.05981	40.98894	6.99418	9.72808	30.26882	3.95124	6.16234	28.67582	9.04908
62.29202	62.71117	1.00000	13.09781	5.73791	0.13364	9.43204	1109.58355	8.04146	8.64465	44.35056	9.00181	6.46069	46.28156	7.62497	4.90348	142.45778	6.32604
73.46733	51.62822	1.00000	3.92630	10.00081	0.07969	8.29354	1156.53630	6.73181	8.92115	50.09019	8.39369	9.92932	75.13252	5.86528	8.06059	8.4493	11.97552
76.85779	49.56967	1.00000	16.20479	11.87213	0.49933	8.98165	1154.53459	12.88856	9.05704	51.47805	10.51750	8.02112	26.40933	9.39370	8.85489	6.8625	7.42193
71.35727	40.91540	0.00000	9.04644	8.01087	0.07678	8.80701	1129.90459	10.02320	10.45422	41.24255	8.40712	8.53627	45.10874	12.79669	8.21706	-82.61573	10.07645
62.70079	55.48937	0.00000	45.10888	9.59766	0.06164	8.40001	1140.16255	10.16666	8.42664	41.91886	8.29867	9.27061	36.21296	10.85993	8.98054	8.73812	7.61116
67.33233	35.18886	1.00000	13.97564	6.36747	0.14887	8.30634	1189.25557	8.55231	8.12801	61.78491	9.09305	9.57599	71.84329	8.55412	9.14516	34.34691	8.87063
75.37868	68.45526	0.00000	7.31708	6.90378	0.03413	8.33534	1139.65434	10.07629	7.71488	17.34769	6.86882	8.50566	35.78624	11.99927	7.86358	78.55757	10.97568
72.93569	69.99213	0.00000	19.02577	7.95006	0.03667	7.61536	1079.48008	8.43753	7.23589	9.57046	6.34237	8.78514	65.84004	11.92101	8.98954	76.32756	8.60682
71.81235	60.01116	1.00000	4.57241	7.97357	0.06829	6.92510	1193.23043	5.26245	6.34112	36.76775	8.21396	7.68377	81.10821	6.40565	7.46505	2.95924	11.30266
80.14086	55.04717	0.00000	9.45083	4.74986	0.03599	9.34269	1186.62762	9.91634	8.79409	41.75338	7.32806	7.15277	57.35873	8.66036	5.80186	-86.11084	10.78803
68.63255	83.25106	0.00000	8.06473	12.44901	0.09165	8.13124	1077.76404	11.71846	7.48305	31.28092	8.67977	8.94242	59.10356	8.99060	10.99970	74.85849	7.97849
65.96790	37.64498	1.00000	17.07905	8.08441	0.51732	6.96210	1092.73195	6.55404	9.16135	42.30865	10.56284	8.14405	48.68135	8.53428	8.48697	-83.48216	11.72202
76.64424	49.86126	1.00000	17.73197	6.64738	0.51030	10.16223	1098.27101	10.26430	8.63940	-27.50578	10.53597	9.68020	54.89830	6.79359	4.74776	153.10236	6.65795
79.45027	33.83907	1.00000	30.30238	7.88613	0.52071	9.60644	1143.19989	10.90880	7.71133	-22.57306	10.53843	8.81193	43.39442	12.19494	9.59409	-47.1725	12.02455
64.59774	58.66249	1.00000	16.27422	6.98328	0.04528	7.57525	1139.95183	4.85906	8.54149	23.73333	8.07590	8.25853	53.92846	4.13356	7.79069	114.68333	11.59044
66.68270	55.93430	1.00000	21.68419	9.16723	1.90750	9.46912	1138.01750	9.70032	9.08093	4.73245	11.88842	8.21258	33.68587	7.33300	12.90387	-74.26419	7.49947
72.50750	67.99963	1.00000	19.01521	3.90591	0.06295	7.80270	1098.80259	6.40797	10.03397	41.91886	8.18378	9.22214	60.76411	6.01932	4.87800	8.73812	5.93363
62.90890	40.54470	0.00000	26.87603	5.89676	0.04663	8.67105	1082.22345	11.77928	6.74004	47.46657	7.23809	6.92823	66.40256	13.40029	6.61245	84.87144	10.66419
76.75815	52.95082	0.00000	28.84703	6.04855	0.02387	7.69601	1175.50044	11.37243	8.75228	-10.95817	6.06814	9.10242	57.15483	9.43331	6.68631	-38.79084	10.00019
65.29501	52.79088	0.00000	21.54653	10.99108	0.08081	9.44510	1164.30335	9.63149	8.62177	44.31771	8.38643	7.32713	46.22821	11.73366	7.46663	9.32241	8.09400
77.29445	79.78355	0.00000	2.28098	8.77283	0.02751	8.98502	1088.37867	9.55250	10.60783	41.57721	6.55781	9.70746	47.75930	9.28855	6.30238	-93.71133	6.60518
74.62640	71.80486	0.00000	20.37573	7.14818	0.04694	7.12536	1163.37981	9.24112	6.53017	39.08367	7.80415	8.92230	50.61078	8.52736	8.48378	-84.50855	10.81426
80.47202	57.10109	1.00000	11.75414	8.71246	0.42788	7.56011	1133.58271	10.00101	8.30817	42.8139	10.35651	10.32154	49.78916	10.43026	11.13947	-1.64295	10.53450
71.69585	56.37226	0.00000	5.84915	10.97947	0.03630	7.44560	1075.77822	8.13388	6.89437	19.32889	7.06560	9.58137	40.55577	9.01187	9.58141	-99.32556	7.81621
70.01714	53.74318	0.00000	37.31701	5.92430	0.12149	8.73322	1109.11001	8.44473	7.88776	35	8.86919	8.49473	48.32481	9.41575	7.86308	136.51667	12.60294
86.57531	65.17239	0.00000	28.12682	9.45822	0.11023	9.72120	1059.82424	7.45987	8.02200	33.44872	8.76785	7.06139	56.28396	10.28820	10.14429	-86.78777	10.97766
70.06212	46.42297	0.00000	-7.63558	6.84273	0.03771	6.02882	1172.28751	8.27636	6.78900	47.76232	7.69460	7.69002	52.65918	7.14412	7.82116	-122.2054	11.05911
78.21248	40.47852	0.00000	16.62775	3.89263	0.05273	7.74674	1199.90426	11.26538	10.36132	39.43534	7.80481	10.00760	60.79664	10.78863	4.58311	-84.20299	9.98760
71.94856	51.11595	0.00000	7.08413	6.28792	0.01985	8.69823	1146.80825	10.36579	8.48249	-8.28333	6.36664	7.94258	40.14829	9.94672	6.56571	-35.03333	10.23812
68.08045	46.31511	1.00000	5.47160	9.35301	1.49539	7.58440	1083.31484	11.35797	7.68768	11.86064	11.63821	7.39316	49.70167	11.36389	10.86643	9.0027	9.09989
80.96276	47.13157	1.00000	-2.44453	6.34712	0.03348	7.60496	1055.53968	7.93699	8.80920	42.8334	7.18591	8.39434	16.29639	8.38527	9.20889	-80.38297	12.37340
69.67934	49.28578	0.00000	8.45357	6.32151	0.23566	8.69205	1100.35508	7.87725	7.48845	52.09	9.68034	7.06890	43.86881	9.49929	9.04557	5.23333	13.17918
80.91577	50.70885	1.00000	13.12667	9.82402	1.05176	5.61385	1060.34213	11.39434	9.12273	-2.68333	11.27948	8.51705	55.93803	7.71866	10.05979	33	7.54731
82.51223	57.96027	0.00000	9.20875	9.01210	0.07270	8.62059	1080.86742	8.92811	9.30937	40.65995	8.41820	8.31210	33.34378	10.93444	11.49210	-111.99633	13.14793
73.59077	62.43364	1.00000	-4.84873	8.65676	2.39262	9.65631	1136.96514	9.89197	8.66675	37.31065	12.11468	8.00087	45.27377	8.98240	13.07021	13.57661	9.30046
72.09095	64.62004	1.00000	9.25113	10.13953	0.54683	10.15638	1058.49578	10.49705	8.39357	33.95015	10.61750	8.67099	83.77997	8.35213	12.60182	-118.03917	9.02482
64.99639	64.55557	1.00000	17.20517	8.90525	3.84345	8.24140	1143.95797	11.12344	8.90070	37.95143	12.59163	9.25939	33.71645	10.01688	12.49025	-91.77127	10.01387
69.25636	54.86674	1.00000	28.24118	8.11398	4.80317	7.72904	1095.55645	9.30274	8.49405	14.37395	12.81465	7.87710	57.35447	9.62133	14.43587	100.48528	10.40839
75.50894	37.59169	0.00000	15.50787	7.02933	0.05044	9.24374	1078.18215	9.70903	10.04898	54.8421	7.28320	8.16750	42.21777	8.89408	8.47774	46.5813	11.45294
65.51701	51.47235	0.00000	25.28818	8.21027	0.03183	10.03069	1159.38145	10.38491	8.51951	24.28859	6.53397	6.65407	58.79856	9.29929	7.51743	116.11768	8.71319
64.38170	63.84748	1.00000	15.20727	8.47293	0.08386	7.80306	1157.01371	8.76375	10.27060	23.9028	8.46515	8.56377	27.83642	9.08275	11.96565	89.11943	11.26621
79.25182	38.46307	0.00000	2.09253	6.87972	0.00824	7.03269	1163.51711	10.27620	10.09134	-0.35817	5.86429	7.40537	57.43254	7.58698	7.85228	42.54536	10.17570
73.37055	41.72093	0.00000	19.55613	10.53757	0.03177	6.70601	1163.53994	9.77747	6.65235	20.88098	2.87667	9.10552	53.59995	6.90957	8.42689	75.11937	6.63085
73.97496	32.61412	1.00000	5.24339	7.43435	0.20337	8.69638	1098.46962	10.14365	8.60237	45.99194	9.58696	9.49882	30.19958	10.50029	10.27538	29.41824	10.84125
64.96053	66.92346	0.00000	8.96067	8.41597	0.04389	7.38460	1185.63504	9.66585	8.80277	30.76468	7.15860	9.63187	36.79189	10.79927	7.64924	74.12286	8.16877
70.53351	68.06117	1.00000	26.85880	10.85093	0.43688	9.22886	1148.34894	6.86658	6.28738	34.31	10.39150	9.16075	59.86032	10.95728	8.55982	-2.16	13.00322
78.04021	63.57495	1.00000	16.84723	6.18249	0.13979	7.98528	1139.23239	7.36149	7.43382	48.52961	9.12762	9.17405	32.19639	4.30734	6.60688	12.16179	8.95064
70.66677	43.61541	0.00000	25.79177	12.19455	0.01576	7.50123	1197.90134	9.23148	7.70105	8.43333	6.33165	8.17750	68.90302	10.28863	6.93666	99.96667	7.49254
90.09145	38.81672	0.00000	16.84172	9.36789	0.05450	7.06249	1180.57730	9.65344	7.54495	47.83333	7.80016	9.83026	29.30024	8.47117	4.65367	59.6	6.48831
75.48428	77.54137	0.00000	5.48463	7.39402	0.02876	9.39093	1149.82778	9.82615	7.03888	18.42745	6.65653	8.02551	59.41433	8.93105	7.20208	-67.15407	9.61843
61.67260	57.62832	1.00000	26.81470	8.78766	0.09775	7.88650	1120.81636	5.24409	9.36743	37.65181	8.69856	9.43730	62.33210	9.24092	6.79825	120.33063	11.66575
77.17134	52.00215	0.00000	9.78546	8.70902	0.09070	7.38557	1090.06890	9.91470	7.36771	-4.26613	8.69908	7.07056	56.08134	8.65918	5.53699	15.28318	7.18117
75.52273	85.19889	0.00000	18.01645	11.26292	0.02752	9.22565	1087.98613	9.26274	8.65770	28.15112	3.46735	8.19032	63.28255	7.57398	8.02103	-82.46148	6.91194
75.94588	43.92567	1.00000	0.57584	7.01445	0.36759	8.57951	1081.81076	8.86593	9.71910	19.04222	10.21119	9.69047	70.12250	10.36940	10.96554	-98.11889	9.92465
69.90256	50.53850	1.00000	19.68337		0.11242	8.57212	1060.13693	7.20333	8.75737	37.65181	8.93853	9.45883	50.65198	8.68724	6.58581	120.33063	12.00651
77.88229	47.96382	0.00000	8.39814	4.99075	0.27979	8.60879	1123.42450	9.74994	8.16744	3.31332	9.85934	9.28460	56.65743	10.69724	7.10351	117.59152	11.74646
72.20806	46.03280	1.00000	9.43809	6.54627	1.18221	7.68716	1145.57816	6.27941	8.38466	54.52156	11.40904	6.99537	45.06533	6.79006	9.66316	9.5586	12.10089
77.48619	38.76697	1.00000	7.22975	9.36510	0.07992	6.73614	1189.85941	9.22960	9.93420	25.80565	8.34607	8.48467	35.21035	5.85632	10.40018	68.49143	8.67705
72.24332	36.41654	0.00000	14.49254	4.85880	0.14193	8.49970	1116.47304	9.93194	8.48581	20.88953	9.10546	7.29063	70.98108	9.68663	7.50897	-156.47432	12.64277
57.33764	56.02344	1.00000	21.57506	7.86102	0.27240	8.96250	1154.69387	11.88187	7.32501	48.07667	9.84125	7.94507	61.54575	11.08305	6.12617	8.64409	8.55801
70.40706	81.73831	1.00000	14.80600	6.66482	0.02607	8.17238	1097.61290	9.42864	5.74965	12.74409	6.58103	6.92127	46.58521	9.25690	7.23345	-8.07257	9.72577
59.73410	37.49098	0.00000	17.25589	12.40791	0.02813	9.90319	1060.82491	10.33441	8.79402	33.4425	4.58547	7.55436	68.66899	8.50322	8.27032	129.96972	5.70771
57.78628	49.91333	0.00000	15.26855	6.94248	0.01988	8.64732	1060.17576	10.40568	7.85687	-19.72806	5.30038	8.21389	36.93969	6.21805	5.61061	-50.19556	7.49912
69.02386	60.97789		8.81951	4.88837	0.32639	7.20358	1114.55287	8.10512	8.61656	36.27462	10.08239	8.77739	55.52180	8.24351	6.05826	4.85668	6.02622
76.97523	26.82899	0.00000	21.20471	10.79407	0.02359	8.98189	1188.32007	10.06896	9.13331	48.21644	5.80831	9.03573	0.16433	8.33392	6.12904	9.02596	5.62821
69.07936	36.87421	1.00000	8.35448	3.19454	1.04324	8.50944	1067.83414	8.44567	7.85928	40.60538	11.26801	7.77887	49.80783	10.20732	10.43760	-73.75513	9.00863
89.62901	47.40634	1.00000	4.72526	6.91072	0.32470	9.85201	1134.64849	7.08727	8.41367	50.72043	10.03426	7.84884	36.71579	8.09777	7.41625	11.34046	9.42438
61.47963	60.54295	1.00000	21.95581	5.71398	1.22842	6.59308	1134.25395	10.18452	9.42680	61.72744	11.43273	8.73402	46.07358	9.94462	10.14315	17.10558	9.87954
83.35437	57.28771	0.00000	23.02224	5.16939	0.02218	10.48652	1127.11327	10.53599	9.34450	14.62578	5.97864	8.29309	45.30824	10.01559	4.00865	121.12251	8.10006
72.30674	49.22105	1.00000	23.40574	7.10269	0.03873	8.82926	1144.09180	9.69015	7.87749	-7.01833	7.20805	7.69864	29.27308	9.60162	7.57109	107.60389	10.05237
82.42170	46.11798	1.00000	5.64655	3.92129	0.19000	7.36313	1056.61915	5.64105		36.20829	9.40675	6.45557	60.31402	4.70824	6.75684	-115.98391	8.90091
62.34341	32.37392	0.00000	14.50642	6.46001	0.13173	8.76719	1139.53454	8.75219	7.38352	24.41288	9.07008	8.68281	67.34645	9.03776	8.34496	76.56719	11.70267
79.16442	34.18586	1.00000	10.49843	6.12468	0.04730	6.38543	1076.53699	9.40321	9.81845	58.04254	7.97189	9.39167	49.25207	8.25435	7.72593	65.27258	9.93860
65.97712	57.63659	0.00000	6.02045	9.97003	0.02287	8.56118	1058.59822	7.40739	6.91806	18.00747	4.70211	9.28820	54.69265	9.22393	3.04924	-76.78319	8.02622
71.20969	56.00502	1.00000	-3.00952	5.52441	0.13142	8.07581	1155.34085	8.11321	10.19723	37.95143	9.02393	6.96763	53.10449	11.02650	9.23963	-91.77127	10.37635
73.10220	64.92620	0.00000	6.47646	7.68766	0.05887	9.53690	1064.22305	9.58878	7.33324	48.35693	8.05356	6.44480	32.54233	8.68951	8.95250	10.98461	10.94289
65.19393	50.07869	0.00000	7.68834	8.36433	0.03255	6.96441	1090.12794	7.51101	10.78368	11.85	6.15614	7.82589	63.58040	10.56482	5.76704	38.01667	9.11181
71.41804	49.83328	0.00000	19.09867	11.06882	0.02347	8.10645	1173.37889	10.18672	8.58214	35.82756	6.81664	9.03320	47.53647	9.85544	8.42695	137.95378	6.71025
67.28664	71.94003	1.00000	34.43602	6.11496	0.08919	8.49071	1102.23988	8.77633	8.76118	39.71734	8.62097	7.49030	26.92713	5.91818	5.24193	-74.96933	5.90733
77.09001	27.24864	0.00000	9.65995	8.55133	0.13561	8.60951	1060.03919	8.50779	8.62970	-21.42917	9.21558	8.18941	60.35904	12.39997	9.48026	-45.94722	11.87932
61.21166	64.95825	0.00000	7.55746	9.65876	0.11767	9.49950	1093.48220	8.75125	8.10932	55.39485	9.03589	9.69267	41.86796	9.78106	3.81122	43.83992	8.10581
76.55775	62.94715	1.00000	21.66587	10.07701	0.39489	8.62154	1080.38629	8.41100	8.56727	27.92333	10.24429	8.86684	49.76389	8.37547	7.34080	118.53333	11.20324
68.61469	57.65166	1.00000	20.36430	5.37211	0.09900	7.81047	1065.05155	4.67310	6.80485	24.96334	8.77468	9.27093	32.95119	4.47040	8.04670	10.18003	10.82117
76.86207	56.39121	1.00000	13.68740	6.99519	0.05568	7.19675	1191.74545	4.05028	7.28688	32.57756	7.77360	9.26539	78.85458	9.26213	6.46454	71.52847	10.25962
76.24099	69.82058	1.00000	13.47283	8.27676	0.01075	7.53484	1176.17258	9.10551	7.39688	36.65	4.16222	8.20231	70.80333	6.86151	8.44631	138.31667	13.11096
72.03470	42.91585	1.00000	1.13448	2.95119	0.17934	8.17592	1107.83903	5.87704	9.75343	40.67705	9.45329	8.54120	64.19045	5.10387	6.67136	-73.89125	7.39442
76.97443	55.17585	1.00000	30.10751	8.35022	0.50187	9.17919	1140.65338	6.48920	9.83673	48.8765	10.51455	8.43933	42.10386	10.00136	7.92609	2.18967	11.50460
80.11519	45.64903	0.00000	17.15042	7.49404	0.03237	10.60679	1190.33372	9.64133	8.93640	46.67535	7.87500	8.04119	65.88657	10.08794	8.78099	5.55575	11.04253
79.47120	67.55327	1.00000	13.94772	8.32745	0.02333	7.59722	1096.01921	8.05758	9.06072	25.75728	6.53495	8.06510	58.22477	9.05793	7.96149	75.37991	12.12844
64.23830	46.60580	0.00000	-8.19783	7.89287	0.03746	8.34839	1064.86785	9.64114	8.62584	38.91817	6.77098	7.08342	53.69207	10.65646	7.08476	-78.19444	9.35701
76.26159	38.97758	1.00000	17.42500	10.02155	7.66716	7.30304	1121.07532	12.28292	9.08118	9.82564	13.28309	9.01228	52.60533	8.51705		78.25795	6.70851
73.03335	41.43658	1.00000	25.85090	6.97745	0.34272	8.66381	1113.52444	6.43679	8.45002	42.30865	10.12791	8.76224	61.38417	7.42255	7.97604	-83.48216	10.68332
76.62127	49.54190	1.00000	3.21437	5.36386	0.22804	9.08186	1152.26805	9.65632	8.59420	14.62578	9.69159	9.98542	56.68270	11.61623	6.95261	121.12251	8.70564
73.08354	41.44731	0.00000	25.33280	5.47916	0.58070	9.05839	1157.41534	9.32758	7.94674	21.53889	10.68024	6.76665	65.88818	6.23924	6.72120	71.57737	6.78999
