latitude	revision	location	QoS	longitude	station
46.32313	2017/08/09	Europe/Paris	excellent	-0.45877	Niort
43.16547	17 Mar 2022	America/New_York	excellent	-77.70066	Gates-North Gates
42.06166	2017/11/17	Europe/Madrid	building	-1.60452	Tudela
-19.65	2014-06-30	Indian/Antananarivo	good	47.31667	Antanifotsy
53.51684	02/05/2016, 00:00:00	America/Edmonton	maintenance	-113.3187	Sherwood Park
35.89972	2016-08-04	Europe/Malta	accep	14.51472	Valletta
-22.92306	12 Mar 2019	America/Sao_Paulo	good	-53.13722	Loanda
48.8765	16 Apr 2014	Europe/Paris	excellent	2.18967	Rueil-Malmaison
7.06273	07/23/2022, 00:00:00	Africa/Accra	good	-1.4001	Mampong
51.04962	2015-12-04	Europe/Berlin	accep	12.1369	Zeitz
39.12074	2021/07/11	Europe/Istanbul	maintenance	27.18052	Bergama
9.3337	10/29/2018, 00:00:00	Asia/Manila	maintenance	122.8637	Santa Catalina
44.80477	2018/08/07	Europe/Paris	accep	-0.59543	Talence
47.98372	2021-06-23	Europe/Berlin	accep	10.18527	Memmingen
54.03876	07/12/2019, 00:00:00	Europe/Moscow	excellent	43.91385	Kovylkino
53.63333	2018-01-14	Europe/Berlin	accep	9.85	Halstenbek
54.03876	29 Oct 2012	Europe/Moscow	accep	43.91385	Kovylkino
38.68712	2020/08/17	Europe/Madrid	good	-4.10734	Puertollano
40.98894	2013-12-14	Europe/Istanbul	excellent	28.67582	Yakuplu
11.12018	2019/03/21	Asia/Kolkata	average	76.11996	Manjeri
47.90771	21 Mar 2016	Asia/Ulaanbaatar	acceptable	106.88324	Ulan Bator
-19.72806	01/22/2016, 00:00:00	America/Sao_Paulo	accep	-50.19556	Iturama
48.06919	2013/01/16	Europe/Berlin	maintenance	11.37703	Gauting
8.62261	06 Apr 2014	America/Caracas	excellent	-70.20749	Barinas
44.27804	2018-06-21	America/Chicago	good	-88.27205	Kaukauna
51.19139	12 Dec 2012	Europe/Berlin	accep	6.51352	Korschenbroich
27.92333	03/18/2014, 00:00:00	Asia/Shanghai	excellent	118.53333	Pucheng
34.21639	2021/10/21	America/Los_Angeles	excellent	-119.0376	Camarillo
1.6	2014/06/03	Asia/Kuala_Lumpur	maintenance	103.81667	Ulu Tiram
-6.8	28 Apr 2021	Africa/Dar_es_Salaam	good	39.25	Magomeni
45.75279	02 Mar 2021	Asia/Shanghai	accep	130.57211	Boli
-11.48472	2016/02/04	America/Bahia	excellent	-37.93278	Rio Real
45.75279	2016-05-24	Asia/Shanghai	good	130.57211	Boli
34.09611	2012-11-30	America/Los_Angeles	accep	-118.10583	San Gabriel
33.4425	11 Jul 2021	Asia/Tokyo	accep	129.96972	Karatsu
51.40148	03/30/2019, 00:00:00	Europe/London	accep	-1.32471	Newbury
50.09019	2021/07/05	Europe/Berlin	building	8.4493	Hofheim am Taunus
19.8173	03/11/2021, 00:00:00	America/Mexico_City	excellent	-97.35992	Teziutlan
31.64615	2014-10-20	Asia/Shanghai	good	120.74221	Changshu City
26.76628	27 Dec 2015	Asia/Kolkata	excellent	83.36889	Gorakhpur
43.11667	2018-01-08	Europe/Paris	excellent	1.6	Pamiers
20.88953	2015-11-06	Pacific/Honolulu	average	-156.47432	Kahului
51.39323	2014/08/07	Europe/London	good	0.47713	Strood
50.64336	21 Aug 2017	Europe/Berlin	accep	7.2278	Bad Honnef
45.78071	2015-09-29	Europe/Rome	maintenance	12.84052	Portogruaro
42.64031	2015/12/14	Asia/Shanghai	average	125.51176	Dongfeng
18.00747	2013-12-04	America/Jamaica	good	-76.78319	New Kingston
32.5007	31 Oct 2014	America/Chicago	average	-94.74049	Longview
39.96097	2013-04-13	America/New_York	excellent	-75.60804	West Chester
4.94273	2018-01-22	Africa/Bangui	maintenance	15.87735	Carnot
1.6561	2015/05/29	Asia/Kuala_Lumpur	accep	103.6032	Kulai
13.44581	19 Jan 2016	Asia/Bangkok	excellent	101.18445	Phanat Nikhom
47.76232	2021/04/07	America/Los_Angeles	average	-122.2054	Bothell
48.49144	03 Sep 2015	Europe/Berlin	good	9.20427	Reutlingen
34.15429	2021-12-16	Africa/Algiers	good	3.50309	Messaad
13.44581	11/17/2013, 00:00:00	Asia/Bangkok	maintenance	101.18445	Phanat Nikhom
6.15038	2015-08-01	Africa/Lagos	building	6.83042	Nkpor
46.7055	2017/10/23	Europe/Moscow	accep	38.2739	Yeysk
38.06084	2019/12/17	America/Chicago	maitennce	-97.92977	Hutchinson
26.9423	12/17/2017, 00:00:00	Asia/Karachi	maintenance	68.11759	Tharu Shah
-6.91806	2018/07/31	Asia/Jakarta	good	106.92667	Sukabumi
47.76232	07/26/2018, 00:00:00	America/Los_Angeles	average	-122.2054	Bothell
-21.44345	2022-07-15	America/La_Paz	accep	-65.71875	Tupiza
34.61667	2012/10/24	Asia/Tokyo	accep	135.6	Yao
49.07866	08/28/2015, 00:00:00	Europe/Kiev	excellent	30.96755	Zvenihorodka
9.57046	2018-02-21	Asia/Kolkata	average	76.32756	Kalavoor
55.82885	05/17/2014, 00:00:00	Europe/London	average	-4.21376	Rutherglen
10.22677	2016-06-18	America/Caracas	maintenance	-67.33122	La Victoria
53.59782	13 Oct 2020	Europe/Moscow	maintenance	34.33825	Dyat’kovo
48.8449	19 Jun 2022	Europe/Bratislava	building	17.22635	Skalica
55.54028	2014-12-08	Asia/Krasnoyarsk	average	89.20083	Sharypovo
20.28527	2019-02-20	America/Mexico_City	accep	-103.42897	Jocotepec
44.35056	04 Apr 2015	Asia/Tokyo	accep	142.45778	Nayoro
35.50056	03/03/2013, 00:00:00	Asia/Shanghai	average	117.63083	Pingyi
7.83389	20 Jan 2013	America/Bogota	excellent	-72.47417	Villa del Rosario
7.06273	19 Jan 2017	Africa/Accra	excellent	-1.4001	Mampong
25.75728	08/22/2020, 00:00:00	Asia/Kolkata	excellent	75.37991	Deoli
50.72043	29 Mar 2016	Europe/Berlin	average	11.34046	Rudolstadt
20.88098	2019-05-25	Asia/Kolkata	excellent	75.11937	Parola
11.8659	25 Oct 2016	Africa/Khartoum	accep	34.3869	Ar Ruseris
38.37255	2022/08/21	Europe/Istanbul	excellent	34.02537	Aksaray
-2.13404	07/09/2015, 00:00:00	America/Guayaquil	excellent	-79.59415	Milagro
-8.73508	05/11/2018, 00:00:00	Africa/Lubumbashi	average	24.99798	Kamina
-10.95817	2016/07/10	America/Bahia	excellent	-38.79084	Tucano
40.11583	07/17/2019, 00:00:00	Asia/Samarkand	good	67.84222	Jizzax
-34.64966	04/13/2022, 00:00:00	America/Argentina/Buenos_Aires	good	-58.38341	Barracas
27.76056	07/13/2022, 00:00:00	Atlantic/Canary	accep	-15.58602	Maspalomas
48.21644	12/29/2014, 00:00:00	Europe/Berlin	average	9.02596	Albstadt
39.08367	22 Oct 2012	America/New_York	average	-84.50855	Covington
28.88162	09/10/2013, 00:00:00	Asia/Shanghai	average	120.03308	Guli
50.86079	06/30/2017, 00:00:00	Europe/Warsaw	excellent	17.4674	Brzeg
14.62578	06/22/2017, 00:00:00	Asia/Manila	maintenance	121.12251	Antipolo
3.27833	2014-12-29	Africa/Kampala	building	32.88667	Kitgum
40.60538	2015-05-29	America/New_York	accep	-73.75513	Far Rockaway
3.27833	2018/01/24	Africa/Kampala	accep	32.88667	Kitgum
23.1959	09/12/2018, 00:00:00	Asia/Kolkata	average	86.51499	Kenda
25.66795	28 Aug 2022	Asia/Kolkata	average	85.83636	Dalsingh Sarai
-4.26613	2015-03-23	Africa/Brazzaville	excellent	15.28318	Brazzaville
41.75338	06 Nov 2016	America/Indiana/Indianapolis	accep	-86.11084	Granger
43.54072	2020/02/17	America/Boise	excellent	-116.56346	Nampa
-4.16694	2017/07/21	America/Fortaleza	accep	-40.7475	Guaraciaba do Norte
50.26729	17 Aug 2014	America/Vancouver	excellent	-119.27337	Vernon
19.32889	12 Jan 2018	America/Mexico_City	accep	-99.32556	San Lorenzo Acopilco
22.83957	10/22/2012, 00:00:00	Asia/Dhaka	building	91.84128	Manikchari
-34.88422	2020-01-21	Australia/Sydney	accep	150.60036	Nowra
-37.88333	2016/04/07	Australia/Melbourne	good	145.06667	Carnegie
41.55815	06 May 2018	America/New_York	good	-73.0515	Waterbury
32.42067	2017/11/23	America/Denver	building	-104.22884	Carlsbad
12.35275	26 Apr 2021	Asia/Manila	average	121.06761	San Jose
-54.8	01 Nov 2018	America/Argentina/Ushuaia	average	-68.3	Ushuaia
51.95838	04 Mar 2022	Europe/Amsterdam	maintenance	4.47124	Schiebroek
35.06667	08/08/2016, 00:00:00	Asia/Tokyo	excellent	135.21667	Sasayama
41.27194	14 Jul 2017	Asia/Shanghai	maintenance	123.17306	Liaoyang
30.76468	04/20/2017, 00:00:00	Asia/Karachi	average	74.12286	Kanganpur
43.31667	28 Apr 2015	Europe/Madrid	accep	-2.68333	Gernika-Lumo
-5.41667	2021/02/12	Africa/Dar_es_Salaam	accep	38.01667	Chanika
8.35122	2020/07/07	America/Caracas	excellent	-62.64102	Ciudad Guayana
-1.9487	2021-03-07	Africa/Kigali	building	30.4347	Rwamagana
41.57439	01/11/2015, 00:00:00	Europe/Sofia	average	24.71204	Smolyan
40.60538	06/27/2016, 00:00:00	America/New_York	average	-73.75513	Far Rockaway
51.38673	2020-08-03	Europe/London	average	0.30367	Hartley
14.95472	2016/05/23	Asia/Manila	accep	120.89694	Baliuag
51.168	04/01/2017, 00:00:00	Europe/Berlin	accep	7.973	Finnentrop
55.85	08/21/2015, 00:00:00	Europe/Moscow	accep	37.56667	Likhobory
-7.01833	2015/01/30	Asia/Jakarta	average	107.60389	Pameungpeuk
38.55632	2020-03-01	Asia/Dushanbe	accep	69.01354	Vahdat
23.5654	10/31/2019, 00:00:00	Asia/Taipei	accep	119.58627	Magong
51.168	12 Jan 2019	Europe/Berlin	building	7.973	Finnentrop
40.2737	2013-01-20	America/New_York	good	-76.88442	Harrisburg
20.88098	25 Jan 2014	Asia/Kolkata	maintenance	75.11937	Parola
47.46657	2018/02/16	Asia/Almaty	average	84.87144	Zaysan
50.86079	2020/11/23	Europe/Warsaw	accep	17.4674	Brzeg
15.5439	2020-01-17	Asia/Kolkata	building	73.7553	Calangute
10.15031	2022/09/21	America/Bogota	accep	-73.9614	El Copey
4.02219	2013/08/11	Asia/Kuala_Lumpur	maintenance	101.02083	Teluk Intan
45.4473	17 Mar 2020	America/Toronto	maintenance	-73.75335	Dorval
20.74122	2017/01/25	America/Mexico_City	excellent	-100.44843	Santa Rosa Jauregui
55.54028	2020/05/28	Asia/Krasnoyarsk	average	89.20083	Sharypovo
35.50056	2018/03/08	Asia/Shanghai	average	117.63083	Pingyi
53.78333	2020-06-24	Europe/London	average	-1.06667	Selby
32.42067	2019/10/08	America/Denver	maintenance	-104.22884	Carlsbad
28.98002	2019-08-18	Asia/Kolkata	building	77.70636	Meerut
40.37528	2019/09/17	Europe/Istanbul	good	28.88222	Mudanya
51.95838	06/02/2022, 00:00:00	Europe/Amsterdam	building	4.47124	Schiebroek
26.9423	2017/12/16	Asia/Karachi	excellent	68.11759	Tharu Shah
-27.76952	12/03/2018, 00:00:00	Africa/Johannesburg	good	30.79165	Vryheid
42.7392	09/10/2015, 00:00:00	America/Detroit	good	-84.62081	Waverly
-10.90889	2015-04-21	America/Maceio	accep	-37.03861	Barra dos Coqueiros
36.82167	2020/08/12	Asia/Seoul	good	128.63083	Eisen
28.71271	2016/01/02	Asia/Kolkata	building	77.656	Pilkhua
18.00747	2020-06-04	America/Jamaica	building	-76.78319	New Kingston
6.33444	05/19/2014, 00:00:00	Asia/Manila	excellent	124.95278	Tupi
20.88953	2019/04/24	Pacific/Honolulu	good	-156.47432	Kahului
40.82232	06/11/2015, 00:00:00	America/New_York	average	-74.15987	Nutley
38.38479	12 Dec 2016	Europe/Madrid	building	-0.76773	Novelda
37.49223	06 Dec 2013	Europe/Rome	good	15.07041	Catania
53.59782	2022/07/05	Europe/Moscow	excellent	34.33825	Dyat’kovo
21.28306	05/13/2018, 00:00:00	America/Merida	average	-89.66123	Progreso
17.34769	12/30/2019, 00:00:00	Asia/Kolkata	good	78.55757	Lal Bahadur Nagar
19.64745	2014-07-25	America/Mexico_City	accep	-102.04897	Paracho de Verduzco
53.94313	2020/01/15	Europe/Berlin	building	10.30215	Bad Segeberg
32.57756	2013-09-04	Asia/Karachi	maintenance	71.52847	Mianwali
10.15031	2019-06-06	America/Bogota	excellent	-73.9614	El Copey
0.51667	28 Jul 2016	Asia/Jakarta	accep	101.44167	Pekanbaru
-31.25033	01 Jan 2015	America/Argentina/Cordoba	good	-61.4867	Rafaela
50.09019	04/23/2020, 00:00:00	Europe/Berlin	excellent	8.4493	Hofheim am Taunus
27.92333	2015/04/13	Asia/Shanghai	accep	118.53333	Pucheng
14.62072	23 Mar 2014	Asia/Kolkata	excellent	74.83554	Sirsi
51.44889	2017-12-19	Europe/Amsterdam	good	5.51978	Tongelre
50.75	2021-12-24	Europe/Paris	accep	2.25	Saint-Omer
50.06	03 Jul 2020	Europe/Volgograd	good	43.2379	Mikhaylovka
8.62261	2017/12/14	America/Caracas	accep	-70.20749	Barinas
-27.50578	2013-10-11	Australia/Brisbane	excellent	153.10236	Carindale
41.77583	2020-08-21	Asia/Tokyo	excellent	140.73667	Hakodate
15.73628	19 Jun 2017	Asia/Kolkata	average	75.96976	Gajendragarh
-15.21194	2021/04/09	America/Lima	good	-75.11028	Minas de Marcona
18.57677	04/01/2015, 00:00:00	America/Port-au-Prince	good	-72.22625	Croix-des-Bouquets
7.62789	2019-09-12	Africa/Lagos	maintenance	4.74161	Ilesa
26.11527	2020/04/19	Asia/Kolkata	accep	86.59509	Supaul
48.07667	02 Nov 2021	Europe/Berlin	average	8.64409	Trossingen
44.92801	2021/05/10	Europe/Paris	excellent	4.8951	Valence
40.67705	06/21/2018, 00:00:00	America/New_York	excellent	-73.89125	Cypress Hills
51.20219	13 Feb 2014	Europe/Berlin	building	7.36027	Radevormwald
34.77453	2022/01/12	America/Chicago	good	-96.67834	Ada
43.61058	02/09/2020, 00:00:00	Europe/Paris	building	1.33467	Colomiers
26.68451	2015-10-30	America/New_York	good	-80.66756	Belle Glade
30.24706	2018-09-16	Asia/Shanghai	good	115.04814	Huangshi
42.30865	09/10/2018, 00:00:00	America/Detroit	good	-83.48216	Canton
-20.87306	2014-08-10	America/Sao_Paulo	accep	-48.29694	Viradouro
23.5654	2015-04-07	Asia/Taipei	average	119.58627	Magong
54.48147	05/05/2016, 00:00:00	Asia/Yekaterinburg	maintenance	53.47103	Oktyabr’skiy
-25.54073	2021-10-22	Australia/Brisbane	accep	152.70493	Maryborough
10.61285	11 Nov 2019	Africa/Lagos	maintenance	12.19458	Biu
44.22639	2021-06-03	Europe/Belgrade	good	22.53083	Negotin
12.18441	08/05/2019, 00:00:00	Africa/Ndjamena	good	18.69303	Mongo
33.43443	25 Apr 2013	Africa/Casablanca	good	-5.22126	Azrou
12.04161	11/04/2018, 00:00:00	Asia/Kolkata	building	75.35927	Talipparamba
45.35	06/11/2022, 00:00:00	Asia/Shanghai	good	126.28333	Shuangcheng
54.03876	24 May 2013	Europe/Moscow	accep	43.91385	Kovylkino
53.51684	2016-11-18	America/Edmonton	accep	-113.3187	Sherwood Park
55.25	2017/02/19	Europe/Vilnius	accep	24.75	Ukmerge
31.20176	01/21/2022, 00:00:00	Africa/Cairo	good	29.91582	Alexandria
36.75965	2016-07-25	Asia/Tokyo	excellent	137.36215	Namerikawa
-14.66463	09/28/2013, 00:00:00	America/Cuiaba	building	-52.35558	Nova Xavantina
49.03685	10/14/2021, 00:00:00	Europe/Berlin	accep	8.70745	Bretten
37.73604	2021/08/16	America/Los_Angeles	accep	-120.93549	Riverbank
51.30001	2015-01-18	Europe/Berlin	maintenance	13.10984	Oschatz
-19.72806	11/21/2021, 00:00:00	America/Sao_Paulo	average	-50.19556	Iturama
50.7236	2016/05/19	Europe/London	maintenance	-3.52751	Exeter
39.08367	2020/08/06	America/New_York	building	-84.50855	Covington
40.82232	2014-09-24	America/New_York	average	-74.15987	Nutley
32.42067	11/18/2013, 00:00:00	America/Denver	building	-104.22884	Carlsbad
41.92361	2016-08-30	Europe/Skopje	excellent	20.91361	Bogovinje
29.65163	2014/05/20	America/New_York	average	-82.32483	Gainesville
51.03427	05/21/2022, 00:00:00	Europe/Brussels	building	5.37429	Houthalen
14.62072	2016-03-25	Asia/Kolkata	accep	74.83554	Sirsi
26.2173	03/14/2020, 00:00:00	America/New_York	excellent	-80.22588	North Lauderdale
14.67751	2013-07-04	America/Martinique	accep	-60.94228	Le Robert
36.33011	26 Apr 2021	Asia/Tokyo	good	138.89585	Annaka
-28.81833	2014-07-13	America/Sao_Paulo	average	-52.51028	Soledade
32.5007	2015-03-27	America/Chicago	accep	-94.74049	Longview
55.8736	2013/12/20	Asia/Novokuznetsk	excellent	85.4265	Yashkino
36.27462	2020-08-23	Africa/Algiers	accep	4.85668	Bordj Zemoura
33.03699	2021-12-30	America/Los_Angeles	accep	-117.29198	Encinitas
21.53889	10/05/2019, 00:00:00	Asia/Kolkata	good	71.57737	Gariadhar
9.92787	06/12/2020, 00:00:00	America/Costa_Rica	excellent	-84.13722	San Rafael
40.93333	08 Apr 2019	Asia/Bishkek	excellent	73	Jalal-Abad
36.65	2017/04/18	Asia/Tokyo	good	138.31667	Suzaka
6.25947	2015-09-26	Asia/Bangkok	good	102.05461	Tak Bai
34.95303	02 Mar 2021	America/Los_Angeles	excellent	-120.43572	Santa Maria
48.25	04/26/2019, 00:00:00	Europe/Vienna	excellent	16.4	Floridsdorf
27.92333	09/25/2015, 00:00:00	Asia/Shanghai	average	118.53333	Pucheng
41.55815	09 Sep 2015	America/New_York	excellent	-73.0515	Waterbury
32.50611	2013/08/28	Asia/Shanghai	accep	120.14278	Jiangyan
40.98894	2022/08/15	Europe/Istanbul	accep	28.67582	Yakuplu
25.92127	06 Mar 2017	Asia/Kolkata	average	86.79271	Madhipura
39.59611	11 Feb 2020	Europe/Istanbul	maintenance	27.02444	Edremit
12.74409	2015-12-11	Africa/Bamako	good	-8.07257	Kati
37.08819	10/12/2016, 00:00:00	Europe/Lisbon	average	-8.2503	Albufeira
15.45144	24 Aug 2021	Asia/Kolkata	maintenance	78.14797	Betamcherla
50.71229	2020/09/21	Europe/Brussels	average	4.52529	Rixensart
10.58806	2014-05-31	Asia/Kolkata	building	77.24779	Udumalaippettai
21.01858	12/24/2016, 00:00:00	America/Mexico_City	good	-101.2591	Guanajuato
53.63333	2018/02/08	Europe/Berlin	good	9.85	Halstenbek
23.07492	08/21/2021, 00:00:00	Asia/Kolkata	excellent	88.28637	Pandua
46.23899	04/11/2013, 00:00:00	America/Halifax	average	-63.13414	Charlottetown
-6.91806	12/03/2013, 00:00:00	Asia/Jakarta	good	106.92667	Sukabumi
37.13548	2020-07-06	Europe/Madrid	excellent	-3.67029	Las Gabias
37.05944	2016/03/20	Europe/Istanbul	excellent	37.3825	Gaziantep
34.8825	01/14/2013, 00:00:00	Asia/Seoul	accep	128.62667	Sinhyeon
50.64336	23 Jul 2014	Europe/Berlin	excellent	7.2278	Bad Honnef
50.5107	03/28/2020, 00:00:00	Europe/Warsaw	average	18.30056	Strzelce Opolskie
40.5576	17 Oct 2019	America/New_York	accep	-74.28459	Woodbridge
49.03685	14 Sep 2015	Europe/Berlin	excellent	8.70745	Bretten
41.84364	2014/12/13	America/Chicago	maintenance	-87.71255	South Lawndale
-6.8	21 Feb 2019	Africa/Dar_es_Salaam	maintenance	39.25	Magomeni
51.19139	09 Nov 2012	Europe/Berlin	average	6.51352	Korschenbroich
43.83125	2022/08/25	Europe/Paris	excellent	5.03586	Cavaillon
55.75556	12/25/2013, 00:00:00	Asia/Yekaterinburg	accep	60.70278	Ozersk
28.15112	12/26/2012, 00:00:00	America/New_York	excellent	-82.46148	Lutz
18.42745	2017/01/29	America/Puerto_Rico	excellent	-67.15407	Aguadilla
42.30865	2018/06/20	America/Detroit	good	-83.48216	Canton
41.91738	10/02/2017, 00:00:00	Europe/Madrid	maintenance	3.1631	Palafrugell
-12.91667	2013/02/03	America/Bahia	good	-39.25	Muritiba
54.60528	02 Nov 2017	Europe/Warsaw	average	18.34717	Reda
35.82756	13 Nov 2012	Asia/Tokyo	excellent	137.95378	Ina
-54.8	2014-11-30	America/Argentina/Ushuaia	excellent	-68.3	Ushuaia
50.88506	11 Jun 2018	Europe/Brussels	accep	4.07601	Denderleeuw
43.91452	2013-07-19	America/New_York	average	-69.96533	Brunswick
-34.64966	03 Dec 2018	America/Argentina/Buenos_Aires	building	-58.38341	Barracas
48.98333	2013/05/13	Europe/Paris	accep	2.61667	Mitry-Mory
42	2016/03/01	Europe/Skopje	accep	21.32778	Saraj
40.63316	06 Mar 2018	America/New_York	good	-74.13653	Port Richmond
9.57046	2018/07/19	Asia/Kolkata	excellent	76.32756	Kalavoor
40.58654	2015-05-30	America/Los_Angeles	good	-122.39168	Redding
-7.81667	2016-01-28	Asia/Jakarta	maintenance	112.01667	Kediri
37.35813	24 Dec 2021	Europe/Madrid	accep	-6.03731	San Juan de Aznalfarache
36.76775	06/10/2014, 00:00:00	Africa/Algiers	maintenance	2.95924	Cheraga
10.63504	06 Oct 2017	America/Costa_Rica	average	-85.43772	Liberia
26.91756	04 Mar 2016	America/New_York	excellent	-82.07842	Punta Gorda Isles
39.09112	02 Feb 2013	America/Chicago	maintenance	-94.41551	Independence
33.14447	08/09/2016, 00:00:00	Asia/Tehran	average	47.3799	Darreh Shahr
45.53929	2017/12/07	America/Los_Angeles	excellent	-122.38731	Troutdale
48.35693	04/11/2015, 00:00:00	Europe/Berlin	average	10.98461	Friedberg
53.0233	07 Jul 2018	Europe/London	maintenance	-1.48119	Belper
51.03427	2013-05-04	Europe/Brussels	average	5.37429	Houthalen
38.72706	2018/02/07	Europe/Lisbon	building	-9.24671	Carnaxide
24.05979	2013-05-07	Asia/Kolkata	excellent	77.40858	Leteri
17.54907	2015-07-24	Asia/Kolkata	excellent	82.85749	Elamanchili
36.27462	2015-08-30	Africa/Algiers	good	4.85668	Bordj Zemoura
14.95472	2019-04-26	Asia/Manila	accep	120.89694	Baliuag
34.8825	03/10/2016, 00:00:00	Asia/Seoul	average	128.62667	Sinhyeon
31.84568	11 Sep 2014	America/Chicago	good	-102.36764	Odessa
18.00747	2020/10/17	America/Jamaica	good	-76.78319	New Kingston
53.30972	2014/10/20	Asia/Barnaul	good	83.62389	Novosilikatnyy
31.64615	2021/08/25	Asia/Shanghai	excellent	120.74221	Changshu City
-10.95817	2020-06-26	America/Bahia	building	-38.79084	Tucano
43.35071	04 Aug 2022	Europe/Moscow	excellent	46.10925	Gudermes
11.8659	2019/07/03	Africa/Khartoum	good	34.3869	Ar Ruseris
41.1053	2018/05/17	Europe/Lisbon	excellent	-7.32097	Custoias
40.81	2016-02-21	America/New_York	accep	-73.9625	Morningside Heights
21.46527	08 Nov 2021	Asia/Kolkata	average	83.97573	Sambalpur
51.42708	2015-12-28	Europe/London	average	-0.91979	Lower Earley
39.71734	30 Aug 2017	America/New_York	good	-74.96933	Sicklerville
3.7278	08 May 2019	Asia/Jakarta	excellent	98.6738	Labuhan Deli
45.0408	2020-05-21	America/Chicago	excellent	-93.263	Columbia Heights
53.93361	2020-12-09	Europe/Moscow	accep	37.92792	Kireyevsk
