longitude	C2H3NO5	O3	CO	warning	Pb	PAHs	PM2.5	PRES	TEMP	latitude	NH3	H2CO	SO2	CH4	PM10	CFCs	NOx
-77.55777	0.00677	9.13065	8.52836	1.00000	59.48452	10.32220	6.07022	1159.79222	23.06995	37.52487	4.51272	43.06371	9.07255	11.35207	5.10159	51.79066	6.27064
45.36561	0.05512	7.44934	8.72902	1.00000	58.09101	10.33297	8.16298	1172.69987	21.81195	41.09246	6.38823	49.22301	9.20794	8.88072	7.80997	35.33050	6.06402
110.8405	0.01124	7.80234	8.24409	1.00000	36.38254	7.37951	7.47687	1153.36891	16.70364	-6.8048	9.88662	34.67222	10.37022	9.30850	2.82014	34.04058	3.54609
99.1625	0.02389	9.78300	7.41989	1.00000	44.05185	8.96921	7.89895	1063.20227	13.78779	3.3285	8.47211	35.09184	8.20899	10.38171	3.66802	45.66450	4.34907
-1.98956	0.06247	8.19065	7.49787	1.00000	53.95658	10.27636	7.30640	1106.94831	11.21869	5.30383	5.42900	39.91538	10.54931	8.75684	8.03407	70.54446	4.92288
-121.74052	0.10181	7.85569	9.97505	1.00000	54.99173	9.41270	8.27444	1156.10163	25.53464	38.54491	10.49159	53.06857	10.29776	9.50504	8.58887	57.89718	7.74182
104.64992	0.07463	7.43017	6.75499	0.00000	41.46582	8.39786	8.52245	1112.96730	15.43876	14.64056	7.99682	35.45459	5.60966	7.69032	8.22095	43.34595	9.94304
26.01649	0.02048	8.94262	8.10695	0.00000	70.08828	5.28737	8.28074	1060.14471	17.44766	44.43579	7.77159	76.43244	8.05753	4.84843	5.82414	27.55789	11.19448
-69.08333	0.02804	10.49121	9.10337	1.00000	57.73732	10.14394	7.66701	1152.88821	19.13911	-16.25	10.59317	45.26443	9.11679	8.51498	4.67538	47.67312	6.66465
51.0193	0.02418	7.34959	8.33582	1.00000	38.46512	6.72536	7.28354	1071.78920	5.02093	35.6803	10.83462	35.40563	10.35446	10.33208	6.64277	39.53393	5.39172
-87.66561	0.15464	9.26457	8.00024	0.00000	50.77415	5.70457	8.35731	1091.07626	32.04548	41.8542	5.66857	58.58861	8.22954	6.15858	9.22184	58.14156	13.15962
51.3452	0.02964	5.66237	8.27158	1.00000	55.72520	8.55930	7.28814	1181.48781	31.35490	53.37596	8.83178	59.86119	9.44419	9.84447	6.33229	64.23634	5.51474
2.25	0.15146	8.58640	7.55176	0.00000	50.19136	7.20560	9.47884	1071.36359	12.87745	50.75	7.17000	40.23020	6.60115	8.37117	9.23786	65.47251	7.09189
-13.2356	0.02325	8.35975	7.21338	0.00000	88.45484	8.82395	7.78211	1134.57863	14.75598	8.48714	7.61244	16.40085	9.90772	9.80148	6.07089	39.19213	7.52532
0.57856	0.02390	7.81957	7.35082	0.00000	49.82098	8.28921	9.23148	1141.48598	19.94737	40.70995	4.63062	25.26755	9.10888	9.96602	4.54907	51.36869	8.52839
103.81667	0.03222	7.94801	9.24670	1.00000	36.07282	9.54001	7.19777	1051.73810	10.21847	1.6	5.48925	57.86381	8.77765	11.78037	7.11625	65.11125	5.99399
5.51978	0.01986	9.57227	9.17641	1.00000	26.04891	9.48849	7.51127	1169.85817	26.62478	51.44889	10.27708	41.38679	8.75339	8.52399	5.82453	52.28292	6.86008
7.02238	0.11631	8.35722	9.18789	1.00000	46.16405	5.79791	9.36808	1137.99153	-2.33688	52.21099	7.21648	53.50316	10.27330	2.20453	8.90156	50.46001	11.42278
5.22778	0.04181	8.11858	7.86503	0.00000	53.91516	7.07996	9.48796	1158.88506	4.10250	51.955	4.76254	35.70525	12.72063	7.62329	7.64160	49.71813	9.61169
117.33333	0.31904	7.08979	7.65243	0.00000	55.96473	6.35859	8.63710	1083.19783	11.39969	34.85	6.21678	57.05418	7.45755	5.65494	10.00141	39.36239	7.28455
117.59152	0.01373	8.31892	8.79739	1.00000	62.84144	9.45999	7.80351	1136.83877	33.82065	3.31332	5.84299	45.13331	9.91363	12.14482	4.46777	46.20623	9.35138
59.6	0.15544	9.33847	5.88086	1.00000	33.98133	9.98308	7.49202	1181.51350	9.62487	47.83333	7.61412	51.49255	8.63576	7.55972	9.27842	44.35156	5.02618
-73.47429	0.03695	7.25565	6.54908	1.00000	46.61352	12.20087	8.22278	1066.91121	20.17617	40.68066	9.72362	35.33646	9.12748	8.39192	7.24779	66.13851	8.84292
29.41824	0.09393	6.53868	8.24967	0.00000	60.44688	4.69666	6.57871	1166.27158	5.60013	45.99194	6.31241	12.78921	7.34486	8.67744	8.55509	43.17857	8.07626
2.35739	0.03266	8.20208	6.79382	0.00000	45.14969	9.31578	7.65826	1081.42424	5.77644	41.63976	7.10958	56.89889	9.04603	9.61678	4.16951	40.53300	6.21914
65.27258	0.25362	7.26804	9.48062	0.00000	37.08921	7.26056	10.04898	1173.47871	13.30429	58.04254	7.55761	51.18352	7.02509	8.79672	9.77588	56.23277	6.03007
69.01354	0.18030	7.13448	6.92861	1.00000	44.80683	13.20202	10.26797	1052.47384	2.58118	38.55632	8.62890	47.95672	8.87133	7.50623	9.34211	38.03204	9.87712
-78.19444	0.01817	7.33234	10.00318	1.00000	59.20689	9.88363	10.10003	1158.33052	5.05187	38.91817	8.79716	35.97617	9.73752	7.78821	5.97096	42.96920	6.75532
-72.27814	0.03316	9.02368	7.42017	1.00000	31.99056	10.52385	6.50019	1195.22804	15.20016	42.93369	11.71546	50.88992	9.15283	8.62406	7.09225	35.15747	8.23802
-2.16	0.03792	7.56543	7.85108	1.00000	50.86739	10.56319	8.28959	1053.48572	24.24203	34.31	9.31658	32.12613	9.16520	8.40885	7.23118	47.09020	8.21571
79.883	0.06145	7.70782	8.61317	1.00000	59.99611	7.34945	7.61956	1067.98708	25.57002	6.9909	9.38938	64.36717	10.48127	7.78240	7.99235	24.49065	5.07285
117.4831	0.02255	8.24700	8.68092	1.00000	57.92111	9.05473	4.69017	1132.34466	15.10053	27.34089	8.13678	56.06587	9.94790	9.97640	5.08644	74.21427	9.10674
-48.29694	0.14432	8.13482	8.05511	1.00000	30.51048	8.43656		1196.36999	15.18781	-20.87306	7.96296	32.71956	9.72846	8.15390	9.16255	56.29479	4.89659
11.34046	0.03779	8.63382	8.50293	1.00000	34.37732	8.57336	8.53266	1184.29061	13.54797	50.72043	8.44183	43.58061	12.20558	7.99811	6.90495	55.53633	7.46132
30.4347	0.13250	8.87318	9.32053	1.00000	59.48634	6.52675	8.54504	1084.16182	10.89320	-1.9487	9.63114	49.85240	11.63530	6.95638	9.00020	63.73090	3.72136
-67.15407	0.07662	9.45767	8.01326	1.00000	42.35223	10.55364	7.61674	1080.98696	14.12880	18.42745	6.85994	42.38030	9.61530	8.23067	8.24346	59.17818	6.89518
16.50104	0.04666	9.51450	6.90011	1.00000	83.48002	9.73572	6.55262	1120.83257	17.80352	41.24264	10.28440	39.18089	8.93833	9.24652	7.40670	51.86348	7.69826
-89.66123	0.07490	7.90192	7.96095	0.00000	63.57432	9.05611	8.24900	1075.97849	13.81874	21.28306	4.63541	36.36359	7.24069	4.95618	8.32662	56.83193	6.14143
72.34424	0.02236	7.43339	8.64194	1.00000	57.70432	7.73536	8.12070	1120.50209	17.85601	40.78206	6.91198	52.69053	10.27536	11.75002	4.48274	48.61387	7.53761
15.46667	0.02281	8.54704	6.03388	1.00000	25.57425	8.98717	8.27648	1105.96027	8.84203	47.05	6.46021	58.74215	9.19686	11.32778	5.07735	55.59627	7.37081
-61.51889	0.02064	8.13157	9.24982	1.00000	41.73259	10.81260	7.86140	1111.03401	0.62236	10.66668	5.75410	54.93680	8.83162	10.95772	4.32655	55.15779	8.51509
-51.50361	0.02486	8.04034	8.87270	0.00000	39.54566	6.15341	8.00294	1155.18615	6.62416	-29.2975	5.81600	54.12540	11.96551	6.66844	6.23951	60.68124	9.69230
-82.42491	0.02529	8.68569	9.47205	1.00000	34.61485	9.26718	7.94049	1157.96788	26.52505	42.97086	5.43271	56.60060	10.10354	10.36005	6.16614	49.89411	5.03395
13.32127	0.02593	8.38452	9.50165	0.00000	53.06407	6.65500	8.06193	1055.17798	8.44644	52.59319	7.73553	53.43443	11.65907	7.93704	5.00162	51.42785	6.71666
46.10925	0.60207	9.09182	7.44299	0.00000	42.20986	5.73178	10.33361	1063.07137	30.32279	43.35071	6.73461	61.78554	7.11044	6.89542	10.66019	55.40076	7.14750
110.8405	0.03238	8.89056	7.98181	0.00000	49.14536	6.47055	6.10388	1167.21367	18.69885	-6.8048	7.05991	50.86335	8.98462	6.85766	5.22446	35.77128	9.32454
77.0202	0.09003	10.72854	9.58913	0.00000	50.97786	5.56356	8.10516	1050.60170	-4.74525	43.41949	6.05985	69.36270	9.40790	7.03443	8.41691	49.28168	7.70610
15.28318	0.05168	8.06301	7.79239	0.00000	74.73819	7.55044	8.61435	1118.04545	-4.34554	-4.26613	8.74637	45.72730	10.06753	7.04134	7.92245	54.27135	7.28412
103.6032	0.16560	7.29797	7.70844	0.00000	45.03772	7.05007	9.42558	1086.64599	-0.43273	1.6561	5.27808	41.76710	7.39097	5.28368	9.31281	34.64425	7.52012
5.03586	0.25757	8.09415	8.62409	0.00000	57.37360	4.94035	9.32392	1169.61604	3.70803	43.83125	7.24656	47.40962	5.70865	5.98326	9.77245	49.61338	8.07558
42.7125	0.02314	9.21166	7.85191	0.00000	42.42615	6.50079	7.77561	1070.03883	22.95530	11.15583	8.66536	38.06117	7.44836	5.26062	6.66002	70.03502	10.21380
-96.67834	0.09504	8.58558	7.82142	0.00000	56.34676	6.04088	7.63123	1166.61646	20.74795	34.77453	8.59145	44.52342	6.53732	7.28839	8.71670	33.96592	8.48451
37.73333	0.05970	8.15488	8.62032	1.00000	53.64864	10.74790	6.89772	1136.27531	2.95516	-4.06667	7.36356	20.44331	9.69349	8.33765	7.98827	42.70671	8.59524
6.76111	0.01653	7.83052	7.24222	1.00000	59.42955	12.24328	8.52413	1169.79860	6.06947	53.16167	9.77808	67.64058	9.52122	7.53338	5.25301	48.11672	8.06246
59.6	0.03056	8.67913	9.05985	0.00000	52.83490	7.33732	7.42549	1061.74579	26.09854	47.83333	7.58858	34.24874	6.74634	8.16720	5.69110	63.18532	9.03148
73.7553	0.07295	8.58587	8.39732	1.00000	39.39722	9.64846	6.28534	1097.73326	24.57091	15.5439	7.50248	32.02843	8.91418	9.38260	8.18722	33.63881	7.81072
-2.68758	0.05279	9.01810	7.44038	1.00000	47.15898	14.75819	8.55368	1112.54089	-6.44117	53.69786	10.45800	59.98748	8.23301	7.36007	7.69427	43.71112	10.17508
-89.66123	0.04228	7.98664	8.84132	0.00000	43.93856	6.42032	8.12716	1146.57994	-6.67701	21.28306	10.74483	54.10865	9.39620	12.71608	7.77908	58.13964	
-91.06177	0.03507	9.64324	6.65800	1.00000	54.95962	8.53879	7.21209	1098.48919	33.90567	33.41012	7.38714	29.45212	10.31870	10.08655	6.58936	59.90826	7.42471
72.68533	0.11999	8.63813	9.31525	0.00000	50.09863	5.38984	7.63034	1192.99983	-7.42877	22.75218	6.96477	42.67580	8.95218	8.96415	9.06064	51.17839	6.66972
-80.66756	0.02507	9.42109	8.28683	1.00000	47.81324	10.62416	8.20914	1169.16610	21.04366	26.68451	6.99966	47.73587	7.34452	9.98291	7.09796	25.07759	8.35055
35.59642	0.02487	8.12767		1.00000	34.90668	11.18503	9.51792	1175.21724	16.84235	3.11988	9.18957	59.45846	9.43189	10.01224	6.65774	43.08993	7.74668
101.96857	0.26509	7.96429	8.55696	0.00000	37.52581	9.11217	8.45824	1115.17836	-8.26233	4.88441	4.98367	67.17815	5.05775	6.01483	9.81160	69.43470	5.64686
121.12251	0.01918	8.42622	6.87695	0.00000	53.82460	8.00829	8.17364	1100.29825	17.03571	14.62578	5.32323	49.72009	11.31611	7.88379	5.84910	51.58187	8.83289
33	0.01172	7.86573	6.72837	1.00000	55.39464	7.17799	8.13480	1179.52468	1.25881	-2.68333	8.28700	50.62952	10.25488	10.85819	4.88186	33.16326	4.29613
-104.83192	0.05294	9.18042	8.82334	1.00000	44.11731	13.15243	8.83812	1136.65078	10.81402	39.72943	9.82249	36.73878	8.88584	6.62074	7.48540	75.97812	9.73123
144.23058	0.05197	8.43593	8.72194	1.00000	59.88471	9.87696	6.75756	1072.11338	15.04667	-5.85746	6.16601	51.08135	8.12807	12.72146	7.74280	44.02897	6.99987
128.62667	0.01652	8.05251	8.52321	1.00000	55.07203	8.95686	7.60587	1170.22351	12.19510	34.8825	6.47410	76.42391	9.71613	9.84980	6.01885	63.64148	4.96113
31.4976	0.04526	8.34014	9.27300	0.00000	36.78414	5.79702	7.45008	1139.17807	20.28882	26.67319	8.79365	41.45356	9.78035	5.19176	7.83549	56.49160	9.29505
11.04979	0.04837	7.19631	8.42663	1.00000	44.36553	9.65287	7.47404	1127.23867	0.66562	44.59445	11.98914	39.54112	10.66600	8.24522	7.38665	49.99195	7.75599
74.4818	0.06674	8.56367	7.00156	1.00000	43.22607	12.37408	10.09667	1188.76555	11.15472	30.21121	8.75938	29.40737	8.68993	8.91990	8.38780	54.48549	9.04933
8.70745	0.03425	7.32107	7.19203	0.00000	37.30755	6.44868	9.09711	1068.65007	36.48499	49.03685	4.82521	66.28352	13.28977	6.09173	7.12140	43.68958	10.28638
120.5875	0.01689	8.84423	7.73658	1.00000	56.17553	8.56603	6.90102	1088.67914	23.79950	16.455	10.77747	46.94735	10.11437	8.50955	4.47306	40.06956	5.38406
-91.11667	1.18041	7.77139	9.47210	0.00000	53.05169	6.11573	8.95216	1143.79635	6.52908	14.93333	8.15680	38.89106	5.85178	8.81120	11.34893	29.00794	6.30820
-71.05977	0.06933	11.11074	7.73541	1.00000	58.77939	9.04197	7.61562	1119.61781	14.50985	42.35843	7.01462	43.75015	9.99677	8.55571	8.06925	32.70603	4.91826
17.8031	0.02771	6.82216	8.43756	1.00000	68.25999	8.07726	6.92095	1116.35250	12.42769	48.43174	6.23937	30.41155	8.69443	11.52404	3.46279	24.99998	3.75450
30.98551	0.04917	7.93142	8.84061	0.00000	29.19899	6.65786	6.67770	1167.92873	17.23471	2.41669	5.99909	48.67816	9.45405	6.01528		58.85274	10.89193
123.89071	0.03317	8.09128	9.37119	0.00000	36.49355	3.97831	7.43508	1060.55934	19.93303	10.31672	5.88807	52.30510	10.86527	7.55221	5.18398	48.83891	10.89585
-123.02621	0.27107	6.03426	10.99301	0.00000	45.88953	8.21011	9.16748	1091.88962	19.28681	44.99012	6.58069	53.86314	6.61392	6.50266	9.83355	59.41332	6.74648
-100.88023	2.67900	6.92878	7.17469	0.00000	38.35856	6.94148	9.19025	1183.58050	26.23690	20.21322	8.77253	41.96788	4.77018	6.63980	12.18573	65.37359	6.80833
5.51978	0.01517	9.70745	7.95557	0.00000	52.27394	5.73676	6.53871	1065.39100	21.44177	51.44889	7.90565	61.58251	10.33884	6.42001	4.43881	40.41945	8.09062
-87.93341	0.05174	7.59997	9.98609	0.00000	32.35981	7.36641	8.45624	1143.86472	4.94778	42.55308	7.30094	32.11302	6.67843	8.98549	7.85689	63.66231	8.46739
73.85535	0.07640	8.09977	8.05510	1.00000	50.63352	9.21258	7.49323	1135.49673	-12.66078	18.51957	8.50111	58.00916	8.59240	8.31137	8.11810	62.47399	6.33813
4.85668	0.05000	7.56892	6.78943	1.00000	50.43332	11.21696	5.70238	1088.05824	-0.47474	36.27462	8.43884	55.12108	8.78291	8.00405	7.82843	64.65136	8.29286
-2.16	0.06439	7.53968	7.49386	0.00000	44.53751	8.83267	7.16327	1193.78590	16.29551	34.31	6.39163	59.53986	9.69976	7.67516	8.15197	56.25958	9.10497
-1.4001	0.02353	8.78485	7.26190	1.00000	73.18985	9.25367	7.37309	1120.21065	19.13517	7.06273	6.90788	41.29891	10.33416	9.33958	6.85817	43.47561	6.48207
9.72749	0.01943	5.88177	7.93157	1.00000	39.62562	9.72223	7.00865	1061.20934	19.66558	48.28259	8.81066	58.55744	8.69813	9.55035	5.18871	91.68335	6.26388
-96.39774	0.01724	7.69855	5.35764	1.00000	45.47709	11.58062	8.41482	1099.74256	19.03178	30.16688	4.93833	55.73954	8.27889	11.25654	5.19599	49.74549	8.74735
32.6178	0.03261	8.17687	9.77325	1.00000	39.84996	11.40351	7.73705	1051.77310	-10.45332	46.65581	5.99050	52.89234	9.46877	10.09209	6.37582	56.56893	9.93924
4.08282	0.01536	9.30551	7.57832	1.00000	73.06292	10.81038	8.64227	1162.57463	11.97776	36.61954	4.91532	47.80248	9.74360	9.69856	6.38859	49.64605	5.79492
-4.22398	0.32895	7.31956	9.06279	0.00000	43.07091	8.56112	10.03046	1149.23465	36.27149	57.47908	6.25668	62.41852	7.04421	6.10528	10.04320	71.48166	5.99447
109.22921	0.03383	8.37658	9.64352	1.00000	48.74373	10.28527	8.14308	1145.99080	8.60115	34.65918	6.19944	56.20930	9.46837	10.18744	6.56885	44.13402	8.30856
-61.51889	0.01652	7.62289	7.21568	1.00000	46.92078	8.62770	9.01342	1101.28103	14.36548	10.66668	6.84980	32.53036	10.51943	9.90237	5.69361	53.42104	6.01853
1.53414	0.07124	7.63162	7.75456	1.00000	57.18157	9.85926	6.87944	1121.17913	20.64741	42.50729	8.26868	73.09179	10.07084	7.70111	8.29672	65.54746	7.71674
13.10984	0.04623	7.40509	6.60643	0.00000	29.43192	6.33281	9.34650	1066.17896	20.40647	51.30001	7.36075	37.96724	10.15901	5.62255	7.10931	59.91776	9.83577
7.11393	0.08148	7.96780	8.87982	0.00000	42.04087	3.85033	7.29785	1196.91680	-0.41414	51.08468	8.07692	64.61285	9.42064	8.83449	8.64782	39.78322	8.17854
-3.05814	0.03093	7.57258	7.83286	1.00000	64.74099	12.83334	8.97025	1197.09874	17.40621	53.00974	10.96504	53.89279	7.74134	7.29783	5.84650	40.75431	8.21008
109.05389	2.09935	7.33475	7.55514	0.00000	30.05881	7.73199	6.70495	1060.05596	-4.71388	-7.51611	8.28922	59.33238	5.06948	7.86339	11.94028	53.43797	5.27604
-2.1875	0.02381	7.03387	8.30849	1.00000	53.17876	8.14186	8.82836	1078.38349	18.29455	51.26	12.28733	50.11455	9.35896	10.01971	6.12049	48.72336	6.79327
8.51667	0.02984	8.49400	8.36283	1.00000	48.92767	8.10617	6.93962	1061.47926	33.64613	51.88333	6.95705	78.58895	9.67771	11.21593	4.79148	37.17650	6.63314
91.61356	0.07240	8.75737	8.00422	1.00000	72.94820	9.77143	9.84095	1073.04217	-3.88099	26.44931	10.56850	68.34936	9.33499	9.50605	8.52311	58.08656	8.02332
-52.51028	0.02566	7.16841	8.05058	1.00000	31.38211	8.75894	9.44859	1073.03202	16.98654	-28.81833	8.50559	36.40111	10.38605	10.85301	4.43726	42.55348	5.81473
77.24779	0.03648	7.45366	8.12746	1.00000	65.19456	9.47580	7.82129	1197.31638	19.54028	10.58806	7.49907	51.96962	8.38002	9.96285	7.00230	61.21066	7.71049
23.225	0.04336	10.09874	8.62276	1.00000	54.12488	9.12517	8.64218	1074.70291	12.05053	43.4125	7.85034	33.25545	9.86034	9.83055	7.08749	56.47830	8.83133
-67.15407	0.13228	8.38740	9.48930	0.00000	41.01896	5.83889	9.29523	1195.99431	31.90692	18.42745	3.95732	41.38284	7.79114	5.38877	9.06188	33.64842	6.50613
13.39954	0.24755	9.33916	7.92812	0.00000	41.89277	8.40822	8.88799	1189.58106	26.85425	43.62558	8.06733	42.09236	5.75062	6.71900	9.72494	69.32775	7.12881
41.00817	0.02885	5.59984	6.81249	0.00000	42.34854	6.59308	9.88645	1178.52386	12.47363	38.13708	3.43429	61.59415	10.87737	10.56025	6.38818	47.30170	10.78588
3.87723	0.09202	7.22468	9.70344	0.00000	68.24534	6.59703	8.06693	1192.74750	0.02545	43.61092	8.31004	48.16704	7.83254	10.12765	8.77361	75.29155	7.38218
-70.6996	0.03028	7.77571	6.74502	1.00000	47.22520	12.17705	7.76977	1133.27311	14.31416	-33.59217	8.78331	37.62465	8.93919	6.94691	5.48392	36.18253	8.24609
15.16554	0.01656	8.43612	8.55100	1.00000	55.03253	9.68811	9.78041	1146.77435	20.86906	-4.5833	5.06217	47.56816	7.25722	12.12303	6.06602	59.52100	5.62487
-4.22398	0.26381	8.05831	7.98054	1.00000	44.58794	6.11614	7.54639	1122.32976	34.64275	57.47908	11.80715	63.20819	10.22489	6.43372	9.80602	50.95576	4.75753
9.00472	0.20666	7.93617	9.07243	0.00000	70.26474	3.00902	8.87141	1105.61568	12.06642	4.2475	7.39844	35.48768	10.85858	8.33173	9.57464	49.79618	7.38192
-5.682	1.40868	7.32215	9.91361	0.00000	57.43749	6.68649	7.18662	1167.45133	13.95624	5.84752	7.72464	46.05454	7.34094	7.24163	11.53468	53.92364	5.77263
34.37389	0.02878	7.14699	9.19831	0.00000	60.58643	6.66013	7.13664	1146.88683	16.62421	40.1675	6.67411	59.69478	4.83586	9.01529	4.41896	67.46234	10.71331
2.08333	0.02591	9.29813	6.62096	1.00000	39.41217	8.79757	8.25433	1066.43085	-2.65460	48.86667	7.29390	37.91424	10.92284	10.00062	4.61362	40.73787	7.72851
18.28333	0.02169	9.77530	7.49828	0.00000	68.26416	6.12622	7.75884	1072.94046	13.23710	59.33333	6.30628	62.05245	7.38694	9.14252	6.72215	62.37663	10.83519
-2.16	0.05354	9.13680	7.70841	1.00000	54.20192	10.30418	8.45560	1083.24307	44.93677	34.31	7.10610	37.03276	9.18132	8.16475	7.50973	40.50255	5.77871
-45.94722	0.04907	9.07631	7.33056	1.00000	55.97618	10.30116	6.96379	1056.54026	17.57350	-21.42917	9.17290	71.18375	9.87327	10.14825	7.15825	75.83594	7.20294
-84.13722	0.07008	9.98926	10.16328	0.00000	47.69920	5.70139	8.85888	1065.59807	0.57183	9.92787	4.74644	43.62054	9.97834	5.89194	8.12022	71.33960	7.00700
8.62118	0.06338	7.66212	8.80745	0.00000	63.82699	8.60093	7.43846	1066.98307	28.41049	45.44694	8.72857	29.34830	5.19875	10.98579	8.18946	36.90016	7.03289
37.3825	0.02667	8.06479	7.94157	1.00000	71.23465	9.83566	7.17772	1094.38153	13.32516	37.05944	10.61595	52.15005	9.77592	6.71646	6.01324	42.84655	6.99965
30.98551	0.02843	10.10020	8.14408	0.00000	59.55107	6.92727	10.09168	1181.16341	27.41951	2.41669	6.21321	54.72637	8.37411	7.60296	6.80883	47.25084	10.19915
-56.52361	0.02171	7.42789	8.56607	0.00000	23.81749	7.38065	7.43182	1082.96386	15.53074	-33.38056	5.04135	54.92625	11.64731	6.26501	5.67054	39.83885	9.81349
121.12251	0.06395	8.64887	7.52259	0.00000	58.68002	8.87937	7.36832	1085.37702	29.65931	14.62578	5.65137	50.51726	4.35444	4.62547	8.18572	58.40138	7.85613
-0.59543	0.01885	8.43847	9.14708	1.00000	52.79082	9.08705	8.29826	1074.24655	4.68390	44.80477	7.32335	45.86764	9.36537	10.48715	5.40208	46.83405	8.01673
-60.94228	0.02137	6.99698	7.45437	1.00000	42.12365	6.08236	7.04929	1098.54263	19.56412	14.67751	7.10022	36.00497	10.20486	6.16642	6.08012	46.81232	9.67734
-73.97069	0.05347	9.04261	8.08648	0.00000	42.09426	6.83677	8.62689	1158.70821	22.49581	40.64621	7.69432	34.04253	9.91815	5.80793	7.98135	69.80955	9.30286
139.55722	0.16076	7.93056	10.04393	0.00000	58.64870	7.47824	8.55138	1185.72920	28.87695	36	6.70116	65.77834	9.35643	8.57231	9.23375	30.48860	10.35724
109.05389	0.42201	7.57834	7.36621	0.00000	60.17482	5.94723	7.89786	1156.47389	7.01116	-7.51611	9.04910	40.77423	9.53426	10.74685	10.28991	50.91862	5.91232
10.30215	0.03928	9.83096	8.91790	0.00000	45.88348	7.93507	7.19393	1136.43548	9.02861	53.94313	5.51721	59.96034	10.61850	8.09328	6.97230	48.45377	9.06596
79.41727	0.02180	8.23688	6.97076	1.00000	63.33299	14.04490	7.71223	1077.65067	20.73635	12.25282	10.75151	30.55392	8.77577	4.82723	5.52235	14.65061	8.86455
92.48278	0.02438	8.66135	9.07426	0.00000	41.17518	6.36935	7.23809	1121.04713	2.10296	58.23583	4.40289	62.03179	11.96041	8.31879	4.10322	47.26531	9.26615
8.63333	0.03968	8.78047	8.42242	0.00000	34.30766	10.47303	8.81940	1174.40529	19.18358	52.2	5.94689	44.42702	5.98642	10.67110	6.91161	35.05901	8.16962
76.0586	0.45000	7.90200	8.58006	1.00000	32.61866	11.99881	9.77760	1078.60280	22.50069	16.06213	11.40096	53.91628	10.13017	8.60011	10.34542	58.93461	10.07400
85.94001	0.03859	8.39835	7.68862	1.00000	46.07768	8.74103	8.64231	1193.08903	2.68348	25.49043	8.28893	53.12553	10.36124	8.28503	6.56109	72.27413	6.01795
