Pb	PAHs	PRES	PM2.5	NH3	latitude	CH4	NOx	H2CO	C2H3NO5	CFCs	TEMP	O3	longitude	warning	PM10	SO2	CO
55.54546	8.77842	1134.38875	10.21025	9.45632	39.00622	8.38090	10.71682	62.99450	0.25663	28.02967	13.54676	10.26969	-77.4286	1.00000	9.55636	9.08966	9.82918
41.55218	9.49044	1107.22929	8.73594	9.58684	18.18158	5.00900	8.37044	68.57392	1.21911	67.96854	14.38085	7.91807	76.03889	0.00000	11.14352	11.62032	13.01078
55.17666	11.50540	1138.15267	8.02625	9.95349	14.64056	8.45939	11.81998	59.91252	0.26366	69.01729	18.16654	8.97197	104.64992	1.00000	9.50885	9.47888	11.09310
44.71983	11.97370	1194.43246	6.47780	9.64592	65.84811	7.10053	7.44203	51.28920	8.43122	66.60707	27.93056	9.31577	24.14662	0.00000	13.08763		10.57435
47.42363	7.34673	1069.44292	11.20654	8.55166	41.24264	6.42491	8.53881	42.90467	0.06970	70.15810	27.64855	9.53781	16.50104	1.00000	7.87686	9.52849	9.33549
52.83791	8.77703	1181.73466	11.58384	9.78728	22.83957	7.17990	10.36174	65.74089	1.27803	60.89442	23.48034	11.08475	91.84128	0.00000	11.18562	9.87439	13.45111
79.13699	10.38528	1129.82008	8.99337	11.09769	47.80527	7.38267	12.41110	61.55224	0.02054	72.87763	22.66159	11.10798	-122.24064	1.00000	5.86824	8.39039	11.29100
63.60167	12.14927	1168.03437	9.44876	10.58634	-1.26753	9.18359	10.92546	41.45644	0.05280	35.09217	24.36149	9.87344	116.82887	1.00000	7.78612	9.20250	10.30090
55.50085	8.87529	1100.28595	5.82552	10.69552	35.88264	8.90208	8.23275	67.19316	1.97990	53.50370	25.03039	10.03113	-80.08199	1.00000	11.63707	10.17331	10.80787
58.10326	12.06390	1134.54218	8.87432	10.16494	46.67535	8.49548	9.39393	61.69352	1.37198	42.50988	18.20865	10.23537	5.55575	0.00000	11.26417	8.63276	10.91277
63.81111	11.84254	1130.10433	8.00743	9.69616	25.92127	8.29417	11.99351	54.28676	0.15218	67.86089	12.71601	10.64607	86.79271	1.00000	9.03945	7.49893	11.62537
76.64668	7.18828	1077.23196	10.56157	7.85461	52.4089	8.28631	8.97708	46.94973	0.09849	61.36947	19.72955	11.87413	31.3237	1.00000	8.44180	8.21470	6.78053
41.05851	8.52518	1106.94477	8.96581	10.79946	53.7446	9.82704	12.62958	53.93682	0.16106	53.22526	17.25523	10.15292	-0.33525	1.00000	9.07626	10.42834	10.69429
41.99870	9.41044	1191.97543	9.84669	10.60906	32.61603	6.12519	8.57952	59.37238	0.03379	49.98448	12.36565	9.01964	44.02488	1.00000	7.16007	9.73367	14.37329
40.41673	8.60053	1072.76820	12.88402	10.19937	59.37722	6.47862	9.32325	66.51584	0.07629	46.33577	31.71531	9.64496	28.19028	1.00000	8.05372	8.98403	7.52386
48.76405	8.75454	1070.40905	9.11864	9.48533	24.41288	9.72257	8.15593	45.85342	0.11069	72.90393	5.17418	10.24530	76.56719	0.00000	8.53446	8.34693	12.15110
34.24943	8.87765	1124.01439	11.20687	9.18185	-22.53722	7.52471	10.76595	63.41387	0.06954	53.13976	14.48680	9.38160	-42.98194	1.00000	8.06867	9.64783	9.59311
36.16838	10.10383	1102.28909	7.03345	8.12778	45.79377	6.84883	11.73240	47.59468	1.79174	50.09269	19.59374	10.19715	8.88104	1.00000	11.53504	8.46039	13.27873
40.76173	10.32770	1121.06314	13.08162	10.88384	51.62907	7.45620	12.14665	43.05607	0.03255	58.60025	15.11809	9.06632	-0.74934	1.00000	6.68474	10.24883	7.76872
68.38167	8.94745	1167.50354	9.35081	9.21325	4.02219	7.63202	10.18962	60.77249	0.50549	71.39813	15.34166	10.20956	101.02083	1.00000	10.22491	6.55523	12.46070
47.95362	9.63727	1105.56976	9.85654	8.38667	53.63333	9.03297	8.59305	67.34580	0.07043	55.61659	7.02568	9.39239	9.85	0.00000	8.24668	10.00556	12.48584
59.75577	8.49236	1119.21491	7.25934	9.56324	50.75	5.72243	11.36849	41.29198	0.41297	69.23965	5.38790	11.13446	2.25	1.00000	10.02599	7.40406	13.85669
62.37812	9.62089	1131.52192	7.13163	9.43849	39.12074	6.97911	11.67456	66.35205	0.63137	53.47588	18.41167	10.26546	27.18052	1.00000	10.48108	11.95034	12.51473
39.79738	6.72258	1085.45415	11.68175	10.01316	34.15429	8.67057	10.48791	54.94504	0.04859	26.43864	38.10239	8.47899	3.50309	0.00000	7.54014	8.11172	5.74153
55.88052	11.45557	1132.85910	11.94435	8.78596	37.74615	9.51936	13.79806	51.50634	0.05162	59.45362	28.01569	10.47581	-25.66689	1.00000	7.48081	8.86126	7.17080
20.54225	9.92370	1199.56444	14.16735	8.30174	51.38673	4.47391	9.43832	70.73901	0.06703	72.99852	12.31272	10.73164	0.30367	1.00000		9.29659	10.12869
64.71858	8.63140	1075.15594	12.12884	11.46984	37.49073	8.21565	11.41497	71.55927	0.67278	44.25847	19.07815	8.67951	-2.77259	1.00000	10.54337	9.83291	8.42002
40.93104	9.10542	1059.52038	7.69457	9.37104	14.95472	5.29704	8.21485	66.14243	0.37738	34.25934	18.46362	10.47086	120.89694	0.00000	9.92842	11.96648	13.03570
65.14505	12.51393	1124.09699	6.58878	11.30985	42.06166	9.02873	12.96708	48.67836	0.23793	68.30344	20.48035	9.70664	-1.60452	1.00000	9.43468	10.61003	10.77682
43.86163	9.66867	1106.77244	10.53502	10.27139	21.01858	9.00998	12.53346	52.76608	0.03437	55.23424	21.59434	9.45454	-101.2591	1.00000	7.38645	10.14063	9.04439
52.77336	10.38302	1057.57695	9.98463	8.49024	48.8765	8.39549	10.25647	54.91257	0.10810	42.58874	16.93957	9.49312	2.18967	0.00000	8.63929	9.46325	11.11106
57.38144	10.29556	1180.00402	6.84379	10.89786	52.41667	8.54257	11.68245	51.41991	0.13586	59.71955	25.01327	9.64395	0.75	1.00000	8.78508	9.45382	10.12268
52.93829	11.37142	1123.50465	14.47451	8.60863	6.45407	5.29526	9.66169	35.47620	0.20708	62.27025	24.84254	9.25705	3.39467	1.00000	9.29540	10.16663	8.59204
58.64394	10.70512	1119.54185	7.56697	8.92463	22.83957	6.64878	14.18573	41.80433	0.65955	45.89869	2.88741	9.36518	91.84128	1.00000	10.50575	9.80593	12.86137
30.12394	7.24233	1056.50287	10.29222	11.02937	51.82721	9.27074	10.24234	59.09539	0.02470	56.91751	-1.60719	10.02260	107.60627	1.00000	6.62942	8.04665	5.80008
47.69894	8.27501	1162.89587	8.98482	8.00014	7.62789	9.34327	8.10768	56.42721	0.37552	51.70172	10.55992	10.10290	4.74161	0.00000	9.94241	10.32504	12.09102
53.28361	11.16572	1124.63228	9.65898	8.20686	32.55531	12.40927	9.79490	55.60303	0.02548	46.12042	9.98601	9.96707	76.12647	0.00000	7.27733	8.22763	10.31504
60.88137	12.36110	1145.29467	7.51171	8.39419	48.07667	10.65694	9.42054	38.50653	0.44072	43.85443	8.98572	10.12115	8.64409	0.00000	10.14067	9.88694	9.73417
57.50715	10.99838	1165.82855	7.26226	9.60572	40.92298	7.54403	13.16494	42.84784	0.19271	53.13311	15.77393	8.74608	14.30935	1.00000	9.29612	8.88722	11.90379
40.73581	8.50386	1084.86102	7.19367	10.61414	46.09273	13.62440	9.70519	38.47620	0.04964	59.25071	17.27106	9.91074	-88.64235	0.00000	6.46336	8.92464	9.87670
50.18547	11.88253	1187.73366	8.98799	9.30375	33.76446	6.64727	8.03366	53.01539	1.04501	43.29803	21.35600	10.95400	-117.79394	0.00000	10.98796	8.32086	11.54963
53.51010	9.82547	1075.06856	12.82374	10.13933	38.96372	3.91277	8.90120	54.95971	2.20234	40.85913	12.44099	9.31228	-76.99081	1.00000	11.74338	11.26636	13.56806
53.67470	13.40909	1156.81434	7.45247	11.37032	27.71809	11.20581	12.18101	65.68868	0.61611	31.89946	13.11722	10.47572	-82.35176	1.00000	10.43487	11.33327	7.91022
54.25924	8.05988	1135.25269	10.80282	7.95119	51.26	7.28442	9.53220	56.45296	0.03450	81.73678	11.78111	10.04855	-2.1875	1.00000	7.41645	9.45850	8.89219
53.73253	7.09377	1159.53067	13.71246	10.66021	10.61285	8.22675	10.93446	57.16250	0.02851	60.34829	17.03210	8.94661	12.19458	1.00000	6.20129	9.84519	3.47969
69.08658	7.06845	1167.88070	6.84458	9.26384	37.71715	10.92490	10.95925	46.38150	0.06967	42.44272	17.71193	11.12249	-122.40433	1.00000	7.96449	9.19458	8.94487
61.23415	10.29019	1056.27955	11.43214	8.80465	30.46907	8.17230	11.60573	55.57466	0.17421	42.96885	10.52643	10.14525	70.96699	1.00000	9.22337	9.09802	9.21136
34.86204	10.44175	1092.67928	8.89937	8.86300	60.2052	8.48001	9.53616	40.83989	0.13986	51.62046	14.34564	8.37061	24.6522	1.00000	8.85923	8.67076	10.91291
48.30826	6.98228	1181.57411	7.93294	9.43111	40.82232	10.47241	13.06688	59.94760	0.09218	48.57627	17.52062	8.32730	-74.15987	1.00000	8.41909	9.36190	11.15207
39.51470	11.35401	1106.40590	7.10541	8.44340	53.30972	8.23602	8.88662	58.96513	1.35542	51.24367	21.69771	8.86840	83.62389	0.00000	11.24765	10.63863	11.18765
	5.05222	1105.79789	10.77470	10.15144	42.4251	6.75061	9.02322	62.94709	0.02732	68.84274	3.14713	9.31436	-71.06616	1.00000	6.11107	11.15994	9.27266
55.68632	10.41960	1134.62250	8.13196	11.00534	45.53929	10.06190	8.53931	56.61605	0.44086	38.74892	34.90451	11.08487	-122.38731	0.00000	10.11254	9.95668	10.66183
75.71728	8.67287	1057.98196	12.06164	10.12627	34.25	7.99469	10.22761	64.03562	0.10697	66.65189	21.03242	8.40464	135.31667	1.00000	8.59121	9.07021	6.70561
52.83649	8.97613	1066.75414	11.87435	9.09674	32.5007	6.83458	10.31503	66.86920	0.41793	55.96468	-8.45768	9.35784	-94.74049	1.00000	10.05033	10.65745	10.44928
59.22170	9.42614	1161.69993	12.28364	9.95189	-37.88333	5.99734	9.58752	63.43919	0.95701	33.21283	-6.21160	10.36034	145.06667	1.00000	10.89860	10.59783	11.14308
63.08108	9.21800	1092.67805	7.99213	9.97230	40.98894	11.75331	10.58480	48.58486	0.05848	21.37291	24.12753	8.46107	28.67582	0.00000	7.68261	10.04107	9.28909
41.37377	6.37355	1061.95456	9.88336	9.73080	37.16911	8.13627	10.20218	68.22878	0.37735	53.14120	9.46007	10.49875	10.03478	1.00000	9.89905	10.93211	10.49465
50.11793	8.71045	1052.46562	8.98658	8.11283	26.2649	8.90120	12.34855	57.48313	0.08249	56.06289	27.54459	8.58376	81.54855	1.00000	8.31562	11.49133	12.05865
46.49879	8.06514	1108.12500	9.32666	8.23559	32.61603	9.55653	12.49991	24.45489	0.06130	50.16754	36.64782	9.02710	44.02488	1.00000	7.69370	7.86659	10.00281
74.92667	10.97816	1052.29213	8.41321	8.19453	51.26	8.90802	10.91287	71.60798	0.17096	57.02558	6.92701	10.58241	-2.1875	1.00000	9.21803	10.92047	10.09086
36.52593	10.07950	1176.02344	6.81737	7.54916	37.13548	8.56471	8.31948	34.76426	1.70130	58.88213	14.09902	9.51248	-3.67029	0.00000	11.47939	10.68197	10.80453
58.34661	9.23272	1060.97180	9.76546	10.73005	5.84752	7.43244	10.74905	28.64162	0.10217	48.64269	24.62926	9.10710	-5.682	1.00000	8.45570	10.28336	12.20626
48.43616	9.83319	1097.90472	12.90633	8.59854	10.58806	7.93311	12.68526	53.35673	0.03745	42.53698	-2.58510	8.57292	77.24779	1.00000	6.82593	8.89911	7.72856
50.61490	8.69134	1068.77093	9.91502	8.94211	45.53929	9.69691	13.12853	37.05246	0.05959	30.28456	13.83627	8.97276	-122.38731	1.00000	7.86196	9.89031	9.48151
51.39115	9.26974	1101.33287	8.55230	9.56345	64.5635	10.11870	9.41030	42.67512	0.08632	48.27237	28.52140	8.35794	39.8302	0.00000	8.25946	10.41039	11.17805
53.07702	14.49029	1137.19189	7.59124	9.98062	29.69221	9.55706	11.85369	67.05110	0.19281	53.77458	18.26735	12.00194	72.54566	1.00000	9.15671	9.38033	11.85840
39.63474	9.54172	1111.41571	12.08851	10.76434	12.35275	7.11719	11.52225	58.58510	0.05471	46.87653	31.14324	9.51599	121.06761	1.00000	7.47394	9.83529	9.78587
73.51669	10.10886	1114.81381	11.45441	9.10434	5.84752	8.47698	12.45204	43.84219	0.06052	52.27538	16.26113	9.64556	-5.682	1.00000	7.92667	7.41933	8.97729
74.28639	9.18562	1067.62393	9.24091	9.28153	30.81383	9.38194	9.55145	51.21629	0.23457	56.43930	1.49428	8.95383	75.16878	0.00000	9.48141	10.26953	9.66363
35.97997	11.08259	1144.80272	8.58211	10.01676	51.24197	8.64160	10.24532	44.21241	0.22500	55.41604	16.56434	11.38470	4.82313	1.00000	9.38915	9.79558	10.94031
32.08558	8.38273	1097.24259	11.83098	9.36125	6.25947	5.76297	8.36055	71.58687	0.41935	46.73673	7.52473	12.04390	102.05461	1.00000	10.04550	8.93300	10.47634
67.99573	8.26843	1053.20596	9.38855	9.75353	45.78071	8.46020	10.38005	47.11067	0.26823	55.90692	-4.85375	9.08427	12.84052	1.00000	9.56055	8.92140	10.52631
22.19287	10.59339	1112.75880	7.83661	8.28410	-8.43333	8.12413	11.21077	68.56815	0.02874	37.42215	11.70916	8.91455	114.33333	1.00000	6.97753	10.26534	10.97443
72.93143	6.07468	1190.36935	12.07729	8.05775	-33.79176	7.36442	9.14934	37.28801	0.12094	36.61400	12.93067	9.34066	151.08057	1.00000	8.84902	9.33506	7.07091
38.75864	6.62996	1081.20906	9.25256	10.90005	34.8825	10.45646	11.16593	58.86466	0.17099	55.69483	2.95404	10.56346	128.62667	1.00000	9.00148	7.89233	6.82926
81.15900	13.57956	1071.56799	8.56837	10.42854	43.71032	10.03351	10.76654	66.79349	0.38725	46.18930	35.69762	9.37426	-1.05366	1.00000	9.95659	11.54125	10.51506
66.55829	10.62423	1139.54591	8.87037	10.44375	17.94979	7.02811	12.75629	59.97376	0.03848	53.33588	15.20896	8.95777	-94.91386	1.00000	7.13494	7.15271	12.08002
57.92139	7.47001	1182.88485	12.76964	9.80256	50.06	9.16502	12.05187	36.88486	0.06394	58.04562	5.72204	10.05316	43.2379	1.00000	7.55150	10.70488	4.81815
49.51118	11.87998	1142.44647	7.71179	9.00622	33.98154	8.44605	12.62874	61.31935	0.04397	36.91423	5.04714	10.75276	-81.23621	1.00000	7.02214	10.68509	10.96445
37.71871	6.19057	1160.33496	10.74129	9.53505	14.14989	7.50599	9.85282	52.31745	0.10336	56.19784	29.65054	9.62591	121.3152	1.00000	8.39532	9.93359	9.53248
46.91121	9.84988	1190.39840	7.33903	10.98257	28.54944	4.89816	8.74519	44.01867	3.75293	63.54998	11.18079	8.98813	-81.77285	0.00000	12.27808	9.32915	12.76732
40.99196	11.38702	1086.38727	8.24094	7.92125	38.06084	8.48899	10.99140	74.50066	0.07774	63.10362	14.56767	8.12682	-97.92977	1.00000	8.20595	9.08495	11.14339
48.64607	11.68752	1178.16024	12.54862	9.06130	32.61603	9.39609	14.86177	52.79564	0.02082	54.24852	19.94611	9.07657	44.02488	1.00000	6.81103	9.22710	7.59357
38.88484	8.25081	1120.13891	6.56539	7.60421	30.24706	12.40341	8.55669	47.56770	0.23171	64.72834	13.23508	8.90142	115.04814	0.00000	9.39125	7.69685	9.73218
49.30305	14.67820	1076.95370	6.61105	10.02908	37.31309	9.31911	14.80780	73.21529	0.30969	61.30537	36.24195	11.01291	40.74357	1.00000	9.74351	9.52270	11.47082
38.81700	9.16910	1089.92605	9.19475	8.86947	53.00974	7.16446	11.29868	71.25699	0.02980	54.09723	25.98315	11.26770	-3.05814	1.00000	7.20990	9.73926	11.11389
31.02481	9.38080	1067.75346	8.41550	9.08113	19.64745	8.06781	11.00951	46.21011	0.06990	18.60987	12.58085	10.54333	-102.04897	1.00000	8.24483	10.12417	10.02543
51.34375	9.76679	1107.11141	9.54125	7.62081	51.38673	7.56038	8.31775	72.03213	7.18293	60.78416	14.47086	9.97045	0.30367	0.00000	12.92982	11.56284	11.18521
39.62326	12.46405	1069.97645	11.97297	10.62394	52.4089	7.46780	8.99012	39.26599	0.26840	83.45312	11.40494	8.43876	31.3237	0.00000	9.50080	8.52402	12.06265
51.12934	9.91875	1079.60278	7.45027	9.33872	53.38333	12.09395	10.66139	60.69076	0.04365	36.43020	-10.48593	9.84255	-0.76667	0.00000	7.05937	7.69745	9.08292
63.96383	8.05187	1089.57242	8.57583	10.06863	50.80019	11.93114	8.44743	34.64827	0.06243	31.55977	11.22419	8.95759	7.20769	0.00000	7.71338	9.75464	12.65023
39.12673	9.41163	1126.94407	8.27983	8.19058	32.5007	7.18305	12.28365	41.51283	0.04160	31.97807	23.93768	8.58231	-94.74049	1.00000	7.56269	9.80423	11.11894
51.97991	9.29799	1119.98992	8.60472	9.86727	-27.76952	11.77067	10.66054	42.54635	0.02899	51.75252	8.79234	8.20780	30.79165	0.00000	7.27125	10.41262	11.60257
42.78408	9.43072	1145.35182	10.64486	9.54855	-8.43333	7.69578	11.70255	48.89599	0.09801	46.44366	19.10656	9.20841	114.33333	1.00000	8.20305	7.62447	11.26593
43.77803	10.35251	1085.16174	8.08157	11.77685	14.37395	8.71015	11.09490	39.45065	0.18188	47.43267	7.16880	8.39958	100.48528	1.00000	9.10702	10.60770	9.94594
52.78397	8.97642	1156.70842	10.93319	10.43279	45.39402	7.83609	10.55220	54.85526	0.02367	50.24055	4.12681	10.54598	9.29109		6.70055	10.89506	8.39948
56.95817	10.97860	1099.70829	8.27290	9.78352	14.46693	7.10988	12.68043	55.67603	0.33334	46.23248	48.59237	8.31624	75.92694	1.00000	9.81587	10.39450	12.70364
51.72219	10.28015	1168.38190	6.97078	10.25514	17.34769	6.72609	12.06513	67.86671	0.31888	68.37368	17.66136	9.80582	78.55757	1.00000	9.69605	9.56831	13.35432
41.98208	13.84979	1155.23773	7.05379	11.13513	35.6803	8.67394	14.54745	37.75022	0.38921	65.61769	12.48843	11.50469	51.0193	1.00000	9.96900	7.87642	11.93211
33.12177	11.80666	1167.44094	7.04994	10.94787	46.7055	7.95617	13.88714	37.82187	0.24175	59.77760	3.13680	9.99720	38.2739	1.00000	9.52423	10.10235	11.62741
50.92577	8.13211	1103.12260	7.74852	10.49245	15.46063	12.15556	8.01567	55.21595	0.05402	31.77069	17.81199	8.62467	99.89166	0.00000	7.50841	9.01908	11.04755
44.65081	10.60041	1180.68893	6.88212	10.56123	26.2649	7.49290	6.48664	47.91352	8.12108	38.71696	12.32236	9.20054	81.54855	0.00000	13.05150	8.87412	10.28316
36.10002	7.34446	1177.84504	7.33707	7.81259	34.95303	12.07313	7.04304	61.37869	0.08521	53.93786	19.25156	9.50617	-120.43572	0.00000	8.19795	10.85112	9.32627
46.36802	11.71025	1094.29285	9.05484	10.22797	39.32011	8.13924	11.85217	56.28231	0.05080		22.04195	9.38115	-76.51552	1.00000	7.74332	8.67642	11.49299
54.48918	6.76405	1070.79206	8.95297	8.75587	53.30972	6.73463	9.40886	38.24304	0.08116	49.09061	14.20436	9.29532	83.62389	0.00000	8.18163	8.94466	13.89392
51.48452	8.31727	1084.69914	12.46992	10.39474	49.97704	5.71886	7.67113	53.99234	0.12621	51.74159	29.53404	9.35039	9.15214	1.00000	8.60453	8.53153	8.00996
44.71208	11.76738	1158.15529	9.36735	7.48995	37.71715	6.01230	9.50353	35.82216	0.55061	37.12001	13.11438	9.05338	-122.40433	0.00000	10.34912	9.68041	12.43443
66.17961	8.31092	1148.67116	7.47219	9.94825	37.49073	10.22134	8.11180	66.89695	1.06332	35.88963	12.98889	10.10081	-2.77259	0.00000	11.00883	9.68603	10.60689
68.04957	12.39099	1138.36213	9.84156	9.00643	42.97086	9.92596	10.12267	35.45417	0.04110	47.46761	18.04568	8.81269	-82.42491	1.00000	6.57879	11.66811	9.26302
35.11995	6.88832	1066.12918	12.18700	11.19400	4.94273	7.07638	9.37483	23.52490	0.27557	39.79524	9.63476	10.14910	15.87735	1.00000	9.59115	11.05486	8.11022
73.87484	7.78707	1151.17995	7.03338	9.36268	28.15112	12.05412	12.76182	43.77418	0.23838	70.05058	15.05940	9.64206	-82.46148	1.00000	9.48706	8.58426	8.81271
71.67581	9.36079	1050.12466	9.12074	9.31382	50.26729	7.89295	11.38790	40.64987	0.07588	48.59549	18.20680	10.94996	-119.27337	1.00000	8.01095	8.82796	9.99196
	10.09372	1078.82158	10.41535	10.52858	21.46527	7.04286	11.65318	54.33009	0.07235	57.97285	22.21568	8.36742	83.97573	1.00000	8.15534	9.55912	13.02813
46.63348	8.22324	1140.58302	8.30428	10.90058	64.5635	6.10673	10.37544	42.06415	0.11996	82.95727	15.07266	9.54067	39.8302	1.00000	8.74339	9.84160	
51.20649	10.56744	1068.44474	10.40114	10.11926	-3.20333	11.05906	14.06551	50.17411	0.07827	57.02456	13.46393	9.40137	-52.20639	1.00000	8.05569	9.49118	6.73356
51.20300	10.38723	1161.42393	8.15894	9.94892	43.2907	6.99974	11.55373	56.36290	0.89775	49.09893	6.02231	8.76708	5.4384	1.00000	10.84918	10.34463	12.94549
49.51556	11.24228	1178.19249	7.78879	9.70678	-28.44917	7.66881	9.32261	46.74678	0.41229	54.91400	-10.21854	10.89770	-52.2	0.00000	10.03457	9.54972	11.66506
46.97513	6.44467	1116.82812	7.57425	9.72417	38.37255	13.30788	7.26483	52.18394	0.09793	40.42397	7.83100	8.92804	34.02537	0.00000	8.44524	8.19303	11.01523
73.13078	9.50760	1069.66324	12.96363	8.32622	-33.59217	6.95251	10.93175	47.64256	0.48154	62.69693	7.99092	10.50237	-70.6996	1.00000	10.17148	8.07970	9.23156
58.13772	8.31160	1199.19805	8.16685	9.13061	-34.28853	10.21652	9.75365	57.44082	0.17002	48.38801	22.37750	10.00195	146.05093	0.00000	9.06768	7.64853	11.65527
67.36726	12.33945	1089.21367	10.51669	9.50172	38.96372	5.68421	9.10125	57.56112	0.11604	32.86239	36.93524	9.82637	-76.99081	0.00000	8.84890	12.12411	12.93657
47.47929	9.07787	1052.62223	9.78680	11.37843	5.27247	8.29357	8.34442	58.20698	0.03495	50.24791	24.10014	10.04822	-3.59625	1.00000	6.91203	8.62747	10.23657
62.79166	11.41485	1074.41953	8.52983	10.37164	5.4709	8.46876	10.41176	58.00852	0.04864	78.27542	2.30843	9.18979	100.24529	1.00000	7.42566	8.03172	11.37838
59.80724	8.90236	1060.00055	6.34894	12.30808	11.84962	7.96427	10.04858	74.13995	1.57634	48.64958	24.39009	10.12498	-86.19903	1.00000	11.40901	9.58490	11.02840
53.14681	11.15969	1180.50236	8.18414	9.34375	48.52961	8.27201	7.01172	41.67792	5.29957	36.39026	25.73947	10.27923	12.16179	0.00000	12.62120	10.25407	10.13306
74.67979	9.63763	1120.03295	7.59915	10.28527	3.7278	8.17893	10.01402	49.72733	0.07462	48.03082	2.05736	9.06400	98.6738	1.00000	8.03292	10.82616	10.71372
42.43422	11.32382	1051.70395	8.18536	10.71557	42.52787	8.12754	6.83336	58.79120	4.03093	63.06655	4.47171	10.59498	-70.92866	0.00000	12.34841	9.05901	10.42539
53.72674	11.52800	1062.66476	6.87922	11.51700	49.88307	8.35200	12.38097	47.59819	0.54053	13.78201	20.75752	9.60262	-119.48568	1.00000	10.30279	11.53738	11.41509
56.78147	10.85770	1138.00247	9.52741	6.68722	23.49668	7.56853	10.26359	69.31156	0.29317	52.89406	10.73725	9.71001	86.68363	1.00000	9.67074	9.10081	12.58135
74.41635	7.88358	1067.92427	8.90180	9.38218	68.79833	11.13848	7.74820	43.07206	0.87976	52.60117	21.08071	11.74105	16.54165	0.00000	10.80478	8.76074	10.40786
72.55731	11.72830	1174.97145	8.71795	10.94800	52.26083	9.85472	8.70245	53.79543	0.23591	59.19060	9.22373	10.33245	7.00417	1.00000	9.46503	9.26299	9.95180
