revision	latitude	longitude	code	QoS	station
03/15/2021, 00:00:00	36.20389	127.08472	KR	good	Nonsan
16 Feb 2015	45.53069	9.40531	IT	excellent	Gorgonzola
2017/05/02	52.47774	10.5511	DE	good	Gifhorn
2020/05/10	51.82721	107.60627	RU	excellent	Ulan-Ude
07/15/2021, 00:00:00	48.8222	2.12213	FR	building	Le Chesnay
03/27/2015, 00:00:00	14.46693	75.92694	IN	excellent	Davangere
01/24/2019, 00:00:00	10.58806	77.24779	IN	average	Udumalaippettai
2019/06/07	36.91023	-121.75689	US	accep	Watsonville
08 Nov 2019	39.12074	27.18052	TR	accep	Bergama
24 Apr 2021	23.5654	119.58627	TW	excellent	Magong
11 Dec 2013	35.95664	36.7138	SY	average	Binnish
29 May 2015	27.0174	49.62251	SA	excellent	Al Jubayl
01/21/2021, 00:00:00	17.34769	78.55757	IN	building	Lal Bahadur Nagar
2020/04/13	16.75973	-93.11308	MX	accep	Tuxtla
07 Jan 2017	-33.79176	151.08057	AU	accep	Eastwood
07/02/2016, 00:00:00	53.7446	-0.33525	GB	maintenance	Kingston upon Hull
02/18/2018, 00:00:00	-22.53722	-42.98194	BR	good	Guapimirim
01 Jun 2022	42.4251	-71.06616	US	accep	Malden
2020/03/24	30.35028	112.19028	CN	maintenance	Jingzhou
05/27/2016, 00:00:00	33.98154	-81.23621	US	maintenance	Lexington
08 Feb 2015	37.71715	-122.40433	US	good	Visitacion Valley
2014-09-19	10.29085	105.75635	VN	average	Sa Dec
2017-02-22	9.92787	-84.13722	CR	maintenance	San Rafael
04 Mar 2020	-3.20333	-52.20639	BR	accep	Altamira
10 Feb 2013	38.96372	-76.99081	US	good	Chillum
04 Feb 2017	30.81383	75.16878	IN	excellent	Moga
22 May 2017	-25.42944	-50.00639	BR	average	Palmeira
11/05/2019, 00:00:00	40.78206	72.34424	UZ	accep	Andijon
2013-12-28	-6.91806	106.92667	ID	maintenance	Sukabumi
2017-02-23	41.50343	-74.01042	US	excellent	Newburgh
2015-12-27	6.9909	79.883	LK	good	Hendala
2020-09-18	35.88264	-80.08199	US	good	Thomasville
14 Apr 2018	59.37722	28.19028	EE	excellent	Narva
03/14/2014, 00:00:00	32.61603	44.02488	IQ	accep	Karbala
17 Dec 2021	68.79833	16.54165	NO	good	Harstad
17 Sep 2020	50.5107	18.30056	PL	average	Strzelce Opolskie
2013/12/13	33.45122	-86.99666	US	maintenance	Hueytown
29 Jun 2017	43.11667	1.6	FR	good	Pamiers
06/05/2014, 00:00:00	20.74122	-100.44843	MX	accep	Santa Rosa Jauregui
21 Jun 2020	42.16808	-88.42814	US	average	Huntley
28 Feb 2013	6.45407	3.39467	NG	building	Lagos
2019-04-07	38.91817	-78.19444	US	accep	Front Royal
2016/09/25	-12.91667	-39.25	BR	average	Muritiba
2018/08/08	-8.76194	-63.90389	BR	good	Porto Velho
09/22/2014, 00:00:00	31.64615	120.74221	CN	good	Changshu City
30 Oct 2017	51.14942	15.00835	PL	good	Zgorzelec
2021-06-22	45.50369	11.412	IT	good	Montecchio Maggiore-Alte Ceccato
07/25/2020, 00:00:00	42.67164	14.01481	IT	accep	Roseto degli Abruzzi
2012/11/15	34.86472	117.55417	CN	average	Zaozhuang
12 May 2020	46.51872	86.00214	CN	average	Hoxtolgay
2020-08-08	-10.33333	39.28333	TZ	average	Nyangao
05/17/2017, 00:00:00	50.18545	27.06365	UA	maintenance	Shepetivka
10/03/2019, 00:00:00	8.88649	2.59753	BJ	good	Tchaourou
12/19/2017, 00:00:00	-2.68333	33	TZ	maintenance	Usagara
2014/01/02	26.9423	68.11759	PK	average	Tharu Shah
17 Jun 2021	34.15429	3.50309	DZ	average	Messaad
04 Jul 2019	53.59337	9.47629	DE	good	Stade
2019/06/24	32.9156	-117.14392	US	average	Mira Mesa
02/05/2020, 00:00:00	45.79377	8.88104	IT	average	Malnate
09/07/2015, 00:00:00	6.84019	79.87116	LK	average	Dehiwala-Mount Lavinia
07/29/2022, 00:00:00	54.39304	53.26023	RU	average	Bavly
11/18/2019, 00:00:00	65.93381	111.4834	RU	accep	Aykhal
11/03/2021, 00:00:00	12.95629	78.27539	IN	accep	Robertsonpet
09/06/2021, 00:00:00	41.75338	-86.11084	US	acceptable	Granger
22 Apr 2016	53.7446	-0.33525	GB	excellent	Kingston upon Hull
03/09/2015, 00:00:00	49.88307	-119.48568	CA	maintenance	Kelowna
2021/02/09	19.64745	-102.04897	MX	good	Paracho de Verduzco
04/10/2017, 00:00:00	51.39148	-0.29825	GB	good	Surbiton
09 Jan 2021	52.21099	7.02238	DE	acceptable	Gronau
2018/06/30	26.68451	-80.66756	US	accep	Belle Glade
07/02/2019, 00:00:00	0.51667	101.44167	ID	average	Pekanbaru
2012-12-29	21.59983	71.21169	IN	average	Amreli
2017-04-19	13.70727	9.15013	NE	excellent	Mirriah
2015/04/13	40.65995	-111.99633	US	maintenance	Kearns
08/04/2019, 00:00:00	3.27833	32.88667	UG	accep	Kitgum
07/15/2017, 00:00:00	-6.91806	106.92667	ID	average	Sukabumi
12/16/2021, 00:00:00	11.86064	9.0027	NG	maintenance	Gaya
07/08/2013, 00:00:00	0.03813	36.36339	KE	good	Nyahururu
2013-04-10	53.16167	6.76111	NL	good	Hoogezand
2013/03/13	55.54028	89.20083	RU	good	Sharypovo
2020-01-17	35.6803	51.0193	IR	good	Shahre Jadide Andisheh
2015-10-03	10.12268	77.54372	IN	good	Periyakulam
2013/12/06	-16.25	-69.08333	PE	maintenance	Yunguyo
08/31/2018, 00:00:00	10.58806	77.24779	IN	accep	Udumalaippettai
2021-01-14	23.9028	89.11943	BD	excellent	Kushtia
2015-01-26	30.76468	74.12286	PK	maintenance	Kanganpur
22 Nov 2019	57.97472	33.2525	RU	accep	Valday
2022/07/18	50.50301	13.63617	CZ	maintenance	Most
23 Mar 2014	31.76212	-95.63079	US	average	Palestine
2012/10/02	51.82721	107.60627	RU	maintenance	Ulan-Ude
2016-01-08	4.2475	9.00472	CM	accep	Idenao
2019-07-09	52.71083	5.74861	NL	average	Emmeloord
08/23/2018, 00:00:00	29.69221	72.54566	PK	building	Hasilpur
08/22/2015, 00:00:00	30.24706	115.04814	CN	good	Huangshi
2018/04/26	49.68369	8.61839	DE	accep	Bensheim
2014/03/17	41.16704	-73.20483	US	maintenance	Bridgeport
21 Nov 2020	27.92333	118.53333	CN	excellent	Pucheng
12 Feb 2017	35.95664	36.7138	SY	average	Binnish
01 Jun 2013	-33.59217	-70.6996	CL	average	San Bernardo
2016/02/07	39.00622	-77.4286	US	excellent	Sterling
07/23/2020, 00:00:00	38.68712	-4.10734	ES	accep	Puertollano
22 May 2021	10.15031	-73.9614	CO	good	El Copey
15 Aug 2015	9.58126	8.2926	NG	excellent	Kafanchan
2017/01/18	-17.74431	-48.62789	BR	accep	Caldas Novas
04/24/2020, 00:00:00	55.85	37.56667	RU	excellent	Likhobory
05/19/2014, 00:00:00	47.98372	10.18527	DE	building	Memmingen
2020/05/20	52.4089	31.3237	BY	building	Dobrush
01/17/2021, 00:00:00	1.6	103.81667	MY	average	Ulu Tiram
2015/02/15	42.28639	18.84	ME	building	Budva
10/02/2013, 00:00:00	40.72586	8.55552	IT	excellent	Sassari
18 Feb 2013	51.40148	-1.32471	GB	average	Newbury
2020-12-11	47.80527	-122.24064	US	good	Bothell West
2016-11-03	27.71809	-82.35176	US	excellent	Sun City Center
2013-02-05	50.06	43.2379	RU	accep	Mikhaylovka
08/12/2014, 00:00:00	48.90472	2.2469	FR	good	La Garenne-Colombes
28 May 2018	51.82721	107.60627	RU	excellent	Ulan-Ude
11/09/2015, 00:00:00	51.12794	4.21372	BE	accep	Temse
11/24/2021, 00:00:00	50.23271	12.87117	CZ	building	Karlovy Vary
16 Jun 2022	50.64336	7.2278	DE	good	Bad Honnef
08/04/2013, 00:00:00	22.83957	91.84128	BD	average	Manikchari
06/16/2022, 00:00:00	42.22718	14.39024	IT	accep	Lanciano
2015/02/19	51.19139	6.51352	DE	average	Korschenbroich
13 Jan 2016	52.71083	5.74861	NL	maintenance	Emmeloord
27 Nov 2020	31.84568	-102.36764	US	maintenance	Odessa
2018/08/30	14.14989	121.3152	PH	good	Calauan
2019/12/16	33.7207	-116.21677	US	accep	Indio
03/08/2019, 00:00:00	10.58806	77.24779	IN	accep	Udumalaippettai
2017/11/20	9.15093	-79.62098	PA	average	Chilibre
16 Oct 2017	32.42067	-104.22884	US	excellent	Carlsbad
16 May 2022	40.65995	-111.99633	US	accep	Kearns
07 Apr 2017	-7.57897	112.23109	ID	good	Diwek
16 Jun 2022	40.5576	-74.28459	US	average	Woodbridge
25 Oct 2017	29.69221	72.54566	PK	maintenance	Hasilpur
09/13/2015, 00:00:00	49.88307	-119.48568	CA	building	Kelowna
03/10/2016, 00:00:00	5.27247	-3.59625	CI	maintenance	Bonoua
2021/05/28	39.72943	-104.83192	US	maintenance	Aurora
2022-04-05	31.96258	73.97117	PK	accep	Naushahra Virkan
09/02/2015, 00:00:00	24.28859	116.11768	CN	maintenance	Meizhou
05/02/2013, 00:00:00	35.82756	137.95378	JP	excellent	Ina
2022-03-26	65.93381	111.4834	RU	excellent	Aykhal
2022-09-04	13.44581	101.18445	TH	maintenance	Phanat Nikhom
28 Jul 2017	35.50056	117.63083	CN	excellent	Pingyi
2021/04/02	52.09	5.23333	NL	excellent	Zeist
10 Feb 2022	58.1908	40.17171	RU	maintenance	Danilov
24 May 2019	40.94065	-73.99681	US	average	Dumont
2018-05-24	-7.81667	112.01667	ID	good	Kediri
2015-12-25	-2.68333	33	TZ	accep	Usagara
13 Sep 2013	54.52156	9.5586	DE	good	Schleswig
2015-04-19	40.49748	44.7662	AM	building	Hrazdan
03/12/2020, 00:00:00	40.72816	-74.07764	US	average	Jersey City
06/11/2017, 00:00:00	53.59337	9.47629	DE	good	Stade
15 Sep 2016	60.02427	30.28491	RU	accep	Kolomyagi
26 Aug 2019	45.69558	4.7934	FR	accep	Saint-Genis-Laval
2017/08/15	34.63915	-120.45794	US	accep	Lompoc
2019-11-06	45.69558	4.7934	FR	good	Saint-Genis-Laval
2013/11/08	40.92298	14.30935	IT	average	Afragola
2020-11-21	40.55851	17.80774	IT	maintenance	Mesagne
29 Sep 2016	34.85	117.33333	CN	average	Taozhuang
2018/01/22	43.61062	-72.97261	US	excellent	Rutland
24 Aug 2020	21.59983	71.21169	IN	good	Amreli
27 May 2013	34.8825	128.62667	KR	average	Sinhyeon
08/25/2021, 00:00:00	23.29549	113.82465	CN	good	Licheng
15 Nov 2018	48.43174	17.8031	SK	excellent	Hlohovec
05/25/2018, 00:00:00	40.11583	67.84222	UZ	good	Jizzax
2018-05-22	37.31309	40.74357	TR	good	Mardin
2017-11-25	33.76446	-117.79394	US	good	North Tustin
31 Mar 2013	36.76639	3.47717	DZ	average	Boumerdas
26 Mar 2014	14.8361	120.97844	PH	excellent	Guyong
2020/08/07	-34.64167	-60.47389	AR	average	Chacabuco
2013/08/14	20.28527	-103.42897	MX	maintenance	Jocotepec
2015-10-15	44.97639	19.61222	RS	excellent	Sremska Mitrovica
2015/08/21	41.27621	-72.86843	US	maintenance	East Haven
2016/01/04	39.71734	-74.96933	US	good	Sicklerville
01 Mar 2019	51.95838	4.47124	NL	maintenance	Schiebroek
04 Jan 2019	55.1904	30.2049	BY	maintenance	Vitebsk
2015/04/20	50.80019	7.20769	DE	maintenance	Siegburg
2021-07-06	42.55308	-87.93341	US	excellent	Pleasant Prairie
2016-03-10	23.49668	86.68363	IN	accep	Adra
2017-05-20	35	136.51667	JP	accep	Komono
05/03/2013, 00:00:00	34.25	135.31667	JP	excellent	Iwade
09/02/2018, 00:00:00	37.56667	140.11667	JP	average	Inawashiro
05/12/2017, 00:00:00	-25.42944	-50.00639	BR	accep	Palmeira
02/15/2019, 00:00:00	44.89784	8.86374	IT	accep	Tortona
2014-11-19	51.19139	6.51352	DE	accep	Korschenbroich
2013-06-19	38.55632	69.01354	TJ	good	Vahdat
12/09/2016, 00:00:00	52.4089	31.3237	BY	good	Dobrush
05 Jul 2021	-7.60361	37.00438	TZ	average	Kidodi
2013/04/28	33.45122	-86.99666	US	excellent	Hueytown
2018/02/15	38.91817	-78.19444	US	maintenance	Front Royal
2020/02/15	26.18924	-98.15529	US	building	San Juan
01/24/2013, 00:00:00	-4.5833	15.16554	CD	maitennce	Kasangulu
12/10/2012, 00:00:00	-25.42944	-50.00639	BR	average	Palmeira
17 Mar 2015	46.67535	5.55575	FR	accep	Lons-le-Saunier
2022/04/04	34.95303	-120.43572	US	good	Santa Maria
10/11/2017, 00:00:00	50.64336	7.2278	DE	excellent	Bad Honnef
2016/03/12	38.91817	-78.19444	US	building	Front Royal
2015/03/19	27.92333	118.53333	CN	good	Pucheng
14 Feb 2021	5.84752	-5.682	CI	accep	Lakota
01/26/2022, 00:00:00	40.72816	-74.07764	US	maintenance	Jersey City
12 Dec 2021	61.72744	17.10558	SE	good	Hudiksvall
2017/07/04	37.13548	-3.67029	ES	building	Las Gabias
15 Oct 2017	43.1122	12.38878	IT	good	Perugia
12/26/2017, 00:00:00	44.22639	22.53083	RS	good	Negotin
06/11/2018, 00:00:00	53.30972	83.62389	RU	good	Novosilikatnyy
01/25/2022, 00:00:00	-0.35817	42.54536	SO	average	Kismayo
08 Mar 2018	39.32011	-76.51552	US	excellent	Rosedale
2022/01/03	40.82232	-74.15987	US	excellent	Nutley
2022/08/23	47.56494	31.33078	UA	good	Voznesensk
02/08/2020, 00:00:00	42.819	47.1192	RU	average	Buynaksk
20 Sep 2019	47.05	15.46667	AT	good	Sankt Peter
2015-02-16	-37.88333	145.06667	AU	average	Carnegie
2018/11/23	38.91817	-78.19444	US	accep	Front Royal
24 Dec 2018	51.44889	5.51978	NL	excellent	Tongelre
05 Mar 2021	25.66795	85.83636	IN	excellent	Dalsingh Sarai
27 Jun 2022	48.73218	11.18709	DE	building	Neuburg an der Donau
2018/02/22	37.49073	-2.77259	ES	maintenance	Baza
25 May 2013	53.78333	-1.06667	GB	building	Selby
03 Mar 2015	40.60538	-73.75513	US	good	Far Rockaway
05/08/2019, 00:00:00	28.98002	77.70636	IN	good	Meerut
10/06/2020, 00:00:00	46.32374	-120.00865	US	good	Sunnyside
2017/11/01	32.54044	-82.90375	US	good	Dublin
2016-09-19	45.44868	-73.81669	CA	good	Pointe-Claire
11 Dec 2017	45.0408	-93.263	US	average	Columbia Heights
22 Mar 2021	41.48199	-81.79819	US	average	Lakewood
2015-11-02	38.96372	-76.99081	US	building	Chillum
09/01/2014, 00:00:00	32.61603	44.02488	IQ	average	Karbala
01/03/2022, 00:00:00	20.88197	85.83334	IN	excellent	Bhuban
07/06/2021, 00:00:00	4.96667	10.7	CM	average	Tonga
2016/06/27	13.65805	102.56365	KH	average	Paoy Paet
2018-09-22	-33.38056	-56.52361	UY	good	Durazno
18 Dec 2019	39.12074	27.18052	TR	maintenance	Bergama
2020/03/15	32.44874	-99.73314	US	average	Abilene
2016/06/07	11.93381	79.82979	IN	average	Puducherry
2020-11-29	32.05971	34.8732	IL	excellent	Ganei Tikva
2016-06-16	24.96334	10.18003	LY	maintenance	Ghat
03 Mar 2018	37.58105	29.26639	TR	average	Serinhisar
08 Jul 2014	43.61058	1.33467	FR	good	Colomiers
25 Oct 2014	43.2907	5.4384	FR	good	Marseille 11
2022-05-17	11.86064	9.0027	NG	accep	Gaya
2017/12/05	37.74615	-25.66689	PT	excellent	Ponta Delgada
18 Sep 2022	43.16547	-77.70066	US	maintenance	Gates-North Gates
04 Mar 2020	-7.60361	37.00438	TZ	good	Kidodi
2013/06/13	36.02506	-86.77917	US	accep	Brentwood Estates
2019-09-09	17.94979	-94.91386	MX	excellent	Acayucan
01 Mar 2019	31.28092	74.85849	IN	excellent	Patti
2019-08-07	52.2	8.63333	DE	building	Kirchlengern
07/23/2019, 00:00:00	51.39148	-0.29825	GB	maintenance	Surbiton
02 Sep 2013	29.84576	-90.10674	US	accep	Estelle
11/06/2015, 00:00:00	3.51667	11.5	CM	excellent	Mbalmayo
02/20/2022, 00:00:00	18.03496	-66.8499	PR	building	Yauco
06/09/2017, 00:00:00	53.7446	-0.33525	GB	average	Kingston upon Hull
07/02/2018, 00:00:00	-10.90889	-37.03861	BR	excellent	Barra dos Coqueiros
2015-03-08	13.70167	-89.10944	SV	average	Ilopango
28 Feb 2013	0.76755	24.43973	CD	good	Yangambi
31 Oct 2017	29.38242	70.91106	PK	good	Alipur
2014/04/10	46.7055	38.2739	RU	average	Yeysk
28 Feb 2017	6.8485	3.64633	NG	good	Shagamu
2018-08-11	45.75279	130.57211	CN	building	Boli
19 Oct 2018	48.52961	12.16179	DE	maintenance	Landshut
2014/10/19	40.5576	-74.28459	US	good	Woodbridge
2014/11/21	31.64615	120.74221	CN	building	Changshu City
17 Oct 2016	13.44581	101.18445	TH	accep	Phanat Nikhom
2014/02/14	34.31	-2.16	MA	good	Jerada
02/20/2013, 00:00:00	31.20176	29.91582	EG	accep	Alexandria
06/02/2016, 00:00:00	34.06635	-84.67837	US	maintenance	Acworth
09/05/2014, 00:00:00	43.2907	5.4384	FR	good	Marseille 11
16 May 2021	39.96097	-75.60804	US	excellent	West Chester
06/02/2015, 00:00:00	40.65538	-74.38987	US	accep	Scotch Plains
27 Feb 2021	51.26	-2.1875	GB	average	Westbury
2021-10-07	23.02677	113.13148	CN	excellent	Foshan
29 May 2014	52.47774	10.5511	DE	excellent	Gifhorn
2022/05/03	45.53929	-122.38731	US	average	Troutdale
03 Apr 2018	50.5107	18.30056	PL	average	Strzelce Opolskie
2017/07/14	52.41667	0.75	GB	excellent	Thetford
2012-11-12	45.73333	4.91667	FR	accep	Bron
2021/11/07	53.14657	140.72287	RU	excellent	Nikolayevsk-on-Amure
01/08/2022, 00:00:00	43.83125	5.03586	FR	average	Cavaillon
2018-06-12	-27.76952	30.79165	ZA	good	Vryheid
01/08/2022, 00:00:00	-15.21194	-75.11028	PE	accep	Minas de Marcona
24 Feb 2021	15.46063	99.89166	TH	accep	Thap Than
2015/12/15	33.41012	-91.06177	US	building	Greenville
2020/09/14	43.86682	-79.2663	CA	maintenance	Markham
2020-03-04	-34.28853	146.05093	AU	excellent	Griffith
2020-09-07	47.4943	-122.24092	US	average	Bryn Mawr-Skyway
2018-01-11	40.37528	28.88222	TR	accep	Mudanya
2019-06-16	50.75932	25.34244	UA	accep	Lutsk
05/10/2020, 00:00:00	34.86472	117.55417	CN	good	Zaozhuang
2014-06-24	32.17629	75.06583	PK	good	Fazilpur
2015/12/28	-16.25	-69.08333	PE	building	Yunguyo
2016/05/18	-4.83	29.65806	TZ	accep	Mwandiga
2016-01-16	45.0408	-93.263	US	good	Columbia Heights
2022/02/06	38.40917	112.73333	CN	acceptable	Xinzhou
2021/08/03	56.03361	35.96944	RU	building	Volokolamsk
2019-10-24	27.71809	-82.35176	US	average	Sun City Center
2019/10/22	35.50056	117.63083	CN	good	Pingyi
04/07/2019, 00:00:00	40.11583	67.84222	UZ	excellent	Jizzax
13 Nov 2020	-8.73508	24.99798	CD	average	Kamina
12 Oct 2016	34.4833	136.84186	JP	maintenance	Toba
18 Apr 2020	10.22677	-67.33122	VE	accep	La Victoria
04/28/2016, 00:00:00	50.23019	8.77155	DE	average	Karben
19 Sep 2019	55.67938	12.53463	DK	accep	Frederiksberg
02 Dec 2013	40.85158	122.74754	CN	accep	Haicheng
10/17/2020, 00:00:00	48.43174	17.8031	SK	average	Hlohovec
2021-07-07	23.29549	113.82465	CN	accep	Licheng
2019-03-05	53.51684	-113.3187	CA	excellent	Sherwood Park
2018/07/25	41.85059	-87.882	US	average	Westchester
2017/09/03	28.71271	77.656	IN	average	Pilkhua
2020/01/09	53.0233	-1.48119	GB	good	Belper
02 Jan 2013	53.49389	-1.29243	GB	average	Mexborough
2019/04/26	35.8	137.23333	JP	average	Gero
20 Aug 2013	41.6764	-91.58045	US	accep	Coralville
25 Mar 2020	33.78333	114.51667	CN	excellent	Wacheng
2020/02/13	33.76446	-117.79394	US	average	North Tustin
2018/02/04	8.35122	-62.64102	VE	average	Ciudad Guayana
01/23/2019, 00:00:00	13.56667	-15.6	GM	maintenance	Farafenni
2013/09/22	16.0567	103.65309	TH	average	Roi Et
04 Apr 2017	19.64745	-102.04897	MX	good	Paracho de Verduzco
28 Feb 2016	30.46907	70.96699	PK	excellent	Kot Addu
10 Jul 2013	23.07492	88.28637	IN	maintenance	Pandua
2015/05/19	60.97944	76.92421	RU	accep	Izluchinsk
2020/03/09	-8.76194	-63.90389	BR	good	Porto Velho
2015-11-19	32.9156	-117.14392	US	average	Mira Mesa
09 Mar 2020	25.92127	86.79271	IN	average	Madhipura
19 Aug 2018	39.33427	-76.43941	US	accep	Middle River
23 Sep 2014	8.79577	-75.69947	CO	excellent	San Carlos
2012/11/03	47.30997	8.52462	CH	accep	Adliswil
2015/07/06	21.59983	71.21169	IN	accep	Amreli
10/19/2016, 00:00:00	37.58105	29.26639	TR	accep	Serinhisar
2017-09-20	-7.73379	113.69785	ID	excellent	Besuki
2017-10-06	51.4781	57.3552	RU	good	Kuvandyk
02/07/2020, 00:00:00	-7.73379	113.69785	ID	maintenance	Besuki
10/03/2017, 00:00:00	53.53395	33.72798	RU	acceptable	Zhukovka
2015/01/07	-8.66667	-35.71667	BR	average	Catende
2018/06/23	31.12406	-97.90308	US	average	Copperas Cove
06 Nov 2012	50.7236	-3.52751	GB	accep	Exeter
26 Feb 2019	57.47908	-4.22398	GB	building	Inverness
2019-08-23	45.0408	-93.263	US	maintenance	Columbia Heights
2016-12-31	23.5654	119.58627	TW	building	Magong
12/04/2016, 00:00:00	-21.42917	-45.94722	BR	good	Alfenas
18 Jan 2018	51.64316	-0.36053	GB	good	Bushey
2016-04-23	3.02013	30.91105	UG	average	Arua
22 Sep 2020	47.92526	-97.03285	US	average	Grand Forks
2018-08-13	-4.42472	-41.45861	BR	average	Pedro II
2014-06-16	5.27247	-3.59625	CI	average	Bonoua
05 Jan 2021	32.57756	71.52847	PK	maintenance	Mianwali
2018/04/17	36.33011	138.89585	JP	average	Annaka
30 Oct 2021	-6.91806	106.92667	ID	average	Sukabumi
