code	QoS	longitude	latitude	revision	location
MA	accep	-6.90656	33.92866	11/11/2014, 00:00:00	Africa/Casablanca
RU	excellent	37.92792	53.93361	10/02/2015, 00:00:00	Europe/Moscow
BR	maintenance	-53.13722	-22.92306	26 Nov 2015	America/Sao_Paulo
IN	average	73.08333	19.21667	15 Jan 2017	Asia/Kolkata
UA	average	26.97253	49.65186	10/18/2021, 00:00:00	Europe/Kiev
CD	good	15.16554	-4.5833	15 Jul 2014	Africa/Kinshasa
IT	excellent	11.412	45.50369	2017-04-05	Europe/Rome
PH	excellent	124.95278	6.33444	08/01/2019, 00:00:00	Asia/Manila
ID	good	118.9707	-3.5403	10/19/2021, 00:00:00	Asia/Makassar
US	good	-111.78903	33.35283	11/22/2015, 00:00:00	America/Phoenix
PL	excellent	15.00835	51.14942	06/22/2015, 00:00:00	Europe/Warsaw
CH	average	8.52462	47.30997	2021/09/10	Europe/Zurich
CH	excellent	8.52462	47.30997	10/11/2012, 00:00:00	Europe/Zurich
GB	good	-3.05814	53.00974	2022-04-13	Europe/London
LY	average	20.22625	30.75545	2018/05/24	Africa/Tripoli
IN	maintenance	77.24779	10.58806	2022/02/12	Asia/Kolkata
JP	excellent	139.07204	36.24624	2018/10/03	Asia/Tokyo
US	average	-82.45426	27.09978	2021-09-09	America/New_York
BR	good	-42.29444	-4.24444	2021-04-15	America/Fortaleza
IN	excellent	72.85107	19.30157	2018-04-02	Asia/Kolkata
RU	average	43.63417	43.96222	05 May 2018	Europe/Moscow
MM	average	98.50893	16.68911	2020-08-20	Asia/Yangon
US	good	-97.90308	31.12406	04/21/2022, 00:00:00	America/Chicago
CN	good	113.13148	23.02677	2013-02-03	Asia/Shanghai
RU	average	107.60627	51.82721	2018/07/23	Asia/Irkutsk
US	average	-111.78903	33.35283	2022-03-17	America/Phoenix
CF	good	15.87735	4.94273	2015-02-16	Africa/Bangui
IN	average	77.70636	28.98002	20 Dec 2014	Asia/Kolkata
GB	good	-3.05	53.81667	08/14/2021, 00:00:00	Europe/London
HN	good	-86.57415	15.48131	2018-04-13	America/Tegucigalpa
US	maintenance	-75.60804	39.96097	13 Oct 2018	America/New_York
US	maintenance	-81.79819	41.48199	17 Apr 2016	America/New_York
GA	accep	13.58357	-1.63333	11 Nov 2020	Africa/Libreville
HN	building	-86.57415	15.48131	11 Aug 2017	America/Tegucigalpa
BR	excellent	-52.35558	-14.66463	2022-08-05	America/Cuiaba
GN	maintenance	-13.68778	9.535	03/13/2016, 00:00:00	Africa/Conakry
US	building	-78.04471	34.25628	13 Dec 2015	America/New_York
GB	average	-1.08593	50.79205	2014/09/22	Europe/London
PH	average	122.8637	9.3337	2014/09/15	Asia/Manila
AR	good	-65.61427	-27.4338	16 Mar 2014	America/Argentina/Tucuman
IT	average	13.57661	37.31065	27 Nov 2018	Europe/Rome
NG	accep	8.2926	9.58126	2022-01-03	Africa/Lagos
US	excellent	-73.99681	40.94065	2016-11-29	America/New_York
MK	maintenance	21.32778	42	2020-09-26	Europe/Skopje
ES	maintenance	0.57856	40.70995	2017-09-19	Europe/Madrid
CN	excellent	122.08333	46.08333	10/10/2020, 00:00:00	Asia/Shanghai
TH	maintenance	99.96667	8.43333	13 Jun 2019	Asia/Bangkok
MG	excellent	48.41667	-17.83333	2014/03/17	Indian/Antananarivo
UA	average	38.15035	49.41029	02/19/2016, 00:00:00	Europe/Zaporozhye
CN	good	120.74792	41.09822	2021-06-30	Asia/Shanghai
IN	good	88.28637	23.07492	28 Apr 2018	Asia/Kolkata
GA	accep	13.58357	-1.63333	12/31/2019, 00:00:00	Africa/Libreville
NG	accep	3.64633	6.8485	10/31/2015, 00:00:00	Africa/Lagos
GB	accep	-2.52398	53.19146	22 Apr 2019	Europe/London
BR	excellent	-42.98194	-22.53722	2022-07-21	America/Sao_Paulo
BE	maintenance	5.37429	51.03427	23 Mar 2022	Europe/Brussels
US	good	-93.71133	41.57721	2019/11/03	America/Chicago
US	average	-83.2321	33.08014	14 Jun 2018	America/New_York
IR	excellent	48.26258	33.86419	09/24/2013, 00:00:00	Asia/Tehran
PH	good	120.5875	16.455	2013/11/16	Asia/Manila
CN	good	86.00214	46.51872	12/13/2016, 00:00:00	Asia/Urumqi
ES	average	-3.53261	40.42386	10/21/2013, 00:00:00	Europe/Madrid
NZ	good	178.00417	-38.65333	11/17/2015, 00:00:00	Pacific/Auckland
US	accep	-84.20299	39.43534	2021-05-09	America/New_York
US	average	-80.66756	26.68451	2014-03-25	America/New_York
EG	excellent	31.4976	26.67319	11 Nov 2012	Africa/Cairo
RU	good	33.72798	53.53395	29 May 2022	Europe/Moscow
NL	maintenance	6.61944	52.57583	2019/08/12	Europe/Amsterdam
UA	good	36.25361	47.48444	2015-07-17	Europe/Zaporozhye
JP	excellent	139.07204	36.24624	2015/03/10	Asia/Tokyo
GB	building	-1.48119	53.0233	2013/07/09	Europe/London
US	accep	-91.73625	35.25064	20 Dec 2015	America/Chicago
KZ	excellent	65.50917	44.85278	2014/03/25	Asia/Qyzylorda
KZ	good	59.6	47.83333	2015/01/20	Asia/Aqtobe
US	accep	-72.97261	43.61062	25 May 2016	America/New_York
ES	good	-5.55835	42.64685	2013/02/26	Europe/Madrid
US	good	-86.77917	36.02506	2021/02/10	America/Chicago
IN	excellent	73.66633	25.92493	2017-01-01	Asia/Kolkata
US	average	-75.23266	43.1009	23 Sep 2017	America/New_York
CN	accep	120.74221	31.64615	09 Jul 2014	Asia/Shanghai
IN	excellent	78.27539	12.95629	12 Aug 2019	Asia/Kolkata
ID	accep	109.05389	-7.51611	01 Apr 2019	Asia/Jakarta
IN	average	88.28637	23.07492	2015-08-03	Asia/Kolkata
MX	average	-98.11889	19.04222	21 Oct 2020	America/Mexico_City
RU	maintenance	33.2525	57.97472	10/02/2018, 00:00:00	Europe/Moscow
US	accep	-117.70755	33.52253	11 Sep 2018	America/Los_Angeles
CA	excellent	-73.58248	45.40008	01/07/2020, 00:00:00	America/Toronto
IN	accep	86.59611	25.87498	2019/06/29	Asia/Kolkata
NL	acceptable	5.2875	51.65333	25 Jun 2018	Europe/Amsterdam
CG	accep	15.28318	-4.26613	2014-06-26	Africa/Brazzaville
PK	average	68.75915	27.52948	2012-12-14	Asia/Karachi
ID	average	104.09701	-1.26424	24 Nov 2018	Asia/Jakarta
US	building	-88.81395	35.61452	2017/11/10	America/Chicago
DE	accep	13.10984	51.30001	05/27/2014, 00:00:00	Europe/Berlin
ES	average	2.18247	41.41204	04 Mar 2015	Europe/Madrid
US	building	-118.03917	33.95015	2021-07-08	America/Los_Angeles
US	accep	-84.50855	39.08367	2016/12/22	America/New_York
US	good	-93.263	45.0408	2020/02/10	America/Chicago
US	average	-91.06177	33.41012	07/21/2017, 00:00:00	America/Chicago
IN	good	86.68363	23.49668	2019/05/04	Asia/Kolkata
MT	average	14.51472	35.89972	2018/09/24	Europe/Malta
GB	good	-2.68758	53.69786	14 Dec 2019	Europe/London
RU	average	85.4265	55.8736	12/30/2014, 00:00:00	Asia/Novokuznetsk
FR	average	-0.59543	44.80477	09 Nov 2013	Europe/Paris
PL	excellent	15.00835	51.14942	05 Apr 2015	Europe/Warsaw
GB	good	-3.52751	50.7236	05/15/2017, 00:00:00	Europe/London
ID	average	106.85417	-6.48167	02/04/2016, 00:00:00	Asia/Jakarta
BR	accep	-37.07167	-10.91111	07/22/2018, 00:00:00	America/Maceio
IT	accep	14.72443	36.92574	2013-10-31	Europe/Rome
MY	accep	116.10146	5.90702	31 Dec 2014	Asia/Kuching
ID	accep	110.8405	-6.8048	2014/12/30	Asia/Jakarta
RU	accep	43.63417	43.96222	2021/02/04	Europe/Moscow
BR	excellent	-39.25	-12.91667	14 Sep 2018	America/Bahia
CN	accep	117.33333	34.85	12/02/2013, 00:00:00	Asia/Shanghai
US	good	-97.90308	31.12406	20 Oct 2019	America/Chicago
DE	good	11.32903	50.9803	2013/08/10	Europe/Berlin
IE	accep	-7.35	53.53333	11/08/2012, 00:00:00	Europe/Dublin
ES	excellent	-2.77259	37.49073	2020/06/25	Europe/Madrid
FR	accep	4.7934	45.69558	04 May 2019	Europe/Paris
IN	building	77.54372	10.12268	30 Dec 2019	Asia/Kolkata
US	excellent	-73.95958	40.57788	2019-08-18	America/New_York
US	good	-117.70755	33.52253	2014/03/06	America/Los_Angeles
DE	accep	13.10984	51.30001	08/15/2017, 00:00:00	Europe/Berlin
RU	excellent	60.8019	56.9083	2020/06/09	Asia/Yekaterinburg
CL	excellent	-70.6996	-33.59217	10/14/2014, 00:00:00	America/Santiago
CN	building	86.00214	46.51872	09/21/2019, 00:00:00	Asia/Urumqi
US	good	-85.76942	39.78504	2013/08/30	America/Indiana/Indianapolis
GB	accep	-1.99421	51.35084	2014-10-30	Europe/London
UY	accep	-56.52361	-33.38056	04/19/2021, 00:00:00	America/Montevideo
RU	average	59.4839	58.7002	04/16/2014, 00:00:00	Asia/Yekaterinburg
BR	maintenance	-37.93278	-11.48472	2022-05-01	America/Bahia
NG	excellent	3.64633	6.8485	2015/05/09	Africa/Lagos
BG	building	23.225	43.4125	2012-12-28	Europe/Sofia
TZ	average	35.7	-7.76667	2016/08/05	Africa/Dar_es_Salaam
IN	excellent	75.92694	14.46693	06 Oct 2017	Asia/Kolkata
DE	good	7.2278	50.64336	09/15/2018, 00:00:00	Europe/Berlin
CO	average	-74.26419	4.73245	2014/06/30	America/Bogota
RU	excellent	33.2525	57.97472	2013-12-15	Europe/Moscow
VU	maintenance	168.31366	-17.73648	06 Jul 2021	Pacific/Efate
RU	average	43.83992	55.39485	04 Jul 2022	Europe/Moscow
FR	accep	3.87723	43.61092	2014/06/11	Europe/Paris
PK	average	68.49143	25.80565	08/01/2018, 00:00:00	Asia/Karachi
DE	average	9.15214	49.97704	02/19/2022, 00:00:00	Europe/Berlin
PH	accep	121.06761	12.35275	2020/04/07	Asia/Manila
IT	accep	9.29109	45.39402	2017/09/27	Europe/Rome
CN	accep	117.55417	34.86472	19 May 2015	Asia/Shanghai
US	excellent	-91.73625	35.25064	01/17/2022, 00:00:00	America/Chicago
AU	good	151.07986	-33.88096	2020-07-15	Australia/Sydney
RU	excellent	33.72798	53.53395	12/10/2021, 00:00:00	Europe/Moscow
US	good	-71.05977	42.35843	2015/05/05	America/New_York
CN	good	126.28333	45.35	09/20/2021, 00:00:00	Asia/Shanghai
AU	good	145.13643	-38.16604	2021/08/19	Australia/Melbourne
CN	accep	116.11768	24.28859	18 Aug 2019	Asia/Shanghai
BG	accep	27.25	42.7	11/08/2020, 00:00:00	Europe/Sofia
DE	excellent	8.51667	51.88333	27 Apr 2020	Europe/Berlin
NL	average	5.58472	52.14	11/15/2015, 00:00:00	Europe/Amsterdam
PR	building	-66.8499	18.03496	01/27/2015, 00:00:00	America/Puerto_Rico
US	average	-85.76942	39.78504	18 Aug 2016	America/Indiana/Indianapolis
US	accep	-95.44744	29.53885	04/29/2022, 00:00:00	America/Chicago
US	maintenance	-118.10583	34.09611	2018/06/20	America/Los_Angeles
BD	building	89.11943	23.9028	2013-01-05	Asia/Dhaka
CA	accep	-73.75335	45.4473	15 Dec 2019	America/Toronto
US	building	-121.75689	36.91023	2020-03-06	America/Los_Angeles
FR	accep	8.73812	41.91886	2021/03/22	Europe/Paris
IN	accep	76.32756	9.57046	2022/08/27	Asia/Kolkata
CN	accep	123.17306	41.27194	2020-04-30	Asia/Shanghai
FR	accep	5.4584	43.32393	2018/08/12	Europe/Paris
RU	good	46.10925	43.35071	26 Jan 2018	Europe/Moscow
LR	maintenance	-8.53778	7.57944	2014/09/02	Africa/Monrovia
IN	accep	88.58	23.18	12 Dec 2020	Asia/Kolkata
IN	accep	73.06784	25.13915	05/07/2016, 00:00:00	Asia/Kolkata
SD	accep	34.3869	11.8659	05 Dec 2015	Africa/Khartoum
BR	good	-48.62789	-17.74431	04 May 2015	America/Sao_Paulo
BG	excellent	24.71204	41.57439	2021/07/28	Europe/Sofia
JP	maintenance	140.11667	37.56667	2022/04/15	Asia/Tokyo
US	average	-99.73314	32.44874	13 Oct 2018	America/Chicago
US	accep	-111.90466	40.34912	08/29/2015, 00:00:00	America/Denver
FR	building	4.7934	45.69558	2017-03-10	Europe/Paris
PH	good	120.97844	14.8361	12/25/2019, 00:00:00	Asia/Manila
TN	good	10.58082	35.72917	29 Sep 2019	Africa/Tunis
MY	average	102.3278	2.2139	06/12/2013, 00:00:00	Asia/Kuala_Lumpur
JP	good	136.61667	36.53333	2021-04-22	Asia/Tokyo
RU	average	47.1192	42.819	2019-05-01	Europe/Moscow
US	average	-75.64963	40.24537	2021/07/19	America/New_York
BY	average	31.3237	52.4089	26 Nov 2018	Europe/Minsk
IN	excellent	73.7553	15.5439	03/19/2020, 00:00:00	Asia/Kolkata
US	good	-122.39168	40.58654	21 May 2020	America/Los_Angeles
CN	average	120.74221	31.64615	01 Jul 2013	Asia/Shanghai
RU	excellent	35.96944	56.03361	27 Nov 2016	Europe/Moscow
CA	maintenance	-80.38297	42.8334	2015/05/06	America/Toronto
IT	excellent	12.84052	45.78071	2021/01/09	Europe/Rome
US	good	-89.99038	38.58894	26 Oct 2017	America/Chicago
BR	good	-41.25528	-19.32556	10 Apr 2022	America/Sao_Paulo
PH	good	120.56528	14.66	12/31/2019, 00:00:00	Asia/Manila
PE	excellent	-69.08333	-16.25	2019-06-18	America/Lima
BR	excellent	-51.87389	-23.44361	06/15/2018, 00:00:00	America/Sao_Paulo
TN	average	10.78222	36.46917	17 Mar 2019	Africa/Tunis
UG	excellent	30.98551	2.41669	17 Mar 2020	Africa/Kampala
CN	excellent	114.51667	33.78333	06/02/2015, 00:00:00	Asia/Shanghai
US	excellent	-97.92977	38.06084	2022/06/08	America/Chicago
TH	building	100.04427	13.8196	01/19/2020, 00:00:00	Asia/Bangkok
CA	building	-73.81669	45.44868	07/03/2014, 00:00:00	America/Toronto
BR	good	-48.62789	-17.74431	15 Jul 2014	America/Sao_Paulo
RS	good	19.61222	44.97639	2015/06/20	Europe/Belgrade
GB	accep	-2.1875	51.26	2013/07/08	Europe/London
US	excellent	-74.38987	40.65538	27 Aug 2014	America/New_York
TR	excellent	27.02444	39.59611	09/26/2018, 00:00:00	Europe/Istanbul
BR	building	-37.07167	-10.91111	12/19/2016, 00:00:00	America/Maceio
US	maitennce	-156.47432	20.88953	2022-07-12	Pacific/Honolulu
BR	accep	-37.03861	-10.90889	02 Aug 2019	America/Maceio
SE	average	18.28333	59.33333	2021-11-04	Europe/Stockholm
DE	accep	9.72749	48.28259	2014/10/02	Europe/Berlin
IN	accep	84.63445	24.81757	13 Jun 2021	Asia/Kolkata
TZ	excellent	37.73333	-4.06667	27 Mar 2015	Africa/Dar_es_Salaam
IN	excellent	79.41727	12.25282	09/23/2021, 00:00:00	Asia/Kolkata
BR	accep	-42.98194	-22.53722	2022-08-02	America/Sao_Paulo
MY	excellent	116.10146	5.90702	2022-07-10	Asia/Kuching
CA	accep	-113.3187	53.51684	17 Mar 2016	America/Edmonton
ES	accep	-4.10734	38.68712	2019-05-02	Europe/Madrid
CN	excellent	122.05228	37.19723	12/13/2016, 00:00:00	Asia/Shanghai
CU	maintenance	-81.24441	23.15678	2017-01-25	America/Havana
KR	good	126.835	37.65639	12/23/2017, 00:00:00	Asia/Seoul
RU	excellent	37.49338	55.62047	2021/02/27	Europe/Moscow
CN	building	122.05228	37.19723	11/23/2019, 00:00:00	Asia/Shanghai
DE	average	9.5586	54.52156	2020/07/03	Europe/Berlin
PH	building	123.89071	10.31672	18 Dec 2015	Asia/Manila
UA	average	31.33078	47.56494	2012/11/12	Europe/Kiev
AU	excellent	150.60036	-34.88422	2017/11/18	Australia/Sydney
TR	accep	41.00817	38.13708	2012/12/02	Europe/Istanbul
ZA	average	29.24152	-26.93366	2020-02-11	Africa/Johannesburg
TH	maintenance	100.48528	14.37395	07 Jul 2022	Asia/Bangkok
CL	accep	-73.02841	-36.9256	2017/04/03	America/Santiago
DE	excellent	9.5586	54.52156	2013/11/04	Europe/Berlin
IN	excellent	75.35927	12.04161	10/10/2012, 00:00:00	Asia/Kolkata
PH	maintenance	123.62494	12.37169	14 Mar 2014	Asia/Manila
CN	building	122.22833	40.66482	07 Nov 2020	Asia/Shanghai
TR	maintenance	40.74357	37.31309	20 Jun 2018	Europe/Istanbul
US	building	-96.39774	30.16688	07/27/2019, 00:00:00	America/Chicago
GB	accep	-5.53715	50.11861	2016/12/12	Europe/London
ZA	maintenance	30.79165	-27.76952	2021-03-20	Africa/Johannesburg
ES	average	-1.325	38.47917	2017/08/09	Europe/Madrid
IT	good	14.01481	42.67164	2016-02-07	Europe/Rome
TR	maintenance	27.02444	39.59611	2022-05-15	Europe/Istanbul
US	excellent	-81.56929	41.55838	04/05/2019, 00:00:00	America/New_York
US	maintenance	-69.96533	43.91452	28 Jul 2014	America/New_York
BJ	accep	2.59753	8.88649	05/13/2017, 00:00:00	Africa/Porto-Novo
US	average	-80.66756	26.68451	2016-04-14	America/New_York
ID	good	103.61667	-1.6	06 Sep 2020	Asia/Jakarta
IT	accep	14.34085	40.87363	2022-09-20	Europe/Rome
GB	maintenance	-4.0573	55.82737	2013/08/02	Europe/London
BR	average	-51.87389	-23.44361	2016/03/06	America/Sao_Paulo
IN	building	74.4818	30.21121	05/11/2016, 00:00:00	Asia/Kolkata
SD	accep	34.3869	11.8659	20 Nov 2019	Africa/Khartoum
JP	excellent	140.73667	41.77583	02/20/2022, 00:00:00	Asia/Tokyo
JP	excellent	139.55028	35.30889	2013-09-14	Asia/Tokyo
BR	average	-50.00639	-25.42944	10/24/2021, 00:00:00	America/Sao_Paulo
GB	good	-4.21376	55.82885	2020-06-23	Europe/London
MT	good	14.51472	35.89972	2014/02/12	Europe/Malta
AU	good	115.8614	-31.95224	05 Jan 2022	Australia/Perth
ZA	maintenance	29.24152	-26.93366	2017/12/05	Africa/Johannesburg
BR	accep	-34.88111	-8.05389	18 Mar 2017	America/Recife
IN	accep	77.24779	10.58806	26 Oct 2016	Asia/Kolkata
BR	average	-37.93278	-11.48472	03/26/2016, 00:00:00	America/Bahia
US	maintenance	-156.47432	20.88953	04/13/2016, 00:00:00	Pacific/Honolulu
IN	good	73.08333	19.21667	08 Dec 2012	Asia/Kolkata
PR	accep	-66.8499	18.03496	05/16/2013, 00:00:00	America/Puerto_Rico
BE	maintenance	5.37429	51.03427	02 Apr 2016	Europe/Brussels
IN	building	77.656	28.71271	2020-02-24	Asia/Kolkata
EC	excellent	-79.00453	-2.90055	2019/08/06	America/Guayaquil
GA	excellent	13.58357	-1.63333	23 Feb 2019	Africa/Libreville
TH	average	102.05461	6.25947	2014/09/03	Asia/Bangkok
CD	average	24.99798	-8.73508	26 Nov 2017	Africa/Lubumbashi
NG	average	6.26764	4.92675	28 Jul 2022	Africa/Lagos
IT	good	14.72443	36.92574	2020-10-13	Europe/Rome
PH	good	120.89694	14.95472	2022-03-07	Asia/Manila
IT	maintenance	12.6723	41.72063	2019-11-15	Europe/Rome
GH	excellent	-1.4001	7.06273	01 Oct 2015	Africa/Accra
AU	building	151.08057	-33.79176	20 May 2020	Australia/Sydney
CN	building	117.63083	35.50056	25 Dec 2015	Asia/Shanghai
UZ	accep	69.67639	41.29444	2015-12-09	Asia/Tashkent
VE	good	-70.20749	8.62261	12/12/2019, 00:00:00	America/Caracas
DE	good	11.34046	50.72043	2021-07-06	Europe/Berlin
CH	excellent	8.52462	47.30997	25 May 2016	Europe/Zurich
JP	good	136.84186	34.4833	21 Jun 2016	Asia/Tokyo
CN	good	120.14278	32.50611	2014/01/04	Asia/Shanghai
JP	maintenance	137.5	34.9	24 Sep 2014	Asia/Tokyo
GB	accep	-0.33525	53.7446	28 Jan 2018	Europe/London
EC	average	-79.59415	-2.13404	2022-04-17	America/Guayaquil
NG	accep	8.2926	9.58126	03/14/2021, 00:00:00	Africa/Lagos
RU	excellent	59.80222	58.63667	24 Mar 2017	Asia/Yekaterinburg
PK	good	72.54566	29.69221	2015-03-11	Asia/Karachi
PK	good	68.11759	26.9423	2017-08-01	Asia/Karachi
IL	building	34.75699	31.39547	06/29/2014, 00:00:00	Asia/Jerusalem
CA	building	-79.2663	43.86682	2016-03-15	America/Toronto
US	good	-77.55777	37.52487	23 Nov 2015	America/New_York
MX	excellent	-102.04897	19.64745	2019-11-28	America/Mexico_City
GB	accep	-1.29243	53.49389	04 Oct 2012	Europe/London
IN	excellent	71.57737	21.53889	07/25/2019, 00:00:00	Asia/Kolkata
US	average	-73.49484	41.14676	05/20/2022, 00:00:00	America/New_York
US	good	-84.67837	34.06635	10 Jun 2018	America/New_York
FR	average	2.25	50.75	11 Jul 2020	Europe/Paris
MX	accep	-102.04897	19.64745	2012/10/22	America/Mexico_City
BR	excellent	-41.25528	-19.32556	17 Oct 2019	America/Sao_Paulo
BR	average	-37.65	-10.91722	2021/08/13	America/Maceio
US	accep	-87.45476	41.47892	02 Nov 2015	America/Chicago
US	accep	-72.27814	42.93369	10/22/2016, 00:00:00	America/New_York
MX	good	-100.44843	20.74122	18 Oct 2018	America/Mexico_City
US	excellent	-74.28459	40.5576	23 Nov 2016	America/New_York
RU	excellent	57.3552	51.4781	2016/06/27	Asia/Yekaterinburg
US	excellent	-120.93549	37.73604	23 Nov 2012	America/Los_Angeles
IN	excellent	74.3092	33.37526	2017/12/26	Asia/Kolkata
CN	good	109.22921	34.65918	2015-07-30	Asia/Shanghai
US	excellent	-78.04471	34.25628	2014-08-08	America/New_York
ES	excellent	-3.67029	37.13548	2022/08/18	Europe/Madrid
VE	excellent	-68.30472	9.91861	07/01/2016, 00:00:00	America/Caracas
IN	excellent	74.80555	34.08565	02/15/2015, 00:00:00	Asia/Kolkata
GB	accep	-1.5443	50.75767	09/06/2016, 00:00:00	Europe/London
ID	acceptable	109.3243	-7.0981	2021-01-12	Asia/Jakarta
IN	good	81.54855	26.2649	10 Apr 2018	Asia/Kolkata
BR	average	-52.67056	-26.22861	2020/02/07	America/Sao_Paulo
ES	excellent	-8.2194	43.48961	2020-08-27	Europe/Madrid
PT	average	-7.32097	41.1053	2019-02-22	Europe/Lisbon
BR	accep	-48.62789	-17.74431	2018-04-30	America/Sao_Paulo
FR	excellent	2.29026	48.77644	10 Apr 2017	Europe/Paris
TZ	maintenance	39.25	-6.8	21 Sep 2020	Africa/Dar_es_Salaam
US	building	-122.24092	47.4943	05 Nov 2013	America/Los_Angeles
FR	average	2.29275	48.79325	2015-07-04	Europe/Paris
GB	good	-2.58736	56.56317	22 Feb 2021	Europe/London
VN	average	105.75635	10.29085	20 May 2021	Asia/Ho_Chi_Minh
IN	average	88.1453	22.4711	2020/11/02	Asia/Kolkata
ES	maintenance	-1.60452	42.06166	2016-06-27	Europe/Madrid
DO	excellent	-71.10077	18.20854	2018-05-30	America/Santo_Domingo
BR	accep	-52.67056	-26.22861	2017-07-21	America/Sao_Paulo
US	accep	-77.96389	39.45621	2019/05/25	America/New_York
US	excellent	-117.23991	47.64995	09/17/2018, 00:00:00	America/Los_Angeles
GH	building	-1.4001	7.06273	02/11/2021, 00:00:00	Africa/Accra
CA	building	-63.13414	46.23899	2012/10/01	America/Halifax
RU	accep	140.72287	53.14657	2021-08-28	Asia/Vladivostok
US	excellent	-115.98391	36.20829	2022-06-25	America/Los_Angeles
US	excellent	-122.39168	40.58654	19 Apr 2018	America/Los_Angeles
US	good	-104.22884	32.42067	07/13/2019, 00:00:00	America/Denver
JP	maintenance	136.51667	35	2014/10/29	Asia/Tokyo
IN	maintenance	85.37752	22.10194	02/27/2022, 00:00:00	Asia/Kolkata
IL	good	34.8732	32.05971	2020/05/20	Asia/Jerusalem
PL	excellent	18.34717	54.60528	12 Aug 2018	Europe/Warsaw
US	accep	-104.22884	32.42067	29 May 2019	America/Denver
PH	good	120.89694	14.95472	23 Feb 2013	Asia/Manila
NG	good	3.39467	6.45407	2013-06-22	Africa/Lagos
IN	good	85.37752	22.10194	07/19/2019, 00:00:00	Asia/Kolkata
PH	building	120.4861	16.0438	01/16/2017, 00:00:00	Asia/Manila
CN	average	122.08333	46.08333	11 Feb 2015	Asia/Shanghai
FR	maitennce	2.08333	48.86667	08/14/2018, 00:00:00	Europe/Paris
RU	good	59.80222	58.63667	2021/08/03	Asia/Yekaterinburg
US	accep	-86.99666	33.45122	29 Jan 2020	America/Chicago
ZA	average	29.00974	-24.19436	09/19/2022, 00:00:00	Africa/Johannesburg
IN	good	75.35927	12.04161	06/15/2017, 00:00:00	Asia/Kolkata
FR	maintenance	2.29026	48.77644	05 Apr 2015	Europe/Paris
FR	average	2.29275	48.79325	2017-08-26	Europe/Paris
MN	good	106.88324	47.90771	2013/12/28	Asia/Ulaanbaatar
TJ	accep	69.01354	38.55632	09/29/2016, 00:00:00	Asia/Dushanbe
FR	accep	2.61667	48.98333	16 Feb 2018	Europe/Paris
IE	good	-7.35	53.53333	08/04/2013, 00:00:00	Europe/Dublin
AU	excellent	150.99292	-33.75881	2017-02-08	Australia/Sydney
CD	building	29.47306	0.49113	08 May 2021	Africa/Lubumbashi
IN	building	75.92694	14.46693	2020/12/16	Asia/Kolkata
DZ	excellent	3.50309	34.15429	25 Sep 2018	Africa/Algiers
JP	excellent	136.61667	36.53333	2013/12/08	Asia/Tokyo
US	average	-73.89875	40.93121	04/07/2015, 00:00:00	America/New_York
NL	accep	6.92917	52.31333	2021/10/17	Europe/Amsterdam
RU	excellent	34.33825	53.59782	2019-07-31	Europe/Moscow
BR	maintenance	-50.00639	-25.42944	2016-01-22	America/Sao_Paulo
