O3	NOx	CO	PRES	warning	PAHs	CH4	NH3	H2CO	CFCs	latitude	PM10	TEMP	Pb	C2H3NO5	PM2.5	SO2	longitude
6.92605	4.90363	7.16872	1100.74109	1.00000	3.91022	7.81070	7.56881	71.99169	41.70793	16.455	7.99578	15.63845	29.01197	3.82065	3.45358	6.54818	120.5875
8.74440	9.47652	6.01297	1118.38110	1.00000	4.90985	6.48905	5.43622	54.94524	50.87896	22.49396	6.99240	12.79356	48.00146	2.59160	7.17228	7.03353	-105.36369
7.48968	5.14282	7.60984	1086.43179	1.00000	7.29684	7.05867	5.74853	45.10112	30.43376	41.6764	8.07085	21.28856	55.31083	3.83804	8.71993	5.38819	-91.58045
7.41519	7.44214	6.72776	1084.19013	1.00000	6.06692	8.58672	8.97789	66.69326	46.65525	51.64316	6.59334	4.11175	33.88851	1.71785	6.81644	7.48047	-0.36053
6.88291	4.90554	7.64741	1127.10908	1.00000	4.03068	7.77904	2.53182	33.81011	45.43398	-33.79176	4.97734	25.04416	59.47888	1.40344	4.39717	7.99893	151.08057
5.74033	7.18795	7.96387	1087.18113	1.00000	5.36271	8.20539	5.74961	34.16460	34.09391	53.14657	6.59355	-3.11566	19.48299	1.89197	8.93988	5.73071	140.72287
8.07761	5.76510	7.54975	1131.93232	0.00000	6.09298	9.26842	7.45275	62.10359	63.22145	50.23019	4.81592	23.14780	39.71407	1.41975	6.47017	8.93741	8.77155
7.25947	5.99081	9.25634	1134.21337	0.00000	10.35147	9.02664	9.61933	72.37076	45.97124	48.73218	7.34606	20.03606	53.96019	2.30609	11.74558	9.58975	11.18709
7.46545	6.36133	6.07188	1193.24102	0.00000	8.81279	10.33958	6.34712	47.36855	42.39100	36.06386	8.18932	15.18472	35.97557	3.98634	9.62589	7.67380	4.62744
5.87469	4.74869	7.29999	1070.40491	0.00000	5.96414	4.83165	8.41088	46.35237	35.48624	42.58342	8.09438	13.91304	59.85214	4.48551	9.46327	8.55962	-71.8023
8.29376	5.21312	8.06413	1185.01761	0.00000	8.08632	8.90872	8.41683	55.33816	43.04689	50.23019	6.22893	-5.77924	76.38466	2.21749	5.55374	9.36746	8.77155
5.27772	5.75656	7.58785	1112.33379	1.00000	7.09328	10.33634	6.56518	44.27709	27.13238	-25.42944	7.43504	15.61146	41.81248	3.40304	6.13376	4.90264	-50.00639
6.93393	9.09636	8.01471	1195.17896	1.00000	3.99291	8.44020	5.30856	46.42839	68.45741	-23.44361	7.57339	-3.20577	55.14568	3.22533	8.00140	5.09578	-51.87389
6.20633	4.91020	6.40023	1052.83691	0.00000	7.90631	9.54804	9.42180	49.94274	14.32493	13.70167	7.24039	20.28227	59.24737	3.13299	8.99967	8.58207	-89.10944
7.91495	5.82175	7.13491	1182.33952	1.00000	7.31552	7.57060	6.75919	24.55579	53.06313	1.6561	5.50382	10.90114	39.44455	1.71748	7.51670	8.28407	103.6032
7.60114	6.25201	6.00074	1130.45284	1.00000	6.49194	9.97068	6.55920	65.99121	38.54879	49.41029	7.13403	16.26757	62.14369	1.55897	9.22201	6.67303	38.15035
8.13663	8.26331	6.23124	1145.04888	0.00000	10.36975	7.88638	8.65026	56.94044	42.32312	41.9001	9.36251	20.86772	52.94235	11.25323	10.46558	9.03535	-71.08977
6.74809	7.76850	8.12002	1155.73874	1.00000	8.05394	10.60991	9.92545	60.66493	26.37039	7.50251	6.36187	2.77157	43.63355	1.65014	12.25166	4.62591	5.06258
10.59085	6.12243	7.86549	1112.27611	1.00000	3.57962	8.53066	8.63703	41.04348	28.74688	43.61062	6.43321	-5.77802	17.45432	2.62139	3.91832	4.55273	-72.97261
6.65653	7.98021	7.42158	1075.07434	0.00000	8.14957	9.06164	6.29022	50.98763	56.79661	40.1675	7.29344	15.31983	47.39927	3.11200	7.21154	7.13019	34.37389
7.75542	6.97588	6.96707	1148.09693	0.00000	6.65436	7.50561	3.71521	50.44522	41.62206	21.28306	7.41987	17.98629	38.74236	2.79697	7.86731	9.60869	-89.66123
5.33830	8.41050	5.82045	1104.00776	0.00000	7.09600	6.89425	5.39130	41.43930	51.82418	-22.45667	6.44927	22.43812	50.29304	1.79395	8.06637	10.59519	-47.53028
7.68540	10.30342	6.81612	1145.73121	1.00000	3.20720	7.00572	8.57892	99.69457	58.52054	58.63667	7.72793	4.22410	53.70187	3.82468	5.11742	7.77588	59.80222
8.59520	3.42678	7.22921	1117.70065	0.00000	6.72499	5.75168	6.68291	43.23661	63.74055	34.25807	8.85372	16.67460	56.75936	7.44641	9.96583	9.24869	-88.70464
7.81038	6.90040	7.52698	1050.90457	0.00000	6.69710	5.34331	5.04994	49.28747	29.50900	12.04161	6.90147	3.46622	58.15580	2.11786	8.59930	7.39992	75.35927
7.49359	7.69405	7.69970	1096.80662	1.00000	2.70821	8.46818	9.20598	43.56476	45.35072	23.29549	6.37091	22.60677	38.20460	0.96603	3.89017	3.90866	113.82465
8.69576	5.34189	7.23223	1191.09806	0.00000	8.29647	7.29112	4.25813	35.45817	36.49847	33.78333	8.01657	30.95494	38.19242	3.06341	10.47636	10.79444	114.51667
7.70360	5.10049	6.82043	1177.48665	0.00000	7.22412	6.59832	5.67304	32.45223	44.44174	23.0072	8.88434	6.77418	62.02749	7.02300	9.36600	10.23028	-82.4017
6.19860	7.15109	7.31811	1168.13824	0.00000	8.03162	8.87973	7.21194	29.37510	53.16337	23.15678	6.78665	22.53023	12.22216	1.64344	7.35338	8.28280	-81.24441
8.44869	3.57935	7.20633	1178.29963	0.00000	7.41943	4.21105	6.35497	54.63535	48.48293	48.35693	7.01695	13.27985	51.77432	2.15733	7.69749	8.86889	10.98461
6.20485	5.14570	7.10903	1183.78258	1.00000	5.38374	10.13857	6.69681	37.64393	28.05812	24.28859	7.63321	25.01684	20.68267	3.15383	8.65784	8.11304	116.11768
7.43339	8.57376	7.58721	1122.36750	0.00000	11.69730	8.64765	7.65473	56.69944	59.13086	34.85	7.28566	2.58667	43.09964	2.09584	10.56022	8.45035	117.33333
8.79525	5.94728	8.01797	1107.12417	1.00000	6.09168	4.41383	6.20561	50.66814	56.06206	35.30889	7.78253	21.25586	48.98234	3.07718	7.43241	10.72099	139.55028
7.64345	3.96467	8.92062	1090.26214	1.00000	4.71741	9.77689	11.44941	67.42536	54.29259	-16.25	7.19801	32.66726	66.81872	2.10699	3.90800	5.11993	-69.08333
8.00868	3.32205	7.60135	1138.34203	1.00000	5.98487	6.28130	4.02734	52.00113	43.21886	40.49748	5.94476	16.78168	53.13010	1.46673	6.99725	7.10395	44.7662
5.90290	7.95704	6.42301	1085.66797	0.00000	7.37712	7.62238	4.83329	38.67239	44.86946	-13.7804	7.06957	-7.74671	50.39191	1.84334	10.59484	10.06913	34.4587
6.82131	6.29754	6.56810	1073.93497	0.00000	9.21738	9.22352	8.19479	57.49879	51.88600	40.81	8.20808	32.21397	42.42365	4.41822	12.51634	9.01666	-73.9625
5.71375	7.90050	5.69835	1129.41010	1.00000	5.21937	7.68689	10.28797	72.54883	51.80375	17.54907	7.62719	4.48288	49.54005	3.56263	6.32013	5.21265	82.85749
7.30296	6.61853		1142.62350	1.00000	6.26106	6.15253	6.27986	61.66684	48.80400	43.1122	6.34769	11.01138	53.45045	1.29967	7.86274	5.20410	12.38878
8.17466	9.38878	7.03636	1154.42868	0.00000	3.56712	5.24630	6.56454	53.83193	37.56278	48.21644		25.58328	54.27735	1.87497	5.65672	5.58181	9.02596
7.69037	5.29509	6.38019	1192.10466	1.00000	5.46583	10.26228	7.02907	73.88016	48.16897	53.38333	5.82229	13.13415	52.55749	1.84621	9.36436	8.03217	-0.76667
8.55429	7.24546	7.69176	1093.72252	1.00000	5.68548	10.06145	5.08633	48.29856	39.07586	10.13361	6.66613	15.01716	45.43725	1.74824	9.86798	5.30994	124.84472
8.01371	7.01543	7.44058	1062.05448	1.00000	3.23337	4.85978	9.94079	45.01886	30.52900	-7.76667	9.54750	10.01794	29.53085	12.95719	4.80887	8.12815	35.7
8.15322	5.57693	8.99318	1077.96958	1.00000	9.43261	9.11867	8.82239	47.59740	45.79678	34.25	6.34130	-4.60855	73.59402	1.86581	12.05223	4.84836	135.31667
6.22181	6.80783	7.34900	1134.67159	1.00000	4.71588	10.15718	8.69447	56.39681	35.45698	51.03427	8.86136	2.51644	24.06309	6.81386	4.30972	4.41505	5.37429
7.74746	7.26714	5.99586	1086.79022	1.00000	5.88807	10.24732	11.35983	47.56458	19.88856	50.23019	7.47259	13.15044	57.36572	2.86281	5.87405	5.31565	8.77155
8.63249	5.20200	5.83204	1127.58589	1.00000	8.23603	9.37155	7.42865	60.78551	32.13041	53.83333	7.70126	14.61193	53.08113	3.18089	9.41333	5.68041	-2.98333
6.53015	8.62538	10.01140	1112.15002	0.00000	4.62003	6.93737	7.40530	63.40875	36.32442	48	8.77776	11.36260	41.95673	6.64964	10.01874	8.12959	-4.1
5.49301	2.80830	7.32399	1058.12268	0.00000	7.66243	4.88487	5.16553	62.04779	37.83288	51.14942	7.71033	16.40506	66.59790	3.81498	7.54922	9.75325	15.00835
7.68243	8.01523	7.65739	1070.39034	1.00000	6.21294	9.07732	6.23848	64.48119	61.37486	9.3337	8.61570	14.15642	55.31392	6.11609	6.43103	7.92263	122.8637
6.55301	4.03986	7.69604	1071.37045	1.00000	7.90026	8.01769	8.98308	37.37848	42.36783	36.24624	7.70081	20.52354	45.72796	2.43057	7.12923	5.21157	139.07204
8.75043	7.02416	8.46756	1109.32444	1.00000	7.79777	8.77006	9.42941	55.17460	51.87745	46.51872	8.39372	15.91873	41.00628	4.96384	11.17437	5.01215	86.00214
8.66355	5.94326	6.09177	1164.26813	0.00000	6.04756	5.90262	5.11097	55.45846	55.76303	26.2649	6.08574	18.84929	55.57685	1.84529	6.23574	8.51281	81.54855
7.44421	6.62383	8.97462	1159.67795	1.00000	6.01257	9.55434	6.15885	62.52918	39.26474	41.48199	5.53224	9.46744	29.41445	1.23593	8.88010	6.23002	-81.79819
7.09959	7.63092	6.08418	1175.72907	0.00000	8.80482	10.09822	7.40074	51.12682	61.09767	10.63504	6.36831	16.44491	42.08546	1.59693	8.90445	9.29456	-85.43772
8.12140	3.19871	8.28703	1180.26596	1.00000	5.85045	7.18764	10.58229	47.41142	36.65437	43.61092	9.39181	6.60649	25.42110	11.23799	6.93279	10.96058	3.87723
6.70798	5.55730	8.52696	1065.83940	0.00000	10.27402	8.94577	9.91077	70.57913	37.40580	32.44874	8.24902	10.17406	53.57843	4.63319	8.22981	7.44764	-99.73314
6.16929	6.54897	7.19589	1060.89016	1.00000	5.06272	7.07237	9.46787	52.61090	54.61985	32.57756	6.22776	18.28059	34.96223	1.66886	5.75410	5.31387	71.52847
6.23762	7.60799	5.63692	1090.47312	1.00000	5.37653	9.25782	10.54829	51.83963	43.45962	14.53767	7.68131	16.63765	53.92710	3.27694	6.15555	4.57195	46.83187
7.91652	4.37447	8.05382	1097.05578	1.00000	6.30423	7.47925	5.13946	47.59281	12.67109	9.57046	7.62395	27.04250	63.11398	2.82674	7.99531	6.39868	76.32756
5.13440	3.82489	7.71907	1136.42408	0.00000	8.66925	9.49451	10.26897	54.88700	32.82478	50.75767	7.24300	16.75561	52.04377	2.21729	10.49467	8.42504	-1.5443
8.22656	5.79684	6.58490	1197.17426	1.00000	6.23894	7.51549	6.85084	53.65256	58.39088	39.00622	5.73508	12.94015	49.52423	1.27641	7.73926	6.48881	-77.4286
7.42603	6.93965	8.83850	1132.21370	1.00000	8.05789	11.28178	9.12271	63.61423	59.55719	51.35084	5.80233		29.11600	2.19203	7.19343	4.22310	-1.99421
6.14458	6.50889	8.45089	1162.04688	1.00000	3.57019	7.01796	3.94907	69.57245	30.15207	43.35071	7.44559	13.63744	56.60458	2.81950	7.36328	6.19402	46.10925
8.13583		7.35352	1061.39302	0.00000	7.58904	5.69036	10.48607	54.69260	44.02087	48.06919	7.36987	12.79780	34.70360	3.27799	12.07728	10.00307	11.37703
7.58120	5.17881	7.28594	1065.18403	1.00000	6.34097	7.41805	5.40848	45.78375	42.17536	22.37066	7.42960	-7.43593	31.74538	2.41893	8.10385	5.69229	114.10479
7.28338	3.77816	7.33627	1055.37182	0.00000	6.88157	5.95368	4.18281	66.95537	47.59752	47.76232	8.40103	3.03051	43.18284	4.73111	8.63262	8.42869	-122.2054
7.62635	4.81429	6.46481	1156.18560	0.00000	9.27264	9.70964	9.74593	49.70222	64.19532	32.50611	7.24672	-1.20486	36.08388	2.55960	9.61631	9.57175	120.14278
5.24281	8.45011	6.98583	1174.17351	1.00000	6.86095	9.88546	8.65393	67.93355	30.88660	43.35071	9.59666	11.49079	32.68363	13.82388	7.66649	6.02165	46.10925
8.45911	5.59314	8.05022	1064.86608	1.00000	4.62902	10.60663	6.14439	41.88978	16.98733	33.54428	6.05304	20.96617	42.28652	0.99275	8.12957	8.11741	-84.23381
7.07657	7.79877	6.80313	1065.36857	0.00000	9.24792	7.95615	8.29788	48.48134	46.82476	54.84444	7.35509	-3.29485	46.84746	2.96222	10.33877	7.03431	38.16694
7.36049	7.13293	8.03349	1057.30211	1.00000	6.68757	8.89993	9.38096	62.95982	54.18096	-6.25	6.53225	16.32383	45.46395	1.36547	7.16094	7.54843	38.66667
6.91552	4.87649	6.05403	1170.58698	0.00000	6.75315	5.36196	7.29167	31.39062	45.71162	55.63711	7.46493	-1.20208	50.16947	2.66920	11.51570	8.38903	37.38115
8.10675	6.21604	5.99112	1199.06981	1.00000	6.90015	10.18105	6.54381	35.79203	47.73477	59.37722	8.67385	-3.30811	49.07179	6.15118	6.57754	6.06338	28.19028
6.22667	7.20858	6.56416	1119.10963	0.00000		6.38467	6.62235	38.06088	41.20640	33.52253	6.92062	13.73744	50.96356	1.50821	6.12967	6.03816	-117.70755
8.75353	6.91324	7.03597	1102.10548	1.00000	6.03942	7.80081	5.12496	48.02382	65.97132	30.21121	6.71955	-0.68090	42.39135	1.29951	7.46699	5.22664	74.4818
7.89852	5.98282	6.75210	1120.73370	1.00000	6.56119	7.05516	6.06775	42.20154	37.43973	47.30997	6.70149	12.68787	45.28595	1.94866	7.61265	5.97139	8.52462
8.06656	5.57266	7.50089	1078.74540	0.00000	8.39366	7.74865	7.85830	50.67005	45.38271	51.26	5.89717	3.59124	24.79630	2.18486	9.24872	8.12702	-2.1875
7.93729	4.91548	7.41143	1117.03651	1.00000	8.43904	10.16204	7.90434	48.69975	57.44880	4.92675	6.50217	5.54559	41.25590	1.41874	7.52480	6.78011	6.26764
8.09843	4.00270	7.81191	1154.17767	1.00000	8.43248	9.21632	6.92205	51.52195	31.78465	-33.79176	7.13910	15.50744	58.18645	2.36138	10.19853	5.48129	151.08057
8.40945	5.01094	7.87653	1197.35283	1.00000	8.54534	9.67339	7.14346	46.36822	42.13517	51.88333	5.48530	-0.51823	45.57732	1.84350	7.01353	5.62672	8.51667
7.81834	5.31261	7.68134	1185.76638	0.00000	5.71019	6.93886	8.62394	46.12863	36.32483	22.4711	7.05767	10.03422	66.35848	1.85898	9.78523	8.67027	88.1453
7.83915	7.14557	8.22876	1094.66034	0.00000	8.67919	7.88142	7.85551	53.19944	39.00708	33.92866	6.83983	16.83452	49.50116	2.42375	7.16513	8.66046	-6.90656
7.93415	6.35250	7.58306	1184.36536	0.00000	7.11226	7.13185	8.56925	48.70094	82.98108	47.98372	7.33702	19.59855	46.52652	2.11008	6.50110	8.71682	10.18527
6.17892	8.46802	7.69609	1198.31667	1.00000	6.73725	10.58196	8.16427	76.48905	45.05271	9.57046	8.02280	23.78266	47.47702	3.69914	6.77612	5.91747	76.32756
5.87362	6.16639	9.26883	1114.34938	0.00000	9.11543	8.67822	8.40914	34.36581	41.34272	40.94065	8.87158	15.54541	42.87798	7.60193	9.13043	9.66388	-73.99681
7.26482	4.91117	7.55391	1161.20749	1.00000	6.90801	10.78285	7.47307	49.63528	58.27254	40.87363	7.46091	-5.83517	27.70191	2.46774	5.72655	7.06742	14.34085
5.61372	7.59444	8.86319	1058.54444	0.00000	8.42338	9.13562	6.66682	60.99647	71.44034	58.63667	6.57456	15.87332	45.05186	1.59476	8.12131	7.73488	59.80222
8.32046	7.23786	6.85839	1179.82670	0.00000	7.07232	5.33545	6.58123	45.00667	56.26462	43.61092	6.91669	2.40599	57.34726	2.87032	7.35570	9.86975	3.87723
8.36184	2.30294	5.59587	1088.56619	1.00000	6.89445	6.89248	5.10771	52.00724	60.74980	39.71734	6.70512	24.04503	57.68035	2.53315	6.69557	7.41356	-74.96933
7.12525	5.29933	8.35705	1157.20187	1.00000	5.92671	8.29870	9.55530	39.02087	43.63080	51.64316	7.41780	-0.21891	42.23884	1.73758	5.56655	8.94413	-0.36053
6.46334	3.76905	6.19300	1131.31250	0.00000	5.84120	3.71598	9.00148	50.15306	63.47448	40.57788	7.23373	21.49746	53.41638	2.58914	8.84187	7.88109	-73.95958
8.74046	5.19421	7.09617	1152.44952	0.00000	4.27734	5.78261	7.75673	68.15976	37.68396	24.28859	7.98459	6.81898	64.42000	2.94713	10.07954	6.79567	116.11768
6.17962	5.45352	6.49340	1158.52658	0.00000	9.38945	9.58290	8.47827	58.19947	38.89717	47.76232	7.82253	16.15841	56.47380	3.76136	7.09770	9.51094	-122.2054
8.47350	5.10971	9.94157	1192.34629	0.00000	9.66752	9.41847	9.81790	17.60218	60.82787	42.50729	6.91395	17.61356	61.43061	1.77729	9.76628	8.91111	1.53414
4.79968	4.53488	7.07378	1192.99738	1.00000	5.88206	5.61222	6.57308	50.53799	29.69242	35.61452	7.48475	1.49998	33.38595	3.04261	5.43756	6.91199	-88.81395
6.67276	4.96473	6.46671	1196.59280	0.00000	4.89638	5.58493	8.85813	56.99021	30.40641	58.7002	5.42685	10.81303	33.35659	1.54876	10.96698	7.85485	59.4839
6.94108	4.61870	5.96532	1113.73000	1.00000	5.64790	11.10863	9.33276	58.98630	51.19082	50.79205	8.21680	21.59202	56.90578	3.87015	4.73805	6.47284	-1.08593
7.66961	3.05188	7.81042	1067.33705	1.00000	8.09172		5.85409	50.79235	35.06867	51.20219	8.04532	10.21804	55.47128	3.80230	8.76604	6.46883	7.36027
7.42686	7.41720	7.59226	1117.51117	0.00000	7.90992	5.54159	5.80417	79.38826	45.39838	11.8659	6.28084	33.74213	49.92150	1.73909	9.98475	9.28345	34.3869
6.52387	5.09757	8.87094	1056.92341	0.00000	6.61292	5.15508	6.84853	43.29158	33.27767	-6.48167	6.87192	11.31954	41.57001	1.60995	9.95131	8.76163	106.85417
