QoS	station	code	latitude	longitude	revision
good	Sun City Center	US	27.71809	-82.35176	2017-04-07
excellent	Schwalmtal	DE	51.21667	6.26667	06/06/2018, 00:00:00
average	Sakaraha	MG	-22.9	44.53333	2022-04-10
building	Cibinong	ID	-6.48167	106.85417	04 Nov 2016
average	Madhipura	IN	25.92127	86.79271	06 Jun 2019
building	Ken Caryl	US	39.57582	-105.11221	2019-05-14
average	Norwalk	US	41.24255	-82.61573	2021-12-04
excellent	Resplendor	BR	-19.32556	-41.25528	27 Oct 2018
good	Selby	GB	53.78333	-1.06667	2019-11-30
accep	Thap Than	TH	15.46063	99.89166	16 May 2020
average	Lutz	US	28.15112	-82.46148	2017/07/07
average	Damnoen Saduak	TH	13.51825	99.95469	2013-02-16
excellent	Beni	CD	0.49113	29.47306	2022/08/15
accep	Shaowu	CN	27.34089	117.4831	2015/05/30
good	Kallio	FI	60.18427	24.95034	15 May 2017
accep	'Ali Sabieh	DJ	11.15583	42.7125	2013/08/16
good	Dax	FR	43.71032	-1.05366	20 Dec 2017
building	Hrazdan	AM	40.49748	44.7662	07/06/2015, 00:00:00
building	Ferrol	ES	43.48961	-8.2194	03/05/2013, 00:00:00
good	Gonesse	FR	48.98693	2.44892	2016/09/23
average	Carlsbad	US	32.42067	-104.22884	23 May 2022
average	Bothell	US	47.76232	-122.2054	10/05/2020, 00:00:00
average	Kingston upon Hull	GB	53.7446	-0.33525	2022/02/05
excellent	Keizer	US	44.99012	-123.02621	13 Oct 2021
excellent	Oktyabr’skiy	RU	54.48147	53.47103	2020-03-29
maitennce	Mampong	GH	7.06273	-1.4001	30 Dec 2021
accep	Carindale	AU	-27.50578	153.10236	03/08/2021, 00:00:00
good	Puerto Colombia	CO	10.98778	-74.95472	28 Dec 2015
good	Magong	TW	23.5654	119.58627	02 Nov 2015
excellent	Milledgeville	US	33.08014	-83.2321	05/09/2013, 00:00:00
excellent	T’aebaek	KR	37.1759	128.9889	2015-11-07
accep	Bensheim	DE	49.68369	8.61839	2020-04-17
good	Tavda	RU	58.04254	65.27258	09/14/2022, 00:00:00
excellent	Sassari	IT	40.72586	8.55552	2013-01-08
accep	Buynaksk	RU	42.819	47.1192	28 Feb 2020
maintenance	Aberdeen	GB	57.14369	-2.09814	12/23/2018, 00:00:00
average	Wangon	ID	-7.51611	109.05389	2013/03/16
average	Saint-Genis-Laval	FR	45.69558	4.7934	05/04/2013, 00:00:00
accep	Marburg an der Lahn	DE	50.80904	8.77069	21 Jun 2016
average	Chillum	US	38.96372	-76.99081	19 Jul 2014
excellent	Messaad	DZ	34.15429	3.50309	20 Nov 2016
maintenance	Lanciano	IT	42.22718	14.39024	01/14/2013, 00:00:00
accep	Norwalk	US	41.24255	-82.61573	2016/09/19
maintenance	Kismayo	SO	-0.35817	42.54536	06/28/2022, 00:00:00
building	Rajaori	IN	33.37526	74.3092	25 May 2014
building	Villaquilambre	ES	42.64685	-5.55835	25 Jan 2014
good	Villabate	IT	38.07789	13.44275	12/08/2017, 00:00:00
good	New Kingston	JM	18.00747	-76.78319	10/01/2019, 00:00:00
accep	Gorgonzola	IT	45.53069	9.40531	23 Jan 2019
good	Severodvinsk	RU	64.5635	39.8302	2014-12-06
good	Pujali	IN	22.4711	88.1453	2021-05-31
excellent	Marburg an der Lahn	DE	50.80904	8.77069	05/29/2019, 00:00:00
building	Tupi	PH	6.33444	124.95278	2013/03/01
average	Narva	EE	59.37722	28.19028	09 Jan 2017
good	Ariccia	IT	41.72063	12.6723	10/14/2019, 00:00:00
excellent	Qazax	AZ	41.09246	45.36561	08 Sep 2021
accep	Newbury	GB	51.40148	-1.32471	12/12/2018, 00:00:00
maintenance	West Des Moines	US	41.57721	-93.71133	2020-04-25
excellent	Diwek	ID	-7.57897	112.23109	2012/12/26
good	Iturama	BR	-19.72806	-50.19556	2017/11/07
average	Surbiton	GB	51.39148	-0.29825	2021-01-07
average	Oberhausen	DE	51.47805	6.8625	03/10/2018, 00:00:00
good	West Chester	US	39.96097	-75.60804	2017-08-10
average	Ehingen	DE	48.28259	9.72749	08/14/2019, 00:00:00
accep	Lanciano	IT	42.22718	14.39024	2022/09/17
average	Charlottetown	CA	46.23899	-63.13414	11 Sep 2020
average	Tornio	FI	65.84811	24.14662	2022-04-12
maintenance	Hlohovec	SK	48.43174	17.8031	2017-10-31
excellent	Valence	FR	44.92801	4.8951	12/13/2015, 00:00:00
excellent	Masbate	PH	12.37169	123.62494	2015/03/18
average	Jhol	PK	25.95533	68.88871	11 Dec 2012
average	Clermont	US	28.54944	-81.77285	2021-01-25
good	Guapimirim	BR	-22.53722	-42.98194	2022-05-04
excellent	Polohy	UA	47.48444	36.25361	09/13/2022, 00:00:00
maintenance	Sassari	IT	40.72586	8.55552	2017-03-02
maintenance	Schiebroek	NL	51.95838	4.47124	2012/11/30
accep	Cordenons	IT	45.9836	12.70038	05/04/2015, 00:00:00
accep	Frenda	DZ	35.06544	1.04945	07/03/2016, 00:00:00
good	Saint-Genis-Laval	FR	45.69558	4.7934	2014-08-21
maintenance	Jalal-Abad	KG	40.93333	73	2017-01-31
building	Narva	EE	59.37722	28.19028	2019-09-12
excellent	Marburg an der Lahn	DE	50.80904	8.77069	19 Jul 2018
accep	Rutherglen	GB	55.82885	-4.21376	2017/09/30
average	Gajendragarh	IN	15.73628	75.96976	11/18/2012, 00:00:00
good	Hlohovec	SK	48.43174	17.8031	2015-10-06
maintenance	Watsonville	US	36.91023	-121.75689	27 Oct 2015
good	Gorakhpur	IN	26.76628	83.36889	01 Jan 2014
average	Bar-le-Duc	FR	48.77275	5.16108	2018-06-04
excellent	Pune	IN	18.51957	73.85535	2012/10/19
maintenance	Rutherglen	GB	55.82885	-4.21376	2019/10/26
average	Kolomyagi	RU	60.02427	30.28491	2019/01/16
accep	Tadmur	SY	34.5624	38.28402	30 Jun 2013
average	Aloha	US	45.49428	-122.86705	2017/07/05
excellent	Fairview Heights	US	38.58894	-89.99038	2018-01-08
accep	Shimotoda	JP	35.815	139.6853	12 Dec 2014
average	T’aebaek	KR	37.1759	128.9889	2014/08/30
excellent	Daud Khel	PK	32.87533	71.57118	03/20/2022, 00:00:00
accep	Kobuleti	GE	41.82143	41.77921	2019-01-24
accep	Sterling	US	39.00622	-77.4286	09/01/2017, 00:00:00
excellent	Surbiton	GB	51.39148	-0.29825	21 Jul 2017
excellent	Gaya	NG	11.86064	9.0027	2021-12-19
building	Tak Bai	TH	6.25947	102.05461	06/18/2014, 00:00:00
excellent	Kearns	US	40.65995	-111.99633	10 Apr 2020
accep	Naushahra Virkan	PK	31.96258	73.97117	23 Mar 2015
average	Danilov	RU	58.1908	40.17171	2019-11-24
accep	Albstadt	DE	48.21644	9.02596	2014-09-23
excellent	Malden	US	42.4251	-71.06616	01 Jan 2022
accep	Valinhos	BR	-22.97056	-46.99583	2013/08/15
excellent	Bavly	RU	54.39304	53.26023	2014/10/05
maintenance	Tyoply Stan	RU	55.62047	37.49338	2020/06/16
building	Chharra	IN	27.9247	78.40102	16 Feb 2020
accep	Marly-le-Roi	FR	48.86667	2.08333	02 Aug 2020
average	Tortona	IT	44.89784	8.86374	04/12/2018, 00:00:00
average	Taozhuang	CN	34.85	117.33333	12/22/2015, 00:00:00
accep	Haldwani	IN	29.22254	79.5286	2012-11-13
excellent	Ukmerge	LT	55.25	24.75	2014-11-27
good	Penzance	GB	50.11861	-5.53715	31 Jan 2013
accep	Recodo	PH	6.95194	121.96361	03/22/2021, 00:00:00
average	Heroica Matamoros	MX	25.87972	-97.50417	06/04/2019, 00:00:00
average	West Des Moines	US	41.57721	-93.71133	2014-11-29
accep	Frankston South	AU	-38.16604	145.13643	2020-08-23
accep	Changzhi	CN	35.20889	111.73861	2018/06/06
maintenance	Newbury	GB	51.40148	-1.32471	07 Jan 2014
good	Montana	BG	43.4125	23.225	2015-01-27
excellent	San Juan de Aznalfarache	ES	37.35813	-6.03731	08/03/2020, 00:00:00
good	Mardin	TR	37.31309	40.74357	2019/07/15
building	Crystal Lake	US	42.24113	-88.3162	14 Dec 2014
average	Port-Vila	VU	-17.73648	168.31366	07/15/2018, 00:00:00
accep	Sheoganj	IN	25.13915	73.06784	2020-10-06
accep	Paidha	UG	2.41669	30.98551	05 May 2020
maintenance	Santa Cruz de Barahona	DO	18.20854	-71.10077	10/28/2014, 00:00:00
building	Bang Ban	TH	14.37395	100.48528	12/03/2018, 00:00:00
good	Valletta	MT	35.89972	14.51472	2021-09-16
average	Darreh Shahr	IR	33.14447	47.3799	2017-08-29
maintenance	Sar-e Pul	AF	36.21544	65.93249	12/03/2019, 00:00:00
building	Claremont	US	34.09668	-117.71978	09 Jun 2014
maintenance	Brentwood Estates	US	36.02506	-86.77917	2017-11-20
maintenance	Sorsogon	PH	12.97389	123.99333	06/10/2016, 00:00:00
accep	Kulai	MY	1.6561	103.6032	2014/07/07
building	Nova Kakhovka	UA	46.75451	33.34864	03/16/2015, 00:00:00
maintenance	Houthalen	BE	51.03427	5.37429	2019/06/23
good	Saharsa	IN	25.87498	86.59611	09/26/2021, 00:00:00
accep	Parkent	UZ	41.29444	69.67639	09/10/2018, 00:00:00
good	Albufeira	PT	37.08819	-8.2503	2013-06-23
excellent	Yasothon	TH	15.79408	104.1451	08/28/2017, 00:00:00
accep	Yablonovskiy	RU	44.98901	38.94324	2013/06/04
building	Carindale	AU	-27.50578	153.10236	2016-01-09
accep	San Fernando de Henares	ES	40.42386	-3.53261	2020/10/09
building	Novosilikatnyy	RU	53.30972	83.62389	07/03/2016, 00:00:00
excellent	Sambalpur	IN	21.46527	83.97573	15 Mar 2014
accep	Abilene	US	32.44874	-99.73314	2014-06-13
building	Shinshiro	JP	34.9	137.5	06/18/2015, 00:00:00
average	Frederiksberg	DK	55.67938	12.53463	09/12/2014, 00:00:00
good	Brunswick	US	43.91452	-69.96533	18 Jun 2014
building	Valday	RU	57.97472	33.2525	03/26/2021, 00:00:00
average	Viradouro	BR	-20.87306	-48.29694	05 Jan 2018
average	Krasyliv	UA	49.65186	26.97253	04/18/2020, 00:00:00
average	Montecchio Maggiore-Alte Ceccato	IT	45.50369	11.412	2014-01-19
accep	Catende	BR	-8.66667	-35.71667	11 Nov 2017
building	Shushary	RU	59.80917	30.38167	2016-04-30
excellent	Otegen Batyra	KZ	43.41949	77.0202	10/08/2015, 00:00:00
average	Wesseling	DE	50.82709	6.9747	2020-11-15
accep	Korschenbroich	DE	51.19139	6.51352	13 May 2020
average	Buri	BR	-23.7975	-48.59278	10 Jul 2014
average	Dombivli	IN	19.21667	73.08333	01 Mar 2020
maintenance	Lancing	GB	50.82882	-0.32247	2015-12-11
average	Alipur	PK	29.38242	70.91106	28 Sep 2021
maintenance	El Achir	DZ	36.06386	4.62744	2019/01/07
accep	Ragusa	IT	36.92574	14.72443	17 Oct 2018
excellent	Kherson	UA	46.65581	32.6178	04/03/2015, 00:00:00
maintenance	Hardenberg	NL	52.57583	6.61944	2019-07-09
maintenance	Novopavlovsk	RU	43.96222	43.63417	06/04/2021, 00:00:00
accep	Ishim	RU	56.11281	69.49015	2019-02-09
excellent	Sathyamangalam	IN	11.50526	77.23826	2017-11-26
good	Reus	ES	41.15612	1.10687	15 Aug 2019
excellent	Jagna	PH	9.6531	124.3697	2021-09-29
accep	Beidao	CN	34.56861	105.89333	2018-10-15
maintenance	Nowshahr	IR	36.64852	51.49621	12/06/2016, 00:00:00
excellent	Bang Ban	TH	14.37395	100.48528	11/28/2012, 00:00:00
good	Boumerdas	DZ	36.76639	3.47717	12 Aug 2022
good	Lymington	GB	50.75767	-1.5443	2015-12-03
accep	Paidha	UG	2.41669	30.98551	04/24/2018, 00:00:00
excellent	Caldas Novas	BR	-17.74431	-48.62789	18 Mar 2016
accep	Novara	IT	45.44694	8.62118	24 Feb 2014
excellent	Redding	US	40.58654	-122.39168	2017/12/31
maintenance	Majene	ID	-3.5403	118.9707	2018-05-01
accep	Osmanabad	IN	18.18158	76.03889	2019/02/03
excellent	Stade	DE	53.59337	9.47629	02/24/2013, 00:00:00
excellent	Shinshiro	JP	34.9	137.5	15 May 2013
accep	Sa Dec	VN	10.29085	105.75635	2013/06/02
maintenance	Palm Desert	US	33.72255	-116.37697	04/03/2019, 00:00:00
good	Pilar	PH	14.66	120.56528	26 Apr 2018
maintenance	Ambatondrazaka	MG	-17.83333	48.41667	12 Feb 2018
good	Aytos	BG	42.7	27.25	2017/01/26
accep	Chillum	US	38.96372	-76.99081	2017/07/11
good	Cheraga	DZ	36.76775	2.95924	06 Aug 2017
accep	Sheoganj	IN	25.13915	73.06784	2017-09-26
accep	Losser	NL	52.26083	7.00417	17 Aug 2019
excellent	Muritiba	BR	-12.91667	-39.25	2016-07-30
excellent	Hutchinson	US	38.06084	-97.92977	2020/04/05
good	Kachkanar	RU	58.7002	59.4839	2013-04-19
good	Edremit	TR	39.59611	27.02444	2019-07-03
average	Burscheid	DE	51.08468	7.11393	2018-09-19
good	Meerut	IN	28.98002	77.70636	2014/03/13
accep	Zeitz	DE	51.04962	12.1369	12/25/2020, 00:00:00
accep	Rafaela	AR	-31.25033	-61.4867	2019/12/15
accep	Agrigento	IT	37.31065	13.57661	04/14/2015, 00:00:00
average	Ariccia	IT	41.72063	12.6723	03 Jul 2015
good	Viewpark	GB	55.82737	-4.0573	01/30/2019, 00:00:00
average	Dehiwala-Mount Lavinia	LK	6.84019	79.87116	12/30/2017, 00:00:00
accep	Gainesville	US	29.65163	-82.32483	2021-06-20
excellent	Vienne	FR	45.51667	4.86667	13 Mar 2013
excellent	San Jose	PH	12.35275	121.06761	05/08/2021, 00:00:00
excellent	Milagro	EC	-2.13404	-79.59415	16 Apr 2014
accep	Mianwali	PK	32.57756	71.52847	2019-10-10
building	Pato Branco	BR	-26.22861	-52.67056	2015-02-23
average	Clacton-on-Sea	GB	51.78967	1.15597	11/07/2019, 00:00:00
excellent	Catende	BR	-8.66667	-35.71667	2021-04-15
excellent	Likhobory	RU	55.85	37.56667	09/20/2020, 00:00:00
good	Tchaourou	BJ	8.88649	2.59753	2013/02/03
excellent	Marau	BR	-28.44917	-52.2	01 Jul 2015
average	Montana	BG	43.4125	23.225	19 Feb 2022
average	Curitiba	BR	-25.42778	-49.27306	04/12/2019, 00:00:00
excellent	Media Luna	CU	20.14298	-77.43532	29 Aug 2014
excellent	Trossingen	DE	48.07667	8.64409	2018-10-30
building	East Haven	US	41.27621	-72.86843	04/05/2021, 00:00:00
good	Tyler	US	32.35126	-95.30106	05/20/2014, 00:00:00
building	Memmingen	DE	47.98372	10.18527	2019/02/19
good	Evergreen Park	US	41.72059	-87.70172	03/02/2013, 00:00:00
building	Novelda	ES	38.38479	-0.76773	28 May 2017
accep	Novopavlovsk	RU	43.96222	43.63417	27 Sep 2015
accep	Ataq	YE	14.53767	46.83187	16 Nov 2016
average	Karatsu	JP	33.4425	129.96972	2017/03/09
good	Sonzacate	SV	13.73417	-89.71472	10/30/2012, 00:00:00
average	Hasilpur	PK	29.69221	72.54566	2015-10-07
average	Kismayo	SO	-0.35817	42.54536	2013/12/13
building	Dalsingh Sarai	IN	25.66795	85.83636	09 Dec 2012
excellent	Kherson	UA	46.65581	32.6178	2017-05-14
good	Ferrol	ES	43.48961	-8.2194	2022-02-03
accep	Bridgeport	US	41.16704	-73.20483	06/26/2014, 00:00:00
accep	Meizhou	CN	24.28859	116.11768	2013-05-17
good	Saratoga Springs	US	40.34912	-111.90466	24 Sep 2021
good	Beaumont	US	33.92946	-116.97725	25 Jan 2020
accep	Troutdale	US	45.53929	-122.38731	2021/01/24
average	Novogrudok	BY	53.5942	25.8191	10/30/2017, 00:00:00
good	Hechingen	DE	48.35149	8.96317	2013-12-16
excellent	Scottsdale	US	33.50921	-111.89903	2019-09-29
accep	Msaken	TN	35.72917	10.58082	11/01/2013, 00:00:00
excellent	Nonsan	KR	36.20389	127.08472	2014-02-25
building	San Juan	US	26.18924	-98.15529	04 Jul 2017
good	Laguna Niguel	US	33.52253	-117.70755	29 May 2015
excellent	Murray	US	36.61033	-88.31476	02/16/2015, 00:00:00
good	Aksaray	TR	38.37255	34.02537	09 Dec 2016
accep	Diwek	ID	-7.57897	112.23109	07 Apr 2017
average	Nakhon Pathom	TH	13.8196	100.04427	11/09/2012, 00:00:00
maintenance	Ikalamavony	MG	-21.15	46.58333	2014/11/19
good	Jingzhou	CN	30.35028	112.19028	28 Oct 2018
excellent	Maxixe	MZ	-23.85972	35.34722	2014-12-04
accep	Gudermes	RU	43.35071	46.10925	2020-02-12
average	Hardenberg	NL	52.57583	6.61944	05/20/2016, 00:00:00
excellent	Kyzylorda	KZ	44.85278	65.50917	20 Jul 2020
good	Viradouro	BR	-20.87306	-48.29694	2020-09-26
accep	Teluk Intan	MY	4.02219	101.02083	2020-04-18
maintenance	Parkent	UZ	41.29444	69.67639	03/07/2018, 00:00:00
good	La Trinidad	PH	16.455	120.5875	2018/08/14
good	Schiebroek	NL	51.95838	4.47124	20 Mar 2018
average	Gonesse	FR	48.98693	2.44892	26 Jun 2020
accep	Sirsi	IN	14.62072	74.83554	29 Oct 2019
maintenance	Talence	FR	44.80477	-0.59543	06/12/2016, 00:00:00
good	Pontevedra	AR	-34.74785	-58.70072	2021/03/17
average	Aurora	US	39.72943	-104.83192	2014/10/18
average	Halstenbek	DE	53.63333	9.85	08 Oct 2014
average	Cebu City	PH	10.31672	123.89071	2015/11/18
average	Azrou	MA	33.43443	-5.22126	01/02/2015, 00:00:00
excellent	Kampung Ayer Molek	MY	2.2139	102.3278	22 Jul 2021
average	Gingee	IN	12.25282	79.41727	2015/09/25
accep	Soledade	BR	-28.81833	-52.51028	30 Sep 2016
excellent	Deoli	IN	25.75728	75.37991	04/06/2021, 00:00:00
maintenance	Nyangao	TZ	-10.33333	39.28333	08/18/2019, 00:00:00
maintenance	Naro-Fominsk	RU	55.38752	36.73307	2014/07/09
average	Aistala	IN	23.18	88.58	14 Sep 2021
good	Jackson	US	35.61452	-88.81395	2020-04-13
average	Kheda	IN	22.75218	72.68533	02/26/2014, 00:00:00
average	Rajaori	IN	33.37526	74.3092	22 Oct 2015
excellent	Losheim	DE	49.5099	6.74549	26 Oct 2019
excellent	Thomazeau	HT	18.65297	-72.09391	11/08/2013, 00:00:00
maintenance	Guyong	PH	14.8361	120.97844	2017/04/02
average	Hlohovec	SK	48.43174	17.8031	14 Jul 2013
accep	Tornio	FI	65.84811	24.14662	16 Apr 2016
maintenance	East Jerusalem	PS	31.78336	35.23388	10/27/2019, 00:00:00
accep	Kyzylorda	KZ	44.85278	65.50917	2016/09/20
excellent	Bad Segeberg	DE	53.94313	10.30215	10/30/2020, 00:00:00
maintenance	Trossingen	DE	48.07667	8.64409	2017/05/12
good	Shaowu	CN	27.34089	117.4831	30 Aug 2019
good	Canavieiras	BR	-15.675	-38.94722	2016/09/12
maintenance	Tandil	AR	-37.32167	-59.13316	2012-11-01
building	Yeysk	RU	46.7055	38.2739	10 Jun 2013
good	Dharmapuri	IN	12.1277	78.15794	25 Aug 2022
excellent	Davangere	IN	14.46693	75.92694	2021-04-24
good	Otegen Batyra	KZ	43.41949	77.0202	2021-06-05
average	Castelfranco Emilia	IT	44.59445	11.04979	2014/12/27
excellent	Myawadi	MM	16.68911	98.50893	2014/07/23
excellent	Tiruppuvanam	IN	9.82564	78.25795	2017/07/13
average	Fresno	US	29.53885	-95.44744	06/20/2018, 00:00:00
building	Cabo	BR	-8.28333	-35.03333	16 Aug 2021
average	Kushtia	BD	23.9028	89.11943	07/24/2013, 00:00:00
excellent	Pameungpeuk	ID	-7.01833	107.60389	2018-05-18
good	Esperanza	AR	-31.4488	-60.93173	2018-05-06
excellent	Port-Vila	VU	-17.73648	168.31366	2013/02/16
excellent	Ilopango	SV	13.70167	-89.10944	08 Nov 2015
accep	Saint-Omer	FR	50.75	2.25	2014-06-25
average	Segundo Ensanche	ES	42.8139	-1.64295	02/21/2014, 00:00:00
maintenance	Hungund	IN	16.06213	76.0586	06/23/2015, 00:00:00
good	Yamada	JP	39.46667	141.95	29 Jul 2018
average	Miracema	BR	-21.41222	-42.19667	2020-11-29
excellent	Hengshui	CN	37.73222	115.70111	03 Jun 2022
good	Zeist	NL	52.09	5.23333	2020/09/28
accep	Talavera de la Reina	ES	39.96348	-4.83076	2013/05/07
accep	Deoli	IN	25.75728	75.37991	06 Aug 2017
maintenance	Dongdu	CN	35.85	117.7	02/15/2017, 00:00:00
building	Jizzax	UZ	40.11583	67.84222	24 Jun 2021
accep	Sorsogon	PH	12.97389	123.99333	2019-08-04
accep	Quimper	FR	48	-4.1	2020-12-14
average	Hita	JP	33.3213	130.94098	2015-03-30
average	Lino Lakes	US	45.16024	-93.08883	2021-12-09
excellent	Utica	US	43.1009	-75.23266	27 Mar 2020
maintenance	T’aebaek	KR	37.1759	128.9889	09 Nov 2018
building	Paredes	PT	41.20485	-8.33147	09/07/2021, 00:00:00
maintenance	Frankston South	AU	-38.16604	145.13643	10/12/2014, 00:00:00
average	Mirriah	NE	13.70727	9.15013	2019/01/08
good	Recife	BR	-8.05389	-34.88111	2016-10-10
good	Boo	SE	59.33333	18.28333	2020-03-07
building	Shagamu	NG	6.8485	3.64633	12/28/2021, 00:00:00
excellent	Paidha	UG	2.41669	30.98551	02/28/2021, 00:00:00
building	Yamada	JP	39.46667	141.95	12/18/2014, 00:00:00
accep	Halstenbek	DE	53.63333	9.85	04/05/2018, 00:00:00
good	Hoogezand	NL	53.16167	6.76111	06/07/2016, 00:00:00
good	Jhol	PK	25.95533	68.88871	18 Feb 2022
accep	Jerada	MA	34.31	-2.16	2015/03/25
excellent	Jersey City	US	40.72816	-74.07764	03 Feb 2013
accep	Toba	JP	34.4833	136.84186	2013-05-27
maintenance	Carindale	AU	-27.50578	153.10236	05 Nov 2016
good	Ovalle	CL	-30.60106	-71.19901	07/06/2013, 00:00:00
excellent	Same	TZ	-4.06667	37.73333	2014/12/23
average	Hofheim am Taunus	DE	50.09019	8.4493	11/22/2015, 00:00:00
good	Kashipur	IN	29.21399	78.95693	25 May 2020
average	Tupiza	BO	-21.44345	-65.71875	2016/01/12
excellent	Peabody	US	42.52787	-70.92866	2020/03/11
accep	Far Rockaway	US	40.60538	-73.75513	2015-03-30
accep	Mouscron	BE	50.74497	3.20639	27 Feb 2017
average	Le Chesnay	FR	48.8222	2.12213	11/08/2013, 00:00:00
good	Palestine	US	31.76212	-95.63079	10/06/2021, 00:00:00
good	Taunton	US	41.9001	-71.08977	2017/05/13
average	Lakota	CI	5.84752	-5.682	17 Feb 2022
accep	Dehiwala-Mount Lavinia	LK	6.84019	79.87116	2017/09/10
good	Timaru	NZ	-44.39672	171.25364	2019/06/19
average	Jashpurnagar	IN	22.88783	84.13864	04/23/2015, 00:00:00
average	Xiangtan	CN	27.85	112.9	09/07/2016, 00:00:00
good	Markham	CA	43.86682	-79.2663	2020-11-08
excellent	les Escaldes	AD	42.50729	1.53414	12/19/2014, 00:00:00
excellent	San Giuliano Milanese	IT	45.39402	9.29109	2014/04/19
maintenance	Yauco	PR	18.03496	-66.8499	21 Nov 2020
average	Teghra	IN	25.49043	85.94001	09/18/2016, 00:00:00
maintenance	Aytos	BG	42.7	27.25	2012-11-28
excellent	Sambalpur	IN	21.46527	83.97573	02/01/2021, 00:00:00
good	Tyler	US	32.35126	-95.30106	12/20/2014, 00:00:00
good	Meizhou	CN	24.28859	116.11768	22 Apr 2014
good	Estelle	US	29.84576	-90.10674	2022-01-18
accep	High Wycombe	GB	51.62907	-0.74934	03/28/2022, 00:00:00
average	Dalsingh Sarai	IN	25.66795	85.83636	2013-01-21
accep	Kensington	US	40.64621	-73.97069	2019/08/25
average	Morningside Heights	US	40.81	-73.9625	22 May 2020
accep	Sonzacate	SV	13.73417	-89.71472	2021/02/21
excellent	Bavly	RU	54.39304	53.26023	2014/02/02
excellent	Norwalk	US	41.24255	-82.61573	2019/07/08
building	New Canaan	US	41.14676	-73.49484	2017/02/28
average	Tudela	ES	42.06166	-1.60452	2014-03-30
excellent	Danjiangkou	CN	32.54278	111.50861	14 Jun 2019
good	San Lorenzo Acopilco	MX	19.32889	-99.32556	31 Dec 2015
average	Saint-Genis-Laval	FR	45.69558	4.7934	2020-08-23
excellent	Patnos	TR	39.22493	42.85693	2015-10-21
accep	Boston	US	42.35843	-71.05977	2019-10-29
building	Soroca	MD	48.15659	28.28489	05 Jul 2020
good	Jagna	PH	9.6531	124.3697	2020/04/17
building	Barbil	IN	22.10194	85.37752	2015/11/26
accep	Lesnoy	RU	58.63667	59.80222	2015/10/13
good	Kuvandyk	RU	51.4781	57.3552	11/11/2012, 00:00:00
average	Brenham	US	30.16688	-96.39774	04/16/2014, 00:00:00
maintenance	Yauco	PR	18.03496	-66.8499	11/08/2020, 00:00:00
average	El Alia	TN	37.16911	10.03478	05/12/2014, 00:00:00
excellent	Hungund	IN	16.06213	76.0586	2018-08-05
average	Glendale	US	34.14251	-118.25508	2017/11/28
accep	La Victoria	VE	10.22677	-67.33122	2014/02/25
average	Meizhou	CN	24.28859	116.11768	10/10/2012, 00:00:00
maintenance	La Ligua	CL	-32.45242	-71.23106	30 Jul 2015
accep	Darreh Shahr	IR	33.14447	47.3799	2021/08/03
accep	Chillum	US	38.96372	-76.99081	2016-09-24
