latitude	QoS	longitude	code	revision	station
4.02219	excellent	101.02083	MY	2014/03/02	Teluk Intan
35.20889	excellent	111.73861	CN	09/20/2020, 00:00:00	Changzhi
25.92127	good	86.79271	IN	2016/08/20	Madhipura
52.47774	building	10.5511	DE	2013/09/19	Gifhorn
-10.90889	accep	-37.03861	BR	2017/07/15	Barra dos Coqueiros
40.94065	building	-73.99681	US	2021-08-19	Dumont
33.92866	accep	-6.90656	MA	2016-09-18	Temara
50.75	good	2.25	FR	07/06/2013, 00:00:00	Saint-Omer
37.95143	excellent	-91.77127	US	30 Sep 2015	Rolla
38.13708	excellent	41.00817	TR	01/18/2020, 00:00:00	Silvan
4.73245	accep	-74.26419	CO	07/13/2014, 00:00:00	Madrid
-2.13404	excellent	-79.59415	EC	2018/04/18	Milagro
-21.98333	accep	16.91667	NA	07/16/2017, 00:00:00	Okahandja
11.8659	maintenance	34.3869	SD	2016-06-19	Ar Ruseris
44.75874	excellent	19.21437	BA	2012/12/25	Bijeljina
23.02677	building	113.13148	CN	01/13/2020, 00:00:00	Foshan
33.42585	accep	-6.00137	MA	08/03/2020, 00:00:00	Oulmes
40.58654	good	-122.39168	US	05/26/2022, 00:00:00	Redding
48.35149	excellent	8.96317	DE	2015/05/05	Hechingen
35.05266	building	-78.87836	US	2014-09-04	Fayetteville
-11.78333	excellent	19.91667	AO	2016-11-20	Luena
-15.21194	maintenance	-75.11028	PE	02/23/2021, 00:00:00	Minas de Marcona
34.77453	average	-96.67834	US	2012/12/23	Ada
51.955	average	5.22778	NL	10/16/2012, 00:00:00	Culemborg
10.66668	excellent	-61.51889	TT	2021/11/10	Port of Spain
37.73222	excellent	115.70111	CN	08/23/2013, 00:00:00	Hengshui
4.88441	average	101.96857	MY	26 Feb 2015	Gua Musang
20.28527	building	-103.42897	MX	16 Feb 2018	Jocotepec
41.57439	accep	24.71204	BG	07 Jun 2013	Smolyan
28.54944	excellent	-81.77285	US	28 Feb 2014	Clermont
10.58806	good	77.24779	IN	2018/05/07	Udumalaippettai
29.22254	good	79.5286	IN	02/10/2013, 00:00:00	Haldwani
48.28259	good	9.72749	DE	11/05/2017, 00:00:00	Ehingen
31.12406	average	-97.90308	US	2017/09/03	Copperas Cove
-7.81667	accep	112.01667	ID	05/07/2017, 00:00:00	Kediri
34.85	maintenance	117.33333	CN	29 Sep 2018	Taozhuang
35.25064	building	-91.73625	US	2016/02/04	Searcy
23.15678	building	-81.24441	CU	2022-05-15	Varadero
53.19146	maintenance	-2.52398	GB	07 May 2017	Winsford
23.15678	maintenance	-81.24441	CU	04/27/2018, 00:00:00	Varadero
34.25628	accep	-78.04471	US	06/03/2019, 00:00:00	Leland
-8.76194	accep	-63.90389	BR	2013/10/17	Porto Velho
43.50891	good	16.43915	HR	25 Oct 2018	Split
52.86147	good	9.5926	DE	01/25/2017, 00:00:00	Walsrode
44.98901	average	38.94324	RU	07/24/2014, 00:00:00	Yablonovskiy
41.9001	average	-71.08977	US	23 May 2021	Taunton
54.03876	excellent	43.91385	RU	05 Apr 2021	Kovylkino
41.27621	maintenance	-72.86843	US	2016-10-30	East Haven
19.04222	good	-98.11889	MX	11/17/2014, 00:00:00	Casa Blanca
25.80565	good	68.49143	PK	08/17/2013, 00:00:00	Bhit Shah
40.68066	building	-73.47429	US	08/06/2016, 00:00:00	Massapequa
44.99012	average	-123.02621	US	2016-06-04	Keizer
44.31771	good	9.32241	IT	10/21/2015, 00:00:00	Chiavari
-7.51611	accep	109.05389	ID	2020/03/08	Wangon
10.22677	average	-67.33122	VE	2017/05/13	La Victoria
28.71271	maintenance	77.656	IN	06 Sep 2022	Pilkhua
41.72063	maintenance	12.6723	IT	2013/04/28	Ariccia
28.88162	accep	120.03308	CN	06 Feb 2020	Guli
36.91023	maintenance	-121.75689	US	08 Jan 2022	Watsonville
50.72043	good	11.34046	DE	04/13/2021, 00:00:00	Rudolstadt
12.95629	accep	78.27539	IN	08/13/2018, 00:00:00	Robertsonpet
64.5635	accep	39.8302	RU	03/21/2013, 00:00:00	Severodvinsk
10.66668	good	-61.51889	TT	08/26/2013, 00:00:00	Port of Spain
40.24537	accep	-75.64963	US	2021/10/31	Pottstown
45.40008	average	-73.58248	CA	2020-04-05	Sainte-Catherine
13.56667	accep	-15.6	GM	04 Aug 2019	Farafenni
47.46657	maintenance	84.87144	KZ	2016-06-08	Zaysan
42.24113	building	-88.3162	US	2014-01-16	Crystal Lake
45.16024	good	-93.08883	US	05/03/2016, 00:00:00	Lino Lakes
10.10649	excellent	76.35484	IN	2017/09/19	Alwaye
26.18924	maintenance	-98.15529	US	23 Nov 2016	San Juan
33.50921	maintenance	-111.89903	US	21 Aug 2016	Scottsdale
42.24113	excellent	-88.3162	US	2013/09/13	Crystal Lake
36.72544	good	3.55665	DZ	2018-10-28	Thenia
53.78333	building	-1.06667	GB	18 Nov 2021	Selby
-23.85972	average	35.34722	MZ	2019-10-17	Maxixe
42.55308	building	-87.93341	US	04 Oct 2017	Pleasant Prairie
-22.97056	good	-46.99583	BR	2017-06-10	Valinhos
41.63976	building	2.35739	ES	02/07/2022, 00:00:00	Cardedeu
38.06084	accep	-97.92977	US	2013-04-09	Hutchinson
37.95143	maintenance	-91.77127	US	2020-10-01	Rolla
-1.6	accep	103.61667	ID	2015-09-24	Jambi City
37.73222	good	115.70111	CN	06/19/2018, 00:00:00	Hengshui
43.96222	accep	43.63417	RU	26 Nov 2016	Novopavlovsk
36.65	building	138.31667	JP	2021-09-09	Suzaka
33.76446	good	-117.79394	US	03/04/2015, 00:00:00	North Tustin
40.63316	average	-74.13653	US	11/07/2013, 00:00:00	Port Richmond
-23.7975	building	-48.59278	BR	2018-11-15	Buri
15.48131	excellent	-86.57415	HN	12/23/2016, 00:00:00	Olanchito
-27.4338	average	-65.61427	AR	02/03/2019, 00:00:00	Aguilares
50.82882	average	-0.32247	GB	26 Jun 2013	Lancing
13.70727	excellent	9.15013	NE	01/17/2013, 00:00:00	Mirriah
24.41288	accep	76.56719	IN	13 Feb 2018	Aklera
47.98372	average	10.18527	DE	01 May 2015	Memmingen
50.7236	excellent	-3.52751	GB	06/21/2018, 00:00:00	Exeter
30.17746	accep	-81.38758	US	2015/10/31	Palm Valley
37.13548	excellent	-3.67029	ES	2015-11-07	Las Gabias
33.3213	average	130.94098	JP	12/06/2018, 00:00:00	Hita
3.8801	excellent	-77.03116	CO	2013-11-11	Buenaventura
41.54566	accep	-71.29144	US	2022-09-27	Middletown
58.23583	excellent	92.48278	RU	10 Jun 2018	Lesosibirsk
36.46917	accep	10.78222	TN	2013-06-12	Beni Khiar
33.52253	good	-117.70755	US	12/05/2017, 00:00:00	Laguna Niguel
30.75545	maintenance	20.22625	LY	27 Feb 2020	Ajdabiya
34.85	maintenance	117.33333	CN	2014/05/10	Taozhuang
43.82634	excellent	144.09638	JP	2013/09/24	Motomachi
25.87972	excellent	-97.50417	MX	2013/09/23	Heroica Matamoros
18.20854	excellent	-71.10077	DO	2018-04-26	Santa Cruz de Barahona
-4.5833	average	15.16554	CD	04/03/2016, 00:00:00	Kasangulu
33.44872	average	-86.78777	US	11/12/2017, 00:00:00	Vestavia Hills
54.39635	accep	24.04142	LT	2014/06/04	Alytus
48.8765	excellent	2.18967	FR	2017/09/12	Rueil-Malmaison
42.52787	building	-70.92866	US	2015/02/15	Peabody
34.56861	excellent	105.89333	CN	2020/05/11	Beidao
35.72917	good	10.58082	TN	2019-05-03	Msaken
32.5007	average	-94.74049	US	2020-03-17	Longview
45.53069	good	9.40531	IT	2020-05-01	Gorgonzola
49.41029	excellent	38.15035	UA	05 May 2019	Svatove
-21.205	good	-41.88778	BR	09/12/2015, 00:00:00	Itaperuna
52.61131	excellent	13.31783	DE	25 Mar 2017	Hermsdorf
52.71083	accep	5.74861	NL	2020/03/04	Emmeloord
23.02677	average	113.13148	CN	2022-04-05	Foshan
59.37722	average	28.19028	EE	2015-03-12	Narva
-22.53722	excellent	-42.98194	BR	03/12/2021, 00:00:00	Guapimirim
52.21099	excellent	7.02238	DE	08/31/2015, 00:00:00	Gronau
14.8361	building	120.97844	PH	07 Sep 2015	Guyong
49.5099	average	6.74549	DE	2014-11-13	Losheim
-32.45242	excellent	-71.23106	CL	28 Dec 2020	La Ligua
-6.91806	building	106.92667	ID	13 Nov 2017	Sukabumi
51.84819	excellent	1.26738	GB	06/22/2022, 00:00:00	Walton-on-the-Naze
34.81667	good	137.4	JP	06/16/2019, 00:00:00	Toyokawa
4.73245	excellent	-74.26419	CO	2013/03/13	Madrid
-7.57897	good	112.23109	ID	25 Feb 2021	Diwek
3.11988	excellent	35.59642	KE	2018/11/24	Lodwar
34.61667	maintenance	135.6	JP	11/25/2019, 00:00:00	Yao
8.35122	average	-62.64102	VE	2022/03/17	Ciudad Guayana
6.15038	accep	6.83042	NG	2018-04-27	Nkpor
20.21322	accep	-100.88023	MX	19 Oct 2015	Salvatierra
17.34769	average	78.55757	IN	2019/11/20	Lal Bahadur Nagar
-4.5833	maintenance	15.16554	CD	2017-02-05	Kasangulu
39.12074	accep	27.18052	TR	2013/05/24	Bergama
40.65538	good	-74.38987	US	2022/06/13	Scotch Plains
37.74615	maintenance	-25.66689	PT	17 Oct 2012	Ponta Delgada
51.78967	good	1.15597	GB	2014-11-07	Clacton-on-Sea
48	good	-4.1	FR	12/09/2016, 00:00:00	Quimper
24.81757	accep	84.63445	IN	03/01/2020, 00:00:00	Rafiganj
15.5439	good	73.7553	IN	2016-06-28	Calangute
52.4089	good	31.3237	BY	2020/02/27	Dobrush
32.50611	excellent	120.14278	CN	2016/09/24	Jiangyan
52.09	accep	5.23333	NL	2019-01-26	Zeist
39.59611	maitennce	27.02444	TR	2016-05-16	Edremit
40.55851	good	17.80774	IT	2013/10/23	Mesagne
38.37255	excellent	34.02537	TR	01 Jul 2019	Aksaray
49.97704	accep	9.15214	DE	2016/06/01	Aschaffenburg
23.1959	average	86.51499	IN	08 Aug 2020	Kenda
48.98693	maintenance	2.44892	FR	03 Jan 2021	Gonesse
37.35813	maintenance	-6.03731	ES	06/12/2021, 00:00:00	San Juan de Aznalfarache
50.06	maintenance	43.2379	RU	2014-11-29	Mikhaylovka
25.66795	good	85.83636	IN	13 Oct 2015	Dalsingh Sarai
31.39547	good	34.75699	IL	2018-10-07	Rahat
25.49043	accep	85.94001	IN	29 Mar 2018	Teghra
54.39635	excellent	24.04142	LT	2013-05-22	Alytus
51.24197	building	4.82313	BE	2015-07-12	Lille
50.23271	maintenance	12.87117	CZ	30 Sep 2014	Karlovy Vary
28.92694	excellent	78.23456	IN	2021-04-12	Bachhraon
55.38752	building	36.73307	RU	17 Apr 2014	Naro-Fominsk
32.65246	building	51.67462	IR	07/18/2013, 00:00:00	Isfahan
33.7207	accep	-116.21677	US	11 Nov 2018	Indio
44.22639	excellent	22.53083	RS	04/25/2015, 00:00:00	Negotin
50.86079	accep	17.4674	PL	25 Jun 2018	Brzeg
45.51667	good	4.86667	FR	27 Dec 2013	Vienne
36.82167	accep	128.63083	KR	2019-06-08	Eisen
52.53048	accep	13.29371	DE	2021/02/08	Charlottenburg-Nord
-27.50578	average	153.10236	AU	2013/07/22	Carindale
41.80753	excellent	-87.65644	US	08/10/2019, 00:00:00	New City
-22.53722	excellent	-42.98194	BR	08/10/2014, 00:00:00	Guapimirim
17.34769	excellent	78.55757	IN	2016/09/12	Lal Bahadur Nagar
44.22639	accep	22.53083	RS	09/23/2016, 00:00:00	Negotin
-33.88096	building	151.07986	AU	05 Sep 2019	Strathfield
53.30972	excellent	83.62389	RU	16 Feb 2016	Novosilikatnyy
3.11988	maintenance	35.59642	KE	2018-11-18	Lodwar
-19.72806	accep	-50.19556	BR	20 Nov 2017	Iturama
57.47908	accep	-4.22398	GB	02/19/2016, 00:00:00	Inverness
31.92923	maintenance	34.86563	IL	2013/03/16	Ramla
41.8542	average	-87.66561	US	03 Aug 2013	Lower West Side
55.63711	average	37.38115	RU	11/07/2019, 00:00:00	Solntsevo
56.9083	excellent	60.8019	RU	07 Jun 2016	Beryozovsky
45.35	building	126.28333	CN	2020/02/10	Shuangcheng
27.52948	average	68.75915	PK	30 Aug 2013	Khairpur Mir’s
52.31333	average	6.92917	NL	11/16/2012, 00:00:00	Oldenzaal
27.52948	average	68.75915	PK	2017-03-22	Khairpur Mir’s
-29.2975	accep	-51.50361	BR	01 Feb 2021	Carlos Barbosa
-11.48472	building	-37.93278	BR	06/27/2016, 00:00:00	Rio Real
48.35149	accep	8.96317	DE	2022/04/18	Hechingen
-6.91806	good	106.92667	ID	03 Aug 2018	Sukabumi
31.64615	excellent	120.74221	CN	10 Dec 2012	Changshu City
37.56667	excellent	140.11667	JP	24 Sep 2021	Inawashiro
-36.9256	accep	-73.02841	CL	07 Nov 2021	Chiguayante
40.53123	average	17.58522	IT	2016/11/07	Francavilla Fontana
48.78232	excellent	9.17702	DE	2017/03/24	Stuttgart
40.68066	maintenance	-73.47429	US	06/07/2014, 00:00:00	Massapequa
40.57788	average	-73.95958	US	2020-10-17	Brighton Beach
12.04161	maintenance	75.35927	IN	2014/07/02	Talipparamba
41.85059	accep	-87.882	US	18 Apr 2022	Westchester
48.98333	excellent	2.61667	FR	2021/09/29	Mitry-Mory
36.92574	good	14.72443	IT	11/06/2017, 00:00:00	Ragusa
48.43174	building	17.8031	SK	2019-03-04	Hlohovec
45.49428	average	-122.86705	US	2017/11/23	Aloha
46.23899	good	-63.13414	CA	2021/02/23	Charlottetown
53.14657	accep	140.72287	RU	06/19/2016, 00:00:00	Nikolayevsk-on-Amure
-4.16694	accep	-40.7475	BR	2017-06-13	Guaraciaba do Norte
39.78504	average	-85.76942	US	2017/04/20	Greenfield
41.63976	average	2.35739	ES	03/18/2018, 00:00:00	Cardedeu
-22.57306	good	-47.1725	BR	10/04/2012, 00:00:00	Artur Nogueira
33.86419	average	48.26258	IR	2015/01/23	Aleshtar
-10.90889	acceptable	-37.03861	BR	09/10/2022, 00:00:00	Barra dos Coqueiros
-15.675	excellent	-38.94722	BR	2018/04/07	Canavieiras
0.49113	excellent	29.47306	CD	2019-02-17	Beni
-8.28333	good	-35.03333	BR	02/17/2017, 00:00:00	Cabo
10.58806	good	77.24779	IN	22 Jun 2020	Udumalaippettai
-6.91806	accep	106.92667	ID	24 Nov 2014	Sukabumi
-1.9487	average	30.4347	RW	2022/04/11	Rwamagana
58.04254	good	65.27258	RU	2020/10/13	Tavda
40.98894	good	28.67582	TR	2014/05/24	Yakuplu
23.5654	building	119.58627	TW	05 Nov 2012	Magong
51.40944	accep	46.04833	RU	10/18/2013, 00:00:00	Privolzhskiy
31.96258	good	73.97117	PK	2017/10/04	Naushahra Virkan
41.48199	accep	-81.79819	US	05/10/2018, 00:00:00	Lakewood
-7.0981	building	109.3243	ID	27 May 2016	Randudongkal
-6.25	accep	38.66667	TZ	06/16/2014, 00:00:00	Mvomero
32.54278	accep	111.50861	CN	2020/06/03	Danjiangkou
39.32011	accep	-76.51552	US	29 Jun 2019	Rosedale
27.0174	accep	49.62251	SA	05/02/2016, 00:00:00	Al Jubayl
31.76212	accep	-95.63079	US	2022-01-06	Palestine
33.92866	good	-6.90656	MA	12/10/2019, 00:00:00	Temara
35.82756	average	137.95378	JP	17 Apr 2015	Ina
20.14298	average	-77.43532	CU	2014/12/07	Media Luna
36.06386	average	4.62744	DZ	05/05/2013, 00:00:00	El Achir
7.83389	average	-72.47417	CO	2015/06/02	Villa del Rosario
45.35	building	126.28333	CN	2020-09-26	Shuangcheng
44.59445	accep	11.04979	IT	2015-11-29	Castelfranco Emilia
24.96334	average	10.18003	LY	08/19/2018, 00:00:00	Ghat
-10.91722	excellent	-37.65	BR	2014-07-22	Lagarto
-5.41667	good	38.01667	TZ	2022-04-20	Chanika
-10.91722	accep	-37.65	BR	2013-08-17	Lagarto
55.64776	good	38.02486	RU	2013-01-20	Malakhovka
45.69558	excellent	4.7934	FR	30 Sep 2013	Saint-Genis-Laval
10.22677	good	-67.33122	VE	2015-04-13	La Victoria
19.8173	accep	-97.35992	MX	2018-04-11	Teziutlan
17.34769	average	78.55757	IN	2019/12/16	Lal Bahadur Nagar
43.41949	accep	77.0202	KZ	21 Jul 2017	Otegen Batyra
41.94175	building	123.50266	CN	2013-03-24	Hushitai
24.28859	accep	116.11768	CN	2020-07-02	Meizhou
6.9909	good	79.883	LK	17 Sep 2021	Hendala
36.72544	good	3.55665	DZ	30 Mar 2014	Thenia
57.14369	good	-2.09814	GB	2021/01/04	Aberdeen
14.64056	accep	104.64992	TH	2022/08/19	Kantharalak
40.72586	average	8.55552	IT	2014/07/18	Sassari
53.00974	accep	-3.05814	GB	2020-12-09	Rhosllanerchrugog
35.72917	good	10.58082	TN	2019-01-07	Msaken
55.8736	average	85.4265	RU	05/14/2017, 00:00:00	Yashkino
39.72943	good	-104.83192	US	2013/03/28	Aurora
34.08565	excellent	74.80555	IN	12/14/2020, 00:00:00	Srinagar
43.1009	accep	-75.23266	US	12/09/2021, 00:00:00	Utica
-22.9	average	44.53333	MG	2012/11/01	Sakaraha
26.68451	good	-80.66756	US	2015-07-14	Belle Glade
36.75965	good	137.36215	JP	2020/10/15	Namerikawa
-7.0981	excellent	109.3243	ID	08/17/2020, 00:00:00	Randudongkal
43.82634	accep	144.09638	JP	05 Jun 2018	Motomachi
40.87329	average	14.43865	IT	01/13/2020, 00:00:00	Somma Vesuviana
34.85	good	117.33333	CN	06/27/2021, 00:00:00	Taozhuang
10.58806	maintenance	77.24779	IN	2019/09/30	Udumalaippettai
36.06523	building	-119.01677	US	10 Mar 2022	Porterville
48.79325	excellent	2.29275	FR	07/07/2013, 00:00:00	Fontenay-aux-Roses
38.07789	average	13.44275	IT	04/23/2017, 00:00:00	Villabate
6.84019	accep	79.87116	LK	2015-02-24	Dehiwala-Mount Lavinia
-22.97056	accep	-46.99583	BR	2019-10-05	Valinhos
53.51684	building	-113.3187	CA	29 Dec 2013	Sherwood Park
58.04254	excellent	65.27258	RU	2014-05-29	Tavda
48.15659	maintenance	28.28489	MD	05 Aug 2016	Soroca
4.88441	maintenance	101.96857	MY	2014/04/24	Gua Musang
39.45621	building	-77.96389	US	2020-01-02	Martinsburg
9.58126	maintenance	8.2926	NG	09 Jul 2021	Kafanchan
47.38093	average	-122.23484	US	2022/06/03	Kent
43.61058	accep	1.33467	FR	2022/03/15	Colomiers
40.56754	excellent	-89.64066	US	2014/08/06	Pekin
5.4709	excellent	100.24529	MY	2021/07/04	Batu Feringgi
53.49389	good	-1.29243	GB	2014-12-22	Mexborough
9.15093	building	-79.62098	PA	09/17/2021, 00:00:00	Chilibre
18.00747	good	-76.78319	JM	04/21/2018, 00:00:00	New Kingston
-7.73379	average	113.69785	ID	2015-02-23	Besuki
-23.44361	building	-51.87389	BR	2016/05/25	Sarandi
52.71083	excellent	5.74861	NL	2022-05-17	Emmeloord
27.76056	average	-15.58602	ES	02/19/2020, 00:00:00	Maspalomas
15.48131	average	-86.57415	HN	2014/07/05	Olanchito
-10.91111	excellent	-37.07167	BR	08/08/2013, 00:00:00	Aracaju
48.43174	average	17.8031	SK	14 Nov 2013	Hlohovec
61.78491	average	34.34691	RU	03/01/2014, 00:00:00	Petrozavodsk
42.24113	average	-88.3162	US	2016-04-17	Crystal Lake
48.77644	excellent	2.29026	FR	10/27/2014, 00:00:00	Sceaux
40.93121	accep	-73.89875	US	06/09/2018, 00:00:00	Yonkers
51.82721	maintenance	107.60627	RU	05 Jan 2015	Ulan-Ude
-21.44345	good	-65.71875	BO	2017-02-09	Tupiza
8.35122	average	-62.64102	VE	2017/06/23	Ciudad Guayana
25.75728	good	75.37991	IN	01/28/2020, 00:00:00	Deoli
14.8361	maintenance	120.97844	PH	03/25/2016, 00:00:00	Guyong
25.92127	accep	86.79271	IN	2012-12-25	Madhipura
35.72917	maintenance	10.58082	TN	2013/12/06	Msaken
43.54072	building	-116.56346	US	07/08/2018, 00:00:00	Nampa
23.5654	building	119.58627	TW	2013-06-04	Magong
8.48714	excellent	-13.2356	SL	04/17/2018, 00:00:00	Freetown
57.30185	building	39.85331	RU	2014-06-24	Gavrilov-Yam
18.57677	accep	-72.22625	HT	12/19/2014, 00:00:00	Croix-des-Bouquets
-25.54073	average	152.70493	AU	09/17/2013, 00:00:00	Maryborough
36.81667	building	117.81667	CN	12/07/2019, 00:00:00	Zhoucun
50.80019	accep	7.20769	DE	28 Dec 2015	Siegburg
5.84752	maintenance	-5.682	CI	2019-10-20	Lakota
-13.7804	excellent	34.4587	MW	06/19/2020, 00:00:00	Salima
60.2052	accep	24.6522	FI	08 Jul 2017	Espoo
43.16547	average	-77.70066	US	14 Dec 2017	Gates-North Gates
36.06523	excellent	-119.01677	US	2021/01/15	Porterville
26.2173	excellent	-80.22588	US	11/18/2015, 00:00:00	North Lauderdale
26.44931	accep	91.61356	IN	09 Oct 2016	Rangia
31.76212	maintenance	-95.63079	US	15 Oct 2012	Palestine
19.32889	average	-99.32556	MX	2016/10/11	San Lorenzo Acopilco
-17.74431	good	-48.62789	BR	2022/08/03	Caldas Novas
4.2475	good	9.00472	CM	23 Feb 2021	Idenao
37.56667	average	140.11667	JP	2017/06/01	Inawashiro
13.51825	accep	99.95469	TH	01/19/2017, 00:00:00	Damnoen Saduak
43.83125	excellent	5.03586	FR	2012/12/13	Cavaillon
35.25064	good	-91.73625	US	04/22/2016, 00:00:00	Searcy
34.31	excellent	-2.16	MA	09/02/2019, 00:00:00	Jerada
53.95278	building	32.86389	RU	07 Jul 2022	Roslavl’
53.59337	maintenance	9.47629	DE	16 Oct 2019	Stade
-27.76952	accep	30.79165	ZA	2019-11-19	Vryheid
44.27804	good	-88.27205	US	09/21/2015, 00:00:00	Kaukauna
43.1122	average	12.38878	IT	06 Jul 2017	Perugia
9.3337	average	122.8637	PH	05/23/2014, 00:00:00	Santa Catalina
22.4711	excellent	88.1453	IN	19 Oct 2012	Pujali
22.75218	maintenance	72.68533	IN	2020-08-31	Kheda
51.12794	maintenance	4.21372	BE	03 Jun 2014	Temse
15.45144	average	78.14797	IN	11/22/2020, 00:00:00	Betamcherla
50.88506	average	4.07601	BE	01 Dec 2014	Denderleeuw
14.8361	average	120.97844	PH	02/07/2019, 00:00:00	Guyong
-27.50578	good	153.10236	AU	23 Oct 2020	Carindale
52.71083	accep	5.74861	NL	20 Sep 2016	Emmeloord
51.39323	maintenance	0.47713	GB	16 Apr 2022	Strood
37.49223	good	15.07041	IT	05/31/2018, 00:00:00	Catania
53.78333	accep	-1.06667	GB	29 Jun 2014	Selby
21.53889	excellent	71.57737	IN	2018-11-01	Gariadhar
54.84444	average	38.16694	RU	01/19/2013, 00:00:00	Kashira
40.87363	average	14.34085	IT	08 Mar 2019	Volla
55.63711	average	37.38115	RU	06 Jul 2016	Solntsevo
41.55838	good	-81.56929	US	2021-07-17	Collinwood
57.14369	building	-2.09814	GB	21 Jun 2022	Aberdeen
45.50369	average	11.412	IT	2012/11/10	Montecchio Maggiore-Alte Ceccato
14.67751	accep	-60.94228	MQ	2014-10-07	Le Robert
53.53333	good	-7.35	IE	07 Jan 2022	An Muileann gCearr
7.50251	accep	5.06258	NG	23 Jan 2019	Igbara-Odo
44.89784	maintenance	8.86374	IT	2017-07-06	Tortona
52.48173	average	-2.12139	GB	2018/05/02	Brierley Hill
-22.57306	average	-47.1725	BR	2013-08-20	Artur Nogueira
35.64889	good	117.27583	CN	20 Feb 2022	Sishui
41.27194	maintenance	123.17306	CN	13 Dec 2017	Liaoyang
45.44868	accep	-73.81669	CA	03/27/2022, 00:00:00	Pointe-Claire
49.65186	average	26.97253	UA	2020/07/05	Krasyliv
14.8361	good	120.97844	PH	2022-04-17	Guyong
56.11281	good	69.49015	RU	2018/04/20	Ishim
41.57439	excellent	24.71204	BG	2017-04-06	Smolyan
51.88333	building	8.51667	DE	09/12/2017, 00:00:00	Verl
21.59983	average	71.21169	IN	07 Feb 2020	Amreli
52.66277	building	-2.01111	GB	2015/12/09	Great Wyrley
50.56149	average	4.69889	BE	2020/06/21	Gembloux
37.73222	excellent	115.70111	CN	2021-06-17	Hengshui
40.24537	accep	-75.64963	US	05 Feb 2017	Pottstown
48.90982	maintenance	2.45012	FR	05 Oct 2017	Bobigny
15.79408	good	104.1451	TH	2019-02-18	Yasothon
38.91817	accep	-78.19444	US	12/14/2018, 00:00:00	Front Royal
7.50251	accep	5.06258	NG	09/30/2020, 00:00:00	Igbara-Odo
15.72892	accep	120.57224	PH	09/19/2014, 00:00:00	Burgos
6.03333	building	37.55	ET	17 Aug 2015	Arba Minch
31.84568	average	-102.36764	US	2013/08/01	Odessa
41.92361	maintenance	20.91361	MK	2018/04/01	Bogovinje
38.91817	maintenance	-78.19444	US	2014-10-11	Front Royal
39.71734	average	-74.96933	US	01 May 2014	Sicklerville
60.18427	average	24.95034	FI	2015-10-18	Kallio
24.81757	good	84.63445	IN	2022-02-10	Rafiganj
46.08333	good	122.08333	CN	2015/10/28	Ulanhot
45.49428	good	-122.86705	US	05/26/2015, 00:00:00	Aloha
40.93333	average	73	KG	2017-05-04	Jalal-Abad
