CO	Pb	O3	CH4	CFCs	H2CO	SO2	latitude	PM2.5	TEMP	warning	longitude	C2H3NO5	PM10	PAHs	PRES	NH3	NOx
7.66158	48.98080	9.38814	7.44954	46.78092	55.99330	10.01780	34.56861	6.42215	0.26528	0.00000	105.89333	1.16284	10.96739	7.27712	1099.56228	7.34678	8.35713
8.61991	52.28265	6.60783	8.15383	61.54343	43.04518	9.43181	55.64776	4.15409	33.23561	1.00000	38.02486	0.24660	9.34537	9.25769	1055.61347	7.94155	7.02225
7.22015	61.47907	10.69152	7.79399	59.53225	45.02762	9.19379	33.3213	7.66008	14.94303	0.00000	130.94098	0.03730	5.89618	7.04433	1095.47934	6.31410	9.02271
8.58211	43.97517	7.98473	8.25877	46.18053	39.44971	5.62260	43.16547	8.54387	22.72590	0.00000	-77.70066	0.91333	10.72586	9.43009	1128.09015	6.43527	8.61368
7.34131	28.76478	9.19832	7.71660	51.69856	53.83831	10.67033	45.9836	5.17827	20.82456	1.00000	12.70038	0.02514	6.29458	7.46274	1190.48118	6.39128	9.29895
6.29600	61.84778	5.14510	6.71747	43.29478	31.73634	9.65578	44.92934	8.28567	9.55170	1.00000	37.99117	2.34495	11.69400	6.37677	1077.64267	9.08523	6.43178
5.90983	38.48606	7.84819	8.87193	45.14255	39.04666	4.41200	9.15093	4.90001	25.61749	1.00000	-79.62098	0.05735	7.25483	6.36090	1061.95699	8.79683	8.37471
7.82854	49.09326	5.02756	7.19033	51.70439	53.26366	9.20548	47.38093	6.83754	-1.59741	1.00000	-122.23484	0.56158	10.23588	8.83847	1183.57459	8.00843	9.06747
8.95633	52.01836	9.47414	7.78690	45.71531	53.92539	7.43420	23.15678	7.03190	24.58052	1.00000	-81.24441	0.03779	6.33186	6.98399	1067.24325	6.12469	8.20628
7.50212	82.28033	10.92299	5.68594	51.83420	55.34571	10.97669	40.5576	8.08192	12.37712	1.00000	-74.28459	0.03003	3.53868	7.24339	1091.92190	7.55018	10.13007
8.71805	57.30935	10.21549		52.20849	78.35967	10.45969	22.4711	8.16246	6.32571	1.00000	88.1453	0.04036	6.80370	8.61244	1058.95898	4.73654	10.34628
7.81956	37.22106	5.90658	8.01084	66.53401	71.07284	9.76226	10.66668	6.93148	5.97580	1.00000	-61.51889	0.14108	8.53694	7.35585	1099.32037	9.34733	6.45128
9.27107	63.61628	11.02450	9.77614	63.49575	48.74481	8.66844	4.73245	5.11717	6.66461	0.00000	-74.26419	0.06221	7.80201	7.27295	1199.28874	5.89563	7.33663
7.42145	49.36267	9.87552	6.95927	46.70016	39.56036	9.19254	52.4089	6.29122	6.35991	0.00000	31.3237	0.21308	9.18170	8.84279	1050.85911	8.31406	6.94219
7.61336	69.66453	9.04501	8.18627	51.72481	68.06587	5.46038	10.10649	4.86700	4.78338	1.00000	76.35484	0.03292	7.18993	7.35063	1057.06107	5.16699	6.05762
8.05516	44.84231	8.79631	6.82259	56.54179	62.31699	5.27726	28.71271	9.90833	17.77384	0.00000	77.656	0.45767	9.99017	8.88217	1077.11040	5.72771	8.36986
7.48827	53.70181	8.04877	7.75547	55.89015	39.06026	6.42183	-34.64167	8.05161	5.70462	0.00000	-60.47389	0.17748	9.00065	7.06747	1083.82578	5.69325	10.36743
8.11602	59.65608	7.83175	8.19242	50.02427	70.84037	7.79979	-10.91111	2.97327	14.52543	1.00000	-37.07167	0.02923	6.27952	7.48121	1183.45766	8.83922	6.88177
7.99561	48.41994	10.41907	7.71008	43.48791	51.74718	10.59896	-7.81667	7.16026	11.06727	0.00000	112.01667	1.57812	11.27272	7.55132	1100.91619	8.60305	9.74377
5.49344	71.10132	8.41025	7.16729	61.89227	54.27713	9.51679	41.55947	9.34412	7.87735	1.00000	14.66737	0.03194	5.51604	8.34705	1199.92649	4.40152	11.13278
4.86016	67.45387	8.21477	7.74640	26.98670	60.58783	5.24324	37.49223	5.75998	33.49591	1.00000	15.07041	0.11238	8.31903	6.76354	1072.26627	4.40947	6.84024
8.65332	66.05601	5.60849	8.61590	40.81248	27.62389	7.83350	33.44872	7.13604	15.61026	1.00000	-86.78777	0.09103	7.96479	6.84150	1084.68191	8.11574	8.66489
8.39556	30.93310	8.20344	7.78614	52.18180	56.29092	6.40922	50.80904	5.97764	15.06826	1.00000	8.77069	0.13231	8.49850	7.90403	1058.04414	5.01479	7.63832
8.00711	46.67188	7.03563	8.38848	48.11786	61.89520	9.06394	-22.9	5.18756	22.96983	1.00000	44.53333	0.04704	6.52590	7.51895	1196.48772	6.42324	9.23384
8.03561	44.80854	8.74574	8.17146	41.59979	45.10194	6.24740	52.21099	5.74874	28.05028	1.00000	7.02238	0.06069	7.68037	6.61290	1110.46077	6.41681	7.11716
8.68184	20.94334	9.73032	7.03496	54.21880	75.94773	11.62300	53.16167	5.83689	22.71628	1.00000	6.76111	0.04282	6.42092	7.68954	1115.09953	7.78940	9.95140
8.38388	35.90156	5.09202	6.95963	30.00954	20.72665	9.05294	33.41012	6.55272	23.13575	1.00000	-91.06177	0.03075	6.62150	8.39744	1103.77537	6.64563	9.19027
8.93292	50.65729	10.52664	9.06652		61.50857	6.59520	15.48131	8.96160	31.22098	0.00000	-86.57415	0.07900	7.79122	9.71479	1157.72736	7.40032	9.24490
8.12703	32.84698	9.67119	5.45130	42.59898	43.24310	9.45768	35.64889	7.29198	-0.80251	1.00000	117.27583	0.05424	6.75348	8.40495	1143.90173	6.17893	9.46458
7.61165	45.65579	8.70066	7.15238	56.38545	57.60976	9.71421	35.85	7.32210	11.80239	0.00000	117.7	0.42671		5.61791	1192.82244	6.66462	5.51296
7.77031	51.69359	8.90778	8.13983	49.11160	37.41109	8.85181	18.03496	7.42931	0.13863	1.00000	-66.8499	0.08600	8.15508	6.81969	1110.03975	5.03986	9.57164
6.07986	71.11055	11.66963	6.93430	49.41005	26.84677	9.25497	24.81757	8.18459	8.52684	0.00000	84.63445	0.02902	5.32130	9.32414	1084.48539	6.45524	8.88076
6.06187	42.65907	4.15969	9.28097	33.48597	47.14418	10.78370	36.75965	7.97743	25.44359	1.00000	137.36215	0.56948	10.24544	7.62512	1085.14779	8.08464	8.32171
5.79290	53.19335	9.22108	7.57729	46.56960	44.87631	9.29868	47.64995	5.64033	8.86421	0.00000	-117.23991	4.35221	12.30574	8.34769	1080.93315	6.24105	7.68761
7.55480	61.38050	9.88375	6.45370	30.23920	49.62605	10.50155	45.40008	6.17515	10.76498	1.00000	-73.58248	0.03387	6.51333	8.88201	1187.51174	6.58006	9.41422
9.00007	56.91858	5.88161	7.58183	58.41237	38.92921	9.79166	-5.41667	5.13062	17.21429	1.00000	38.01667	0.13346	8.68669	7.41964	1064.36849	7.10210	8.32623
8.69352	34.00516	6.73508	7.66187	58.85309	61.07421	7.72178	31.96258	6.81073	23.22094	1.00000	73.97117	0.04571	6.64868	9.50159	1138.58319	9.83378	6.39375
9.11130	47.36430	8.03301	8.09579	67.80112	74.00446	5.78222	43.41949	8.91960	6.18751	0.00000	77.0202	1.13253	10.93471	7.51488	1136.37732	5.91910	7.80842
8.14789	57.10530	7.01827	6.48598	57.89075	52.65419	9.70146	41.54566	6.78389	38.56698	1.00000	-71.29144	0.14226	8.60572	7.50672	1065.20998	9.22597	3.95270
7.61325	31.52550	8.18981	5.78189	55.38147	50.05069	6.06058	48.28259	8.91281	30.86580	0.00000	9.72749	0.77923	10.53040	9.04776	1057.70796	6.24092	7.71971
6.71070	50.81719	8.97975	7.91455	42.70916	51.80961	5.59878	47.48444	7.90708	6.42926	0.00000	36.25361	0.95632	10.77047	7.35644	1141.21104	4.97828	8.09853
7.61625	50.93057	10.05103	8.95080	59.31500	39.53261	10.69384	5.4709	4.39127	15.20165	1.00000	100.24529	0.03949	5.27588	8.97841	1079.32828	8.77158	8.43545
8.90810	56.03577	10.57865	8.18479	39.58357	37.19771	7.00710	51.30001	7.99975	24.86805	0.00000	13.10984	0.06086	7.28961	8.11911	1119.08893	7.50435	10.63748
6.94703	42.52870	7.55936	6.02544	47.88442	25.65361	5.76202	48.78232	6.93240	-1.17703	1.00000	9.17702	0.03349	5.30054	8.85937	1074.50878	10.68045	6.42205
7.68597	68.36553	10.92537	7.03676	57.24082	80.58593	6.14900	33.92866	10.02797	12.75379	0.00000	-6.90656	0.07934	7.96089	8.52568	1066.68565	8.76492	8.80198
7.98623	47.95246	9.13426	6.69844	61.56491	83.50115	5.69792	41.27194	8.54323	27.25165	0.00000	123.17306	0.18892	8.98366	7.86382	1163.81821	6.54466	10.20854
6.78059	41.93320	9.00158	7.63457	29.33970	49.76143	8.70868	37.73222	6.34622	15.16521	0.00000	115.70111	0.32851	9.74187	8.55881	1141.95236	9.84957	7.23449
7.99322	48.47725	7.02460	5.48288	36.88378	58.27838	9.47555	41.55947	4.28801	18.34697	1.00000	14.66737	0.12193	8.48741	8.37516	1059.82308	8.32657	6.37200
6.44916	46.58113	5.84681	9.35320	59.48680	54.48774	8.73149	-7.57897	5.48288	24.77999	1.00000	112.23109	0.35899	9.71477	8.62589	1125.63850	7.49583	7.97825
8.14338	72.56241	8.44861	7.31637	49.08719	61.40730	8.59109	43.61058	5.70413	15.53910	0.00000	1.33467	0.04858	6.67111	9.15890	1115.64275	8.68583	5.39128
7.35034	63.53800	8.46438	7.77983	47.33922	33.18711	7.55391	51.84819	4.53261	21.97200	1.00000	1.26738	0.08227	7.93228	6.51775	1139.26322	6.08119	7.42143
7.81301	46.40576	6.14020	6.67536	56.39147	78.50425	8.41078	35.21222	6.71642	21.72151	1.00000	2.31889	0.11978	8.41719	7.96447	1146.20413	9.53132	7.22186
9.04669	73.43005	6.05745	7.33550	59.08566	59.64838	10.88460	5.84752	6.30765	16.11264	1.00000	-5.682	0.10799	8.24669	8.44385	1079.91384	11.13735	5.22242
6.52513	49.23685	9.25186	9.72939	39.60034	37.79513	10.68629	26.68451	9.56981	-7.18262	1.00000	-80.66756	0.03408	6.13883	7.88253	1199.36024	4.68740	11.60858
8.52742	48.56808	6.14671	8.67746			7.49967	10.13361	6.44381	5.86218	1.00000	124.84472	0.02327	3.26820	8.07780	1163.91853	8.02950	9.14433
6.92833	76.08658	6.20408	6.88405	44.39759	56.59489	9.25134	52.71083	5.09169	5.38338	1.00000	5.74861	0.17527	8.99394	7.72715	1121.88611	6.81843	8.11078
7.09343	50.87708	8.80527	7.51347	29.41609	47.60856	8.42406	58.1908	5.85358	0.97969	0.00000	40.17171	0.35038	9.74275	8.49721	1140.25911	7.80827	6.01395
9.17268	70.28795	9.60011	6.80151	49.05740	40.21532	9.74493	51.955	6.27592	15.10435	0.00000	5.22778	0.02954	5.67047	9.12880	1184.67957	9.31307	7.82608
6.25218	46.70847	6.48409	7.05844	56.19244	55.27877	8.60625	34.85	5.90580	37.23556	0.00000	117.33333	0.01389	6.43842	7.75450	1060.04368	5.24305	9.57254
6.73603	47.09482	9.37814	8.46014	45.51022	39.04185	11.64050	14.66	7.60968	22.60524	1.00000	120.56528	0.03123	5.77215	7.58505	1067.84879	6.21974	11.06521
6.29884	33.22377	5.49674	8.76682	71.62824	32.91770	10.84396	47.38093	8.31253	-2.31169	1.00000	-122.23484	0.37358	9.80687	7.66341	1150.51152	11.04802	5.31809
9.20509	38.99021	6.13908	8.35424	50.79293	50.43855	11.18775	43.54072	8.97167	22.05497	1.00000	-116.56346	0.60059	10.32363	6.31622	1106.66789	10.52343	3.16309
6.76739	65.82809	5.15906	8.25425	44.73793	66.03766	10.36483	-8.28333	7.28948	18.03182	1.00000	-35.03333	0.26472	9.46931	7.70489	1131.87889	7.50435	7.62753
7.69032	53.69804	6.73087	8.36524	29.17123	35.39130	8.44264	32.5007	5.71425	13.89016	1.00000	-94.74049	0.59157	10.25482	7.68806	1129.94852	6.82321	5.95458
7.05155	51.56615	10.52550	6.79208	64.55720	9.86057	10.19578	17.34769	5.41415	13.53076	0.00000	78.55757	0.04217	6.80897	9.54026	1159.20288	8.08191	8.83641
7.76859	64.03378	9.23636	8.32188	66.45978	75.53284	11.16340	-6.8048	5.58788	11.77770	1.00000	110.8405	0.03607	4.61962	7.02884	1094.83941	8.08269	9.68357
8.76681	27.87326	6.82537	8.18049	60.57963	58.38619	5.90930	54.39635	6.43008	13.81950		24.04142	0.02787	7.14548	7.26593	1185.95484	8.45102	8.27248
7.67375	52.31863	6.43026	7.23162	50.56371	29.73269	7.78879	51.24197	4.45654	13.53033	1.00000	4.82313	0.13058	8.52465	5.70510	1099.94267	7.18511	9.04157
8.24408	61.36046	8.27794	6.96666	66.04515	35.59353	7.09318	41.09822	4.37132	5.43526	1.00000	120.74792	0.11373	8.28719	8.36684	1165.30513	10.24261	5.69370
7.89121	45.38895	5.02330	7.74947	53.90485	53.07493	8.81276	48		-2.96474	1.00000	-4.1	0.09835	8.26122	7.08101	1129.33441	6.55413	9.62233
8.65270	48.03656	9.10950	6.88593	58.14965	60.39146	8.19657	7.50251	5.08952	8.42033	0.00000	5.06258	0.09061	8.15400	8.65386	1088.28617	9.58717	5.09952
7.30273	59.47606	8.90539	8.14804	71.35112	54.61323	9.78501	53.14657	8.52193	14.03166	0.00000	140.72287	5.98648	12.63189	6.41413	1134.58857	8.45299	6.62240
7.17509	35.53937	8.58014	8.02408	42.42498	42.42023	7.18031	40.93333	4.15124	6.66451	1.00000	73	0.05632	7.76592	6.88667	1091.31634	8.00910	6.87731
6.83566	22.25520	10.07945	10.05822	55.30335	47.69632	10.30189	-27.50578	5.88451	13.94218	0.00000	153.10236	0.18656	9.06769	6.77451	1178.60919	7.08303	8.86007
6.16507	45.71439	9.09538	8.81175	65.88539	27.38757	8.61077	48.78232	6.77775	6.62935	0.00000	9.17702	0.04740	6.85704	5.41629	1155.61705		5.56872
7.54580	83.71579	9.74244	8.54112	55.64364	59.66211	9.52165	33.44872	6.24526	21.95254	0.00000	-86.78777	0.04813	6.97531	9.05970	1158.39976	10.09644	7.43786
6.28385	59.80551	7.44142	6.53696	44.15863	33.53054	6.70265	14.66	6.60322	33.93951	1.00000	120.56528	0.04787	7.51993	8.42678	1120.56305	8.79120	6.63337
8.71672	59.95351	8.66603	6.55185	30.91840	33.12645	6.87601	-7.57897	8.79659	19.02689	1.00000	112.23109	0.14878	8.59798	7.02197	1147.45523	7.06184	9.28719
7.22634	49.76629	10.80390	6.35708	43.68367	38.81539	3.81842	27.55898	12.30253	19.17728	1.00000	68.21204	0.55459	10.20864	4.60495	1117.26629	9.58428	7.33397
8.39720	44.82835	8.44934	8.36733	40.54590	42.47292	8.74289	40.65538	7.19277	3.18804	0.00000	-74.38987	0.07013	7.75922	8.74384	1132.03571	9.93558	4.61159
9.87973	41.72747	8.24479	8.15215	57.09174	46.08982	7.57061	36.91023	8.35530	18.17574	1.00000	-121.75689	0.03597	6.43575	7.40423	1051.59926	3.59553	9.54855
7.84478	52.01333	7.01178	6.08638	63.04061	41.66641	9.19672	-22.57306	5.95917	26.13686	1.00000	-47.1725	0.01729	5.97991	8.22541	1065.64581	6.20486	9.70614
7.24325	62.87806	7.70506	8.88100	51.13363	63.18007	7.50542	23.5654	5.17556	24.57460	1.00000	119.58627	0.02633	4.92834	8.05346	1146.35328	7.99558	7.87859
7.33350	49.21815	9.67146	6.98759	65.95641	70.08895	9.65770	56.11281	7.00119	20.98642	0.00000	69.49015	0.05492	7.56158	8.08553	1083.83032	11.84985	9.63811
7.94938	53.41669	8.50854	7.48430	52.41399	64.16831	8.06152	34.06635	6.37052	16.61605	0.00000	-84.67837	0.06346	7.28792	7.92233	1135.01305	9.80152	3.11500
6.38116	34.14777	9.80760	6.86184	48.76201	44.99919	5.55836	51.84819	3.96193	10.52044	1.00000	1.26738	0.10299	7.96423	9.33565	1155.45762	7.26875	5.31768
5.87783	42.13767	11.79735	8.96120	42.72615	45.04727	7.45619	33.41012	9.39471	25.87518	0.00000	-91.06177	0.06118	7.49654	6.93213	1080.71077	7.52786	7.04352
7.46738	40.99320	8.74322	8.32690	52.04277	59.74855	7.50944	40.5576	7.50639	1.60112	0.00000	-74.28459	0.11941	8.56713	8.19032	1168.29979	5.69062	9.28539
7.44325	69.89617	5.54183	6.91441	64.74885	52.71141	10.46712	19.8173	8.81266	17.36211	1.00000	-97.35992	0.11276	8.36066	9.38626	1139.17863	10.50822	5.32267
6.59515	63.55842	7.20175	8.24004	61.42944	36.98031	8.52234	54.03876	3.69027	20.06669	1.00000	43.91385	0.16404	8.94460	6.17171	1098.44636	8.60712	6.34361
7.59265	26.11134	9.85387	7.61486	62.83531	56.52392	9.92727	25.87972	6.98717	7.17806	0.00000	-97.50417	0.20249	9.09998	6.38289	1196.02408	8.17132	7.23060
7.60355	33.88555	9.85836	6.75211	27.83991	67.97543	9.98144	34.25	6.73962	-6.62169	0.00000	135.31667	0.05636	7.23127	7.21193	1129.26278	9.66420	9.06048
10.90314	62.44647	10.26594	8.35663	41.61596	34.96407	9.13744	34.85	5.24042	9.35741	1.00000	117.33333	0.02949	6.07533	9.62030	1089.51079	7.87592	7.89453
7.21725	59.75277	6.58159	8.41987	44.17976	37.82494	7.72380	55.8736	7.25451	26.24298	0.00000	85.4265	0.07595	7.96477	6.54188	1170.11104	9.84492	2.89181
7.95655	59.48624	8.82632	6.98536	63.97067	63.13629	7.67554	11.93381	4.15891	21.83683	1.00000	79.82979	0.19294	9.00409	9.92147	1109.01592	8.50055	3.83240
6.93831	55.59970	9.65947	7.82468	39.67274	44.21398	4.50578	41.54566	8.94472	1.80013	0.00000	-71.29144	0.90065	10.72414	9.39009	1088.39682	6.64843	8.99612
8.74487	34.01640	10.27220	7.30809	74.94674	59.51119	9.49030	51.955	6.61771	-9.41820	0.00000	5.22778	0.78334	10.57257	7.73610	1116.70760	8.31693	7.86927
8.35663	73.61876	8.27113	7.35949	51.37279	46.86090	6.15379	36.21544	6.39394	8.11016	1.00000	65.93249	0.08455	8.06066	7.97150	1142.36902	10.27016	4.81454
8.27755	66.20649	8.19246	7.71085	45.23318	51.15150	7.00319	28.71271	4.62475	-9.97410	1.00000	77.656	0.04040	6.58632	7.41403	1089.17427	7.24915	7.14435
7.04124	75.89893	10.93913	7.43814	53.27686	48.35907	7.70125	34.63915	8.46372	13.35498	0.00000	-120.45794	0.08445	7.83706	6.45093	1120.98957	6.82560	7.16554
5.42485	42.89949	7.83563	7.11720	39.76792	43.56725	11.61323	19.30157	6.63902	25.72225	1.00000	72.85107	0.05375	6.10015	8.24716	1061.38447	6.83330	11.16912
8.21018	32.45454	8.72761	8.11131	31.43138	71.97455	5.68252	41.09822	9.08254	18.29366	0.00000	120.74792	0.41727	9.92320	8.29097	1072.93466	4.47413	8.55580
8.56953	72.41085	6.27583	8.46130	70.30746	57.36518	8.47473	37.74615	6.40064	17.68913	1.00000	-25.66689	0.34943		10.23300	1163.42241	10.02615	6.64212
6.69131	44.43792	8.28971	7.71766	43.81822	71.06937	5.04802	28.15112	2.23603	11.44819	1.00000	-82.46148	0.04279	6.78143	8.04486	1160.97739	7.22999	8.87090
