QoS	code	longitude	location	revision	latitude
excellent	US	-87.88754	America/Chicago	11/19/2017, 00:00:00	41.15376
excellent	TH	102.05461	Asia/Bangkok	2020/07/08	6.25947
average	US	-117.70755	America/Los_Angeles	07/21/2020, 00:00:00	33.52253
accep	US	-122.2608	America/Los_Angeles	07/18/2017, 00:00:00	38.17492
building	US	-73.9625	America/New_York	09/20/2015, 00:00:00	40.81
excellent	CN	122.05228	Asia/Shanghai	2020/11/14	37.19723
excellent	RU	60.8019	Asia/Yekaterinburg	2013-11-24	56.9083
average	AU	153.10236	Australia/Brisbane	2018-05-22	-27.50578
excellent	US	-96.39774	America/Chicago	2017-03-25	30.16688
good	US	-82.90375	America/New_York	15 Jul 2016	32.54044
good	IN	77.40858	Asia/Kolkata	08/25/2018, 00:00:00	24.05979
average	RU	36.73307	Europe/Moscow	03/03/2015, 00:00:00	55.38752
excellent	CN	113.13148	Asia/Shanghai	2022/07/22	23.02677
maintenance	TZ	35.7	Africa/Dar_es_Salaam	2017-01-28	-7.76667
excellent	RU	47.1192	Europe/Moscow	2022-01-31	42.819
good	US	-97.03285	America/Chicago	18 Apr 2019	47.92526
average	JP	129.96972	Asia/Tokyo	02/14/2018, 00:00:00	33.4425
maintenance	GB	-1.47217	Europe/London	2019-06-17	53.46506
excellent	CA	-73.58248	America/Toronto	24 Aug 2013	45.40008
average	US	-75.23266	America/New_York	2012/11/29	43.1009
good	CN	117.63083	Asia/Shanghai	2013-07-27	35.50056
building	FR	1.00288	Europe/Paris	2012-09-27	49.28669
maintenance	BE	4.07601	Europe/Brussels	2016-02-17	50.88506
excellent	US	-73.99681	America/New_York	2014-03-04	40.94065
excellent	NL	6.61944	Europe/Amsterdam	2022-06-02	52.57583
average	TW	119.58627	Asia/Taipei	2019-04-29	23.5654
accep	UA	32.6178	Europe/Kiev	14 Jun 2018	46.65581
building	IN	88.58	Asia/Kolkata	2016/08/14	23.18
accep	US	-122.24092	America/Los_Angeles	03 Oct 2014	47.4943
building	US	-120.43572	America/Los_Angeles	2018-05-17	34.95303
excellent	PS	35.23388	Asia/Hebron	2017-11-10	31.78336
building	HN	-86.57415	America/Tegucigalpa	2012/11/15	15.48131
average	PH	121.3152	Asia/Manila	02 Jan 2018	14.14989
building	NG	9.0027	Africa/Lagos	06 Aug 2022	11.86064
good	CA	-80.38297	America/Toronto	07/04/2016, 00:00:00	42.8334
good	US	-111.90466	America/Denver	2014-05-29	40.34912
accep	US	-123.02621	America/Los_Angeles	2017/09/24	44.99012
average	MK	20.91361	Europe/Skopje	2021-04-25	41.92361
accep	TW	119.58627	Asia/Taipei	2022/09/20	23.5654
accep	GB	-0.2	Europe/London	06/12/2019, 00:00:00	51.65
good	MT	14.51472	Europe/Malta	2012/11/02	35.89972
building	TR	28.67582	Europe/Istanbul	2016-12-28	40.98894
excellent	TZ	29.65806	Africa/Dar_es_Salaam	30 Nov 2012	-4.83
building	PR	-66.8499	America/Puerto_Rico	11/01/2014, 00:00:00	18.03496
building	CN	118.53333	Asia/Shanghai	09/08/2019, 00:00:00	27.92333
accep	IN	71.21169	Asia/Kolkata	2014-06-21	21.59983
average	IT	11.412	Europe/Rome	2013/05/06	45.50369
excellent	IR	51.49621	Asia/Tehran	2022-05-05	36.64852
average	US	-84.50855	America/New_York	02 Jul 2013	39.08367
excellent	GB	-0.74934	Europe/London	2020/01/07	51.62907
excellent	PK	68.88871	Asia/Karachi	11/09/2017, 00:00:00	25.95533
good	UA	38.15035	Europe/Zaporozhye	24 Feb 2017	49.41029
average	NG	3.39467	Africa/Lagos	21 Dec 2021	6.45407
good	TH	104.1451	Asia/Bangkok	09 Jul 2016	15.79408
good	ES	-1.64295	Europe/Madrid	2017-06-20	42.8139
average	PE	-73.25383	America/Lima	2022/06/04	-3.74912
average	JP	136.51667	Asia/Tokyo	2020-04-30	35
building	US	-73.97069	America/New_York	2022/05/11	40.64621
excellent	BR	-48.59278	America/Sao_Paulo	12/28/2016, 00:00:00	-23.7975
good	CN	112.9	Asia/Shanghai	31 May 2021	27.85
good	GB	-4.21376	Europe/London	2018/02/26	55.82885
accep	KR	128.63083	Asia/Seoul	09/17/2016, 00:00:00	36.82167
excellent	US	-95.44744	America/Chicago	2016/06/06	29.53885
accep	IT	8.55552	Europe/Rome	06/05/2019, 00:00:00	40.72586
building	US	-120.45794	America/Los_Angeles	03/24/2015, 00:00:00	34.63915
accep	PK	68.88871	Asia/Karachi	2020/06/14	25.95533
good	US	-74.13653	America/New_York	06 Sep 2017	40.63316
good	GE	41.77921	Asia/Tbilisi	06 Jul 2022	41.82143
good	US	-77.70066	America/New_York	2021-06-23	43.16547
accep	AR	-58.38341	America/Argentina/Buenos_Aires	2019-11-08	-34.64966
building	MX	-98.1664	America/Mexico_City	17 Feb 2016	19.32932
building	GB	-4.0573	Europe/London	2014-05-12	55.82737
good	UA	32.6178	Europe/Kiev	2018-02-10	46.65581
average	RU	38.2739	Europe/Moscow	2021/08/19	46.7055
accep	IN	77.9129	Asia/Kolkata	2013-07-11	25.6439
maintenance	JP	137.95378	Asia/Tokyo	2016/11/06	35.82756
accep	GB	-1.5443	Europe/London	05/25/2019, 00:00:00	50.75767
average	PR	-66.8499	America/Puerto_Rico	2016/12/07	18.03496
building	RO	26.01649	Europe/Bucharest	05/04/2018, 00:00:00	44.43579
building	US	-111.89903	America/Phoenix	06/03/2015, 00:00:00	33.50921
excellent	ID	110.8405	Asia/Jakarta	2019/04/22	-6.8048
average	IN	76.0586	Asia/Kolkata	01/26/2015, 00:00:00	16.06213
accep	NG	4.18333	Africa/Lagos	01/09/2016, 00:00:00	7.6
accep	US	-111.90466	America/Denver	25 Apr 2019	40.34912
building	IN	71.57737	Asia/Kolkata	2022/08/30	21.53889
good	CN	109.22921	Asia/Shanghai	01 Jan 2017	34.65918
good	BG	24.71204	Europe/Sofia	10 Jul 2013	41.57439
average	AU	146.05093	Australia/Sydney	2013-08-29	-34.28853
good	GB	-2.01111	Europe/London	2022/03/08	52.66277
excellent	BD	91.84128	Asia/Dhaka	2015-07-14	22.83957
excellent	PK	70.96699	Asia/Karachi	2019-08-25	30.46907
building	UA	38.15035	Europe/Zaporozhye	2015/09/30	49.41029
good	IN	71.30633	Asia/Kolkata	2022-01-20	21.34222
good	PH	120.5875	Asia/Manila	2015-11-24	16.455
good	CN	117.55417	Asia/Shanghai	03/28/2015, 00:00:00	34.86472
maintenance	RU	38.02486	Europe/Moscow	2016/01/10	55.64776
good	PE	-75.11028	America/Lima	2015/04/23	-15.21194
excellent	ES	-2.68333	Europe/Madrid	2019-11-17	43.31667
accep	IN	88.1453	Asia/Kolkata	11 May 2016	22.4711
good	CG	15.28318	Africa/Brazzaville	2017/02/04	-4.26613
excellent	IL	34.75699	Asia/Jerusalem	12/09/2019, 00:00:00	31.39547
good	IN	86.79271	Asia/Kolkata	2022/09/06	25.92127
average	DE	7.973	Europe/Berlin	15 Dec 2014	51.168
good	ID	104.09701	Asia/Jakarta	2021/10/15	-1.26424
good	TR	28.88222	Europe/Istanbul	2016-03-29	40.37528
average	UA	26.97253	Europe/Kiev	14 Mar 2017	49.65186
accep	MA	-6.90656	Africa/Casablanca	2018-04-22	33.92866
building	BR	-39.25	America/Bahia	2014/09/25	-12.91667
good	TZ	29.65806	Africa/Dar_es_Salaam	13 Mar 2016	-4.83
excellent	US	-96.67834	America/Chicago	09/12/2016, 00:00:00	34.77453
excellent	NG	3.39467	Africa/Lagos	2015-08-31	6.45407
excellent	DJ	42.7125	Africa/Djibouti	13 Mar 2022	11.15583
building	BE	4.25633	Europe/Brussels	15 Jun 2016	51.21187
accep	LK	79.87116	Asia/Colombo	02 Jan 2016	6.84019
accep	CN	116.11768	Asia/Shanghai	2016-05-23	24.28859
maintenance	US	-77.70066	America/New_York	21 Jun 2013	43.16547
building	MZ	35.34722	Africa/Maputo	2022-09-10	-23.85972
average	US	-87.66561	America/Chicago	10/12/2020, 00:00:00	41.8542
building	YE	46.83187	Asia/Aden	2017-02-03	14.53767
average	LT	24.04142	Europe/Vilnius	2020/09/17	54.39635
excellent	IN	88.58	Asia/Kolkata	2021/12/07	23.18
average	MG	46.58333	Indian/Antananarivo	12/18/2013, 00:00:00	-21.15
good	IT	14.66737	Europe/Rome	05/26/2015, 00:00:00	41.55947
good	NL	5.51978	Europe/Amsterdam	2020/12/27	51.44889
accep	AZ	45.36561	Asia/Baku	09/10/2013, 00:00:00	41.09246
average	CO	-73.9614	America/Bogota	05/08/2020, 00:00:00	10.15031
accep	RE	55.4504	Indian/Reunion	01/10/2021, 00:00:00	-20.88231
accep	PG	144.23058	Pacific/Port_Moresby	04/16/2019, 00:00:00	-5.85746
average	DE	9.20427	Europe/Berlin	2017-01-26	48.49144
maintenance	US	-85.76942	America/Indiana/Indianapolis	06/29/2020, 00:00:00	39.78504
accep	CH	8.52462	Europe/Zurich	12 Jul 2017	47.30997
good	TR	42.85693	Europe/Istanbul	31 Mar 2015	39.22493
maintenance	DE	8.77155	Europe/Berlin	2014/08/11	50.23019
maintenance	CN	125.51176	Asia/Shanghai	08/09/2020, 00:00:00	42.64031
good	BR	-52.67056	America/Sao_Paulo	26 Dec 2015	-26.22861
good	CN	111.73861	Asia/Shanghai	2022-03-20	35.20889
accep	RU	85.4265	Asia/Novokuznetsk	2019/11/06	55.8736
accep	GB	-1.48119	Europe/London	2020/03/26	53.0233
good	MM	98.50893	Asia/Yangon	09/03/2021, 00:00:00	16.68911
good	TN	10.78222	Africa/Tunis	2017/08/17	36.46917
good	DE	10.03988	Europe/Berlin	2013-09-30	53.6052
accep	LY	10.18003	Africa/Tripoli	06/19/2020, 00:00:00	24.96334
excellent	RU	37.38115	Europe/Moscow	2014-09-22	55.63711
excellent	US	-76.43941	America/New_York	08 Feb 2013	39.33427
excellent	BR	-48.29694	America/Sao_Paulo	22 Jan 2022	-20.87306
good	MY	103.6032	Asia/Kuala_Lumpur	2019-07-12	1.6561
accep	GB	-0.32247	Europe/London	2012-10-08	50.82882
excellent	NL	5.22778	Europe/Amsterdam	2020/05/05	51.955
average	DJ	42.7125	Africa/Djibouti	2013-05-11	11.15583
excellent	US	-73.49484	America/New_York	23 Jan 2022	41.14676
average	ES	-2.68333	Europe/Madrid	11/21/2015, 00:00:00	43.31667
accep	NE	9.15013	Africa/Niamey	2013-07-19	13.70727
good	MD	28.28489	Europe/Chisinau	26 Aug 2021	48.15659
good	US	-74.01042	America/New_York	2013-04-16	41.50343
excellent	DZ	4.08282	Africa/Algiers	2013/12/16	36.61954
good	RU	47.1192	Europe/Moscow	14 Nov 2013	42.819
excellent	US	-117.54866	America/Los_Angeles	2020-09-17	33.93113
building	FR	1.00288	Europe/Paris	04/06/2022, 00:00:00	49.28669
accep	MG	48.41667	Indian/Antananarivo	2018-12-01	-17.83333
average	GB	-1.48119	Europe/London	01/31/2016, 00:00:00	53.0233
accep	BE	3.20639	Europe/Brussels	2020/10/09	50.74497
accep	DE	6.74549	Europe/Berlin	2020-08-04	49.5099
good	UZ	67.84222	Asia/Samarkand	2013/05/31	40.11583
good	UA	32.6178	Europe/Kiev	27 Dec 2020	46.65581
maintenance	TJ	69.01354	Asia/Dushanbe	2022-04-18	38.55632
excellent	IN	83.36889	Asia/Kolkata	08/23/2019, 00:00:00	26.76628
excellent	IN	76.0586	Asia/Kolkata	10/16/2015, 00:00:00	16.06213
average	CM	11.5	Africa/Douala	2014/11/03	3.51667
accep	UY	-56.52361	America/Montevideo	2017/02/18	-33.38056
average	DE	6.51352	Europe/Berlin	10/05/2017, 00:00:00	51.19139
good	PE	-76.70944	America/Lima	03/25/2014, 00:00:00	-11.94306
average	IN	77.23826	Asia/Kolkata	04 May 2016	11.50526
excellent	NG	8.2926	Africa/Lagos	05/05/2021, 00:00:00	9.58126
maintenance	GB	-1.32471	Europe/London	2022/05/25	51.40148
excellent	HT	-72.22625	America/Port-au-Prince	2013-10-27	18.57677
excellent	US	-111.99633	America/Denver	12/12/2020, 00:00:00	40.65995
excellent	MM	98.19151	Asia/Yangon	14 Dec 2018	14.0823
excellent	MM	97.01124	Asia/Yangon	25 Sep 2021	17.30858
good	PA	-79.62098	America/Panama	28 Oct 2018	9.15093
building	JP	136.61667	Asia/Tokyo	02 Apr 2017	36.53333
accep	US	-74.15987	America/New_York	2013/12/08	40.82232
excellent	MW	34.4587	Africa/Blantyre	07/11/2014, 00:00:00	-13.7804
building	CA	-73.58248	America/Toronto	2013-04-30	45.40008
good	CN	112.19028	Asia/Shanghai	2021/11/24	30.35028
maintenance	MK	20.91361	Europe/Skopje	2019/02/16	41.92361
good	CN	115.70111	Asia/Shanghai	02 Jun 2015	37.73222
average	PH	123.758	Asia/Manila	10/15/2015, 00:00:00	10.20898
average	GB	-0.76667	Europe/London	2016/07/05	53.38333
good	DE	8.77155	Europe/Berlin	06/25/2020, 00:00:00	50.23019
good	BG	24.71204	Europe/Sofia	2018-11-22	41.57439
building	KR	127.08472	Asia/Seoul	01/09/2019, 00:00:00	36.20389
good	ID	104.09701	Asia/Jakarta	2016/06/11	-1.26424
excellent	FR	4.91667	Europe/Paris	19 Jan 2013	45.73333
maintenance	LK	79.883	Asia/Colombo	19 Nov 2014	6.9909
excellent	US	-76.43941	America/New_York	2019-09-07	39.33427
good	RU	83.62389	Asia/Barnaul	02 Jul 2019	53.30972
good	US	-116.21677	America/Los_Angeles	01/26/2016, 00:00:00	33.7207
good	SK	17.22635	Europe/Bratislava	2015-04-20	48.8449
accep	US	-70.92866	America/New_York	05/23/2016, 00:00:00	42.52787
good	MN	106.88324	Asia/Ulaanbaatar	01 Nov 2020	47.90771
accep	IN	73.85535	Asia/Kolkata	2020-11-17	18.51957
accep	KR	128.62667	Asia/Seoul	2020-08-21	34.8825
excellent	FR	4.63031	Europe/Paris	2015/10/24	43.67681
excellent	MX	-100.88023	America/Mexico_City	2015-11-14	20.21322
excellent	FI	24.95034	Europe/Helsinki	2019/11/24	60.18427
good	UA	26.97253	Europe/Kiev	17 Sep 2020	49.65186
good	ML	-8.07257	Africa/Bamako	09 Jun 2015	12.74409
maintenance	FR	5.4384	Europe/Paris	01/20/2022, 00:00:00	43.2907
building	IT	14.34085	Europe/Rome	2018/02/08	40.87363
accep	ZA	30.79165	Africa/Johannesburg	2020/07/03	-27.76952
good	ES	2.35739	Europe/Madrid	2013/08/30	41.63976
building	IN	83.97573	Asia/Kolkata	2017/09/14	21.46527
average	PL	18.30056	Europe/Warsaw	2017/09/04	50.5107
excellent	RU	30.28491	Europe/Moscow	2019-09-11	60.02427
maintenance	US	-82.42491	America/Detroit	02/04/2014, 00:00:00	42.97086
good	CN	125.51176	Asia/Shanghai	2012/11/04	42.64031
good	IN	75.92694	Asia/Kolkata	08/01/2016, 00:00:00	14.46693
average	ES	-2.68333	Europe/Madrid	07/26/2014, 00:00:00	43.31667
good	ID	106.92667	Asia/Jakarta	12/29/2016, 00:00:00	-6.91806
good	AR	-58.38341	America/Argentina/Buenos_Aires	15 Nov 2017	-34.64966
accep	FR	2.29026	Europe/Paris	23 May 2018	48.77644
building	JP	135.21667	Asia/Tokyo	2014/04/18	35.06667
accep	ID	114.33333	Asia/Jakarta	2017/10/23	-8.43333
average	BW	27.46153	Africa/Gaborone	17 Jul 2017	-21.44236
average	KE	34.11169	Africa/Nairobi	2020/03/15	0.46005
average	AU	145.18333	Australia/Melbourne	12 Jul 2016	-37.9
accep	IN	78.40102	Asia/Kolkata	2017/05/05	27.9247
good	IN	77.23826	Asia/Kolkata	08 Apr 2019	11.50526
excellent	US	-122.86705	America/Los_Angeles	2020/11/02	45.49428
accep	SO	43.38531	Africa/Mogadishu	08 Oct 2012	9.89206
good	CN	117.55417	Asia/Shanghai	2016-09-13	34.86472
building	CU	-77.43532	America/Havana	2019-01-02	20.14298
maintenance	DE	8.86704	Europe/Berlin	2020-10-20	50.23805
excellent	CO	-75.87877	America/Bogota	2014-10-01	5.6561
maintenance	US	-69.96533	America/New_York	26 Aug 2020	43.91452
good	IN	76.35484	Asia/Kolkata	20 Oct 2019	10.10649
excellent	CO	-77.03116	America/Bogota	31 Aug 2017	3.8801
maintenance	RU	37.92792	Europe/Moscow	2018/01/04	53.93361
excellent	GB	-4.21376	Europe/London	08 Nov 2020	55.82885
average	GB	0.30367	Europe/London	24 Feb 2014	51.38673
building	IN	77.70636	Asia/Kolkata	2018-09-03	28.98002
average	US	-86.78777	America/Chicago	09/29/2020, 00:00:00	33.44872
maintenance	AT	15.46667	Europe/Vienna	27 Feb 2013	47.05
good	CN	105.89333	Asia/Shanghai	2020-05-22	34.56861
excellent	JP	139.07204	Asia/Tokyo	14 Jul 2022	36.24624
building	JP	139.55722	Asia/Tokyo	2015-05-30	36
excellent	ES	-1.60452	Europe/Madrid	2022/02/16	42.06166
excellent	CL	-71.23106	America/Santiago	2014-10-17	-32.45242
excellent	TH	99.96667	Asia/Bangkok	08/06/2016, 00:00:00	8.43333
average	SO	43.38531	Africa/Mogadishu	2022-08-31	9.89206
good	MX	-102.04897	America/Mexico_City	03 Oct 2018	19.64745
excellent	US	-77.70066	America/New_York	23 Sep 2019	43.16547
average	ZA	29.00974	Africa/Johannesburg	23 Jul 2016	-24.19436
average	US	-74.07764	America/New_York	02/17/2018, 00:00:00	40.72816
good	US	-78.19444	America/New_York	21 Sep 2022	38.91817
maintenance	GB	-3.05	Europe/London	2013/11/05	53.81667
maintenance	RU	46.5813	Europe/Moscow	12/02/2015, 00:00:00	54.8421
excellent	ZA	30.79165	Africa/Johannesburg	08/20/2019, 00:00:00	-27.76952
average	DE	6.8625	Europe/Berlin	02/14/2013, 00:00:00	51.47805
average	DE	7.11393	Europe/Berlin	22 Sep 2020	51.08468
excellent	CN	120.14278	Asia/Shanghai	11/20/2021, 00:00:00	32.50611
building	AU	152.70493	Australia/Brisbane	17 Apr 2016	-25.54073
good	DZ	3.50309	Africa/Algiers	09/21/2020, 00:00:00	34.15429
building	DE	6.74549	Europe/Berlin	18 Sep 2014	49.5099
accep	US	-122.40433	America/Los_Angeles	19 Sep 2020	37.71715
building	KR	126.665	Asia/Seoul	2013/02/07	36.6009
accep	US	-83.2321	America/New_York	12/11/2012, 00:00:00	33.08014
average	GB	-1.06667	Europe/London	04 Nov 2017	53.78333
good	BR	-34.88111	America/Recife	07/13/2013, 00:00:00	-8.05389
maintenance	RU	37.38115	Europe/Moscow	2017-08-11	55.63711
excellent	SD	34.3869	Africa/Khartoum	2021/06/14	11.8659
good	UA	31.33078	Europe/Kiev	07 Jan 2013	47.56494
excellent	PK	68.11759	Asia/Karachi	2021-10-20	26.9423
accep	FR	4.63031	Europe/Paris	11/16/2019, 00:00:00	43.67681
maintenance	NL	6.92917	Europe/Amsterdam	2014-09-07	52.31333
excellent	BJ	2.59753	Africa/Porto-Novo	12/26/2021, 00:00:00	8.88649
good	TH	99.89166	Asia/Bangkok	2015-05-29	15.46063
excellent	GB	1.26738	Europe/London	2017/05/04	51.84819
accep	AU	152.70493	Australia/Brisbane	2021/10/07	-25.54073
maintenance	MX	-98.11889	America/Mexico_City	06 Mar 2018	19.04222
accep	CL	-71.23106	America/Santiago	2017-05-09	-32.45242
average	JP	137.5	Asia/Tokyo	08/27/2014, 00:00:00	34.9
accep	IN	78.15794	Asia/Kolkata	06/21/2013, 00:00:00	12.1277
excellent	FR	4.63031	Europe/Paris	2014-01-26	43.67681
accep	US	-118.25508	America/Los_Angeles	2014-02-27	34.14251
good	IN	78.55757	Asia/Kolkata	15 Aug 2015	17.34769
average	US	-77.96389	America/New_York	04/04/2014, 00:00:00	39.45621
building	US	-81.79819	America/New_York	2017/04/13	41.48199
average	BJ	2.59753	Africa/Porto-Novo	09/17/2019, 00:00:00	8.88649
accep	GB	-1.48119	Europe/London	09/04/2017, 00:00:00	53.0233
excellent	BE	5.37429	Europe/Brussels	2014-08-26	51.03427
good	DE	6.9747	Europe/Berlin	27 Sep 2020	50.82709
maintenance	US	-85.76942	America/Indiana/Indianapolis	2019/07/21	39.78504
good	BR	-52.67056	America/Sao_Paulo	2020-01-26	-26.22861
good	SK	17.22635	Europe/Bratislava	14 Nov 2014	48.8449
building	US	-115.98391	America/Los_Angeles	28 May 2021	36.20829
building	TZ	38.66667	Africa/Dar_es_Salaam	2022/09/01	-6.25
maintenance	US	-76.88442	America/New_York	2021-04-30	40.2737
accep	IN	86.68363	Asia/Kolkata	07 Feb 2014	23.49668
average	RU	76.92421	Asia/Yekaterinburg	11/28/2017, 00:00:00	60.97944
maintenance	NL	5.2875	Europe/Amsterdam	2016-07-28	51.65333
excellent	IE	-7.95	Europe/Dublin	2014/07/05	53.43333
accep	DE	11.18709	Europe/Berlin	2017-03-07	48.73218
good	CN	122.05228	Asia/Shanghai	03/24/2021, 00:00:00	37.19723
accep	IN	77.5609	Asia/Kolkata	2021-07-11	11.00599
good	MA	-6.00137	Africa/Casablanca	05/02/2014, 00:00:00	33.42585
average	IT	8.86374	Europe/Rome	10/09/2017, 00:00:00	44.89784
maintenance	DE	7.2278	Europe/Berlin	2018/01/23	50.64336
good	DE	10.98461	Europe/Berlin	2014/05/12	48.35693
excellent	LK	79.87116	Asia/Colombo	11/28/2020, 00:00:00	6.84019
accep	TZ	33	Africa/Dar_es_Salaam	19 May 2019	-2.68333
building	TZ	29.65806	Africa/Dar_es_Salaam	12/11/2013, 00:00:00	-4.83
building	US	-83.55521	America/New_York	2018/01/07	41.66394
accep	BO	-65.71875	America/La_Paz	10/25/2019, 00:00:00	-21.44345
excellent	BR	-43.80139	America/Sao_Paulo	18 Mar 2016	-20.25333
accep	ES	1.10687	Europe/Madrid	2022/08/15	41.15612
accep	MT	14.51472	Europe/Malta	2021/04/03	35.89972
accep	MX	-100.44843	America/Mexico_City	01/26/2013, 00:00:00	20.74122
good	US	-73.49484	America/New_York	2018-06-02	41.14676
good	IN	86.59611	Asia/Kolkata	13 Dec 2015	25.87498
excellent	VE	-70.20749	America/Caracas	2020/12/25	8.62261
average	CU	-82.00919	America/Havana	2016/07/24	23.04419
excellent	US	-82.61573	America/New_York	05/17/2017, 00:00:00	41.24255
maintenance	CF	15.87735	Africa/Bangui	12/14/2019, 00:00:00	4.94273
average	PH	120.57224	Asia/Manila	2021/03/23	15.72892
building	SK	17.22635	Europe/Bratislava	2014/12/22	48.8449
maintenance	IT	13.44275	Europe/Rome	03/25/2021, 00:00:00	38.07789
average	US	-116.37697	America/Los_Angeles	2018-04-07	33.72255
average	LT	24.75	Europe/Vilnius	2020-02-06	55.25
accep	BR	-52.51028	America/Sao_Paulo	02 Sep 2016	-28.81833
average	SL	-13.2356	Africa/Freetown	2022/05/06	8.48714
building	ID	98.6738	Asia/Jakarta	10/31/2015, 00:00:00	3.7278
excellent	IT	14.43865	Europe/Rome	2013-11-08	40.87329
average	US	-73.78458	America/New_York	2019-08-28	41.0051
average	NZ	178.00417	Pacific/Auckland	14 Feb 2013	-38.65333
maintenance	IT	12.70038	Europe/Rome	17 Sep 2015	45.9836
accep	BR	-48.52333	America/Belem	08 Jun 2014	-0.71667
maintenance	PK	75.06583	Asia/Karachi	2017/10/15	32.17629
excellent	US	-96.67834	America/Chicago	2015/10/10	34.77453
average	RU	53.26023	Europe/Moscow	2020-11-14	54.39304
maintenance	IN	78.95693	Asia/Kolkata	2021/05/25	29.21399
average	US	-93.263	America/Chicago	2019/06/14	45.0408
building	DE	9.15214	Europe/Berlin	2022/07/30	49.97704
maintenance	DO	-71.10077	America/Santo_Domingo	2016-05-21	18.20854
accep	US	-77.02303	America/New_York	2022/02/16	38.70734
good	VE	-67.33122	America/Caracas	2021/12/26	10.22677
good	JP	135.21667	Asia/Tokyo	2013-12-27	35.06667
maintenance	CO	-75.87877	America/Bogota	2019/09/06	5.6561
average	RU	59.4839	Asia/Yekaterinburg	2017/03/11	58.7002
excellent	PT	-8.2503	Europe/Lisbon	2019-02-06	37.08819
accep	BR	-48.29694	America/Sao_Paulo	2021/05/31	-20.87306
