longitude	QoS	latitude	station	code	revision
-4.21376	accep	55.82885	Rutherglen	GB	03/02/2021, 00:00:00
42.85693	excellent	39.22493	Patnos	TR	2014-06-18
47.1192	average	42.819	Buynaksk	RU	03/31/2021, 00:00:00
83.62389	excellent	53.30972	Novosilikatnyy	RU	19 Aug 2016
49.62251	accep	27.0174	Al Jubayl	SA	03/06/2019, 00:00:00
-74.96933	excellent	39.71734	Sicklerville	US	2018-04-20
-88.27205	excellent	44.27804	Kaukauna	US	2017-12-22
12.19458	excellent	10.61285	Biu	NG	2016-09-11
32.86389	good	53.95278	Roslavl’	RU	2015/11/15
84.13864	average	22.88783	Jashpurnagar	IN	2014-06-06
28.88222	good	40.37528	Mudanya	TR	06/17/2017, 00:00:00
91.84128	building	22.83957	Manikchari	BD	05/14/2021, 00:00:00
140.72287	building	53.14657	Nikolayevsk-on-Amure	RU	10/24/2018, 00:00:00
109.05389	excellent	-7.51611	Wangon	ID	2014/02/05
-121.75689	accep	36.91023	Watsonville	US	2020-04-26
-1.4001	building	7.06273	Mampong	GH	08/09/2021, 00:00:00
115.88782	good	-32.05251	Willetton	AU	2018-08-24
77.5609	average	11.00599	Kangayam	IN	06/21/2021, 00:00:00
34.11169	average	0.46005	Busia	KE	2021-05-06
120.56528	good	14.66	Pilar	PH	20 Oct 2018
117.65694	good	36.19278	Laiwu	CN	2017-01-19
-111.89903	good	33.50921	Scottsdale	US	2017-03-07
4.18333	good	7.6	Olupona	NG	06/11/2015, 00:00:00
-97.35992	average	19.8173	Teziutlan	MX	16 Aug 2020
145.18333	average	-37.9	Wheelers Hill	AU	2013/12/19
77.0202	excellent	43.41949	Otegen Batyra	KZ	09 May 2013
-105.36369	building	22.49396	Acaponeta	MX	2017-01-28
-80.08199	excellent	35.88264	Thomasville	US	2020/01/23
-86.11084	good	41.75338	Granger	US	07/29/2018, 00:00:00
85.4265	accep	55.8736	Yashkino	RU	10/23/2019, 00:00:00
101.18445	good	13.44581	Phanat Nikhom	TH	2019-11-20
38.66667	average	-6.25	Mvomero	TZ	2013-10-26
48.26258	excellent	33.86419	Aleshtar	IR	01 Oct 2014
32.86389	good	53.95278	Roslavl’	RU	2018/04/16
114.68333	accep	23.73333	Heyuan	CN	2017/08/24
79.82979	accep	11.93381	Puducherry	IN	2022-01-28
-79.2663	average	43.86682	Markham	CA	04/28/2020, 00:00:00
-93.263	excellent	45.0408	Columbia Heights	US	2019/01/10
-82.90375	building	32.54044	Dublin	US	2019-11-11
-82.35176	accep	27.71809	Sun City Center	US	06/24/2013, 00:00:00
35.96944	good	56.03361	Volokolamsk	RU	10/10/2018, 00:00:00
5.55575	good	46.67535	Lons-le-Saunier	FR	2015/07/12
57.3552	good	51.4781	Kuvandyk	RU	2020/01/20
4.18333	accep	7.6	Olupona	NG	10/13/2014, 00:00:00
16.54165	good	68.79833	Harstad	NO	2018-01-05
51.67462	excellent	32.65246	Isfahan	IR	12/14/2015, 00:00:00
14.51472	average	35.89972	Valletta	MT	16 Jul 2021
78.95693	average	29.21399	Kashipur	IN	06 May 2020
-2.58736	building	56.56317	Arbroath	GB	31 May 2017
18.69303	accep	12.18441	Mongo	TD	2013-02-14
-74.73584	average	5.20856	Honda	CO	06/21/2015, 00:00:00
-119.01677	average	36.06523	Porterville	US	21 Mar 2020
11.18709	average	48.73218	Neuburg an der Donau	DE	2016/12/07
140.73667	average	41.77583	Hakodate	JP	11 May 2022
-43.80139	average	-20.25333	Itabirito	BR	2019/06/30
-72.47417	maintenance	7.83389	Villa del Rosario	CO	2014-09-04
137.5	maintenance	34.9	Shinshiro	JP	2019/10/25
15.07041	building	37.49223	Catania	IT	2018-09-20
119.58627	accep	23.5654	Magong	TW	2018/03/20
38.28402	accep	34.5624	Tadmur	SY	09/30/2016, 00:00:00
85.83334	good	20.88197	Bhuban	IN	2014/01/14
-73.9625	excellent	40.81	Morningside Heights	US	25 Mar 2016
-119.27337	maintenance	50.26729	Vernon	CA	07/29/2016, 00:00:00
144.23058	accep	-5.85746	Mount Hagen	PG	2015/05/02
140.11667	accep	37.56667	Inawashiro	JP	22 Oct 2018
13.39954	average	43.62558	Falconara Marittima	IT	23 Sep 2015
-84.13722	accep	9.92787	San Rafael	CR	2020-12-15
76.03889	accep	18.18158	Osmanabad	IN	2015/11/15
16.54165	accep	68.79833	Harstad	NO	2021-10-23
-77.55777	accep	37.52487	Bon Air	US	2017-12-13
40.17171	good	58.1908	Danilov	RU	2022-01-11
-81.79819	excellent	41.48199	Lakewood	US	06 Jun 2018
-52.20639	average	-3.20333	Altamira	BR	10/22/2019, 00:00:00
123.62494	accep	12.37169	Masbate	PH	12 Dec 2018
-96.67834	good	34.77453	Ada	US	2021/01/20
38.01667	excellent	-5.41667	Chanika	TZ	05 Sep 2014
3.87723	accep	43.61092	Montpellier	FR	29 Oct 2013
46.5813	average	54.8421	Alatyr’	RU	10/24/2013, 00:00:00
13.32127	average	52.59319	Wittenau	DE	2017-10-29
-75.60804	accep	39.96097	West Chester	US	2022-08-14
-50.19556	good	-19.72806	Iturama	BR	2014/02/11
98.19151	average	14.0823	Dawei	MM	2019/01/24
14.01481	average	42.67164	Roseto degli Abruzzi	IT	2019-04-21
37.49338	average	55.62047	Tyoply Stan	RU	10/17/2013, 00:00:00
-120.93549	good	37.73604	Riverbank	US	2020/04/21
4.7934	accep	45.69558	Saint-Genis-Laval	FR	06/30/2019, 00:00:00
123.50266	good	41.94175	Hushitai	CN	08/22/2018, 00:00:00
2.25	building	50.75	Saint-Omer	FR	2021/12/31
35.34722	excellent	-23.85972	Maxixe	MZ	2022-01-06
115.8614	good	-31.95224	Perth	AU	2019-05-17
-73.02841	maintenance	-36.9256	Chiguayante	CL	2020/05/23
77.5609	average	11.00599	Kangayam	IN	01/08/2017, 00:00:00
-111.89903	excellent	33.50921	Scottsdale	US	11 May 2014
-82.45426	building	27.09978	Venice	US	25 Nov 2021
59.6	excellent	47.83333	Shalqar	KZ	08 Aug 2020
76.11996	good	11.12018	Manjeri	IN	01 Dec 2014
34.86563	accep	31.92923	Ramla	IL	2013/06/09
7.02238	maintenance	52.21099	Gronau	DE	15 Jun 2018
76.35484	maintenance	10.10649	Alwaye	IN	2022-05-20
1.33467	average	43.61058	Colomiers	FR	11/10/2015, 00:00:00
112.23109	accep	-7.57897	Diwek	ID	05 Oct 2020
13.39954	excellent	43.62558	Falconara Marittima	IT	15 May 2018
1.53414	building	42.50729	les Escaldes	AD	2018/03/17
78.25795	accep	9.82564	Tiruppuvanam	IN	25 Feb 2018
-75.87877	excellent	5.6561	Andes	CO	01 Mar 2013
-73.95097	good	40.72371	Greenpoint	US	17 Jul 2015
11.37703	average	48.06919	Gauting	DE	07 Dec 2015
-35.71667	excellent	-8.66667	Catende	BR	2018-04-14
6.74549	average	49.5099	Losheim	DE	2016-08-05
6.9747	accep	50.82709	Wesseling	DE	2017-09-14
85.94001	good	25.49043	Teghra	IN	05/07/2015, 00:00:00
4.7934	building	45.69558	Saint-Genis-Laval	FR	11/27/2016, 00:00:00
38.15035	building	49.41029	Svatove	UA	02/21/2018, 00:00:00
35.34722	good	-23.85972	Maxixe	MZ	18 Jul 2020
-39.25	average	-12.91667	Muritiba	BR	23 Mar 2017
135.31667	building	34.25	Iwade	JP	2018/03/25
101.44167	average	0.51667	Pekanbaru	ID	03 Dec 2016
77.54372	accep	10.12268	Periyakulam	IN	06 Feb 2020
6.26764	average	4.92675	Yenagoa	NG	2017-01-25
10.98461	maintenance	48.35693	Friedberg	DE	2017-12-21
39.28333	average	-10.33333	Nyangao	TZ	2022-08-19
-74.13653	good	40.63316	Port Richmond	US	10/07/2018, 00:00:00
11.04979	accep	44.59445	Castelfranco Emilia	IT	2018-02-09
8.52462	accep	47.30997	Adliswil	CH	2019/07/06
-2.1875	good	51.26	Westbury	GB	02/01/2022, 00:00:00
86.59611	average	25.87498	Saharsa	IN	2018/04/04
29.26639	accep	37.58105	Serinhisar	TR	26 Sep 2014
124.84472	maintenance	10.13361	Maasin	PH	03 Aug 2022
-84.62081	accep	42.7392	Waverly	US	13 Nov 2013
17.10558	accep	61.72744	Hudiksvall	SE	08/24/2014, 00:00:00
-58.38341	accep	-34.64966	Barracas	AR	14 Jul 2014
-8.2194	excellent	43.48961	Ferrol	ES	16 Mar 2018
6.8625	maintenance	51.47805	Oberhausen	DE	2015/09/03
43.83992	excellent	55.39485	Arzamas	RU	14 Feb 2022
-104.22884	building	32.42067	Carlsbad	US	2016-06-21
51.67462	excellent	32.65246	Isfahan	IR	06/17/2015, 00:00:00
3.20639	good	50.74497	Mouscron	BE	22 May 2019
-98.11889	good	19.04222	Casa Blanca	MX	14 Dec 2016
9.17702	accep	48.78232	Stuttgart	DE	05/26/2014, 00:00:00
83.97573	average	21.46527	Sambalpur	IN	12/28/2019, 00:00:00
82.85749	average	17.54907	Elamanchili	IN	2017-08-21
-89.10944	good	13.70167	Ilopango	SV	31 Dec 2012
1.53414	accep	42.50729	les Escaldes	AD	11 Jan 2017
36.7138	average	35.95664	Binnish	SY	2020/05/15
25.34244	average	50.75932	Lutsk	UA	26 Oct 2020
2.61667	accep	48.98333	Mitry-Mory	FR	17 Jul 2013
6.74549	accep	49.5099	Losheim	DE	2013/01/16
-76.72803	accep	39.32288	Woodlawn	US	05/15/2018, 00:00:00
-1.4001	accep	7.06273	Mampong	GH	05 Jan 2019
-15.58602	average	27.76056	Maspalomas	ES	2020/04/05
36.7138	accep	35.95664	Binnish	SY	2020-01-05
28.88222	excellent	40.37528	Mudanya	TR	2020-05-13
168.31366	building	-17.73648	Port-Vila	VU	01/29/2013, 00:00:00
-97.50417	maintenance	25.87972	Heroica Matamoros	MX	2014-01-11
9.29109	accep	45.39402	San Giuliano Milanese	IT	2016/12/15
-103.5687	maintenance	20.22816	Zacoalco de Torres	MX	2021-07-25
17.8031	excellent	48.43174	Hlohovec	SK	12 Jan 2013
10.58082	good	35.72917	Msaken	TN	04 May 2020
30.79165	excellent	-27.76952	Vryheid	ZA	2015/09/26
77.24779	building	10.58806	Udumalaippettai	IN	2022-05-21
115.8614	excellent	-31.95224	Perth	AU	2017/07/15
125.51176	accep	42.64031	Dongfeng	CN	2021/11/09
16.91667	maintenance	-21.98333	Okahandja	NA	2019-01-23
8.61839	maintenance	49.68369	Bensheim	DE	2017/11/07
-82.00919	accep	23.04419	Jaruco	CU	2014/11/17
-35.71667	average	-8.66667	Catende	BR	2015-04-13
72.54566	average	29.69221	Hasilpur	PK	08 Aug 2020
78.27539	good	12.95629	Robertsonpet	IN	01/21/2020, 00:00:00
-0.76667	accep	53.38333	Gainsborough	GB	2015/07/27
-73.0515	excellent	41.55815	Waterbury	US	19 Mar 2014
2.1699	average	48.98994	Herblay	FR	2022-06-07
-73.89875	accep	40.93121	Yonkers	US	24 Sep 2013
-77.43532	building	20.14298	Media Luna	CU	11 Dec 2012
125.21972	accep	-8.99167	Maliana	TL	2013-03-13
24.14662	excellent	65.84811	Tornio	FI	2018-08-11
-94.91386	excellent	17.94979	Acayucan	MX	2019/12/24
5.23333	excellent	52.09	Zeist	NL	02/04/2020, 00:00:00
8.70745	average	49.03685	Bretten	DE	05/21/2018, 00:00:00
79.41727	accep	12.25282	Gingee	IN	2016/02/25
74.3092	good	33.37526	Rajaori	IN	2017-07-08
-58.70072	excellent	-34.74785	Pontevedra	AR	2016/02/23
-88.3162	good	42.24113	Crystal Lake	US	05/18/2014, 00:00:00
85.83636	good	25.66795	Dalsingh Sarai	IN	2021/04/02
-58.44417	good	-3.14306	Itacoatiara	BR	2016/06/30
-74.96933	average	39.71734	Sicklerville	US	2013-01-29
-53.13722	accep	-22.92306	Loanda	BR	27 May 2020
30.2049	excellent	55.1904	Vitebsk	BY	2015-11-28
78.25795	excellent	9.82564	Tiruppuvanam	IN	2015/06/20
151.08057	accep	-33.79176	Eastwood	AU	2021/07/13
77.656	excellent	28.71271	Pilkhua	IN	10/26/2021, 00:00:00
-58.70072	accep	-34.74785	Pontevedra	AR	2014/11/28
69.49015	accep	56.11281	Ishim	RU	04/10/2017, 00:00:00
-78.04471	building	34.25628	Leland	US	2015-10-26
5.06258	maintenance	7.50251	Igbara-Odo	NG	2021/11/25
-72.86843	good	41.27621	East Haven	US	2019/05/04
-82.46148	accep	28.15112	Lutz	US	2017/10/02
10.18527	maintenance	47.98372	Memmingen	DE	2016-04-04
-82.07842	excellent	26.91756	Punta Gorda Isles	US	11/23/2012, 00:00:00
97.01124	excellent	17.30858	Kyaikto	MM	2013/06/04
78.55757	excellent	17.34769	Lal Bahadur Nagar	IN	08/29/2016, 00:00:00
151.07986	good	-33.88096	Strathfield	AU	2017/01/01
-111.99633	maintenance	40.65995	Kearns	US	2021-10-22
-80.31727	good	25.67927	Kendall	US	2017/12/24
2.29275	good	48.79325	Fontenay-aux-Roses	FR	03 Jul 2021
4.52529	accep	50.71229	Rixensart	BE	21 Apr 2018
-100.44843	average	20.74122	Santa Rosa Jauregui	MX	07/01/2014, 00:00:00
-1.325	accep	38.47917	Jumilla	ES	2013-03-05
18.34717	good	54.60528	Reda	PL	10/29/2017, 00:00:00
75.92694	excellent	14.46693	Davangere	IN	2018-08-26
103.61667	maintenance	-1.6	Jambi City	ID	02/21/2021, 00:00:00
8.64409	accep	48.07667	Trossingen	DE	20 Dec 2015
-50.19556	accep	-19.72806	Iturama	BR	2014/03/15
115.04814	maintenance	30.24706	Huangshi	CN	16 Oct 2014
-70.20749	accep	8.62261	Barinas	VE	23 Jan 2017
4.52514	good	12.74482	Argungu	NG	2016/07/17
5.16108	accep	48.77275	Bar-le-Duc	FR	19 Aug 2020
-97.35992	accep	19.8173	Teziutlan	MX	08/12/2018, 00:00:00
-77.55777	good	37.52487	Bon Air	US	2021/12/22
76.0586	accep	16.06213	Hungund	IN	2021/04/21
-43.80139	accep	-20.25333	Itabirito	BR	20 Jun 2015
86.51499	accep	23.1959	Kenda	IN	2017-10-28
31.33078	average	47.56494	Voznesensk	UA	2013/05/29
91.84128	accep	22.83957	Manikchari	BD	2014-09-16
-72.47417	accep	7.83389	Villa del Rosario	CO	2019/01/31
16.4	average	48.25	Floridsdorf	AT	12/06/2017, 00:00:00
73.38333	acceptable	31.71667	Sangla Hill	PK	27 Dec 2019
-89.64066	excellent	40.56754	Pekin	US	08/15/2015, 00:00:00
-69.96533	good	43.91452	Brunswick	US	02/22/2022, 00:00:00
104.64992	average	14.64056	Kantharalak	TH	2014/08/10
1.6	accep	43.11667	Pamiers	FR	2022-07-24
72.93924	excellent	18.87813	Uran	IN	11/24/2015, 00:00:00
8.52462	good	47.30997	Adliswil	CH	03/19/2019, 00:00:00
91.61356	average	26.44931	Rangia	IN	2016-04-22
5.4584	good	43.32393	Les Olives	FR	08 Jun 2014
13.32127	accep	52.59319	Wittenau	DE	27 Nov 2017
37.49338	excellent	55.62047	Tyoply Stan	RU	2015-06-09
-58.44417	average	-3.14306	Itacoatiara	BR	09/09/2021, 00:00:00
-4.22398	average	57.47908	Inverness	GB	07/13/2014, 00:00:00
105.89333	excellent	34.56861	Beidao	CN	10/21/2019, 00:00:00
114.10479	average	22.37066	Tsuen Wan	HK	26 Jun 2014
11.18709	good	48.73218	Neuburg an der Donau	DE	07/19/2020, 00:00:00
78.95693	accep	29.21399	Kashipur	IN	01/20/2014, 00:00:00
-1.47217	good	53.46506	Chapletown	GB	2012-11-14
81.54855	accep	26.2649	Jais	IN	31 May 2022
7.11393	accep	51.08468	Burscheid	DE	2016/11/18
77.0202	excellent	43.41949	Otegen Batyra	KZ	08/26/2018, 00:00:00
57.3552	accep	51.4781	Kuvandyk	RU	2020/06/30
144.09638	accep	43.82634	Motomachi	JP	20 Sep 2019
28.19028	building	59.37722	Narva	EE	24 Feb 2015
130.57211	good	45.75279	Boli	CN	2021/10/05
-119.0376	average	34.21639	Camarillo	US	2022/04/13
-78.04471	accep	34.25628	Leland	US	2015-06-14
34.33825	good	53.59782	Dyat’kovo	RU	04 Jul 2020
9.29109	maintenance	45.39402	San Giuliano Milanese	IT	2014/03/12
-50.19556	building	-19.72806	Iturama	BR	04 Jan 2015
22.53083	excellent	44.22639	Negotin	RS	04/08/2017, 00:00:00
