PM10	warning	NOx	NH3	Pb	H2CO	O3	CO	TEMP	PM2.5	CH4	SO2	C2H3NO5	latitude	CFCs	PAHs	longitude	PRES
5.49793	1.00000	7.00845	7.63250	43.73366	73.73825	8.08309	3.74454	-5.16359	7.36823	10.18117	10.27900	2.44725	55.62047	74.92304	6.55405	37.49338	1138.39471
7.42308	1.00000	7.12078	8.98133	62.87758	37.58965	8.69969	9.09085		9.28762	8.45208	10.71511	3.59449	-34.74785	44.65665	5.56020	-58.70072	1181.29970
6.92815	1.00000	6.73048	8.23765	49.45774	66.33102	9.29556	10.36307	19.10159	6.48329	10.10704	11.01656	2.73028	30.16688	62.54486	7.27590	-96.39774	1060.18955
7.78961	1.00000	5.81492	9.61318	58.91419	56.99219	7.94928	8.82408	-4.14838	7.43905	10.16258	5.08828	4.08321	49.41029	60.72849	6.23772	38.15035	1059.94251
7.04297	0.00000	9.72524	6.16624	53.65056	28.91838	8.79808	8.19975	35.99319	8.45739	8.74213	6.50051	2.20269	11.85	47.04374	7.25803	38.01667	1128.21381
7.38153	0.00000	6.40891	7.02734	57.24677	70.01350	9.58637	9.15977	23.67573	8.35879	7.03458	6.01330	4.99989	52.21099	61.24682	6.95194	7.02238	1113.33496
7.25377	1.00000	7.40990	9.19723	53.96367	60.64465	9.64068	9.33899	23.56189	7.47079	9.17318	10.19528	3.34406	51.21667	53.72523	7.69863	6.26667	1122.63856
7.52856	0.00000	7.43863	9.52672	45.38476	30.32122	7.27374	11.12453	12.57884	7.78680	10.64046	11.56295	3.28164	22.4711	35.49961	6.71788	88.1453	1173.73214
4.89224	0.00000	6.90393	5.06431	54.72117	54.91434	10.04461	9.14759	2.48996	8.84021	4.89086	6.89668	1.47884	-0.71667	44.26930	7.39492	-48.52333	1162.71724
9.39365	1.00000	7.19620	9.08972	54.24530	33.06469	3.74912	8.40336	16.90102	9.08401	7.61695	8.87434	16.48828	23.04419	39.64461	7.25299	-82.00919	1096.92623
5.99819	1.00000	5.15843	9.78059	53.55070	56.24409	7.35139	6.89622	28.03372	8.37646	8.00112	6.67869	1.26994	49.68369	59.12697	7.31866	8.61839	1129.64652
9.26368	0.00000	8.77967	6.52395	59.11061	36.29889	6.96883	8.71224	10.72400	8.51016	8.62085	6.37823	14.84394	-7.0981	33.73740	6.04414	109.3243	1115.61731
7.98799	1.00000	5.97805	9.05825	25.27524	37.68585	6.98531	5.78883	10.77735	6.35771	9.45332	8.53984	5.18989	41.47892	81.84775	6.65859	-87.45476	1184.53430
8.80602	1.00000	5.47455	8.57697	36.20480	56.43311	8.40495	7.92226	15.53740	8.41679	8.09807	7.57815	10.07788	61.78491	51.62077	8.58133	34.34691	1179.48596
6.38250	1.00000	4.63544	8.52520	44.39537	54.50243	5.09653	5.94947	15.61586	9.07930	10.04163	8.05008	2.33329	-5.85746	33.12681	7.26288	144.23058	1071.77856
6.09730	1.00000	7.34404	9.43526	70.39842	35.85193	5.69593	6.38435	21.44270	9.78295	6.70694	8.58147	2.00479	51.30001	40.39642	7.06310	13.10984	1060.64013
6.21518	1.00000	5.99864	9.36109	45.70106	68.26740	7.03259	9.69414	-5.67137	6.24894	10.26385	7.01536	0.96225	53.81667	33.50728	7.03285	-3.05	1121.90798
8.72130	0.00000	8.81833	5.85961	54.16967	62.72979	7.10946	6.13490	6.69464	8.05638	7.61358	5.26477	10.02190	51.12794	45.31150	7.24521	4.21372	1195.34554
5.71344	0.00000	8.94419	3.94874	37.08314	62.65397	9.59038	10.90311	19.32679	6.32030	10.35996	6.49739	2.20393	32.17629	59.00124	9.41995	75.06583	1189.90243
8.59492	1.00000	7.90165	9.15137	40.99484	77.87521	5.81151	5.02881	23.03200	7.73956	7.51425	8.47438	8.91707	25.87972	48.55237	6.43734	-97.50417	1089.85276
5.74306	1.00000	5.40479	6.98398	62.69512	66.63959	7.67415	11.52625	12.86830	7.00786	10.26509	12.74474	2.60264	43.83125	21.81442	5.28614	5.03586	1194.72938
6.56459	1.00000	6.64630	8.66001	59.37113	41.33294	9.42777	9.74452	10.84199	7.93071	9.40147	10.30602	1.79088	11.00599	32.52886	7.42785	77.5609	1188.52806
8.73299	1.00000	4.74294	7.21732	56.02537	68.73393	9.10246	9.61273	27.69101	7.10891	9.20837	10.04563	9.33247	32.65246	59.38060	8.00226	51.67462	1100.74674
6.29585	0.00000	11.40045	7.32247	54.22468	56.80567	10.02188	8.67338	14.21825	7.99798	7.71081	3.18766	1.81833	41.27621	63.53446	7.43298	-72.86843	1093.08554
8.02635	1.00000	4.99024	7.86764	46.19563	31.31186	8.78336	8.94435	0.81228	5.68494	8.94457	8.38488	5.72524	52.4089	50.90219	6.78065	31.3237	1119.28149
7.56834	1.00000	5.38889	8.98080	50.12699	46.91926	3.74329	5.05038	23.67232	7.14037		8.75958	3.92705	33.37526	66.20162	6.36485	74.3092	1106.62468
7.22980	1.00000	7.70508	8.53576	48.95170	50.89375	8.52040	4.66229	23.28492	5.83007	8.94809	10.21297	3.87758	-36.9256	76.65998	8.64797	-73.02841	1132.12257
6.11858	0.00000	6.44964	4.70215	62.97231	72.64234	9.18880	8.61171	16.19355	8.86851	4.94216	6.76661	1.74056	14.64056	37.91416	7.84136	104.64992	1135.78385
5.79358	1.00000	7.81180	9.04011	23.26557	64.25604	10.31474	9.25521	10.13044	5.59358	9.12468	10.72673	2.33873	40.93121	37.51583	6.03353	-73.89875	1177.38328
8.36713	0.00000	10.40553	6.54546	66.06824	64.98959	7.43136	6.41434	3.71307	7.56130	7.41987	4.70253	7.35353	32.65246	36.48267	7.41350	51.67462	1068.37983
6.91249	1.00000	6.60951	9.25508	38.17013	67.18895	10.07459	7.23643	5.19627	5.82670	7.08000	8.94019	3.29117	-38.65333	42.12144	6.83237	178.00417	1115.80265
7.45607	0.00000	9.16481	5.65401	45.52344	47.04290	8.48643	9.14188	14.35481	7.08490	8.28484	4.82371	3.67039	64.5635	32.26648	5.73263	39.8302	1187.88705
8.28700	1.00000	6.48122	9.89061	62.02826	56.85676	3.31293	8.09671	9.35935	6.72752	6.54078	8.35226	5.46306	31.28092	38.83553	8.34876	74.85849	1157.37929
6.61730	1.00000	6.76757	8.73700	55.88637	75.39239	10.45414	9.42103	6.77344	9.04162	9.11755	10.61168	1.77039	44.92801	61.67249	6.72032	4.8951	1101.37657
6.27630	1.00000	5.47564	10.63354	31.66213	32.61492	3.90690	9.35197	15.57450	8.40344	8.42419	8.98605	2.10644	41.27621	45.85045	6.38116	-72.86843	1189.59875
6.63735	0.00000	8.31528	8.07722	61.02701	44.66150	7.89218	6.35147	2.08635	8.17828	8.34393	6.24129	2.12431	30.24706	47.04055	7.54038	115.04814	1150.95041
7.46236	0.00000	7.69684	5.61698	35.85288	80.29401	8.48750	9.61599	6.35496	7.18206	9.26001	6.84284	4.07357	22.49396	32.91747	6.73272	-105.36369	1101.12374
6.18366	0.00000	6.41209	5.46677	65.60474	59.69592	10.47258	9.20952	17.23959	8.92173	5.13529	5.74411	1.62778	-7.73379	73.80405	9.30222	113.69785	1099.62783
8.03037	0.00000	6.22026	7.83054	38.06604	49.35381	7.40424	10.20154	20.75528	8.22888	6.23338	8.39110	5.37849	10.58806	30.15037	6.63350	77.24779	1074.90169
7.42699	0.00000	6.18232	9.12488	49.00918	52.08251	9.21406	9.88070	33.36911	7.62295	10.70379	8.31269	3.23563	37.60876	37.66362	6.86099	-77.37331	1122.08559
7.63599	1.00000	4.68279	7.39682	61.54972	38.74237	10.57432	8.27887	35.61785	8.81015	8.47677	7.74798	4.31270	33.37526	65.15323	7.39355	74.3092	1096.37152
6.99707	0.00000	8.63822	5.83238	61.37188	65.69867	8.65287	8.44013	12.13591	8.42186	9.38418	7.43170	2.38415	43.48961	50.98745	6.72903	-8.2194	1125.93768
7.00710	0.00000	6.90648	5.90007	47.86393	56.82133	7.04378	7.31059	33.33249	7.30213	9.10602	6.60377	2.53281	19.30157	41.61802	6.06574	72.85107	1193.39224
7.62997	1.00000	5.58377	9.22751	79.34365	50.20692	5.87599	10.11552	16.92490	9.26582	10.42653	7.61647	3.87249	39.33427	51.91544	6.80928	-76.43941	1078.33014
8.52108	1.00000	5.09335	7.71282	49.85034	53.64344	6.20525	4.73449	33.57178	7.69077	10.67886	9.09597	8.28841	38.91817	32.16389	8.01947	-78.19444	1190.90301
9.29461	1.00000	6.12009	7.97093	46.53237	42.21040	5.99114	4.73297	19.78196	8.07847	8.90923	8.25492	17.58089	50.06	51.12982	6.88571	43.2379	1090.64974
6.87073	0.00000	8.64908	2.62099	61.95819	33.07328	8.31623	10.70080	14.83367	6.43726	9.85342	6.86524	3.56692	49.65186	54.88755	7.44807	26.97253	1163.65642
9.53285	1.00000	7.13191	8.85685	30.56322	35.42409	6.45643	4.53040	23.89451	7.77674	7.68254	8.96081	18.72190	-20.87306	74.78943	9.55539	-48.29694	1123.85820
8.14813	0.00000	5.67077	5.92366	41.20437	43.98355	9.10386	9.37252	32.22704	9.08386	4.87576	5.81989	6.78679	-15.21194	49.10919	6.27282	-75.11028	1127.80052
7.99893	0.00000	4.73763	7.49359	62.84228	66.99223	8.71773	9.34847	24.62306	8.11093	5.98264	6.61517	5.98960	17.54907	56.25404	7.91382	82.85749	1184.68877
7.78415	1.00000	7.83923	9.42129	59.45900	60.34627	10.65046	6.79427	26.14893	6.23586	6.12683	11.14732	4.71704	25.6439	49.99132	7.43162	77.9129	1076.40782
8.75638	0.00000	8.96054	5.90117	29.32500	51.87365	8.32655	7.89357	15.50344	6.88724	8.34660	6.44073	9.15948	48.73218	57.77979	7.83269	11.18709	1189.92988
8.06044	0.00000	8.48615	7.14962	33.04318	39.78210	5.64650	4.55853	34.09252	8.38297	7.97994	4.23760	4.70910	-19.65	26.51862	8.01329	47.31667	1117.28290
6.43661	1.00000		8.04945		59.69858	8.88971	4.25205	7.35200	7.96971	10.26217	8.00642	2.45111	51.35084	26.88356	7.70603	-1.99421	1160.61078
8.02360	1.00000	7.32881	9.45479	46.16988	69.03191	2.63245	9.56826	3.46191	7.28780	7.23141	10.80117	5.52360	-19.72806	68.71413	6.76481	-50.19556	1074.84661
6.89930	1.00000	5.35170	8.05514	55.61173	63.08009	8.32228	9.68126	20.28151	5.87236	9.52994	9.44959		45.16024	35.96622	6.72618	-93.08883	1191.70961
6.55629	1.00000	5.18048	7.58109	61.73103	28.92579	10.97031	8.96378	22.27073	4.79983	9.30804	8.04921	2.06245	30.24706	45.01934	7.39588	115.04814	1150.19140
7.63787	1.00000	8.46874	11.86384	59.40158	44.33832	8.61567	6.21661	15.19597	7.80091	7.45729	5.40291	4.19094	12.04161	27.36570	7.33877	75.35927	1094.04597
7.94197	0.00000	5.92030	5.57754	41.99619	49.29315	11.74333	8.10527	-6.85955	7.57157	6.24989	4.39497	4.60934	25.6439	30.93454	7.53287	77.9129	1136.62567
7.84422	0.00000	6.49721	7.15224	35.56483	39.34716	6.71229	8.08334	4.29022	7.89316	8.52038	5.63250	5.51341	10.98778	76.40490	7.18083	-74.95472	1189.58856
6.71863	1.00000	7.24909	10.12031	25.61849	77.56852	8.96985	8.61068	32.28891	6.72578	9.27733	8.03892	2.03326	55.82885	12.65017		-4.21376	1102.54027
8.37462	1.00000	6.74241	8.69066	48.68554	53.68540	7.97989	10.17908	-0.31034	7.64695	9.64619	10.57327	8.45768	10.98778	63.32692		-74.95472	1132.09107
7.40213	1.00000	8.50449	7.77591	66.93963	56.06760	5.86751	6.95161	17.28104	8.38094	9.75292	12.30940	3.96224	-6.25	45.69703	8.97414	38.66667	1107.39714
6.05437	1.00000	5.38731	8.41910	41.99371	64.13416	3.84096	8.68088	16.73832	9.02433	10.01744	9.98975	2.40828	35	34.57326	7.70011	136.51667	1066.69773
8.28794	1.00000	7.53435	9.38591	44.30703	41.88338	9.55139	8.73290	32.39486	7.27330	8.31925	11.12516	7.22016	-5.85746	33.08158	5.55687	144.23058	1181.39836
7.98821	1.00000	7.86803	9.90799	63.84034	77.62907	9.77852	8.71500	8.38305	8.52319	8.76042	8.97586	5.51255	55.1904	66.05827	7.84064	30.2049	1088.22045
7.17952	1.00000	5.80383	8.53963	44.88810	53.51336	6.92317	7.83105	9.01839	8.62330	7.56324	7.76997	4.01435	41.6764	55.97850	7.48121	-91.58045	1167.63944
8.71334	1.00000	5.49286	8.77753	63.27451	40.43708	5.67339	6.04068	37.30010	8.39494	9.92149	9.27886	9.72333	48.07667	38.29716	6.90483	8.64409	1120.74938
8.23084	1.00000	5.94785	7.78339	59.75886	47.23612	7.30385	3.86892	9.74198	7.07440	11.53214	10.24270	7.04604	52.41667	44.76922	8.35337	0.75	1173.77353
8.44529	0.00000	9.50339	6.76376	32.85939	43.98969	9.67343	9.19270	5.52752	5.96356	9.18470	6.49744	8.46892	2.2139	61.99390	8.20482	102.3278	1130.77928
6.83199	1.00000	4.37689	6.56148	41.15467	30.72824	10.37429	11.19778	26.08930	8.66018	11.02657	10.61831	3.53341	45.69558	14.98718	6.21627	4.7934	1114.15707
9.34731	0.00000	7.52442	7.16391	58.36769	54.90821	8.45996	7.97302	18.14153	6.24032	9.59796	8.93223	17.28992	47.83333	60.88002	9.45672	59.6	1165.18930
8.09897	1.00000	6.25755	7.84753	60.48177	56.98092	8.24366	7.89442	28.02585	7.06491	6.96913	10.33337	5.31591	46.75451	25.10844	6.52952	33.34864	1104.49280
8.03972	0.00000	7.64672	6.40003	59.86113	60.34745	10.70400	11.78271	23.61953	7.62063	8.74027	7.63081	6.24501	11.12018	51.01075	7.03710	76.11996	1114.50007
7.31499	1.00000	8.43667	10.33741	38.72130	39.67896	6.06051	7.42578	19.59117	7.07961	5.74676	9.13257	3.52532	36.76775	64.50892	7.65596	2.95924	1111.28784
7.99445	0.00000	8.50995	6.96485	61.06651	47.60527	9.04945	9.46715	3.33464	7.05082	7.95064	4.53351	4.66409	3.27833	68.30718	7.36966	32.88667	1118.00780
6.87452	0.00000	7.89081	6.29368	51.00317	46.46204	9.07771	8.66561	7.42930	7.31901	7.72002	5.68055	2.85475	32.54044	77.70906	6.73007	-82.90375	1053.71490
7.22161	1.00000	6.04117	9.30666	48.10388	57.00084	9.62377	8.34742	8.47678	6.18034	8.75584	8.63749	3.16229	22.75218	49.38049	6.54854	72.68533	1052.59225
8.41903	0.00000	4.73789	4.31252	38.52988	55.49763	6.84067	7.94212	11.16421	6.12645	4.41828	4.19281	8.01197	-20.25333	21.35540	7.50580	-43.80139	1073.69326
8.75013	1.00000	4.75241	8.93460	58.23999	77.11892	5.72771	5.77642	11.42052	6.44654	9.19402	7.80216	10.60877	10.29085	40.95326	7.95054	105.75635	1133.15084
7.03584	0.00000	10.95392	5.60308	69.99742	55.27299	9.59015	9.33287	7.92816	5.89758	8.41891	6.08301	2.47966	-1.9487	72.93983	6.48549	30.4347	1073.16276
7.89487	0.00000	8.43440	6.66357	42.66824	65.66612	9.80537	10.10898	15.52166	8.57375	8.84560	5.40036	5.84935	33.54428	56.52056	7.21964	-84.23381	1134.37666
7.75980	0.00000	7.07638	7.22786	49.11457	52.09723		5.64340	3.41767	7.88245	8.72843	6.31075	5.88245	38.40917	60.96487	7.31339	112.73333	1076.88608
5.99004	1.00000	6.29801	8.98933	70.77398	59.46344	6.13812	7.36602	1.10380	9.04832	8.64947	8.42560	1.78359	43.62558	52.82462	7.35922	13.39954	1050.44762
7.45215	1.00000	5.90280	8.46432	53.77714	41.63228	8.16104	5.81445	20.39672	6.78682	9.12208	7.45286	3.52801	68.79833	71.39815	6.77338	16.54165	1111.45851
6.41346	1.00000	6.95629	8.95038	48.80453	27.07142	10.06576	8.24908	17.52779	5.77854	8.19820	9.43648	2.54464	10.22677	66.70996	6.31214	-67.33122	1050.82168
6.16172	1.00000	5.42379	8.02877	38.50208		8.98460	4.34828	7.42987	8.20909	10.94319	8.40862	1.58403	43.11667	61.32814	8.19029	1.6	1155.30686
5.79634	0.00000	6.42795	7.26593	52.18447	65.30016	8.41288	9.51256	21.38968	5.75413	6.72718	6.21493	2.75778	52.4089	32.08435	7.44676	31.3237	1108.48897
8.38246	1.00000		9.05399	53.07560	41.58853	9.46319	7.49124	-4.99924	6.17857	8.11300	6.73166	7.70082	48.73218	35.31938	7.32490	11.18709	1118.90273
7.71643	0.00000	7.24194	4.56593	59.94204	44.94494	7.28037	8.44085	12.10481	6.68634	5.42139	7.15041	4.48749	45.0408	31.23772	7.82203	-93.263	1129.96717
8.64722	0.00000	9.43699	6.07672	39.38910	76.42555	9.44863	9.65994	12.26110	6.33596	9.12786	5.19730	7.46807	-33.88096	59.34825	5.32062	151.07986	1075.36814
7.41024	0.00000	6.90607	8.03658	42.82947	71.46261	10.30102	9.61078	-1.16365	7.03830	7.97304	5.00510	3.23641	36.61954	52.43631	7.51841	4.08282	1121.31943
7.81865	0.00000	8.36255	6.15101	41.56240	44.90568	5.43084	7.23618	38.97953	7.01312	9.65181	5.75921	4.57206	51.47805	60.06179	8.99144	6.8625	1118.24367
5.76096	0.00000	9.11376	6.76504	43.48359	41.34933	8.84326	7.70146	13.34835	7.18263	7.83563	6.05931	1.64560	0.49113	54.78011	7.91004	29.47306	1091.88534
6.82963	0.00000	6.52702	4.08762	35.44479	61.43194	7.97681	8.35701	24.64173	9.52478	4.42871	6.73700	3.59612	25.87498	32.09102	8.53293	86.59611	1156.01293
7.78823	0.00000	8.53281	4.02946	53.91619	61.99052	6.82869	8.57044	5.13005	6.14326	8.42592	5.94939	4.63410	35.06544	58.26046	7.12504	1.04945	1163.17038
6.91386	1.00000	5.77199	8.86433	77.36604	39.89205	8.58073	9.33140	17.30618	9.60720	9.77888	8.28094	4.24850	30.35028	55.86560	8.01550	112.19028	1123.58530
7.35409	0.00000	5.98936	7.92798	59.44124	57.19697	10.06928	10.50951	6.63522	9.86863	5.88596	7.26180	2.49723	-17.74431	33.78975	6.69345	-48.62789	1182.63418
7.53274	0.00000	5.29082	7.59008	58.23768	62.33624	8.64919	8.02019	4.12769	7.15857	7.91670	4.94518	3.81206	37.60876	60.42429	8.45931	-77.37331	1054.16021
6.72049	1.00000	6.76527	9.46874	44.37796	45.65188	4.81849	6.44026	17.27173	8.47031	7.21441	10.04974	3.07511	61.72744	62.36850	7.42869	17.10558	1137.78271
8.14591	1.00000	8.45002	6.21828	53.82745	31.00277	8.84822	9.14319	12.27576	7.33483	8.26428	4.41512	5.31850	22.88783	78.48631	10.01224	84.13864	1097.51838
7.52720	0.00000	8.16580	7.26313	44.44819	48.97352	7.65038	10.88527	28.44046	7.65700	6.27007	8.86389	3.88642	43.91452	37.27956	8.40382	-69.96533	1140.13022
8.08840	0.00000	4.70216	7.75518	45.85556	77.52030	10.12307	7.19208	22.22202	9.56244	8.70567	4.19756	5.28817	55.25	40.64030	7.34513	24.75	1137.74642
6.95103	0.00000	10.32506	6.83726	44.83063	62.34854	8.50748	7.86698	2.54322	7.69523	7.82628	5.09681	2.76999	17.94979	52.97936	8.63378	-94.91386	1107.40337
6.61827	1.00000	8.35765	8.93108	32.88032	61.94058	10.63549	6.13084	10.20408	9.15331	4.54136	10.34027	1.90199	28.71271	30.01174	8.35189	77.656	1129.04388
6.24700	0.00000	4.55417	8.15616	57.45465	71.66758	9.84747	7.15660	11.34211	6.09971	9.29182	3.76259	0.94428	55.39485	53.28490	8.36182	43.83992	1085.88206
7.59942	0.00000	8.45415	4.81613	43.17565	60.83322	9.77300	7.68389	9.77619	7.76135	7.50197	5.54509	3.36575	45.44694	32.80256	8.17877	8.62118	1158.82113
6.27872	1.00000	8.17687	9.09113	43.91395	49.83726	10.33933	8.65521	20.90592	6.38575	7.54609	13.07847	1.91884	23.9028	75.60918	6.48826	89.11943	1089.35925
8.21428	0.00000	10.14476	7.84614	30.70560	54.34023	7.01772	4.95913	29.02617	6.29892	8.50390	4.24708	6.81635	29.21399	38.11651	6.30780	78.95693	1064.20975
7.56918	1.00000	4.62674	7.57611	55.43299	42.51548	7.86661	9.91354	14.47228	7.04236	10.15750	7.85372	4.00550	50.82709	61.13852	6.63043	6.9747	1095.12502
10.25699	1.00000	4.89175	7.68948	43.28437	44.72112	7.41948		4.25290	7.59075	11.51213	8.06396	38.15047	53.95278	37.86271	6.63734	32.86389	1108.77597
6.23772	1.00000	7.83716	10.39524	57.14819	43.97232	9.67741	7.82652	26.38472	8.60054	8.14193	8.99025	2.96382	42.52787	40.55469	6.09252	-70.92866	1143.79719
7.88742	0.00000	5.99837	5.36117	53.91480	25.35248	8.95334	8.51924	24.35491	8.16727	5.60745	5.52729	5.06868	37.95143	38.10996	6.97036	-91.77127	1119.19530
8.91565	1.00000	7.27842	9.42925	48.29518	65.36506	9.88218	8.34171	9.43566	8.71468	8.22256	9.92689	11.51369	40.66482	56.16766	6.40286	122.22833	1127.09865
9.67126	0.00000	6.83820	4.20362		51.61501	8.17194	8.52885	16.91836	7.67640	4.42859	7.31226	20.29660	-31.95224	66.41909	7.77444	115.8614	1180.54266
7.03726	0.00000	6.65046	6.10385	44.92874	59.52485	9.02145	8.29619	16.18390	6.67430	7.02450	5.22401	2.39179	34.77453	29.14925	8.27662	-96.67834	1186.28239
6.78618	1.00000	6.61967	9.46409	67.31716	78.08647	9.13238	7.43414	25.85441	7.38459	7.87660	8.01755	2.15106	39.45621	35.99480	6.69293	-77.96389	1143.20676
5.97335	0.00000	7.19581	5.82064	56.62155	46.47304	7.08743	7.31746	8.50910	6.43701	8.31132	6.68259	2.17621	14.62578	46.18295	8.32395	121.12251	1110.04182
7.51012	1.00000	7.28141	8.12502	63.82656	35.70805	6.47139	4.65559	24.50681	7.15934	8.43032	10.42696	3.36003	42.58342	40.66972	7.34286	-71.8023	1053.71737
8.14489	1.00000	5.75892	8.50814	56.37405	53.75902	9.25140	8.90756	11.93681	7.11902	9.06202	8.58407	6.31943	32.65246	49.40576	8.21840	51.67462	1108.97382
7.83172	1.00000	5.47888	8.78323	76.34252	72.66083	6.53494	4.19815	18.88384	7.81799	9.51130	8.90181	6.26586	4.92675	38.16258	7.18522	6.26764	1071.08957
7.13498	1.00000	5.01016	8.31808	59.40373		9.44920	8.66819	10.56700	8.70061	9.38696	7.14126	2.64996	36.81667	48.08035	6.25687	117.81667	1192.68356
6.53326	0.00000	7.28528	4.58177	58.13019	55.75355	6.69165	6.99479	11.16322	7.08523	7.27262	5.88833	1.62553	42.64031	51.56686	8.05934	125.51176	1162.44310
7.90619	0.00000	5.95874	3.48436	40.74079	56.11520	7.16930	9.08110	41.20381	6.74139	2.44462	7.62154	6.12379	20.74122	44.58044	8.37225	-100.44843	1184.81337
