PM2.5	longitude	TEMP	latitude	CH4	O3	CO	SO2	NH3	H2CO	CFCs	PM10	Pb	C2H3NO5	PRES	warning	PAHs	NOx
9.45517	84.13864	14.93928	22.88783	9.56105	9.14769	9.60821	7.03918	4.59113	57.67324	69.63864	6.31895	23.40992	4.33397	1166.08909	0.00000	8.59037	5.67907
2.60828	28.88222	-11.45074	40.37528	8.87019	5.65996	10.76020	3.29043	7.89230	55.44206	77.35399	5.59634	62.51361	3.80547	1132.85714	1.00000	8.90292	8.45164
4.50779	103.81667	6.76985	1.6	4.59336	6.40210	9.60221	6.89056	6.11913	51.73774	70.53663	7.23663	53.68346	6.32912	1142.59487	1.00000	7.24838	8.74576
9.43741	71.57737	23.08964	21.53889	9.94779	7.55856	10.49417	6.72170	3.05217	54.14304	74.45076	8.24107	57.13369	10.01880	1093.93943	0.00000	7.54337	4.76100
4.99399	3.50309	8.38938	34.15429	5.71695	9.35250	7.55131	6.86554	4.85571	59.83420	66.52256	7.55535	38.40191	6.77521	1100.75168	1.00000	6.79973	9.05274
7.26251	88.1453	34.91841	22.4711	10.49346	7.31649	10.21421	6.59836	8.74200	58.71254	82.73280	7.71804	34.52930	6.72511	1077.18120	1.00000	7.70484	5.72223
6.83688	30.79165	24.56237	-27.76952	8.63711	7.32584	9.15133	8.41060	9.61366	50.75487	75.69585	7.20543	43.41602	6.64092	1107.19704	1.00000	6.42130	7.20624
6.48200	23.225	25.42390	43.4125	9.33878	7.85656	8.54311	8.32102	9.26208	43.12866	85.57052	6.23955	67.41230	4.34851	1173.52844	1.00000	7.90683	9.07651
6.35888	74.80555	15.13261	34.08565	9.48559	7.18143	9.10301	4.86146	6.88190	45.57907	64.27134	7.15217	42.55389	6.68531	1100.33668	1.00000	5.97259	8.65022
8.39134	-83.2321	5.99144	33.08014	5.03431	8.72636	6.46675	4.02801	9.27656	52.11159	74.09735	8.01440	53.14588	7.61049	1143.02532	0.00000	7.01697	10.77776
8.74111	121.12251	24.06073	14.62578	7.84616	7.22175	8.01093	5.25321	6.09604	59.56963	73.64529	5.92671	50.30149	3.36151	1058.67586	0.00000	6.43979	5.39672
8.66081	-121.75689	36.07982	36.91023	11.75458	7.22944	11.47826	8.80307	4.34087	47.91726	77.32714	5.31568	34.65578	4.26267	1085.36885	0.00000	8.36524	4.97098
3.94053	-71.29144	8.46761	41.54566	10.17976	7.16753	9.90501	3.55246	7.38219	52.01877	72.91550	6.14664	56.09120	3.93040	1166.72733	0.00000	6.94575	7.96535
7.34715	1.26738	28.86105	51.84819	6.70220	9.18784	9.41016	6.59201	6.93728	30.90487	69.45109	8.80946	48.52673	16.76009	1172.86430	1.00000	6.41082	6.64345
9.47382	37.00438	12.57602	-7.60361	10.59614	8.80709	7.32200	9.57757	8.51780	37.48662	73.43573	6.31263	44.79198	2.66574	1065.88507	1.00000	7.07718	8.69294
9.60459	16.4	-1.00201	48.25	7.11248	5.63151	7.78557	8.39412	7.08452	63.70795	72.82136	7.46225	42.65631	7.73716	1142.37445	1.00000	7.20291	8.47073
6.26168	-77.55777	-1.15340	37.52487	5.91256	7.83771	10.21255	7.93651	10.17274	63.75686	74.76489	6.93248	51.03172	5.53648	1189.54436	0.00000	6.35948	7.29374
3.68475	77.54372	5.75099	10.12268	9.38576	8.43837	12.89601	3.58693	9.59937	53.93018	66.68951	5.89050	49.48101	2.12265	1161.49819	1.00000	7.70337	9.28360
5.46139	72.85107	5.77213	19.30157	6.60191	8.12427	9.20291	5.27593	6.58963	39.17533	86.59168	8.41748	51.26755	10.21850	1134.38863	1.00000	5.53193	8.42512
6.96563	-102.36764	10.96102	31.84568	7.84375	8.06394	6.81378	8.08844	4.61672	51.14208	66.21283	6.25225	63.19144	3.14219	1108.97783	1.00000	8.21486	9.63812
8.59993	-77.02303	10.83012	38.70734	8.22240	6.01431	7.86240	9.19185	8.59387	62.82317	79.86882	6.29516	34.05896	4.04802	1130.19870	1.00000	6.02366	9.87877
8.53561	37.00438	18.84500	-7.60361	5.27753	7.59547	8.23347	7.77920	6.46214	39.60789	64.54097	6.64708	82.36420	4.58413	1157.88595	1.00000	7.81798	9.60579
8.36765	14.72443	4.44810	36.92574	7.42748	7.43727	5.47521	3.99398	6.40404	49.33109	81.02383	7.72675	44.07114	6.35544	1165.58826	0.00000	8.67274	7.40306
9.10384	15.28318	27.29361	-4.26613	5.09495	7.79180	7.71917	8.19236	6.82765	63.49051	75.56528	8.52698	50.13012	10.86960	1104.86333	1.00000	6.56766	9.29135
5.45934	-2.98884	26.38952	43.32686	9.91618	5.60004	5.97024	4.84141	4.77798	54.95978	73.00088	6.96876	45.66429	3.25884	1123.98225	1.00000	6.46489	7.98280
11.36599	34.37389	2.20075	40.1675	7.22816	8.78812	7.03563	10.07737	7.79178	58.38231	77.38642	8.52374	49.73740	13.58183	1155.79092	1.00000	7.38014	9.84846
10.89632	122.20488	-3.10819	29.98869	10.19052	6.42465	7.97755	6.61492	5.32054	39.34269	76.61481	6.89601	30.06506	4.89653	1130.60895	0.00000	6.44571	7.75546
6.67694	144.09638	16.64787	43.82634	4.26803	6.06662	7.18783	4.86421	10.84256	41.38682	86.27665	6.78206	52.60732	6.32950	1186.92887	0.00000	5.68073	11.09845
7.47663	28.67582	27.47481	40.98894	8.43765	8.67433	11.42921	6.23569	7.60328	63.63077	76.81497	6.31406	70.67709	3.26841	1123.49373	1.00000	5.98635	8.43351
6.11276	-63.90389	3.52771	-8.76194	7.00708	6.57885	10.72741	6.41527	5.85647	47.74539	78.29164	7.46730	55.80103	4.59424	1079.18117	0.00000	5.71421	2.47459
5.95617	48.26258	-1.71144	33.86419	7.87977	7.64583	6.27166	6.60223	4.42457	41.06905	72.46192	6.40511	47.61127	3.24721	1187.61935	1.00000	7.87799	8.32952
4.83761	32.88667	3.68697	3.27833	10.83590	6.77219	7.85110	5.67286	5.07658	50.60030	65.28995	9.24731	45.34776	23.66996	1108.73086	1.00000	8.57511	8.38166
9.58700	3.39467	-0.79235	6.45407	8.03122	7.43464	8.69781	10.25755	8.00680	53.78313	74.51955	7.50191	45.78201	7.49760	1153.78398	1.00000	7.74843	5.48102
10.06498	-2.68758	21.41272	53.69786	8.47501	6.46453	8.60733	9.03133	6.89135	28.65316		8.32423	38.60412	11.80548	1097.67795	1.00000	7.31875	8.69168
8.07869	0.93333	20.54504	52.68333	8.48882	7.83926	7.42174	7.88884	7.68353	63.24935	82.25323	8.34126	41.91318	11.86899	1169.01604	1.00000	7.81398	7.47990
3.95037	-74.95472	23.34979	10.98778	8.09978	8.15750	7.56076	6.00532	5.22563	61.21656	68.99637	8.42619	43.30629	13.01939	1191.78771	1.00000	8.19803	10.01091
7.87784	9.29109	31.83716	45.39402	7.81872	7.97743	4.65168	6.92690	9.90195	60.38407	70.70870	8.42475	67.28635	11.00792	1106.05526	1.00000	7.58071	11.47123
9.82226	6.9747	31.08173	50.82709	4.92305	6.20053	10.08016	8.22657	4.23828	33.20036	69.13943	7.70221	53.72568	6.55689	1181.32267	1.00000	7.97368	7.97138
8.37740	75.37991	1.84314	25.75728	6.88101	4.87356	6.85012	6.14128	8.10282	52.88628	72.71274	5.77799	45.95723	3.73055	1157.47606	1.00000	7.73665	12.86135
5.17535	-83.48216	5.34813	42.30865	7.42447	6.56554	7.15165	5.70722	5.20188	59.05536	71.54119	6.01245	67.72289	2.71502	1197.58689	1.00000	9.20676	9.16121
4.37115	42.54536	-1.45168	-0.35817	7.85116	5.22134	10.66558	7.07342	4.76997	41.29043	68.01383	7.37483	53.09192	5.80248	1149.01688	0.00000	7.72936	
9.41105	6.10237	3.99340	46.18396	9.16620	8.49425		7.20239	6.00249	39.08849	79.35034	4.90690	67.87988	3.03222	1156.83890	0.00000	7.06109	5.38373
9.14297	38.16694	34.90368	54.84444	5.57094	5.81278	6.82983	4.17544	8.41658	27.08078	72.07791	5.29040	53.51427	3.10479	1108.19930	0.00000	8.89057	9.85865
9.74880	91.84128	24.59976	22.83957	8.34143	8.03813	8.94891	7.35226	6.73801	26.55694	75.80128	6.93843	47.77378	5.85985	1086.41602	1.00000	7.28608	8.74742
6.08980	-73.95958	28.53750	40.57788	10.85430	7.24625	6.39396	5.78124	4.41387	40.55145	80.19205	7.02556	52.01993	5.49910	1172.13654	1.00000	7.08884	8.78677
6.00769	130.94098	17.01105	33.3213	5.90533	5.05471	9.40357	9.05068	8.43259	79.03208	75.38410	8.06082	47.15760	7.39159	1064.57403	0.00000	7.22458	7.94823
9.35552	123.50266	16.44995	41.94175	10.84989	8.39186	8.85344	7.88954	8.19731	59.32910	66.00652	7.66093	39.79520	7.94664	1096.21538	1.00000	7.37560	6.45606
5.24418	-0.45877	15.48630	46.32313	7.84739	7.69927	7.60015	6.22211	4.67017	66.51105	71.66756	10.19390	66.15245	54.64193	1095.26112	1.00000	7.48696	8.15890
9.92896	-87.93341	11.59970	42.55308	5.93348	6.99182	10.07661	4.29593	8.63211	43.78474	81.17874	7.91180	60.84339	10.16665	1080.19290	0.00000	7.40896	6.45848
6.57923	-87.882	5.76903	41.85059	8.46952	7.44474	11.78331	8.38421	5.64562	56.12983	78.55589	6.86624	53.69455	4.64976	1120.72742	0.00000	5.56528	0.06058
7.72856	-2.77259	26.31629	37.49073	5.15576	8.14530	7.68601	5.69045	8.98152	40.23119	65.52650	6.39709	63.19292	4.16686	1054.08867	0.00000	8.00826	9.46332
3.32495	1.15597	-7.69409	51.78967	9.84668	8.79138	9.58735	4.76636	6.59916	64.52946	69.50242	7.87552	63.30333	6.97325	1079.97424	1.00000	6.85658	8.84869
9.43342	-122.23484	16.73498	47.38093	6.72094	8.71635	6.76101	5.35764	6.32245	25.80752	71.25286	6.85393	52.91791	3.24073	1149.18314	0.00000	7.45862	9.53648
12.36867	78.95693	17.52792	29.21399	9.70448	6.52671	7.28420	6.31453	5.11327	43.65621	69.09302	8.73593	55.11759	13.33253	1071.74615	0.00000	7.80214	7.38328
6.59216	92.48278	21.06810	58.23583	9.12815	8.17664	6.99360	5.49222	4.85531	39.69731	70.77254	7.14237	43.21136	6.84735	1157.25455	1.00000	6.53927	7.61094
8.79376	122.05228	10.36099	37.19723	8.19451	9.16663	10.31286	9.17282	7.41514	57.01082	71.80113	6.24243	64.43347	3.32657	1130.91569	1.00000	6.93986	5.89613
9.06060	121.12251	-0.08906	14.62578	4.78290	6.21148	6.70279	4.06776	8.60972	37.36810	65.08675	6.32905	30.60702	5.50992	1076.12384	0.00000	5.04535	10.13505
	24.14662	18.60982	65.84811	5.84518	7.41962	7.10527	4.92114	7.79851	34.57333	56.44733	6.88740	52.95975	4.31837	1160.99485	0.00000	7.41520	4.22650
6.37859	91.00632	30.55349	26.32293	6.82363	6.71168	13.04526	5.65039	8.60584	59.29685	73.56645	8.92472	30.92517	17.62599	1060.18146	1.00000	8.98874	7.59050
10.06130	-71.19901	20.69373	-30.60106	11.01383	7.10589	10.11450	8.37512	3.30829	68.89014	78.89416	6.87200	35.28482	4.94653	1153.46813	0.00000	6.74720	5.04128
8.54498	8.61839	24.13564	49.68369	8.36087	5.96076	8.58447	5.60647	6.14842	50.88446	80.69216	8.31528	41.05660	11.42270	1142.90004	0.00000	7.11974	5.97386
8.52541	150.99292	13.37531	-33.75881	7.83660	8.82615	8.38103	4.59136	7.32645	76.09300	78.49923	6.77237	43.70763		1149.22419	0.00000	10.10765	7.41700
7.20475	13.10984	28.22898	51.30001	9.81256	7.81108	10.71261	5.77475	6.23784	71.27613	79.20627	6.89378	61.82993	6.38741	1180.93774	0.00000	7.49879	7.85295
6.66139	34.02537	31.54500	38.37255	8.11272	6.44199	9.84719	6.00067	5.94964	52.27141	69.90408	8.30986	57.20287	11.17550	1188.14336	0.00000	7.12042	5.53164
4.02445	-2.58736	20.28976	56.56317	8.82345	5.96884	8.39923	5.51739	5.75267	61.01500	67.44593	7.74696	45.09197	9.07536	1133.18284	1.00000	8.79201	8.94987
4.98217	-3.59625		5.27247	11.30484	7.72207	9.20307	3.30774	6.99365	57.60254	81.53051	7.55363	58.46168	7.79116	1171.52654	1.00000	5.80782	7.70277
3.99230	-38.79084	23.26547	-10.95817		6.83177	7.95741	6.06099	4.79114	43.52363	88.03265	5.75114	78.17939	1.89156	1090.26400	1.00000	7.39153	9.07807
9.69230	24.71204	12.19753	41.57439	7.10846	6.60378	9.56167	6.30699	6.73522	48.73656	77.98953	6.38395	56.27513	5.83152	1199.34255	0.00000	6.37992	6.35389
6.76635	135.21667	19.93991	35.06667	6.35255	7.09159	9.41137	5.37375	7.34037	67.24731	68.50917	5.95781	32.89835	4.59445	1192.51674	1.00000	7.61579	9.26882
7.80008	77.656	6.29752	28.71271	7.60382	7.68304	6.76777	3.77523	6.14426	36.55201	61.37794	7.61901	46.55589	5.99063	1110.63780	0.00000	8.41529	6.97001
7.29503	-2.98333	0.42671	53.83333	8.07920	8.09663	7.28258	7.25175	9.25695	48.10550	76.94428	6.37405	23.29936	2.56981	1185.13821	1.00000	5.75345	12.23688
7.26499	68.75915	16.36903	27.52948	7.06264	7.79093	9.34956	6.50019	6.29913	45.44685	70.95997	5.81920	54.86387	4.51114	1077.09983	0.00000	8.00702	7.31858
8.23637	0.30367	22.79214	51.38673	6.56608	7.49292	9.26541	7.25009	7.28362	48.20810	78.05650	6.93226	50.39303	5.79397	1187.42847	0.00000	5.36076	7.31124
6.04557	-58.44417	32.34295	-3.14306	8.42855	7.78312	9.83446	5.14044	7.19360	61.08985	67.43428	5.65369	44.70021	3.99687	1117.78590	1.00000	7.00760	8.74756
8.76799	-72.27814	24.25048	42.93369	8.67816	6.05182	7.43046	7.59073	7.69757	57.01475	84.80550	7.94498	55.32981	7.61100	1146.72429	1.00000	7.40939	8.93832
7.74920	9.0027	15.41428	11.86064	9.05421	6.52038	9.15381	7.52262	8.32124	60.00714	64.77278	5.78854	56.76043	2.83958	1121.66365	1.00000	6.94638	7.21890
9.66211	137.02166	29.42879	35.48199	9.43182	8.13109	7.29832	10.89088	9.69522	51.79252	75.35220	7.55173	65.58412	7.49307	1141.99017	1.00000	7.89149	13.16653
7.70384	-97.35992	38.50696	19.8173	8.15313	6.91287	6.09439	7.60254	4.18848	53.86616	80.92986	6.33763	47.67819	4.21565	1188.20514	1.00000	7.47496	8.12037
6.63770	-87.93341	16.70693	42.55308	7.62714	6.49717	9.00984	4.38128	6.82517	44.73669	84.85932	6.93612	63.95069	5.20511	1081.27886	1.00000	8.42446	7.16214
9.70150	9.72749	18.58513	48.28259	6.74361	6.44931	6.50492	9.72690	7.65152	40.53192	76.69314	9.68333	42.18667	34.02351	1080.83613	1.00000	9.04912	11.94017
11.08601	38.28402	14.76242	34.5624	4.84592	7.65856	9.43405	9.74505	5.44955	69.47367	79.50743	6.53821	56.03534	4.31762	1178.32709	1.00000	7.28040	9.32293
8.64971	-121.75689	35.95137	36.91023	7.86348	5.88478	8.62733	8.81288	7.64203	62.81324	68.19025	8.14207	50.52270	8.47296	1140.52473	1.00000	6.15361	7.76843
9.20226	-87.45476	19.10533	41.47892	6.27945	6.20740	9.81081	6.06681	8.04067	61.35553	69.28313	7.11356	32.34900	4.94866	1156.59708	0.00000	8.34021	6.32060
7.79075	85.94001	6.65142	25.49043	10.64892	5.85236	9.87926	9.16937	9.09236	37.98984	75.10151	7.29501	46.24716	6.37828	1094.74565	1.00000	7.44633	6.92825
10.35850	4.21372	4.09752	51.12794	6.31552	7.64924	10.54220	4.83545	7.93643	60.27358	73.54628	6.87586	34.48613	4.65943	1093.51885	0.00000	7.27803	5.40525
7.68428	-5.55835	42.75792	42.64685	9.42387	4.74593	8.79412	5.55060	7.98783	57.56082	81.63183	7.10563	64.83620	4.63749	1087.32897	1.00000	6.22244	5.46434
7.12360	24.6522	15.55362	60.2052	9.09886	6.40230	10.14909	6.10847	7.12090	53.01988	68.98062	7.86075	37.19880	9.43017	1114.44573	1.00000	8.14170	8.25724
12.71129	-70.6996	18.20311	-33.59217	10.57629	7.60935	8.90320	7.76452	4.47527	41.18029	78.85455	6.24490	57.93260	2.50685	1086.63026	0.00000	5.47979	6.82955
7.08491	120.14278	23.07304	32.50611	9.49344	7.44877	7.72220	5.79965	6.38380	49.48761	82.81287	8.13887	52.76531	9.61854	1198.70249	0.00000	5.71576	7.90862
4.44320	4.7934	16.35198	45.69558	7.88780	6.11251	8.38277	4.04334	6.43554	64.38727	72.76313	8.33684	49.07048	11.77538	1176.51208	1.00000	7.41556	9.11339
7.31428	-72.22625	8.66848	18.57677	10.29232	7.78657	9.25331	7.71355	9.78870	61.47294	73.35950	7.54167	63.80608	5.60335	1061.13693	1.00000	6.96056	8.93373
3.12556	13.57661	3.56955	37.31065	10.02697	6.41854	9.45322	3.80432	6.72285	52.27132	74.64761	6.29776	53.75355	3.65200	1138.43740	1.00000	7.16673	8.59713
2.49550	4.52529	0.90501	50.71229	8.07272	7.40810	9.99323	3.57541	7.06839	53.73213	75.12628	6.66176	45.27227	5.92446	1167.38263	1.00000	7.69680	7.93004
11.28502	51.49621	7.25334	36.64852	9.82743	8.33704	10.59409	8.43490	6.46882	67.65005	70.70822	8.02629	49.51858	9.55073	1056.72410	1.00000	6.85070	7.82004
7.53128	35.96944	19.21784	56.03361	7.92969	6.89577	6.90120	8.03534	4.03722	53.45981	88.49448	6.99726	42.10316	4.88350	1145.79611	1.00000	6.57912	7.77027
8.12599	-91.77127	7.15910	37.95143	6.28906	6.67175	7.42765	10.79726	9.25437	39.52296	75.50599	6.39140	51.32833	3.32834	1117.29596	1.00000	7.23089	12.12097
6.20844	70.96699	16.75026	30.46907	7.46309	7.97295	7.92081	6.33901	5.62894	62.03768	75.76405	7.68880	17.80152	8.40817	1103.41790	1.00000	6.38730	9.12370
7.21511	145.18333	19.84821	-37.9	8.12643	7.22319	9.08745	6.04835	5.82456	48.81091	63.27922	8.67074	51.35005	16.58500	1155.97836	0.00000	6.27017	5.07171
8.53718	109.05389	24.54798	-7.51611	9.53767	8.20418	11.01086	9.22633	7.98205	19.74326	76.89587	6.79272	37.72348	3.37818	1192.72974	1.00000	7.17663	6.07815
4.50793	6.10237	5.58746	46.18396	7.86096	5.65409	8.24494	6.26623	5.34745	36.99235	77.36666	6.74045	45.46067	5.27293	1155.52494	1.00000	5.98749	9.27182
6.56905	109.22921	19.22893	34.65918	6.49045	7.13015	6.80223		4.32236	48.78861	59.65821	7.11002	41.22419	4.66406	1102.73177	1.00000	5.92464	8.38062
