QoS	latitude	revision	longitude	code	location
average	-33.38056	26 Oct 2015	-56.52361	UY	America/Montevideo
good	51.84819	22 Sep 2019	1.26738	GB	Europe/London
building	43.61062	02 Jul 2022	-72.97261	US	America/New_York
average	4.02219	2015/10/11	101.02083	MY	Asia/Kuala_Lumpur
accep	40.72816	07/10/2020, 00:00:00	-74.07764	US	America/New_York
accep	6.8485	2015-02-01	3.64633	NG	Africa/Lagos
building	42.64685	09/29/2013, 00:00:00	-5.55835	ES	Europe/Madrid
excellent	17.30858	06 May 2015	97.01124	MM	Asia/Yangon
accep	43.82634	2015-05-13	144.09638	JP	Asia/Tokyo
excellent	51.95838	2021-05-11	4.47124	NL	Europe/Amsterdam
maintenance	9.82564	2015-08-16	78.25795	IN	Asia/Kolkata
excellent	45.40008	09/10/2013, 00:00:00	-73.58248	CA	America/Toronto
excellent	3.31332	2012/11/12	117.59152	ID	Asia/Makassar
good	4.96667	03/27/2022, 00:00:00	10.7	CM	Africa/Douala
accep	34.65918	08/23/2014, 00:00:00	109.22921	CN	Asia/Shanghai
good	43.50891	12 Sep 2015	16.43915	HR	Europe/Zagreb
accep	55.38752	2015-06-21	36.73307	RU	Europe/Moscow
average	40.93333	15 Dec 2014	73	KG	Asia/Bishkek
accep	37.73604	02/12/2014, 00:00:00	-120.93549	US	America/Los_Angeles
excellent	10.98778	12/21/2014, 00:00:00	-74.95472	CO	America/Bogota
good	14.66	2017-06-24	120.56528	PH	Asia/Manila
accep	10.20898	24 Feb 2021	123.758	PH	Asia/Manila
average	50.80019	06/05/2016, 00:00:00	7.20769	DE	Europe/Berlin
excellent	10.12268	2015-11-12	77.54372	IN	Asia/Kolkata
excellent	10.31672	2015/02/21	123.89071	PH	Asia/Manila
average	30.76468	26 Sep 2018	74.12286	PK	Asia/Karachi
good	-1.9487	2020/03/26	30.4347	RW	Africa/Kigali
good	-4.16694	2017-12-28	-40.7475	BR	America/Fortaleza
excellent	33.43443	30 Jun 2020	-5.22126	MA	Africa/Casablanca
excellent	37.16911	2016/05/18	10.03478	TN	Africa/Tunis
excellent	37.95143	2012-11-09	-91.77127	US	America/Chicago
average	41.09822	2021-09-15	120.74792	CN	Asia/Shanghai
average	36.64852	09/21/2016, 00:00:00	51.49621	IR	Asia/Tehran
good	17.06542	01 Oct 2012	-96.72365	MX	America/Mexico_City
excellent	30.35028	2018/08/06	112.19028	CN	Asia/Shanghai
good	53.5942	31 Mar 2020	25.8191	BY	Europe/Minsk
building	36.72544	2015-09-27	3.55665	DZ	Africa/Algiers
good	10.15031	2021-12-31	-73.9614	CO	America/Bogota
excellent	54.84444	2017/03/30	38.16694	RU	Europe/Moscow
accep	41.55815	10/27/2013, 00:00:00	-73.0515	US	America/New_York
accep	14.66	2020/05/20	120.56528	PH	Asia/Manila
excellent	28.15112	12/28/2016, 00:00:00	-82.46148	US	America/New_York
building	34.5624	23 Sep 2013	38.28402	SY	Asia/Damascus
accep	48.8449	08/27/2015, 00:00:00	17.22635	SK	Europe/Bratislava
excellent	36.61954	08 Dec 2019	4.08282	DZ	Africa/Algiers
accep	51.03427	22 Mar 2021	5.37429	BE	Europe/Brussels
good	7.57944	2021/02/22	-8.53778	LR	Africa/Monrovia
building	38.70734	2013/02/28	-77.02303	US	America/New_York
maintenance	-7.60361	02/06/2019, 00:00:00	37.00438	TZ	Africa/Dar_es_Salaam
good	28.71271	24 Jan 2013	77.656	IN	Asia/Kolkata
good	45.0408	04/01/2013, 00:00:00	-93.263	US	America/Chicago
accep	32.61603	2021/09/16	44.02488	IQ	Asia/Baghdad
good	26.44931	13 Mar 2021	91.61356	IN	Asia/Kolkata
good	42.06166	2019-07-12	-1.60452	ES	Europe/Madrid
excellent	51.12794	05/16/2014, 00:00:00	4.21372	BE	Europe/Brussels
good	54.52156	2021/02/07	9.5586	DE	Europe/Berlin
building	40.65538	2022/05/03	-74.38987	US	America/New_York
excellent	47.92526	20 Dec 2014	-97.03285	US	America/Chicago
building	43.1122	2016-01-27	12.38878	IT	Europe/Rome
excellent	52.48173	06/10/2020, 00:00:00	-2.12139	GB	Europe/London
maintenance	37.31065	2020-10-01	13.57661	IT	Europe/Rome
excellent	8.56697	12/09/2015, 00:00:00	123.33471	PH	Asia/Manila
good	10.22677	07 Jul 2020	-67.33122	VE	America/Caracas
maintenance	0.49113	10 Jun 2017	29.47306	CD	Africa/Lubumbashi
accep	33.52253	2022-01-15	-117.70755	US	America/Los_Angeles
building	53.43333	2020-10-06	-7.95	IE	Europe/Dublin
excellent	51.39323	2015/09/23	0.47713	GB	Europe/London
good	51.24197	16 Jul 2021	4.82313	BE	Europe/Brussels
excellent	13.56667	2014/08/28	-15.6	GM	Africa/Banjul
maintenance	11.86064	2015-10-12	9.0027	NG	Africa/Lagos
good	28.88162	2012-11-25	120.03308	CN	Asia/Shanghai
maitennce	48.8222	11/24/2019, 00:00:00	2.12213	FR	Europe/Paris
accep	46.51872	2017/06/12	86.00214	CN	Asia/Urumqi
average	41.72059	29 Apr 2017	-87.70172	US	America/Chicago
excellent	1.6	06/16/2015, 00:00:00	103.81667	MY	Asia/Kuala_Lumpur
maintenance	44.31771	04/04/2016, 00:00:00	9.32241	IT	Europe/Rome
average	43.4125	08/08/2014, 00:00:00	23.225	BG	Europe/Sofia
excellent	35.88264	05/28/2013, 00:00:00	-80.08199	US	America/New_York
excellent	22.83957	01/15/2017, 00:00:00	91.84128	BD	Asia/Dhaka
accep	40.70995	2014-05-08	0.57856	ES	Europe/Madrid
accep	42.93369	26 Jul 2013	-72.27814	US	America/New_York
average	46.18396	09/24/2015, 00:00:00	6.10237	CH	Europe/Zurich
excellent	13.51825	11/16/2014, 00:00:00	99.95469	TH	Asia/Bangkok
excellent	14.95472	04/18/2019, 00:00:00	120.89694	PH	Asia/Manila
good	32.54044	16 Mar 2017	-82.90375	US	America/New_York
good	41.50343	11/15/2015, 00:00:00	-74.01042	US	America/New_York
good	20.22816	17 Oct 2014	-103.5687	MX	America/Mexico_City
maintenance	4.92675	2017/03/21	6.26764	NG	Africa/Lagos
excellent	37.08819	23 Jun 2018	-8.2503	PT	Europe/Lisbon
average	-4.42472	12 May 2020	-41.45861	BR	America/Fortaleza
accep	-22.92306	20 Jul 2017	-53.13722	BR	America/Sao_Paulo
excellent	33.45122	2016-01-25	-86.99666	US	America/Chicago
good	-4.24444	2019-11-06	-42.29444	BR	America/Fortaleza
average	51.82721	18 Aug 2020	107.60627	RU	Asia/Irkutsk
building	51.35084	2017/04/08	-1.99421	GB	Europe/London
excellent	49.97704	21 Mar 2018	9.15214	DE	Europe/Berlin
good	48.25	06/22/2016, 00:00:00	16.4	AT	Europe/Vienna
average	50.75767	28 Dec 2018	-1.5443	GB	Europe/London
accep	37.52487	09/01/2017, 00:00:00	-77.55777	US	America/New_York
average	-8.28333	2018/06/22	-35.03333	BR	America/Recife
average	49.07866	2020/04/12	30.96755	UA	Europe/Kiev
excellent	-4.26613	26 Jan 2021	15.28318	CG	Africa/Brazzaville
good	37.65181	09/22/2018, 00:00:00	120.33063	CN	Asia/Shanghai
maintenance	36.24624	24 Feb 2013	139.07204	JP	Asia/Tokyo
excellent	41.20485	2013/06/02	-8.33147	PT	Europe/Lisbon
building	37.65639	2016-01-30	126.835	KR	Asia/Seoul
building	-10.95817	07/29/2021, 00:00:00	-38.79084	BR	America/Bahia
average	5.27247	26 Feb 2017	-3.59625	CI	Africa/Abidjan
good	40.57788	10/05/2013, 00:00:00	-73.95958	US	America/New_York
maintenance	-1.26753	2017/04/08	116.82887	ID	Asia/Makassar
good	35.06667	2013/06/11	135.21667	JP	Asia/Tokyo
maintenance	8.88988	12 Mar 2021	-79.62603	PA	America/Panama
average	-17.83333	2019/05/01	48.41667	MG	Indian/Antananarivo
good	64.5635	12 Jun 2016	39.8302	RU	Europe/Moscow
accep	33.41012	2017-05-04	-91.06177	US	America/Chicago
maintenance	50.7236	29 May 2022	-3.52751	GB	Europe/London
average	43.82634	09 Nov 2014	144.09638	JP	Asia/Tokyo
excellent	43.35071	2020-06-14	46.10925	RU	Europe/Moscow
good	15.73628	2017/03/01	75.96976	IN	Asia/Kolkata
average	53.37596	2012-12-24	51.3452	RU	Europe/Samara
excellent	53.30972	2016-12-12	83.62389	RU	Asia/Barnaul
average	38.68712	2019-01-02	-4.10734	ES	Europe/Madrid
average	52.47774	05/22/2018, 00:00:00	10.5511	DE	Europe/Berlin
accep	18.00747	10 Apr 2013	-76.78319	JM	America/Jamaica
good	11.00599	2013-01-05	77.5609	IN	Asia/Kolkata
good	31.92923	09/15/2020, 00:00:00	34.86563	IL	Asia/Jerusalem
good	37.65639	2020-10-31	126.835	KR	Asia/Seoul
accep	44.92934	2017-06-11	37.99117	RU	Europe/Moscow
accep	41.55838	2015-01-26	-81.56929	US	America/New_York
average	31.84568	05/23/2013, 00:00:00	-102.36764	US	America/Chicago
maintenance	8.35122	10/30/2014, 00:00:00	-62.64102	VE	America/Caracas
accep	43.32393	12/11/2016, 00:00:00	5.4584	FR	Europe/Paris
accep	43.4125	2013-11-23	23.225	BG	Europe/Sofia
excellent	11.86064	03/15/2022, 00:00:00	9.0027	NG	Africa/Lagos
good	-27.76952	11/13/2017, 00:00:00	30.79165	ZA	Africa/Johannesburg
accep	54.8421	2016-06-16	46.5813	RU	Europe/Moscow
maintenance	31.20176	2012-11-04	29.91582	EG	Africa/Cairo
excellent	27.92333	2020/12/04	118.53333	CN	Asia/Shanghai
acceptable	7.57944	01/27/2022, 00:00:00	-8.53778	LR	Africa/Monrovia
accep	45.44868	2013-12-31	-73.81669	CA	America/Toronto
building	20.88197	07/22/2021, 00:00:00	85.83334	IN	Asia/Kolkata
accep	-26.22861	2019/01/02	-52.67056	BR	America/Sao_Paulo
accep	51.64316	2018-02-23	-0.36053	GB	Europe/London
good	-32.05251	02/22/2020, 00:00:00	115.88782	AU	Australia/Perth
accep	-37.9	24 Apr 2022	145.18333	AU	Australia/Melbourne
excellent	-10.90889	26 Jan 2015	-37.03861	BR	America/Maceio
accep	50.23805	2016/08/17	8.86704	DE	Europe/Berlin
accep	41.09822	16 Jun 2022	120.74792	CN	Asia/Shanghai
maintenance	43.83125	2012/12/22	5.03586	FR	Europe/Paris
building	31.82539	2019/11/30	72.54064	PK	Asia/Karachi
accep	34.9	2015/06/21	137.5	JP	Asia/Tokyo
maintenance	36.53333	2015/06/04	136.61667	JP	Asia/Tokyo
maitennce	48.35693	2014/04/04	10.98461	DE	Europe/Berlin
accep	7.65649	2015-07-06	4.92235	NG	Africa/Lagos
accep	20.14298	2019-07-24	-77.43532	CU	America/Havana
accep	47.4943	2020/12/07	-122.24092	US	America/Los_Angeles
average	27.34089	2018/11/30	117.4831	CN	Asia/Shanghai
accep	36.24624	09 Mar 2021	139.07204	JP	Asia/Tokyo
good	42.7392	2016/08/15	-84.62081	US	America/Detroit
maintenance	50.20528	2015/07/17	19.27498	PL	Europe/Warsaw
accep	15.58552	01/21/2014, 00:00:00	102.42587	TH	Asia/Bangkok
excellent	8.62261	09/03/2016, 00:00:00	-70.20749	VE	America/Caracas
excellent	22.4711	2021/08/30	88.1453	IN	Asia/Kolkata
building	45.75279	06 Jul 2016	130.57211	CN	Asia/Shanghai
maintenance	27.52948	05/02/2022, 00:00:00	68.75915	PK	Asia/Karachi
building	-3.74912	2016/09/11	-73.25383	PE	America/Lima
accep	14.37395	2016-10-30	100.48528	TH	Asia/Bangkok
average	47.48444	16 Feb 2014	36.25361	UA	Europe/Zaporozhye
good	41.47892	2019/03/16	-87.45476	US	America/Chicago
maintenance	20.88098	2015/04/05	75.11937	IN	Asia/Kolkata
maintenance	-22.45667	2021-12-10	-47.53028	BR	America/Sao_Paulo
accep	41.55947	2017/05/18	14.66737	IT	Europe/Rome
good	46.32313	2019/08/18	-0.45877	FR	Europe/Paris
average	46.75451	03/21/2015, 00:00:00	33.34864	UA	Europe/Kiev
average	51.39148	2017/12/20	-0.29825	GB	Europe/London
building	-1.26424	22 Oct 2016	104.09701	ID	Asia/Jakarta
excellent	36.61954	2015/05/30	4.08282	DZ	Africa/Algiers
building	-7.60361	02/19/2019, 00:00:00	37.00438	TZ	Africa/Dar_es_Salaam
excellent	31.12406	2016/04/16	-97.90308	US	America/Chicago
accep	50.7236	10/06/2019, 00:00:00	-3.52751	GB	Europe/London
building	-7.76667	2013/05/06	35.7	TZ	Africa/Dar_es_Salaam
accep	40.72586	11/07/2020, 00:00:00	8.55552	IT	Europe/Rome
maintenance	40.70995	2012-12-25	0.57856	ES	Europe/Madrid
accep	43.11667	12/28/2019, 00:00:00	1.6	FR	Europe/Paris
average	25.75728	08/06/2013, 00:00:00	75.37991	IN	Asia/Kolkata
good	65.84811	2013-11-10	24.14662	FI	Europe/Helsinki
building	53.77166	05/29/2015, 00:00:00	38.12408	RU	Europe/Moscow
building	13.70167	18 Sep 2013	-89.10944	SV	America/El_Salvador
average	8.88649	2017-11-03	2.59753	BJ	Africa/Porto-Novo
good	21.59983	11 Nov 2020	71.21169	IN	Asia/Kolkata
accep	41.91886	2016/06/28	8.73812	FR	Europe/Paris
building	9.535	2015/10/24	-13.68778	GN	Africa/Conakry
accep	-21.98333	09 Oct 2013	16.91667	NA	Africa/Windhoek
accep	13.73417	2013-08-09	-89.71472	SV	America/El_Salvador
excellent	-37.9	10/09/2019, 00:00:00	145.18333	AU	Australia/Melbourne
average	47.38093	05 Nov 2021	-122.23484	US	America/Los_Angeles
excellent	-22.97056	04 Jan 2019	-46.99583	BR	America/Sao_Paulo
excellent	-34.74785	14 Apr 2017	-58.70072	AR	America/Argentina/Buenos_Aires
average	38.37255	06/05/2014, 00:00:00	34.02537	TR	Europe/Istanbul
excellent	-1.63333	03 Feb 2015	13.58357	GA	Africa/Libreville
excellent	8.62261	2017/10/12	-70.20749	VE	America/Caracas
accep	28.15112	2017/11/30	-82.46148	US	America/New_York
excellent	14.8361	13 Jan 2014	120.97844	PH	Asia/Manila
building	58.23583	06 Apr 2020	92.48278	RU	Asia/Krasnoyarsk
good	43.32393	13 Mar 2020	5.4584	FR	Europe/Paris
good	30.29184	2020/02/09	71.67164	PK	Asia/Karachi
good	39.71734	10/14/2014, 00:00:00	-74.96933	US	America/New_York
good	16.68911	2022/01/27	98.50893	MM	Asia/Yangon
average	36.91023	21 May 2014	-121.75689	US	America/Los_Angeles
good	-19.65	12 Oct 2014	47.31667	MG	Indian/Antananarivo
average	48.79325	2020/09/12	2.29275	FR	Europe/Paris
average	38.06084	02 Dec 2013	-97.92977	US	America/Chicago
maintenance	50.71229	04/05/2014, 00:00:00	4.52529	BE	Europe/Brussels
excellent	34.95303	11 Dec 2021	-120.43572	US	America/Los_Angeles
accep	40.98894	2016-07-12	28.67582	TR	Europe/Istanbul
average	41.27621	05 Apr 2015	-72.86843	US	America/New_York
maintenance	-12.91667	2022-06-17	-39.25	BR	America/Bahia
average	48.8449	04/28/2014, 00:00:00	17.22635	SK	Europe/Bratislava
average	14.67751	24 Aug 2015	-60.94228	MQ	America/Martinique
building	-3.74912	11/12/2014, 00:00:00	-73.25383	PE	America/Lima
maintenance	35.50056	03/07/2020, 00:00:00	117.63083	CN	Asia/Shanghai
building	44.99012	02/10/2016, 00:00:00	-123.02621	US	America/Los_Angeles
excellent	51.26	02 Mar 2022	-2.1875	GB	Europe/London
accep	-2.13404	2021/10/16	-79.59415	EC	America/Guayaquil
maintenance	36.92574	02 Apr 2014	14.72443	IT	Europe/Rome
accep	30.35028	11/20/2014, 00:00:00	112.19028	CN	Asia/Shanghai
accep	46.32374	03/29/2019, 00:00:00	-120.00865	US	America/Los_Angeles
average	21.53889	05/20/2020, 00:00:00	71.57737	IN	Asia/Kolkata
good	35.815	2017/08/07	139.6853	JP	Asia/Tokyo
accep	36.20389	01 Jun 2020	127.08472	KR	Asia/Seoul
accep	48.46458	2018/05/29	9.22796	DE	Europe/Berlin
good	34.31	2019-05-21	-2.16	MA	Africa/Casablanca
accep	39.72943	16 May 2013	-104.83192	US	America/Denver
average	54.84444	2017-09-21	38.16694	RU	Europe/Moscow
accep	39.09112	03/23/2015, 00:00:00	-94.41551	US	America/Chicago
building	56.03361	2014/04/01	35.96944	RU	Europe/Moscow
good	-22.53722	05/07/2022, 00:00:00	-42.98194	BR	America/Sao_Paulo
excellent	50.79205	2022-09-19	-1.08593	GB	Europe/London
good	41.27621	2013-06-03	-72.86843	US	America/New_York
excellent	43.96222	09 Oct 2016	43.63417	RU	Europe/Moscow
maintenance	53.00974	2018/07/23	-3.05814	GB	Europe/London
good	7.57944	2019/04/05	-8.53778	LR	Africa/Monrovia
building	31.92923	04/28/2016, 00:00:00	34.86563	IL	Asia/Jerusalem
maintenance	57.97472	2017/05/03	33.2525	RU	Europe/Moscow
accep	41.15612	08/07/2016, 00:00:00	1.10687	ES	Europe/Madrid
good	-0.71667	2017-08-06	-48.52333	BR	America/Belem
maintenance	51.95838	2021/11/13	4.47124	NL	Europe/Amsterdam
maintenance	-29.2975	2016/01/07	-51.50361	BR	America/Sao_Paulo
maintenance	37.60876	2015-02-07	-77.37331	US	America/New_York
average	19.30157	2013/01/11	72.85107	IN	Asia/Kolkata
good	-22.45667	2014/04/29	-47.53028	BR	America/Sao_Paulo
good	41.94175	20 Apr 2019	123.50266	CN	Asia/Shanghai
excellent	34.63915	2019-11-22	-120.45794	US	America/Los_Angeles
average	27.52948	05/28/2020, 00:00:00	68.75915	PK	Asia/Karachi
average	59.80917	2018/07/16	30.38167	RU	Europe/Moscow
excellent	-17.83333	01/08/2018, 00:00:00	48.41667	MG	Indian/Antananarivo
good	20.88953	13 Jan 2013	-156.47432	US	Pacific/Honolulu
average	4.02219	24 Jan 2019	101.02083	MY	Asia/Kuala_Lumpur
excellent	53.49389	04 Aug 2018	-1.29243	GB	Europe/London
excellent	53.69786	2013/01/07	-2.68758	GB	Europe/London
building	35.25064	02/08/2018, 00:00:00	-91.73625	US	America/Chicago
average	45.51667	2016-12-15	4.86667	FR	Europe/Paris
building	17.34769	2014/05/25	78.55757	IN	Asia/Kolkata
accep	45.75279	2020-03-13	130.57211	CN	Asia/Shanghai
good	-34.64966	2016-07-28	-58.38341	AR	America/Argentina/Buenos_Aires
good	39.45621	07/27/2016, 00:00:00	-77.96389	US	America/New_York
building	54.90083	06/26/2015, 00:00:00	38.07083	RU	Europe/Moscow
average	51.38673	2017-06-03	0.30367	GB	Europe/London
accep	50.18545	2018/01/24	27.06365	UA	Europe/Kiev
maintenance	-26.93366	12/08/2021, 00:00:00	29.24152	ZA	Africa/Johannesburg
excellent	6.33444	2019/03/06	124.95278	PH	Asia/Manila
maintenance	53.77166	07 Apr 2020	38.12408	RU	Europe/Moscow
excellent	37.1759	08/10/2019, 00:00:00	128.9889	KR	Asia/Seoul
accep	0.49113	21 Feb 2019	29.47306	CD	Africa/Lubumbashi
excellent	-33.59217	2021/05/18	-70.6996	CL	America/Santiago
good	58.04254	2018/02/15	65.27258	RU	Asia/Yekaterinburg
excellent	58.7002	2019/03/21	59.4839	RU	Asia/Yekaterinburg
accep	38.54491	2020/12/11	-121.74052	US	America/Los_Angeles
maitennce	36.06386	2017-06-13	4.62744	DZ	Africa/Algiers
average	43.61058	2016/09/24	1.33467	FR	Europe/Paris
average	45.39402	23 Apr 2020	9.29109	IT	Europe/Rome
excellent	3.7278	09/07/2020, 00:00:00	98.6738	ID	Asia/Jakarta
average	16.0438	03/30/2015, 00:00:00	120.4861	PH	Asia/Manila
accep	51.40944	2016/09/20	46.04833	RU	Europe/Saratov
excellent	51.03427	08/17/2017, 00:00:00	5.37429	BE	Europe/Brussels
good	-19.72806	2019/08/19	-50.19556	BR	America/Sao_Paulo
average	-7.01833	03/04/2014, 00:00:00	107.60389	ID	Asia/Jakarta
excellent	-10.90889	2019/04/09	-37.03861	BR	America/Maceio
