NOx	latitude	CFCs	CH4	PRES	C2H3NO5	H2CO	warning	SO2	Pb	TEMP	PM2.5	PM10	O3	NH3	longitude	PAHs	CO
8.56042	48.35693	72.72381	7.34065	1159.23867	0.05042	46.34852	0.00000	9.55925	63.87363	3.26362	10.84674	7.19560	9.36095	8.47619	10.98461	9.28040	10.25855
6.40801	50.9803	73.42506	12.87237	1182.84502	1.05505	71.64815	1.00000	12.51949	48.76410	18.23791	9.57126	11.01405	10.86812	9.80199	11.32903	8.98586	10.81385
8.26179	34.15429	77.11874	11.11359	1064.57727	0.47721	49.03280	1.00000	10.66870	63.03578	20.66976	10.46467	10.17706	10.54503	9.30093	3.50309	10.24099	9.56091
11.11435	14.53767	74.76316	11.72179	1102.68879	0.30525	41.28038	0.00000	9.87833	48.05683	20.25205	13.86785	9.72809	9.53336	8.93101	46.83187	12.55315	9.92330
9.33903	34.61667	54.36724	10.67712	1196.19521	0.22867	40.49686	0.00000	7.87324	60.24390	7.25191	11.57510	9.46299	10.41085	8.47710	135.6	10.01523	10.41127
11.52033	38.38479	84.43490	9.57035	1177.98657	0.01977	53.10699	0.00000	12.62616	23.99312	23.49132	10.09795	4.46152	9.14975	10.02069	-0.76773	9.45355	9.31753
12.25897	44.99012	74.54115	9.34503	1110.30548	0.04038	74.14449	1.00000	9.30021	35.16119	28.19714	9.15586	7.29879	8.73879	9.22610	-123.02621	10.28682	8.73981
6.99921	40.63316	66.18181	11.09776	1162.24985	1.41799	58.68183	1.00000	12.74728	59.07818	12.94912	9.27845	11.30084	12.06184	8.96008	-74.13653	11.44703	8.18921
7.01726	20.74122	50.92497	10.63802	1099.37676	11.59721	72.13127	1.00000	12.16298	39.95686	9.94280	11.59835	13.42862	12.09318	9.31285	-100.44843	9.50363	9.93211
8.57469	23.02677	74.65723	8.56993	1089.80789	0.04641	42.02908	0.00000	6.87139	37.70930	0.85839	9.38276	7.49546	7.46967	9.42331	113.13148	9.62134	10.22404
11.36231	41.14676	64.80965	9.11269	1100.57619	0.02832	57.69373	0.00000	12.17849	49.14462	12.73362	11.36551	4.34029	10.47975	8.89564	-73.49484	9.16238	8.01331
10.07155	-38.16604	75.44974	12.91246	1135.92433	1.04373	60.30798	1.00000	7.87799	59.67218	7.08115	5.78146	10.99616	7.90424	10.78722	145.13643	11.38096	10.28038
9.50074	51.95838	66.92865	11.84190	1092.20304	0.04894	52.69081	1.00000	7.01690	40.68722	2.71330	8.73968	7.29489	8.32520	8.77993	4.47124	10.12620	8.54749
9.29874	60.2052	69.80341	8.75568	1172.98986	0.08267	52.80982	0.00000	7.67894	54.18556	17.76540	11.06793	8.08437	8.74932	8.95474	24.6522	8.10367	9.17464
10.96300	26.67319	74.62216	11.01976	1093.90240	1.03589	56.94511	1.00000	8.97761	31.96122	20.43858	9.08708	10.98720	8.74271	9.34266	31.4976	9.41517	8.75749
10.69240	52.21099	70.89663	11.29826	1153.85500	0.04807	53.53613	1.00000	7.80649	53.59081	30.76140	6.39423	7.52632	8.36146	9.16181	7.02238	8.43575	11.03444
5.56050	33.44872	57.99806	9.22974	1147.67705	0.74153	43.08301	0.00000	10.37614	45.25540	6.35166	6.28191	10.65778	11.56886	8.45225	-86.78777	10.12221	9.98736
7.23668	-32.45242	74.34824	7.20170	1147.58209	0.08535	41.18847	0.00000	7.92765	53.90401	16.63266	11.04618	8.19285	5.21818	8.65372	-71.23106	8.57096	9.70113
10.00363	36.72544	71.30190	9.85075	1154.30679	4.39537	62.69504	1.00000	9.31947	44.76577	21.63798	12.47788	12.45299	9.76927	10.75272	3.55665	8.46866	11.02975
9.42072	41.57439	68.49590	9.34049	1121.09701	0.15030	47.34454	0.00000	7.13643	62.78053	10.74743	11.83041	8.91976	10.28660	9.45884	24.71204	8.53056	8.53827
7.53733	25.80565	64.12560	7.53510	1071.08151	0.18073	55.76319	0.00000	9.55754	61.10990	25.37198	10.89272	9.03090	8.85500	11.19024	68.49143	7.78207	9.08323
10.67305	-36.9256	79.25163	9.60504	1099.74786	3.76592	67.17076	1.00000	9.70938	26.73070	-2.07388	12.54457	12.30149	10.59856	9.17551	-73.02841	11.31524	9.55106
8.66220	35.20889	64.68065	8.88386	1161.59033	0.08562	59.63828	0.00000	9.75215	37.60941	29.57260	10.56785	7.98445	8.84482	10.51941	111.73861	10.39225	8.66144
7.49504	6.25947	68.98180	6.77067	1104.41188	0.72512	41.17782	0.00000	8.64934	47.12688	20.40709	13.91551	10.63410	9.70522	8.89598	102.05461	9.76444	9.69031
7.46208	55.1904	58.45448	9.35304	1159.14274	0.07603	56.18817	0.00000	9.79701	76.68946	25.45867	9.01136	7.87052	9.65170	9.31537	30.2049	9.66156	9.71210
7.30136	44.97639	77.99107	11.20338	1065.50086	10.21252	30.21649	1.00000	11.01966	70.01823	24.40199	11.45414	13.30072	10.15553	11.44774	19.61222	10.73264	10.65318
11.86437	53.53333	72.59383	8.36120	1099.46264	0.04244	62.26993	1.00000	8.94819	47.60535	12.30336	6.32230	7.14602	10.86481	11.37741	-7.35	9.03134	9.26687
11.25459	39.09112	66.60718	11.06833	1154.66818	0.00516	41.51157	1.00000	7.97314	62.93622	18.77339	10.27612	5.10827	7.56888	11.07784	-94.41551	9.90367	9.59950
11.40139	10.29085	61.46408	9.84896	1090.61369	0.05310	41.34631	1.00000	8.61193	52.95629	24.56557	9.32430	7.28376	7.67692	9.72992	105.75635	8.46768	9.05456
8.45909	22.4711	70.74622	7.50941	1180.93366	0.04494	65.46525	0.00000	7.68891	69.29090	3.06730	8.98994	6.17877	6.56681	9.24151	88.1453	10.24944	8.54301
7.45295	53.53333	64.43641	7.18916	1174.06248	0.30590	52.07002	0.00000	10.10701	56.36338	9.54704	6.42692	9.69629	13.13482	9.03633	-7.35	9.23110	10.93157
12.37137	19.32889	77.03004	9.34229	1059.34793	0.02827	53.26096	1.00000	9.20922	59.60478	0.84038	7.85056	6.88584	9.18392	9.67949	-99.32556	10.36061	10.90053
8.61185	41.55947	62.50184	8.65941	1130.27674	0.06621	45.95748	0.00000	6.51533	61.41719	30.33339	9.76187	8.02132	7.88147	7.96055	14.66737	10.28959	9.40822
10.33523	12.95629	64.36413	7.12643	1072.03720	0.04268	49.83579	0.00000	9.87311	62.11854	33.26113	9.66775	4.61192	8.96756	11.03910	78.27539	9.91329	9.57992
12.46884	50.9803	91.20427	9.99037	1164.35314	0.10813	61.59969	1.00000	9.63744	19.38278	16.74748	9.51844	8.54783	7.51890	8.85406	11.32903	10.69215	8.75182
8.91877	34.65918	62.90560	10.27803	1074.35202	1.89110	62.21092	1.00000	10.56478	65.29317	8.00022	11.22701	11.60251	10.65657	9.99541	109.22921	9.77253	8.12811
9.23349	6.8485	67.75856	13.14036	1110.04223	0.23209	57.42938	1.00000	6.95630	78.07179	28.47968	6.76168	9.36324	7.25796	8.63784	3.64633	8.77972	10.45071
8.70282	-20.25333	71.62274	13.47694	1055.92917	0.05350	37.68588	1.00000	6.38204	55.55825	8.57547	9.46061	7.74294	7.05314	10.63106	-43.80139	7.45317	10.79193
7.79950	55.85	70.69055	11.21937	1191.98262	2.37996	44.55392	1.00000	11.49555	51.06248	19.26364	10.77154	11.83011	11.09824	9.84641	37.56667	10.48593	8.66376
8.05012	13.73417	92.58073	6.73404	1087.87119	0.12082	52.01399	0.00000	9.84856	57.45186	8.77392	6.00480	8.64902	13.40538	9.75461	-89.71472	10.33957	10.92733
6.67828	24.96334	81.06514	8.53680	1193.38289	0.10764	51.95402	0.00000	9.86269	49.01188	15.37905	7.92297	8.44082	12.14526	10.83470	10.18003	8.52771	7.88230
9.17071	15.45144	85.85282	11.40968	1164.80874	19.86379	43.17023	1.00000	11.01347	38.18276	-4.81307	8.89583	13.96694	8.42943	9.05574	78.14797	10.23570	9.04788
9.45965	48.15659	70.21600	13.28119	1180.65185	0.70379	58.81709	1.00000	7.53784	41.62934	20.71039	8.59753	10.60057	8.63367	8.40533	28.28489	8.26302	11.02525
9.82462	36.24624	69.19987	10.15157	1157.17269	0.24217	52.32708	1.00000	8.61511	57.57037	10.49627	11.55836	9.46410	9.69704	8.45012	139.07204	9.92258	8.91102
7.73002	48	62.00031	6.63159	1106.51967	0.07994	54.71946	0.00000	8.63568	33.69071	15.81484	10.98134	8.13816	8.79303	8.02696	-4.1	10.52735	10.82387
10.76448	46.7055	68.56776	9.83530	1190.83951	0.21899	36.82896	0.00000	9.93771	28.73336	3.21084	14.74724	9.33744	8.97925	9.18194	38.2739	9.98196	10.01293
6.74467	-37.88333	67.49746	10.81424	1130.33822	0.50827	60.16062	1.00000	12.24842	55.82195	13.24499	10.03984	10.27539	12.53471	8.46461	145.06667	12.46671	9.07380
8.96704	38.38479	47.84426	6.51963	1103.26162	0.02645	54.71903	0.00000	9.66952	69.65094	7.70258	7.72510	6.75696	14.63696	8.45775	-0.76773	10.54293	10.10926
10.93989	35.89972	69.07616	11.77862	1143.73436	0.15311	49.38954	1.00000	8.46475	52.01634	6.98589	10.18152	8.88462	7.20629	9.59972	14.51472	8.95960	8.45644
7.56013	38.37255	59.61877	6.84231	1148.50546	0.12176	18.27332	0.00000	8.06567	60.58725	10.46472	11.15435	8.58174	7.63649	9.40245	34.02537	8.88716	8.10832
7.34899	8.79577	86.36699	12.19706	1143.77328		37.70747	1.00000	12.76261	53.50600	29.15170	8.77646	12.85748	10.18867	8.67775	-75.69947	10.69324	10.41303
8.45263	48.98693	60.47587	9.68386	1077.61150	0.11301	68.24207	0.00000	9.78297	32.42205	30.44838	11.77217	8.46855	9.80653	8.57053	2.44892	9.39891	9.29577
8.87006	25.87972	64.94533	13.93024	1192.89886	0.41855	50.76954	1.00000	6.95481	50.92458	7.98267	10.04042	10.04016	5.93950	8.82094	-97.50417	9.77133	9.22264
7.37691	55.64776	55.71655	8.52146	1150.68693	0.08153	24.21838	0.00000	9.65256	58.85446	17.67520	9.64393	8.00423	6.03862	9.75326	38.02486	10.29979	10.03925
9.01084	9.535	81.23303	9.44124	1095.88553	0.04630	82.89727	0.00000	8.98359	49.26343	15.22735	9.79899	6.69755	5.57633	10.26537	-13.68778	7.90831	8.32514
10.17824	9.92787	72.35412	9.09341	1182.52965	0.57047	46.34804	1.00000	9.45703	79.12813	10.87121	12.50724	10.38193	11.41167	8.74521	-84.13722	11.08797	9.03110
6.13392	38.55632	53.68851	9.23886	1113.21641	0.41898	44.75811	0.00000	10.54331	31.57461	24.72893	6.89356	10.05511	10.80265	8.79842	69.01354	9.29917	10.64394
6.32682	51.24197	86.88410	11.20498	1099.23930	0.12472	38.38942	1.00000	11.29992	47.75318	29.38104	11.45084	8.76166	12.53927	10.74122	4.82313	9.98441	8.90676
6.99983	14.67751	75.18471	10.58178	1083.61249	1.16266	51.58645	0.00000	12.63747	52.13510	17.76140	6.71914	11.11675	8.81079	11.09359	-60.94228	9.35093	10.34195
8.01340	-21.42917	59.45484	8.35344	1129.72744	0.10406	39.64530	0.00000	8.93361	69.39582	20.79668	11.22739	8.49290	8.26875	9.91672	-45.94722	8.83951	10.65459
15.48337	51.03427	69.52903	7.71459	1162.14799	0.04568	57.99080	1.00000	11.70801	80.12250	9.24290	8.14879	7.45300	7.59686	10.51096	5.37429	8.80146	10.39097
11.27141	-6.48167	74.81789	10.98122	1180.60096	0.72182	74.55612	0.00000	8.98628	53.40398	10.19161	6.91900	10.60815	9.49613	8.09252	106.85417	10.41925	9.29721
6.98866	16.68911	66.19359	7.08153	1109.05285	0.18019	58.96198	0.00000	6.58843	44.59056	21.61355	9.25219	9.14181	8.43933	8.40209	98.50893	9.00959	10.73352
8.17739	38.55632	63.19716	9.84730	1083.97567	0.18265	66.42061	1.00000	12.09283	50.03391	25.36057	7.48633	9.06941	8.24724	10.66354	69.01354	9.36278	8.57744
11.16325	-33.75881	73.47925	10.08454	1188.81276	0.11345	50.43556	1.00000	8.58184	38.69911	17.07799	7.89359	8.39553	8.70688	10.39374	150.99292	10.09152	9.86459
11.18838	30.46907	54.42707	9.70005	1102.40742	0.78916	63.86247	1.00000	9.11133	61.30507	22.04122	11.46108	10.69749	9.61184	10.57961	70.96699	8.57049	8.47280
6.92641	51.39323	59.84987	11.27456	1068.58844	4.65300	66.00696	1.00000	12.85173	56.32296	-2.38579	9.62743	12.50927	11.72405	7.87480	0.47713	10.63008	9.11918
9.13966	5.27247	54.36612	9.75263	1060.58078	0.63606	43.17493	1.00000	10.02098	54.38765	25.46898	10.21425	10.47145	10.68048	9.43552	-3.59625	9.34516	11.92076
6.78395	68.79833	69.70505	10.85807	1131.87197	1.31658	42.25138	1.00000	11.53808	46.91489	7.44949	11.96211	11.22092	12.25588	10.64934	16.54165	9.51981	8.77501
9.40363	-8.28333	76.97496	10.64543	1186.62174	2.50735	34.04619	1.00000	9.79417	43.50495	13.53938	11.93855	11.88757	9.86108	9.62937	-35.03333	8.07960	8.25288
8.56345	-7.76667	57.12910	10.70466	1080.67580	1.82311	38.18611	1.00000	10.19641	36.37966	22.55520	10.80515	11.55977	9.90998	10.26603	35.7	10.17223	9.42413
10.51355	26.91756	66.54502	11.91982	1124.61772	0.04046	63.90920	1.00000	7.57429	56.37624	0.30801	8.46875	6.91547	6.27935	11.04264	-82.07842	9.90937	9.07432
8.03022	24.81757	73.86103	9.92835	1156.39606	0.51164	43.03820	1.00000	11.60570	45.21860	13.94010	11.69521	10.30300	12.79660	10.61774	84.63445	10.87917	9.66941
10.46234	26.76628	62.21316	11.52703	1076.05783	0.06250	26.02056	1.00000	7.80486	54.33556	13.63025	7.88578	7.80075	9.03691	11.04013	83.36889	11.50964	9.42397
10.82522	50.56149	59.20370	11.63474	1124.74720	0.35747	53.60882	1.00000	8.62052	29.72041	20.03912	10.14826	9.91066	7.35427	8.41322	4.69889	10.83269	10.30959
	33.3213	66.75369	9.81889	1051.57080	0.05624	35.36406	0.00000	11.87911	65.75787	12.61257	8.34994	7.57829	9.59821	9.32750	130.94098	9.48639	10.04431
8.40567	38.70734	68.00779	11.36746	1081.48641	16.46988	46.74451	1.00000	12.35921	44.04152	6.65025	10.86326	13.77979	10.76804	9.24520	-77.02303	9.51569	9.40583
9.05124	22.49396	57.54167	8.24823	1143.85846	0.09536	45.07205	0.00000	9.31129	56.24455	9.54432	12.65785	8.45317	9.75706	9.40704	-105.36369	10.72318	9.34248
10.24889	51.95838	67.36566	9.52833	1159.61581	2.44601	33.65671	1.00000	10.30698	60.95984	3.04350	11.15885	11.86816	10.57832	10.77777	4.47124	10.01851	9.27265
9.91111	39.57582	58.37659	9.68734	1071.95820	8.00598	42.33497	1.00000	10.67177	45.99835	3.19475	12.67177	13.05627	11.23977	9.66884	-105.11221	11.19537	10.65918
7.81601	-23.7975	77.70354	11.23805	1161.31365	0.23934	85.90578	0.00000	13.02393	67.19865	10.26729	9.02328	9.44016	7.58079	7.78944	-48.59278	10.23396	10.42313
9.14407	4.92675	58.16136	12.97714	1187.12011	0.07897	32.61590	1.00000	6.83794	60.81767	1.83109	9.60285	8.13345	6.85964	10.09567	6.26764	10.38227	10.88988
10.33559	38.96372	81.05807	9.85519	1121.57072	1.20092	49.18858	1.00000	10.04315	67.96121	13.21443	10.03196	11.14575	9.93583	9.65282	-76.99081	9.51380	10.04842
8.90643	5.90702	79.10419	7.53930	1166.51297	0.05623	40.05235	1.00000	8.27075	50.89492	20.76795	11.23809	7.69247	9.61437	10.06995	116.10146	8.91254	9.49309
11.51617	18.20854	71.29923	6.64613	1120.95426	0.02198	57.34699	0.00000	10.93797	33.20920	13.35437	11.39033	5.32243	11.47142	10.75666	-71.10077	9.68730	9.03580
6.96471	41.77583	54.38105	7.62083	1099.98236	0.04297	66.44986	0.00000	9.75538	52.96575	23.17611	9.27714	7.10437	5.76150	9.52953	140.73667	8.42414	9.55498
10.53802	14.0823	78.33425	11.10518	1153.80122	42.63021	42.13541	1.00000	11.57500	44.59579	7.00550	9.19807	14.73089	8.92774	10.63906	98.19151	9.46046	11.06777
13.55116	-21.44345	69.15919	8.35998	1177.93286	0.31000	43.68004	1.00000	10.60865	47.45832	4.12385	5.39875	9.65449	10.34458	9.02434	-65.71875	10.78392	10.02674
8.08237	34.25	66.62834	7.89407	1188.15321	0.10394	44.79600	0.00000	8.24570	34.25342	8.13223	11.32649	8.41651	6.06005	8.65883	135.31667	9.64887	9.29122
7.93979	55.85	67.83158	7.57044	1130.66323	0.20725	41.46892	0.00000	6.79289	50.03102	8.92078	11.86993	9.21982	7.87348	9.40540	37.56667	10.32866	10.17796
11.26273	51.65333	66.78695	10.19139	1075.66034	0.02183	45.87954	1.00000	8.27125	50.36015	38.45731	7.78620	6.79696	8.09321	10.70673	5.2875	9.23815	10.59707
9.90480	38.68712	66.00000	6.39350	1095.33760		57.87744	0.00000	9.97030	44.13527	31.12235	10.24213	6.37633	12.36539	9.73605	-4.10734	9.14277	8.44955
12.99606	50.23805	73.02284	9.01235	1093.68363	0.07809	55.37994	1.00000	9.85536	34.67174		6.79847	8.01092	9.13346	8.96129	8.86704	12.71965	9.37460
10.93812	41.15612	73.45615	9.65462	1052.67578	0.03088	46.55733	1.00000	7.95782	56.29783	5.56326	9.72136	5.39472	8.90802	8.74439	1.10687	9.31700	9.30566
13.32308	34.65918	70.29456	8.30904	1166.07434	0.08436	40.29433	1.00000	10.17498	51.80298	19.35504	5.97307	8.19378	10.22940	8.74500	109.22921	10.55451	10.04941
8.84584	37.65639	72.77532	10.47711	1087.23613	0.23407	50.52681	1.00000	10.68628	28.81029	17.43088	11.23621	9.44738	11.50555	8.57963	126.835	9.01686	7.89761
10.96703	36.02506	62.38482	10.54391	1161.86722	0.20566	30.97146	1.00000	8.63556	38.64102	26.58885	7.93512	9.28214	10.56048	9.31235	-86.77917	7.72546	8.29442
9.14468	41.84364	71.85328	12.69362	1160.02685	0.01905	63.76016	1.00000	6.42132	44.90587	12.96452	8.68359	6.21394	7.86350	9.21690	-87.71255	8.86255	11.22905
8.12988	6.25947	63.46298	8.48294	1167.85841	0.09526	41.95321	0.00000	7.37588	21.97587	6.61234	10.04977	8.30523	9.06222	8.58850	102.05461	10.92695	9.44517
11.57866	-23.85972	77.00625	10.24097	1112.30066	0.13346	71.53480	1.00000	8.78402	53.91290	29.78311	5.49277	8.76112	9.35411	11.49743	35.34722	10.98699	10.72888
8.37550	39.08367	57.13789	10.45854	1074.71699	0.52734	69.82856	1.00000	10.00117	61.68172	16.58455	11.89522	10.30593	11.12585	10.94796	-84.50855	11.05218	9.89969
9.31253	41.77583	59.85264	6.38570	1108.45677	0.04359	45.92121	0.00000	9.64558	43.23669	-6.46973	8.63005	6.84867	11.98838	10.16319	140.73667	9.10459	8.51414
11.63371	37.13548	81.18790	9.53349	1066.38378	0.07195	49.29532	1.00000	8.90622	45.99558	25.04997	6.99074	8.07046	11.06258	10.11630	-3.67029	9.01853	10.08214
12.66159	-2.13404	69.93839	9.09285	1157.20035	0.03963	61.19282	1.00000	9.32955	65.38573	15.29466	5.06246	7.23933	9.49344	9.39143	-79.59415	9.62543	11.16930
10.60687	35.61452	54.95195	11.84601	1133.98268	0.08996	54.49751	1.00000	7.99534	56.21092	21.60039	9.43657	8.24882	6.01589	10.07485	-88.81395	9.98272	11.00712
6.43404	51.65333	74.43133	10.62181	1101.13031	0.59702	50.63100	0.00000	11.98468	54.37026	12.16390	8.15497	10.44165	9.46557	9.70919	5.2875	8.21418	9.64388
7.34718	19.32932	59.76277	12.04791	1087.86500	12.93070	51.08019	1.00000	11.62027	39.36451	39.72453	11.62745	13.53586	9.89074	8.54192	-98.1664	9.95929	9.21801
9.39896	40.65995	71.28469	8.42812	1143.03100	0.10736	44.72217	0.00000	7.26865	32.22420	22.76105	11.38205	8.51306	9.20390	9.27437	-111.99633	10.67500	10.13435
7.07038	50.80904	63.71028	5.52331	1196.26314	0.10014	47.53030	0.00000	6.23272	35.48500	7.64958	10.84422	8.60556	9.06250	11.23570	8.77069	9.76954	8.29535
8.23954	33.43443	64.44438	7.21404	1058.55922	0.06449	89.16676	0.00000	6.97948	39.58118	19.39889	9.17661	7.94528	7.23022	7.74052	-5.22126	8.66709	9.45183
7.74627	28.90054	67.12932	8.12892	1121.21835	0.05236	65.29139	0.00000	8.92257	65.74013	17.59268	11.02452	7.61265	6.90250	9.32745	-81.26367	10.74720	10.74823
6.14533	-19.65	70.02864	12.79176	1180.88751	1.74065	34.55853	1.00000	12.78475	59.92556	-5.00578	9.68731	11.52049	10.99356	9.83676	47.31667	11.79496	12.60333
