revision	QoS	longitude	location	code	latitude
2018-04-09	average	29.00974	Africa/Johannesburg	ZA	-24.19436
2015-04-06	maintenance	73.06784	Asia/Kolkata	IN	25.13915
2018/11/20	excellent	111.73861	Asia/Shanghai	CN	35.20889
2013/03/08	accep	-81.26367	America/New_York	US	28.90054
05 Mar 2022	accep	-96.39774	America/Chicago	US	30.16688
07/11/2020, 00:00:00	good	78.15794	Asia/Kolkata	IN	12.1277
06 Mar 2016	accep	-82.42491	America/Detroit	US	42.97086
18 Sep 2018	excellent	-8.53778	Africa/Monrovia	LR	7.57944
2018/04/03	accep	13.28702	Europe/Berlin	DE	52.4581
2016-09-04	accep	4.82313	Europe/Brussels	BE	51.24197
2015-05-08	excellent	78.55757	Asia/Kolkata	IN	17.34769
2018-08-12	excellent	98.19151	Asia/Yangon	MM	14.0823
04/12/2018, 00:00:00	accep	135.6	Asia/Tokyo	JP	34.61667
06/18/2017, 00:00:00	excellent	30.2049	Europe/Minsk	BY	55.1904
12/20/2012, 00:00:00	building	-105.36369	America/Mazatlan	MX	22.49396
15 Feb 2016	maintenance	117.81667	Asia/Shanghai	CN	36.81667
04/15/2015, 00:00:00	accep	9.40531	Europe/Rome	IT	45.53069
2013/09/25	good	-117.14392	America/Los_Angeles	US	32.9156
07 Nov 2012	good	-98.15529	America/Chicago	US	26.18924
2014/04/28	building	-87.93341	America/Chicago	US	42.55308
2021/03/30	good	16.54165	Europe/Oslo	NO	68.79833
08/29/2019, 00:00:00	maintenance	168.31366	Pacific/Efate	VU	-17.73648
2017-09-12	good	-3.67029	Europe/Madrid	ES	37.13548
05 Feb 2017	excellent	103.6032	Asia/Kuala_Lumpur	MY	1.6561
2016-04-18	accep	-2.98884	Europe/Madrid	ES	43.32686
2014-01-20	good	145.06667	Australia/Melbourne	AU	-37.88333
2016/08/30	good	-105.36369	America/Mazatlan	MX	22.49396
2022/03/30	building	-118.25508	America/Los_Angeles	US	34.14251
2017/12/29	good	34.8732	Asia/Jerusalem	IL	32.05971
11/03/2012, 00:00:00	excellent	13.29371	Europe/Berlin	DE	52.53048
2012/12/24	average	-84.23381	America/New_York	US	33.54428
2013-05-16	good	78.15794	Asia/Kolkata	IN	12.1277
12/21/2020, 00:00:00	maintenance	78.27539	Asia/Kolkata	IN	12.95629
2022/04/24	excellent	-76.43941	America/New_York	US	39.33427
2022/05/10	good	18.84	Europe/Podgorica	ME	42.28639
15 Dec 2014	excellent	-76.99081	America/New_York	US	38.96372
01/25/2015, 00:00:00	average	77.0202	Asia/Almaty	KZ	43.41949
24 Feb 2017	good	10.18003	Africa/Tripoli	LY	24.96334
09 Apr 2016	average	-86.77917	America/Chicago	US	36.02506
2014/02/12	average	38.12408	Europe/Moscow	RU	53.77166
06/25/2022, 00:00:00	building	83.36889	Asia/Kolkata	IN	26.76628
09/28/2015, 00:00:00	average	5.06258	Africa/Lagos	NG	7.50251
2018/10/30	good	39.8302	Europe/Moscow	RU	64.5635
10 Jul 2020	excellent	17.58522	Europe/Rome	IT	40.53123
2013-01-26	accep	4.7934	Europe/Paris	FR	45.69558
12/06/2013, 00:00:00	excellent	-44.31389	America/Sao_Paulo	BR	-19.7625
15 Jan 2014	excellent	89.11943	Asia/Dhaka	BD	23.9028
2021/10/08	average	29.65806	Africa/Dar_es_Salaam	TZ	-4.83
02 May 2017	maintenance	1.33467	Europe/Paris	FR	43.61058
07/12/2021, 00:00:00	average	-56.52361	America/Montevideo	UY	-33.38056
2019-07-22	average	-42.98194	America/Sao_Paulo	BR	-22.53722
2015/08/05	good	77.54372	Asia/Kolkata	IN	10.12268
01 Jan 2020	average	-0.18333	Europe/Madrid	ES	38.96667
10/02/2012, 00:00:00	building	121.96361	Asia/Manila	PH	6.95194
2017-12-21	average	34.75699	Asia/Jerusalem	IL	31.39547
2021/10/06	good	68.88871	Asia/Karachi	PK	25.95533
2019/12/21	maintenance	3.55665	Africa/Algiers	DZ	36.72544
2013-03-19	average	5.37429	Europe/Brussels	BE	51.03427
28 Apr 2014	accep	6.76111	Europe/Amsterdam	NL	53.16167
04/08/2018, 00:00:00	excellent	-99.73314	America/Chicago	US	32.44874
2021-09-30	excellent	-86.78777	America/Chicago	US	33.44872
31 Jul 2018	average	14.51472	Europe/Malta	MT	35.89972
2021-03-07	accep	7.20769	Europe/Berlin	DE	50.80019
03/26/2022, 00:00:00	excellent	14.43865	Europe/Rome	IT	40.87329
31 Aug 2018	excellent	-122.24092	America/Los_Angeles	US	47.4943
2016/05/14	excellent	-86.77917	America/Chicago	US	36.02506
07/22/2014, 00:00:00	average	111.4834	Asia/Yakutsk	RU	65.93381
17 Oct 2018	average	-118.25508	America/Los_Angeles	US	34.14251
12 Aug 2020	excellent	-60.94228	America/Martinique	MQ	14.67751
2016/12/19	good	150.99292	Australia/Sydney	AU	-33.75881
08/25/2014, 00:00:00	accep	0.93333	Europe/London	GB	52.68333
03/23/2021, 00:00:00	good	-2.58736	Europe/London	GB	56.56317
2018/09/21	maitennce	-2.77259	Europe/Madrid	ES	37.49073
02/05/2015, 00:00:00	average	-0.18333	Europe/Madrid	ES	38.96667
03/05/2022, 00:00:00	excellent	145.18333	Australia/Melbourne	AU	-37.9
03 May 2021	average	-25.66689	Atlantic/Azores	PT	37.74615
2020/11/27	good	9.29109	Europe/Rome	IT	45.39402
2021/11/03	excellent	-75.64963	America/New_York	US	40.24537
01/20/2014, 00:00:00	average	140.72287	Asia/Vladivostok	RU	53.14657
2019-02-08	good	-70.92866	America/New_York	US	42.52787
01/25/2014, 00:00:00	accep	49.62251	Asia/Riyadh	SA	27.0174
09 Jan 2017	average	-52.67056	America/Sao_Paulo	BR	-26.22861
2012-11-12	excellent	118.53333	Asia/Shanghai	CN	27.92333
2020/08/17	good	146.05093	Australia/Sydney	AU	-34.28853
2013/09/13	average	-120.00865	America/Los_Angeles	US	46.32374
2014-11-11	maintenance	122.20488	Asia/Shanghai	CN	29.98869
2013-10-20	average	3.50309	Africa/Algiers	DZ	34.15429
2014-10-26	good	35.34722	Africa/Maputo	MZ	-23.85972
05/04/2022, 00:00:00	excellent	122.05228	Asia/Shanghai	CN	37.19723
2013/08/11	building	-0.18333	Europe/Madrid	ES	38.96667
2020/11/19	good	4.47124	Europe/Amsterdam	NL	51.95838
2018-12-21	excellent	-82.35176	America/New_York	US	27.71809
2015/09/06	good	-2.09814	Europe/London	GB	57.14369
26 May 2019	accep	120.33063	Asia/Shanghai	CN	37.65181
2022/07/22	good	4.07601	Europe/Brussels	BE	50.88506
06/04/2013, 00:00:00	accep	-75.87877	America/Bogota	CO	5.6561
20 May 2022	good	122.20488	Asia/Shanghai	CN	29.98869
23 May 2019	good	12.1369	Europe/Berlin	DE	51.04962
2019/06/30	excellent	76.56719	Asia/Kolkata	IN	24.41288
2017/02/13	excellent	-62.64102	America/Caracas	VE	8.35122
10/29/2016, 00:00:00	maintenance	9.0027	Africa/Lagos	NG	11.86064
01/04/2015, 00:00:00	accep	-97.90308	America/Chicago	US	31.12406
05 Jul 2014	average	-98.1664	America/Mexico_City	MX	19.32932
2016/04/27	maintenance	98.50893	Asia/Yangon	MM	16.68911
2019-08-02	average	7.20769	Europe/Berlin	DE	50.80019
2015-04-24	good	-84.50855	America/New_York	US	39.08367
2022/04/28	accep	-1.86343	Europe/Madrid	ES	38.10558
2019/12/24	average	-93.11308	America/Mexico_City	MX	16.75973
08/22/2019, 00:00:00	building	-35.71667	America/Recife	BR	-8.66667
2018/05/28	maintenance	-116.97725	America/Los_Angeles	US	33.92946
01 Nov 2012	accep	88.1453	Asia/Kolkata	IN	22.4711
2022/02/16	building	-35.03333	America/Recife	BR	-8.28333
22 Dec 2012	good	8.4493	Europe/Berlin	DE	50.09019
2016/03/29	average	139.07204	Asia/Tokyo	JP	36.24624
01/15/2015, 00:00:00	average	29.91582	Africa/Cairo	EG	31.20176
2018/06/08	average	8.64409	Europe/Berlin	DE	48.07667
01/07/2021, 00:00:00	excellent	37.92792	Europe/Moscow	RU	53.93361
