NH3	NOx	latitude	TEMP	O3	PM10	PRES	warning	Pb	CFCs	CO	longitude	SO2	H2CO	C2H3NO5	PM2.5	CH4	PAHs
6.73334	7.51810	-7.01833	-6.40314	8.50846	8.73965	1175.80306	0.00000	54.04937	74.57919	10.66463	107.60389	10.64049	39.04460	2.52414	9.64260	7.59413	7.44663
8.26049	9.43826	32.17629	21.38660	6.98388	8.40100	1082.35544	1.00000	45.29239	78.81292	10.56013	75.06583	10.21731	62.94429	1.65194	11.66077	8.65019	6.07600
5.73480	11.28534	48.79325	29.32788	8.60173	8.42134	1057.98598	0.00000	24.67898	52.81166	9.79255	2.29275	7.63602	86.21030	1.64028	10.37510	6.62890	10.65473
8.02390	9.49801	48.90472	27.93783	7.60529	6.26758	1180.73548	1.00000	56.36563	98.01032	8.50945	2.2469	11.55780	49.54899	0.47308	8.76119	6.92676	5.60462
7.92215	9.99250	-33.38056	19.12229	8.04939	8.01056	1190.98752	0.00000	52.44725	75.48188	7.29739	-56.52361	10.17860	54.96348	1.39915	8.28786	7.53719	9.70155
9.82534	11.02226	-23.44361	24.56218	7.09801	9.42280	1124.10165	1.00000	38.00670	81.47202	7.91608	-51.87389	8.39063	63.73890	4.53262	6.32920	6.67318	5.77295
8.04455	7.05077	31.78336	19.34027	7.90568	8.89497	1134.11112	1.00000	64.64700	69.27964	9.02020	35.23388	7.22601	60.54355	2.57390	8.24542	6.29321	6.65090
9.36819	9.27791	34.95303	19.33381	8.60504	7.72888	1132.77635	0.00000	34.01142	57.28260	9.32000	-120.43572	9.55368	38.17218	1.20471	9.88992	8.54622	7.86610
8.26074	13.83548	20.21322	32.63264	8.34518	6.88303	1198.41762	0.00000	36.45363	73.35103	11.20353	-100.88023	7.25615	46.44208	0.64537	10.24352	7.39436	6.48378
6.73869	8.03992	-34.28853	29.04306	8.96782	8.52684	1081.05856	1.00000	44.34114	77.46427	8.83379	146.05093	10.67609	50.97835	2.13286	12.20874	6.72855	5.10324
8.13341	8.68459	41.72063	3.81008	8.79249	8.72140	1119.06997	1.00000	46.81328	66.11632	8.01569	12.6723	5.34811	66.05691	2.45364	9.07813	6.49450	3.01991
10.27065	10.22975	48.98693	6.32115	8.28292	7.41379	1105.73597	1.00000	59.43961	80.22327	8.68814	2.44892	10.57211	52.45415	0.98759	6.83441	8.41411	6.70531
8.11310	10.75195	23.0072	17.03866	7.67478	8.82343	1050.87601	1.00000	43.50114	62.45615	10.72481	-82.4017	6.84117	44.15271	2.87405	8.68408	5.70431	7.84966
7.94899	9.11717	34.56861	4.22352	8.45822	7.25453	1171.96412	0.00000	54.26613	74.67974	7.92504	105.89333	9.52060	60.42862	1.03794	8.90957	7.65266	10.21218
7.00370	7.44516	52.66277	31.46357	6.14226	9.28287	1118.77410	0.00000	39.15806	76.79865	9.22755	-2.01111	10.24638	37.74126	3.71790	7.97700	4.91993	11.88876
7.69479	7.18790	49.88307	8.17780	8.73063	8.93855	1066.04817	0.00000	36.22800	74.87256	9.73886	-119.48568	9.45583	45.48059	3.03378	8.99052	7.36790	6.33856
7.46201	10.63544	34.9	20.55532	4.98513	7.18555	1064.65149	0.00000	56.55393	78.17106	10.02063	137.5	8.77725	51.57085	0.62152	9.30886	4.84210	11.51248
8.43823	10.09615	44.99012	22.04975		8.39052	1099.28131	1.00000	62.63433	75.65707	8.93077	-123.02621	6.73557	49.52366	1.56164	6.66118	6.85327	6.07817
8.38765	9.74739	53.95278	14.21004	8.67138	8.86919	1149.65883	1.00000	45.56672	82.92496	8.47195	32.86389	8.86298	53.00166	2.97065	7.15437	9.77256	7.25087
9.66702	9.57735	50.8	10.56582	9.37451	8.28107	1111.64305	1.00000	49.01492	74.10041	8.45209	3.16667	7.34796	45.03415	1.70507	9.50426	10.54992	8.05429
6.23239	9.74777	33.86419	21.19543	7.99079	7.52561	1198.99266	1.00000	39.87271	69.44257	8.69316	48.26258	7.86860	64.97181	1.03421	7.71078	6.74239	5.51358
9.70552	7.04607	11.12018	5.15504	7.77908	7.10831	1159.15475	0.00000	35.21954	89.01980	8.75126	76.11996	12.54856	58.04666	0.90835	10.16929	8.40704	5.25852
7.47848	12.28721	49.13645	16.55004	9.61918	8.29033	1087.08804	0.00000	60.60570	69.30889	8.52775	8.91229	8.29067	59.51801	1.58564	10.65440	9.67652	11.15669
8.79505	11.29258	47.46657	-1.05872	7.54002	8.52473	1149.20993	0.00000	37.56023	77.70436	9.53584	84.87144	9.02846	64.68159	2.12615	10.38684	6.49219	6.58652
7.51943	10.03595	40.93333	17.16204	7.29260	9.89113	1165.46188	1.00000	31.86544	74.88101	9.40532	73	4.90366	41.71849	6.77561	8.31964	7.65832	4.50173
7.95043	12.70697	-31.25033	7.82406	6.54442	9.74774	1127.93780	1.00000	68.91599	69.52258	9.96740	-61.4867	6.53330	56.08514	6.02790	7.87684	6.04834	6.69634
6.55742	9.30666	9.82564	10.38328	6.97092	8.68049	1085.63790	0.00000	59.96100	68.89693	9.00049	78.25795	9.99879	45.67427	2.44266	9.05571	7.45350	8.17724
7.63553	8.73511	-23.85972	8.74971	7.70664	8.80234	1172.07235	1.00000	60.72376	70.20441	8.63368	35.34722	11.03212	15.05846	2.70589	9.47922	7.67017	5.44479
8.09860	9.41567	12.97389	8.22990	6.67944	7.64977	1098.31443	1.00000	52.21770	80.94447	8.15891	123.99333	11.43801	34.98845	1.13012	7.67470	7.27129	5.41462
10.63857	7.41770	43.61058	19.43361	8.32753	7.30111	1089.89397	1.00000	30.27154	83.83876	8.31414	1.33467	11.75380	58.74401	0.91004	8.07226	5.84162	4.94077
7.70008	9.94248	4.73245	-7.58354	6.99924	6.59020	1144.61860	1.00000	61.68032	61.01683	9.61672	-74.26419	9.99448	34.24479	0.72904	11.51666	9.13637	6.75452
8.40126	8.73214	41.1053	25.39310	7.90571	8.31280	1130.69191	1.00000	51.87738	71.98241	9.72065	-7.32097	6.84792	32.20741	1.69352	5.44579	6.62465	7.81846
6.96778	11.31885	36.64852	18.75479	7.39059	7.14557	1145.18784	1.00000	51.44245	57.38845	11.65240	51.49621	9.08987	64.65408	1.11101	10.39210	9.05082	5.70932
7.53146	5.85685	19.32932	7.28675	8.01354	8.72088	1135.88748	1.00000	52.57814	70.28191	10.53289	-98.1664	6.07132	51.90598	2.19118	6.49736	6.51045	8.94948
8.95911	7.44815	53.81667	4.97897	8.25353	9.72341	1090.49356	1.00000	40.18504	52.75025	8.75656	-3.05	6.84959	49.89401	5.96718	7.05154	7.22457	5.18162
7.85262	11.33281	16.455	13.93395	9.06139	7.03958	1060.20384	0.00000	26.09617	61.18136	7.54361	120.5875	7.85846	56.15433	0.86217	9.09941	7.94203	10.15798
8.85201	10.13755	-37.32167	10.88867	8.47644	8.28535	1154.92420	1.00000	37.36521	61.70512	8.72642	-59.13316	9.19549	63.38349	1.97287	9.23504	9.34231	7.49527
8.73346	10.12938	47.48444	22.83690	7.46337	8.85031	1154.92286	0.00000	33.25842	72.91193	8.61685	36.25361	9.90544	35.26487	2.55938	11.34027	8.49422	7.36903
7.18022	8.54684	14.66	10.47266	8.72035	7.10499	1118.42640	0.00000	44.36670	67.32540	9.83644	120.56528	9.01222	58.87486	0.82228	9.47399	7.72552	7.12887
9.08871	8.05066	52.86147	26.91432	8.25053	8.59616	1098.57898	1.00000	36.84271	70.50593	9.87332	9.5926	6.52965	36.99451	2.35907	5.80332	6.40681	8.36088
8.12867	9.35500	12.35275	21.17914	7.20384	8.00734	1169.63811	1.00000	64.28841	58.82974	10.17127	121.06761	7.58656	31.85895	1.37514	11.88802	11.04431	7.22239
8.55104	10.95946	-38.16604	3.29484	7.82596	7.32517	1193.68694	0.00000	52.73311	73.93069	11.09881	145.13643	12.16253	35.49148	0.86738	9.97666	4.94252	4.72096
9.89857	10.55281	11.15583	3.73857	7.82569	7.21965	1164.86174	0.00000	29.04934	78.82250	7.42225	42.7125	8.87602	74.98069	0.80691	9.67761	7.75669	10.54562
7.75817	10.28130	20.21322	32.13109	7.56514	8.78880	1102.78258	0.00000	56.88381	75.60052	11.22312	-100.88023	11.46605	47.92332	2.55385	8.35291	6.56483	6.05958
9.54543	11.77754	40.82232	20.34913	8.41612	7.57796	1163.86476	0.00000	43.90673	77.34931	10.25626	-74.15987	7.73679	65.40242	1.16665	11.02568	5.66660	11.38786
7.80034	9.09740	39.59611	21.63835	8.91628	8.99481	1052.87261	1.00000	47.28355	52.20204	10.61350	27.02444	8.82627	66.07261	3.11799	7.13217	6.57908	9.10084
5.55714	9.36871	35.88264	7.75599	7.77572	10.34569	1081.31294	1.00000	52.08139	67.41970	9.96435	-80.08199	7.73670	32.31594	10.85527	7.59108	6.65378	6.57421
7.67152	12.55518	-1.9487	-3.92303	6.59132	6.45617	1057.77129	1.00000	34.37883	66.65639	10.94859	30.4347	8.08793	59.64931	0.40087	7.00107	6.16453	9.16569
10.19675	9.66994	-6.25	22.17638	7.46768	7.03692	1097.06689	1.00000	60.65168	70.16318	9.22909	38.66667	10.74004	59.65998	0.62705	9.07344	8.33188	7.05389
8.10919	12.77943	45.53929	32.31185	7.88454	9.44705	1132.51880	0.00000	58.11839	60.54831	10.25776	-122.38731	10.87452	35.40969	4.54441	8.09642	6.74643	6.82496
7.31993	10.24247	55.54028	7.14922	8.53915	9.43591	1162.70365	1.00000	27.96167	79.50037	8.75792	89.20083	10.06283	46.71790	4.74645	8.12088	7.89460	7.44548
8.60593	9.25112	36.20829	0.29031	8.62756	7.86886	1110.42886	1.00000	22.52563	66.33433	9.85529	-115.98391	9.90463	44.66339	1.45260	10.35801	9.34956	5.58704
7.39590	9.91069	58.04254	8.67959	7.93230	8.70167	1090.18189	1.00000	41.49551	65.27025	9.45169	65.27258	9.79911	47.36342	2.51240	7.48195	9.23766	8.91711
7.96574	8.01367	40.98894	5.87885	6.98552	7.08434	1129.72061	0.00000	45.37056	76.60238	9.08426	28.67582	8.17092	55.81987	0.78605	10.40077	8.45416	10.24761
9.92688	10.94587	41.80753	29.65057	9.05177	6.52653	1150.06309	0.00000	44.08685	85.35391		-87.65644	9.03077	27.47019	0.90656	9.63409	5.75382	9.14530
6.38755	9.02954	-12.91667	10.81157	9.14858	7.25386	1055.50997	1.00000	64.01458	89.05930	9.25521	-39.25	12.92601	37.19041	1.03307	9.27364	6.18489	5.48598
6.96337	9.11855	45.16024	31.31458	9.65911	9.19248	1090.44998	0.00000	45.46780	71.92568	9.69830	-93.08883	9.83992	47.03463	3.79454	9.98720	5.69414	11.36736
9.57711	9.68170	45.51667	0.87800	7.15295	7.98783	1129.54936	0.00000	77.17698	82.15081	8.22605	4.86667	10.10064	38.36629	1.39879	9.60228	9.54609	7.96807
8.48909	10.35233	9.15093	6.75725	6.97344	9.19956	1152.65852	1.00000	63.18099	81.91998	8.71151	-79.62098	10.58710	45.18542	3.73268	8.29288	6.96806	7.75486
9.79633	8.25880	17.94979	14.52512	11.12725	6.62476	1158.81722	1.00000	26.92236	61.20192	9.84725	-94.91386	11.61113	39.19154	0.70797	9.08491	8.01769	2.86295
9.16021	8.50817	37.51803	18.27240	8.09495	7.84434	1075.80997	0.00000	63.77957	68.68205	11.50694	15.00913	9.42898	53.73820	1.08062	10.41850		8.84542
7.50434	6.85161	40.92298	21.29304	8.15695	8.86160	1064.98269	0.00000	47.24751	72.41491	8.79122	14.30935	8.49955	52.35603	2.85055	10.34418	8.92122	10.14289
5.72460	9.13166	45.75279	27.61847	6.15584	7.59076	1094.06446	1.00000	82.94762	65.77174	10.40699	130.57211	7.41612	60.48939	1.08316	10.72336	11.77414	7.09789
10.26882	8.90831	-25.42778	10.50270	8.02224	8.49835	1096.31529	1.00000	61.69118	76.86640	10.93541	-49.27306	9.49731	40.26280	2.16573	9.51835	10.19080	6.67713
8.21026	11.48767	36.06386	33.20435	9.45751	6.34748	1180.67260	0.00000	45.21478	79.90701	10.09281	4.62744	8.15143	45.83783	0.86875	10.76327	6.75833	9.63160
7.10230	7.49084	17.54907	18.10451	6.14325	6.86646	1078.80790	0.00000	55.25566	65.62549	8.39324	82.85749	8.12835	35.64103	0.71683	7.28387	5.69858	6.10926
8.49893	7.75615	40.53123	19.37704	8.50273	9.00774	1094.17879	1.00000	62.92174	67.35475	10.52820	17.58522	9.32359	66.40088	3.13466	11.67513	10.13053	6.21938
8.68282	7.87857	4.73245	2.57020	8.11338	7.51142	1078.46063	1.00000	39.46205	84.25161	10.48667	-74.26419	6.83426	40.19725	0.90853	11.31354	12.65539	8.30428
7.25277	8.88483	12.97389		7.34672	8.68958	1092.12560	1.00000	67.80700	61.11235	9.96180	123.99333	8.02268	59.80778	2.14423	4.89763	7.56868	8.63012
7.90099	9.83078	55.82737	30.73058	8.41938	9.47950	1091.76491	1.00000	37.22895	67.59476	8.00092	-4.0573	10.12156	63.07461	4.96005	9.31864	7.30598	6.34462
9.23079	8.67767	41.54566	12.16663	8.99001	9.13337	1052.80617	0.00000	33.30332	65.67610	8.27482	-71.29144	9.54175	32.69887	3.67992	10.71387	9.04518	5.63236
8.90141	11.13489	33.41012	16.41365	8.86865	10.34681	1163.86951	1.00000	57.61368	81.57150	9.50304	-91.06177	6.84107	27.21770	10.78658	6.52320	7.10773	6.82865
7.38814	8.95452	44.99012	19.91138	8.38704	6.98936	1185.03915	1.00000	50.66619	73.11652	8.79692	-123.02621	9.47134	43.54327	0.84993	9.26654	9.98571	6.53455
8.46637	9.23543	60.02427	13.26919	8.00359	7.01096	1130.56922	0.00000	45.92203	67.44358	9.93517	30.28491	9.01457	67.59490	0.51236	10.06812	7.23821	9.09018
9.12223	9.40102	-6.91806	26.73100	6.62117	9.41054	1089.97939	0.00000	28.48616	61.29861	7.99268	106.92667	9.82879	35.40588	4.41349	9.60991	8.04722	6.30325
7.59746	8.19100	49.41029	3.32262	8.17536	8.67747	1193.03325	0.00000	48.70506	77.63467	9.54767	38.15035	8.56573	33.89440	2.73476	9.65156	5.13605	4.89756
8.96585	5.72869	41.77583	10.03855	9.76777	8.64587	1120.89269	1.00000	56.95816	65.72072	9.90748	140.73667	8.32832	26.66142	2.37034	9.52892	7.68422	6.02460
8.39006	8.46517	17.94979	-0.50835	7.74883	8.63724	1142.31954	0.00000	59.74725	63.74421	8.78106	-94.91386	9.71274	50.43983	2.52520	9.53019	7.53629	5.22670
7.32293	6.26641	38.06084	23.73636	9.19767	8.71968	1152.42413	0.00000	52.42009	65.11995	12.28963	-97.92977	10.79287	39.15895	2.46597	11.04550	6.74410	8.14198
8.60729	10.29708	38.07789	16.57418	8.93124	7.50430	1105.67157	1.00000	57.92798	70.84077	9.37131	13.44275	12.55299	74.68951	0.95933	7.81993	7.99077	5.48786
8.47642	12.16298	-19.65	15.62980	6.97376	8.96243	1080.20700	1.00000	38.64231	96.43839	8.80896	47.31667	9.15357	58.27630	2.84735	6.92901	6.33806	6.73621
8.56713	9.58804	45.79377	7.20595	7.66359	5.86976	1173.92435	0.00000	63.06846	67.03410	10.04774	8.88104	10.97199	53.49671	0.72253	9.25070	7.43721	6.47305
7.91527	8.46185	18.51957	21.98358	7.60935	9.04672	1194.97616	1.00000	49.83431	65.00099	10.11256	73.85535	10.10637	66.59073	3.27870	11.07844	9.53468	5.00170
7.90422	12.10656	50.18545	5.39316	9.70945	7.83159	1051.29830	0.00000	62.56945	83.76413	9.29887	27.06365	12.12899	59.89881	1.06253	10.90802	8.60046	5.81656
8.53997	10.17369	26.11527	9.48742	8.16217	7.00003	1131.70539	1.00000	38.85411	81.74218	9.56846	86.59509	8.61295	34.06251	0.80246	6.52840	11.98629	6.62536
9.25415	9.87213	11.12018	10.57711	8.04639	7.50536	1052.15732	1.00000	69.91308	61.03648	7.69957	76.11996	9.47217	38.98085	0.72941	8.88190	8.19010	6.82724
7.88595	9.08874	40.55851	8.48437	9.06578	8.83217	1099.65373	1.00000	52.73785	83.12307	11.30666	17.80774	6.69528	49.28176	2.78636	4.29279	7.64767	9.72190
9.26898	9.64345	31.28092	30.44751	9.51965	8.14619	1122.97139	1.00000	52.96023	62.15834	10.14016	74.85849	9.58048	36.83792	1.60801	8.53493	10.66455	6.24199
5.84830	10.49327	14.0823	13.93948	8.13196	9.75365	1158.29630	1.00000	46.06565	55.23352	9.71529	98.19151	8.88768	40.71910	5.96168	8.57264	10.51599	7.68881
6.51197	8.55513	41.16704	5.15151	8.31096	9.50748	1075.06036	1.00000	26.68773	67.15937	9.51543	-73.20483	8.76477	41.62428	4.85406	7.74814	11.13863	4.01030
7.44745	10.13981	10.61285	8.87611	7.96875	8.62489	1124.40665	0.00000	38.19527	79.52075	10.35582	12.19458	9.52802	43.84670	2.20119	9.08601	5.59418	9.75367
8.25377	10.09038	23.5654	29.97899	7.25918	9.02736	1197.42965	0.00000	41.58980	69.21448	10.18820	119.58627	8.78335	46.63092	3.14026	10.85835	8.11387	8.35470
8.94137	10.44895	1.6	16.13667	8.63669	7.73242	1123.94337	0.00000	49.56174	73.04422	6.82610	103.81667	7.94230	42.85378	1.29659	9.83547	7.67981	12.31385
7.73873	11.63822	14.0823	-10.06354	7.30556	7.80385	1126.97257	0.00000	45.96791	74.13849	10.59833	98.19151	11.53487	37.60502	0.90634	9.99862	4.15544	7.54267
8.29753	9.21506	38.68712	21.54506	7.32708	7.57396	1129.62835	1.00000	60.82455	71.32701	8.86155	-4.10734	11.48982	24.01480	0.92016	8.98438	7.59597	5.29593
8.88747	9.84208	7.83389	8.47955	9.48746	7.80177	1075.14892	1.00000	11.45248	74.71725	10.29115	-72.47417	9.58279	40.79544	1.35136	10.08824	9.40362	7.69131
8.56177	10.25383	49.68369	-2.37754	9.02984	9.51759	1129.37263	0.00000	62.06182	64.17773	8.09600	8.61839	8.69366	53.57856	4.98901	11.92052	8.83901	9.23483
7.50002	9.22928	42.55308	14.29553	8.83307	11.26079	1134.78184	0.00000	54.06342	74.62587	9.90321	-87.93341	11.02635	19.77475	26.40028	10.57231	6.35222	6.66442
7.98016	9.23684	56.85836	22.18201	8.23931	10.16887	1076.42422	0.00000	30.76199	73.29904	8.86601	35.90057	8.26658	56.17503	8.68296	9.99698	7.68120	8.50400
8.54905	7.62730	3.7278	15.09774	7.50738	9.94849	1075.85827	1.00000	78.26385	72.69433	9.78071	98.6738	6.86350	51.06902	7.41629	9.58849	12.64583	6.51487
8.84377	6.06296	39.32288	12.69995	7.26061	8.57425	1184.49375	1.00000	59.36055	61.87994	10.67108	-76.72803	5.73106	42.64529	2.27093	3.54533	7.61512	9.25028
7.72257	8.92168	-1.9487	10.43658	6.66768	8.96175	1149.37970	1.00000	25.38382	54.94562	10.35961	30.4347	6.03195	48.26752	2.82747	5.91252	5.96215	7.91236
8.37038	8.07041	51.21667	18.36928	7.39720	8.19510	1094.19930	1.00000	36.07229	67.30637	12.00948	6.26667	6.16741	46.14153	1.45539	9.76809	7.01996	7.48217
7.35362	8.13700	33.7207	11.87856	8.47872	7.49650	1109.69910	0.00000	43.49017	72.51564	10.34287	-116.21677	8.00062	40.14432	0.80094	8.51444	5.85755	5.84911
8.72865	10.59779	-31.25033	26.38991	7.69087	9.25558	1102.92237	1.00000	21.28510	74.95930	8.39317	-61.4867	6.55690	66.58347	3.70298	11.17050	10.56888	9.98701
9.54039	10.30202	12.74409	28.52390	8.67794	10.00319	1162.76919	1.00000	66.95611	66.23813	9.28541	-8.07257	6.32707	49.23895	7.70710	6.42620	6.98911	6.43838
9.17057	10.51136	51.95838	24.85605	7.20359	7.93717	1141.12700	1.00000	75.91603	73.30353	9.73732	4.47124	8.59002	63.42500	1.37772	9.21031	10.37501	7.62510
7.95019	11.67285	22.83957	25.67313	9.10363	7.35525	1168.27320	0.00000	58.22523	77.08261	9.74653	91.84128	10.18758	37.22953	0.64409	9.60964	6.86764	7.68736
6.36874	7.17623	6.15038	21.16834	7.51888	8.48141	1123.91038	0.00000	64.33938	75.55717	9.49751	6.83042	10.02952	34.70826	1.69149	9.59635	6.03995	11.27358
6.90250	8.76562	42.06166	14.01540	8.84033	8.37945	1139.40458	1.00000	49.28249	78.91719	10.00816	-1.60452	10.30708	49.97898	1.89612	9.83537	9.88648	6.21036
8.38914	9.38169	18.51957	10.16847	6.61080	7.29706	1161.40741	0.00000	46.14386	76.84945	8.85827	73.85535	10.01369	44.36586	0.81752	9.36511	7.47084	6.47913
7.59173	9.73931	68.79833	7.59708	10.81535	8.24937	1113.98456	1.00000	42.50673	76.42054	8.48383	16.54165	3.79079	89.58486	1.88046	5.46514	6.89174	5.59021
7.52278	10.97800	53.37596	34.37199	7.10193	8.74661	1160.49672	1.00000	62.73386	74.65978	8.81915	51.3452	11.23848	38.03135	2.29538	6.94285	8.07163	7.55554
8.45276	7.41192	19.32889	18.04525	9.42473	9.14512	1123.14248	1.00000	48.93741	69.72551	10.30357	-99.32556	4.78780	48.04849	3.53779	4.14584	7.93122	7.89076
8.96584	8.96384	5.30383	14.30246	9.14263	8.38082	1177.43911	1.00000	70.26630	74.73944	10.37413	-1.98956	5.92975	44.48533	1.90004	4.46144	6.87113	9.27142
10.03882	9.94628	11.00599	28.62215	7.72959	9.78165	1054.35359	1.00000	35.69065	75.41319	7.85172	77.5609	7.36095	46.59924	6.24381	5.92635	7.36079	5.28972
6.96300	7.70714	47.90771	32.89596	7.55198	10.50177	1125.88740	1.00000	41.63861	67.55609	9.06819	106.88324	9.28302	54.68891	12.37705	9.88763	10.46207	6.97992
6.77973	10.93918	13.70167	30.90780	8.91867	7.04838	1193.63010	1.00000	58.10848	76.95992	10.28440	-89.10944	8.90211	44.74443	0.89951	8.37503	7.80134	6.34871
8.19001	10.70801	40.72371	6.00532	9.05881	7.75211	1146.75132	1.00000	41.36636	55.61775	8.75110	-73.95097	5.63051	30.86793	1.00133	4.57936	6.26891	7.28135
8.18892	7.69546	43.96222	14.21780	9.81738	9.04055	1122.02586	1.00000	55.23034	69.20285	9.62776	43.63417	10.85714	23.35169	3.30012	13.13592	7.19982	6.03514
7.19284	7.39656	43.41949	13.98441	6.58929	8.35979	1071.55653	1.00000	52.95686	74.18723	8.91987	77.0202	7.67633	39.64002	1.82009	6.56201	7.35726	7.25932
8.07177	10.12731	26.44931	6.57240	6.79180	8.52997	1083.75347	0.00000	34.71110	71.49003	10.24384	91.61356	9.17339	68.01058	2.04151	10.23186	7.44939	8.14194
8.86619	15.92522	12.97389	21.19786	7.02937	11.33186	1054.27890	0.00000	47.96676	60.72686	10.30197	123.99333	3.80203	45.87788	28.15986	12.98955	6.55484	11.89908
9.60543	8.00727	11.86064	8.86754	6.77938	7.95234	1192.97713	0.00000	39.61754	70.40765	9.73175	9.0027	10.21115	47.95025	1.41290	9.75253	7.55572	8.95327
5.91917	9.31372	35.95664	-6.24297	6.56722	9.05188	1121.86642	1.00000	44.40332	70.72086	9.38609	36.7138	6.30839	36.02188	3.13963	12.44079	11.81060	9.04153
7.86873	7.03344	41.63976	5.73739	6.11960	8.42594	1135.05213	0.00000	41.17122	76.73289	9.98511	2.35739	10.36625	48.18803	1.70046	8.32078	5.84328	4.76374
7.32821	10.31266	-34.64167	20.15853	8.51673	7.76194	1179.74385	1.00000	73.36604	68.30249	9.83175	-60.47389	10.53729	48.75646	1.33410	8.90933	7.37319	7.49473
10.81119	11.84365	48.49144	24.72548	6.98840	10.08662	1128.48691	0.00000	42.99360	61.24350	9.89650	9.20427	10.62537	55.47683	8.65323	11.02047	6.01180	6.80945
7.63795	8.07565	31.12406	5.18707	9.93541	8.42730	1153.35406	0.00000	55.79843	72.04110	6.95786	-97.90308	12.76708	35.89928	2.18179	6.88036	8.62228	7.02714
8.96959	9.28066	55.54028	10.47198	6.80715	8.12224	1158.53483	1.00000	61.69428	64.65994	9.86435	89.20083	3.43127	42.36053	1.54435	5.39026	7.58360	5.38447
10.12152	9.82945	37.56667	21.00753	9.92204	8.86699	1076.25678	1.00000	63.82679	58.40540	9.32715	140.11667	10.90911	70.79734	2.77518	11.03907	7.28790	5.52444
7.10919	11.60741	36.75965	7.40732	7.64083	6.28213	1116.59507	1.00000	32.93444	74.41408	7.02080	137.36215	10.73732	59.24845	0.48817	4.79787	7.86353	8.44232
7.21515	7.93973	48.8765	13.57984	7.51240	8.09818	1168.01335	1.00000	68.03175	70.62347	8.84304	2.18967	7.73040	36.01335	1.45962	12.56813	10.14556	5.35097
8.51916	8.27835	13.51825	17.77450	10.40327	7.50954	1131.20016	0.00000	50.57657	62.73702	10.52818	99.95469	10.18407	9.83213	1.14884	7.39991	3.62723	4.37963
8.96088	8.46091	19.21667	19.89241	7.71927	8.35484	1089.67978	1.00000	42.36464	73.33006	8.17421	73.08333	7.57001	37.71181	2.04045	6.47067	6.08492	6.59855
8.68668	10.33677	-1.6	-0.01987	7.84185	5.66249	1132.11859	1.00000	45.69235	84.93124	8.49506	103.61667	6.89877	36.59224	0.63219	8.82511	10.99588	8.17450
7.50413	10.21268	-21.98333	14.59860	9.53940	8.63267	1069.34198	1.00000	50.92589	66.15947	8.98814	16.91667	8.48585	49.89046	2.32471	9.42494	10.02490	7.59594
