station	latitude	longitude	QoS	revision	location
Selby	53.78333	-1.06667	good	19 Feb 2022	Europe/London
Riverbank	37.73604	-120.93549	maintenance	2021-05-17	America/Los_Angeles
Porterville	36.06523	-119.01677	accep	07 Oct 2018	America/Los_Angeles
Yanliang	34.65918	109.22921	excellent	2021-05-19	Asia/Shanghai
Liberia	10.63504	-85.43772	accep	06/20/2017, 00:00:00	America/Costa_Rica
Keizer	44.99012	-123.02621	accep	2021-05-11	America/Los_Angeles
Agrigento	37.31065	13.57661	accep	27 Nov 2016	Europe/Rome
Dorval	45.4473	-73.75335	building	03/16/2013, 00:00:00	America/Toronto
Norco	33.93113	-117.54866	building	2013-06-23	America/Los_Angeles
Oldenzaal	52.31333	6.92917	maintenance	11/05/2017, 00:00:00	Europe/Amsterdam
Morningside Heights	40.81	-73.9625	average	2022-03-04	America/New_York
Catania	37.49223	15.07041	good	2013/09/17	Europe/Rome
Reutlingen	48.49144	9.20427	excellent	10/13/2017, 00:00:00	Europe/Berlin
San Jose	12.35275	121.06761	good	2018/04/12	Asia/Manila
Davangere	14.46693	75.92694	good	17 Sep 2021	Asia/Kolkata
Periyakulam	10.12268	77.54372	excellent	18 Sep 2014	Asia/Kolkata
Shinshiro	34.9	137.5	average	06/06/2015, 00:00:00	Asia/Tokyo
Jhol	25.95533	68.88871	excellent	06/20/2021, 00:00:00	Asia/Karachi
'Ali Sabieh	11.15583	42.7125	accep	03/26/2015, 00:00:00	Africa/Djibouti
Rosedale	39.32011	-76.51552	excellent	10/24/2012, 00:00:00	America/New_York
Amposta	40.70995	0.57856	accep	26 Oct 2013	Europe/Madrid
Kachkanar	58.7002	59.4839	excellent	17 Aug 2019	Asia/Yekaterinburg
Barracas	-34.64966	-58.38341	good	2014-07-31	America/Argentina/Buenos_Aires
Marau	-28.44917	-52.2	building	09/24/2017, 00:00:00	America/Sao_Paulo
Dublin	32.54044	-82.90375	good	2020/11/09	America/New_York
Bad Honnef	50.64336	7.2278	building	17 Jun 2020	Europe/Berlin
Olupona	7.6	4.18333	average	2016-02-22	Africa/Lagos
Coralville	41.6764	-91.58045	excellent	05 Dec 2017	America/Chicago
Zeitz	51.04962	12.1369	average	02/04/2019, 00:00:00	Europe/Berlin
Donggongon	5.90702	116.10146	good	2013-03-08	Asia/Kuching
Iron River	46.09273	-88.64235	average	07/04/2020, 00:00:00	America/Menominee
Boyeros	23.0072	-82.4017	accep	2013-02-26	America/Havana
Robertsonpet	12.95629	78.27539	building	2021/11/07	Asia/Kolkata
Pujali	22.4711	88.1453	accep	2015/05/19	Asia/Kolkata
Pleasant Prairie	42.55308	-87.93341	maintenance	2014/05/04	America/Chicago
Tharu Shah	26.9423	68.11759	excellent	25 Jun 2014	Asia/Karachi
La Garenne-Colombes	48.90472	2.2469	excellent	08/29/2022, 00:00:00	Europe/Paris
Namerikawa	36.75965	137.36215	average	06/19/2020, 00:00:00	Asia/Tokyo
Namerikawa	36.75965	137.36215	good	2017/12/28	Asia/Tokyo
Arles	43.67681	4.63031	excellent	2013/04/22	Europe/Paris
Pujali	22.4711	88.1453	excellent	02/26/2013, 00:00:00	Asia/Kolkata
Maasin	10.13361	124.84472	building	09/25/2018, 00:00:00	Asia/Manila
Charlottetown	46.23899	-63.13414	accep	2013-02-12	America/Halifax
El Alia	37.16911	10.03478	maintenance	2020/05/20	Africa/Tunis
Freetown	8.48714	-13.2356	average	02 Oct 2019	Africa/Freetown
Novosilikatnyy	53.30972	83.62389	good	08/28/2013, 00:00:00	Asia/Barnaul
Changshu City	31.64615	120.74221	accep	04/29/2019, 00:00:00	Asia/Shanghai
Binnish	35.95664	36.7138	excellent	2013/09/24	Asia/Damascus
Antipolo	14.62578	121.12251	maintenance	03/11/2020, 00:00:00	Asia/Manila
An Muileann gCearr	53.53333	-7.35	maitennce	2014-07-23	Europe/Dublin
Walton-on-the-Naze	51.84819	1.26738	accep	2016/05/12	Europe/London
Pucheng	27.92333	118.53333	average	2021-08-15	Asia/Shanghai
Nowshahr	36.64852	51.49621	excellent	2016/11/08	Asia/Tehran
Chapletown	53.46506	-1.47217	good	10/22/2020, 00:00:00	Europe/London
Tavda	58.04254	65.27258	good	2016/08/11	Asia/Yekaterinburg
Luena	-11.78333	19.91667	good	03/01/2019, 00:00:00	Africa/Luanda
Kitgum	3.27833	32.88667	average	08/20/2020, 00:00:00	Africa/Kampala
Wevelgem	50.8	3.16667	excellent	2016/10/03	Europe/Brussels
Krasyliv	49.65186	26.97253	good	2020/05/16	Europe/Kiev
Chiguayante	-36.9256	-73.02841	excellent	2021/03/06	America/Santiago
Balikpapan	-1.26753	116.82887	average	20 Aug 2014	Asia/Makassar
Palm Desert	33.72255	-116.37697	average	2013-02-22	America/Los_Angeles
Coralville	41.6764	-91.58045	good	2015/05/04	America/Chicago
Buenaventura	3.8801	-77.03116	excellent	2022/01/13	America/Bogota
Vitebsk	55.1904	30.2049	building	2015-09-30	Europe/Minsk
Shinshiro	34.9	137.5	accep	2021/02/13	Asia/Tokyo
Ulu Tiram	1.6	103.81667	good	01/18/2018, 00:00:00	Asia/Kuala_Lumpur
Bisceglie	41.24264	16.50104	excellent	05/07/2021, 00:00:00	Europe/Rome
Bridgeport	41.16704	-73.20483	building	2015/08/03	America/New_York
Tarkwa	5.30383	-1.98956	accep	08/10/2019, 00:00:00	Africa/Accra
Minokamo	35.48199	137.02166	building	2021-12-06	Asia/Tokyo
Laiwu	36.19278	117.65694	excellent	2015-05-29	Asia/Shanghai
Zacoalco de Torres	20.22816	-103.5687	accep	03/02/2016, 00:00:00	America/Mexico_City
Tver	56.85836	35.90057	building	06/20/2019, 00:00:00	Europe/Moscow
Alexandria	31.20176	29.91582	maintenance	11/27/2014, 00:00:00	Africa/Cairo
Rafaela	-31.25033	-61.4867	excellent	27 Oct 2021	America/Argentina/Cordoba
Colomiers	43.61058	1.33467	building	28 Jan 2016	Europe/Paris
Mianwali	32.57756	71.52847	average	08/31/2017, 00:00:00	Asia/Karachi
Kamakura	35.30889	139.55028	building	2013-05-07	Asia/Tokyo
Toba	34.4833	136.84186	accep	07/14/2021, 00:00:00	Asia/Tokyo
Bridgeport	41.16704	-73.20483	accep	31 May 2021	America/New_York
Tianfu	37.19723	122.05228	building	13 Jun 2022	Asia/Shanghai
Glendale	34.14251	-118.25508	excellent	2017/12/25	America/Los_Angeles
Shalqar	47.83333	59.6	excellent	2013-11-30	Asia/Aqtobe
Floridsdorf	48.25	16.4	average	19 Oct 2019	Europe/Vienna
Deltona	28.90054	-81.26367	good	2016/11/08	America/New_York
Shimotoda	35.815	139.6853	average	2018-06-04	Asia/Tokyo
Cheraga	36.76775	2.95924	accep	2021/11/07	Africa/Algiers
Westchester	41.85059	-87.882	average	27 Mar 2018	America/Chicago
Yunguyo	-16.25	-69.08333	building	2022-01-08	America/Lima
Astara	38.45598	48.87498	average	2019-08-23	Asia/Baku
La Garenne-Colombes	48.90472	2.2469	accep	07/04/2017, 00:00:00	Europe/Paris
Lagarto	-10.91722	-37.65	good	2019-04-30	America/Maceio
Sojat	25.92493	73.66633	good	2013-10-29	Asia/Kolkata
Schwalmtal	51.21667	6.26667	accep	2015-02-24	Europe/Berlin
Frankston South	-38.16604	145.13643	average	04/08/2018, 00:00:00	Australia/Melbourne
Bridgeport	41.16704	-73.20483	good	2017-02-27	America/New_York
Ovalle	-30.60106	-71.19901	average	2020-05-21	America/Santiago
Palestine	31.76212	-95.63079	accep	14 Jan 2017	America/Chicago
Eppingen	49.13645	8.91229	excellent	2016/10/18	Europe/Berlin
Arba Minch	6.03333	37.55	building	09/01/2018, 00:00:00	Africa/Addis_Ababa
Elbeuf	49.28669	1.00288	good	04/10/2018, 00:00:00	Europe/Paris
Hushitai	41.94175	123.50266	maintenance	2018/03/29	Asia/Shanghai
Cibinong	-6.48167	106.85417	accep	2021/07/04	Asia/Jakarta
Tupelo	34.25807	-88.70464	maintenance	2013/09/10	America/Chicago
Aberdeen	57.14369	-2.09814	accep	10/10/2019, 00:00:00	Europe/London
Mwandiga	-4.83	29.65806	good	08/15/2013, 00:00:00	Africa/Dar_es_Salaam
Santa Gertrudes	-22.45667	-47.53028	excellent	2019/01/16	America/Sao_Paulo
Jambi City	-1.6	103.61667	good	09/09/2019, 00:00:00	Asia/Jakarta
Saratoga Springs	40.34912	-111.90466	average	31 Aug 2015	America/Denver
Taunton	41.9001	-71.08977	excellent	04/03/2015, 00:00:00	America/New_York
Front Royal	38.91817	-78.19444	good	2015-05-25	America/New_York
Dongdu	35.85	117.7	good	2022-01-14	Asia/Shanghai
Ajaccio	41.91886	8.73812	average	05 Jul 2020	Europe/Paris
Zgorzelec	51.14942	15.00835	building	2015-08-10	Europe/Warsaw
Maasin	10.13361	124.84472	average	12 Mar 2014	Asia/Manila
Valinhos	-22.97056	-46.99583	maintenance	08/02/2015, 00:00:00	America/Sao_Paulo
Tebingtinggi	3.3285	99.1625	building	02/17/2017, 00:00:00	Asia/Jakarta
Tyler	32.35126	-95.30106	average	2021/07/05	America/Chicago
Puducherry	11.93381	79.82979	accep	13 Jan 2015	Asia/Kolkata
Ulan Bator	47.90771	106.88324	average	06 Mar 2022	Asia/Ulaanbaatar
Rafaela	-31.25033	-61.4867	accep	19 Jan 2020	America/Argentina/Cordoba
Supaul	26.11527	86.59509	good	2020-01-09	Asia/Kolkata
Kolomyagi	60.02427	30.28491	accep	2017/03/14	Europe/Moscow
Riverbank	37.73604	-120.93549	good	2022-06-10	America/Los_Angeles
Leioa	43.32686	-2.98884	excellent	2015-08-11	Europe/Madrid
Madrid	4.73245	-74.26419	building	2014-12-20	America/Bogota
Frederiksberg	55.67938	12.53463	good	06/06/2013, 00:00:00	Europe/Copenhagen
Ar Ruseris	11.8659	34.3869	building	2021/04/23	Africa/Khartoum
El Copey	10.15031	-73.9614	accep	06/18/2018, 00:00:00	America/Bogota
Griffith	-34.28853	146.05093	average	06 Jul 2019	Australia/Sydney
Media Luna	20.14298	-77.43532	maintenance	24 Sep 2016	America/Havana
San Lorenzo Acopilco	19.32889	-99.32556	good	2014-08-04	America/Mexico_City
Contla	19.32932	-98.1664	average	2021/08/14	America/Mexico_City
Beaconsfield	45.43341	-73.86586	maintenance	2018/10/07	America/Toronto
Srinagar	34.08565	74.80555	excellent	2021-06-28	Asia/Kolkata
Barnet	51.65	-0.2	accep	2013/04/04	Europe/London
Gronau	52.21099	7.02238	good	27 Sep 2016	Europe/Berlin
Charlottenburg-Nord	52.53048	13.29371	building	01/18/2013, 00:00:00	Europe/Berlin
Lexington	33.98154	-81.23621	accep	2021-12-26	America/New_York
Greenville	33.41012	-91.06177	average	2013/01/30	America/Chicago
Bibiani	6.46346	-2.31938	average	03/05/2014, 00:00:00	Africa/Accra
Searcy	35.25064	-91.73625	accep	2021-01-21	America/Chicago
North Tustin	33.76446	-117.79394	excellent	25 Sep 2021	America/Los_Angeles
Lutsk	50.75932	25.34244	building	09/19/2022, 00:00:00	Europe/Kiev
Valday	57.97472	33.2525	excellent	2020/07/08	Europe/Moscow
Kovylkino	54.03876	43.91385	average	2016-03-25	Europe/Moscow
Maspalomas	27.76056	-15.58602	average	03/02/2022, 00:00:00	Atlantic/Canary
Newbury	51.40148	-1.32471	accep	2020-12-19	Europe/London
Zvenihorodka	49.07866	30.96755	good	2019/05/23	Europe/Kiev
Srinagar	34.08565	74.80555	accep	2018-09-14	Asia/Kolkata
Mvomero	-6.25	38.66667	maintenance	27 Oct 2015	Africa/Dar_es_Salaam
Camarillo	34.21639	-119.0376	good	2021-03-31	America/Los_Angeles
Ambatondrazaka	-17.83333	48.41667	accep	2013/07/26	Indian/Antananarivo
Reda	54.60528	18.34717	average	27 Nov 2015	Europe/Warsaw
Sorsogon	12.97389	123.99333	average	2018/11/27	Asia/Manila
Gaya	11.86064	9.0027	good	2022/03/27	Africa/Lagos
Perth	-31.95224	115.8614	building	01 Sep 2016	Australia/Perth
Harstad	68.79833	16.54165	accep	10 Sep 2020	Europe/Oslo
Acayucan	17.94979	-94.91386	excellent	09/17/2021, 00:00:00	America/Mexico_City
Shinshiro	34.9	137.5	average	04/03/2013, 00:00:00	Asia/Tokyo
Saint-Denis	-20.88231	55.4504	excellent	2016/12/13	Indian/Reunion
Clermont	28.54944	-81.77285	excellent	06 Apr 2019	America/New_York
El Alia	37.16911	10.03478	excellent	04/02/2016, 00:00:00	Africa/Tunis
Freetown	8.48714	-13.2356	accep	2020-07-22	Africa/Freetown
Rwamagana	-1.9487	30.4347	average	2016-09-15	Africa/Kigali
Sangla Hill	31.71667	73.38333	accep	06/17/2018, 00:00:00	Asia/Karachi
Huntley	42.16808	-88.42814	accep	07/21/2020, 00:00:00	America/Chicago
Gernika-Lumo	43.31667	-2.68333	average	07 Jul 2018	Europe/Madrid
Las Gabias	37.13548	-3.67029	average	2018-01-27	Europe/Madrid
Magomeni	-6.8	39.25	good	2022/09/02	Africa/Dar_es_Salaam
Stockbridge	33.54428	-84.23381	good	2018/08/19	America/New_York
Custoias	41.1053	-7.32097	good	2022/05/06	Europe/Lisbon
Kashipur	29.21399	78.95693	accep	03/13/2021, 00:00:00	Asia/Kolkata
East Dereham	52.68333	0.93333	average	09/03/2014, 00:00:00	Europe/London
Falconara Marittima	43.62558	13.39954	excellent	04/16/2017, 00:00:00	Europe/Rome
Bridgeport	41.16704	-73.20483	average	2020/06/28	America/New_York
Adliswil	47.30997	8.52462	accep	23 Aug 2015	Europe/Zurich
Sar-e Pul	36.21544	65.93249	excellent	2015-06-07	Asia/Kabul
Sukabumi	-6.91806	106.92667	good	06/06/2019, 00:00:00	Asia/Jakarta
Puertollano	38.68712	-4.10734	maitennce	2013/11/12	Europe/Madrid
Hardenberg	52.57583	6.61944	average	07/24/2020, 00:00:00	Europe/Amsterdam
Bothell	47.76232	-122.2054	good	2013-03-07	America/Los_Angeles
Beidao	34.56861	105.89333	maintenance	16 Feb 2013	Asia/Shanghai
Markham	43.86682	-79.2663	maitennce	28 Dec 2013	America/Toronto
Olupona	7.6	4.18333	good	01/10/2015, 00:00:00	Africa/Lagos
Otegen Batyra	43.41949	77.0202	average	2021-01-27	Asia/Almaty
Great Wyrley	52.66277	-2.01111	excellent	2013/06/08	Europe/London
Vitebsk	55.1904	30.2049	excellent	18 Jun 2019	Europe/Minsk
Westchester	41.85059	-87.882	accep	2018/01/10	America/Chicago
Palestine	31.76212	-95.63079	accep	15 Dec 2018	America/Chicago
Tarakan	3.31332	117.59152	accep	04/26/2021, 00:00:00	Asia/Makassar
Yeysk	46.7055	38.2739	good	2019/12/12	Europe/Moscow
Talipparamba	12.04161	75.35927	accep	2013-05-20	Asia/Kolkata
Sorsogon	12.97389	123.99333	excellent	18 Oct 2015	Asia/Manila
Eastwood	-33.79176	151.08057	good	10/25/2017, 00:00:00	Australia/Sydney
Jais	26.2649	81.54855	good	12/02/2016, 00:00:00	Asia/Kolkata
Kachkanar	58.7002	59.4839	good	2022/06/28	Asia/Yekaterinburg
La Trinidad	16.455	120.5875	maintenance	2013/09/01	Asia/Manila
Hofheim am Taunus	50.09019	8.4493	building	09 Jan 2017	Europe/Berlin
Lebanon	39.43534	-84.20299	building	2014/05/20	America/New_York
Nyahururu	0.03813	36.36339	excellent	08/22/2019, 00:00:00	Africa/Nairobi
Curitiba	-25.42778	-49.27306	average	09 Dec 2014	America/Sao_Paulo
Hakodate	41.77583	140.73667	excellent	2017/02/24	Asia/Tokyo
Viradouro	-20.87306	-48.29694	excellent	2021-07-07	America/Sao_Paulo
Evergreen Park	41.72059	-87.70172	accep	2016/02/13	America/Chicago
Clermont	28.54944	-81.77285	accep	01/30/2017, 00:00:00	America/New_York
Villa del Rosario	7.83389	-72.47417	maintenance	2020/09/16	America/Bogota
Emmeloord	52.71083	5.74861	excellent	2013-12-30	Europe/Amsterdam
Dax	43.71032	-1.05366	good	2015-04-29	Europe/Paris
Chilibre	9.15093	-79.62098	building	19 Apr 2021	America/Panama
Supaul	26.11527	86.59509	good	2019-05-15	Asia/Kolkata
Polohy	47.48444	36.25361	accep	2016-10-01	Europe/Zaporozhye
Adra	23.49668	86.68363	excellent	12/10/2015, 00:00:00	Asia/Kolkata
El Achir	36.06386	4.62744	excellent	19 Aug 2020	Africa/Algiers
Gernika-Lumo	43.31667	-2.68333	good	2020-11-07	Europe/Madrid
Longgang	37.65181	120.33063	average	2018/02/07	Asia/Shanghai
Colomiers	43.61058	1.33467	maintenance	2018/10/18	Europe/Paris
Lakota	5.84752	-5.682	excellent	11/14/2018, 00:00:00	Africa/Abidjan
Collinwood	41.55838	-81.56929	average	2021-06-29	America/New_York
La Victoria	10.22677	-67.33122	excellent	08 Dec 2013	America/Caracas
San Jose	12.35275	121.06761	average	2020/08/09	Asia/Manila
Juhaynah	26.67319	31.4976	building	2014-08-29	Africa/Cairo
Mira Mesa	32.9156	-117.14392	building	20 Aug 2021	America/Los_Angeles
Dongfeng	42.64031	125.51176	average	2017-01-09	Asia/Shanghai
North Tustin	33.76446	-117.79394	good	2016/09/15	America/Los_Angeles
Aracaju	-10.91111	-37.07167	accep	07/03/2019, 00:00:00	America/Maceio
Eppingen	49.13645	8.91229	average	2017-07-11	Europe/Berlin
Dax	43.71032	-1.05366	excellent	2021-08-17	Europe/Paris
Shagamu	6.8485	3.64633	accep	09 Jan 2018	Africa/Lagos
Biu	10.61285	12.19458	average	17 Jun 2013	Africa/Lagos
Acayucan	17.94979	-94.91386	excellent	17 Sep 2017	America/Mexico_City
Vitebsk	55.1904	30.2049	average	06/10/2013, 00:00:00	Europe/Minsk
Ukmerge	55.25	24.75	average	07/04/2019, 00:00:00	Europe/Vilnius
Artsyz	45.99194	29.41824	average	2020-05-06	Europe/Kiev
Sharypovo	55.54028	89.20083	maintenance	2017/11/27	Asia/Krasnoyarsk
Hushitai	41.94175	123.50266	average	2021/09/15	Asia/Shanghai
Clacton-on-Sea	51.78967	1.15597	excellent	2012-10-26	Europe/London
Calauan	14.14989	121.3152	excellent	07 Mar 2017	Asia/Manila
Cheraga	36.76775	2.95924	excellent	05/11/2019, 00:00:00	Africa/Algiers
T’aebaek	37.1759	128.9889	excellent	15 Jun 2014	Asia/Seoul
Baki	9.89206	43.38531	excellent	03/20/2015, 00:00:00	Africa/Mogadishu
Rajaori	33.37526	74.3092	accep	08/22/2021, 00:00:00	Asia/Kolkata
Montana	43.4125	23.225	good	2020/10/23	Europe/Sofia
Shushary	59.80917	30.38167	maintenance	2020-03-05	Europe/Moscow
Jocotepec	20.28527	-103.42897	accep	2020/10/25	America/Mexico_City
Poulton-le-Fylde	53.83333	-2.98333	excellent	2019-08-12	Europe/London
Burscheid	51.08468	7.11393	excellent	2021/12/01	Europe/Berlin
Narwar	25.6439	77.9129	good	02 Sep 2017	Asia/Kolkata
Pato Branco	-26.22861	-52.67056	average	06/02/2015, 00:00:00	America/Sao_Paulo
Malnate	45.79377	8.88104	accep	2019/06/14	Europe/Rome
Patti	31.28092	74.85849	accep	2021-10-26	Asia/Kolkata
Schiebroek	51.95838	4.47124	good	03 Jun 2020	Europe/Amsterdam
Annaka	36.33011	138.89585	good	2017-03-02	Asia/Tokyo
Sishui	35.64889	117.27583	good	03/27/2018, 00:00:00	Asia/Shanghai
Woodlawn	39.32288	-76.72803	average	12/06/2012, 00:00:00	America/New_York
Silvan	38.13708	41.00817	accep	2020/11/07	Europe/Istanbul
Miracema	-21.41222	-42.19667	building	01/06/2021, 00:00:00	America/Sao_Paulo
Baki	9.89206	43.38531	good	10/29/2016, 00:00:00	Africa/Mogadishu
Brighton Beach	40.57788	-73.95958	average	17 Feb 2016	America/New_York
Bridgeport	41.16704	-73.20483	good	05/04/2020, 00:00:00	America/New_York
Wheelers Hill	-37.9	145.18333	accep	01/09/2019, 00:00:00	Australia/Melbourne
Bad Segeberg	53.94313	10.30215	good	2015/06/02	Europe/Berlin
Newburgh	41.50343	-74.01042	accep	15 Dec 2013	America/New_York
Novopavlovsk	43.96222	43.63417	excellent	13 Oct 2017	Europe/Moscow
Sector 6	44.43579	26.01649	maintenance	2020-03-27	Europe/Bucharest
Exeter	50.7236	-3.52751	accep	2016/01/01	Europe/London
Encinitas	33.03699	-117.29198	maintenance	2015-11-06	America/Los_Angeles
Charlottetown	46.23899	-63.13414	accep	13 May 2019	America/Halifax
Likhobory	55.85	37.56667	good	2016/02/19	Europe/Moscow
Great Wyrley	52.66277	-2.01111	accep	2018-01-22	Europe/London
Kamakura	35.30889	139.55028	good	16 Mar 2015	Asia/Tokyo
East Jerusalem	31.78336	35.23388	building	2017/02/04	Asia/Hebron
Viewpark	55.82737	-4.0573	building	03/06/2022, 00:00:00	Europe/London
Severodvinsk	64.5635	39.8302	average	01 Sep 2014	Europe/Moscow
Keizer	44.99012	-123.02621	excellent	07 May 2016	America/Los_Angeles
Novopavlovsk	43.96222	43.63417	good	06/18/2014, 00:00:00	Europe/Moscow
Krasyliv	49.65186	26.97253	accep	2014/03/26	Europe/Kiev
Sishui	35.64889	117.27583	building	2021-12-02	Asia/Shanghai
New Yekepa	7.57944	-8.53778	accep	2015-02-09	Africa/Monrovia
