latitude	longitude	revision	code	QoS	location
-5.41667	38.01667	13 Jun 2015	TZ	excellent	Africa/Dar_es_Salaam
14.37395	100.48528	2016/03/07	TH	average	Asia/Bangkok
22.98212	-80.58556	02/26/2018, 00:00:00	CU	good	America/Havana
36.6009	126.665	18 Nov 2021	KR	excellent	Asia/Seoul
50.76306	-1.29772	05/20/2020, 00:00:00	GB	excellent	Europe/London
35.21222	2.31889	05/19/2014, 00:00:00	DZ	maintenance	Africa/Algiers
1.6	103.81667	03/10/2015, 00:00:00	MY	accep	Asia/Kuala_Lumpur
37.31065	13.57661	14 Jan 2014	IT	average	Europe/Rome
35.82756	137.95378	07/23/2015, 00:00:00	JP	good	Asia/Tokyo
53.16167	6.76111	04 Feb 2021	NL	good	Europe/Amsterdam
5.84752	-5.682	2016-11-26	CI	building	Africa/Abidjan
44.92934	37.99117	2017/01/21	RU	average	Europe/Moscow
28.98002	77.70636	2015/05/16	IN	average	Asia/Kolkata
32.54278	111.50861	2015/07/23	CN	accep	Asia/Shanghai
40.72371	-73.95097	2020-02-08	US	building	America/New_York
38.10558	-1.86343	29 Oct 2021	ES	average	Europe/Madrid
30.35028	112.19028	2020-10-27	CN	maintenance	Asia/Shanghai
38.96667	-0.18333	2021/03/15	ES	accep	Europe/Madrid
27.9247	78.40102	2019-11-12	IN	good	Asia/Kolkata
37.13548	-3.67029	01/29/2022, 00:00:00	ES	accep	Europe/Madrid
12.25282	79.41727	07/08/2016, 00:00:00	IN	average	Asia/Kolkata
-22.9	44.53333	16 Sep 2019	MG	accep	Indian/Antananarivo
-23.7975	-48.59278	2021/04/11	BR	good	America/Sao_Paulo
50.82882	-0.32247	01 Jun 2016	GB	accep	Europe/London
40.37528	28.88222	2014/10/11	TR	average	Europe/Istanbul
-23.85972	35.34722	13 Jul 2018	MZ	building	Africa/Maputo
37.31065	13.57661	2015-06-26	IT	good	Europe/Rome
18.18158	76.03889	2017-09-17	IN	good	Asia/Kolkata
-24.19436	29.00974	11/19/2016, 00:00:00	ZA	good	Africa/Johannesburg
15.46063	99.89166	03/15/2016, 00:00:00	TH	maintenance	Asia/Bangkok
36.64852	51.49621	10/05/2012, 00:00:00	IR	accep	Asia/Tehran
5.6561	-75.87877	2017/03/24	CO	good	America/Bogota
-2.68333	33	2020/06/09	TZ	good	Africa/Dar_es_Salaam
33.41012	-91.06177	01 Aug 2020	US	average	America/Chicago
55.75556	60.70278	2019-11-08	RU	excellent	Asia/Yekaterinburg
-25.54073	152.70493	07/10/2021, 00:00:00	AU	excellent	Australia/Brisbane
35.74788	-95.36969	11/16/2014, 00:00:00	US	good	America/Chicago
51.64316	-0.36053	28 May 2014	GB	maintenance	Europe/London
18.03496	-66.8499	2015/05/08	PR	good	America/Puerto_Rico
51.12794	4.21372	07/24/2013, 00:00:00	BE	building	Europe/Brussels
44.98901	38.94324	2013/06/23	RU	average	Europe/Moscow
0.46005	34.11169	09 Nov 2014	KE	building	Africa/Nairobi
6.8485	3.64633	2017/08/11	NG	excellent	Africa/Lagos
3.51667	11.5	2015-04-15	CM	average	Africa/Douala
47.98372	10.18527	2014-11-27	DE	accep	Europe/Berlin
36.76775	2.95924	07/18/2022, 00:00:00	DZ	average	Africa/Algiers
19.8173	-97.35992	2019/09/13	MX	accep	America/Mexico_City
40.93121	-73.89875	2020-06-17	US	average	America/New_York
40.94065	-73.99681	2022-01-16	US	good	America/New_York
-44.39672	171.25364	12/13/2014, 00:00:00	NZ	excellent	Pacific/Auckland
55.85	37.56667	08 May 2015	RU	average	Europe/Moscow
28.90054	-81.26367	13 Mar 2015	US	excellent	America/New_York
38.47917	-1.325	22 Oct 2016	ES	good	Europe/Madrid
44.80477	-0.59543	2016/02/12	FR	accep	Europe/Paris
48.15659	28.28489	22 Sep 2017	MD	building	Europe/Chisinau
16.06213	76.0586	2014/03/05	IN	accep	Asia/Kolkata
41.1053	-7.32097	2018/01/09	PT	good	Europe/Lisbon
53.38333	-0.76667	04/29/2021, 00:00:00	GB	excellent	Europe/London
51.03427	5.37429	2016/10/03	BE	good	Europe/Brussels
35.20889	111.73861	04/18/2016, 00:00:00	CN	building	Asia/Shanghai
-2.13404	-79.59415	2021-10-04	EC	accep	America/Guayaquil
-16.25	-69.08333	24 Dec 2021	PE	building	America/Lima
40.85158	122.74754	2020-02-15	CN	good	Asia/Shanghai
42.24113	-88.3162	2017-04-08	US	building	America/Chicago
61.72744	17.10558	2013-01-02	SE	average	Europe/Stockholm
42.97086	-82.42491	2018/10/08	US	good	America/Detroit
48.73218	11.18709	02/06/2017, 00:00:00	DE	excellent	Europe/Berlin
18.42745	-67.15407	08/26/2017, 00:00:00	PR	accep	America/Puerto_Rico
-21.205	-41.88778	22 Jun 2019	BR	building	America/Sao_Paulo
40.2737	-76.88442	2020-02-08	US	accep	America/New_York
6.45407	3.39467	2020/01/27	NG	average	Africa/Lagos
48.79325	2.29275	2015/08/06	FR	maintenance	Europe/Paris
7.50251	5.06258	28 Apr 2018	NG	average	Africa/Lagos
6.46346	-2.31938	30 Oct 2017	GH	average	Africa/Accra
5.20856	-74.73584	2019/04/19	CO	excellent	America/Bogota
42.35843	-71.05977	2014-10-03	US	accep	America/New_York
42	21.32778	2017-04-09	MK	accep	Europe/Skopje
32.50611	120.14278	2017/06/28	CN	average	Asia/Shanghai
45.39402	9.29109	30 May 2018	IT	average	Europe/Rome
12.95629	78.27539	2016-10-27	IN	good	Asia/Kolkata
-32.45242	-71.23106	2013-05-26	CL	good	America/Santiago
-11.94306	-76.70944	2018/10/10	PE	maintenance	America/Lima
-7.0981	109.3243	2020/05/24	ID	average	Asia/Jakarta
48.73218	11.18709	05/17/2020, 00:00:00	DE	average	Europe/Berlin
41.0051	-73.78458	2020-05-28	US	good	America/New_York
34.65918	109.22921	11 Apr 2014	CN	building	Asia/Shanghai
47.83333	59.6	06 Feb 2021	KZ	excellent	Asia/Aqtobe
33.54428	-84.23381	08 Apr 2019	US	average	America/New_York
14.66	120.56528	2018-12-19	PH	accep	Asia/Manila
55.38752	36.73307	09 Aug 2015	RU	good	Europe/Moscow
6.15038	6.83042	05/27/2015, 00:00:00	NG	building	Africa/Lagos
52.57583	6.61944	2012-10-25	NL	average	Europe/Amsterdam
45.75279	130.57211	2016/10/21	CN	maintenance	Asia/Shanghai
-8.28333	-35.03333	2018/05/30	BR	excellent	America/Recife
14.62578	121.12251	2015/06/05	PH	good	Asia/Manila
32.57756	71.52847	26 Oct 2012	PK	accep	Asia/Karachi
6.84019	79.87116	24 Feb 2014	LK	accep	Asia/Colombo
31.78336	35.23388	2015-01-01	PS	building	Asia/Hebron
-7.81667	112.01667	04 Aug 2020	ID	maintenance	Asia/Jakarta
33.52253	-117.70755	2021/10/16	US	excellent	America/Los_Angeles
36.61954	4.08282	2021-10-14	DZ	average	Africa/Algiers
41.75338	-86.11084	04/21/2018, 00:00:00	US	building	America/Indiana/Indianapolis
37.19723	122.05228	2017/08/29	CN	building	Asia/Shanghai
-2.68333	33	2020/11/24	TZ	excellent	Africa/Dar_es_Salaam
36.02506	-86.77917	29 Feb 2020	US	average	America/Chicago
39.45621	-77.96389	04/04/2019, 00:00:00	US	accep	America/New_York
50.75	2.25	07/19/2019, 00:00:00	FR	excellent	Europe/Paris
50.75767	-1.5443	2017-07-28	GB	good	Europe/London
13.70167	-89.10944	09/16/2022, 00:00:00	SV	excellent	America/El_Salvador
41.55838	-81.56929	26 Oct 2020	US	excellent	America/New_York
53.59337	9.47629	2018/05/16	DE	good	Europe/Berlin
60.97944	76.92421	09/15/2016, 00:00:00	RU	excellent	Asia/Yekaterinburg
16.06213	76.0586	03/21/2022, 00:00:00	IN	good	Asia/Kolkata
33.37526	74.3092	2017-08-07	IN	maintenance	Asia/Kolkata
53.95278	32.86389	2020-06-09	RU	good	Europe/Moscow
-38.16604	145.13643	2019/10/14	AU	building	Australia/Melbourne
44.99012	-123.02621	26 Jul 2017	US	average	America/Los_Angeles
0.46005	34.11169	2018/07/09	KE	excellent	Africa/Nairobi
36.61033	-88.31476	11/04/2019, 00:00:00	US	average	America/Chicago
38.13708	41.00817	08/09/2013, 00:00:00	TR	good	Europe/Istanbul
-10.91722	-37.65	02 Mar 2017	BR	good	America/Maceio
3.02013	30.91105	07/21/2016, 00:00:00	UG	good	Africa/Kampala
58.1908	40.17171	04/13/2020, 00:00:00	RU	excellent	Europe/Moscow
37.52487	-77.55777	02 Jan 2017	US	average	America/New_York
34.15429	3.50309	2018/06/21	DZ	excellent	Africa/Algiers
7.65649	4.92235	12/31/2015, 00:00:00	NG	average	Africa/Lagos
58.1908	40.17171	03/25/2020, 00:00:00	RU	maintenance	Europe/Moscow
53.00974	-3.05814	22 Oct 2016	GB	average	Europe/London
6.46346	-2.31938	10/14/2015, 00:00:00	GH	excellent	Africa/Accra
17.34769	78.55757	10/05/2013, 00:00:00	IN	building	Asia/Kolkata
9.92787	-84.13722	01/17/2014, 00:00:00	CR	excellent	America/Costa_Rica
34.4833	136.84186	16 Jun 2018	JP	building	Asia/Tokyo
36.21544	65.93249	03 Sep 2015	AF	good	Asia/Kabul
34.63915	-120.45794	09/15/2013, 00:00:00	US	excellent	America/Los_Angeles
-33.79176	151.08057	2012-12-15	AU	accep	Australia/Sydney
-4.83	29.65806	02 Oct 2015	TZ	accep	Africa/Dar_es_Salaam
38.72706	-9.24671	11/16/2018, 00:00:00	PT	good	Europe/Lisbon
33.78333	114.51667	2019/12/11	CN	building	Asia/Shanghai
41.57439	24.71204	2020-09-04	BG	excellent	Europe/Sofia
58.04254	65.27258	2018-06-26	RU	excellent	Asia/Yekaterinburg
41.6764	-91.58045	2022/02/15	US	maintenance	America/Chicago
51.40944	46.04833	11/12/2021, 00:00:00	RU	building	Europe/Saratov
-20.87306	-48.29694	2014-09-02	BR	accep	America/Sao_Paulo
-19.65	47.31667	10 Jan 2022	MG	excellent	Indian/Antananarivo
52.71083	5.74861	10 Apr 2022	NL	accep	Europe/Amsterdam
39.32011	-76.51552	05/14/2013, 00:00:00	US	accep	America/New_York
34.5624	38.28402	01/23/2018, 00:00:00	SY	maintenance	Asia/Damascus
48.8222	2.12213	11/23/2019, 00:00:00	FR	excellent	Europe/Paris
39.78504	-85.76942	18 Jun 2020	US	excellent	America/Indiana/Indianapolis
33.4425	129.96972	16 Apr 2020	JP	good	Asia/Tokyo
55.8736	85.4265	06 Sep 2014	RU	excellent	Asia/Novokuznetsk
32.35126	-95.30106	2018-08-24	US	accep	America/Chicago
59.33333	18.28333	01/17/2015, 00:00:00	SE	good	Europe/Stockholm
55.8736	85.4265	2015-10-29	RU	accep	Asia/Novokuznetsk
22.75218	72.68533	2022/05/20	IN	good	Asia/Kolkata
-2.13404	-79.59415	03/30/2018, 00:00:00	EC	accep	America/Guayaquil
51.04962	12.1369	14 Jan 2018	DE	excellent	Europe/Berlin
34.09668	-117.71978	10 Jul 2017	US	building	America/Los_Angeles
12.74482	4.52514	18 Sep 2022	NG	accep	Africa/Lagos
40.87363	14.34085	17 May 2018	IT	building	Europe/Rome
33.50921	-111.89903	2022/08/21	US	excellent	America/Phoenix
38.45598	48.87498	2021/08/10	AZ	good	Asia/Baku
37.49223	15.07041	2013-03-04	IT	average	Europe/Rome
41.77583	140.73667	11/20/2015, 00:00:00	JP	average	Asia/Tokyo
-7.51611	109.05389	2019-01-24	ID	maintenance	Asia/Jakarta
8.88988	-79.62603	07 Sep 2018	PA	excellent	America/Panama
41.24255	-82.61573	2013/12/01	US	accep	America/New_York
14.46693	75.92694	27 Mar 2017	IN	excellent	Asia/Kolkata
49.97704	9.15214	2020-07-26	DE	good	Europe/Berlin
-27.50578	153.10236	10/07/2017, 00:00:00	AU	good	Australia/Brisbane
8.48714	-13.2356	08/10/2017, 00:00:00	SL	maintenance	Africa/Freetown
34.09611	-118.10583	2016-07-06	US	excellent	America/Los_Angeles
40.85158	122.74754	2014-08-15	CN	building	Asia/Shanghai
50.23271	12.87117	2016/06/27	CZ	average	Europe/Prague
68.79833	16.54165	2022/06/14	NO	maintenance	Europe/Oslo
51.47805	6.8625	29 Jan 2019	DE	accep	Europe/Berlin
60.97944	76.92421	03/08/2018, 00:00:00	RU	excellent	Asia/Yekaterinburg
20.14298	-77.43532	2017-02-07	CU	good	America/Havana
33.37526	74.3092	2020/08/06	IN	building	Asia/Kolkata
53.38333	-0.76667	2016/03/10	GB	excellent	Europe/London
-27.50578	153.10236	2019/12/18	AU	maintenance	Australia/Brisbane
21.01858	-101.2591	16 Dec 2016	MX	maintenance	America/Mexico_City
20.21322	-100.88023	10/31/2015, 00:00:00	MX	accep	America/Mexico_City
32.87533	71.57118	22 Jul 2015	PK	accep	Asia/Karachi
53.93361	37.92792	2015/09/27	RU	good	Europe/Moscow
49.13645	8.91229	2017-04-22	DE	building	Europe/Berlin
35.64889	117.27583	2014-04-05	CN	accep	Asia/Shanghai
36.76639	3.47717	2014/03/29	DZ	accep	Africa/Algiers
42.06166	-1.60452	07/16/2016, 00:00:00	ES	building	Europe/Madrid
-21.44236	27.46153	11 Jan 2019	BW	building	Africa/Gaborone
68.79833	16.54165	10/26/2019, 00:00:00	NO	excellent	Europe/Oslo
40.66482	122.22833	12/14/2016, 00:00:00	CN	excellent	Asia/Shanghai
43.48961	-8.2194	17 Jun 2020	ES	average	Europe/Madrid
50.11861	-5.53715	11/07/2014, 00:00:00	GB	average	Europe/London
-21.44236	27.46153	2022-09-24	BW	building	Africa/Gaborone
36.61954	4.08282	2020-08-26	DZ	average	Africa/Algiers
36.76775	2.95924	11 Nov 2012	DZ	accep	Africa/Algiers
-4.5833	15.16554	2015/08/20	CD	good	Africa/Kinshasa
-8.76194	-63.90389	04 Feb 2021	BR	building	America/Porto_Velho
50.72043	11.34046	2018/10/07	DE	good	Europe/Berlin
58.23583	92.48278	2014-05-23	RU	excellent	Asia/Krasnoyarsk
-1.6	103.61667	2017/07/09	ID	good	Asia/Jakarta
40.70995	0.57856	07/29/2015, 00:00:00	ES	maintenance	Europe/Madrid
52.2	8.63333	2012-09-30	DE	accep	Europe/Berlin
41.41204	2.18247	07 Jun 2021	ES	good	Europe/Madrid
-23.44361	-51.87389	06/12/2021, 00:00:00	BR	acceptable	America/Sao_Paulo
52.59319	13.32127	10 Aug 2018	DE	accep	Europe/Berlin
51.26	-2.1875	09/18/2018, 00:00:00	GB	average	Europe/London
-33.75881	150.99292	2021-02-26	AU	maintenance	Australia/Sydney
26.67319	31.4976	12 Jul 2015	EG	excellent	Africa/Cairo
39.22493	42.85693	2020/07/31	TR	building	Europe/Istanbul
48.28259	9.72749	2020/05/13	DE	accep	Europe/Berlin
41.29444	69.67639	17 Nov 2013	UZ	excellent	Asia/Tashkent
-1.26424	104.09701	09/30/2020, 00:00:00	ID	average	Asia/Jakarta
51.24197	4.82313	01/09/2018, 00:00:00	BE	average	Europe/Brussels
26.32293	91.00632	2015-07-15	IN	building	Asia/Kolkata
43.82634	144.09638	17 May 2021	JP	excellent	Asia/Tokyo
8.35122	-62.64102	20 Jan 2014	VE	average	America/Caracas
54.48147	53.47103	27 Feb 2016	RU	accep	Asia/Yekaterinburg
32.17629	75.06583	06/09/2016, 00:00:00	PK	good	Asia/Karachi
39.22493	42.85693	2019/02/07	TR	good	Europe/Istanbul
14.62578	121.12251	2021/06/06	PH	good	Asia/Manila
26.2649	81.54855	2014/02/16	IN	accep	Asia/Kolkata
60.02427	30.28491	2019-04-18	RU	average	Europe/Moscow
35.74788	-95.36969	27 Mar 2016	US	accep	America/Chicago
40.72371	-73.95097	2020/02/03	US	excellent	America/New_York
30.24706	115.04814	27 Nov 2019	CN	maintenance	Asia/Shanghai
9.92787	-84.13722	2013/03/16	CR	maintenance	America/Costa_Rica
55.85	37.56667	05/16/2016, 00:00:00	RU	excellent	Europe/Moscow
40.85158	122.74754	2020-08-25	CN	excellent	Asia/Shanghai
32.54044	-82.90375	2014-08-05	US	excellent	America/New_York
51.65333	5.2875	23 Jun 2014	NL	good	Europe/Amsterdam
45.50369	11.412	02/28/2017, 00:00:00	IT	good	Europe/Rome
23.9028	89.11943	2021/06/22	BD	building	Asia/Dhaka
45.16024	-93.08883	2022/04/27	US	maintenance	America/Chicago
52.61131	13.31783	2016/01/17	DE	building	Europe/Berlin
45.44694	8.62118	2017-03-27	IT	accep	Europe/Rome
31.76212	-95.63079	07 Dec 2016	US	average	America/Chicago
53.7446	-0.33525	2013/06/01	GB	excellent	Europe/London
23.9028	89.11943	07/02/2018, 00:00:00	BD	maintenance	Asia/Dhaka
41.85059	-87.882	2022/08/01	US	good	America/Chicago
44.92801	4.8951	2018/02/22	FR	accep	Europe/Paris
54.48147	53.47103	2015/06/27	RU	average	Asia/Yekaterinburg
52.68333	0.93333	2014-11-15	GB	average	Europe/London
40.78206	72.34424	2014/12/29	UZ	good	Asia/Tashkent
23.9028	89.11943	08/13/2022, 00:00:00	BD	average	Asia/Dhaka
23.07492	88.28637	2017/01/24	IN	accep	Asia/Kolkata
50.7236	-3.52751	17 Jun 2021	GB	average	Europe/London
31.28092	74.85849	20 Feb 2020	IN	average	Asia/Kolkata
7.50251	5.06258	09 Nov 2014	NG	building	Africa/Lagos
35.85	117.7	2015-03-31	CN	excellent	Asia/Shanghai
32.35126	-95.30106	03/23/2022, 00:00:00	US	good	America/Chicago
51.12794	4.21372	21 Jun 2021	BE	good	Europe/Brussels
37.16911	10.03478	2018-01-21	TN	building	Africa/Tunis
26.67319	31.4976	06/28/2020, 00:00:00	EG	average	Africa/Cairo
57.97472	33.2525	2021-09-05	RU	accep	Europe/Moscow
7.50251	5.06258	02/14/2014, 00:00:00	NG	good	Africa/Lagos
39.46667	141.95	2019/12/10	JP	accep	Asia/Tokyo
36.65	138.31667	2013-12-22	JP	maintenance	Asia/Tokyo
12.74482	4.52514	2017/02/15	NG	excellent	Africa/Lagos
8.79577	-75.69947	06/17/2015, 00:00:00	CO	good	America/Bogota
4.92675	6.26764	2019-11-01	NG	maintenance	Africa/Lagos
43.61092	3.87723	2017/04/22	FR	average	Europe/Paris
30.21121	74.4818	2015/10/10	IN	good	Asia/Kolkata
4.2475	9.00472	10/07/2012, 00:00:00	CM	building	Africa/Douala
50.72043	11.34046	2013-03-15	DE	building	Europe/Berlin
48.8222	2.12213	03 Mar 2015	FR	excellent	Europe/Paris
50.09019	8.4493	06/06/2021, 00:00:00	DE	maintenance	Europe/Berlin
53.30972	83.62389	2020-09-08	RU	good	Asia/Barnaul
39.71734	-74.96933	2019-01-08	US	building	America/New_York
-19.7625	-44.31389	15 Apr 2018	BR	building	America/Sao_Paulo
-7.81667	112.01667	03/10/2020, 00:00:00	ID	good	Asia/Jakarta
41.63976	2.35739	30 May 2015	ES	average	Europe/Madrid
9.535	-13.68778	2015-11-15	GN	excellent	Africa/Conakry
25.92493	73.66633	2021/05/26	IN	good	Asia/Kolkata
53.78333	-1.06667	21 Feb 2019	GB	accep	Europe/London
9.89206	43.38531	2020-04-18	SO	average	Africa/Mogadishu
-8.28333	-35.03333	2014/10/27	BR	excellent	America/Recife
-31.95224	115.8614	11/12/2013, 00:00:00	AU	excellent	Australia/Perth
-8.76194	-63.90389	2018/03/10	BR	accep	America/Porto_Velho
41.1053	-7.32097	10/11/2015, 00:00:00	PT	building	Europe/Lisbon
35.82756	137.95378	01/18/2021, 00:00:00	JP	good	Asia/Tokyo
50.23271	12.87117	2013-08-30	CZ	good	Europe/Prague
55.8736	85.4265	05/05/2022, 00:00:00	RU	average	Asia/Novokuznetsk
-4.16694	-40.7475	04 Jun 2013	BR	excellent	America/Fortaleza
39.22493	42.85693	01 Jun 2022	TR	good	Europe/Istanbul
44.98901	38.94324	02 Aug 2020	RU	accep	Europe/Moscow
34.4833	136.84186	12 Dec 2012	JP	excellent	Asia/Tokyo
26.91756	-82.07842	11 Mar 2018	US	accep	America/New_York
22.98212	-80.58556	2022-01-05	CU	excellent	America/Havana
-7.01833	107.60389	01/20/2017, 00:00:00	ID	good	Asia/Jakarta
36.46917	10.78222	2015-05-09	TN	average	Africa/Tunis
23.02677	113.13148	04/01/2013, 00:00:00	CN	good	Asia/Shanghai
38.07789	13.44275	2017/12/15	IT	excellent	Europe/Rome
2.2139	102.3278	2019/10/16	MY	accep	Asia/Kuala_Lumpur
43.61092	3.87723	2015-06-17	FR	building	Europe/Paris
56.85836	35.90057	2014/12/04	RU	building	Europe/Moscow
51.84819	1.26738	16 Jul 2021	GB	accep	Europe/London
41.57721	-93.71133	2017/11/19	US	average	America/Chicago
37.74615	-25.66689	05/30/2014, 00:00:00	PT	good	Atlantic/Azores
25.66795	85.83636	09/21/2013, 00:00:00	IN	excellent	Asia/Kolkata
16.455	120.5875	2015-06-30	PH	accep	Asia/Manila
36.08497	9.37082	2019/04/11	TN	maintenance	Africa/Tunis
-2.90055	-79.00453	03/05/2016, 00:00:00	EC	maintenance	America/Guayaquil
7.6	4.18333	2021-10-21	NG	average	Africa/Lagos
15.73628	75.96976	13 May 2014	IN	accep	Asia/Kolkata
51.20219	7.36027	2014-05-25	DE	accep	Europe/Berlin
9.89206	43.38531	11 Jan 2016	SO	average	Africa/Mogadishu
42.35843	-71.05977	01/29/2014, 00:00:00	US	good	America/New_York
8.88649	2.59753	2014-08-01	BJ	accep	Africa/Porto-Novo
35.30889	139.55028	03/28/2016, 00:00:00	JP	building	Asia/Tokyo
38.07789	13.44275	2022/01/29	IT	building	Europe/Rome
43.54072	-116.56346	2020/06/03	US	maintenance	America/Boise
11.8659	34.3869	2021/01/05	SD	accep	Africa/Khartoum
50.76306	-1.29772	2022-02-02	GB	maintenance	Europe/London
32.54044	-82.90375	12/30/2016, 00:00:00	US	good	America/New_York
16.0567	103.65309	2017-10-10	TH	average	Asia/Bangkok
28.54944	-81.77285	20 Jul 2018	US	average	America/New_York
50.82882	-0.32247	28 Oct 2015	GB	good	Europe/London
61.78491	34.34691	08/06/2017, 00:00:00	RU	excellent	Europe/Moscow
36.46917	10.78222	2017-01-09	TN	average	Africa/Tunis
8.88988	-79.62603	03 Apr 2021	PA	maintenance	America/Panama
32.52515	-93.75018	2014/05/07	US	building	America/Chicago
32.17629	75.06583	09/06/2022, 00:00:00	PK	good	Asia/Karachi
40.53123	17.58522	05 Jan 2019	IT	good	Europe/Rome
-24.19436	29.00974	05/19/2013, 00:00:00	ZA	excellent	Africa/Johannesburg
27.55898	68.21204	2014-03-02	PK	accep	Asia/Karachi
40.82232	-74.15987	2021-09-02	US	accep	America/New_York
13.8196	100.04427	2013-04-20	TH	average	Asia/Bangkok
41.24255	-82.61573	2020/07/18	US	building	America/New_York
39.08367	-84.50855	2016/04/03	US	accep	America/New_York
55.82737	-4.0573	19 Mar 2017	GB	average	Europe/London
32.87533	71.57118	2020/08/29	PK	average	Asia/Karachi
15.58552	102.42587	2015-01-10	TH	excellent	Asia/Bangkok
30.16688	-96.39774	2012-10-09	US	maintenance	America/Chicago
13.70167	-89.10944	08/05/2022, 00:00:00	SV	good	America/El_Salvador
20.22816	-103.5687	09/06/2017, 00:00:00	MX	average	America/Mexico_City
26.11527	86.59509	2014/08/10	IN	average	Asia/Kolkata
38.17492	-122.2608	10/13/2013, 00:00:00	US	average	America/Los_Angeles
7.6	4.18333	2017/03/22	NG	accep	Africa/Lagos
65.84811	24.14662	2015/02/08	FI	good	Europe/Helsinki
47.48444	36.25361	2013/07/30	UA	maintenance	Europe/Zaporozhye
41.57721	-93.71133	2012-11-30	US	excellent	America/Chicago
