CH4	C2H3NO5	PAHs	PM10	latitude	PM2.5	PRES	Pb	TEMP	NH3	SO2	CO	NOx	O3	longitude	CFCs	H2CO	warning
5.72490	0.04354	7.44300	6.66644	43.48961	6.32811	1134.83332	63.71306	45.52457	9.53591	7.41123	6.56641	8.85582	10.22154	-8.2194	60.11329	47.55059	0.00000
8.16164	0.42837	8.36133	9.92044	12.18441	10.39598	1197.31358	54.06625	-6.40703	10.41098	5.84939	8.99903	11.06244	6.60811	18.69303	13.41742	44.33391	1.00000
8.14739	0.05392	9.19500	7.35907	26.2649	7.45719	1058.59082	48.10502	28.85892	10.45448	7.33736	8.24162	8.14070	8.80961	81.54855	89.99889	58.21716	0.00000
6.28452	0.22951	8.52784	9.18347	53.93361	10.13619	1088.87507	54.87717	25.91467	10.37893	8.20994	8.20828	8.77272	7.38994	37.92792	69.61417	39.47241	1.00000
5.81939	0.04231	8.91794	6.99273	-33.38056	6.91325	1186.10381	57.40684	-4.56780	10.02404	8.47842	9.86518	10.92890	8.09606	-56.52361	39.95218	59.50116	0.00000
7.06928	0.02891	7.98063	6.20525	41.55838	5.31310	1087.65326	44.79859	11.47529	9.36251	9.26993	6.95807	7.37236	11.61965	-81.56929	64.62419	57.13456	0.00000
7.09969	0.09929	9.57891	7.89216	51.44889	8.37481	1147.10592	42.75907	18.98011	10.15981	8.67859	9.97054	9.78367	8.10844	5.51978	33.19494	69.96394	1.00000
8.14237	0.49784	7.81010	10.03562	68.79833	5.76497	1074.75991	67.38790	24.42402	7.25701	7.20834	7.27376	5.66602	5.20482	16.54165	66.87894	45.25343	0.00000
7.87790	0.73207	8.62316	10.45673	12.74482	10.65686	1121.47801	32.81752	20.23490	11.15202	7.99667	9.66452	9.35222	3.79979	4.52514	45.08702	36.22224	1.00000
5.18337	0.50803	10.16940	10.05064	26.32293	10.27021	1186.52891	38.13785	11.43573	9.21936	8.61909	9.22112	7.35452	7.45784	91.00632	38.71891	38.55458	1.00000
9.15939	0.46539	8.14080	9.93672	-8.28333	9.20774	1154.29983	41.90752	7.40158	6.06077	6.09751	7.91481	7.36254	8.29937	-35.03333	52.95758	24.62244	0.00000
7.39685	0.04873	8.31451	6.35939	30.81383	8.22828	1169.24584	38.10612	24.20700	5.43412	8.80544	8.57734	7.20482	9.37422	75.16878	51.58294	42.89727	1.00000
7.59528	1.25091	6.84845	11.01153	-7.81667	6.63792	1075.89395	57.03283	13.49549	7.14418	8.15560	6.54915	5.94623	5.45580	112.01667	44.69638	51.03563	0.00000
9.53703	0.05520	6.13489	6.40883	45.75279	8.96357	1182.08093	44.97857	42.09572	7.92801	6.92105	7.17571	4.34305	10.45953	130.57211	78.70091	59.17795	1.00000
8.13389	0.10114	7.62396	8.20769	21.01858	8.77502	1084.23942	40.30205	15.50966	11.00860	8.86120	7.71766	10.02857	6.27994	-101.2591	57.51539	59.53462	1.00000
5.21408	0.30900	8.82264	9.54636	49.28669	8.90687	1112.09413	36.10105	21.65139	9.28639	7.95257	5.70536	8.61413	8.26499	1.00288	45.15574	57.13820	1.00000
7.06208	0.05949	8.52562	7.67170	13.70727	8.37802	1138.38542	74.48051	5.99659	7.81882	9.20737	7.36202		8.90613	9.15013	40.52502	39.48638	1.00000
11.76026	4.38982	10.09660	12.28231	55.1904	11.07974	1135.08100	33.94933	26.44153	6.91873	10.53987	9.46302	7.46503	9.49046	30.2049	43.02500	42.78754	1.00000
10.47820	0.02022	9.72650	6.35307	8.88988	7.96379	1120.91743	42.57699	8.71406	10.42737	10.07583	7.99689	1.97551	7.77672	-79.62603	38.90278	31.56683	1.00000
10.96866	0.08669	7.61828	7.70823	8.43333	11.73205	1129.14470	51.24019	16.61879	7.61440	8.62484	8.26556	12.03809	7.10214	99.96667	66.27146	34.87022	1.00000
8.29119	4.42460	5.77760	12.29387	43.82634	8.74667	1112.71376	61.51913	10.77529	6.59364	6.76750	6.87723	8.08481	7.78002	144.09638	62.77271	43.92289	0.00000
9.59968	0.05072	4.53444	6.08921	20.28527	8.44158	1153.32682	75.19988	17.37067	7.72425	8.32611	7.51437	5.01405	8.62251	-103.42897	36.78109	47.11114	1.00000
6.63165	0.03861	9.84817	6.69609	-34.64966	5.33626	1173.74043	47.56091	16.26357	10.47724	6.69043	7.69938	11.86063	7.74804	-58.38341	44.62536	47.46375	1.00000
8.09639	0.47352	8.06898	9.98483	-38.16604	9.12385	1071.19940	50.55060	20.86695	6.82369	7.58458	8.37629	8.17637	10.43944	145.13643	67.46905	43.85350	1.00000
6.53201	0.33579	8.60109	9.54001	53.0233	7.19787	1185.80890	54.02395	7.30394	9.53145	7.64758	8.10345	10.57169	6.63290	-1.48119	44.72419	72.37016	1.00000
8.35252	0.06209		6.73610	34.25807	4.86017	1191.01972	65.53009	15.73795	7.91431	9.40317	6.85283	3.51353	3.87568	-88.70464	56.67667	47.84845	0.00000
9.93499	1.07452	5.98004	10.86492	38.72706	10.11639	1066.99221	42.21729	27.01537	7.74770	7.41952	8.52390	8.31320	10.71931	-9.24671	47.44792		1.00000
8.11641	0.36560	8.92667	9.73252	8.43333	9.16535	1153.39657	48.14815	23.41307	8.59625	7.67426	8.87291	9.98822	5.03125	99.96667	55.75478	67.77299	1.00000
9.76498	0.33850	8.23425	9.65765	20.88197	6.52998	1067.65462	41.22432	13.05510	8.41693	9.10772	7.64967		5.55681	85.83334	43.43269	50.36538	0.00000
9.08853	0.38596	8.66167	9.75127	30.17746	9.64037	1127.88376	49.82189	14.43054	9.18341	8.80997	8.91034	5.25715	12.63400	-81.38758	51.85825	58.87484	1.00000
7.10974	0.11587	9.25590	8.20560	38.07789	9.93491	1070.34431	69.26721	8.83448	10.39736	7.68339	9.14271	9.33514	8.13674	13.44275	45.37286	54.82312	1.00000
10.76392	2.77743	6.80036	11.82337	7.50251	10.81390	1055.14356	47.60367	18.61765	6.69739	10.13505	8.76098	7.67783	9.47942	5.06258	48.46849	32.53378	1.00000
11.87450	0.05424	6.33509	7.05294	-37.88333	9.80583	1181.53604	39.63910	10.18160	6.12947	7.02766	10.04024	5.25777	8.88195	145.06667	54.45643	44.13312	1.00000
8.97318	0.06478	8.92211	6.63517	9.57046	8.30399	1082.84689	43.10139	24.81775	4.12373	5.58795	7.91882		6.78505	76.32756	64.32193	65.05577	1.00000
7.16273	0.32441	9.21460	9.61592	61.78491	9.34827	1168.18483	48.80020	-0.45570	9.43756	8.39876	7.99439	9.83082	6.37355	34.34691	39.38716	47.00605	1.00000
9.31036	0.52009	8.41072	10.08111	23.5654	9.36852	1051.43426	39.12545	12.86373	7.71460	7.66910	7.28065	8.37281	10.38197	119.58627	47.23688	47.94086	1.00000
9.48385	0.15503	8.84307	8.66991	51.67822	9.13326	1154.04975	41.85753	21.26481	7.96610	7.45447	9.30769	5.69151	9.42814	33.9162	46.22683	57.97640	1.00000
7.77896	0.05645	8.32832	7.60628	49.28669	7.20646	1121.93437	55.17544	10.21525	7.81907	8.66832	7.97680	7.66503	11.24341	1.00288	49.96055	48.98051	0.00000
8.78206		7.72126	7.90867	-5.85746	5.85238	1076.78671	29.76029	10.37484	9.64955	7.20917	10.86326	5.61743	4.88665	144.23058	80.31313	45.75647	0.00000
6.43921	0.11682	7.64743	8.43897	12.74482	8.34916	1132.08513	54.21151	9.08938	9.30129	9.00759	9.37803	10.08733	7.83758	4.52514	61.92341	36.08659	0.00000
5.20733	0.30428	7.45355	9.46477	53.0233	8.10074	1175.79024	43.81518	3.49915	8.31709	7.20095	7.62202	12.20686	6.92873	-1.48119	53.27537	65.50458	0.00000
6.37511	0.73967	9.37811	10.45776	54.48147	10.88679	1177.32658	58.73188	1.13212	7.57272	8.40148	8.46203	9.22591	7.43694	53.47103	60.06169	57.25431	1.00000
6.29956	0.04381	9.26011	6.23162	41.55815	6.58393	1180.73353	55.03014	-6.89456	9.65629	5.64388	7.39618	10.99499	8.88273	-73.0515	52.33193	35.64398	0.00000
5.77063	0.82551	7.79894	10.59914	41.0051	8.14241	1057.66965	48.98517	9.57047	12.31905	8.98092	8.50441	8.82095	4.36741	-73.78458	45.90992	56.30491	1.00000
8.14489	0.02144	9.49270	5.88382	-1.9487	6.96093	1198.34341	47.11912	17.11478	11.05534	7.78248	6.66124	8.14694	9.29432	30.4347	49.74812	28.40190	0.00000
10.66244	1.83509	10.38221	11.40131	43.11667	8.49770	1082.78566	60.38398	22.11895	5.01127	7.35930	9.98880	9.41276	8.53406	1.6	55.45658	40.82322	0.00000
7.73375	0.05771	6.34039	7.56159	34.61667	9.60574	1146.40991	44.62280	1.44134	10.90461	9.55537	9.21732	9.35334	7.04956	135.6	47.48741	53.85599	0.00000
10.22941	0.36381	7.89624	9.66698	35	10.84180	1165.75140	38.59197	-4.23941	6.22745	6.69374	8.18280	5.89651	12.21774	136.51667	36.41806	43.15784	1.00000
9.57287	1.76557	8.99324	11.36747	49.13645	10.18107	1126.70359	58.31836	23.52322	6.05007	8.00650	5.85298	7.43374	9.67092	8.91229	35.61822	42.25053	1.00000
8.69674	0.06273	9.01070	7.37608	54.39304	6.85046	1076.26225	43.91424	2.54204	10.26091	10.07033	5.42505	7.84938	9.16718	53.26023	64.10029	51.96959	0.00000
6.35835	1.58569	8.72280	11.25481	34.25	11.94803	1130.73719	51.56426	3.30445	11.17981	8.44824	6.36469	9.59895	6.10192	135.31667	68.57290	65.65664	1.00000
8.68687	0.22886	5.82250	9.21843	65.93381	9.21166	1135.04568	61.35761	4.00849	6.20245	7.09479	6.44908	8.22121	8.76211	111.4834	46.18958	48.23457	1.00000
8.56150	1.59166	6.00030	11.24932	48.90472	8.16897	1155.95621	13.94655	1.08392	5.71164	8.81097	9.36108	7.16099	8.22282	2.2469	47.87264	44.06230	0.00000
6.38540	0.86777	6.41963	10.62603	8.43333	11.91289	1128.92062	75.77554	4.28573	8.76990	9.77839	8.51955	8.25096	6.75683	99.96667	42.63402	27.40017	1.00000
9.00892	0.03688	9.32203	5.80633	49.97704	12.05705	1194.05418	60.27670	18.83918	6.74406	8.98169	7.15503	10.12048	12.20064	9.15214	44.81181	51.73315	1.00000
9.43936	0.11038	8.71123	8.35668	21.28306	9.23465	1126.29541	63.75649	19.56667	7.56052	6.84123	8.58082	6.16084	9.58878	-89.66123	55.64764	71.78549	1.00000
6.54913	0.09224	7.38437	7.84372	44.22639	9.73689	1187.38153	51.28298	17.63244	10.29602	9.59784	8.38959	8.33808	8.21453	22.53083	76.04626	46.66715	1.00000
10.12138	0.10747	8.20406	8.11178	38.06084	8.90459	1144.62344	53.21473	6.26041	6.80865	10.20840	8.66292	5.06983	8.26570	-97.92977	48.03378	42.28830	1.00000
9.84647		7.32474	11.44590	32.44874	9.89306	1172.96503	25.60942	13.47409	7.62471	7.77871	8.47901	7.77573	9.42110	-99.73314	66.76125	47.72701	1.00000
8.56508	8.58499	7.19680	12.95826	29.22254	7.76146	1128.57269	43.29079	31.43321	5.19856	7.98062	8.47998	8.12374	7.76113	79.5286	53.90479	70.06940	0.00000
8.49027	0.20097	7.86489	9.02210	9.92787	10.17186	1174.36285	62.94480	13.16572	12.03471	6.92762	7.86839	9.42201	5.02557	-84.13722	72.58911	62.31901	1.00000
5.40023	1.56126	8.42681	11.24432	53.37596	9.48036	1052.02769	63.11086	4.67312	12.08362	7.44706	8.19227	8.70321	4.88458	51.3452	45.60941	53.12163	1.00000
7.35526	0.13348	8.26054	8.44482	49.28669	9.12923	1119.35381	64.04269	-10.74478	9.10893	6.60170	6.69029	8.97791	7.29596	1.00288	46.18387	71.70466	1.00000
7.75774	0.03294	7.74825	5.69763	6.45407	7.33141	1115.37943	54.72058	13.81349	9.08156	7.94033	8.55237	8.77201	10.74361	3.39467	84.10100	41.45725	0.00000
5.29551	0.81098	8.09217	10.57286	49.5099	9.88623	1115.08307	67.93364	22.65951	10.27856	7.54344	9.33613	8.00015	6.50182	6.74549	63.49492	67.65909	1.00000
6.37079	0.08895	6.56199	7.95170	55.75556	9.28952	1198.50776	26.54148	24.20834	8.93154	5.59819	9.29737	8.82436	9.65041	60.70278	57.65999	44.97525	1.00000
10.48396	9.04370	7.05751	13.01055	60.97944	10.97905	1096.55011	43.82960	7.17358	11.37211	8.74857	7.45424	6.46071	13.90777	76.92421	55.81885	52.52060	1.00000
11.51644	0.13719	7.35536		46.32313	9.21951	1112.07259	37.25397	5.86902	10.18055	9.46533	8.08098	5.32554	9.05633	-0.45877	51.24548	43.59386	1.00000
9.66966	0.37025	8.29655	9.73624	53.78333	9.41877	1118.94947	38.87392	15.48319	3.06857	8.25540	8.82881	10.71359	6.06550	-1.06667	58.01931	43.65956	1.00000
6.81249	0.03860	8.11390	6.68304	49.28669	7.45481	1137.08541	26.92293	-12.91834	9.24696	7.51179	7.95656	9.98218	9.31776	1.00288	68.67271	62.93837	0.00000
7.46409	0.04136	7.93947	6.45082	52.2	6.59972	1169.30979	51.83719	1.89561	9.86851	6.46233	9.30985	8.28191	10.04077	8.63333	39.46946	47.96233	0.00000
6.43721	0.12176	8.09644	8.33905	47.64995	9.17153	1181.56735	54.56932	-6.61027	9.67773	8.79824	8.15144	8.45156	8.09196	-117.23991	65.35938	68.80856	1.00000
6.53663		7.41189	11.48442	41.66394	9.29483	1090.47947	42.15923	19.99011	6.83444	9.08202	9.47731	9.01576	11.62359	-83.55521	44.00715	59.39811	1.00000
6.60776	0.04249	8.43938	5.74425	33.08014	5.15038	1146.24646	47.79475	1.04091	9.94896	7.23760	8.17023	10.08737	9.95899	-83.2321	55.01891	61.55487	0.00000
5.99536	0.91998	7.96172	10.70681	26.91756	10.44541	1068.22626	36.21261	12.02903	11.11596	8.77335	8.37465	8.84190	5.49650	-82.07842		59.02712	1.00000
9.54716	0.27056	7.19641	9.36988	41.57439	8.94747	1159.61011	85.63716	25.33971	8.49887	8.05770	8.78041	6.17633	9.07407	24.71204	31.28725	51.65053	1.00000
8.62782	0.21733	6.69357	9.17242	27.71809	9.37874	1098.21583	47.83328	21.12698	8.45774	8.01413	8.19319	11.50292	5.62345	-82.35176	66.34678	36.94328	1.00000
6.00293	1.97279	9.44642	11.46469	24.41288	9.13570	1082.52995	32.11879	9.52176	9.96765	9.03609	8.94807	9.77375	4.94755	76.56719	78.55717	46.27161	1.00000
8.86825	3.77066	7.21420	12.13039	-23.44361	10.16675	1188.45959	50.07216	10.57360	6.66860	7.46818	10.47455	7.67656	9.23379	-51.87389	46.85027	53.76892	1.00000
9.77461	0.12271	7.27792	8.48988	18.00747	4.53557	1076.31556	68.13683	10.63635	7.68679	8.20127	8.52473	6.01158	5.95438	-76.78319	61.47754	55.71613	0.00000
7.27642	0.22151	7.80734	9.12916	23.9028	8.84492	1117.45426	36.55608	16.15080	10.49153	7.02426	8.37411	10.57860	5.97184	89.11943	63.12044	58.44254	1.00000
10.76123	0.32943	7.17894	9.63374	50.11861	7.12245	1181.04314	64.68602	16.05014	6.61628	8.77307	7.81324	8.47184	5.62532	-5.53715	38.55395	41.27725	0.00000
9.45450	0.21646	7.97870	9.11976	42.28639	10.52363	1149.20739	51.28648	29.22808	11.40351	8.97975	8.48949	10.75563	5.04528	18.84	47.57223	42.38273	1.00000
10.06982	1.09485	9.01103	10.88304	40.72371	4.61698	1132.16928	57.22942	15.07889	9.11435	9.62140	6.99787	8.31958	6.33600	-73.95097	56.02579	31.32703	0.00000
8.82674	0.44318	8.79779	9.95457	-3.20333	10.33390	1116.85886	62.27947	6.08088	8.92935	7.85240	7.12585	7.80848	15.00347	-52.20639	68.23464	53.39924	1.00000
6.33002	0.98996	8.08924	10.76682	53.83333	5.95646	1114.37456	64.36273	16.08914	9.03363	9.84792	7.86694	10.42662	3.64720	-2.98333	65.17476	36.28682	1.00000
8.06637	0.06898	6.56944	7.66891	26.91756	6.62187	1116.47746	67.86911	7.82930	9.71310	7.31702	8.18084	8.18036	9.39243	-82.07842	46.82895	48.78265	0.00000
8.99082	0.06297	9.99646	7.41360	30.21121	8.56976	1112.37461	33.20370	18.17991	9.17381	8.02361	7.07636	7.43979	9.91181	74.4818	80.01090	15.95495	0.00000
8.89501	0.13465	9.50944	8.68418	46.51872	7.71413	1197.18341	52.39462	5.86835	6.03993	9.68941	9.22874	5.92725	4.80112	86.00214	45.80775	61.01940	0.00000
8.88600	0.10708	6.88350	8.19664	35	10.64571	1143.17222	53.65592	9.44921	10.19869	7.71824	9.40179	11.02257	7.40592	136.51667	70.05811	32.63733	1.00000
7.12539	0.37124	7.91288	9.72231	28.15112	11.15603	1159.31065	46.29738	6.80428	9.70548	6.44308	9.15264	9.12262	6.49557	-82.46148	33.53916	40.92656	1.00000
8.20638	0.16000	6.20265	8.81930	45.35	9.45235	1185.95808	54.31581	1.67120	9.79744	8.61180	8.20067	10.11724	6.17392	126.28333	71.01457	32.88374	1.00000
5.94830	0.03068	7.95105	6.54883	41.8542	5.46630	1116.19347	47.40237	19.86178	9.09140	9.68124	7.58303	12.00178	8.91249	-87.66561	65.24950	47.38507	1.00000
7.47949	0.03129	9.13513	4.61402	43.78956	5.18831	1163.34313	44.33126	37.73680	9.47773	7.76241	6.77809	9.42707	11.32776	7.60872	42.11835	47.90773	0.00000
8.26148	0.18263	9.24127	8.81308	12.95629	12.45830	1155.24049	29.95152	2.21110	10.74364	8.24252	8.45359	9.56276	6.82141	78.27539	48.50888	25.89367	1.00000
8.39094	0.41079	9.50442	9.85403	-3.20333	7.37210	1091.48212	55.06159	4.75055	5.38219	7.30902	8.37565	5.81047	6.27829	-52.20639	37.57797	32.32982	0.00000
8.36733	0.14984	9.71451	8.62915	40.82232	8.60771	1063.71449	54.86266	30.76704	8.98343	7.21117	9.35638	5.84483	9.96864	-74.15987	54.73459	63.75539	1.00000
9.79919	4.38666	7.94257	12.28173	36.76639	10.06883	1175.88949	28.16810	16.45170	6.51979	6.36600	6.72566	10.02686	9.48523	3.47717	42.85169	50.19398	0.00000
6.39386	0.17838	9.02293	8.94524	44.31771	8.47028	1112.40517	42.88501	21.85271	8.67013	8.39133	9.24022	8.00290	7.70752	9.32241	44.03635	37.01628	0.00000
9.15069	0.16757	8.78409	8.95777	-23.85972	9.11077	1079.58108	40.00333	26.90283	5.47376	7.95829	8.63732	7.23702	8.50294	35.34722	58.55102	53.89000	1.00000
8.69718	0.12634	7.65878	8.70726	11.50526	8.94640	1195.15988	33.77980	23.03742	5.64312	8.56115	7.04306	5.99529	4.60091	77.23826	74.48305	60.32511	0.00000
4.51659	0.42153	6.55504	9.86054	45.39402	6.28224	1085.74649	30.99112	12.19543	8.66464	9.39802	9.48758	8.40526	6.75474	9.29109	43.20657	63.76630	1.00000
10.20231	0.35113	8.09592	9.68069	27.9247	10.17891	1140.26226	21.74617	24.12823	6.19274	7.47155	8.86870	7.22365	9.65942	78.40102	56.09579	41.73602	1.00000
11.57918	0.14677	8.89695	8.71387	43.4125	8.10291	1088.68213	59.81964	6.20551	5.97360	7.79671	10.76912	8.65025	8.35216	23.225	43.93778	30.68051	0.00000
8.84094	1.55660	8.05933	11.24259	5.20856	10.06886	1130.69825	54.00810	19.25949	8.84244	9.66954	6.70740	5.48272	12.02183	-74.73584	40.87461	55.51206	1.00000
9.24221	0.73307	9.22692	10.48498	55.8736	8.41574	1062.05292	39.92932	4.64894	5.38654	7.59731	10.36219	7.42043	6.86457	85.4265	79.51653	23.84794	0.00000
5.63454	0.05685	7.49139	7.23778	59.33333	7.00440	1146.35113	63.27804	9.51137	8.88664	7.48968	7.64373	10.61067	9.07040	18.28333	54.73049	46.04018	0.00000
11.22895	0.35909	7.38237	9.68074	5.90702	5.99364	1192.18352	44.92382	11.68739	7.38339	10.13718	6.90687	8.65442	9.21205	116.10146	72.87260	40.46340	0.00000
10.62948	2.29145	10.53222	11.62126	26.67319	10.57433	1101.59706	40.50303	8.19107	5.44564	8.40314	8.73110	8.19993	8.83087	31.4976	40.79898	31.93240	1.00000
6.68679	0.10159	7.61189	8.25513	41.1053	8.53681	1109.11140	43.17304	26.76486	9.63928	7.78010	7.29463	9.23361	7.95513	-7.32097	27.57881	69.63330	1.00000
7.34621	1.20903	8.52171	10.95406	41.41204	10.02796	1180.24183	31.73529	30.01537	5.68154	7.24918	8.79905	9.44657	12.15892	2.18247	38.75181	49.38393	1.00000
6.93898	0.21525	7.93840	9.16226	24.96334	8.20911	1197.29520	62.09711	5.11244	7.59291	8.55534	9.84847	9.61549	9.13324	10.18003	58.47549	41.62222	0.00000
6.53667	0.05482	8.04582	7.08497	8.79577	5.47489	1100.84713	26.07015	24.53546	10.30214	7.87151	7.80716	9.62450	9.01039	-75.69947	53.15305	35.60116	0.00000
11.54889	0.94177	9.24103	10.70844	55.39485		1138.76240	51.60790	27.26479	4.38217	7.25880	10.77302	9.85466	9.66684	43.83992	43.51734	28.37922	1.00000
5.13252	0.10235	10.06134	8.15644	51.42708	6.27792	1116.50123	50.39619	18.82064	9.00829	8.03048	8.81352	10.87919	8.59621	-0.91979	26.01019	27.40792	0.00000
