CO	NH3	PRES	PM10	PM2.5	O3	SO2	Pb	PAHs	CH4	longitude	latitude	CFCs	H2CO	warning	NOx	TEMP	C2H3NO5
10.08132	7.87992	1132.77931	7.83362	7.47631	6.66733	6.50161	60.74635	9.01581	3.42578	-61.51889	10.66668	48.62605	37.47565	0.00000	7.76768	15.22071	3.22173
8.27083	7.88928	1145.68454	7.18967	9.44344	8.54995	7.83040	67.02431	7.46978	6.94295	35.59642	3.11988	49.92596	53.39390	1.00000	6.59196	24.43697	3.27027
12.96068	9.01736	1126.93879	7.00286	6.69182	10.76937	9.89322	62.91514	11.46220	2.29432	-87.882	41.85059	44.70086	56.75775	0.00000	6.34289	0.66348	2.92140
7.52947	6.59488	1117.68836	6.67899	5.56106	8.74495	6.83802	48.84109	6.60969	7.33007	10.5511	52.47774	44.03116	47.58522	1.00000	6.79628	18.09110	1.45748
8.47096	7.80941	1155.22444	7.47610	7.25250	8.76533	10.98231	72.52755	3.61714	5.39015	3.39467	6.45407	51.47795	49.67094	0.00000	7.44740	11.54840	3.06153
9.75768	7.46060	1088.46714	9.07020	5.73886	8.77725	9.34736	38.81187	5.99088	6.30965	74.83554	14.62072	69.18323	60.25904	0.00000	6.98629	-0.78587	10.57982
9.30666	9.02295	1168.28035	8.75915	8.70227	6.12560	5.16852	32.97174	8.81354	4.59635	-73.02841	-36.9256	31.09151	36.83877	0.00000	9.32853	21.42614	9.28154
9.31174	9.60812	1102.66969	6.47638		5.93728	5.62214	67.78670	9.10776	6.33463	-94.41551	39.09112	53.88922	60.56100	0.00000	8.71441	17.02835	0.81063
8.56123	7.43031	1154.37022	8.23152	9.94729	7.68530	10.15986	54.98774	7.70487	7.57549	-84.23381	33.54428	30.51890	55.54194	1.00000	8.85502	3.34560	4.56954
9.31910	8.36354	1078.91437	8.26537	9.45442	9.46776	7.43809	34.36772	7.15225	10.70998	10.18003	24.96334	46.63366	70.16682	1.00000	9.55288	2.26522	6.72580
9.93194	6.91634	1075.93309	8.46320	9.62108	10.64179	5.15751	65.40166	3.87348	9.96015	-81.77285	28.54944	62.93802	43.65266	1.00000	9.39938	7.62290	7.33224
8.77661	7.99667	1090.38253	8.12080	5.88210	9.56831	9.04254	54.85888	6.41131	5.57978	8.86374	44.89784	50.33048	43.54218	0.00000	7.81179	36.45927	4.45726
8.76246	9.09534	1078.38476	7.48916	10.30554	8.58105	9.59441	56.76884	9.65182	6.28959	101.96857	4.88441	42.16445	43.47495	1.00000	6.75687	25.61188	4.19308
11.47649	8.08444	1143.55364	6.61864	5.90842	5.74222	9.52603	51.25511	5.37349	8.08477	14.39024	42.22718	46.05441	59.26508	0.00000	8.31547	11.32214	1.36171
8.43184	9.39603	1155.84403	8.79005	8.93358	8.26418	5.75821	81.92166	4.48723	7.85702	3.50309	34.15429	36.52154	51.74997	1.00000	7.37598	14.29954	8.89604
9.19157	5.10628	1187.01035	6.99229	8.37234	10.03007	9.38054	52.63004	9.40403	6.42477	56.36091	51.78771	57.66848	42.96061	1.00000	9.26089	0.72349	3.12664
9.56060	8.86857	1104.23310	8.25572	5.85664	8.20828	9.31531	39.21187	5.53513	6.60998	18.69303	12.18441	55.60074	66.06466	0.00000	8.82370	16.69978	5.98705
9.15286	8.20683	1061.66109	7.42239	5.74266	8.65920	6.16798	32.48593	8.60531	5.06418	-81.23621	33.98154	44.95008	60.31829	1.00000	7.54988	-3.20569	2.82496
8.39728	7.95034	1080.26776	7.20541	6.46526	11.24029	6.06400	35.96082	7.67945	5.72823	18.28333	59.33333	33.10897	48.46577	0.00000	7.97630	11.42236	2.92550
9.66479	7.44824	1198.69676	7.02946	6.14310	7.15945	9.87279	48.74158	6.44296	7.30290	-89.64066	40.56754	44.21224	69.71220	0.00000	6.33791	23.22663	2.26276
8.76870	7.02305	1153.73920	7.66917	12.29616	9.02999	10.32716	60.77869	8.39956	7.51545	48.41667	-17.83333	35.58105	46.85318	1.00000	7.32027	27.26189	4.30021
8.55211	6.44459	1145.42314	7.28468	8.55333	8.20809	8.17679	53.31184	8.89454	6.07553	1.00288	49.28669	77.34861	30.92983	1.00000	7.53719	10.50282	3.18447
7.65399	8.27695	1152.82660	8.75239	9.31881	4.48438	5.72499	42.96764	9.92249	7.80731	105.75635	10.29085	56.30487	43.03759	0.00000	7.31826	13.79897	8.34137
7.76685	7.41578	1064.23678	9.81484	8.80586	5.83501	7.22455	62.53725	11.22157	7.59483	84.87144	47.46657	58.18129	58.77647	0.00000	7.14331	18.42889	22.52790
8.26957	7.09987	1067.68640	7.96510	9.08793	8.32344	7.30560	52.70424	5.57044	9.24059	4.62744	36.06386	46.41379	50.99450	1.00000	6.15694	13.18198	4.78437
7.90526	8.33351	1147.21784	6.83000	7.31801	8.28005	9.62753	23.92201	5.86684	6.68992	51.49621	36.64852	40.40527	57.00909	0.00000	6.86379	23.69004	0.78289
8.63307	7.92421	1098.59147	8.31921	7.43263	9.02283	7.96218	73.48882	5.02955	6.42505	49.62251	27.0174	52.79313	50.99975	0.00000	7.43047	30.98989	6.13624
6.61408	7.58021	1082.15098	6.89366		9.28188	10.15435	43.97687	6.59447	6.50802	-73.25383	-3.74912	43.66023	56.93117	1.00000	6.32584	0.83891	2.48209
9.84177	7.46031	1176.06282	7.01149	9.63985	9.89114	5.22864	51.91004	5.35755	8.34354	7.2278	50.64336	44.31698	72.45273	1.00000	6.92435	12.25883	2.38121
8.81810	7.68744	1178.86256	7.85594	10.53467	8.83630	7.64356	39.92411	4.55266	8.35890	104.09701	-1.26424	47.50196	46.46239	1.00000	5.57107	14.35528	4.35182
9.16053	7.13270	1166.05284	7.31174	9.85377	7.07302	6.81855	50.69636	10.34125	7.88509	18.69303	12.18441	24.14423	44.33693	0.00000	5.57707	11.33911	3.06844
8.38270	8.79941	1076.96712	7.59099	6.40934	10.20771	9.47119	68.64868	5.95353	5.20185	76.03889	18.18158	23.02106	61.88695	0.00000	7.65170	16.66611	3.82716
10.82876	7.31093	1124.50940	7.55790	5.13100	9.91634	8.83345	30.84605	9.82820	5.10359	25.34244	50.75932	33.43762	71.60547	1.00000	7.90195	25.26704	3.96137
10.95489	9.33630	1193.69227	7.01367	7.85593	7.55313	7.86053	78.39312	10.38155	5.14089	112.23109	-7.57897	58.07499	64.76095	0.00000	6.34146	20.51703	3.00390
8.66371	7.56420	1095.78986	8.33773	10.30152	8.02984	9.60754	52.96155	9.90124	6.09117	35.7	-7.76667	39.21242	88.80600	1.00000	7.10072	23.11203	6.46431
10.04135	8.07835	1166.05420	8.29135	10.48906	10.16809	9.12048	32.28859	9.87433	5.66218	-93.75018	32.52515	64.06144	68.25098	1.00000	8.80893	6.28526	5.22810
7.34840	6.45707	1142.43808	6.93899	6.70844	9.86427	5.78916	45.82296	5.30942	7.33664	98.50893	16.68911	38.66605	73.97294	1.00000	7.27418	29.95231	3.18304
6.02957	8.86937	1155.55213	7.67077	7.75625	2.33939	4.96040	52.21145	7.34459	6.52405	-74.13653	40.63316	55.66135	82.64177	0.00000	8.86422	29.56977	3.76481
8.36362	7.57108	1188.78312	7.65291	7.23090	8.67576	9.66710	42.96413	5.05079	6.21608	9.15214	49.97704	50.06445	13.27755	0.00000	7.71514	19.27918	3.42465
7.61009	9.08822	1139.88731	9.92021	9.03862	9.26054	8.43971	51.92734	6.19737	6.88586	57.3552	51.4781	48.09511	26.59746	1.00000	5.97960	3.05416	24.84450
8.57562	6.58263	1185.57360	8.43303	7.24174	8.79235	5.65006	44.44170	6.52366	11.49919	46.58333	-21.15	72.31920	49.18397	1.00000	7.58233	11.60585	5.87384
7.62737	7.90750	1162.01994	7.97745	6.74151	10.04383	8.25529	26.82472	7.49659	5.92341	-71.10077	18.20854	41.60476	55.11261	0.00000	8.47321	11.21531	5.43920
7.67397	8.64076	1063.92559	7.60789	8.37178	8.43725	7.87698	56.13309	6.63635	8.63249	77.54372	10.12268	61.84519	75.40311	1.00000	8.05511	4.30408	3.69402
9.15438	7.10437	1179.15332	7.91513	9.17576	5.57566	5.44940	49.04297	7.22118	6.50719	-68.3	-54.8	40.42257	36.95249	0.00000	7.80169	10.41310	4.54303
9.09861	7.67119	1162.68028	7.41716	9.72547	9.63367		31.28394	9.47720	6.55968	121.3152	14.14989	59.04467	59.90277	1.00000	6.43405	21.40735	3.81584
12.31014	7.46298	1105.22112	7.09910	10.26282	9.64185	6.27975	25.32017	8.18760	5.51018	30.91105	3.02013	45.12301	46.12703	0.00000	8.16713	13.86709	1.80800
8.29198	7.85917	1196.22089	6.93937	9.56955	7.84146	6.93740	17.06998	9.43855	5.20651	11.18709	48.73218	42.14126	59.68941	1.00000	6.32771	8.95969	3.17961
9.30671	6.74551	1167.76433	6.86573	8.28563	9.72243	9.55977	55.44000	9.06449	6.56459	127.08472	36.20389	70.70409	43.45688	1.00000	6.75005	17.38101	1.53852
7.99992	8.56762	1050.06409	7.18829	7.19294	4.73799	7.27318	53.75970		6.33535	137.23333	35.8	83.88163	43.98970	0.00000	8.27889	6.93271	3.27111
10.32093	7.98207	1118.68650	8.20287	5.94120	7.54857	10.38667	22.72915	9.88703	5.56394	-117.54866	33.93113	49.77028	57.03911	1.00000	7.58200	12.42656	4.74470
6.54496	6.65904	1193.92607	7.99870	10.41097	9.44926	6.70144	59.92774	8.07430	7.07253	9.15214	49.97704	38.31530	60.23394	1.00000	7.72893	4.84767	3.15647
6.53740	7.72217	1124.53767	8.03774	6.76291	9.82840	8.93695	37.28015	7.61643	6.00193	10.18527	47.98372	81.70822	43.95738	0.00000	7.57574	10.58766	5.00974
9.89009	7.64486	1069.23765	8.60819	8.78159	7.76775	5.06898	42.69865	8.28519	9.76215	103.61667	-1.6	49.10207	68.53703	1.00000	7.16335	7.97079	6.70839
10.19793	8.58997	1194.16393	5.54089	7.67068	5.68776	7.25148	52.62960	7.17408	6.58993	-50.00639	-25.42944	53.68315	59.20218	0.00000	6.23230	11.20431	1.59942
8.32362	9.45349	1120.37769	5.92993	9.34376	7.88798	6.28994	58.06207	4.75847	6.60046	-70.92866	42.52787	66.44944	49.54385	1.00000	8.54121	12.25476	2.04103
9.81719	7.01177	1114.75788	7.46398	10.64001	8.62112	9.94974	51.79535	8.94015	6.37976	91.00632	26.32293	69.81543	19.49026	1.00000	7.88584	3.58134	4.10752
8.42670	7.62647	1153.18457	8.51588	7.10209	5.48009	7.67751	58.30892	9.97362	5.45693	75.11937	20.88098	44.51970	57.11912	0.00000	7.63610	21.34520	5.92586
8.74342	7.84417	1090.22992	7.83983	7.08047	5.32845	4.89124	53.13573	7.81183	2.14585	10.30215	53.94313	43.62324	50.83023	0.00000	9.30643	7.22125	2.66230
8.74220	9.79069	1064.27358	6.28391	10.46557	8.52842	8.78298	23.23652	7.26637	8.13386	4.74161	7.62789	39.30554	34.99546	1.00000	8.61998	19.07802	1.55000
8.35541	6.68310	1185.31915	5.09370	9.84938	6.71952	6.83192	52.23413	10.40465	8.09693	-89.66123	21.28306	47.05101	57.98108	0.00000	6.97274	11.41492	2.36591
6.88028	7.52033	1084.46028	8.33093	8.21364	8.90294	8.89372	40.34484	5.04960	9.83272	74.12286	30.76468	36.36089	38.24460	0.00000	8.09061	16.22757	5.48006
8.55626	7.69682	1188.92252	9.21232	7.15368	8.87742	8.53786	56.61708	5.40245	6.40747	76.92421	60.97944	45.26531	61.06345	0.00000	7.96692	6.65927	12.39830
8.91012	7.92669	1165.03714	6.72278	6.13123	9.54352	9.71355	54.64582	5.97770	5.61575	138.31667	36.65	54.32927	59.82688	0.00000	7.30917	0.71767	2.28977
11.37970	9.13606	1148.09455	8.44384	11.28867	7.36673	4.27720	42.07860	7.05214	7.87014	-44.31389	-19.7625		66.12181	1.00000	6.49729	1.67625	6.29717
10.06964	8.65606	1190.81633	10.17003	9.09391	8.78379	7.59549	50.03843	10.74227	5.55989	5.58472	52.14	62.35624	61.23390	0.00000	8.39180	29.63242	30.80489
10.99437	6.97797	1103.11782	7.99012	9.82512	7.36759	10.20591	47.57134	11.43744	4.20830	2.1699	48.98994	38.61688	54.63330	1.00000	6.50325	26.37768	4.29761
8.35894	6.15975	1117.38018	8.18092	11.37728	9.12585	7.98766	64.46995	8.26985	6.66144	101.44167	0.51667	39.33036	42.17676	1.00000	10.14502	27.67486	6.40015
9.98790	6.03930	1164.16583	7.99410	8.38693	7.00123	8.77872	51.37335	10.80391	4.32041	-81.77285	28.54944	58.75155	53.15074	1.00000	7.39242	15.08594	4.40297
8.70646	6.58279	1090.78048	6.28169	8.99026	7.89143	7.77012	33.37448	9.44751	5.41092	-86.19903	11.84962	33.92583	45.60708		7.67192	30.22223	2.19154
9.10107	7.96101	1105.89806	6.85677	9.08169	6.53580	5.83075	62.48621	9.61256	5.45897	28.19028	59.37722	37.38629	49.04123	0.00000	7.08553	5.54540	2.25242
8.38814	7.96808	1165.70690	6.64000	8.45556	7.82465	5.18235	30.80508	4.24414	8.58371	83.97573	21.46527	24.64149	60.15009	1.00000	8.67120	18.70355	2.76976
8.02706	9.37254	1136.48428	9.86249	8.46303	9.40804	8.29642	47.93321	8.96850	6.57153	-87.882	41.85059	60.17354	40.86732	1.00000	6.72875	10.14353	23.80891
7.95913	7.90635	1136.77944	6.89108	10.49379	8.40732	7.56694	31.66512	9.08193	5.98355	-81.77285	28.54944	62.40820	56.97624	1.00000	10.96482	2.42885	2.61616
9.89298	6.30996	1073.18946	9.03996	6.87091	6.06124	10.68896	83.60834	3.61352	7.82257	25.8191	53.5942	55.23757	51.90937	0.00000	9.24185	26.61627	
9.82260	7.73179	1188.65865	8.09696	6.72329	8.38036	7.98612	49.19425	3.93427	6.81261	-96.39774	30.16688	29.23478	17.67345	0.00000	7.80594	18.26047	4.88030
11.02861	7.12797	1071.90775	8.33167	7.97020	7.39148	8.11895	57.86536	7.79129	6.47985	105.75635	10.29085	52.10496	67.60881	0.00000	8.61128	11.61607	7.17954
7.56936	7.47047	1074.31091	8.74084	7.83919	9.18859	8.48841	46.07946	9.10941	7.85527	-86.78777	33.44872	32.34308	41.17101	1.00000	6.04150	7.13806	8.60870
7.95715	6.55965	1074.80139	8.27522	6.73935	9.85904	10.14501	33.99443	5.19024	5.47458	-72.27814	42.93369	43.08142	49.53966	0.00000	6.28678	14.98401	5.90389
10.96123	7.13308	1170.69485	8.44551	9.07278	8.20145	7.41235	47.60216	9.47328	6.37775	-71.10077	18.20854	47.72792	64.99272	0.00000	8.94987	23.89814	6.94722
6.97166	9.10199	1154.51262	7.99334	6.47378	10.66748	7.38884	57.47365	7.34241	7.84843	-82.4017	23.0072	50.07199	43.92511	1.00000	6.41961	14.60478	4.35349
6.90674	6.90637	1053.58829	6.91557	7.17490	3.36617	5.81019	38.38404	8.95562	5.48164	105.89333	34.56861	52.13177	36.14933	0.00000	6.99216	34.89372	2.24974
