longitude	code	revision	latitude	QoS	location
117.55417	CN	11 Jul 2013	34.86472	good	Asia/Shanghai
14.30935	IT	2018-08-05	40.92298	excellent	Europe/Rome
51.49621	IR	2015-09-04	36.64852	building	Asia/Tehran
73	KG	09/04/2018, 00:00:00	40.93333	good	Asia/Bishkek
-73.9614	CO	02 Jul 2019	10.15031	good	America/Bogota
91.61356	IN	07 Dec 2015	26.44931	average	Asia/Kolkata
85.83334	IN	2017/05/02	20.88197	accep	Asia/Kolkata
-83.48216	US	19 Dec 2017	42.30865	good	America/Detroit
15.16554	CD	24 Jun 2018	-4.5833	excellent	Africa/Kinshasa
18.69303	TD	2021/02/23	12.18441	good	Africa/Ndjamena
11.37703	DE	03/24/2013, 00:00:00	48.06919	excellent	Europe/Berlin
-118.03917	US	2014/11/27	33.95015	average	America/Los_Angeles
33	TZ	2021/05/27	-2.68333	good	Africa/Dar_es_Salaam
3.47717	DZ	10/08/2020, 00:00:00	36.76639	average	Africa/Algiers
-89.64066	US	08/15/2019, 00:00:00	40.56754	average	America/Chicago
-87.66561	US	2013-11-04	41.8542	building	America/Chicago
115.70111	CN	2015/12/26	37.73222	building	Asia/Shanghai
-121.74052	US	05 May 2018	38.54491	accep	America/Los_Angeles
120.74792	CN	2016/09/20	41.09822	excellent	Asia/Shanghai
5.2875	NL	2020-08-06	51.65333	average	Europe/Amsterdam
-72.47417	CO	2017/03/23	7.83389	excellent	America/Bogota
34.37389	TR	2021/08/05	40.1675	maintenance	Europe/Istanbul
10.30215	DE	2012/10/28	53.94313	good	Europe/Berlin
88.28637	IN	2013/05/22	23.07492	excellent	Asia/Kolkata
0.47713	GB	2021-10-12	51.39323	good	Europe/London
-37.93278	BR	09/15/2017, 00:00:00	-11.48472	excellent	America/Bahia
88.58	IN	09/14/2019, 00:00:00	23.18	excellent	Asia/Kolkata
136.13108	JP	2021-11-08	34.75856	average	Asia/Tokyo
-113.3187	CA	2021/03/06	53.51684	accep	America/Edmonton
0.75	GB	2017-06-22	52.41667	average	Europe/London
2.31889	DZ	2018/04/13	35.21222	building	Africa/Algiers
38.28402	SY	2020-03-22	34.5624	good	Asia/Damascus
29.41824	UA	2013-08-19	45.99194	accep	Europe/Kiev
-122.2608	US	2015/05/16	38.17492	excellent	America/Los_Angeles
-84.23381	US	29 Jan 2018	33.54428	maintenance	America/New_York
71.57737	IN	2022-05-12	21.53889	accep	Asia/Kolkata
103.65309	TH	2022/09/17	16.0567	good	Asia/Bangkok
106.88324	MN	10 Mar 2013	47.90771	excellent	Asia/Ulaanbaatar
19.91667	AO	25 Oct 2012	-11.78333	excellent	Africa/Luanda
68.88871	PK	2021-06-24	25.95533	good	Asia/Karachi
151.07986	AU	13 Jun 2015	-33.88096	excellent	Australia/Sydney
65.50917	KZ	05/04/2018, 00:00:00	44.85278	accep	Asia/Qyzylorda
-4.1	FR	18 Dec 2017	48	accep	Europe/Paris
-87.66561	US	2013-03-25	41.8542	excellent	America/Chicago
-73.58248	CA	2016-01-01	45.40008	maintenance	America/Toronto
-81.79819	US	2018/05/26	41.48199	maintenance	America/New_York
83.97573	IN	11/19/2019, 00:00:00	21.46527	average	Asia/Kolkata
-8.2503	PT	11 Jan 2019	37.08819	average	Europe/Lisbon
24.14662	FI	06/23/2014, 00:00:00	65.84811	excellent	Europe/Helsinki
76.92421	RU	24 Mar 2022	60.97944	accep	Asia/Yekaterinburg
10.18003	LY	29 Mar 2019	24.96334	good	Africa/Tripoli
89.20083	RU	17 Mar 2019	55.54028	excellent	Asia/Krasnoyarsk
34.3869	SD	2015/09/30	11.8659	good	Africa/Khartoum
8.96317	DE	04/12/2013, 00:00:00	48.35149	building	Europe/Berlin
76.03889	IN	2022-07-19	18.18158	building	Asia/Kolkata
7.2278	DE	31 May 2019	50.64336	maintenance	Europe/Berlin
24.75	LT	01/02/2022, 00:00:00	55.25	average	Europe/Vilnius
29.65806	TZ	07/22/2020, 00:00:00	-4.83	maintenance	Africa/Dar_es_Salaam
-111.89903	US	21 Dec 2015	33.50921	good	America/Phoenix
15.00913	IT	12 Jun 2013	37.51803	accep	Europe/Rome
34.02537	TR	07 Jun 2017	38.37255	excellent	Europe/Istanbul
-2.58736	GB	2019-08-14	56.56317	average	Europe/London
-38.94722	BR	05/15/2016, 00:00:00	-15.675	average	America/Bahia
5.74861	NL	2016/03/20	52.71083	excellent	Europe/Amsterdam
0.30367	GB	2019-10-22	51.38673	excellent	Europe/London
-67.15407	PR	2020-03-09	18.42745	good	America/Puerto_Rico
78.95693	IN	2021-03-18	29.21399	average	Asia/Kolkata
-1.4001	GH	09/22/2018, 00:00:00	7.06273	maintenance	Africa/Accra
10.30215	DE	2015/04/18	53.94313	building	Europe/Berlin
33.9162	UA	08/12/2015, 00:00:00	51.67822	average	Europe/Kiev
-41.25528	BR	2017-12-17	-19.32556	excellent	America/Sao_Paulo
-0.29825	GB	2020-11-30	51.39148	building	Europe/London
-89.66123	MX	2020-06-17	21.28306	excellent	America/Merida
-71.08977	US	27 Mar 2022	41.9001	average	America/New_York
2.31889	DZ	12 Oct 2018	35.21222	building	Africa/Algiers
101.96857	MY	07/01/2018, 00:00:00	4.88441	average	Asia/Kuala_Lumpur
136.13108	JP	2017-01-23	34.75856	good	Asia/Tokyo
109.05389	ID	2022-09-06	-7.51611	good	Asia/Jakarta
9.72749	DE	2018/08/02	48.28259	average	Europe/Berlin
9.22796	DE	09/12/2017, 00:00:00	48.46458	good	Europe/Berlin
9.00472	CM	10 Mar 2013	4.2475	accep	Africa/Douala
-95.36969	US	12/20/2021, 00:00:00	35.74788	average	America/Chicago
51.49621	IR	07 Aug 2019	36.64852	maitennce	Asia/Tehran
-68.30472	VE	01/25/2013, 00:00:00	9.91861	accep	America/Caracas
36.7138	SY	11/08/2020, 00:00:00	35.95664	average	Asia/Damascus
-74.26419	CO	2022/03/04	4.73245	average	America/Bogota
-81.77285	US	2013/01/02	28.54944	good	America/New_York
35.96944	RU	2022-06-22	56.03361	average	Europe/Moscow
16.50104	IT	2022/08/19	41.24264	good	Europe/Rome
-76.88442	US	27 Jul 2015	40.2737	good	America/New_York
-71.08977	US	2012/10/09	41.9001	average	America/New_York
-115.98391	US	14 Oct 2016	36.20829	accep	America/Los_Angeles
-73.25383	PE	07 Jan 2017	-3.74912	good	America/Lima
27.02444	TR	24 Jun 2014	39.59611	accep	Europe/Istanbul
88.18466	IN	13 Feb 2013	22.19303	building	Asia/Kolkata
77.70636	IN	14 Dec 2015	28.98002	good	Asia/Kolkata
30.2049	BY	2019/08/06	55.1904	good	Europe/Minsk
33.9162	UA	31 Dec 2020	51.67822	building	Europe/Kiev
78.25795	IN	2020-10-22	9.82564	average	Asia/Kolkata
-60.47389	AR	2013-03-09	-34.64167	good	America/Argentina/Buenos_Aires
9.17702	DE	2018-01-31	48.78232	excellent	Europe/Berlin
13.32127	DE	2022/08/03	52.59319	average	Europe/Berlin
72.54064	PK	2019-05-07	31.82539	average	Asia/Karachi
71.30633	IN	01/16/2015, 00:00:00	21.34222	building	Asia/Kolkata
-93.11308	MX	03/10/2014, 00:00:00	16.75973	accep	America/Mexico_City
-8.07257	ML	11/21/2014, 00:00:00	12.74409	good	Africa/Bamako
-2.68758	GB	2014/07/19	53.69786	good	Europe/London
25.8191	BY	2016/01/08	53.5942	accep	Europe/Minsk
4.18333	NG	03/16/2019, 00:00:00	7.6	good	Africa/Lagos
-70.20749	VE	2021-02-08	8.62261	good	America/Caracas
-73.02841	CL	22 Dec 2013	-36.9256	accep	America/Santiago
-122.24092	US	11/24/2017, 00:00:00	47.4943	average	America/Los_Angeles
-1.5443	GB	12 Sep 2021	50.75767	good	Europe/London
127.08472	KR	2020-04-24	36.20389	accep	Asia/Seoul
20.91361	MK	11/13/2021, 00:00:00	41.92361	building	Europe/Skopje
-82.07842	US	2018-02-09	26.91756	building	America/New_York
85.83334	IN	2016/10/06	20.88197	maintenance	Asia/Kolkata
102.3278	MY	09/14/2015, 00:00:00	2.2139	accep	Asia/Kuala_Lumpur
-65.71875	BO	02/02/2022, 00:00:00	-21.44345	accep	America/La_Paz
73.06784	IN	2019/11/03	25.13915	good	Asia/Kolkata
-74.15987	US	03/07/2014, 00:00:00	40.82232	maintenance	America/New_York
5.03586	FR	2014-01-12	43.83125	accep	Europe/Paris
123.50266	CN	2022/05/19	41.94175	average	Asia/Shanghai
75.96976	IN	2018/01/11	15.73628	accep	Asia/Kolkata
140.72287	RU	11 Jun 2017	53.14657	accep	Asia/Vladivostok
91.00632	IN	2015-08-03	26.32293	maintenance	Asia/Kolkata
-88.3162	US	28 Dec 2014	42.24113	accep	America/Chicago
140.72287	RU	10 Jun 2021	53.14657	excellent	Asia/Vladivostok
4.07601	BE	03/31/2017, 00:00:00	50.88506	average	Europe/Brussels
-74.13653	US	24 Aug 2016	40.63316	accep	America/New_York
136.61667	JP	15 Feb 2016	36.53333	average	Asia/Tokyo
104.64992	TH	07/24/2014, 00:00:00	14.64056	maintenance	Asia/Bangkok
98.50893	MM	2015-08-11	16.68911	excellent	Asia/Yangon
-1.98956	GH	03/24/2018, 00:00:00	5.30383	accep	Africa/Accra
140.11667	JP	17 Oct 2015	37.56667	average	Asia/Tokyo
31.4976	EG	2015/06/14	26.67319	accep	Africa/Cairo
68.11759	PK	16 Jan 2013	26.9423	maintenance	Asia/Karachi
38.66667	TZ	2019/12/01	-6.25	maintenance	Africa/Dar_es_Salaam
48.87498	AZ	15 Dec 2019	38.45598	average	Asia/Baku
71.57118	PK	2015/01/04	32.87533	good	Asia/Karachi
-71.19901	CL	05/17/2019, 00:00:00	-30.60106	average	America/Santiago
139.07204	JP	2013/05/28	36.24624	average	Asia/Tokyo
137.5	JP	02 Nov 2020	34.9	maintenance	Asia/Tokyo
-73.75513	US	2017/03/01	40.60538	average	America/New_York
-60.47389	AR	17 Apr 2015	-34.64167	excellent	America/Argentina/Buenos_Aires
75.37991	IN	12/26/2018, 00:00:00	25.75728	average	Asia/Kolkata
-104.22884	US	11/04/2020, 00:00:00	32.42067	building	America/Denver
124.84472	PH	07/09/2015, 00:00:00	10.13361	accep	Asia/Manila
12.19458	NG	12 Apr 2017	10.61285	excellent	Africa/Lagos
16.86194	PL	2015/07/13	54.58048	accep	Europe/Warsaw
112.9	CN	2019/05/22	27.85	accep	Asia/Shanghai
67.84222	UZ	2020-06-18	40.11583	accep	Asia/Samarkand
-42.19667	BR	14 Jun 2013	-21.41222	maintenance	America/Sao_Paulo
8.73812	FR	2022-03-08	41.91886	excellent	Europe/Paris
-88.64235	US	02/25/2018, 00:00:00	46.09273	average	America/Menominee
2.1699	FR	2022/01/28	48.98994	building	Europe/Paris
-95.36969	US	01/03/2019, 00:00:00	35.74788	accep	America/Chicago
36.7138	SY	16 Jan 2019	35.95664	maintenance	Asia/Damascus
-70.20749	VE	18 Dec 2020	8.62261	excellent	America/Caracas
51.49621	IR	2022/05/21	36.64852	building	Asia/Tehran
39.85331	RU	2021-01-22	57.30185	excellent	Europe/Moscow
78.25795	IN	10/26/2021, 00:00:00	9.82564	average	Asia/Kolkata
-67.33122	VE	2017-06-06	10.22677	good	America/Caracas
60.8019	RU	2013-05-12	56.9083	excellent	Asia/Yekaterinburg
76.12647	IN	20 Feb 2021	32.55531	average	Asia/Kolkata
-73.99681	US	2020-01-14	40.94065	excellent	America/New_York
76.32756	IN	2012-12-25	9.57046	average	Asia/Kolkata
-81.23621	US	07/18/2016, 00:00:00	33.98154	accep	America/New_York
41.77921	GE	2018/10/02	41.82143	good	Asia/Tbilisi
68.11759	PK	04/01/2021, 00:00:00	26.9423	maintenance	Asia/Karachi
7.2278	DE	05 Mar 2014	50.64336	average	Europe/Berlin
-6.90656	MA	07 Aug 2022	33.92866	excellent	Africa/Casablanca
46.04833	RU	03/29/2013, 00:00:00	51.40944	good	Europe/Saratov
44.53333	MG	11 Aug 2013	-22.9	accep	Indian/Antananarivo
-97.35992	MX	2017-12-11	19.8173	average	America/Mexico_City
59.80222	RU	2018/02/14	58.63667	excellent	Asia/Yekaterinburg
13.44275	IT	14 Mar 2017	38.07789	accep	Europe/Rome
79.5286	IN	2019/09/21	29.22254	average	Asia/Kolkata
123.89071	PH	11 Jul 2018	10.31672	accep	Asia/Manila
-98.11889	MX	2014/08/21	19.04222	accep	America/Mexico_City
4.7934	FR	02/01/2017, 00:00:00	45.69558	accep	Europe/Paris
71.30633	IN	2017/08/31	21.34222	accep	Asia/Kolkata
12.53463	DK	10/22/2013, 00:00:00	55.67938	accep	Europe/Copenhagen
115.70111	CN	2016/09/05	37.73222	good	Asia/Shanghai
115.88782	AU	03/22/2017, 00:00:00	-32.05251	building	Australia/Perth
86.59509	IN	2013-07-02	26.11527	average	Asia/Kolkata
75.37991	IN	2019/01/03	25.75728	accep	Asia/Kolkata
19.91667	AO	2018-12-03	-11.78333	accep	Africa/Luanda
135.31667	JP	02 Dec 2012	34.25	good	Asia/Tokyo
-82.42491	US	2019-10-08	42.97086	average	America/Detroit
19.91667	AO	2013/07/10	-11.78333	average	Africa/Luanda
-87.66561	US	13 Feb 2016	41.8542	good	America/Chicago
77.0202	KZ	07/03/2013, 00:00:00	43.41949	excellent	Asia/Almaty
122.74754	CN	2012-12-10	40.85158	accep	Asia/Shanghai
77.9129	IN	06/26/2013, 00:00:00	25.6439	excellent	Asia/Kolkata
117.4831	CN	07/21/2019, 00:00:00	27.34089	accep	Asia/Shanghai
103.61667	ID	06/29/2015, 00:00:00	-1.6	accep	Asia/Jakarta
30.38167	RU	2016/05/12	59.80917	accep	Europe/Moscow
-95.63079	US	02 Jul 2018	31.76212	accep	America/Chicago
128.63083	KR	2020-09-27	36.82167	accep	Asia/Seoul
-87.71255	US	12/28/2012, 00:00:00	41.84364	average	America/Chicago
-67.33122	VE	2021/01/24	10.22677	average	America/Caracas
4.69889	BE	03 Aug 2019	50.56149	good	Europe/Brussels
49.62251	SA	04 May 2019	27.0174	good	Asia/Riyadh
-82.07842	US	2014-07-07	26.91756	excellent	America/New_York
-8.33147	PT	04/30/2017, 00:00:00	41.20485	good	Europe/Lisbon
99.1625	ID	2016/01/22	3.3285	excellent	Asia/Jakarta
145.13643	AU	02/13/2020, 00:00:00	-38.16604	maintenance	Australia/Melbourne
79.5286	IN	21 Oct 2018	29.22254	good	Asia/Kolkata
78.55757	IN	2021-09-05	17.34769	excellent	Asia/Kolkata
69.49015	RU	09/18/2014, 00:00:00	56.11281	good	Asia/Yekaterinburg
-1.64295	ES	2013/01/17	42.8139	accep	Europe/Madrid
3.20639	BE	2022/09/05	50.74497	building	Europe/Brussels
-61.51889	TT	06/07/2013, 00:00:00	10.66668	accep	America/Port_of_Spain
13.10984	DE	31 Jul 2022	51.30001	accep	Europe/Berlin
34.02537	TR	01 Jul 2014	38.37255	excellent	Europe/Istanbul
79.82979	IN	20 Feb 2014	11.93381	excellent	Asia/Kolkata
75.37991	IN	02/12/2014, 00:00:00	25.75728	accep	Asia/Kolkata
120.56528	PH	2021-10-07	14.66	maintenance	Asia/Manila
4.62744	DZ	03/10/2020, 00:00:00	36.06386	accep	Africa/Algiers
51.49621	IR	17 Aug 2022	36.64852	average	Asia/Tehran
-94.74049	US	11/21/2019, 00:00:00	32.5007	accep	America/Chicago
43.38531	SO	12 Oct 2018	9.89206	accep	Africa/Mogadishu
75.16878	IN	2019-01-21	30.81383	excellent	Asia/Kolkata
11.32903	DE	28 Oct 2019	50.9803	building	Europe/Berlin
-77.4286	US	2022/03/18	39.00622	good	America/New_York
72.54064	PK	01/26/2020, 00:00:00	31.82539	good	Asia/Karachi
37.00438	TZ	2020-12-07	-7.60361	maintenance	Africa/Dar_es_Salaam
6.9747	DE	2018/10/06	50.82709	good	Europe/Berlin
102.42587	TH	2019/07/07	15.58552	accep	Asia/Bangkok
101.18445	TH	2020/03/04	13.44581	building	Asia/Bangkok
-78.19444	US	08/16/2021, 00:00:00	38.91817	building	America/New_York
-89.99038	US	2013/03/20	38.58894	maintenance	America/Chicago
139.07204	JP	17 Dec 2016	36.24624	accep	Asia/Tokyo
-117.29198	US	2018/12/10	33.03699	accep	America/Los_Angeles
9.72749	DE	06/09/2014, 00:00:00	48.28259	average	Europe/Berlin
123.89071	PH	2016-03-03	10.31672	building	Asia/Manila
5.4384	FR	16 Mar 2014	43.2907	average	Europe/Paris
29.00974	ZA	2019-05-17	-24.19436	average	Africa/Johannesburg
39.25	TZ	2017/05/21	-6.8	good	Africa/Dar_es_Salaam
97.01124	MM	2020/11/18	17.30858	good	Asia/Yangon
-97.03285	US	27 Mar 2013	47.92526	good	America/Chicago
78.15794	IN	2019-05-30	12.1277	accep	Asia/Kolkata
102.42587	TH	25 Apr 2013	15.58552	building	Asia/Bangkok
-6.90656	MA	2018/11/16	33.92866	building	Africa/Casablanca
-74.07764	US	2015-02-14	40.72816	accep	America/New_York
-73.86586	CA	08/11/2022, 00:00:00	45.43341	average	America/Toronto
137.5	JP	27 Jun 2013	34.9	good	Asia/Tokyo
8.62118	IT	2014/06/03	45.44694	good	Europe/Rome
-61.4867	AR	2019/05/01	-31.25033	accep	America/Argentina/Cordoba
14.51472	MT	2021/01/15	35.89972	excellent	Europe/Malta
-89.10944	SV	2021/03/04	13.70167	good	America/El_Salvador
24.04142	LT	2014-11-20	54.39635	good	Europe/Vilnius
-73.97069	US	02 Mar 2016	40.64621	building	America/New_York
12.87117	CZ	04/01/2022, 00:00:00	50.23271	accep	Europe/Prague
-69.96533	US	2019/04/28	43.91452	average	America/New_York
29.47306	CD	11 Apr 2016	0.49113	maintenance	Africa/Lubumbashi
-2.01111	GB	2020/08/26	52.66277	average	Europe/London
117.59152	ID	11/04/2013, 00:00:00	3.31332	accep	Asia/Makassar
73.08333	IN	2013/04/30	19.21667	average	Asia/Kolkata
137.23333	JP	19 Feb 2022	35.8	maintenance	Asia/Tokyo
68.49143	PK	23 Jun 2020	25.80565	excellent	Asia/Karachi
43.83992	RU	2022-03-09	55.39485	average	Europe/Moscow
5.58472	NL	2018/10/29	52.14	good	Europe/Amsterdam
-39.25	BR	12/23/2017, 00:00:00	-12.91667	average	America/Bahia
18.28333	SE	2017-07-10	59.33333	accep	Europe/Stockholm
-61.51889	TT	2019-09-19	10.66668	good	America/Port_of_Spain
135.21667	JP	12 Aug 2013	35.06667	accep	Asia/Tokyo
-3.05	GB	07/27/2022, 00:00:00	53.81667	accep	Europe/London
70.96699	PK	16 Sep 2015	30.46907	average	Asia/Karachi
40.17171	RU	2014-09-04	58.1908	accep	Europe/Moscow
-88.70464	US	2020-12-23	34.25807	average	America/Chicago
35.96944	RU	2019/03/10	56.03361	accep	Europe/Moscow
-68.3	AR	01/20/2019, 00:00:00	-54.8	accep	America/Argentina/Ushuaia
151.07986	AU	12/07/2021, 00:00:00	-33.88096	accep	Australia/Sydney
138.31667	JP	04/29/2013, 00:00:00	36.65	average	Asia/Tokyo
-60.47389	AR	09 Jul 2021	-34.64167	good	America/Argentina/Buenos_Aires
113.82465	CN	05/13/2022, 00:00:00	23.29549	accep	Asia/Shanghai
-71.8023	US	17 Nov 2012	42.58342	accep	America/New_York
-0.74934	GB	25 Jan 2013	51.62907	good	Europe/London
105.89333	CN	11/23/2018, 00:00:00	34.56861	building	Asia/Shanghai
150.99292	AU	2016-06-20	-33.75881	building	Australia/Sydney
-93.71133	US	2016-02-23	41.57721	accep	America/Chicago
-71.10077	DO	09/10/2022, 00:00:00	18.20854	accep	America/Santo_Domingo
79.87116	LK	15 Jul 2021	6.84019	accep	Asia/Colombo
53.47103	RU	2017/07/30	54.48147	accep	Asia/Yekaterinburg
123.17306	CN	2020-03-23	41.27194	building	Asia/Shanghai
2.31889	DZ	2017/12/18	35.21222	good	Africa/Algiers
-96.39774	US	2019/03/10	30.16688	accep	America/Chicago
15.16554	CD	13 Jul 2013	-4.5833	excellent	Africa/Kinshasa
-0.36053	GB	29 Dec 2015	51.64316	building	Europe/London
74.83554	IN	2022/01/03	14.62072	average	Asia/Kolkata
82.85749	IN	2017-01-31	17.54907	excellent	Asia/Kolkata
-76.88442	US	2013/08/24	40.2737	good	America/New_York
43.83992	RU	2021/04/03	55.39485	accep	Europe/Moscow
36.73307	RU	05 Feb 2014	55.38752	good	Europe/Moscow
-73.02841	CL	2018/09/03	-36.9256	good	America/Santiago
7.20769	DE	12/06/2014, 00:00:00	50.80019	accep	Europe/Berlin
71.57118	PK	31 Jul 2018	32.87533	accep	Asia/Karachi
-75.60804	US	2021-07-02	39.96097	accep	America/New_York
-1.08593	GB	2020/06/02	50.79205	maintenance	Europe/London
37.92792	RU	29 Sep 2012	53.93361	excellent	Europe/Moscow
-84.50855	US	05 Aug 2014	39.08367	good	America/New_York
30.4347	RW	2013/12/31	-1.9487	excellent	Africa/Kigali
77.24779	IN	05/24/2022, 00:00:00	10.58806	good	Asia/Kolkata
-87.882	US	17 Nov 2015	41.85059	excellent	America/Chicago
-119.48568	CA	2022/06/14	49.88307	accep	America/Vancouver
13.63617	CZ	2017-03-17	50.50301	average	Europe/Prague
-88.27205	US	2017/10/14	44.27804	average	America/Chicago
-80.31727	US	16 Nov 2015	25.67927	accep	America/New_York
-72.27814	US	04 Nov 2017	42.93369	building	America/New_York
4.52514	NG	2014-08-17	12.74482	good	Africa/Lagos
3.64633	NG	04/18/2015, 00:00:00	6.8485	excellent	Africa/Lagos
9.15214	DE	2020-04-11	49.97704	average	Europe/Berlin
120.4861	PH	07/19/2018, 00:00:00	16.0438	average	Asia/Manila
5.16108	FR	2021-01-01	48.77275	building	Europe/Paris
77.0202	KZ	2017/05/23	43.41949	building	Asia/Almaty
-75.64963	US	05/25/2019, 00:00:00	40.24537	maintenance	America/New_York
14.39024	IT	2020-11-25	42.22718	excellent	Europe/Rome
120.56528	PH	2016-01-17	14.66	average	Asia/Manila
33.34864	UA	01 May 2015	46.75451	average	Europe/Kiev
-73.0515	US	04/07/2016, 00:00:00	41.55815	excellent	America/New_York
-67.33122	VE	2021/10/21	10.22677	accep	America/Caracas
8.73812	FR	07 Nov 2017	41.91886	average	Europe/Paris
20.89389	XK	10/26/2017, 00:00:00	42.62833	building	Europe/Belgrade
84.87144	KZ	23 Jun 2019	47.46657	maintenance	Asia/Almaty
47.3799	IR	05/13/2022, 00:00:00	33.14447	maintenance	Asia/Tehran
-89.64066	US	2015-04-06	40.56754	excellent	America/Chicago
-72.22625	HT	2018/08/23	18.57677	accep	America/Port-au-Prince
-97.92977	US	2015-02-15	38.06084	maintenance	America/Chicago
-113.3187	CA	02/07/2020, 00:00:00	53.51684	accep	America/Edmonton
13.31783	DE	06/18/2013, 00:00:00	52.61131	average	Europe/Berlin
14.66737	IT	13 Dec 2016	41.55947	accep	Europe/Rome
-89.66123	MX	07 Nov 2015	21.28306	excellent	America/Merida
-81.23621	US	2022-08-21	33.98154	accep	America/New_York
112.23109	ID	14 May 2013	-7.57897	average	Asia/Jakarta
-76.72803	US	2016-10-10	39.32288	good	America/New_York
25.8191	BY	06 Jan 2016	53.5942	average	Europe/Minsk
138.31667	JP	30 Jan 2018	36.65	average	Asia/Tokyo
-73.02841	CL	2016-01-05	-36.9256	good	America/Santiago
47.3799	IR	09/04/2017, 00:00:00	33.14447	maintenance	Asia/Tehran
-83.48216	US	14 Apr 2018	42.30865	average	America/Detroit
-73.0515	US	2013/01/23	41.55815	accep	America/New_York
-1.48119	GB	08 Mar 2018	53.0233	average	Europe/London
2.59753	BJ	05 Sep 2021	8.88649	average	Africa/Porto-Novo
-88.42814	US	03/02/2013, 00:00:00	42.16808	acceptable	America/Chicago
43.63417	RU	24 Jun 2018	43.96222	excellent	Europe/Moscow
5.74861	NL	2015-02-16	52.71083	average	Europe/Amsterdam
19.21437	BA	02/10/2013, 00:00:00	44.75874	maintenance	Europe/Sarajevo
-2.98884	ES	2014-11-12	43.32686	accep	Europe/Madrid
60.70278	RU	11/09/2018, 00:00:00	55.75556	excellent	Asia/Yekaterinburg
23.225	BG	2017-05-18	43.4125	maintenance	Europe/Sofia
30.91105	UG	2021/06/19	3.02013	maintenance	Africa/Kampala
26.97253	UA	03/07/2016, 00:00:00	49.65186	average	Europe/Kiev
57.3552	RU	2014/10/22	51.4781	good	Asia/Yekaterinburg
-6.03731	ES	2019/02/06	37.35813	average	Europe/Madrid
