PM2.5	longitude	warning	H2CO	CH4	CFCs	SO2	PM10	Pb	NH3	latitude	PRES	NOx	CO	PAHs	O3	C2H3NO5	TEMP
10.96039	5.55575	1.00000	54.79092	8.32102	52.20405	7.35782	8.07997	39.70407	9.73954	46.67535	1109.86190	7.04166	6.97827	9.26850	6.56728	5.72631	-7.31376
9.50881	28.67582	1.00000	60.61130	9.74174	50.04926	7.09576	7.46107	26.85998	6.40309	40.98894	1151.79620	8.18169	8.70859	6.55129	7.05725	2.06734	-10.06248
7.50578	-88.31476	1.00000	47.56418	4.00500	35.37169	4.84858	4.88173	41.46206	11.94189	36.61033	1069.31074	7.65831	8.68321	9.49815	6.48519	0.59813	10.17745
8.58495	145.13643	0.00000	65.36307	7.87709	58.52603	7.16264	7.37490	59.73095	8.23134	-38.16604	1090.69867	7.00656	7.25507	8.41783	8.06549	2.90793	14.23721
9.81596	-80.08199	1.00000	50.59237	11.75622	61.74053	7.43670	9.22984	54.97476	5.45208	35.88264	1053.79722	9.07491	6.93494	6.25258	6.88902	12.23484	17.71486
7.57473	-8.33147	0.00000	59.65437	7.37372	61.11464	8.01140	7.67255	39.56263	8.80304	41.20485	1153.26184	9.62537	5.62456	6.39406		3.55322	17.87562
9.01837	84.13864	1.00000	16.93985	10.74578	30.21941	6.92385	8.97325	50.11969	6.22525	22.88783	1063.20426	8.06818	8.41367	8.12673	6.36393	10.26009	45.30074
9.39744	73	0.00000	51.73573	8.96683	54.43102	7.26353	8.92109	48.54774	10.28004	40.93333	1113.57522	7.76207	6.60550	9.52842	9.32786	8.81489	8.43244
10.14556	-120.93549	1.00000	61.52012	5.45012	39.76421	8.17543	7.16212	48.66046	10.06041	37.73604	1184.80640	7.50426	8.84434	7.87283	7.65000	2.83532	-3.33841
9.92638	31.4976	1.00000	60.64150	11.58416	59.07503	6.88625	7.88135	40.13749	6.30754	26.67319	1149.68947	7.21503	6.58951	7.20873	5.81398	3.66022	17.41701
7.49546	-44.31389	0.00000	80.47060	8.40746	50.98552	5.31549	8.69464	51.88606	4.95310	-19.7625	1090.90421	8.69392	7.67577	7.17794	6.50890	7.90031	27.54793
6.91930	-113.3187	1.00000	64.15849	8.00160	33.52498	6.46956	7.41507	69.23058	5.45187	53.51684	1075.05877	8.66875	8.10662	5.10767	8.23171	2.61884	20.19789
5.51314	138.89585	0.00000	74.97882	6.39588	41.66338	7.22659	9.57658	46.23135	7.30404	36.33011	1096.21983	7.52316	9.87237	7.41851	6.33922	15.56707	5.61690
7.13995	112.9	0.00000	65.42590	7.02218	40.39317	7.81644	6.53319	42.01421	7.37731	27.85	1124.00838	8.13440	7.63969	6.93759	7.35496	2.11181	12.69866
11.35119	-77.4286	1.00000	53.75692	10.04349	41.64099	6.05674	8.46969	41.97594	4.72645	39.00622	1100.29705	11.03993	7.90981	5.34752	6.22301	6.46202	5.25373
6.55266	-35.71667	1.00000	61.13507	7.82860	54.93541	5.54801	8.89367	48.68397	9.19968	-8.66667	1054.86831	8.18358	8.32577	7.22856	7.32771	9.92217	21.89663
6.57250	13.39954	0.00000	42.15329	6.91496	66.01111	5.60168	8.53529	49.71680	5.88368	43.62558	1181.89964	7.98621	8.98785	7.53448	5.89446	6.61491	25.46602
10.28221	-122.40433	1.00000	46.58021	10.72832	65.64223	7.24144	10.35442	27.73465	6.73923	37.71715	1089.37727	8.11147	10.24416	7.68402	6.23235	34.71285	24.18687
11.33546	17.8031	1.00000	67.46041	11.20201	31.66448	5.93360	8.44749	36.05105	3.87168	48.43174	1169.63018	8.26072	6.45293	4.39222	4.73465	6.37849	23.33213
11.48496	-63.90389	1.00000	73.34416	10.99753	57.92492	7.15501	6.87125	44.84961	7.78367	-8.76194	1148.24573	10.02630	8.31284	8.61633	5.15018	3.55534	33.35259
5.87414	81.54855	1.00000	62.33521	9.50856	34.96954	6.06889	8.41532	39.79904	11.17623	26.2649	1180.85654	6.43743	8.98158	5.89980	5.18097	6.11175	15.39680
7.03488	4.86667	1.00000	48.68411	10.95271	60.69521	6.19107	6.93166	59.50536	5.51887	45.51667	1163.04904	5.46998	7.81813	6.48553	6.07174	2.37428	18.00235
10.78053	109.05389	0.00000	83.20738	7.93261	55.15989	8.29902	10.07325	32.01782	13.42796	-7.51611	1105.99011	6.87717	6.62184	13.14267	8.55236	26.43629	21.60670
8.66538	112.19028	1.00000	70.37774	12.11642	58.26097	7.05746	6.17802	30.90860		30.35028	1107.63695	7.86022	7.55128	7.15748	6.30689	1.46237	18.78043
9.56779	113.69785	0.00000	36.27677	7.33902	61.37244	7.35752	7.79830	56.81602	10.00774	-7.73379	1107.66681	7.95804	7.91327	10.53938	7.69905	4.07955	18.49183
6.62298	-79.59415	1.00000	35.67866	7.34693	34.66616	6.60556	7.59872	58.57300	9.86648	-2.13404	1178.11451	7.99705	8.74293	11.04141	7.42483	3.50507	6.38323
6.58831	86.79271	1.00000	53.09788	10.83066	63.04363	5.48725	6.77252	65.25019	8.08632	25.92127	1139.59949	6.08629	5.82050	9.05469	6.47754	2.38220	25.01044
7.43715	83.62389	0.00000	51.20260	7.91404	59.40443	5.48437	8.09592	43.51966	5.62056	53.30972	1073.48004	8.44305	8.05470	6.61146	6.39384	4.79632	22.30906
7.19447	-48.62789	1.00000	55.69540	11.33010	39.59880	7.17527	8.78869	50.22727	8.20997	-17.74431	1056.64253	8.08622	8.99969	8.93887	5.90918	8.15238	19.92314
11.41650	-88.70464	1.00000	58.29750	11.20861	33.88935	5.61891	9.40000	49.37376	3.77829	34.25807	1085.12025	7.34387	9.23019	4.71479	6.40378	13.47106	21.26194
7.50715	35.7	0.00000	56.71823	7.29792	41.89592	9.13881	7.46017	40.69306	6.81744	-7.76667	1135.94819	8.56638	6.69942	6.13033	8.78568	2.95600	-1.01132
8.50873	11.04979	1.00000	47.32466	8.66020	30.83653	7.86692	7.52562	44.40753	7.10029	44.59445	1088.39867	7.17038	7.88718	10.29703	5.94403	2.84175	25.82235
8.93077	-81.26367	1.00000	54.78369	9.82748	68.06112	6.87072	6.74914	52.99716	6.69320	28.90054	1133.88669	8.53544	7.29744	7.16954	6.55395	3.38240	19.62895
8.94084	-103.5687	1.00000	55.66321	8.78459	54.29921	7.76356	7.36739	44.44192	9.44373	20.22816	1063.92811	6.85079	7.19875	9.08715	7.71737	2.84100	19.65825
10.13094	123.758	0.00000	48.80796	8.95780	57.39625	6.11374	7.03772	61.49224	10.57154	10.20898	1103.36049	8.78404	8.03172	10.71894	9.23385	3.18199	1.46139
9.54997	-91.58045	0.00000	32.56821	11.16591	70.60452	6.18154	8.17761	33.29229	9.33781	41.6764	1177.27139	8.46152	8.49210	9.66625	10.37385	6.05618	-12.32450
8.94932	-94.74049	0.00000	53.24328		66.49744	7.45559	8.29664	40.30223	8.96386	32.5007	1122.21044	8.08786	8.59055	9.23423	9.24209	5.45249	10.90682
7.27758	-118.25508	1.00000	59.23956	12.12376	58.65319	5.30369	8.55974	39.60253	10.23242	34.14251	1125.77786	7.60636	8.30024	5.76950	3.87729	8.60958	21.80602
7.20769	-1.06667	0.00000	66.35217	6.38661	58.60922	5.30901	8.70622	41.49121	6.29770	53.78333	1078.02370	7.74943	7.77846	6.06976	5.65311	8.28106	0.48253
11.95606	-82.42491	1.00000	37.35944	10.94111	45.71290	6.46830	8.43832	43.94487	5.89738	42.97086	1155.05635	9.59702	6.40195	6.01780	3.94460	6.77791	17.45829
6.72280	76.03889	1.00000	51.58961	9.76225	53.98639	3.49201	7.53807	35.31854	9.37523	18.18158	1094.59515	8.55340	8.65264	9.65567	7.20277	3.37201	16.18801
6.14587	9.00472	0.00000	34.85499	6.30658	45.75585	7.30793	8.03962	68.63030	6.44162	4.2475	1077.90651	7.94419	7.28422	6.50509	6.42346	4.73018	10.36095
8.61349	76.32756	1.00000	66.87077	7.00620	35.46491	6.19906	9.63185	63.77996	6.74615	9.57046	1156.13631	6.22086	7.62592	5.48881	6.54698	17.87414	4.63181
7.17765	6.74549	1.00000	54.37809	7.07554	39.02018	6.94406	9.50992	50.00896	11.29624	49.5099	1057.04710	11.42433	8.24583	8.74038	5.36781	14.93337	27.99188
7.71456	43.83992	1.00000	42.67285	10.89802	36.27246	4.81280	6.89028	58.16707	9.09025	55.39485	1094.00344	8.39705	8.61928	6.72257	4.47023	1.67598	15.58245
5.76723	17.10558	1.00000	63.66803	7.25733	64.49645	6.25205	6.96062	45.34506	10.14354	61.72744	1161.70183	7.58555	6.23968	8.40125	6.76459	1.32583	8.49320
5.95066	1.33467	1.00000	16.56041	10.98513	40.88768	5.08123	5.81956	46.04505	11.21170	43.61058	1101.17984	8.79989	7.69144	6.35257	6.12697	1.90136	4.35596
8.68286	-58.70072	1.00000	52.80530	9.55464	50.07825	7.85549	7.52876	34.05171	7.79645	-34.74785	1113.16267	7.80646	9.17380	7.72379	7.36514	3.46044	1.46457
7.56099	-117.70755	0.00000	70.18713	5.92199	33.83063	5.37016	8.24913	42.61372	5.22019	33.52253	1112.90330	6.96928	11.29198	4.80249	7.45054	5.76101	23.17391
7.23097	-3.67029	1.00000	55.52231	10.68585	49.15482	6.85856	7.66073	59.67644	3.83220	37.13548	1083.12072	6.30914	7.08211	4.37385	9.73691	3.33236	1.24634
8.00748	136.61667	0.00000	37.39989	7.02534	65.31306	6.87076	8.63185	48.76205	6.58855	36.53333	1184.64456	7.99252	6.38934	5.94231	7.42802	7.38230	21.22286
7.08944	57.3552	1.00000	62.93575	11.77771	60.01026	6.79771	9.43731	63.43095	3.76420	51.4781	1193.89311	8.30760	8.44521	4.21040	5.57678	14.80598	44.55075
5.42581	18.84	1.00000	65.39199	11.31824	44.68810	7.54180	8.06505	25.98887	7.71803	42.28639	1141.03874	6.97545	6.97603	11.68334	9.16721	4.93282	24.30953
4.38635	-41.88778	0.00000	50.46420	5.37654	43.41398	3.69354	7.50262	52.00231	4.76956	-21.205	1069.82474	8.99057	6.04855	8.00381	4.74359	3.32631	11.80533
7.04574	-86.11084	1.00000	72.03943	8.76426	43.40267	5.68526	7.00185	51.18625	7.36553	41.75338	1062.79130	9.52109	6.78974	9.65893	7.18240	2.45874	7.97572
6.03218	112.19028	1.00000	67.71787	9.60793	55.62390	8.55077	8.47150	46.02660	8.91149	30.35028	1131.03015	7.09740	7.06622	6.01244	6.84812	6.00831	
10.15865	85.37752	0.00000	42.70336	9.61687	56.06533	5.77059	9.16770	59.85861	8.89252	22.10194	1164.60078	8.30832	8.97494	9.33727	9.56195	12.85443	2.85654
11.10264	171.25364	1.00000	52.63290	7.32563	41.21507	6.62817	8.72387	64.25837	7.33635	-44.39672	1112.77140	8.54152	7.57840	5.65481	6.52894	7.73799	27.96585
5.88160	-89.71472	0.00000	40.20102	4.54330	40.69329	6.59357	7.00168	51.96128	7.16225	13.73417	1053.23331	7.77483	6.65281	5.44315	7.35105	2.69443	12.86436
7.87913	133.42825	1.00000	66.09836	6.29449	52.63975	4.08655	8.79022	69.35249	9.51294	45.47885	1107.23567	8.31633	7.01883	7.66152	6.13857	8.57010	
9.65296	-37.65	1.00000	47.82600	7.03081	33.31105	6.34759	7.94479	51.43956	7.37530	-10.91722	1096.97115	7.59362	8.58670	6.32972	6.32790	4.52140	15.10882
8.64410	75.96976	0.00000	53.69620	6.92222	62.72733	8.35713	8.10745	48.64582	9.20479	15.73628	1091.54071	9.56129	6.24376	9.22611	7.39562	4.72131	9.33167
7.34388	73	1.00000	32.22297	10.41962	65.02539	5.88238	7.56489	49.98194		40.93333	1091.38939	6.27668	7.16527	6.35898	6.94881	3.83690	24.44769
8.54453	-25.66689	1.00000	60.46639	11.20224	65.84088	7.23688	8.46796	59.90093	6.12546	37.74615	1100.52287	8.24344	7.55415	10.14265	5.65166	7.08447	17.30133
7.55044	150.60036	0.00000	39.01042	7.53856	62.68957	5.97899	8.07169	40.66270	5.31574	-34.88422	1149.73327	6.89450	7.34472	6.52492	6.61691	4.74899	19.20720
9.48554	-89.10944	0.00000	60.51905	8.74816	67.73676	6.89401	8.88622	39.49103	9.26130	13.70167	1131.96843	7.40477	9.84446	9.36855	8.98220	9.32922	11.11129
9.43425	117.4831	0.00000	83.85379	9.85131	26.24775	7.43012	8.45344	22.39450	9.68010	27.34089	1066.66095	8.33273	9.09205	9.07414	9.78833	6.94033	23.36666
9.42366	-88.70464	1.00000	53.24479	10.80911	74.03832	6.73459	8.37516	40.05627	6.82916	34.25807	1180.68142	8.03129	9.49133	7.75384	5.13593	5.79321	20.42145
6.61715	-97.35992	1.00000	36.63475	9.80395	46.10767	7.25217	7.50077	30.68378	8.43030	19.8173	1100.30426	6.63250	8.33722	8.86748	5.48802	3.36684	18.71073
5.84564	9.00472	1.00000	56.39687	8.84323	44.49337	6.91061	8.64476	57.34338	9.52354	4.2475	1071.69536	7.30811	7.49504	12.89265	8.22747	7.20164	13.46082
5.83876	122.74754	0.00000	69.59745	5.57263	39.82025	5.72528	5.80830	60.50488	5.94164	40.85158	1088.85096	7.89255	8.55073	6.57358	6.50173	3.03426	31.25066
5.26546	-13.68778	1.00000	43.36036	12.32760	36.79489	7.82427	8.49566	26.65725	8.62163	9.535	1090.91377	9.02600	8.97996	9.27418	6.68922	5.67816	22.28085
10.90165	-99.73314	1.00000	50.98486	12.72853	49.58278	5.90755	8.26886	60.26362	3.43363	32.44874	1099.76156	9.93753	7.56712	5.52594	3.89510	5.59720	23.90875
7.56677	-0.76667	1.00000	72.66520	7.20049	59.97285	4.85321	8.28516	40.51946	10.76451	53.38333	1165.44537	7.27972	8.75987	7.96045	5.62893	5.40626	3.59911
