location	latitude	longitude	QoS	revision	code
America/Los_Angeles	37.71715	-122.40433	excellent	03/08/2022, 00:00:00	US
Asia/Tokyo	34.4833	136.84186	excellent	31 Aug 2020	JP
America/New_York	40.2737	-76.88442	good	10/26/2017, 00:00:00	US
America/Chicago	41.85059	-87.882	good	07/06/2016, 00:00:00	US
America/Mexico_City	21.01858	-101.2591	accep	2015/09/09	MX
Asia/Karachi	27.52948	68.75915	excellent	2022-08-10	PK
Asia/Tokyo	34.75856	136.13108	average	2019/10/09	JP
Europe/Madrid	41.63976	2.35739	good	2013/03/09	ES
Europe/Moscow	55.63711	37.38115	maitennce	06/05/2022, 00:00:00	RU
Asia/Kolkata	9.57046	76.32756	good	2019/04/25	IN
America/Edmonton	53.51684	-113.3187	accep	2019/10/25	CA
Europe/Skopje	42	21.32778	good	2020/11/05	MK
Asia/Urumqi	46.51872	86.00214	good	23 Jul 2018	CN
Asia/Shanghai	45.35	126.28333	accep	07/15/2021, 00:00:00	CN
America/Matamoros	25.87972	-97.50417	accep	05/11/2013, 00:00:00	MX
Africa/Dar_es_Salaam	-4.83	29.65806	good	2018-01-07	TZ
Europe/Moscow	57.97472	33.2525	accep	2012-12-15	RU
America/New_York	38.91817	-78.19444	average	2018-11-19	US
Africa/Gaborone	-21.44236	27.46153	good	20 Apr 2017	BW
Europe/Istanbul	38.13708	41.00817	building	2012/11/30	TR
America/Havana	23.15678	-81.24441	excellent	20 Oct 2018	CU
Europe/Moscow	42.819	47.1192	excellent	05/20/2014, 00:00:00	RU
Europe/Rome	43.1122	12.38878	accep	2016/11/24	IT
Indian/Antananarivo	-19.65	47.31667	building	29 Apr 2021	MG
Asia/Jerusalem	31.39547	34.75699	average	2015/08/09	IL
America/Sao_Paulo	-17.74431	-48.62789	good	18 Jun 2016	BR
Asia/Karachi	27.52948	68.75915	average	2014/09/13	PK
Asia/Manila	12.97389	123.99333	building	2021/10/19	PH
Europe/Paris	48.77644	2.29026	excellent	08 Jan 2022	FR
America/Chicago	36.61033	-88.31476	average	2015/10/02	US
Europe/London	51.38673	0.30367	good	2016-09-26	GB
Europe/Rome	43.1122	12.38878	average	2015-01-16	IT
Asia/Yekaterinburg	51.78771	56.36091	accep	2014/07/24	RU
Africa/Dar_es_Salaam	-4.83	29.65806	good	2019/03/01	TZ
America/Chicago	41.84364	-87.71255	good	05/17/2015, 00:00:00	US
Africa/Lubumbashi	-8.73508	24.99798	excellent	2022/08/29	CD
Africa/Bangui	4.94273	15.87735	average	2020-01-19	CF
Europe/London	52.66277	-2.01111	excellent	2013/09/17	GB
Europe/Rome	41.72063	12.6723	good	02/04/2015, 00:00:00	IT
America/Chicago	32.52515	-93.75018	building	2022/02/19	US
Asia/Kolkata	25.92127	86.79271	accep	2020-09-21	IN
Asia/Shanghai	35.50056	117.63083	average	10/14/2019, 00:00:00	CN
America/New_York	39.43534	-84.20299	building	2021-09-16	US
America/Chicago	41.8542	-87.66561	accep	05/08/2017, 00:00:00	US
Asia/Dushanbe	38.55632	69.01354	good	2018-03-27	TJ
Europe/Moscow	43.35071	46.10925	average	2019/05/28	RU
Europe/Rome	43.78956	7.60872	good	2016-07-02	IT
Europe/Moscow	44.98901	38.94324	average	04 Feb 2015	RU
Asia/Kolkata	26.2649	81.54855	good	2013-01-03	IN
America/Argentina/Buenos_Aires	-34.74785	-58.70072	good	11/24/2012, 00:00:00	AR
Asia/Kolkata	25.75728	75.37991	average	2021-09-08	IN
Europe/London	53.38333	-0.76667	building	05/18/2021, 00:00:00	GB
Indian/Antananarivo	-21.15	46.58333	good	01/12/2022, 00:00:00	MG
Indian/Reunion	-20.88231	55.4504	building	2014-09-04	RE
Asia/Tokyo	33.4425	129.96972	excellent	03/18/2018, 00:00:00	JP
Europe/Madrid	43.31667	-2.68333	building	10 Mar 2013	ES
Europe/Moscow	54.84444	38.16694	average	22 Jan 2016	RU
Asia/Kolkata	22.10194	85.37752	average	29 Dec 2019	IN
Asia/Jakarta	-8.43333	114.33333	good	2020/01/21	ID
Asia/Bishkek	40.93333	73	good	10/30/2019, 00:00:00	KG
Asia/Kolkata	9.82564	78.25795	building	10/04/2016, 00:00:00	IN
Europe/Paris	48.77275	5.16108	good	2017-04-03	FR
Africa/Lagos	11.86064	9.0027	good	2015/08/20	NG
Europe/Rome	42.67164	14.01481	good	04/19/2016, 00:00:00	IT
Europe/London	53.0233	-1.48119	accep	08/14/2015, 00:00:00	GB
Europe/Berlin	52.47774	10.5511	accep	2022/09/17	DE
America/Mexico_City	19.64745	-102.04897	excellent	2013-01-30	MX
Africa/Porto-Novo	8.88649	2.59753	good	2020/12/09	BJ
America/New_York	42.58342	-71.8023	good	2015/03/15	US
Africa/Cairo	26.67319	31.4976	excellent	2019/09/25	EG
Europe/Berlin	50.64336	7.2278	good	12/14/2016, 00:00:00	DE
Asia/Baku	38.45598	48.87498	excellent	26 Sep 2019	AZ
America/New_York	39.71734	-74.96933	good	07 Dec 2012	US
America/New_York	33.98154	-81.23621	average	2020-06-18	US
Europe/London	51.64316	-0.36053	maintenance	11/26/2012, 00:00:00	GB
Europe/Paris	45.51667	4.86667	good	08/19/2015, 00:00:00	FR
Asia/Manila	14.95472	120.89694	accep	23 May 2015	PH
Europe/Madrid	41.91738	3.1631	accep	2019/09/16	ES
Asia/Yekaterinburg	55.75556	60.70278	building	2018/07/21	RU
Africa/Lagos	12.74482	4.52514	excellent	2020-10-28	NG
America/Glace_Bay	46.1351	-60.1831	good	06/26/2022, 00:00:00	CA
America/Bogota	5.20856	-74.73584	average	2019-11-18	CO
Europe/Moscow	60.02427	30.28491	building	2013-04-24	RU
America/New_York	39.33427	-76.43941	excellent	08 Nov 2021	US
Asia/Manila	12.97389	123.99333	accep	2013-03-21	PH
Europe/Paris	48.86667	2.08333	good	2021-04-09	FR
Europe/Moscow	54.39304	53.26023	building	23 Oct 2015	RU
Australia/Sydney	-33.75881	150.99292	good	2015/11/30	AU
Asia/Yangon	14.0823	98.19151	maintenance	10/22/2016, 00:00:00	MM
Europe/Berlin	51.168	7.973	excellent	2019-08-28	DE
Pacific/Auckland	-44.39672	171.25364	excellent	2017-07-31	NZ
America/Los_Angeles	36.20829	-115.98391	building	07/26/2018, 00:00:00	US
Europe/Helsinki	60.2052	24.6522	building	2017-02-13	FI
Europe/Berlin	51.30001	13.10984	good	07 Jun 2013	DE
America/Los_Angeles	33.52253	-117.70755	good	19 Feb 2020	US
Europe/Paris	44.80477	-0.59543	accep	2014-01-02	FR
America/Detroit	42.7392	-84.62081	average	05/22/2022, 00:00:00	US
Asia/Tashkent	41.29444	69.67639	maintenance	05/22/2020, 00:00:00	UZ
Europe/Kiev	51.67822	33.9162	excellent	2020/07/06	UA
Asia/Jakarta	-7.0981	109.3243	excellent	2015-04-04	ID
Europe/Paris	45.51667	4.86667	building	2015/04/25	FR
Europe/Istanbul	37.58105	29.26639	good	2017/07/11	TR
Asia/Bishkek	40.93333	73	average	05/15/2022, 00:00:00	KG
Africa/Lagos	9.58126	8.2926	building	2015/08/16	NG
Europe/Moscow	54.8421	46.5813	good	01/24/2015, 00:00:00	RU
Asia/Yakutsk	65.93381	111.4834	excellent	08/25/2018, 00:00:00	RU
Europe/Amsterdam	53.16167	6.76111	average	2016/07/10	NL
Africa/Lubumbashi	-8.73508	24.99798	average	2022/06/28	CD
Asia/Shanghai	46.08333	122.08333	building	2020-04-24	CN
America/Edmonton	53.51684	-113.3187	maintenance	2014-03-16	CA
America/Maceio	-10.91111	-37.07167	excellent	2013-08-12	BR
America/Caracas	10.22677	-67.33122	excellent	2021-03-22	VE
Asia/Kolkata	15.5439	73.7553	good	26 Feb 2015	IN
America/New_York	38.70734	-77.02303	excellent	2018-01-02	US
Asia/Kolkata	20.88197	85.83334	excellent	02/25/2019, 00:00:00	IN
Europe/Rome	41.24264	16.50104	average	02/19/2014, 00:00:00	IT
Europe/Moscow	57.97472	33.2525	excellent	2021-10-13	RU
America/Indiana/Indianapolis	39.78504	-85.76942	average	2021-05-15	US
Asia/Manila	6.33444	124.95278	acceptable	05 Mar 2015	PH
Europe/Madrid	37.13548	-3.67029	good	2013/07/22	ES
America/Denver	40.34912	-111.90466	good	2014-06-06	US
America/Havana	20.14298	-77.43532	average	23 Apr 2020	CU
Europe/Berlin	51.168	7.973	average	2016/09/11	DE
America/New_York	40.82232	-74.15987	excellent	03 Aug 2017	US
Asia/Shanghai	27.85	112.9	accep	05/27/2018, 00:00:00	CN
Europe/London	53.38333	-0.76667	average	2020-05-23	GB
America/Los_Angeles	46.32374	-120.00865	average	22 Oct 2015	US
Atlantic/Azores	37.74615	-25.66689	accep	2013/08/24	PT
Asia/Kolkata	25.49043	85.94001	excellent	03 Apr 2015	IN
America/Argentina/Ushuaia	-54.8	-68.3	good	2022/07/22	AR
Europe/Berlin	51.20219	7.36027	accep	17 Nov 2013	DE
Africa/Johannesburg	-27.76952	30.79165	average	2019-05-07	ZA
Asia/Shanghai	34.56861	105.89333	accep	2021-07-18	CN
America/New_York	28.90054	-81.26367	average	08/12/2021, 00:00:00	US
Asia/Bangkok	15.46063	99.89166	average	2019/04/28	TH
Europe/Berlin	50.80019	7.20769	accep	2013/02/19	DE
America/New_York	26.91756	-82.07842	good	2018-04-21	US
Europe/Berlin	50.9803	11.32903	average	2019/05/19	DE
America/Denver	32.42067	-104.22884	average	11 Mar 2013	US
Asia/Tokyo	36.53333	136.61667	excellent	14 Jun 2017	JP
Asia/Shanghai	30.35028	112.19028	maintenance	06/30/2018, 00:00:00	CN
America/New_York	33.08014	-83.2321	average	04 Aug 2019	US
America/Chicago	45.0408	-93.263	excellent	2015/03/09	US
Africa/Tripoli	30.75545	20.22625	good	26 Sep 2015	LY
Africa/Lubumbashi	0.76755	24.43973	good	2013-11-06	CD
Europe/London	53.7446	-0.33525	excellent	2019-04-25	GB
America/Bogota	4.73245	-74.26419	average	07 Feb 2022	CO
Asia/Seoul	37.1759	128.9889	good	10/31/2019, 00:00:00	KR
Asia/Tehran	35.6803	51.0193	acceptable	03 Sep 2018	IR
Asia/Karachi	32.57756	71.52847	average	2020/02/07	PK
America/Phoenix	33.50921	-111.89903	average	2020/04/16	US
Africa/Dar_es_Salaam	-7.76667	35.7	good	06/02/2014, 00:00:00	TZ
Europe/Prague	50.23271	12.87117	average	13 Dec 2019	CZ
Asia/Jakarta	3.3285	99.1625	accep	12 Mar 2016	ID
America/Chicago	36.61033	-88.31476	average	2022-06-27	US
Europe/Madrid	38.68712	-4.10734	average	2014-09-12	ES
Europe/Istanbul	40.98894	28.67582	building	2017/12/14	TR
Asia/Karachi	29.38242	70.91106	average	08/30/2016, 00:00:00	PK
America/Caracas	10.22677	-67.33122	average	31 Mar 2018	VE
Africa/Johannesburg	-27.76952	30.79165	accep	08/04/2020, 00:00:00	ZA
Pacific/Auckland	-44.39672	171.25364	good	15 Dec 2014	NZ
America/Chicago	32.44874	-99.73314	average	2013-12-17	US
Europe/Madrid	38.68712	-4.10734	building	11/04/2015, 00:00:00	ES
America/Chicago	33.45122	-86.99666	good	2014/03/27	US
Europe/Lisbon	41.1053	-7.32097	good	23 Mar 2019	PT
America/Los_Angeles	47.64995	-117.23991	building	11/24/2013, 00:00:00	US
Europe/Berlin	51.21667	6.26667	accep	10/07/2017, 00:00:00	DE
Asia/Karachi	27.52948	68.75915	excellent	29 Aug 2021	PK
Europe/Belgrade	44.22639	22.53083	excellent	2020/09/09	RS
Asia/Shanghai	36.81667	117.81667	accep	2015-03-17	CN
Asia/Bangkok	15.79408	104.1451	accep	2013/05/01	TH
America/Chicago	26.18924	-98.15529	building	2019/12/07	US
Asia/Yekaterinburg	58.04254	65.27258	good	2019/11/30	RU
Europe/Warsaw	54.60528	18.34717	good	30 Sep 2019	PL
America/Panama	9.15093	-79.62098	accep	2022-02-28	PA
America/Vancouver	50.26729	-119.27337	excellent	10/15/2016, 00:00:00	CA
Asia/Tokyo	36.33011	138.89585	accep	2017/07/30	JP
Europe/London	55.82885	-4.21376	excellent	08 Aug 2022	GB
Asia/Manila	10.31672	123.89071	building	08 Apr 2014	PH
Europe/Brussels	51.24197	4.82313	accep	2015/02/09	BE
Europe/Madrid	39.96348	-4.83076	accep	02/09/2014, 00:00:00	ES
Asia/Manila	10.20898	123.758	accep	08/04/2020, 00:00:00	PH
Asia/Karachi	32.87533	71.57118	maintenance	2013/12/21	PK
Europe/Skopje	41.92361	20.91361	accep	12 Jun 2019	MK
America/Maceio	-10.91722	-37.65	excellent	01/19/2015, 00:00:00	BR
Asia/Shanghai	29.98869	122.20488	good	2018-07-15	CN
Africa/Addis_Ababa	6.03333	37.55	maintenance	14 Jun 2015	ET
America/Mexico_City	20.74122	-100.44843	good	2014/05/04	MX
Asia/Shanghai	27.34089	117.4831	building	02/19/2019, 00:00:00	CN
America/Santarem	-3.20333	-52.20639	average	2014-05-19	BR
Asia/Manila	10.7375	122.9666	good	2022-06-07	PH
Asia/Jakarta	-1.6	103.61667	excellent	01/22/2016, 00:00:00	ID
Asia/Kolkata	27.9247	78.40102	accep	2015-03-01	IN
Europe/Berlin	50.82709	6.9747	accep	18 Apr 2017	DE
Asia/Shanghai	35.64889	117.27583	average	09/27/2016, 00:00:00	CN
Asia/Bangkok	14.64056	104.64992	average	08/21/2013, 00:00:00	TH
Asia/Kolkata	23.49668	86.68363	building	2013-04-09	IN
Asia/Jerusalem	31.92923	34.86563	excellent	02/25/2022, 00:00:00	IL
America/New_York	43.61062	-72.97261	accep	02/28/2021, 00:00:00	US
Asia/Kuala_Lumpur	5.4709	100.24529	excellent	2019-02-09	MY
Asia/Shanghai	34.86472	117.55417	average	23 Feb 2022	CN
America/Los_Angeles	34.95303	-120.43572	good	11 May 2016	US
America/Sao_Paulo	-21.41222	-42.19667	maintenance	17 Oct 2018	BR
Europe/Moscow	55.63711	37.38115	accep	2018/06/14	RU
Asia/Barnaul	53.30972	83.62389	accep	2013/03/25	RU
America/New_York	40.65538	-74.38987	average	2018-03-16	US
America/New_York	41.48199	-81.79819	excellent	08 Oct 2014	US
Europe/Moscow	59.80917	30.38167	average	14 Jul 2015	RU
Europe/Paris	43.71032	-1.05366	maintenance	2019-07-20	FR
Asia/Tokyo	35	136.51667	average	2012/11/29	JP
America/Phoenix	33.35283	-111.78903	good	11/13/2015, 00:00:00	US
Asia/Dushanbe	38.55632	69.01354	accep	24 Sep 2013	TJ
America/New_York	40.67705	-73.89125	building	07 May 2016	US
Australia/Sydney	-33.88096	151.07986	maintenance	11 Oct 2014	AU
Europe/London	52.66277	-2.01111	average	2012/11/16	GB
America/Los_Angeles	33.7207	-116.21677	building	2019-11-25	US
Europe/Berlin	49.03685	8.70745	average	2013-08-26	DE
Europe/Paris	46.67535	5.55575	accep	2016/10/31	FR
America/Chicago	33.41012	-91.06177	excellent	10/08/2021, 00:00:00	US
America/New_York	27.71809	-82.35176	maintenance	08 May 2015	US
Asia/Tokyo	33.3213	130.94098	good	2021/08/03	JP
Asia/Kolkata	26.11527	86.59509	accep	2013/10/18	IN
Asia/Kolkata	9.82564	78.25795	excellent	10 Dec 2019	IN
Europe/Paris	46.67535	5.55575	excellent	08/11/2015, 00:00:00	FR
Europe/Chisinau	48.15659	28.28489	excellent	2019-07-01	MD
Asia/Bangkok	13.44581	101.18445	excellent	25 Aug 2016	TH
Europe/London	51.78967	1.15597	average	09/26/2014, 00:00:00	GB
Europe/Prague	50.50301	13.63617	building	06/24/2019, 00:00:00	CZ
America/Mexico_City	17.94979	-94.91386	average	2018/01/09	MX
Europe/Paris	43.61092	3.87723	good	26 Jun 2016	FR
Asia/Kolkata	23.07492	88.28637	good	2021/04/14	IN
Africa/Algiers	36.61954	4.08282	good	08/09/2013, 00:00:00	DZ
America/Toronto	45.4473	-73.75335	accep	09 Aug 2017	CA
Europe/Istanbul	37.05944	37.3825	good	04/28/2015, 00:00:00	TR
Asia/Colombo	6.9909	79.883	excellent	12 Mar 2017	LK
Asia/Bangkok	8.43333	99.96667	good	02/15/2021, 00:00:00	TH
Asia/Kolkata	15.45144	78.14797	good	13 Jun 2022	IN
Europe/Moscow	55.39485	43.83992	accep	09/20/2014, 00:00:00	RU
Asia/Yangon	14.0823	98.19151	accep	10 Aug 2022	MM
Asia/Kolkata	9.57046	76.32756	building	2017/01/04	IN
America/New_York	39.96097	-75.60804	accep	04/23/2019, 00:00:00	US
America/New_York	42.52787	-70.92866	maintenance	2014-10-28	US
America/Mexico_City	19.32889	-99.32556	average	27 Sep 2014	MX
Asia/Kolkata	25.13915	73.06784	average	11/12/2018, 00:00:00	IN
Europe/Warsaw	50.86079	17.4674	excellent	2019-06-13	PL
America/New_York	39.08367	-84.50855	accep	2020-04-04	US
Europe/Paris	43.61092	3.87723	building	2021/04/11	FR
America/Sao_Paulo	-19.32556	-41.25528	excellent	08/04/2014, 00:00:00	BR
Asia/Damascus	35.95664	36.7138	good	04/07/2019, 00:00:00	SY
America/Mexico_City	19.8173	-97.35992	average	2019/04/30	MX
Asia/Jakarta	-7.73379	113.69785	good	11/03/2016, 00:00:00	ID
America/Port-au-Prince	18.57677	-72.22625	accep	29 Jul 2022	HT
Europe/Amsterdam	51.44889	5.51978	average	01/09/2019, 00:00:00	NL
Europe/Berlin	51.88333	8.51667	excellent	2020-10-06	DE
Asia/Manila	6.33444	124.95278	maintenance	19 Sep 2017	PH
Europe/Lisbon	41.20485	-8.33147	average	13 May 2018	PT
Asia/Bangkok	6.25947	102.05461	building	09/05/2019, 00:00:00	TH
Asia/Shanghai	41.94175	123.50266	accep	22 Dec 2018	CN
Asia/Manila	14.62578	121.12251	accep	04/03/2022, 00:00:00	PH
Asia/Kolkata	15.5439	73.7553	good	08/18/2022, 00:00:00	IN
Australia/Melbourne	-38.16604	145.13643	good	2014/06/08	AU
Asia/Almaty	47.46657	84.87144	maintenance	2016/04/23	KZ
Asia/Kolkata	28.98002	77.70636	accep	30 Jun 2013	IN
Europe/Madrid	38.10558	-1.86343	building	16 May 2020	ES
Europe/Moscow	53.53395	33.72798	accep	07 Nov 2018	RU
Asia/Yerevan	40.49748	44.7662	building	2021-09-06	AM
Africa/Cairo	31.20176	29.91582	average	2016/09/23	EG
Europe/Paris	43.67681	4.63031	good	2012-11-01	FR
Europe/Brussels	51.03427	5.37429	good	15 Mar 2019	BE
America/New_York	40.63316	-74.13653	building	2020-01-05	US
America/Guayaquil	-2.90055	-79.00453	accep	22 Sep 2017	EC
Europe/Berlin	53.59337	9.47629	accep	2018-09-10	DE
America/Detroit	42.7392	-84.62081	average	11/30/2018, 00:00:00	US
America/Mexico_City	17.06542	-96.72365	building	2012/12/06	MX
Africa/Lagos	7.50251	5.06258	excellent	07 Mar 2018	NG
Australia/Melbourne	-37.88333	145.06667	accep	2016-10-10	AU
Europe/Berlin	48.21644	9.02596	good	11 Dec 2012	DE
Asia/Shanghai	34.86472	117.55417	average	2020-01-26	CN
Europe/Belgrade	44.22639	22.53083	good	2013-11-17	RS
America/Bahia	-11.48472	-37.93278	average	04/10/2014, 00:00:00	BR
Asia/Karachi	31.96258	73.97117	building	2018/08/08	PK
Europe/Istanbul	38.13708	41.00817	accep	04 Jan 2017	TR
Europe/Moscow	60.02427	30.28491	excellent	08 Jun 2017	RU
America/Argentina/Buenos_Aires	-34.64966	-58.38341	good	10/09/2018, 00:00:00	AR
Asia/Tashkent	41.29444	69.67639	excellent	2019/02/05	UZ
Europe/Moscow	53.77166	38.12408	accep	2019/01/20	RU
Asia/Tokyo	41.77583	140.73667	good	09/30/2014, 00:00:00	JP
Asia/Seoul	36.6009	126.665	accep	10/06/2013, 00:00:00	KR
Asia/Shanghai	27.34089	117.4831	good	07/09/2018, 00:00:00	CN
Asia/Karachi	27.55898	68.21204	maintenance	2013/04/14	PK
Europe/Kiev	50.18545	27.06365	good	2016/07/19	UA
Africa/Dar_es_Salaam	-10.33333	39.28333	average	2017-10-29	TZ
Europe/London	53.69786	-2.68758	average	08/13/2022, 00:00:00	GB
America/New_York	37.60876	-77.37331	accep	13 Jan 2018	US
Asia/Kolkata	28.71271	77.656	building	10/17/2012, 00:00:00	IN
Africa/Khartoum	11.8659	34.3869	average	2019-05-30	SD
Europe/Moscow	53.77166	38.12408	good	02 Feb 2021	RU
Europe/Istanbul	37.31309	40.74357	building	2020/06/04	TR
Asia/Kolkata	29.22254	79.5286	average	2022-05-03	IN
Europe/Amsterdam	51.955	5.22778	average	16 Mar 2018	NL
America/Cuiaba	-14.66463	-52.35558	excellent	04/20/2016, 00:00:00	BR
Europe/London	50.7236	-3.52751	excellent	01/28/2020, 00:00:00	GB
Africa/Cairo	31.20176	29.91582	maintenance	2017/06/16	EG
Europe/Kiev	51.67822	33.9162	good	24 Mar 2021	UA
Europe/Moscow	44.92934	37.99117	accep	16 Feb 2018	RU
Europe/Rome	40.92298	14.30935	maintenance	2020/04/19	IT
Europe/Berlin	48.28259	9.72749	average	2022/07/31	DE
Asia/Yekaterinburg	60.97944	76.92421	building	09/27/2012, 00:00:00	RU
Asia/Manila	12.35275	121.06761	good	01/11/2020, 00:00:00	PH
Asia/Shanghai	40.66482	122.22833	good	2015-03-23	CN
Europe/Lisbon	41.1053	-7.32097	accep	04/16/2017, 00:00:00	PT
America/Mexico_City	19.8173	-97.35992	good	2016/02/23	MX
Europe/Berlin	49.97704	9.15214	good	2017/11/01	DE
America/Fortaleza	-4.42472	-41.45861	average	2013/12/25	BR
Asia/Shanghai	45.35	126.28333	good	06 Jan 2016	CN
America/Costa_Rica	10.63504	-85.43772	average	03/08/2013, 00:00:00	CR
America/Montevideo	-33.38056	-56.52361	good	2017-05-08	UY
America/Port_of_Spain	10.66668	-61.51889	good	13 Jun 2014	TT
America/New_York	43.91452	-69.96533	excellent	28 Aug 2020	US
Europe/Paris	48.90472	2.2469	average	2017/08/07	FR
Asia/Jakarta	-7.57897	112.23109	average	2021/08/09	ID
America/New_York	41.27621	-72.86843	building	05 Jun 2015	US
Europe/Warsaw	50.86079	17.4674	average	2020-11-19	PL
America/Chicago	35.74788	-95.36969	average	2016-02-13	US
