latitude	O3	CO	PM10	CH4	PAHs	CFCs	warning	TEMP	PM2.5	longitude	PRES	H2CO	NOx	SO2	C2H3NO5	Pb	NH3
17.06542	8.03708	9.02898	7.40266	6.61236	8.04775	44.64978	1.00000	17.34766	7.76254	-96.72365	1197.55225	62.98121	6.14015	9.19459	3.54258	77.56439	6.31058
14.66	8.99654	6.85392	7.45767	8.56829	5.80258	33.94971	0.00000	16.00883	7.57895	120.56528	1087.73555	39.35832	7.84358	8.48688	3.38404	48.03817	6.41312
35.8	5.74829	7.71743	7.47071	5.03535	6.22019	54.88914	0.00000	9.50337	8.56401	137.23333	1199.54206	45.10195	7.21042	9.10302	3.56828	51.60827	10.61708
68.79833	6.52273	7.37445	6.06718	5.65512	7.37895	54.87314	0.00000	17.25319	8.89286	16.54165	1190.21197	37.95282	7.52886	9.48252	2.55232	79.41237	10.68646
-22.97056	8.33007	7.86586	6.36649	6.31801	8.75243	46.80529	1.00000	22.49226	7.33335	-46.99583	1090.90307	51.46390	8.32995	10.55305	2.42909	70.98756	9.39366
28.15112	8.56516	8.92153	5.52277	8.53684	4.84569	19.09867	0.00000	20.11405	9.41291	-82.46148	1097.59545	61.85192	8.33834	6.41796	3.17205	42.84651	6.08706
52.21099	8.52678	8.92837	6.68910	7.57930	2.50797	28.01565	0.00000	21.14521	8.71753	7.02238	1188.06549	55.45986	7.34475	5.99891	3.83430	44.32334	7.32644
48.98333	3.70387	8.53581	7.30480	4.51444	7.85716	59.76575	1.00000	8.96072	8.44868	2.61667	1096.74669	38.39719	7.89852	8.36627	2.96482	48.07919	6.77511
43.35071	6.97483	9.18625	6.35364	7.35298	6.19790	42.36653	0.00000	5.40591		46.10925	1193.73938	43.41655	6.70479	8.16587	1.43474	56.74092	9.37060
53.51684	5.97978	7.95682	7.12736	7.19769	5.93424	33.08313	1.00000	8.83992	5.37918	-113.3187	1115.49617	42.47356	8.66056	7.35660	2.53511	60.99679	4.81217
48.28259	6.58613	6.53488	4.83937	8.62360	5.37699	26.42453	1.00000	32.02215	3.68362	9.72749	1117.30263	56.20429	6.41610	7.83036	3.42256	65.97169	
14.46693	9.22391	7.87880	6.48460	9.04956	8.04690	39.70929	0.00000	18.19049	8.42653	75.92694	1174.41728	46.88622	8.55263	9.06562	2.10334	69.50671	5.03016
47.46657	8.97195	7.82531	9.86276	5.36811	9.65037	19.33356	1.00000	13.49506	6.77701	84.87144	1114.91090	49.46581	6.40768	10.63011	25.45710	38.49681	9.00984
61.72744	9.35853	7.66333	9.53081	6.22326	9.36671	37.79044	1.00000	9.62449	7.96253	17.10558	1166.34794	41.65639	7.30832	9.55760	17.53177	46.85278	9.98941
15.58552	8.87212	8.23643	8.20007	6.73689	6.20185	49.22614	1.00000	16.23046	5.95525	102.42587	1056.80068	59.33262	7.43323	8.28709	6.37105	39.19513	6.25959
48.98333	9.38620	6.98100	7.99055	10.48299	8.76093	60.34355	0.00000	10.29260	11.88740	2.61667	1187.24495	53.57622	7.99093	4.62935	5.11930	31.14867	7.83978
32.17629	7.47728	9.51768	6.02118	2.92352	5.06937	49.71728	1.00000	14.92749	5.57713	75.06583	1102.36353	46.68512	7.99476	9.43022	2.44995	56.57583	6.10393
-26.22861	10.31934	7.10730	6.14429	9.51680	7.00207	22.73298	0.00000	9.29533	10.16489	-52.67056	1051.45493	49.14707	7.56393	3.21497	2.67103	60.69901	7.61963
-5.41667	9.90615	7.67307	7.99747	9.42095	7.24584	50.35614	0.00000	17.84407	9.62849	38.01667	1131.87086	40.62244	6.84030	4.57165	5.34001	42.59912	5.89529
37.30553	4.80860	8.19556	5.71585	5.61892	4.94063	38.53251	0.00000	7.22388	6.18581	120.82747	1165.42614	29.26747	7.34357	9.04318	1.71113	52.46166	8.57802
27.0174	9.62746	8.17458	7.76514	7.43271	5.63849	56.05366	1.00000	9.12033	5.25079	49.62251	1068.68822	38.95402	7.10126	11.11687	3.91603	41.67835	7.36491
14.62072	6.66098	8.54870	8.00681	7.99782	7.04008	61.62844		28.55569	6.94262	74.83554	1085.18685	65.94493	7.86375	6.07084	5.86614	56.58008	5.28259
42.16808	9.63640	8.36985	8.20864	10.03193	6.78955	57.00863	0.00000	16.54100	9.38604	-88.42814	1095.96835	61.76024	6.24193	4.48291	5.36644	54.83681	6.93025
50.23019	10.74011	7.65119	7.72027	5.18997	10.27823	44.88940	1.00000		4.73311	8.77155	1084.37940	51.96287	8.18520	8.42029	4.09893	42.12936	9.15233
10.66668	6.42368	8.61528	6.68230	9.31898	6.14397	35.49971	1.00000	21.72088	5.53442	-61.51889	1151.69752	46.49019	10.52049	8.53290	1.80356	46.36303	5.79812
29.84576	7.33525	8.08816	8.30200	8.88780	9.66416	43.49677	1.00000	29.83415	5.17484	-90.10674	1190.98155	50.14930	7.12671	7.91487	6.25285	28.81621	6.29189
42.64031	9.24373	9.07373	6.61531	8.39545	5.06264	68.51645	0.00000	-11.72163	8.84127	125.51176	1114.18694	40.71835	8.46429	6.19778	3.55124	42.72008	6.64883
55.8736	6.04579	7.56339	7.61873	7.88782	6.57770	38.15547	0.00000	11.69255	6.87497	85.4265	1124.49612	45.56066	7.20413	7.16595	4.74126	54.77579	5.62857
49.65186	7.85212	6.64566	7.89505	6.39565	6.97051	46.77199	1.00000	10.22310	8.87742	26.97253	1154.93494	33.55650	8.28584	10.40470	5.53885	70.46631	8.10662
16.06213	4.74376	8.79958	7.70964	7.79545	6.85017	51.41153	1.00000	18.03618	7.55950	76.0586	1095.55148	53.11671	7.91690	7.68894	3.93165	56.00114	5.97194
5.27247	8.12424	6.78780	7.85145	9.47131	7.13495	30.79456	0.00000	5.10184	10.63702	-3.59625	1148.98082	41.21408	8.39223	8.06160	5.99223	48.47679	5.44363
51.82721	10.84404	7.52246	7.27310	4.31859	8.78771	60.75596	1.00000	19.51959	7.25236	107.60627	1068.83297	41.99277	7.98191	9.81741	3.78902	56.99768	11.13745
55.64776	4.07373	8.43305	8.53962	6.20725	7.44337	41.90611	1.00000	23.04362	7.12040	38.02486	1111.37804	45.74576	6.56044	4.45708	7.57108	66.13220	4.16765
19.8173	9.29306	7.87733	6.46909	7.74795	8.52258	47.94282	0.00000	5.13209	11.32333	-97.35992	1131.07278	35.96316	8.72606	9.27737	2.32784	40.65237	10.10909
36.81667	10.35766	8.25780	5.60290	9.16416	7.06817	51.88624	0.00000	22.70787	10.43956	117.81667	1147.87801	25.40376	8.09317	4.36050	2.15428	56.05108	8.62714
42.35843	5.79240	8.64360	8.03043	7.80823	6.82284	62.94144	1.00000	4.37228	6.71637	-71.05977	1195.08802	58.74631	6.57445	8.06349	5.43458	35.79761	6.11515
54.03876	7.89650	6.89019	8.19633	7.73103	5.95002	44.66164	0.00000	10.99872	10.20637	43.91385	1080.39986	20.61591	7.17115	7.10392	6.18155	61.40986	10.15078
38.96372	8.89432	8.63083	7.82717	7.63286	7.99921	23.72315	1.00000	9.85274	8.25335	-76.99081	1127.79282	55.49175	8.57837	8.15532	4.48350	61.61172	9.17674
34.9	9.97045	6.63214	7.30709	5.21060	9.77966	57.31435	1.00000	30.77701	5.15257	137.5	1130.75634	32.77628	8.22790	10.26029	3.55787	48.08124	10.99532
4.94273	9.92636	7.45318	8.29848	10.70271	9.30824	70.42610	0.00000	22.40482	11.62220	15.87735	1120.89744	47.91953	9.57211	3.66969	6.25555	53.10511	8.56997
29.53885	11.95418	7.75102	8.62219	4.20794	7.55214	49.43188	1.00000	12.26529	7.12132	-95.44744	1131.86526	20.03266	6.77415	8.27961	9.20572	56.43358	11.72024
64.5635	8.93217	7.06159	7.46686	7.14823	9.49961	62.67554	0.00000	-6.13320	9.89386	39.8302	1145.19231	39.63361	9.62771	10.55938	3.28163	54.72304	9.74202
33.03699	8.57589	6.01901	7.30897	6.29945	10.29809	49.52396	1.00000	10.04955	5.97142	-117.29198	1089.76717	62.05522	9.23353	10.57361	3.56392	52.50380	9.70137
52.41667	3.76001	8.23155	8.06430	6.33873	6.58686	50.38548	1.00000	6.03682	6.54115	0.75	1095.62861	46.56422	9.30309	10.56796	5.94240	23.42042	6.70889
21.46527	5.61079	6.50588	6.47114	8.99597	5.23213	49.16372	1.00000	9.76800	4.37874	83.97573	1155.41665	17.74284	7.90804	7.64023	3.09487	50.59435	4.01458
51.21667	6.16698	6.46004	7.79181	9.82144	10.39947	53.80556	1.00000	-1.27831	2.78868	6.26667	1133.47022	27.97861	7.65822	8.65499	5.96232	62.81143	6.15610
-7.01833	6.12466	7.30824	9.23400	7.01276	6.73184	49.81154	1.00000	-6.38940	6.38406	107.60389	1180.24641	55.77246	7.53414	7.40074	13.86857	51.48807	5.65820
40.55851	6.20305	8.19360	6.50732	6.52122	6.26030	48.20019	0.00000	16.57326	8.39504	17.80774	1116.83529	60.09747		9.44800	3.80662	63.80215	9.31539
41.63976	10.92774	7.79280	7.98058	4.61554	9.00974	47.14788	1.00000	24.89348	5.41758	2.35739	1118.70714	32.74819	6.22445	9.48795	5.90235	69.24818	11.32492
32.50611	3.38538	6.43459	6.27660	3.79350	2.54664	74.50658	0.00000	-4.77475	4.11146	120.14278	1137.89527	37.62365	9.22784	7.50261	2.95265	73.36866	9.84114
48.98333	9.93991	7.75384	7.91655	8.81890	6.63321	50.23294	0.00000	10.83122	7.96158	2.61667	1117.71961	43.16667	7.98967	6.84798	4.81227	63.53672	7.11366
54.39635	10.59346	8.43889	6.81847	6.91924	9.55991	43.12402	1.00000	19.53629	5.28856	24.04142	1094.41455	58.54531	8.02407	5.91372	3.38744	56.55074	7.50740
44.73941	7.95732	7.58560	7.57257	7.19788	8.97034	30.74249	1.00000	19.59487	5.95722	-93.12577	1098.02193	32.94283	9.10482	9.89762	3.44943	79.79085	8.82886
6.46838	8.90447	8.66466	9.10004	6.86011	4.95654	40.72244	1.00000	18.74255	5.28774	-73.26022	1070.47631	40.15316	6.42415	9.02282	12.19377	52.12178	6.20238
10.20898	12.79655	8.20581	7.67700	8.57233	8.42369	64.18979	0.00000	14.67791	6.62511	123.758	1151.69311	65.46701	7.37735	3.17380	4.19215	42.49423	7.30255
37.19723	4.74022	7.98197	8.08645	5.94245	9.08453	30.82600	1.00000	7.18893	9.53674	122.05228	1095.80457	55.76464	8.26615	9.74807	4.70657	38.67688	8.46658
15.58552	5.16387	9.05489	7.98546	5.48326	6.83060	41.25819	0.00000	14.23183	8.81923	102.42587	1171.25203	8.10214	8.44931	10.14481	6.60058	70.95303	9.59925
52.61131	8.11286	7.37663	7.18304	8.39551	8.02415	17.25472	0.00000	-4.02522	9.90832	13.31783	1106.31281	42.99431	7.97233	10.23753	3.36783	55.46816	7.16435
-34.74785	7.48391	7.02650	8.20986	7.30403	6.17693	43.61246	1.00000	6.05910	6.14881	-58.70072	1136.47654	29.58219	9.49392	10.81429	6.57143	64.26796	7.24892
26.9423	5.87521	7.75241	6.27403	9.01683	10.36512	87.87447	1.00000	-7.72682	4.76424	68.11759	1165.20290	61.46232	8.29043	10.46723	2.74465	7.26253	7.07419
53.59337	4.42269	9.39012	8.92828	4.46919	9.05737	38.85013	1.00000	22.68339	9.12557	9.47629	1122.04127	43.48150	8.03492	9.88162	10.70548	42.81462	8.16697
7.62789	6.82705	8.33291	9.32577	6.71593	1.47644	36.18914	0.00000	16.46762	7.58721	4.74161	1122.42182	54.52042	8.43954	3.55347	15.47325	61.46901	12.45309
-6.48167	9.82508	7.58482	7.36967	6.87319	2.58464	57.33246	0.00000	17.16940	7.86044	106.85417	1137.18293	38.71298	9.71985	2.70191	4.08717	71.25932	5.86133
45.69558	10.37746	6.89404	8.93435	9.19059	9.07362	27.75001	0.00000	8.18238	7.82434	4.7934	1198.20083	46.34980	8.60749	8.70607	11.78658	62.76401	6.81270
41.72063	7.14295	8.86827	9.10172	7.02514	6.35062	73.69281	0.00000	32.23933	6.40108	12.6723	1079.55578	52.54714	7.63605	9.96758	12.74723	53.32636	6.83016
34.09668	9.62881	8.47993	7.88651	9.33092	8.85890	51.32195	0.00000	29.19509	7.59822	-117.71978	1075.00935	49.66553	7.19340	8.82292	4.43515	52.14027	5.75157
41.82143	8.93840	8.12337	8.71174	6.62391	9.80150	39.82104	1.00000	4.88445	4.77498	41.77921	1178.37828	64.95653	8.57040	9.67559	9.88747	63.66096	9.96826
-37.9	8.55805	7.01219	9.35083	7.34982	7.74751	46.94877	1.00000	30.22022	6.43151	145.18333	1114.37373	61.84304	8.88867	8.57690	15.06778	57.50222	8.52307
50.23805	6.77868	8.32701	8.48030	7.38884	9.59247	59.72745	1.00000	30.89137	6.49375	8.86704	1074.31267	74.71767	9.04667	11.13990	6.51648	45.99490	8.06762
50.26729	7.45438	7.21862	10.31070	7.87321	9.88803	58.64885	1.00000	1.78224	6.75075	-119.27337	1094.97754	39.35790	5.86925	9.18094	37.79037	34.15680	6.95565
40.37528	5.19040	4.87887	8.34966	4.44140	8.25850	49.74689	1.00000	25.15956	9.49796	28.88222	1076.11475	56.45059	8.48347	10.97283	6.61929	82.54521	8.92239
40.53123	5.71251	7.51768	7.90052	4.89459	6.81418	57.60587	1.00000	1.55185	7.13635	17.58522	1109.08510	51.12380	7.53154	8.74532	5.06607	53.26584	6.43170
37.31065	7.65471	7.99426	6.02800	7.99008	3.48454	38.51713	0.00000	9.18204	7.83242	13.57661	1108.73433	65.69417	8.26305	7.08120	2.18011	60.90186	4.58403
51.78967	6.31346	8.32831	6.54850	8.33283	9.79729	25.03858	1.00000	5.78978	6.90323	1.15597	1093.24774	42.96086	7.17893	11.02005	1.79812	72.21167	8.12334
40.2737	8.93897	7.28822	8.12160	9.88635	7.83265	37.07644	0.00000	11.59785	10.07942	-76.88442	1050.73406	65.12807	8.38317	6.80909	5.37048	59.44293	6.43908
38.40917	5.45621	8.13514	7.04641	3.34182		60.20798	1.00000	9.96497	5.38557	112.73333	1158.18840	39.54713	7.78871	7.73642	3.96032	42.52932	4.94247
25.80565	7.01315	8.44950	7.46980	8.69998	7.78548	50.68535	1.00000	5.30882	5.70565	68.49143	1098.25491	32.33259	7.76371	8.61303	4.66839	52.33555	6.89265
46.08333	10.30824	6.43377	7.66661	5.82761	10.59410	46.55194	1.00000	18.68301	6.45808	122.08333	1065.97078	38.51122	8.32208	9.15030	5.46174	47.23522	10.93571
40.72371	8.28814	8.55660	7.45139	7.15895	8.68486	61.59792	1.00000	33.59445	7.03414	-73.95097	1054.33457	41.37932	8.13040	9.15651	4.46610	33.80761	8.02027
-11.48472	8.68625	9.34088	8.10744	6.77557	7.88757	40.89268	1.00000	23.60659	6.90446	-37.93278	1146.30799	46.77365	7.27932	9.38168	7.37449	43.46239	9.31006
38.40917	8.91323	8.39389	8.58124	6.59028	9.85925	30.21377	1.00000	18.36929	6.57078	112.73333	1192.74391	44.92866	8.56556	9.38853	8.24504	50.70917	9.06223
37.31065	6.54938	6.44856	7.80509	8.68232	5.04478	58.02467	1.00000	0.27711	3.76682	13.57661	1125.48494	48.88122	7.99104	7.86727	5.39957	59.70408	4.16865
6.45407	5.33042	8.55730	7.54484	3.64509	7.08332	30.14689	0.00000	15.25589	6.23875	3.39467	1122.99375	50.19680	9.41724	10.90389	4.62392	70.50038	10.21666
-19.72806	6.58804	8.66676	7.28055	6.43713	7.36071	44.72457	0.00000	6.70851	10.05990	-50.19556	1186.64165	63.02449	5.85804	9.40692	3.93580	71.77129	9.61358
40.82232	4.64257	8.42038	7.93333	4.42722	5.18881	40.87294	0.00000	20.50167	5.34470	-74.15987	1104.27101	46.63865	8.32385	9.78067	5.44394	75.45808	8.98799
37.65639	10.84914	6.13792	7.64276	6.83090	9.43610	45.43767	1.00000	11.36508	5.43964	126.835	1166.67644	43.84973	7.88699	7.23122	4.80200	53.30179	11.13373
42.819	5.10214	7.49894	5.93213	5.27433	6.65234	51.25411	0.00000	-5.05797	6.56846	47.1192	1050.21219	45.17410	8.87476	10.96904	3.24026	70.06397	8.20522
54.84444	5.80477	8.02172	9.22480	6.71024	7.63896	69.42749	0.00000	8.81508	9.67623	38.16694	1098.31746	31.52563	8.11435	10.61549	13.68318	51.66417	8.46063
51.26	6.04329	7.30407	6.22460	6.60335	7.80226	35.61423	0.00000	-0.10759	10.38681	-2.1875	1119.19872	33.08993	7.11541	9.60141	2.12345	47.45840	10.14857
-1.26753	6.81371	8.14706	6.77489	7.02828	6.71861	41.23072	1.00000	18.44053	6.46902	116.82887	1156.89462	46.46823	8.19155	9.34115	3.64873	35.12331	6.63974
-54.8	7.26841	7.89796	8.12385	8.74985	11.70184	46.99772	1.00000	9.37906	3.67557	-68.3	1134.37665	52.45448	6.95962	8.57422	6.61337	77.02435	6.51616
6.95194	8.30570	8.60447	8.68561	6.74474	9.15875	39.35433	1.00000	3.84708	7.52267	121.96361	1147.55657	50.19908	8.13230	10.38150	8.36724	62.08017	9.75580
-23.85972	9.23850	8.38981	7.88938	6.70846	10.28448	28.71876	1.00000	15.38651	6.30915	35.34722	1177.24193	34.40113	6.59840	9.88597	5.19960	51.69475	11.04787
20.28527		6.29925	5.79384	6.39378	3.16729	44.41737	0.00000	-3.82709	6.83735	-103.42897	1108.42528	40.49508	9.08900	5.92256	2.41567	84.77896	9.35681
21.53889	7.10111	8.16350	6.99682	9.08873	5.35713	51.31928	1.00000	3.99927	5.29518	71.57737	1159.17032	51.48533	7.91931	9.13481	3.11525	68.38125	5.83496
49.03685	8.53531	10.22707	7.57254	6.87097	9.78687	68.67450	1.00000	13.65269	7.48429	8.70745	1092.79681	55.39000	5.24726	10.00919	2.79323	60.52960	10.00206
-24.19436	5.04181	8.95448	7.23926	8.34336	6.65074	50.88964	1.00000	28.29890	7.22760	29.00974	1051.21302	44.39855	5.98823	8.96629	3.81469	48.42391	6.65124
-8.99167	6.06084	7.82894	7.61184	7.28221	6.30825	53.70166	0.00000	8.54627	8.62354	125.21972	1088.92834	64.34962	8.48537	9.73958	4.20656	88.37523	8.01718
51.88333	7.20779	7.83178	6.98220	8.50817	5.11444	51.23351	0.00000	14.07712	8.22018	8.51667	1150.26885	52.42295	7.74058	9.95396	3.31533	37.75025	5.81747
44.59445	8.62290	8.15860	7.46952	6.91632	8.17122	54.65593	1.00000	24.12204	9.55077	11.04979	1053.40917	38.54152	8.06820	8.53920	4.36425	52.55947	7.29991
-19.7625	12.11566	7.68244	9.94932	4.92523	9.03546	36.93105	1.00000	14.11185	4.95447	-44.31389	1087.23029	35.52345	7.48629	7.28098	27.12451	43.61186	11.14826
5.6561	7.42057	7.76676	9.04598	8.81806	8.77318	50.30958	1.00000	10.49746	6.57926	-75.87877	1052.04048	38.08642	6.99078	8.20279	11.83910	66.55994	7.26938
40.68066	7.31153	9.18352	7.68748	5.58906	6.18853	51.91636	1.00000	26.24917	5.90175	-73.47429	1109.15245	65.51710	8.34734	9.71345	5.13788	60.93806	6.81049
-8.05389	9.60525	7.47937	7.13844	8.84705	6.74671	71.19706	0.00000	27.90989	8.32469	-34.88111	1051.49152	54.66487	6.58728	6.27936	3.93502	63.31019	6.04465
-33.79176	5.85881	6.68969	7.80804	5.82768	4.82309	33.16706	0.00000	18.01008	6.28048	151.08057	1089.17302	26.81742	9.07890	9.04118	4.81168	48.38282	9.68614
-8.05389	6.04022	9.00888	6.95606	4.94539	6.80524	43.19745	1.00000	16.08064	7.86600	-34.88111	1162.85575	68.98386	7.94169	8.87494	3.84720	60.22730	7.04166
43.48961	10.49191	8.61485	7.47239	5.07509	8.38737	49.28427	1.00000	26.05228	8.75955	-8.2194	1145.63888	54.43385	7.53441	9.19848	3.62987	54.16087	10.44500
40.70995	8.14226	6.26133	8.69114	8.28481	3.79827	54.09764	0.00000	5.30653	7.96993	0.57856	1062.04133	37.25225	7.76653	7.56006	8.98092	35.29120	6.00077
-30.60106	6.21397	5.37133	6.94331	7.60272	7.09273	35.27403	0.00000	28.44651	9.80683	-71.19901	1118.03420	47.19540	7.65695	9.99404	3.15795	46.96150	7.01747
45.43341	7.82986	8.55678	7.86550	7.20875	9.23910	25.22432	1.00000	21.11874	5.75537	-73.86586	1137.94510	37.19017	10.07334	9.67558	4.98680	52.90311	7.90600
-6.25	7.46067	6.63220	6.64887	7.29365	5.36025	31.44292	1.00000	13.21936	5.19259	38.66667	1110.43657	50.06651	7.28722	6.77241	3.20352	34.46532	4.56002
4.94273	8.76752	7.85412	10.06704	6.44752	7.38694	42.38159	1.00000	17.52630	8.93078	15.87735	1174.60972	42.80054	8.95614	8.72697	31.65986	72.14779	7.61742
