revision	QoS	longitude	code	latitude	location
2014/08/20	building	68.21204	PK	27.55898	Asia/Karachi
19 Jan 2021	average	24.95034	FI	60.18427	Europe/Helsinki
09 Nov 2012	good	6.26667	DE	51.21667	Europe/Berlin
16 Sep 2014	average	-8.53778	LR	7.57944	Africa/Monrovia
2020/01/31	excellent	-73.58248	CA	45.40008	America/Toronto
2015/01/19	good	13.32127	DE	52.59319	Europe/Berlin
08/03/2019, 00:00:00	maintenance	9.29109	IT	45.39402	Europe/Rome
06 Jan 2022	average	1.04945	DZ	35.06544	Africa/Algiers
02/04/2015, 00:00:00	average	-71.06616	US	42.4251	America/New_York
2019-12-29	accep	-51.50361	BR	-29.2975	America/Sao_Paulo
2014-05-08	average	9.02596	DE	48.21644	Europe/Berlin
2022/09/27	average	43.38531	SO	9.89206	Africa/Mogadishu
08 Aug 2016	building	32.6178	UA	46.65581	Europe/Kiev
01/08/2020, 00:00:00	good	140.73667	JP	41.77583	Asia/Tokyo
19 Apr 2021	accep	112.01667	ID	-7.81667	Asia/Jakarta
11/18/2020, 00:00:00	good	11.5	CM	3.51667	Africa/Douala
2016/07/18	good	126.665	KR	36.6009	Asia/Seoul
02 Jun 2021	accep	76.0586	IN	16.06213	Asia/Kolkata
2020-07-17	good	74.83554	IN	14.62072	Asia/Kolkata
09/01/2014, 00:00:00	good	113.13148	CN	23.02677	Asia/Shanghai
2016/11/15	good	76.12647	IN	32.55531	Asia/Kolkata
02/28/2019, 00:00:00	average	-93.263	US	45.0408	America/Chicago
2013/05/15	average	9.32241	IT	44.31771	Europe/Rome
11/11/2017, 00:00:00	accep	-91.77127	US	37.95143	America/Chicago
06/09/2021, 00:00:00	excellent	2.18247	ES	41.41204	Europe/Madrid
2017-05-19	average	-86.57415	HN	15.48131	America/Tegucigalpa
2014-02-15	excellent	100.24529	MY	5.4709	Asia/Kuala_Lumpur
23 Sep 2013	average	12.70038	IT	45.9836	Europe/Rome
06/26/2019, 00:00:00	maintenance	6.74549	DE	49.5099	Europe/Berlin
04/21/2016, 00:00:00	average	78.14797	IN	15.45144	Asia/Kolkata
03/28/2017, 00:00:00	maintenance	140.73667	JP	41.77583	Asia/Tokyo
02/18/2015, 00:00:00	excellent	44.02488	IQ	32.61603	Asia/Baghdad
23 Mar 2013	good	-83.48216	US	42.30865	America/Detroit
07 Mar 2020	good	-97.92977	US	38.06084	America/Chicago
2020-05-27	accep	75.16878	IN	30.81383	Asia/Kolkata
07/02/2013, 00:00:00	building	-72.97261	US	43.61062	America/New_York
12/12/2013, 00:00:00	excellent	136.84186	JP	34.4833	Asia/Tokyo
27 Jun 2020	maintenance	-71.06616	US	42.4251	America/New_York
2013/09/25	good	46.10925	RU	43.35071	Europe/Moscow
15 Nov 2013	excellent	8.86704	DE	50.23805	Europe/Berlin
05/13/2013, 00:00:00	building	-63.90389	BR	-8.76194	America/Porto_Velho
11 Aug 2022	building	34.37389	TR	40.1675	Europe/Istanbul
26 Sep 2016	accep	43.63417	RU	43.96222	Europe/Moscow
01/02/2021, 00:00:00	building	-89.71472	SV	13.73417	America/El_Salvador
11 Apr 2015	excellent	76.32756	IN	9.57046	Asia/Kolkata
2016-03-09	accep	115.70111	CN	37.73222	Asia/Shanghai
2017-12-07	excellent	-60.47389	AR	-34.64167	America/Argentina/Buenos_Aires
2017/04/13	maintenance	-111.89903	US	33.50921	America/Phoenix
2021-07-03	maintenance	51.67462	IR	32.65246	Asia/Tehran
2015/07/04	average	-71.05977	US	42.35843	America/New_York
2022-03-10	excellent	24.95034	FI	60.18427	Europe/Helsinki
10/25/2021, 00:00:00	excellent	-0.91979	GB	51.42708	Europe/London
06 Aug 2016	accep	-71.05977	US	42.35843	America/New_York
2018/10/02	accep	106.92667	ID	-6.91806	Asia/Jakarta
2012-09-27	average	-71.19901	CL	-30.60106	America/Santiago
2019/01/21	building	33	TZ	-2.68333	Africa/Dar_es_Salaam
07/13/2021, 00:00:00	good	83.36889	IN	26.76628	Asia/Kolkata
01/13/2021, 00:00:00	accep	73.66633	IN	25.92493	Asia/Kolkata
05/20/2022, 00:00:00	good	10.7	CM	4.96667	Africa/Douala
10/03/2013, 00:00:00	building	7.60872	IT	43.78956	Europe/Rome
02 Apr 2014	good	-86.19903	NI	11.84962	America/Managua
2015-05-26	building	1.6	FR	43.11667	Europe/Paris
18 May 2017	accep	-91.06177	US	33.41012	America/Chicago
2015-03-23	accep	-73.20483	US	41.16704	America/New_York
01/15/2020, 00:00:00	building	32.86389	RU	53.95278	Europe/Moscow
2021/03/28	maintenance	-6.03731	ES	37.35813	Europe/Madrid
2017-12-31	average	-122.23484	US	47.38093	America/Los_Angeles
15 Jan 2022	average	-4.0573	GB	55.82737	Europe/London
2020/11/27	good	67.84222	UZ	40.11583	Asia/Samarkand
2016/08/26	good	79.41727	IN	12.25282	Asia/Kolkata
2016/08/23	accep	-84.67837	US	34.06635	America/New_York
2015/06/09	good	-120.45794	US	34.63915	America/Los_Angeles
2021-06-05	excellent	-85.43772	CR	10.63504	America/Costa_Rica
01/07/2020, 00:00:00	average	-120.43572	US	34.95303	America/Los_Angeles
03/07/2020, 00:00:00	building	145.06667	AU	-37.88333	Australia/Melbourne
2015-05-24	maintenance	-37.03861	BR	-10.90889	America/Maceio
27 Aug 2014	average	40.17171	RU	58.1908	Europe/Moscow
2014/04/07	excellent	-4.1	FR	48	Europe/Paris
06/11/2015, 00:00:00	excellent	44.7662	AM	40.49748	Asia/Yerevan
2013-09-09	good	127.08472	KR	36.20389	Asia/Seoul
2017/05/09	average	-65.61427	AR	-27.4338	America/Argentina/Tucuman
2019/01/11	average	9.15214	DE	49.97704	Europe/Berlin
05 Oct 2016	maintenance	5.51978	NL	51.44889	Europe/Amsterdam
12/07/2016, 00:00:00	accep	-5.22126	MA	33.43443	Africa/Casablanca
2021/12/06	average	-39.25	BR	-12.91667	America/Bahia
2015-04-07	accep	-15.6	GM	13.56667	Africa/Banjul
2016/10/15	average	5.58472	NL	52.14	Europe/Amsterdam
2020-02-13	building	-0.32247	GB	50.82882	Europe/London
08/23/2016, 00:00:00	good	-69.96533	US	43.91452	America/New_York
2020/06/10	good	2.29026	FR	48.77644	Europe/Paris
12 May 2016	accep	-52.67056	BR	-26.22861	America/Sao_Paulo
18 Sep 2020	maintenance	-60.47389	AR	-34.64167	America/Argentina/Buenos_Aires
13 May 2022	good	13.32127	DE	52.59319	Europe/Berlin
08/09/2019, 00:00:00	excellent	-82.45426	US	27.09978	America/New_York
2019/04/01	accep	89.20083	RU	55.54028	Asia/Krasnoyarsk
22 May 2016	excellent	24.75	LT	55.25	Europe/Vilnius
2013-08-28	building	37.00438	TZ	-7.60361	Africa/Dar_es_Salaam
2014/05/08	maintenance	-88.27205	US	44.27804	America/Chicago
09/10/2022, 00:00:00	average	-44.31389	BR	-19.7625	America/Sao_Paulo
2014/11/21	maintenance	8.73812	FR	41.91886	Europe/Paris
2019/06/06	excellent	-1.48119	GB	53.0233	Europe/London
12/02/2019, 00:00:00	maintenance	0.47713	GB	51.39323	Europe/London
2014-11-19	good	-93.263	US	45.0408	America/Chicago
2018-02-28	building	38.07083	RU	54.90083	Europe/Moscow
22 Jun 2022	excellent	139.07204	JP	36.24624	Asia/Tokyo
05/29/2022, 00:00:00	accep	112.73333	CN	38.40917	Asia/Shanghai
2020/12/16	average	-88.42814	US	42.16808	America/Chicago
2016/11/20	excellent	122.22833	CN	40.66482	Asia/Shanghai
2022/03/18	excellent	-1.64295	ES	42.8139	Europe/Madrid
08/24/2014, 00:00:00	good	-41.88778	BR	-21.205	America/Sao_Paulo
21 Oct 2016	maintenance	40.17171	RU	58.1908	Europe/Moscow
2019/04/22	excellent	4.7934	FR	45.69558	Europe/Paris
06/05/2021, 00:00:00	building	12.53463	DK	55.67938	Europe/Copenhagen
06/17/2017, 00:00:00	accep	150.99292	AU	-33.75881	Australia/Sydney
2021-02-23	average	5.23333	NL	52.09	Europe/Amsterdam
2019-03-08	good	12.84052	IT	45.78071	Europe/Rome
13 Apr 2015	good	2.61667	FR	48.98333	Europe/Paris
12 Oct 2016	good	-75.87877	CO	5.6561	America/Bogota
2015-03-29	accep	129.96972	JP	33.4425	Asia/Tokyo
2020/08/23	building	28.88222	TR	40.37528	Europe/Istanbul
2013/10/16	building	10.7	CM	4.96667	Africa/Douala
2018/10/25	maintenance	2.44892	FR	48.98693	Europe/Paris
2013-11-25	maitennce	4.92235	NG	7.65649	Africa/Lagos
02/18/2020, 00:00:00	good	128.62667	KR	34.8825	Asia/Seoul
2016-04-30	maintenance	-5.682	CI	5.84752	Africa/Abidjan
07/29/2021, 00:00:00	good	20.91361	MK	41.92361	Europe/Skopje
2019/06/28	accep	137.4	JP	34.81667	Asia/Tokyo
2022-09-22	accep	10.03988	DE	53.6052	Europe/Berlin
2020-01-03	good	121.96361	PH	6.95194	Asia/Manila
30 Dec 2016	good	5.55575	FR	46.67535	Europe/Paris
29 Dec 2017	average	-117.29198	US	33.03699	America/Los_Angeles
2013/04/06	accep	35.34722	MZ	-23.85972	Africa/Maputo
12/10/2021, 00:00:00	building	107.60627	RU	51.82721	Asia/Irkutsk
2022-05-04	accep	-53.13722	BR	-22.92306	America/Sao_Paulo
08/13/2019, 00:00:00	accep	114.33333	ID	-8.43333	Asia/Jakarta
01 Sep 2018	accep	-58.44417	BR	-3.14306	America/Manaus
2018-12-24	accep	-95.63079	US	31.76212	America/Chicago
15 Aug 2014	excellent	77.54372	IN	10.12268	Asia/Kolkata
2014/02/19	average	-80.66756	US	26.68451	America/New_York
2016-02-19	maintenance	9.47629	DE	53.59337	Europe/Berlin
2016/10/05	accep	-88.81395	US	35.61452	America/Chicago
04/05/2018, 00:00:00	building	29.91582	EG	31.20176	Africa/Cairo
2016/01/27	excellent	9.47629	DE	53.59337	Europe/Berlin
31 Jul 2013	excellent	-121.75689	US	36.91023	America/Los_Angeles
2017/08/13	maintenance	-2.1875	GB	51.26	Europe/London
2015/12/04	excellent	83.97573	IN	21.46527	Asia/Kolkata
03/29/2013, 00:00:00	maintenance	-8.2503	PT	37.08819	Europe/Lisbon
2019-09-05	accep	46.10925	RU	43.35071	Europe/Moscow
10/29/2012, 00:00:00	accep	-75.11028	PE	-15.21194	America/Lima
20 Jul 2014	good	-80.38297	CA	42.8334	America/Toronto
2014-04-29	good	79.82979	IN	11.93381	Asia/Kolkata
2013-12-22	building	47.1192	RU	42.819	Europe/Moscow
2018/03/16	excellent	46.5813	RU	54.8421	Europe/Moscow
2015/07/06	building	-46.99583	BR	-22.97056	America/Sao_Paulo
05/22/2022, 00:00:00	good	-2.31938	GH	6.46346	Africa/Accra
2014-05-27	good	25.34244	UA	50.75932	Europe/Kiev
2013/12/13	good	-0.76667	GB	53.38333	Europe/London
23 Mar 2017	excellent	46.83187	YE	14.53767	Asia/Aden
2016-08-13	building	5.37429	BE	51.03427	Europe/Brussels
06/20/2013, 00:00:00	accep	30.28491	RU	60.02427	Europe/Moscow
05/05/2013, 00:00:00	accep	-4.22398	GB	57.47908	Europe/London
2015-10-30	average	-88.3162	US	42.24113	America/Chicago
16 Nov 2021	accep	72.34424	UZ	40.78206	Asia/Tashkent
2020/03/18	accep	69.49015	RU	56.11281	Asia/Yekaterinburg
2012/10/12	good	31.4976	EG	26.67319	Africa/Cairo
2022-06-07	maintenance	4.82313	BE	51.24197	Europe/Brussels
2019-11-06	average	75.06583	PK	32.17629	Asia/Karachi
10/19/2017, 00:00:00	excellent	-73.58248	CA	45.40008	America/Toronto
2017/05/14	accep	78.14797	IN	15.45144	Asia/Kolkata
2020-11-14	excellent	-89.10944	SV	13.70167	America/El_Salvador
06 Dec 2020	accep	-8.2194	ES	43.48961	Europe/Madrid
2018/03/09	accep	-3.05814	GB	53.00974	Europe/London
16 Mar 2018	excellent	137.23333	JP	35.8	Asia/Tokyo
2012/11/15	excellent	-121.75689	US	36.91023	America/Los_Angeles
2012/11/21	good	138.89585	JP	36.33011	Asia/Tokyo
2018/11/08	good	-56.52361	UY	-33.38056	America/Montevideo
04 Aug 2013	excellent	-122.24064	US	47.80527	America/Los_Angeles
02/21/2017, 00:00:00	building	-79.00453	EC	-2.90055	America/Guayaquil
11/27/2014, 00:00:00	building	84.87144	KZ	47.46657	Asia/Almaty
04/28/2019, 00:00:00	good	-42.98194	BR	-22.53722	America/Sao_Paulo
25 Jul 2013	good	29.65806	TZ	-4.83	Africa/Dar_es_Salaam
2017/03/10	average	114.33333	ID	-8.43333	Asia/Jakarta
2013/12/30	good	122.05228	CN	37.19723	Asia/Shanghai
2020-01-21	excellent	84.63445	IN	24.81757	Asia/Kolkata
01/15/2015, 00:00:00	excellent	123.758	PH	10.20898	Asia/Manila
2015-01-24	good	42.7125	DJ	11.15583	Africa/Djibouti
2016/04/03	average	107.60389	ID	-7.01833	Asia/Jakarta
2019-11-17	accep	-8.2194	ES	43.48961	Europe/Madrid
04/15/2022, 00:00:00	average	-88.27205	US	44.27804	America/Chicago
2013/09/22	average	9.20427	DE	48.49144	Europe/Berlin
2016/11/24	excellent	123.50266	CN	41.94175	Asia/Shanghai
25 Jul 2015	accep	-5.53715	GB	50.11861	Europe/London
2017/01/31	excellent	-73.49484	US	41.14676	America/New_York
2017-08-07	maintenance	28.28489	MD	48.15659	Europe/Chisinau
12/17/2014, 00:00:00	good	106.88324	MN	47.90771	Asia/Ulaanbaatar
2020/11/01	excellent	30.38167	RU	59.80917	Europe/Moscow
01/15/2022, 00:00:00	good	79.883	LK	6.9909	Asia/Colombo
07/30/2020, 00:00:00	accep	11.37703	DE	48.06919	Europe/Berlin
02/18/2016, 00:00:00	average	116.11768	CN	24.28859	Asia/Shanghai
03/17/2014, 00:00:00	excellent	47.3799	IR	33.14447	Asia/Tehran
02/21/2019, 00:00:00	accep	138.89585	JP	36.33011	Asia/Tokyo
04/20/2017, 00:00:00	excellent	15.07041	IT	37.49223	Europe/Rome
2012/10/08	average	-5.53715	GB	50.11861	Europe/London
05 Jul 2015	good	51.67462	IR	32.65246	Asia/Tehran
2012-10-07	average	-81.24441	CU	23.15678	America/Havana
2017/04/10	accep	13.31783	DE	52.61131	Europe/Berlin
2019-09-28	good	2.08333	FR	48.86667	Europe/Paris
2020/03/16	excellent	6.83042	NG	6.15038	Africa/Lagos
2015/03/02	good	-80.38297	CA	42.8334	America/Toronto
2021-07-20	accep	-93.11308	MX	16.75973	America/Mexico_City
30 Oct 2017	good	72.68533	IN	22.75218	Asia/Kolkata
2018-05-15	excellent	57.3552	RU	51.4781	Asia/Yekaterinburg
12/24/2017, 00:00:00	maintenance	135.21667	JP	35.06667	Asia/Tokyo
2021-06-23	average	13.58357	GA	-1.63333	Africa/Libreville
07 Oct 2018	excellent	-0.74934	GB	51.62907	Europe/London
2014/03/22	average	76.03889	IN	18.18158	Asia/Kolkata
2013/08/10	accep	85.37752	IN	22.10194	Asia/Kolkata
2019-11-10	excellent	38.2739	RU	46.7055	Europe/Moscow
2020-10-21	accep	-88.81395	US	35.61452	America/Chicago
03 Sep 2018	accep	-117.54866	US	33.93113	America/Los_Angeles
23 Apr 2022	maintenance	3.20639	BE	50.74497	Europe/Brussels
09/29/2019, 00:00:00	excellent	-116.21677	US	33.7207	America/Los_Angeles
11/26/2018, 00:00:00	building	-111.90466	US	40.34912	America/Denver
2015-11-14	maintenance	84.13864	IN	22.88783	Asia/Kolkata
08/05/2021, 00:00:00	accep	78.55757	IN	17.34769	Asia/Kolkata
07/01/2018, 00:00:00	average	0.75	GB	52.41667	Europe/London
27 Oct 2020	excellent	41.77921	GE	41.82143	Asia/Tbilisi
2014-12-31	average	7.11393	DE	51.08468	Europe/Berlin
23 Feb 2014	good	76.56719	IN	24.41288	Asia/Kolkata
05/25/2015, 00:00:00	maintenance	79.87116	LK	6.84019	Asia/Colombo
25 Oct 2019	excellent	-74.15987	US	40.82232	America/New_York
07/03/2022, 00:00:00	excellent	34.37389	TR	40.1675	Europe/Istanbul
2021-04-17	excellent	76.32756	IN	9.57046	Asia/Kolkata
26 Nov 2013	excellent	75.92694	IN	14.46693	Asia/Kolkata
2018/05/08	excellent	-103.42897	MX	20.28527	America/Mexico_City
2022-07-15	building	102.42587	TH	15.58552	Asia/Bangkok
30 Sep 2016	average	30.38167	RU	59.80917	Europe/Moscow
2013/07/06	excellent	-82.00919	CU	23.04419	America/Havana
01 Oct 2017	accep	101.18445	TH	13.44581	Asia/Bangkok
09/18/2021, 00:00:00	maintenance	109.05389	ID	-7.51611	Asia/Jakarta
05 Aug 2014	good	-2.98884	ES	43.32686	Europe/Madrid
16 May 2013	accep	71.57737	IN	21.53889	Asia/Kolkata
07 Jun 2020	accep	70.91106	PK	29.38242	Asia/Karachi
10/18/2012, 00:00:00	average	-73.81669	CA	45.44868	America/Toronto
06/30/2014, 00:00:00	good	46.10925	RU	43.35071	Europe/Moscow
2017/05/13	excellent	-103.5687	MX	20.22816	America/Mexico_City
2022/09/12	building	-40.7475	BR	-4.16694	America/Fortaleza
2014-04-30	excellent	59.4839	RU	58.7002	Asia/Yekaterinburg
09 Oct 2017	good	-88.70464	US	34.25807	America/Chicago
06 Apr 2018	good	144.09638	JP	43.82634	Asia/Tokyo
2018/02/13	good	-93.11308	MX	16.75973	America/Mexico_City
22 Sep 2019	good	70.91106	PK	29.38242	Asia/Karachi
12/01/2018, 00:00:00	accep	-0.76773	ES	38.38479	Europe/Madrid
04 Mar 2017	accep	15.87735	CF	4.94273	Africa/Bangui
26 Dec 2018	good	-81.77285	US	28.54944	America/New_York
09 Mar 2019	average	4.86667	FR	45.51667	Europe/Paris
2016-02-27	accep	-66.8499	PR	18.03496	America/Puerto_Rico
05/30/2015, 00:00:00	maintenance	10.5511	DE	52.47774	Europe/Berlin
2016-02-02	good	15.00913	IT	37.51803	Europe/Rome
2015-05-01	good	-76.88442	US	40.2737	America/New_York
2020-09-04	average	71.52847	PK	32.57756	Asia/Karachi
17 Mar 2016	average	79.87116	LK	6.84019	Asia/Colombo
2016-06-11	average	20.22625	LY	30.75545	Africa/Tripoli
2013-01-07	excellent	-96.72365	MX	17.06542	America/Mexico_City
16 Mar 2017	building	4.07601	BE	50.88506	Europe/Brussels
28 Aug 2018	good	-103.42897	MX	20.28527	America/Mexico_City
03/17/2021, 00:00:00	building	117.81667	CN	36.81667	Asia/Shanghai
2019/10/03	maintenance	4.52529	BE	50.71229	Europe/Brussels
08 Nov 2020	maintenance	-118.10583	US	34.09611	America/Los_Angeles
2018-02-25	average	74.3092	IN	33.37526	Asia/Kolkata
2015/03/22	average	12.70038	IT	45.9836	Europe/Rome
2014-07-14	excellent	106.85417	ID	-6.48167	Asia/Jakarta
04/30/2018, 00:00:00	average	4.52529	BE	50.71229	Europe/Brussels
05 Sep 2022	excellent	47.1192	RU	42.819	Europe/Moscow
25 Nov 2013	average	86.00214	CN	46.51872	Asia/Urumqi
2016-09-30	excellent	46.58333	MG	-21.15	Indian/Antananarivo
2018/04/15	accep	74.83554	IN	14.62072	Asia/Kolkata
15 Jan 2018	good	2.18967	FR	48.8765	Europe/Paris
2018-07-31	average	47.3799	IR	33.14447	Asia/Tehran
2018-08-29	accep	-0.2	GB	51.65	Europe/London
2014/07/24	excellent	-87.70172	US	41.72059	America/Chicago
2015/07/20	good	-82.90375	US	32.54044	America/New_York
06/12/2018, 00:00:00	average	122.20488	CN	29.98869	Asia/Shanghai
07 Jul 2021	average	18.34717	PL	54.60528	Europe/Warsaw
2019/12/23	maintenance	105.89333	CN	34.56861	Asia/Shanghai
01 May 2018	average	6.92917	NL	52.31333	Europe/Amsterdam
2013/12/31	good	76.11996	IN	11.12018	Asia/Kolkata
2012-12-24	maintenance	77.40858	IN	24.05979	Asia/Kolkata
2014-02-09	maintenance	-82.32483	US	29.65163	America/New_York
11/13/2020, 00:00:00	good	-111.89903	US	33.50921	America/Phoenix
23 Feb 2015	average	4.18333	NG	7.6	Africa/Lagos
02/15/2014, 00:00:00	maitennce	-111.99633	US	40.65995	America/Denver
06/12/2022, 00:00:00	good	-50.00639	BR	-25.42944	America/Sao_Paulo
01/01/2014, 00:00:00	maintenance	85.83636	IN	25.66795	Asia/Kolkata
2022-03-21	good	4.62744	DZ	36.06386	Africa/Algiers
07/02/2014, 00:00:00	good	7.36027	DE	51.20219	Europe/Berlin
13 Nov 2021	accep	-3.59625	CI	5.27247	Africa/Abidjan
2020/08/18	average	3.64633	NG	6.8485	Africa/Lagos
2013-03-23	good	-73.89875	US	40.93121	America/New_York
17 Nov 2014	average	9.02596	DE	48.21644	Europe/Berlin
07/15/2016, 00:00:00	good	-38.94722	BR	-15.675	America/Bahia
2017-04-11	maintenance	28.88222	TR	40.37528	Europe/Istanbul
2017-03-19	average	28.67582	TR	40.98894	Europe/Istanbul
27 Jan 2015	excellent	86.59611	IN	25.87498	Asia/Kolkata
2016/01/01	maintenance	-120.45794	US	34.63915	America/Los_Angeles
08/01/2017, 00:00:00	building	-93.12577	US	44.73941	America/Chicago
2020-10-25	building	68.49143	PK	25.80565	Asia/Karachi
2020/12/28	excellent	73.7553	IN	15.5439	Asia/Kolkata
2018-10-20	good	-93.12577	US	44.73941	America/Chicago
12/26/2019, 00:00:00	excellent	-71.06616	US	42.4251	America/New_York
01/06/2015, 00:00:00	good	15.87735	CF	4.94273	Africa/Bangui
16 Mar 2018	excellent	28.67582	TR	40.98894	Europe/Istanbul
2012-10-12	maintenance	115.8614	AU	-31.95224	Australia/Perth
2017-01-12	average	-5.55835	ES	42.64685	Europe/Madrid
2019-04-10	accep	14.72443	IT	36.92574	Europe/Rome
08/21/2017, 00:00:00	good	103.81667	MY	1.6	Asia/Kuala_Lumpur
2022-05-27	good	-2.68758	GB	53.69786	Europe/London
2014/02/16	good	-117.54866	US	33.93113	America/Los_Angeles
09 Jan 2022	building	-37.03861	BR	-10.90889	America/Maceio
2012-10-14	accep	117.33333	CN	34.85	Asia/Shanghai
2014/08/22	good	2.25	FR	50.75	Europe/Paris
2012-11-12	average	38.16694	RU	54.84444	Europe/Moscow
07/30/2013, 00:00:00	average	60.8019	RU	56.9083	Asia/Yekaterinburg
07/20/2014, 00:00:00	average	59.6	KZ	47.83333	Asia/Aqtobe
2016-04-11	accep	8.77155	DE	50.23019	Europe/Berlin
06/25/2022, 00:00:00	average	37.00438	TZ	-7.60361	Africa/Dar_es_Salaam
2020-06-28	good	14.66737	IT	41.55947	Europe/Rome
2016/09/12	good	85.94001	IN	25.49043	Asia/Kolkata
11/03/2015, 00:00:00	good	113.69785	ID	-7.73379	Asia/Jakarta
11/18/2012, 00:00:00	average	-89.71472	SV	13.73417	America/El_Salvador
2019-01-06	accep	40.74357	TR	37.31309	Europe/Istanbul
12/28/2013, 00:00:00	maintenance	5.37429	BE	51.03427	Europe/Brussels
08/09/2020, 00:00:00	good	-87.882	US	41.85059	America/Chicago
2018/04/19	good	73	KG	40.93333	Asia/Bishkek
2016/01/31	accep	15.16554	CD	-4.5833	Africa/Kinshasa
2015/01/13	maintenance	138.89585	JP	36.33011	Asia/Tokyo
2015/01/25	excellent	-73.81669	CA	45.44868	America/Toronto
19 Jul 2017	average	135.31667	JP	34.25	Asia/Tokyo
2015/12/26	good	-84.13722	CR	9.92787	America/Costa_Rica
05 Feb 2018	good	8.51667	DE	51.88333	Europe/Berlin
2016/02/26	excellent	8.86704	DE	50.23805	Europe/Berlin
16 Oct 2013	maintenance	-82.45426	US	27.09978	America/New_York
2017/07/30	excellent	76.32756	IN	9.57046	Asia/Kolkata
2019-01-15	building	112.73333	CN	38.40917	Asia/Shanghai
22 Apr 2013	good	-40.7475	BR	-4.16694	America/Fortaleza
07 Aug 2016	accep	102.42587	TH	15.58552	Asia/Bangkok
09/19/2016, 00:00:00	average	2.35739	ES	41.63976	Europe/Madrid
08/02/2013, 00:00:00	average	-96.39774	US	30.16688	America/Chicago
24 Feb 2014	building	83.62389	RU	53.30972	Asia/Barnaul
26 Mar 2013	excellent	-97.54667	US	30.5427	America/Chicago
2016-07-13	good	15.16554	CD	-4.5833	Africa/Kinshasa
07 Apr 2017	building	27.18052	TR	39.12074	Europe/Istanbul
08/08/2013, 00:00:00	average	71.21169	IN	21.59983	Asia/Kolkata
08/23/2016, 00:00:00	building	72.93924	IN	18.87813	Asia/Kolkata
