C2H3NO5	O3	CO	TEMP	PRES	longitude	CH4	NH3	latitude	H2CO	Pb	PM10	PAHs	PM2.5	CFCs	warning	NOx	SO2
0.23231	7.89491	6.38520	21.94848	1144.74522	29.41824	6.98054	7.98493	45.99194	54.63124	44.41911	3.71512	5.95663	5.18199	57.29709	1.00000	5.75230	7.40600
0.30069	6.10239	8.70492	4.88180	1107.14611	67.84222	2.80370	7.04051	40.11583	53.40037	59.06667	7.11141	6.17158	7.99082	70.26190	1.00000	5.93573	11.04820
0.53392	6.00062	7.95840	8.43696	1177.58919	106.92667	5.66422	7.89106	-6.91806	79.30604	86.68357	7.95535	6.38290	8.07284	35.69942	0.00000	4.67358	6.42122
0.89458	5.36952	5.18466	18.37571	1055.70346	-90.10674	5.57940	4.38989	29.84576	63.52378	68.49426	8.94124	6.82837	6.59215	15.37001	0.00000	7.16940	5.79098
1.03915	6.08155	6.31318	11.71205	1159.83728	4.62744	5.42296	7.36828	36.06386	68.62470	55.51974	9.12138	5.69471	6.61421	59.98757	0.00000	6.02003	7.75471
0.25258	7.14015	9.15990	6.18420	1135.19867	-72.09391	5.59463	5.08998	18.65297	63.10884	67.66652	5.05717	8.54487	4.78210	48.65233	1.00000	9.34671	7.58187
0.19809	5.99848	7.66560	16.20328	1056.85464	-1.4001	5.56790	6.06195	7.06273	51.66416	50.16257	5.81710	6.86533	6.66702	40.88302	1.00000	7.81223	8.34907
0.28260	8.00131	5.43143	22.09248	1069.97921	151.07986	5.03148	8.67640	-33.88096	68.10627	33.00423	7.21293	5.73820	5.86719	51.87242	0.00000	4.17193	8.66696
0.15662	5.49391	9.57033	9.59337	1111.08551	38.01667	4.31122	7.30161	11.85	57.09581	78.00818	5.18936	5.16297	6.97267	45.74958	1.00000	7.96472	7.06918
0.28002	6.15484	8.07010	11.60314	1131.53078	-83.55521		6.30940	41.66394	21.59077	61.72531	6.20714	6.01867	6.76549	53.99275	0.00000	7.85342	11.44104
0.15529	7.34113	9.59455	12.92487	1067.07567	152.70493	8.73609	10.02481	-25.54073	22.79253	36.23232	4.78705	6.03713	7.09535	55.99862	1.00000	4.78296	3.24754
0.28734	8.19947	6.78912	17.33328	1196.06241	-69.08333	7.52582	10.23394	-16.25	35.74568	63.78205	7.66917	5.03803	6.45587	70.86860	0.00000	4.59354	5.80745
0.17256	7.41125	7.74049	13.43304	1186.27079	-0.76773	7.34621	7.92764	38.38479	51.68265	39.42244	4.46510	6.57359	7.06773	67.98736	1.00000	5.75301	5.75354
0.17765	8.00471	9.22334	7.95308	1175.93127	-97.54667	4.91590	6.70926	30.5427	64.73481	52.60132	6.88366	8.03968	4.32128	46.18029	1.00000	7.99197	9.50230
0.17903	7.45140	9.47311	10.51077	1112.04780	15.28318	3.97237	6.33701	-4.26613	61.34433	66.58901	6.29251	7.11738	6.58141	48.38156	1.00000	6.59679	8.19191
0.14138	6.97509	7.68852	9.45167	1173.23916	103.6032	4.78447	5.71791	1.6561	14.56134	48.06869	5.55409	6.08946	7.70347	56.02625	1.00000	5.30602	7.09524
0.40165	9.31765	6.94016	23.33910	1064.02860	15.87735	7.23004	8.42520	4.94273	65.44509	65.30448	8.19128	7.97665	8.41161	50.49506	0.00000	5.91443	6.20278
0.20385	7.87122	6.99108	28.01140	1146.40971	72.34424	6.85847	7.20877	40.78206	48.81166	83.07211	5.60547	5.27154	7.83293	58.43265	1.00000	5.03302	4.88155
0.25106	5.87221	8.19446	18.47258	1192.60952	-65.61427	9.10343	9.16786	-27.4338	39.37782	36.28801	7.05992	6.76367	8.08084	45.32889	1.00000	5.11435	4.53098
0.18776	8.36541	7.18351	1.80115	1096.87853	71.30633	9.26788	6.83105	21.34222	36.13844	56.63948	5.34797	7.19014	4.97260	58.62451	1.00000	6.24686	6.69132
0.17261	7.54175	8.35357	7.94886	1186.60178	-77.37331	9.24081	9.58660	37.60876	47.14814	83.04256	6.00725	6.25114	5.81887	30.23986	1.00000	5.92908	5.21888
0.17884	6.41576	10.03983	14.28284	1144.40582	-2.77259	6.49167	4.48477	37.49073	63.86384	71.91004	5.65880	5.08947	7.51580	56.57647	1.00000	11.65855	8.13368
0.30943	8.04450	6.62512	25.86273	1149.80577	-77.37331	6.99624	6.57919	37.60876	58.38207	66.61888	7.69945	8.54608	8.29172	40.14745	1.00000	9.78334	10.69204
0.24392	5.54872	4.87745	9.44630	1117.39117	83.62389	8.15836	9.99561	53.30972	58.90907	49.43753	7.05878	8.07570	6.57596	46.89250	0.00000	5.68923	7.02529
0.29661	7.06811	4.61466	9.70900	1122.09639	31.3237	5.60198	6.00646	52.4089	41.30919	68.46093	6.74523	6.91883	7.65874	67.41611	1.00000	6.09639	6.17090
0.25211	7.49828	10.76460	16.05202	1055.05264	77.70636	4.90461	4.99499	28.98002	37.56110	50.89306	6.82679	7.07118	6.76256	55.58654	1.00000	6.42458	7.85525
0.96364	7.01542	7.35019	6.57358	1064.93045	4.52514	6.80868	7.96085	12.74482	65.42132	65.10782	9.06699	7.55622	7.04762	27.20474	1.00000	7.06463	10.86378
1.34304	5.62966	3.82132	22.17176	1151.14903	-120.93549	6.56309	3.71087	37.73604	50.35332	54.59887	9.37476	7.50520		71.70800	0.00000	6.89881	6.41340
0.34247	7.23255	8.91358	16.18297	1171.28919	38.02486	9.52253	8.43583	55.64776	58.52864	35.89091	7.36504	8.84213	7.25943	61.57434	1.00000	5.42176	5.51724
0.15244	7.18362	8.73528	28.76676	1163.08638	-42.98194	9.16767	9.87199	-22.53722	50.52665	57.25821	5.40721	6.46190	6.98997	42.76639	1.00000	6.36673	6.65689
0.11370	5.33473	7.94260	-2.15628	1055.04762	-25.66689	6.76946	7.37395	37.74615	52.72726	55.83062	3.97307	8.11261	6.71400	53.47270	1.00000	6.44602	7.61643
0.08226	7.69581	8.75146	9.09729	1112.57919	9.37082	8.27562	9.47262	36.08497	69.20386	43.36029	4.96344	6.57327	8.29590	59.01179	1.00000	5.99368	5.59248
0.35798	5.89252	10.42629	13.18203	1068.42242	120.4861	9.76587	9.23657	16.0438	48.98619	30.22742	7.41531	7.14047	8.46728	45.48848	1.00000	5.28016	3.90063
0.18001	6.94276	10.15314	12.96120	1076.55368	117.63083	5.02906	6.96489	35.50056	70.54906	48.18432	5.87424	9.31066	5.82709	30.78812	1.00000	9.55813	8.77950
0.17847	8.41567	6.44307	18.03062	1105.78558	6.61944	4.95059	4.79557	52.57583	66.84403	53.63462	6.32197	7.53500	6.61965	34.54940	0.00000	7.06788	4.28802
0.10725	9.56450	8.65233	28.35747	1179.23865	11.32903	7.46762	8.59193	50.9803	16.00152	46.10461	4.53481	5.14254	7.12847	49.09909	1.00000	5.87525	5.23839
0.23856	6.14426	6.92571	20.83014	1100.63292	-4.1	8.58593	7.53965	48	56.11520	59.38530	5.24273	4.47901	9.74754	26.04160	1.00000	4.63609	4.57596
0.15644	6.69002	8.36872	1.72051	1083.32174	76.56719	9.02733	9.01488	24.41288	36.23766	59.74354	6.37967	8.71069	5.50131	26.36480	1.00000	6.47630	6.99471
0.25013	6.97781	11.00154	15.71962	1067.78614	144.23058	2.22539	5.17955	-5.85746	53.60878	56.91457	5.30667	5.31583	6.93092	48.37482	1.00000	6.79858	8.87691
1.15461	6.16042	4.96714	21.71706	1139.19532	-74.01042	3.65718	6.91982	41.50343	77.93750	54.15621	9.28006	5.20798	8.06946	34.87019	0.00000	6.45076	9.67103
0.22634	7.39442	6.94903	34.33676	1072.85800	13.39954	7.33542	4.45419	43.62558	58.28964	53.46933	5.47104	6.89986	6.06577	44.95777	1.00000	8.33364	7.63785
0.52648	6.39562	8.23969	18.88413	1136.03062	37.92792	12.01759	9.52582	53.93361	35.98142	57.76312	8.34555	9.32207	5.66913	48.03972	1.00000	5.02230	4.67528
0.14807	7.48426	6.97605	10.70042	1150.24906	137.23333	6.42706	4.20832	35.8	29.08366	69.34196	6.50116	7.83874	6.48959	64.24068	0.00000	7.19715	6.56853
0.20741	7.88084	8.34969	27.62600	1196.88979	92.48278	8.81414	8.23226	58.23583	52.10258	30.66026	6.08407	5.44131	5.69878	68.70969	1.00000	5.31749	3.74082
0.32179	8.75401	7.04312	22.15372	1173.59110	75.96976	10.88417	9.42303	15.73628	45.27619	53.74777	7.25353	6.47149	8.21756	50.60798	1.00000	4.25416	3.17733
0.20459	5.99327	9.79322	13.11570	1116.96295	-1.86343	9.02369	10.63019	38.10558	47.06367	42.76766	6.01811	5.98499	7.47446	23.55593	1.00000	7.26066	8.19333
0.33550	5.67235	4.87878	10.50011	1105.92982	115.04814	4.84459		30.24706	59.59879	54.52828	7.62666	8.10903	7.47608	63.00552	0.00000	8.50114	3.69355
0.74248	7.62571	2.32701	15.32000	1181.53322	-6.00137	7.27762	6.75087	33.42585	38.58969	47.39478	8.63263	8.34331	6.63436	57.50116	0.00000	7.84380	7.87469
0.12646	6.97485	9.59580	-6.40444	1113.64319	24.14662	3.58892	6.16469	65.84811	38.00003	60.72669	4.94127	5.07461	7.30871	38.96393	1.00000	9.22306	9.09066
0.15738	7.43713	9.71121	13.95949	1063.45464	-63.13414	8.76582	9.46058	46.23899	49.44144	22.30729	6.60099	7.44975	5.31649	56.03214	1.00000	5.62768	4.93722
0.54388	7.45314	4.91966	16.53878	1130.01224	-80.58556	6.68592	9.05574	22.98212	54.66761	42.01011	8.40813	6.82814	6.50037	32.16139	0.00000	9.02612	6.94197
0.13724	7.77510	7.26723	12.67914	1074.17925	124.84472	8.71571	8.25394	10.13361	71.26454	46.98319	5.19278	4.69471	6.10968	32.40444	1.00000	6.70827	8.55858
0.11768	6.45334	8.61796	13.74992	1085.98324	112.73333	5.29794	3.03858	38.40917	59.67652	72.31062	6.42934	8.31581	6.39362	84.38761	0.00000	7.96049	6.12549
0.31062	6.25478	4.53988	17.01537	1085.71724	32.88667	4.74609	6.52501	3.27833	50.95808	51.84463	7.63855	6.65533	9.21849	31.75209	1.00000	4.57892	10.05574
0.13802	5.90560	7.15781	14.39238	1118.48963	-62.64102	6.35952	5.80963	8.35122	47.05448	52.18344	5.53438	8.26123	6.43378	53.48280	1.00000	10.51352	9.62955
0.22143	6.88256	7.04190	-3.08452	1110.05514	2.25	9.49208	7.93780	50.75	55.03761	64.22155	6.13125	7.47479	8.71325	72.44687	1.00000	4.30404	3.58149
0.14317	6.43551	9.49591	33.31132	1158.17524	4.62744	5.91841	6.45932	36.06386	66.06031	61.30775	5.58269	6.50481	7.16612	40.39316	1.00000	9.78442	8.24910
0.23840	7.14683	4.10463	12.59934	1137.81824	116.11768	5.27639	8.53990	24.28859	58.34381	53.00492	7.25286	5.80285	6.94787	41.43457	0.00000	3.27435	9.89393
10.00732	7.40247	7.05254	21.11072	1100.44654	105.89333	3.69530	7.00076	34.56861	43.57634	46.66135	11.51092	6.36264	7.23651	35.61889	0.00000	5.23270	8.16690
0.20795	8.30568	9.06986	17.13113	1139.03527	104.09701	9.86931	9.07887	-1.26424	43.38702	43.70004	6.31294	7.92318	5.70824	42.41922	1.00000	5.80023	4.97202
0.04305	4.44650	7.10263	26.75598	1122.45513	76.35484	6.57329	6.91742	10.10649	48.75574	61.03918	5.24657	7.65481	5.53659	50.50663	1.00000	6.07491	6.61144
0.08098	6.19989	6.35608	33.88888	1182.63745	36.73307	6.11856	5.20991	55.38752	37.91981	45.83686	5.77788	6.17550	6.18771	44.38884	0.00000	7.72858	6.40389
0.24337	4.47023	7.18846	22.68300	1138.80234	-95.63079	3.72311	5.00319	31.76212	65.26602	61.76508	6.60891	6.82792	7.61616	53.60829	0.00000	8.41421	3.90996
0.21285	6.18461	6.32197	8.20869	1050.32486	78.14797	7.63287	4.28029	15.45144	39.11175	65.68514	7.00908	7.24895	6.17504	50.59258	1.00000	5.51656	7.38316
0.16998	6.20454	6.78094	7.30444	1133.09471	11.32903	7.11658	7.56765	50.9803	43.47562	34.22027	5.51937	6.93586	5.48344	33.98296	1.00000	5.81015	6.91040
0.54035	6.09765	6.61079	6.40801	1171.20340	57.3552	5.41999	0.25677	51.4781	46.34469	64.64671	8.15794	7.47680	9.27732	51.74809	0.00000	8.46576	6.39162
0.09099	6.42434	6.84809	36.73076	1144.69323	-82.35176	7.52585	3.73789	27.71809	68.45411	28.62297	4.12083	4.11036	5.55177	41.67918	1.00000	9.58931	5.90610
0.56765	8.48472	9.75816	13.26580	1062.15245	109.3243	9.99775	9.19701	-7.0981	59.76638	45.59294	8.45694	7.36918	6.44034	62.45869	1.00000	3.58546	2.27438
0.97948	6.42316	4.82615	19.03048	1162.40101	6.10237	6.65406	3.53918	46.18396	40.53422	74.54383	9.03651	5.98238	6.33224	35.76435	0.00000	8.18996	7.38446
0.29588	8.01354	9.10390	15.61973	1184.73690	135.6	2.10662	4.67069	34.61667	66.24532	60.19096	2.70897	8.08390	8.62773	58.80698		6.84147	7.06370
0.37106	6.80126	5.10372	2.00880	1170.46956	15.07041	4.79872	6.55560	37.49223	75.59324	40.15139	7.49240	8.10367	6.36958	37.64660	0.00000	8.01275	3.76906
0.30054	7.94692	5.29804	21.43542	1097.49088	-94.91386	5.46987	5.95281	17.94979	47.52168	68.18725	4.15088	6.47957	8.68850	69.23277	1.00000	5.74715	7.09527
0.20487	6.96122	7.79313	15.56916	1190.27744	-73.95097	8.74583	9.42692	40.72371	47.50726	44.04383	6.00582	7.11844	8.54229	38.65192	1.00000	5.36335	5.09425
0.14988	7.39176	4.36918	1.08504	1090.59144	-93.71133	8.19422	6.29349	41.57721	56.76583	43.33065	5.26201	7.11524	5.57323	35.49030	1.00000	4.38092	5.31737
0.60234	7.02613	5.56793	21.92368	1146.82139	117.27583	4.45148	7.41292	35.64889	53.35730	58.55610	8.24498	6.94859	7.72371	61.43410	0.00000	5.04325	8.91242
0.61932	6.16469	5.96532	22.47037	1071.11106	25.34244	4.95778	3.74426	50.75932	33.52883	58.21796	8.41509	8.66729	6.54749	19.69502	0.00000	9.17876	3.84316
0.51778	6.80442	6.24688	26.99752	1085.81750	2.61667	6.13223	4.51147	48.98333	58.64131	75.51453	8.13323	6.14219	6.90463	66.45184	0.00000	6.75628	6.17167
0.71676	5.20209	4.83980	17.88948	1101.46967	18.34717	2.52585	7.73823	54.60528	29.56458	60.99835	8.77301	7.84521	8.61216	60.24252	1.00000	3.41275	10.66613
0.15092	7.82555	9.31131	8.78365	1096.33188	53.47103	8.23051	8.23031	54.48147	47.38023	51.88806	5.11302	5.60107	6.48493	37.30671		6.93515	6.93227
0.17200	10.57864	7.72402	16.47233	1109.13517	37.55	6.07600	7.08490	6.03333	61.66532	39.93163	5.19086	6.72566	6.53038	52.21338	1.00000	9.53907	8.12671
0.19596	6.97713	6.53723	29.59501	1081.32405	-120.45794	6.51125	4.28610	34.63915	50.24556	78.11329	5.26963	7.49869	6.31301	60.72277	0.00000	5.76200	7.14191
0.13332	5.42044	5.95749	17.57688	1107.54572	76.56719	7.67661	7.34440	24.41288	33.33149	57.04848	4.55240	8.08902	6.93345	49.66694	1.00000	4.86545	5.24872
0.39233	5.17564	6.72128	15.35277	1109.73530	-101.2591	5.24114	5.97591	21.01858	49.02679	48.96048	7.60589	6.32786	6.58777	44.04431	1.00000	4.08935	9.28128
0.21836	8.06807	10.32661	3.48724	1156.78575	59.80222	8.54079	10.33132	58.63667	44.44937	78.04512	4.87459	5.62421	7.41196	35.31075	1.00000	6.65422	6.39275
0.15899	8.76613	8.77315	3.00092	1054.41947	-0.18333	7.82172	6.83485	38.96667	55.65571	55.11429	5.83673	6.56434	5.81221	38.94150	1.00000	5.35765	5.01276
0.42644	7.84388	5.91497	18.38808	1135.97389	-93.71133	5.00441	6.81768	41.57721	49.37423	63.15839	7.94524	6.36366	7.74640	47.83311	0.00000	5.37282	8.32110
0.51683	4.85603	8.86386	-2.50526	1121.37213	4.8951	10.73795	9.25888	44.92801	44.86173	65.39791	8.36954	5.28781	7.19650	47.59251	1.00000	5.04215	3.72902
0.20542	5.86605	9.28660	33.41734	1100.30913	16.86194	5.36979	5.87074	54.58048	47.15066	58.13334	5.81902	10.97284	8.42953	60.97933	1.00000	4.78720	5.60239
0.10108	7.28407	7.87378	8.34458	1096.86932	-93.71133	8.65040	9.30576	41.57721	39.49401	53.42910	5.40549	5.73541	5.04305	58.01289	1.00000	6.65145	7.10936
0.11267	8.30169	10.95827	7.59927	1120.71917	1.26738	7.45497	9.44521	51.84819	52.92092	45.45643	5.58978	5.98050	6.77337	50.77771	1.00000	6.69875	6.78787
0.71264	5.96524	3.68541	8.51129	1054.94578	-79.62098	7.72377	12.22377	9.15093	53.50642	77.55788	8.78085	5.22607	6.00420	42.19101	0.00000	3.88249	7.82709
0.16953	6.91429	4.29482	-4.77645	1136.62877	14.43865	7.97170	8.01275	40.87329	67.01344	53.40063	6.82664	7.72093	7.39357	38.93255		6.00228	8.33878
0.53668	6.08995	4.49087	0.51509	1065.71781	138.31667	3.20710	7.99899	36.65	76.35939	43.02387	8.30101	6.14053	5.57947	37.38244	0.00000	2.96623	10.51830
0.16892	8.60894	8.77441	9.31973	1070.52352	15.28318	3.61809	5.78259	-4.26613	55.51948	66.32754	5.78456	5.45939	6.49440	39.25328	1.00000	7.72431	9.14219
0.40525	6.61197	6.81986	10.07952	1155.85463	-77.55777	6.39416	3.85523	37.52487	51.84177	65.30069	7.79623	8.02509	5.46402	48.70808	0.00000	6.36574	7.38080
0.56973	6.60886	5.27291	25.78059	1095.38280	-38.94722	4.27398	6.67720	-15.675	53.66669	53.59012	8.30910	6.86888	7.00924	42.54739	0.00000	6.34306	9.30050
0.28656	5.46220	4.43426	24.61415	1138.06368	-0.32247	3.64227	7.12138	50.82882	43.51209	41.19118	7.13415	7.08242	6.47734	56.14358	0.00000	4.55696	10.48025
1.08658	7.74352	7.44510	22.59730	1088.25883	2.29026	4.32520	6.55707	48.77644	61.85058	45.77987	9.17762		6.08305	56.05396	1.00000	6.38141	7.30867
0.21032	6.98757	8.11101	32.03411	1186.94061	-104.83192	7.78993	7.81167	39.72943	47.33388	56.25277	5.20529	7.41651	6.21904	49.91933	1.00000	6.01249	6.67551
1.21152	7.02142	5.18505	32.23620	1111.97823	12.16179	6.90493	3.76092	48.52961	57.68502	63.59647	9.29026	5.38527	7.77376	72.55516	0.00000	8.78422	6.87289
0.94139	7.48447	6.74459	10.80200	1143.50300	14.51472	4.80103	6.82568	35.89972	53.85815	43.65671	8.98752	7.22151	6.69530	47.39741	0.00000		7.75445
0.16912	6.75070	7.35257		1096.49213	4.25633	6.40910	6.71738	51.21187	34.78180	54.86697	4.49223	5.90077	6.09581	39.30320	1.00000	10.79392	8.18980
4.40928	7.64034	5.29675	21.45320	1114.20611	11.412	4.94710	6.25061	45.50369	35.30258	48.85408	10.67518	10.38468	6.41578	25.47329	0.00000	13.29450	4.18457
0.14493	7.37959	9.18146	21.31276	1133.35930	105.75635	8.52993	7.83253	10.29085	59.32712	54.16964	6.45839	5.07906	5.68102	75.04970	1.00000	7.00357	8.17156
0.26146	4.85216	7.26529	4.10425	1184.55598	10.5511	8.00908	6.31836	52.47774	61.26841	56.34801	5.76981	7.88348	3.31661	67.25181	1.00000	4.67270	4.91879
0.18204	6.04557	6.38598	18.84628	1051.80760	-1.325	4.80814	5.18550	38.47917	59.15737	78.52806	6.98016	5.38100	7.19987	43.80590	0.00000	10.21697	4.17785
0.12282	7.11040	8.46758	20.42529	1177.23458	120.56528	4.68569	4.82946	14.66	43.45558	54.02531	4.85466	6.71026	6.56742	43.33464	1.00000	7.20548	6.75901
0.28814	7.02380	8.18168	19.39658	1108.44744	4.52514	7.16772	6.10502	12.74482	59.21621	71.45376	7.14161	7.12919	5.71669	48.86281	1.00000	8.27777	7.87829
0.23351	5.78394	5.61710	14.05232	1127.03958	-119.0376	7.65857	5.01155	34.21639	21.84160	62.89443	4.94986	4.61425	6.73763	44.51077	1.00000	7.28318	6.12488
2.71345	6.88293	5.28100		1164.60243	1.04945	6.12811	5.28046	35.06544	41.67973	57.87685	10.16940	5.27270	6.52204	36.08576	0.00000	8.88332	6.04962
0.18613	7.36132	9.66171	26.14105	1195.48632	-119.0376	8.71510	8.60285	34.21639	46.44664	56.01011	6.23064	5.95884	7.65192	54.61159	1.00000	6.94296	7.45989
0.13789	5.41019	6.28705	7.96267	1111.58039	-1.5443	7.53568	6.38824	50.75767	83.12847	46.34435	5.08661	5.87656	5.90534	53.21446	1.00000	4.69127	5.81716
0.29378	6.52393	6.39750	12.60848	1178.04970	120.82747	7.48719	6.00893	37.30553	53.64789	53.20345	5.04446	8.42609	8.33482	57.45565	1.00000	10.60699	7.72062
0.21235	6.73207	7.54184	22.27029	1162.96394	83.62389	5.03923	5.32316	53.30972	43.47156	77.22891	6.95304	6.92223	8.15145	58.67330	0.00000	8.55459	5.26642
0.15849	6.99752	8.71043	32.23312	1091.58468	16.4	4.56630	5.68818	48.25	53.35050	41.25916	3.96720	7.47599	6.95742	30.83231	1.00000	8.08956	7.03425
0.10443	6.98555	9.53594	-1.21248	1050.36816	-13.68778	5.01673	4.57653	9.535	45.90462	55.61785	4.43710	5.59871	6.91744	71.66651	1.00000	7.85402	6.12007
0.50932	5.96494	4.89821	7.80871	1117.96652	9.29109	8.47893	10.54985	45.39402	55.89987	71.79587	8.11773	6.26788	7.26364	56.14969	0.00000	7.38234	6.19059
0.06682	7.71783	4.72845	0.45331	1059.08055	144.09638	6.83184	7.00916	43.82634	31.80176	63.27561	3.96877	6.53914	4.89200	48.56314	1.00000	4.81435	5.41911
0.22097	7.90233	6.77117	17.84580	1092.70393	9.02596	6.48585	4.85507	48.21644	39.91954	56.02912	5.71700	7.17720	7.33083	50.15856	1.00000	7.35694	8.24213
0.12875	7.41985	8.58927	21.44168	1128.63658	1.15597	3.94021	6.01559	51.78967	51.53943	39.22802	5.89999	7.41561	5.07200	38.90981	0.00000		3.80099
0.40355	5.44759	8.31392	28.97979	1081.90387	120.56528	5.72892	5.34583	14.66	38.02345	55.33074	7.37030	6.02839	6.13676	42.13009	1.00000	5.89234	8.30568
0.23362	6.16062	5.15971	-1.82472	1152.48266	2.25	5.33175	6.41340	50.75	46.71141	67.44002	6.97967	7.93322	5.47377	62.71495	0.00000	8.51316	4.87079
0.23872	4.68965	6.67115	19.36422	1192.91334	137.5	7.00512	7.73853	34.9	29.24821	77.82813	4.03654	5.67600	8.22009	41.42377	1.00000	5.67504	6.00825
0.18516	7.45436	7.06761	34.98200	1095.92430	28.19028	4.79726	5.90343	59.37722	47.45817	63.92873	3.89369	5.94312	6.88732	42.17241	1.00000	8.97448	8.82173
0.11622	7.25869	9.95769	12.57087	1133.52185	-74.96933	8.13021	9.36844	39.71734	55.55149	64.18551	5.58478	8.08013	6.47152	35.80560	1.00000	5.36627	4.58786
0.14827	5.44513	9.00295	5.06525	1109.23073	-41.88778	3.92331	4.13044	-21.205	63.90866	58.82784	4.89717	7.09345	7.04055	40.95060	0.00000	9.29695	3.95035
0.66414	8.42010	4.86544	9.41770	1120.71939	-4.1	6.05763	5.91866	48	52.16146	74.90268	8.42216	6.83613	6.46724	48.85810	0.00000	6.51486	5.85355
0.13518	5.24830	7.13276	21.62244	1142.63087	-48.52333	7.08939	8.56614	-0.71667	44.79529	61.40765	4.45468	6.57570	7.66924	36.29404	1.00000	5.73776	5.94600
2.99662	7.16940	4.15273	10.62587	1160.46876	-71.08977	5.88841	2.80757	41.9001	38.29188	40.57237	10.24724	8.20666	6.07575	41.36795	0.00000	9.86960	6.13271
0.20358	8.55185	7.84015	7.59838	1159.17195	121.96361	7.44524	4.66582	6.95194	36.69793	45.20663	5.73828	7.35877	6.22316	57.86164	1.00000	8.12610	6.86821
0.46759	8.03907	5.33583	30.22017	1129.67753	120.74792	5.60737	5.62244	41.09822	25.46688	60.33238	8.08222	5.17059	6.73016	52.74958	0.00000	8.13943	6.03752
0.13233	7.51273	7.20572	8.43697	1177.09189	89.20083	6.55587	6.48021	55.54028	40.12610	81.14698	4.70581	5.78105	5.17441	47.50818	1.00000	5.59469	5.68126
