revision	code	latitude	longitude	QoS	station
01/22/2019, 00:00:00	PH	10.7375	122.9666	good	Talisay
09/14/2020, 00:00:00	IT	37.31065	13.57661	building	Agrigento
2015/09/21	PH	14.66	120.56528	good	Pilar
10/08/2014, 00:00:00	IN	10.58806	77.24779	good	Udumalaippettai
2016-11-12	GB	51.39148	-0.29825	accep	Surbiton
2014/11/16	IN	12.25282	79.41727	excellent	Gingee
2020-12-19	KZ	43.41949	77.0202	accep	Otegen Batyra
03/30/2015, 00:00:00	VU	-17.73648	168.31366	excellent	Port-Vila
2019/07/17	JP	34.61667	135.6	building	Yao
2017-09-18	US	33.44872	-86.78777	average	Vestavia Hills
12 Apr 2019	US	37.71715	-122.40433	building	Visitacion Valley
11/24/2012, 00:00:00	PH	8.56697	123.33471	accep	Dipolog
07/20/2013, 00:00:00	DE	52.61131	13.31783	average	Hermsdorf
2017-11-03	US	35.61452	-88.81395	good	Jackson
05/01/2017, 00:00:00	DE	50.80019	7.20769	average	Siegburg
2015-02-15	CN	23.02677	113.13148	excellent	Foshan
2017-06-23	DE	52.47774	10.5511	good	Gifhorn
28 Dec 2015	GB	53.46506	-1.47217	average	Chapletown
2012-10-29	DE	48.46458	9.22796	maintenance	Pfullingen
2018/10/22	CN	30.35028	112.19028	excellent	Jingzhou
03/01/2014, 00:00:00	HT	18.65297	-72.09391	good	Thomazeau
2012-11-25	TZ	-4.06667	37.73333	average	Same
25 Oct 2013	NL	52.57583	6.61944	excellent	Hardenberg
2018/11/05	PH	16.455	120.5875	acceptable	La Trinidad
2018/03/23	IT	41.24264	16.50104	building	Bisceglie
2015-09-21	RU	55.75556	60.70278	good	Ozersk
2020/03/07	PG	-5.85746	144.23058	excellent	Mount Hagen
2013-12-20	DE	51.08468	7.11393	accep	Burscheid
10/08/2016, 00:00:00	KR	37.1759	128.9889	excellent	T’aebaek
03/30/2018, 00:00:00	RU	58.1908	40.17171	good	Danilov
18 Oct 2018	IN	24.41288	76.56719	accep	Aklera
2014/04/08	US	37.71715	-122.40433	accep	Visitacion Valley
2021/03/24	IT	42.22718	14.39024	average	Lanciano
22 Apr 2015	US	37.60876	-77.37331	excellent	Mechanicsville
2015/12/19	RU	56.03361	35.96944	good	Volokolamsk
02/19/2017, 00:00:00	US	40.72816	-74.07764	excellent	Jersey City
2013/01/03	RU	55.75556	60.70278	average	Ozersk
18 Nov 2017	TH	15.58552	102.42587	average	Bua Yai
08 Dec 2021	RU	53.93361	37.92792	average	Kireyevsk
2013/12/15	IN	22.19303	88.18466	good	Diamond Harbour
2014-11-11	RU	51.4781	57.3552	maintenance	Kuvandyk
2015/08/20	PG	-5.85746	144.23058	good	Mount Hagen
2015-05-24	IN	11.12018	76.11996	excellent	Manjeri
26 Apr 2021	IR	33.86419	48.26258	building	Aleshtar
2018-04-03	UA	49.65186	26.97253	good	Krasyliv
2020/05/28	CN	37.73222	115.70111	excellent	Hengshui
02 May 2019	DZ	36.76639	3.47717	building	Boumerdas
2014-09-20	AR	-34.64167	-60.47389	accep	Chacabuco
07/06/2015, 00:00:00	IT	45.53069	9.40531	average	Gorgonzola
07/10/2017, 00:00:00	BR	-26.22861	-52.67056	maintenance	Pato Branco
01/11/2018, 00:00:00	UZ	41.29444	69.67639	good	Parkent
03/20/2016, 00:00:00	US	34.21639	-119.0376	excellent	Camarillo
11 Jul 2014	CA	53.51684	-113.3187	building	Sherwood Park
13 Mar 2013	GA	-1.63333	13.58357	excellent	Franceville
2020/09/26	IN	26.2649	81.54855	good	Jais
04/10/2017, 00:00:00	CM	3.51667	11.5	good	Mbalmayo
2020-10-05	UA	49.65186	26.97253	good	Krasyliv
2016-07-04	KG	40.93333	73	good	Jalal-Abad
29 Nov 2020	ID	-1.26753	116.82887	average	Balikpapan
2020/11/17	IL	31.92923	34.86563	accep	Ramla
2019-08-02	VE	8.35122	-62.64102	accep	Ciudad Guayana
2017-06-15	TH	13.51825	99.95469	excellent	Damnoen Saduak
2015-02-04	SA	27.0174	49.62251	building	Al Jubayl
10/30/2014, 00:00:00	JP	34.61667	135.6	average	Yao
03/13/2021, 00:00:00	RS	44.97639	19.61222	excellent	Sremska Mitrovica
01 Apr 2019	BG	41.57439	24.71204	good	Smolyan
2017-05-13	RU	53.30972	83.62389	maintenance	Novosilikatnyy
10 Mar 2019	IT	41.72063	12.6723	average	Ariccia
10 Apr 2014	US	32.42067	-104.22884	average	Carlsbad
2015-07-28	NL	52.71083	5.74861	good	Emmeloord
15 Jul 2013	MM	14.0823	98.19151	maintenance	Dawei
2015-11-29	ES	39.96348	-4.83076	building	Talavera de la Reina
04 Oct 2020	RU	54.48147	53.47103	average	Oktyabr’skiy
2021-06-02	MX	21.28306	-89.66123	good	Progreso
30 Jun 2020	UZ	40.11583	67.84222	excellent	Jizzax
2018-07-24	CN	37.73222	115.70111	average	Hengshui
2015/02/28	CG	-4.26613	15.28318	maintenance	Brazzaville
2016-04-26	MK	41.92361	20.91361	good	Bogovinje
2021/03/30	CN	33.78333	114.51667	building	Wacheng
06/15/2021, 00:00:00	US	27.71809	-82.35176	average	Sun City Center
25 Oct 2018	ID	-1.6	103.61667	average	Jambi City
19 Mar 2019	US	40.34912	-111.90466	excellent	Saratoga Springs
2016-12-19	EG	31.20176	29.91582	accep	Alexandria
2017-10-29	US	45.53929	-122.38731	excellent	Troutdale
2022/08/28	DE	51.04962	12.1369	maintenance	Zeitz
2021-04-02	CH	46.18396	6.10237	accep	Onex
2018/02/19	MX	20.74122	-100.44843	average	Santa Rosa Jauregui
2016/06/03	US	42.35843	-71.05977	average	Boston
2017/03/10	CN	27.92333	118.53333	accep	Pucheng
06/09/2018, 00:00:00	JP	35.48199	137.02166	average	Minokamo
10/29/2021, 00:00:00	BR	-8.66667	-35.71667	excellent	Catende
2015/12/03	IT	45.39402	9.29109	accep	San Giuliano Milanese
06/17/2018, 00:00:00	CU	23.0072	-82.4017	average	Boyeros
06/20/2015, 00:00:00	FR	43.67681	4.63031	average	Arles
01/07/2019, 00:00:00	CN	45.35	126.28333	accep	Shuangcheng
2016/09/01	IT	37.31065	13.57661	accep	Agrigento
08/29/2015, 00:00:00	US	37.71715	-122.40433	excellent	Visitacion Valley
2013-09-03	JP	35.82756	137.95378	good	Ina
01 Aug 2022	CN	34.86472	117.55417	good	Zaozhuang
2019-07-04	BE	51.21187	4.25633	excellent	Beveren
09/20/2013, 00:00:00	US	30.17746	-81.38758	excellent	Palm Valley
2019-11-28	KE	0.03813	36.36339	building	Nyahururu
28 Feb 2017	AU	-32.05251	115.88782	accep	Willetton
2021-12-19	AU	-33.88096	151.07986	average	Strathfield
2017/09/27	NL	52.71083	5.74861	good	Emmeloord
2020/11/18	JP	34.9	137.5	excellent	Shinshiro
25 Oct 2012	DE	48.35149	8.96317	average	Hechingen
2014/11/23	CN	35.85	117.7	accep	Dongdu
2020-03-26	US	41.6764	-91.58045	accep	Coralville
2014/03/18	DE	50.23019	8.77155	maintenance	Karben
21 Jul 2020	PH	12.97389	123.99333	accep	Sorsogon
31 Jan 2017	MY	1.6	103.81667	good	Ulu Tiram
2021-11-17	BR	-14.66463	-52.35558	average	Nova Xavantina
08/03/2017, 00:00:00	DE	51.168	7.973	excellent	Finnentrop
2019-08-13	FR	48.79325	2.29275	average	Fontenay-aux-Roses
16 Jan 2021	DE	50.80904	8.77069	accep	Marburg an der Lahn
2019/07/02	CN	37.30553	120.82747	excellent	Zhuangyuan
23 May 2019	US	20.88953	-156.47432	excellent	Kahului
11/12/2017, 00:00:00	BR	-3.20333	-52.20639	good	Altamira
09/19/2014, 00:00:00	TH	15.79408	104.1451	good	Yasothon
2022-01-01	IT	44.89784	8.86374	maintenance	Tortona
11/10/2020, 00:00:00	IN	25.75728	75.37991	maintenance	Deoli
2016/01/02	MX	19.64745	-102.04897	good	Paracho de Verduzco
2016-03-08	JP	35.06667	135.21667	average	Sasayama
2021-10-30	IT	44.31771	9.32241	good	Chiavari
2014-06-20	GB	56.56317	-2.58736	maintenance	Arbroath
09 Sep 2016	US	40.72816	-74.07764	excellent	Jersey City
18 May 2014	UZ	40.78206	72.34424	maintenance	Andijon
2017/10/24	IN	27.9247	78.40102	average	Chharra
14 Jul 2019	CA	45.43341	-73.86586	excellent	Beaconsfield
10 Sep 2018	ES	42.06166	-1.60452	maintenance	Tudela
2019/01/08	GB	52.66277	-2.01111	average	Great Wyrley
07 Jul 2013	CR	10.63504	-85.43772	excellent	Liberia
18 Jan 2021	MY	5.4709	100.24529	maintenance	Batu Feringgi
2014/03/24	US	39.08367	-84.50855	average	Covington
08/16/2020, 00:00:00	CO	4.73245	-74.26419	excellent	Madrid
07/18/2018, 00:00:00	GB	55.82885	-4.21376	building	Rutherglen
06/10/2020, 00:00:00	ID	-7.01833	107.60389	excellent	Pameungpeuk
2014-06-04	JP	35.06667	135.21667	building	Sasayama
2021/04/15	AR	-31.4488	-60.93173	average	Esperanza
2012-11-09	ES	38.10558	-1.86343	accep	Caravaca
10/07/2021, 00:00:00	ID	-3.5403	118.9707	accep	Majene
11/11/2013, 00:00:00	DZ	36.06386	4.62744	building	El Achir
11/01/2021, 00:00:00	RU	55.75556	60.70278	excellent	Ozersk
25 Dec 2015	US	40.34912	-111.90466	building	Saratoga Springs
2015-11-07	IT	44.59445	11.04979	good	Castelfranco Emilia
08 Feb 2021	FR	48.86667	2.08333	average	Marly-le-Roi
23 Aug 2016	NG	6.8485	3.64633	excellent	Shagamu
2017/02/16	EE	59.37722	28.19028	building	Narva
06/15/2022, 00:00:00	US	41.80753	-87.65644	maintenance	New City
04/19/2019, 00:00:00	VE	8.62261	-70.20749	accep	Barinas
09 Oct 2018	BR	-14.66463	-52.35558	accep	Nova Xavantina
03/19/2018, 00:00:00	TN	36.08497	9.37082	accep	Siliana
2021-08-27	IN	31.28092	74.85849	good	Patti
2019/05/02	US	39.78504	-85.76942	building	Greenfield
2022/09/21	US	41.50343	-74.01042	maintenance	Newburgh
2020-08-12	IN	23.1959	86.51499	accep	Kenda
2013-04-24	CN	35.50056	117.63083	average	Pingyi
2018/05/02	US	40.2737	-76.88442	excellent	Harrisburg
09/01/2014, 00:00:00	US	34.63915	-120.45794	accep	Lompoc
2014/04/22	HR	43.50891	16.43915	accep	Split
06/05/2020, 00:00:00	CD	0.76755	24.43973	maintenance	Yangambi
2018-09-28	IN	15.5439	73.7553	excellent	Calangute
2019/06/25	US	42.4251	-71.06616	excellent	Malden
2022/01/20	US	39.32011	-76.51552	average	Rosedale
08 Jul 2015	PK	31.71667	73.38333	accep	Sangla Hill
2022-06-06	MX	22.49396	-105.36369	accep	Acaponeta
2013/01/07	MK	41.92361	20.91361	average	Bogovinje
2018/11/18	PK	27.55898	68.21204	accep	Larkana
2014-08-10	VE	8.35122	-62.64102	building	Ciudad Guayana
2020-06-27	BE	51.24197	4.82313	good	Lille
2017/04/23	BJ	8.88649	2.59753	excellent	Tchaourou
2019-01-07	TR	37.05944	37.3825	good	Gaziantep
2020/11/27	PK	25.95533	68.88871	good	Jhol
2021/04/13	US	41.9001	-71.08977	accep	Taunton
02/16/2022, 00:00:00	CN	36.81667	117.81667	excellent	Zhoucun
30 Sep 2015	UA	50.75932	25.34244	average	Lutsk
07/01/2017, 00:00:00	CH	46.18396	6.10237	average	Onex
05/22/2016, 00:00:00	DE	52.53048	13.29371	excellent	Charlottenburg-Nord
2014-04-07	IN	25.66795	85.83636	maintenance	Dalsingh Sarai
11/13/2016, 00:00:00	PT	37.74615	-25.66689	accep	Ponta Delgada
2021-11-27	US	29.65163	-82.32483	maintenance	Gainesville
11/10/2012, 00:00:00	GB	50.82882	-0.32247	excellent	Lancing
2021-07-05	BE	51.12794	4.21372	building	Temse
04/30/2016, 00:00:00	IN	24.41288	76.56719	accep	Aklera
10 May 2015	PK	30.76468	74.12286	accep	Kanganpur
05/13/2014, 00:00:00	US	30.17746	-81.38758	maitennce	Palm Valley
2018/03/20	ID	-1.26424	104.09701	excellent	Simpang
2020/02/23	PS	31.78336	35.23388	building	East Jerusalem
12/05/2016, 00:00:00	RU	56.03361	35.96944	good	Volokolamsk
18 Jan 2022	ID	-1.6	103.61667	average	Jambi City
10 Nov 2019	ID	-7.0981	109.3243	excellent	Randudongkal
2014-10-17	IN	22.4711	88.1453	accep	Pujali
28 Apr 2017	US	45.0408	-93.263	maintenance	Columbia Heights
13 Jul 2014	DE	48.06919	11.37703	good	Gauting
04/01/2019, 00:00:00	RU	58.1908	40.17171	good	Danilov
01/07/2022, 00:00:00	KE	0.03813	36.36339	accep	Nyahururu
2017/06/05	US	45.49428	-122.86705	good	Aloha
14 Feb 2017	DZ	36.72544	3.55665	accep	Thenia
2022/08/07	US	38.91817	-78.19444	accep	Front Royal
2019/08/30	US	43.61062	-72.97261	good	Rutland
2017-06-15	PT	41.1053	-7.32097	excellent	Custoias
2017/10/20	GB	55.82885	-4.21376	maintenance	Rutherglen
11/05/2016, 00:00:00	NG	7.65649	4.92235	accep	Efon-Alaaye
12/07/2016, 00:00:00	TN	36.08497	9.37082	excellent	Siliana
2021/12/25	MT	35.89972	14.51472	accep	Valletta
2020-05-24	SA	27.0174	49.62251	average	Al Jubayl
2016/03/14	US	39.45621	-77.96389	average	Martinsburg
2013/05/31	RU	58.63667	59.80222	average	Lesnoy
2021/10/13	US	36.20829	-115.98391	excellent	Pahrump
2017-05-25	RU	59.80917	30.38167	good	Shushary
2020-05-27	US	41.9001	-71.08977	average	Taunton
03/15/2022, 00:00:00	FR	43.2907	5.4384	building	Marseille 11
2019/06/18	PK	25.80565	68.49143	accep	Bhit Shah
2014-03-28	GN	9.535	-13.68778	excellent	Camayenne
27 Jan 2017	EC	-2.90055	-79.00453	excellent	Cuenca
04/03/2013, 00:00:00	GB	52.41667	0.75	maintenance	Thetford
06 Nov 2016	NL	51.955	5.22778	good	Culemborg
2019-04-07	US	33.50921	-111.89903	accep	Scottsdale
28 Nov 2019	IN	21.53889	71.57737	good	Gariadhar
2022-06-26	BR	-19.32556	-41.25528	maintenance	Resplendor
23 Apr 2013	RE	-20.88231	55.4504	accep	Saint-Denis
2020/05/20	US	42.4251	-71.06616	accep	Malden
2019/07/09	DE	48.06919	11.37703	excellent	Gauting
2022/06/26	MA	34.31	-2.16	accep	Jerada
2019/04/05	GH	7.06273	-1.4001	accep	Mampong
13 Jan 2017	CN	35.50056	117.63083	maintenance	Pingyi
2015/11/03	CU	23.15678	-81.24441	good	Varadero
28 Aug 2021	FR	49.28669	1.00288	good	Elbeuf
2020-04-22	ES	41.91738	3.1631	good	Palafrugell
04/09/2019, 00:00:00	DJ	11.15583	42.7125	maintenance	'Ali Sabieh
11/02/2019, 00:00:00	US	41.50343	-74.01042	maintenance	Newburgh
01/23/2016, 00:00:00	HN	15.48131	-86.57415	accep	Olanchito
2014-12-08	BR	-0.71667	-48.52333	excellent	Soure
07/02/2022, 00:00:00	DK	55.67938	12.53463	accep	Frederiksberg
2014-03-07	US	35.88264	-80.08199	accep	Thomasville
12/27/2019, 00:00:00	DZ	35.06544	1.04945	maintenance	Frenda
2018-06-20	CN	30.24706	115.04814	good	Huangshi
04/28/2022, 00:00:00	GB	50.7236	-3.52751	excellent	Exeter
2021/12/20	JP	35.06667	135.21667	accep	Sasayama
2013/05/28	US	30.5427	-97.54667	maintenance	Hutto
2019-05-25	UZ	40.11583	67.84222	excellent	Jizzax
2014/03/20	UZ	40.78206	72.34424	accep	Andijon
10/14/2018, 00:00:00	RU	65.93381	111.4834	excellent	Aykhal
20 Jul 2016	DE	50.23805	8.86704	excellent	Nidderau
06 May 2015	GB	53.38333	-0.76667	average	Gainsborough
2019/12/30	RU	54.90083	38.07083	excellent	Stupino
05/23/2019, 00:00:00	BG	42.7	27.25	average	Aytos
04 Aug 2014	PK	31.71667	73.38333	good	Sangla Hill
12 Jul 2017	GB	56.56317	-2.58736	good	Arbroath
09/17/2013, 00:00:00	FR	48	-4.1	excellent	Quimper
01/22/2019, 00:00:00	DE	50.9803	11.32903	excellent	Weimar
2013/12/02	IN	15.73628	75.96976	maintenance	Gajendragarh
2019/03/30	ES	38.96667	-0.18333	maintenance	Gandia
2021/06/03	TN	36.08497	9.37082	maintenance	Siliana
28 Apr 2019	RU	55.39485	43.83992	maintenance	Arzamas
2020-01-30	US	38.96372	-76.99081	good	Chillum
06 Jun 2018	PK	32.57756	71.52847	accep	Mianwali
02/16/2019, 00:00:00	US	29.65163	-82.32483	maintenance	Gainesville
10 Feb 2021	GB	51.35084	-1.99421	excellent	Devizes
02 Nov 2021	DE	49.13645	8.91229	average	Eppingen
06 Nov 2021	RU	54.39304	53.26023	average	Bavly
2015-03-14	MM	17.30858	97.01124	average	Kyaikto
09 Mar 2018	US	40.82232	-74.15987	maintenance	Nutley
2013-10-29	BR	-10.90889	-37.03861	maintenance	Barra dos Coqueiros
2019-08-13	CU	23.0072	-82.4017	good	Boyeros
09/07/2016, 00:00:00	RU	56.85836	35.90057	accep	Tver
2020-08-23	PK	32.57756	71.52847	average	Mianwali
09/13/2016, 00:00:00	ID	-7.01833	107.60389	average	Pameungpeuk
2015/12/01	GB	50.76306	-1.29772	good	Cowes
2018/05/19	JP	43.82634	144.09638	average	Motomachi
2017-03-03	US	39.72943	-104.83192	average	Aurora
29 Sep 2015	EG	31.20176	29.91582	excellent	Alexandria
2016-11-17	DE	50.80019	7.20769	average	Siegburg
16 Oct 2019	JP	34.9	137.5	maintenance	Shinshiro
2015-11-04	BD	22.83957	91.84128	maintenance	Manikchari
2015/12/08	MM	17.30858	97.01124	accep	Kyaikto
25 Dec 2012	US	35.74788	-95.36969	accep	Muskogee
2018/08/15	PH	6.33444	124.95278	excellent	Tupi
2013-04-24	IN	33.37526	74.3092	building	Rajaori
2021/11/25	BR	-29.2975	-51.50361	accep	Carlos Barbosa
08/08/2021, 00:00:00	US	37.52487	-77.55777	excellent	Bon Air
11 May 2017	BJ	8.88649	2.59753	good	Tchaourou
2018-10-05	IT	40.55851	17.80774	excellent	Mesagne
2015/11/24	GB	51.84819	1.26738	good	Walton-on-the-Naze
2015-05-25	CL	-33.59217	-70.6996	average	San Bernardo
12 Jan 2015	RU	53.30972	83.62389	average	Novosilikatnyy
2015/12/31	MX	20.74122	-100.44843	building	Santa Rosa Jauregui
2015-09-27	CN	46.08333	122.08333	excellent	Ulanhot
2016/11/08	IN	30.81383	75.16878	accep	Moga
2015/10/25	US	39.96097	-75.60804	building	West Chester
2021/03/04	NL	52.31333	6.92917	accep	Oldenzaal
2019-05-13	MX	17.94979	-94.91386	good	Acayucan
2022/03/16	GB	53.7446	-0.33525	good	Kingston upon Hull
2019/04/19	US	34.25807	-88.70464	excellent	Tupelo
07 Feb 2019	GB	51.39323	0.47713	good	Strood
2017/07/22	DE	50.80904	8.77069	excellent	Marburg an der Lahn
27 Sep 2018	DZ	36.61954	4.08282	excellent	Beni Douala
2019/01/26	ES	37.49073	-2.77259	accep	Baza
10/04/2014, 00:00:00	ID	-7.0981	109.3243	building	Randudongkal
2013-01-02	RU	55.54028	89.20083	excellent	Sharypovo
2013/09/20	US	33.93113	-117.54866	excellent	Norco
2021/03/28	KE	0.03813	36.36339	building	Nyahururu
03/11/2014, 00:00:00	PK	31.82539	72.54064	accep	Sillanwali
07/09/2016, 00:00:00	UA	51.67822	33.9162	good	Hlukhiv
2021/08/24	DE	52.61131	13.31783	excellent	Hermsdorf
2014/07/01	US	43.1009	-75.23266	maintenance	Utica
06/29/2016, 00:00:00	IT	40.53123	17.58522	good	Francavilla Fontana
25 Jun 2020	MA	33.43443	-5.22126	average	Azrou
2018/01/20	BR	-3.20333	-52.20639	excellent	Altamira
31 Dec 2012	US	38.54491	-121.74052	building	Davis
06 Sep 2013	CN	23.73333	114.68333	good	Heyuan
2016-04-11	NG	7.62789	4.74161	accep	Ilesa
2014/06/09	US	33.93113	-117.54866	accep	Norco
2015-08-04	BE	50.56149	4.69889	excellent	Gembloux
2013/11/30	JP	35.06667	135.21667	average	Sasayama
2021-05-29	MD	48.15659	28.28489	maintenance	Soroca
2017/08/26	JP	36.53333	136.61667	excellent	Nonoichi
03 Apr 2021	US	36.20829	-115.98391	average	Pahrump
06/24/2014, 00:00:00	CU	22.98212	-80.58556	average	Corralillo
26 Jun 2014	MX	21.01858	-101.2591	excellent	Guanajuato
13 Sep 2018	JP	43.82634	144.09638	average	Motomachi
2016-09-28	ES	38.96667	-0.18333	maintenance	Gandia
2019-05-12	CN	30.35028	112.19028	average	Jingzhou
2012-12-09	IN	15.45144	78.14797	accep	Betamcherla
2017/07/18	IT	45.50369	11.412	excellent	Montecchio Maggiore-Alte Ceccato
2021/04/08	DE	48.07667	8.64409	good	Trossingen
2019-06-11	PH	14.8361	120.97844	average	Guyong
13 Aug 2020	CO	8.79577	-75.69947	good	San Carlos
06/03/2015, 00:00:00	ES	38.10558	-1.86343	accep	Caravaca
2019/10/09	ID	-6.91806	106.92667	average	Sukabumi
08/23/2013, 00:00:00	US	40.64621	-73.97069	maintenance	Kensington
2021-09-24	DE	51.19139	6.51352	average	Korschenbroich
12/26/2013, 00:00:00	IN	17.54907	82.85749	maintenance	Elamanchili
2016/10/18	RU	58.1908	40.17171	excellent	Danilov
10 Aug 2017	CN	29.98869	122.20488	accep	Zhoushan
05/02/2021, 00:00:00	FR	46.32313	-0.45877	excellent	Niort
28 May 2017	IT	40.87329	14.43865	maintenance	Somma Vesuviana
06/02/2019, 00:00:00	CN	32.54278	111.50861	accep	Danjiangkou
04/14/2018, 00:00:00	VE	8.35122	-62.64102	excellent	Ciudad Guayana
2021/10/21	DE	48.52961	12.16179	excellent	Landshut
08 Nov 2015	US	40.68066	-73.47429	excellent	Massapequa
09 Apr 2022	GA	-1.63333	13.58357	excellent	Franceville
2020-04-09	IN	18.18158	76.03889	accep	Osmanabad
2019/09/17	MX	17.06542	-96.72365	excellent	Oaxaca
2019-05-01	JP	41.77583	140.73667	building	Hakodate
07 Sep 2017	UA	45.99194	29.41824	excellent	Artsyz
2015/07/14	CN	27.85	112.9	average	Xiangtan
2022-09-09	PH	16.0438	120.4861	accep	Manaoag
13 Aug 2017	IT	45.39402	9.29109	good	San Giuliano Milanese
05/02/2013, 00:00:00	ES	38.47917	-1.325	average	Jumilla
2016-12-26	MY	5.90702	116.10146	good	Donggongon
04 Apr 2021	IN	30.81383	75.16878	good	Moga
2019/02/10	RU	51.82721	107.60627	building	Ulan-Ude
2013/03/29	GB	52.48173	-2.12139	accep	Brierley Hill
05/31/2014, 00:00:00	FR	41.91886	8.73812	good	Ajaccio
2021-01-02	TR	40.98894	28.67582	excellent	Yakuplu
11/30/2019, 00:00:00	IT	37.31065	13.57661	building	Agrigento
