longitude	latitude	revision	QoS	station	code
4.25633	51.21187	2013/04/24	accep	Beveren	BE
8.77069	50.80904	2016/04/20	accep	Marburg an der Lahn	DE
23.225	43.4125	01/04/2017, 00:00:00	good	Montana	BG
35.23388	31.78336	2019-07-29	average	East Jerusalem	PS
-76.70944	-11.94306	2016-04-17	accep	Chosica	PE
-89.10944	13.70167	13 Mar 2019	average	Ilopango	SV
-6.03731	37.35813	2015/11/03	average	San Juan de Aznalfarache	ES
39.25	-6.8	2021-05-25	building	Magomeni	TZ
82.85749	17.54907	2022/09/04	maintenance	Elamanchili	IN
-15.58602	27.76056	03/08/2019, 00:00:00	average	Maspalomas	ES
27.06365	50.18545	01/23/2013, 00:00:00	accep	Shepetivka	UA
21.32778	42	08/30/2020, 00:00:00	building	Saraj	MK
34.11169	0.46005	11/27/2018, 00:00:00	average	Busia	KE
86.59509	26.11527	2015-07-08	accep	Supaul	IN
120.56528	14.66	2016/04/18	excellent	Pilar	PH
34.86563	31.92923	04/05/2022, 00:00:00	accep	Ramla	IL
83.36889	26.76628	2014/08/25	accep	Gorakhpur	IN
-101.2591	21.01858	07/12/2017, 00:00:00	excellent	Guanajuato	MX
42.54536	-0.35817	2020-11-22	excellent	Kismayo	SO
-51.87389	-23.44361	04/24/2018, 00:00:00	maintenance	Sarandi	BR
114.10479	22.37066	02 Aug 2021	good	Tsuen Wan	HK
133.42825	45.47885	03/12/2016, 00:00:00	good	Lesozavodsk	RU
122.05228	37.19723	14 May 2020	accep	Tianfu	CN
-88.81395	35.61452	26 Aug 2019	accep	Jackson	US
24.95034	60.18427	12/01/2015, 00:00:00	accep	Kallio	FI
3.1631	41.91738	05/16/2017, 00:00:00	accep	Palafrugell	ES
-76.43941	39.33427	18 Mar 2015	good	Middle River	US
32.86389	53.95278	22 Apr 2015	accep	Roslavl’	RU
121.96361	6.95194	2019-09-23	maintenance	Recodo	PH
4.74161	7.62789	11 Nov 2021	building	Ilesa	NG
-84.67837	34.06635	11 Mar 2015	excellent	Acworth	US
-76.72803	39.32288	2020/01/21	good	Woodlawn	US
13.57661	37.31065	2020/10/01	good	Agrigento	IT
116.10146	5.90702	2014/01/12	accep	Donggongon	MY
-40.7475	-4.16694	08/01/2013, 00:00:00	excellent	Guaraciaba do Norte	BR
-80.58556	22.98212	2019/12/24	building	Corralillo	CU
72.54566	29.69221	09 May 2020	average	Hasilpur	PK
-51.87389	-23.44361	2022-08-11	building	Sarandi	BR
8.51667	51.88333	10/30/2021, 00:00:00	accep	Verl	DE
5.37429	51.03427	28 May 2019	excellent	Houthalen	BE
10.18003	24.96334	2013/07/17	average	Ghat	LY
32.6178	46.65581	05/01/2022, 00:00:00	building	Kherson	UA
7.2278	50.64336	10 Aug 2022	maintenance	Bad Honnef	DE
105.89333	34.56861	05/17/2020, 00:00:00	accep	Beidao	CN
110.71639	-7.54972	12/23/2017, 00:00:00	accep	Ngemplak	ID
36.36339	0.03813	05/09/2020, 00:00:00	building	Nyahururu	KE
1.6	43.11667	05/20/2015, 00:00:00	good	Pamiers	FR
12.70038	45.9836	21 Oct 2012	average	Cordenons	IT
32.88667	3.27833	2019/11/17	average	Kitgum	UG
-82.46148	28.15112	2016-01-08	maintenance	Lutz	US
-73.02841	-36.9256	2021-09-25	excellent	Chiguayante	CL
35.7	-7.76667	20 Mar 2022	excellent	Iringa	TZ
-99.32556	19.32889	2013/09/24	good	San Lorenzo Acopilco	MX
77.5609	11.00599	14 Apr 2013	excellent	Kangayam	IN
110.71639	-7.54972	24 Nov 2013	accep	Ngemplak	ID
-76.43941	39.33427	2021/02/26	maintenance	Middle River	US
12.16179	48.52961	10/19/2016, 00:00:00	good	Landshut	DE
77.0202	43.41949	2014/05/02	accep	Otegen Batyra	KZ
4.82313	51.24197	2017-06-03	building	Lille	BE
-41.25528	-19.32556	2015/06/18	good	Resplendor	BR
-113.3187	53.51684	2022-04-24	maintenance	Sherwood Park	CA
13.63617	50.50301	2014-06-19	average	Most	CZ
29.65806	-4.83	03/19/2016, 00:00:00	average	Mwandiga	TZ
103.65309	16.0567	2022-03-04	building	Roi Et	TH
-89.64066	40.56754	03/07/2013, 00:00:00	building	Pekin	US
-84.23381	33.54428	2017-05-16	good	Stockbridge	US
-93.75018	32.52515	2013-10-06	excellent	Shreveport	US
-58.44417	-3.14306	14 Jul 2019	average	Itacoatiara	BR
-38.94722	-15.675	2015-02-05	average	Canavieiras	BR
75.16878	30.81383	09/11/2022, 00:00:00	excellent	Moga	IN
86.59509	26.11527	2017-05-28	accep	Supaul	IN
29.91582	31.20176	09/17/2014, 00:00:00	excellent	Alexandria	EG
10.18003	24.96334	12/15/2019, 00:00:00	maintenance	Ghat	LY
75.06583	32.17629	10 Oct 2013	accep	Fazilpur	PK
-73.81669	45.44868	2015/07/05	good	Pointe-Claire	CA
13.58357	-1.63333	25 Nov 2020	average	Franceville	GA
3.16667	50.8	06/22/2014, 00:00:00	average	Wevelgem	BE
-73.75335	45.4473	2019/06/23	maintenance	Dorval	CA
1.00288	49.28669	12/13/2017, 00:00:00	building	Elbeuf	FR
1.04945	35.06544	12/11/2012, 00:00:00	acceptable	Frenda	DZ
-116.37697	33.72255	23 Jul 2021	accep	Palm Desert	US
111.73861	35.20889	04/19/2022, 00:00:00	accep	Changzhi	CN
-5.22126	33.43443	2014-01-10	building	Azrou	MA
-89.64066	40.56754	2013-09-03	building	Pekin	US
-82.32483	29.65163	2017-10-17	good	Gainesville	US
120.57224	15.72892	2019/12/01	accep	Burgos	PH
-5.22126	33.43443	2016/10/15	excellent	Azrou	MA
-2.1875	51.26	2013-10-11	accep	Westbury	GB
-88.3162	42.24113	11 Dec 2021	excellent	Crystal Lake	US
38.01667	-5.41667	2020/05/27	good	Chanika	TZ
73.08333	19.21667	2020-02-13	good	Dombivli	IN
65.50917	44.85278	02/18/2020, 00:00:00	building	Kyzylorda	KZ
56.36091	51.78771	07/05/2022, 00:00:00	excellent	Saraktash	RU
68.88871	25.95533	2018-01-28	building	Jhol	PK
38.16694	54.84444	03 Mar 2021	maintenance	Kashira	RU
117.27583	35.64889	2018-04-27	average	Sishui	CN
13.39954	43.62558	12/19/2013, 00:00:00	accep	Falconara Marittima	IT
-77.70066	43.16547	04/22/2020, 00:00:00	average	Gates-North Gates	US
123.17306	41.27194	09/10/2020, 00:00:00	average	Liaoyang	CN
-71.19901	-30.60106	2022/02/25	average	Ovalle	CL
107.60389	-7.01833	12/26/2020, 00:00:00	building	Pameungpeuk	ID
89.11943	23.9028	21 May 2013	excellent	Kushtia	BD
-75.87877	5.6561	27 Jul 2018	average	Andes	CO
8.73812	41.91886	2013-07-10	good	Ajaccio	FR
36.25361	47.48444	2013-12-24	good	Polohy	UA
113.82465	23.29549	02/06/2022, 00:00:00	accep	Licheng	CN
-38.94722	-15.675	18 Mar 2014	good	Canavieiras	BR
42.7125	11.15583	2013-07-08	accep	'Ali Sabieh	DJ
-59.13316	-37.32167	2019/11/24	building	Tandil	AR
-75.60804	39.96097	08/08/2020, 00:00:00	building	West Chester	US
39.28333	-10.33333	2013-07-29	excellent	Nyangao	TZ
71.52847	32.57756	2016/02/12	accep	Mianwali	PK
43.91385	54.03876	12/13/2017, 00:00:00	building	Kovylkino	RU
-38.79084	-10.95817	19 Dec 2014	excellent	Tucano	BR
-67.15407	18.42745	02/28/2017, 00:00:00	building	Aguadilla	PR
109.05389	-7.51611	08/13/2019, 00:00:00	accep	Wangon	ID
117.33333	34.85	2019/05/06	accep	Taozhuang	CN
140.73667	41.77583	18 Feb 2022	excellent	Hakodate	JP
-47.53028	-22.45667	2016-03-08	average	Santa Gertrudes	BR
124.95278	6.33444	2020-07-08	maintenance	Tupi	PH
-1.4001	7.06273	28 Jul 2020	good	Mampong	GH
88.28637	23.07492	2016-05-05	accep	Pandua	IN
27.18052	39.12074	2017/06/20	maintenance	Bergama	TR
11.412	45.50369	2016/07/23	accep	Montecchio Maggiore-Alte Ceccato	IT
77.40858	24.05979	2018/10/11	excellent	Leteri	IN
13.57661	37.31065	28 Jun 2022	accep	Agrigento	IT
-35.71667	-8.66667	2015/10/31	accep	Catende	BR
77.5609	11.00599	12/25/2015, 00:00:00	accep	Kangayam	IN
29.24152	-26.93366	13 Jul 2015	good	Standerton	ZA
136.51667	35	09 Jul 2019	accep	Komono	JP
-58.44417	-3.14306	2014-05-09	maintenance	Itacoatiara	BR
86.59509	26.11527	2019-11-01	good	Supaul	IN
-52.20639	-3.20333	2022-08-26	excellent	Altamira	BR
2.18967	48.8765	2019/04/15	good	Rueil-Malmaison	FR
138.89585	36.33011	2019-09-07	average	Annaka	JP
136.13108	34.75856	05/06/2013, 00:00:00	maintenance	Ueno-ebisumachi	JP
28.28489	48.15659	26 Jun 2013	excellent	Soroca	MD
-91.73625	35.25064	2016/10/05	building	Searcy	US
8.70745	49.03685	15 Jun 2014	average	Bretten	DE
-119.0376	34.21639	29 Mar 2020	excellent	Camarillo	US
-74.13653	40.63316	2017-10-04	average	Port Richmond	US
19.21437	44.75874	02/16/2022, 00:00:00	excellent	Bijeljina	BA
-120.43572	34.95303	04/19/2020, 00:00:00	accep	Santa Maria	US
0.57856	40.70995	2016-07-12	excellent	Amposta	ES
15.07041	37.49223	07/23/2018, 00:00:00	accep	Catania	IT
7.2278	50.64336	2021/06/29	excellent	Bad Honnef	DE
-71.06616	42.4251	17 Oct 2019	accep	Malden	US
76.92421	60.97944	2020/08/15	excellent	Izluchinsk	RU
13.10984	51.30001	04/17/2019, 00:00:00	good	Oschatz	DE
-84.62081	42.7392	2015/10/13	excellent	Waverly	US
-63.90389	-8.76194	2016/03/01	excellent	Porto Velho	BR
24.71204	41.57439	2014-12-18	excellent	Smolyan	BG
152.70493	-25.54073	2018-02-28	accep	Maryborough	AU
178.00417	-38.65333	02/21/2016, 00:00:00	accep	Gisborne	NZ
128.62667	34.8825	15 Mar 2014	excellent	Sinhyeon	KR
-43.80139	-20.25333	23 Jul 2015	building	Itabirito	BR
-82.32483	29.65163	03/17/2014, 00:00:00	building	Gainesville	US
91.61356	26.44931	2019-02-04	accep	Rangia	IN
13.29371	52.53048	24 Feb 2022	excellent	Charlottenburg-Nord	DE
-111.78903	33.35283	2015-11-12	excellent	Gilbert	US
24.95034	60.18427	02/05/2014, 00:00:00	good	Kallio	FI
3.64633	6.8485	2016/02/20	average	Shagamu	NG
-4.0573	55.82737	2018-02-26	good	Viewpark	GB
47.31667	-19.65	2020/03/03	average	Antanifotsy	MG
150.60036	-34.88422	03/13/2018, 00:00:00	good	Nowra	AU
107.60389	-7.01833	2015-05-24	average	Pameungpeuk	ID
35.90057	56.85836	2022/01/02	average	Tver	RU
89.11943	23.9028	2022/02/07	excellent	Kushtia	BD
2.95924	36.76775	2013/05/06	accep	Cheraga	DZ
38.66667	-6.25	2016/01/28	good	Mvomero	TZ
35.34722	-23.85972	2014-11-06	accep	Maxixe	MZ
29.65806	-4.83	2022-07-25	good	Mwandiga	TZ
-73.25383	-3.74912	20 Dec 2018	average	Iquitos	PE
8.63333	52.2	2016-06-14	average	Kirchlengern	DE
76.0586	16.06213	2013/01/07	excellent	Hungund	IN
-2.09814	57.14369	2013-01-04	good	Aberdeen	GB
8.63333	52.2	2016-06-06	maintenance	Kirchlengern	DE
5.03586	43.83125	12/13/2019, 00:00:00	average	Cavaillon	FR
10.78222	36.46917	2016/05/19	excellent	Beni Khiar	TN
121.3152	14.14989	2015/02/13	accep	Calauan	PH
-99.32556	19.32889	17 Oct 2017	excellent	San Lorenzo Acopilco	MX
-73.99681	40.94065	07/20/2015, 00:00:00	maintenance	Dumont	US
-51.87389	-23.44361	10 Sep 2020	building	Sarandi	BR
38.94324	44.98901	20 Sep 2018	excellent	Yablonovskiy	RU
121.96361	6.95194	2014/08/29	excellent	Recodo	PH
115.8614	-31.95224	2019-03-19	average	Perth	AU
2.18247	41.41204	07/28/2020, 00:00:00	good	el Camp de l'Arpa del Clot	ES
76.11996	11.12018	2021-07-21	good	Manjeri	IN
123.17306	41.27194	03/26/2020, 00:00:00	maintenance	Liaoyang	CN
16.50104	41.24264	30 Jan 2015	good	Bisceglie	IT
136.51667	35	2020/08/02	average	Komono	JP
-1.98956	5.30383	11 Jun 2013	maitennce	Tarkwa	GH
13.58357	-1.63333	2013-06-02	excellent	Franceville	GA
59.4839	58.7002	26 Dec 2013	good	Kachkanar	RU
44.7662	40.49748	23 May 2016	average	Hrazdan	AM
5.16108	48.77275	09 Mar 2022	maintenance	Bar-le-Duc	FR
59.80222	58.63667	09 Apr 2015	average	Lesnoy	RU
-99.73314	32.44874	10/30/2021, 00:00:00	accep	Abilene	US
6.8625	51.47805	2015-07-28	accep	Oberhausen	DE
11.34046	50.72043	2018/10/23	accep	Rudolstadt	DE
-120.93549	37.73604	04/11/2016, 00:00:00	maintenance	Riverbank	US
12.84052	45.78071	12/18/2014, 00:00:00	maintenance	Portogruaro	IT
8.62118	45.44694	02/14/2021, 00:00:00	good	Novara	IT
70.91106	29.38242	02/25/2016, 00:00:00	average	Alipur	PK
75.96976	15.73628	2015-07-03	average	Gajendragarh	IN
-1.06667	53.78333	2012-12-26	maintenance	Selby	GB
120.74792	41.09822	2015-10-01	average	Nanpiao	CN
13.44275	38.07789	2018-07-14	good	Villabate	IT
-7.35	53.53333	10 Dec 2013	excellent	An Muileann gCearr	IE
34.02537	38.37255	2018-06-10	building	Aksaray	TR
-102.04897	19.64745	04/01/2016, 00:00:00	excellent	Paracho de Verduzco	MX
-77.02303	38.70734	2017-05-29	accep	Fort Washington	US
-111.78903	33.35283	2017-08-02	maintenance	Gilbert	US
43.91385	54.03876	11/28/2012, 00:00:00	average	Kovylkino	RU
114.10479	22.37066	08/29/2017, 00:00:00	good	Tsuen Wan	HK
-1.5443	50.75767	08/16/2021, 00:00:00	average	Lymington	GB
6.26764	4.92675	11 Aug 2014	excellent	Yenagoa	NG
-120.43572	34.95303	20 Sep 2019	maintenance	Santa Maria	US
72.93924	18.87813	2017-09-26	average	Uran	IN
-105.11221	39.57582	2021-06-08	accep	Ken Caryl	US
137.23333	35.8	07/21/2022, 00:00:00	average	Gero	JP
-119.48568	49.88307	10/23/2014, 00:00:00	average	Kelowna	CA
76.32756	9.57046	2016-12-02	accep	Kalavoor	IN
-97.03285	47.92526	04/23/2022, 00:00:00	maintenance	Grand Forks	US
140.72287	53.14657	23 Jun 2019	good	Nikolayevsk-on-Amure	RU
-60.94228	14.67751	2015/08/03	excellent	Le Robert	MQ
-0.91979	51.42708	2017-05-13	excellent	Lower Earley	GB
130.57211	45.75279	07/30/2013, 00:00:00	average	Boli	CN
-9.24671	38.72706	2012-12-09	good	Carnaxide	PT
123.50266	41.94175	17 Oct 2013	maintenance	Hushitai	CN
-78.04471	34.25628	09 Jul 2017	average	Leland	US
-13.2356	8.48714	10 Jul 2015	average	Freetown	SL
37.38115	55.63711	2016-10-16	accep	Solntsevo	RU
59.6	47.83333	2022/09/21	building	Shalqar	KZ
6.74549	49.5099	26 Nov 2014	average	Losheim	DE
117.59152	3.31332	04/16/2020, 00:00:00	building	Tarakan	ID
86.00214	46.51872	12/04/2021, 00:00:00	maintenance	Hoxtolgay	CN
-1.48119	53.0233	14 Jun 2017	average	Belper	GB
6.83042	6.15038	2020/09/11	excellent	Nkpor	NG
1.04945	35.06544	08/08/2017, 00:00:00	building	Frenda	DZ
-71.05977	42.35843	2017-07-31	average	Boston	US
120.57224	15.72892	2020/05/13	accep	Burgos	PH
-41.88778	-21.205	16 Aug 2014	average	Itaperuna	BR
-117.29198	33.03699	07 Feb 2015	accep	Encinitas	US
9.02596	48.21644	2017/06/10	accep	Albstadt	DE
-40.7475	-4.16694	2014-06-24	excellent	Guaraciaba do Norte	BR
13.29371	52.53048	2013/10/03	average	Charlottenburg-Nord	DE
-120.00865	46.32374	01/23/2019, 00:00:00	maintenance	Sunnyside	US
-58.44417	-3.14306	05/08/2014, 00:00:00	building	Itacoatiara	BR
138.89585	36.33011	10/16/2013, 00:00:00	good	Annaka	JP
129.96972	33.4425	2016-05-31	excellent	Karatsu	JP
-76.70944	-11.94306	2020/04/19	maintenance	Chosica	PE
4.69889	50.56149	2016/12/23	accep	Gembloux	BE
121.12251	14.62578	07 Oct 2015	average	Antipolo	PH
-79.2663	43.86682	10/31/2013, 00:00:00	accep	Markham	CA
-3.59625	5.27247	21 Feb 2013	good	Bonoua	CI
-88.27205	44.27804	10/13/2017, 00:00:00	building	Kaukauna	US
-98.1664	19.32932	2019/09/05	good	Contla	MX
-85.76942	39.78504	2021-12-17	excellent	Greenfield	US
-0.76773	38.38479	2016/02/12	average	Novelda	ES
5.06258	7.50251	02/28/2019, 00:00:00	accep	Igbara-Odo	NG
74.80555	34.08565	2017/08/18	average	Srinagar	IN
-122.40433	37.71715	08 Apr 2019	good	Visitacion Valley	US
-84.23381	33.54428	2017-04-12	good	Stockbridge	US
12.70038	45.9836	2016/08/25	excellent	Cordenons	IT
26.01649	44.43579	30 Jun 2021	maintenance	Sector 6	RO
-2.58736	56.56317	2018/06/18	excellent	Arbroath	GB
-7.35	53.53333	05 Sep 2021	maintenance	An Muileann gCearr	IE
-73.26022	6.46838	04/23/2013, 00:00:00	average	Socorro	CO
7.36027	51.20219	2016/11/18	average	Radevormwald	DE
152.70493	-25.54073	2022/04/03	average	Maryborough	AU
12.38878	43.1122	2019-08-18	excellent	Perugia	IT
-84.20299	39.43534	2020-03-12	excellent	Lebanon	US
-76.88442	40.2737	01 Nov 2019	good	Harrisburg	US
-13.68778	9.535	01/13/2020, 00:00:00	accep	Camayenne	GN
-69.08333	-16.25	03 Jul 2015	average	Yunguyo	PE
86.79271	25.92127	2016-06-21	accep	Madhipura	IN
140.73667	41.77583	22 Jan 2019	accep	Hakodate	JP
-84.20299	39.43534	2020/03/01	average	Lebanon	US
13.39954	43.62558	17 Jan 2021	good	Falconara Marittima	IT
14.51472	35.89972	2017/08/18	accep	Valletta	MT
-73.89125	40.67705	18 Nov 2016	good	Cypress Hills	US
70.91106	29.38242	2018/07/09	accep	Alipur	PK
-68.3	-54.8	2017/04/28	excellent	Ushuaia	AR
113.69785	-7.73379	09/21/2013, 00:00:00	good	Besuki	ID
120.03308	28.88162	2017/02/26	average	Guli	CN
16.91667	-21.98333	2015/11/28	average	Okahandja	NA
48.87498	38.45598	2020/01/26	accep	Astara	AZ
-62.64102	8.35122	2019/01/03	accep	Ciudad Guayana	VE
28.19028	59.37722	04/02/2014, 00:00:00	good	Narva	EE
-76.88442	40.2737	27 Dec 2019	excellent	Harrisburg	US
86.79271	25.92127	2014/01/15	building	Madhipura	IN
-87.70172	41.72059	2015-09-06	accep	Evergreen Park	US
5.58472	52.14	2020/02/21	excellent	Barneveld	NL
46.10925	43.35071	24 Nov 2012	excellent	Gudermes	RU
34.4587	-13.7804	2022/08/07	excellent	Salima	MW
-74.07764	40.72816	02/02/2013, 00:00:00	accep	Jersey City	US
4.7934	45.69558	2021/11/05	accep	Saint-Genis-Laval	FR
74.83554	14.62072	2018-08-27	average	Sirsi	IN
-70.92866	42.52787	09/02/2015, 00:00:00	average	Peabody	US
76.12647	32.55531	2018/10/18	accep	Chamba	IN
9.15013	13.70727	07 Jun 2019	good	Mirriah	NE
42.54536	-0.35817	05/14/2018, 00:00:00	excellent	Kismayo	SO
-73.89875	40.93121	12 Oct 2014	accep	Yonkers	US
-0.45877	46.32313	2021/11/16	accep	Niort	FR
-73.99681	40.94065	10/20/2021, 00:00:00	average	Dumont	US
119.58627	23.5654	01/24/2020, 00:00:00	good	Magong	TW
102.56365	13.65805	2020-06-14	excellent	Paoy Paet	KH
115.8614	-31.95224	17 Mar 2018	accep	Perth	AU
-6.00137	33.42585	2018-05-13	excellent	Oulmes	MA
-72.09391	18.65297	11/11/2018, 00:00:00	accep	Thomazeau	HT
85.83636	25.66795	2019/10/15	good	Dalsingh Sarai	IN
1.53414	42.50729	2018/09/06	excellent	les Escaldes	AD
-98.11889	19.04222	2021/05/01	good	Casa Blanca	MX
-72.09391	18.65297	2017/04/06	good	Thomazeau	HT
10.5511	52.47774	12/21/2020, 00:00:00	maintenance	Gifhorn	DE
75.11937	20.88098	2020-05-28	maintenance	Parola	IN
2.1699	48.98994	2017-05-25	excellent	Herblay	FR
