location	station	longitude	latitude	revision	QoS
America/Managua	Jinotepe	-86.19903	11.84962	01/01/2022, 00:00:00	average
Asia/Kolkata	Supaul	86.59509	26.11527	03/18/2022, 00:00:00	excellent
Asia/Karachi	Mianwali	71.52847	32.57756	09/26/2015, 00:00:00	good
Europe/Berlin	Gauting	11.37703	48.06919	2015-11-22	accep
America/Chicago	Shreveport	-93.75018	32.52515	2019/08/06	average
Asia/Tashkent	Andijon	72.34424	40.78206	11/09/2013, 00:00:00	good
Europe/Saratov	Privolzhskiy	46.04833	51.40944	2021-06-18	maintenance
Europe/Moscow	Tyoply Stan	37.49338	55.62047	2016-08-16	good
Europe/Madrid	el Camp de l'Arpa del Clot	2.18247	41.41204	11/22/2013, 00:00:00	maintenance
America/Phoenix	Scottsdale	-111.89903	33.50921	02/06/2022, 00:00:00	accep
Asia/Karachi	Kot Addu	70.96699	30.46907	06/24/2016, 00:00:00	good
Europe/Sarajevo	Bijeljina	19.21437	44.75874	18 Aug 2016	accep
America/New_York	New Canaan	-73.49484	41.14676	2016/04/14	average
Asia/Bangkok	Nakhon Pathom	100.04427	13.8196	27 Aug 2021	excellent
Asia/Jerusalem	Ganei Tikva	34.8732	32.05971	2015-09-15	accep
America/Chicago	Muskogee	-95.36969	35.74788	2020/06/24	accep
Europe/Madrid	Jumilla	-1.325	38.47917	2013/09/23	maintenance
Asia/Bangkok	Damnoen Saduak	99.95469	13.51825	25 Aug 2022	good
Asia/Kolkata	Saharsa	86.59611	25.87498	10/28/2013, 00:00:00	average
Asia/Jakarta	Pekanbaru	101.44167	0.51667	22 Mar 2017	excellent
Asia/Manila	Talisay	122.9666	10.7375	2014-07-31	good
Asia/Phnom_Penh	Paoy Paet	102.56365	13.65805	07/07/2020, 00:00:00	average
Europe/Paris	Ajaccio	8.73812	41.91886	2017-09-25	maintenance
America/Chicago	South Lawndale	-87.71255	41.84364	2022/03/13	building
Asia/Manila	Santa Catalina	122.8637	9.3337	2013/01/12	accep
Asia/Barnaul	Novosilikatnyy	83.62389	53.30972	2014/08/09	good
America/Chicago	Crystal Lake	-88.3162	42.24113	09 Aug 2018	good
Asia/Jakarta	Randudongkal	109.3243	-7.0981	2020-04-15	accep
Europe/Skopje	Bogovinje	20.91361	41.92361	01 Feb 2020	accep
America/Chicago	Estelle	-90.10674	29.84576	2014/04/21	excellent
Europe/Rome	Lanciano	14.39024	42.22718	2013/12/17	excellent
Europe/Berlin	Wittenau	13.32127	52.59319	05/25/2018, 00:00:00	average
Asia/Kolkata	Narwar	77.9129	25.6439	2014/11/19	building
Europe/Paris	La Garenne-Colombes	2.2469	48.90472	2017-08-25	accep
America/La_Paz	Tupiza	-65.71875	-21.44345	08/09/2015, 00:00:00	good
America/New_York	Front Royal	-78.19444	38.91817	2017/09/24	average
America/Guayaquil	Cuenca	-79.00453	-2.90055	01 Oct 2014	excellent
Europe/Minsk	Dobrush	31.3237	52.4089	2016/07/02	building
America/Los_Angeles	Bothell West	-122.24064	47.80527	2019/06/05	accep
Europe/Rome	Misterbianco	15.00913	37.51803	07/16/2019, 00:00:00	accep
Asia/Manila	Jagna	124.3697	9.6531	2019/12/03	excellent
Europe/Moscow	Arzamas	43.83992	55.39485	03 Jul 2014	accep
Africa/Algiers	Bordj Zemoura	4.85668	36.27462	2021/12/15	excellent
America/Los_Angeles	San Gabriel	-118.10583	34.09611	2017-12-09	accep
America/New_York	Sterling	-77.4286	39.00622	2013/01/16	average
Africa/Gaborone	Tonota	27.46153	-21.44236	12/12/2021, 00:00:00	good
Asia/Kolkata	Sheoganj	73.06784	25.13915	08/19/2018, 00:00:00	maintenance
Europe/Moscow	Malakhovka	38.02486	55.64776	2019-03-06	excellent
Europe/Minsk	Dobrush	31.3237	52.4089	12/13/2017, 00:00:00	building
America/Los_Angeles	Laguna Niguel	-117.70755	33.52253	20 Mar 2022	good
Asia/Kolkata	Hungund	76.0586	16.06213	2012-11-20	excellent
Asia/Tokyo	Ina	137.95378	35.82756	14 Nov 2015	good
Europe/Berlin	Dahlem	13.28702	52.4581	07/27/2018, 00:00:00	accep
Europe/Madrid	Gernika-Lumo	-2.68333	43.31667	2017/11/22	accep
Asia/Jakarta	Sukabumi	106.92667	-6.91806	2021/09/27	excellent
Europe/Skopje	Bogovinje	20.91361	41.92361	2014/08/24	accep
Asia/Kolkata	Uran	72.93924	18.87813	06/18/2021, 00:00:00	good
Asia/Kuala_Lumpur	Batu Feringgi	100.24529	5.4709	10/10/2019, 00:00:00	accep
Europe/London	Exeter	-3.52751	50.7236	23 Sep 2016	excellent
Africa/Lagos	Argungu	4.52514	12.74482	2017/07/03	average
America/Chicago	Hueytown	-86.99666	33.45122	2013-06-10	accep
America/Port-au-Prince	Croix-des-Bouquets	-72.22625	18.57677	14 Mar 2013	excellent
Europe/London	Hartley	0.30367	51.38673	15 Aug 2015	excellent
America/New_York	Yonkers	-73.89875	40.93121	2018-07-20	acceptable
America/Managua	Somoto	-86.58208	13.48082	2016-06-03	building
America/Toronto	Sainte-Catherine	-73.58248	45.40008	12 Apr 2020	accep
Europe/Warsaw	Zgorzelec	15.00835	51.14942	2014/02/15	good
Asia/Shanghai	Taozhuang	117.33333	34.85	09/01/2019, 00:00:00	average
Europe/Prague	Most	13.63617	50.50301	2014-07-23	excellent
America/Chicago	Brentwood Estates	-86.77917	36.02506	27 Sep 2015	excellent
Asia/Kolkata	Kenda	86.51499	23.1959	2016-05-06	accep
America/Chicago	Fresno	-95.44744	29.53885	16 Apr 2016	excellent
Europe/Berlin	Charlottenburg-Nord	13.29371	52.53048	2020/11/16	accep
Africa/Tunis	El Alia	10.03478	37.16911	2016-10-05	good
Asia/Kolkata	Saharsa	86.59611	25.87498	03/05/2015, 00:00:00	average
America/New_York	Norwalk	-82.61573	41.24255	12 Jul 2022	average
Asia/Seoul	Eisen	128.63083	36.82167	2020-11-20	good
Europe/Stockholm	Hudiksvall	17.10558	61.72744	2013-05-25	maintenance
America/Toronto	Sainte-Catherine	-73.58248	45.40008	08/24/2020, 00:00:00	average
America/Mexico_City	Jocotepec	-103.42897	20.28527	03/11/2016, 00:00:00	accep
America/New_York	Fitchburg	-71.8023	42.58342	2016-07-15	excellent
Europe/Istanbul	Gaziantep	37.3825	37.05944	2017/10/16	maintenance
Europe/Moscow	Roslavl’	32.86389	53.95278	08/29/2014, 00:00:00	good
Europe/Sofia	Aytos	27.25	42.7	2014-12-08	excellent
Europe/Berlin	Schleswig	9.5586	54.52156	28 Apr 2018	accep
America/Glace_Bay	Sydney	-60.1831	46.1351	2021/05/27	accep
Australia/Sydney	Nowra	150.60036	-34.88422	07/26/2017, 00:00:00	average
Asia/Shanghai	Taozhuang	117.33333	34.85	06 Sep 2021	accep
Europe/Berlin	Losheim	6.74549	49.5099	18 Sep 2014	accep
Europe/Rome	Sassari	8.55552	40.72586	2022/02/22	excellent
Africa/Accra	Bibiani	-2.31938	6.46346	10/01/2019, 00:00:00	excellent
America/Chicago	Tupelo	-88.70464	34.25807	2020/03/08	building
Asia/Kolkata	Betamcherla	78.14797	15.45144	21 May 2019	good
Australia/Sydney	Eastwood	151.08057	-33.79176	2022/05/09	accep
America/Jamaica	New Kingston	-76.78319	18.00747	10 Mar 2020	maintenance
America/Sao_Paulo	Caldas Novas	-48.62789	-17.74431	2017/09/17	excellent
Europe/Moscow	Solntsevo	37.38115	55.63711	2016-11-11	accep
America/Maceio	Lagarto	-37.65	-10.91722	2014/07/10	excellent
America/Maceio	Barra dos Coqueiros	-37.03861	-10.90889	02 Nov 2021	excellent
Europe/Helsinki	Kallio	24.95034	60.18427	23 Oct 2016	maintenance
Europe/Moscow	Stupino	38.07083	54.90083	12/05/2012, 00:00:00	accep
America/Chicago	South Lawndale	-87.71255	41.84364	2021-04-02	good
America/Manaus	Itacoatiara	-58.44417	-3.14306	08/28/2019, 00:00:00	accep
Asia/Jakarta	Besuki	113.69785	-7.73379	05/01/2014, 00:00:00	good
America/Toronto	Beaconsfield	-73.86586	45.43341	2017/07/17	good
America/Los_Angeles	Keizer	-123.02621	44.99012	09/27/2018, 00:00:00	excellent
Europe/Paris	Pamiers	1.6	43.11667	13 Feb 2022	accep
Asia/Dushanbe	Vahdat	69.01354	38.55632	2014-12-31	good
Africa/Dar_es_Salaam	Chanika	38.01667	-5.41667	02/08/2020, 00:00:00	accep
America/New_York	Toledo	-83.55521	41.66394	01/20/2018, 00:00:00	maintenance
Europe/Rome	Tortona	8.86374	44.89784	2017-01-13	excellent
Africa/Lagos	Lagos	3.39467	6.45407	01/01/2019, 00:00:00	maintenance
Asia/Krasnoyarsk	Sharypovo	89.20083	55.54028	2017/07/02	maintenance
Asia/Makassar	Majene	118.9707	-3.5403	11/04/2020, 00:00:00	accep
America/Chicago	Greenville	-91.06177	33.41012	30 Jul 2019	average
Europe/Warsaw	Reda	18.34717	54.60528	2013/06/06	building
Asia/Bangkok	Bang Ban	100.48528	14.37395	11/20/2013, 00:00:00	maintenance
Asia/Manila	Pilar	120.56528	14.66	2021/04/24	average
Europe/London	Barnet	-0.2	51.65	2022-09-26	average
Asia/Kolkata	Sambalpur	83.97573	21.46527	2013/08/04	average
America/Los_Angeles	Keizer	-123.02621	44.99012	04 Sep 2013	accep
Europe/Madrid	el Camp de l'Arpa del Clot	2.18247	41.41204	09/28/2017, 00:00:00	building
America/Jamaica	New Kingston	-76.78319	18.00747	30 Oct 2013	good
Pacific/Auckland	Timaru	171.25364	-44.39672	2019-09-04	average
Asia/Kolkata	Dombivli	73.08333	19.21667	11/04/2017, 00:00:00	accep
Africa/Lagos	Biu	12.19458	10.61285	2022/05/25	good
Europe/Berlin	Stade	9.47629	53.59337	03/15/2016, 00:00:00	accep
Europe/Vilnius	Alytus	24.04142	54.39635	08 Apr 2016	accep
Africa/Gaborone	Tonota	27.46153	-21.44236	09/10/2017, 00:00:00	building
Africa/Accra	Bibiani	-2.31938	6.46346	28 May 2015	accep
Asia/Taipei	Magong	119.58627	23.5654	09/23/2022, 00:00:00	excellent
Europe/Kiev	Kherson	32.6178	46.65581	2021-10-15	excellent
America/New_York	Scotch Plains	-74.38987	40.65538	2015/08/19	accep
Africa/Douala	Tonga	10.7	4.96667	2014-07-24	average
Asia/Kolkata	Barbil	85.37752	22.10194	2014-06-29	maintenance
Europe/Madrid	Cardedeu	2.35739	41.63976	05 Jan 2016	accep
America/Mazatlan	Acaponeta	-105.36369	22.49396	2021/01/12	average
Europe/London	Winsford	-2.52398	53.19146	05 Jul 2013	building
Asia/Kolkata	Rafiganj	84.63445	24.81757	01 Sep 2013	building
Africa/Abidjan	Bonoua	-3.59625	5.27247	03/30/2021, 00:00:00	building
Europe/Berlin	Stade	9.47629	53.59337	05/09/2020, 00:00:00	maintenance
Europe/Paris	Marly-le-Roi	2.08333	48.86667	2021-08-29	maintenance
Asia/Kolkata	Haldwani	79.5286	29.22254	11/07/2015, 00:00:00	average
Europe/Stockholm	Hudiksvall	17.10558	61.72744	05 Jan 2019	average
Africa/Casablanca	Temara	-6.90656	33.92866	03/10/2018, 00:00:00	average
Asia/Yekaterinburg	Kachkanar	59.4839	58.7002	27 Sep 2016	excellent
Asia/Tokyo	Toyokawa	137.4	34.81667	12/03/2020, 00:00:00	excellent
America/Los_Angeles	Pahrump	-115.98391	36.20829	2014/09/16	accep
Asia/Jakarta	Pekanbaru	101.44167	0.51667	2015-07-07	excellent
Europe/Berlin	Hofheim am Taunus	8.4493	50.09019	16 Jun 2021	maintenance
America/Mexico_City	Teziutlan	-97.35992	19.8173	02/03/2016, 00:00:00	average
America/La_Paz	Tupiza	-65.71875	-21.44345	20 Apr 2014	excellent
Africa/Algiers	Cheraga	2.95924	36.76775	2019/05/28	accep
Europe/Skopje	Bogovinje	20.91361	41.92361	04/03/2014, 00:00:00	maintenance
Europe/Moscow	Novopavlovsk	43.63417	43.96222	08/17/2015, 00:00:00	average
America/Chicago	Longview	-94.74049	32.5007	14 Jun 2013	accep
America/Puerto_Rico	Aguadilla	-67.15407	18.42745	2018/03/08	good
Asia/Taipei	Magong	119.58627	23.5654	05/11/2015, 00:00:00	average
Europe/Berlin	Karben	8.77155	50.23019	09/19/2016, 00:00:00	average
Europe/Zurich	Onex	6.10237	46.18396	2017/08/07	average
Asia/Tokyo	Shinshiro	137.5	34.9	13 Nov 2017	accep
Europe/Dublin	Athlone	-7.95	53.43333	2014-10-26	average
Asia/Manila	Guyong	120.97844	14.8361	10/08/2017, 00:00:00	excellent
America/Panama	Chilibre	-79.62098	9.15093	2018/03/12	accep
Africa/Nairobi	Busia	34.11169	0.46005	20 Dec 2013	average
America/Mexico_City	Teziutlan	-97.35992	19.8173	2020/05/25	average
Europe/Vilnius	Ukmerge	24.75	55.25	2016-06-04	maintenance
Europe/Moscow	Petrozavodsk	34.34691	61.78491	08 Jan 2016	accep
Europe/Moscow	Valday	33.2525	57.97472	03/14/2013, 00:00:00	excellent
America/Indiana/Indianapolis	Greenfield	-85.76942	39.78504	01 Mar 2017	average
Europe/Moscow	Kovylkino	43.91385	54.03876	2018/02/28	good
Africa/Tunis	Beni Khiar	10.78222	36.46917	2021-07-27	good
America/Maceio	Lagarto	-37.65	-10.91722	01/20/2019, 00:00:00	building
America/Sao_Paulo	Itabirito	-43.80139	-20.25333	27 May 2021	good
America/Los_Angeles	Porterville	-119.01677	36.06523	2015/02/11	accep
Africa/Dar_es_Salaam	Iringa	35.7	-7.76667	2019/05/02	good
Asia/Krasnoyarsk	Sharypovo	89.20083	55.54028	2019/11/17	average
Asia/Karachi	Jhol	68.88871	25.95533	06/06/2013, 00:00:00	excellent
Europe/Volgograd	Mikhaylovka	43.2379	50.06	12/17/2018, 00:00:00	accep
Asia/Kolkata	Gingee	79.41727	12.25282	04 Jun 2014	building
America/Chicago	New City	-87.65644	41.80753	2016-02-23	excellent
America/New_York	Front Royal	-78.19444	38.91817	2015-11-10	accep
Europe/Helsinki	Tornio	24.14662	65.84811	02/21/2015, 00:00:00	building
Asia/Kolkata	Gariadhar	71.57737	21.53889	2021/03/29	maintenance
Europe/Berlin	Friedberg	10.98461	48.35693	2021-11-10	maintenance
America/Havana	Corralillo	-80.58556	22.98212	27 Jul 2018	excellent
Asia/Tehran	Shahre Jadide Andisheh	51.0193	35.6803	2019/04/24	good
America/New_York	Harrisburg	-76.88442	40.2737	2016-04-10	accep
Europe/London	Great Wyrley	-2.01111	52.66277	2021-01-28	excellent
Europe/Kiev	Hlukhiv	33.9162	51.67822	23 Jan 2015	average
Europe/London	Cowes	-1.29772	50.76306	2018/01/18	building
Europe/London	Lancing	-0.32247	50.82882	03/19/2013, 00:00:00	accep
Europe/Berlin	Stuttgart	9.17702	48.78232	16 Nov 2019	maintenance
Europe/Moscow	Solntsevo	37.38115	55.63711	13 May 2020	building
America/Sao_Paulo	Marau	-52.2	-28.44917	2013/10/25	excellent
Europe/Belgrade	Glogovac	20.89389	42.62833	2021/09/18	good
Europe/Brussels	Wevelgem	3.16667	50.8	2012-11-04	building
Europe/Paris	Vienne	4.86667	45.51667	2021-09-15	excellent
America/Mexico_City	Tuxtla	-93.11308	16.75973	13 Jun 2017	accep
Europe/London	Thetford	0.75	52.41667	2014/05/28	accep
Europe/Zurich	Adliswil	8.52462	47.30997	2015/01/16	building
Asia/Jakarta	Sukabumi	106.92667	-6.91806	30 Apr 2014	maintenance
America/Los_Angeles	Porterville	-119.01677	36.06523	2018/10/24	building
Europe/Moscow	Arzamas	43.83992	55.39485	2019-10-07	average
America/Santo_Domingo	Santa Cruz de Barahona	-71.10077	18.20854	2015-05-02	maintenance
America/Merida	Progreso	-89.66123	21.28306	2013/10/06	average
Asia/Tehran	Darreh Shahr	47.3799	33.14447	16 Mar 2013	excellent
Asia/Krasnoyarsk	Lesosibirsk	92.48278	58.23583	28 Jan 2019	average
Europe/Berlin	Bad Segeberg	10.30215	53.94313	12/08/2018, 00:00:00	good
Africa/Kampala	Arua	30.91105	3.02013	07/07/2017, 00:00:00	maintenance
America/Los_Angeles	Opportunity	-117.23991	47.64995	2016/04/24	accep
Indian/Antananarivo	Antanifotsy	47.31667	-19.65	15 Feb 2015	average
America/New_York	Sterling	-77.4286	39.00622	12 Mar 2017	maintenance
America/Tegucigalpa	Olanchito	-86.57415	15.48131	2015-12-02	building
America/New_York	Bridgeport	-73.20483	41.16704	02 Mar 2016	accep
Asia/Makassar	Majene	118.9707	-3.5403	2021-02-22	building
America/New_York	Middle River	-76.43941	39.33427	2017-03-22	excellent
Africa/Algiers	Bordj Zemoura	4.85668	36.27462	2015/06/05	maintenance
Asia/Kolkata	Sambalpur	83.97573	21.46527	06/25/2013, 00:00:00	excellent
Asia/Manila	Dipolog	123.33471	8.56697	2022-03-09	maintenance
Africa/Algiers	Thenia	3.55665	36.72544	2013-02-11	excellent
Europe/Berlin	Korschenbroich	6.51352	51.19139	2015-03-06	good
Africa/Lagos	Kafanchan	8.2926	9.58126	2020-08-31	good
Europe/London	Winsford	-2.52398	53.19146	2020/05/02	building
America/Los_Angeles	Lompoc	-120.45794	34.63915	03/10/2016, 00:00:00	good
Europe/Belgrade	Sremska Mitrovica	19.61222	44.97639	07/11/2014, 00:00:00	accep
Europe/Berlin	Halstenbek	9.85	53.63333	12/02/2015, 00:00:00	building
Australia/Perth	Perth	115.8614	-31.95224	08/01/2017, 00:00:00	accep
America/Bogota	Madrid	-74.26419	4.73245	11/10/2015, 00:00:00	maintenance
America/Chicago	Palestine	-95.63079	31.76212	2013-03-17	average
America/New_York	Leland	-78.04471	34.25628	2017/04/12	excellent
Europe/Moscow	Petrozavodsk	34.34691	61.78491	2021-11-07	accep
Asia/Tokyo	Fujioka	139.07204	36.24624	29 Nov 2016	good
Africa/Douala	Tonga	10.7	4.96667	2017/04/28	good
Australia/Sydney	Griffith	146.05093	-34.28853	27 Oct 2013	excellent
America/Toronto	Dorval	-73.75335	45.4473	12/24/2017, 00:00:00	average
America/Santiago	Chiguayante	-73.02841	-36.9256	2014/07/24	average
Europe/Berlin	Rudolstadt	11.34046	50.72043	2015-10-23	average
Asia/Yekaterinburg	Lesnoy	59.80222	58.63667	2019-03-07	average
Europe/Rome	San Giuliano Milanese	9.29109	45.39402	05/22/2016, 00:00:00	good
Europe/Lisbon	Custoias	-7.32097	41.1053	2017/07/12	accep
America/New_York	Toledo	-83.55521	41.66394	18 Jan 2020	accep
Europe/Rome	Gorgonzola	9.40531	45.53069	06/15/2016, 00:00:00	good
Europe/Madrid	Villaquilambre	-5.55835	42.64685	10/14/2013, 00:00:00	good
America/Mexico_City	San Lorenzo Acopilco	-99.32556	19.32889	2019/12/23	good
America/Santo_Domingo	Santa Cruz de Barahona	-71.10077	18.20854	07/03/2017, 00:00:00	accep
Asia/Shanghai	Hushitai	123.50266	41.94175	19 Jun 2019	accep
America/New_York	Bon Air	-77.55777	37.52487	21 Jun 2013	accep
America/Managua	Jinotepe	-86.19903	11.84962	2021-03-21	average
Europe/Paris	Saint-Genis-Laval	4.7934	45.69558	2017-03-25	average
Europe/Berlin	Losheim	6.74549	49.5099	2014/12/25	accep
Europe/Moscow	Gavrilov-Yam	39.85331	57.30185	12/18/2018, 00:00:00	building
America/Chicago	Copperas Cove	-97.90308	31.12406	2013/02/11	good
Europe/London	Belper	-1.48119	53.0233	2017/01/24	excellent
Europe/Moscow	Roslavl’	32.86389	53.95278	09 Dec 2017	excellent
Europe/Tallinn	Narva	28.19028	59.37722	2016/06/10	average
America/Matamoros	Heroica Matamoros	-97.50417	25.87972	14 Dec 2019	accep
Asia/Shanghai	Jiangyan	120.14278	32.50611	08/25/2021, 00:00:00	maintenance
Africa/Johannesburg	Standerton	29.24152	-26.93366	20 Jun 2018	average
Asia/Seoul	Goyang-si	126.835	37.65639	2018/06/28	average
America/Chicago	Tupelo	-88.70464	34.25807	2017-02-20	maintenance
Europe/Rome	Volla	14.34085	40.87363	2021-05-26	maintenance
America/Argentina/Cordoba	Esperanza	-60.93173	-31.4488	2019-02-28	accep
Europe/Brussels	Wevelgem	3.16667	50.8	11/18/2017, 00:00:00	good
Europe/Berlin	Memmingen	10.18527	47.98372	2022/01/07	building
Asia/Tokyo	Minokamo	137.02166	35.48199	28 Mar 2021	building
Asia/Kolkata	Puducherry	79.82979	11.93381	2017-02-22	good
Europe/Sarajevo	Bijeljina	19.21437	44.75874	2022-02-05	accep
Europe/Volgograd	Mikhaylovka	43.2379	50.06	2015-07-15	excellent
Asia/Kolkata	Aistala	88.58	23.18	2017-09-21	excellent
Europe/Dublin	An Muileann gCearr	-7.35	53.53333	02/21/2016, 00:00:00	excellent
Europe/Kiev	Artsyz	29.41824	45.99194	2019-07-26	maintenance
America/Detroit	Canton	-83.48216	42.30865	2018/09/28	excellent
America/New_York	Palm Valley	-81.38758	30.17746	26 Feb 2013	average
America/Los_Angeles	South Whittier	-118.03917	33.95015	09/27/2018, 00:00:00	excellent
Africa/Douala	Tonga	10.7	4.96667	2014/09/28	accep
Asia/Tokyo	Annaka	138.89585	36.33011	06/02/2013, 00:00:00	accep
Europe/Rome	Lanciano	14.39024	42.22718	07/05/2016, 00:00:00	maintenance
America/Los_Angeles	Indio	-116.21677	33.7207	2019/12/29	good
Europe/Podgorica	Budva	18.84	42.28639	2021/03/17	average
Asia/Kolkata	Supaul	86.59509	26.11527	2019-07-12	excellent
Asia/Tokyo	Yamada	141.95	39.46667	2018-01-01	accep
Europe/Rome	Bisceglie	16.50104	41.24264	2014/08/17	maitennce
America/Chicago	Muskogee	-95.36969	35.74788	07/13/2016, 00:00:00	accep
America/New_York	Scotch Plains	-74.38987	40.65538	2021-08-24	accep
Asia/Shanghai	Xinzhou	112.73333	38.40917	11/23/2014, 00:00:00	average
Europe/Sofia	Aytos	27.25	42.7	2015-06-14	excellent
Europe/Istanbul	Bergama	27.18052	39.12074	2018-05-05	maintenance
Europe/Paris	Bar-le-Duc	5.16108	48.77275	12 Jul 2021	accep
Asia/Jakarta	Muncar	114.33333	-8.43333	2018-11-17	maintenance
Asia/Manila	Pilar	120.56528	14.66	09/12/2020, 00:00:00	accep
America/New_York	Taunton	-71.08977	41.9001	10/23/2020, 00:00:00	maintenance
Asia/Kolkata	Moga	75.16878	30.81383	10/21/2019, 00:00:00	maintenance
Asia/Dili	Maliana	125.21972	-8.99167	10 Sep 2014	good
Europe/Stockholm	Boo	18.28333	59.33333	03/03/2015, 00:00:00	building
America/Chicago	Fairview Heights	-89.99038	38.58894	2021/09/10	maitennce
America/Denver	Aurora	-104.83192	39.72943	08 Aug 2018	accep
America/Argentina/Buenos_Aires	Pontevedra	-58.70072	-34.74785	2017-10-31	maintenance
Europe/Prague	Most	13.63617	50.50301	2014-03-05	excellent
America/Argentina/Tucuman	Aguilares	-65.61427	-27.4338	2020-01-10	good
Asia/Shanghai	Pingyi	117.63083	35.50056	12/15/2012, 00:00:00	maintenance
America/Chicago	Huntley	-88.42814	42.16808	2014/04/03	building
Africa/Dar_es_Salaam	Iringa	35.7	-7.76667	2021/09/05	average
Europe/Berlin	Barmbek-Nord	10.03988	53.6052	26 Nov 2013	excellent
America/Chicago	Jackson	-88.81395	35.61452	2018-06-13	building
America/Chicago	Columbia Heights	-93.263	45.0408	02/23/2014, 00:00:00	excellent
America/Panama	Chilibre	-79.62098	9.15093	2014/06/06	accep
Europe/Paris	Marseille 11	5.4384	43.2907	15 Apr 2019	accep
America/New_York	Thomasville	-80.08199	35.88264	2022/05/24	average
