SO2	H2CO	PM2.5	TEMP	CFCs	NOx	PRES	warning	longitude	CO	Pb	O3	latitude	PAHs	C2H3NO5	PM10	NH3	CH4
9.99297	60.91875	10.31095	5.75490	64.60079	7.92861	1086.96807	0.00000	37.99117	9.08337	45.77152	6.25371	44.92934	7.84203	1.40657	6.72819	9.03223	10.01645
9.88734	37.21732	9.82870	16.87023	55.54077	8.97443	1060.07186	0.00000	123.62494	6.11594	44.35932	7.83310	12.37169	8.06386	1.46217	7.15208	9.07797	9.17358
9.91817	34.43146	7.83990	25.24775	63.10531	7.44810	1143.22675	1.00000	-89.10944	5.17875	73.08886	10.59072	13.70167	7.82334	1.68010	7.96517	9.53549	8.64306
9.26269	46.66664		21.66998	66.05801	7.91906	1188.02824	1.00000	120.56528	10.31210	44.15014	8.53782	14.66	8.49796	0.96150	5.82568	8.77443	8.80649
10.05820	58.44059	9.07359	16.45577	62.99142	7.78564	1102.17839	0.00000	12.19458	5.93708	53.18569	7.59274	10.61285	9.84422	1.13450	6.83674	7.47108	9.01541
11.11247	34.01352	4.69672	19.82395	70.09254	7.11226	1101.01654	1.00000	-1.5443	8.88549	46.63126	10.73108	50.75767	8.98418	2.79049	8.68025	9.39458	11.35752
10.95955	49.87214	3.96948	19.75430	70.75386	7.50545	1088.34014	0.00000	2.95924	8.18434	41.20618	10.94885	36.76775	7.86897	0.54149	6.06861	8.43953	5.06530
8.63665	55.04453	5.27433	24.06081	56.57264	9.05996	1060.53961	1.00000	37.3825	9.10601	44.46678	9.14810	37.05944	9.43844	0.30807	5.51453	7.35606	6.62546
9.83584	80.26166	8.18347	-4.48813	77.48981	7.73188	1192.81086	0.00000	14.39024	5.34487	55.61748	6.87470	42.22718	10.29290	0.86456	6.30274	6.40099	8.36872
9.31870	67.06773	10.48182	6.64406	67.65873	8.74249	1116.75371	0.00000	-76.70944	8.66393	58.55564	7.02897	-11.94306	9.36955	1.28952	6.86463	8.99773	10.31581
11.20488	47.73148	7.64934	14.07225	76.15688	10.14752	1181.54153	1.00000	145.06667	6.91201	42.07205	9.59179	-37.88333	7.54695	2.96861	8.63367	8.41355	5.23555
9.99402	43.83801	5.95374	21.68756	76.53201	7.89065	1176.03626	1.00000	101.44167	10.23160	42.26902	9.07982	0.51667	8.85859	1.58667	7.37619	8.97011	10.48947
10.07537	53.27034	4.41087	-6.23029	61.25120	6.17282	1100.47493	0.00000	29.24152	7.15121		11.30567	-26.93366	9.14222	0.81890	5.02053	7.12113	8.63974
10.47457	59.53289	6.09822	19.12805	59.78988	7.87916	1197.98921	1.00000	-37.65	8.98769	54.29364	11.09445	-10.91722	10.35688	2.16388	7.97848	6.27211	10.15148
10.16059	63.00269	10.21361	10.87815	73.43846	6.55278	1159.29243	0.00000	-65.71875	8.86282	38.65199	6.56676	-21.44345	8.44542	1.35171	7.53320	8.19102	11.70709
12.01463	70.89033	7.62350	21.37820	72.85493	7.33629	1190.71590	1.00000	0.75	11.61413	56.99589	10.35201	52.41667	9.45314	1.87606	7.45104	7.58959	8.34742
10.21631	62.32999	9.61939	16.28328	69.54680	9.02704	1134.18107	0.00000	83.36889	7.76368	45.74179	6.54553	26.76628	9.45166	1.03152	6.07709	8.39248	9.37317
8.25061	56.91916	8.37419	8.68659	69.88139	8.14518	1101.17679	0.00000	-71.05977	6.51472	47.95523	6.08536	42.35843	7.77932	0.74940	6.16306	7.73161	8.59594
9.56474	61.41023	8.04400	31.44989	85.30510	8.94690	1139.60958	1.00000	37.3825	5.12210	39.07632	9.35672	37.05944	10.00793	0.94254	5.50736	7.13926	8.80860
11.00846	55.20318	6.68130	24.78617	67.96524	8.06267	1163.92606	0.00000	-46.99583	4.60456	44.31138	7.72398	-22.97056	10.11401	0.70079	4.59182	8.82681	9.25594
8.39979	14.68233	8.94410	23.50597	72.78432	9.28291	1095.80186	1.00000	-74.38987	9.18102	45.08225	11.04035	40.65538	7.70452	1.65173	7.96577	8.66046	8.69169
5.77766	63.19297	6.07151	-9.31188	73.03519	9.65006	1148.12052	1.00000	-116.56346	10.04180	51.31867	7.35375	43.54072	7.51525	0.70883	4.48893	8.38055	10.76926
9.61322	58.45409	8.04712	24.45794	75.78453	9.34355	1062.98352	0.00000	5.4384	5.86230	56.38498	6.78365	43.2907	8.01798	0.68192	5.00252	7.88638	8.82125
10.60807	58.50997	8.15780	13.32543	71.82406	7.00852	1109.60721	1.00000	-117.79394	4.05555	52.24203	10.76720	33.76446	7.84378	1.64166	7.67695	8.96443	8.05943
11.65363	68.80327	4.96291	20.84931	63.59524	9.09710	1158.90613	0.00000	34.34691	7.16474	70.13385	9.48407	61.78491	8.47947	0.60301	4.95467	9.39831	7.07596
9.21924	50.04104	10.07123	11.41097	73.30527	5.61030	1068.25246	0.00000	43.91385	7.18924	41.49367	7.97939	54.03876	7.79716	1.14028	7.59498	8.69554	9.62571
11.38334	74.63663	6.88262	-0.27146	84.42981	7.82324	1150.63913	1.00000	69.49015	7.36263	40.11031	9.33010	56.11281	6.44779	1.60483	7.53874	7.55721	6.30286
7.38192	36.03304	6.11332	17.81616	78.03554	8.72736	1153.57084	1.00000	-82.45426	10.54855	52.87388	5.91756	27.09978	8.47428	0.45497	3.61275	9.28898	10.24851
8.15033	46.36888	5.66248	9.69793	68.50400	7.50936	1107.06074	1.00000	150.60036	10.55389	55.84374	9.01399	-34.88422	7.25237	1.47151	7.61857	9.17134	4.24044
7.75386	49.30383	7.03339	12.49262	78.54219	9.47612	1135.04108	1.00000	75.35927	8.81814	58.64082	9.86696	12.04161	8.55094	0.59864	6.44945	8.50023	9.90959
10.93025	42.82096	6.53373	4.23515	82.01713	8.55115	1184.58778	1.00000	137.23333	8.45599	27.53520	8.79623	35.8	8.58915	1.04084	7.12065	8.60876	5.29196
7.22674	46.52289	9.73116	18.51020	74.19278	7.93113	1136.90685	0.00000	10.78222	7.24432	27.99475	8.03642	36.46917	7.16313	1.64024	7.65478	8.86384	7.98184
7.93462	59.30131	7.02362	22.05590	73.21796	8.64517	1138.84795	1.00000	30.38167	5.98674	51.10279	12.13417	59.80917	8.96877	2.68378	8.33867	8.62497	10.39869
8.86401	52.77835	7.19927	28.84593	59.17853	10.76606	1077.08645	1.00000	-76.51552	8.79447	33.37759	9.48052	39.32011	7.02338	4.44584	9.09490	9.23947	4.20200
10.84958	59.98473	5.48975	14.76277	71.28618	8.95296	1184.85419	1.00000	120.14278	10.08124	63.14518	9.66367	32.50611	9.32462	5.12308	9.38104	8.55693	3.01668
6.37527	75.81912	9.23161	27.44821	81.23595	8.84152	1082.09223	1.00000	-76.51552	9.08356	47.03865	9.17164	39.32011	9.50157	1.19126	5.96054	8.05035	8.66798
11.98424	62.96859	6.00201	9.96856	79.52591	8.30654	1116.60667	1.00000	8.86374	12.70915	52.77482	6.57325	44.89784	10.81644	0.85716	5.64418	7.90237	9.54787
6.78351	59.02979	8.25165	28.58418	59.58042	9.05407	1137.81897	1.00000	-96.67834	9.49508	53.26639	8.55724	34.77453	9.28724	0.66310	6.24533	10.96660	9.46390
10.94217	63.82137	7.36784	29.69346	57.75774	8.66545	1118.30002	0.00000	75.37991	9.96140	55.86034	8.29032	25.75728	7.59382	1.38317	7.04617	8.37805	4.81145
9.12248	48.92685	7.03928	26.85066	80.66127	9.31936	1064.53615	0.00000	-118.03917	4.00240	63.56416	7.67852	33.95015	9.70436	0.96580	4.90783	6.27447	7.92324
10.60195	51.86872	5.99947	29.10159	73.17756	8.47278	1153.98061	1.00000	-2.31938	6.96623	84.54220	10.16120	6.46346	7.60253	0.61180	6.80894	7.22009	6.96628
10.20958	36.43721	7.52429	14.40579		9.18023	1099.57908	1.00000	12.16179	10.03665	48.19676	9.37496	48.52961	7.51311	0.76581	5.17424	8.04667	8.36868
8.99949	53.35875	8.28816	29.10301	74.03095	9.05535	1131.99961	0.00000	12.87117	7.45289	65.63791	6.62637	50.23271	8.59380	0.59170	5.43097	9.60206	8.62488
10.03366	33.18460	6.03093	19.13665	85.70397	9.44074	1124.35858	0.00000	70.91106	7.51213	60.60502	9.56724	29.38242	8.03161	1.20623	5.85754	6.15171	7.91384
10.27862	53.62336	9.16313	7.99872	61.54285	10.09575	1060.81552	0.00000	2.18247	6.90867	51.45689	5.78586	41.41204	8.13449	1.37449	7.44403	10.18831	9.41115
9.44223	65.48254	6.04238	5.94052	71.08500	8.35918	1198.29794	0.00000	86.68363	9.09198	56.47753	10.42401	23.49668	9.99142	1.24505	7.23623	7.17923	6.26081
9.76797	35.65091	9.71382	22.43247	61.99134	8.63496	1105.55840	0.00000	85.83334	5.85839	70.52708	8.54540	20.88197	9.11476	1.25670	7.12200	8.78148	10.57982
9.31832	77.74239	9.49032	11.71642	67.63055	9.02380	1064.26348	0.00000	4.07601	11.87295	32.64403	7.85679	50.88506	7.32569	1.49632	7.78454	9.27639	7.55234
10.71489	33.52565	8.52170	3.80971	76.41229	8.08893	1154.15228	1.00000	-77.4286	8.38120	64.03937	11.75223	39.00622	8.72362	2.46453	8.49359	8.33274	8.51260
8.80255	43.74525	6.75940	1.80320	73.30353	9.16493	1162.46312	1.00000	-89.71472	9.25211	42.52061	9.76169	13.73417	8.71309	1.24985	7.57363	7.49499	10.26086
7.13134	27.20802	7.59360	18.55458	68.38313	9.56368	1118.37848	1.00000	122.8637	7.57559	63.02111	9.41007	9.3337	8.35568	0.90907	7.07209	9.15872	8.01384
8.40270	63.61761	6.31796	24.29741	70.83241	8.51775	1134.36836	1.00000	2.25	8.26388	48.05531	9.22192	50.75	6.68734	1.13694	6.16206	7.67235	7.59529
10.70077	59.44010	8.42612	11.14785	71.18853	10.39474	1137.55268	1.00000	-8.2503	10.46684	41.01524	8.92290	37.08819	8.52655	1.44035	7.28997	10.32758	8.54339
9.40470	48.96535	6.77380	4.00770	72.32161	10.09150	1184.49699	1.00000	1.04945	6.23578	51.78256	9.82436	35.06544	6.03130	0.61127	5.82970	8.39743	9.08476
9.70592	36.56209	5.12292	19.94228	73.65849	6.76523	1129.04685	1.00000	5.4384	9.29348	55.34354	9.04356	43.2907	7.55796	1.70852	7.69168	7.91466	11.39143
9.88618	50.25997	5.45869	13.16301	78.45225	7.35604	1144.49890	1.00000	145.13643	9.22820	53.43388	10.27229	-38.16604	9.18856	3.53266	8.97259	10.16502	5.18694
7.92907	61.34695	8.08456	6.68863	66.04157	9.67860	1152.02062	1.00000	-119.01677	9.96783	57.54093	8.06827	36.06523	8.04289	0.96898	5.18479	8.71306	8.91148
9.79611	45.90312	6.79396	11.54490	81.59978	7.56894	1087.12053	0.00000	71.57118	8.52596	55.31591	9.39307	32.87533	8.00777	0.84001	5.74298	9.00260	8.12195
10.20830	55.96431	8.30303	12.53769	68.80219	7.83993	1124.14873	1.00000	51.49621	6.50498	49.15004	8.81579	36.64852	8.98303	1.48478	7.05745	8.07555	7.23893
7.81264	50.07686	9.69353	23.42644	61.22203	9.36443	1148.28051	0.00000	-122.24092	11.14264	35.39771	9.13073	47.4943	7.72565	5.53631	9.44233	8.90592	6.27930
10.61303	44.64485	6.51503	23.67177	74.24845	9.54788	1079.77183	1.00000	-86.57415	9.58613	62.94272	10.05791	15.48131	7.58349	1.03546	7.38505	10.03422	9.76758
8.68834	54.78906	6.34500	14.19538	68.82125	7.83687	1142.21612	1.00000	120.74221	10.05397	56.19404	8.17119	31.64615	8.12866	1.02809	6.64008	8.43203	5.61370
10.50053	35.01382	7.95864	21.17396	71.73892	6.24629	1128.71716	0.00000	15.87735	10.10382	21.82687	7.78930	4.94273	8.33451	0.73629	6.25343	8.27364	7.57057
10.15230	37.05319	6.97191	6.26535	76.57881	7.17474	1116.81297	0.00000	99.95469	9.02116	36.02884	9.12565	13.51825	7.53240	1.03784	7.20031	8.70693	6.38597
9.19508	50.36705	7.51301	19.88304	67.05413	7.83890	1133.14156	1.00000	39.85331	11.59604	34.77004	8.21473	57.30185	8.99825	0.52628	4.83499	9.88162	8.61047
10.54271	46.40437	8.16424	24.90714	94.62337	8.23031	1070.99891	1.00000	29.65806	5.31299	46.74811	10.12594	-4.83	9.61097	1.31367	8.03735	8.35703	7.43483
8.94331	38.86515	7.57223	-1.17576	70.01587	9.47199	1104.98129	1.00000	-104.22884	6.85536	46.78481	10.64638	32.42067	8.84416	5.86879	9.46752	10.32810	6.18172
8.24645	15.98491	7.29401	9.71776	76.64618	9.82750	1107.61990	1.00000	4.7934	7.50750	62.36616	9.08694	45.69558	8.82216	1.00672	6.37644	9.09778	7.55608
11.19044	47.02916	5.85699	-9.70376	62.07914	8.15125	1089.43209	1.00000	-73.75335	9.72915	31.78031	8.61282	45.4473	7.11754	1.68554	7.88926	8.56906	10.61652
10.08470	42.91681	5.47422	5.34625	60.57138	9.33213	1092.08544	1.00000	-1.06667	10.88701	60.83350	9.35782	53.78333	7.98339	0.74400	5.65750	7.96387	9.94201
10.10316	52.04765	7.83899	10.54826	91.86138	7.82460	1073.10702	1.00000	32.86389	7.65100	75.71596	8.97959	53.95278	8.02903	1.99423	8.17244	7.57045	5.84842
8.16496	35.49467	5.51829	17.87843	71.36749	10.41608	1086.70925	1.00000	37.99117	8.11311	46.67714	10.70172	44.92934	7.97550	1.19883		7.80487	6.28980
8.20788	75.26660	6.28789	22.33670	82.31282	7.99493	1085.12227	1.00000	-86.58208	8.82286	34.57554	9.21705	13.48082	9.31405	0.81437	6.74874	7.02716	5.83791
8.49960	38.36686	5.60832	13.58784	60.74499	8.32841	1098.37148	1.00000	8.77155	10.28751	37.52669	11.61025	50.23019	8.28383	1.04552	7.18089	7.19596	6.84033
8.71241	46.44104	5.50868	23.92591	84.98560	7.91703	1192.81036	1.00000	76.11996	9.32446	52.87987	9.94420	11.12018	8.13551	1.99031	7.86619	9.40682	3.79688
10.27752	59.56297	5.21362	17.55000	79.25046	9.74832	1108.28201	0.00000	32.86389	8.90071	45.38702	10.44874	53.95278	6.76690	0.99067	6.41687	9.08380	6.68223
10.79646	24.01674	6.81709	19.17889	67.44991	7.74827	1142.43683	1.00000	48.26258	5.43503	55.86907	11.20905	33.86419	7.46083	2.61342	8.32197	8.32833	7.96858
10.37614	47.75741	9.13444		79.29679	9.21701	1104.95027	0.00000	30.4347	12.32692	52.01524	7.20862	-1.9487	8.92251	0.90619	6.62380	7.93405	8.48224
9.78294	47.88308	7.02208	22.67273	80.31418	8.25025	1111.28473	1.00000	130.94098	6.69361	60.18401	8.60178	33.3213	8.81869	0.63632	4.51940	7.76805	9.27475
8.28434	50.56961	8.67244	27.21160	71.70277	7.20648	1099.22899	0.00000	1.6	4.82548	47.98178	8.07564	43.11667	9.50923	1.32242		7.78760	8.89222
10.40785	44.14201	5.54741	15.64252	65.20588	8.18662	1078.83271	0.00000	16.91667	8.65629	61.61631	9.91257	-21.98333	7.75483	1.07465	5.98949	8.44336	8.43673
10.35312	48.61892	9.92235	12.24452	65.86867	9.21671	1130.92583	0.00000	-82.90375	7.54388	41.01749	6.64534	32.54044	8.83049	1.65121	7.14772	6.63501	8.81763
