SO2	PM10	warning	Pb	H2CO	O3	longitude	PRES	CH4	PM2.5	TEMP	CFCs	latitude	PAHs	NOx	NH3	C2H3NO5	CO
6.41321	9.67188	1.00000	48.69044	60.07811	8.66004	35.34722	1173.04645	7.53580	8.10880	31.45971	27.86500	-23.85972	6.52400	7.65986	11.11364	0.61721	8.24118
5.89848	5.71475	0.00000	27.54010	84.32961	7.64803	71.52847	1098.05651	9.54505	9.42156	24.37494	62.30597	32.57756	6.67220	6.72434	8.52435	0.04910	8.41354
9.18152	10.01152	1.00000	44.37705	49.55220	8.27986	-52.51028	1060.52170	5.95430	6.90729	27.58228	73.85675	-28.81833	6.18331	8.18533	6.86809	0.85122	
7.28231	8.02053	0.00000	42.77548	44.98069	4.88843	144.23058	1120.34991	11.33171	9.12768	21.36280	59.61447	-5.85746	7.74256	5.99131	7.61967	0.14557	8.25595
8.30139	8.40682	1.00000	32.92313	40.23857	5.61217	30.98551	1076.32867	7.88509	6.64751	6.37696	40.61756	2.41669	9.34595	5.25861	10.74556	0.23218	7.52957
7.19085	9.26126	1.00000	67.29173	35.84445	10.18966	8.88104	1073.80019	5.42577	7.68277	8.29115	41.39282	45.79377	7.21929	9.13554	7.29262	0.42076	6.79408
6.49398	5.18702	0.00000	62.04227	38.44872	7.93711	13.63617	1099.58095	10.38983	7.63784	24.52282	53.02157	50.50301	8.87706	7.11518	11.03641	0.06211	7.97283
8.10080	7.08954	1.00000	30.31582	36.82091	3.95507	68.88871	1107.44033	7.06221	9.00830	18.35787	44.43750	25.95533	8.76832	9.12705	10.00671	0.09248	8.06360
9.03263	10.38250	1.00000	34.90766	40.28600	6.19471	-85.43772	1097.85224	5.57357	8.65773	25.12687	28.92742	10.63504	7.89267	9.34691	7.45288	1.19702	6.44213
3.75912	9.55124	0.00000	58.13590	48.16158	5.46688	38.15035	1154.59456	6.14332	8.14883	7.92389	47.96712	49.41029	8.22843	6.92100	9.52582	0.56324	6.75952
5.63257	11.51439	1.00000	50.02032	42.90681	10.33281	77.24779	1132.52225	4.57858	7.44621	-10.59878	39.65921	10.58806	8.25534	7.52280	8.01830	3.63089	6.66505
5.65411	6.87032	0.00000	47.20270	78.32425	8.37322	39.28333	1091.98663	10.47863	10.05556	16.27848	49.22223	-10.33333	7.39764	4.04006	8.95282	0.08539	7.77279
8.46027	9.34939	1.00000	59.78366	53.32382	6.21933	-49.27306	1110.51002	7.34294	7.46736	15.43714	51.75887	-25.42778	7.81361	5.76363	9.62809	0.50314	7.80119
7.95241	6.95786	0.00000	50.66919	50.82882	6.70737	29.26639	1178.09831	9.15900	8.67301	26.74417	66.29768	37.58105	7.39873	4.81075	11.71741	0.07669	6.96991
9.76035	8.27394	1.00000	0.00000	62.44655	5.50548	151.07986	1063.50795	4.72215	7.82574	30.14527	63.68738	-33.88096	8.06751	10.84577	8.71623	0.18440	9.31695
6.80116	8.71632	1.00000	41.36893	19.32925	11.50165	-78.87836	1101.27792	5.27271	8.09199	8.93333	56.73301	35.05266	8.48935	9.15836	7.48194	0.24758	6.53683
10.63626	11.57321	0.00000	59.92974	52.60198	7.43550	126.28333	1144.23606	6.91298	7.83014	10.01701	63.15922	45.35	7.92311	7.60194	6.68983	3.81290	7.02922
9.93746	9.16525	0.00000	55.46500	60.25796	7.69458	-73.89875	1190.75295	6.76640	9.16300	31.01516	43.60719	40.93121	7.28640	6.94584	6.31973	0.42167	10.81681
6.93333	6.77107	1.00000	70.48439	57.48968	6.15781	36.73307	1175.12542	8.01260	8.43519	7.90779	45.67048	55.38752	7.69716	9.01734	12.56762	0.09900	8.06617
6.13493	7.61008	0.00000	44.07065	60.78560	5.94402	9.72749	1103.04597	9.50398	6.34447	-4.67261	40.90174	48.28259	7.81398	6.12431	7.65280	0.16211	6.80152
6.85198	8.75165	1.00000	64.30610	51.16283	7.04686	-117.23991	1080.44479	7.15839	9.03905	32.48578	51.25503	47.64995	7.77488	8.33790	11.31485	0.24606	8.89004
7.69350	5.42493	1.00000	67.55676	67.82724	6.48320	3.1631	1066.47434	8.06705	7.84477	7.67443	51.54921	41.91738	5.84156	11.55021	10.80047	0.03371	7.93310
9.78845	9.99134	1.00000	35.99926	54.06101	7.25149	-8.07257	1069.58649	5.38477	8.57075	34.55467	55.30425	12.74409	7.92666	6.70009	10.40466	0.82242	8.55801
9.06359	11.05696	1.00000	54.63110	67.19054	5.05480	-89.99038	1148.10693	5.90276	6.33306	21.88132	60.66945	38.58894	7.84212	6.60345	8.88506	2.33154	6.77429
7.59426	10.48198	1.00000	57.69451	68.39541	5.17828	19.91667	1111.29117	7.06471	7.73996	15.62522	81.50351	-11.78333	7.27155	8.17818	7.17853	1.30984	6.88316
6.56590	10.23247	1.00000	46.54042	66.27452	7.89056	33.72798	1164.98910	8.07124	7.66323	21.30931	55.30094	53.53395	8.07264	8.20919		1.00976	6.41762
4.89255	10.70890	1.00000	57.64688	51.59820	10.74046	27.06365	1110.84858	7.76359	8.24473	22.81802	58.06117	50.18545	6.93384	8.73177	9.52898	1.63952	8.84875
8.80734	6.49945	1.00000	17.26307	48.84404	6.29429	71.52847	1135.26480	9.01821	7.67060	24.99732	61.01985	32.57756	7.87460	2.97062	10.06132	0.07522	6.39089
7.23053	7.04432	0.00000	42.76828	62.31426	4.13285	-85.76942	1153.40758	7.32372	6.99296	28.82547	48.27404	39.78504	7.57477	4.31275	5.43333	0.07569	7.81365
9.37225	8.95539	0.00000	44.06404	60.56817	6.95318	-91.58045	1192.86630	5.77060	7.66541	32.24101	43.94827	41.6764	7.66678	6.25981	5.30073	0.34446	7.15760
11.23015	8.04873	1.00000		23.43300	8.25871	-1.29772	1134.51148	4.39951	8.91537	8.00259	49.15790	50.76306	6.83104	7.90362	9.57237	0.21377	9.89255
7.61585	8.09297	0.00000	57.88555	41.11525	4.37435	86.00214	1130.75359	9.53911	7.83678	14.30617	58.43707	46.51872	6.67973	5.49648	7.80502	0.17137	8.59242
11.19245	11.39605	1.00000	44.04285	66.31899	6.63013	-82.32483	1085.34181	2.83155	8.31018	18.73649	66.72576	29.65163	6.77883	9.64868	7.05926	3.22372	7.70179
8.18889	5.18955	0.00000	52.09507	38.76130	4.81693	-58.38341	1129.42562	8.08453	7.28528	9.70178	38.95602	-34.64966	6.75473	8.78882	7.78191	0.05801	9.24510
7.24286	4.95878	1.00000	43.24015	50.10168	6.48685	-73.89875	1182.21843	6.15853	8.86159	-4.14079	34.20732	40.93121	7.99488	10.41700	8.82517	0.02190	8.19878
9.64706	8.14519	1.00000	47.36325	55.30540	5.41815	86.00214	1175.63154	6.74750	6.74881	10.90099	42.82288	46.51872	9.30251	4.69687	11.40258	0.20089	8.29483
8.99473	8.36023	1.00000	66.91317	75.18145	6.48211	-66.8499	1092.07574	7.49704	8.02737	9.23478	56.43229	18.03496	7.89756	4.99134	9.52221	0.17561	9.07615
7.03326	8.66566	0.00000	63.12145	21.67999	3.14562	-52.2	1164.02825	7.14680	7.44224	0.54432	51.18027	-28.44917	10.06545	5.04777	8.30188	0.21933	6.41314
7.53692	8.16149	1.00000	63.70634	43.97860	7.71656	1.33467	1072.74000	5.17802	7.66661	13.93375	45.83904	43.61058	8.25800	9.08430	10.12346	0.17676	7.10408
6.84016	9.14578	1.00000	34.53577	44.21760	9.75557	86.59611	1175.31558	8.42910	8.37315	24.27177	69.90310	25.87498	8.07342	10.46543	9.27415	0.39192	7.09772
8.23620	8.50506	0.00000	55.01962	40.53167	5.90899	36.7138	1169.77501	7.37545	6.36189	14.24452	57.12034	35.95664	7.60540	7.05360	8.73563	0.21322	8.76399
	11.57588	1.00000	34.55459	64.36327	7.79033	13.28702	1136.47927	8.25101	7.57325	15.39799	39.54037	52.4581	8.12274	9.21837	8.61775	3.86811	8.56798
9.85703	7.88884	1.00000	39.33148	68.88556	7.29750	105.89333	1051.83815	7.04533	6.67426	-5.61207	82.32484	34.56861	7.21923	3.58924	11.44522	0.16623	6.83753
10.98365	9.33406	1.00000	64.79686	50.77802	7.81251	-73.95958	1143.06628	3.86896	9.52411	-2.19995	43.13943	40.57788	10.09189	8.65986	9.28616	0.44628	8.73060
9.39803	10.34975	1.00000	55.37411	44.38162	7.98778	-6.00137	1116.39023	5.46727	6.79806	-1.33805	60.24374	33.42585	8.10359	8.26720	7.16265	1.16643	8.40994
7.69935	8.05603	1.00000	65.55924	50.45395	8.49162	-96.72365	1080.07142	7.32445	5.99509	5.65386	43.60833	17.06542	5.38278	9.69436	8.22494	0.20843	9.76411
7.56403	8.37880	1.00000	59.58595	44.47955	11.45061	-91.58045	1173.37563	7.73364	7.16511	3.98667	71.81861	41.6764	8.50620	10.85220	8.32030	0.21896	6.60080
6.58260	8.80060	1.00000	49.26195	44.52944	10.47041	73.7553	1198.93581	4.71370	8.50165	21.10769	60.27022	15.5439	8.47068	10.11953	5.52336	0.33212	7.87757
7.76502	6.75142	0.00000	69.18580	42.93188	5.66246	13.10984	1124.59693	11.41418	7.63480	8.49973	37.30942	51.30001	6.02594	6.64250	8.29213	0.06699	7.51343
8.79393	8.33859	0.00000	48.52789	53.86161	6.95930	13.10984	1119.90168	6.37050	8.12339	26.19628	31.39294	51.30001	8.74381	6.90487	6.87634	0.20807	8.02407
5.45077	11.67641	1.00000	42.89880	62.84862	10.79872	122.22833	1135.67288	6.46313	9.55625	17.63869	37.14415	40.66482	8.25087	7.84299	8.94556	4.27565	7.77568
7.72318	6.34899	0.00000	67.66060	55.57965	3.12464	-97.92977	1149.80857	7.35049	8.67826	8.08619	76.49724	38.06084	8.16451	10.33830	7.42638	0.08120	6.01915
6.04275	6.65685	0.00000	53.66724	34.67131	6.50350	4.85668	1066.71446	5.68229	7.41316	38.09868	52.38994	36.27462	6.36096	6.89752	10.69391	0.07436	7.52807
7.22593	5.45971	0.00000	55.98408	61.49644	7.62906	-84.13722	1112.47875	10.12264	7.82524	14.75477	46.88858	9.92787	7.47519	6.50904	11.58313	0.01378	5.61308
9.32202	9.60394	0.00000	62.97889	56.87455	6.28351	36.36339	1110.77946	7.32356	7.09503	20.44074	54.30822	0.03813	7.54112	6.43557	6.67648	0.57815	7.70271
9.93565	5.28770	1.00000	33.56509	50.27528	6.70372	126.665	1113.16427	7.54463	7.27085	15.05010	53.78106	36.6009	7.46961	11.74568		0.06131	7.93716
6.22715	5.99893	0.00000	43.57065	16.59123	7.31939	150.60036	1163.81390	9.39225	7.94452	14.11456	40.76663	-34.88422	7.53206	5.45281	6.28739	0.06370	5.65291
7.02791	11.01970	1.00000	50.07490	52.46106	10.34369	88.58	1051.28703	6.95638	7.92421	26.40482	54.99482	23.18	7.42926	9.17320	8.29205	2.22832	7.75483
7.02036	10.40422	1.00000	69.55658	34.88504	8.44709	4.92235	1153.74955	7.86416	8.23146	23.64660	41.73830	7.65649	8.08932	8.08290	10.65061	1.23823	8.03099
8.66095	7.94394	1.00000	56.54120	32.70409	6.32738	117.27583	1192.65623	7.56231	8.07000	0.11503	40.65672	35.64889	8.72640	5.46002	10.81722	0.15115	9.08275
10.28243	10.43187	0.00000	49.75217	50.32217	8.39772	-123.02621	1160.35576	7.03283	5.68014	18.11584	36.86516	44.99012	8.07697	8.96194	8.25638	1.25497	5.51738
7.11445	7.38654	0.00000	47.87330	56.63492	4.32998	-67.33122	1136.25501	6.60122	7.52877	23.19266	49.19045	10.22677	8.01516	5.24710	7.48737	0.13228	6.58888
10.54224	8.50014	0.00000	17.42344	62.27404	8.83715	-74.15987	1094.80977	5.94596	8.97171	1.28282	55.90202	40.82232	7.57306	6.27724	3.21504	0.21601	6.89456
8.90355	8.29397	0.00000	26.85044	56.38827	6.94912	89.20083	1156.65194	6.88562	9.99784	3.46089	51.89077	55.54028	8.78062	6.56995	6.85127	0.18227	7.85261
9.54827	10.47435	0.00000	45.35513	41.77218	7.97224	79.82979	1162.28642	6.58320	7.43514	10.93217	68.52641	11.93381	8.70582	9.28926	10.04824	1.29819	7.88216
11.15799	8.84054	1.00000	40.71258	48.47689	8.34830	29.41824	1151.53194	4.59574	7.06174	6.21438	11.75097	45.99194	7.87328	6.69183	9.66438	0.31010	8.48593
	6.89325	0.00000	51.88518	51.11326	8.17031	150.60036	1176.98399	6.75776	7.21609	20.48867	52.19680	-34.88422	5.20771	5.65851	9.21110	0.08353	6.91303
11.26765	7.34190	1.00000	55.38701	65.99530	7.04548	-98.1664	1151.75881	4.48678	7.99707	6.91684	59.54400	19.32932	5.82238	7.93414	9.56340	0.10303	8.63494
7.27658	5.73908	1.00000	41.68145	36.06605	7.64594	118.9707	1169.98540	6.21978	8.41737	6.60622	49.71602	-3.5403	7.80129	10.69322	10.31345	0.03306	8.79331
5.78668	8.18688	1.00000	68.36597	52.03126	9.19563	1.53414	1085.71335	6.53506	7.61035	27.59741	41.60564	42.50729	7.43705	10.11444	7.85438	0.19311	6.68758
3.64059	8.35042	0.00000	46.66829	63.96735	8.05079	39.28333	1197.99176	11.06943	8.46580	10.99190	56.95691	-10.33333	9.20487	4.76221	6.48244	0.19438	8.02604
6.54587	8.32314	1.00000	62.18397	32.05898	9.38224	51.0193	1183.60107	7.44193	5.87852	17.39621	41.13814	35.6803	7.83997	10.82875	8.92147	0.16740	7.56340
7.20058	8.55858	1.00000	44.62582	63.03884	9.15998	30.98551	1170.97727	7.39813	7.35019	18.71868	49.91247	2.41669	6.43348	9.57943	9.52959	0.21898	6.11035
7.41346	7.58079	1.00000	88.05776	44.62195	7.71696	77.5609	1170.29467	6.73614	8.41336	21.87031	48.61899	11.00599	7.08954	10.16728	10.04941	0.12417	6.24878
6.57823	8.14284	1.00000	51.04537	54.32152	8.24565	-60.93173	1149.99261	8.24951	8.57208	-3.06568	15.09563	-31.4488	7.86985	10.08538	9.94326	0.17339	9.15462
5.97345	9.15292	1.00000	57.25327	50.64842	7.64498	27.46153	1198.81345	5.03153	9.76769	14.65135	47.95496	-21.44236	9.78217	7.29817	10.60001	0.35385	7.88191
10.37430	8.85929	0.00000	59.34313	49.78397	9.32790	-62.64102	1096.37044	6.68307	9.00015	22.58896	38.95993	8.35122	8.79906	2.98288	10.27559	0.31088	6.44911
6.39981	9.14073	1.00000	63.28767	71.26979	7.33117	151.08057	1141.14989	6.69567	7.92431	38.89570	19.79017	-33.79176	8.94388	8.20179	11.19429	0.38912	8.65805
5.40224	12.89814	1.00000	45.15859	66.67154	7.58543	7.02238	1053.65296	6.64603	8.27600	9.33782	47.30888	52.21099	6.99187	5.51513	10.31463	14.32130	8.36683
7.31331	5.05989	0.00000	53.45310	38.28691	5.98482	60.8019	1139.26752	7.28599	9.50535	15.93805	51.05198	56.9083	7.66414	9.56988	12.11708	0.05615	8.14819
8.82312	9.05979	0.00000	53.01677	59.50668	6.61347	-75.60804	1190.39486	7.69875	8.90339	20.02956	55.08797	39.96097	8.07589	7.01700	7.56349	0.34743	8.64347
9.19939	9.72085	0.00000	66.63457	50.67595	5.96556	74.83554	1142.25177	5.32648	6.62229	15.46394	51.55071	14.62072	7.58870	6.22892	6.98735	0.65791	8.29073
8.96534	9.93500	0.00000	44.51383	32.27029	4.88527	-37.03861	1105.47081	5.48847	6.38503	10.57213	47.70945	-10.90889	7.88960	4.71257	5.47452	0.78563	7.21406
10.51968	10.17876	0.00000	43.24356	53.67539	8.72796	-51.50361	1073.97944	6.84777	8.28062	19.73778	46.98302	-29.2975	10.06570	8.28912	7.16498	0.98977	7.91730
5.74986	5.93879	0.00000	58.29075	43.88711	8.29655	-156.47432	1082.79081	6.87472	8.93569	33.12109	51.25270	20.88953	6.25113	5.06233	10.83284	0.08585	6.66190
