location	revision	QoS	longitude	latitude	code
Europe/Warsaw	2014-04-21	average	15.00835	51.14942	PL
Europe/Kiev	31 Mar 2019	average	27.06365	50.18545	UA
Asia/Karachi	2019/10/21	average	73.38333	31.71667	PK
Asia/Qyzylorda	2018-09-15	excellent	65.50917	44.85278	KZ
Europe/London	2021-08-27	excellent	-4.0573	55.82737	GB
Europe/Paris	21 Aug 2020	maintenance	2.29026	48.77644	FR
America/Havana	2012/12/30	accep	-82.00919	23.04419	CU
America/Toronto	2017/10/13	good	-79.2663	43.86682	CA
America/Havana	06/24/2017, 00:00:00	good	-82.00919	23.04419	CU
Asia/Karachi	2019/12/25	excellent	71.52847	32.57756	PK
Europe/Zurich	25 Jan 2018	maintenance	6.10237	46.18396	CH
Europe/Paris	18 Jun 2016	good	2.29026	48.77644	FR
Europe/Istanbul	28 Jun 2019	accep	37.3825	37.05944	TR
Europe/Zurich	17 Feb 2013	average	6.10237	46.18396	CH
Asia/Kolkata	03/07/2016, 00:00:00	average	85.94001	25.49043	IN
Europe/Rome	2021-06-28	average	8.88104	45.79377	IT
Europe/Kiev	09/18/2022, 00:00:00	accep	30.96755	49.07866	UA
America/New_York	04 Dec 2019	average	-73.89125	40.67705	US
Europe/Rome	04/07/2017, 00:00:00	excellent	9.40531	45.53069	IT
Africa/Banjul	11/23/2016, 00:00:00	excellent	-15.6	13.56667	GM
America/Toronto	2014-06-12	good	-73.86586	45.43341	CA
Europe/Paris	03/13/2013, 00:00:00	acceptable	-4.1	48	FR
Asia/Dili	2016/07/14	good	125.21972	-8.99167	TL
America/Chicago	2016-09-21	excellent	-86.78777	33.44872	US
Asia/Karachi	02/28/2017, 00:00:00	excellent	68.75915	27.52948	PK
Europe/Madrid	2014/10/17	excellent	-0.18333	38.96667	ES
Asia/Urumqi	02/16/2022, 00:00:00	excellent	86.00214	46.51872	CN
Asia/Seoul	03/07/2019, 00:00:00	average	127.08472	36.20389	KR
America/Denver	10/29/2013, 00:00:00	excellent	-111.90466	40.34912	US
America/Recife	2015-02-01	accep	-35.03333	-8.28333	BR
Europe/Kiev	2017/05/18	accep	25.34244	50.75932	UA
Europe/Minsk	2017-08-18	average	25.8191	53.5942	BY
Asia/Kolkata	2014/11/19	good	73.06784	25.13915	IN
America/Chicago	09/09/2013, 00:00:00	excellent	-96.39774	30.16688	US
Asia/Kuala_Lumpur	08/18/2019, 00:00:00	accep	100.24529	5.4709	MY
Europe/London	2020/12/04	average	-1.29772	50.76306	GB
America/Chicago	2020/06/30	accep	-87.88754	41.15376	US
Africa/Kampala	01/22/2014, 00:00:00	accep	30.98551	2.41669	UG
America/Mexico_City	2016-04-12	excellent	-101.2591	21.01858	MX
Europe/Madrid	2017-07-06	good	-2.77259	37.49073	ES
America/New_York	2017/09/24	maintenance	-71.8023	42.58342	US
America/Mexico_City	2014/03/19	excellent	-98.1664	19.32932	MX
America/Bogota	27 Aug 2020	excellent	-72.47417	7.83389	CO
America/Havana	2020-06-04	good	-82.00919	23.04419	CU
Europe/Moscow	2018-07-12	excellent	46.10925	43.35071	RU
Asia/Kolkata	22 May 2019	excellent	79.41727	12.25282	IN
Europe/Minsk	2013-01-03	excellent	31.3237	52.4089	BY
Asia/Krasnoyarsk	2015/04/27	average	89.20083	55.54028	RU
Africa/Libreville	2015-11-08	building	13.58357	-1.63333	GA
Africa/Gaborone	2019-08-27	average	27.46153	-21.44236	BW
Australia/Perth	08/21/2020, 00:00:00	building	115.88782	-32.05251	AU
Asia/Jakarta	2018/05/18	excellent	109.3243	-7.0981	ID
Africa/Tunis	01/20/2020, 00:00:00	average	9.37082	36.08497	TN
Africa/Porto-Novo	2022-06-24	good	2.59753	8.88649	BJ
Europe/Moscow	2018-12-07	maintenance	39.85331	57.30185	RU
America/Boise	10/24/2015, 00:00:00	accep	-116.56346	43.54072	US
Asia/Karachi	04/10/2022, 00:00:00	average	72.54566	29.69221	PK
America/Chicago	08/07/2020, 00:00:00	excellent	-93.12577	44.73941	US
America/Recife	2022-03-11	good	-34.88111	-8.05389	BR
America/Mexico_City	2013-03-29	building	-98.1664	19.32932	MX
Asia/Kolkata	24 Dec 2015	excellent	88.28637	23.07492	IN
America/New_York	2014-05-03	good	-76.99081	38.96372	US
Europe/Berlin	07 Mar 2013	accep	11.37703	48.06919	DE
Asia/Kolkata	2015-10-23	average	77.5609	11.00599	IN
Europe/Paris	2013/01/04	maintenance	2.2469	48.90472	FR
Indian/Antananarivo	04/05/2022, 00:00:00	average	46.58333	-21.15	MG
Africa/Lubumbashi	15 Sep 2021	good	29.47306	0.49113	CD
America/Mexico_City	2018-09-02	average	-98.1664	19.32932	MX
America/Indiana/Indianapolis	2015/04/04	excellent	-85.76942	39.78504	US
America/Sao_Paulo	13 Feb 2022	excellent	-42.98194	-22.53722	BR
Asia/Shanghai	12/11/2019, 00:00:00	average	109.22921	34.65918	CN
Asia/Tokyo	2018/06/01	excellent	140.73667	41.77583	JP
Europe/Madrid	2012-10-08	excellent	-2.68333	43.31667	ES
Europe/Madrid	2021/05/24	building	-5.55835	42.64685	ES
Europe/Prague	2016/02/01	building	13.63617	50.50301	CZ
America/Sao_Paulo	2017-12-30	accep	-49.27306	-25.42778	BR
Africa/Lagos	2020-10-08	accep	4.18333	7.6	NG
America/Sao_Paulo	2014/04/23	excellent	-46.99583	-22.97056	BR
America/Chicago	2017-10-28	maintenance	-88.70464	34.25807	US
Africa/Tunis	11/02/2018, 00:00:00	good	10.03478	37.16911	TN
Asia/Kolkata	19 Jan 2017	average	73.7553	15.5439	IN
Asia/Karachi	07 Jul 2020	building	71.67164	30.29184	PK
Europe/Moscow	01 May 2013	average	30.28491	60.02427	RU
America/Los_Angeles	02/01/2013, 00:00:00	average	-122.24064	47.80527	US
Africa/Johannesburg	08/27/2019, 00:00:00	average	30.79165	-27.76952	ZA
America/Los_Angeles	2015/04/30	average	-117.79394	33.76446	US
Europe/Kiev	12 Jun 2020	average	29.41824	45.99194	UA
Asia/Yakutsk	2020-05-31	good	111.4834	65.93381	RU
Europe/Chisinau	2020/11/27	accep	28.28489	48.15659	MD
Europe/Istanbul	2021/07/28	average	34.37389	40.1675	TR
Europe/Sofia	2018-02-21	average	27.25	42.7	BG
Europe/Skopje	2014/06/20	good	20.91361	41.92361	MK
Asia/Kolkata	08/13/2013, 00:00:00	excellent	77.54372	10.12268	IN
Africa/Cairo	2012/10/13	accep	31.4976	26.67319	EG
Africa/Mogadishu	10/28/2018, 00:00:00	building	42.54536	-0.35817	SO
Europe/Paris	10 Sep 2014	building	1.33467	43.61058	FR
America/New_York	08/26/2018, 00:00:00	good	-73.9625	40.81	US
Europe/Kiev	2015/04/29	maintenance	27.06365	50.18545	UA
Europe/London	07/22/2019, 00:00:00	excellent	-0.74934	51.62907	GB
Africa/Lubumbashi	08/14/2013, 00:00:00	average	29.47306	0.49113	CD
Europe/Berlin	12/16/2014, 00:00:00	maintenance	8.77069	50.80904	DE
Europe/Moscow	2019-01-04	average	39.85331	57.30185	RU
America/Chicago	2014/11/27	average	-88.3162	42.24113	US
Asia/Seoul	01/31/2014, 00:00:00	building	126.665	36.6009	KR
Europe/Istanbul	2013-10-05	average	40.74357	37.31309	TR
Indian/Reunion	17 Jan 2018	average	55.4504	-20.88231	RE
Europe/Madrid	08/07/2016, 00:00:00	excellent	-4.83076	39.96348	ES
America/Chicago	2019-08-12	building	-88.81395	35.61452	US
Asia/Kolkata	2013-04-12	maintenance	83.97573	21.46527	IN
Europe/Berlin	13 May 2020	accep	7.36027	51.20219	DE
Europe/Rome	2015-05-08	average	17.58522	40.53123	IT
Europe/London	2016/11/20	average	-2.09814	57.14369	GB
Asia/Kolkata	03/10/2013, 00:00:00	good	88.58	23.18	IN
Asia/Karachi	2016-01-19	accep	68.75915	27.52948	PK
America/Los_Angeles	02/19/2018, 00:00:00	excellent	-117.70755	33.52253	US
Europe/Sofia	2020-08-24	good	27.25	42.7	BG
Europe/Madrid	2017/05/14	accep	-2.98884	43.32686	ES
Europe/Podgorica	2022-03-13	excellent	18.84	42.28639	ME
Asia/Shanghai	2017/07/09	accep	122.08333	46.08333	CN
Asia/Kolkata	01 Aug 2022	average	85.37752	22.10194	IN
Europe/Paris	05 Jun 2017	good	1.33467	43.61058	FR
Asia/Manila	23 Apr 2022	accep	120.57224	15.72892	PH
Asia/Krasnoyarsk	2017-01-03	good	89.20083	55.54028	RU
Africa/Accra	2014-04-24	excellent	-1.4001	7.06273	GH
Asia/Shanghai	2014-01-04	good	112.9	27.85	CN
America/Chicago	24 Apr 2020	excellent	-94.74049	32.5007	US
Asia/Kolkata	09/12/2017, 00:00:00	excellent	88.28637	23.07492	IN
Asia/Colombo	06/19/2019, 00:00:00	average	79.883	6.9909	LK
Europe/Moscow	2019-01-13	maintenance	38.07083	54.90083	RU
Asia/Jakarta	08/09/2018, 00:00:00	maintenance	103.61667	-1.6	ID
America/New_York	2017/02/03	accep	-81.38758	30.17746	US
Africa/Lagos	08 Mar 2013	excellent	4.92235	7.65649	NG
Asia/Yekaterinburg	2012/10/06	good	69.49015	56.11281	RU
America/Bogota	2013/05/20	excellent	-73.9614	10.15031	CO
Europe/Moscow	11 Aug 2017	accep	34.34691	61.78491	RU
America/Los_Angeles	01/09/2013, 00:00:00	accep	-117.29198	33.03699	US
America/Mexico_City	10/12/2013, 00:00:00	average	-100.88023	20.21322	MX
Africa/Nairobi	25 Jun 2019	accep	36.36339	0.03813	KE
Asia/Kuala_Lumpur	2017-11-02	accep	100.24529	5.4709	MY
Asia/Shanghai	2022-08-13	average	120.74221	31.64615	CN
Europe/Berlin	2015-03-01	maintenance	10.18527	47.98372	DE
Europe/Paris	2021/09/02	excellent	-0.59543	44.80477	FR
America/Detroit	02/25/2019, 00:00:00	maintenance	-83.48216	42.30865	US
Africa/Johannesburg	10/24/2014, 00:00:00	good	29.24152	-26.93366	ZA
Africa/Lagos	2020-02-29	good	3.39467	6.45407	NG
America/Sao_Paulo	02/20/2016, 00:00:00	building	-43.80139	-20.25333	BR
Africa/Freetown	2018-01-01	accep	-13.2356	8.48714	SL
Europe/Brussels	10/28/2014, 00:00:00	maintenance	5.37429	51.03427	BE
Africa/Lagos	12/09/2018, 00:00:00	maintenance	6.26764	4.92675	NG
Asia/Seoul	2014-12-15	excellent	128.9889	37.1759	KR
Europe/Istanbul	2017/01/07	good	42.85693	39.22493	TR
Europe/Rome	2014/02/12	average	16.50104	41.24264	IT
Africa/Tunis	11/23/2019, 00:00:00	good	9.37082	36.08497	TN
America/Havana	05/07/2019, 00:00:00	excellent	-82.00919	23.04419	CU
Europe/Madrid	2022-07-12	good	-1.64295	42.8139	ES
Asia/Shanghai	09/14/2021, 00:00:00	good	111.50861	32.54278	CN
Asia/Kolkata	02/21/2016, 00:00:00	excellent	71.57737	21.53889	IN
Europe/Sofia	02 Mar 2014	maintenance	23.225	43.4125	BG
Africa/Casablanca	05 May 2020	accep	-5.22126	33.43443	MA
Asia/Manila	02 Sep 2018	accep	121.12251	14.62578	PH
Asia/Manila	2021-04-26	excellent	123.62494	12.37169	PH
Europe/Kiev	2021/06/19	accep	30.96755	49.07866	UA
America/Los_Angeles	2013-07-12	good	-121.75689	36.91023	US
Europe/London	2013/05/30	maintenance	-2.98333	53.83333	GB
America/New_York	2021-05-05	excellent	-76.88442	40.2737	US
Asia/Jakarta	02 Nov 2017	good	110.8405	-6.8048	ID
Europe/Istanbul	2014/03/10	excellent	37.3825	37.05944	TR
America/Denver	2016/10/10	excellent	-105.11221	39.57582	US
Asia/Kolkata	21 Aug 2020	excellent	84.63445	24.81757	IN
America/New_York	2019/06/27	maintenance	-76.88442	40.2737	US
Asia/Tokyo	09/06/2019, 00:00:00	accep	136.84186	34.4833	JP
America/Sao_Paulo	2022/08/17	excellent	-46.99583	-22.97056	BR
Europe/Moscow	10/09/2015, 00:00:00	maintenance	39.8302	64.5635	RU
Europe/Rome	2013/04/22	average	15.07041	37.49223	IT
Asia/Aqtobe	17 Nov 2015	good	59.6	47.83333	KZ
Europe/Istanbul	29 Jun 2020	good	27.02444	39.59611	TR
America/New_York	2019/12/21	average	-76.43941	39.33427	US
Europe/Brussels	08/01/2014, 00:00:00	good	3.20639	50.74497	BE
Asia/Bangkok	14 May 2019	maintenance	102.42587	15.58552	TH
Asia/Shanghai	11/08/2020, 00:00:00	average	120.74792	41.09822	CN
America/Argentina/Cordoba	2020-07-05	accep	-60.93173	-31.4488	AR
Asia/Tokyo	2019/07/26	average	139.6853	35.815	JP
America/Sao_Paulo	11/18/2019, 00:00:00	good	-43.80139	-20.25333	BR
Europe/Moscow	09/08/2022, 00:00:00	excellent	37.56667	55.85	RU
Asia/Manila	24 Nov 2017	maintenance	124.95278	6.33444	PH
Asia/Kolkata	2018/11/10	building	71.57737	21.53889	IN
America/Lima	05/03/2014, 00:00:00	building	-76.70944	-11.94306	PE
Europe/Moscow	2016-11-07	good	38.16694	54.84444	RU
America/Sao_Paulo	2018/07/28	average	-48.67028	-28.24	BR
Europe/London	2017/07/18	building	-4.21376	55.82885	GB
Asia/Shanghai	2015/06/18	excellent	126.28333	45.35	CN
Asia/Kuala_Lumpur	2016/03/23	good	101.02083	4.02219	MY
America/Guayaquil	01/25/2020, 00:00:00	good	-79.00453	-2.90055	EC
America/Havana	2019-07-13	building	-77.43532	20.14298	CU
Asia/Kolkata	09/15/2016, 00:00:00	accep	77.70636	28.98002	IN
Europe/Paris	04 Jun 2021	excellent	2.61667	48.98333	FR
America/Caracas	06/19/2017, 00:00:00	good	-62.64102	8.35122	VE
America/Los_Angeles	26 Jul 2015	excellent	-121.75689	36.91023	US
Asia/Kolkata	06/25/2016, 00:00:00	excellent	73.66633	25.92493	IN
Asia/Shanghai	26 Mar 2022	good	117.27583	35.64889	CN
Europe/Berlin	2021-06-27	excellent	12.16179	48.52961	DE
Europe/Berlin	03/27/2021, 00:00:00	excellent	13.10984	51.30001	DE
Asia/Manila	2019-01-22	maitennce	123.89071	10.31672	PH
Asia/Colombo	23 Feb 2014	average	79.883	6.9909	LK
Asia/Karachi	05/22/2013, 00:00:00	good	75.06583	32.17629	PK
Asia/Karachi	2015-12-31	accep	73.38333	31.71667	PK
America/Los_Angeles	2015/01/25	accep	-118.10583	34.09611	US
America/Costa_Rica	2016/04/24	accep	-85.43772	10.63504	CR
Europe/London	17 Mar 2016	accep	-1.47217	53.46506	GB
Asia/Makassar	2015-06-17	accep	116.82887	-1.26753	ID
Asia/Tehran	11/25/2015, 00:00:00	accep	47.3799	33.14447	IR
Europe/Istanbul	2019-01-14	maintenance	40.74357	37.31309	TR
Asia/Karachi	05/11/2020, 00:00:00	average	72.54566	29.69221	PK
America/Los_Angeles	12/24/2021, 00:00:00	accep	-117.14392	32.9156	US
America/Sao_Paulo	10/10/2013, 00:00:00	building	-45.94722	-21.42917	BR
Asia/Shanghai	2017-07-23	building	120.03308	28.88162	CN
America/New_York	2016-02-10	acceptable	-81.23621	33.98154	US
America/New_York	02 Mar 2014	accep	-84.67837	34.06635	US
America/Chicago	2016/11/27	maintenance	-90.10674	29.84576	US
Asia/Almaty	2013/08/18	good	77.0202	43.41949	KZ
Asia/Jakarta	13 Sep 2013	accep	109.3243	-7.0981	ID
Asia/Kolkata	2013-09-05	accep	75.92694	14.46693	IN
Europe/Kiev	15 Mar 2019	good	29.41824	45.99194	UA
Europe/Istanbul	2017/04/20	average	28.67582	40.98894	TR
Asia/Shanghai	2020-08-19	accep	123.50266	41.94175	CN
America/Chicago	04/25/2018, 00:00:00	average	-94.74049	32.5007	US
Asia/Yekaterinburg	06/05/2013, 00:00:00	excellent	76.92421	60.97944	RU
Africa/Ndjamena	04 Sep 2014	excellent	18.69303	12.18441	TD
Europe/Malta	09/22/2018, 00:00:00	average	14.51472	35.89972	MT
Asia/Kolkata	17 Jun 2019	maintenance	86.59509	26.11527	IN
Africa/Luanda	2016-05-07	accep	19.91667	-11.78333	AO
America/Chicago	2017/10/05	excellent	-98.15529	26.18924	US
America/El_Salvador	2016/05/01	building	-89.10944	13.70167	SV
Asia/Kolkata	10 Sep 2018	accep	78.25795	9.82564	IN
Europe/Lisbon	18 Dec 2014	average	-8.33147	41.20485	PT
America/Los_Angeles	29 Nov 2018	excellent	-117.14392	32.9156	US
America/Sao_Paulo	03/07/2015, 00:00:00	accep	-47.53028	-22.45667	BR
Asia/Yekaterinburg	09/13/2021, 00:00:00	excellent	59.4839	58.7002	RU
Asia/Yangon	01/25/2020, 00:00:00	average	97.01124	17.30858	MM
Asia/Tokyo	2020/03/11	accep	144.09638	43.82634	JP
Africa/Gaborone	09/12/2017, 00:00:00	average	27.46153	-21.44236	BW
America/Porto_Velho	2019/09/16	accep	-63.90389	-8.76194	BR
America/Porto_Velho	08/16/2016, 00:00:00	excellent	-63.90389	-8.76194	BR
America/Chicago	2019-06-09	average	-91.58045	41.6764	US
Europe/Madrid	2015/10/12	excellent	3.1631	41.91738	ES
Europe/Amsterdam	2018-12-13	good	4.47124	51.95838	NL
America/New_York	06 May 2016	average	-69.96533	43.91452	US
Asia/Kolkata	2017/10/25	building	76.12647	32.55531	IN
Europe/Berlin	04/20/2019, 00:00:00	average	11.18709	48.73218	DE
Asia/Tokyo	22 Apr 2013	accep	136.51667	35	JP
Asia/Kolkata	27 Jan 2019	building	77.24779	10.58806	IN
Africa/Maputo	11/06/2015, 00:00:00	excellent	35.34722	-23.85972	MZ
Asia/Jerusalem	2022/01/06	average	34.8732	32.05971	IL
America/Sao_Paulo	2013/06/17	building	-49.27306	-25.42778	BR
America/Indiana/Indianapolis	21 Jun 2013	maintenance	-85.76942	39.78504	US
Asia/Hong_Kong	11 Aug 2018	building	114.10479	22.37066	HK
Europe/Amsterdam	20 Jun 2017	excellent	5.22778	51.955	NL
Europe/Oslo	08/03/2015, 00:00:00	building	16.54165	68.79833	NO
America/New_York	06/08/2017, 00:00:00	excellent	-82.32483	29.65163	US
Asia/Karachi	04/07/2013, 00:00:00	average	68.88871	25.95533	PK
Europe/Istanbul	2022-04-19	building	37.3825	37.05944	TR
Australia/Melbourne	02/07/2021, 00:00:00	building	145.18333	-37.9	AU
Europe/London	21 Apr 2016	average	-0.74934	51.62907	GB
America/Panama	04/03/2018, 00:00:00	maintenance	-79.62098	9.15093	PA
Europe/Moscow	2017/10/04	accep	30.38167	59.80917	RU
Europe/Berlin	28 Apr 2019	accep	6.8625	51.47805	DE
Indian/Antananarivo	03/07/2022, 00:00:00	average	44.53333	-22.9	MG
America/Los_Angeles	22 Dec 2017	accep	-117.71978	34.09668	US
Asia/Tokyo	2015-07-10	average	137.23333	35.8	JP
Asia/Tehran	2022/09/04	average	48.26258	33.86419	IR
America/Indiana/Indianapolis	2013-11-01	accep	-85.76942	39.78504	US
Europe/Kiev	31 Oct 2016	average	29.41824	45.99194	UA
Europe/Madrid	10/20/2013, 00:00:00	accep	-1.64295	42.8139	ES
Europe/Minsk	2016-05-23	maintenance	25.8191	53.5942	BY
Europe/Andorra	2016-01-20	good	1.53414	42.50729	AD
America/Santiago	09/24/2022, 00:00:00	accep	-71.23106	-32.45242	CL
America/Fortaleza	2012/11/01	good	-41.45861	-4.42472	BR
America/Denver	30 Aug 2018	average	-104.83192	39.72943	US
America/New_York	01 Mar 2020	excellent	-73.95958	40.57788	US
America/Chicago	2017-12-30	good	-102.36764	31.84568	US
America/New_York	28 Dec 2017	excellent	-72.86843	41.27621	US
Asia/Seoul	2019-02-19	average	128.62667	34.8825	KR
Asia/Kolkata	27 Mar 2013	building	76.12647	32.55531	IN
Africa/Algiers	2020-02-11	average	4.85668	36.27462	DZ
Asia/Tokyo	07/19/2014, 00:00:00	maintenance	139.55028	35.30889	JP
Australia/Sydney	04/19/2017, 00:00:00	maitennce	151.08057	-33.79176	AU
America/Los_Angeles	01/06/2013, 00:00:00	excellent	-122.38731	45.53929	US
America/Matamoros	2018-04-06	accep	-97.50417	25.87972	MX
Europe/Rome	12/29/2018, 00:00:00	accep	14.30935	40.92298	IT
Africa/Abidjan	2017/03/12	accep	-5.682	5.84752	CI
Europe/Vilnius	23 Mar 2014	good	24.04142	54.39635	LT
Asia/Kolkata	10/23/2019, 00:00:00	average	88.1453	22.4711	IN
America/Montevideo	01/01/2017, 00:00:00	good	-56.52361	-33.38056	UY
Africa/Monrovia	2019/03/27	accep	-8.53778	7.57944	LR
America/Chicago	2021/11/21	average	-99.73314	32.44874	US
Africa/Dar_es_Salaam	07 Feb 2020	excellent	38.01667	-5.41667	TZ
Europe/Moscow	06 Nov 2017	average	37.38115	55.63711	RU
Europe/Berlin	2015/08/10	average	8.4493	50.09019	DE
Asia/Shanghai	2021-09-13	average	120.33063	37.65181	CN
Asia/Shanghai	14 Feb 2020	building	130.57211	45.75279	CN
Europe/Madrid	05/13/2018, 00:00:00	accep	0.57856	40.70995	ES
Europe/Moscow	2015-10-05	accep	37.56667	55.85	RU
Europe/Berlin	17 Oct 2013	building	9.17702	48.78232	DE
Europe/London	04/02/2014, 00:00:00	average	-1.29243	53.49389	GB
Europe/Sarajevo	2015/10/20	maintenance	19.21437	44.75874	BA
Europe/Prague	2022-06-09	excellent	13.63617	50.50301	CZ
Europe/Saratov	2019/02/15	accep	46.04833	51.40944	RU
Europe/Moscow	2015-10-12	accep	34.34691	61.78491	RU
Africa/Nairobi	2017/04/09	average	34.11169	0.46005	KE
America/Tegucigalpa	26 Oct 2012	accep	-86.57415	15.48131	HN
America/Los_Angeles	09 Jan 2022	building	-122.39168	40.58654	US
America/Los_Angeles	2019-02-13	accep	-123.02621	44.99012	US
America/Havana	2021/07/12	excellent	-81.24441	23.15678	CU
Africa/Abidjan	06/17/2016, 00:00:00	accep	-5.682	5.84752	CI
Asia/Tokyo	28 Dec 2018	maintenance	136.84186	34.4833	JP
America/Los_Angeles	2015/11/16	accep	-118.25508	34.14251	US
Asia/Kolkata	04/14/2021, 00:00:00	good	74.83554	14.62072	IN
America/Sao_Paulo	2015-12-12	accep	-52.2	-28.44917	BR
Europe/Amsterdam	2015/12/29	building	5.74861	52.71083	NL
Asia/Manila	22 Feb 2019	good	120.97844	14.8361	PH
Europe/Berlin	2020/12/20	average	9.5586	54.52156	DE
Europe/Berlin	2013/08/22	accep	13.29371	52.53048	DE
Asia/Jakarta	2022/06/05	building	109.05389	-7.51611	ID
Asia/Tehran	08/21/2019, 00:00:00	average	47.3799	33.14447	IR
Africa/Abidjan	10 Oct 2017	good	-3.59625	5.27247	CI
Asia/Kolkata	27 Jan 2021	average	86.59611	25.87498	IN
Europe/Warsaw	03/16/2017, 00:00:00	excellent	15.00835	51.14942	PL
Europe/Zaporozhye	02/11/2021, 00:00:00	excellent	38.15035	49.41029	UA
Europe/Belgrade	2019-04-14	accep	22.53083	44.22639	RS
Europe/Paris	04 Aug 2018	average	2.45012	48.90982	FR
Asia/Kolkata	2015/03/05	good	79.5286	29.22254	IN
America/Puerto_Rico	2013/06/19	average	-67.15407	18.42745	PR
America/New_York	12/27/2016, 00:00:00	building	-81.77285	28.54944	US
America/Toronto	09/21/2020, 00:00:00	excellent	-73.58248	45.40008	CA
Asia/Jakarta	22 Jan 2021	average	109.3243	-7.0981	ID
America/Toronto	2022/02/05	accep	-80.38297	42.8334	CA
Europe/Brussels	02/20/2017, 00:00:00	accep	4.52529	50.71229	BE
Africa/Blantyre	2018/02/19	average	34.4587	-13.7804	MW
America/Denver	2014/12/23	average	-104.22884	32.42067	US
