longitude	code	QoS	latitude	revision	station
83.97573	IN	good	21.46527	2021/03/07	Sambalpur
-116.97725	US	excellent	33.92946	17 Dec 2012	Beaumont
-1.29243	GB	accep	53.49389	17 Nov 2019	Mexborough
112.73333	CN	good	38.40917	08/19/2015, 00:00:00	Xinzhou
11.412	IT	excellent	45.50369	03 Aug 2016	Montecchio Maggiore-Alte Ceccato
-103.5687	MX	accep	20.22816	01 Jan 2015	Zacoalco de Torres
-73.78458	US	maintenance	41.0051	2020/08/26	Scarsdale
32.88667	UG	good	3.27833	01/23/2014, 00:00:00	Kitgum
-86.78777	US	acceptable	33.44872	2015/05/31	Vestavia Hills
144.09638	JP	average	43.82634	2015-12-04	Motomachi
-3.67029	ES	good	37.13548	2020/04/21	Las Gabias
-122.39168	US	building	40.58654	01/06/2018, 00:00:00	Redding
136.84186	JP	building	34.4833	2014/06/01	Toba
-6.90656	MA	average	33.92866	07 Aug 2013	Temara
-71.05977	US	average	42.35843	2017-10-23	Boston
33.9162	UA	excellent	51.67822	06/29/2020, 00:00:00	Hlukhiv
84.13864	IN	average	22.88783	07/21/2022, 00:00:00	Jashpurnagar
4.08282	DZ	good	36.61954	24 Dec 2016	Beni Douala
-77.55777	US	excellent	37.52487	2017/10/09	Bon Air
-2.31938	GH	maintenance	6.46346	12 Apr 2019	Bibiani
5.4584	FR	average	43.32393	2021/03/10	Les Olives
38.01667	TZ	average	-5.41667	16 May 2017	Chanika
53.47103	RU	average	54.48147	2015-10-25	Oktyabr’skiy
-122.23484	US	excellent	47.38093	2020/12/02	Kent
5.37429	BE	average	51.03427	2016/12/11	Houthalen
4.85668	DZ	maintenance	36.27462	08/12/2021, 00:00:00	Bordj Zemoura
41.00817	TR	excellent	38.13708	08/25/2022, 00:00:00	Silvan
5.58472	NL	average	52.14	07 Mar 2019	Barneveld
-69.96533	US	average	43.91452	06 Dec 2015	Brunswick
-75.60804	US	good	39.96097	10/13/2014, 00:00:00	West Chester
-74.13653	US	accep	40.63316	2014-12-22	Port Richmond
6.9747	DE	building	50.82709	21 Mar 2022	Wesseling
139.6853	JP	good	35.815	2015/08/03	Shimotoda
-101.2591	MX	accep	21.01858	2020/02/27	Guanajuato
20.91361	MK	average	41.92361	07/02/2017, 00:00:00	Bogovinje
51.0193	IR	good	35.6803	05 Jul 2020	Shahre Jadide Andisheh
68.49143	PK	average	25.80565	2019/05/21	Bhit Shah
11.04979	IT	good	44.59445	20 Sep 2021	Castelfranco Emilia
-3.53261	ES	good	40.42386	2019/12/16	San Fernando de Henares
12.6723	IT	accep	41.72063	06 Feb 2013	Ariccia
12.38878	IT	average	43.1122	09/08/2015, 00:00:00	Perugia
-121.75689	US	excellent	36.91023	2014-11-28	Watsonville
-116.37697	US	excellent	33.72255	2015/09/19	Palm Desert
-81.79819	US	average	41.48199	2013-12-12	Lakewood
-105.11221	US	accep	39.57582	26 May 2020	Ken Caryl
2.1699	FR	accep	48.98994	2014-08-03	Herblay
34.02537	TR	good	38.37255	2014-08-04	Aksaray
-88.31476	US	accep	36.61033	2015-05-15	Murray
14.51472	MT	excellent	35.89972	06 Aug 2019	Valletta
-0.45877	FR	excellent	46.32313	04/04/2018, 00:00:00	Niort
-4.1	FR	accep	48	01/04/2016, 00:00:00	Quimper
102.3278	MY	maintenance	2.2139	03/28/2021, 00:00:00	Kampung Ayer Molek
10.5511	DE	average	52.47774	2020/08/18	Gifhorn
15.07041	IT	average	37.49223	2013/09/16	Catania
3.1631	ES	accep	41.91738	2021-06-29	Palafrugell
76.32756	IN	excellent	9.57046	18 Dec 2021	Kalavoor
11.32903	DE	maintenance	50.9803	2015-01-25	Weimar
-3.53261	ES	accep	40.42386	10 Feb 2015	San Fernando de Henares
9.47629	DE	maintenance	53.59337	18 Mar 2021	Stade
5.16108	FR	good	48.77275	2021-05-13	Bar-le-Duc
5.4584	FR	average	43.32393	2016-09-05	Les Olives
13.57661	IT	maintenance	37.31065	02/27/2015, 00:00:00	Agrigento
-58.44417	BR	excellent	-3.14306	07 Nov 2016	Itacoatiara
120.89694	PH	accep	14.95472	2013-12-12	Baliuag
-1.86343	ES	average	38.10558	07/26/2020, 00:00:00	Caravaca
118.53333	CN	accep	27.92333	2021/05/13	Pucheng
18.28333	SE	accep	59.33333	29 Sep 2015	Boo
77.656	IN	good	28.71271	2015-01-02	Pilkhua
-65.61427	AR	maintenance	-27.4338	31 Dec 2013	Aguilares
76.35484	IN	average	10.10649	2016/12/10	Alwaye
150.99292	AU	excellent	-33.75881	21 May 2021	Baulkham Hills
-73.75335	CA	excellent	45.4473	2018-04-14	Dorval
-1.29772	GB	good	50.76306	09 Dec 2015	Cowes
-93.11308	MX	excellent	16.75973	27 Mar 2022	Tuxtla
-1.98956	GH	good	5.30383	29 Sep 2021	Tarkwa
-5.53715	GB	good	50.11861	2020-10-21	Penzance
124.3697	PH	building	9.6531	09/11/2018, 00:00:00	Jagna
69.67639	UZ	average	41.29444	08 Dec 2012	Parkent
39.28333	TZ	accep	-10.33333	01/29/2013, 00:00:00	Nyangao
117.65694	CN	maintenance	36.19278	25 Aug 2014	Laiwu
-60.47389	AR	building	-34.64167	03 Mar 2021	Chacabuco
-101.2591	MX	excellent	21.01858	09 Sep 2017	Guanajuato
29.47306	CD	good	0.49113	22 Jul 2019	Beni
105.89333	CN	average	34.56861	13 Dec 2013	Beidao
145.13643	AU	average	-38.16604	22 Apr 2014	Frankston South
-82.61573	US	accep	41.24255	29 May 2020	Norwalk
140.72287	RU	average	53.14657	2022-02-21	Nikolayevsk-on-Amure
22.53083	RS	excellent	44.22639	2015/05/03	Negotin
-77.02303	US	excellent	38.70734	11/28/2021, 00:00:00	Fort Washington
-83.55521	US	good	41.66394	16 Aug 2019	Toledo
-75.87877	CO	good	5.6561	2017-08-02	Andes
-81.77285	US	maintenance	28.54944	23 Feb 2021	Clermont
-77.70066	US	accep	43.16547	2014-03-31	Gates-North Gates
77.23826	IN	average	11.50526	31 Oct 2017	Sathyamangalam
-97.92977	US	excellent	38.06084	2014/09/02	Hutchinson
-67.33122	VE	good	10.22677	12/14/2021, 00:00:00	La Victoria
47.3799	IR	excellent	33.14447	22 Aug 2017	Darreh Shahr
-122.38731	US	average	45.53929	03 Feb 2016	Troutdale
34.8732	IL	excellent	32.05971	2015/07/07	Ganei Tikva
0.30367	GB	good	51.38673	2022/02/02	Hartley
-97.92977	US	accep	38.06084	2015/01/03	Hutchinson
37.73333	TZ	excellent	-4.06667	11/29/2016, 00:00:00	Same
-88.27205	US	good	44.27804	07 Jul 2014	Kaukauna
-6.90656	MA	excellent	33.92866	02 Apr 2016	Temara
-117.14392	US	good	32.9156	29 Aug 2014	Mira Mesa
-74.96933	US	excellent	39.71734	2015/06/18	Sicklerville
178.00417	NZ	excellent	-38.65333	04 Aug 2014	Gisborne
9.72749	DE	excellent	48.28259	2022/05/24	Ehingen
-47.53028	BR	good	-22.45667	19 Feb 2022	Santa Gertrudes
-37.65	BR	excellent	-10.91722	2022/06/30	Lagarto
71.52847	PK	building	32.57756	2019/01/02	Mianwali
73.08333	IN	excellent	19.21667	2012/09/29	Dombivli
152.70493	AU	accep	-25.54073	2016/03/13	Maryborough
-60.1831	CA	average	46.1351	05/01/2021, 00:00:00	Sydney
47.3799	IR	accep	33.14447	2019/11/22	Darreh Shahr
69.01354	TJ	maintenance	38.55632	2015-10-10	Vahdat
35.90057	RU	excellent	56.85836	01/24/2016, 00:00:00	Tver
38.01667	ET	good	11.85	2013/02/11	Debre Tabor
-51.87389	BR	good	-23.44361	05/29/2021, 00:00:00	Sarandi
68.49143	PK	average	25.80565	2018-03-08	Bhit Shah
4.82313	BE	good	51.24197	2020-12-10	Lille
-94.41551	US	good	39.09112	2022-05-02	Independence
37.56667	RU	average	55.85	2018-04-12	Likhobory
10.5511	DE	building	52.47774	13 Apr 2020	Gifhorn
-74.01042	US	excellent	41.50343	2018-12-28	Newburgh
-87.71255	US	accep	41.84364	2019-09-27	South Lawndale
-3.05	GB	excellent	53.81667	2013/07/28	Blackpool
-8.2503	PT	good	37.08819	2019-08-11	Albufeira
104.1451	TH	good	15.79408	2022/03/03	Yasothon
-73.02841	CL	accep	-36.9256	16 Oct 2015	Chiguayante
110.71639	ID	excellent	-7.54972	11 May 2014	Ngemplak
-91.11667	GT	good	14.93333	06 Sep 2019	Chichicastenango
-79.59415	EC	excellent	-2.13404	2022/04/13	Milagro
-2.52398	GB	good	53.19146	21 Feb 2020	Winsford
84.13864	IN	good	22.88783	23 Oct 2015	Jashpurnagar
35.34722	MZ	good	-23.85972	08/12/2014, 00:00:00	Maxixe
24.43973	CD	accep	0.76755	2018/05/19	Yangambi
142.45778	JP	maintenance	44.35056	2021/10/29	Nayoro
117.65694	CN	maintenance	36.19278	28 Oct 2020	Laiwu
-117.23991	US	accep	47.64995	10/13/2018, 00:00:00	Opportunity
-1.08593	GB	excellent	50.79205	05 Jun 2013	Southsea
-73.20483	US	average	41.16704	04/21/2016, 00:00:00	Bridgeport
-81.79819	US	excellent	41.48199	2019-10-20	Lakewood
75.16878	IN	accep	30.81383	07/21/2013, 00:00:00	Moga
43.91385	RU	good	54.03876	2014/04/04	Kovylkino
75.35927	IN	good	12.04161	24 May 2022	Talipparamba
-86.99666	US	average	33.45122	05/31/2021, 00:00:00	Hueytown
33.2525	RU	accep	57.97472	25 Jul 2020	Valday
114.51667	CN	accep	33.78333	05/28/2017, 00:00:00	Wacheng
-118.10583	US	building	34.09611	2012-12-03	San Gabriel
130.94098	JP	good	33.3213	14 Feb 2018	Hita
-121.74052	US	accep	38.54491	2014/10/08	Davis
-13.68778	GN	accep	9.535	2020/08/24	Camayenne
136.51667	JP	good	35	05/28/2014, 00:00:00	Komono
-111.78903	US	average	33.35283	01/21/2014, 00:00:00	Gilbert
39.8302	RU	good	64.5635	2015/07/22	Severodvinsk
44.02488	IQ	good	32.61603	03 Mar 2013	Karbala
-81.38758	US	building	30.17746	2014/02/11	Palm Valley
2.35739	ES	excellent	41.63976	09 Feb 2013	Cardedeu
-77.43532	CU	excellent	20.14298	2020-04-15	Media Luna
38.28402	SY	excellent	34.5624	2014-01-17	Tadmur
20.89389	XK	accep	42.62833	30 Jan 2014	Glogovac
102.05461	TH	average	6.25947	2018/08/27	Tak Bai
-88.31476	US	good	36.61033	2018/07/08	Murray
102.56365	KH	average	13.65805	2020/01/18	Paoy Paet
9.15214	DE	good	49.97704	2014/02/03	Aschaffenburg
13.44275	IT	good	38.07789	12/25/2018, 00:00:00	Villabate
136.51667	JP	accep	35	11/03/2014, 00:00:00	Komono
-63.90389	BR	excellent	-8.76194	2021-03-03	Porto Velho
83.36889	IN	excellent	26.76628	2021/04/06	Gorakhpur
103.65309	TH	average	16.0567	06/06/2015, 00:00:00	Roi Et
13.28702	DE	average	52.4581	30 Aug 2021	Dahlem
13.10984	DE	average	51.30001	2021/10/02	Oschatz
5.74861	NL	average	52.71083	11/29/2013, 00:00:00	Emmeloord
138.31667	JP	maitennce	36.65	11/16/2013, 00:00:00	Suzaka
-8.2503	PT	good	37.08819	26 May 2021	Albufeira
-74.01042	US	accep	41.50343	16 Apr 2013	Newburgh
65.27258	RU	accep	58.04254	2022/09/14	Tavda
73.06784	IN	building	25.13915	2019-07-02	Sheoganj
85.83334	IN	building	20.88197	2016-08-01	Bhuban
32.88667	UG	maintenance	3.27833	2017/09/17	Kitgum
35.23388	PS	excellent	31.78336	20 Feb 2014	East Jerusalem
-73.78458	US	average	41.0051	04/23/2016, 00:00:00	Scarsdale
-89.99038	US	maintenance	38.58894	2018/03/16	Fairview Heights
-84.67837	US	accep	34.06635	2020/05/25	Acworth
7.02238	DE	average	52.21099	06/11/2016, 00:00:00	Gronau
-1.64295	ES	excellent	42.8139	2016/05/17	Segundo Ensanche
-115.98391	US	maintenance	36.20829	25 Apr 2021	Pahrump
-88.70464	US	good	34.25807	2013/10/22	Tupelo
-82.90375	US	good	32.54044	2020-01-24	Dublin
124.84472	PH	good	10.13361	03 Jul 2021	Maasin
-76.78319	JM	building	18.00747	2019-06-30	New Kingston
100.24529	MY	average	5.4709	2014-08-08	Batu Feringgi
127.08472	KR	excellent	36.20389	2017-10-04	Nonsan
-84.67837	US	maintenance	34.06635	08/30/2020, 00:00:00	Acworth
83.97573	IN	good	21.46527	2015-07-09	Sambalpur
39.85331	RU	maintenance	57.30185	2015/05/10	Gavrilov-Yam
5.58472	NL	average	52.14	14 Jun 2019	Barneveld
-0.36053	GB	good	51.64316	06/29/2017, 00:00:00	Bushey
34.33825	RU	good	53.59782	17 Apr 2021	Dyat’kovo
107.60389	ID	maintenance	-7.01833	07/24/2014, 00:00:00	Pameungpeuk
76.56719	IN	maintenance	24.41288	02/18/2022, 00:00:00	Aklera
-95.44744	US	maintenance	29.53885	2015/06/26	Fresno
115.8614	AU	good	-31.95224	2019-05-26	Perth
35.96944	RU	average	56.03361	2019-06-04	Volokolamsk
-82.35176	US	average	27.71809	2018-11-02	Sun City Center
6.92917	NL	good	52.31333	28 Sep 2020	Oldenzaal
10.78222	TN	good	36.46917	15 Jul 2017	Beni Khiar
-81.23621	US	excellent	33.98154	09/23/2017, 00:00:00	Lexington
-121.74052	US	average	38.54491	2015-10-26	Davis
31.33078	UA	average	47.56494	05/24/2016, 00:00:00	Voznesensk
-3.67029	ES	accep	37.13548	05/28/2021, 00:00:00	Las Gabias
-51.50361	BR	accep	-29.2975	2018/01/19	Carlos Barbosa
9.02596	DE	average	48.21644	24 Apr 2013	Albstadt
-67.15407	PR	maintenance	18.42745	2020-11-25	Aguadilla
-87.93341	US	average	42.55308	07/17/2013, 00:00:00	Pleasant Prairie
8.63333	DE	excellent	52.2	24 Nov 2019	Kirchlengern
4.21372	BE	average	51.12794	2015-10-27	Temse
-1.60452	ES	average	42.06166	2019/03/02	Tudela
16.91667	NA	good	-21.98333	2018-06-04	Okahandja
-49.27306	BR	good	-25.42778	04/12/2015, 00:00:00	Curitiba
-62.64102	VE	good	8.35122	2021/09/28	Ciudad Guayana
122.05228	CN	good	37.19723	2016/04/08	Tianfu
1.00288	FR	average	49.28669	2020/03/07	Elbeuf
-1.05366	FR	excellent	43.71032	08/24/2013, 00:00:00	Dax
10.7	CM	good	4.96667	07 Sep 2013	Tonga
8.63333	DE	good	52.2	2013/01/14	Kirchlengern
79.41727	IN	accep	12.25282	07/09/2014, 00:00:00	Gingee
-87.65644	US	good	41.80753	07/26/2017, 00:00:00	New City
9.22796	DE	maintenance	48.46458	2020-09-08	Pfullingen
9.85	DE	accep	53.63333	04/26/2021, 00:00:00	Halstenbek
37.99117	RU	excellent	44.92934	03/18/2016, 00:00:00	Krymsk
111.73861	CN	building	35.20889	2014/04/13	Changzhi
38.01667	ET	maintenance	11.85	08 Mar 2020	Debre Tabor
107.60389	ID	accep	-7.01833	2013-07-09	Pameungpeuk
38.02486	RU	excellent	55.64776	2020-06-20	Malakhovka
-78.04471	US	good	34.25628	12/18/2019, 00:00:00	Leland
-104.83192	US	excellent	39.72943	2015/07/26	Aurora
-73.47429	US	good	40.68066	2014-12-16	Massapequa
-74.73584	CO	good	5.20856	08/09/2013, 00:00:00	Honda
32.86389	RU	good	53.95278	06/02/2013, 00:00:00	Roslavl’
84.87144	KZ	excellent	47.46657	2018/12/30	Zaysan
-5.682	CI	accep	5.84752	2018-06-05	Lakota
12.53463	DK	excellent	55.67938	2013-10-05	Frederiksberg
8.70745	DE	accep	49.03685	09/15/2014, 00:00:00	Bretten
139.55722	JP	building	36	2016-03-23	Okegawa
17.80774	IT	good	40.55851	2014/06/01	Mesagne
3.1631	ES	good	41.91738	2013-12-22	Palafrugell
-46.99583	BR	accep	-22.97056	2013-04-10	Valinhos
89.11943	BD	maitennce	23.9028	08 May 2021	Kushtia
-69.08333	PE	accep	-16.25	2022-05-11	Yunguyo
100.24529	MY	maintenance	5.4709	04 Jan 2018	Batu Feringgi
-105.36369	MX	good	22.49396	27 Mar 2021	Acaponeta
75.37991	IN	average	25.75728	2021/09/16	Deoli
-91.77127	US	average	37.95143	2015-02-25	Rolla
-81.79819	US	average	41.48199	01 Jul 2016	Lakewood
-79.62603	PA	good	8.88988	23 Dec 2013	Veracruz
73.7553	IN	accep	15.5439	13 Aug 2018	Calangute
9.15214	DE	excellent	49.97704	27 Jan 2013	Aschaffenburg
-4.1	FR	excellent	48	06/14/2013, 00:00:00	Quimper
37.73333	TZ	excellent	-4.06667	07/09/2018, 00:00:00	Same
32.88667	UG	good	3.27833	05/20/2022, 00:00:00	Kitgum
69.67639	UZ	average	41.29444	2019/07/10	Parkent
102.56365	KH	good	13.65805	12/11/2013, 00:00:00	Paoy Paet
125.21972	TL	accep	-8.99167	05 Apr 2015	Maliana
109.3243	ID	excellent	-7.0981	2020-02-25	Randudongkal
-116.21677	US	average	33.7207	2018-04-24	Indio
101.44167	ID	good	0.51667	2014/04/02	Pekanbaru
-72.47417	CO	accep	7.83389	2021-09-08	Villa del Rosario
72.54566	PK	building	29.69221	10/19/2012, 00:00:00	Hasilpur
4.63031	FR	good	43.67681	2014-02-15	Arles
-117.54866	US	building	33.93113	20 Jul 2019	Norco
-120.00865	US	building	46.32374	2015-12-06	Sunnyside
-77.03116	CO	building	3.8801	2019-05-31	Buenaventura
-89.10944	SV	excellent	13.70167	2019/06/24	Ilopango
14.51472	MT	accep	35.89972	2020-08-19	Valletta
-102.36764	US	excellent	31.84568	2015-02-05	Odessa
-50.19556	BR	average	-19.72806	2014/07/20	Iturama
-78.87836	US	accep	35.05266	07/07/2019, 00:00:00	Fayetteville
86.51499	IN	average	23.1959	29 May 2021	Kenda
73.97117	PK	good	31.96258	03/29/2020, 00:00:00	Naushahra Virkan
5.37429	BE	building	51.03427	15 Mar 2016	Houthalen
116.10146	MY	average	5.90702	2014-11-14	Donggongon
-84.23381	US	accep	33.54428	21 Jan 2016	Stockbridge
-86.58208	NI	excellent	13.48082	05/20/2014, 00:00:00	Somoto
-84.23381	US	building	33.54428	13 Jul 2021	Stockbridge
-80.58556	CU	accep	22.98212	06/26/2019, 00:00:00	Corralillo
-60.94228	MQ	excellent	14.67751	07 May 2019	Le Robert
49.62251	SA	average	27.0174	02/18/2013, 00:00:00	Al Jubayl
-13.2356	SL	accep	8.48714	2013/09/16	Freetown
120.82747	CN	excellent	37.30553	2014-01-15	Zhuangyuan
5.37429	BE	maintenance	51.03427	03/31/2014, 00:00:00	Houthalen
5.03586	FR	average	43.83125	12/10/2013, 00:00:00	Cavaillon
48.87498	AZ	building	38.45598	06/05/2013, 00:00:00	Astara
77.23826	IN	maintenance	11.50526	06/15/2013, 00:00:00	Sathyamangalam
74.12286	PK	average	30.76468	2018-04-11	Kanganpur
-81.26367	US	good	28.90054	14 Jan 2017	Deltona
-117.70755	US	average	33.52253	29 Jul 2018	Laguna Niguel
-87.66561	US	accep	41.8542	11 Aug 2021	Lower West Side
8.64409	DE	accep	48.07667	2021-04-10	Trossingen
-88.27205	US	excellent	44.27804	2022/01/02	Kaukauna
-118.10583	US	average	34.09611	23 Jul 2022	San Gabriel
120.14278	CN	accep	32.50611	2013-02-11	Jiangyan
-82.46148	US	accep	28.15112	17 Jan 2018	Lutz
5.2875	NL	maintenance	51.65333	11/23/2013, 00:00:00	Vught
-76.78319	JM	maintenance	18.00747	06/10/2022, 00:00:00	New Kingston
14.51472	MT	good	35.89972	2015/05/08	Valletta
109.05389	ID	building	-7.51611	2015-03-02	Wangon
2.08333	FR	good	48.86667	2016/11/01	Marly-le-Roi
77.656	IN	building	28.71271	01 Dec 2016	Pilkhua
8.91229	DE	good	49.13645	2016-05-25	Eppingen
10.78222	TN	accep	36.46917	29 Dec 2019	Beni Khiar
24.14662	FI	good	65.84811	06/22/2015, 00:00:00	Tornio
112.73333	CN	good	38.40917	10/31/2015, 00:00:00	Xinzhou
76.11996	IN	average	11.12018	2020-09-24	Manjeri
43.91385	RU	accep	54.03876	2015/09/02	Kovylkino
-117.70755	US	average	33.52253	2019-01-30	Laguna Niguel
78.15794	IN	average	12.1277	04/15/2017, 00:00:00	Dharmapuri
-4.21376	GB	accep	55.82885	2016-06-25	Rutherglen
12.87117	CZ	accep	50.23271	2019-02-10	Karlovy Vary
16.4	AT	average	48.25	02 Jan 2017	Floridsdorf
73.06784	IN	building	25.13915	08/09/2021, 00:00:00	Sheoganj
-77.70066	US	excellent	43.16547	2017-05-16	Gates-North Gates
8.51667	DE	average	51.88333	09 Dec 2020	Verl
-82.00919	CU	average	23.04419	05 Mar 2021	Jaruco
133.42825	RU	excellent	45.47885	04/15/2020, 00:00:00	Lesozavodsk
2.18247	ES	maintenance	41.41204	04 May 2019	el Camp de l'Arpa del Clot
123.99333	PH	good	12.97389	16 May 2021	Sorsogon
75.92694	IN	accep	14.46693	2018/05/18	Davangere
74.85849	IN	accep	31.28092	2018/05/09	Patti
4.69889	BE	average	50.56149	2017/07/08	Gembloux
-65.61427	AR	excellent	-27.4338	10 Mar 2015	Aguilares
88.28637	IN	excellent	23.07492	10/06/2017, 00:00:00	Pandua
86.68363	IN	good	23.49668	14 Apr 2017	Adra
-88.31476	US	accep	36.61033	2013-04-03	Murray
-84.67837	US	building	34.06635	20 Sep 2017	Acworth
-93.12577	US	maintenance	44.73941	2014-02-27	Rosemount
-88.64235	US	average	46.09273	2015-04-11	Iron River
59.6	KZ	building	47.83333	2018-12-26	Shalqar
31.3237	BY	accep	52.4089	22 Sep 2017	Dobrush
34.34691	RU	average	61.78491	06/29/2019, 00:00:00	Petrozavodsk
-76.99081	US	maintenance	38.96372	2016-06-23	Chillum
15.28318	CG	building	-4.26613	15 Dec 2013	Brazzaville
2.35739	ES	average	41.63976	2017/07/26	Cardedeu
47.31667	MG	good	-19.65	2017/02/02	Antanifotsy
4.47124	NL	accep	51.95838	2013/11/27	Schiebroek
-84.67837	US	maintenance	34.06635	2021-01-25	Acworth
8.52462	CH	maintenance	47.30997	2020/07/15	Adliswil
-93.263	US	maintenance	45.0408	08/23/2019, 00:00:00	Columbia Heights
-71.06616	US	maintenance	42.4251	14 Jun 2017	Malden
34.02537	TR	average	38.37255	2013/08/03	Aksaray
78.15794	IN	excellent	12.1277	01/13/2022, 00:00:00	Dharmapuri
19.21437	BA	excellent	44.75874	11 Jul 2015	Bijeljina
-52.67056	BR	average	-26.22861	25 Jul 2018	Pato Branco
-45.94722	BR	excellent	-21.42917	22 Dec 2018	Alfenas
-76.43941	US	excellent	39.33427	03/29/2022, 00:00:00	Middle River
-1.32471	GB	average	51.40148	09/21/2013, 00:00:00	Newbury
43.67663	RU	building	53.53041	07/25/2022, 00:00:00	Nizhniy Lomov
-98.15529	US	average	26.18924	2019-11-21	San Juan
-67.15407	PR	maintenance	18.42745	12/29/2021, 00:00:00	Aguadilla
-89.99038	US	accep	38.58894	09/15/2017, 00:00:00	Fairview Heights
-119.27337	CA	excellent	50.26729	06/09/2019, 00:00:00	Vernon
88.28637	IN	good	23.07492	22 Oct 2012	Pandua
-73.47429	US	good	40.68066	04/01/2013, 00:00:00	Massapequa
117.63083	CN	average	35.50056	05/10/2020, 00:00:00	Pingyi
-75.23266	US	accep	43.1009	09/19/2021, 00:00:00	Utica
-1.99421	GB	average	51.35084	2019-07-25	Devizes
-58.70072	AR	average	-34.74785	2018/11/05	Pontevedra
-74.95472	CO	average	10.98778	03/12/2015, 00:00:00	Puerto Colombia
7.00417	NL	average	52.26083	2016/03/05	Losser
13.32127	DE	average	52.59319	2019-10-15	Wittenau
-85.43772	CR	building	10.63504	11/23/2015, 00:00:00	Liberia
-93.12577	US	average	44.73941	12 Aug 2015	Rosemount
4.47124	NL	good	51.95838	09/06/2014, 00:00:00	Schiebroek
9.5926	DE	accep	52.86147	04/30/2020, 00:00:00	Walsrode
65.50917	KZ	maintenance	44.85278	17 Apr 2015	Kyzylorda
24.71204	BG	excellent	41.57439	2021-02-06	Smolyan
115.70111	CN	building	37.73222	11/19/2016, 00:00:00	Hengshui
76.12647	IN	average	32.55531	2013-11-19	Chamba
125.51176	CN	good	42.64031	03/08/2020, 00:00:00	Dongfeng
68.21204	PK	average	27.55898	07 Jun 2018	Larkana
145.13643	AU	average	-38.16604	15 Aug 2013	Frankston South
-78.19444	US	good	38.91817	05/09/2021, 00:00:00	Front Royal
-50.00639	BR	average	-25.42944	2016/02/04	Palmeira
-98.11889	MX	average	19.04222	09/01/2014, 00:00:00	Casa Blanca
26.97253	UA	building	49.65186	24 Nov 2016	Krasyliv
-52.20639	BR	excellent	-3.20333	12/03/2019, 00:00:00	Altamira
