Pb	TEMP	longitude	NH3	PM10	SO2	H2CO	PAHs	NOx	latitude	CFCs	PM2.5	O3	CO	warning	CH4	C2H3NO5	PRES
36.06499	-0.05709	-2.12139	7.73386	8.20198	9.81979	53.07740	7.24716	6.02596	52.48173	50.33909	5.65114	8.30542	6.75744	1.00000	7.90829	6.79228	1075.01986
49.79507	14.78766	13.57661	5.94976	7.83635	9.00067	53.78901	7.73306	6.04916	37.31065	56.58627	9.73796	5.66216	8.63114	1.00000		6.17390	1099.26914
52.35359	14.12106	86.68363	5.42315	7.23240	6.54809	43.17863	6.97892	5.87121	23.49668	78.72481	7.09722	9.50036	5.43025	1.00000	10.78952	4.63462	1065.39327
56.53326	9.73107	-113.3187	8.10188	8.05969	9.35900	46.96904	7.20899	7.58198	53.51684	69.52919	10.50119	10.55607	6.82990	0.00000	8.99323	6.85828	1177.92972
53.33074	4.79754	118.9707	10.07451	7.29947	7.04373	60.74318	8.69441	9.83702	-3.5403	51.98583	8.35364	7.41751	6.24759	0.00000	9.26806	3.74601	1134.45958
67.09932	19.85018	47.3799	7.43010	6.95302	9.11237	51.96940	7.35587	5.34652	33.14447	73.15626	10.12276	6.06144	9.75088	1.00000	12.35733	4.45705	1053.14550
50.22924	36.72648	123.62494	8.94253	7.05241	8.77618	61.99137	7.71672	6.68787	12.37169	61.63030	6.84294	7.22967	7.55999	1.00000	9.27148	3.73726	1093.76319
54.35030	8.69192	-2.31938	7.91945	8.26676	4.38771	62.39489	7.39662	9.51214	6.46346	87.89181	9.63699	5.32287	5.49991	0.00000	6.43368	7.36452	1110.28384
49.24931	12.27419	117.65694	7.58696	8.92956	8.96076	53.65644	6.53616	5.32721	36.19278	57.23734	7.64940	7.02377	10.11418	1.00000	7.65413	12.64778	1053.22492
46.92931	15.58904	4.82313	5.83992	6.66451	7.71406	55.70182	5.48149	8.61980	51.24197	63.14613	8.59295	7.49244	5.59777	0.00000	7.58092	3.79787	1163.69635
52.79598	16.21621	5.58472	5.88249	7.72432	6.94976	48.12402	7.54807	6.54005	52.14	56.01886	8.39577	6.85624	3.32339	0.00000	4.16612	4.88660	1177.41040
46.08838	31.68151	112.73333	7.84916	8.55741	7.50706	42.51353	7.56189	8.32915	38.40917	41.90426	8.64500	6.19144	4.74341	0.00000	6.02167	8.98241	1139.49154
63.23548	9.59688	106.88324	7.64367	7.54956	5.72406	46.23572	8.05718	7.04429	47.90771	42.94320	7.05439	3.11638	8.65051	0.00000	7.35868	3.03729	1052.58826
46.57245	29.44476	86.51499	6.24654	6.50739	7.95131	58.10148	9.02914	4.65621	23.1959	69.21622	7.15636	8.86149	8.14918	1.00000	7.46250	2.89953	1104.88772
53.25754	22.10592	-78.87836	8.48840	8.25937	8.23023	62.13254	5.76775	7.34477	35.05266	50.34472	5.39127	8.71559	6.79963	1.00000	9.49448	6.59749	1089.40221
32.60765	19.75477	-88.31476	7.84806	7.16473	10.75396	42.40969	6.73354	6.47731	36.61033	64.21364	5.95165	8.86852	6.38818	1.00000	6.75544	2.51741	1136.77220
19.10449	32.69390	112.73333	6.52157	6.91018	5.10519	62.73071	8.08851	8.89397	38.40917	60.98531	9.13996	5.98243	5.03965	0.00000	8.10020	3.34650	1107.97580
62.38173	24.18190	47.3799	8.32157	8.95029	9.69891	32.25378	8.71461	3.01921	33.14447	54.66992	6.13681	6.54733	4.84454	1.00000	8.31149	12.22340	1079.32148
30.93349	-1.37489	-3.05	8.14633	9.39864	5.73576	54.69572	7.72346	6.33754	53.81667	51.30171	6.57550	0.60814	5.47197	0.00000	6.86074	19.52051	1150.63436
41.99823	24.70742	-118.03917	6.39851		4.08186	33.90389	4.97073	10.73182	33.95015	61.38158	9.02985	6.57627	9.41457	0.00000	9.75102	8.95316	1116.95905
56.79115	4.33644	10.58082	7.03149	7.11288	2.04984	35.73602	9.16063	7.11339	35.72917	58.36154	9.73462	5.78841	5.65226	0.00000	11.09845	4.01644	1110.26742
58.67612	24.30222	4.52514	7.34575	8.47460	5.15416	38.68604	7.58673	10.73849	12.74482	54.35550	10.04923	7.48000	7.78906	0.00000	5.50988	7.76281	1161.65424
58.11239	6.60215	72.54064	7.20122	8.99234	6.71613	58.47034	5.78446	11.06291	31.82539	58.47306	6.52529	7.42437	7.99752	0.00000	11.28444	13.82589	1173.07039
38.77349	14.14326	-68.3	6.56542	7.87815	6.16137	31.91983	7.85444	10.83202	-54.8	42.77447	8.87910	6.57284	9.03739	0.00000	8.39167	6.50481	1190.94860
55.03197	16.51006	-84.67837	9.32026	6.67045	8.14713	48.41684	7.62725	8.28137	34.06635	62.41800	9.54000	8.43714	5.00036	0.00000	8.05269	2.63324	1133.54672
78.76277	9.71878	7.36027	7.31893	7.46709	7.60628	45.29438	8.40364	4.01790	51.20219	46.23913	4.32256	9.15330	5.91005	1.00000	10.12208	3.30628	1113.62573
50.97734	16.51036	6.26764	6.02046	7.41428	7.97203	60.61284	6.62539	7.51034	4.92675	51.57961	12.50772	6.07733	8.98572	1.00000	8.68464	3.65796	1179.34930
49.43003	13.33780	69.01354	7.14931	7.15698	6.68535	78.11303	8.02075	5.15133	38.55632	74.56073	7.48899	4.98422	3.95887	0.00000	6.38670	4.36198	1132.60152
54.45516	35.23856	-104.22884	7.04889	7.25796	9.80861	48.97131	8.61898	6.13721	32.42067	56.37194	5.19376	8.88712	7.57529	1.00000	8.11571	5.50487	1083.79416
48.47910	18.41124	7.36027	8.79860	8.49316	10.28190	53.09259	7.91573	6.64018	51.20219	49.88062	6.87396	9.48110	5.85294	1.00000	6.90533	8.08519	1122.57821
67.37712	34.72543	9.37082	8.72264	7.49795	8.32590	70.37847	7.84668	4.74879	36.08497	65.92971	6.67296	10.18741	5.15542	1.00000	8.88154	4.18319	1113.47549
50.05547	20.09128	35.90057	7.76301	7.07600	11.09850	58.91728	9.28063	5.85336	56.85836	41.58971	4.19694	8.69690	6.93112	1.00000	6.64632	3.40188	1177.49577
51.59651	20.14566	77.656	8.77648	8.53086	4.97508	51.63878	9.50426	9.09131	28.71271	59.34766	8.02403	4.23478	5.79509	0.00000	9.46420	8.97462	1190.55152
56.09088	24.61767	20.91361	9.96603	7.84355	5.31504	44.04412	9.52731	10.13415	41.92361	51.49162	9.29924	5.93282	6.51934	0.00000	6.37388	4.49333	1180.05572
67.98071	17.32030	43.67663	6.24839	7.23317	6.43649	46.86033	6.69317	7.57481	53.53041	72.01265	9.44060	6.81592	6.41471	1.00000	11.07808	2.94666	1064.23921
47.13010	4.48971	102.56365	7.05553	5.69288	8.00001	56.55256	9.04159	8.53241	13.65805	54.13620	9.60687	8.57939	5.53201	0.00000	9.42138	1.26217	1088.65537
71.76969	12.11053	3.39467	6.26746	8.30130	8.88681	50.28696	8.09445	4.30384	6.45407	70.91833	10.90227	7.65235	7.79376	1.00000	8.30335	7.53512	1117.87829
46.04773	8.62772	74.80555	7.69179	6.33573	10.05568	54.52002	6.37343	8.27631	34.08565	49.00312	8.14029	10.63656	8.70665	0.00000	9.17213	3.60225	1187.90126
34.17638	14.00181	19.21437	7.55364	6.66826	7.04170	68.87260	9.22453	9.55153	44.75874	31.73067	9.20214	5.53149	12.20006	1.00000	10.71829	2.36612	1130.77547
42.12712	29.09714	39.85331	6.89079	6.58426	5.20655	40.08393	5.72006	11.50938	57.30185	73.62953	7.98829	5.73642	7.20833	0.00000	9.24743	3.55465	1098.34003
42.12540	18.78708	-60.1831	8.20610	7.93981	7.48008	46.08496	7.61130	8.40028	46.1351	63.83563	8.54484	9.08742	6.76904	0.00000	10.20443	6.02789	1155.90705
42.88100	7.91558	-82.46148	7.93943	7.68523	4.91558	37.38702	6.66231	7.89876	28.15112	64.91517	8.55004	4.34737	4.49683	0.00000	8.13999	4.61066	1076.42319
54.19906	21.51035	-87.65644	8.40297	6.01287	9.74117	45.92765	9.69801	8.64866	41.80753	38.89262	7.90504	7.39372	6.74770	0.00000	5.32666	3.80535	1088.63058
40.85645	17.93935	-65.61427	7.66381	8.10741	5.33563	65.51111	7.75349	4.50206	-27.4338	56.95176	8.09363	10.64744	5.44267	1.00000	11.90135	5.86482	1100.02391
45.99556	23.96126	125.21972	4.18013	6.07769	8.98384	49.89793	7.53631	4.13586	-8.99167	40.74093	6.93943	8.62145	4.24810	1.00000	8.15022	2.89108	1178.84011
31.11352	20.75650	34.3869	5.89976	7.37355	7.53566	44.90346	6.83221	6.23028	11.8659	64.05253	7.54379	10.21040	5.23445	1.00000	9.59984	3.93132	1071.81270
27.05709	27.91679	136.51667	7.57585	7.74366	8.86060	43.37442	7.05654	6.41779	35	50.09712	5.27986	8.55120	6.93063	1.00000	8.96255	6.90094	1119.70387
52.22773	6.86622	68.21204	7.67846	7.02725	7.88900	42.56490	7.45403	4.61834	27.55898	61.67679	7.07237	7.64321	5.76089	1.00000	9.69899	3.69218	1111.01261
57.02688	13.30557	-80.38297	7.75039	6.02569	8.10176	61.28051	7.47861	5.98420	42.8334	75.19226	10.48828	6.20385	8.41663	1.00000	10.25882	1.04944	1184.02098
47.07013	18.25753	89.11943	6.21312	7.73754	7.29077	42.69912	8.78178	8.72191	23.9028	64.77991	9.09163	6.51453	2.95723	0.00000	8.02288	3.38801	1089.19051
56.77271	18.42270	-118.03917	7.44104	6.87081	7.23511	46.25083	8.05993	6.51001	33.95015	77.52864	9.38895	6.30997	9.98089	1.00000	6.80466	2.03355	1164.60517
59.16926	21.99050	-73.02841	5.99717	5.70277	9.51372	40.98334	6.65608	4.43421	-36.9256	33.58307	4.62441	8.35670	5.48267	1.00000	8.08951	3.19791	1181.80119
53.39767	19.75913	107.60627	6.22741	9.18588	10.46155	45.01560	9.06427	8.04416	51.82721	67.65266	9.51024	9.41758	4.65246	0.00000	8.14541	15.28065	1138.69172
44.88891	15.47010	-86.99666	8.10118	7.17910	9.82366	47.27333	8.57443	5.24633	33.45122	73.33031	9.74892	6.69600	8.51441	1.00000	7.73458	2.67478	1158.00583
30.11021	20.95570	-13.68778	5.81576	9.25243	9.31779	49.21195	5.84858	4.43821	9.535	59.71317	8.27743	6.67129	8.58948	1.00000	8.68852	16.34181	1115.56070
47.51145	11.12723	8.63333	7.13253	8.31361	13.08458	53.87610	7.21408	7.90896	52.2	77.04218	8.08625	11.07753	6.79955	0.00000	7.71725	8.94548	1183.12129
62.04854	6.72605	10.03478	8.39155	7.91972	6.86816	57.15463	6.06049	6.23117	37.16911	52.88247	7.24722	9.28894	5.59131	1.00000	10.36553	5.07550	1060.46357
39.14868	12.21485	98.6738	7.75430	6.72214	11.36274	46.23785		6.44163	3.7278	57.16431	10.61232	5.99356	9.92841	1.00000	10.35585	3.89594	1061.49086
59.22242	16.23257	47.3799	7.59656	8.45175	9.99568	48.89600	6.71415	4.89262	33.14447	82.76049	5.35371	5.87416	6.57200	1.00000	8.27385	9.19773	1183.12084
27.10049	17.12710	35.90057	6.97944	7.76940	6.42397	47.93966	7.90665	7.19129	56.85836	67.46584	8.34279	5.60538	6.35683	0.00000	6.34833	5.50437	1160.38046
54.80357	6.56454	-1.64295	7.53025	7.37801	8.05872	66.27316	6.76837	5.15839	42.8139	52.39335	7.42099	9.47156	4.88495	1.00000	9.02129	3.90955	1072.17033
48.69139	17.02555	34.37389	8.60858	7.53109	4.81736	45.81382	7.63019	7.39808	40.1675	69.72425	8.93976	5.32943	2.39252	0.00000	7.98806	2.81610	1108.21997
44.36313	29.09432	-42.98194	7.73497	7.74619	9.17986	45.75441	7.81217	4.43328	-22.53722	56.80317	4.14206	9.35250	6.92269	1.00000	8.93279	5.74120	1074.26992
34.78232	12.20535	34.33825	7.86259	7.16996	8.68692	45.47706	7.41200	6.82414	53.59782	72.30042	3.93249	8.34811	6.35956	1.00000	9.12625	1.90148	1065.52629
50.84684	-0.61397	-1.32471	8.85725	7.52188	10.21768	29.87908	7.44843	4.10433	51.40148	66.07087	8.46215	6.49425	7.57646	0.00000	9.48592	3.73470	1131.14324
49.63559	20.36401	-81.77285	9.49654	6.91259	9.70236	54.34851	6.96876	7.77814	28.54944	70.45936	9.72628	7.09370	6.96301	1.00000	7.87926	3.39098	1078.67564
40.08606	7.43710	136.51667	7.59013	8.41626	10.27357	68.35069	6.97707	8.23564	35	81.66025	9.54020	9.86600	6.76353	0.00000	7.74132	7.97397	1110.16369
49.69797	10.23856	124.84472	7.78763	9.62730	8.20186	43.83124	6.90632	4.44566	10.13361	54.24946	5.89673	8.86175	4.94113	1.00000	9.05037	21.96503	1092.65833
44.43673	32.16346	-122.24064	7.08597	5.94001	9.18112	35.83310	7.91976	6.30493	47.80527	26.81788	8.94177	4.40364	8.14787	1.00000	7.78672	2.68870	1072.21059
19.14913	19.21330	30.91105	7.51046	7.63036	9.12996	53.54266	7.33391	7.99468	3.02013	72.50316	8.56856	8.97044	5.12427	0.00000	8.41738	4.60863	1187.16658
46.32579	5.56225	14.66737	8.80938	9.72544	9.65889	53.86411	8.14305	8.86270	41.55947	65.27276	8.11730	6.07929	4.91077	0.00000	2.61539	24.25021	1108.66378
46.47649	15.55676	-86.58208	8.09652	9.70746	6.04290	63.07613	6.94353	9.13409	13.48082	54.96189	8.70202	7.76529	7.00357	0.00000	10.59917	25.63624	1089.40224
54.74599	14.32797	146.05093	7.36486	7.62255	11.98076	36.51091	8.37193	5.46503	-34.28853	67.78767	12.21342	10.44302	2.89555	0.00000	6.04190	4.23275	1106.46213
43.22301	21.08340	-88.31476	9.32456	6.70693	10.03925	33.82367	6.61255	10.12231	36.61033	49.66684	8.15048	10.32908	7.82940	0.00000	8.56969	1.49311	1146.25496
51.34178	47.71747	104.1451	7.79584	5.66791	10.03836	46.41051	8.41094	8.88916	15.79408	46.52278	6.35529	9.21337	5.68612	0.00000	8.97450	2.06545	1104.76445
61.46549	6.61815	-121.75689	6.38096	7.68875	7.89968	26.47811	8.28190	8.99373	36.91023	66.50323	7.35433	5.74284	11.02524	1.00000	12.13689	3.75655	1050.58356
59.09687	18.16126	17.8031	6.72905	7.16064	7.76883	47.15628	8.14268	8.35598	48.43174	61.08999	7.90080	5.80242	5.37794	0.00000	5.66229	4.46457	1116.42399
62.16096	24.46486	-74.07764	8.94228	7.73961	7.58865	52.31591	6.82533	5.89294	40.72816	40.82006	4.34357	8.06512	6.96049	1.00000	10.52345	5.21843	1088.23769
81.00400	11.49443	9.85	7.11964	8.03021	8.35119	36.42480	8.50448	4.95938	53.63333	69.46509	12.67134	10.66439	6.11232	0.00000	5.99641	6.62818	1081.65186
31.54215	5.00179	17.80774	8.60239	7.31582	9.97013	42.22016	6.20718	5.14545	40.55851	56.35454	3.12585	9.72538	5.51684	1.00000	7.63061	4.22912	1130.49259
48.97494	27.49871	120.33063	6.73647	5.90234	10.66889	48.65850	6.02375	5.97620	37.65181	61.15123	5.22761	9.46030	6.57623	1.00000	7.09116	3.13634	1159.67822
53.95537	-1.01969	-117.29198	8.89106	6.60589	6.13948	56.52632	7.85507	6.07577	33.03699	56.09770	7.14839	8.58505	5.04631	1.00000	11.01545	4.94344	1162.51978
54.61439	23.93109	-0.36053	8.15504	8.83129	6.13352	64.35057	6.57578	8.43453	51.64316	76.03060	8.46521	6.58921	7.43471	0.00000	6.74751	11.41926	1149.53053
60.63931	18.53349	65.50917	7.47739	6.32417	7.63428	38.64550	7.01883	6.74687	44.85278	68.78568	10.20192	8.00322	4.87524	0.00000	4.87326	2.12472	1185.01190
59.72710	-0.82818	-7.35	6.06461	7.90995	7.89573	38.41326	4.53261	5.95617	53.53333	54.81822	6.50842	6.62780	6.49356	1.00000	8.81747	6.00646	1123.02206
51.28783	17.93848	136.51667	8.22676	9.02781	11.69997	66.17007	7.27295	7.02170	35	55.18427	10.30024	10.88810	4.99561	0.00000	7.02603	14.47726	1156.96334
73.49789	18.97685	84.87144	7.30523	5.89153	4.43171	47.08180	6.38017	9.37562	47.46657	57.69927	10.27538	8.90763	6.61091	0.00000	7.37366	1.93822	1179.24842
57.20812	19.88327	43.83992	6.62157	6.12640	8.60360	68.51582	6.43788	6.63865	55.39485	51.70794	8.78783	5.93193	10.58718	1.00000	10.34401	2.37441	1149.86772
36.09897	17.36109	73.06784	7.73361	8.06633	7.97514	45.61503	8.50275	7.87487	25.13915	53.89832	9.82238	6.05423	9.04352	0.00000	9.43625	6.64817	1126.46794
51.48128	9.70136	-119.0376	5.69791	7.36208	7.90202	59.63916	7.31456	7.07302	34.21639	66.30101	8.94355	6.02738	6.52221	0.00000	8.70627	3.04644	1132.19878
50.75587	41.11706	-86.58208	6.99658	6.49193	10.18853	57.39300	8.36030	10.34529	13.48082	53.28846	7.50940	7.44158	5.11946	0.00000	8.31907	1.93782	1154.38747
49.89454	9.45892	34.34691	7.58315	8.62874	10.58115	44.49733	5.82996	9.56717	61.78491	68.33129	7.22541	9.36245		0.00000	10.26694	10.01789	1055.97645
40.24104	10.87055	68.88871	8.09662	7.88535	8.13036	40.87059		7.72597	25.95533	85.98178	8.97857	8.54597	6.70545	0.00000	8.03955	5.17835	1099.99943
59.99107	27.30745	3.50309	6.71305	7.25080	7.65126	53.42734	7.64888	6.61801	34.15429	41.02638	8.62182	5.34867	7.54379	1.00000	7.86021	4.32970	1138.59500
77.13426	18.50940	35.23388	7.77802	8.04449	11.00104	55.49051	8.71739	5.03296	31.78336	34.07069	8.66935	7.76095	8.68695	1.00000	11.42395	7.00216	1059.93826
54.07692	24.18620	83.36889	7.83053	7.18305	7.32742	65.29313	7.60434	5.68290	26.76628	76.09894	9.13941	6.03628	7.42408	1.00000	6.55961	2.58430	1169.58877
71.82491	15.89365	-84.67837	6.51071	7.93000	8.37306	38.95021	7.42567	5.82597	34.06635	53.07570	8.95699	6.33813	7.74886	1.00000	9.25199	6.57386	1161.31957
59.81167	21.95435	8.63333	5.45558	6.56695	6.85816	44.21131	8.83197	8.85228	52.2	50.03279	10.40230	9.02036	7.87000	0.00000	10.32954	1.86693	1177.93781
36.65928	-4.50853	38.15035	7.44838	7.65446	8.72621	51.09938	6.43889	2.62380	49.41029	54.51777	8.87263	8.39222	6.54908	1.00000	7.90974	4.99483	1121.41875
30.91583	22.16525	-73.49484	7.35568	8.26089	9.97153	55.95255	6.67872	4.92274	41.14676	63.19432	5.50085	8.71199	4.91808	1.00000	7.46511	7.45740	1118.86374
31.38166	19.68218	-1.29772	6.34159	8.34137	7.80352	60.78231	9.02091	6.79721	50.76306	26.36866	7.01284	8.11992	5.50723	1.00000	9.54779	7.83132	1123.22917
61.46912	15.85807	125.51176	8.52635	7.65085	6.38473	70.09673	5.92452	8.26850	42.64031	39.55188	8.39157	9.04356	6.82062	0.00000	9.12878	5.68620	1171.77458
66.33022	24.40762	118.9707	6.11984	9.08826	8.62032	53.82504	7.31234	7.90224	-3.5403	49.09604	5.25833	8.24155	7.29877	1.00000	9.23399	14.32509	1109.47767
43.63978	15.16598	48.87498	7.08352	5.64232	10.23158	52.46907	7.54390	6.51837	38.45598	59.10080	8.90905	4.76591	7.71334	1.00000	7.74114	1.83779	1197.31863
43.38255	0.50809	-50.00639	6.81312	7.17782	8.13855	49.23134	5.84463	10.15350	-25.42944	47.40629	8.58561	6.68299	5.89550	0.00000	4.94605	3.56100	1078.31971
60.79998	10.37568	124.3697	7.57807	10.20997	6.13544	24.35258	6.52467	7.35268	9.6531	59.90417	8.86747	5.61812	3.74003	0.00000	3.76763	40.80244	1096.89807
59.94436	26.17645	5.22778	9.09279	6.54370	11.32214	68.24715	7.18099	9.39232	51.955	57.23145	6.25143	6.87266	8.15631	1.00000	6.65299	1.37530	1193.31653
63.71804	11.66498	74.12286	7.45287	6.76364	7.89763	66.53152	8.31765	6.22942	30.76468	29.14920	11.96259	8.75144	5.71040	0.00000	5.39731	2.79111	1131.83935
41.18450	21.38165	13.58357	7.43086	7.31933	9.33711	62.99494	5.26123	9.57324	-1.63333	27.97852	6.65816	8.49133	6.73867	0.00000	9.45752	3.30743	1121.88060
53.95355	4.67650	-41.88778	8.14885	8.49932	10.75136	57.80973	7.93406	7.47678	-21.205	43.50333	4.35637	9.93582	6.87972	1.00000	7.00263	7.97558	1134.52090
37.42895	32.01787	88.28637	8.23855	8.29329	5.86945	52.75094	8.62458	5.80892	23.07492	94.86013	6.25631	10.59380	6.31984	1.00000	11.64921	6.25908	1107.92170
41.48425	-7.37401	141.95	7.26828	8.44990	7.30213	48.33421	7.64712	10.63662	39.46667	52.42920	8.20449	8.27094	7.94645	0.00000	10.78944	8.02559	1185.36601
52.39498	16.36427	-98.15529	6.82161	7.59278	8.62887	40.28591	7.38079	3.52540	26.18924	69.55155	8.10487	8.68065	4.85355	1.00000	8.58043	5.70907	1164.61686
43.17850	10.34399	43.63417	9.97052	10.32638	9.22550	48.10107	7.27076	7.82861	43.96222	59.41040	8.21398	5.68304	9.70135	1.00000	8.50182	45.33421	1107.27589
37.73556	33.28790	8.70745	7.40233	7.09791	3.56430	53.58227	6.81946	10.28302	49.03685	58.62394	8.57517	6.72258	7.35337	0.00000	10.71923	3.78601	1087.97270
65.41694	11.78282	69.67639	7.79596	7.61146	6.12583	53.88776	8.22924	8.76494	41.29444	54.39931	8.81229	7.28309	6.93877	0.00000	8.43735	6.77883	1096.87828
47.18463	5.32321	111.73861	5.44592	5.37922	9.33633	44.00725	7.55115	7.05171	35.20889	36.98652	7.97049	5.49244	8.96719	1.00000	8.65750	3.10959	1175.74275
46.60070	40.34533	35.96944	6.43999	7.11024	9.37085	44.63769	7.29413	5.52819	56.03361	61.06361	8.85671	6.47351	9.25152	1.00000	7.44460	3.78419	1149.92141
44.56416	-4.81806	41.00817	8.13475	6.83864	7.59963	44.52578	5.44260	5.30953	38.13708	54.68308	7.01403	10.21821	4.16089	1.00000	9.23773	3.07231	1156.56811
58.14736	-5.61388	78.95693	7.31000	6.96192	10.50665	56.48401	7.36836	6.13465	29.21399	50.09219	6.24679	4.66349	7.20069	1.00000	7.99293	3.80968	1198.61690
39.90006	28.08294	-45.94722	6.54804	7.01050	7.15685	38.36716	7.62990	7.45774	-21.42917	48.99510	10.62057	7.44842	5.23515	0.00000	7.22245	3.00155	1179.31356
52.66019	10.69602	-74.73584	8.08821	9.09975	7.12928	67.92875	6.30029	9.20270	5.20856	70.11080	9.56561	5.09904	2.77157	0.00000	8.49410	15.10837	1096.45355
56.27127	16.67676	102.42587	8.26578	8.31104	3.30496	49.19415	6.83337	7.75061	15.58552	63.79796	8.56557	4.35258	8.05887	0.00000	6.34982	6.53466	1190.48469
67.31022	8.31168	-84.67837	7.53816	9.47742	11.18645	40.18266	8.46235	5.56638	34.06635	52.57692	5.80163	9.39639	5.17468	1.00000	6.00306	20.12603	1077.90144
38.40353	11.79000	5.4584	8.48435	7.39587	10.22489	42.96582	6.27244	7.83275	43.32393	60.46999	8.96862	9.48043	3.57532	0.00000	7.77857	4.97844	1083.27640
69.85918	27.92231	101.96857	7.60076	9.97401	5.73673	46.94915	8.86982	9.22108	4.88441	64.27942	9.14466	6.57131	6.52686	0.00000	3.47520	32.04710	1176.66966
38.87817	24.96068	33.9162	7.51491	8.13145	9.84542	50.75288	7.74452	6.60473	51.67822	64.74904	5.52382	6.15157	7.68327	1.00000	8.59304	6.90706	1184.06173
48.52000	14.47703	69.67639	6.74114	6.31915	5.33165	65.12413	7.33397	7.18276	41.29444	50.13549	7.70754	6.00013	9.59806	1.00000	8.33715	3.55037	1062.77783
38.99042	10.58304	4.82313	8.65804	8.27415	5.50924	60.03422	7.24660	8.86019	51.24197	53.61465	8.67507	5.71472	7.03211	0.00000	7.33893	7.64700	1090.65892
