PAHs	O3	Pb	CO	latitude	PRES	longitude	C2H3NO5	PM10	CFCs	NOx	SO2	PM2.5	NH3	warning	TEMP	CH4	H2CO
6.59610	8.84137	50.13578	5.94928	-22.92306	1182.67373	-53.13722	5.70058	7.74354	72.57406	10.44970	8.14261	8.74537	7.32845	1.00000	11.68890	9.01319	67.23563
6.78710	4.04961	78.47473	4.42317	40.70995	1194.58391	0.57856	3.88711	4.92686	69.95369	6.77781	7.04581	6.08838	5.91335	1.00000	16.05293	8.04082	63.53034
8.61576	5.97426	21.98201	4.96516	50.23271	1194.04804	12.87117	3.15186	6.76356	59.74439	8.52859	7.53839	8.51072	5.99116	0.00000	9.80931	8.03386	49.53240
6.71206	3.49677	48.73631	6.42023	36.20389	1092.69769	127.08472	5.61816	6.28461	64.44616	6.20453	5.67895	7.78290	5.74361	1.00000	19.43928	6.19529	51.77113
8.26500	5.30825	38.70074	5.03042	41.54566	1067.22730	-71.29144	6.37303	7.11844	60.55336	5.09336	7.86434	5.49951	6.05182	1.00000	7.49371	7.70032	40.91228
9.26283	11.37114	56.13499	4.37344	13.70727	1181.64304	9.15013	4.03465	7.05026	73.63410	9.48417	6.12896	5.22219	6.18646	0.00000	9.69136	9.23590	39.64321
5.28396	9.36867	33.24150	5.77220	18.00747	1155.66024	-76.78319	3.93546	6.85318	57.67387	8.35027	7.26748	6.23346	8.25860	1.00000	16.18440	8.76055	58.61410
9.04326	9.05139	42.35630	6.88307	-22.92306	1065.61449	-53.13722	5.03689	6.83796	68.67143	7.41665	8.66032	7.30152	5.46607	0.00000	20.20264	5.88870	26.59444
9.04758	7.60651	35.00904	4.72505	11.86064	1138.80673	9.0027	9.72017	8.29611	68.35021	8.63004	6.91041	9.37822	5.57473	0.00000	21.67142	8.38761	79.27231
6.43352	7.02933	68.47036	6.74172	56.56317	1151.77712	-2.58736	7.26652	8.09419	73.84003	9.45503	7.52055	10.10158	7.81397	1.00000	11.73846	9.63987	36.53744
9.77279	4.24860	43.79122	6.07240	38.96372	1089.76368	-76.99081	4.42100	6.66807	62.93125	8.03495	6.87571	8.27617	7.71914	0.00000	13.23043	8.81771	32.29642
3.07712	6.40607	46.32142	6.62403	6.46346	1153.63497	-2.31938	27.75752	9.59004	70.78796	5.05320	7.07921	8.81515	6.76779	1.00000	18.95700	7.65977	41.01003
9.34789	4.88701	74.76317	7.91014	45.78071	1101.30023	12.84052	9.15590	8.12022	63.23660	5.26849	7.06065	3.81817	6.56935	1.00000	9.72015	8.96131	57.17790
6.28294	6.33444	21.98030	5.73548	54.48147	1144.25149	53.47103	3.51564	5.86122	70.77828	7.45852	9.23339	5.22324	7.19753	1.00000	27.44062	9.41016	54.99483
2.89855	8.76023	43.81908	5.29462	23.02677	1145.61082	113.13148	3.62577	6.37098	55.64029	5.11212	6.47345	4.65803	8.72818	1.00000	12.36558	6.80293	71.42257
4.13459	5.57306	31.71024	7.22911	19.32889	1178.40569	-99.32556	5.04644	6.98957	58.15508	10.13578	5.99267	9.61118	7.10827	1.00000	21.28429	7.77862	45.52540
5.89965	1.84409	65.61852	3.78006	55.63711	1159.08558	37.38115	10.34257	8.30333	63.77559	6.45528	6.48998	7.27547	7.46689	1.00000	12.27873	6.39013	36.25915
8.94556	8.25785	37.94589	4.63354	50.72043	1076.15850	11.34046	3.60604	5.15087	73.88696	9.07573	4.75612	8.35404	8.22395	0.00000	0.78809	7.13604	37.72447
9.66810	4.98132	57.87197	7.94371	14.8361	1078.27947	120.97844	4.63891	6.39472	57.26086	4.79514	7.60485	6.65796	8.63444	1.00000	11.08473	7.92407	55.74405
8.46174	7.90334	68.72825	5.18631	37.56667	1092.90949	140.11667	5.02198	7.37085	75.62483	8.86804	7.15006	8.75866	6.73356	0.00000	17.29576	7.09129	33.39259
9.14137	6.04447	48.33483	7.01463	7.65649	1164.15800	4.92235	6.02872	7.33793	65.36570	8.68330	7.34940	7.91385	7.90978	0.00000	10.44651	7.15070	43.52752
9.90581	9.30481	49.92946	5.78515	-17.73648	1095.17600	168.31366	3.35189	5.51784	55.01203	6.62780	7.45543	7.31823	8.43050	0.00000	15.04055	9.29344	52.57304
5.82922	6.99555	77.44995	5.30166	22.37066	1082.07925	114.10479	3.75588	6.85766	77.45804	7.22342	7.78268	8.91825	7.33713	1.00000	15.08316	7.91907	79.40882
7.65201	5.68371	58.26772	6.65357	38.91817	1177.28128	-78.19444	6.34115	7.57645	72.27953	6.46649	7.18618	5.36035	6.97278	1.00000	21.96776	9.14867	38.09574
6.75285	7.20677	48.10899	6.11062	33.03699	1179.80498	-117.29198	5.79426	7.10069	74.17165	6.48511	6.81268	8.77724	6.83058	1.00000	16.19708	7.19978	50.97734
6.88634	7.91332	53.78793	3.73476	36.19278	1118.55447	117.65694	4.61032	6.83551	69.21915	7.51354	5.76826	4.87259	7.78035	1.00000	17.47567	9.64282	40.03443
6.62080	6.13024	67.42487	3.82072	57.97472	1134.79096	33.2525	4.45496	6.70709	76.53524	7.71205	6.35897	7.63089	7.58774	0.00000	24.54671	7.88776	84.74436
5.83731	7.94043	38.75712	6.30262	10.22677	1069.68354	-67.33122	2.98448	6.53301	80.92629	7.78892	6.94289	10.18074	5.44430	1.00000	-1.52317	8.98904	40.60056
8.92364	5.84316	49.26319	5.82872	1.6561	1092.52143	103.6032	4.00704	6.43043	62.50125	7.80582	6.85244	6.11641	6.65623	0.00000	5.17502	6.58863	37.30522
8.87404	6.40367	39.58164	7.67142	34.09611	1191.53239	-118.10583	4.07614	5.67905	59.02352	5.93934	6.75473	4.49694	7.08189	1.00000	25.32995	9.34400	73.69197
4.80483	8.67255	25.66532	6.04740	42.64031	1163.07987	125.51176	6.42992	7.76350	74.37080	7.79630	8.05614	7.03421	5.06443	1.00000	7.42500	8.35667	75.57265
6.32422	4.99154	48.22210	2.89759	23.49668	1125.93922	86.68363	4.91942	6.84876	72.96101	8.01013	6.30374	4.85130	6.10817	1.00000	1.54274	9.57893	78.79878
6.38166	3.16913	61.99702	5.99867	36.20829	1136.49455	-115.98391	3.72825	5.53454	64.13747	6.53717	7.29403	7.67585	9.63294	1.00000	28.97748	7.03100	56.76868
4.75466	7.38621	36.02420	4.91568	9.6531	1149.94591	124.3697	7.56100	7.80111	66.91689	5.71355	5.78853	9.32417	8.72128	1.00000	-2.25908	6.36462	75.08640
5.61766	8.37899	58.71195	5.68531	6.8485	1089.16608	3.64633	4.18862	4.69892	60.31574	6.70072	8.20976	9.30825	8.85188	1.00000	6.70487	8.49405	73.42127
8.66248	5.52374	34.31186	5.99024	42.64031	1051.30602	125.51176	2.64810	5.89008	54.88205	7.99480	6.06797	8.76420	5.26968	0.00000	16.76840	9.13210	73.85581
11.01437	9.82261	55.06125	6.74308	46.08333	1157.80452	122.08333	6.00785	5.89408	85.56942	4.29071	7.60332	2.87276	7.91042	1.00000	8.39897	10.61992	49.46635
8.67930	5.69683	48.82681	4.81448	36.24624	1051.21163	139.07204	9.21594	8.23875	71.95727	7.45810	6.31338	8.92104	5.99913	0.00000	37.52146	10.09012	48.44561
9.06794	5.32519	44.36060	4.66033	56.56317	1071.90321	-2.58736	5.69933	7.12527	82.99502	5.93447	6.46943	3.81286	8.74074	1.00000	1.39798	9.42901	61.03069
6.86035	7.91230	42.50091	3.75649	-23.7975	1113.23108	-48.59278	3.23680	5.82949	67.92465	10.38655	7.18654	6.11357	5.90565	0.00000	25.69691	9.35220	48.19683
5.88445	8.66856	49.41488	4.71455	41.9001	1078.11825	-71.08977	4.06560	5.26760	70.20642	8.95330	6.61432	5.50840	8.14304	0.00000	0.34285	10.49009	59.86176
5.55613	9.43903	48.28160	4.55098	41.9001	1059.63575	-71.08977	4.52828	6.70822	66.09540	6.30885	6.49672	6.87541	8.85193	1.00000	39.44173	7.75470	44.45592
7.57642	7.08348	55.71117	3.50179	41.50343	1062.96168	-74.01042	3.77409	5.75062	82.61226	6.30108	5.53139	6.08193	5.04958	1.00000	3.36118	8.15967	49.25614
8.34873	6.64698	57.47250	5.74691	52.86147	1140.21554	9.5926	11.99755	8.56123	68.32999	5.61624	5.99045	6.09588	6.19374	1.00000	8.20558	9.00118	
6.17238	1.05987	53.66265	3.64939	35.82756	1190.21631	137.95378	7.11766	7.36549	79.46982	6.12206	5.96619	8.69477	6.15565	1.00000	11.65020	5.46886	76.18382
6.69467	8.01639	33.36365	3.45490	52.86147	1144.00915	9.5926	6.31723	7.61127	53.76439	7.29909	6.21868	2.84617	5.84167		35.01536	11.62158	50.58621
5.45337	7.15840	65.73078	6.10577	-4.42472	1055.54753	-41.45861	9.16556	8.18501	71.41979	7.97879	6.85881	8.98988	6.55394	1.00000	0.65118	8.35547	37.73001
7.63087	6.20649	37.06629	5.87135	32.9156	1104.41711	-117.14392	5.15465	6.53181	75.22838	6.43380	7.90669	5.27938	6.04750	1.00000	27.36606	8.86499	60.27511
9.78779	13.90778	57.81938	7.43233	36.27462	1170.34053	4.85668	7.02517	7.66837	78.51655	5.61067	6.21359	3.02961	6.63088	0.00000	21.12578	7.30572	55.50694
8.05654	5.26097	49.91151	6.92335	40.72816	1132.24403	-74.07764	3.41852	6.53315	64.92829	8.08179	6.53102	9.97131	7.02249	0.00000	-0.71574	8.51469	72.26180
7.51206	4.82424	60.44943	6.04958	45.69558	1106.16962	4.7934	3.15246	6.43390	67.11470	7.00536	7.60244	4.99427	7.65128	1.00000	1.72550	9.14892	30.72443
8.60508	7.04720	51.01653	8.47440	53.00974	1132.20179	-3.05814	6.99028	7.48889	74.88694	6.03364	7.34574	4.19952	6.66543	1.00000	9.14223	10.22511	56.46051
8.78722	4.45455	34.66166	6.40898	36	1069.64795	139.55722	2.80826	6.17952	74.94906	4.91409	6.26087	5.67780	7.01442	1.00000	12.87155	7.09158	47.02492
7.63119	7.50784	38.96073	2.95477	51.42708	1109.05005	-0.91979	4.83883	7.30229	50.51354	6.34971	6.36395	4.98129	7.55407	1.00000	10.61054	9.17792	16.50387
6.68551		38.24645	6.89604	53.5942	1103.38437	25.8191	3.55998	7.16332	72.49255	12.33866	6.90400	9.95480	6.18214	1.00000	16.38496	9.15259	72.94829
4.12309	7.39557	47.78011	5.52039	42.55308	1150.89006	-87.93341	6.49390	7.35801	64.11316	6.15024	6.03533	7.11160	7.30818	1.00000	12.54931	7.11358	28.54827
9.89961	8.69266	44.65808	6.28067	40.34912	1118.06109	-111.90466	3.76896	6.01505	68.06831	7.48042	7.12912	5.06711	8.26241	0.00000	20.04174	5.91137	41.50820
7.84508	7.42615	48.17802	3.51905	36.92574	1050.29651	14.72443	9.07936	7.90877	61.95364	6.51668	6.81724	5.44925	8.31968	1.00000	0.21529	8.69066	45.49667
9.20508	6.62334	34.02374	8.07414	30.81383	1156.94092	75.16878	6.55030	7.28203	68.28379	6.01145	7.02469	6.47435	6.80846	0.00000	11.76541	5.89756	46.16414
5.13063	9.33649	58.93775	5.02525	42.93369	1086.74205	-72.27814	6.30808	6.99491	62.06036	6.38026	6.17664	7.52177	5.71727	1.00000	14.32640	7.55293	28.27857
9.48597	9.78542	45.31056	5.14662	43.83125	1170.20257	5.03586	11.08669	8.29434	68.75286	8.70212	7.11359	5.92429		0.00000	20.18066	8.09192	35.85009
6.00448	8.27625	56.71583	5.84758	48.8449	1112.64941	17.22635	4.18033	6.12339	78.97311	8.48675	7.25471	8.60834	5.68014	1.00000	18.33381	8.83836	55.73845
8.43418	4.81205	66.87304	7.06851	10.98778	1139.74373	-74.95472	2.40727	5.57837	79.08712	4.36801	5.60011	8.39281	6.27679	1.00000	10.66712	5.90812	42.44995
6.71025	4.59036	54.95637	3.83655	33.86419	1180.29115	48.26258	6.31943	7.16865	77.57190	6.57014	6.96600	6.97549	6.38388	1.00000	33.95924	6.98954	57.18848
7.74611	10.16404	45.32911	4.99292	35.8	1072.74498	137.23333	4.38291	5.81423	64.01957	10.94609	4.50686	6.67449	5.73507	1.00000	13.23825	9.39071	71.47869
6.91145	4.22670	57.08080	5.73728	-5.85746	1110.29304	144.23058	4.17302	6.92714	71.19782	8.84147	10.12108	7.27328	6.77352	0.00000	14.22689	6.78370	74.27299
6.82893	6.30085	36.30731	5.90216	-11.48472	1101.32222	-37.93278	3.34252	5.99975	72.77235	7.75776	6.54284	6.52375	8.38413	0.00000	14.73399	8.73056	68.64625
9.53312	5.77314	34.01793	5.86870	50.80019	1060.95781	7.20769	2.53917	6.47599	73.07374	5.18058	7.31758	6.89134	6.94129	1.00000	8.11318	7.47481	57.26008
7.54572	6.35638	48.93151	5.47903	27.0174	1187.71016	49.62251	6.63748	7.54167	70.34626	8.01633	8.29132	8.21333	6.36599	0.00000	11.71621	8.14761	74.07393
9.86515	5.68255	50.78685	8.90112	37.58105	1090.72526	29.26639	8.89607	7.91840	72.05003	4.44583	7.36137	4.73305	6.49004	1.00000	4.01073	8.71548	62.01182
9.23676	6.14013	51.19646	6.32502	36.19278	1172.10052	117.65694	9.02469	8.14829	67.36600	4.46429	6.33088	7.07158	8.23590	1.00000	16.54115	6.82784	50.45427
7.77037	7.61835	39.48664	5.55504	36.64852	1104.85872	51.49621	4.73402	6.16542	67.33229	8.95348	7.37155	10.21400	6.54089	0.00000	9.22927	6.00625	48.05771
6.70719	4.03548	31.08339	6.87461	-22.97056	1057.99918	-46.99583	5.46155	7.18296	71.85879	6.16911	6.63788	7.04113	5.77839	1.00000	22.97538	8.03089	37.85188
6.63381	8.32392	36.13584	2.66451	54.39304	1191.47339	53.26023	7.27318	7.56301	68.76210	12.90979	8.15601	5.82080	8.66362	0.00000	23.94993	10.49586	54.96605
6.01777	7.79503	55.91513	6.71517	35.74788	1190.67032	-95.36969	6.03682	7.41860	77.91579	9.67528	5.91393	10.58650	8.72078	1.00000	5.21328	9.14989	61.12607
7.86164	5.39902	58.40784	5.98048	60.97944	1129.91229	76.92421	5.55693	6.62371	71.04699	6.16621	8.26045	6.18953	8.07357	1.00000	21.07972	8.46180	45.85033
5.78318	7.74451	47.54744	5.92021	41.9001	1137.01597	-71.08977	5.15791	7.21898	60.48340	9.56542	7.17032	6.57284	5.75986	1.00000	14.83094	8.69891	31.50550
7.77905	4.95346	56.24603	5.52238	38.58894	1097.56441	-89.99038	2.87251	4.65269	79.88899	5.01431	7.50119	8.88187	7.60658	1.00000	10.65098	5.89146	49.29549
4.87806	5.39228		7.61555	55.67938	1171.99600	12.53463	8.76601	7.90942	80.79274	8.28200	5.76243	9.73398	8.63408	1.00000	22.93681	9.58834	45.38722
6.52255	7.88116	53.11479	5.36700	53.94313	1085.76622	10.30215	4.48043	6.81771	76.76100	6.96142	5.92273	9.28951	7.18054	1.00000	30.24683	9.25163	66.01287
9.58319	6.42156	39.79665	6.68136	12.18441	1128.06468	18.69303	7.87332	7.99726	68.13504	8.90467	5.85305	8.44666	7.86968	0.00000	21.86885	7.27005	65.88067
8.98285	3.91852	44.93626	6.88085	34.81667	1089.12272	137.4	31.70370	9.73853	77.34399	4.19784	10.70057	7.65010	7.12846	1.00000	13.75121	4.92178	45.21423
5.91622	7.41726	40.05244	5.97733	42.67164	1084.65393	14.01481	3.42947		74.69871	7.13293	7.29833	7.17298	6.77859	1.00000	12.05796	9.76363	34.04920
9.26688	8.55247	53.22295	5.34009	6.45407	1183.51377	3.39467	8.89768	8.09349	71.25034	7.84178	5.01606	5.92460	7.68238	0.00000	19.95465	8.29552	53.41677
8.18086	9.10332	57.83756	5.81980	43.11667	1154.19835	1.6	2.79797	5.70124	78.93621	8.34818	6.32255	4.75024	7.81007	0.00000	17.69921	7.96576	70.00863
5.27929	7.90620	51.62547	6.11599	-27.50578	1162.70398	153.10236	3.06656	5.92736	62.24318	8.41036	6.37496	7.95021	5.20857	1.00000	11.25167	8.27198	41.53492
8.45858	8.52730	57.76547	5.73008	37.31065	1140.50010	13.57661	6.42732	7.57100	52.27395	6.44178	5.50682	7.49180	7.60202	0.00000	7.24485	8.62520	72.63992
8.41030	8.65396	30.15999	2.99042	33.86419	1122.75733	48.26258	5.74414	7.30226	76.06005	11.32432	5.05508	5.40844	5.30630	0.00000	8.04653	10.71465	56.08116
9.18207	4.16710	29.78385	5.97228	36.75965	1195.41823	137.36215	5.01363	6.26672	62.46908	8.48553	7.05694	7.30361	7.81943	0.00000	0.91481	7.82474	42.77415
5.24495	8.18355	42.57435	7.90770	41.41204	1189.95273	2.18247	1.55272	6.90885	65.73412	11.58255	6.15932	6.94268	7.71109	1.00000	16.97936	10.41368	44.15225
3.61965	8.65282	49.58699	5.27138	37.16911	1149.48339	10.03478	5.99759	7.36348	81.75523	4.58128	5.54838	6.71010	8.33146	1.00000	16.39810	6.83884	65.22885
9.65621	7.14047	53.44736	5.13589	38.37255	1101.01209	34.02537	3.80361	6.00203	69.01811	8.61192	7.92907	9.41467	8.18158	0.00000	24.93115	7.29923	67.49332
8.68410	5.77411	64.00100	5.33226	49.5099	1067.49073	6.74549	6.33789	7.34921	52.80399	7.87319	8.87964	9.63960	7.10475	0.00000	12.88141	9.05726	48.21251
8.64950	6.23391	52.66801	6.05513	43.16547	1162.90792	-77.70066	13.95273	8.64696	60.48668	8.73964	6.88093	8.97040	9.12064	0.00000	13.87841	7.09585	49.08728
7.32553	8.14588	35.74630	2.39822	32.17629	1120.92473	75.06583	4.22717	6.47496	58.55072	13.12778	8.04491	4.92846	6.77514	0.00000	0.18520	9.11666	64.57259
8.11720	4.28896	27.60356	3.07403	23.04419	1139.69323	-82.00919	2.68071	5.95238	82.91230	5.99584	6.87503	3.85076	5.85527	1.00000	18.43458	8.85601	39.15813
8.79352	7.05000	50.74494	5.82365	0.76755	1093.96659	24.43973	7.55914	7.66089	57.17304	4.99933	6.13782	5.34452	6.36993	1.00000	18.91135	8.54173	22.28114
7.08142	5.36992	69.01115	4.17765	44.99012	1185.90789	-123.02621	12.39689	8.64455	64.95729	6.14881	7.86835	5.74895	6.40790	1.00000	3.27392	8.16569	54.72397
5.87515	8.56761	50.39054	4.79328	22.10194	1115.98781	85.37752	4.98657	7.23590	72.64499	6.29370	7.97667	8.14749	8.04899	1.00000	13.54332	7.84343	35.41951
9.66542	5.36928	42.75658	7.36874	22.37066	1086.36652	114.10479	6.74253	7.35493	65.22817	4.39739	6.87982	6.28928	4.62287	1.00000	-17.95495	7.51772	82.30613
6.80330	7.30315	45.73547	5.42535	45.78071	1088.49134	12.84052	4.85700	6.01936	53.05534	9.27434	7.39177	10.22827	7.11761	1.00000	32.31320	7.91163	54.53318
9.24237	9.16179	75.69574	7.16261	41.8542	1159.50041	-87.66561	7.63164	7.90717	61.60655	8.19076	9.12629	4.61349	6.00346	0.00000	6.47476	7.49565	67.74865
7.46340	2.63567	45.64613	1.53021	40.65538	1198.96043	-74.38987	3.29798	4.76801	73.43737	6.70385	6.82318	4.24001	6.09455	1.00000	6.05997	7.47241	62.69768
6.45218	6.07847	64.74175	3.13263	48.52961	1115.10293	12.16179	4.77930	5.78552	61.48852	6.72408	6.35784	5.75826	7.36773	1.00000	10.88266	9.24303	64.39675
5.80291	9.23407	50.29075	5.09660	41.91738	1129.82033	3.1631	4.84995	6.99984	69.36398	7.71857	6.11756	6.52603	7.43444	1.00000	25.57076	8.14961	36.42820
8.47591	4.84950	37.67652	5.88779	37.08819	1168.15034	-8.2503	4.82857	7.36248	71.23934	6.10621	6.26235	5.74481	6.52365	1.00000	16.02584	8.58353	76.58028
7.01157	8.99194	70.71839	6.30642	-21.41222	1145.10814	-42.19667	6.66356	7.86403	59.41448	12.16004	4.97672	11.09749	7.74848	1.00000	11.75127	8.71450	66.10031
5.71365	4.98359	39.67511	1.69968	52.21099	1050.14181	7.02238	3.96607	5.88365	55.88161	7.93871	9.17110	6.32100	5.74306	1.00000	1.75101	8.16568	61.70150
9.58507	7.84706	67.45640	5.18792	48.52961	1146.10328	12.16179	5.11393	6.65326	82.33953	9.74843	6.28091	5.47405	6.76202	0.00000	29.33904	7.33786	54.95063
6.10199	6.97406	52.63210	4.70789	-20.25333	1142.67775	-43.80139	5.56442	7.08560	68.94148	10.18427	7.03240	6.20622	8.40749	0.00000	28.43669	9.50150	57.02784
7.64274	4.30954	63.22235	6.67119	51.39323	1064.25146	0.47713	4.83920	6.82044	70.09810	7.94978	6.82131	9.43792	6.08485	0.00000	5.23291	8.21695	55.19012
	4.73285	51.16002	4.17045	-23.85972	1079.33532	35.34722	3.57009	4.58111	54.30952	4.93586	5.91332	5.50969	6.32933	1.00000	18.98409	7.26746	55.97615
7.39892	7.64020	42.83584	5.25657	34.63915	1152.18257	-120.45794	4.38702	6.84513	54.45835	8.64540	6.06456	8.81841	6.58145	0.00000	3.20830	7.14238	39.46665
9.79669	7.66241	38.46760	5.59878	30.35028	1177.56434	112.19028	4.85370	7.21196	65.11814	7.95298	7.90341	6.71272	5.74073	0.00000	25.47025	8.51365	65.56516
9.06698	4.75014	61.90198	7.37808	10.12268	1059.47118	77.54372	7.13653	7.28691	58.35717	4.99720	6.18921	5.56432	8.03757	1.00000	-10.80339	7.56973	35.09620
