location	revision	latitude	longitude	QoS	station
Africa/Monrovia	02/17/2019, 00:00:00	7.57944	-8.53778	average	New Yekepa
America/Martinique	09/26/2016, 00:00:00	14.67751	-60.94228	maintenance	Le Robert
America/Sao_Paulo	2019-01-30	-23.7975	-48.59278	good	Buri
America/Glace_Bay	02/12/2018, 00:00:00	46.1351	-60.1831	excellent	Sydney
America/Cuiaba	2015-03-29	-14.66463	-52.35558	maintenance	Nova Xavantina
Europe/London	2021-04-11	51.84819	1.26738	excellent	Walton-on-the-Naze
Europe/Madrid	2020-06-14	40.70995	0.57856	maintenance	Amposta
America/Lima	2015/03/22	-15.21194	-75.11028	excellent	Minas de Marcona
America/Sao_Paulo	04/23/2014, 00:00:00	-28.44917	-52.2	good	Marau
Africa/Dar_es_Salaam	2020/01/10	-5.41667	38.01667	average	Chanika
Asia/Manila	09/19/2022, 00:00:00	10.20898	123.758	excellent	Naga
Asia/Ulaanbaatar	2018-08-22	47.90771	106.88324	excellent	Ulan Bator
America/New_York	06/22/2022, 00:00:00	26.68451	-80.66756	good	Belle Glade
Asia/Tokyo	19 Jun 2020	34.61667	135.6	average	Yao
Asia/Yangon	07 Jan 2022	16.68911	98.50893	accep	Myawadi
America/New_York	2018-05-16	26.68451	-80.66756	building	Belle Glade
Asia/Manila	2015-02-05	12.35275	121.06761	excellent	San Jose
Asia/Manila	2015/02/05	14.8361	120.97844	excellent	Guyong
America/Toronto	15 May 2020	43.86682	-79.2663	maintenance	Markham
Europe/Rome	03 Apr 2020	37.49223	15.07041	average	Catania
Europe/Helsinki	05/18/2017, 00:00:00	60.2052	24.6522	excellent	Espoo
America/Los_Angeles	2018/03/07	37.71715	-122.40433	good	Visitacion Valley
America/Santiago	2020-12-02	-36.9256	-73.02841	building	Chiguayante
Europe/Paris	08/16/2019, 00:00:00	45.69558	4.7934	average	Saint-Genis-Laval
Asia/Bangkok	2020-07-18	15.58552	102.42587	accep	Bua Yai
Asia/Kolkata	17 Apr 2016	32.55531	76.12647	accep	Chamba
Europe/Istanbul	2016-08-08	38.13708	41.00817	average	Silvan
America/Mexico_City	2013/07/09	19.8173	-97.35992	good	Teziutlan
Europe/Rome	27 Jul 2013	40.87329	14.43865	maintenance	Somma Vesuviana
Europe/Rome	2021/06/09	45.9836	12.70038	good	Cordenons
America/Sao_Paulo	29 Sep 2018	-21.41222	-42.19667	excellent	Miracema
Europe/Moscow	2018/03/30	44.92934	37.99117	accep	Krymsk
Asia/Seoul	2020-03-23	36.20389	127.08472	good	Nonsan
Europe/Berlin	2018-10-06	52.86147	9.5926	average	Walsrode
Asia/Kolkata	30 Oct 2019	30.81383	75.16878	building	Moga
Europe/Rome	04/26/2022, 00:00:00	44.59445	11.04979	accep	Castelfranco Emilia
Europe/Moscow	2021-11-05	55.85	37.56667	accep	Likhobory
Africa/Bamako	2014-02-05	12.74409	-8.07257	good	Kati
America/New_York	2021/04/25	41.54566	-71.29144	accep	Middletown
America/Denver	02/21/2016, 00:00:00	40.34912	-111.90466	good	Saratoga Springs
Asia/Tokyo	2020/01/26	34.81667	137.4	good	Toyokawa
Europe/Madrid	2018-03-26	43.48961	-8.2194	excellent	Ferrol
Europe/London	2014-02-01	53.19146	-2.52398	good	Winsford
Asia/Tehran	2013-02-13	33.86419	48.26258	excellent	Aleshtar
Europe/Rome	13 Aug 2020	37.51803	15.00913	average	Misterbianco
Europe/Moscow	2022/03/02	56.03361	35.96944	excellent	Volokolamsk
Africa/Lagos	2014/04/24	6.45407	3.39467	average	Lagos
Australia/Perth	2018-12-23	-31.95224	115.8614	good	Perth
America/New_York	2021-08-10	42.93369	-72.27814	average	Keene
Asia/Kolkata	2021/03/22	22.10194	85.37752	good	Barbil
America/New_York	2014-07-04	40.72816	-74.07764	excellent	Jersey City
America/Caracas	2017/09/12	10.22677	-67.33122	good	La Victoria
America/Sao_Paulo	2022/01/04	-22.45667	-47.53028	excellent	Santa Gertrudes
Asia/Shanghai	18 Aug 2022	45.75279	130.57211	average	Boli
Asia/Tehran	04/30/2022, 00:00:00	33.86419	48.26258	good	Aleshtar
America/New_York	03/01/2014, 00:00:00	27.71809	-82.35176	building	Sun City Center
Europe/Paris	02/13/2013, 00:00:00	43.67681	4.63031	accep	Arles
Asia/Novokuznetsk	2020-09-11	55.8736	85.4265	average	Yashkino
America/Sao_Paulo	2022-05-23	-22.57306	-47.1725	accep	Artur Nogueira
America/New_York	21 Dec 2012	33.08014	-83.2321	accep	Milledgeville
Africa/Ndjamena	01/24/2016, 00:00:00	12.18441	18.69303	maintenance	Mongo
Asia/Yekaterinburg	04 Aug 2014	56.9083	60.8019	excellent	Beryozovsky
Asia/Kolkata	25 Jun 2021	21.46527	83.97573	excellent	Sambalpur
Europe/Samara	05/09/2013, 00:00:00	53.37596	51.3452	building	Otradnyy
America/Mexico_City	24 Aug 2019	19.32889	-99.32556	maintenance	San Lorenzo Acopilco
America/Chicago	2020-01-23	39.09112	-94.41551	building	Independence
Asia/Shanghai	07/31/2016, 00:00:00	37.30553	120.82747	maintenance	Zhuangyuan
Europe/London	2015-07-31	50.7236	-3.52751	average	Exeter
Asia/Manila	12/08/2014, 00:00:00	14.66	120.56528	maintenance	Pilar
Europe/Rome	19 Nov 2018	45.79377	8.88104	excellent	Malnate
Europe/Brussels	10/23/2012, 00:00:00	51.12794	4.21372	good	Temse
Asia/Kolkata	09/02/2018, 00:00:00	9.57046	76.32756	accep	Kalavoor
Europe/Berlin	2021-01-19	52.53048	13.29371	good	Charlottenburg-Nord
Australia/Melbourne	07/01/2015, 00:00:00	-38.16604	145.13643	maintenance	Frankston South
America/Los_Angeles	01/17/2019, 00:00:00	34.21639	-119.0376	good	Camarillo
Europe/Berlin	22 Dec 2012	50.72043	11.34046	building	Rudolstadt
Africa/Lagos	08/13/2018, 00:00:00	10.61285	12.19458	average	Biu
America/Santiago	2017/01/07	-36.9256	-73.02841	building	Chiguayante
Asia/Seoul	20 Jan 2022	36.6009	126.665	excellent	Hongseong
Asia/Baku	09 Oct 2012	41.09246	45.36561	maintenance	Qazax
Europe/Warsaw	01 Jun 2020	50.20528	19.27498	accep	Jaworzno
Europe/Rome	2013-07-25	45.39402	9.29109	excellent	San Giuliano Milanese
Asia/Jakarta	12/08/2019, 00:00:00	-6.91806	106.92667	maintenance	Sukabumi
Asia/Jakarta	2017/11/09	-6.48167	106.85417	excellent	Cibinong
Australia/Sydney	2017-10-12	-34.88422	150.60036	good	Nowra
America/Chicago	17 May 2019	33.44872	-86.78777	good	Vestavia Hills
Asia/Jakarta	2014-04-22	0.51667	101.44167	accep	Pekanbaru
Europe/Rome	03/04/2021, 00:00:00	40.87363	14.34085	average	Volla
Asia/Bangkok	2016-07-07	15.58552	102.42587	accep	Bua Yai
Europe/Skopje	2019-11-18	41.92361	20.91361	average	Bogovinje
Asia/Kolkata	2021/03/13	24.81757	84.63445	accep	Rafiganj
Europe/Berlin	2016-07-01	53.63333	9.85	good	Halstenbek
Europe/Berlin	23 Nov 2019	47.98372	10.18527	excellent	Memmingen
America/Havana	2016/07/09	22.98212	-80.58556	good	Corralillo
America/New_York	12/21/2013, 00:00:00	27.71809	-82.35176	average	Sun City Center
Asia/Jerusalem	2019-01-27	31.39547	34.75699	maintenance	Rahat
Europe/Berlin	11 Apr 2021	48.35149	8.96317	excellent	Hechingen
Europe/Berlin	2016-01-11	48.21644	9.02596	maintenance	Albstadt
Europe/Prague	13 Jun 2020	50.23271	12.87117	excellent	Karlovy Vary
Asia/Tokyo	2020/02/02	34.61667	135.6	good	Yao
Asia/Dushanbe	2019/08/13	38.55632	69.01354	average	Vahdat
Europe/Berlin	10/13/2012, 00:00:00	52.21099	7.02238	building	Gronau
America/New_York	2015/03/15	40.60538	-73.75513	maintenance	Far Rockaway
Asia/Karachi	2016-03-27	31.82539	72.54064	building	Sillanwali
Africa/Lubumbashi	11/25/2018, 00:00:00	0.49113	29.47306	maintenance	Beni
Europe/Amsterdam	2013/02/03	51.95838	4.47124	maintenance	Schiebroek
America/New_York	2014/02/23	34.25628	-78.04471	accep	Leland
Asia/Jakarta	11 Nov 2021	-6.8048	110.8405	excellent	Kudus
Africa/Algiers	2014/07/29	34.15429	3.50309	maintenance	Messaad
Europe/Istanbul	2021-01-17	37.58105	29.26639	excellent	Serinhisar
America/Guayaquil	2013/09/30	-2.13404	-79.59415	excellent	Milagro
Africa/Tripoli	2013-04-12	24.96334	10.18003	good	Ghat
Europe/Madrid	2020-11-18	41.91738	3.1631	excellent	Palafrugell
Asia/Kolkata	2017-04-16	25.6439	77.9129	maintenance	Narwar
Africa/Dar_es_Salaam	2015-01-11	-7.76667	35.7	excellent	Iringa
Asia/Kolkata	12/02/2013, 00:00:00	25.6439	77.9129	good	Narwar
America/Mexico_City	01/17/2022, 00:00:00	20.21322	-100.88023	good	Salvatierra
Asia/Jakarta	02/10/2020, 00:00:00	-8.43333	114.33333	average	Muncar
America/Mexico_City	2016/04/22	20.74122	-100.44843	accep	Santa Rosa Jauregui
Asia/Tokyo	2020-04-30	35.815	139.6853	building	Shimotoda
Asia/Jakarta	01/28/2020, 00:00:00	-6.91806	106.92667	excellent	Sukabumi
America/Sao_Paulo	2018-08-04	-19.72806	-50.19556	accep	Iturama
Europe/Berlin	12/20/2018, 00:00:00	48.35149	8.96317	average	Hechingen
America/Chicago	2021/11/19	42.55308	-87.93341	average	Pleasant Prairie
Asia/Kolkata	03/04/2017, 00:00:00	20.88197	85.83334	good	Bhuban
America/Santo_Domingo	07/03/2017, 00:00:00	18.20854	-71.10077	good	Santa Cruz de Barahona
America/Havana	25 May 2018	23.04419	-82.00919	good	Jaruco
Atlantic/Azores	2018-06-15	37.74615	-25.66689	maintenance	Ponta Delgada
Asia/Yekaterinburg	09 Aug 2020	58.7002	59.4839	accep	Kachkanar
Europe/Amsterdam	2019/02/11	52.14	5.58472	good	Barneveld
Europe/London	2014/12/24	50.75767	-1.5443	accep	Lymington
America/New_York	17 Apr 2016	40.5576	-74.28459	good	Woodbridge
America/Mexico_City	2019-08-26	20.74122	-100.44843	excellent	Santa Rosa Jauregui
Asia/Kolkata	2016-07-27	34.08565	74.80555	good	Srinagar
Europe/Rome	02/22/2018, 00:00:00	37.31065	13.57661	excellent	Agrigento
America/New_York	2022-04-06	43.1009	-75.23266	average	Utica
Europe/Moscow	2021-04-13	56.85836	35.90057	average	Tver
Europe/Berlin	03/28/2014, 00:00:00	48.35149	8.96317	average	Hechingen
Europe/Rome	2015-04-21	42.67164	14.01481	maintenance	Roseto degli Abruzzi
Africa/Johannesburg	03/30/2014, 00:00:00	-27.76952	30.79165	excellent	Vryheid
Africa/Dar_es_Salaam	2015/06/22	-6.8	39.25	accep	Magomeni
America/Bogota	04/07/2022, 00:00:00	7.83389	-72.47417	good	Villa del Rosario
America/Argentina/Tucuman	2013-09-26	-27.4338	-65.61427	excellent	Aguilares
Europe/Belgrade	2013/03/09	42.62833	20.89389	excellent	Glogovac
America/New_York	13 Oct 2020	41.9001	-71.08977	average	Taunton
Africa/Dar_es_Salaam	2018/08/10	-10.33333	39.28333	building	Nyangao
Asia/Shanghai	10/09/2018, 00:00:00	42.64031	125.51176	excellent	Dongfeng
Australia/Sydney	14 Oct 2020	-34.28853	146.05093	accep	Griffith
Asia/Kolkata	2014-07-17	25.87498	86.59611	accep	Saharsa
Asia/Almaty	2016/04/18	47.46657	84.87144	accep	Zaysan
Asia/Kolkata	07/03/2016, 00:00:00	24.81757	84.63445	average	Rafiganj
Asia/Tokyo	2014/08/07	35.82756	137.95378	good	Ina
Europe/Berlin	29 Oct 2020	52.21099	7.02238	average	Gronau
Asia/Yekaterinburg	22 Jun 2013	60.97944	76.92421	good	Izluchinsk
Europe/Madrid	02/22/2014, 00:00:00	41.41204	2.18247	excellent	el Camp de l'Arpa del Clot
Asia/Tehran	2016-10-03	36.64852	51.49621	accep	Nowshahr
America/Bahia	2018/07/02	-15.675	-38.94722	maintenance	Canavieiras
Asia/Shanghai	2017/03/11	35.50056	117.63083	maintenance	Pingyi
Asia/Shanghai	15 Mar 2020	36.19278	117.65694	average	Laiwu
America/Glace_Bay	18 May 2020	46.1351	-60.1831	good	Sydney
Europe/Lisbon	2014/07/29	37.08819	-8.2503	average	Albufeira
Europe/Istanbul	2021/04/14	40.1675	34.37389	excellent	Sungurlu
Europe/Amsterdam	2015-04-01	51.955	5.22778	accep	Culemborg
Asia/Karachi	25 Feb 2016	31.82539	72.54064	good	Sillanwali
America/New_York	2014-11-30	41.24255	-82.61573	excellent	Norwalk
America/New_York	29 Apr 2022	26.91756	-82.07842	maintenance	Punta Gorda Isles
Asia/Baku	02 Jan 2016	38.45598	48.87498	maintenance	Astara
America/Sao_Paulo	2018-05-18	-22.97056	-46.99583	maintenance	Valinhos
Europe/Berlin	07/11/2014, 00:00:00	50.23805	8.86704	maintenance	Nidderau
America/Los_Angeles	09/17/2022, 00:00:00	45.53929	-122.38731	good	Troutdale
America/New_York	25 Oct 2018	41.48199	-81.79819	average	Lakewood
America/Bahia	2013/06/25	-12.91667	-39.25	average	Muritiba
Europe/Amsterdam	10 Feb 2013	52.09	5.23333	accep	Zeist
Europe/Berlin	04/07/2019, 00:00:00	49.5099	6.74549	accep	Losheim
Africa/Libreville	2013-03-08	-1.63333	13.58357	average	Franceville
Europe/Sofia	04 Aug 2022	41.57439	24.71204	maintenance	Smolyan
America/New_York	2019/08/04	34.25628	-78.04471	good	Leland
Europe/London	21 Jun 2013	57.14369	-2.09814	accep	Aberdeen
Europe/Berlin	2018-11-02	48.28259	9.72749	excellent	Ehingen
Europe/Kiev	2013/06/11	45.99194	29.41824	average	Artsyz
America/Chicago	09/02/2015, 00:00:00	33.45122	-86.99666	excellent	Hueytown
Asia/Shanghai	27 May 2016	34.85	117.33333	accep	Taozhuang
Europe/Bratislava	02/09/2017, 00:00:00	48.8449	17.22635	good	Skalica
Asia/Tokyo	2012-12-18	34.61667	135.6	average	Yao
Asia/Karachi	2022/02/28	32.87533	71.57118	accep	Daud Khel
Europe/Madrid	05/25/2021, 00:00:00	43.32686	-2.98884	excellent	Leioa
Asia/Tokyo	2020/07/01	43.82634	144.09638	average	Motomachi
Asia/Kolkata	17 Aug 2013	30.81383	75.16878	excellent	Moga
America/Los_Angeles	10/25/2021, 00:00:00	44.99012	-123.02621	average	Keizer
America/Denver	2015/05/17	39.72943	-104.83192	building	Aurora
America/Managua	2013-04-01	11.84962	-86.19903	good	Jinotepe
America/Matamoros	2018/05/08	25.87972	-97.50417	accep	Heroica Matamoros
Europe/Madrid	09/22/2021, 00:00:00	38.47917	-1.325	accep	Jumilla
Europe/Berlin	30 Mar 2021	51.47805	6.8625	good	Oberhausen
Asia/Yangon	05/23/2019, 00:00:00	17.30858	97.01124	good	Kyaikto
America/Mexico_City	2021-01-17	20.28527	-103.42897	maitennce	Jocotepec
Asia/Tokyo	12/25/2021, 00:00:00	36.53333	136.61667	average	Nonoichi
Europe/Bratislava	09/08/2018, 00:00:00	48.8449	17.22635	excellent	Skalica
Europe/Amsterdam	14 Sep 2014	51.65333	5.2875	average	Vught
Asia/Tehran	2014-02-17	36.64852	51.49621	good	Nowshahr
America/Sao_Paulo	2013-06-10	-20.25333	-43.80139	average	Itabirito
America/Jamaica	2020-10-24	18.00747	-76.78319	good	New Kingston
America/Caracas	2022-01-28	9.91861	-68.30472	building	Tinaquillo
Europe/Berlin	2022-02-21	49.68369	8.61839	good	Bensheim
Africa/Accra	2016-11-01	5.30383	-1.98956	good	Tarkwa
Asia/Tokyo	2020-10-17	35.8	137.23333	building	Gero
Africa/Algiers	2021/08/31	36.27462	4.85668	accep	Bordj Zemoura
Asia/Kolkata	03/30/2021, 00:00:00	24.81757	84.63445	excellent	Rafiganj
America/Mexico_City	09/02/2021, 00:00:00	19.04222	-98.11889	good	Casa Blanca
Asia/Yekaterinburg	04/17/2022, 00:00:00	51.4781	57.3552	average	Kuvandyk
Asia/Shanghai	02/11/2013, 00:00:00	27.34089	117.4831	excellent	Shaowu
Asia/Shanghai	2015/07/15	37.73222	115.70111	building	Hengshui
America/Maceio	2019-07-28	-10.90889	-37.03861	maintenance	Barra dos Coqueiros
Pacific/Port_Moresby	2021-08-13	-5.85746	144.23058	accep	Mount Hagen
Europe/Minsk	2021-03-05	55.1904	30.2049	excellent	Vitebsk
Asia/Karachi	2014-05-14	29.38242	70.91106	excellent	Alipur
Europe/London	08 May 2019	56.56317	-2.58736	maintenance	Arbroath
Europe/Madrid	2022-06-24	43.48961	-8.2194	average	Ferrol
America/Chicago	05/24/2019, 00:00:00	38.06084	-97.92977	good	Hutchinson
America/New_York	2017/04/01	41.66394	-83.55521	accep	Toledo
Europe/London	22 Mar 2021	57.14369	-2.09814	excellent	Aberdeen
America/Chicago	11/08/2013, 00:00:00	35.25064	-91.73625	accep	Searcy
Europe/Paris	08/14/2022, 00:00:00	44.92801	4.8951	building	Valence
Asia/Kolkata	12/06/2014, 00:00:00	18.18158	76.03889	excellent	Osmanabad
America/Los_Angeles	2022-06-08	33.03699	-117.29198	accep	Encinitas
America/Chicago	06/19/2017, 00:00:00	41.15376	-87.88754	average	Bourbonnais
Africa/Tunis	12 Apr 2021	37.16911	10.03478	building	El Alia
Europe/Bucharest	26 Jan 2015	44.43579	26.01649	maintenance	Sector 6
Asia/Phnom_Penh	20 Sep 2018	13.65805	102.56365	good	Paoy Paet
Europe/London	12 Dec 2015	50.75767	-1.5443	good	Lymington
America/Lima	2017-03-10	-11.94306	-76.70944	good	Chosica
Africa/Porto-Novo	2022/05/07	8.88649	2.59753	excellent	Tchaourou
Asia/Jakarta	02/06/2015, 00:00:00	-1.26424	104.09701	good	Simpang
Asia/Kolkata	2016-06-19	26.11527	86.59509	good	Supaul
Europe/Paris	06 Mar 2019	48.98333	2.61667	excellent	Mitry-Mory
America/Sao_Paulo	16 Aug 2021	-22.92306	-53.13722	accep	Loanda
Africa/Lagos	2018/11/08	6.8485	3.64633	good	Shagamu
Asia/Shanghai	06/26/2015, 00:00:00	34.56861	105.89333	maintenance	Beidao
Pacific/Auckland	2018/04/22	-38.65333	178.00417	excellent	Gisborne
Europe/Istanbul	12/13/2017, 00:00:00	38.13708	41.00817	good	Silvan
America/Argentina/Cordoba	2014-08-13	-31.4488	-60.93173	good	Esperanza
Europe/Paris	12 Sep 2017	43.61058	1.33467	average	Colomiers
Asia/Shanghai	17 Jan 2021	34.85	117.33333	maintenance	Taozhuang
America/Bogota	2020/03/05	4.73245	-74.26419	average	Madrid
Africa/Algiers	2021/02/23	36.27462	4.85668	building	Bordj Zemoura
Africa/Maputo	2017/10/04	-23.85972	35.34722	good	Maxixe
America/Chicago	07/31/2021, 00:00:00	45.0408	-93.263	building	Columbia Heights
Europe/Madrid	2013-11-02	41.91738	3.1631	maintenance	Palafrugell
Asia/Kolkata	03/24/2021, 00:00:00	9.57046	76.32756	building	Kalavoor
Africa/Cairo	11 Jan 2015	31.20176	29.91582	average	Alexandria
Africa/Niamey	10/24/2021, 00:00:00	13.70727	9.15013	good	Mirriah
Asia/Tokyo	2018-04-15	39.46667	141.95	average	Yamada
Europe/Moscow	2013/12/19	55.63711	37.38115	excellent	Solntsevo
Europe/Berlin	2022-09-13	47.98372	10.18527	accep	Memmingen
Asia/Manila	24 Oct 2014	14.62578	121.12251	excellent	Antipolo
Africa/Accra	06 Nov 2021	6.46346	-2.31938	good	Bibiani
America/Bogota	2015/04/14	10.98778	-74.95472	good	Puerto Colombia
Europe/Rome	2017-10-09	42.67164	14.01481	average	Roseto degli Abruzzi
Africa/Conakry	2016/06/28	9.535	-13.68778	excellent	Camayenne
Asia/Manila	2014-03-26	14.62578	121.12251	maintenance	Antipolo
Asia/Kolkata	2013-11-08	15.45144	78.14797	average	Betamcherla
Europe/Prague	2017-03-10	50.50301	13.63617	accep	Most
America/Martinique	2017/07/11	14.67751	-60.94228	average	Le Robert
Europe/Lisbon	26 Apr 2015	38.72706	-9.24671	average	Carnaxide
Europe/Berlin	2013/12/21	50.80019	7.20769	average	Siegburg
Asia/Dhaka	23 Jul 2022	23.9028	89.11943	average	Kushtia
Asia/Tokyo	2015/04/19	36.33011	138.89585	accep	Annaka
Europe/Paris	25 Mar 2019	48.8222	2.12213	excellent	Le Chesnay
Australia/Perth	02 Dec 2019	-32.05251	115.88782	building	Willetton
Asia/Karachi	2013-12-09	27.52948	68.75915	average	Khairpur Mir’s
Africa/Dar_es_Salaam	2014-08-12	-6.8	39.25	good	Magomeni
Europe/Warsaw	07 Jan 2019	50.5107	18.30056	good	Strzelce Opolskie
America/Recife	19 May 2016	-8.28333	-35.03333	good	Cabo
Africa/Johannesburg	2018-02-12	-26.93366	29.24152	excellent	Standerton
Europe/London	11/25/2017, 00:00:00	57.14369	-2.09814	good	Aberdeen
Europe/Madrid	21 Jul 2021	43.32686	-2.98884	average	Leioa
Asia/Karachi	10 Jul 2019	31.71667	73.38333	accep	Sangla Hill
Asia/Jakarta	2019-03-11	-7.01833	107.60389	excellent	Pameungpeuk
America/New_York	2015/10/13	41.14676	-73.49484	good	New Canaan
America/Chicago	04/15/2013, 00:00:00	41.85059	-87.882	good	Westchester
America/New_York	11/03/2018, 00:00:00	33.98154	-81.23621	good	Lexington
Africa/Dar_es_Salaam	2016-02-02	-5.41667	38.01667	good	Chanika
Europe/Moscow	09 May 2021	55.64776	38.02486	accep	Malakhovka
America/New_York	2014-02-11	41.50343	-74.01042	good	Newburgh
Europe/Amsterdam	2021-08-22	51.65333	5.2875	accep	Vught
Asia/Jerusalem	2019-12-22	32.05971	34.8732	accep	Ganei Tikva
America/Costa_Rica	2017-08-20	9.92787	-84.13722	average	San Rafael
Asia/Karachi	2013/09/29	31.96258	73.97117	good	Naushahra Virkan
America/New_York	2014-02-14	39.33427	-76.43941	good	Middle River
America/New_York	2013-08-06	38.91817	-78.19444	building	Front Royal
America/Chicago	02/11/2022, 00:00:00	29.53885	-95.44744	accep	Fresno
America/New_York	2022-09-24	34.25628	-78.04471	average	Leland
Africa/Lagos	11/20/2020, 00:00:00	9.58126	8.2926	good	Kafanchan
