location	longitude	revision	QoS	latitude	station
Europe/Moscow	43.67663	01 Apr 2021	excellent	53.53041	Nizhniy Lomov
Asia/Kolkata	81.54855	2016-07-20	good	26.2649	Jais
Asia/Kolkata	77.70636	2014/04/01	accep	28.98002	Meerut
America/Los_Angeles	-122.38731	07/19/2017, 00:00:00	accep	45.53929	Troutdale
Africa/Accra	-1.4001	2020/10/13	good	7.06273	Mampong
America/Los_Angeles	-122.24092	2017-01-23	good	47.4943	Bryn Mawr-Skyway
Europe/Rome	9.40531	20 May 2013	good	45.53069	Gorgonzola
Asia/Kolkata	75.96976	2021-10-16	good	15.73628	Gajendragarh
America/Costa_Rica	-84.13722	11/27/2017, 00:00:00	average	9.92787	San Rafael
America/Santiago	-71.19901	07 Sep 2021	accep	-30.60106	Ovalle
Africa/Brazzaville	15.28318	2013-02-12	good	-4.26613	Brazzaville
Europe/Berlin	6.26667	2021/08/16	maintenance	51.21667	Schwalmtal
Europe/Warsaw	15.00835	2018-07-22	average	51.14942	Zgorzelec
Africa/Dar_es_Salaam	37.00438	2022-02-15	building	-7.60361	Kidodi
America/Chicago	-88.31476	10/09/2012, 00:00:00	excellent	36.61033	Murray
Asia/Kolkata	71.30633	2012-10-11	average	21.34222	Kundla
Asia/Kolkata	83.36889	2014-05-27	good	26.76628	Gorakhpur
Asia/Shanghai	113.82465	2014-07-20	good	23.29549	Licheng
America/New_York	-84.23381	13 May 2015	maintenance	33.54428	Stockbridge
America/Toronto	-79.2663	13 Aug 2017	excellent	43.86682	Markham
America/Cuiaba	-52.35558	08 Nov 2017	good	-14.66463	Nova Xavantina
America/Fortaleza	-41.45861	2014-02-07	average	-4.42472	Pedro II
Asia/Kolkata	86.68363	10 Nov 2019	accep	23.49668	Adra
America/Los_Angeles	-120.43572	2016/03/23	excellent	34.95303	Santa Maria
America/Chicago	-95.36969	2014/01/02	maintenance	35.74788	Muskogee
Europe/Kiev	31.33078	11 Sep 2015	excellent	47.56494	Voznesensk
Asia/Manila	120.56528	10 Nov 2018	good	14.66	Pilar
Europe/Sofia	24.71204	06/15/2020, 00:00:00	average	41.57439	Smolyan
Asia/Bangkok	104.64992	01/20/2016, 00:00:00	excellent	14.64056	Kantharalak
Europe/Rome	11.04979	03 Oct 2020	good	44.59445	Castelfranco Emilia
Europe/Berlin	9.72749	01/24/2014, 00:00:00	excellent	48.28259	Ehingen
Europe/Brussels	4.82313	2015-03-30	excellent	51.24197	Lille
America/New_York	-77.70066	2013-11-30	good	43.16547	Gates-North Gates
Asia/Kolkata	73.06784	09/07/2016, 00:00:00	excellent	25.13915	Sheoganj
America/Mexico_City	-94.91386	2014-01-03	building	17.94979	Acayucan
Europe/Berlin	10.03988	2019/01/18	good	53.6052	Barmbek-Nord
America/Sao_Paulo	-44.31389	2018/05/12	excellent	-19.7625	Esmeraldas
Europe/Berlin	9.5926	09 Feb 2020	accep	52.86147	Walsrode
America/Chicago	-87.93341	02 Oct 2020	good	42.55308	Pleasant Prairie
Africa/Conakry	-13.68778	03/01/2021, 00:00:00	excellent	9.535	Camayenne
Africa/Dar_es_Salaam	39.25	2019/09/08	excellent	-6.8	Magomeni
America/Havana	-81.24441	19 Aug 2018	good	23.15678	Varadero
Asia/Jakarta	104.09701	18 Dec 2020	average	-1.26424	Simpang
Europe/Rome	12.84052	2016/11/27	excellent	45.78071	Portogruaro
Europe/London	-0.76667	07 Jun 2020	excellent	53.38333	Gainsborough
Asia/Dhaka	91.84128	08 Jun 2020	accep	22.83957	Manikchari
Europe/Lisbon	-9.24671	14 Aug 2014	average	38.72706	Carnaxide
America/Phoenix	-111.78903	10 Sep 2022	good	33.35283	Gilbert
America/Los_Angeles	-120.00865	2022-04-10	accep	46.32374	Sunnyside
America/New_York	-72.97261	22 Dec 2018	average	43.61062	Rutland
America/Sao_Paulo	-42.19667	2014-09-08	average	-21.41222	Miracema
America/New_York	-75.23266	2015-04-13	excellent	43.1009	Utica
America/Guatemala	-91.11667	18 Nov 2017	good	14.93333	Chichicastenango
Asia/Tokyo	137.02166	16 Jun 2014	building	35.48199	Minokamo
America/Detroit	-83.48216	2020/08/15	accep	42.30865	Canton
Europe/Rome	8.55552	2020/09/22	maintenance	40.72586	Sassari
Europe/Istanbul	27.02444	10/02/2021, 00:00:00	average	39.59611	Edremit
Asia/Manila	123.758	02 Nov 2014	good	10.20898	Naga
Europe/Amsterdam	5.51978	2019/04/13	accep	51.44889	Tongelre
Asia/Bangkok	99.95469	2013/11/28	accep	13.51825	Damnoen Saduak
Europe/Berlin	7.973	2022-06-03	maintenance	51.168	Finnentrop
America/New_York	-73.89875	01 Jan 2014	good	40.93121	Yonkers
America/Mexico_City	-98.11889	19 May 2013	good	19.04222	Casa Blanca
Europe/Moscow	43.91385	2018-12-11	good	54.03876	Kovylkino
Europe/Rome	8.62118	2020/08/12	maintenance	45.44694	Novara
Asia/Vladivostok	140.72287	2020-12-05	good	53.14657	Nikolayevsk-on-Amure
Europe/Paris	2.25	2021/05/15	good	50.75	Saint-Omer
Europe/Zaporozhye	38.15035	17 Aug 2019	accep	49.41029	Svatove
Asia/Yekaterinburg	56.36091	2019-07-08	good	51.78771	Saraktash
Asia/Kolkata	78.23456	2016/10/13	accep	28.92694	Bachhraon
Africa/Algiers	4.62744	29 Jul 2019	good	36.06386	El Achir
America/New_York	-73.49484	2019-05-13	average	41.14676	New Canaan
America/Sao_Paulo	-42.98194	2021-03-04	accep	-22.53722	Guapimirim
America/Toronto	-79.2663	2015-05-20	accep	43.86682	Markham
Africa/Libreville	13.58357	12/04/2016, 00:00:00	good	-1.63333	Franceville
Europe/Podgorica	18.84	09/16/2018, 00:00:00	excellent	42.28639	Budva
Africa/Johannesburg	29.00974	2017/03/05	accep	-24.19436	Mokopane
Asia/Tokyo	129.96972	03/11/2015, 00:00:00	excellent	33.4425	Karatsu
Europe/Zagreb	16.43915	2012/12/02	accep	43.50891	Split
Asia/Yekaterinburg	59.4839	2015/11/02	maintenance	58.7002	Kachkanar
Europe/London	-0.2	2013-04-05	accep	51.65	Barnet
America/Mexico_City	-94.91386	2013-10-04	good	17.94979	Acayucan
Europe/Berlin	8.61839	28 Dec 2012	accep	49.68369	Bensheim
America/Los_Angeles	-118.10583	07 Jun 2020	excellent	34.09611	San Gabriel
Europe/London	-4.21376	17 Mar 2019	excellent	55.82885	Rutherglen
Asia/Kolkata	83.97573	11/23/2021, 00:00:00	excellent	21.46527	Sambalpur
Australia/Sydney	150.60036	10/01/2021, 00:00:00	good	-34.88422	Nowra
America/Sao_Paulo	-52.67056	07/03/2021, 00:00:00	average	-26.22861	Pato Branco
Asia/Kolkata	78.55757	2017-01-22	accep	17.34769	Lal Bahadur Nagar
America/New_York	-76.99081	03 Jul 2015	good	38.96372	Chillum
America/Lima	-69.08333	06/25/2014, 00:00:00	good	-16.25	Yunguyo
Asia/Kolkata	82.85749	2016/11/29	average	17.54907	Elamanchili
America/Chicago	-97.03285	23 Jul 2016	excellent	47.92526	Grand Forks
America/New_York	-75.64963	2020-07-08	excellent	40.24537	Pottstown
Africa/Bangui	15.87735	2020/02/18	maintenance	4.94273	Carnot
America/Sao_Paulo	-50.19556	13 Oct 2021	average	-19.72806	Iturama
America/Bogota	-74.73584	2019-08-01	accep	5.20856	Honda
Asia/Manila	123.99333	08/09/2021, 00:00:00	average	12.97389	Sorsogon
Asia/Novokuznetsk	85.4265	2013-04-24	accep	55.8736	Yashkino
America/Los_Angeles	-116.97725	2018-06-07	excellent	33.92946	Beaumont
America/Los_Angeles	-122.24092	06/25/2016, 00:00:00	good	47.4943	Bryn Mawr-Skyway
Asia/Kolkata	73.08333	2016/07/16	average	19.21667	Dombivli
Africa/Lagos	4.74161	2017/04/13	building	7.62789	Ilesa
Europe/Paris	4.7934	30 Mar 2015	maintenance	45.69558	Saint-Genis-Laval
Europe/Amsterdam	5.22778	2013/06/01	average	51.955	Culemborg
Asia/Kuala_Lumpur	102.3278	2022-02-03	maintenance	2.2139	Kampung Ayer Molek
America/New_York	-82.35176	2013/07/25	accep	27.71809	Sun City Center
Asia/Kolkata	76.56719	03 Apr 2017	average	24.41288	Aklera
Europe/Madrid	-4.10734	2016/08/22	average	38.68712	Puertollano
America/Havana	-82.00919	13 Dec 2015	good	23.04419	Jaruco
Asia/Kolkata	88.58	29 Jul 2015	excellent	23.18	Aistala
Asia/Jakarta	103.61667	11/11/2021, 00:00:00	accep	-1.6	Jambi City
Asia/Jakarta	99.1625	2019/02/25	accep	3.3285	Tebingtinggi
Asia/Manila	123.89071	23 Jul 2020	building	10.31672	Cebu City
Australia/Melbourne	145.06667	2019/08/03	excellent	-37.88333	Carnegie
Europe/Berlin	7.20769	2018-11-23	maintenance	50.80019	Siegburg
Europe/London	-3.52751	30 May 2020	good	50.7236	Exeter
Asia/Shanghai	109.22921	2021/01/15	excellent	34.65918	Yanliang
Asia/Bangkok	104.1451	2020-05-29	excellent	15.79408	Yasothon
Europe/London	-2.1875	2019-01-16	average	51.26	Westbury
Europe/London	-2.09814	02 Sep 2017	accep	57.14369	Aberdeen
Asia/Yerevan	44.7662	2013-04-21	building	40.49748	Hrazdan
Europe/Skopje	21.32778	01/29/2016, 00:00:00	average	42	Saraj
Asia/Jakarta	110.8405	2019-05-23	good	-6.8048	Kudus
America/Chicago	-88.70464	2020/01/08	excellent	34.25807	Tupelo
Europe/Berlin	8.86704	02/14/2021, 00:00:00	good	50.23805	Nidderau
Africa/Mogadishu	43.38531	2013-04-07	average	9.89206	Baki
America/Los_Angeles	-115.98391	12/27/2015, 00:00:00	average	36.20829	Pahrump
America/Sao_Paulo	-48.67028	2017-11-14	average	-28.24	Imbituba
Europe/Bratislava	17.8031	2019-11-03	maintenance	48.43174	Hlohovec
America/Belem	-48.52333	2022-05-27	average	-0.71667	Soure
America/Denver	-105.11221	2015-10-19	excellent	39.57582	Ken Caryl
Europe/Moscow	39.85331	09/11/2021, 00:00:00	excellent	57.30185	Gavrilov-Yam
Europe/Paris	2.25	12/06/2021, 00:00:00	accep	50.75	Saint-Omer
America/El_Salvador	-89.71472	2013/10/16	maintenance	13.73417	Sonzacate
Europe/Moscow	46.10925	10 Nov 2012	accep	43.35071	Gudermes
Asia/Jerusalem	34.8732	02 May 2013	excellent	32.05971	Ganei Tikva
America/Costa_Rica	-84.13722	2017/03/30	accep	9.92787	San Rafael
Europe/Madrid	2.35739	2022-02-10	good	41.63976	Cardedeu
Europe/Berlin	7.02238	2016/03/21	excellent	52.21099	Gronau
Europe/Istanbul	28.67582	2013-11-28	excellent	40.98894	Yakuplu
America/New_York	-82.46148	2015-11-12	excellent	28.15112	Lutz
Europe/Madrid	1.10687	12/22/2012, 00:00:00	good	41.15612	Reus
Africa/Lubumbashi	24.43973	05/11/2021, 00:00:00	maintenance	0.76755	Yangambi
Australia/Brisbane	153.10236	06/05/2013, 00:00:00	average	-27.50578	Carindale
Europe/Berlin	8.91229	01/08/2022, 00:00:00	average	49.13645	Eppingen
Africa/Luanda	19.91667	2022/04/11	excellent	-11.78333	Luena
Africa/Nairobi	34.11169	2021-08-21	average	0.46005	Busia
Asia/Manila	121.06761	2019/07/04	building	12.35275	San Jose
Africa/Windhoek	16.91667	2016-09-19	average	-21.98333	Okahandja
America/Chicago	-88.81395	03/24/2013, 00:00:00	average	35.61452	Jackson
America/New_York	-71.06616	2015-08-08	good	42.4251	Malden
Asia/Qyzylorda	65.50917	2021/04/07	maintenance	44.85278	Kyzylorda
America/New_York	-81.26367	22 Aug 2021	average	28.90054	Deltona
Asia/Bangkok	100.48528	2016-07-20	building	14.37395	Bang Ban
America/New_York	-72.86843	2018/01/14	acceptable	41.27621	East Haven
America/Indiana/Indianapolis	-85.76942	2013-09-12	excellent	39.78504	Greenfield
Asia/Kolkata	72.93924	04/10/2021, 00:00:00	accep	18.87813	Uran
Europe/Berlin	10.5511	09/30/2015, 00:00:00	good	52.47774	Gifhorn
Africa/Ndjamena	18.69303	2012-11-19	accep	12.18441	Mongo
Asia/Karachi	72.54064	12/29/2016, 00:00:00	maintenance	31.82539	Sillanwali
Asia/Shanghai	118.53333	2022/06/04	good	27.92333	Pucheng
Asia/Urumqi	86.00214	02/24/2022, 00:00:00	accep	46.51872	Hoxtolgay
Europe/Berlin	9.72749	06/03/2015, 00:00:00	good	48.28259	Ehingen
Asia/Bangkok	99.89166	02/06/2022, 00:00:00	excellent	15.46063	Thap Than
Africa/Casablanca	-2.16	16 Nov 2012	accep	34.31	Jerada
Europe/Stockholm	17.10558	01 Oct 2012	good	61.72744	Hudiksvall
Europe/Berlin	13.10984	2012-12-30	excellent	51.30001	Oschatz
Asia/Kolkata	86.51499	2016/08/11	average	23.1959	Kenda
Europe/Istanbul	40.74357	2016/02/24	good	37.31309	Mardin
America/New_York	-77.55777	2017-03-27	accep	37.52487	Bon Air
Europe/London	-3.05	06/23/2019, 00:00:00	excellent	53.81667	Blackpool
Europe/Moscow	38.02486	2019/07/11	accep	55.64776	Malakhovka
America/El_Salvador	-89.71472	2016-09-15	good	13.73417	Sonzacate
Europe/Berlin	7.20769	2021/07/15	building	50.80019	Siegburg
Asia/Kolkata	73.85535	2021-11-07	good	18.51957	Pune
Africa/Dar_es_Salaam	38.01667	06 Sep 2022	excellent	-5.41667	Chanika
Africa/Dar_es_Salaam	35.7	2022-05-24	excellent	-7.76667	Iringa
Europe/Madrid	-2.77259	11/06/2012, 00:00:00	good	37.49073	Baza
Indian/Antananarivo	47.31667	2014/07/02	excellent	-19.65	Antanifotsy
Asia/Kolkata	75.37991	2018/10/05	good	25.75728	Deoli
America/New_York	-82.07842	07 Jun 2017	average	26.91756	Punta Gorda Isles
America/Mexico_City	-101.2591	2017-06-23	building	21.01858	Guanajuato
America/Sao_Paulo	-43.80139	28 Feb 2020	average	-20.25333	Itabirito
Africa/Dar_es_Salaam	33	09/26/2014, 00:00:00	average	-2.68333	Usagara
Asia/Kolkata	75.11937	03/15/2016, 00:00:00	excellent	20.88098	Parola
America/Tegucigalpa	-86.57415	2022-07-15	accep	15.48131	Olanchito
America/Los_Angeles	-119.0376	2021-09-15	good	34.21639	Camarillo
America/Los_Angeles	-117.14392	06/26/2013, 00:00:00	average	32.9156	Mira Mesa
Asia/Tokyo	139.07204	2016-10-15	building	36.24624	Fujioka
Asia/Tashkent	72.34424	21 Dec 2015	maintenance	40.78206	Andijon
Europe/Madrid	3.1631	2015/07/13	accep	41.91738	Palafrugell
Asia/Qyzylorda	65.50917	2016/04/09	excellent	44.85278	Kyzylorda
Asia/Kolkata	86.59611	2021/07/07	average	25.87498	Saharsa
Asia/Karachi	71.57118	2014/07/17	average	32.87533	Daud Khel
America/New_York	-73.0515	2016-11-16	building	41.55815	Waterbury
America/Bogota	-73.9614	04 Feb 2014	good	10.15031	El Copey
Africa/Mogadishu	42.54536	2022-08-02	average	-0.35817	Kismayo
Asia/Kuching	116.10146	01 Apr 2017	excellent	5.90702	Donggongon
Asia/Kolkata	85.94001	2018/11/16	excellent	25.49043	Teghra
America/New_York	-83.55521	2020-12-20	average	41.66394	Toledo
Africa/Monrovia	-8.53778	12 Aug 2017	accep	7.57944	New Yekepa
Indian/Antananarivo	44.53333	2019-07-19	good	-22.9	Sakaraha
Asia/Manila	120.56528	2022-01-27	excellent	14.66	Pilar
Africa/Lagos	12.19458	08/26/2013, 00:00:00	good	10.61285	Biu
America/Denver	-111.99633	2021/05/20	accep	40.65995	Kearns
Europe/London	-2.98333	2019-07-07	maintenance	53.83333	Poulton-le-Fylde
America/New_York	-84.50855	28 Jul 2017	maintenance	39.08367	Covington
Europe/Berlin	8.64409	2020/09/18	excellent	48.07667	Trossingen
Europe/Moscow	47.1192	09 Jan 2020	building	42.819	Buynaksk
Asia/Kolkata	86.79271	05/28/2021, 00:00:00	excellent	25.92127	Madhipura
Africa/Dar_es_Salaam	29.65806	09/02/2022, 00:00:00	average	-4.83	Mwandiga
America/New_York	-77.96389	2016/01/30	accep	39.45621	Martinsburg
Africa/Addis_Ababa	38.01667	09/05/2017, 00:00:00	accep	11.85	Debre Tabor
America/Sao_Paulo	-49.27306	2014-10-01	maintenance	-25.42778	Curitiba
Europe/Skopje	20.91361	2015/01/05	average	41.92361	Bogovinje
America/Sao_Paulo	-50.00639	07 Apr 2016	good	-25.42944	Palmeira
Asia/Bangkok	101.18445	2018/08/31	maintenance	13.44581	Phanat Nikhom
America/New_York	-73.78458	2022/04/05	excellent	41.0051	Scarsdale
Asia/Jakarta	110.71639	03/15/2018, 00:00:00	good	-7.54972	Ngemplak
Europe/Rome	9.29109	2019/01/31	excellent	45.39402	San Giuliano Milanese
Europe/Rome	9.32241	10 Dec 2017	good	44.31771	Chiavari
America/Mexico_City	-93.11308	02 Oct 2018	building	16.75973	Tuxtla
Europe/Moscow	46.10925	2022-04-04	maintenance	43.35071	Gudermes
Europe/Bratislava	17.22635	25 Nov 2014	average	48.8449	Skalica
Europe/Rome	13.44275	2016/10/24	good	38.07789	Villabate
America/New_York	-73.89125	18 Apr 2017	building	40.67705	Cypress Hills
America/Chicago	-93.75018	2017/07/21	accep	32.52515	Shreveport
Europe/Rome	14.34085	12/27/2014, 00:00:00	accep	40.87363	Volla
Europe/Moscow	30.28491	2020-09-21	building	60.02427	Kolomyagi
Europe/Amsterdam	6.61944	2020/05/09	good	52.57583	Hardenberg
America/New_York	-73.78458	07 Oct 2017	average	41.0051	Scarsdale
Australia/Melbourne	145.06667	11/28/2016, 00:00:00	average	-37.88333	Carnegie
America/New_York	-80.66756	2016/08/04	good	26.68451	Belle Glade
Europe/Moscow	43.63417	20 Feb 2019	good	43.96222	Novopavlovsk
America/Sao_Paulo	-42.98194	2015/04/02	building	-22.53722	Guapimirim
America/Matamoros	-97.50417	2015-01-16	accep	25.87972	Heroica Matamoros
America/Jamaica	-76.78319	2013-08-23	excellent	18.00747	New Kingston
America/New_York	-74.07764	07/01/2016, 00:00:00	excellent	40.72816	Jersey City
America/Chicago	-93.12577	2021-11-24	average	44.73941	Rosemount
Asia/Aqtobe	59.6	2017-02-09	accep	47.83333	Shalqar
Europe/Brussels	4.07601	03 Jan 2022	good	50.88506	Denderleeuw
Asia/Yangon	97.01124	2017/09/11	building	17.30858	Kyaikto
Europe/Brussels	3.16667	2016-10-14	accep	50.8	Wevelgem
Africa/Niamey	9.15013	10/24/2020, 00:00:00	accep	13.70727	Mirriah
Asia/Jakarta	106.92667	12/11/2016, 00:00:00	excellent	-6.91806	Sukabumi
Europe/Berlin	8.4493	08/02/2019, 00:00:00	average	50.09019	Hofheim am Taunus
Europe/Paris	2.45012	20 Nov 2018	accep	48.90982	Bobigny
Europe/Paris	2.08333	2015-11-20	good	48.86667	Marly-le-Roi
Asia/Yekaterinburg	56.36091	08/24/2017, 00:00:00	excellent	51.78771	Saraktash
Europe/Berlin	8.77069	10/19/2015, 00:00:00	building	50.80904	Marburg an der Lahn
Europe/Rome	7.60872	29 Oct 2017	good	43.78956	Ventimiglia
America/New_York	-73.9625	2013/07/12	average	40.81	Morningside Heights
