PAHs	latitude	PM10	H2CO	longitude	PRES	O3	TEMP	SO2	Pb	CH4	NOx	C2H3NO5	CFCs	NH3	PM2.5	CO	warning
7.29454	50.50301	5.46327	24.46255	13.63617	1199.95369	8.90404	31.31100	9.13133	20.37721	6.61361	8.71196	0.03349	49.17085	6.65916	8.75222	7.30952	1.00000
7.45258	30.46907	7.98974	48.47113	70.96699	1186.51159	4.93400	15.69193	6.05003	53.67757	8.24261	8.75841	0.07620	41.78570	10.70007	8.60203	7.07717	1.00000
7.65244	45.99194	5.78572	52.13725	29.41824	1091.46877	8.76837	14.48202	8.74681	47.93900	10.16368	10.90671	0.04220	65.01809	7.10926	7.59093	9.45310	0.00000
9.09898	39.59611	9.12144	49.03783	27.02444	1109.10720	11.64046	7.77666	7.79654	53.00761	11.14226	10.14342	0.22885	23.24217	8.16771	8.61708	7.58395	0.00000
8.23314	42.93369	10.10538	63.62511	-72.27814	1133.40041	7.25564	8.22710	7.70655	56.33470	5.92565	4.81682	0.57114	60.82969	7.93984	7.70474	7.09896	1.00000
8.19324	33.03699	7.42195	42.98809	-117.29198	1127.34443	8.87787	12.55717	9.61939	78.66134	5.04892	5.67665	0.08302	38.47248	7.21866	8.41330	6.60762	1.00000
7.98783	33.35283	9.40360	69.17496	-111.78903	1104.72232	8.70844	28.41277	9.64707	33.13428	7.67472	6.57812	0.29676	39.75587	7.12779	8.00419	7.92172	0.00000
7.91427	27.34089	9.96673	47.45171	117.4831	1174.63254	6.43599	-4.81914	6.50343	52.68822	10.54464	9.97007	0.50600	50.39469	10.36593	8.77704	7.55067	1.00000
9.97850	20.28527	7.28187	65.99876	-103.42897	1149.76810	9.15468	14.70264	8.92114	45.09185	10.45730	11.08096	0.05937	27.21242	9.27677	10.92206	8.32818	0.00000
7.30042	-22.92306	7.73538	52.97398	-53.13722	1095.02196	9.92360	32.40926	8.64788	52.00031	9.66253	10.33921	0.10202	50.03564	7.62628	9.16462	6.46538	0.00000
11.02131	43.61058	9.21871	33.26804	1.33467	1118.55395	7.62564	16.26247	6.00793	71.44121	11.11406	10.28712	0.25595	44.19810	8.76299	8.35196	10.51086	1.00000
9.01335	27.09978	10.60359	79.42010	-82.45426	1061.47923	7.39585	15.89664	9.86514	62.00938	10.07708	10.00746	0.91377	44.39577	8.75572	9.50185	7.87761	1.00000
8.76949	45.78071	8.91853	61.30405	12.84052	1078.71246	8.21569	16.49633	8.91931	59.88103	10.55297	9.60365	0.20551	28.59769	5.96469	7.62417	7.67078	1.00000
9.34192	53.78333	4.51547	40.48988	-1.06667	1171.44470	7.65453	30.70127	12.83852	54.80886	8.37845	7.23666	0.03231	39.45686	9.39526	7.52743	8.64863	0.00000
7.76027	35.6803	10.41138	37.17307	51.0193	1162.16032	11.24080	24.30540	9.68784	51.58955	11.32353	9.03756	0.74952	48.55219	8.26390	7.32540	9.28130	0.00000
7.31205	45.79377	10.69942	79.95593	8.88104	1054.88099	6.45698	17.77906	7.00346	52.45821	7.80672	8.90787	1.00603	56.71443	10.39129	8.28509	8.36004	1.00000
9.19239	25.49043	4.74476	34.48803	85.94001	1089.49806	8.71620	4.47849	8.57310	41.25739	8.90601	10.00731	0.04356	41.91549	5.12145	7.56202	10.04870	0.00000
8.97056	27.92333	4.17491	73.68041	118.53333	1133.01174	9.97338	15.70793	10.69500	38.58296	5.45911	8.42183	0.03651	32.15653	6.85444	7.48674	7.82393	1.00000
9.36868	37.73604	3.44115	57.35545	-120.93549	1136.45751	11.49266	15.89508	9.59350	35.70278	6.59055	9.00585	0.05528	44.96329	6.57272	5.81943	8.36393	1.00000
8.06431	32.9156	7.33336	35.00864	-117.14392	1159.74503	8.19152	20.28539	11.16241	61.39655	9.99975	8.69275	0.07306	54.34690	7.92734	9.11654	8.93294	0.00000
6.57436	-11.78333	9.42650	63.02877	19.91667	1152.79723	7.72668	17.62404	7.88390	60.30104	9.63597	9.50693	0.29801	62.24974	8.40275	7.71858	10.17983	1.00000
8.26116	35.25064	7.67227	49.70904	-91.73625	1129.37004	8.36764	20.43329	9.46912	54.85839	6.42305	6.06827	0.07238	57.99320	6.37453	7.68026	8.04818	1.00000
6.77004	33.78333	5.34372	46.37491	114.51667	1124.71441	9.46645	32.76076	9.71632	41.43839	5.92609	7.56153	0.04890	51.26503	7.29281	7.34433	8.33982	1.00000
7.43782	28.98002	7.90273	65.90172	77.70636	1192.38064	10.39946	8.21546	9.42868	38.21258	8.49071	8.11541	0.11007	25.59339	6.63146	7.72618	7.17865	0.00000
6.96564	35.6803	9.55679	60.15141	51.0193	1114.03036	10.69635	25.92336	10.86018	19.23080	11.09020	6.99320	0.34882	46.21377	7.46520	7.59611	8.91749	0.00000
8.64494	57.47908	6.28525	27.80158	-4.22398	1156.66715	8.42702	18.18028	9.71901	53.45329	10.05813	9.93284	0.04376	40.02838	7.79842	6.83726	7.76197	0.00000
7.51502	6.95194	9.40166	50.67372	121.96361	1106.96427	7.89083	-11.43367	6.86060	46.06712	11.82766	9.25684	0.30280	44.66715	8.19563	8.16479	7.03350	1.00000
9.09703	31.92923	9.78074	30.51770	34.86563	1143.69880	6.68808	26.31152	6.35550	34.13944	8.64430	8.70316	0.43234	47.40887	9.66972	8.40118	10.36129	1.00000
8.95173	30.21121	6.47012	30.49528	74.4818	1096.04796	9.06544	13.25972	8.88065	70.19529	9.10950	10.11509	0.04872	53.25087	7.15294	8.53690	9.04382	0.00000
9.15717	61.72744	5.33005	23.81544	17.10558	1142.24531	11.87295	1.23117	8.05069	59.00597	7.51492	6.82506	0.02472	50.11754	7.77419	6.42182	8.53493	1.00000
8.69516	29.84576	5.85666	58.65080	-90.10674	1170.76997	9.64058	21.75049	8.59420	25.72464	6.03360	8.42459	0.06119	55.23696	7.34888	8.96809	7.74298	0.00000
7.39680	51.78771	6.76779	48.08510	56.36091	1148.72277	9.69885	14.57694	9.99481	44.29887	4.91068	6.47501	0.04290	52.94557	6.18091	8.08562	8.40739	1.00000
7.74064	34.65918	8.67235	47.43115	109.22921	1095.20739	6.77298	31.92403	9.74169	60.60980	8.22848	5.37202	0.16314	20.58104	6.44342	8.98125	7.57291	1.00000
8.80222	49.88307	6.63147	51.22459	-119.48568	1054.34026	8.64636	8.23934	11.37281	41.61810	6.61685	5.63842	0.03283	46.27322	8.63424	6.34806	8.26685	0.00000
6.82872	-5.41667	9.30945	51.61948	38.01667	1114.47620	7.04503	25.28972	10.29177	30.76256	7.84867	6.41600	0.27444	26.16811	10.66933	6.42388	8.17996	0.00000
7.51684	46.65581	6.04246	1.46049	32.6178	1112.75053	10.19707	17.88789	7.87479	63.57048	7.54145	8.97475	0.04796	53.52223	4.39726	9.17106	9.15020	1.00000
9.76626	46.67535	7.15183	30.08968	5.55575	1113.40096	9.14203	9.42289	8.91429	49.44509	6.80497	5.84701	0.07496	61.68825	7.94769	8.18293	7.11199	1.00000
9.20736	14.53767	7.81078	63.37551	46.83187	1134.55623	8.97729	23.03758	10.02734	65.24385	5.84966	6.04712	0.09367	47.73186	5.30185	6.34723	9.47786	1.00000
9.10284	51.19139	6.53108	52.38727	6.51352	1162.18528	9.93874	18.01729	8.92939	19.07591	5.92061	5.40909	0.08164	51.26059	9.62898	9.19227	7.20434	1.00000
6.33420	46.65581	7.91800	35.47488	32.6178	1148.66215	7.80077	14.91921	8.80061	58.12625	10.77525	9.32096	0.08275	62.10734	6.30891	7.87855	6.60486	1.00000
8.72493	5.20856	10.59211	45.70464	-74.73584	1159.21231	6.63440	6.17015	9.99549	53.29131	6.40035	5.69584	0.91367	34.15426	8.78015	9.69888	7.51133	0.00000
5.28170	-6.8048	6.11204	49.63285	110.8405	1134.88398	8.40831	9.68698	10.58632	51.61964	8.40104	6.69495	0.06802	43.49881	6.41087	7.24880	7.72902	1.00000
8.14295	-19.65	6.97144	77.36944	47.31667	1147.89956	8.66162	20.67305	10.23477	71.20096	11.92214	9.81250	0.06534	37.29200	7.30259	7.74566	7.74004	0.00000
5.67940	45.69558	7.61757	42.48290	4.7934	1059.10869	9.66943	24.80347	9.22278	38.11726	5.83059	6.89390	0.09302	37.35568	4.06622	8.02331	7.19196	1.00000
8.07456	41.29444	8.95109	27.11690	69.67639	1156.34274	5.89551	26.90255	8.81288	72.09692	10.07164	10.12317	0.20705	66.60394	9.33862	9.59969	8.11242	1.00000
8.73844	53.94313	6.53215	39.69516	10.30215	1156.52336	10.13495	-3.48502	10.25349	19.88426	7.28958	5.74477	0.06591	32.50157	6.29866	9.03951	9.06534	1.00000
9.85023	-34.74785	9.81418	55.09436	-58.70072	1088.89376	7.02626	12.85037	7.25171	54.34569	10.88700	10.05640	0.40941	45.78861	8.98390	7.52252	7.91244	1.00000
7.36313	30.21121	7.82457	63.46095	74.4818	1128.84278	6.15557	25.35844	7.51500	56.25876	13.54747	10.10721	0.09972	55.57358	8.63721	6.72577	8.57694	1.00000
8.26940	-7.60361	8.08513	29.00773	37.00438	1118.11708	8.86524	16.33018	9.03913	59.35244	8.39295	5.33489	0.11387	45.71313	5.99015	6.39893	9.80159	1.00000
8.13498	33.7207	9.72599	49.83669	-116.21677	1135.08287	7.44416	27.15582	8.14227	68.85353	8.81327	9.45689	0.40374	45.33027	8.99950	8.39522	7.82112	1.00000
7.77454	50.26729	6.30485	51.85887	-119.27337	1149.05046	9.83919	8.17067	8.00462	49.11144	10.09715	10.33421	0.04228	29.28463	5.09494		7.93746	0.00000
9.48541	33.92946	8.73975	75.71497	-116.97725	1127.18293	10.00516	23.19494	9.57743	68.12514	10.71415	9.72336	0.17876	44.53512	9.39820	6.56769	6.30575	0.00000
9.17025	43.35071	4.90705	54.88681	46.10925	1122.34117	8.75258	19.59729	10.63461	49.15796	5.34334	8.49372	0.03972	59.56346	6.05478	7.23916	6.37798	
8.09642	42	8.53791	49.23547	21.32778	1130.51334	7.70126	-9.96871	9.42430	35.44153	5.54181	6.67564	0.14144	65.53171	4.68945	6.15288	8.33661	1.00000
9.13631	33.93113	10.07578	47.11248	-117.54866	1192.67675	7.10518	6.11738	8.02995	44.13515	7.63658	4.92279	0.56029	31.75715	6.32541	8.43930	8.34851	1.00000
7.86018	49.13645	9.84031	29.19773	8.91229	1182.81474	7.28440	13.25933	4.35384	61.49757	10.55248	9.37680	0.42044	62.43672	9.57930	7.38965	7.43550	1.00000
9.17276	32.57756	5.85960	77.50617	71.52847	1180.66464	10.02077	24.66187	9.47822	46.85856	7.87120	6.87382	0.03607	56.06598	6.48845	8.40294	7.56158	1.00000
9.09186	54.84444	6.60713	70.94977	38.16694	1187.87868	8.12359	28.35117	10.41002	53.65935	11.11097	9.93928	0.04892	53.71484	7.39586	9.36312	7.23050	0.00000
8.92587	-6.8048	8.00824	56.60134	110.8405	1133.74405	9.01275	31.61188	11.09806	39.27274	10.52328	7.72954	0.10619	45.37423	8.62902	8.66287	7.21174	0.00000
7.33509	46.18396	7.88517	35.96229	6.10237	1097.37046	4.70875	10.48569	8.88169	49.13957	8.15998	9.51739	0.10077	41.44922	9.38496	7.78263	8.10323	1.00000
8.24925	-1.63333	3.18913	60.45925	13.58357	1141.99557	11.14166	-2.48496	10.49752	64.43962	7.10129	8.82477	0.04064	42.05442	6.43018	6.93236	6.34556	1.00000
8.13019	20.74122	10.54151	64.53723	-100.44843	1056.85580	7.05541	25.65017	3.99918	45.91176	10.35945	10.39373	0.87145	56.80459	10.86958	7.78682	10.02294	1.00000
8.95123	53.93361	8.89528	40.33251	37.92792	1058.75692	8.43246	20.77620	9.18127	67.02878	5.96142	5.61056	0.20265	40.24819	5.36529	8.09481	7.66444	1.00000
7.74923	-22.92306	6.10219	44.41247	-53.13722	1158.70136	9.01537	8.01739	9.06997	64.24014	9.01688	9.58310	0.06770	43.61497	6.78553	9.80551	7.96388	0.00000
7.78475	48.35149	9.71508	58.86318	8.96317	1178.33219	7.52166	-8.92716	6.77419	45.33786	10.43950	9.44573	0.39269	47.57248	8.62982	7.27617	7.64039	1.00000
8.10205	-21.42917	9.63492	30.63377	-45.94722	1058.06584	7.91406	19.29693	8.17247	39.89324	11.25514	9.22210	0.35972	50.80585	7.64982	8.14015	7.76183	0.00000
6.93370	28.92694	9.24422	63.62233	78.23456	1181.45119	6.79766	0.60098	9.56220	79.22659	5.55156	5.90781	0.27904	43.48719	8.39223	6.69902	8.51759	0.00000
8.16469	13.65805	9.61737	30.74155	102.56365	1193.60895	5.94935	11.74899	11.17055	51.52211	6.56045	5.61804	0.36699	43.61523	9.00383	8.84832	8.66352	0.00000
7.54162	42.28639	12.76127	35.84255	18.84	1131.60221	5.77024	-0.02696	8.02468	32.54814	7.30662	5.84699	7.60159	50.62859	12.31880	8.52991	8.75860	0.00000
6.90569	-7.76667	8.81480	50.28843	35.7	1050.67155	6.77388	11.22761	7.21659	63.84675	9.12067	9.08234	0.19614	37.92057	8.27131	8.60998	7.96499	1.00000
8.39812	41.85059	10.45152	51.09990	-87.882	1168.86215	8.03386	23.81986	6.03898	49.19665	11.00175	9.85544	0.77906	33.06167	9.50012	7.09901	7.39950	1.00000
8.69307	39.43534	5.26459	25.07236	-84.20299	1108.16258	10.53816	18.74243	8.92601	55.33950	7.38967	7.09117	0.04105	26.67839	8.05108	8.84523	7.65935	1.00000
8.67949	33.4425	9.09461	47.30941	129.96972	1079.46597	7.45170	22.58896	8.92051	40.92152	6.52179	5.24341	0.22750	40.70626	6.83608	9.01754	9.39172	1.00000
8.30110	58.04254	4.96218	56.08315	65.27258	1169.97089	11.32877	13.00001	10.51703	59.13229	7.81722	6.18375	0.03268	50.60814	6.75402	8.56798	8.25482	1.00000
9.98421	48.28259	11.05892	60.67262	9.72749	1094.35887	5.81730	12.85424	6.24560	26.35759	3.02902	7.39790	1.42308	47.22131	6.38538	7.24386	8.50630	0.00000
9.81841	6.95194	5.13605	31.20797	121.96361	1162.58322	8.86045	21.24141	8.71623	26.78806	8.52514	9.25163	0.02350	45.59851	5.53581	9.21321	6.24103	0.00000
7.04405	45.51667	5.28125	17.89702	4.86667	1069.60325	10.09669	17.40294	11.11186	40.74351	6.32614	6.46143	0.05747	68.03342	6.43649	7.50038	6.71495	1.00000
7.58751	38.07789	9.32604	38.32598	13.44275	1106.44373	6.26306	14.11068	2.57914	63.01707	7.55993	8.15775	0.30554	40.18112	10.80772	8.81358	6.98880	1.00000
6.58377	43.86682	7.33123	42.50630	-79.2663	1083.37140	6.43990	13.89791	9.74955	50.94313	6.31351	6.70519	0.08345	43.49330	9.53401	9.33521	6.54316	0.00000
10.56920	33.03699	7.66524	61.63476	-117.29198	1182.85926	9.96853	38.85871	8.35847	59.74282	11.82715	10.94013	0.09193	53.82313	9.35160	7.99207	7.62583	0.00000
9.22756	41.09246	5.48424	50.74067	45.36561	1070.45629	8.92843	19.96468	8.69292	55.40871	6.59107	9.83581	0.03673	76.60284	4.92478	8.54661	10.29419	0.00000
8.56656	-2.90055	10.47762	59.33680	-79.00453	1139.88365	6.51452	11.01189	5.08130	93.44593	8.00335	9.88074	0.80061	39.85298	11.10704	5.63554	9.29189	1.00000
7.00976	52.57583	8.44868	76.39080	6.61944	1164.14423	8.43633	26.45251	7.29384	52.74994	4.02908	6.48258	0.13232	27.19528	8.67266	7.69258	8.16712	1.00000
9.68860	3.3285	8.41156	58.27128	99.1625	1077.95356	4.96624	26.91853	5.72051	72.47839	8.47363	9.54598	0.15043	27.88730	10.87545	8.98072	8.10808	1.00000
6.71214	33.52253	9.55986	34.97649	-117.70755	1132.09634	7.75868	28.42378	7.22019	39.04330	9.51054	8.85795	0.34298	57.71394	8.56045	8.00285	7.49112	1.00000
8.89687	33.54428	4.38811	47.11916	-84.23381	1088.36967	12.14158	21.00575	8.58573	24.55712	6.32453	7.75487	0.04488	52.10589	7.89997	7.16001	7.46384	1.00000
6.06279	7.06273	8.55115	43.56787	-1.4001	1182.43536	7.91330	16.37288	10.99060	37.32152	6.51703	5.47794	0.13661	57.77358	7.92473	8.15887	7.53725	0.00000
6.21961	53.94313	8.98788	50.47980	10.30215	1192.97027	6.76631	20.06921	5.46683	52.05292	11.04084	8.47214	0.21067	48.28449	9.23895	8.23678	8.80596	1.00000
8.92301	45.53929	6.44861	45.69743	-122.38731	1166.61170	5.88242	10.91448	7.94209	55.57243	8.12050	8.95049	0.05758	42.28845	7.52843	8.88088	7.75816	1.00000
6.46172	41.72063	8.73825	44.54797	12.6723	1098.37248	6.97829	15.37211	8.41053	54.93338	9.84997	9.70734	0.16692	44.09083	7.88218	8.04464	8.30523	1.00000
8.64812	53.53333	7.29118	48.94692	-7.35	1141.60050	10.32838	-11.10665	9.35108	52.49559	7.31115	7.36486	0.08441	37.75088	7.68602	9.02826	7.63760	0.00000
6.20819	53.81667	7.65724	53.58240	-3.05	1088.40784	4.90652	31.11789	7.92043	60.52322	6.67978	8.02478	0.06694	48.67874	12.47003	8.02160	6.80112	0.00000
8.25088	15.73628	8.51420	40.13293	75.96976	1135.62074	5.53023	21.92015	4.16729	51.91099	9.59609	9.17497	0.14781	52.42985	11.26872	5.87434	7.82526	1.00000
8.69360	39.46667	9.11083	40.40597	141.95	1074.17072	6.42803	3.34486	4.56131	59.68794	7.93223	8.43158	0.24254	35.60390	10.22455	7.54439	7.21252	1.00000
7.39065	20.88197	7.16525	53.98863	85.83334	1135.71240	9.97122	17.19620	9.23552	57.49343	6.77873	5.54844	0.06125	38.29570	7.01882	6.88236	7.84512	1.00000
8.49373	40.72586	8.14176	56.86766	8.55552	1149.42655	7.01075	7.67848	11.12787	61.76979	4.91884	4.56341	0.10084	60.19497	8.06593	8.01133	7.87103	0.00000
8.03663	47.56494	10.47353	46.48572	31.33078	1126.33472	7.90832	14.15487	8.81468	57.83898	7.39514	9.64172	0.83165	24.26655	7.78879	6.54398	7.99468	1.00000
8.70970	-21.205	5.69615	53.50101	-41.88778	1088.33159	10.24591	17.72737	9.88149	36.18524	7.08544	7.23981	0.03785	38.58147	5.59060	8.82224	6.58595	1.00000
8.38447	17.34769	11.08717	71.77972	78.55757	1107.48099	6.88300	4.06014	7.46823	24.80716	7.24082	8.26346	1.46697	35.22090	7.76578	9.47086	7.55155	0.00000
7.56385	34.06635	9.48965	37.65383	-84.67837	1095.08444	8.86270	16.77269	7.94307	44.81682	5.86909	7.51693	0.33668	23.32976	4.66256	7.11527	8.17588	0.00000
8.24209	42.30865	8.02111	74.07435	-83.48216	1178.99784	8.69563	-1.45007	7.86466	38.82739	4.53689	7.62599	0.09623	8.86822	5.94413	9.39695	6.70477	1.00000
9.51278	40.94065	4.65417	52.86192	-73.99681	1143.02318	9.89542	25.69246	10.26603	63.49585	7.43184	7.72660	0.04022	59.81414	6.60445	9.48154	7.49111	1.00000
7.21556	-4.42472	7.87282	73.86707	-41.45861	1088.03403	7.74664	22.35445	9.46719	48.76992	6.75983	7.09105	0.10748	40.24438	4.68557	8.74010	8.40581	1.00000
7.31755	31.96258	8.73625	67.92628	73.97117	1054.23215	6.65387	11.12886	8.42108	45.58550	5.39359	6.81910	0.18665	48.61826	8.73877	7.49616	7.85152	0.00000
7.79973	13.73417	9.20283	37.09709	-89.71472	1114.55553	6.03439	21.45140	1.87931	60.96085	10.40119	7.59600	0.25561	68.82530	10.93398	7.42780	7.72387	1.00000
9.44166	55.82737	3.96125	54.87680	-4.0573	1166.25598	12.26574	10.16772	10.36842	55.52734	7.05099	7.63070	0.04117	49.91370	5.56511	6.27769	8.76357	1.00000
8.95692	36.21544	10.46674	49.52482	65.93249	1098.01017	9.09777	13.18145	6.10460	52.70344	10.96166	9.64811	0.81164	62.24818	8.23884	9.02500	7.53321	0.00000
9.78644	18.03496	8.78370	40.13196	-66.8499	1050.12413	7.84981	20.27222	8.28686	43.75502	9.60184	9.64546	0.17575	48.82599	7.36817	7.03075	7.71247	
7.42899	55.64776	8.04645	55.20962	38.02486	1087.90310	5.45394	18.35017	5.22626	53.77987	7.36098	8.47670	0.12054	59.91136	10.50486	6.91342	6.72407	1.00000
7.22412	-6.8	6.82561	36.33878	39.25	1105.77903	10.41692	14.63485	8.54067	54.51838	7.21723	6.83232	0.07013	29.36060	5.84290	8.79407	7.86321	1.00000
7.26769	48.25	6.56025	62.87040	16.4	1196.41555	10.33119	23.75903	7.73005	31.40203	7.92724	9.05686	0.05188	77.13778	7.97655	8.79231	10.12378	0.00000
7.09609	39.33427	6.72371	31.49380	-76.43941	1127.74047	9.61164	-7.54687	9.43357	46.65238	8.18125	6.04129	0.06593	36.02222	5.95443	8.08386	7.44027	1.00000
9.23504	42.4251	9.52614	45.84236	-71.06616	1079.39965	6.75054	8.28534	5.19630	68.12961	6.45701	8.22659		29.60331	10.50588	6.98971	7.00185	1.00000
7.22177	48.86667	7.81249	42.80214	2.08333	1120.71902	9.82446	20.82887	10.50912	57.35460	9.02864	6.89906	0.09443	66.77690	6.26011	9.26141	9.15060	0.00000
7.94908	36.76639	8.93338	75.69884	3.47717	1160.67743	5.77411	8.99040	7.21348	64.92191	6.45444	9.68777	0.19448	51.83554	10.25421	7.62416	8.39133	1.00000
7.96420	47.05	7.52254	54.82922	15.46667	1137.68347	11.27707	10.43438	10.35673	52.89723	8.45436	4.54926	0.08141	55.05443	2.74714	7.78854	7.95847	0.00000
9.27895	43.61062	9.19698	24.73353	-72.97261	1144.47582	7.31199	-0.36987	6.78684	21.20399	12.51433	10.67524	0.24695	39.31404	7.96524	6.82141	7.33168	1.00000
9.47517	9.15093	8.89532	48.49931	-79.62098	1094.80075	5.46629	19.57283	6.53281	24.68155	8.77936	8.55350	0.19054	45.07028	11.07666	8.83776	8.96432	1.00000
8.31879	6.95194	9.34436	36.46930	121.96361	1135.82248	8.10858	25.04969	8.61610	40.70709	7.77141	5.07462	0.28044	53.89376	5.92131	6.81616	6.75068	1.00000
7.74233	40.65995	9.92984	32.20518	-111.99633	1110.02050	5.99672	28.52528	7.89015	52.11440	8.22647	10.12081	0.50409	36.14723	10.64709	7.45552	9.24870	1.00000
7.21249	26.44931	7.57939	68.73124	91.61356	1126.91027	10.27382	19.87114	8.82226	31.07000	8.93278	9.34930	0.08222	84.14686	6.65455	8.65904	8.03382	0.00000
7.27556	43.96222	5.83730	65.63962	43.63417	1181.27803	10.32919	27.33400	7.80019	36.82712	8.78104	8.97927	0.04094	64.82713	4.91202	5.69658	6.57538	0.00000
6.80758	53.95278	7.99989	52.88741	32.86389	1168.94343	11.02743	-7.37377	8.46718	65.76554	7.17271	4.97350	0.09528	48.61206	6.35915	8.02649	8.99266	1.00000
7.55202	-17.83333	8.73025	50.67572	48.41667	1198.30256	5.23236	24.91230	8.03053	66.00528	7.65519	9.85766	0.17800	59.24206	9.64104	8.21001	8.26796	1.00000
7.49689	47.56494	10.30319	41.36396	31.33078	1062.79382	8.41287	19.47110	7.43923	29.28311	3.29249	5.48960	0.66681	39.63700	6.28615	7.32677	9.03814	1.00000
7.91829	53.46506	9.82175	50.59974	-1.47217	1137.02315	7.44110	8.48772	8.16803	53.33702	4.87760	5.93721	0.43783	55.38091	5.84237	8.60283	7.48956	1.00000
7.74335	51.82721	8.53307	47.76909	107.60627	1075.20383	5.89903	11.07603	8.90995	42.60201	7.23357	9.01772	0.14258	42.73007	8.85374	8.62921	9.85364	1.00000
5.86573	-34.88422	8.79811	35.91646	150.60036	1199.25443	7.04462	37.20085	11.01295	37.72479	4.99976	4.74442	0.19076	32.39575	7.88130	10.13912	7.79101	0.00000
6.98338	-33.59217	8.26249	51.00420	-70.6996	1193.76569	10.85140	18.51168	9.02327	43.13194	9.49830	7.67830	0.12419	51.37178	8.13517	8.61072	7.11623	0.00000
8.47478	44.85278	10.01685	52.99985	65.50917	1138.45878	6.69814	11.69549	5.44446	31.27566	8.51519	9.91587	0.52568	33.58281	10.60445	8.64233	6.33459	1.00000
7.89239	11.15583	8.06598	42.02923	42.7125	1182.22463	6.59189	11.55911	9.51129	32.70269	8.35438	9.28432	0.12155	51.74303	7.34183	6.11113	7.97862	1.00000
8.98197	-26.93366	8.41724	64.62952	29.24152	1178.94447	5.45346	25.82744	10.06998	48.03915	6.67501	5.39283	0.15360	45.32430	11.69292	8.66907	8.91109	0.00000
6.61368	39.08367	11.98308	51.78320	-84.50855	1166.32276	9.13120	-1.76942	7.06111	51.05922	8.31320	9.39307	3.52457	52.97374	8.65574	5.89988	8.47971	1.00000
	14.46693	6.99055	58.66400	75.92694	1117.29559	8.98294	15.17086	9.80011	52.31347	7.47090	7.01253	0.07359	67.05329	4.44094	8.93912	6.53933	1.00000
7.56905	-1.63333	9.70923	51.70056	13.58357	1107.21083	7.26326	-1.44580	6.86404	29.20854	11.68550	9.72254	0.40156	39.23902	7.89350	6.32477	9.74376	1.00000
