NH3	NOx	CO	warning	O3	PM2.5	PM10	latitude	PRES	CFCs	longitude	TEMP	PAHs	C2H3NO5	CH4	SO2	Pb	H2CO
5.82415	7.85595	5.97098	1.00000	6.75638	9.04093	5.39339	-19.65	1102.51677	37.05876	47.31667	7.11636	8.99938	0.07430	6.32791	8.45912	46.41832	54.72733
10.44572		7.16445	0.00000	7.58958	9.91340	5.78114	51.08468	1195.27261	46.05443	7.11393	9.60050	8.10701	0.14723	7.56119	8.75206	59.26008	51.05681
6.48773	9.14131	8.64194	0.00000	8.60782	8.79754	6.76859	-19.72806	1100.30193	61.79535	-50.19556	12.09276	6.53169	0.09901	9.39412	8.12372	42.60314	57.02525
9.79512	9.26509	6.84434	0.00000	8.82036	11.10580	5.51481	54.60528	1103.87820	46.02823	18.34717	1.03978	6.90159	0.14339	10.24442	8.04332	45.18031	52.58371
10.29239	10.92739	7.60632	0.00000	5.20981	9.68835	6.69035	47.83333	1194.38021	68.22317	59.6	10.26950	6.86266	0.11582	7.50237	10.92402	49.79838	45.59604
4.59669	5.47160	5.25205	0.00000	6.65698	5.81554	8.70196	35.8	1076.84383	61.62438	137.23333	11.92376	6.14986	0.47617	5.76274	7.40069	60.13540	26.69430
8.35114	6.68054	8.11439	0.00000	7.32139	7.09103	5.45175	26.11527	1129.19721	31.76439	86.59509	34.92191	7.78770	0.10007	9.20652	8.17851	49.11937	60.15636
7.78318	8.91391	6.06280	0.00000	8.22685	9.72835	6.75083	50.26729	1180.66964	39.45769	-119.27337	-0.76208	8.35048	0.18467	7.59244	9.07226	65.57656	42.40088
4.93948	5.96040	8.04398	1.00000	8.46334	8.53466	7.50165	-7.0981	1135.10692	51.31123	109.3243	14.84534	6.43431	0.26939	9.42274	9.22597	52.17974	52.46308
6.91717	9.16676	8.56388	1.00000	9.24771	9.01735	9.17252	41.27621	1127.03192	46.54011	-72.86843	13.77160	8.81346	0.70130	5.61107	8.46867	63.23408	47.42721
2.83074	6.08785	7.26378	1.00000	9.54298	9.75914	7.05691	50.82709	1196.20748	66.15415	6.9747	36.19760	6.77551	0.16271	8.42726	8.64371	33.16626	44.83242
5.09985	8.44117	7.43949	1.00000	7.28828	6.45623	8.41611	8.48714	1092.05301	38.52857	-13.2356	5.72325	7.39909	0.39627	8.37872	13.65299	62.71341	22.17836
6.67720	10.19563	8.95833	0.00000	7.51495	8.17484	6.64353	53.95278	1193.11545	62.34827	32.86389	24.49692	7.26626	0.16577	7.89683	8.61593	58.22511	31.65884
7.84485	9.34188	7.64766	0.00000	7.11624	8.52678	6.82222	33.93113	1107.79076	48.41208	-117.54866	18.45732	6.72627	0.18045	9.03072	8.52682	70.34461	39.44887
6.55660	10.46365	7.75206	1.00000	7.52329	8.58884	6.52370	-31.95224	1114.99130	39.84215	115.8614	19.41691	7.44528	0.16325	5.02715	7.59998	74.19738	56.61702
4.70451	9.63849	7.36440	1.00000	7.37245	9.86633	7.78692	48.78232	1098.39858	52.50324	9.17702	14.40160	6.60229	0.23974	7.00579	7.84044	61.74020	49.47193
10.09583	5.48611	6.95179	1.00000	8.32741	3.32802	7.70678	36.08497	1131.28960	41.89407	9.37082	10.25578	8.58799	0.21854	9.17924	7.58788	43.15626	29.85242
8.88293	9.39986	7.06321	1.00000	8.16639	4.67269	1.65700	52.68333	1066.63762	66.06338	0.93333	22.69385	8.64926	0.07246	3.64257	10.78519	43.18188	49.70817
4.49802	11.09359	5.83431	0.00000	5.31782	9.64089	6.97118	13.70727	1065.01861	36.93083	9.15013	18.45772	7.19862	0.22167	6.22712	7.53081	57.07626	61.02505
7.06607	9.20250	5.42744	1.00000	6.57496	8.99434	4.60939	40.55851	1064.04696	69.56998	17.80774	24.18992	6.26424	0.12095	4.49831	6.45471	73.80234	63.36802
4.98440	7.25384	6.03803	0.00000	5.91622	6.15539	8.63541	4.96667	1078.73982	42.44893	10.7	2.87775	7.40984	0.48614	5.44922	5.35848	61.28429	47.89591
7.65107	6.69283	6.17946	1.00000	6.48208	6.97368	4.95631	30.16688	1077.91881	47.25250	-96.39774	21.20156	7.08618	0.16617	8.00245	7.37350	93.83638	56.84923
7.95132	5.63918	7.42694	1.00000	7.74555	6.74638	3.95917	51.19139	1139.10327	38.00150	6.51352	17.47961	7.67165	0.07962	8.64782	9.06324	77.19057	12.83836
3.29531	6.25226	8.53154	0.00000	6.56474	5.36134	7.88303	41.16704	1135.34721	67.28894	-73.20483	1.26578	6.08233	0.26140	4.99686	7.30881	58.01826	36.32974
6.98258	7.72537	6.45052	0.00000	7.60317	7.16793	10.17818	31.28092	1122.56231	75.17066	74.85849	19.05339	6.75651	1.79703	7.67445	4.25451	67.10538	42.28916
8.08085	7.52551	7.49337	1.00000	7.58166	8.12463	7.96428	37.65639	1160.51275	45.36498	126.835	3.07823	7.46742	0.32006	5.03083	8.32692	75.89136	56.75771
5.27541	8.09438	5.27496	1.00000	9.60656	8.91345	6.83690	30.81383	1110.71210	75.13879	75.16878	25.95963	6.68956	0.11897	7.53483	9.68222	45.90620	25.48860
5.56838	5.86086	8.07954	0.00000	8.93998	6.49363	8.66133	44.22639	1161.12476	47.21878	22.53083	17.27070	6.40460	0.46626	6.47284	6.35050	44.76475	51.62162
4.17711	7.27020	5.80019	1.00000	7.63268	10.66958	6.90092	41.09822	1087.36178	37.06279	120.74792	9.02575	7.96172	0.16052	7.17611	7.82267	59.81548	44.92126
8.57018	5.96467	7.87225	1.00000	5.51408	5.60251	8.18277	48.25	1157.63059	51.34756	16.4	-2.73598	6.30642	0.34863	9.54500	8.77501	33.37749	44.80640
4.29598	7.40712	7.03115	0.00000	7.34762	4.81762	7.90297	47.76232	1160.51970	52.77428	-122.2054	12.02079	7.51382	0.25129	6.61761	5.35852	76.34795	24.34392
5.22198	10.87193	7.02068	1.00000	6.86415	7.53811	6.71486	37.52487	1055.28149	42.15761	-77.55777	12.62767	8.01596	0.14962	7.72426	10.25187	61.36624	32.96852
6.45797	8.09279	7.30778	1.00000	9.15477	9.61576	6.66579	43.54072	1103.77454	58.19980	-116.56346	4.10752	7.44789	0.14502	5.62535	7.44260	57.73779	45.56312
6.75695	6.14783	7.06091	1.00000	7.33258	8.96086	6.73886	54.03876	1098.17257	64.90581	43.91385	7.26450	8.22338	0.17862	5.47558	8.62964	75.04345	53.17825
10.84038	7.92411	9.73841	0.00000	8.85349	10.43651	4.87203	-21.205	1157.58762	39.51125	-41.88778	7.26620	8.13482	0.11310	11.56400	7.35855	56.95908	46.18074
8.04131	9.55884	8.03797	1.00000	7.13251	8.08338	8.07319	58.63667	1181.78313	29.99712	59.80222	-2.41598	7.90150	0.27711	4.15791	8.61718	42.64487	51.87612
11.90429	6.67203	8.15034	1.00000	6.50716	5.28496	5.45729	39.46667	1178.56148	54.83540	141.95	10.20737	8.11434	0.10875	8.00607	9.93398	42.32325	39.58409
12.10773	7.30942	6.91209	1.00000	6.59050	4.52758	7.15480	-8.73508	1083.66671	64.24849	24.99798	14.60594	7.88070	0.14932	6.57748	8.73394	66.64070	20.14400
6.06919	11.29260	8.80175	1.00000	6.59669	8.23783	4.69928	43.32393	1134.49447	38.95197	5.4584	27.08330	8.06666	0.06901	6.60186	7.62167	46.04832	45.28342
9.01844	6.89074	8.02538	1.00000	7.16702	5.89259	7.00559	22.75218	1050.34359	46.16734	72.68533	9.19558	8.25625	0.17496	7.59066	7.75084	51.94475	48.74162
10.05293	8.44750	6.50501	0.00000	7.27932	7.21110	6.28464	32.17629	1096.26518	72.24341	75.06583	18.27870	7.31043	0.12438	5.75878	10.42020	65.27911	38.98982
5.45960	10.17867	8.23032	1.00000	6.87699	8.91535	7.14386	60.97944	1051.61616	46.85509	76.92421	17.41906	8.66066	0.19794	6.14977	7.98813	51.72042	37.63061
9.88276	5.79463	5.53988	0.00000	6.88031	4.04364	6.33780	21.53889	1071.64260	49.78127	71.57737	-1.79842	9.38958	0.11453	7.48189	7.64129	62.34211	18.69269
7.28450	4.99413	7.30427	0.00000	7.17867	6.69068	8.47077	43.82634	1067.56150	46.22701	144.09638	15.76824	7.24011	0.38696	6.17008	6.26084	65.88700	41.59977
6.37194	7.69723	7.37465	1.00000	7.43338	8.43499	5.97073	-4.26613	1092.07961	40.03546	15.28318	5.24014	7.91575	0.20964	5.45099	8.91205	77.87852	42.98943
5.87739	8.33246	6.68271	1.00000	6.03845	9.06760	6.89646	40.64621	1101.13407	58.84802	-73.97069	4.69892	6.40791	0.19681	5.79851	8.96296	67.38854	46.56113
7.70921	8.34365	7.88165	1.00000	7.63461	9.29577	7.12468	36.20389	1157.71029	72.12020	127.08472	30.73370	8.41089	0.14093	4.78231	7.50938	60.89791	31.31785
7.83063	5.15911	7.47489	1.00000	7.82260	5.12827	6.97776	40.78206	1086.70479	59.01415	72.34424	32.00372	6.38566	0.16095	9.96238	7.90491	60.36352	66.19897
5.98698	10.06270	6.44889	1.00000	7.26861	8.32338	5.74335	-10.91722	1061.57922	60.84113	-37.65	17.80039	5.23388	0.13304	4.71246	8.32735	71.69041	32.80909
4.02819	8.81418	6.73795	1.00000	8.52209	9.57285	5.61723	51.19139	1178.97818	39.83355	6.51352	22.57571	6.76701	0.08950	7.32046	8.22978	72.64088	57.29836
4.51723	8.93028	8.39176	1.00000	4.87625	10.53507	5.81802	35.06544	1119.15802	55.26803	1.04945	13.47479	8.07776	0.11122	6.52586	6.84264	58.63181	41.46694
10.04096	5.16980	6.67928	1.00000	6.20212	5.22221	6.12209	-6.8048	1072.55300	59.36097	110.8405	19.14230	7.42867	0.11157	8.49982	11.36239	54.14591	54.93518
6.11234	4.34770	6.85239	1.00000	6.53606	5.27342	4.12365	51.24197	1064.53350	34.59686	4.82313	6.15876	5.51276	0.08711	11.54036	5.50512	57.24756	51.24467
8.34422	5.45074	4.69493	1.00000	5.50331	6.63827	5.18685	43.86682	1051.05276	48.62687	-79.2663	15.18289	8.84680	0.12736	8.72306	10.21414	64.46399	49.65042
4.19170	6.33742	7.29713	0.00000	7.51767	5.56405	8.75149	-12.91667	1125.79403	39.03739	-39.25	-2.15369	9.05309	0.48735	4.83481	6.90808	52.32486	49.90831
6.17799	8.54760	7.13032	0.00000	6.51393	8.93922	6.54364	27.0174	1163.85172	55.74932	49.62251	29.99468	5.76528	0.12771	4.81439	7.42145	48.45176	45.50938
7.57905	6.29774	8.94547	1.00000	8.37111	8.11765	6.15532	38.58894	1195.20751	56.95558	-89.99038	7.20991	7.00698	0.15147	8.96533	10.52326	53.86867	34.84905
6.70654	5.56531	9.39157	0.00000	7.25360	7.55167	9.78013	55.8736	1128.75505	56.10724	85.4265	27.87895	5.90783	1.15227	7.01715	6.38847	65.40230	34.11986
9.53935	5.88634	8.44922	1.00000	6.23563	4.26853	7.24151	22.19303	1108.07695	42.80601	88.18466	16.38988	6.09104	0.18824	10.31887	7.35324	50.88987	56.35424
6.75714	7.66504	7.44936	0.00000	7.01827	5.66888	9.13551	-7.76667	1106.20051	84.00770	35.7	21.17309	7.93658	0.68061	6.98884	4.20557	42.65959	36.52914
8.92843	4.75569	8.41368	1.00000	7.86541	3.44165	9.57549	31.78336	1096.71510	77.31444	35.23388	40.94239	7.49734	0.97817	8.09935	9.39804	66.65966	55.34855
6.92816	4.97483	8.52506	0.00000	6.80203	7.16546	9.17936	46.65581	1137.73160	56.84476	32.6178	8.72837	7.93148	0.69385	6.71210	6.75241	47.38213	59.91542
11.33308	5.61818	8.39774	0.00000	7.63174	3.70814	7.32520	42	1062.77374	41.07187	21.32778	7.30259	6.72216	0.18275	7.62947	10.02486	49.47212	48.66117
6.87317	10.24628	8.41856	0.00000	8.54613	8.88344	6.19149	34.25628	1185.43251	83.17771	-78.04471	19.86366	7.56938	0.07381	10.12959	7.90690	61.08441	64.02716
6.41157	3.95039	6.46971	0.00000	5.64234	8.70056	9.62864	58.23583	1188.60890	44.42408	92.48278	34.99594	6.24160	1.03461	6.59051	8.12535	35.36471	52.03369
6.24208	5.06102	7.28236	1.00000	7.37731	7.25911	4.33384	3.3285	1121.80606	55.68452	99.1625	39.08589	7.85424	0.09645	11.41555	8.58217	55.01432	27.73265
6.84286	10.03528	7.82469	1.00000	7.90387	7.22775	5.82501	6.84019	1174.97351	46.51611	79.87116	22.60246	7.91273	0.10040	5.47945	9.50298	39.59918	33.11103
10.39767	5.57521	5.14594	1.00000	7.00079	4.73711	4.15416	53.95278	1134.87686	60.74700	32.86389	26.10048	9.07295	0.12599	10.01967	7.69556	68.40356	31.25196
4.70796	5.86941	8.58448	0.00000	6.70921	4.47944	6.04796	14.93333	1156.04198	44.37044	-91.11667	17.95272	8.04552	0.17464	4.76621	6.00741	56.79258	65.39245
8.93976	7.37630	5.64022	1.00000	8.37577	7.32876	5.74305	41.14676	1135.19280	46.65540	-73.49484	18.36529	8.26877	0.11465	9.13216	7.46292	51.71016	39.10875
5.78633	3.29405	9.14481	0.00000	8.46288	7.01065	6.89588	36.33011	1196.06167	34.82303	138.89585	37.40625	7.56074	0.13911	6.34983	8.00339	64.01531	45.64086
10.18414	7.83991	7.56533	0.00000	7.44190	6.18592	5.75530	55.67938	1169.67034	43.60780	12.53463	8.23717	7.10048	0.14774	8.42655	8.40129	40.14135	51.10311
8.93993	6.29895	8.88733	1.00000	7.37532	5.63609	7.23646	12.25282	1124.12121	41.62149	79.41727	14.07433	7.63290	0.16801	8.09289	8.77922	62.21654	43.55796
8.57435	4.21884	5.74233	1.00000	7.33464	4.97689	6.53397	-4.24444	1180.85665	45.94226	-42.29444	29.75639	7.31857	0.13762	10.11355	11.19010	66.28084	46.50850
10.83757	8.30092	6.67761	0.00000	5.87688	8.28067	5.36801	36.21544	1109.38916	45.84183	65.93249	11.59018	7.76693	0.06936	8.43486	9.14743	45.81957	41.61679
6.49197	7.95447	6.73826	1.00000	8.22986	6.52564	4.99865	50.26729	1172.55993	50.82087	-119.27337	22.89150	7.09601	0.11651	5.87392	11.32026	59.15599	38.05931
4.58690	6.69049	5.63004	0.00000	7.25592	6.29547	9.85162	45.35	1166.70343	63.30910	126.28333	26.38848	7.75027	1.30797	5.12888	6.69578	74.16320	44.82926
6.80689	8.42649	7.82958	1.00000	6.83673	9.77578	5.68890	47.4943	1124.88357	45.40329	-122.24092	32.58934	7.69307	0.14314	5.73196	6.26812	36.80157	31.04400
8.52452	5.97968	8.39852	1.00000	6.15716	5.76256	7.00178	0.49113	1082.45180	48.50185	29.47306	6.41151	8.35214	0.16988	7.36572	8.94474	59.74791	32.04112
7.82770	6.80841	9.33014	1.00000	7.51854	8.11461	6.35838	47.46657	1160.30192	37.13209	84.87144	9.02335	6.99364	0.17614	5.53298	9.05155	64.12417	48.40451
4.75561	10.40966	7.91469	1.00000	7.64207	9.47490	9.56646	11.00599	1085.92441	81.34603	77.5609	25.75583	7.39654	0.98923	7.34329	8.76857	50.18156	51.26065
6.03104	5.69734	6.69039	0.00000	8.40776	7.09363	10.14642	51.08468	1136.51819	52.21734	7.11393	4.18778	5.75413	1.72614	6.27099	7.12612	23.78925	48.93803
7.91278	8.12288	7.25183	0.00000	7.49239	8.86593	6.05984	50.23805	1086.81896	47.08341	8.86704	10.34247	7.34489	0.13793	9.24566	8.40634	65.88539	33.27170
6.45697	6.83734	8.16805	1.00000	8.19248	10.21095	10.54083	-14.66463	1097.43994	30.48390	-52.35558	1.11663	6.96242	2.45104	5.89103	8.32440	51.93853	43.75444
8.10266	5.17609	6.69366	1.00000	6.83405	6.10045	4.95480	33.86419	1067.43818	66.67057	48.26258	26.34756	6.60749	0.16926	6.87697	10.59494	53.88317	32.91525
6.90629	5.69454	7.16019	1.00000	6.56124	5.40692	7.96564	-21.41222	1094.96490	74.89368	-42.19667	2.91564	7.49214	0.26081	8.41480	6.79777	57.44509	38.00196
7.59189	7.99468	6.75505	0.00000	8.15634	5.75215	10.81069	51.04962	1084.56090	34.01502	12.1369	12.09127	7.80437	3.15624	7.54172		57.62992	47.90234
5.90294	6.72711	8.85472	1.00000	7.67810	8.93216	7.52492	2.41669	1114.13406	60.09672	30.98551	6.61720	8.27201	0.26663	6.42118	9.53117	46.86207	37.65199
8.14550	6.18053	9.24603	1.00000	7.47925	6.43138	8.64907	40.92298	1061.52699	63.43464	14.30935	5.77529	6.18861	0.46878	8.81686	9.70247	44.22712	47.25911
10.26288	9.19985	8.02894	0.00000	7.57518	8.86889	5.39061	30.35028	1123.96069	54.30168	112.19028	20.46664	5.78136	0.07835	7.43075	9.95223	55.20117	55.22347
9.64916	5.55779	10.08677	1.00000	7.25662	4.83788	5.10015	48.90472	1093.48953	52.29824	2.2469	11.00969	6.41773	0.13483	8.67284	7.74762	79.16070	61.72914
6.73346	5.99856	6.20653	0.00000	7.25708	6.61243	9.66172	40.63316	1064.29669	69.20712	-74.13653	11.83909	6.88127	1.07960	6.07497	6.00806	46.86185	29.01632
6.71114	8.17519	6.42679	1.00000	6.76282	8.86157	5.74994	8.35122	1148.03548	61.35360	-62.64102	9.25376	7.07504	0.09829	4.85176	8.53411	66.98511	61.95817
9.47478	7.08382	7.08235	1.00000	7.72338	7.14909	6.63822	-15.21194	1070.00023	44.02315	-75.11028	13.97819	6.42332	0.13775	9.35402	9.16415	51.76326	29.93541
10.33222	5.91918	9.10979	1.00000	6.50977	5.70330	4.67344	32.17629	1186.57176	32.75003	75.06583	7.32311	6.75286	0.07178	9.09122	9.53751	46.21225	64.16771
11.04314	8.22217	6.17154	0.00000	7.50062	8.60354	5.21864	53.46506	1126.96225	68.84873	-1.47217	7.17061	7.64122	0.05106	10.12742	8.80989	69.52820	54.03735
10.79524	6.39752	7.45048	1.00000	7.20135	4.70969	4.65830	54.90083	1151.24764	45.63070	38.07083	21.95422	7.11331	0.08275	7.40458	7.41973	48.98918	36.53240
6.78217	4.15486	6.91129	0.00000	7.33073	7.25816	8.21719	32.50611	1094.23054	55.46169	120.14278	2.64901	6.50485	0.33665	6.57998	7.01479	75.72322	57.34397
9.65711	5.12032	6.91006	1.00000	8.18917	5.55496	3.07592	33.86419	1167.03309	35.26700	48.26258	18.15676	7.45232	0.10241	9.57149	9.54491	72.28138	30.61425
9.10143	7.84399	6.91295	0.00000	9.82904	9.95944	6.45549	31.12406	1158.62543	45.50346	-97.90308	9.43561	7.54355	0.19388	7.88244	8.76931	65.93630	44.84808
10.08685	7.32897	8.49074	0.00000	8.58374	8.35421	5.06065	30.16688	1114.17139	61.95422	-96.39774	14.72690	8.29872	0.11199	9.25554	7.97744	23.38438	55.68693
8.14076	9.32985	6.94501	1.00000	6.76447	8.62244	6.95459	12.97389	1093.70020	43.50650	123.99333	6.24873	7.16530	0.16916	5.22721	6.90588	61.84101	24.63203
6.84001	5.79190	7.26018	0.00000	7.88642	5.96885	7.91327	56.11281	1172.46093	54.12398	69.49015	27.26676	6.96318	0.27762	6.65734	5.45672	59.44561	31.53363
7.68507	5.38162	7.89645	0.00000	8.68810	8.90612	6.23868	33.78333	1064.36002	67.82498	114.51667	33.48317	6.79428	0.12574	9.88018	6.80442	58.19680	38.69123
5.84250	11.55128	6.23835	1.00000	6.55213	7.67512	7.17283	40.56754	1164.66522	65.77704	-89.64066	15.75386	7.14580	0.20279	6.35151	9.30254	55.24748	52.65050
6.66731	5.97330	6.94641	1.00000	7.09800	7.48074	6.32938	52.68333	1163.89604	34.66278	0.93333	-0.41345	7.85371	0.17936	7.57756	9.62530	49.58420	33.39724
5.47309	9.61335	5.03751	1.00000	6.82412	8.69681	8.59034	14.95472	1062.27106	59.65735	120.89694	7.89010	5.95267	0.46680	7.86358	9.67066	50.47392	45.82798
6.54974	6.75100	7.77823	1.00000	8.00678	6.71668	4.71414	59.80917	1055.67910	67.50311	30.38167	16.45343	5.97141	0.08689	5.21298	11.06598	57.67633	47.75479
6.23571	5.00363	6.85590	0.00000	7.30086	5.49020	7.51796	33.72255	1183.75315	45.22717	-116.37697	8.66903	7.54776	0.24069	5.24480	6.74798	49.92722	25.12533
5.79460	4.37322	6.61376	0.00000	7.44686	5.49741	7.64643	34.15429	1131.68652	52.16422	3.50309	20.47517	8.35299	0.25322	5.71660	7.58313	55.61231	44.80056
5.72426	7.60347	9.10568	1.00000	5.60132	8.03693	4.71924	42.4251	1078.06078	38.09795	-71.06616	8.02260	7.98361	0.14645	6.06336	10.31638	66.81718	73.69768
3.12199	10.11277	4.71058	1.00000	7.19152	10.64124		32.17629	1148.88947	42.27394	75.06583	16.12355	7.31799	0.28581	7.05018	7.81047	51.00923	47.97877
