latitude	revision	station	code	QoS	longitude
42.16808	01/19/2013, 00:00:00	Huntley	US	good	-88.42814
-7.60361	2021-11-04	Kidodi	TZ	excellent	37.00438
18.20854	2019/02/09	Santa Cruz de Barahona	DO	accep	-71.10077
6.46346	2013/05/06	Bibiani	GH	accep	-2.31938
-21.98333	04/03/2021, 00:00:00	Okahandja	NA	good	16.91667
3.51667	2013-06-05	Mbalmayo	CM	accep	11.5
53.38333	07 Sep 2015	Gainsborough	GB	good	-0.76667
30.46907	2018-10-08	Kot Addu	PK	good	70.96699
19.04222	03 Jan 2019	Casa Blanca	MX	maintenance	-98.11889
33.92946	17 Apr 2022	Beaumont	US	accep	-116.97725
14.53767	07/03/2021, 00:00:00	Ataq	YE	average	46.83187
12.74409	2017-01-17	Kati	ML	good	-8.07257
-54.8	2013/08/02	Ushuaia	AR	average	-68.3
14.0823	05/12/2014, 00:00:00	Dawei	MM	maintenance	98.19151
45.44868	19 Dec 2019	Pointe-Claire	CA	good	-73.81669
-21.44236	2020-10-13	Tonota	BW	average	27.46153
10.98778	06/15/2018, 00:00:00	Puerto Colombia	CO	accep	-74.95472
38.72706	2017-01-19	Carnaxide	PT	excellent	-9.24671
36.24624	12 Feb 2015	Fujioka	JP	excellent	139.07204
6.95194	2016/04/09	Recodo	PH	excellent	121.96361
40.42386	17 Feb 2020	San Fernando de Henares	ES	average	-3.53261
15.73628	06/24/2018, 00:00:00	Gajendragarh	IN	average	75.96976
53.95278	01/02/2020, 00:00:00	Roslavl’	RU	accep	32.86389
41.55838	2020-10-22	Collinwood	US	accep	-81.56929
-19.65	26 Jun 2022	Antanifotsy	MG	average	47.31667
45.40008	30 Jan 2013	Sainte-Catherine	CA	accep	-73.58248
43.86682	12 Sep 2019	Markham	CA	excellent	-79.2663
51.04962	2018-08-05	Zeitz	DE	excellent	12.1369
48.98994	2019/07/29	Herblay	FR	good	2.1699
31.28092	2020-01-14	Patti	IN	building	74.85849
10.20898	12/11/2017, 00:00:00	Naga	PH	average	123.758
53.53333	2022/03/26	An Muileann gCearr	IE	maintenance	-7.35
39.09112	09/30/2018, 00:00:00	Independence	US	excellent	-94.41551
42.52787	2022/07/28	Peabody	US	average	-70.92866
8.79577	09/28/2016, 00:00:00	San Carlos	CO	maintenance	-75.69947
-31.95224	29 Jul 2019	Perth	AU	accep	115.8614
35.88264	2013/11/28	Thomasville	US	building	-80.08199
53.16167	2021/04/24	Hoogezand	NL	average	6.76111
45.51667	2013-09-02	Vienne	FR	accep	4.86667
36.08497	2021/05/17	Siliana	TN	accep	9.37082
40.78206	2012-10-01	Andijon	UZ	maintenance	72.34424
50.18545	09/11/2019, 00:00:00	Shepetivka	UA	excellent	27.06365
45.49428	05 Apr 2019	Aloha	US	excellent	-122.86705
30.75545	2016/05/10	Ajdabiya	LY	excellent	20.22625
45.50369	2018/07/13	Montecchio Maggiore-Alte Ceccato	IT	excellent	11.412
57.30185	2018/03/01	Gavrilov-Yam	RU	maitennce	39.85331
18.18158	2018-12-21	Osmanabad	IN	good	76.03889
40.5576	06/23/2021, 00:00:00	Woodbridge	US	building	-74.28459
46.32374	2020/01/08	Sunnyside	US	excellent	-120.00865
45.39402	09/17/2014, 00:00:00	San Giuliano Milanese	IT	accep	9.29109
27.52948	2019/05/01	Khairpur Mir’s	PK	good	68.75915
41.55838	18 Oct 2021	Collinwood	US	accep	-81.56929
64.5635	2020/04/16	Severodvinsk	RU	maintenance	39.8302
21.01858	22 Oct 2013	Guanajuato	MX	average	-101.2591
-8.05389	21 Aug 2021	Recife	BR	accep	-34.88111
10.7375	01 Mar 2020	Talisay	PH	average	122.9666
43.96222	2014/01/21	Novopavlovsk	RU	good	43.63417
40.65538	04/25/2021, 00:00:00	Scotch Plains	US	good	-74.38987
33.50921	2017/04/14	Scottsdale	US	average	-111.89903
55.38752	10/25/2015, 00:00:00	Naro-Fominsk	RU	maintenance	36.73307
52.21099	01/05/2014, 00:00:00	Gronau	DE	excellent	7.02238
36.06386	03 Nov 2013	El Achir	DZ	good	4.62744
46.51872	2019-06-25	Hoxtolgay	CN	excellent	86.00214
21.53889	17 Jan 2015	Gariadhar	IN	accep	71.57737
-23.85972	08/17/2022, 00:00:00	Maxixe	MZ	average	35.34722
41.77583	15 Mar 2014	Hakodate	JP	average	140.73667
49.68369	13 Dec 2021	Bensheim	DE	building	8.61839
41.84364	22 Nov 2015	South Lawndale	US	good	-87.71255
48.06919	2016-02-15	Gauting	DE	building	11.37703
34.09668	2021/08/03	Claremont	US	average	-117.71978
41.66394	2017/01/20	Toledo	US	accep	-83.55521
-21.98333	2020/11/15	Okahandja	NA	good	16.91667
51.19139	10 Mar 2013	Korschenbroich	DE	building	6.51352
-17.73648	08/19/2017, 00:00:00	Port-Vila	VU	excellent	168.31366
56.56317	10/25/2018, 00:00:00	Arbroath	GB	building	-2.58736
-10.91722	2021-07-01	Lagarto	BR	accep	-37.65
-22.97056	2012-12-27	Valinhos	BR	good	-46.99583
58.23583	08/19/2014, 00:00:00	Lesosibirsk	RU	building	92.48278
40.65995	10/01/2017, 00:00:00	Kearns	US	average	-111.99633
53.16167	16 Mar 2021	Hoogezand	NL	acceptable	6.76111
41.66394	2017/03/03	Toledo	US	maintenance	-83.55521
57.14369	04/12/2013, 00:00:00	Aberdeen	GB	good	-2.09814
41.8542	2015/12/10	Lower West Side	US	accep	-87.66561
-5.41667	2020/12/05	Chanika	TZ	maintenance	38.01667
45.73333	04 Oct 2014	Bron	FR	accep	4.91667
54.90083	21 Jan 2019	Stupino	RU	maintenance	38.07083
41.1053	2019-08-02	Custoias	PT	building	-7.32097
52.4581	04 Oct 2021	Dahlem	DE	good	13.28702
42	11/11/2019, 00:00:00	Saraj	MK	good	21.32778
8.62261	07 Apr 2020	Barinas	VE	good	-70.20749
41.57721	28 Aug 2022	West Des Moines	US	maintenance	-93.71133
53.77166	2018-03-09	Bogoroditsk	RU	average	38.12408
42.64685	12/29/2017, 00:00:00	Villaquilambre	ES	acceptable	-5.55835
-1.6	25 Nov 2014	Jambi City	ID	average	103.61667
41.27194	03 Feb 2014	Liaoyang	CN	accep	123.17306
-14.66463	09/07/2015, 00:00:00	Nova Xavantina	BR	average	-52.35558
31.12406	2022-05-03	Copperas Cove	US	average	-97.90308
36.27462	2022-02-21	Bordj Zemoura	DZ	accep	4.85668
36.33011	09 Nov 2021	Annaka	JP	excellent	138.89585
-10.91722	08/14/2014, 00:00:00	Lagarto	BR	accep	-37.65
29.38242	15 Jun 2020	Alipur	PK	average	70.91106
42.58342	09 Oct 2016	Fitchburg	US	accep	-71.8023
0.49113	2015-01-16	Beni	CD	average	29.47306
54.39635	2022/06/01	Alytus	LT	acceptable	24.04142
48.8449	22 Nov 2020	Skalica	SK	average	17.22635
40.65995	2016-10-13	Kearns	US	average	-111.99633
38.17492	04/03/2019, 00:00:00	American Canyon	US	good	-122.2608
33.93113	2021-04-25	Norco	US	average	-117.54866
7.50251	2015/01/04	Igbara-Odo	NG	building	5.06258
14.64056	10 Jul 2017	Kantharalak	TH	good	104.64992
-32.45242	02 Dec 2017	La Ligua	CL	good	-71.23106
51.04962	2016/11/04	Zeitz	DE	building	12.1369
39.46667	2019/08/14	Yamada	JP	good	141.95
46.08333	01/18/2021, 00:00:00	Ulanhot	CN	building	122.08333
13.70167	2015-08-18	Ilopango	SV	accep	-89.10944
-8.73508	04/18/2014, 00:00:00	Kamina	CD	excellent	24.99798
28.98002	10/27/2012, 00:00:00	Meerut	IN	accep	77.70636
46.08333	2020-01-07	Ulanhot	CN	maintenance	122.08333
51.40148	2013-08-26	Newbury	GB	average	-1.32471
54.90083	2014-05-05	Stupino	RU	maintenance	38.07083
55.39485	2015/10/25	Arzamas	RU	average	43.83992
48.98693	11/11/2014, 00:00:00	Gonesse	FR	building	2.44892
46.23899	2019-10-01	Charlottetown	CA	accep	-63.13414
34.56861	02/18/2021, 00:00:00	Beidao	CN	good	105.89333
0.76755	20 Jun 2020	Yangambi	CD	average	24.43973
58.63667	2014/08/10	Lesnoy	RU	excellent	59.80222
15.73628	2019-11-21	Gajendragarh	IN	average	75.96976
9.91861	11/05/2018, 00:00:00	Tinaquillo	VE	building	-68.30472
13.8196	2014/05/24	Nakhon Pathom	TH	average	100.04427
40.70995	2022-07-21	Amposta	ES	accep	0.57856
39.57582	2018-07-27	Ken Caryl	US	excellent	-105.11221
32.9156	06/30/2015, 00:00:00	Mira Mesa	US	average	-117.14392
27.9247	22 Nov 2018	Chharra	IN	accep	78.40102
47.83333	2019-12-04	Shalqar	KZ	average	59.6
4.73245	07/12/2022, 00:00:00	Madrid	CO	average	-74.26419
14.93333	02 Oct 2016	Chichicastenango	GT	good	-91.11667
7.62789	2014-07-10	Ilesa	NG	average	4.74161
50.26729	2017-08-18	Vernon	CA	excellent	-119.27337
28.98002	2018-03-18	Meerut	IN	excellent	77.70636
15.48131	2020/03/12	Olanchito	HN	average	-86.57415
55.39485	22 Oct 2020	Arzamas	RU	building	43.83992
44.75874	07/17/2013, 00:00:00	Bijeljina	BA	accep	19.21437
13.51825	2016-03-26	Damnoen Saduak	TH	excellent	99.95469
50.8	2016/12/19	Wevelgem	BE	average	3.16667
40.11583	2016-04-21	Jizzax	UZ	excellent	67.84222
46.75451	2014-05-29	Nova Kakhovka	UA	maintenance	33.34864
35.815	2013/11/12	Shimotoda	JP	building	139.6853
10.31672	2014-03-15	Cebu City	PH	accep	123.89071
34.4833	2015/01/27	Toba	JP	excellent	136.84186
37.95143	2016/01/23	Rolla	US	excellent	-91.77127
30.35028	13 Oct 2013	Jingzhou	CN	maintenance	112.19028
48.15659	2013/06/07	Soroca	MD	excellent	28.28489
23.5654	2022-01-04	Magong	TW	accep	119.58627
48.46458	18 Aug 2016	Pfullingen	DE	building	9.22796
50.50301	03 Sep 2018	Most	CZ	accep	13.63617
2.41669	2015/07/18	Paidha	UG	good	30.98551
41.82143	2021-02-21	Kobuleti	GE	good	41.77921
48.73218	11/25/2014, 00:00:00	Neuburg an der Donau	DE	good	11.18709
56.11281	07 May 2014	Ishim	RU	excellent	69.49015
-10.95817	07/22/2018, 00:00:00	Tucano	BR	maintenance	-38.79084
41.0051	2020-07-21	Scarsdale	US	accep	-73.78458
11.50526	2016/09/24	Sathyamangalam	IN	average	77.23826
-19.7625	12/25/2021, 00:00:00	Esmeraldas	BR	maintenance	-44.31389
50.72043	08/20/2017, 00:00:00	Rudolstadt	DE	good	11.34046
53.94313	03/09/2013, 00:00:00	Bad Segeberg	DE	maintenance	10.30215
29.22254	12 Jun 2016	Haldwani	IN	excellent	79.5286
51.19139	02/27/2020, 00:00:00	Korschenbroich	DE	maintenance	6.51352
52.68333	2018/09/08	East Dereham	GB	building	0.93333
5.27247	2016-03-08	Bonoua	CI	accep	-3.59625
7.06273	2017/12/28	Mampong	GH	building	-1.4001
19.04222	08 Mar 2021	Casa Blanca	MX	good	-98.11889
48.28259	14 Dec 2020	Ehingen	DE	excellent	9.72749
10.63504	2017-02-07	Liberia	CR	excellent	-85.43772
23.49668	03 Apr 2018	Adra	IN	maintenance	86.68363
34.86472	31 Oct 2019	Zaozhuang	CN	maintenance	117.55417
36.02506	05/12/2020, 00:00:00	Brentwood Estates	US	excellent	-86.77917
-20.87306	09/15/2021, 00:00:00	Viradouro	BR	average	-48.29694
42.7	16 Jul 2015	Aytos	BG	accep	27.25
39.71734	28 Jan 2017	Sicklerville	US	excellent	-74.96933
48.73218	21 Jun 2016	Neuburg an der Donau	DE	good	11.18709
53.81667	2015/09/08	Blackpool	GB	accep	-3.05
51.95838	06/19/2013, 00:00:00	Schiebroek	NL	average	4.47124
37.1759	06/26/2020, 00:00:00	T’aebaek	KR	maintenance	128.9889
26.44931	2022-01-02	Rangia	IN	maintenance	91.61356
42.4251	09/19/2020, 00:00:00	Malden	US	excellent	-71.06616
49.13645	02 May 2018	Eppingen	DE	average	8.91229
10.63504	2013-01-05	Liberia	CR	excellent	-85.43772
38.37255	2014/09/22	Aksaray	TR	maintenance	34.02537
39.46667	2018-02-12	Yamada	JP	good	141.95
43.32393	2015/08/05	Les Olives	FR	accep	5.4584
48.21644	2018-09-22	Albstadt	DE	maintenance	9.02596
47.92526	10/28/2013, 00:00:00	Grand Forks	US	good	-97.03285
40.60538	2015-07-09	Far Rockaway	US	average	-73.75513
55.67938	2016/08/03	Frederiksberg	DK	average	12.53463
-8.28333	2021/11/10	Cabo	BR	excellent	-35.03333
33.86419	2021-07-25	Aleshtar	IR	accep	48.26258
49.13645	2019-04-10	Eppingen	DE	accep	8.91229
36.81667	04/30/2022, 00:00:00	Zhoucun	CN	good	117.81667
-10.91722	2017-10-26	Lagarto	BR	excellent	-37.65
-19.7625	2019-09-28	Esmeraldas	BR	excellent	-44.31389
45.79377	2016/03/13	Malnate	IT	average	8.88104
52.26083	2015-12-11	Losser	NL	building	7.00417
36.92574	2020-01-01	Ragusa	IT	good	14.72443
54.58048	11/16/2019, 00:00:00	Ustka	PL	average	16.86194
33.4425	2014-06-01	Karatsu	JP	accep	129.96972
51.03427	03/21/2022, 00:00:00	Houthalen	BE	good	5.37429
33.3213	2021-06-21	Hita	JP	building	130.94098
41.27621	2019-04-18	East Haven	US	building	-72.86843
32.05971	12/01/2016, 00:00:00	Ganei Tikva	IL	accep	34.8732
36.64852	2019/06/19	Nowshahr	IR	accep	51.49621
50.75932	04/25/2015, 00:00:00	Lutsk	UA	good	25.34244
-8.99167	05 Dec 2012	Maliana	TL	maitennce	125.21972
-26.93366	2019-10-22	Standerton	ZA	accep	29.24152
-30.60106	2019/01/09	Ovalle	CL	excellent	-71.19901
3.3285	2017/12/13	Tebingtinggi	ID	maintenance	99.1625
48.49144	2018-01-30	Reutlingen	DE	excellent	9.20427
59.80917	2020-12-17	Shushary	RU	excellent	30.38167
34.85	09/10/2016, 00:00:00	Taozhuang	CN	accep	117.33333
-4.5833	17 May 2019	Kasangulu	CD	accep	15.16554
34.25628	06 Feb 2018	Leland	US	excellent	-78.04471
51.84819	08 Mar 2022	Walton-on-the-Naze	GB	average	1.26738
-37.32167	07/26/2017, 00:00:00	Tandil	AR	maintenance	-59.13316
32.17629	12 Jun 2016	Fazilpur	PK	average	75.06583
45.79377	2013-11-29	Malnate	IT	good	8.88104
18.18158	27 Dec 2020	Osmanabad	IN	accep	76.03889
43.1009	23 Sep 2020	Utica	US	good	-75.23266
5.27247	01/12/2019, 00:00:00	Bonoua	CI	average	-3.59625
32.17629	12/02/2013, 00:00:00	Fazilpur	PK	good	75.06583
47.05	03 Aug 2014	Sankt Peter	AT	excellent	15.46667
34.56861	2017/04/25	Beidao	CN	average	105.89333
26.76628	2022-03-07	Gorakhpur	IN	accep	83.36889
15.58552	05/22/2020, 00:00:00	Bua Yai	TH	accep	102.42587
41.80753	05/12/2019, 00:00:00	New City	US	good	-87.65644
3.7278	2021-06-11	Labuhan Deli	ID	excellent	98.6738
51.65	2022/06/07	Barnet	GB	average	-0.2
46.7055	2018-11-12	Yeysk	RU	average	38.2739
38.55632	2022-04-30	Vahdat	TJ	excellent	69.01354
40.81	09 Mar 2020	Morningside Heights	US	average	-73.9625
13.56667	2021/02/12	Farafenni	GM	good	-15.6
25.67927	10 Oct 2020	Kendall	US	average	-80.31727
33.92946	07/26/2021, 00:00:00	Beaumont	US	accep	-116.97725
51.78967	2022/08/15	Clacton-on-Sea	GB	good	1.15597
44.35056	2018-10-03	Nayoro	JP	maintenance	142.45778
31.82539	2019/08/05	Sillanwali	PK	accep	72.54064
17.94979	02 Jul 2019	Acayucan	MX	building	-94.91386
52.14	11/19/2018, 00:00:00	Barneveld	NL	maitennce	5.58472
27.0174	2020-01-11	Al Jubayl	SA	average	49.62251
33.72255	2021-08-06	Palm Desert	US	excellent	-116.37697
51.08468	06/07/2015, 00:00:00	Burscheid	DE	excellent	7.11393
-19.72806	2021-07-16	Iturama	BR	good	-50.19556
48.86667	2018/06/03	Marly-le-Roi	FR	maintenance	2.08333
34.31	01 Jul 2015	Jerada	MA	building	-2.16
34.25	2016/10/04	Iwade	JP	excellent	135.31667
-19.32556	2019/12/08	Resplendor	BR	good	-41.25528
11.93381	2022-04-09	Puducherry	IN	average	79.82979
-15.21194	2016/11/22	Minas de Marcona	PE	good	-75.11028
-6.25	2016/06/12	Mvomero	TZ	excellent	38.66667
51.20219	2015-04-05	Radevormwald	DE	average	7.36027
47.92526	03/06/2022, 00:00:00	Grand Forks	US	average	-97.03285
27.0174	05 Oct 2017	Al Jubayl	SA	accep	49.62251
34.9	06/27/2021, 00:00:00	Shinshiro	JP	accep	137.5
23.73333	02/01/2020, 00:00:00	Heyuan	CN	good	114.68333
40.87363	2013-12-30	Volla	IT	building	14.34085
-1.63333	11 May 2019	Franceville	GA	good	13.58357
-34.64167	2013/10/02	Chacabuco	AR	building	-60.47389
51.30001	04/15/2019, 00:00:00	Oschatz	DE	good	13.10984
57.30185	04/25/2014, 00:00:00	Gavrilov-Yam	RU	accep	39.85331
60.97944	04/23/2019, 00:00:00	Izluchinsk	RU	accep	76.92421
-7.57897	09/03/2015, 00:00:00	Diwek	ID	good	112.23109
39.22493	02/21/2019, 00:00:00	Patnos	TR	average	42.85693
48.43174	2022-06-11	Hlohovec	SK	accep	17.8031
35	2015/09/18	Komono	JP	average	136.51667
49.07866	2013/03/04	Zvenihorodka	UA	average	30.96755
12.95629	03/02/2019, 00:00:00	Robertsonpet	IN	average	78.27539
5.27247	09/21/2021, 00:00:00	Bonoua	CI	accep	-3.59625
27.0174	06 Oct 2015	Al Jubayl	SA	building	49.62251
50.82709	2020/05/25	Wesseling	DE	good	6.9747
-22.45667	2021-11-04	Santa Gertrudes	BR	average	-47.53028
5.30383	09/26/2020, 00:00:00	Tarkwa	GH	good	-1.98956
58.23583	2012/10/01	Lesosibirsk	RU	good	92.48278
44.99012	19 Dec 2019	Keizer	US	good	-123.02621
54.03876	2016-04-16	Kovylkino	RU	average	43.91385
42	2022-03-18	Saraj	MK	good	21.32778
-1.6	2022/07/01	Jambi City	ID	good	103.61667
45.43341	05/04/2018, 00:00:00	Beaconsfield	CA	excellent	-73.86586
53.46506	2015-06-07	Chapletown	GB	building	-1.47217
2.41669	02/05/2018, 00:00:00	Paidha	UG	excellent	30.98551
-36.9256	08/10/2022, 00:00:00	Chiguayante	CL	maintenance	-73.02841
56.11281	2017-10-24	Ishim	RU	average	69.49015
27.55898	01/27/2016, 00:00:00	Larkana	PK	good	68.21204
46.32374	15 Mar 2017	Sunnyside	US	good	-120.00865
51.26	20 Nov 2019	Westbury	GB	accep	-2.1875
60.97944	2015-03-28	Izluchinsk	RU	excellent	76.92421
31.92923	21 Mar 2016	Ramla	IL	accep	34.86563
42.8139	08/23/2013, 00:00:00	Segundo Ensanche	ES	good	-1.64295
36.76775	2021/12/18	Cheraga	DZ	average	2.95924
24.28859	20 May 2013	Meizhou	CN	excellent	116.11768
44.92934	10/02/2018, 00:00:00	Krymsk	RU	good	37.99117
48.8449	2021-03-12	Skalica	SK	building	17.22635
3.27833	17 Jan 2016	Kitgum	UG	average	32.88667
41.92361	20 Oct 2020	Bogovinje	MK	average	20.91361
58.04254	07/07/2016, 00:00:00	Tavda	RU	accep	65.27258
40.53123	2020/06/30	Francavilla Fontana	IT	building	17.58522
36.81667	2018/11/06	Zhoucun	CN	average	117.81667
30.16688	11/14/2021, 00:00:00	Brenham	US	excellent	-96.39774
41.9001	01/17/2021, 00:00:00	Taunton	US	excellent	-71.08977
36.20389	2013-08-29	Nonsan	KR	maintenance	127.08472
37.73222	05 Sep 2022	Hengshui	CN	accep	115.70111
35.8	12/25/2012, 00:00:00	Gero	JP	maintenance	137.23333
-3.74912	2022/04/22	Iquitos	PE	good	-73.25383
40.67705	11/15/2012, 00:00:00	Cypress Hills	US	accep	-73.89125
55.62047	2020-02-14	Tyoply Stan	RU	good	37.49338
-4.24444	2021/03/05	Barras	BR	average	-42.29444
13.56667	2020/04/14	Farafenni	GM	maintenance	-15.6
17.94979	03/06/2014, 00:00:00	Acayucan	MX	excellent	-94.91386
30.75545	2021-02-02	Ajdabiya	LY	accep	20.22625
42.8139	2017-05-12	Segundo Ensanche	ES	good	-1.64295
21.28306	26 Aug 2020	Progreso	MX	good	-89.66123
21.01858	2019/12/04	Guanajuato	MX	good	-101.2591
-11.78333	2016-05-30	Luena	AO	excellent	19.91667
45.40008	2019/12/11	Sainte-Catherine	CA	building	-73.58248
53.81667	09/10/2015, 00:00:00	Blackpool	GB	excellent	-3.05
48.07667	01 Aug 2015	Trossingen	DE	maintenance	8.64409
52.26083	13 Nov 2021	Losser	NL	excellent	7.00417
-10.90889	10 May 2018	Barra dos Coqueiros	BR	good	-37.03861
15.46063	2017/03/13	Thap Than	TH	good	99.89166
42.4251	2016-07-14	Malden	US	maintenance	-71.06616
35.82756	2018/04/25	Ina	JP	good	137.95378
-7.76667	07/27/2018, 00:00:00	Iringa	TZ	acceptable	35.7
15.79408	05/12/2021, 00:00:00	Yasothon	TH	accep	104.1451
19.8173	02/16/2021, 00:00:00	Teziutlan	MX	accep	-97.35992
31.28092	01/03/2017, 00:00:00	Patti	IN	excellent	74.85849
53.5942	07/11/2020, 00:00:00	Novogrudok	BY	accep	25.8191
-7.57897	05/02/2013, 00:00:00	Diwek	ID	average	112.23109
-7.0981	2018-10-11	Randudongkal	ID	good	109.3243
7.57944	2015-04-10	New Yekepa	LR	good	-8.53778
48.25	2014-03-06	Floridsdorf	AT	excellent	16.4
22.49396	06/22/2014, 00:00:00	Acaponeta	MX	average	-105.36369
32.35126	2018/02/03	Tyler	US	good	-95.30106
29.22254	08 Sep 2022	Haldwani	IN	accep	79.5286
31.71667	08/29/2019, 00:00:00	Sangla Hill	PK	average	73.38333
19.32889	10/24/2014, 00:00:00	San Lorenzo Acopilco	MX	building	-99.32556
47.80527	06/22/2015, 00:00:00	Bothell West	US	average	-122.24064
38.17492	08/18/2014, 00:00:00	American Canyon	US	accep	-122.2608
44.22639	06/29/2021, 00:00:00	Negotin	RS	accep	22.53083
34.15429	06 Aug 2020	Messaad	DZ	good	3.50309
43.78956	2017-11-30	Ventimiglia	IT	excellent	7.60872
-11.94306	2020-01-20	Chosica	PE	accep	-76.70944
60.18427	2013-10-16	Kallio	FI	average	24.95034
9.89206	2015-10-01	Baki	SO	average	43.38531
35.05266	2017-06-10	Fayetteville	US	average	-78.87836
-28.81833	2019/01/06	Soledade	BR	good	-52.51028
43.54072	2017-07-11	Nampa	US	maintenance	-116.56346
47.76232	2019-06-14	Bothell	US	average	-122.2054
47.4943	2017-06-23	Bryn Mawr-Skyway	US	average	-122.24092
31.78336	2015-12-31	East Jerusalem	PS	building	35.23388
-14.66463	12 Oct 2016	Nova Xavantina	BR	good	-52.35558
5.30383	2020/10/24	Tarkwa	GH	average	-1.98956
37.30553	2022/01/20	Zhuangyuan	CN	good	120.82747
34.95303	2014-09-25	Santa Maria	US	building	-120.43572
31.28092	11/29/2018, 00:00:00	Patti	IN	building	74.85849
12.1277	01/14/2019, 00:00:00	Dharmapuri	IN	excellent	78.15794
38.07789	2015-05-15	Villabate	IT	excellent	13.44275
31.64615	2012/12/18	Changshu City	CN	good	120.74221
-10.90889	2019-08-19	Barra dos Coqueiros	BR	average	-37.03861
26.67319	13 Sep 2013	Juhaynah	EG	good	31.4976
7.83389	07 Dec 2012	Villa del Rosario	CO	accep	-72.47417
14.53767	24 Jun 2017	Ataq	YE	maintenance	46.83187
-6.91806	03/06/2013, 00:00:00	Sukabumi	ID	average	106.92667
34.9	2022-05-28	Shinshiro	JP	average	137.5
40.5576	2013/06/24	Woodbridge	US	maintenance	-74.28459
-2.90055	2015-12-26	Cuenca	EC	average	-79.00453
56.56317	06/25/2015, 00:00:00	Arbroath	GB	good	-2.58736
43.16547	29 Apr 2018	Gates-North Gates	US	average	-77.70066
41.15612	2015/12/16	Reus	ES	excellent	1.10687
41.8542	07/06/2020, 00:00:00	Lower West Side	US	excellent	-87.66561
51.19139	2016-03-29	Korschenbroich	DE	building	6.51352
48.90472	05 Jun 2017	La Garenne-Colombes	FR	maintenance	2.2469
40.53123	02/24/2017, 00:00:00	Francavilla Fontana	IT	excellent	17.58522
51.44889	2019-03-26	Tongelre	NL	accep	5.51978
51.40944	2019/07/20	Privolzhskiy	RU	average	46.04833
51.08468	27 Dec 2013	Burscheid	DE	accep	7.11393
53.00974	2016/04/05	Rhosllanerchrugog	GB	average	-3.05814
43.50891	14 Dec 2019	Split	HR	maintenance	16.43915
52.47774	05 Oct 2020	Gifhorn	DE	accep	10.5511
53.43333	12 Aug 2021	Athlone	IE	average	-7.95
44.92934	2016/12/13	Krymsk	RU	average	37.99117
-15.21194	2015/07/19	Minas de Marcona	PE	accep	-75.11028
43.32686	2015/08/27	Leioa	ES	excellent	-2.98884
28.15112	2020-09-18	Lutz	US	accep	-82.46148
53.53395	2021/05/31	Zhukovka	RU	excellent	33.72798
40.98894	2016/10/26	Yakuplu	TR	good	28.67582
39.72943	2012-12-15	Aurora	US	accep	-104.83192
48.8765	2017/06/18	Rueil-Malmaison	FR	maintenance	2.18967
38.96667	30 Jul 2013	Gandia	ES	excellent	-0.18333
-1.9487	26 Sep 2015	Rwamagana	RW	good	30.4347
51.4781	2022-04-10	Kuvandyk	RU	accep	57.3552
55.62047	2021-12-30	Tyoply Stan	RU	average	37.49338
