PM10	PAHs	O3	CO	PM2.5	H2CO	SO2	CFCs	NOx	latitude	CH4	TEMP	PRES	NH3	warning	Pb	longitude	C2H3NO5
8.81963	4.80872	13.19320	11.92787	10.67657	46.06783	5.27751	37.38076	9.20837	53.78333	9.52646	15.82101	1083.12801	7.69219	0.00000	41.43032	-1.06667	0.01410
8.18535	9.13979	7.81997	9.55153	9.99020	34.04496	8.76206	66.81054	8.26210	32.54278	9.55966	34.41462	1079.25137	9.57634	0.00000	46.68774	111.50861	0.00916
6.78882	8.37729	8.90937	6.50602	9.80194	53.06070	12.05603	53.48376	7.84168	-19.65	10.02284	19.13131	1173.66723	10.58576	1.00000	39.85895	47.31667	0.00430
8.30050	7.17702	7.96148	8.36977	8.18988	38.06452	10.69885	75.05080	8.81937	42.55308	8.15033	31.34686	1103.99566	10.01381	1.00000	34.02516	-87.93341	0.01032
7.38700	10.70776	9.61100	9.63258	9.72307	41.30718	10.38768	78.08374	7.60646	41.80753	9.67622	19.74502	1172.07963	6.17745	1.00000	36.08571	-87.65644	0.00595
8.51851	6.89427	8.04960	7.75796	8.00635	38.17764	9.44414	26.13005	9.65022	36.91023	9.72887	-4.69243	1111.02423	10.22010	1.00000	65.16041	-121.75689	0.01253
7.76003	7.38858	11.69822	11.04245	8.78532	60.99839	6.23261	52.90888	7.67794	30.5427	10.35068	4.99814	1051.10739	8.65651	0.00000	70.45712	-97.54667	0.00712
8.86192	11.15412	10.77416	11.58572	7.05126	48.33885	7.17116	53.50516	12.42592	41.63976	11.10928	21.18883	1063.16116	10.51543		43.21018	2.35739	0.01760
7.17157	11.28049	9.60108	11.18249	8.90183	78.15450	8.90280	46.83785	9.31842	44.92934	8.80353	25.69220	1159.72063	7.93638	0.00000	42.65477	37.99117	0.00505
10.25064	6.95070	10.08938	10.30821	9.50806	33.95867	5.14883	77.09387	9.07478	44.73941	10.20578	14.91704	1183.41025	7.63082	1.00000	23.05234	-93.12577	0.05692
8.52650	11.00165	7.12065	8.55915	9.60229	72.46240	13.68764	71.94606	7.97818	-13.7804	8.69288	21.26764	1051.30195	10.42237	0.00000	35.65723	34.4587	0.01171
7.24304	10.42291	11.87305	10.73380	9.28791	51.12433	5.66426	87.30264	9.32752	-33.75881	7.19734	24.63511	1188.55411	9.75241	0.00000	67.75407	150.99292	0.00450
8.07928	6.82257	11.69701	10.88283	10.35374	61.08246	6.30771	69.16256	8.75679	50.71229	9.39160	21.15657	1149.63705	7.96615	0.00000	32.63176	4.52529	0.00991
8.20085	8.88271	9.87573	6.73406	9.43125	58.48619	10.92341	45.53795	7.69091	13.70167	8.74633	24.39327	1194.11548	8.83108	1.00000	47.75222	-89.10944	0.00976
10.88883	4.99217	6.08712	11.41582	9.17832	69.00536	5.16219	59.37586	8.54644	-10.95817	8.59231	5.88729	1051.85768	10.97711	0.00000	48.71044	-38.79084	0.10612
8.70024	7.89931	8.95996	6.68520	9.69009	36.48306	11.24255	66.28896	8.19724	47.30997	10.29740	9.88266	1077.47064	8.60782	0.00000	57.55751	8.52462	0.01480
8.70100	8.05543	11.48331	11.05396	7.48436	59.86590	7.37540	47.72960	8.06285	41.85059	8.47225	20.16236	1184.90847	8.13327	1.00000	53.75180	-87.882	0.01630
8.50045	6.83241	7.95458	7.25079	8.38563	34.05940	9.66181	65.16225	8.57386	49.65186	8.95501	22.57900	1189.89279	10.46639	1.00000	43.85984	26.97253	0.01180
8.57236	8.19655	9.01673	10.00128	8.21210	52.83817	10.54963	61.85484	8.54746	34.56861	9.06389	16.72407	1166.50794	6.16888	0.00000	47.48809	105.89333	0.01251
7.37715	10.42230	9.26920	7.46906	9.78035	54.97870	12.84433	64.70915	8.16868	-23.44361	10.86952	10.61599	1186.88735	10.89406	1.00000	53.08512	-51.87389	0.00720
8.25588	6.95514	8.53155	9.16234	8.81233	39.59190	9.62301	58.03277	8.22145	27.76056	7.96374	31.24084	1095.22265	10.88007	1.00000	55.40587	-15.58602	0.01086
3.94798	6.44812	4.27696	9.70570	10.19265	55.84852	11.70471	64.38315	8.49715	30.5427	9.28508	14.63011	1147.90947	11.19395	1.00000	46.05129	-97.54667	0.00142
7.71538	6.93275	7.15372	9.80521	8.07677	22.04861	9.92079	72.05346	10.42360	48.52961	8.45703	16.01524	1097.30204	10.75349	1.00000	79.05680	12.16179	0.00803
8.65548	8.56786	7.40305	9.21028	9.46529	33.77273	9.41262	51.15093	10.03790	14.93333	8.46249	23.42126	1054.10399	11.26633	1.00000	39.65620	-91.11667	0.01472
8.84054	9.92610	8.03596	7.78923	11.37440	57.12711	11.34566	56.00537	10.08285	48.43174	10.75243	8.72936	1074.36840	12.35784	0.00000	44.55796	17.8031	0.01650
8.91454	9.45228	6.18666	7.31528	7.20864	53.96281	11.71141	51.49905	9.47355	31.78336	8.32812	19.57342	1121.11581	11.96224	1.00000	61.04860	35.23388	0.01827
8.56747	9.60949	8.49481	10.25031	10.15523	51.83872	7.91728	39.35441	9.08602	16.0438	8.51720	19.99688	1164.53872	7.87042	1.00000	36.22931	120.4861	0.01269
8.07323	8.10297	5.86333	11.59873	8.10594	50.75060	10.01622	30.33729	9.59139	6.95194	8.69014	25.57804	1050.64874	13.12092	1.00000	61.44810	121.96361	0.00920
10.56187	8.36262	6.75953	9.09648	9.85386	33.21088	10.07480	57.32530	9.71889	41.63976	8.86840	18.17055	1161.45147	11.74571	0.00000	40.06930	2.35739	0.07773
5.10065	8.34317	11.16782	7.08229	8.38032	40.21530	9.61671	35.07917	8.19264	26.11527	10.53551	16.83192	1116.71401	4.89734	0.00000	31.03964	86.59509	0.00175
7.81382	7.74611	10.14717	11.84425	7.21825	65.54068	5.94455	55.31310	9.67548	40.81	9.73824	20.93938	1169.02426	10.02257	0.00000	81.52215	-73.9625	0.00683
5.84433	8.67536	9.01645	8.01379	9.09178	67.53188	10.00755	41.37697	9.46444	0.51667	10.12424	10.62674	1165.66878	6.57722	0.00000	49.03199	101.44167	0.00116
9.93283	8.28206	9.08828	6.43939	8.38453	40.60627	11.89161	40.16201	10.78733	17.34769	9.29080	11.06200	1064.13034	9.87822	0.00000	43.17580	78.55757	0.04121
10.88065	7.91580	9.91835	7.67414	9.89306	56.85816	9.13128	56.29391	9.82980	44.92801	8.33199	19.76493	1084.72390	11.09586	1.00000	28.53242	4.8951	0.10465
6.56850	5.99650	11.73765	9.15019	10.67211	70.48896	8.53194	73.54133	7.22222	41.85059	7.22159	16.50130	1089.87336	8.61375	0.00000	44.65339	-87.882	0.00480
7.58198	6.73769	10.49350	9.78493	11.86708	58.05139	8.46831	42.91440	7.62892	44.92801	8.38086	13.69029	1076.49805	4.49388	0.00000	30.20859	4.8951	0.00664
7.60879	7.48081	6.89891	10.36648	8.87203	37.45780	10.56110	50.22442	11.11858	8.56697	7.84164	11.25064	1082.80370	11.08176	1.00000	40.10594	123.33471	0.00776
8.56932	9.40711	10.13319	11.22036	8.46170	69.87962	7.34038	43.93427	7.81794	-29.2975	11.93619	3.76766	1076.32383	8.78304	0.00000	74.75571	-51.50361	0.01400
7.46577	7.73087	7.83036	9.32225	8.34732	27.81201	10.05380	55.65295	8.68564	34.56861	11.51823	17.43006	1095.74629	9.31490	1.00000	43.55998	105.89333	0.00641
7.36851	12.74531	14.95372	11.89996	9.16251	53.76667	7.94437	59.59897	10.28967	47.98372	10.54219	23.64615	1071.41154		1.00000	34.92721	10.18527	0.00603
9.12687	7.15012	5.51318	10.65657	9.28660	48.36554	9.45226	48.10123	11.54154	0.51667	9.66201	5.87423	1118.36050	10.97037	0.00000	59.37391	101.44167	0.02080
8.65399	8.65274	9.90803	11.68024	9.20339	70.70220	6.89694	55.58475	8.87781	55.38752	9.59081	6.15273	1159.48879	7.44215	0.00000	42.25088	36.73307	0.01438
9.94436	9.43018	6.22208		8.71952	52.66161	9.97181	59.80688	7.24218	16.0567	9.39976	7.55349	1056.55356	12.90917	0.00000	75.25786	103.65309	0.04183
6.84009	6.91466	13.76035	10.18983	10.51992	31.84004	3.50505	55.23699	8.44552	41.48199	6.44125	24.33947	1105.12687	6.00966	0.00000	13.23602	-81.79819	0.00641
9.92729	8.82345	8.28334	8.26296	8.29871	64.13838	10.45932	35.52354	10.09692	45.9836	10.89260	29.43472	1122.96890	10.24930	1.00000	36.42316	12.70038	0.04235
11.13276	6.64711	8.74192	6.64297	7.06805	63.55801	10.04574	41.86602	7.87393	4.02219	8.17306	-0.57420	1192.10147	10.34386	0.00000	49.40414	101.02083	0.13386
8.73248	7.42439	9.75715	8.24081	7.13533	45.07677	8.79748	39.15412	9.17848	55.54028	8.14941	15.38775	1152.51900	8.91032	1.00000	31.71951	89.20083	0.01408
11.91464	7.40002	8.14996	7.11023	7.14886	60.67014	10.46271	58.42256	10.24565	54.8421	10.03701		1177.43128	10.29313	0.00000	56.98810	46.5813	0.29229
8.99738	9.00523	9.54761	7.42960	9.12432	54.13106	11.19878	37.21233	10.62143	23.1959	8.12110	12.78885	1084.60220	9.50824	1.00000	69.54348	86.51499	0.01868
11.65456	6.60484	9.54501	4.08984	8.44127	61.62809	12.47011	68.65939	9.67815	44.59445	7.45487	26.01456	1181.70297	9.34712	0.00000	55.57285	11.04979	0.22455
7.11605	12.27475	8.62632	13.74206	9.16582	72.22971	7.93533	56.76493	10.10959	42.64031	11.58234	18.92056	1081.33576	10.09124	1.00000	49.37395	125.51176	0.00472
8.33861	10.37611	8.67531	9.07525	10.27716	54.34146	11.57960	50.64526	7.64846	60.18427	8.48958	26.45142	1098.81542	9.55532	0.00000	32.04007	24.95034	0.01089
11.25001	8.97276	6.37312	9.09120	8.25807	46.66595	9.93219	32.68240	8.57158	33.42585	8.97425	15.71876	1057.08691	11.95296	0.00000	59.20862	-6.00137	0.15130
7.02564	10.28479	9.35554	11.56348	9.58943	56.40811	6.25319	53.70330	7.91751	50.23019	9.39626	12.00199	1109.63423	7.20524	1.00000	57.04533	8.77155	0.00347
6.42423	5.46802	13.61033	9.35492	8.67401	59.76054	6.80703	56.84770	8.34888	45.9836	10.92954	19.57064	1082.62553	9.17507	0.00000	62.60275	12.70038	0.00314
9.04905	8.50129	8.15806	9.72784	10.47788	46.79164	7.93239	67.68093	7.85064	13.51825	8.38810	11.70762	1087.36431	6.51092	1.00000	51.78711	99.95469	0.01897
8.15334	10.65833	8.99800	12.71811	9.14998	48.50019	7.47767	34.45962	10.55505	41.15612	8.46306	25.93514	1057.24563	9.15186	1.00000	52.49242	1.10687	0.00777
9.87898	7.09284	7.43380	8.36653	10.59587	43.65279	11.20072	63.07294	8.62256	38.38479	10.00471	-3.94152	1061.88293	8.17078	0.00000	50.13466	-0.76773	0.04171
8.14557	11.15122	8.92814	9.75405	10.10417	47.08430	9.64597	48.38511	8.26358	32.54044	9.37620	8.32000	1114.13780	5.79189	0.00000	68.63773	-82.90375	0.00961
7.55002	8.62477	6.91868	8.62602	7.94633	26.00123	11.18449	22.32739	10.97742	38.96667	8.67707	15.95063	1162.87628	10.45852	1.00000	26.04039	-0.18333	0.00605
7.33133	11.67603	10.22667	11.49692	10.56416	58.81313	8.94362	42.61183	10.27381	21.46527	8.91714	4.09479	1084.99642	8.49005	1.00000	57.17237	83.97573	0.00411
7.54229	8.14468	5.88497	8.82983	10.28185	46.49641	10.47809	58.52101	9.74761	16.0567	6.79794	4.75138	1119.67649	11.64690	1.00000	36.83365	103.65309	0.00668
9.72688	8.16691	8.28609	7.79433	9.65188		9.41545	44.45298	11.62490	43.11667	8.23937	-8.84378	1111.80662	10.91504	1.00000	63.31436	1.6	0.03427
8.90816	8.62447	7.40999	10.30924	10.36495	44.44049	9.59826	50.88125	8.94163	53.78333	9.95835	11.20387	1101.96813	10.21557	0.00000	68.05335	-1.06667	0.01716
8.41376	7.66700	9.16937	7.95171	8.85741	44.88894	10.36976	46.99559	11.00701	38.17492	9.25589	6.46828	1139.73578	10.73433	1.00000	44.43487	-122.2608	0.01012
9.91063	9.54345	8.29722	12.07489	9.69258	43.23983	8.45121	63.04141	10.45163	44.92934	8.61348	31.87115	1074.67295	8.32068	0.00000	43.76354	37.99117	0.04083
11.08966	7.36916	8.53078	8.76027	8.00949	42.46407	10.52870	23.47683	9.58755	21.53889	9.26522	-3.59256	1130.13828	8.60064	0.00000	54.40984	71.57737	0.12877
9.33446	9.22215	10.03244	9.92933	8.26660	56.74692	7.70218	19.10597	8.59113	37.56667	9.64586	24.10706	1174.81092	7.89794	1.00000	61.56817	140.11667	0.02275
8.37005	8.04064	10.20457	12.15738	8.24179	69.18971	6.03733	42.63924	8.53209	48.8449	10.98053	12.07225	1135.70793	11.16983	0.00000	61.39300	17.22635	0.01170
9.93088	9.31478	6.88537	9.39396	10.59934	33.97373	10.06878	49.68069	8.02076	-10.91722	10.26260	12.63495	1173.64568	11.54567	1.00000	39.45286	-37.65	0.04148
7.01137	8.16701	12.89935	8.85190	9.15244	66.76137	7.66820	54.80788	8.51229	51.62907	9.43831	17.76680	1149.39359	5.98488	0.00000	35.67518	-0.74934	0.00625
6.08870	14.11012	12.83300	10.79209	8.90271	47.86852	9.71474	47.29098	10.63577	39.00622	9.40021	22.57583	1176.49871	9.62380	1.00000	36.61808	-77.4286	0.00426
11.12977	10.20355	10.21148	4.31276	8.67946	59.17101	11.22003	38.91110	9.81440	-22.92306	8.09545	19.12028	1074.34527	13.02095	0.00000	62.39796	-53.13722	0.13376
8.37769	8.02647	10.11870	11.62316	9.67391	44.21817	5.94830	49.76967	10.40391	38.96667	8.05653	3.21860	1129.82026	8.43552	0.00000	23.82535	-0.18333	0.01131
5.61937	5.49818	10.77722	7.63922	9.29211	68.34893	9.70732	55.05399	8.68620	52.2	9.02698	3.97483	1127.97599	6.23574	0.00000	38.14776	8.63333	0.00124
7.68638	8.56830	12.34272	7.90878	10.22209	44.83313	4.66358	24.38399	7.86191	5.20856	10.12185	3.42352	1051.08211	6.49949	1.00000	56.11997	-74.73584	0.00747
9.12550	8.24213	12.47285	12.68069	8.69647	41.35130	3.39663	85.85392	10.77975	7.62789	10.63714	34.38630	1084.78648	7.92357	0.00000	46.90609	4.74161	0.01919
8.81315	8.98190	8.89574	6.05570	8.81899	43.54812	12.00549	82.25760	8.59876	10.58806	8.85323	-7.76392	1084.77416	10.64168	1.00000	30.70243	77.24779	0.01489
8.64386	8.26615	10.23999	8.17939	10.14567	33.31629	9.84201	74.65941	10.74864	51.62907	9.19676	25.18856	1143.44809	10.75670	1.00000	18.64884	-0.74934	0.01440
9.37467	8.70821	8.66477	6.05361	5.90996	45.81216	11.03253	38.88267	9.60831	43.96222	8.54811	31.81350	1158.72172	10.44891	1.00000	76.69090	43.63417	0.02458
9.38021	9.60149	9.74219	9.44030	9.62618	55.43972	10.32746	63.52016	8.53281	-7.01833	9.19948	12.07236	1154.92490	7.34660	1.00000	70.27224	107.60389	0.02537
8.43622	7.68321	7.80280	10.06843	7.77093	69.51891	8.26834	61.91359	9.13000	34.09611	10.44533	10.48373	1149.21206	9.72428	0.00000	42.93517	-118.10583	0.01075
7.59785	11.36320	10.98641	11.16831	7.77735	57.72249	7.58872	52.38936	8.91586	48.90472	8.88722	20.12353	1075.94201	9.31285	1.00000	48.62601	2.2469	0.00770
9.56083	9.89892	11.94051	10.47318	8.16073	43.17316	7.60198	63.32556	7.59009	36.53333	8.42198	25.80515	1156.92030	9.31414	1.00000	64.62192	136.61667	0.03065
9.32497	9.17981	8.79523	6.48111	8.89660	47.55700	13.02308	50.57080	8.62348	50.20528	9.61970	8.27073	1147.28882	9.56643	0.00000	73.59413	19.27498	0.02495
9.47397	6.50696	8.06638	8.02558	9.23550	50.86093	8.92370	22.50710	8.42451	33.45122	9.98007	8.80753	1154.18665	10.76056	1.00000	55.81789	-86.99666	0.02686
11.21824	10.31004	11.12308	15.03199	7.51705	61.55631	3.49548	71.02997	9.83008	50.88506	9.19646	12.22610	1064.47077	11.20017	0.00000	52.48800	4.07601	0.14751
9.30463	8.52664	12.19386	8.63222	9.13118	36.81156	6.30162	56.49079	9.62261	50.50301	9.20229	7.48774	1084.78505	8.10765	1.00000	40.01766	13.63617	0.02517
4.68280	7.58849	6.42898	7.09701	8.17021	38.90708	11.51258	52.87643	9.36533	53.78333	10.46487	9.23390	1111.94846	10.28316	1.00000	63.54826	-1.06667	0.00409
10.95648	7.10697	7.17914	9.95510	10.59089	71.63656	10.18474	39.72268	7.55328	45.53069	8.27901	-6.80021	1190.30144	9.54300	0.00000	69.50998	9.40531	0.11372
7.83251	8.77348	6.63361	9.13668	7.10031	55.33492	10.83959	82.50071	9.59782	51.26	9.51876	24.42136	1137.46174	10.81231	1.00000	40.62194	-2.1875	0.00621
7.75845	8.12619	9.83296	9.60309	8.81101	55.44885	10.03483	75.01430	7.94066	41.91886	9.75606	21.89590	1076.39071	6.57505	0.00000	53.48348	8.73812	0.00972
6.17733	6.36337	8.97195	4.73924	9.24649	59.42362	10.98778	70.99670	9.87165	48.49144	9.87243	29.07992	1073.74549	9.35875	1.00000	39.74765	9.20427	0.00312
7.76364	9.94358	12.13602	9.10031	10.55572	40.75295	6.37228	64.11080	8.65907	35.815	9.53793	9.69088	1071.54041	7.37546	1.00000	41.56626	139.6853	0.00683
7.38341	8.76647	7.52091	10.36184	9.15742	65.28509	7.95248	72.45917		30.16688	8.63501	18.00717	1099.73158	6.28121	0.00000	29.64823	-96.39774	0.00770
9.50259	9.42347	5.13194	10.92091	11.18828	51.78508	8.12675	41.32225	9.08357	-31.25033	9.42737	26.51499	1186.00726	13.96758	0.00000	40.77512	-61.4867	0.02781
8.26330	8.32873	9.49618	7.69724	10.50538	24.94594	8.35986	68.55378	9.23986	36.08497	9.67797	33.62466	1075.40669	5.29020	1.00000	56.67041	9.37082	0.01072
9.70333	9.24759	11.08664	4.58437	6.72764	51.66582	12.15156	61.36201	9.00948	0.76755	8.64110	17.13856	1144.23629	10.53784	1.00000	43.68114	24.43973	0.03291
9.70021	9.14974	6.25241	11.01387	9.35502	54.50885	10.47899	38.21407	10.26857	42	10.42222	32.64955	1178.80878	10.95470	0.00000	45.62156	21.32778	0.03495
7.51027	10.14099	9.17048	10.04737	6.55846	41.11172	8.50834	56.05421	8.86546	50.76306	7.87770	18.67505	1088.36443	6.46623	1.00000	72.14594	-1.29772	0.00559
6.93369	8.75297	6.42377	10.50094	8.76592	52.24016	10.51602	65.73410	9.82506	7.06273	9.69329	4.96244	1199.14635	8.37450	0.00000	62.92717	-1.4001	0.00570
8.57185	5.64670	6.62321	7.17319	8.27808	58.12494	8.85565	42.91161	8.88876	43.1122	7.94472	8.24406	1157.88452	10.87518	1.00000	59.48679	12.38878	0.01481
6.15691	12.13593	12.05650	10.95398	11.27605	26.72983	7.71367	43.25055	8.30920	50.09019	9.29237	7.26900	1177.45143	7.84866	1.00000	61.44654	8.4493	0.00313
8.34943	7.18375	11.37377	11.21910	9.97531	52.90360	7.00603	53.33427	8.99571	50.23019	7.39788	8.62342	1136.17839	9.75119	0.00000	65.33865	8.77155	0.01161
9.70461	8.17911	7.26635	8.56883	8.80727	59.10346	10.58622	45.59229	9.70383	51.4781	9.20284	8.46930	1101.00085	10.86849	0.00000	70.35840	57.3552	0.03551
6.55925	7.66175	8.02676	7.14737	8.70752	55.59572	12.71067	48.56200	9.49374	43.11667	10.07359	32.82196	1090.39097	11.17312	1.00000	54.79672	1.6	0.00308
8.97661	9.77688	10.95094	11.54524	9.03332	37.61848	7.22507	55.57838	9.52105	18.42745	7.14950	15.44996	1078.12124	8.97051	0.00000	63.44190	-67.15407	0.01800
7.35609	11.32479	10.22057	10.49626	9.93083	24.19741	8.77628	45.09342	8.67273	40.37528	8.52474	8.26443	1065.02224	7.47501	1.00000	72.51614	28.88222	0.00454
6.86703	7.15314	6.75509	8.96827	9.67644	67.73872	9.84818	48.60715	7.51679	33.93113	10.89360	10.96384	1064.51772	10.49614	1.00000	64.93230	-117.54866	0.00393
8.56012	8.30201	8.65523	11.05825	10.40957	47.38290	8.63222	54.45365	9.19585	52.4089	10.01776	3.06926	1051.39650	8.39789	0.00000	44.61409	31.3237	0.01182
6.13329	6.67494	10.08320	9.05948	10.09097	52.56748	8.49358	57.89943	10.86510	35.89972	8.28386	12.55095	1132.98433	7.22949	0.00000	61.67891	14.51472	0.00341
9.45083	10.12098	9.73402	6.56838	7.97062	52.21751	11.72655	48.91323	9.90011	13.51825	7.95645	30.20899	1190.19513	10.48374	0.00000	38.39844	99.95469	0.02614
10.60923	10.39918	9.25410	5.13042	8.50508	41.20784	11.05182	36.77480	6.26806	51.39148	11.16091	18.05658	1123.96731	13.12415	0.00000	39.70842	-0.29825	0.08082
6.89330	7.15738	11.12917	9.29559	10.04286	66.74688	8.36671	66.13827	7.95497	-22.9	7.81692	18.68818	1128.07755	7.77757	0.00000	31.99004	44.53333	0.00374
5.37361	8.53257	7.36141	8.13566	10.27883	32.73537	12.16126	30.74011	10.08007	37.58105	8.36762	-13.51051	1104.94344	10.10530	1.00000	25.81710	29.26639	0.00305
8.56197	8.26900	8.63363	7.93119	9.23481	51.67290	9.82582	60.26036	9.02214	41.80753	9.97087	19.83922	1106.80827		1.00000	19.26911	-87.65644	0.01404
7.15098	12.52005	11.44479	11.16035	8.22223	60.30749	9.84207	57.77821	9.24336	-19.65	9.55578	30.20327	1170.98957	9.22330	1.00000	48.16872	47.31667	0.00541
7.81113	10.81993	9.73362	11.57482	8.34447	38.50075	8.06463	39.74174	6.14249	-28.81833	8.61264	18.09235	1086.97091	8.76801	1.00000	66.26466	-52.51028	0.00680
6.75418	8.26214	5.57686	10.03663	11.47991	59.49367	10.63511	49.49589	9.60282	46.51872	9.11615	18.04285	1148.88704	11.65149	1.00000	40.40347	86.00214	0.00429
11.28051	6.21500	8.38385	6.33810	9.02990	54.16030	10.93831	64.33746	9.06239	37.58105	9.27382	27.65811	1077.82965	8.95567	0.00000	50.11282	29.26639	0.15577
10.20630	7.47827	6.15154	9.68920	9.70906	45.17731	10.15493	50.82151	9.55257	0.51667	9.74963	24.31459	1169.19154	10.17047	0.00000	47.50887	101.44167	0.05549
7.56291	10.60636	9.38561	11.68202	8.85905	41.25761	7.84086	44.73109	7.75634	-4.5833	9.85361	21.08264	1074.67256	7.42314	1.00000	41.28599	15.16554	0.00611
7.62608	7.05386	10.29417	10.99800	8.01223	49.12787	7.67224	30.64674	8.04635	34.9	8.74181	12.63634	1117.64549	9.80241	0.00000	55.26474	137.5	0.00840
8.54610	9.17340	9.66105	6.82759	9.00303	36.44128	12.18260	48.63272	7.61314	50.50301	7.73402	20.32905	1053.39601	10.63917	1.00000	36.94845	13.63617	0.01280
6.72915	7.90758	10.51898	9.03759	7.79245	49.15462	9.17256	70.01355	9.41193	48.73218	9.31704	27.36760	1076.79026	7.00813	0.00000	42.46348	11.18709	0.00427
8.52875	8.62191	12.84279	9.70134	7.12672	43.49393	4.25874	54.01455	9.15032	44.59445	8.46581	22.85726	1119.26630	7.90482	1.00000	59.54027	11.04979	0.01301
8.64653	10.33175	9.89915	11.86483	9.30257	40.56040	7.54743	30.84371	8.53911	37.73604	7.33530	34.32022	1068.67776	9.10711	1.00000	67.06839	-120.93549	0.01405
7.58127	9.22501	8.08504	7.01461	9.43402	39.61107	12.72813	16.62335	10.07388	42.64685	9.67429	-5.36512	1123.56380	11.59992		57.47846	-5.55835	0.00677
4.23959	15.36174	10.96423	11.51568	7.95397	45.53692	10.50065	40.30522	6.88982	-8.43333	8.02777	21.65400	1104.71227	8.86141	1.00000	49.98032	114.33333	0.00387
7.49217	7.43489	7.47332	7.16473	10.32096	33.70274	10.48924	60.45320	10.14649	27.71809	10.12500	27.26778	1187.38407	10.47999	1.00000	33.60455	-82.35176	0.00680
7.44187	6.24114	9.73557	9.48979	9.32382	50.67607	9.06765	54.85653	9.03694	45.79377	10.00145	20.73203	1104.39601	4.42538	0.00000	49.76383	8.88104	0.00667
9.66039	8.94344	9.71211	6.99269	9.17384	49.95009	9.82832	66.53499	7.48237	53.46506	8.03294	11.49367	1073.57900	9.76451	1.00000	17.69810	-1.47217	0.03325
9.41519	9.39935	8.37215	10.81150	9.74427	41.64952	9.56958	62.48219	7.26367	54.52156	8.04393	20.15022	1136.12761	7.47900	1.00000	63.12279	9.5586	0.02665
8.30467	10.73187	11.77172	10.75014	8.78808	59.44081	8.77434	68.40279	8.30896	27.76056	10.54313	17.30210	1055.26923	8.13585	1.00000	61.82205	-15.58602	0.00903
6.72599	11.20341	10.01445	11.26867	9.39657	53.91443	6.82543	46.14580	9.19650	53.43333	8.91527	9.10577	1084.18206	7.27502	1.00000	58.42439	-7.95	0.00360
7.28789	7.35999	10.18249	9.79504	11.31079	55.75296	9.48989	50.04075	10.19600	36.20389	7.96083	8.88944	1185.87017	9.29570	0.00000	52.83550	127.08472	0.00471
12.99377	5.34789	8.66213	5.58554	9.05791	51.12314	7.63068	42.46685	9.31065	33.93113	8.52180	11.34170	1052.00115	11.35166	0.00000	41.76160	-117.54866	0.84852
7.66920	6.51685	11.72530	10.66515	9.36787	36.99462	6.38522	43.28107	10.34732	-33.38056	8.40209	-9.42687	1158.40404	7.82555	0.00000	51.89129	-56.52361	0.00846
11.04503	4.87835	3.66735	13.77265	11.30180	61.19202	7.66848	43.59353	9.29500	51.21667	10.11393	-0.61678	1074.57754	10.39007	0.00000	74.34556	6.26667	0.12303
8.93497	7.55422	9.55333	5.72124	9.31668	50.51963	10.54374	40.94920	8.86762	-22.45667	9.83911	27.19819	1149.41249	9.84126	1.00000	66.55271	-47.53028	0.01784
9.63369	8.56889	8.69316	10.10888	8.54100	68.38786	9.47831	32.84626	6.38947	37.74615	8.90339	29.63120	1052.11914	11.08815	1.00000	61.75087	-25.66689	0.03267
