code	revision	longitude	latitude	station	QoS
RU	2016-12-10	53.47103	54.48147	Oktyabr’skiy	building
CN	2017/03/16	120.14278	32.50611	Jiangyan	maintenance
HN	04/08/2017, 00:00:00	-86.57415	15.48131	Olanchito	accep
ES	06/30/2016, 00:00:00	-15.58602	27.76056	Maspalomas	accep
BE	27 Feb 2016	4.07601	50.88506	Denderleeuw	good
IN	2020-12-22	74.3092	33.37526	Rajaori	good
US	2013/04/28	-83.48216	42.30865	Canton	average
IT	13 Nov 2015	11.04979	44.59445	Castelfranco Emilia	building
FR	15 Mar 2022	2.45012	48.90982	Bobigny	accep
DE	2014/07/03	7.36027	51.20219	Radevormwald	excellent
US	11/25/2018, 00:00:00	-73.9625	40.81	Morningside Heights	excellent
CL	27 May 2014	-71.23106	-32.45242	La Ligua	accep
IN	12 Apr 2016	81.54855	26.2649	Jais	maintenance
DK	01 Jan 2020	12.53463	55.67938	Frederiksberg	building
HT	2020/05/31	-72.22625	18.57677	Croix-des-Bouquets	good
BR	04/21/2020, 00:00:00	-41.25528	-19.32556	Resplendor	accep
MX	2018-02-04	-103.5687	20.22816	Zacoalco de Torres	excellent
IN	02 Jul 2014	78.23456	28.92694	Bachhraon	building
RU	2015-09-20	53.47103	54.48147	Oktyabr’skiy	good
NI	2013/12/15	-86.19903	11.84962	Jinotepe	maintenance
KE	2021-02-10	34.11169	0.46005	Busia	excellent
JP	08/07/2022, 00:00:00	138.31667	36.65	Suzaka	excellent
JP	04/08/2016, 00:00:00	130.94098	33.3213	Hita	building
NL	2018-08-02	7.00417	52.26083	Losser	good
GB	24 Mar 2021	-3.52751	50.7236	Exeter	accep
IN	2017/03/31	77.656	28.71271	Pilkhua	average
UZ	03/21/2022, 00:00:00	67.84222	40.11583	Jizzax	accep
AT	04/10/2021, 00:00:00	16.4	48.25	Floridsdorf	good
ID	2013-12-03	109.3243	-7.0981	Randudongkal	average
FR	2013/06/09	5.03586	43.83125	Cavaillon	average
US	05 Mar 2019	-73.49484	41.14676	New Canaan	excellent
RU	2021/05/08	57.3552	51.4781	Kuvandyk	good
DE	2021/04/07	11.34046	50.72043	Rudolstadt	excellent
RU	07 Jun 2017	33.2525	57.97472	Valday	excellent
ID	22 Jul 2020	99.1625	3.3285	Tebingtinggi	average
MQ	2013-01-08	-60.94228	14.67751	Le Robert	accep
IE	14 Mar 2013	-7.95	53.43333	Athlone	maintenance
IT	03 Apr 2015	14.72443	36.92574	Ragusa	excellent
FR	07/01/2022, 00:00:00	-4.1	48	Quimper	accep
ID	2016/04/20	118.9707	-3.5403	Majene	good
PL	2020-04-17	18.34717	54.60528	Reda	maintenance
US	2018/07/13	-85.76942	39.78504	Greenfield	maintenance
US	2018/02/24	-82.61573	41.24255	Norwalk	good
UA	11/07/2014, 00:00:00	38.15035	49.41029	Svatove	building
US	05/01/2019, 00:00:00	-76.99081	38.96372	Chillum	average
US	2014-11-12	-73.99681	40.94065	Dumont	average
IN	09/12/2013, 00:00:00	73.85535	18.51957	Pune	average
CA	04/11/2018, 00:00:00	-73.86586	45.43341	Beaconsfield	accep
US	2019/03/04	-73.0515	41.55815	Waterbury	maintenance
TR	07/26/2021, 00:00:00	28.88222	40.37528	Mudanya	good
IT	2020-09-15	8.55552	40.72586	Sassari	accep
US	2013/05/22	-73.95097	40.72371	Greenpoint	average
UA	23 Jul 2020	31.33078	47.56494	Voznesensk	accep
MG	29 Sep 2014	47.31667	-19.65	Antanifotsy	building
US	2022-08-27	-83.55521	41.66394	Toledo	accep
CA	2017-12-01	-73.86586	45.43341	Beaconsfield	maintenance
CO	2017/06/19	-72.47417	7.83389	Villa del Rosario	good
PH	14 Jun 2016	120.56528	14.66	Pilar	accep
US	27 May 2016	-96.39774	30.16688	Brenham	excellent
PT	07/09/2020, 00:00:00	-7.32097	41.1053	Custoias	accep
MY	29 Nov 2012	101.96857	4.88441	Gua Musang	average
IT	2015-11-14	14.72443	36.92574	Ragusa	average
US	2021/07/04	-81.77285	28.54944	Clermont	average
FR	03/18/2016, 00:00:00	-4.1	48	Quimper	excellent
TZ	2020-07-07	35.7	-7.76667	Iringa	good
IT	2013/07/08	12.84052	45.78071	Portogruaro	accep
AU	2013/08/26	150.99292	-33.75881	Baulkham Hills	building
GB	10/25/2019, 00:00:00	-2.09814	57.14369	Aberdeen	excellent
US	10/22/2013, 00:00:00	-87.93341	42.55308	Pleasant Prairie	excellent
DE	30 Sep 2016	8.63333	52.2	Kirchlengern	average
US	18 Mar 2020	-71.29144	41.54566	Middletown	excellent
UA	2018-07-17	31.33078	47.56494	Voznesensk	good
ES	04/09/2016, 00:00:00	-5.55835	42.64685	Villaquilambre	building
TH	2021/10/26	104.64992	14.64056	Kantharalak	excellent
HT	2020-08-17	-72.09391	18.65297	Thomazeau	excellent
BR	09/20/2017, 00:00:00	-53.13722	-22.92306	Loanda	excellent
GB	2018/07/01	-1.06667	53.78333	Selby	average
GE	02/10/2015, 00:00:00	41.77921	41.82143	Kobuleti	excellent
US	11/13/2019, 00:00:00	-76.43941	39.33427	Middle River	accep
US	09 Sep 2013	-91.06177	33.41012	Greenville	average
US	2016-09-08	-91.77127	37.95143	Rolla	average
US	04/21/2019, 00:00:00	-76.72803	39.32288	Woodlawn	average
IN	2017/09/26	78.40102	27.9247	Chharra	average
FR	2019/09/11	4.7934	45.69558	Saint-Genis-Laval	good
PK	2021-04-21	71.52847	32.57756	Mianwali	good
DE	29 Oct 2016	9.20427	48.49144	Reutlingen	good
US	2022/07/11	-119.01677	36.06523	Porterville	accep
TZ	11 Apr 2014	29.65806	-4.83	Mwandiga	maintenance
RU	2017/07/29	46.10925	43.35071	Gudermes	accep
IN	12/12/2014, 00:00:00	91.61356	26.44931	Rangia	average
RE	2016-05-16	55.4504	-20.88231	Saint-Denis	accep
MY	03 Feb 2014	103.6032	1.6561	Kulai	maintenance
US	12/14/2015, 00:00:00	-86.11084	41.75338	Granger	good
IN	30 Jan 2013	78.40102	27.9247	Chharra	accep
PK	01/09/2022, 00:00:00	72.54064	31.82539	Sillanwali	average
DZ	01/21/2017, 00:00:00	4.85668	36.27462	Bordj Zemoura	accep
CN	2020-04-26	126.28333	45.35	Shuangcheng	good
US	2015-09-27	-74.28459	40.5576	Woodbridge	accep
GB	2021-11-14	-0.2	51.65	Barnet	building
TT	05/26/2017, 00:00:00	-61.51889	10.66668	Port of Spain	excellent
TH	12/08/2014, 00:00:00	100.48528	14.37395	Bang Ban	average
IT	2021/01/02	7.60872	43.78956	Ventimiglia	average
CN	05/20/2017, 00:00:00	116.11768	24.28859	Meizhou	good
GB	10/25/2019, 00:00:00	-1.5443	50.75767	Lymington	excellent
CM	2019/01/22	10.7	4.96667	Tonga	building
US	05 Jan 2020	-76.72803	39.32288	Woodlawn	accep
US	02/03/2021, 00:00:00	-77.70066	43.16547	Gates-North Gates	building
PG	2018/04/15	144.23058	-5.85746	Mount Hagen	excellent
GB	03/12/2022, 00:00:00	-0.32247	50.82882	Lancing	good
CN	2016/12/22	115.70111	37.73222	Hengshui	maintenance
IT	03/11/2015, 00:00:00	8.86374	44.89784	Tortona	building
GB	11/04/2020, 00:00:00	-1.47217	53.46506	Chapletown	good
ID	12/02/2016, 00:00:00	106.85417	-6.48167	Cibinong	good
US	2012-10-03	-80.31727	25.67927	Kendall	average
GB	2020-01-04	-2.68758	53.69786	Leyland	average
FR	29 Mar 2022	1.6	43.11667	Pamiers	accep
IN	10/04/2020, 00:00:00	77.5609	11.00599	Kangayam	accep
CA	08 Jan 2015	-119.48568	49.88307	Kelowna	good
DE	02 Jun 2018	8.51667	51.88333	Verl	excellent
US	2018/12/13	-96.39774	30.16688	Brenham	good
US	2015/03/09	-115.98391	36.20829	Pahrump	good
JP	2018/04/11	135.6	34.61667	Yao	accep
RU	2015/02/23	40.17171	58.1908	Danilov	maintenance
AR	2019/05/19	-60.47389	-34.64167	Chacabuco	excellent
IN	2016/07/19	84.63445	24.81757	Rafiganj	accep
TJ	2014-10-20	69.01354	38.55632	Vahdat	building
KR	2016-11-26	127.08472	36.20389	Nonsan	good
ZA	2020-06-07	30.79165	-27.76952	Vryheid	average
RU	2015/06/05	43.63417	43.96222	Novopavlovsk	average
DO	2019-04-02	-71.10077	18.20854	Santa Cruz de Barahona	accep
ES	2020-05-23	2.18247	41.41204	el Camp de l'Arpa del Clot	accep
CN	18 Dec 2014	117.4831	27.34089	Shaowu	excellent
LT	22 Sep 2014	24.75	55.25	Ukmerge	building
SV	04/18/2021, 00:00:00	-89.10944	13.70167	Ilopango	maintenance
NL	28 May 2017	6.76111	53.16167	Hoogezand	good
BR	2018/01/12	-42.19667	-21.41222	Miracema	excellent
CA	2018/12/17	-73.75335	45.4473	Dorval	good
IN	2018/01/11	71.57737	21.53889	Gariadhar	average
CF	09 Apr 2020	15.87735	4.94273	Carnot	maintenance
FR	31 Mar 2022	8.73812	41.91886	Ajaccio	good
CA	2018-05-29	-79.2663	43.86682	Markham	building
DE	2015-06-20	6.74549	49.5099	Losheim	accep
US	05/15/2019, 00:00:00	-73.97069	40.64621	Kensington	building
DE	03/08/2016, 00:00:00	9.5586	54.52156	Schleswig	accep
TR	2019-07-13	28.88222	40.37528	Mudanya	excellent
CA	2021/02/21	-73.58248	45.40008	Sainte-Catherine	average
DZ	2016/01/16	2.95924	36.76775	Cheraga	excellent
IN	2022-08-07	77.9129	25.6439	Narwar	good
ES	05/05/2022, 00:00:00	-2.98884	43.32686	Leioa	accep
US	01/29/2020, 00:00:00	-72.97261	43.61062	Rutland	building
RS	20 Feb 2017	22.53083	44.22639	Negotin	good
RU	2020/09/29	35.96944	56.03361	Volokolamsk	average
US	25 Sep 2015	-116.37697	33.72255	Palm Desert	accep
BR	2018-11-02	-49.27306	-25.42778	Curitiba	accep
BR	2014/04/08	-58.44417	-3.14306	Itacoatiara	good
RU	03/18/2015, 00:00:00	89.20083	55.54028	Sharypovo	accep
CN	05/16/2015, 00:00:00	86.00214	46.51872	Hoxtolgay	average
IT	03/10/2017, 00:00:00	9.32241	44.31771	Chiavari	accep
CN	2017/09/10	117.27583	35.64889	Sishui	good
LY	11/02/2014, 00:00:00	10.18003	24.96334	Ghat	accep
GB	2016/06/15	-0.74934	51.62907	High Wycombe	good
CR	31 May 2019	-84.13722	9.92787	San Rafael	accep
CN	02/10/2018, 00:00:00	122.74754	40.85158	Haicheng	good
BR	26 Aug 2018	-37.03861	-10.90889	Barra dos Coqueiros	good
RU	10/20/2016, 00:00:00	38.94324	44.98901	Yablonovskiy	maintenance
CN	2019/02/13	130.57211	45.75279	Boli	accep
JP	12/20/2012, 00:00:00	137.95378	35.82756	Ina	good
PL	30 Sep 2020	19.27498	50.20528	Jaworzno	good
IN	04 May 2021	73.7553	15.5439	Calangute	excellent
TH	2012/10/31	100.48528	14.37395	Bang Ban	good
CN	2014/03/29	125.51176	42.64031	Dongfeng	building
VN	03 Sep 2013	105.75635	10.29085	Sa Dec	average
ID	10/08/2015, 00:00:00	107.60389	-7.01833	Pameungpeuk	accep
MX	11/15/2013, 00:00:00	-102.04897	19.64745	Paracho de Verduzco	building
GB	03/10/2014, 00:00:00	-1.5443	50.75767	Lymington	accep
NZ	2015/08/13	178.00417	-38.65333	Gisborne	average
ES	2016/04/15	-0.76773	38.38479	Novelda	good
BR	10/15/2014, 00:00:00	-51.87389	-23.44361	Sarandi	average
RU	2016/11/10	92.48278	58.23583	Lesosibirsk	average
UA	06/18/2017, 00:00:00	26.97253	49.65186	Krasyliv	maintenance
IN	20 Sep 2018	74.80555	34.08565	Srinagar	good
GB	07 Jan 2014	-2.12139	52.48173	Brierley Hill	good
US	02/23/2015, 00:00:00	-123.02621	44.99012	Keizer	building
CA	24 Oct 2020	-73.75335	45.4473	Dorval	good
MY	2017/05/27	103.81667	1.6	Ulu Tiram	accep
CN	01/19/2018, 00:00:00	117.4831	27.34089	Shaowu	building
US	09/21/2021, 00:00:00	-83.55521	41.66394	Toledo	average
TH	08 Nov 2017	102.05461	6.25947	Tak Bai	average
CA	11/03/2014, 00:00:00	-80.38297	42.8334	Norfolk County	good
AU	09/17/2022, 00:00:00	115.8614	-31.95224	Perth	good
MX	2013/06/22	-97.35992	19.8173	Teziutlan	accep
RU	05 Oct 2012	30.28491	60.02427	Kolomyagi	accep
US	04 Mar 2022	-87.93341	42.55308	Pleasant Prairie	excellent
US	10/04/2017, 00:00:00	-82.46148	28.15112	Lutz	building
FR	2021-05-16	2.1699	48.98994	Herblay	average
FR	21 Oct 2020	1.6	43.11667	Pamiers	good
ET	14 May 2016	38.01667	11.85	Debre Tabor	accep
IN	02/25/2014, 00:00:00	76.03889	18.18158	Osmanabad	excellent
IT	2020/04/03	11.04979	44.59445	Castelfranco Emilia	maintenance
US	2016-11-29	-74.96933	39.71734	Sicklerville	accep
JP	2013/08/21	144.09638	43.82634	Motomachi	maintenance
US	2020-05-21	-74.13653	40.63316	Port Richmond	maintenance
MK	2014-10-23	21.32778	42	Saraj	excellent
US	03/04/2015, 00:00:00	-94.74049	32.5007	Longview	building
AU	07/17/2022, 00:00:00	115.88782	-32.05251	Willetton	excellent
ES	2015/03/16	-6.03731	37.35813	San Juan de Aznalfarache	good
IT	11/24/2019, 00:00:00	13.57661	37.31065	Agrigento	maintenance
US	05/26/2017, 00:00:00	-73.78458	41.0051	Scarsdale	average
TH	08/19/2014, 00:00:00	100.04427	13.8196	Nakhon Pathom	good
NA	07/20/2015, 00:00:00	16.91667	-21.98333	Okahandja	excellent
FR	15 Mar 2014	2.1699	48.98994	Herblay	accep
IN	05/30/2020, 00:00:00	77.24779	10.58806	Udumalaippettai	accep
CN	12/28/2016, 00:00:00	114.51667	33.78333	Wacheng	accep
IN	04/06/2015, 00:00:00	76.32756	9.57046	Kalavoor	excellent
US	08/21/2019, 00:00:00	-115.98391	36.20829	Pahrump	accep
PK	09/06/2018, 00:00:00	71.67164	30.29184	Qadirpur Ran	excellent
MY	2019/04/28	102.3278	2.2139	Kampung Ayer Molek	maitennce
GB	2018-11-09	1.26738	51.84819	Walton-on-the-Naze	average
RU	2019-03-13	89.20083	55.54028	Sharypovo	average
EE	12/31/2018, 00:00:00	28.19028	59.37722	Narva	maintenance
IN	2019/02/02	83.97573	21.46527	Sambalpur	excellent
IN	2016-03-31	75.11937	20.88098	Parola	average
MX	2013/05/30	-103.5687	20.22816	Zacoalco de Torres	building
NG	2021-02-05	9.0027	11.86064	Gaya	building
US	2015/02/06	-88.31476	36.61033	Murray	accep
US	08/18/2020, 00:00:00	-90.10674	29.84576	Estelle	accep
GN	2014/07/22	-13.68778	9.535	Camayenne	good
BR	2016-07-02	-51.50361	-29.2975	Carlos Barbosa	good
IT	2016/12/07	12.6723	41.72063	Ariccia	average
RU	14 Mar 2019	53.47103	54.48147	Oktyabr’skiy	accep
AT	03/27/2013, 00:00:00	15.46667	47.05	Sankt Peter	accep
VE	2018/03/27	-62.64102	8.35122	Ciudad Guayana	accep
BR	2020-11-30	-38.94722	-15.675	Canavieiras	average
EE	2021/04/05	28.19028	59.37722	Narva	building
RU	2013/08/10	60.8019	56.9083	Beryozovsky	accep
TT	2016/11/05	-61.51889	10.66668	Port of Spain	average
RU	2018-09-11	53.47103	54.48147	Oktyabr’skiy	good
IL	06 Jul 2017	34.8732	32.05971	Ganei Tikva	maintenance
IN	07/21/2013, 00:00:00	77.54372	10.12268	Periyakulam	building
US	05/27/2013, 00:00:00	-96.39774	30.16688	Brenham	excellent
PL	10/16/2012, 00:00:00	17.4674	50.86079	Brzeg	excellent
IN	12/20/2013, 00:00:00	75.35927	12.04161	Talipparamba	building
PS	10/04/2018, 00:00:00	35.23388	31.78336	East Jerusalem	average
CN	15 Jun 2020	117.65694	36.19278	Laiwu	good
DZ	03/09/2013, 00:00:00	2.31889	35.21222	Ksar Chellala	average
ID	2014/11/01	112.01667	-7.81667	Kediri	good
BR	2013-04-26	-42.98194	-22.53722	Guapimirim	maintenance
US	16 Mar 2017	-84.23381	33.54428	Stockbridge	good
US	03/11/2015, 00:00:00	-93.08883	45.16024	Lino Lakes	excellent
CA	2015-06-13	-60.1831	46.1351	Sydney	excellent
DZ	2020/02/04	3.50309	34.15429	Messaad	accep
CZ	22 Nov 2019	13.63617	50.50301	Most	accep
BR	10/08/2018, 00:00:00	-44.31389	-19.7625	Esmeraldas	excellent
US	14 Nov 2015	-74.01042	41.50343	Newburgh	accep
MX	2015/12/01	-103.5687	20.22816	Zacoalco de Torres	accep
ID	2014/10/24	103.61667	-1.6	Jambi City	excellent
GB	02/20/2021, 00:00:00	0.30367	51.38673	Hartley	maintenance
RU	02/13/2021, 00:00:00	36.73307	55.38752	Naro-Fominsk	excellent
VU	11/15/2019, 00:00:00	168.31366	-17.73648	Port-Vila	building
PH	2017/04/28	120.4861	16.0438	Manaoag	maintenance
CA	06/02/2017, 00:00:00	-80.38297	42.8334	Norfolk County	building
FI	2017-03-15	24.6522	60.2052	Espoo	good
KE	2014/07/11	36.36339	0.03813	Nyahururu	good
ID	2015/03/07	116.82887	-1.26753	Balikpapan	average
US	2014-06-02	-84.62081	42.7392	Waverly	accep
DZ	2017/09/30	3.55665	36.72544	Thenia	average
TH	2012/12/06	101.18445	13.44581	Phanat Nikhom	accep
CN	10/17/2020, 00:00:00	117.63083	35.50056	Pingyi	average
MX	30 Oct 2017	-97.35992	19.8173	Teziutlan	excellent
PK	01/28/2016, 00:00:00	68.11759	26.9423	Tharu Shah	good
MX	2021-02-03	-105.36369	22.49396	Acaponeta	accep
US	16 Mar 2016	-80.31727	25.67927	Kendall	excellent
US	2021-09-10	-89.99038	38.58894	Fairview Heights	excellent
FR	2015/01/07	1.33467	43.61058	Colomiers	average
VE	2016-06-29	-67.33122	10.22677	La Victoria	accep
ES	2019/02/21	0.57856	40.70995	Amposta	average
US	2013/12/01	-116.37697	33.72255	Palm Desert	average
US	09/06/2021, 00:00:00	-97.54667	30.5427	Hutto	average
US	10/30/2013, 00:00:00	-80.22588	26.2173	North Lauderdale	good
JP	2017-04-30	142.45778	44.35056	Nayoro	maintenance
DE	12/31/2016, 00:00:00	8.63333	52.2	Kirchlengern	average
FI	29 Aug 2018	24.95034	60.18427	Kallio	building
CN	11/16/2016, 00:00:00	112.19028	30.35028	Jingzhou	maintenance
NG	15 Oct 2012	4.52514	12.74482	Argungu	average
IN	02/07/2018, 00:00:00	75.11937	20.88098	Parola	average
IT	2016/01/10	12.70038	45.9836	Cordenons	average
IN	2013/06/02	86.59509	26.11527	Supaul	excellent
US	2021/07/31	-95.30106	32.35126	Tyler	excellent
CF	2015-07-29	15.87735	4.94273	Carnot	excellent
ID	20 Jan 2022	98.6738	3.7278	Labuhan Deli	maintenance
MX	06 Oct 2014	-105.36369	22.49396	Acaponeta	good
US	2021-02-26	-72.86843	41.27621	East Haven	average
NG	2017/02/03	8.2926	9.58126	Kafanchan	good
RU	04/15/2015, 00:00:00	43.63417	43.96222	Novopavlovsk	excellent
PL	05 May 2017	16.86194	54.58048	Ustka	accep
MY	2018/03/01	100.24529	5.4709	Batu Feringgi	excellent
IN	19 Apr 2014	79.41727	12.25282	Gingee	average
PK	2021/11/05	74.12286	30.76468	Kanganpur	accep
BR	2021-01-26	-37.65	-10.91722	Lagarto	good
CD	2017-12-19	24.43973	0.76755	Yangambi	average
CO	21 Apr 2014	-73.26022	6.46838	Socorro	excellent
CA	01/15/2013, 00:00:00	-60.1831	46.1351	Sydney	accep
FR	2017/05/18	2.29275	48.79325	Fontenay-aux-Roses	excellent
IN	2015-12-12	78.25795	9.82564	Tiruppuvanam	excellent
GB	2019/03/23	-1.47217	53.46506	Chapletown	excellent
RU	01/31/2014, 00:00:00	43.91385	54.03876	Kovylkino	building
RU	2017/07/12	43.67663	53.53041	Nizhniy Lomov	accep
JP	2019-10-04	140.11667	37.56667	Inawashiro	average
US	2017/05/08	-87.88754	41.15376	Bourbonnais	maitennce
MY	12 Jun 2019	101.96857	4.88441	Gua Musang	average
PH	27 Jan 2016	122.8637	9.3337	Santa Catalina	acceptable
JP	2021-08-18	137.5	34.9	Shinshiro	maintenance
JP	2018-09-01	144.09638	43.82634	Motomachi	excellent
IT	2013/10/09	16.50104	41.24264	Bisceglie	accep
AU	2018/08/13	152.70493	-25.54073	Maryborough	average
US	15 Apr 2013	-75.64963	40.24537	Pottstown	accep
MY	2021-11-25	101.02083	4.02219	Teluk Intan	accep
MD	2022-08-23	28.28489	48.15659	Soroca	accep
BE	09 Oct 2012	4.07601	50.88506	Denderleeuw	average
BE	05/15/2021, 00:00:00	4.25633	51.21187	Beveren	average
US	06/21/2013, 00:00:00	-96.39774	30.16688	Brenham	maintenance
TH	10/23/2020, 00:00:00	104.1451	15.79408	Yasothon	excellent
DZ	2012/11/11	3.47717	36.76639	Boumerdas	accep
US	2016/03/08	-118.25508	34.14251	Glendale	average
IN	20 Oct 2020	78.55757	17.34769	Lal Bahadur Nagar	good
RU	12/09/2012, 00:00:00	43.91385	54.03876	Kovylkino	good
AU	2015/02/28	150.99292	-33.75881	Baulkham Hills	good
DK	17 Apr 2019	12.53463	55.67938	Frederiksberg	good
AO	14 Apr 2021	19.91667	-11.78333	Luena	building
DE	2015/02/07	7.02238	52.21099	Gronau	excellent
US	10/05/2013, 00:00:00	-80.22588	26.2173	North Lauderdale	good
DE	2015-03-20	12.16179	48.52961	Landshut	building
PK	2016-02-23	72.54566	29.69221	Hasilpur	average
RU	05/01/2020, 00:00:00	43.67663	53.53041	Nizhniy Lomov	accep
BR	02 Mar 2021	-42.29444	-4.24444	Barras	average
FR	09/07/2022, 00:00:00	-1.05366	43.71032	Dax	accep
DE	08/22/2022, 00:00:00	11.37703	48.06919	Gauting	building
IN	2015/09/09	74.4818	30.21121	Malaut	good
NG	2012/10/05	3.64633	6.8485	Shagamu	excellent
GB	01/26/2020, 00:00:00	-2.52398	53.19146	Winsford	accep
ES	2018-06-29	-15.58602	27.76056	Maspalomas	average
CN	2017/03/01	130.57211	45.75279	Boli	excellent
SK	01/10/2022, 00:00:00	17.22635	48.8449	Skalica	excellent
RU	2012-12-30	33.72798	53.53395	Zhukovka	average
FR	29 Jun 2020	5.03586	43.83125	Cavaillon	maintenance
JP	2014/05/04	142.45778	44.35056	Nayoro	average
