location	latitude	QoS	code	longitude	revision
America/Sao_Paulo	-21.205	average	BR	-41.88778	2016-12-30
Europe/Paris	48	excellent	FR	-4.1	2019-09-16
America/Sao_Paulo	-21.205	accep	BR	-41.88778	04 Nov 2017
Asia/Karachi	29.69221	building	PK	72.54566	26 Nov 2017
Europe/Moscow	43.96222	excellent	RU	43.63417	11 Aug 2017
Indian/Antananarivo	-22.9	average	MG	44.53333	05/05/2014, 00:00:00
America/New_York	41.16704	building	US	-73.20483	17 Mar 2021
Europe/Madrid	42.06166	maintenance	ES	-1.60452	2013/06/14
America/Bahia	-10.95817	good	BR	-38.79084	2020/08/29
Europe/London	51.40148	accep	GB	-1.32471	08 Oct 2014
Africa/Tunis	36.46917	good	TN	10.78222	2019/05/13
Africa/Lubumbashi	0.49113	average	CD	29.47306	11/27/2019, 00:00:00
Pacific/Auckland	-44.39672	average	NZ	171.25364	11/05/2017, 00:00:00
America/Chicago	33.45122	good	US	-86.99666	2016/11/29
America/Toronto	45.44868	building	CA	-73.81669	2022/08/09
Asia/Tokyo	34.9	good	JP	137.5	2019/08/15
America/Chicago	41.6764	good	US	-91.58045	2015/03/29
America/New_York	26.2173	good	US	-80.22588	2017-05-02
Asia/Tokyo	35.8	accep	JP	137.23333	10 Jul 2016
America/Los_Angeles	46.32374	good	US	-120.00865	05 Jul 2015
Asia/Shanghai	35.64889	excellent	CN	117.27583	03 Nov 2016
Europe/Oslo	68.79833	average	NO	16.54165	2015/11/16
Asia/Jakarta	-7.57897	accep	ID	112.23109	2021-07-01
America/Recife	-8.28333	building	BR	-35.03333	11/08/2015, 00:00:00
Europe/Berlin	48.35693	good	DE	10.98461	06 Feb 2019
Asia/Tokyo	34.9	accep	JP	137.5	2017/11/25
Africa/Dar_es_Salaam	-5.41667	building	TZ	38.01667	09/08/2014, 00:00:00
Africa/Nairobi	0.03813	average	KE	36.36339	2018-12-16
Europe/London	50.7236	excellent	GB	-3.52751	2015-11-25
America/Chicago	41.47892	average	US	-87.45476	2021/02/08
Asia/Samarkand	40.11583	building	UZ	67.84222	05/20/2022, 00:00:00
America/New_York	32.54044	accep	US	-82.90375	2018/09/23
Asia/Krasnoyarsk	55.54028	excellent	RU	89.20083	12/04/2019, 00:00:00
Asia/Manila	6.95194	maintenance	PH	121.96361	18 May 2021
Asia/Kolkata	10.58806	maintenance	IN	77.24779	10/13/2016, 00:00:00
Europe/Prague	50.23271	good	CZ	12.87117	2018-02-28
America/Lima	-3.74912	good	PE	-73.25383	2013-06-23
America/Los_Angeles	34.95303	accep	US	-120.43572	2016-11-03
Europe/Paris	43.83125	maintenance	FR	5.03586	14 Apr 2021
America/Detroit	42.30865	excellent	US	-83.48216	2022-06-30
America/New_York	42.52787	good	US	-70.92866	09 Jul 2022
Asia/Kolkata	23.49668	excellent	IN	86.68363	03/27/2018, 00:00:00
Asia/Manila	14.14989	excellent	PH	121.3152	07 Apr 2016
Asia/Shanghai	40.66482	excellent	CN	122.22833	12/15/2017, 00:00:00
America/New_York	40.81	good	US	-73.9625	2013/10/26
Europe/Madrid	43.48961	good	ES	-8.2194	2016/12/04
Europe/Berlin	50.9803	excellent	DE	11.32903	2014/04/05
America/Santiago	-32.45242	accep	CL	-71.23106	2016-04-20
Asia/Tokyo	34.4833	excellent	JP	136.84186	2016-02-17
Asia/Novokuznetsk	55.8736	average	RU	85.4265	13 Apr 2016
Europe/Berlin	54.52156	good	DE	9.5586	2019/09/13
Europe/Berlin	47.98372	accep	DE	10.18527	2013/05/11
America/Fortaleza	-4.16694	excellent	BR	-40.7475	2016-08-29
Asia/Jakarta	3.7278	good	ID	98.6738	02/21/2017, 00:00:00
America/Sao_Paulo	-23.44361	average	BR	-51.87389	2021-01-04
Europe/Rome	45.9836	maintenance	IT	12.70038	2015/08/15
Europe/Paris	43.83125	maintenance	FR	5.03586	2018/07/29
Asia/Damascus	35.95664	accep	SY	36.7138	01/31/2021, 00:00:00
Europe/Paris	43.61058	average	FR	1.33467	2020/01/08
Asia/Shanghai	32.50611	excellent	CN	120.14278	20 Jun 2020
Asia/Almaty	47.46657	accep	KZ	84.87144	2014-05-01
Asia/Tehran	32.65246	good	IR	51.67462	11/11/2017, 00:00:00
Africa/Lagos	12.74482	accep	NG	4.52514	09/23/2018, 00:00:00
America/Mexico_City	20.21322	accep	MX	-100.88023	2015/08/10
Africa/Dar_es_Salaam	-4.83	excellent	TZ	29.65806	04/10/2016, 00:00:00
Europe/Brussels	50.8	good	BE	3.16667	2022-05-23
America/Los_Angeles	33.95015	accep	US	-118.03917	08 Jun 2013
America/Argentina/Ushuaia	-54.8	good	AR	-68.3	18 Dec 2015
America/Chicago	41.8542	average	US	-87.66561	09 Apr 2014
America/Los_Angeles	38.54491	good	US	-121.74052	02/08/2018, 00:00:00
Europe/Kiev	51.67822	accep	UA	33.9162	2020-06-12
Africa/Dar_es_Salaam	-6.8	good	TZ	39.25	2022-04-21
Europe/London	51.78967	maitennce	GB	1.15597	2021-06-27
Asia/Kolkata	25.87498	average	IN	86.59611	2013-01-29
Asia/Jakarta	-7.01833	excellent	ID	107.60389	04 Jan 2020
Europe/Istanbul	37.31309	good	TR	40.74357	2014-05-09
Europe/London	53.00974	building	GB	-3.05814	2020/12/23
Asia/Qyzylorda	44.85278	maintenance	KZ	65.50917	2013/08/17
Asia/Kolkata	26.76628	good	IN	83.36889	21 Sep 2013
Europe/Madrid	42.06166	building	ES	-1.60452	08 May 2022
Europe/Kiev	49.65186	good	UA	26.97253	03 Jul 2015
Africa/Accra	5.30383	good	GH	-1.98956	2020-10-17
Africa/Johannesburg	-26.93366	good	ZA	29.24152	2016-01-21
Asia/Karachi	31.96258	excellent	PK	73.97117	04/10/2016, 00:00:00
Africa/Lagos	7.50251	excellent	NG	5.06258	2018-12-06
Europe/Lisbon	38.72706	good	PT	-9.24671	2015/10/22
Europe/Sofia	43.4125	maintenance	BG	23.225	2020-10-24
Europe/Rome	40.53123	good	IT	17.58522	2016/01/28
Asia/Jakarta	-8.43333	good	ID	114.33333	2013/10/30
America/New_York	37.52487	good	US	-77.55777	15 Jul 2013
America/Argentina/Cordoba	-31.25033	good	AR	-61.4867	2019-08-25
Asia/Shanghai	41.94175	average	CN	123.50266	03/25/2015, 00:00:00
Asia/Manila	10.20898	accep	PH	123.758	2014/06/25
Asia/Manila	14.66	good	PH	120.56528	06 Jul 2013
Africa/Addis_Ababa	11.85	excellent	ET	38.01667	01/01/2013, 00:00:00
Europe/Brussels	51.21187	average	BE	4.25633	12/17/2012, 00:00:00
America/Phoenix	33.35283	excellent	US	-111.78903	2018/12/06
America/Los_Angeles	37.73604	maintenance	US	-120.93549	2021-12-20
Europe/Rome	37.49223	maintenance	IT	15.07041	2016-03-24
America/Los_Angeles	47.38093	average	US	-122.23484	2019-01-02
Asia/Kolkata	18.18158	good	IN	76.03889	2018/09/09
America/New_York	41.0051	good	US	-73.78458	23 Jun 2016
Asia/Shanghai	34.65918	accep	CN	109.22921	27 Sep 2012
Asia/Bangkok	15.58552	excellent	TH	102.42587	2014/11/12
Europe/Berlin	51.08468	good	DE	7.11393	2020/07/21
Europe/Skopje	42	excellent	MK	21.32778	2022/08/20
Europe/Berlin	51.19139	average	DE	6.51352	2015-09-05
America/Chicago	44.27804	accep	US	-88.27205	03 Aug 2013
America/New_York	33.98154	maintenance	US	-81.23621	24 Jan 2020
Europe/Belgrade	42.62833	good	XK	20.89389	2019/05/04
America/Mexico_City	17.06542	accep	MX	-96.72365	01 Jul 2013
America/Chicago	39.09112	accep	US	-94.41551	03 Apr 2020
America/Argentina/Buenos_Aires	-34.74785	building	AR	-58.70072	05 Dec 2015
America/Bogota	10.98778	good	CO	-74.95472	2016-10-05
Europe/Prague	50.50301	good	CZ	13.63617	2015-05-25
Asia/Yekaterinburg	58.63667	excellent	RU	59.80222	11/30/2013, 00:00:00
Asia/Karachi	26.9423	accep	PK	68.11759	06/18/2015, 00:00:00
Europe/London	51.64316	average	GB	-0.36053	2015-04-09
Europe/Copenhagen	55.67938	building	DK	12.53463	07/08/2018, 00:00:00
America/Glace_Bay	46.1351	average	CA	-60.1831	2020-12-02
Europe/Paris	48.86667	good	FR	2.08333	2015/04/29
Asia/Tokyo	34.25	building	JP	135.31667	01/25/2018, 00:00:00
Africa/Algiers	36.72544	good	DZ	3.55665	11/19/2015, 00:00:00
Africa/Freetown	8.48714	average	SL	-13.2356	2015/07/17
Asia/Tehran	32.65246	accep	IR	51.67462	2019/06/06
America/New_York	43.1009	good	US	-75.23266	2013/06/15
Africa/Douala	4.96667	average	CM	10.7	2016-06-13
Asia/Kolkata	28.98002	average	IN	77.70636	2016-08-12
Africa/Cairo	26.67319	good	EG	31.4976	2015-10-29
Europe/Copenhagen	55.67938	accep	DK	12.53463	2014/10/19
America/New_York	39.45621	building	US	-77.96389	02 Jan 2018
America/Chicago	29.53885	building	US	-95.44744	09/15/2019, 00:00:00
America/Port-au-Prince	18.65297	excellent	HT	-72.09391	2013-09-27
Europe/Moscow	53.77166	good	RU	38.12408	2016-02-26
Asia/Shanghai	23.73333	good	CN	114.68333	24 Mar 2020
Europe/Berlin	52.47774	maintenance	DE	10.5511	2016/04/05
Asia/Shanghai	35.85	excellent	CN	117.7	2015-01-05
Asia/Shanghai	23.29549	excellent	CN	113.82465	2014/04/03
America/Sao_Paulo	-19.7625	accep	BR	-44.31389	24 Nov 2017
Africa/Abidjan	5.27247	good	CI	-3.59625	2022/09/23
Europe/London	51.39148	accep	GB	-0.29825	10/02/2017, 00:00:00
Europe/Minsk	53.5942	building	BY	25.8191	2020/04/06
Africa/Lagos	9.58126	good	NG	8.2926	2014-04-07
Pacific/Efate	-17.73648	acceptable	VU	168.31366	09/23/2019, 00:00:00
Africa/Kigali	-1.9487	excellent	RW	30.4347	2015/05/31
America/New_York	42.93369	excellent	US	-72.27814	2020-10-28
Europe/Rome	42.67164	accep	IT	14.01481	2022-07-30
America/Recife	-8.66667	average	BR	-35.71667	03/09/2020, 00:00:00
America/New_York	39.32011	excellent	US	-76.51552	2016/04/28
Europe/Berlin	49.03685	excellent	DE	8.70745	05 Oct 2017
Europe/London	53.49389	good	GB	-1.29243	14 Oct 2016
Europe/London	51.35084	accep	GB	-1.99421	09/01/2014, 00:00:00
America/New_York	28.15112	average	US	-82.46148	27 Sep 2012
America/Mexico_City	20.74122	good	MX	-100.44843	2018-02-26
Europe/Chisinau	48.15659	maintenance	MD	28.28489	11/28/2013, 00:00:00
Europe/Paris	48.77644	accep	FR	2.29026	09 Dec 2018
Europe/London	53.78333	excellent	GB	-1.06667	2016-12-08
America/Chicago	41.6764	excellent	US	-91.58045	2015/01/04
Europe/Madrid	40.42386	excellent	ES	-3.53261	11/10/2013, 00:00:00
Europe/London	50.11861	good	GB	-5.53715	2014/02/06
Australia/Sydney	-33.79176	good	AU	151.08057	02/01/2016, 00:00:00
Australia/Brisbane	-27.50578	building	AU	153.10236	2014/02/02
America/Port_of_Spain	10.66668	excellent	TT	-61.51889	11 Dec 2017
America/Santiago	-33.59217	average	CL	-70.6996	27 Jul 2017
Asia/Kolkata	24.41288	excellent	IN	76.56719	2015/12/14
Australia/Sydney	-33.79176	average	AU	151.08057	15 Nov 2012
America/New_York	33.08014	excellent	US	-83.2321	03/30/2016, 00:00:00
Asia/Kolkata	23.1959	good	IN	86.51499	2019/07/08
America/Argentina/Buenos_Aires	-34.64167	maintenance	AR	-60.47389	19 Jan 2016
America/Sao_Paulo	-21.205	maintenance	BR	-41.88778	09/09/2015, 00:00:00
Asia/Kuching	5.90702	good	MY	116.10146	2018/09/04
Europe/Kiev	45.99194	average	UA	29.41824	2021-10-17
Asia/Yekaterinburg	56.11281	excellent	RU	69.49015	25 Jul 2018
Europe/London	53.46506	accep	GB	-1.47217	01 Jul 2015
Europe/Paris	48.8765	good	FR	2.18967	2022/01/19
Asia/Manila	10.31672	maintenance	PH	123.89071	04/29/2021, 00:00:00
Europe/Rome	45.53069	good	IT	9.40531	2018/12/26
Europe/Kiev	51.67822	good	UA	33.9162	2019-09-23
America/New_York	40.64621	maintenance	US	-73.97069	2013/05/02
Europe/Paris	45.73333	maintenance	FR	4.91667	2015-03-31
America/Argentina/Ushuaia	-54.8	average	AR	-68.3	05/09/2014, 00:00:00
Asia/Manila	15.72892	excellent	PH	120.57224	2020-01-25
America/Chicago	41.8542	excellent	US	-87.66561	11 Jan 2014
America/Chicago	41.85059	good	US	-87.882	2022-08-06
Asia/Kolkata	19.30157	accep	IN	72.85107	03 May 2020
America/New_York	41.24255	good	US	-82.61573	2016-11-05
America/Los_Angeles	47.80527	excellent	US	-122.24064	03/19/2018, 00:00:00
Europe/Rome	45.44694	average	IT	8.62118	18 Oct 2018
Asia/Kolkata	24.81757	excellent	IN	84.63445	2018/09/21
Europe/Paris	46.32313	accep	FR	-0.45877	2019/06/03
America/Los_Angeles	33.72255	accep	US	-116.37697	2014-05-09
Asia/Bangkok	16.0567	building	TH	103.65309	04/28/2022, 00:00:00
Europe/Berlin	49.68369	average	DE	8.61839	08/09/2016, 00:00:00
Asia/Kolkata	28.92694	excellent	IN	78.23456	07/01/2013, 00:00:00
Asia/Shanghai	41.09822	excellent	CN	120.74792	2013/04/29
Asia/Shanghai	23.02677	good	CN	113.13148	2014-10-27
America/Chicago	30.5427	building	US	-97.54667	10/06/2019, 00:00:00
Asia/Tbilisi	41.82143	excellent	GE	41.77921	06 Nov 2013
Europe/Berlin	51.21667	accep	DE	6.26667	22 Jul 2018
America/Mazatlan	22.49396	accep	MX	-105.36369	11 Apr 2016
Asia/Karachi	29.38242	excellent	PK	70.91106	2014/06/13
Europe/Istanbul	40.98894	maintenance	TR	28.67582	2020-09-19
Asia/Tokyo	34.75856	good	JP	136.13108	2016/09/27
Europe/Rome	44.89784	good	IT	8.86374	2016/02/18
America/New_York	40.60538	good	US	-73.75513	2016-03-05
America/New_York	39.08367	excellent	US	-84.50855	03/06/2019, 00:00:00
America/Los_Angeles	33.93113	accep	US	-117.54866	21 Sep 2013
Europe/Berlin	52.61131	accep	DE	13.31783	2017-08-04
Europe/Dublin	53.43333	good	IE	-7.95	17 Nov 2016
Europe/Rome	43.1122	average	IT	12.38878	06/09/2016, 00:00:00
Asia/Kolkata	18.18158	maintenance	IN	76.03889	2022/07/14
Asia/Baku	38.45598	average	AZ	48.87498	01 Dec 2019
Asia/Jakarta	-6.48167	excellent	ID	106.85417	05 Jan 2015
Europe/Stockholm	61.72744	maintenance	SE	17.10558	2017/12/26
America/Los_Angeles	45.49428	average	US	-122.86705	26 Sep 2017
America/Bogota	10.98778	accep	CO	-74.95472	05/26/2016, 00:00:00
America/Mexico_City	17.94979	maintenance	MX	-94.91386	05/03/2014, 00:00:00
Asia/Karachi	32.17629	maintenance	PK	75.06583	2018/05/14
Europe/London	57.14369	average	GB	-2.09814	11/05/2013, 00:00:00
America/Edmonton	53.51684	average	CA	-113.3187	2020/10/22
Europe/Rome	36.92574	building	IT	14.72443	13 Aug 2019
America/Havana	23.0072	maintenance	CU	-82.4017	2022-03-06
Europe/Rome	42.67164	accep	IT	14.01481	06 Feb 2014
Asia/Qyzylorda	44.85278	accep	KZ	65.50917	08/13/2014, 00:00:00
Asia/Tokyo	44.35056	building	JP	142.45778	2021-01-09
America/New_York	40.63316	maintenance	US	-74.13653	2018/08/01
Europe/Berlin	48.49144	average	DE	9.20427	2016-04-14
America/Los_Angeles	33.72255	average	US	-116.37697	16 Apr 2022
Europe/Moscow	42.819	average	RU	47.1192	06/30/2019, 00:00:00
Asia/Vladivostok	45.47885	average	RU	133.42825	2022/03/18
Europe/Moscow	55.64776	building	RU	38.02486	06/28/2017, 00:00:00
America/Sao_Paulo	-29.2975	good	BR	-51.50361	2019/01/08
Atlantic/Azores	37.74615	excellent	PT	-25.66689	2018-08-20
America/Mexico_City	19.64745	average	MX	-102.04897	2013/07/15
America/Chicago	41.85059	good	US	-87.882	2015/10/18
Africa/Khartoum	11.8659	good	SD	34.3869	2019/07/10
Africa/Tunis	36.46917	good	TN	10.78222	12 Apr 2018
Asia/Tokyo	36.24624	accep	JP	139.07204	12/05/2020, 00:00:00
America/New_York	42.35843	accep	US	-71.05977	2021/03/07
Asia/Shanghai	38.40917	maintenance	CN	112.73333	2021/11/22
Asia/Shanghai	33.78333	average	CN	114.51667	09/29/2017, 00:00:00
America/Indiana/Indianapolis	39.78504	accep	US	-85.76942	07 Nov 2019
America/Phoenix	33.35283	average	US	-111.78903	2016-02-07
Asia/Seoul	36.6009	good	KR	126.665	07/13/2022, 00:00:00
Europe/Volgograd	50.06	average	RU	43.2379	2016-08-27
America/Chicago	33.44872	accep	US	-86.78777	2017/03/05
Asia/Kuching	5.90702	maintenance	MY	116.10146	2014/04/20
Europe/Madrid	42.8139	good	ES	-1.64295	12/15/2021, 00:00:00
Asia/Manila	10.7375	building	PH	122.9666	2017/06/26
Europe/Berlin	50.80019	good	DE	7.20769	11 Dec 2016
Asia/Tokyo	44.35056	excellent	JP	142.45778	2015/01/19
Europe/Berlin	52.86147	accep	DE	9.5926	2022/09/11
America/Los_Angeles	34.09668	good	US	-117.71978	02/17/2022, 00:00:00
Europe/Rome	44.31771	accep	IT	9.32241	2015/10/04
Europe/Rome	45.78071	average	IT	12.84052	05 May 2014
Africa/Porto-Novo	8.88649	excellent	BJ	2.59753	2016/04/24
Pacific/Auckland	-44.39672	maintenance	NZ	171.25364	06 Sep 2021
America/Chicago	47.92526	average	US	-97.03285	02 Dec 2014
Europe/Rome	40.72586	maintenance	IT	8.55552	01 Feb 2014
Africa/Bangui	4.94273	accep	CF	15.87735	2018-11-13
Europe/London	52.48173	good	GB	-2.12139	2013/07/09
Asia/Kolkata	29.21399	excellent	IN	78.95693	2018-01-07
America/Toronto	43.86682	excellent	CA	-79.2663	12/11/2017, 00:00:00
Asia/Jakarta	-7.73379	good	ID	113.69785	2020/10/29
Asia/Tokyo	34.4833	accep	JP	136.84186	29 Mar 2017
America/Argentina/Buenos_Aires	-34.64167	accep	AR	-60.47389	2021-01-16
Asia/Taipei	23.5654	excellent	TW	119.58627	2021-03-21
Africa/Monrovia	7.57944	maintenance	LR	-8.53778	11 Apr 2018
Pacific/Efate	-17.73648	good	VU	168.31366	01/31/2013, 00:00:00
Europe/Brussels	50.71229	good	BE	4.52529	07/23/2022, 00:00:00
Europe/Berlin	52.2	maintenance	DE	8.63333	01/10/2013, 00:00:00
America/New_York	39.00622	average	US	-77.4286	06/30/2017, 00:00:00
Asia/Manila	14.14989	good	PH	121.3152	11/14/2020, 00:00:00
Africa/Tripoli	30.75545	accep	LY	20.22625	28 Jan 2015
America/New_York	39.71734	maintenance	US	-74.96933	2014-11-23
Asia/Kolkata	14.62072	average	IN	74.83554	2013/02/15
America/Sao_Paulo	-28.24	accep	BR	-48.67028	2013-07-06
Australia/Melbourne	-37.88333	accep	AU	145.06667	2014/12/18
Asia/Shanghai	46.08333	building	CN	122.08333	2014-07-19
Asia/Shanghai	34.65918	good	CN	109.22921	2017/06/29
Europe/Moscow	57.30185	good	RU	39.85331	02/15/2017, 00:00:00
Africa/Banjul	13.56667	average	GM	-15.6	2020-06-26
America/Chicago	30.16688	good	US	-96.39774	07/04/2015, 00:00:00
America/Denver	40.34912	average	US	-111.90466	31 Aug 2022
Europe/London	55.82885	excellent	GB	-4.21376	03/17/2014, 00:00:00
Europe/Berlin	48.06919	accep	DE	11.37703	2021/01/17
America/Sao_Paulo	-22.53722	building	BR	-42.98194	2013/04/10
Asia/Manila	14.8361	accep	PH	120.97844	2019/03/20
Europe/Madrid	37.35813	maintenance	ES	-6.03731	2018-05-15
Africa/Kampala	3.02013	building	UG	30.91105	2016-10-13
Europe/Vienna	48.25	maintenance	AT	16.4	2018-07-04
America/New_York	39.96097	accep	US	-75.60804	25 Jan 2017
Europe/Berlin	51.168	accep	DE	7.973	2017-01-25
Europe/Rome	41.24264	average	IT	16.50104	2014/08/02
Pacific/Efate	-17.73648	building	VU	168.31366	16 Jan 2020
Europe/Saratov	51.40944	good	RU	46.04833	2020-08-20
America/New_York	26.68451	average	US	-80.66756	24 Aug 2018
Indian/Antananarivo	-17.83333	average	MG	48.41667	14 Oct 2020
Asia/Krasnoyarsk	58.23583	average	RU	92.48278	2019-12-04
Europe/Istanbul	37.05944	accep	TR	37.3825	27 Jul 2016
America/New_York	25.67927	average	US	-80.31727	2020-01-23
America/Panama	9.15093	good	PA	-79.62098	02/01/2013, 00:00:00
Europe/Istanbul	37.31309	excellent	TR	40.74357	2016/12/31
America/Sao_Paulo	-21.205	accep	BR	-41.88778	2012/12/30
Africa/Johannesburg	-27.76952	good	ZA	30.79165	2017/04/26
Europe/Madrid	42.06166	building	ES	-1.60452	07 Dec 2020
Asia/Kolkata	20.88197	accep	IN	85.83334	2019-07-04
Europe/Rome	43.1122	good	IT	12.38878	2020/04/18
Asia/Tehran	32.65246	average	IR	51.67462	09 Oct 2012
America/Chicago	29.84576	average	US	-90.10674	2021-02-18
America/Denver	39.57582	accep	US	-105.11221	2019-08-12
Europe/Rome	40.87363	building	IT	14.34085	2015-06-15
Africa/Tripoli	30.75545	building	LY	20.22625	12/09/2017, 00:00:00
America/Chicago	41.15376	average	US	-87.88754	2019/12/16
Asia/Tokyo	36.33011	accep	JP	138.89585	03 Dec 2017
America/Argentina/Buenos_Aires	-37.32167	accep	AR	-59.13316	06/18/2016, 00:00:00
America/Boise	43.54072	good	US	-116.56346	31 Aug 2018
America/Mexico_City	19.32932	excellent	MX	-98.1664	11 Nov 2014
Asia/Jakarta	-6.91806	maintenance	ID	106.92667	05/18/2021, 00:00:00
Atlantic/Canary	27.76056	excellent	ES	-15.58602	02/08/2019, 00:00:00
America/New_York	43.1009	maintenance	US	-75.23266	11 May 2022
Asia/Kolkata	22.75218	maintenance	IN	72.68533	2014-01-20
Asia/Kolkata	14.62072	excellent	IN	74.83554	13 Apr 2016
America/New_York	38.96372	building	US	-76.99081	04 May 2021
America/Chicago	41.15376	accep	US	-87.88754	07/09/2022, 00:00:00
America/Mexico_City	20.21322	average	MX	-100.88023	11/10/2020, 00:00:00
Asia/Tokyo	33.3213	good	JP	130.94098	01/24/2021, 00:00:00
America/Guayaquil	-2.13404	good	EC	-79.59415	01 Sep 2014
Asia/Kolkata	25.75728	good	IN	75.37991	2016-06-03
Europe/Istanbul	38.13708	accep	TR	41.00817	19 Feb 2018
America/Chicago	41.72059	excellent	US	-87.70172	2017/10/30
Europe/Minsk	53.5942	excellent	BY	25.8191	2016/07/05
America/Chicago	41.57721	maintenance	US	-93.71133	2014-10-09
Europe/Moscow	44.92934	average	RU	37.99117	2014/07/08
Europe/Moscow	60.02427	excellent	RU	30.28491	2016-12-17
Europe/Rome	42.22718	excellent	IT	14.39024	10/29/2017, 00:00:00
America/Sao_Paulo	-23.44361	building	BR	-51.87389	17 Dec 2019
Europe/Moscow	54.8421	excellent	RU	46.5813	17 Dec 2012
Europe/Rome	45.39402	good	IT	9.29109	2021/04/13
America/Sao_Paulo	-19.7625	accep	BR	-44.31389	2019-04-06
America/New_York	28.54944	good	US	-81.77285	12/19/2020, 00:00:00
Europe/Berlin	49.68369	excellent	DE	8.61839	2021/01/19
America/Los_Angeles	45.49428	good	US	-122.86705	2021/08/07
Europe/Rome	45.79377	excellent	IT	8.88104	10/28/2018, 00:00:00
Asia/Kolkata	12.04161	average	IN	75.35927	2018/06/23
America/Argentina/Cordoba	-31.25033	accep	AR	-61.4867	2021-03-02
America/New_York	28.54944	accep	US	-81.77285	12/20/2021, 00:00:00
America/New_York	43.16547	excellent	US	-77.70066	07/20/2014, 00:00:00
Africa/Kampala	2.41669	accep	UG	30.98551	06/26/2022, 00:00:00
Asia/Shanghai	37.65181	good	CN	120.33063	2022/05/03
Australia/Melbourne	-37.9	good	AU	145.18333	2017/02/09
Asia/Shanghai	23.29549	accep	CN	113.82465	13 Apr 2013
Europe/Samara	53.37596	accep	RU	51.3452	2022-01-07
Europe/London	50.75767	excellent	GB	-1.5443	09/08/2016, 00:00:00
America/Jamaica	18.00747	excellent	JM	-76.78319	02/14/2013, 00:00:00
Europe/Berlin	51.04962	building	DE	12.1369	06/21/2015, 00:00:00
Europe/Rome	40.87329	excellent	IT	14.43865	12/15/2021, 00:00:00
Asia/Karachi	31.82539	maintenance	PK	72.54064	06/27/2019, 00:00:00
Europe/Zaporozhye	49.41029	building	UA	38.15035	08/03/2013, 00:00:00
Africa/Casablanca	33.92866	accep	MA	-6.90656	13 Jan 2021
Asia/Dhaka	23.9028	average	BD	89.11943	2015-04-25
Europe/London	52.68333	average	GB	0.93333	11/12/2016, 00:00:00
Europe/Paris	48.86667	average	FR	2.08333	2018-03-02
Europe/Moscow	53.93361	good	RU	37.92792	07/21/2015, 00:00:00
Europe/Brussels	51.03427	excellent	BE	5.37429	09/15/2016, 00:00:00
Africa/Kampala	3.27833	excellent	UG	32.88667	10/07/2016, 00:00:00
America/Los_Angeles	47.64995	accep	US	-117.23991	30 Aug 2018
America/New_York	25.67927	excellent	US	-80.31727	2015/04/15
Asia/Tokyo	36.33011	maintenance	JP	138.89585	2014/01/30
America/New_York	41.55838	average	US	-81.56929	2016/04/10
Asia/Makassar	3.31332	accep	ID	117.59152	2014/04/03
Asia/Shanghai	36.81667	excellent	CN	117.81667	01/06/2017, 00:00:00
Europe/Paris	48.98693	good	FR	2.44892	10 Jul 2020
Africa/Tripoli	30.75545	good	LY	20.22625	2016-07-24
Asia/Tokyo	36	good	JP	139.55722	2015-11-26
