longitude	PM2.5	H2CO	warning	CFCs	O3	C2H3NO5	latitude	NOx	NH3	CO	SO2	PAHs	PM10	PRES	CH4	Pb	TEMP
14.01481	9.06890	52.39361	0.00000	52.00476	6.48069	0.40152	42.67164	8.88814	7.45904	9.69648	7.29392	7.77667	8.94076	1143.20529	8.77717	46.15569	15.23008
83.97573	7.74480	48.36133	0.00000	40.40537	5.74105	0.84384	21.46527	9.22781	7.38394	8.74489	8.20244	7.56477	9.77479	1066.90641	8.08075	78.57691	1.87687
-88.31476	7.64648	43.82624	0.00000	50.34066	8.68532	0.08784	36.61033	4.40412	9.26958	7.48733	7.26755	7.98840	5.56005	1050.61169	6.83638	46.64520	12.24944
16.50104	7.40517	38.56074	0.00000	56.20299	8.32455	2.78079	41.24264	8.51659	6.93179	9.74537	8.07270	6.14783	10.99817	1090.64723	5.59445	38.02784	4.07120
-2.68333	8.42557	54.98086	0.00000		10.37200	0.86051	43.31667	5.73068	8.70065	4.87903	7.22677	6.10836	9.82344	1154.51435	9.02069	23.79079	10.24858
8.61839	8.50623	44.92714	0.00000	46.02827	6.54353	0.14879	49.68369	9.43563	7.21224	9.32485	8.78475	5.77050	7.08640	1175.89533	7.81651	46.39256	2.71925
4.69889	6.19367	49.40510	1.00000	42.36116	8.63092	2.57945	50.56149	5.34765	8.94156	4.05109	9.04671	8.73044	10.94639	1195.64110	8.15424	55.80673	9.20460
-72.09391	9.45567	63.22123	1.00000	42.59101	8.86202	1.66606	18.65297	7.69868	9.05998		8.41439	5.57203	10.47334	1103.65794	5.34825	59.35154	20.21886
26.97253	8.57071	24.52770	0.00000	32.87797	5.70747	0.10818	49.65186	8.84860	7.04002	9.90406	7.38963	6.86847	7.00880	1142.31966	8.60204	26.81578	12.74015
8.70745	8.89552	55.48408	1.00000	67.95191	7.13900	0.85189	49.03685	3.08214	11.92165	10.00832	7.57331	10.08992	9.82361	1170.94195	8.43952	33.73977	34.78352
-3.59625	8.13218	22.85190	1.00000	31.20786	10.02761	0.31303	5.27247	6.98845	8.66053	8.42789	8.03356	9.44258	8.58219	1122.23950	9.07934	69.93646	15.26244
72.85107	8.09876	48.58486	0.00000	50.58327	7.62387	0.18095	19.30157	9.71001	6.35643	9.31481	10.23080	3.67552	7.30918	1167.59635	9.54994	13.67693	-0.34296
83.36889	8.32241	42.59212	1.00000	65.16841	8.26405	0.17380	26.76628	4.55031	9.67523	7.09847	6.99212	8.56439	7.98172	1074.32679	6.67441	35.00389	24.01972
89.20083	7.36222	45.44731	1.00000	58.41621	7.75159	1.07550	55.54028	5.29140	9.15863	9.19957	7.83993	9.18592	10.02953	1108.75267	8.29103	66.82100	3.68342
-25.66689	6.31676	61.16387	0.00000	49.09853	10.08702	9.39916	37.74615	8.98024	7.63358	10.47459	8.90505	7.64525	12.24829	1174.64700	7.68082	49.87340	7.94218
-80.66756	8.42811	44.29270	0.00000	28.82820	8.66365	0.09975	26.68451	7.06674	8.37893	13.29195	9.33683	8.06470	6.00262	1185.10584	10.07589	48.46829	20.23860
8.88104	9.24560	73.25708	0.00000	45.30527	4.32436	0.45338	45.79377	10.45159	6.91002	8.99190	6.69765	8.49564	9.09303	1067.35982	8.04084	37.30425	11.93798
-73.78458	7.26355	54.79855	1.00000	38.32125	7.73931	0.07632	41.0051	6.51611	5.14947	5.32784	6.86829	7.34712	4.79070	1106.81272	6.10625	45.25899	2.98678
109.3243	8.44673	37.44063	1.00000	71.38423	6.63049	0.41434	-7.0981	5.71485	9.40152	8.52241	7.27605	6.19761	8.96203	1086.73849	7.75869	26.26891	23.88880
38.07083	8.97589	36.23799	1.00000	60.13329	6.18199	0.07761	54.90083	6.63968	5.17376	6.60355	7.32685	6.96746	5.22808	1162.80814	5.52942	64.74863	24.05010
9.32241	9.56234	32.94683	1.00000	50.67715	8.69150	1.91069	44.31771	7.09972	9.59724	5.61634	10.00741	9.75479	10.62180	1134.26123	7.18730	53.65300	20.33764
20.22625	8.92591	45.31694	1.00000	67.15419	11.59504	0.18502	30.75545	10.19391	7.19646	3.02880	8.98703	8.40284	7.76522	1191.90797	6.48581	60.83290	13.77898
102.42587	9.04964	67.92545	1.00000	56.36837	8.30722	0.22047	15.58552	6.63653	7.06375	6.60794	9.05910	7.96249	8.16209	1067.07235	7.56366	53.92055	18.95476
15.87735	8.36503	40.39623	0.00000	66.14633	5.97259	2.61850	4.94273	10.61719	5.07271	7.55492	8.72039	5.07670	10.95049	1136.48383	7.07638	54.49445	11.13706
-35.03333	8.24094	41.30368	1.00000	64.10264	10.52528	0.22102	-8.28333	7.61113	11.05404	9.38584	9.60360	10.50881	7.85584	1189.32868	8.02462	61.29696	8.50127
-79.59415	9.20888	24.24592	0.00000	46.23076	7.41964	0.10785	-2.13404	8.58668	7.08381	11.08170	8.66389	6.15366	7.02714	1066.99167	8.37618	42.47895	14.64112
171.25364	7.74426	65.44039	0.00000	44.39014	6.22126	0.33894	-44.39672	7.45098	8.05101	10.08876	8.79182	8.80331	8.64603	1157.89689	6.45100	53.07875	16.96065
-60.93173	10.49778	54.28220	1.00000	47.69435	11.05981	0.55736	-31.4488	9.30193	8.54892	5.19370	8.73707	9.52923	9.31849	1070.44537	8.77284	45.92252	6.40657
3.55665	8.63020	46.24446	1.00000	60.89863	11.49858	2.29354	36.72544	8.59869	10.09820	6.40141	9.51510	10.51163	10.81488	1149.47448	9.00295	44.31020	-3.32441
120.89694	7.02482	38.45911	1.00000	66.69802	6.29989	0.08058	14.95472	7.53325	6.64280	8.11245	9.46420	5.94039	6.45046	1165.14811	7.99628	41.68540	-9.05866
135.31667	7.46856	17.46984	1.00000	49.47547	9.38929	0.21108	34.25	8.55520	8.07416	5.25815	7.56002	6.60242	7.90037	1117.38518	6.77026	55.95567	4.66286
-82.46148	8.58972		1.00000	25.55974	6.93873	0.05954	28.15112	7.99481	4.23351	7.05204	6.88630	6.96555	4.64779	1126.74772	7.46050	39.32522	31.21766
-122.24064	8.49566	48.11942	0.00000	52.14227	7.30691	0.92027	47.80527	10.67890	5.41830	9.76395	7.31340	5.84139	9.85706	1081.77614	6.62383	25.32982	11.31234
18.28333	7.14598	38.37623	1.00000	56.61516	8.97742	0.15781	59.33333	7.22639	8.50337	7.63790	7.59578	6.44709	7.45329	1084.91683	8.36500	34.76035	7.49304
-1.29243	8.46004	43.08998	0.00000	47.33116	9.67665	0.08361	53.49389	3.95135	10.44208	2.70356	8.62192	6.97549	6.08228	1142.32348	8.30288	55.12765	7.50280
-117.71978	7.67384	68.66752	1.00000	58.88201	7.64041	0.10633	34.09668	7.37427	7.22719	9.65219	7.12467	7.26567	7.33490	1140.82457	8.04540	62.40601	10.78533
6.26667	6.75073	46.20367	1.00000	45.48149	5.09998	0.04185	51.21667	6.62643	4.77634	5.38825	9.41603	7.23401	5.66294	1058.35888	8.03253	89.06635	29.69834
-3.52751	9.59307	50.61407	0.00000	47.19061	10.29398	2.45062	50.7236	7.17201	9.33532	7.99226	7.02029	8.23100	10.87793	1063.59322	9.36769	53.29910	22.47440
100.48528	7.67061	51.84399	1.00000	41.61960	9.50201	21.94893	14.37395	6.37667	8.63715	3.45479	7.32037	9.26667	13.09688	1071.53155	6.52589	44.59951	12.91505
20.22625	6.90437	56.50579	1.00000	47.85287	8.80605	0.54573	30.75545	6.90684	7.85916	4.48729	9.06543	8.33135	9.19243	1099.32171	7.70051	44.60405	3.89665
89.11943	8.04724	34.01752	0.00000	46.36551	9.43321	5.84994	23.9028	7.80197	7.51546	3.64494	9.59931	9.04357	11.76940	1172.47315	8.33682	50.83901	-3.09672
59.80222	9.18532	45.71510	0.00000	45.14834	6.10658	0.25716	58.63667	10.84636	5.70011	8.40777	8.03962	4.75366	8.46231	1155.11600	7.39132	48.88203	6.44823
119.58627	9.64899	53.75494	1.00000	59.68143	7.09196	0.06542	23.5654	6.71962	4.94421	9.26766	9.40075	8.44063	6.00109	1061.60273	8.06310	36.48364	3.84926
59.6	6.91843	55.85283	1.00000	46.92988	3.61734	0.10376	47.83333	7.25510	5.23085	5.97318	8.33254	5.64998	5.87788	1179.91709	8.08758	41.29829	23.34226
-5.53715	8.12039	49.12472	0.00000	46.03872	7.10279	1.80076	50.11861	9.61203	5.86258	8.96640	9.53508	6.11678	10.56508	1144.60526	8.27012	60.60792	15.49121
-76.78319	9.45231	65.42673	0.00000	49.47936	7.90748	1.90564	18.00747	8.76489	9.29139	5.26087	8.24273	2.91654	10.62589	1094.64171	9.04523	56.13708	22.60397
5.03586	8.71837	66.88072	0.00000	32.54070	10.17012	0.15395	43.83125	5.61243	8.63358	6.48744	7.69316	7.04537	7.88531	1150.20442	9.50187	51.53467	40.80545
-71.23106		38.19671	1.00000	49.92137	9.66656	0.24682	-32.45242	7.54163	10.80230	8.33374	8.79563	10.38932	8.33512	1144.98381	7.67503	53.89772	9.95494
-6.00137	7.20183	49.76969	1.00000	55.83976	3.19512	0.08157	33.42585	5.74807	4.36426	7.56666	6.05063	5.18521	4.25579	1165.88424	7.80480	38.18733	23.20225
12.38878	8.51806	42.67371	1.00000	74.16111	9.17647	0.26526	43.1122	7.30705	8.03220	8.17638	6.44248	8.75757	8.33602	1112.95794	8.27253	50.54242	20.25411
-96.72365	8.64967	50.85885	1.00000	44.90604	8.42666	1.77758	17.06542	5.08489	9.03818	3.76308	7.27647	8.46161	10.53439	1185.04888	9.30424	48.20303	16.65277
-98.11889	6.83226	36.21866	0.00000	37.22790	5.20974	0.07349	19.04222	10.38740	6.37289	9.92637	8.70425	6.31924	6.77694	1158.97781	9.35786	71.37380	-4.33821
37.3825	6.44834	55.62888	0.00000	66.39307	7.52502	0.41216	37.05944	4.48096	10.85243	10.19605	8.21110	9.52730	8.95927	1167.70112	9.45611	39.58824	-0.26894
-88.64235	7.97805	43.29674	1.00000	51.95084	6.69223	0.10665	46.09273	6.95976	5.73561	6.50590	6.18388	7.53354	6.36358	1081.93136	5.40104	53.58299	6.13314
-97.90308	8.15676	55.45694	0.00000	59.82806	6.27099	0.46544	31.12406	9.86866	6.72332	8.83857	8.22943	5.85011	9.01572	1137.40738	6.77906	67.20483	36.02787
28.88222	8.26424	49.86322	1.00000	50.30022	8.74260	0.94536	40.37528	5.75873	10.56687	7.80008	8.76666	10.01029	9.86230	1167.40281	7.62233	63.21908	27.71364
37.3825	6.71282	46.96323	1.00000	59.65798	9.90905	0.89247	37.05944	6.71072	11.12722	8.74636	5.81492	10.66657	9.82719	1121.86971	7.65867	52.42020	11.93030
85.37752	7.19035	68.80536	0.00000	43.89003	9.02439	2.57525	22.10194	7.65167	8.31586	7.13930	6.40243	6.73232	10.92335	1153.99343	6.27963	42.07469	6.90670
6.26667	8.24900	54.47116	1.00000	70.33763	11.59974	0.79808	51.21667	8.99598	8.12800	5.32715	8.44317	9.30227	9.72022	1072.71558	7.51320	51.95694	20.34331
-60.47389	8.91794	50.40897	1.00000	33.98663	7.36409	0.09852	-34.64167	7.51052	6.12685	7.68507	9.27997	6.13868	5.55839	1123.74355	9.63240	58.65475	22.18557
-44.31389	7.99289	35.40431	1.00000	55.44141	10.92558	0.12732	-19.7625	8.70574	8.52977	5.64396	7.78949	8.92221	7.72301	1196.96202	8.23751	33.98983	13.09644
-72.09391	8.18297	55.84644	0.00000	51.83846	9.19518	0.49780	18.65297	7.43549	9.92346	8.39999	7.40377	8.28081	9.19606	1144.46954	8.94800	35.51653	-7.05998
137.23333	8.12508	33.68300	1.00000	51.86874	7.84476	1.26934	35.8	4.79329	7.78941	5.27380	6.69997	7.78233	10.17464	1145.30355	8.28766	27.51185	17.59676
15.07041	7.55101	64.88276	1.00000	62.74021	6.35493	0.02698	37.49223	6.66780	4.25123	7.21730	8.87067	7.72541	5.00453	1061.86281	7.05608	62.54767	2.82598
43.2379	8.56144	46.54898	1.00000	49.62240	9.64999	0.23903	50.06	7.98059	7.63159	4.47906	9.30901	8.40092	8.02997	1160.18675	7.51153	57.49784	10.29748
-0.59543	8.66495	55.52419	0.00000	59.54949	10.77116	0.22999	44.80477	3.97059	8.44447	3.48675	9.27355	6.18512	8.19806	1131.60510	7.06878	54.85527	14.37942
85.83334	7.73164	60.08168	0.00000	59.96183	7.10563	0.18163	20.88197	9.82157	6.67042	9.90312	7.55740	5.97376	7.60822	1172.76433	5.92917	73.13346	19.09571
30.28491	8.22445	61.67141	0.00000	65.74090	8.68032	0.52341	60.02427	6.92801	6.73418	7.56798	7.68616	4.12810	9.27596	1139.00008	8.25431	43.12833	18.92478
-87.88754	7.56192	42.02666	0.00000	49.14168	6.18321	0.99080	41.15376	11.11772	5.84805	9.18576	6.52882	6.95837	9.94743	1101.54686	6.79038	47.07231	5.39351
69.01354	7.80300	33.14615	1.00000	40.87461	6.83538	0.17751	38.55632	5.78813	7.46780	9.40410	8.05434	7.16185	7.66689	1199.62499	8.14440	37.35690	10.56736
16.54165	8.93846	60.07023	0.00000	45.73258	9.32482	2.24389	68.79833	8.78077	10.54601	6.61772	6.03568	7.65895	10.79935	1186.73033	6.09078	41.53958	17.10513
-87.88754	7.15217	43.05785	1.00000	47.73489	4.26332	0.08378	41.15376	8.12201	3.70419	4.94931	8.70910	6.08350	4.42676	1123.36496	6.74041	39.21415	2.92017
-73.75335	7.54782	45.93839	1.00000	48.50530	6.69932	0.08680	45.4473	7.38299	6.82934	3.62614	9.44969	6.19519	7.03068	1161.26493	8.70861	37.42564	8.35832
-87.88754	6.81010	56.29477	0.00000	57.08914	7.31436	0.18624	41.15376	9.40638	7.77043	11.12733	7.58013	8.37724	8.08764	1084.64082	6.10972	49.45047	21.37846
-100.88023	7.66777	54.60912	1.00000	55.77119	4.47825	0.04906	20.21322	6.70259	5.17612	5.90400	4.65597	5.54805	5.36674	1156.98366	8.06640	28.47735	27.94757
-76.78319	8.41173	41.21719	1.00000	68.37774	9.72900	0.71965	18.00747	7.42761	9.21840	6.59382	8.03135	9.66296	9.66410	1070.14238	10.11761	89.30720	21.88813
68.21204	8.90023	21.34440	1.00000	50.95429	7.36258	0.14370	27.55898	8.29470	6.97827	7.41111	7.15474	6.93677	7.35988	1117.18817	8.46771	55.26546	15.89119
5.03586	9.60501	41.88367	0.00000	47.64739	9.33077	0.12472	43.83125	4.79076	10.04748	8.39333	8.34799	9.47889	6.13825	1086.78922	6.49343	32.46316	17.08824
107.60389	7.51647	47.76447	0.00000	48.31550	10.71528	0.12813	-7.01833	3.35201	7.96387	5.21677	7.37428	7.45020	7.20830	1123.17938	6.48835	35.26787	24.88079
-39.25	8.12824	8.48892	1.00000	42.18045	6.57005	0.08926	-12.91667	6.29231	8.07291	5.45699	7.15118	4.63372	6.69984	1183.43132	8.61466	64.44268	6.30852
117.33333	9.13704	31.00193	1.00000	57.27897	5.42385	0.08447	34.85	4.61737		6.83721	7.86303	6.44398	6.28021	1107.87267	6.89489	53.71906	15.54060
-122.38731	7.91974	49.46191	1.00000	58.79792	8.08146	0.08664	45.53929	5.56848	8.80741	7.05689	7.17330	8.02501	6.92062	1131.21073	8.79449	44.73790	1.79875
88.58	8.87231	51.72223	1.00000	44.07143	9.17883	0.52215	23.18	6.40518	8.72959	8.36152	8.90917	8.79385	9.23441	1121.79318	7.10735	67.46113	8.40944
20.22625	6.57236	43.77224	1.00000	55.48954	8.88161	0.80098	30.75545	6.29328	10.72491	9.35122	8.83126	10.24111	9.71564	1072.81537	8.47521	36.18111	19.16298
-51.50361	9.05377	53.66235	1.00000	56.89229	8.37422	0.26330	-29.2975	4.54847	9.11903	6.05858	8.80282	8.00833	8.15170	1088.37020	6.93777	46.57851	
13.58357	8.21474	35.34964	0.00000	55.23736	7.57397	0.93942	-1.63333	8.61687	6.40870	9.38510	8.03805	5.83982	9.84892	1056.53875	9.39006	50.49141	7.42598
139.6853	6.52840	32.55703	1.00000	42.88080	4.78863	0.08080	35.815	6.88919	4.93789	6.11179	6.62911	5.07747	4.51584	1085.80408	7.93418	56.52707	
7.02238	7.11782	66.28547	1.00000	62.31794	6.85623	0.17650	52.21099	6.43511	6.83683	6.64669	8.46439	8.13156	7.76137	1086.11081	8.46132	38.27298	27.99902
38.66667	8.23809	50.01273	1.00000	49.36862	7.18203	0.36033	-6.25	7.43780	8.39748	7.88231	7.38596	6.68698	8.75024	1080.04112	6.16965	53.66913	17.35448
7.02238	9.05128	37.61931	1.00000	67.21325	6.55794	0.07947	52.21099	8.42227	3.90050	3.77433	8.58210	6.01606	4.09610	1069.80913	6.79180	42.38196	21.23647
-98.1664	8.02290	56.34676	1.00000	39.64503	7.16965	0.44517	19.32932	9.04692	6.95049	9.83783	7.41220	7.22104	9.04645	1170.51230	8.07541	60.12292	10.59974
10.03988	7.25877	73.64367	0.00000	36.16874	7.02335	0.28737	53.6052	8.55911	7.71716	10.07026	8.10805	7.50725	8.35804	1095.43507	6.60051	30.21920	21.99928
99.96667	7.49544	27.66937	1.00000	52.32391	10.41133	0.38010	8.43333	8.45347	9.24625	7.12937	8.90563	9.96328	9.00990	1051.29368	7.82754	51.76822	9.46211
86.51499	9.28405	55.50663	1.00000	62.04876	8.07197	0.03995	23.1959	7.80798	6.41434	4.40561	8.92497	6.76015	6.26461	1099.08789	9.11849	35.64921	11.17779
46.5813	7.53688	44.08971	1.00000	48.37435	10.44657	0.38765	54.8421	9.04679	8.21404	5.98591	6.93102	9.51961	8.81960	1147.31717	7.73436	61.85575	10.69443
-0.76773	6.67862	57.79297	1.00000	55.99974	6.80219	0.06590	38.38479	6.23317	7.54098	7.28596	7.84143	6.21843	7.06280	1196.76605	6.35673	59.64338	29.80021
-77.70066	8.28331	67.15354	1.00000	53.59829	8.09187	0.08810	43.16547	7.17740	6.10364	5.62866	9.21226	6.61080	5.50268	1167.23453	8.92655	55.99835	25.66372
-6.00137	7.41756	49.34721	0.00000	50.03518	8.74839	1.04941	33.42585	10.64563	12.89838	4.31966	7.77409	4.33979	9.99031	1071.52921	7.90326	84.57411	15.16405
106.85417	8.24574	53.81100	0.00000	63.26006	6.85863	8.24282	-6.48167	7.02713	6.85394	7.67380	7.54501	7.82840	12.11255	1142.40423	9.08386	43.70078	19.92358
8.2926	7.51326	36.19736	1.00000	41.74405	9.60112	0.34791	9.58126	5.90850	8.43423	4.32550	6.85981	8.06412	8.80105	1154.57051	8.01312	31.10090	11.00426
-116.37697	7.94027	60.72686	1.00000	38.96100	9.58752	0.12644	33.72255	6.49043	7.50258	8.54987	7.21643	7.71465	7.01043	1133.04452	9.78194	35.14535	22.26269
-85.76942	7.17757	63.55621	0.00000	27.85671	6.57180	0.10380	39.78504	10.38104	6.62116	10.93885	6.53354	6.82421	6.51219	1097.75635	7.81516	42.70019	24.36607
