code	QoS	latitude	location	longitude	revision
US	good	40.72816	America/New_York	-74.07764	2014-10-04
DE	average	52.4581	Europe/Berlin	13.28702	2020/03/16
TZ	excellent	-6.25	Africa/Dar_es_Salaam	38.66667	02/03/2015, 00:00:00
DE	good	51.21667	Europe/Berlin	6.26667	2014-04-21
SY	building	34.5624	Asia/Damascus	38.28402	2021/07/21
RO	good	44.43579	Europe/Bucharest	26.01649	03 Dec 2012
BD	excellent	22.83957	Asia/Dhaka	91.84128	2016-03-31
AU	average	-27.50578	Australia/Brisbane	153.10236	2012/12/23
RU	excellent	60.97944	Asia/Yekaterinburg	76.92421	03/14/2020, 00:00:00
JP	accep	34.9	Asia/Tokyo	137.5	08/10/2018, 00:00:00
DE	maintenance	52.47774	Europe/Berlin	10.5511	07/17/2013, 00:00:00
BA	average	44.75874	Europe/Sarajevo	19.21437	2021-04-26
BR	maintenance	-19.7625	America/Sao_Paulo	-44.31389	31 Aug 2020
ES	average	42.8139	Europe/Madrid	-1.64295	30 Mar 2013
US	excellent	33.95015	America/Los_Angeles	-118.03917	07/31/2015, 00:00:00
DE	maintenance	52.2	Europe/Berlin	8.63333	24 Feb 2014
CN	building	30.35028	Asia/Shanghai	112.19028	11/23/2016, 00:00:00
NL	excellent	51.44889	Europe/Amsterdam	5.51978	06 Jul 2022
HT	maintenance	18.57677	America/Port-au-Prince	-72.22625	09/09/2015, 00:00:00
GB	good	51.64316	Europe/London	-0.36053	2021-09-09
JP	accep	35	Asia/Tokyo	136.51667	2019/06/01
IN	good	10.12268	Asia/Kolkata	77.54372	24 Mar 2013
US	accep	32.44874	America/Chicago	-99.73314	19 Sep 2016
UA	maintenance	46.75451	Europe/Kiev	33.34864	05 Feb 2019
BR	building	-22.97056	America/Sao_Paulo	-46.99583	2014-08-04
MN	accep	47.90771	Asia/Ulaanbaatar	106.88324	11/23/2021, 00:00:00
CL	excellent	-30.60106	America/Santiago	-71.19901	2020-05-19
US	good	37.73604	America/Los_Angeles	-120.93549	2020-07-11
CA	average	45.4473	America/Toronto	-73.75335	2018/01/20
CA	building	43.86682	America/Toronto	-79.2663	2015/07/10
SL	maintenance	8.48714	Africa/Freetown	-13.2356	11 Dec 2021
PH	accep	9.6531	Asia/Manila	124.3697	15 Jun 2017
MA	accep	33.42585	Africa/Casablanca	-6.00137	2014-10-12
CN	average	27.85	Asia/Shanghai	112.9	11/03/2019, 00:00:00
ID	good	-1.6	Asia/Jakarta	103.61667	2015/05/03
JP	average	34.25	Asia/Tokyo	135.31667	2021-11-18
US	accep	34.95303	America/Los_Angeles	-120.43572	2018-07-23
US	excellent	42.55308	America/Chicago	-87.93341	17 Dec 2018
RU	accep	53.53395	Europe/Moscow	33.72798	2015-09-16
NL	excellent	52.31333	Europe/Amsterdam	6.92917	10/25/2016, 00:00:00
MX	accep	19.64745	America/Mexico_City	-102.04897	2017/03/09
TR	maintenance	39.12074	Europe/Istanbul	27.18052	04/12/2018, 00:00:00
CN	excellent	46.51872	Asia/Urumqi	86.00214	2022-09-18
KE	accep	0.03813	Africa/Nairobi	36.36339	23 Jun 2018
US	good	35.61452	America/Chicago	-88.81395	20 Apr 2016
AU	excellent	-25.54073	Australia/Brisbane	152.70493	2022/09/26
PL	accep	51.14942	Europe/Warsaw	15.00835	12/30/2021, 00:00:00
US	average	35.88264	America/New_York	-80.08199	08/09/2020, 00:00:00
DE	average	51.88333	Europe/Berlin	8.51667	2016-03-07
MG	accep	-19.65	Indian/Antananarivo	47.31667	2016/10/01
US	average	34.14251	America/Los_Angeles	-118.25508	2020/06/16
FR	average	48.90982	Europe/Paris	2.45012	2016/09/03
TZ	maintenance	-5.41667	Africa/Dar_es_Salaam	38.01667	2020/06/17
RU	accep	45.47885	Asia/Vladivostok	133.42825	2020/01/06
US	average	42.35843	America/New_York	-71.05977	11/19/2013, 00:00:00
NL	good	52.14	Europe/Amsterdam	5.58472	2017/01/16
PH	average	9.3337	Asia/Manila	122.8637	09/02/2021, 00:00:00
UA	good	49.07866	Europe/Kiev	30.96755	2020-06-23
NG	accep	11.86064	Africa/Lagos	9.0027	2017/04/09
US	accep	45.53929	America/Los_Angeles	-122.38731	05 Aug 2020
RU	good	53.77166	Europe/Moscow	38.12408	18 Jan 2020
CN	good	37.65181	Asia/Shanghai	120.33063	2018/10/20
IN	average	21.59983	Asia/Kolkata	71.21169	09/10/2022, 00:00:00
GB	accep	51.35084	Europe/London	-1.99421	06/07/2016, 00:00:00
US	excellent	40.72816	America/New_York	-74.07764	15 Mar 2021
US	average	40.58654	America/Los_Angeles	-122.39168	01/21/2013, 00:00:00
US	excellent	20.88953	Pacific/Honolulu	-156.47432	2013/09/30
AD	building	42.50729	Europe/Andorra	1.53414	29 Sep 2012
US	accep	33.03699	America/Los_Angeles	-117.29198	2014-03-08
SO	good	-0.35817	Africa/Mogadishu	42.54536	12/05/2014, 00:00:00
DZ	building	36.76775	Africa/Algiers	2.95924	2013-05-24
CL	average	-33.59217	America/Santiago	-70.6996	2021-05-03
PL	maintenance	54.60528	Europe/Warsaw	18.34717	2015-03-31
PA	maintenance	9.15093	America/Panama	-79.62098	2018-09-02
IN	excellent	18.51957	Asia/Kolkata	73.85535	2016-04-03
PH	average	6.33444	Asia/Manila	124.95278	12 Sep 2017
DE	average	51.47805	Europe/Berlin	6.8625	22 Oct 2018
NG	building	6.45407	Africa/Lagos	3.39467	2022-09-14
UA	building	47.48444	Europe/Zaporozhye	36.25361	2019/02/27
CN	average	27.34089	Asia/Shanghai	117.4831	2021/12/04
IN	maintenance	12.04161	Asia/Kolkata	75.35927	2017/03/30
PH	average	14.95472	Asia/Manila	120.89694	2021/05/31
DZ	good	36.76639	Africa/Algiers	3.47717	19 Mar 2019
NL	accep	51.95838	Europe/Amsterdam	4.47124	2018-03-21
US	average	30.5427	America/Chicago	-97.54667	05/26/2015, 00:00:00
DE	accep	48.49144	Europe/Berlin	9.20427	2014/06/21
RU	average	50.06	Europe/Volgograd	43.2379	2014-08-17
IN	accep	9.57046	Asia/Kolkata	76.32756	2020-01-03
IN	accep	19.30157	Asia/Kolkata	72.85107	2019-11-25
TR	average	37.58105	Europe/Istanbul	29.26639	2018/04/19
US	excellent	37.95143	America/Chicago	-91.77127	2019/08/31
BR	average	-23.7975	America/Sao_Paulo	-48.59278	08 Apr 2013
IN	average	10.58806	Asia/Kolkata	77.24779	12 Jul 2020
JP	building	33.4425	Asia/Tokyo	129.96972	04 Feb 2014
RU	maintenance	56.9083	Asia/Yekaterinburg	60.8019	2021/01/10
RU	accep	46.7055	Europe/Moscow	38.2739	12 Dec 2016
CN	excellent	24.28859	Asia/Shanghai	116.11768	2022-02-28
CO	good	5.6561	America/Bogota	-75.87877	2015-12-06
DE	maintenance	48.35149	Europe/Berlin	8.96317	13 Sep 2018
NG	good	7.62789	Africa/Lagos	4.74161	2022-03-10
CN	good	35.85	Asia/Shanghai	117.7	2015/01/07
US	good	40.93121	America/New_York	-73.89875	09/17/2019, 00:00:00
HT	excellent	18.65297	America/Port-au-Prince	-72.09391	12/22/2019, 00:00:00
US	average	34.09668	America/Los_Angeles	-117.71978	2017-11-27
FR	building	43.11667	Europe/Paris	1.6	2021-08-13
FR	excellent	45.51667	Europe/Paris	4.86667	11/06/2021, 00:00:00
HR	average	43.50891	Europe/Zagreb	16.43915	12 Apr 2019
FR	maintenance	46.67535	Europe/Paris	5.55575	02/22/2021, 00:00:00
ID	accep	-6.48167	Asia/Jakarta	106.85417	02/23/2021, 00:00:00
ME	good	42.28639	Europe/Podgorica	18.84	04/21/2019, 00:00:00
AR	good	-54.8	America/Argentina/Ushuaia	-68.3	20 May 2013
MM	good	17.30858	Asia/Yangon	97.01124	11/21/2019, 00:00:00
US	building	45.49428	America/Los_Angeles	-122.86705	2020-10-06
IL	excellent	31.92923	Asia/Jerusalem	34.86563	13 Apr 2013
IN	accep	11.93381	Asia/Kolkata	79.82979	12 Dec 2012
NL	building	52.31333	Europe/Amsterdam	6.92917	18 Nov 2017
AF	accep	36.21544	Asia/Kabul	65.93249	2015-08-12
US	average	33.08014	America/New_York	-83.2321	2018-01-02
US	excellent	35.05266	America/New_York	-78.87836	2018-07-30
US	excellent	41.14676	America/New_York	-73.49484	06/14/2019, 00:00:00
ID	excellent	-1.26753	Asia/Makassar	116.82887	04/22/2013, 00:00:00
BR	average	-14.66463	America/Cuiaba	-52.35558	01 May 2016
CZ	good	50.50301	Europe/Prague	13.63617	2015-12-29
IR	accep	36.64852	Asia/Tehran	51.49621	2018-07-03
RU	good	57.97472	Europe/Moscow	33.2525	12/04/2018, 00:00:00
TN	good	36.46917	Africa/Tunis	10.78222	2013-05-23
DE	accep	51.20219	Europe/Berlin	7.36027	05/24/2015, 00:00:00
BO	excellent	-21.44345	America/La_Paz	-65.71875	2015-04-04
PL	accep	54.60528	Europe/Warsaw	18.34717	2022/03/11
DJ	good	11.15583	Africa/Djibouti	42.7125	2018/03/09
IN	building	11.12018	Asia/Kolkata	76.11996	2021-11-18
IT	building	37.31065	Europe/Rome	13.57661	2022/06/13
US	maintenance	33.92946	America/Los_Angeles	-116.97725	27 Mar 2013
JP	good	34.9	Asia/Tokyo	137.5	23 Mar 2014
JP	building	34.81667	Asia/Tokyo	137.4	16 Oct 2018
BD	average	23.9028	Asia/Dhaka	89.11943	21 Oct 2012
FR	accep	43.83125	Europe/Paris	5.03586	2017/07/08
MY	good	2.2139	Asia/Kuala_Lumpur	102.3278	09/11/2015, 00:00:00
IN	good	30.21121	Asia/Kolkata	74.4818	27 Oct 2019
JP	good	33.3213	Asia/Tokyo	130.94098	10 Dec 2017
US	accep	42.93369	America/New_York	-72.27814	13 Apr 2017
IN	excellent	30.21121	Asia/Kolkata	74.4818	17 Apr 2013
IN	good	26.32293	Asia/Kolkata	91.00632	27 Aug 2014
CN	accep	31.64615	Asia/Shanghai	120.74221	2014/10/13
IN	average	34.08565	Asia/Kolkata	74.80555	06 Sep 2020
CD	building	-4.5833	Africa/Kinshasa	15.16554	2020-08-06
DE	maintenance	51.19139	Europe/Berlin	6.51352	09/25/2022, 00:00:00
ES	good	40.70995	Europe/Madrid	0.57856	19 Apr 2017
IN	building	21.34222	Asia/Kolkata	71.30633	09/08/2021, 00:00:00
PH	average	10.13361	Asia/Manila	124.84472	23 Jan 2016
UA	maintenance	50.18545	Europe/Kiev	27.06365	2017-06-03
RU	building	54.84444	Europe/Moscow	38.16694	2015-06-02
IN	average	19.30157	Asia/Kolkata	72.85107	2018-11-14
BR	excellent	-19.32556	America/Sao_Paulo	-41.25528	27 Sep 2022
CA	building	50.26729	America/Vancouver	-119.27337	2021/01/27
AO	building	-11.78333	Africa/Luanda	19.91667	2021-02-19
IT	maintenance	45.39402	Europe/Rome	9.29109	03/21/2014, 00:00:00
US	good	46.09273	America/Menominee	-88.64235	08/31/2022, 00:00:00
DE	excellent	52.86147	Europe/Berlin	9.5926	07 Apr 2015
RU	good	57.30185	Europe/Moscow	39.85331	08/11/2019, 00:00:00
RU	building	56.11281	Asia/Yekaterinburg	69.49015	03 Feb 2015
EC	average	-2.90055	America/Guayaquil	-79.00453	2021-08-28
US	good	35.74788	America/Chicago	-95.36969	05 Nov 2021
DE	excellent	48.78232	Europe/Berlin	9.17702	2017/09/15
BR	acceptable	-25.42778	America/Sao_Paulo	-49.27306	06/01/2019, 00:00:00
IT	excellent	45.50369	Europe/Rome	11.412	2013-08-08
US	average	33.98154	America/New_York	-81.23621	2015-10-22
CN	building	29.98869	Asia/Shanghai	122.20488	04/26/2015, 00:00:00
IT	excellent	43.62558	Europe/Rome	13.39954	31 Mar 2017
AZ	good	38.45598	Asia/Baku	48.87498	12/11/2017, 00:00:00
BR	accep	-23.7975	America/Sao_Paulo	-48.59278	2012-10-04
PH	excellent	9.3337	Asia/Manila	122.8637	28 Jul 2020
US	excellent	34.77453	America/Chicago	-96.67834	01/03/2021, 00:00:00
IT	average	44.31771	Europe/Rome	9.32241	2012/10/31
GB	excellent	53.7446	Europe/London	-0.33525	09 Nov 2016
IR	excellent	32.65246	Asia/Tehran	51.67462	09 Oct 2016
UA	excellent	50.18545	Europe/Kiev	27.06365	19 Jan 2018
MW	average	-13.7804	Africa/Blantyre	34.4587	07/23/2018, 00:00:00
GB	accep	51.26	Europe/London	-2.1875	08/05/2017, 00:00:00
JP	accep	36.75965	Asia/Tokyo	137.36215	14 Feb 2013
NG	building	11.86064	Africa/Lagos	9.0027	2017-11-20
PH	average	16.0438	Asia/Manila	120.4861	09 May 2021
IT	good	43.62558	Europe/Rome	13.39954	2013-11-10
IN	good	23.1959	Asia/Kolkata	86.51499	2020-03-06
US	average	45.16024	America/Chicago	-93.08883	2019/12/06
GB	excellent	53.00974	Europe/London	-3.05814	10/25/2021, 00:00:00
ES	good	38.47917	Europe/Madrid	-1.325	09/05/2020, 00:00:00
CG	accep	-4.26613	Africa/Brazzaville	15.28318	21 Sep 2015
PL	accep	54.58048	Europe/Warsaw	16.86194	2018/05/23
FR	good	43.61058	Europe/Paris	1.33467	09/06/2020, 00:00:00
IQ	excellent	32.61603	Asia/Baghdad	44.02488	04/16/2017, 00:00:00
IN	average	23.1959	Asia/Kolkata	86.51499	03/31/2021, 00:00:00
IL	building	32.05971	Asia/Jerusalem	34.8732	2013-05-10
CI	average	5.84752	Africa/Abidjan	-5.682	12/02/2020, 00:00:00
KR	good	34.8825	Asia/Seoul	128.62667	06 Jun 2020
FR	accep	45.73333	Europe/Paris	4.91667	01/08/2019, 00:00:00
GB	accep	51.35084	Europe/London	-1.99421	05/31/2013, 00:00:00
MX	average	19.04222	America/Mexico_City	-98.11889	2018/03/24
MG	accep	-22.9	Indian/Antananarivo	44.53333	2018/12/04
DE	accep	52.53048	Europe/Berlin	13.29371	26 Jan 2013
ID	excellent	-3.5403	Asia/Makassar	118.9707	2019-05-22
RS	good	44.97639	Europe/Belgrade	19.61222	09 May 2020
US	average	32.5007	America/Chicago	-94.74049	02 Oct 2015
RU	good	54.03876	Europe/Moscow	43.91385	01/17/2019, 00:00:00
ES	excellent	41.63976	Europe/Madrid	2.35739	2019-11-02
NO	accep	68.79833	Europe/Oslo	16.54165	02/25/2018, 00:00:00
MY	good	5.90702	Asia/Kuching	116.10146	11 Aug 2022
CA	excellent	50.26729	America/Vancouver	-119.27337	2022/05/13
RU	good	51.82721	Asia/Irkutsk	107.60627	08/07/2015, 00:00:00
US	excellent	33.08014	America/New_York	-83.2321	06/09/2015, 00:00:00
US	accep	37.52487	America/New_York	-77.55777	2014/10/17
ES	average	43.31667	Europe/Madrid	-2.68333	01 Sep 2021
CO	good	7.83389	America/Bogota	-72.47417	2020-05-08
MG	accep	-21.15	Indian/Antananarivo	46.58333	09/03/2017, 00:00:00
RS	accep	44.22639	Europe/Belgrade	22.53083	27 May 2018
FR	accep	43.67681	Europe/Paris	4.63031	2022/03/29
ES	accep	42.06166	Europe/Madrid	-1.60452	2017/08/17
US	good	38.17492	America/Los_Angeles	-122.2608	07 Mar 2014
IN	maintenance	22.10194	Asia/Kolkata	85.37752	2014-06-13
KE	average	0.46005	Africa/Nairobi	34.11169	2018/08/23
US	average	43.54072	America/Boise	-116.56346	2015/03/16
US	building	42.55308	America/Chicago	-87.93341	17 Apr 2013
RU	excellent	58.1908	Europe/Moscow	40.17171	2014-06-22
IN	accep	22.75218	Asia/Kolkata	72.68533	2018/02/28
IN	excellent	15.45144	Asia/Kolkata	78.14797	09/01/2022, 00:00:00
SV	good	13.73417	America/El_Salvador	-89.71472	2017-02-28
US	accep	37.73604	America/Los_Angeles	-120.93549	2017/05/23
US	excellent	35.61452	America/Chicago	-88.81395	26 Feb 2021
IN	accep	23.07492	Asia/Kolkata	88.28637	2021/11/24
CU	accep	23.15678	America/Havana	-81.24441	01 Feb 2016
IR	average	36.64852	Asia/Tehran	51.49621	12/29/2017, 00:00:00
BE	good	51.03427	Europe/Brussels	5.37429	2013/01/31
MX	average	20.28527	America/Mexico_City	-103.42897	2019-04-09
LR	average	7.57944	Africa/Monrovia	-8.53778	06/12/2019, 00:00:00
UZ	accep	40.78206	Asia/Tashkent	72.34424	2022/04/12
IT	excellent	45.39402	Europe/Rome	9.29109	15 Apr 2013
FR	building	43.2907	Europe/Paris	5.4384	2015-02-06
SE	building	61.72744	Europe/Stockholm	17.10558	2022/02/11
IN	accep	25.75728	Asia/Kolkata	75.37991	07/09/2016, 00:00:00
CU	average	22.98212	America/Havana	-80.58556	02 Feb 2017
IT	building	38.07789	Europe/Rome	13.44275	25 Feb 2017
US	good	38.54491	America/Los_Angeles	-121.74052	07/28/2017, 00:00:00
JP	good	35.8	Asia/Tokyo	137.23333	06/03/2019, 00:00:00
RU	good	53.53041	Europe/Moscow	43.67663	19 Dec 2015
RW	average	-1.9487	Africa/Kigali	30.4347	2020-09-23
PH	average	14.14989	Asia/Manila	121.3152	04/04/2022, 00:00:00
PK	maintenance	27.55898	Asia/Karachi	68.21204	2017-04-17
US	building	36.91023	America/Los_Angeles	-121.75689	2016/09/29
PK	good	31.71667	Asia/Karachi	73.38333	2014/05/11
DE	good	48.06919	Europe/Berlin	11.37703	2016/02/17
ID	building	-3.5403	Asia/Makassar	118.9707	2018/09/24
JP	accep	34.81667	Asia/Tokyo	137.4	2019-10-22
IN	maintenance	26.11527	Asia/Kolkata	86.59509	2016-07-11
IL	average	31.92923	Asia/Jerusalem	34.86563	2016/01/25
IT	building	45.53069	Europe/Rome	9.40531	01/04/2014, 00:00:00
ID	average	-7.57897	Asia/Jakarta	112.23109	2014-09-28
BG	good	43.4125	Europe/Sofia	23.225	04/02/2018, 00:00:00
IN	good	21.46527	Asia/Kolkata	83.97573	14 Feb 2022
ID	excellent	3.31332	Asia/Makassar	117.59152	04 Nov 2021
ES	average	37.13548	Europe/Madrid	-3.67029	2017/12/09
IN	accep	21.46527	Asia/Kolkata	83.97573	2022-03-18
TZ	building	-4.06667	Africa/Dar_es_Salaam	37.73333	2021/03/26
MX	excellent	19.32889	America/Mexico_City	-99.32556	23 Sep 2019
JP	excellent	35.82756	Asia/Tokyo	137.95378	26 Dec 2012
CA	maintenance	53.51684	America/Edmonton	-113.3187	2013-11-21
IT	excellent	45.78071	Europe/Rome	12.84052	09/07/2019, 00:00:00
KE	excellent	0.46005	Africa/Nairobi	34.11169	04/24/2018, 00:00:00
RU	accep	43.96222	Europe/Moscow	43.63417	2022/09/18
IT	excellent	45.44694	Europe/Rome	8.62118	06/15/2015, 00:00:00
ID	accep	-6.91806	Asia/Jakarta	106.92667	02/27/2017, 00:00:00
IT	good	40.87329	Europe/Rome	14.43865	05 Apr 2019
RU	building	54.90083	Europe/Moscow	38.07083	02/16/2020, 00:00:00
MG	accep	-22.9	Indian/Antananarivo	44.53333	2017-11-26
BR	accep	-28.44917	America/Sao_Paulo	-52.2	2020/11/10
MK	building	42	Europe/Skopje	21.32778	31 Dec 2017
PK	excellent	30.29184	Asia/Karachi	71.67164	2022-08-20
AR	good	-31.4488	America/Argentina/Cordoba	-60.93173	08/21/2020, 00:00:00
HT	excellent	18.65297	America/Port-au-Prince	-72.09391	22 Jan 2016
NG	good	4.92675	Africa/Lagos	6.26764	15 Jun 2014
US	average	39.72943	America/Denver	-104.83192	2022-09-06
DE	building	49.68369	Europe/Berlin	8.61839	28 Nov 2021
CH	excellent	46.18396	Europe/Zurich	6.10237	2020/11/01
RU	accep	53.59782	Europe/Moscow	34.33825	03/15/2013, 00:00:00
DE	building	53.6052	Europe/Berlin	10.03988	2012-10-07
BR	excellent	-10.91722	America/Maceio	-37.65	2018/09/02
RU	maintenance	54.8421	Europe/Moscow	46.5813	17 Sep 2015
DE	building	50.82709	Europe/Berlin	6.9747	03/15/2018, 00:00:00
CA	good	45.4473	America/Toronto	-73.75335	11/19/2018, 00:00:00
DE	excellent	48.35149	Europe/Berlin	8.96317	07/19/2018, 00:00:00
US	good	41.6764	America/Chicago	-91.58045	2018-05-04
RU	good	53.93361	Europe/Moscow	37.92792	2015/06/18
UY	maintenance	-33.38056	America/Montevideo	-56.52361	04/28/2013, 00:00:00
RO	good	44.43579	Europe/Bucharest	26.01649	21 Jun 2017
SV	good	13.73417	America/El_Salvador	-89.71472	06 Dec 2016
AO	excellent	-11.78333	Africa/Luanda	19.91667	2016/09/25
CN	good	37.65181	Asia/Shanghai	120.33063	2013-08-16
US	accep	28.90054	America/New_York	-81.26367	08/28/2021, 00:00:00
ES	accep	41.63976	Europe/Madrid	2.35739	2016/04/11
IR	average	32.65246	Asia/Tehran	51.67462	2022/03/13
JP	maintenance	36.65	Asia/Tokyo	138.31667	2013-06-27
