H2CO	TEMP	CH4	PM2.5	warning	PRES	C2H3NO5	SO2	NH3	longitude	O3	PM10	latitude	Pb	CO	CFCs	PAHs	NOx
48.08362	9.82715	11.83086	5.35555	0.00000	1145.71366	1.19773	9.40376	7.86853	34.75699	6.60052	12.41534	31.39547	56.02688	10.29412	41.89537	9.32464	10.29566
54.14660	27.03221	11.13904	8.00382	0.00000	1125.44000	0.45340	7.48372	9.08308	-75.11028	8.82656	11.44326	-15.21194	36.40237	10.51124	45.40142	7.44053	9.69267
46.77113	30.74395	10.42531	11.88918	1.00000	1099.30591	0.01640	8.64251	10.19083	-120.93549	7.96102	7.46320	37.73604	55.04411	9.70941	59.93139	10.02310	9.36403
50.58800	31.91287	9.63103	9.11153	0.00000	1144.54697	0.10045	6.92002	9.26146	13.63617	7.34538	9.88428	50.50301	49.61502	11.61445	47.27789	9.60850	10.66296
69.47705	2.59824	9.83791	10.78918	0.00000	1143.97372	0.00692	7.82527	9.41812	56.36091	9.52599	5.23291	51.78771	67.65911	4.99014	13.73340	12.11680	9.61091
47.79113	19.37619	9.71749	9.43448	1.00000	1087.83962	0.21352	11.75971	10.04607	136.61667	11.71196	10.64543	36.53333	75.87285	11.23463	66.30261	10.67498	9.16612
54.25954	17.31640	12.43308	12.48986	1.00000	1068.34683	0.01073	9.52365	9.27382	-8.07257	7.77400	6.04123	12.74409	71.24696	9.49595	40.16997	11.99665	10.22618
68.85546	9.26987	9.36700	8.10753	0.00000	1139.20927	0.01078	10.16315	9.34612	12.84052	11.03098	7.10368	45.78071	28.25267	7.85051	60.23509	10.36690	10.41284
71.43965	25.31225	9.68738	11.25722	1.00000	1092.87509		8.89724	10.12326	-73.58248	5.59724	5.88886	45.40008	66.23902	8.91664	65.22800	10.47392	6.51620
29.87238	11.39017	11.91992	10.91023	1.00000	1155.09374	0.05482	8.84547	9.58494	120.74792	9.98779	9.20258	41.09822	41.65060	11.48055	73.29564	10.86016	8.55754
75.94612	11.15034	12.37279	7.51014	0.00000	1175.61435	1.12433	8.04931	10.30370	53.26023	8.68233	12.35379	54.39304	36.70868	11.68572	24.59099	8.25995	7.19476
82.89307	8.98481	9.84784	7.96539	0.00000	1051.13346	0.16988	9.40100	9.05950	89.11943	7.48010	10.42770	23.9028	69.64275	9.86952	53.08998	8.14754	10.64197
62.01831	12.46208	7.85069	8.26902	1.00000	1113.59607	0.01292	7.85534	10.77040	10.30215	5.72548	6.60356	53.94313	59.14400	6.01634	59.46588	12.95065	7.63773
75.97308	17.43067	10.10586	12.97074	1.00000	1187.06688	1.05791	9.42778	10.19524	-7.32097	10.77904	12.29063	41.1053	55.36359	10.51056	46.39030	11.94367	10.60957
46.47885	11.20833	12.40228	10.91968	1.00000	1151.88251	0.02213	9.36725	8.58674	-120.43572	8.14218	8.12994	34.95303	55.91968	10.89716	77.52041	10.13763	8.10540
70.52412	8.45532	12.46870	11.33220	1.00000	1057.99915	0.10596	8.77177	8.81707	124.84472	8.50280	9.89121	10.13361	54.24594	8.98406	49.35567	8.10899	8.56432
31.47991	21.37839	11.61539	13.87633	1.00000	1078.66300	2.83135	7.86445	10.26496	13.39954	11.94484	13.27849	43.62558	65.49622	10.33967	55.00092	11.44167	10.76091
51.65395	21.63390	9.47125	10.74229	0.00000	1090.19508	0.00703	7.94286	8.48296	-34.88111	10.49551	5.81345	-8.05389	62.63434	8.17947	43.45166	8.99144	8.84175
31.81390	9.79280	9.70713	10.18174	1.00000	1155.90072	0.60079	9.42307	9.29474	38.94324	12.22115	11.72451	44.98901	62.60897	10.58168	48.12364	11.17479	9.87007
50.79111	0.11079	9.07638	9.13618	1.00000	1093.29096	0.21618	8.58437	10.94182	38.16694	11.08121	10.66118	54.84444	38.10576	10.40270	38.73428	11.08000	9.58282
66.77866	-0.58284	9.64496	7.72656	0.00000	1150.62445	0.06227	9.24393	8.43741	-86.78777	7.94559	9.36804	33.44872	75.94520	10.61682	48.24543	7.59702	
71.09857	21.83315	9.88341	7.67733	0.00000	1096.34073	0.02455	8.77841	7.72326	72.54064	11.54285	8.04736	31.82539	43.72423	8.14680	27.78167	11.93825	10.15517
81.94727	13.85750	9.26021	7.26865	1.00000	1062.19417	0.05637	9.63122	7.88444	137.95378	10.65285	9.29274	35.82756	32.11598	10.61248	70.93877	10.18508	6.82927
51.56143	-3.37912	10.07232	11.29073	0.00000	1072.66612	0.01469	10.07798	9.77419	122.8637	9.47418	7.49594	9.3337	60.20164	9.66147	36.78510	8.39770	8.72230
43.06143	13.56766	15.20068	12.34504	1.00000	1180.16970	0.01191	9.93597	9.90383	9.32241	6.92936	6.31588	44.31771	64.68018	8.79215	42.44994	10.74336	8.98752
65.38104	-3.28941	10.36980	6.79270	0.00000	1137.69908	0.34673	8.45916	8.09172	6.26667	5.83331	11.17134	51.21667	51.87396	9.04891	61.43661	9.28382	10.19791
47.59190	1.58784	12.19416	11.06749	1.00000	1161.95437	0.01239	9.82276	7.33864	27.46153	6.87054	6.99004	-21.44236	24.45344	7.93461	49.28094	10.00625	9.07842
79.98763	18.97762	11.65713	9.12536	1.00000	1192.95672	0.03718	10.53976	7.37178	-73.89875	5.49708	8.86331	40.93121	46.44236	6.95826	75.59327	10.03514	10.34122
75.02316	31.43207	10.37002	14.53565	0.00000	1134.18828	0.01434	8.33929	8.89526	-79.2663	9.27907	7.58095	43.86682	30.29270	10.12261	51.54915	8.25083	6.39093
67.93578	-3.15050	8.93217	10.83393	1.00000	1082.11743	0.61399	11.04442	11.53953	-88.64235	11.67379	11.73908	46.09273	38.04544	11.39111	61.52861	11.99892	7.78255
43.15342	6.76858	8.53075	8.44868	1.00000	1079.64390	0.86888	7.70655	8.76394	26.97253	12.19217	12.09430	49.65186	47.30218	9.44013	69.65797	10.14197	9.37389
58.69309	22.21256	9.15428	7.84473	1.00000	1188.69160	0.04673	8.64566	8.89551	106.92667	6.94582	9.04128	-6.91806	71.54075	6.49038	41.01248	12.91793	10.57584
38.99965	2.13233	13.82659	12.65442	1.00000	1188.50748	0.01199	8.52741	7.65645	3.39467	10.12767	7.12482	6.45407	52.46575	8.16499	30.72722	9.78560	9.09343
59.79065	8.37810	10.13986	10.64915	0.00000	1066.97214	0.01075	9.52564	8.72166	14.01481	11.28964	6.89685	42.67164	49.29827	5.97599	51.47851	10.73160	8.12609
63.54096	10.88107	10.03683	11.76145	1.00000	1176.44277	0.02084	8.38532	8.55688	27.25	8.82296	7.35117	42.7	39.64208	8.66726	32.15476	9.15041	9.58389
64.53259	29.24963	11.13765	11.57224	0.00000	1052.13103	0.10209	9.03462	9.81788	39.25	10.34309	9.88416	-6.8	70.49744	11.95691	33.83475	10.13759	8.52105
73.62022	8.13792	10.60022	8.53662	0.00000	1093.52073	0.11947	9.06893	8.85164	-77.43532	10.16317	10.05565	20.14298	43.21501	9.77331	28.21773	9.30057	8.10158
63.30854	25.97018	9.60774	10.36675	0.00000	1147.69391	0.06601	10.23306	11.29668	34.11169	8.59337	9.42067	0.46005	54.09289	11.54909	45.91254	7.93914	8.52386
49.81213	12.88224	10.85046	10.15288	1.00000	1120.79773	0.11039	10.40645	7.75158	13.10984	9.91912	9.96965	51.30001	75.84869	9.81655	28.34378	9.90932	8.93044
39.90117	16.95110	11.98511	10.74758	1.00000	1185.53082	0.00695	8.55762	9.55839	126.835	7.59488	5.99098	37.65639	66.59595	7.02901	19.01394	12.30251	9.21943
51.85688	17.96874	7.49844	7.61618	1.00000	1062.43063	0.19332	11.59559	9.13006	27.25	10.32807	10.59115	42.7	59.56656	9.09072	37.76064	9.56129	8.26304
55.24880	17.49532	10.65747	7.17221	0.00000	1126.86372	0.38088	8.93534	10.97760	51.67462	5.97751	11.25956	32.65246	51.66625	10.21082	65.86475	9.67902	10.25221
71.41814	12.46629	13.01106	13.93700	1.00000	1115.35606	0.30061	8.24312	9.76688	59.80222	10.43712	10.99878	58.63667	52.82420	10.46916	62.05184	10.23035	8.55953
57.70437	26.58060	10.84604	9.07777	1.00000	1054.93782	0.10163	8.64190	8.02740	29.47306	9.39758	9.93046	0.49113	46.50263	6.94308	24.56413	12.40413	9.65528
56.90234	5.01392	11.84180	11.36560	0.00000	1179.79049	0.09468	10.66882	7.84876	-1.60452	11.64313	9.82106	42.06166	45.94667	5.45532	34.26002	11.24546	9.94973
38.67279	-0.70927	9.37196	6.61460	1.00000	1147.72245	0.03284	9.78462	10.82854	120.4861	9.08168	8.64059	16.0438	49.17248	8.26439	23.64003	9.53281	10.34470
47.35016	22.32096	8.93500	9.82872	1.00000	1103.72798	0.44875	9.60060	10.21010	8.61839	11.07678	11.42456	49.68369	67.94067	10.33638	66.38488	9.40840	7.92101
59.10349	9.64281	10.03544	6.76891	0.00000	1063.68403	0.07529	7.54856	8.26069	-63.13414	7.00622	9.48951	46.23899	71.39432	9.63004	25.11477	6.95276	8.63391
45.38344	6.11518	12.96214	11.81927	1.00000	1052.30916	0.09447	9.09211	11.68240	100.24529	9.56297	9.77787	5.4709	71.04033	9.62406	51.91938	11.49707	8.95495
31.11997	13.19331	12.29798	9.67790	1.00000	1189.74673	0.06581	10.50304	10.30834	6.61944	10.77012	9.38661	52.57583	41.82472	10.72418	41.64127	8.82568	10.12052
50.19145	13.08489	8.67418	10.00232	1.00000	1196.18494	0.03139	10.44858	9.72921	86.51499	7.16360	8.43531	23.1959	58.16735	8.01085	29.74799	9.42932	8.89743
44.54721	19.50082	9.56788	9.82074	1.00000	1082.25669	0.09322	9.09702	9.26344	-95.36969	9.85037	9.83051	35.74788	52.86652	11.03991	49.38585	11.68241	7.12199
55.61334	18.35314	11.48642	11.16514	1.00000	1169.25997	0.06049	8.79502	8.76204	-51.50361	9.72277	9.31329	-29.2975	42.07737	8.68792	61.49437	10.23942	8.28534
33.90354	27.00359	9.39394	8.88262	0.00000	1064.50372	0.00809	9.41895	8.31034	-6.00137	9.62862	5.13894	33.42585	56.94519	6.14868	35.70867	11.85775	10.36373
65.75789	18.97512	12.32804	10.49566	1.00000	1182.82347	0.15189	10.08519	8.64059	30.96755	10.77525	10.29511	49.07866	61.13076	9.76660	70.38390	10.11257	10.20035
49.14334	4.30125	10.05631	11.33370	1.00000	1153.25508	0.64686	9.16632	9.27792	118.53333	10.70704	11.79707	27.92333	61.75399	8.35986	70.66298	11.30441	9.46729
56.77276	20.78658	7.12865	7.93632	1.00000	1104.62759	0.03795	9.74459	9.84749	-2.31938	6.36408	8.67739	6.46346	59.19909	6.50529	54.81831	10.93493	7.29068
58.12958	17.95649	12.72419	8.38707	1.00000	1132.62620	0.14997	8.40559	8.57806	24.95034	9.34879	10.29707	60.18427	49.10531	5.28363	55.77920	11.80417	9.09432
29.69907	9.47523	10.18879	8.52411	0.00000	1184.74974	0.16595	10.43861	9.52225	6.9747	7.76841	10.39494	50.82709	53.29542	9.49824	75.48846	7.52003	9.34920
69.27212	14.62099	12.56770	11.52233	1.00000	1056.13066	0.00991	9.43648	10.17770	84.13864	9.23236	5.61232	22.88783	40.79866	6.65951	53.22473	11.29041	10.60960
	22.71342	10.14660	8.47814	0.00000	1076.90177	0.01869	10.46028	8.17884	-56.52361	11.01801	7.40431	-33.38056	38.93540	6.19275	54.84457	11.50083	8.40409
67.75225	14.50802	10.86093	10.56525	0.00000	1167.88262	0.04762	11.14047	8.36255	-2.52398	11.28889	9.10891	53.19146	61.79600	9.11109	80.53691	11.36540	8.77116
66.79376	10.12320	10.83317	11.48787	1.00000	1195.58093	0.80551	6.62939	8.23680	9.17702	12.60077	12.01654	48.78232	52.33244	11.64454	51.83217	11.24727	9.28879
62.06046	17.30960	11.09984	7.45634	0.00000	1149.51437	0.33758	7.95878	7.26500	4.86667	7.66678	11.14958	45.51667	30.48928	11.10004	55.74181	8.29945	9.38563
54.44401	14.71098	9.69990	6.40893	0.00000	1112.06645	0.04721	8.67519	9.72340	-70.20749	6.91587	9.00410	8.62261	52.33971	9.46793	63.05054	7.00927	10.52051
40.93816	10.78528	9.19758	6.41770	0.00000	1137.98745	0.02308	9.52142	9.11966	27.25	7.52026	8.23600	42.7	70.88235	8.18630	50.75167	5.25962	7.93301
60.79530	3.32661	12.02408	7.87140	0.00000	1133.30319	1.51301	10.65851	8.78309	11.04979	7.63183	12.65053	44.59445	27.35466	11.29365	38.76075	9.45877	8.21209
28.03864	29.39282	8.77543	9.51712	1.00000	1098.88248	0.11575	9.56751	9.94045	51.67462	9.79995	9.97301	32.65246	79.56022	10.49977	19.82859	9.23404	9.64090
54.92018	32.02934	11.15523	11.28911	1.00000	1195.86861	0.39483	9.50900	9.17341	124.84472	12.51284	11.29793	10.13361	55.88252	11.61206	50.27145	10.06814	8.50270
34.74850	16.02348	10.22474	12.08908	1.00000	1060.28426	0.00796	8.54555	9.13802	7.60872	8.36570	6.04468	43.78956	50.37230	9.40865	35.21017	11.05778	10.95600
52.86491	12.44428	8.46424	9.43451	1.00000	1101.32692	0.19590	8.82045	8.08909	-104.83192	9.50516	10.57859	39.72943	66.36727	9.99760	39.31858	11.36070	7.73542
65.19140	17.45032	10.42138	9.32174	1.00000	1146.32360	0.16744	9.51722	8.62738	2.61667	11.46131	10.39705	48.98333	63.13624	10.71197	74.73289	9.71699	10.70338
43.68936	12.24897	10.19117	9.63192	1.00000	1143.58073	0.15394	8.32004	9.83196	-83.2321		10.31979	33.08014	43.19412	10.05296	38.03370	11.51578	10.82880
50.26589	17.44571	12.85752	13.05343	1.00000	1080.64497	0.02340	8.05500	10.38542	13.29371	7.87969	7.95132	52.53048	68.69352	10.26923	30.37118	6.97319	8.14121
22.23106	10.60130	11.47553	9.49271	1.00000	1097.14078	0.06679	10.59592	9.14635	-81.77285	9.47931	9.40182	28.54944	55.17103	9.99100	29.74342	9.30264	9.01073
35.10403	16.79768	9.53444	10.41645	1.00000	1081.16802	0.21036	9.12238	7.68331	-6.90656	11.09814	10.66080	33.92866	54.39564	11.75269	40.42084	11.76417	9.86971
52.74910	16.74774	9.06705	9.13202	0.00000	1147.06450	0.00056	10.52471	9.40885	120.74792	9.30972	4.91533	41.09822	52.68180	5.67510	69.99511	10.25016	8.69296
55.95481	26.43389	10.86999	12.74113	1.00000	1091.85781	1.42864	8.36011	8.26303	38.07083	11.88794	12.59471	54.90083	78.68536	10.67993	51.36439	10.81915	8.88267
48.87874	13.04854	10.27606	7.73293	0.00000	1187.44846	0.42386	8.02133	9.57116	-89.71472	6.55368	11.36585	13.73417	41.31456	9.87127	62.23146	9.61413	9.33001
52.76359	11.85785	9.93936	12.40142	1.00000	1085.50280	0.76741	9.93071	9.25215	2.61667	11.51048	11.96342	48.98333	61.48456	11.16747	47.50471	10.18094	9.08850
43.67936	25.02425	5.77605	9.28917	1.00000	1198.04265	0.01498	8.25300	8.36626	-70.20749	7.20575	7.70962	8.62261	51.02499	8.13513	28.70522	11.44546	9.94421
56.10924	8.59810	9.12542	11.08701	0.00000	1138.79281	0.02402	8.27592	8.88211	-88.31476	8.60224	8.25330	36.61033	66.21808	9.21928	45.85112	10.22582	7.93823
82.02834	17.12305	12.05653	7.27317	0.00000	1078.38803	0.55283	9.01801	9.11486	-83.48216	10.09009	11.63349	42.30865	46.34550	10.52949	53.83321	5.69220	7.43611
31.13335	21.45738	10.78291	11.23641	0.00000	1190.87647	0.00849	8.67251	8.52402	137.5	9.58720	6.12290	34.9	74.79834	6.01076	58.06589	9.34755	10.51104
48.69215	6.58851	9.48463	11.39804	1.00000	1175.35797	0.27929	7.92267	9.57490	20.91361	9.56084	10.93009	41.92361	59.37879	10.38768	63.76285	10.43495	7.14774
69.33704	10.48515	11.01586	10.25215	1.00000	1135.49267	0.05268	8.82566	8.48194	18.34717	8.15199	9.08083	54.60528	46.96901	7.70765	66.54736	9.15904	9.26243
62.48060	18.85465	10.83754	10.29461	0.00000	1106.65401	0.00832	8.09398	8.08091	7.60872	11.73555	7.08242	43.78956	46.71592	5.05761	59.66175	12.63108	10.14633
50.59096	12.53201	10.32148	9.75420	1.00000	1084.96247	0.04000	10.64797	10.18866	-7.95	8.17026	8.77461	53.43333	56.97928	7.46057	43.53421	10.75734	10.27562
42.53172	31.00828	10.58375	8.72436	0.00000	1082.94676	0.27862	8.72645	10.13145	44.53333	8.17807	10.94309	-22.9	61.53537	10.43938	39.39340	8.27660	9.95578
35.78767	14.31873	11.11647	8.98795	0.00000	1146.55403	0.42829	9.06435	8.80097	106.88324	8.33501	11.36974	47.90771	55.78072	10.68933	94.18661	8.27880	10.19979
56.63024	8.90324	8.76260	9.61371	1.00000	1157.36372		8.69576	9.35470	26.01649	6.21009	10.77011	44.43579	48.95604	9.42301	32.53572	8.24130	8.58262
57.54577	-2.21378	11.12459	10.42753	0.00000	1056.11421	0.19620	7.16933	8.94618	1.00288	12.20492	10.57902	49.28669	50.75737	9.76702	38.40212	10.35208	7.86392
42.51422	12.84380	12.55305	12.69841	1.00000	1113.24026	0.06389	8.36412	11.11545	-93.11308	10.46385	9.37315	16.75973	75.53882	12.87882	34.73231	13.61867	10.19768
88.14037	14.98860	11.07550	7.47036	1.00000	1123.06747	0.41954	7.19714	8.40415	-88.42814	6.69226	11.35947	42.16808	43.95687	9.80743	49.77812	8.38734	10.62823
66.75091	20.01139	9.44740	14.07403	1.00000	1144.01589	0.00821	8.24741	9.26723	37.38115	10.96994	5.92558	55.63711	21.95151	11.04367	37.20720	10.76023	8.99894
57.94921	8.02544	7.54893	8.15704	1.00000	1060.26627	0.14378	9.92918	7.95120	2.44892	10.16734	10.27034	48.98693	58.73361	10.81788	53.53366	11.42274	9.96316
50.53741	16.91724	8.33306	11.13149	1.00000	1086.17165	0.04930	9.09382	8.92917	29.41824	7.18965	9.06164	45.99194	50.49694	10.63038	55.43053	9.95643	9.34229
38.42727	32.35655	9.77991	11.98361	1.00000	1060.25800	0.77774	9.83649	9.80028	-101.2591	11.23706	11.98120	21.01858	26.95969	11.04431	35.40434	10.47985	9.11641
39.32495	21.04049	11.16073	8.47667	1.00000	1169.19578	0.02141	10.36769	8.91941	113.69785	8.64467	8.16001	-7.73379	49.96309	9.82842	70.18219	8.87361	6.42257
57.80547	37.18434	9.96919	9.50061	1.00000	1114.56750	0.18710	9.26314	9.11957	44.53333	11.76361	10.54217	-22.9	53.63762	11.13619	49.85742	10.37938	8.81190
51.99730	7.28813	9.43243	10.18634	1.00000	1189.91426	0.20748	9.38020	8.48624	8.88104	10.45626	10.63026	45.79377	58.99858	10.65313	51.06198	9.60360	9.08201
76.73590	12.17162	11.84167	11.38785	1.00000	1167.94545	1.75382	9.04616	10.19653	33.34864	11.71483	12.79940	46.75451	53.29731	8.32199	29.80687	9.31277	8.74352
65.52510	21.52100	12.97949	12.36274	1.00000	1155.10676	0.15502	7.65243	8.85151	-117.71978	10.67049	10.33592	34.09668	42.11792	11.11331	51.40268	10.31977	7.80573
61.12379	2.62686	8.67446	10.51289	1.00000	1139.39582	0.00949	9.89333	8.93439	-76.70944	5.37355	4.77374	-11.94306	41.18832	8.11895	60.26955	12.60597	10.28649
71.89994	4.64983	11.89407	9.87218	1.00000	1066.24882	0.04538	10.23275	9.96725	-3.59625	7.36497	8.98997	5.27247	49.67229	7.17532	60.80599	10.28410	9.48231
50.29156	31.19417	10.00344	10.18988	0.00000	1166.57710	0.17127	8.48551	10.86394	-76.99081	7.32399	10.42230	38.96372	50.05663	11.28038	27.30762	9.41845	10.68377
60.50953	8.21200	9.28284	11.14043	1.00000	1185.62537	0.10626	10.34358	9.96328	2.2469	8.60903	9.90631	48.90472	49.05070	11.50448	46.56766	9.65246	
66.80033	27.75094	13.18978	15.99875	1.00000	1147.05638	2.52931	8.74588	9.14680	11.18709	12.19565	13.16598	48.73218	73.93830	11.50548	40.61416	12.91581	10.45076
60.81943	26.37782	10.54097	12.80785	1.00000	1098.40673	0.00912		10.54098	150.60036	7.14710	6.98986	-34.88422	57.06446	10.32803	35.62773	8.49056	9.33029
67.00693	5.12250	10.36548	11.51012	1.00000	1113.19079	0.33533	8.63647	9.03424	38.66667	9.95527	11.11940	-6.25	42.73501	10.36250	27.79110	10.12735	8.06282
70.32515	17.55638	10.72968	9.06336	1.00000	1068.08161	0.01328	10.24886	9.08998	71.21169	5.00270	7.10742	21.59983	46.52011	6.51201	20.76725	10.99781	8.53920
38.53793	-3.05766	10.20838	9.52133	0.00000	1190.21366	0.00940	9.68555	9.61716	116.11768	10.99009	6.65439	24.28859	35.64584	6.59845	54.63977	10.91054	8.56520
53.35068	33.32585	10.56438	11.18837	1.00000	1114.95958	0.00960	8.78333	8.26612	-81.23621	8.64645	6.72674	33.98154	48.74479	7.90320	40.37226	10.72095	11.78007
42.53940	2.44017	11.22302	8.06572	1.00000	1190.67069	0.03147	8.60285	9.62384	106.88324	7.92039	8.51382	47.90771	75.08955	7.49826	48.71465	10.32382	9.72252
76.24327	15.87145	9.28286	9.98817	1.00000	1068.99315	0.35569	8.91263	9.61237	12.38878	11.24949	11.19221	43.1122	47.41115	10.73746	47.62157	9.77986	10.60484
64.31157	25.89959	6.63857	6.78739	0.00000	1093.28197	0.00811	10.40764	8.65545	43.63417	6.30712	5.54690	43.96222	46.59500	8.91757	49.24412	6.21507	8.16811
51.61624	4.59152	11.53626		0.00000	1159.44224	1.37197	9.33949	9.75818	123.50266	7.36400	12.55214	41.94175	15.17798	10.43873	46.70963	9.49903	11.25761
22.37865	24.83647	10.91948	11.92435	1.00000	1153.58341	0.75908	10.19042	10.18469	43.67663	11.35018	11.95997	53.53041	41.62775	9.52604	21.75011	10.80033	8.96348
