NOx	O3	PAHs	longitude	H2CO	CFCs	PM2.5	PM10	Pb	CO	warning	NH3	PRES	latitude	SO2	C2H3NO5	CH4	TEMP
8.62848	7.23484	9.97483	-73.89125	42.50584	71.43993	7.66128	9.44366	66.33514	6.00991	1.00000	5.84641	1091.25568	40.67705	4.94488	2.40205	9.06961	31.32515
6.47223	5.46172	8.45771	-63.13414	47.06926	35.11578	10.29836	8.47628	52.55188	7.58208	1.00000	7.25279	1170.48887	46.23899	6.39797	1.09189	9.31889	16.02965
8.22256	7.73397	10.33299	4.62744	46.45355	81.39735	7.49478	9.88265	84.16060	6.15181	1.00000	6.70207	1183.00222	36.06386	5.38770	3.71700	8.68423	20.43224
8.20423	11.18459	5.43767	-82.00919	67.93805	46.74801	6.58092	5.70641	51.47883	7.06338	0.00000	7.44184	1105.26622	23.04419	9.02694	0.10282	8.36143	24.96231
8.09949	5.17958	4.99368	2.25	49.04840	47.12083	12.01138	6.49226	40.75576	5.30468	0.00000	8.87077	1099.83299	50.75	7.11028	0.54620	7.16370	0.14131
7.51257	8.69048	6.87784	38.94324	59.84478	45.01808	8.65655	6.45429	52.65955	6.26620	0.00000	8.64474	1183.51003	44.98901	8.19296	0.37128	9.12857	14.28914
8.09644	6.53095	4.53507	117.63083	44.66337	58.95037	10.71372	5.64435	69.16942	8.65415	0.00000	7.58987	1132.22853	35.50056	6.16559	0.13907	6.74236	42.43705
6.68398	5.70379	8.47492	28.67582	44.26989	47.96160	9.37431	9.17497	55.73600	8.33148	1.00000	7.49101	1051.05385	40.98894	6.21974	1.88153	9.26350	24.84155
8.79410	4.97727	8.67713	7.36027	70.32139	47.93534	8.23658	9.55264	53.69549	7.15212	1.00000	6.80661	1149.05169	51.20219	5.50879	2.79757	9.41157	18.75233
8.18262	5.80396	7.72513	4.91667	46.75586	42.38672	10.93234	10.05057	61.80300	9.70983	1.00000	5.50858	1087.61211	45.73333	6.23854	4.26598	8.17095	1.85181
6.61863	5.35100	8.39517	38.15035	58.71767	42.94510	9.83560	9.10550	40.97843	6.48465	1.00000	6.52161	1111.90742	49.41029	5.85028	1.82069	9.48808	9.84807
8.00964	6.96375	6.14291	71.52847	44.85285	50.00264	7.88119	6.24051	44.49085	7.74909	1.00000	6.83012	1170.98025	32.57756	7.47590	0.42178	5.40653	12.97854
7.09887	8.53042	8.54218	7.11393	57.63156	57.10785	8.68169	5.54839	63.73220	7.13456	1.00000	8.25003	1187.57970	51.08468	9.54345	0.32410	5.54839	3.20837
7.23472	9.88583	4.70548	-71.06616	62.16236	54.96166	7.26621	4.93465	38.56882	7.01590	0.00000	7.63863	1069.17541	42.4251	7.06530	0.31643	8.05351	16.41547
7.88984	10.88446	7.50159	-80.66756	35.48600	80.06553	6.05992	10.53833	45.64924	7.69607	0.00000	7.11666	1105.21233	26.68451	6.84698	6.69806	8.06403	21.18664
6.53521	7.90522	7.20887	145.18333	49.20144	66.75188	8.60790	6.32472	42.17621	6.20134	1.00000	6.60013	1076.01965	-37.9	8.17300	0.33538	5.04569	21.57794
6.84199	8.26772	5.27051	68.88871	58.47621	50.25041	5.69978	9.63977	55.59331	8.95394	0.00000	6.29892	1098.65492	25.95533	6.52559	2.97577	9.47775	19.65180
5.51039	9.50811	8.75890	9.0027	66.16935	25.34027	9.17698	7.34797	50.27876	7.18993	1.00000	8.30229	1190.97557	11.86064	8.94642	0.38534	6.82981	6.00546
7.04266	5.76774	9.21735	-89.71472	50.99893	49.78205	9.04024	10.44866	52.32592	5.98995	1.00000	7.75842	1071.37365	13.73417	6.16040	6.17281	8.63587	15.81912
7.05653	7.88173	5.89850	9.22796	58.17889	50.41359	4.78785	10.95631	62.38347	7.77987	0.00000	6.80983	1118.43298	48.46458	7.51374	10.08384	11.36020	9.91151
6.59125	8.66514	6.64168	-3.05814	39.84546	50.19561	6.22448	8.60688	35.45456	6.77661	0.00000	7.77452	1190.31209	53.00974	6.34274	1.13752	9.10320	11.86051
9.50518	6.87554	6.17580	43.91385	41.90474	67.84721	10.10366	5.05779	63.17723	6.56959	0.00000	6.52851	1196.25450	54.03876	9.52063	0.22564	9.92382	22.56204
7.05160	9.31111	9.64060	-0.45877	49.81068	49.30824	9.23008	6.19603	56.36382	8.90231	1.00000	5.25930	1163.78204	46.32313	9.15020	0.45747	5.84304	18.97336
6.14964	7.95092	3.89900	137.23333	55.28674	41.10170	8.72471	6.75377	33.36040	7.98614	0.00000	7.09995	1171.45327	35.8	8.05005	0.59524	8.07484	19.29911
7.76570	8.72823	7.32126	123.99333	50.65949	42.30751	8.23818	7.59994	47.81797	7.69147	0.00000	7.56417	1162.88712	12.97389	7.25257	0.56691	9.35982	10.85557
7.62108	4.42145	7.72693	-89.66123	57.29534	39.46266	9.83897	7.85904	53.68956	8.89211	1.00000	7.00405	1153.77254	21.28306	7.01018	0.56138	9.84068	8.18347
8.44205	6.90698	4.92534	-113.3187	53.20292	33.49803	8.48341	6.78471	56.74726	9.31420	1.00000	6.03029	1077.83586	53.51684	8.27950	0.32118	5.24816	7.24071
6.13489	7.96600	6.26985	-81.56929	64.00874	40.71092	8.88122	7.76486	59.27783	5.94054	1.00000	6.86061	1136.47596	41.55838	8.11794	0.55366	5.35181	15.64256
9.59892	7.87346	8.93328	39.8302	52.07746	28.95214	7.67770	3.85420	66.04417	8.20658	1.00000	8.39967	1139.28793	64.5635	10.13224	0.23111	4.47584	27.12411
9.31663	8.34156	8.15559	34.02537	31.15633	66.23428	8.74628	6.99299	74.90925	6.97205	1.00000	8.18476	1069.39160	38.37255	7.23645	0.51763	8.53982	24.39704
7.30024	7.93156	6.38356	5.4584	29.37526	50.32473	8.51700	6.47386	60.70415	8.89988	0.00000	7.83673	1084.80521	43.32393	8.32633	0.33036	10.25876	19.14113
7.34635	6.51842	8.26749	99.1625	70.84058	51.15148	12.31082	8.05489	75.01396	7.66736	1.00000	7.19684	1062.06253	3.3285	6.53325	0.90427	9.22662	1.04330
8.40026	9.35847	8.38852	46.04833	46.31763	71.54791	8.77602	6.95879	48.68253	8.15480	1.00000	10.41417	1051.76830	51.40944	9.50874	0.56837	4.98459	0.62400
6.47728	4.90484	7.52136	44.02488	44.75354	41.29867	9.39149	8.95172	53.47705	8.50143	1.00000	7.00347	1183.98602	32.61603	6.84180	1.70011	8.91541	24.49083
7.97934	9.42141	7.95314	5.37429	62.37416	54.39765	7.32777	7.05196	72.43860	7.19143	0.00000	5.16779	1175.95333	51.03427	7.61873	0.38429	10.53417	4.66898
6.84629	6.38144	6.84995	-63.13414	41.60450	56.24748	8.80257	6.34560	59.50705	6.98881	1.00000	7.57455	1124.84845	46.23899	5.15589	0.32955	6.66961	21.91040
7.09522	8.23076	6.55301	74.3092	21.10121	49.67613	6.26240	6.85488	78.18067	7.55343	0.00000	8.15532	1125.34996	33.37526	7.29583	0.53236	7.07283	20.16799
8.24071	5.02097	5.38701	-1.32471	53.17840	63.48705	7.04308	3.68152	74.37857	8.91099	1.00000	6.46256	1170.40856	51.40148	7.47770	0.14294	5.03174	28.92410
7.97869	6.31743	7.21651	39.28333	51.29355	38.09681	6.82651	4.86624	39.28158	8.05796	1.00000	9.32976	1085.45908	-10.33333	7.50351	0.45643	5.85070	17.54794
8.10390	6.94886	7.43234	31.4976	53.43572	89.42647	5.37388	4.28624	47.74452	5.96372	1.00000	6.55169	1077.84318	26.67319	9.84632	0.22954	6.05334	5.92215
7.83150	8.01224	6.69817	104.09701	33.79325	55.52294	10.13446	7.36048	47.88429	6.58712	1.00000	6.74158	1088.56894	-1.26424	7.22649	0.53881	4.97344	10.72891
5.96601	7.34881	6.10837	3.64633	57.42856	20.31775	4.75201	10.51403	56.04053	7.03857	0.00000	6.56307	1121.45613	6.8485	4.28461	6.60218	12.93462	16.96840
7.15845	8.15143	5.24209	8.4493	57.06024	45.90500	9.26617	5.87902	57.46668	7.70976	0.00000	6.24834	1134.91139	50.09019	8.59978	0.31439	8.17236	16.66424
5.27210	6.58028	4.26005	20.91361	78.85799	51.96104	11.16563	5.90868	57.05090	7.86463	0.00000	7.81926	1059.88077	41.92361	7.51901	0.31025	6.29974	5.46201
7.52269	8.07769	7.25417	91.84128	57.65808	54.43811	5.65976	7.86773	73.29668	8.36117	0.00000	7.93177	1139.90958	22.83957	6.92603	0.74210	8.27235	10.03564
	7.49475	5.72307	-93.12577	42.86796	27.85203	9.44398	7.63987	45.10438	8.58670	1.00000	9.53499	1105.53455	44.73941	7.07121	0.52560	5.85393	24.00962
6.42391	10.03307	8.96828	31.4976	55.71486	26.92526	10.05359	7.66258	56.79759	7.15493	1.00000	8.55549	1079.41015	26.67319	8.72411	0.71126	8.31982	7.80219
9.42100	8.25839	9.12675	106.88324	49.21270	63.83814	8.62426	7.59336	46.45158	8.46118	1.00000	8.52934	1113.22517	47.90771	6.91934	0.69266	7.41357	22.83618
6.92227	6.10970	3.75733	29.41824	63.42375	77.02201	10.64428	5.30923	56.45530	5.83402	0.00000	8.10366	1061.63242	45.99194	3.82797	0.39093	6.06330	5.68020
7.25427	8.14318	4.35046	33.34864	69.55161	53.35847	9.79903	6.21815	52.72868	5.29315	0.00000	7.95957	1154.30630	46.75451	8.49885	0.35026	6.55161	8.09971
9.57819	8.53675	6.12554	-73.58248	39.95038	46.61169	5.95820	9.26521	55.18165	7.00843	0.00000	7.44639	1196.35563	45.40008	5.04060	2.05200	9.98415	26.05438
9.97651	8.17236	3.12819	-94.41551	45.28968	35.57725	4.99388	10.08404	70.02165	7.12510	0.00000	8.57091	1192.01264	39.09112	5.69323	4.28219	10.05628	16.08648
8.69695	9.31262	7.50350	13.29371	71.70390	59.30459	9.34213	8.11707	55.32732	7.37447	1.00000	8.23729	1061.08857	52.53048	9.18127	0.83276	6.88145	13.23089
7.82924	7.54490	4.77575	-37.93278	60.54355	65.00727	9.21824	7.60478	44.09070	6.91422	0.00000	7.20318	1079.57119	-11.48472	8.23002	0.54414	8.26244	23.46931
6.50474	4.78776	8.12738	-122.24092	53.45812	60.45798	10.03489	8.33940	63.29286	8.16445	1.00000	6.96764	1065.48033	47.4943	6.32570	0.98373	9.77973	33.87901
8.05576	9.29180	7.06464	43.91385	50.14701	55.83285	6.10741	8.44730	48.39269	7.48113	0.00000	8.06542	1059.37425	54.03876	6.56939	1.05639	6.90633	22.88342
6.94335	8.35731	7.70625	16.91667	54.73970	34.16060	8.24907	6.91718	65.46147	8.45253	0.00000	7.73700	1105.79507	-21.98333	8.74101	0.50114	5.00626	12.83872
6.45890	7.79153	7.14044	-111.89903	53.02915	61.56520	5.18880	8.96247	54.78752	6.34105	0.00000	7.15996	1125.55847	33.50921	7.40249	1.52043	8.75899	13.26849
4.75723	5.09562	8.54028	2.1699	25.64794	37.68096	8.38518	9.79204	56.81604	7.18765	1.00000	6.20938	1109.85032	48.98994	5.64216	3.37160	8.43921	-1.39885
7.06036	10.18744	5.96766	2.44892	44.42923	46.27799	8.17053	6.45892	45.53531	6.94474	0.00000	9.15277	1159.17083	48.98693	5.40128	0.43663	5.58791	16.40001
7.33079	6.96026	5.29439	100.24529	39.96600	60.59012	9.98582	4.51286	57.05699	7.53738	0.00000	7.57810	1148.40085	5.4709	8.04042	0.35827	8.89618	1.73462
8.82248	4.47784	9.48750	-2.16	42.51302	38.22246	7.85907	9.39448	53.19132	6.79934	1.00000	8.54091	1165.80622	34.31	5.14048	2.35685	11.18816	16.79025
9.35721	8.70623	8.41081	115.8614	46.41416	50.32375	9.19206	6.56250	65.62973	7.08674	1.00000	7.94378	1082.34684	-31.95224	8.49942	0.21814	6.26288	2.60991
6.29860	7.47130	7.40541	44.02488	45.63984	36.96567	7.13337	5.13560	54.44975	9.56371	0.00000	7.77963	1181.26534	32.61603	5.80553	0.08784	7.55818	24.50494
6.89240	7.93751	5.92365	8.4493	54.40719	38.24609	4.88093	8.23049	86.42789	8.88729	1.00000	4.37231	1051.84823	50.09019	5.72667	0.94579	8.96529	-8.70169
6.62966	12.37594	8.89171	5.06258	55.44914	33.66502	5.23031	7.16454	52.73440	7.82339	0.00000	6.56677	1124.35766	7.50251	11.63409	0.64409	11.82214	10.38813
7.10435	8.51871	8.99978	19.61222	30.67414	71.62194	8.77623	8.52423	48.52457	6.52313	1.00000	7.21515	1093.07186	44.97639	6.99591	0.97568	7.23902	6.78186
7.18512	9.39283	8.91884	73.06784	46.80782	60.92362	8.81082	6.52508	56.03259	6.72080	1.00000	6.72854	1197.17712	25.13915	9.45732	0.38071	6.02733	43.75482
7.08695	8.48139	5.13649	29.91582	49.61500	44.90177	10.67715	8.72672	52.90296	9.35724	1.00000	6.87745	1086.89847	31.20176	7.76765	1.45235	3.52243	17.62383
8.72919	7.55321	6.33005	6.76111	56.08766	52.42511	8.04130	7.31120	64.06370	9.45793	1.00000	7.69063	1079.60189	53.16167	8.22470	0.41302	5.92981	11.74869
6.41823	9.59273	7.07941	116.82887	40.65313	37.71519	7.98717	8.28566	70.53375	6.64002	1.00000	8.76565	1087.58409	-1.26753	5.99028	0.79158	7.79520	17.20752
8.51470	8.82577	10.38409	-71.19901	62.90887	41.29390	8.49184	5.24403	63.15434	7.46635	1.00000	8.43473	1141.06439	-30.60106	8.43781	0.19477	7.14457	14.90074
8.16182	3.97372	8.36385	59.80222	56.46931	57.43278	9.25141	9.48248	48.36316	6.56955	1.00000	6.17217	1156.50201	58.63667	5.60644	2.43022	10.31399	8.17290
6.65307	9.06403	9.75209	17.22635	46.79282	43.90284	8.46248	5.80961	77.78183	7.47836	1.00000	7.52250	1051.30204	48.8449	8.95014	0.39522	5.46651	22.35905
8.24498	7.61270	9.83579	29.41824		58.78604	7.63856	10.24860	55.48412	5.42126	1.00000	5.57233	1062.20468	45.99194	5.69834		8.29314	15.87818
7.55881	7.72382	9.09769	76.32756	52.88900	58.48274	6.39790	4.80203	85.22523	5.98567	1.00000	6.71815	1156.96995	9.57046	9.12952	0.30967	6.67854	24.81285
5.53070	8.30469	9.14787	-79.00453	57.36742	20.75312	8.29876	4.99685	57.14420	10.09832	1.00000	6.26351	1085.42861	-2.90055	8.88325	0.44699	6.52660	22.34000
7.31240	6.73102	8.47364	2.44892	40.65431	17.36701	9.32706	7.01956	59.82318	6.72780	1.00000	6.22049	1158.56017	48.98693	7.17550	0.54238	8.46963	20.61424
9.18576	7.02565	8.78698	2.31889	33.96991	61.30742	9.81615	9.55555	64.68038	6.69228	1.00000	5.99399	1126.89957	35.21222	6.01540	2.80773	7.99175	21.85489
5.69806	9.78966	7.56885	98.6738	50.96073	46.54704	7.49197	5.51588	71.57590	5.60216	0.00000	7.66870	1053.64704	3.7278	9.11818	0.37904	10.42941	34.92764
5.17752	8.63004	6.20105	107.60389	43.31398	42.86893	9.07039	6.63546	46.63216	7.86306	0.00000	6.33296	1069.57078	-7.01833	9.38189	0.33506	8.52566	21.55051
8.23364	7.61966	8.68502	18.30056	31.45748	50.76063	8.82970	7.34118	53.26484	7.68453	1.00000	6.27441	1101.94999	50.5107	6.91264	0.42915	7.47385	21.83559
6.94599	9.66489	9.21558	115.04814	39.27337	21.80375	9.55875	7.06866	40.69766	6.69189	1.00000	7.28045	1153.63867	30.24706	8.69145	0.47943	6.58715	17.00880
7.59161	11.62979	10.16905	120.5875	63.61401	40.76320	10.85055	8.78149	37.00353	7.16246	1.00000	5.73290	1172.22619	16.455	9.60857	1.41927	6.27322	26.19565
6.58417	11.66140	9.63779	10.58082	59.87592	41.43737	10.44761	9.07594	52.69487	7.02915	1.00000	5.60656	1064.66088	35.72917	9.59990	1.86117	6.60904	-12.18852
8.21051	10.57498	9.93267	-47.1725	31.30994	38.79525	8.73105	6.73750	46.01649	7.55932	1.00000	6.32701	1117.96559	-22.57306	10.55086	0.37645	6.65517	32.67781
5.82372	7.97657	10.23403	48.87498	47.07896	60.50941	8.27752	9.52318	46.44002		1.00000	9.57787	1131.57879	38.45598	5.18924	2.56499	8.31123	32.04954
7.00987	8.23513	4.82574	141.95	67.31370	68.81770	9.10921	5.02762	56.59845	8.93514	0.00000	9.34363	1198.89705	39.46667	7.27835	0.35341	7.66844	2.00903
8.70836	7.00579	5.55177	-82.00919	59.73096	58.77205	5.18098	9.83015	37.67927	8.54989	0.00000	6.29170	1196.33313	23.04419	6.99717	3.58593	11.57925	32.97719
7.70686	8.45040	8.12289	-122.86705	47.30018	55.05150	8.73262	5.45009	46.39624	8.03629	1.00000	8.39566	1186.47868	45.49428	9.41129	0.21007	6.10705	
7.00989	6.87983	8.67457	75.37991	63.20193	53.92280	9.44570	8.16372	60.92507	6.73412	1.00000	8.53718	1089.00384	25.75728	6.38326	0.91026	8.14734	-2.84111
7.95350	8.47237	10.08900	-50.19556	69.46480	50.60767	7.97656	4.93178	36.85611	6.75351	1.00000	8.60422	1051.31174	-19.72806	8.44902	0.29247	6.28787	9.30986
6.85962	5.16619	8.71666	-93.12577	40.23926	35.76483	8.00486	7.52534	46.61278	7.40436	1.00000	6.49217	1060.26372	44.73941	5.81514	0.61682	8.99732	6.87091
8.42012	6.18419	9.18419	2.08333	32.94775	59.23859	9.19982	9.37423	63.93459	8.01680	1.00000	10.00290	1114.78649	48.86667	5.63413	2.20301	9.64363	12.42080
6.18369	8.64782	7.01871	29.00974	56.89431	49.93490	6.42163	7.86456	59.76502	5.47686	0.00000	8.80846	1107.38241	-24.19436	6.77468	0.71104	7.98196	9.46509
8.01326	11.34172	7.24056	-15.58602	30.34894	53.60796	7.33155	7.88459	60.77059	5.82583	0.00000	6.79765	1197.86079	27.76056	6.82591	0.89311	4.50623	18.86182
6.83680	11.82700	10.74753	-5.682	67.15038	45.12908	9.41362	7.84332	64.37096	6.14196	1.00000	8.00786	1180.58934	5.84752	10.86899	0.67921	4.98798	20.95483
8.16169	6.30126	9.74103	2.61667	63.49183	55.04625	6.20424	8.92716	72.11712	6.92308	1.00000	6.87143	1096.03230	48.98333	6.45232	1.56488	9.61885	7.30256
7.40232	8.57675	6.65402	121.12251	45.07036	43.85877	5.72693	6.48827	62.92789	6.85313	0.00000	7.77498	1075.41266	14.62578	3.26432	0.52710	7.55254	15.39901
7.61938	9.52263	9.44334	18.30056	52.62406	67.47479	8.88730	6.94923	55.10690	7.41589	1.00000	6.11901	1159.03873	50.5107	8.59788	0.45178	7.91948	26.79712
6.72586	7.08167	5.84618	3.64633	56.77007	28.53937	5.45154	8.42642	55.28684	7.58202	0.00000	6.29667	1143.31462	6.8485	5.33702	0.96731	10.65002	-0.99634
8.36074	6.77760	9.06545	-52.35558	35.02032	59.18330	7.41345	8.79168	56.35348	7.07371	1.00000	7.30321	1148.87629	-14.66463	6.54912	1.35301	7.62977	20.24706
8.37429	4.46690	5.14548	2.29026	29.57038	54.25970	12.81856	7.08597	37.87375	9.28008	0.00000	7.17459	1089.37994	48.77644	7.21000	0.50659	6.93330	25.65885
8.90794	9.71174	10.80164	-73.02841	30.05480	72.81700	8.70632	5.61759	70.62404	4.99683	1.00000	6.40560	1055.01965	-36.9256	9.73579	0.12743	7.10526	6.55770
7.34690	8.28683	9.05578	76.32756	33.01095	40.07016	10.05495	5.61566	17.92312	9.45749	1.00000	7.69602	1060.76922	9.57046	7.43324	0.37702	5.85376	1.51235
8.01862	6.66413	7.69751	35.23388	49.80614	65.21071	7.65904	3.97944	70.39586	6.54307	1.00000	7.24317	1182.64060	31.78336	8.50694	0.39472	4.90900	18.70319
4.54089	6.84386	8.61260	-95.63079	20.38063	43.83702	9.24239	7.79329	60.89956	6.53830	1.00000	7.61814	1112.76936	31.76212	5.69453	0.70623	8.14870	11.66056
8.54388	4.26170	3.42754	109.22921	43.11487	53.77643	13.04764	5.04342	64.73772	8.15807	0.00000	6.82528	1092.27374	34.65918	6.92704	0.36811	6.09777	14.62657
8.00446	8.18033	7.71321	-96.72365	37.88232	36.31111	9.23880	6.64833	41.56346	7.55088	1.00000	7.29282	1100.35691	17.06542	7.54774	0.30609	6.27702	25.15947
6.69610	8.32465	8.12548	-88.42814	46.32904	59.95384	8.38818	7.23164	58.00312	6.92010	1.00000	7.79180	1196.80633	42.16808	8.20832	0.49714		16.33875
8.95435	7.79676	9.11642	16.50104	60.86109	57.81653	8.08184	5.02055	56.59072	6.61775	1.00000	6.83102	1165.58978	41.24264	7.80496	0.35474	6.88347	25.58397
5.52287	10.76782	8.14372	-1.47217	39.94459	32.14083	7.45087	9.34121	51.13329	7.23588	0.00000	8.03952	1097.32738	53.46506	8.87110	2.24671	6.71690	14.32330
6.50413	5.57589	5.92615	-122.39168	32.24078	51.81616	5.69449	5.08456	53.22903	8.46161	1.00000	7.35002	1061.12967	40.58654	6.92534	0.23787	7.47888	26.04742
7.87096	4.19957	8.93392	-93.11308	27.77145	49.61591	7.19303	9.03837	49.51071	7.22687	1.00000	6.75005	1161.47273	16.75973	4.93122	1.74865	9.88602	7.41692
7.56042	7.38478	6.62698	28.19028	69.52420	37.50316	4.47887	9.70435	53.07113	7.35211	0.00000	6.33357	1111.07556	59.37722	7.11788	3.04674	10.05432	9.80411
7.92717	11.08516	7.54119	-76.99081	72.59170	40.46473	8.99801	9.41400	36.28008	7.84744	1.00000	8.49862	1163.54231	38.96372	10.80987	2.28597	5.51554	3.22595
