longitude	location	QoS	revision	latitude	station
-48.67028	America/Sao_Paulo	average	09/25/2020, 00:00:00	-28.24	Imbituba
18.30056	Europe/Warsaw	average	2014-02-14	50.5107	Strzelce Opolskie
-72.27814	America/New_York	accep	2017/01/03	42.93369	Keene
3.55665	Africa/Algiers	good	15 Sep 2022	36.72544	Thenia
38.15035	Europe/Zaporozhye	building	2021/11/17	49.41029	Svatove
-117.71978	America/Los_Angeles	excellent	2015-02-28	34.09668	Claremont
-91.58045	America/Chicago	average	2020/06/21	41.6764	Coralville
-77.37331	America/New_York	excellent	21 Dec 2021	37.60876	Mechanicsville
104.1451	Asia/Bangkok	excellent	2019/01/01	15.79408	Yasothon
-2.68333	Europe/Madrid	excellent	10/03/2016, 00:00:00	43.31667	Gernika-Lumo
16.4	Europe/Vienna	excellent	2016/03/05	48.25	Floridsdorf
153.10236	Australia/Brisbane	accep	06/16/2015, 00:00:00	-27.50578	Carindale
83.36889	Asia/Kolkata	accep	10/26/2020, 00:00:00	26.76628	Gorakhpur
2.18967	Europe/Paris	maitennce	02/03/2017, 00:00:00	48.8765	Rueil-Malmaison
38.15035	Europe/Zaporozhye	accep	2022-07-14	49.41029	Svatove
78.23456	Asia/Kolkata	excellent	2017-09-22	28.92694	Bachhraon
-52.2	America/Sao_Paulo	accep	2017/09/03	-28.44917	Marau
10.78222	Africa/Tunis	excellent	2022/02/08	36.46917	Beni Khiar
101.96857	Asia/Kuala_Lumpur	average	2018-05-21	4.88441	Gua Musang
-120.43572	America/Los_Angeles	average	2018-06-26	34.95303	Santa Maria
40.74357	Europe/Istanbul	good	2017-08-07	37.31309	Mardin
-6.90656	Africa/Casablanca	average	01/23/2013, 00:00:00	33.92866	Temara
-44.31389	America/Sao_Paulo	accep	15 Sep 2018	-19.7625	Esmeraldas
9.5586	Europe/Berlin	accep	05 Jan 2013	54.52156	Schleswig
53.26023	Europe/Moscow	average	15 Feb 2022	54.39304	Bavly
-40.7475	America/Fortaleza	good	2017-05-19	-4.16694	Guaraciaba do Norte
-1.05366	Europe/Paris	good	01/26/2022, 00:00:00	43.71032	Dax
44.02488	Asia/Baghdad	average	2020/11/13	32.61603	Karbala
39.85331	Europe/Moscow	average	15 Jul 2021	57.30185	Gavrilov-Yam
25.8191	Europe/Minsk	maintenance	05/06/2014, 00:00:00	53.5942	Novogrudok
-1.08593	Europe/London	average	03/23/2018, 00:00:00	50.79205	Southsea
18.34717	Europe/Warsaw	average	07 Oct 2013	54.60528	Reda
127.08472	Asia/Seoul	excellent	09 Jun 2021	36.20389	Nonsan
27.02444	Europe/Istanbul	maintenance	2021/11/28	39.59611	Edremit
8.52462	Europe/Zurich	average	2017/03/13	47.30997	Adliswil
-97.50417	America/Matamoros	accep	07/05/2016, 00:00:00	25.87972	Heroica Matamoros
13.58357	Africa/Libreville	good	03/27/2015, 00:00:00	-1.63333	Franceville
-73.02841	America/Santiago	maintenance	2019/07/10	-36.9256	Chiguayante
-60.93173	America/Argentina/Cordoba	average	2014/03/27	-31.4488	Esperanza
-13.68778	Africa/Conakry	maintenance	2018/04/26	9.535	Camayenne
146.05093	Australia/Sydney	average	05 May 2015	-34.28853	Griffith
72.85107	Asia/Kolkata	excellent	2016/01/12	19.30157	Bhayandar
-101.2591	America/Mexico_City	accep	01/12/2021, 00:00:00	21.01858	Guanajuato
120.82747	Asia/Shanghai	building	2012-10-01	37.30553	Zhuangyuan
-117.14392	America/Los_Angeles	good	2012/09/29	32.9156	Mira Mesa
118.53333	Asia/Shanghai	maintenance	2016/12/20	27.92333	Pucheng
24.99798	Africa/Lubumbashi	average	2016/02/14	-8.73508	Kamina
15.00913	Europe/Rome	maintenance	03/21/2015, 00:00:00	37.51803	Misterbianco
2.31889	Africa/Algiers	accep	2020/02/03	35.21222	Ksar Chellala
10.58082	Africa/Tunis	accep	2013/10/05	35.72917	Msaken
100.48528	Asia/Bangkok	accep	2021-11-20	14.37395	Bang Ban
99.89166	Asia/Bangkok	average	03/17/2013, 00:00:00	15.46063	Thap Than
-73.75335	America/Toronto	average	03/14/2022, 00:00:00	45.4473	Dorval
14.51472	Europe/Malta	maintenance	2022-05-19	35.89972	Valletta
3.64633	Africa/Lagos	excellent	06/11/2017, 00:00:00	6.8485	Shagamu
9.29109	Europe/Rome	building	05/10/2022, 00:00:00	45.39402	San Giuliano Milanese
31.4976	Africa/Cairo	accep	2015/09/26	26.67319	Juhaynah
-0.29825	Europe/London	good	2016/02/26	51.39148	Surbiton
13.39954	Europe/Rome	average	2014/10/20	43.62558	Falconara Marittima
7.36027	Europe/Berlin	good	2018/08/08	51.20219	Radevormwald
-38.79084	America/Bahia	good	04/20/2022, 00:00:00	-10.95817	Tucano
9.00472	Africa/Douala	excellent	05 Dec 2020	4.2475	Idenao
-71.29144	America/New_York	excellent	04/02/2020, 00:00:00	41.54566	Middletown
-38.79084	America/Bahia	good	2020/09/03	-10.95817	Tucano
2.45012	Europe/Paris	maintenance	2018/03/11	48.90982	Bobigny
-56.52361	America/Montevideo	good	2017/11/24	-33.38056	Durazno
-73.20483	America/New_York	average	07/26/2021, 00:00:00	41.16704	Bridgeport
2.31889	Africa/Algiers	good	2014/03/18	35.21222	Ksar Chellala
6.74549	Europe/Berlin	good	11/27/2014, 00:00:00	49.5099	Losheim
8.52462	Europe/Zurich	good	2014-11-08	47.30997	Adliswil
34.8732	Asia/Jerusalem	average	12 Sep 2014	32.05971	Ganei Tikva
36.73307	Europe/Moscow	excellent	2016/04/01	55.38752	Naro-Fominsk
14.43865	Europe/Rome	excellent	04/05/2014, 00:00:00	40.87329	Somma Vesuviana
-96.39774	America/Chicago	accep	12/06/2015, 00:00:00	30.16688	Brenham
71.57118	Asia/Karachi	good	2020/07/19	32.87533	Daud Khel
33	Africa/Dar_es_Salaam	accep	2014-08-21	-2.68333	Usagara
128.9889	Asia/Seoul	excellent	2018/02/20	37.1759	T’aebaek
5.06258	Africa/Lagos	excellent	14 Feb 2015	7.50251	Igbara-Odo
-102.36764	America/Chicago	excellent	05 May 2014	31.84568	Odessa
-97.54667	America/Chicago	good	30 May 2015	30.5427	Hutto
73.66633	Asia/Kolkata	accep	2021-11-03	25.92493	Sojat
-80.08199	America/New_York	excellent	07 Jan 2021	35.88264	Thomasville
48.41667	Indian/Antananarivo	good	2014/11/20	-17.83333	Ambatondrazaka
-1.99421	Europe/London	building	2018/01/27	51.35084	Devizes
15.87735	Africa/Bangui	maintenance	2018-08-03	4.94273	Carnot
0.30367	Europe/London	good	07 Oct 2020	51.38673	Hartley
78.23456	Asia/Kolkata	accep	10/01/2012, 00:00:00	28.92694	Bachhraon
-87.70172	America/Chicago	building	26 Oct 2020	41.72059	Evergreen Park
85.83636	Asia/Kolkata	good	2015/10/12	25.66795	Dalsingh Sarai
6.10237	Europe/Zurich	excellent	2014-09-01	46.18396	Onex
-80.66756	America/New_York	average	09/27/2020, 00:00:00	26.68451	Belle Glade
105.75635	Asia/Ho_Chi_Minh	average	2018/08/13	10.29085	Sa Dec
101.02083	Asia/Kuala_Lumpur	maintenance	2016-10-13	4.02219	Teluk Intan
-86.58208	America/Managua	accep	2014/03/09	13.48082	Somoto
7.60872	Europe/Rome	building	05/15/2018, 00:00:00	43.78956	Ventimiglia
4.69889	Europe/Brussels	maintenance	2017-01-25	50.56149	Gembloux
-7.95	Europe/Dublin	average	04/06/2015, 00:00:00	53.43333	Athlone
8.4493	Europe/Berlin	accep	2021/12/05	50.09019	Hofheim am Taunus
-93.75018	America/Chicago	accep	03 Jul 2014	32.52515	Shreveport
48.26258	Asia/Tehran	excellent	05 Feb 2016	33.86419	Aleshtar
-93.71133	America/Chicago	average	18 Sep 2020	41.57721	West Des Moines
-71.8023	America/New_York	accep	12/21/2018, 00:00:00	42.58342	Fitchburg
-87.882	America/Chicago	excellent	07/09/2014, 00:00:00	41.85059	Westchester
-122.24092	America/Los_Angeles	building	09 Mar 2015	47.4943	Bryn Mawr-Skyway
120.56528	Asia/Manila	average	11/08/2012, 00:00:00	14.66	Pilar
-70.6996	America/Santiago	good	02/27/2017, 00:00:00	-33.59217	San Bernardo
-74.38987	America/New_York	accep	2016/07/06	40.65538	Scotch Plains
47.1192	Europe/Moscow	accep	2013-11-01	42.819	Buynaksk
-67.15407	America/Puerto_Rico	accep	30 Mar 2018	18.42745	Aguadilla
-1.48119	Europe/London	excellent	02 Nov 2015	53.0233	Belper
14.66737	Europe/Rome	average	2014-12-14	41.55947	Campobasso
-111.89903	America/Phoenix	accep	2018-09-05	33.50921	Scottsdale
24.14662	Europe/Helsinki	average	2019/06/26	65.84811	Tornio
122.05228	Asia/Shanghai	maitennce	2015/07/03	37.19723	Tianfu
73	Asia/Bishkek	average	2013/07/07	40.93333	Jalal-Abad
-72.97261	America/New_York	excellent	2022-08-17	43.61062	Rutland
-71.29144	America/New_York	excellent	2018-11-01	41.54566	Middletown
-105.36369	America/Mazatlan	excellent	2013/02/07	22.49396	Acaponeta
60.8019	Asia/Yekaterinburg	accep	2016/08/05	56.9083	Beryozovsky
-73.78458	America/New_York	excellent	23 Nov 2017	41.0051	Scarsdale
73	Asia/Bishkek	good	21 Oct 2018	40.93333	Jalal-Abad
71.52847	Asia/Karachi	good	2022-08-30	32.57756	Mianwali
-82.90375	America/New_York	good	2019/04/11	32.54044	Dublin
125.51176	Asia/Shanghai	accep	03 Feb 2015	42.64031	Dongfeng
99.96667	Asia/Bangkok	good	2015/09/08	8.43333	Nakhon Si Thammarat
8.86374	Europe/Rome	excellent	07/20/2019, 00:00:00	44.89784	Tortona
39.8302	Europe/Moscow	excellent	21 Jun 2020	64.5635	Severodvinsk
33.72798	Europe/Moscow	building	12 Jul 2018	53.53395	Zhukovka
-78.19444	America/New_York	average	2021-02-02	38.91817	Front Royal
1.04945	Africa/Algiers	excellent	2020/10/19	35.06544	Frenda
-82.45426	America/New_York	average	2015/11/01	27.09978	Venice
-1.29772	Europe/London	accep	22 Jun 2021	50.76306	Cowes
78.15794	Asia/Kolkata	average	04/10/2020, 00:00:00	12.1277	Dharmapuri
99.95469	Asia/Bangkok	building	04/29/2021, 00:00:00	13.51825	Damnoen Saduak
-37.65	America/Maceio	excellent	13 Aug 2022	-10.91722	Lagarto
-97.50417	America/Matamoros	building	07/03/2016, 00:00:00	25.87972	Heroica Matamoros
129.96972	Asia/Tokyo	accep	26 Feb 2016	33.4425	Karatsu
123.99333	Asia/Manila	maintenance	2020/11/24	12.97389	Sorsogon
71.67164	Asia/Karachi	good	2015/06/27	30.29184	Qadirpur Ran
86.00214	Asia/Urumqi	average	2019/01/02	46.51872	Hoxtolgay
51.0193	Asia/Tehran	accep	2021-07-28	35.6803	Shahre Jadide Andisheh
72.34424	Asia/Tashkent	excellent	2015/01/24	40.78206	Andijon
102.3278	Asia/Kuala_Lumpur	good	18 Feb 2022	2.2139	Kampung Ayer Molek
8.91229	Europe/Berlin	excellent	02/06/2022, 00:00:00	49.13645	Eppingen
68.49143	Asia/Karachi	excellent	29 Sep 2018	25.80565	Bhit Shah
112.19028	Asia/Shanghai	good	16 Jan 2016	30.35028	Jingzhou
19.61222	Europe/Belgrade	average	02/25/2015, 00:00:00	44.97639	Sremska Mitrovica
120.57224	Asia/Manila	excellent	2013-05-11	15.72892	Burgos
-48.59278	America/Sao_Paulo	building	03/06/2021, 00:00:00	-23.7975	Buri
30.96755	Europe/Kiev	maintenance	12/14/2020, 00:00:00	49.07866	Zvenihorodka
74.12286	Asia/Karachi	excellent	15 Feb 2019	30.76468	Kanganpur
-6.90656	Africa/Casablanca	average	23 Apr 2015	33.92866	Temara
-5.22126	Africa/Casablanca	average	12/31/2017, 00:00:00	33.43443	Azrou
-78.87836	America/New_York	maintenance	03 Nov 2018	35.05266	Fayetteville
115.8614	Australia/Perth	building	05/02/2017, 00:00:00	-31.95224	Perth
-98.15529	America/Chicago	accep	07/19/2016, 00:00:00	26.18924	San Juan
-97.54667	America/Chicago	good	2015/01/17	30.5427	Hutto
73.06784	Asia/Kolkata	good	11/14/2016, 00:00:00	25.13915	Sheoganj
9.29109	Europe/Rome	excellent	04/14/2018, 00:00:00	45.39402	San Giuliano Milanese
-71.23106	America/Santiago	excellent	01/16/2018, 00:00:00	-32.45242	La Ligua
46.04833	Europe/Saratov	building	2021/09/15	51.40944	Privolzhskiy
-93.11308	America/Mexico_City	excellent	2013-07-13	16.75973	Tuxtla
-50.19556	America/Sao_Paulo	excellent	23 May 2013	-19.72806	Iturama
9.22796	Europe/Berlin	average	13 Sep 2014	48.46458	Pfullingen
-0.36053	Europe/London	maintenance	09/09/2015, 00:00:00	51.64316	Bushey
150.99292	Australia/Sydney	accep	10/05/2013, 00:00:00	-33.75881	Baulkham Hills
-77.03116	America/Bogota	good	2013/09/15	3.8801	Buenaventura
8.2926	Africa/Lagos	average	31 Mar 2015	9.58126	Kafanchan
121.06761	Asia/Manila	building	02/15/2013, 00:00:00	12.35275	San Jose
56.36091	Asia/Yekaterinburg	average	11/06/2020, 00:00:00	51.78771	Saraktash
3.47717	Africa/Algiers	good	08 Oct 2018	36.76639	Boumerdas
125.51176	Asia/Shanghai	average	30 Jun 2014	42.64031	Dongfeng
1.6	Europe/Paris	excellent	2021/08/02	43.11667	Pamiers
7.11393	Europe/Berlin	good	09/06/2013, 00:00:00	51.08468	Burscheid
-77.96389	America/New_York	average	08/28/2018, 00:00:00	39.45621	Martinsburg
6.8625	Europe/Berlin	excellent	2017-05-03	51.47805	Oberhausen
-76.72803	America/New_York	accep	12/28/2019, 00:00:00	39.32288	Woodlawn
-82.4017	America/Havana	average	02/23/2019, 00:00:00	23.0072	Boyeros
4.18333	Africa/Lagos	excellent	2021/02/02	7.6	Olupona
10.58082	Africa/Tunis	good	05/21/2019, 00:00:00	35.72917	Msaken
-15.58602	Atlantic/Canary	building	2017-04-18	27.76056	Maspalomas
-73.86586	America/Toronto	good	2022-07-27	45.43341	Beaconsfield
-37.93278	America/Bahia	excellent	05 Dec 2018	-11.48472	Rio Real
5.58472	Europe/Amsterdam	excellent	2020-05-15	52.14	Barneveld
123.99333	Asia/Manila	average	2022-02-09	12.97389	Sorsogon
138.89585	Asia/Tokyo	building	2018-04-26	36.33011	Annaka
-1.64295	Europe/Madrid	average	06/28/2022, 00:00:00	42.8139	Segundo Ensanche
-52.51028	America/Sao_Paulo	good	2020-03-05	-28.81833	Soledade
-113.3187	America/Edmonton	good	2019-02-03	53.51684	Sherwood Park
-87.70172	America/Chicago	accep	07/13/2019, 00:00:00	41.72059	Evergreen Park
24.6522	Europe/Helsinki	building	28 Mar 2013	60.2052	Espoo
7.02238	Europe/Berlin	average	04/04/2016, 00:00:00	52.21099	Gronau
-81.24441	America/Havana	excellent	11/07/2019, 00:00:00	23.15678	Varadero
119.58627	Asia/Taipei	maintenance	2018/01/24	23.5654	Magong
-53.13722	America/Sao_Paulo	average	2022-03-24	-22.92306	Loanda
2.25	Europe/Paris	excellent	2014/08/05	50.75	Saint-Omer
13.63617	Europe/Prague	average	04 Jun 2020	50.50301	Most
6.10237	Europe/Zurich	excellent	2022/01/09	46.18396	Onex
2.35739	Europe/Madrid	good	09 Jan 2019	41.63976	Cardedeu
33.72798	Europe/Moscow	excellent	25 Dec 2021	53.53395	Zhukovka
146.05093	Australia/Sydney	average	22 Feb 2014	-34.28853	Griffith
-7.35	Europe/Dublin	accep	2019/09/17	53.53333	An Muileann gCearr
-1.4001	Africa/Accra	good	2016-10-18	7.06273	Mampong
17.8031	Europe/Bratislava	average	2022-06-30	48.43174	Hlohovec
40.74357	Europe/Istanbul	good	09 Apr 2015	37.31309	Mardin
9.29109	Europe/Rome	excellent	15 Oct 2015	45.39402	San Giuliano Milanese
-73.58248	America/Toronto	good	02/17/2013, 00:00:00	45.40008	Sainte-Catherine
26.97253	Europe/Kiev	average	13 Jan 2020	49.65186	Krasyliv
5.4384	Europe/Paris	accep	2020-01-06	43.2907	Marseille 11
2.08333	Europe/Paris	average	2013/01/25	48.86667	Marly-le-Roi
14.34085	Europe/Rome	good	2017/04/20	40.87363	Volla
-73.81669	America/Toronto	good	2020-10-09	45.44868	Pointe-Claire
51.0193	Asia/Tehran	average	09/25/2016, 00:00:00	35.6803	Shahre Jadide Andisheh
34.34691	Europe/Moscow	average	2015/01/13	61.78491	Petrozavodsk
5.22778	Europe/Amsterdam	good	07/19/2014, 00:00:00	51.955	Culemborg
150.60036	Australia/Sydney	good	2022-05-08	-34.88422	Nowra
39.28333	Africa/Dar_es_Salaam	excellent	18 Mar 2020	-10.33333	Nyangao
85.37752	Asia/Kolkata	building	08/23/2018, 00:00:00	22.10194	Barbil
73.85535	Asia/Kolkata	good	02 Feb 2016	18.51957	Pune
-96.67834	America/Chicago	maintenance	06 Jan 2020	34.77453	Ada
5.16108	Europe/Paris	accep	2014-11-21	48.77275	Bar-le-Duc
28.28489	Europe/Chisinau	accep	2022-07-24	48.15659	Soroca
37.99117	Europe/Moscow	accep	21 Jan 2020	44.92934	Krymsk
-45.94722	America/Sao_Paulo	accep	2020/02/24	-21.42917	Alfenas
-87.66561	America/Chicago	average	2013/06/17	41.8542	Lower West Side
1.6	Europe/Paris	excellent	02/24/2016, 00:00:00	43.11667	Pamiers
5.06258	Africa/Lagos	average	2017-03-01	7.50251	Igbara-Odo
68.11759	Asia/Karachi	average	2019-10-29	26.9423	Tharu Shah
59.4839	Asia/Yekaterinburg	building	15 Jun 2021	58.7002	Kachkanar
-2.98884	Europe/Madrid	good	11 Feb 2022	43.32686	Leioa
13.29371	Europe/Berlin	accep	2016/10/22	52.53048	Charlottenburg-Nord
59.6	Asia/Aqtobe	excellent	2015-09-09	47.83333	Shalqar
9.85	Europe/Berlin	accep	10 Feb 2019	53.63333	Halstenbek
120.74792	Asia/Shanghai	accep	2019-04-15	41.09822	Nanpiao
34.8732	Asia/Jerusalem	building	03/29/2015, 00:00:00	32.05971	Ganei Tikva
-71.10077	America/Santo_Domingo	accep	2020-03-21	18.20854	Santa Cruz de Barahona
13.28702	Europe/Berlin	excellent	11/18/2012, 00:00:00	52.4581	Dahlem
-58.70072	America/Argentina/Buenos_Aires	excellent	04/10/2015, 00:00:00	-34.74785	Pontevedra
114.51667	Asia/Shanghai	accep	2013-09-12	33.78333	Wacheng
-88.3162	America/Chicago	good	2015/04/24	42.24113	Crystal Lake
-69.08333	America/Lima	maintenance	10 Feb 2018	-16.25	Yunguyo
77.9129	Asia/Kolkata	accep	31 May 2019	25.6439	Narwar
6.10237	Europe/Zurich	maintenance	03 Aug 2015	46.18396	Onex
47.1192	Europe/Moscow	average	2020-12-16	42.819	Buynaksk
83.36889	Asia/Kolkata	good	2017-04-01	26.76628	Gorakhpur
60.70278	Asia/Yekaterinburg	building	2014/09/22	55.75556	Ozersk
-0.32247	Europe/London	accep	14 Jan 2018	50.82882	Lancing
5.4384	Europe/Paris	building	2013/04/26	43.2907	Marseille 11
24.71204	Europe/Sofia	average	04 Jun 2021	41.57439	Smolyan
18.69303	Africa/Ndjamena	maintenance	12/10/2021, 00:00:00	12.18441	Mongo
-37.07167	America/Maceio	accep	2014-12-31	-10.91111	Aracaju
-117.71978	America/Los_Angeles	excellent	08/30/2017, 00:00:00	34.09668	Claremont
47.3799	Asia/Tehran	acceptable	20 Feb 2018	33.14447	Darreh Shahr
-73.86586	America/Toronto	accep	2017/11/02	45.43341	Beaconsfield
38.15035	Europe/Zaporozhye	excellent	20 Apr 2021	49.41029	Svatove
0.75	Europe/London	excellent	18 Aug 2015	52.41667	Thetford
-74.15987	America/New_York	accep	2019/06/19	40.82232	Nutley
145.18333	Australia/Melbourne	building	11/04/2018, 00:00:00	-37.9	Wheelers Hill
104.09701	Asia/Jakarta	accep	2015/09/27	-1.26424	Simpang
89.20083	Asia/Krasnoyarsk	good	2015-10-03	55.54028	Sharypovo
-71.29144	America/New_York	building	2018/04/23	41.54566	Middletown
2.29026	Europe/Paris	good	2021/10/26	48.77644	Sceaux
-35.71667	America/Recife	accep	2014-12-09	-8.66667	Catende
-77.43532	America/Havana	accep	05/29/2013, 00:00:00	20.14298	Media Luna
14.30935	Europe/Rome	building	2020/07/12	40.92298	Afragola
-119.0376	America/Los_Angeles	accep	03/02/2016, 00:00:00	34.21639	Camarillo
25.8191	Europe/Minsk	average	04/15/2019, 00:00:00	53.5942	Novogrudok
5.4384	Europe/Paris	excellent	2014/02/18	43.2907	Marseille 11
-73.9614	America/Bogota	average	09/07/2013, 00:00:00	10.15031	El Copey
-80.31727	America/New_York	building	08/02/2019, 00:00:00	25.67927	Kendall
-73.86586	America/Toronto	accep	2018-10-28	45.43341	Beaconsfield
123.33471	Asia/Manila	good	2014/03/18	8.56697	Dipolog
29.41824	Europe/Kiev	good	09/21/2016, 00:00:00	45.99194	Artsyz
112.19028	Asia/Shanghai	average	06/28/2018, 00:00:00	30.35028	Jingzhou
76.0586	Asia/Kolkata	average	2018/01/24	16.06213	Hungund
-40.7475	America/Fortaleza	building	28 Jun 2019	-4.16694	Guaraciaba do Norte
9.32241	Europe/Rome	good	05/23/2021, 00:00:00	44.31771	Chiavari
-13.2356	Africa/Freetown	excellent	02 Oct 2021	8.48714	Freetown
2.45012	Europe/Paris	average	04/11/2018, 00:00:00	48.90982	Bobigny
-74.26419	America/Bogota	good	02/14/2014, 00:00:00	4.73245	Madrid
76.12647	Asia/Kolkata	maintenance	2012/11/03	32.55531	Chamba
-73.78458	America/New_York	excellent	18 Aug 2014	41.0051	Scarsdale
16.50104	Europe/Rome	maintenance	2021/02/20	41.24264	Bisceglie
-86.57415	America/Tegucigalpa	average	2012/12/18	15.48131	Olanchito
102.56365	Asia/Phnom_Penh	building	2015-09-18	13.65805	Paoy Paet
104.09701	Asia/Jakarta	accep	2018-11-26	-1.26424	Simpang
13.32127	Europe/Berlin	maintenance	06/12/2020, 00:00:00	52.59319	Wittenau
101.44167	Asia/Jakarta	average	01 Dec 2020	0.51667	Pekanbaru
-1.60452	Europe/Madrid	accep	09/06/2013, 00:00:00	42.06166	Tudela
34.11169	Africa/Nairobi	good	04/13/2020, 00:00:00	0.46005	Busia
43.91385	Europe/Moscow	accep	10/02/2018, 00:00:00	54.03876	Kovylkino
75.06583	Asia/Karachi	average	2015/04/09	32.17629	Fazilpur
4.82313	Europe/Brussels	excellent	2015/12/15	51.24197	Lille
4.86667	Europe/Paris	accep	2017-03-29	45.51667	Vienne
6.9747	Europe/Berlin	excellent	12/20/2017, 00:00:00	50.82709	Wesseling
-52.35558	America/Cuiaba	accep	23 Feb 2019	-14.66463	Nova Xavantina
-94.74049	America/Chicago	average	2013-07-26	32.5007	Longview
-86.99666	America/Chicago	excellent	10 Jan 2017	33.45122	Hueytown
86.59509	Asia/Kolkata	accep	12/27/2020, 00:00:00	26.11527	Supaul
37.56667	Europe/Moscow	excellent	29 Jul 2015	55.85	Likhobory
-89.66123	America/Merida	excellent	2013-05-16	21.28306	Progreso
-43.80139	America/Sao_Paulo	average	08 Jul 2016	-20.25333	Itabirito
2.29026	Europe/Paris	good	07/04/2020, 00:00:00	48.77644	Sceaux
125.21972	Asia/Dili	accep	2021-02-21	-8.99167	Maliana
76.0586	Asia/Kolkata	accep	2019-07-06	16.06213	Hungund
9.37082	Africa/Tunis	acceptable	2019/12/29	36.08497	Siliana
-82.00919	America/Havana	accep	2021/10/20	23.04419	Jaruco
122.05228	Asia/Shanghai	good	24 Jun 2013	37.19723	Tianfu
29.91582	Africa/Cairo	average	2019-01-04	31.20176	Alexandria
2.25	Europe/Paris	maintenance	2017-08-17	50.75	Saint-Omer
-2.77259	Europe/Madrid	excellent	23 Aug 2020	37.49073	Baza
102.56365	Asia/Phnom_Penh	average	2016-05-30	13.65805	Paoy Paet
-68.30472	America/Caracas	building	2021/06/26	9.91861	Tinaquillo
-111.89903	America/Phoenix	average	23 Jun 2020	33.50921	Scottsdale
76.12647	Asia/Kolkata	good	2021/01/14	32.55531	Chamba
137.5	Asia/Tokyo	accep	21 Oct 2019	34.9	Shinshiro
-89.64066	America/Chicago	maintenance	18 Jan 2019	40.56754	Pekin
-122.38731	America/Los_Angeles	average	02/09/2020, 00:00:00	45.53929	Troutdale
68.11759	Asia/Karachi	good	14 Jan 2022	26.9423	Tharu Shah
12.1369	Europe/Berlin	maintenance	21 Aug 2020	51.04962	Zeitz
-8.2503	Europe/Lisbon	average	04 May 2017	37.08819	Albufeira
-63.13414	America/Halifax	average	21 Jul 2022	46.23899	Charlottetown
-122.38731	America/Los_Angeles	accep	2016/02/08	45.53929	Troutdale
6.76111	Europe/Amsterdam	good	19 Sep 2013	53.16167	Hoogezand
-73.49484	America/New_York	excellent	02 Jun 2018	41.14676	New Canaan
77.656	Asia/Kolkata	good	03/26/2019, 00:00:00	28.71271	Pilkhua
-73.9614	America/Bogota	good	09/14/2015, 00:00:00	10.15031	El Copey
4.62744	Africa/Algiers	building	2015/01/05	36.06386	El Achir
35.23388	Asia/Hebron	accep	2016/09/03	31.78336	East Jerusalem
85.83334	Asia/Kolkata	average	28 Sep 2018	20.88197	Bhuban
68.75915	Asia/Karachi	maintenance	21 Sep 2017	27.52948	Khairpur Mir’s
8.2926	Africa/Lagos	average	2015-02-21	9.58126	Kafanchan
-58.70072	America/Argentina/Buenos_Aires	good	10 Jul 2017	-34.74785	Pontevedra
-96.72365	America/Mexico_City	good	09 Sep 2016	17.06542	Oaxaca
-120.43572	America/Los_Angeles	maintenance	2017/11/18	34.95303	Santa Maria
9.85	Europe/Berlin	accep	2014/09/19	53.63333	Halstenbek
