C2H3NO5	warning	PAHs	longitude	latitude	H2CO	CFCs	TEMP	PRES	NOx	NH3	O3	CH4	SO2	Pb	CO	PM2.5	PM10
0.10837	0.00000	7.18477	75.06583	32.17629	34.78357	42.43978	2.63752	1064.20106	6.30300	5.74983	8.44031	4.95356	8.66390	42.06220	5.80311	6.65580	7.71178
0.30195	0.00000	8.31093	-1.5443	50.75767	57.70233	38.43626	21.98958	1115.26517	8.36572	8.68653	5.60347	9.99753	5.00239	44.39138	6.05414		9.07422
0.04600	1.00000	7.14036	-7.35	53.53333	46.88567	34.92516	21.32242	1132.63018	4.47012	8.71399	6.91962	11.67583	8.77418	44.09770	6.85881	6.58053	2.33814
0.11276	0.00000	8.01565	-2.98333	53.83333	30.01545	49.69181	14.86770	1063.39087	9.05377	9.02013	6.89843	9.57975	7.22292	31.98200	6.48999	7.19138	7.80409
0.04372	1.00000	8.25163	47.1192	42.819	50.76952	41.97426	8.75198	1116.17545	9.12823	6.38102	5.43579	7.71341	2.59505	46.28617	6.20409	5.93221	5.35417
0.05516	1.00000	5.63558	14.39024	42.22718	62.68467	75.36291	25.69486	1074.84362	6.24989	4.91523	4.40664	7.99465	9.67883	41.34862	7.94368	6.13632	5.32081
0.07423	1.00000	6.91811	102.42587	15.58552	32.69311	59.93207	33.28887	1174.78727	4.75375	9.06122	8.47788	10.92789	7.92021	40.18251	6.45470	8.08065	6.39516
0.04015	1.00000	7.70724	92.48278	58.23583	72.15876	47.97876	7.54773	1182.90834	9.29516	6.44715	5.02350	10.70316	4.34348	66.18556	8.58154	7.26420	6.42033
0.06809	0.00000	8.12652	103.61667	-1.6	55.22561	67.67145	-1.62482	1195.43362	6.03027	5.23635	10.74989	4.87255	7.31223	62.67131	7.43511	7.26637	6.22892
0.05102	1.00000	7.37361	139.55028	35.30889	25.06115	36.84564	10.74696	1050.69236	7.75118	7.68599	8.39322	8.71778	6.43538	57.80989	6.57741	7.71550	6.09879
0.03796	1.00000	5.86093	36.7138	35.95664	24.20334	36.17865	28.18757	1076.02712	5.09735	8.13948	6.36193	12.12290	10.61915	46.16430	6.23543	7.89011	3.76863
0.10756	1.00000	7.08740	-121.74052	38.54491	56.13789	53.93487	21.29731	1050.25064	4.36763	8.16902	7.17041	11.23945	11.31003	38.96149	8.19402	7.01737	7.79136
0.06846	1.00000	7.36078	5.16108	48.77275	49.33230	56.55813	-0.07395	1196.25822	6.18097	6.92165	8.91803	8.31096	5.38507	28.00880	8.51323	8.75174	6.56356
0.13383	1.00000	6.47766	8.63333	52.2	61.19645	50.02186	-5.23663	1088.91344	6.01082	2.75749	3.82500	6.41882	9.29574	70.64926	8.43426	8.25521	8.13401
1.45685	0.00000	7.90209	38.02486	55.64776	44.85703	12.42859	15.14724	1197.24912	7.33724	10.25197	5.95515	9.10258	7.18745	55.32142	8.39755	6.98284	10.83939
0.06003	1.00000	6.51511	-78.04471	34.25628	43.81601	34.12174	23.26793	1124.86066	6.30721	7.74555	8.16023	7.37685	4.84133	68.59299	7.92295	6.93983	5.86893
0.06520	1.00000	7.45061	136.61667	36.53333	56.21042	55.63015	20.56076	1186.01158	7.47715	6.87000	5.91304	9.75088	10.28340	52.49110	8.07534	4.11834	4.13940
0.09656	0.00000	7.61528	-97.54667	30.5427	50.91232	43.44991	19.02670	1158.03218	8.16118	7.72231	6.31328	10.57785	5.48423	49.61553	5.04115	7.61645	7.00873
0.06316	1.00000	6.03619	6.83042	6.15038	51.09851	45.70613	11.76325	1176.71004	6.93959	8.05683	6.98363	5.38596	3.10299	42.85375	6.36222	8.48725	4.49681
0.07992	1.00000	6.21164	8.62118	45.44694	44.59559	26.53280	32.61612	1122.44262	7.30719	5.54168	6.12855	8.95310	7.33495	46.84062	4.35980	7.00163	6.61965
0.13199	0.00000	7.39588	-97.35992	19.8173	61.47946	36.95543	4.73440	1125.38261	10.78358	7.44723	7.71337	9.33800	3.64062	52.27016	7.62119	7.38700	7.88299
0.07681	0.00000	7.53132	-74.01042	41.50343	44.11135	45.53206	10.39195	1080.73137	6.73675	3.88574	8.74071	6.58825	5.37926	48.09888	5.90557	6.25089	7.08598
0.07022	1.00000	6.06210	-80.31727	25.67927	69.57429	40.58851	3.15212	1079.69336	6.48320	7.64393	7.85244	10.03224	6.49175	59.30939	7.21295	7.07441	6.36590
0.06497	0.00000	8.89203	43.2379	50.06	33.17674	52.85691	8.89229	1076.89592	5.48112	7.08029	10.97223	2.88009	7.68015	62.48041	6.40478	4.91472	6.06765
100.00000	0.00000	5.35480	111.73861	35.20889	41.68426	64.38409	20.76839	1182.07324	7.80321	10.29682	5.03958	6.65780	5.52788	37.43977	6.72385		15.09211
0.14506	0.00000	8.08892	4.07601	50.88506	49.81927	49.27093	22.94176	1182.39570	8.29409	8.17823	6.46721	9.48225	5.71576	54.17159	7.42929	5.60043	8.27549
0.04375	1.00000	5.48000	8.77069	50.80904	45.31150	29.48099	15.94854	1191.55452	6.98796	5.98536	5.88737	9.34849	4.27122	39.91860	5.31870	6.60207	5.54765
0.06761	1.00000		-82.32483	29.65163	68.84206	37.21926	-1.94247	1104.99957	3.97405		10.58368	6.01328	6.91717	40.85969	7.15048	5.48944	4.75966
0.07213	1.00000	8.95069	128.63083	36.82167	57.85493	36.26311	7.03840	1137.27136	4.12995	3.99394	10.91027	11.51757	9.59790	43.80831	7.04208	7.78027	7.08910
0.05185	1.00000	5.25836	-15.6	13.56667	28.62309	45.32978	24.19073	1056.88807	7.09445	7.50057	7.59424	9.07558	7.63518	46.32124	5.75994	6.93033	5.34922
0.08072	1.00000	6.69820	3.16667	50.8	51.97928	42.28712	11.19749	1122.05391	4.62264	6.78508	9.73149	8.92644	7.08816	44.45239	6.55889	7.01917	6.22638
0.07540	1.00000	7.25486	120.33063	37.65181	49.36795	48.99060	12.91385	1170.61835	6.44878	6.55662	7.21929	8.33886	8.30075	46.00201	9.50956	6.37273	6.90660
0.05348	1.00000	6.58149	3.39467	6.45407	15.52662	38.06711	-0.40291	1054.11475	9.80311	7.10630	5.28065	8.46418	2.97895	74.88725	7.40097	5.96768	6.04351
0.04632	1.00000	8.11095	-73.95958	40.57788	39.77720	57.36163	20.13209	1097.47829	7.28326	8.41629	8.02133	9.88460	7.68700	50.46890	7.27530	6.44874	4.84524
0.06760	0.00000	7.76856	-73.9614	10.15031	30.16923	52.49346	31.85018	1123.88155	7.52035	8.27792	5.02408	6.73261	6.42063	54.42471	7.72557	7.13413	6.53219
0.06753	1.00000	9.67013	115.70111	37.73222	50.66521	54.45693	15.87489	1143.51412	5.46022	4.35011	4.38765	6.41598	9.46482	44.20709	6.67988	7.32987	6.32128
0.07564	0.00000	8.36430	10.18527	47.98372	29.08490	47.96498	15.51668	1157.22445	5.76091	6.08405	8.60005	3.47275	7.47627	36.83165	8.54632	6.07288	6.47784
	0.00000	8.86129	-0.33525	53.7446	36.51563	57.39645	23.47912	1189.01512	6.22034	8.06669	4.83302	8.69054	5.64261	74.47097	8.06645	8.48978	7.36043
0.08068	1.00000	7.37842	27.02444	39.59611	43.73845	47.47436	7.26130	1176.45481	5.60869	4.58429	8.56932	10.77713	7.06873	43.89519	7.05337	7.92772	6.49858
0.14818	0.00000	5.87807	84.63445	24.81757	73.37811	53.11916	21.14631	1077.63819	6.92022	5.77790	11.31302	6.50590	5.77842	49.10311	6.37209	9.04619	8.37013
0.05682	1.00000	7.44766	-89.64066	40.56754	31.02210	26.44213	13.95620	1190.69458	6.49946	5.74952	5.94210	8.34905	9.12858	63.33276	8.45905	5.50505	6.29691
0.09765	1.00000	6.68576	-75.69947	8.79577	33.37558	19.84341	20.40678	1136.65815	7.07718	2.33892	3.51087	4.97771	9.29895	58.99059	7.56807	8.35860	7.40124
0.19491	1.00000	7.99226	89.20083	55.54028	56.77833	35.05431	28.34223	1139.25252	5.35507	4.34338	11.31163	11.75570	8.48563	57.36116	9.84929	8.01126	8.55462
0.16656	0.00000	7.97878	85.4265	55.8736	72.89564	42.86701	23.58742	1096.25337	8.40181	8.60487	6.10658	8.07969	6.68441	52.79160	6.08114	7.38468	8.41316
0.04967	1.00000	7.85260	-80.38297	42.8334	32.27903	42.01967	2.91567	1051.31005	2.41383	6.83131	5.65367	9.63050	7.92498	49.99281	7.16090	7.58243	4.25828
0.05596	0.00000	7.01619	-82.45426	27.09978	40.53391	36.18201	21.36026	1177.84485	5.23339	7.51862	10.14363	8.86461	6.88163	60.04695	7.39599		6.91191
1.39498	0.00000	7.33119	37.38115	55.63711	48.41315	35.24417	18.51520	1170.74922	7.29568	9.69783	5.40909	6.71559	6.72171	43.39322	7.23736	6.26920	10.78334
0.36029	0.00000	7.67257	18.30056	50.5107	32.42487	39.62772	9.48515	1108.19303	8.92796	8.01610	6.36844	10.09866	5.03077	45.21571	7.56946	7.20716	9.32097
0.06059	1.00000	7.06691	123.62494	12.37169	37.78408	43.46791	3.16375	1149.32819	7.28205	3.83482	7.78548	9.04401	5.74107	47.38943	8.68441	7.52085	5.96474
0.08720	1.00000	7.99014	4.63031	43.67681	54.14513	31.10311	17.00825	1189.64061	4.72801	8.84507	10.25912	9.51851	8.77678	65.84808	6.15556	6.54739	6.96665
0.04460	1.00000	6.65612	-84.50855	39.08367	53.91759	55.38573	22.71541	1065.36921	6.75254	6.07517	5.05086	10.15250	11.16958	59.91050	6.67362	7.63696	5.07743
0.15101	1.00000	6.91649	84.63445	24.81757	52.92113	50.05311	17.46754	1141.59373	8.26536	4.05715	9.90024	7.35398	6.92054	71.67886	8.60924	6.70598	8.39729
0.08107	1.00000	6.46123	97.01124	17.30858	55.71897	63.60144	11.79310	1069.47580	6.86994	8.23419	7.81316	10.04031	7.95235	69.66551	6.14653	7.64813	5.42718
0.25435	1.00000	8.52286	-3.52751	50.7236	36.33151	41.92522	19.11610	1073.08955	8.09279	2.70275	4.80934	6.47611	6.05114	82.43371	6.78626	7.74849	8.92049
0.06026	0.00000	7.37373	135.21667	35.06667	56.77544	60.44083	4.93760	1064.06891	10.48435	7.41612	8.38697	9.46448	6.09170	34.31489	7.76920	7.45699	5.91440
0.19063	0.00000	5.60876	84.13864	22.88783	30.92110	34.41868	15.42457	1127.41930	8.37474	8.96992	7.72763	9.82801	7.15050	62.62222	7.01662	9.19143	8.50994
0.19285	0.00000	4.74612	136.61667	36.53333	57.90433	33.07223	23.91863	1136.19328	7.70995	8.91391	4.74871	8.20520	6.67086	33.85439	6.53573	6.88112	8.37853
0.09274	0.00000	8.10810	6.83042	6.15038	51.88453	58.29648	13.12205	1189.79449	8.19967	3.81214	9.11430	5.52326	6.53450	85.71894	5.21455	7.02345	7.17227
0.37580	0.00000	6.83227	120.82747	37.30553	26.00129	31.88357	4.34505	1111.63023	7.64685	5.54031	8.76049	6.31635	6.76876	60.60223	8.19055	7.40340	9.36675
1.58554	0.00000	8.10803	6.92917	52.31333	41.44666	41.86033	14.30849	1128.79934	6.97059	5.75009	7.27578	8.14499	4.85889	75.02798	6.97558	5.96904	10.91878
0.05049	0.00000	6.19994	83.36889	26.76628	46.51920	49.28542	13.68277	1110.32679	2.91387	8.66767	10.39336	1.84302	6.58100	30.00473	7.41125	6.07001	5.86654
0.05923	1.00000	8.12888	101.44167	0.51667	29.43294	59.16590	6.84054	1091.45617	5.98828	5.23510		9.08915	5.11102	74.51666	6.18395	7.28769	6.12044
0.07518	1.00000	5.91357	-118.25508	34.14251	51.91653	49.57052	8.24873	1164.76351	7.15010	7.37222	7.35342	6.45551	4.03488	44.20155	7.28464	7.98659	4.97354
1.83787	1.00000	6.77584	-73.89875	40.93121	55.76215	21.66193	16.93775	1163.07296	5.39529	6.38559	7.24362	8.65947	4.77759	62.95664	9.56314	8.38811	11.06679
0.12697	0.00000	7.92268	123.62494	12.37169	71.48265	37.31476	28.17597	1130.91937	9.08168	3.49528	8.16678	5.53147	7.00776	61.79553	8.26102	7.45935	7.71274
0.03177	1.00000	6.50163	-2.68758	53.69786	62.56248	44.40772	29.16572	1058.13647	5.39972	6.97145	7.42410	8.82748	6.05240	67.02589	5.32096	8.25178	5.26871
0.16874	1.00000	6.91455	11.04979	44.59445		100.00000	9.04270	1091.66633	5.07520	6.06877	6.98373	9.09202	7.87554	55.67162	7.64576	6.14564	8.37643
0.03244	1.00000	7.73172	-73.02841	-36.9256	62.00528	66.69571	5.93937	1057.88015	5.07471	9.27888	8.74874	6.60674	6.01427	55.49909	6.28104	6.56690	5.21051
0.14851	0.00000	7.59894	77.40858	24.05979	41.84883	48.68539	17.93657	1131.98087	8.89330	9.54095	6.17595	5.69128	8.20590	33.31893	7.49540	8.71306	8.08971
0.04690	1.00000	7.75832	34.8732	32.05971	54.74824	54.01549	24.94777	1139.38263	8.16014	5.14432	5.92277	8.07915	6.42970	30.14973	7.29294	5.12503	
0.04005	1.00000	6.39361	6.76111	53.16167	68.52065	30.92085	11.94188	1149.87062	3.53097	5.37624	10.07406	7.65490	6.46253	45.45548	8.37922	8.36609	4.92352
0.07323	1.00000	6.85266	111.4834	65.93381	61.24015	57.88399	13.46924	1144.32843	6.18171	5.34938	4.61550	9.56472	11.49665	47.73754	6.48451	5.19379	5.59814
0.06530	1.00000	7.82801	-89.64066	40.56754	41.13979	46.34785	1.74614	1167.08472	6.23981	3.47579	4.50771	6.44708	8.45893	59.05472	6.89131	7.53963	7.08315
0.06112	1.00000	9.16866	109.05389	-7.51611	38.71024	38.01315	9.16465	1144.83567	5.56183	4.15198	3.76307	6.95509	7.51942	53.38548	6.11654	5.66393	3.72285
0.71189	0.00000	7.84047	114.68333	23.73333	58.83985	59.86282	16.68806	1103.55348	9.30304	8.16019	7.61446	8.38433	5.35578	48.24463	7.59124	7.26359	10.07775
0.43838	0.00000	8.50142	-122.38731	45.53929	40.03365	71.11041	16.68906	1091.54195	5.93932	5.25640	6.37920	7.54022	5.24527	46.59352	7.25535	7.03632	9.59975
0.39666	0.00000	7.42929	150.99292	-33.75881	14.00081	41.75863	26.29579	1098.48701	7.51500	6.16424	8.07665	5.12186	6.64464	48.46959	7.16772	6.95559	9.44658
0.04782	1.00000	7.30385	-77.55777	37.52487	38.96195	36.35484	5.68211	1070.72686	6.34393	7.49894	6.30828	10.17215	9.60295	54.96482	7.72043	8.55167	3.17184
0.24108	1.00000	7.58234	-70.20749	8.62261	43.04968	49.27494	11.54045	1164.38414	6.82484	5.39742	6.37538	9.87255	8.13515	72.33888	8.53700	8.21803	8.85875
0.07049	1.00000	7.96152	123.62494	12.37169	50.24438	34.65813	13.67611	1166.64094	5.47186	7.00907	9.83070	7.79369	5.88374	51.05154	7.60143	6.93810	6.69287
0.05023	1.00000	8.01986	-48.59278	-23.7975	52.15151	68.49208	31.89901	1154.49005	5.85157	8.94311	8.39859	6.49286	5.14668	49.15736	6.20828	6.99890	5.40207
0.07465	1.00000	7.69540	51.49621	36.64852	68.83581	36.68884	12.55071	1168.07267	5.45367	10.91877	9.48360	7.61985	6.93537	63.62037	6.64862	6.22620	6.80740
0.07628	1.00000	7.53096	-0.74934	51.62907	37.94490	34.91126	16.16265	1100.62522	3.48695	6.02384	5.75574	8.97151	9.39894	28.27237	6.10461	6.43753	7.45053
0.04794	1.00000	7.44812	18.28333	59.33333	32.29772	48.08645	19.41766	1079.86096	6.84202	6.54065	6.51266	7.40282	6.06488	51.32420	8.08932	6.59764	4.05896
0.06427	1.00000	8.08406	8.73812	41.91886	78.32163	49.54933	-5.38614	1073.91998	5.13467	8.31612	6.04808	12.01704	13.16482	39.39416	7.53351	7.54784	2.42354
0.06141	0.00000	7.81332	19.91667	-11.78333	44.44517	60.16294	3.88253	1137.68615	10.18627	9.56403	7.95965	9.65508	9.10016	68.11689	9.05079	7.96159	5.49118
0.06559	1.00000	7.65529	78.40102	27.9247	45.01316	51.76830	13.73987	1100.07192	6.20861	6.17892	4.87723	9.03991	10.80149	69.22088	7.19877	6.37099	3.16475
0.04735	1.00000	9.37318	-0.29825	51.39148	52.41878	44.82816	40.01460	1126.88985	4.91624	5.81394	10.01362	7.54118	6.50609	47.25836	8.03954	7.44218	6.37807
0.98760	0.00000	7.44734	27.18052	39.12074	42.65608	32.01286	15.74612	1058.52795	4.27224	7.44481	9.00216	8.14014	5.66708	55.85349	7.21288	7.36139	10.44443
0.31045	0.00000	6.30349	120.74792	41.09822	50.13642	71.71655	19.51931	1103.35859	10.28173	8.63528	4.41650	6.11108	5.10672	58.45199	6.06012	7.33050	9.16199
0.05025	1.00000	7.09157	8.51667	51.88333	62.22314	42.57610	12.17504	1074.80674	6.70573	4.64074	7.53876	8.25255	5.17652	55.66880	8.24651	7.66131	5.34741
2.83392	0.00000	7.35103	34.8732	32.05971	34.21405	60.40911	21.92758	1190.50223	5.77448	7.25635	3.99637	6.12551	7.03357	29.59718	7.10606	7.96614	11.51377
0.35561	0.00000	7.32412	26.01649	44.43579	27.32936	66.38929	1.18518	1119.09130	7.20807	4.78223	9.76648	8.44110	7.41439	60.23371	6.35873	5.96976	9.30431
0.11528	1.00000	7.51386	59.4839	58.7002	36.14778	41.76625		1161.90239	5.76343	2.96299	9.19006	12.48624	8.34203	74.35345	8.43661	6.66015	7.75678
0.19714	0.00000	7.17601	-120.00865	46.32374	40.26576	46.42570	12.76342	1087.31466	3.82543	6.07067	7.31367	7.45944	5.89801	59.51942	5.96546	7.28996	8.61238
0.07767	1.00000	7.61249	4.52514	12.74482	75.71809	30.72487		1164.09499	3.91061	8.09854	10.71678	7.11317	8.25432	59.79357	6.05456	6.94917	5.82719
0.05036	1.00000	4.61937	-93.71133	41.57721	41.79327	52.65943	15.39537	1188.42256	9.83083	4.60530	4.92237	8.72020	3.51745	46.09973	7.66723	7.73134	5.41351
0.08343	1.00000	6.05835	15.00835	51.14942	45.06105	41.11190	19.91783	1159.83607	3.59247	5.71725	12.56984	8.91524	10.36627	55.61590	7.27658	5.89857	6.91041
0.75655	0.00000	8.05992	29.41824	45.99194	40.97169	49.19818	21.45056	1057.99470	8.74464	9.49486	6.10436	6.63609	6.96519	47.63566	6.29204	5.34301	10.12504
0.05558	1.00000	7.18250	-0.29825	51.39148	51.89350	46.26599	23.35534	1094.68510	6.96908	4.76454	6.86063	9.32888	6.50448	55.77038	8.35799	6.95968	5.12958
0.04827	0.00000	5.91271	-2.31938	6.46346	44.53173	41.61825	25.51059	1117.35667	7.79012	3.91387	13.68540	5.79807	8.10062	83.06815	7.06969	8.25800	5.64633
0.32425	0.00000	5.84397	117.63083	35.50056	60.37481	51.72184	12.96546	1194.04048	10.10408	8.57798	8.37461	10.09007	6.70264	62.40321	6.78515	8.59623	9.25129
0.05718	1.00000	7.52623	-115.98391	36.20829	57.80752	50.65002	19.28257	1128.07400	7.21443	6.12254	6.07214	8.46255	8.91045	80.82522	8.07045	6.25875	5.71872
0.08000	0.00000	5.93982	-1.99421	51.35084	49.13696	26.72975	3.40272	1146.15159	6.46032	8.60322	3.77802	8.07210	6.94060	66.49141	7.37902	6.77904	6.78426
0.06520	1.00000	7.64938	-120.00865	46.32374	48.99031	41.11927	23.71846	1082.56207	5.02917	10.11912	8.15435	11.47718	10.22787	61.58982	6.93926	5.70523	3.93551
0.07237	1.00000	7.39546	117.55417	34.86472	63.01213	62.74898	25.53876	1062.74069	3.89690	6.97013	6.69541	8.77391	6.83100	65.09258		9.70018	5.93172
0.10672	1.00000	7.12751	-84.20299	39.43534	40.93187	67.14562	6.42055	1124.88999	4.50921	6.79100	7.57403		7.45416	34.71637	9.00437	8.11459	7.54985
0.04635	1.00000	7.81899	85.94001	25.49043	39.60081	33.45043	18.06576	1132.46895	5.52076	5.25635	8.93402	8.35389	7.41620	57.10024	7.29905	6.05441	5.12224
1.53152	0.00000	9.22931	43.91385	54.03876	41.21695	37.03443	6.76896	1060.23980	7.28510	8.40439	4.81327	8.22083	5.43268	75.42522	7.64507	6.58178	10.88274
0.06600	1.00000	7.59741	65.93249	36.21544	57.18102	30.11270	40.48642	1181.92584	4.55801	7.58021	9.42250	8.17777	6.26635	59.06575	5.98833	6.81320	5.80569
0.07613	1.00000	7.85027	-98.11889	19.04222	21.00636	60.32023	18.81888	1169.36269	5.72301	5.71047	9.73934	9.37151	8.03010	59.28056	8.73557	6.34527	6.39170
	0.00000	7.11500	-0.74934	51.62907	46.76189	55.80853	9.32889	1191.67961	6.74955	6.58943	4.99369	11.36626	2.66332	44.92823	7.63384	6.47453	7.70469
1.15751	0.00000	9.27871	150.60036	-34.88422	55.67193	33.63621	3.28254	1128.83966	6.18628	7.24174	4.85079	11.50762	2.70288	83.03721	6.80845	7.75676	10.61379
0.05992	0.00000	7.83324	42.7125	11.15583	47.66263	38.75236	14.44876	1050.25616	8.71075	8.02200	6.50564	8.00453	7.21413	63.24918	7.14822	6.86347	6.20114
0.07854	0.00000	6.90474	10.03478	37.16911	62.13045	43.12686	5.08602	1172.59546	6.52167	5.68091	9.45548	4.42434	6.70983	53.56658	7.99256	7.56967	7.13395
0.06637	1.00000	8.07689	171.25364	-44.39672	44.43184	59.20824	9.97446	1088.19445	5.72742	5.58430	4.74418	9.46443	9.52319	48.37036	7.17268	7.08738	5.54757
0.04437	1.00000	7.80125	34.8732	32.05971	48.26079	42.89632	0.61815	1188.82174	5.88772	5.24707	9.13982	6.56663	5.37530	71.42686	6.82924	4.36443	4.85188
0.12654	0.00000	6.73127	91.61356	26.44931	51.74535	22.42110	3.10838	1155.98086	6.20705	5.11782	9.04395	6.06999	7.02213	71.47561	8.73142	6.76920	7.80372
0.09460	0.00000	7.94287	27.46153	-21.44236	55.30787	37.39144	4.90351	1171.02142	8.93078	7.24037	6.19112	10.13939	4.10178	46.98177	8.96262	9.17434	7.34881
0.03715	1.00000	8.17516	35.90057	56.85836	70.04067	20.90398	28.92901	1092.26576	6.48262	8.15552	6.44875	8.70087	4.10251	61.70952	8.31511	5.74021	5.45425
0.06107	1.00000	8.55192	-2.77259	37.49073	48.24588	40.72348	10.15741	1134.33066	5.98012	7.65090	8.12149	9.22036	7.41017	39.35984	6.21848	7.39885	6.37727
0.04697	0.00000	6.28588	101.44167	0.51667	17.05850	60.66808	14.39941	1178.10955	6.00554	5.43764	4.77476	9.76072	9.41964	61.76799	7.96881	7.12564	4.45405
