code	revision	location	longitude	latitude	QoS
US	30 Dec 2013	America/Chicago	-97.90308	31.12406	average
UA	12 May 2015	Europe/Zaporozhye	36.25361	47.48444	accep
TZ	25 Jan 2017	Africa/Dar_es_Salaam	38.01667	-5.41667	average
NO	2022/06/07	Europe/Oslo	16.54165	68.79833	accep
CO	03 Apr 2013	America/Bogota	-73.9614	10.15031	good
JP	2017-07-07	Asia/Tokyo	129.96972	33.4425	excellent
GH	01/16/2021, 00:00:00	Africa/Accra	-2.31938	6.46346	excellent
TN	2015-07-01	Africa/Tunis	10.58082	35.72917	good
FR	08/16/2014, 00:00:00	Europe/Paris	1.33467	43.61058	average
PT	2017-08-02	Europe/Lisbon	-8.33147	41.20485	excellent
PR	03/04/2021, 00:00:00	America/Puerto_Rico	-66.8499	18.03496	average
TR	29 Mar 2014	Europe/Istanbul	27.02444	39.59611	excellent
CR	01/27/2019, 00:00:00	America/Costa_Rica	-85.43772	10.63504	average
DE	2019/12/04	Europe/Berlin	11.34046	50.72043	maintenance
PK	2018/02/17	Asia/Karachi	70.96699	30.46907	average
MY	2013/03/14	Asia/Kuching	116.10146	5.90702	good
BR	28 Sep 2019	America/Recife	-35.71667	-8.66667	excellent
RU	02/08/2018, 00:00:00	Europe/Moscow	34.34691	61.78491	good
GB	2016-08-05	Europe/London	-2.98333	53.83333	accep
US	2016/08/28	America/Los_Angeles	-119.01677	36.06523	building
GB	2017-11-09	Europe/London	0.93333	52.68333	average
MX	2017-01-18	America/Mexico_City	-94.91386	17.94979	accep
BR	20 May 2020	America/Sao_Paulo	-48.29694	-20.87306	maintenance
MX	16 Jun 2014	America/Mexico_City	-102.04897	19.64745	building
RU	2017/09/22	Europe/Moscow	43.91385	54.03876	good
FR	12/29/2016, 00:00:00	Europe/Paris	5.4584	43.32393	good
NG	08/06/2022, 00:00:00	Africa/Lagos	4.52514	12.74482	maintenance
BE	11/13/2012, 00:00:00	Europe/Brussels	3.16667	50.8	average
TR	29 Jul 2022	Europe/Istanbul	29.26639	37.58105	average
BR	24 Aug 2019	America/Bahia	-38.79084	-10.95817	good
JP	04/28/2013, 00:00:00	Asia/Tokyo	139.07204	36.24624	accep
TR	31 Mar 2013	Europe/Istanbul	27.18052	39.12074	average
AU	05/18/2018, 00:00:00	Australia/Sydney	150.99292	-33.75881	average
GB	15 Nov 2020	Europe/London	1.15597	51.78967	good
DE	03 Jan 2013	Europe/Berlin	13.31783	52.61131	accep
CN	2014/08/03	Asia/Shanghai	117.7	35.85	average
GB	21 Feb 2018	Europe/London	-0.76667	53.38333	average
JM	20 Feb 2017	America/Jamaica	-76.78319	18.00747	excellent
NZ	2014-01-07	Pacific/Auckland	171.25364	-44.39672	accep
TH	2021-12-08	Asia/Bangkok	100.04427	13.8196	excellent
CN	2021/11/08	Asia/Shanghai	123.17306	41.27194	excellent
TR	04/26/2013, 00:00:00	Europe/Istanbul	34.37389	40.1675	good
HR	2020-12-29	Europe/Zagreb	16.43915	43.50891	excellent
DE	04/02/2022, 00:00:00	Europe/Berlin	8.77069	50.80904	building
NA	10/30/2020, 00:00:00	Africa/Windhoek	16.91667	-21.98333	excellent
GB	2018/10/27	Europe/London	-0.33525	53.7446	excellent
RO	2020-12-29	Europe/Bucharest	26.01649	44.43579	accep
IT	2017-08-14	Europe/Rome	17.80774	40.55851	accep
US	05/18/2019, 00:00:00	America/Chicago	-95.44744	29.53885	excellent
BO	11/01/2012, 00:00:00	America/La_Paz	-65.71875	-21.44345	good
GB	2021-11-11	Europe/London	-2.58736	56.56317	accep
NG	2016-12-10	Africa/Lagos	4.18333	7.6	excellent
CI	2021/01/19	Africa/Abidjan	-3.59625	5.27247	excellent
DE	24 Oct 2019	Europe/Berlin	8.91229	49.13645	average
GB	04/07/2020, 00:00:00	Europe/London	-2.68758	53.69786	good
LY	06/17/2020, 00:00:00	Africa/Tripoli	10.18003	24.96334	good
RU	2021/07/01	Europe/Moscow	43.67663	53.53041	building
PT	2015-12-02	Europe/Lisbon	-8.2503	37.08819	average
BR	08/28/2019, 00:00:00	America/Sao_Paulo	-51.87389	-23.44361	excellent
US	2012/12/12	America/Boise	-116.56346	43.54072	good
FR	13 Apr 2016	Europe/Paris	2.45012	48.90982	accep
CN	07 May 2020	Asia/Shanghai	122.20488	29.98869	good
BR	10/29/2019, 00:00:00	America/Sao_Paulo	-47.53028	-22.45667	good
PL	01/02/2019, 00:00:00	Europe/Warsaw	19.27498	50.20528	excellent
TZ	07/11/2019, 00:00:00	Africa/Dar_es_Salaam	29.65806	-4.83	excellent
GB	03/17/2016, 00:00:00	Europe/London	-0.74934	51.62907	good
NG	06 Apr 2019	Africa/Lagos	4.52514	12.74482	excellent
IN	2013/08/04	Asia/Kolkata	74.4818	30.21121	excellent
GB	2019-02-21	Europe/London	0.47713	51.39323	building
MX	2017/01/06	America/Mexico_City	-96.72365	17.06542	average
CN	12/05/2021, 00:00:00	Asia/Shanghai	118.53333	27.92333	accep
YE	2013-04-18	Asia/Aden	46.83187	14.53767	average
TN	01/05/2020, 00:00:00	Africa/Tunis	10.58082	35.72917	excellent
PE	19 Aug 2020	America/Lima	-76.70944	-11.94306	good
US	2021-02-10	America/Chicago	-86.78777	33.44872	good
PA	2020-03-21	America/Panama	-79.62098	9.15093	accep
CA	05/20/2019, 00:00:00	America/Toronto	-73.86586	45.43341	excellent
CN	2021/06/11	Asia/Shanghai	130.57211	45.75279	accep
US	13 Oct 2015	America/New_York	-82.45426	27.09978	average
MX	2015/03/19	America/Mexico_City	-101.2591	21.01858	accep
RU	2018/07/05	Asia/Novokuznetsk	85.4265	55.8736	building
DZ	2012-12-17	Africa/Algiers	2.31889	35.21222	average
KR	16 Jul 2014	Asia/Seoul	128.62667	34.8825	average
SY	2012-12-29	Asia/Damascus	38.28402	34.5624	excellent
TH	02/16/2017, 00:00:00	Asia/Bangkok	103.65309	16.0567	accep
JP	10/04/2017, 00:00:00	Asia/Tokyo	135.31667	34.25	building
CA	2013/03/10	America/Vancouver	-119.48568	49.88307	average
AU	2017-03-25	Australia/Perth	115.88782	-32.05251	maintenance
CO	05/13/2021, 00:00:00	America/Bogota	-74.26419	4.73245	average
CA	2013/06/25	America/Toronto	-73.86586	45.43341	accep
IN	2021/11/29	Asia/Kolkata	85.83636	25.66795	average
US	25 Sep 2020	America/New_York	-71.29144	41.54566	excellent
AD	19 Nov 2018	Europe/Andorra	1.53414	42.50729	maintenance
PH	2013/11/04	Asia/Manila	120.57224	15.72892	good
US	2018-05-07	America/New_York	-77.70066	43.16547	excellent
GB	08/14/2020, 00:00:00	Europe/London	-3.05	53.81667	excellent
US	29 Sep 2013	America/New_York	-81.26367	28.90054	maintenance
DE	2020-05-11	Europe/Berlin	9.5586	54.52156	average
CL	07/08/2016, 00:00:00	America/Santiago	-73.02841	-36.9256	average
MG	2018/11/15	Indian/Antananarivo	46.58333	-21.15	excellent
BY	2021/10/01	Europe/Minsk	25.8191	53.5942	building
RO	2014/07/18	Europe/Bucharest	26.01649	44.43579	excellent
ID	2012-12-26	Asia/Jakarta	103.61667	-1.6	maintenance
AR	2019-01-01	America/Argentina/Cordoba	-61.4867	-31.25033	average
LT	09 May 2020	Europe/Vilnius	24.75	55.25	excellent
IN	07/17/2020, 00:00:00	Asia/Kolkata	91.61356	26.44931	excellent
ZA	2018/06/23	Africa/Johannesburg	30.79165	-27.76952	average
GB	24 Mar 2019	Europe/London	-1.47217	53.46506	average
RW	2022-01-04	Africa/Kigali	30.4347	-1.9487	average
HT	07 Jun 2018	America/Port-au-Prince	-72.09391	18.65297	average
DZ	17 May 2013	Africa/Algiers	3.50309	34.15429	excellent
TN	16 Jul 2021	Africa/Tunis	10.78222	36.46917	good
CN	09 Aug 2015	Asia/Shanghai	112.73333	38.40917	maintenance
IN	2016/08/30	Asia/Kolkata	76.11996	11.12018	excellent
US	03/10/2018, 00:00:00	America/New_York	-73.97069	40.64621	acceptable
IN	04/12/2014, 00:00:00	Asia/Kolkata	88.1453	22.4711	average
DE	2016-10-06	Europe/Berlin	7.36027	51.20219	good
JP	06/17/2019, 00:00:00	Asia/Tokyo	139.55028	35.30889	excellent
VE	2016-09-26	America/Caracas	-70.20749	8.62261	accep
ES	2020/01/25	Europe/Madrid	-1.60452	42.06166	average
GM	15 Nov 2020	Africa/Banjul	-15.6	13.56667	good
TR	2017/04/30	Europe/Istanbul	34.02537	38.37255	building
GB	2014-10-21	Europe/London	-4.21376	55.82885	good
BE	10/13/2014, 00:00:00	Europe/Brussels	3.16667	50.8	excellent
FR	2014/12/07	Europe/Paris	1.00288	49.28669	excellent
IT	28 Mar 2016	Europe/Rome	14.66737	41.55947	excellent
PH	07/10/2016, 00:00:00	Asia/Manila	120.57224	15.72892	accep
ZA	27 Sep 2013	Africa/Johannesburg	29.00974	-24.19436	maintenance
LK	2021-02-01	Asia/Colombo	79.87116	6.84019	accep
RE	12/13/2019, 00:00:00	Indian/Reunion	55.4504	-20.88231	excellent
US	2021-10-26	America/Los_Angeles	-122.38731	45.53929	maintenance
US	25 Dec 2014	America/Chicago	-95.36969	35.74788	accep
FR	02/15/2020, 00:00:00	Europe/Paris	-0.45877	46.32313	building
MM	16 Jan 2020	Asia/Yangon	98.19151	14.0823	good
UA	11/01/2018, 00:00:00	Europe/Kiev	33.34864	46.75451	maintenance
NL	07 Oct 2018	Europe/Amsterdam	4.47124	51.95838	building
TR	06 Apr 2019	Europe/Istanbul	37.3825	37.05944	good
CA	2013-01-02	America/Toronto	-73.58248	45.40008	accep
IT	08/01/2017, 00:00:00	Europe/Rome	14.43865	40.87329	accep
RU	10 Mar 2018	Europe/Moscow	47.1192	42.819	accep
IN	13 Aug 2016	Asia/Kolkata	85.94001	25.49043	excellent
BR	04/29/2013, 00:00:00	America/Sao_Paulo	-46.99583	-22.97056	accep
IT	2022-05-27	Europe/Rome	14.66737	41.55947	good
US	23 Feb 2020	America/Chicago	-95.30106	32.35126	average
BR	2021-10-30	America/Sao_Paulo	-48.59278	-23.7975	excellent
RU	2016-02-03	Europe/Moscow	43.83992	55.39485	average
CN	2015/11/09	Asia/Shanghai	113.13148	23.02677	building
FR	2019/10/03	Europe/Paris	1.6	43.11667	building
KR	2022-06-03	Asia/Seoul	128.9889	37.1759	excellent
AU	10/15/2017, 00:00:00	Australia/Sydney	150.60036	-34.88422	maintenance
MG	05/08/2017, 00:00:00	Indian/Antananarivo	48.41667	-17.83333	accep
ES	2017-01-18	Europe/Madrid	-1.60452	42.06166	accep
US	2015-05-02	America/Los_Angeles	-120.00865	46.32374	accep
RU	2014-02-13	Asia/Yekaterinburg	57.3552	51.4781	building
CA	10/07/2020, 00:00:00	America/Glace_Bay	-60.1831	46.1351	excellent
PH	2018-06-08	Asia/Manila	123.62494	12.37169	accep
RU	2013-04-25	Europe/Moscow	34.34691	61.78491	accep
CN	20 Aug 2018	Asia/Shanghai	109.22921	34.65918	accep
RU	2014/12/25	Asia/Novokuznetsk	85.4265	55.8736	average
PH	24 Mar 2015	Asia/Manila	124.3697	9.6531	excellent
GB	06/28/2020, 00:00:00	Europe/London	0.47713	51.39323	average
CN	2020/03/16	Asia/Shanghai	120.33063	37.65181	good
SY	09/05/2018, 00:00:00	Asia/Damascus	36.7138	35.95664	building
BR	09/07/2021, 00:00:00	America/Sao_Paulo	-47.1725	-22.57306	good
US	29 Nov 2016	America/New_York	-72.97261	43.61062	excellent
GB	2016-01-09	Europe/London	-0.74934	51.62907	building
CN	04/17/2013, 00:00:00	Asia/Shanghai	122.22833	40.66482	good
IT	2019/01/14	Europe/Rome	11.04979	44.59445	accep
PE	2019-08-17	America/Lima	-73.25383	-3.74912	good
BG	2016/02/02	Europe/Sofia	27.25	42.7	maintenance
US	2016-10-20	America/Chicago	-95.36969	35.74788	maintenance
IT	2013-02-02	Europe/Rome	12.6723	41.72063	average
BE	23 Apr 2015	Europe/Brussels	5.37429	51.03427	accep
DE	2022/05/24	Europe/Berlin	8.96317	48.35149	good
HN	2021/11/10	America/Tegucigalpa	-86.57415	15.48131	good
DE	29 Dec 2012	Europe/Berlin	10.5511	52.47774	accep
BE	2017-03-01	Europe/Brussels	4.07601	50.88506	good
MA	2021-06-27	Africa/Casablanca	-2.16	34.31	accep
US	02/26/2020, 00:00:00	America/Chicago	-88.70464	34.25807	good
NA	11 Aug 2016	Africa/Windhoek	16.91667	-21.98333	excellent
US	2013/05/05	America/Indiana/Indianapolis	-86.11084	41.75338	accep
IN	08 Jun 2018	Asia/Kolkata	75.35927	12.04161	building
DE	2021/11/24	Europe/Berlin	11.37703	48.06919	excellent
IT	2015/03/19	Europe/Rome	13.44275	38.07789	accep
PH	2020-04-14	Asia/Manila	123.33471	8.56697	excellent
PE	30 Dec 2018	America/Lima	-76.70944	-11.94306	building
BR	2012-11-22	America/Sao_Paulo	-42.98194	-22.53722	excellent
ES	2014/12/27	Europe/Madrid	-1.60452	42.06166	building
PH	2012-10-18	Asia/Manila	123.758	10.20898	good
AR	2017-03-27	America/Argentina/Buenos_Aires	-59.13316	-37.32167	good
DE	2014-04-21	Europe/Berlin	7.973	51.168	accep
CU	2019/10/27	America/Havana	-82.4017	23.0072	building
DE	2016/01/20	Europe/Berlin	10.18527	47.98372	excellent
TH	2014/06/04	Asia/Bangkok	100.04427	13.8196	accep
MM	14 Apr 2015	Asia/Yangon	98.50893	16.68911	average
MX	2015/12/28	America/Mexico_City	-103.5687	20.22816	average
SE	03/30/2019, 00:00:00	Europe/Stockholm	18.28333	59.33333	accep
UA	2017-09-23	Europe/Kiev	30.96755	49.07866	average
US	11/02/2016, 00:00:00	America/New_York	-81.77285	28.54944	good
US	06/18/2020, 00:00:00	America/Los_Angeles	-123.02621	44.99012	average
RU	2013-03-12	Asia/Yakutsk	111.4834	65.93381	good
US	2020-06-28	America/Chicago	-89.64066	40.56754	good
SK	08/09/2017, 00:00:00	Europe/Bratislava	17.8031	48.43174	good
UA	15 Jul 2017	Europe/Kiev	33.34864	46.75451	building
IN	2017/12/05	Asia/Kolkata	75.92694	14.46693	good
DE	2014-06-06	Europe/Berlin	6.9747	50.82709	average
US	27 Aug 2018	America/Los_Angeles	-121.74052	38.54491	accep
US	2012-10-14	America/Los_Angeles	-115.98391	36.20829	excellent
RU	10 Dec 2018	Europe/Moscow	35.90057	56.85836	building
BR	05/14/2021, 00:00:00	America/Recife	-35.03333	-8.28333	excellent
IN	2022/09/01	Asia/Kolkata	75.92694	14.46693	excellent
DE	2017/04/01	Europe/Berlin	8.63333	52.2	good
IT	2014/05/05	Europe/Rome	14.43865	40.87329	accep
IN	07 Feb 2015	Asia/Kolkata	73.7553	15.5439	excellent
US	2015/08/25	America/Los_Angeles	-118.25508	34.14251	good
MW	2013/12/21	Africa/Blantyre	34.4587	-13.7804	accep
CA	2014/07/17	America/Toronto	-73.58248	45.40008	good
ID	19 Jul 2020	Asia/Jakarta	98.6738	3.7278	maintenance
MX	2019/05/16	America/Mexico_City	-98.1664	19.32932	building
FR	2018/06/01	Europe/Paris	-0.59543	44.80477	building
CN	2018/09/29	Asia/Shanghai	115.70111	37.73222	excellent
NL	02 Oct 2013	Europe/Amsterdam	6.92917	52.31333	accep
SO	2018-03-27	Africa/Mogadishu	43.38531	9.89206	average
US	2017-03-31	America/Chicago	-93.12577	44.73941	accep
CN	09/10/2022, 00:00:00	Asia/Shanghai	117.4831	27.34089	average
TZ	12 Nov 2018	Africa/Dar_es_Salaam	39.28333	-10.33333	excellent
MG	06/19/2016, 00:00:00	Indian/Antananarivo	47.31667	-19.65	accep
US	12/23/2019, 00:00:00	America/New_York	-82.32483	29.65163	good
US	2020/06/22	America/Los_Angeles	-122.38731	45.53929	maintenance
AR	2018/01/09	America/Argentina/Cordoba	-60.93173	-31.4488	maintenance
RU	2014-11-02	Europe/Moscow	35.96944	56.03361	average
US	08 Mar 2016	America/New_York	-73.89875	40.93121	maintenance
CN	03/09/2018, 00:00:00	Asia/Shanghai	114.68333	23.73333	accep
US	24 Jul 2014	America/New_York	-73.49484	41.14676	acceptable
PK	17 Dec 2013	Asia/Karachi	70.91106	29.38242	accep
US	2015/02/11	America/Chicago	-86.99666	33.45122	accep
SO	10/16/2013, 00:00:00	Africa/Mogadishu	42.54536	-0.35817	good
IR	05/05/2016, 00:00:00	Asia/Tehran	47.3799	33.14447	accep
DZ	06/07/2021, 00:00:00	Africa/Algiers	3.50309	34.15429	excellent
PH	2020-06-23	Asia/Manila	120.89694	14.95472	average
US	2018/09/25	America/Chicago	-98.15529	26.18924	excellent
RU	06/11/2019, 00:00:00	Asia/Yekaterinburg	69.49015	56.11281	average
PH	12 Feb 2022	Asia/Manila	121.12251	14.62578	maintenance
IN	08 Aug 2017	Asia/Kolkata	91.61356	26.44931	building
PK	2012/12/13	Asia/Karachi	73.97117	31.96258	excellent
PT	04/04/2020, 00:00:00	Europe/Lisbon	-8.2503	37.08819	excellent
JP	2019-07-02	Asia/Tokyo	139.07204	36.24624	good
MN	04 Jul 2018	Asia/Ulaanbaatar	106.88324	47.90771	good
AR	2020-06-10	America/Argentina/Tucuman	-65.61427	-27.4338	maintenance
GB	2017/08/17	Europe/London	-1.99421	51.35084	excellent
US	08/07/2020, 00:00:00	America/Chicago	-88.70464	34.25807	accep
IN	2019/05/05	Asia/Kolkata	88.1453	22.4711	average
IN	2013-09-18	Asia/Kolkata	72.93924	18.87813	building
IT	11/29/2013, 00:00:00	Europe/Rome	8.88104	45.79377	building
AU	2022/09/13	Australia/Brisbane	153.10236	-27.50578	building
TZ	28 May 2019	Africa/Dar_es_Salaam	39.28333	-10.33333	excellent
TH	19 Aug 2019	Asia/Bangkok	102.42587	15.58552	accep
US	2015-01-26	America/Chicago	-93.12577	44.73941	maintenance
BR	2016-07-01	America/Belem	-48.52333	-0.71667	excellent
US	2016/06/19	America/Chicago	-95.63079	31.76212	building
IR	07/24/2013, 00:00:00	Asia/Tehran	51.49621	36.64852	accep
IL	2016-09-06	Asia/Jerusalem	34.75699	31.39547	excellent
ID	2020-01-01	Asia/Jakarta	98.6738	3.7278	excellent
LR	09/15/2022, 00:00:00	Africa/Monrovia	-8.53778	7.57944	average
NL	2020-07-30	Europe/Amsterdam	6.76111	53.16167	excellent
US	26 Mar 2020	America/New_York	-75.64963	40.24537	excellent
KZ	09/17/2021, 00:00:00	Asia/Qyzylorda	65.50917	44.85278	accep
CN	2022/05/11	Asia/Urumqi	86.00214	46.51872	excellent
DE	2013/04/18	Europe/Berlin	7.36027	51.20219	excellent
MY	24 Mar 2020	Asia/Kuala_Lumpur	103.6032	1.6561	accep
UA	2018-08-05	Europe/Kiev	31.33078	47.56494	maintenance
JP	18 Dec 2012	Asia/Tokyo	142.45778	44.35056	excellent
IN	17 Aug 2013	Asia/Kolkata	72.68533	22.75218	good
CZ	2019-10-13	Europe/Prague	12.87117	50.23271	building
US	01/19/2017, 00:00:00	America/New_York	-80.66756	26.68451	average
US	28 Sep 2013	America/Chicago	-98.15529	26.18924	excellent
PT	18 Aug 2015	Europe/Lisbon	-8.33147	41.20485	good
MZ	04/24/2018, 00:00:00	Africa/Maputo	35.34722	-23.85972	average
TT	09/16/2014, 00:00:00	America/Port_of_Spain	-61.51889	10.66668	accep
CN	10/20/2019, 00:00:00	Asia/Shanghai	105.89333	34.56861	average
RU	2021-03-04	Europe/Moscow	33.72798	53.53395	average
BY	02 Jun 2021	Europe/Minsk	25.8191	53.5942	average
US	25 Jul 2019	America/Chicago	-88.27205	44.27804	building
RU	2018/09/01	Europe/Moscow	40.17171	58.1908	average
TH	2019-01-06	Asia/Bangkok	100.48528	14.37395	accep
KR	2017/01/30	Asia/Seoul	126.835	37.65639	average
FR	09/04/2019, 00:00:00	Europe/Paris	2.2469	48.90472	building
IN	14 Jan 2017	Asia/Kolkata	83.97573	21.46527	good
BR	2014/09/16	America/Sao_Paulo	-52.2	-28.44917	average
US	14 Jul 2017	America/New_York	-78.19444	38.91817	excellent
DE	2013-12-24	Europe/Berlin	8.51667	51.88333	maintenance
FR	2022/03/23	Europe/Paris	4.86667	45.51667	average
RU	22 Jul 2018	Europe/Moscow	38.02486	55.64776	good
PE	14 Sep 2016	America/Lima	-76.70944	-11.94306	maintenance
GB	2018/06/10	Europe/London	-0.29825	51.39148	average
NE	2014/06/19	Africa/Niamey	9.15013	13.70727	accep
ZA	2017-06-01	Africa/Johannesburg	30.79165	-27.76952	maintenance
US	14 Dec 2018	America/Denver	-104.22884	32.42067	accep
GB	05 Aug 2019	Europe/London	-0.29825	51.39148	maintenance
BE	08/01/2016, 00:00:00	Europe/Brussels	4.21372	51.12794	average
MG	05 Dec 2014	Indian/Antananarivo	44.53333	-22.9	excellent
IT	2020/03/10	Europe/Rome	15.07041	37.49223	good
ME	08/15/2020, 00:00:00	Europe/Podgorica	18.84	42.28639	average
GB	12/06/2018, 00:00:00	Europe/London	-3.52751	50.7236	building
ID	2016-02-07	Asia/Jakarta	109.05389	-7.51611	accep
VE	2017/11/19	America/Caracas	-70.20749	8.62261	excellent
MY	2016-07-26	Asia/Kuala_Lumpur	102.3278	2.2139	average
