location	QoS	longitude	revision	latitude	station
America/Argentina/Buenos_Aires	maintenance	-60.47389	08/30/2019, 00:00:00	-34.64167	Chacabuco
Asia/Manila	excellent	123.62494	2021-07-04	12.37169	Masbate
Europe/Paris	good	4.91667	2018/09/25	45.73333	Bron
Asia/Seoul	average	126.835	2014-03-25	37.65639	Goyang-si
America/Chicago	average	-94.74049	01 May 2013	32.5007	Longview
Europe/Brussels	accep	4.69889	01/26/2022, 00:00:00	50.56149	Gembloux
Europe/Moscow	accep	37.56667	2015/02/03	55.85	Likhobory
Atlantic/Canary	excellent	-15.58602	2022/05/01	27.76056	Maspalomas
America/Argentina/Tucuman	average	-65.61427	06/01/2016, 00:00:00	-27.4338	Aguilares
Indian/Reunion	building	55.4504	2017/09/13	-20.88231	Saint-Denis
Asia/Shanghai	building	120.74221	09/02/2021, 00:00:00	31.64615	Changshu City
Asia/Kolkata	good	76.56719	2015-07-15	24.41288	Aklera
Africa/Algiers	excellent	3.47717	2016/10/23	36.76639	Boumerdas
America/Sao_Paulo	excellent	-48.59278	2014/10/09	-23.7975	Buri
Europe/Rome	excellent	9.32241	27 Mar 2015	44.31771	Chiavari
America/Los_Angeles	good	-116.21677	02/25/2019, 00:00:00	33.7207	Indio
Europe/Moscow	average	43.67663	27 May 2021	53.53041	Nizhniy Lomov
Europe/Amsterdam	accep	4.47124	05 Feb 2018	51.95838	Schiebroek
America/New_York	excellent	-74.07764	2014/06/02	40.72816	Jersey City
Europe/Zurich	average	8.52462	01/21/2015, 00:00:00	47.30997	Adliswil
Asia/Yangon	good	98.19151	18 Jul 2018	14.0823	Dawei
Europe/Rome	maintenance	8.62118	2016-07-27	45.44694	Novara
Africa/Maputo	average	35.34722	2020/06/03	-23.85972	Maxixe
Europe/Istanbul	excellent	34.37389	02/16/2020, 00:00:00	40.1675	Sungurlu
Europe/Rome	excellent	17.58522	06/04/2022, 00:00:00	40.53123	Francavilla Fontana
America/Caracas	excellent	-68.30472	2012-12-16	9.91861	Tinaquillo
Asia/Shanghai	maintenance	112.9	04 Oct 2012	27.85	Xiangtan
America/Chicago	good	-88.3162	07 Feb 2013	42.24113	Crystal Lake
Asia/Tokyo	accep	137.4	2018/10/22	34.81667	Toyokawa
Europe/Moscow	good	43.67663	2013-01-26	53.53041	Nizhniy Lomov
America/Vancouver	good	-119.48568	2014-04-05	49.88307	Kelowna
Indian/Antananarivo	good	44.53333	2014/09/24	-22.9	Sakaraha
Africa/Blantyre	excellent	34.4587	08/28/2015, 00:00:00	-13.7804	Salima
Europe/Rome	accep	7.60872	12/24/2018, 00:00:00	43.78956	Ventimiglia
America/Mexico_City	good	-101.2591	2013-06-18	21.01858	Guanajuato
Europe/Istanbul	excellent	34.02537	19 Dec 2018	38.37255	Aksaray
Europe/Berlin	building	8.64409	07/14/2018, 00:00:00	48.07667	Trossingen
Asia/Kolkata	average	75.96976	2015-02-07	15.73628	Gajendragarh
Asia/Karachi	accep	68.75915	2019/03/19	27.52948	Khairpur Mir’s
Asia/Baku	maintenance	48.87498	30 Dec 2021	38.45598	Astara
Europe/Berlin	building	9.20427	2021/06/12	48.49144	Reutlingen
Asia/Kolkata	average	76.12647	04/07/2021, 00:00:00	32.55531	Chamba
Africa/Casablanca	accep	-6.90656	02 Jul 2018	33.92866	Temara
America/New_York	good	-77.55777	15 Sep 2013	37.52487	Bon Air
Africa/Casablanca	accep	-5.22126	2021/03/02	33.43443	Azrou
Europe/London	maintenance	0.30367	10/19/2018, 00:00:00	51.38673	Hartley
Europe/Berlin	accep	9.47629	2016-12-06	53.59337	Stade
Europe/Rome	average	11.04979	08/11/2017, 00:00:00	44.59445	Castelfranco Emilia
America/Guayaquil	excellent	-79.59415	2019-04-19	-2.13404	Milagro
America/Chicago	accep	-88.42814	2018-11-07	42.16808	Huntley
Europe/Moscow	average	46.10925	2017/12/08	43.35071	Gudermes
America/Los_Angeles	accep	-122.23484	2018/11/19	47.38093	Kent
Asia/Yekaterinburg	good	53.47103	2021/10/15	54.48147	Oktyabr’skiy
Asia/Jakarta	excellent	106.85417	30 Aug 2021	-6.48167	Cibinong
America/New_York	excellent	-74.15987	06/07/2013, 00:00:00	40.82232	Nutley
America/Fortaleza	good	-41.45861	2016-04-29	-4.42472	Pedro II
Asia/Kolkata	good	73.66633	2021-02-23	25.92493	Sojat
America/New_York	accep	-81.38758	07/06/2017, 00:00:00	30.17746	Palm Valley
Europe/Rome	accep	14.39024	2016/07/27	42.22718	Lanciano
Asia/Kolkata	excellent	82.85749	2013-04-28	17.54907	Elamanchili
Europe/Rome	average	9.29109	2019-07-16	45.39402	San Giuliano Milanese
Asia/Tokyo	accep	140.11667	03/24/2022, 00:00:00	37.56667	Inawashiro
America/Sao_Paulo	good	-50.00639	05 Aug 2022	-25.42944	Palmeira
Africa/Nairobi	good	34.11169	2017/10/27	0.46005	Busia
America/Los_Angeles	maintenance	-117.23991	26 May 2015	47.64995	Opportunity
Asia/Tokyo	excellent	129.96972	04/17/2021, 00:00:00	33.4425	Karatsu
Africa/Lagos	average	4.18333	2021/08/20	7.6	Olupona
America/Fortaleza	average	-42.29444	2021/10/12	-4.24444	Barras
Asia/Jakarta	excellent	101.44167	18 Apr 2018	0.51667	Pekanbaru
Europe/London	building	-0.2	05/21/2021, 00:00:00	51.65	Barnet
Asia/Yekaterinburg	average	53.47103	04/26/2020, 00:00:00	54.48147	Oktyabr’skiy
America/New_York	accep	-77.70066	2014-02-19	43.16547	Gates-North Gates
Africa/Windhoek	good	16.91667	2013-10-30	-21.98333	Okahandja
America/New_York	good	-73.97069	2017/03/25	40.64621	Kensington
Europe/Helsinki	excellent	24.14662	2016-09-09	65.84811	Tornio
Asia/Colombo	good	79.87116	05/04/2013, 00:00:00	6.84019	Dehiwala-Mount Lavinia
Europe/Rome	good	8.55552	28 Jul 2015	40.72586	Sassari
Asia/Yerevan	excellent	44.7662	2020/01/09	40.49748	Hrazdan
Asia/Kolkata	average	77.656	07 Jun 2022	28.71271	Pilkhua
Europe/Paris	accep	4.91667	2016/06/01	45.73333	Bron
America/Los_Angeles	excellent	-118.10583	26 Apr 2016	34.09611	San Gabriel
Asia/Tokyo	average	136.13108	02/13/2018, 00:00:00	34.75856	Ueno-ebisumachi
Asia/Shanghai	excellent	109.22921	05/28/2016, 00:00:00	34.65918	Yanliang
Africa/Conakry	maintenance	-13.68778	2013-06-13	9.535	Camayenne
Europe/Berlin	building	8.61839	07 May 2021	49.68369	Bensheim
Europe/Berlin	accep	9.17702	2022/09/15	48.78232	Stuttgart
Europe/Berlin	accep	7.36027	19 Oct 2018	51.20219	Radevormwald
America/Bahia	building	-38.94722	2014/09/19	-15.675	Canavieiras
Europe/Berlin	accep	9.72749	2015/01/17	48.28259	Ehingen
Europe/London	accep	-0.33525	05/13/2020, 00:00:00	53.7446	Kingston upon Hull
Asia/Jakarta	building	112.01667	2021-01-14	-7.81667	Kediri
Europe/Vienna	average	15.46667	07/25/2017, 00:00:00	47.05	Sankt Peter
Asia/Kolkata	good	73.66633	09 Feb 2019	25.92493	Sojat
America/Havana	good	-80.58556	2015/07/02	22.98212	Corralillo
Europe/Rome	accep	9.32241	13 Jan 2013	44.31771	Chiavari
America/Mexico_City	maintenance	-93.11308	2013-10-25	16.75973	Tuxtla
America/New_York	accep	-82.46148	20 Dec 2018	28.15112	Lutz
America/Maceio	excellent	-37.07167	29 Jun 2013	-10.91111	Aracaju
Africa/Nairobi	average	35.59642	05/03/2015, 00:00:00	3.11988	Lodwar
Asia/Yekaterinburg	excellent	60.8019	09 Oct 2015	56.9083	Beryozovsky
Europe/London	maintenance	-1.06667	2014/04/15	53.78333	Selby
America/Sao_Paulo	excellent	-48.62789	01/16/2015, 00:00:00	-17.74431	Caldas Novas
Europe/Sofia	accep	24.71204	2015-11-10	41.57439	Smolyan
Asia/Yangon	accep	98.19151	2019-04-19	14.0823	Dawei
Asia/Shanghai	building	123.17306	2017-10-18	41.27194	Liaoyang
Europe/Volgograd	average	43.2379	10/25/2017, 00:00:00	50.06	Mikhaylovka
Asia/Karachi	good	68.75915	09 May 2017	27.52948	Khairpur Mir’s
Europe/London	accep	-0.91979	2019-11-12	51.42708	Lower Earley
Europe/Paris	accep	5.4584	06 Jan 2016	43.32393	Les Olives
Europe/Moscow	average	30.38167	15 Jan 2014	59.80917	Shushary
America/Port-au-Prince	average	-72.09391	2018/11/11	18.65297	Thomazeau
Africa/Algiers	average	1.04945	2016/07/08	35.06544	Frenda
America/New_York	accep	-76.72803	09/18/2017, 00:00:00	39.32288	Woodlawn
Europe/Belgrade	average	22.53083	2020-06-09	44.22639	Negotin
Europe/London	average	-0.33525	2018-07-29	53.7446	Kingston upon Hull
Asia/Dhaka	maintenance	89.11943	2016-11-27	23.9028	Kushtia
Europe/Madrid	average	0.57856	09 Jan 2021	40.70995	Amposta
America/New_York	average	-73.97069	2014-10-02	40.64621	Kensington
Africa/Porto-Novo	excellent	2.59753	05 Nov 2012	8.88649	Tchaourou
America/Sao_Paulo	accep	-41.25528	14 Jun 2014	-19.32556	Resplendor
Europe/Moscow	excellent	38.07083	2022/09/11	54.90083	Stupino
Europe/London	good	-5.53715	2016/05/15	50.11861	Penzance
Asia/Yangon	good	98.50893	2017/03/04	16.68911	Myawadi
Europe/Amsterdam	excellent	5.2875	06/15/2019, 00:00:00	51.65333	Vught
America/Santiago	building	-70.6996	27 Jul 2020	-33.59217	San Bernardo
Europe/Berlin	accep	11.32903	2017-04-06	50.9803	Weimar
America/Bogota	building	-74.26419	2013/02/06	4.73245	Madrid
Europe/Berlin	excellent	11.18709	2018/12/26	48.73218	Neuburg an der Donau
Europe/Vienna	building	16.4	10 May 2021	48.25	Floridsdorf
Asia/Dhaka	excellent	91.84128	15 Dec 2016	22.83957	Manikchari
Europe/Berlin	accep	8.77069	21 Mar 2022	50.80904	Marburg an der Lahn
Europe/London	accep	-1.32471	09/07/2016, 00:00:00	51.40148	Newbury
Europe/Zaporozhye	accep	38.15035	07/23/2015, 00:00:00	49.41029	Svatove
America/Caracas	excellent	-62.64102	2018/12/16	8.35122	Ciudad Guayana
America/Chicago	average	-88.42814	2013/11/20	42.16808	Huntley
Europe/Rome	building	17.58522	2015/03/30	40.53123	Francavilla Fontana
America/Vancouver	average	-119.48568	2022/01/24	49.88307	Kelowna
America/Los_Angeles	building	-122.2054	2018-11-05	47.76232	Bothell
Africa/Nairobi	average	35.59642	24 Sep 2014	3.11988	Lodwar
Asia/Phnom_Penh	maintenance	102.56365	05 Mar 2013	13.65805	Paoy Paet
America/Chicago	accep	-93.12577	09/13/2020, 00:00:00	44.73941	Rosemount
Europe/Moscow	good	43.63417	06/26/2015, 00:00:00	43.96222	Novopavlovsk
America/New_York	maintenance	-73.89125	2017/06/10	40.67705	Cypress Hills
Asia/Kolkata	excellent	76.11996	2017/02/22	11.12018	Manjeri
America/Toronto	accep	-80.38297	07 Mar 2018	42.8334	Norfolk County
America/New_York	average	-76.72803	02/03/2019, 00:00:00	39.32288	Woodlawn
Europe/Moscow	excellent	35.90057	2012/11/17	56.85836	Tver
Europe/Moscow	accep	38.02486	2019/06/18	55.64776	Malakhovka
America/Chicago	excellent	-88.3162	29 Oct 2013	42.24113	Crystal Lake
America/Bahia	average	-37.93278	19 Oct 2015	-11.48472	Rio Real
Pacific/Port_Moresby	good	144.23058	21 Mar 2020	-5.85746	Mount Hagen
Asia/Kolkata	excellent	73.66633	12/26/2020, 00:00:00	25.92493	Sojat
Europe/Moscow	average	35.96944	2022/03/21	56.03361	Volokolamsk
Asia/Kolkata	average	86.79271	2017-09-20	25.92127	Madhipura
Europe/Rome	maintenance	12.38878	25 Jan 2014	43.1122	Perugia
America/Bogota	accep	-74.73584	2015-02-08	5.20856	Honda
Europe/Berlin	accep	9.15214	2021-07-08	49.97704	Aschaffenburg
Europe/Prague	excellent	12.87117	03/03/2017, 00:00:00	50.23271	Karlovy Vary
Asia/Manila	average	120.4861	10 Mar 2019	16.0438	Manaoag
Europe/Madrid	maitennce	2.35739	2015-04-23	41.63976	Cardedeu
Europe/Brussels	good	5.37429	08 Aug 2015	51.03427	Houthalen
America/Chicago	good	-97.90308	2020/06/03	31.12406	Copperas Cove
Africa/Lagos	accep	4.74161	2020/07/11	7.62789	Ilesa
Pacific/Auckland	building	171.25364	2016/04/27	-44.39672	Timaru
Europe/Berlin	accep	7.2278	21 Feb 2022	50.64336	Bad Honnef
Asia/Kolkata	building	83.36889	12/06/2020, 00:00:00	26.76628	Gorakhpur
Europe/Helsinki	average	24.95034	24 Jun 2016	60.18427	Kallio
America/Caracas	good	-67.33122	23 Oct 2015	10.22677	La Victoria
America/Havana	excellent	-81.24441	2015/08/11	23.15678	Varadero
Asia/Kolkata	maintenance	77.5609	2014/10/24	11.00599	Kangayam
America/Chicago	average	-98.15529	24 Apr 2017	26.18924	San Juan
Europe/London	average	-2.52398	12 May 2020	53.19146	Winsford
Asia/Damascus	excellent	36.7138	2013/01/21	35.95664	Binnish
Africa/Abidjan	good	-3.59625	25 Jan 2017	5.27247	Bonoua
Europe/Madrid	accep	-2.77259	2014/06/19	37.49073	Baza
Europe/Madrid	accep	0.57856	13 Oct 2019	40.70995	Amposta
Europe/Rome	accep	14.43865	2013-05-15	40.87329	Somma Vesuviana
America/Sao_Paulo	building	-46.99583	03/05/2016, 00:00:00	-22.97056	Valinhos
Asia/Kolkata	accep	86.79271	04/13/2015, 00:00:00	25.92127	Madhipura
Europe/Istanbul	building	37.3825	17 Oct 2014	37.05944	Gaziantep
Asia/Shanghai	accep	122.08333	02/25/2017, 00:00:00	46.08333	Ulanhot
Europe/Rome	excellent	17.58522	2013-10-11	40.53123	Francavilla Fontana
Asia/Seoul	average	126.665	2019/01/10	36.6009	Hongseong
Asia/Qyzylorda	average	65.50917	12/13/2020, 00:00:00	44.85278	Kyzylorda
America/Maceio	excellent	-37.65	11/26/2021, 00:00:00	-10.91722	Lagarto
Europe/Moscow	maintenance	39.8302	10/07/2020, 00:00:00	64.5635	Severodvinsk
America/Mexico_City	maintenance	-98.1664	02 Nov 2018	19.32932	Contla
Asia/Kolkata	maintenance	75.35927	28 Dec 2021	12.04161	Talipparamba
America/Matamoros	excellent	-97.50417	2017/02/22	25.87972	Heroica Matamoros
America/New_York	maintenance	-76.72803	2021-08-11	39.32288	Woodlawn
Europe/Rome	accep	16.50104	2022/04/26	41.24264	Bisceglie
Asia/Kolkata	accep	74.80555	04/13/2015, 00:00:00	34.08565	Srinagar
Asia/Shanghai	average	112.9	2017/09/19	27.85	Xiangtan
Europe/Berlin	building	13.10984	17 Apr 2014	51.30001	Oschatz
Europe/Paris	accep	8.73812	2021/06/21	41.91886	Ajaccio
Asia/Manila	accep	124.95278	2020-09-22	6.33444	Tupi
Europe/Berlin	maintenance	6.8625	01 Dec 2019	51.47805	Oberhausen
Asia/Jakarta	excellent	109.05389	2013-08-22	-7.51611	Wangon
Europe/Stockholm	average	18.28333	2018/06/03	59.33333	Boo
Asia/Kolkata	average	75.92694	2015-07-22	14.46693	Davangere
America/Sao_Paulo	accep	-50.19556	07/30/2021, 00:00:00	-19.72806	Iturama
America/Mexico_City	average	-103.42897	08/19/2018, 00:00:00	20.28527	Jocotepec
Asia/Karachi	building	70.96699	2013-06-06	30.46907	Kot Addu
Asia/Shanghai	good	116.11768	2018-07-11	24.28859	Meizhou
Europe/Dublin	good	-7.95	30 Apr 2014	53.43333	Athlone
Asia/Kolkata	excellent	83.36889	07/06/2016, 00:00:00	26.76628	Gorakhpur
Asia/Manila	average	120.97844	10/23/2013, 00:00:00	14.8361	Guyong
Asia/Tokyo	good	138.89585	2021-07-02	36.33011	Annaka
Europe/Berlin	average	6.26667	06/01/2021, 00:00:00	51.21667	Schwalmtal
America/Boise	accep	-116.56346	2015/11/28	43.54072	Nampa
Asia/Kuala_Lumpur	accep	102.3278	07 Aug 2017	2.2139	Kampung Ayer Molek
America/Belem	good	-48.52333	02/04/2022, 00:00:00	-0.71667	Soure
Asia/Irkutsk	excellent	107.60627	17 Nov 2017	51.82721	Ulan-Ude
Asia/Kolkata	maintenance	78.23456	05/04/2016, 00:00:00	28.92694	Bachhraon
Pacific/Honolulu	good	-156.47432	28 Dec 2017	20.88953	Kahului
Europe/Berlin	accep	9.85	18 Jan 2017	53.63333	Halstenbek
Asia/Yangon	accep	98.19151	05/29/2021, 00:00:00	14.0823	Dawei
Asia/Kolkata	excellent	74.83554	2015-05-01	14.62072	Sirsi
Europe/Warsaw	average	18.34717	15 Feb 2015	54.60528	Reda
Europe/London	excellent	-3.05	20 Dec 2018	53.81667	Blackpool
America/New_York	good	-76.72803	2020-07-23	39.32288	Woodlawn
Asia/Shanghai	accep	115.04814	03/14/2013, 00:00:00	30.24706	Huangshi
Asia/Jerusalem	accep	34.75699	12 May 2013	31.39547	Rahat
Asia/Tehran	good	48.26258	2017-06-18	33.86419	Aleshtar
America/New_York	average	-81.79819	2017/05/18	41.48199	Lakewood
America/New_York	accep	-78.19444	2020-11-14	38.91817	Front Royal
America/Los_Angeles	maintenance	-122.40433	2018/07/20	37.71715	Visitacion Valley
Africa/Banjul	good	-15.6	15 Oct 2014	13.56667	Farafenni
Europe/Kiev	good	25.34244	03 Jan 2013	50.75932	Lutsk
Asia/Kolkata	average	74.83554	2017-01-07	14.62072	Sirsi
America/Sao_Paulo	excellent	-50.00639	20 Mar 2013	-25.42944	Palmeira
America/New_York	maintenance	-82.90375	2016/07/24	32.54044	Dublin
Asia/Kolkata	average	73.08333	2019/05/18	19.21667	Dombivli
Europe/Paris	excellent	2.12213	10 Sep 2015	48.8222	Le Chesnay
Europe/Volgograd	good	43.2379	10/02/2013, 00:00:00	50.06	Mikhaylovka
Asia/Yerevan	accep	44.7662	2014-04-02	40.49748	Hrazdan
Asia/Kolkata	accep	79.82979	12/17/2015, 00:00:00	11.93381	Puducherry
Europe/Berlin	accep	13.10984	10 Dec 2016	51.30001	Oschatz
Australia/Brisbane	average	153.10236	01/01/2020, 00:00:00	-27.50578	Carindale
Asia/Shanghai	excellent	120.82747	27 Nov 2013	37.30553	Zhuangyuan
America/Mexico_City	average	-100.88023	2019-07-04	20.21322	Salvatierra
Asia/Makassar	good	118.9707	2022/08/19	-3.5403	Majene
Asia/Damascus	excellent	38.28402	24 Aug 2017	34.5624	Tadmur
Asia/Jakarta	building	106.92667	2016/12/26	-6.91806	Sukabumi
Europe/Berlin	accep	6.74549	2019/05/22	49.5099	Losheim
Asia/Kolkata	good	76.0586	11/11/2013, 00:00:00	16.06213	Hungund
Asia/Shanghai	good	105.89333	08 Mar 2022	34.56861	Beidao
Asia/Yangon	accep	98.19151	2016-02-28	14.0823	Dawei
Australia/Sydney	accep	151.08057	2017-06-06	-33.79176	Eastwood
Europe/Istanbul	accep	28.67582	2014/01/05	40.98894	Yakuplu
Asia/Aqtobe	average	59.6	2015/06/08	47.83333	Shalqar
America/Los_Angeles	excellent	-117.79394	21 Feb 2013	33.76446	North Tustin
Asia/Kolkata	average	79.82979	2018-01-28	11.93381	Puducherry
America/Los_Angeles	good	-120.43572	01 Nov 2013	34.95303	Santa Maria
America/Chicago	excellent	-87.88754	11/04/2019, 00:00:00	41.15376	Bourbonnais
Asia/Kolkata	accep	84.63445	2014/07/23	24.81757	Rafiganj
Asia/Kolkata	maintenance	76.11996	2019/02/17	11.12018	Manjeri
Africa/Dar_es_Salaam	average	39.28333	02 Aug 2014	-10.33333	Nyangao
Europe/Brussels	excellent	4.07601	2020/11/21	50.88506	Denderleeuw
Asia/Kolkata	building	75.96976	2017/12/14	15.73628	Gajendragarh
America/Denver	average	-104.22884	2021-01-08	32.42067	Carlsbad
America/Mexico_City	accep	-103.5687	06 Aug 2017	20.22816	Zacoalco de Torres
Asia/Kolkata	good	71.30633	2017/01/14	21.34222	Kundla
Europe/Istanbul	average	34.02537	07/08/2013, 00:00:00	38.37255	Aksaray
Asia/Yekaterinburg	good	59.80222	2017/09/16	58.63667	Lesnoy
Europe/Paris	good	2.18967	2018/03/09	48.8765	Rueil-Malmaison
Asia/Baku	excellent	48.87498	2021-02-13	38.45598	Astara
Asia/Karachi	average	71.67164	05/01/2022, 00:00:00	30.29184	Qadirpur Ran
Europe/Rome	maintenance	16.50104	2021-10-14	41.24264	Bisceglie
America/Los_Angeles	good	-117.70755	2013-07-15	33.52253	Laguna Niguel
America/Argentina/Buenos_Aires	average	-58.70072	22 Apr 2018	-34.74785	Pontevedra
America/Denver	acceptable	-111.90466	07 Aug 2015	40.34912	Saratoga Springs
Europe/Moscow	accep	35.96944	04/15/2015, 00:00:00	56.03361	Volokolamsk
America/New_York	maintenance	-74.15987	2017/05/08	40.82232	Nutley
Asia/Manila	accep	121.3152	06 Dec 2021	14.14989	Calauan
Europe/Paris	excellent	4.91667	01/16/2019, 00:00:00	45.73333	Bron
America/Mexico_City	accep	-99.32556	18 Jan 2017	19.32889	San Lorenzo Acopilco
Asia/Yekaterinburg	excellent	65.27258	2018/09/17	58.04254	Tavda
Europe/Paris	accep	2.61667	2020/07/20	48.98333	Mitry-Mory
Europe/Chisinau	building	28.28489	30 Jul 2016	48.15659	Soroca
Africa/Casablanca	maintenance	-6.00137	2015/08/11	33.42585	Oulmes
America/New_York	maintenance	-83.2321	18 Oct 2013	33.08014	Milledgeville
America/El_Salvador	excellent	-89.71472	02 Sep 2021	13.73417	Sonzacate
America/Mexico_City	average	-102.04897	2015/03/01	19.64745	Paracho de Verduzco
Asia/Tehran	good	51.0193	2019/11/12	35.6803	Shahre Jadide Andisheh
Asia/Yangon	excellent	97.01124	19 Sep 2019	17.30858	Kyaikto
Europe/Berlin	excellent	9.85	07/23/2020, 00:00:00	53.63333	Halstenbek
Asia/Taipei	average	119.58627	2021-08-12	23.5654	Magong
Europe/Berlin	average	9.22796	2022-01-09	48.46458	Pfullingen
Australia/Melbourne	accep	145.18333	2013/12/07	-37.9	Wheelers Hill
America/Chicago	excellent	-88.27205	2018-10-07	44.27804	Kaukauna
Asia/Kolkata	accep	86.51499	2013-12-06	23.1959	Kenda
America/Chicago	building	-93.75018	2020-01-29	32.52515	Shreveport
Asia/Yekaterinburg	average	53.47103	08/12/2013, 00:00:00	54.48147	Oktyabr’skiy
Asia/Seoul	accep	126.665	2017-02-06	36.6009	Hongseong
